<title>聖居山僧軸。次石洲韻。</title>,<text>玆山本不二。天聖名何異。我今脫俗來。坐弄姑潭水。</text>
<title>輓章前大司成鄭弘溟</title>,<text>嗚呼哀哉。公纔弱冠。我隨肩兮。白而長身。藹孤騫兮。氣味芝蘭。春曖然兮。肝腸鐵石。物莫遷兮。榮枯半世。共周旋兮。掉鞅詞林。式後先兮。通籍金閨。幸接連兮。時丁溷濁。各屯蹇兮。偸生削跡。慕蝎跧兮。性命如線。苟得全兮。松雖見摧。玉逾堅兮。洎際新化。萃群賢兮。出入臺省。幾聯翩兮。我狂如醉。公若絃兮。箴規相與。豈淺鮮兮。禿者施髢。病獲痊兮。投衿莫逆。彌歲年兮。位望協卜。躡台躔兮。憂勞鑠和。疾癘纏兮。恩私荐加。藥餌專兮。仁壽善福。信彼天兮。日望穌起。任陶甄兮。國步方艱。遘災偏兮。大廈新構。柱石顚兮。慟軫宸極。謣士民兮。誰作舟楫。涉巨川兮。誰理陰陽。終無愆兮。屬我淹病。荷相憐兮。一朝棄遺。先着鞭兮。顧影無儔。涕漣漣兮。嗚呼哀哉。惟公氣質。稟靜娟兮。德積於中。美外宣兮。和而不流。服禮虔兮。剛方戒折。孰吐旃兮。正色立朝。鄙臠卷兮。斂退藏修。避利權兮。纖塵點染。絶盪湔兮。夷險一節。出人前兮。今其已矣。沈九泉兮。邈彼黔陽。卜新阡兮。天堂福地。樂安便兮。谿翁爲主。公依焉兮。神遊寥廓。脫塵緣兮。歿亦有隣。好團圓兮。他日從游。討幽悁兮。無常迅速。豈長延兮。後死懷舊。悲纏綿兮。雲樹千重。隔靈筵兮。曠世同感。殄瘁篇兮。綴此荒詞。寫輓牋兮。</text>
<title>輓章行司直卞三近</title>,<text>氣節須看發軔初。衿陽幾歲閉門居。蜚英聖主中興日。秉軸邦家大亂餘。詩禮飭躬人所仰。淸貧傳後世無如。燕烏未白秦舂撤。忠憤空留座右書。</text>
<title>輓章 二首 行副司直鄭良弼</title>,<text>加額當年屬望新。淸操雅量冠朝紳。大川喬嶽人蒙潤。柱石巖廊國有臣。肺腑托親由擇德。膏肓嬰疾爲憂民。時危更覺先歸好。萬事如今只愴神。</text>
<title>輓章 二首 行副司直鄭良弼 其二</title>,<text>隣睦姻連自我先。小生何況忝同年。雲泥已隔難攀躋。簪履猶蒙不棄捐。每憶東山陪赤舃。忽驚華屋已黃泉。經秋臥病違臨穴。欲寫哀詞涕泫然。</text>
<title>輓章僉知蔡裕後</title>,<text>擧世徒稱一節淸。誰知守道向平生。憂時舊病終無藥。輔主徽言永作程。身入黃扉非素願。望懸靑邸豈私情。尙思禁省追陪日。白粥登盤佐菜羹。</text>
<title>輓章行司直金霱</title>,<text>數月纔違杖屨春。德容華髮遽前身。泰山北斗儒林仰。赤舃黃扉寵渥新。鼇柱擎天期共戴。鷺班揮泣失同寅。半生憂國仍成疾。最惜文精晦彩辰。</text>
<title>輓章 三首 典翰趙錫胤</title>,<text>貞白名無玷。虔恭德愈崇。登庸孚衆望。恬退見高風。出處關治亂。哀榮備始終。千秋留美諡。不愧簡篇中。</text>
<title>輓章 三首 典翰趙錫胤 其二</title>,<text>沙麓無疆慶。由來積善門。居盈若淵谷。視德似丘園。憂國身仍病。匡時志獨存。應餘九地恨。不及見東轅。</text>
<title>輓章 三首 典翰趙錫胤 其三</title>,<text>小子蒙殊遇。提携自幼時。春風薰盛德。喬岳得宗師。走卒皆知誦。皇天不憖遺。空吟殄瘁賦。獨立淚雙垂。</text>
<title>輓章 二首 宗簿寺正沈東龜</title>,<text>洛水雲雷十載遲。明庭忽覩鳳來儀。靖康多難扶顚日。元祐群賢屬望時。位極上台心轉小。誠深下士禮逾卑。應知一病緣憂國。猶抱泉臺不盡悲。</text>
<title>輓章 二首 宗簿寺正沈東龜 其二</title>,<text>天時人事日艱危。相國如何遽至斯。楊綰當朝方倚眷。周綱解紐孰扶持。四知淸白終無愧。一節神明奈不欺。惆悵九原遺恨在。塞雲回首有餘悲。</text>
<title>輓章四首○應敎金益煕</title>,<text>天賦沖和質。仍敦百行源。聖朝遭際盛。儒術典刑存。進退關時運。哀榮有國論。丘原無起日。誰與濟元元。</text>
<title>輓章四首○應敎金益煕 其二</title>,<text>積慶鍾思媚。殊榮處若驚。家徒四壁立。公退一書生。節惠人無間。崇終世莫京。堂堂百丈表。簫鼓閉佳城。</text>
<title>輓章四首○應敎金益煕 其三</title>,<text>鬱結憂時志。沈綿二䝂嬰。人扶猶盡瘁。主辱每呑聲。遲暮堪經濟。艱危失老成。千秋良史筆。無愧是爲榮。</text>
<title>輓章四首○應敎金益煕 其四</title>,<text>先子金蘭契。平生最我公。向來深繾綣。猶足慰孤窮。俛仰屛幪失。蒼茫夜壑空。哦詩當簫挽。哽咽不能終。</text>
<title>輓章舍人趙啓遠</title>,<text>當代推賢相。公爲第一流。朝紳重望在。邦國大名留。處泰恒謙退。居貞寡悔尤。逡巡廊廟地。蕭洒布韋儔。世亂身全瘁。憂深病未瘳。方須調鼎手。遽失濟川舟。吾輩將安放。民生恐不休。風儀今寂寞。時日已遷遒。曉渡丹旌遠。秋山永宅幽。公私無限痛。執紼淚盈眸。</text>
<title>輓章應敎李行遇</title>,<text>昭代名臣問是誰。相公儒雅世爭推。姻聯禁掖心猶小。身係安危節自持。憂國幾年仍抱病。在家平日不言私。重泉定有無涯痛。鶴御東旋尙此遲。</text>
<title>輓章四首○校理李之恒</title>,<text>家庭詩禮訓。師友琢磨功。濁世棲遲久。明時際遇隆。格君恢正議。扶社着深衷。太史波濤筆。千秋汗簡中。</text>
<title>輓章四首○校理李之恒 其二</title>,<text>地貴心彌約。官尊業更淸。誰云大丞相。還是一書生。板蕩三韓日。憂榮二豎嬰。泉臺無限痛。遼表隔千程。</text>
<title>輓章四首○校理李之恒 其三</title>,<text>剛腸逾柏石。和氣卽陽春。進退無違禮。艱危不愛身。輟舂悲八路。亡鑑慟重宸。寂寞明庭上。誰能領搢紳。</text>
<title>輓章四首○校理李之恒 其四</title>,<text>相國吾翁執。諸郞亦弟兄。叨陪自少日。眷顧荷生平。几杖猶留座。容儀已掩塋。空將不盡淚。揮洒暮江旌。</text>
<title>輓章兵曹正郞洪錫箕</title>,<text>昔在麗代星降精。文武之才兼將相。數百年來有雲孫。天生我公應天象。篤厚風流宰相器。山斗一世爭景仰。天然無飾見眞性。忠孝謙恭素所養。往者群小蔑倫紀。獨閉衡門道不枉。際會風雲卽一時。天地日月復開朗。十載淸班遂超擢。時危聖主惟公仗。學術名尊國子師。人望地崇天官長。軒冕還如布衣人。第宅豈異圭竇貧。向來喪亂不忍說。北闕旰食要經綸。退養初非綠野計。安危秪係東山身。衰病沈綿藥不良。天乎奈此東韓民。一夕捐館舂不杵。市朝爲之沾衣巾。九重痛切辰日哭。國事艱虞無藎臣。消息西傳異域遙。銅龍侍從皆悲辛。關塞蒼茫泉壤深。門前古槐無復春。元孫賢資自天縱。相卜已叶黃龍夢。況有諸子最英秀。鄧氏傳家德爲重。玉座空思霖再佐。明庭不見來儀鳳。素幔西出白門曉。千人擁路百僚送。賤子一忝龍門客。今日哭柩非私慟。葬公以禮祭以禮。嗚呼生榮死亦寵。席上珪璧不易得。巨川無舟屋去棟。衿溪之水尙朝宗。片石千秋守荒壟。</text>
<title>輓章副司果李一相</title>,<text>明良遭遇卽昌期。福祿榮華最一時。廊廟早歸朝野望。松筠元抱雪霜姿。門闌趾美諸郞在。竹帛流徽大業垂。只是他年迎鶴駕。寸心那報九原知。</text>
<title>輓章禮曹正郞金鋿</title>,<text>漢運當千一。明庭見鳳儀。風流元篤厚。進退卽安危。名閥黃离照。台階赤舃宜。艱虞惟有淚。悃愊本無私。感激心猶在。嗚呼病未醫。天如數年假。民豈百身辭。漢水薤歌咽。遼陽使者遲。九重辰日哭。萬里塞雲悲。寂寞城東宅。凄涼路左碑。親賓臨訣痛。誰似故人兒。</text>
<title>輓章副修撰申翊全</title>,<text>間氣鍾元老。淸裁聳搢紳。精金經幾鍊。溫玉不容磷。飭禮遵師範。居貞味道醇。値昏彌節操。輔泰著忠純。獻替追蒲伏。論思卽席珍。大婚原積慶。謙德遠要津。匡濟須良佐。艱虞仗藎臣。秉銓推賞識。調鼎劑酸辛。密勿諮猷日。憂勞贊化身。胥期回否運。胡遽奪斯人。奠幣宮官至。崇終謚法眞。悲纏魏鑑失。災慘弼星淪。薄劣曾陪御。門屛數拜塵。提承自舞象。殄瘁倍驚神。倀倀吾安放。茫茫理莫詢。隙駒嗟易過。薪火本相因。食報多賢嗣。流芳式翠珉。傷心華屋淚。沾洒送靈輴。</text>
<title>輓章 二首 副校理趙珩</title>,<text>酋酋符彩照臣隣。才合經綸濟世屯。黃閣身登多難後。蒼生望係再恢辰。忽聞夜半摧喬木。無復朝端見偉人。回首巖廊區畫地。不堪哀淚滿衣巾。</text>
<title>輓章 二首 副校理趙珩 其二</title>,<text>端居蔀屋一書生。氷蘗初心戒滿盈。品藻淸通持魏鑑。謨猷密勿賴周楨。調羹正待鹽梅用。扶廈還驚柱石傾。薄劣向來叨末眷。感深翦拂自傷情。</text>
<title>輓章正言成楚客</title>,<text>廟堂時似布衣時。終始惟將節操持。關世盛衰天與奪。係公生死國安危。貧無儋石仁無壽。慟爲朝廷哭爲私。鶴駕未回穹壤隔。寸心應抱九原悲。</text>
<title>輓章前縣監呂爾載</title>,<text>際會艱難眷注隆。一生忠赤孰如公。仍成憂國傷時病。未了調元贊化功。言行有光良史筆。淸貧無愧古人風。九原何事堪悲慟。萬里燕雲隔兩宮。</text>
<title>輓章司直鄭知和</title>,<text>中年養疾造朝稀。加額蒼生望久違。治第只堪容大祝。居家偏好着深衣。時危一鑑關天數。歲暮三槐帶夕暉。哭向寢門無限淚。山河千里隔春闈。</text>
<title>輓章直講洪處亮</title>,<text>遼塞何時鶴駕東。七年西望老臣衷。經綸政屬艱危日。朝野爭稱篤厚風。誡子有文曾見史。起樓無地世多公。都人雨泣靈輀發。依舊沙堤蠟炬紅。</text>
<title>輓章直講姜瑜</title>,<text>溪老門前立雪人。少時才學迥超倫。韜身正値乾坤晦。奮翼欣逢日月新。玉署忠言當藥石。霜臺直節聳簪紳。聯姻益見操持苦。典政爭稱揀拔匀。白璧終難加點累。丹心只自證明神。台階翊戴邦家重。鼎實調和宰相眞。太保功高辭寵切。玄成病劇乞歸頻。楓宸跡斷龍顏覲。沙漠魂隨鶴駕巡。獨有芳徽留汗冊。更無膏澤及黎民。艱危經濟今誰賴。慟哭公私淚滿巾。</text>
<title>輓章副司果韓必明</title>,<text>大寶重光日。洪爐再造春。風霜存晩節。雨露際昌辰。霄漢登威鳳。明庭占瑞麟。門迎靑邸蓋。巷擁綠車輪。貴極心猶小。官高食益貧。銓衡推藻鑑。台軸任經綸。顚沛看貞操。艱危仗藎臣。誰知卿月晦。終報德星淪。儒論傷先輩。朝端失正人。家聲屬鸞鳳。器業付𤦹珉。辰哭聞唐王。街祠見蜀民。重泉終飮恨。遼塞尙蒙塵。西墅曾隨杖。東園幸接隣。濫蒙推奬過。偏獲警咳親。吾道今安放。高風跡已陳。公私無限痛。雪涕大江濱。</text>
<title>輓章前吏曹佐郞金振</title>,<text>駱山茅屋自蕭然。玉立當朝二十年。一代盛名諸老右。平生篤學古人前。台衡奄隔重泉裏。精魄應隨小海邊。比舍永違床下拜。不堪臨輓淚河懸。</text>
