<title>冬夜吟</title>,<text>月釣前溪夜。風鍾古木冬。</text>
<title>南征漫詠 癸未春。以奉化縣監。差東萊接慰官。</title>,<text>暮投花舘慣識花山路。垂髫又弱冠。昔時湖館士。今日鳳城官。暝路仍華炬。深盃更侈盤。相逢多舊友。黃髮愧人看。朝渡湖樓昨日渡江北。今日渡江南。時營行才返。萊旆又發故云。 舟子已識面。向我前致談。使君今白首。何苦費征驂。蓮花山下里。得無松鶴慚。君言儘快活。使我羞欲瘖。強言太白裏。吾今吏隱兼。島夷方率服。懷柔聖恩覃。皇華接慰重。樗櫟老臣參。明日理歸棹。薄言溯淸潭。峽樹花開晩。我歸趁春三。宿銀海寺海於天地鉅。爲寺亦雄云。俯水皆蒼壁。披林是白雲。洞因平地邃。聲恐上天聞。數衲來華刹。慇懃拜使君。宿玉山書院九曲淸溪繞五臺。藹然泉石絶浮埃。求仁有得遺扁朗。覽景無邊大眼開。神道豊鐫齊盥讀。先朝寶墨漢昭回。松風永日悄然坐。多感琴湖老友來。李承旨彜執令深夜來訪故云。院有求仁堂，無邊樓，御書閣，神道碑閣。訪溪亭獨樂堂前小逕尋。古亭登坐整余衿。松留手澤天然直。石鑿泓潭窈以深。剩馥依如陪杖屨。勝遊匪直愛園林。悠悠小子無窮感。吾祖當年此委禽。按吾三樂堂先祖年譜。朴武毅公尹東京。而公委禽。時府尹衙眷避倭冦。寓獨樂堂故云。暮投月城。翌日卽嘉順宮下玄室哭班也。李承旨彜執，崔掌令仁簡，李注書淵祥，李奉事在正皆來。夜團話。臨別有吟。我來太白下。勝友集東京。有約如相會。無期最是情。萍蓬俱浪跡。蓮桂又深觥。月城蓮桂所。夜有進酒故云。 寄語靑年伴。亨衢勖爾征。盤龜集淸亭。謹次圃隱先生韻。嶙峋轟玉更蒼然。窈窕名亭水一邊。龜背戴文應此象。龍愁藏壑定何年。奇巖束筍仍平地。流水浮花別是天。勝境徘徊山仰止。先生祠屋隔溪烟。梁山通度寺鷲嶺蜿蟺鎭海陲。伽藍第一萬千奇。羅王舊蹟皇華閣。佛祖靈骸舍利碑。花爲客來堆錦繡。石如神鑿瀅琉璃。名山任汝雄蟠據。休道明時灋敎衰。滯雨留寺宿霧濃因玉索連。上房鍾磬客無眠。南隅地暖開花早。東角天低得日先。最劫脩程泥似海。且欣平野麥如烟。山氓被雨治畬否。濕盡綿裘正可憐。東萊梵魚寺南行十日始東萊。金井斜陽遠客來。太白奔馳玆土盡。天魚飛去幾時回。釋伽頭上盤龍戱。僧寶林中畫鵠開。聖世關防斯亦足。登樓指點海雲臺。和天悟上人 聞韶孤雲寺僧。適來梵魚寺進謁。兼呈一絶。故和贈。暮泊梵魚寺。孤雲遠衲來。萍逢俱是客。持贈嶺南梅。到海金井山。遙從太白來。君歸尋太白。東閣有踈梅。三月三日。滯雨萊舘。春雨濛濛徹夜零。客窓無寐數銀鈴。梵魚寺裏花應老。安樂原頭草幾靑。海外無淫來越譯。岐陽有麥問蘇亭。遙知太白山中蕨。待我南歸茁嫰馨。閱忠烈祠志有感我來萊府訪遺蹟。州吏跪上忠烈錄。錄中忠烈某某多。宋公鄭公斯爲特。在昔龍蛇崇極圮。剝萊刲釜海氛惡。黑齒百萬蔽海來。一髮孤城我圉棘。鎭帥黑衣中毒丸。府尹金甲重朝服。送子將母何從容。裁書訣父何卓犖。蠢彼蠻酋初到地。二公屹然如山嶽。愛香 鄭公妾 金蟾 宋公妾 豈讀書。猶能蹈刃殉其側。屹屹梁山趙太守。守封壃臣死其職。凜凜密城盧敎授。得正而斃有所學。旣有文生 德謙 與申裨。汝櫓 爰及金生曁宋伯。聖朝樹風崇節義。贈貤節惠哀榮極。至今睢陽廵遠廟。每歲蕉荔虔香祝。由是編成二卷書。鉅公鴻匠輝遺墨。覽到司猛李公事。令我擊節三歎息。鄭幕纔投寇大至。䂓畫未定罹凶鏑。恨未躋陞忠烈祠。顯晦有時齊慨惜。嗟余以公鄕里人。瞻仰風聲自夙昔。偶來此地看此書。依如杜西拜閭閣。聖世懷來柔遠人。鯨波不動狼烟熄。螺蛤猶知向日曝。馬牛休道其風隔。南望滄溟凈如鏡。聖化洋溢施蠻貊。詩稱憬彼來獻琛。易著苞桑暮戎惕。衆心成城天塹固。莫如忠義勤扶植。願言廣刊此一部。使人家誦而戶讀。俾知秉彜天賦本非由外鑠。宋公名象賢。鄭公名撥。趙太守名英珪。盧敎授名盖邦。李司猛名庭憲。吾榮人也。奉和萊伯李公 奎鉉 六一亭韻東南關鎖壯萊州。瀛閣奎仙寄宦遊。鰲背已霜齊物數。翬飛不日運心籌。時淸大海渾如鏡。公暇靑山自在樓。永叔當年徒五一。詩人於此寓陽秋。登郭南無憂樓無憂須自有憂求。但說無憂是可憂。撲地閭閻依竹密。陰天牖戶撤桑綢。那邊捲颶鯨氛息。淸曉迎暉蜃氣浮。花柳滿城笳皷靜。暮春斜日客登樓。海雲臺三面層溟護一巒。忽焉平地忽巖壇。撑鰲古嶼阿那在。對馬羣峯隱映看。直抵雲邊仙可遇。始知天下水爲難。扶桑回首無氛祲。白髮詞臣聘大觀。月夜坐密陽三浪倉我是太白吏。水從太白來。千里今相遇。爲我水面開。右詠水我從東海上。月又東海來。慇懃如有情。披雲鏡面開。右詠月</text>
<title>上廵相金尙書 相休 行軒 四十韵幷序○癸未</title>,<text>謹按詩風之九罭。曰無以我公歸。是欲周公留外也。雅之蒸民。曰式遄其歸。是欲仲山甫還朝也。之二詩指意各異。則宜其有欲留欲歸之別。而至於孔刺史之鎭南海。昌黎子爲之文曰。公行勿遲。公無遽歸。旣曰勿遲則蒸民之式遄也。旣曰無遽則九罭之無以也。一句之內。意若矛盾。而上一隻。爲朝廷言。下一隻。爲州民言。昌黎此一句。其兼風雅之義乎。猗我閤下儼莅南嶠。神人俱依。當解龜西上之日。嶺之人士。旣未伸無遽歸私願則咸曰。相公今歸矣。歸而陞廊廟。以治嶺者措之。公於嶺伸冤欝矣。歸而長秋府焉如是。公於嶺明殿最矣。歸而掌選司焉如是。向之專而不能咸者。今將咸而不恨其不專也。辭人人同也。時源無似。適忝下僚。盖嘗遂荊願辱眷顧。而尤於輿頌中伸冤欝一事。實有私衷之隕結。謹構東海雨歌四十韻。齋沐以獻。詩曰。海於天地東爲鉅。孝婦之塚其上兀。孝婦竭誠事老姑。一朝被衊埋冤血。冤血年年土中碧。其氣結轖而湮欝。欝而不宣干天和。一婦抱冤三年魃。魃之爲虐胡太甚。謾勞牲醴圭璧卒。元鳳立春行冤獄。天遣于公理郡紱。公來先訪孝婦墓。一盃蕉荔祭芬苾。下慰黃泉上格蒼。幾年幽鬱今朝洩。於是渙散陰陽交。卽地萋渰山川出。旱餘一霈是誰賜。太守不有歸天闕。盖緣地下無冤鬼。是以天公會事發。苟有匹婦之不獲。其災震風又雹雪。若能導滯而宣和。雨暘燠寒風時曰。人事天時巧相湊。此理明白誰能詰。國於海東嶺之南。昔以孝聞今以烈。哀哀烈婦茹至冤。醜誣公然及貞潔。語到庚辰二月事。至今行路猶嗚咽。不瞑之目不朽屍。戢于薄木于虗室。死者不言難自明。時時有聲如帛裂。有一貞僕名萬石。每年瀝血干淸蹕。由是會査得其正。陰崖始春覆盆日。猗我相公賢閤下。雅望淸朝是第一。星辰聽履風地觀。宣化堂高莅藩臬。剛也不撓明不翳。獄案盡入親査櫛。啓下春曹僉曰都。烈婦之門煥棹楔。棹楔之筵多士雲。萬口齊頌片言折。是時枯旱民望霓。翌日甘霈苗興勃。南士皆稱東海雨。間有作詩登歌闋。其奈凶身猶貸息。嗟哉冤窆無期月。蔽棠陰濃瓜正熟。襜帷西上鳥棧屹。周虎旬宣南國紀。虞龍出納北斗舌。願公歸朝日贊襄。俾此甘霔寰宇溢。造化至公本無私。微物如私渠一物。不獨羣生銘口碑。死如有知草應結。盖聞施報不報地。可見難必有可必。請量東海水深淺。較看恩波固無別。漢代名臣豈專美。高門駟馬其旋吉。烈婦家人與有榮。猥忝下僚微感切。十室如斗百弊蝟。辜負恩私奈冗拙。東海之雨歌以贐。鄙俚爲詞愧譾劣。</text>
<title>節愛堂 奉化東軒。有節愛堂。太白山下隱吏之居扁額。</title>,<text>財貧仍自節。民困愛何方。拙手來殘局。徘徊愧此堂。</text>
<title>太白山下隱吏之居</title>,<text>舊隱小白下。今吏太白中。兩白鄰相近。依舊隱居翁。</text>
<title>雪裏登鳳棲樓</title>,<text>半世幽居粥飯僧。鳳棲樓上夕陽登。山深滿目無非雪。官冷開樽半是氷。縣吏宿逋堆蔀屋。峽氓麁褐染松燈。強揮朱墨憑軒坐。恐彼譏吾百未能。</text>
<title>次縣齋壁上韻</title>,<text>無事公門晝懶開。吏云兼以隱云哉。塘雖斗窄容魚戲。樓盖棲高待鳳來。衰病纏身慵倚枕。民憂溢目強啣盃。有山豊樂何時快。弊弊憐吾瑣瑣才。</text>
<title>春帖詩</title>,<text>草野微誠攢祝崗。日邊消息問靑陽。吾王寶扆如干尺。福縷年年漸漸長。今歲吾家是吉年。吾家事事吉今年。今年以始年年吉。惟願長春百百年。右壬戌立春新春多事老阿儂。六十明年一味慵。惟願日膺淸福享。兒登科第僕勤農。新春多意到山廬。天餉於吾也不踈。繞膝穉孫時課字。乃翁當日亦如渠。右壬午立春春到窮廬最有情。病翁扶杖出門迎。迎春敬誦紫陽帖。道泰年豊憂愛誠。右丙申立春聖壽今當志學年。遙知高拱五雲邊。春來葵藿深山裏。也自開花向日圓。右辛丑立春</text>
<title>和山谷書堂韻 趙八友軒書堂</title>,<text>前輩遺芬水石間。小齋移卜翠屛環。堂因古制仍成鞏。境絶囂氛自作閑。黨塾䂓摸新構足。溪岑物色舊時顔。箇中平坦看奇勝。遊客尋眞且仰山。</text>
<title>謹次尹侯 匡烈 高城志軸中韻</title>,<text>蓬萊何處泛鰲六。綠水靑山石二千。一篋歸裝驢背重。海岑名畫勝龍眠。雙龜隨處好藏六。一部中含色萬千。多感使君憐病瞽。寄來茅屋攪慵眠。</text>
<title>謝尹侯頒書校院</title>,<text>州庠近輟讀書聲。多荷賢侯惠我榮。李氏山藏仁者意。文翁儒敎斐然成。羣髦實覬宮墻入。老眼尤欣字畫明。寄語尋行村秀子。口碑銘且舌勤耕。</text>
<title>和李學源松湖會話韻。兼和遊鶴駕山韵。</title>,<text>卬隨卬友出山來。白首相逢病眼開。頖水何年齊結佩。剡溪明月且傳盃。魚知勝會趨梁急。菊爲佳辰綻蘂催。自笑蹣跚無氣力。送君高步上蓮臺。南國巍然第一峯。屹如高鶴出雲中。文章未必樓搥碎。應喜詞雄對嶽宗。右國思峯山中何有最多雲。處處隨君色色紛。巧擁丹楓如錯繡。乃知霜葉勝花云。右白雲臺</text>
<title>次衢隱李老 獻淳 韵。呈白洞詩社僉座。</title>,<text>鹿鳴聯袂宛先天。丕闡堂前草似烟。樽酒相逢憐白髮。琶江如說錦頭纏。右呈仲臯瘦削緣詩任斲天。短筇隨意拾風烟。課兒半似功令客。此病吾曾舊習纏。右呈伯修窮通終古命於天。枵腹書生問竈烟。磨劒十年知有用。莫敎蛛網弊箱纏。右呈欽夫仙棊柯爛洞中天。跋涉歸人趁暮烟。惟幸弊茅全未破。雨餘瓠葉近籬纏。右自呈</text>
<title>奉別竹溪金使君 祖淵 赴長城</title>,<text>化及鄰邦萬口鐫。晩承知顧辱華筵。濂亭嗽石移炎晷。鈴閣開樽襲篆烟。連郡穴人誇有乳。山陰野叟愧無錢。挽輿不得仍成別。怊悵徘徊歲暮天。</text>
<title>上朴尙書 綺壽 小序</title>,<text>昔宋唐子方言事被譴。當時李待制別詩。播牙頰垂汗靑。偶閱此詩。仍步其韻。構拙仰呈。以寓遠懷。奎華簪佩耀仙班。白簡朝飛霄漢間。自是淸淮非楚水。有誰蕭寺餞西山。一聲孤鶚披雲叫。千里征驢踏雪寒。扶抑升沉皆造化。聖朝應遣直臣還。</text>
<title>鳳城校會別章 幷序</title>,<text>彭澤距栗里百里。而余之居。得其半有奇。一自賦歸之後。每切停雲之思。是歲孟夏之扐。鳳之諸士友。貽書於余曰。校方有文會。此座不可無執事。余以老病辭。其請益勤。遂扶曳而進。携筇者先。操觚者後。蘭亭之少長咸集。赤壁之盃盤狼藉。打話數三宵。誠浮世勝會也。人之於衰境。其積阻勢也。阻而悵然情也。余於是行。幸攄其悵然者。而及其分也則又尋其前所悵然者。安得無一言贈乎。昔朱夫子於靈芝餞席。誦隱侯詩及此同衰暮。非復別離時之句。謹以此言爲諸友贈。亦我退陶李夫子。寄吾榮夏課諸生詩曰。鼕鼕畫皷撾。又曰。麒麟不受撾。謹誦其詩。爲諸生贈。仍構拙一絶詩。以贈求瓊和。以爲替面之資云爾。鳳凰臺畔校宮幽。文酒開筵舊債酬。桑下尙存三宿戀。杏陰仍辦數宵遊。諸生喜爾多丹額。佳友隨吾盡白頭。怊悵勞歌勤寄語。不知何日續風流。</text>
<title>是年秋。鳳城諸友。以珍軸見寄。復用前韻構拙奉呈。俾附校藏軸末。以備事實。</title>,<text>病蟄深山山更幽。菊籬搖落苦無酬。鳳庠君子投書至。蟠谷先生倚枕遊。自笑看花迷霧眼。誰能立草愈風頭。開緘適値龍山節。墜帽依然對勝流。</text>
<title>和權上舍周甫 補 伊院蓮桂會中韵</title>,<text>夜間天雪地潛雷。爲趁佳辰勝會開。四十年前蓮稧友。灞橋梅信寄詩來。</text>
<title>和權周甫白雲洞齋會韻</title>,<text>雲齋謬託暫縻身。蕪陋仍兼學料貧。由是未遑修古制。如今聞說會同人。濂亭雪月三餘節。經閣詩書四子根。星圃老人持贈我。藹然幽谷若生春。</text>
<title>續和松湖會話韻</title>,<text>乘月詞仙到剡湖。稽亭少長一筵俱。那邊老石龍吟壯。卽地晴嵐鶴立癯。歲暮蘭猶堅雅臭。春深花且泛淸壺。白頭強作風流事。題帖誇爲九老圖。松江鱸膾足南湖。一歲重遊二美俱。學士乘秋雲際步。野翁經暑雨中癯。琅玕披腹初呈匭。葱麥撑膓且倒壺。石里先生多酒料。課飛數數擬鵬圖。</text>
<title>送李學源赴玉署召行</title>,<text>深巷偏淸近日蟬。郡伻齎牘扣柴傳。芹宮十載同遊友。蓮燭明時侍講仙。歲暮蹭蹬猶健步。聖恩酬報是經筵。須敎世識宏儒在。努力亨衢視履旋。今春詩債愧吾逋。病思曚曨記押湖。不恨雲山從此別。會看黃菊飽松鱸。</text>
<title>李學士陳䟽承恩批。用松會前韻示及。故次以獻賀。</title>,<text>進則升廊退則湖。明時憂愛一封俱。論思語必淳夫簡。觴詠詩應子美癯。大地民愁誰桼緯。九天仙舘自瀛壺。問君何以酬恩奬。受用無窮聖學圖。</text>
<title>用贈李學士韻。寄石窩權懿甫 褘。</title>,<text>林居靜寂閙鳴蟬。聲象牙琴雅韻傳。老去課文眞學究。古來無事小神仙。三旬七望俱名節。一歲重遊最勝筵。蓮稧故人瀛館去。臨分交勖愼周旋。君家淸俸稔無逋。稻熟魚肥管一湖。薄暮呼僮携網出。客盤鱗細狀如鱸。</text>
<title>次學源吟李愼可晩塢新墅韻</title>,<text>剩馥搜天秘。新居拓地平。晩香惟菊色。淸籟自泉聲。陳榭星應聚。濂亭月更明。遙知堂構業。屋就又詩成。羡君多氣力。鞭策恣尋幽。楓壁丹初染。匏樽白更浮。盍簪皆勝友。落帽又高秋。衰暮追遊樂。須從晩字求。</text>
<title>和蘇湖九日登高韻</title>,<text>停雲悄倚老松坡。風送瓊緘落弊家。湖上故人華髮幾。山南學士錦囊多。良朋四座薰蘭臭。佳節重陽剩菊花。無路拚登文酒席。吳州遙望月如沙。</text>
<title>戊子元日有感</title>,<text>孤露逢新每歲悲。是年尤是霣摧時。慈顔不記童頭白。六十年前五歲兒。五歲那知哭母悲。諸孫遊戲想前時。前時乃祖今時汝。惟願今兒似舊兒。萬，煕，恩三孫失母可憐。而恩也又如吾年。尤矜憐故云。</text>
<title>謹題賜花板</title>,<text>九重春色耀仙葩。造化栽成雨露加。惟願此花長結子。天香世世侈臣家。</text>
<title>藥頌寓感</title>,<text>我生十餘歲。羸弱近淸秀。羸也固不健。淸也慮未壽。重堂惟疾憂。劬學篤天覆。王考善誘蒙。醫方又默透。曰有六味元。可以肥其瘦。買藥固未精。家貧况難貿。不計膂力愆。旁搜無或漏。澤瀉採陂塘。山藥求巖竇。地黃種于圃。蒸曝必至九。山萸秋結實。掇拾勞左右。艱辛聚諸料。精密親舂臼。買蜜和爲丸。梧子又菉豆。遂成二三劑。溫水服朝晝。不肖業功令。及長任奔走。到今孤露喘。猶幸免顚仆。老且軀殼肥。飢猶肚皮厚。此皆藥之力。撫躬徒感舊。嗚呼昊天恩。淪肌浹膚受。圖報茫無階。昔兒今衰朽。永慕空蓼莪。頑質奈蓬蔀。和淚題藥頌。泫然自訟咎。</text>
<title>訓蒙寓感</title>,<text>我生纔五歲。慈母奄見棄。謂我無母兒。重堂愛之至。愛之能勿敎。學語便課字。王父善敎誘。人皆覿德醉。我於王父懷。坐卧起居侍。字必推其畫。句必演其義。遇物必惟斅。引伸又觸類。晩廢閒出入。提携以漸漬。拈韻常課製。吟哦發寤寐。借書無遠近。抽題無難易。由是業稍進。虗聲播鄕里。積累蒙先蔭。題名紅白紙。紅紙一大幅。夢我王父賜。祿養嗟未及。窮天但血淚。顧今我衰朽。諸孫如我穉。吾於汝輩祖。敎養卽吾事。汝旣才不超。吾且懶爲祟。客來拋汝書。睡到任汝戲。使汝如我學。庶乎大閎肆。我旣不逮先。汝難於我企。慕古徒增感。撫躬還自愧。勖哉諸孫輩。家聲愼勿墜。立揚爲準的。體吾王考意。戊午生劃前二日夢。王考袖一大紅紙長丈餘者以賜。</text>
<title>有感漫詠</title>,<text>丁卯嘉平節。汝哭汝母氏。我時縻薄宦。滯泮承赴紙。伉儷義固重。死生隔千里。乃慈素多病。羸質仍痼祟。病篤固有歸。寬排當以理。聞於至念後。疾到難醫地。蒼黃夜深黑。伯兒斷一指。指血注入喉。噤口忽開齒。須臾漸得甦。稍得省人事。遂令一念餘。輾轉啖藥餌。大限固無奈。風燭遽至是。垂絶暫回春。是汝誠孝致。人言出於誠。斷不爲瘡痏。况値隆沍節。風饕雪山峙。不暇調護力。指完盖亦異。至今掩左手。不曾使余視。余年今亦老。朝暮符到俟。恐余病不言。復汝遺體毁。毁體非純孝。從容語諸子。</text>
<title>蓮花山歌</title>,<text>蓮花山榮之傑。遠祖太白禰兜率。前對鶴駕爲儔匹。下視衆山如丘垤。起於平地何突兀。自是迢遞浮埃絶。有如流水芙蓉出。君子之德取諸物。比於玉立秀而潔。終朝對廬觀有術。千載爲我濂翁說。玆山有神神蠁肹。是以其上靈壇設。山南舊有凝石刹。嘯祖遊賞何年月。鶴沙老爺爲題跋。南嶽故事齊芬苾。山北有圃名以逸。西里靑山粧鎖密。中有主人隱蝸室。數間蕭然僅容膝。早歲陞庠仍釋褐。潦倒于今已白髮。不曾向人巧媚悅。不曾隨衆事干謁。杜陵許身何愚拙。君平棄世無得失。歸臥靑山舊蓬蓽。靑山迥與靑雲別。我家蓮花自秀發。與君相對日復日。蓮旣不爲塵所涅。我亦粗免氛埃汩。是以愛蓮永無缺。山應喜我太醇質。太華峯蓮無路折。嗟吾老去偏多疾。少時夢蓮庭階列。太人卜之兆云吉。但願山靈賜冥隲。永世此蓮爲貽厥。淑氣扶輿護門閥。若有唯諾神告曰。暮春花開好時節。惠携冠童五六七。筇一屐一匏樽一。酒後浩歌彌激烈。我且爲山歌一闋。山倘知我朴穉實。</text>
<title>西里靑山歌</title>,<text>有谷西里谷。靑山自一庄。問山何從來。來自小白陽。小白爲兜率。傑然丈人行。兜率爲龍巖。蜿蟺鱗角翔。南馳至阿峴。蹲蹲若隱藏。結腦爲一谷。窈窕如粉粧。又是蓮花山。案對秀而蒼。有巖德盖厚。有壇靈固彰。愛爾花君子。名言于彼崗。亭亭如玉立。巧與我相當。我屋蓮山北。卜吉誠允臧。恰似愿盤谷。繚曲樂無央。周圍作屛障。羅拱爲夾廊。朝霞與暮靄。沓翠沾衣裳。山月皎如燭。宜我展詩箱。山花爛如錦。宜我酌匏觴。山泉是爲蒙。兒孫訓書床。山靑每識春。僮僕課圃塲。山茅覆斗屋。山棗和藥鐺。樂哉玆山裏。主人任偃昂。淸溪出山去。樂此泌洋洋。洞門關鎖密。不曾到漁郞。山外紛囂事。塞馬又亡羊。君平甘棄世。黔婁且號康。圃逸志吾安。庵低警吾荒。嘉名因地號。追先尤感傷。吾祖嘯臯翁。卜居在源塘。東里靑山字。朱篆刻印章。築臺依小麓。構亭扁翠香。永世遺澤厚。何處寓羹墻。古宅空文藻。遺址倐滄桑。蟠溪夏寒亭。移構庶肯堂。愧余墜先訓。通籍未立揚。詞華味㾞羶。頹懶祟膏肓。縱未追喬蔭。聊此表梓鄕。靑山近吾宅。陟彼採幽芳。山中有蘭桂。歲暮爲誰光。經雨更蒼然。想得夢羲皇。愛蓮周夫子。終朝對廬匡。西山啖薺味。千載少人嘗。紫陽尤有大。名山都主張。南嶽朗吟遠。武夷棹歌長。一洗塵埃好。動靜識行莊。海東闕里山。南望又淸凉。吾先東里麓。依歸識大方。仁樂固有術。蠡管何能量。顧此山居子。墒埴走而僵。林深山路黑。跛𥌒徒彷徨。未努攀躋力。居然落照忙。只當守吾山。得失徒兩忘。樸素天所賦。貧拙士之常。願山護我家。緜緜鍾吉祥。山其必如願。俾而壽熾昌。我歌西里山。淸籟發松篁。</text>
<title>聖上謁聖日。喜而有吟。</title>,<text>干尺如今寶扆長。珠旒祗謁儼宮墻。遙知魯泮觀旂日。冠佩環橋攢祝岡。</text>
<title>竊伏聞今番庭試。聖上親臨春塘臺。坼榜之時。特命落幅中試取。盖爲鄕儒地也。大聖人不遐遺之德意。猗歟盛哉。草野賤臣。不勝欣忭。謹吟短絶。以付歌頌之義。</title>,<text>吾王聖德大如天。默運朱衣造化權。渡灞遊人交攢賀。聖朝公榜自今年。</text>
<title>奉和趙侯 亨復 拈樊巖集中韵 侯靜庵胄孫。</title>,<text>新春啓蟄出山扉。細雨梅陰訟牒稀。枵腹近沾仁化飫。衰顔暫借酒盃輝。岐亭課麥知時潤。滁閣馴禽得意飛。活佛西方齊攢手。使君今日莫言歸。</text>
<title>和宋叔敬 弘直 書巢韻</title>,<text>歲暮棲棲僦屋居。丈夫行具一車書。紹修講樹鄕風古。太乙吹藜道氣餘。愛子杠毫窮且健。憐渠枝葉密還踈。英華必自培根厚。食實吾知理不虛。</text>
<title>和金持憲聖有 樂周 水落臺續仙會韻</title>,<text>聞說溪岑曲曲廻。化翁多意好鐫裁。地以人奇仍播馥。水逢山盡自成臺。波添宿雨凝紋去。觴泛淸湍送酒來。會待明春花氣暖。龍巖隨處勝筵開。</text>
<title>退陶先生祠板迎陪之日。寓感志喜。構拙示座中諸勝。胄孫時宰本郡。</title>,<text>憶昔丙之菊。先師戾洛城。明禋伻近侍。趨拜自公卿。感戴重宸眷。鋪張曠世榮。郡庭傴僂子。遊泮舊書生。幾百年回丈席春。衣冠盡是淑諸人。滄溪故宅巋猶在。伊院齋䂓煥更新。夏課鳳麟詩訓載。先生集中有榮川諸生夏課詩語。 羣生羶蟻秉彜均。薰亭蓮社皆遺澤。宛若陪承敎誘諄。靜退賢夫子。斯邦送又來。庶幾吾黨士。從此蔀蒙開。</text>
<title>閱虎口錄。敬次木齋洪公韻。</title>,<text>蛇豕當前義取熊。落花巖壑至今崇。魚龍不敢呑貞玉。撑柱彜倫最是功。右康節婦殉烈虔誠默禱致風雷。虎口抽身嶺路開。死守孤城生亦義。一家忠孝有從來。右春睡公篤孝</text>
<title>金孝子辭</title>,<text>日。有客叩余門。卽故孝子宣城金處士潛之胤君時鈺甫也。仍袖示二冊子。其先處士遺事。而當世之諸名勝。皆樂爲之辭者也。如余之僻陋。亦屢過而覓一言。諸公之述備矣。余何庸贅爲。顧其請益勤。遂三歎。爲孝子行以贈之。聊以附閭巷歌謠之末。以俟觀風者採焉。嗟哉金孝子。事親而悅信乎朋。有朋迢迢隔大嶠。一書遠來說異徵。疇昔之夢與子迕。支離漲水元氣蒸。篤孝感神神告之。古來聞有丁公藤。嗟哉金孝子。隱居行誼無與儔。獸之猛無如虎。鳥之貪無如鶖。虎避路兮庭特。鶖墮雉兮盤羞。苟非至誠之懋積。烏能致格乎冥幽。嗟哉金孝子。負母時登鶴頂峯。母曰快哉余病甦。矧翔愉惋媚春容。孝子有子子克孝。小亭新構削芙蓉。惟有舊時峯頭鶴。日來軒外舞蒼松。</text>
<title>德巖謾詠</title>,<text>蓮花山下里。有巖名以德。得名何所因。不自言素蓄。愛爾厚重質。平穩不峭刻。其體似德人。整坐無外飾。又是最高巖。巖頭噴靈液。古來稱藥泉。三庚閙薰沐。其用似德人。利澤及人博。其德也如此。名言儘不忒。緬吾先德厚。猗歟蘊三樂。丙子虜氛腥。謝世此來卜。案頭崇禎曆。茅椽架幽壑。上仁里攸廬。巖名由是得。仍爲吾家山。世世衣冠宅。春秋霜露感。不忍踐斯石。愧余不肖輩。先猷盡墜落。否德慚是巖。聊爾共幽獨。</text>
<title>奉贐李岡老之密陽 李侯彙寧本生大人。</title>,<text>到衰憐共病。聯席穩江樓。江上梧桐雨。居然濕病眸。昔遊三浪廨。明月岳陽樓。須趁中秋節。觀濤又洗眸。</text>
<title>四逸窩十景韻</title>,<text>玉立亭亭君子叢。爲山突兀翠連空。奇嵐直向吾家媚。淑氣扶輿問化翁。蓮山對案巽維浮出玉芙蓉。知是淸凉硯滴峯。雨後增姸如咫尺。慇懃遠到爲阿儂。淸凉削玉尖削微高號筆岡。天工人事合而章。春來吐出千紅紫。輸入兒孫四友房。筆峯吐花呀然巖竇水生焉。夏雨添波遇瀑懸。近構飛泉精舍記。詩成屋未慕先賢。西巖噴泉此君逢我托根深。爲揷踈籬戒勿侵。盛夏脩脩宵摵摵。淸風時奏北牎琴。籬竹淸風童童踈杏蔭茅柴。未敢爲壇築一階。密葉繁柯濃似盖。冠童六七好提携。階杏爽籟秋來百卉盡凋零。愛爾寒葩對晩馨。想得淵明眞意思。朝來裛露喚新醽。圃菊泛觴三槐曾說德之符。舊植新栽問幾株。最是新晴明月夜。瓏陰滿地散如珠。庭槐明月坪名多朴稱吾家。四面黃雲九月奢。晨起滌場朝飯熟。課僮携銍駕牛車。朴野觀稻洞口奇巖斗印齊。有誰排置近淸溪。淸溪之水無時渴。長得朱泥署押題。印石淸流</text>
<title>拱辰臺</title>,<text>七星東里聚奎精。北拱辰居有爛明。展也棣園聯蔕樂。藹然葵圃向陽誠。遺芬不泐巖仍峻。厚澤猶存水益淸。寄語昌坡絃誦士。斯臺磅礴永無傾。</text>
<title>己亥十二月日。賜祭陶山及玉山。是時畿湖。邪學復熾。惟吾嶺獨超然。故有是命。盖正廟壬子年例也。病臥有感漫詠。</title>,<text>西洋邪穢彼何斯。嶺下淳眞被上知。宣侑頒題如昨日。濯纓潭上有豊碑。右追感昔年邪流不熄復滔天。依舊吾南一路全。魯無君子斯焉取。聖明由是禮先賢。右頌忭今日</text>
<title>己亥十二月十六日。卽我王考府君再周甲日也。記昔年周甲時。家人欲設饌餙喜。府君泫然語曰。吾遺腹兒也。奄當是年。尤倍悲慟。何忍隨俗速賓爲哉。絶不許。是不肖童時所見也。居然到再甲。今日病裏。徒增追慕。感而有吟。以示兒輩。</title>,<text>我家基址在斯年。種德貽謨永世傳。侍側童孫今老病。自憐誠薄闡吾先。</text>
<title>庚子上元夜</title>,<text>一年明月自今宵。白雪添輝轉碧霄。病目何知新景好。卧遊疑踏洛陽橋。</text>
<title>父子病齒有感</title>,<text>落盡踈牙有二三。撼搖欹側苦難堪。憐兒亦效渠爺病。忍痛低聲恐我添。</text>
