<title>謁箕聖墓。續守護所板上韻。</title>,<text>北兎山城外。一抔土幾春。焚香因四拜。我本化中人。</text>
<title>新漲餘。泉石尤皎潔可愛。臨江築小壇。壇下疎溝引川。爲濯沐之所。</title>,<text>江聲起我暫捲書。洞壑鮮明一漲餘。小柳依壇休繫馬。新溝引水僅容魚。蒼苔盡處川光洗。亂棘除時樹影疎。鎭日淸遊容易得。名區何幸近吾廬。</text>
<title>遣悶</title>,<text>鬂髮星星異昔時。尋常憂樂恠相持。兒多夭折愁生子。歲少豐登嘆茹芝。萬事關心俱可笑。百年如夢欲何爲。生來喜托眞滋味。只有一篇案上師。</text>
<title>遠遊</title>,<text>一生矻矻欲何求。掩卷深思更眩幽。道則有門明若火。山如虧簣反成邱。百年如夢人皆死。萬里有程我可遊。從古蓬萊平地在。津夫謾泊木蘭舟。</text>
<title>契會</title>,<text>修契羣賢集此齋。年年一敍片時懷。饒令高會如今日。何恨相居各一涯。無限工夫心上在。有誰事業最中佳。爲君勸進竿頭步。道不難知又有階。</text>
<title>呼韻輒述</title>,<text>人皆倦學謾求安。如是平生事豈難。歲將逝矣多虛老。詩不云乎戒素餐。病根要去唇傷苦。相業欲修鼻吸酸。寄語文房多少子。緣窮戀達太無端。</text>
<title>旬休日。畧設小酌。</title>,<text>招招我客水西涯。鼎煑春光臭味佳。詩拙浪傾豪士酒。鬂衰羞揷少年花。靑山有約今相訪。白日知心故不斜。大醉尋常行處臥。緣陰往往爲君遮。</text>
<title>行鄕射禮</title>,<text>山齋雨歇日初陽。矍相遺儀一擧行。爭也可觀君子德。樂乎迭奏太師章。狂夫登席容猶戢。拙士挾弓氣且長。百拜難成今日醉。賓筵非不共傳觴。</text>
<title>江壇閒敍 二首</title>,<text>臨江松樹也千年。六月淸風驅暑烟。多事休煩黃鳥語。無心時與白鷗眠。登樓最好迎新月。積玉終難買此川。肉眼不知眞界在。枉從方外喚神仙。喚我友生誓一生。斯文將絶奈傷情。起亭蓋欲同栖息。買籍誰能大講明。天借名區藏水石。人從閒隙步江城。迎風不覺徘徊久。萬樹蒼林霽月橫。</text>
<title>江壇閒吟</title>,<text>浮生且得片時遊。才到羅山又下流。積雨方開江水碧。嘉禾交翠洞天幽。好音偶爾來黃鳥。淸興何須問白鷗。詠歸不覺斜陽晩。一角層欄是我樓。</text>
<title>江亭新成</title>,<text>小亭新築大溪陽。剩水殘山次第光。依閣蒼松春自若。滿簾明月夜方長。烟霞讓我居然得。詩酒因人到底香。坐客相忘三夏苦。欄干十二盡淸凉。</text>
<title>江亭邀月</title>,<text>披襟來坐五更樓。月入蒼波一色流。峽水爭鳴全夏雨。林風乍動半山秋。天光如畫收雲脚。酒氣方濃枕石頭。顧我人間何似者。淸閒自足此中留。</text>
<title>江亭觀水</title>,<text>露草深深挾道生。亭前物色未全晴。東風有力驅雲起。大雨無心盡日橫。禾稼恐傷人有語。烟波可愛客留情。棹歌喚出漁舟子。滿地江湖一望平。</text>
<title>江亭秋夜。高會讀書。</title>,<text>萬事經營在厥初。恐將虛老百年餘。四郊風冷三秋晩。半夜燈明一點疎。聖訓深深看仔細。眞工進進樂何如。傍人不識吾人事。謾指江亭是廣居。</text>
<title>江亭夜會</title>,<text>一帶蒼江四繞林。漁歌遙答古人心。三更夜待東山月。九節灘舂萬斛金。遠樹風來天氣爽。新亭秋薄客懷深。烟光欲使長長見。不許傍人到底尋。</text>
<title>江亭閒敍</title>,<text>林泉舊約重相尋。楊柳靑靑水又深。小子莫言今世事。老夫方識古人心。書宜體認須三復。詩或乘閒索一吟。江亭美酒爲君醉。適有黃鸝一兩音。</text>
<title>對友人閒敍 三首</title>,<text>百紛叵耐客懷輕。事不交爭是發明。雙鬂霜來驚似夢。一心茅塞愧虛名。高談須待傾樽訖。佳句每因對客成。安得如君知己友。相忘身世過平生。數椽茅屋一黃篇。塊守靑山四十年。歲去如流眞夢寐。事來不盡輒周旋。溪鱗縱壑能歸海。林翮乘風或付天。問我人間何事者。慨然欲說又茫然。人生斯世决非虛。况復頭邊日月餘。萬事皆要從實地。一心只恐得浮譽。客來初熟山中酒。聖去猶存案上書。說話長長君莫惜。明朝別後又分居。</text>
<title>從經義齋丈席及諸益。再遊滄浪。行鄕飮禮于遯庵舊亭。因泛舟滄浪。</title>,<text>細雨東風乍欲晴。輕輕客步又春城。百盃難得三賓醉。一棹饒穿萬頃平。好向層臺懷古跡。閒將短笛假春聲。興來要學童年事。折揷花枝滿首明。</text>
<title>寄趙承旨 光淳</title>,<text>縹緲香岑完一涯。停驂何處最云佳。檀君去後巖餘窟。野客來時洞有花。白日雷從飛瀑落。靑山路挾亂藤斜。寺僧也識承宣貴。爭挽藍輿又道遮。</text>
<title>奉敍松隱金國鉉</title>,<text>灑落秋風滿客衿。吾人樂土卽幽林。松憎時變恒春色。鳥憶前緣尙古音。歲儉終妨詩酒會。朋來自若樹雲深。通霄談話相無厭。更向離筵索一吟。</text>
<title>奉敍爲己齋楊命浩</title>,<text>坐大南州五十春。賢聲已飽遠方人。喜深生面還如舊。情近恒談却似新。吾道將孤終有賴。淵源何在獨尋眞。年來要識昌平路。起傍篙師欲問津。</text>
<title>奉敍藻溪魚用珏</title>,<text>書窓寂寂九秋間。客到初筵喜舊顔。講道何庸驚白髮。有錢且好買靑山。萬人皆笑無妨拙。一世多難獨占閒。關北自來豪士窟。膏車秣馬願從還。</text>
<title>謹次雲庵家兄韻</title>,<text>灑落楓林一草廬。主人心事淡如虛。禀來自有渾然性。讀去誰非眞箇書。若對薰蕕分美惡。肯將人鬼昧親疎。試看宇宙茫茫裏。幾許男兒事業餘。</text>
<title>步琴史送客韻。答蕊村賢者見寄。</title>,<text>爲學工夫易失時。幸君折節講文詞。一生需用心爲本。萬事料量道可離。反己先須求有得。向人何必嘆無知。挑燈畧說吾儒事。千里相逢固未期。</text>
<title>和本倅曺寅承合水臺韻</title>,<text>合水臺前合水飛。官舟一葉泛來微。山何意思無窮立。川欲朝宗罔夜歸。兩岸柳黃鶯並勢。雙江沙白鷺分輝。風烟拾盡奚囊去。不許遊人更拂衣。</text>
<title>和白參奉洛淵</title>,<text>四十年遊翰墨中。鬂邊霜髮獨餘功。雖知大道平如砥。其奈孱功每捕風。安素只緣天賦拙。尋黃敢曰世心空。終來埴今猶昔。往往指南又措東。</text>
<title>和洪建五</title>,<text>有志誰能事事成。居然白髮夢中驚。山間眞樂烟霞足。物外狂心富貴輕。先世同隣曾有誼。老年相對更多情。一壺濁酒淸江上。慇懃謀醉待春明。</text>
<title>和鄭得鍵</title>,<text>積歲斯門鎭士林。先生獨守古人心。心如無欲眞如玉。寶在爲仁不在金。誰可扶陽秋已至。人多埴夜何深。勸君一掃昌平路。幾許荒榛客未尋。</text>
<title>和盧悳濟</title>,<text>年來多士會三陽。從此斯文庶有光。可愛竿頭爭進步。偏羞蓬髮半如霜。假令日夕能兢惕。何患名聲不馨香。案上詩書遺訓在。不須此外別求方。</text>
<title>謝盧悳濟委訪病中</title>,<text>一臥三旬病不輕。孤燈夜夜伴人明。千氷救火心猶熱。百藥戰邪腹又鳴。幾向琴書忘宿約。才聞蟋蟀已秋聲。高軒此過終多感。欲贈新詩奈調平。</text>
<title>病中續李文汝韻</title>,<text>自來五性粹然成。不以桀昏堯以淸。反己惟當修實德。向人何必買虛聲。我欲求之皆道理。誰能知了有門程。早春喜對南州士。自說平生大結盟。</text>
<title>大病中。續家兄藏修齋韻。</title>,<text>留心古籍世心輕。聖訓深深欲講明。歲不與人如駟走。我將爲善復雞鳴。山多奇險因依重。齋育英雄少有聲。依枕思量前後事。堪羞無用老昇平。</text>
<title>續諸儒江壇習禮韻</title>,<text>三築小壇覺稍寬。有時登覽足相歎。花因續發春常在。樹借淸陰夏欲寒。射罷眞知遊有藝。禮成豈曰醉無端。閒中日月長如歲。且傍山人學考槃。</text>
<title>別爲己齋楊命浩</title>,<text>超然領得浿西春。世不相知奈若人。累屈車徒良可謝。重論經史覺生新。何愁異說滔天起。自有斯文恁地眞。一片靈犀今別後。河山未隔去來津。</text>
<title>贈別書狀官曺寅承</title>,<text>早識先生天下士。騑騑四牡向誰邊。燕山雪白三千里。東土篚玄二百年。事大交隣終有道。陳詩觀樂奈無緣。云云胡越雲如集。不妨英名薄海傳。</text>
<title>贈別梁司馬鳳濟</title>,<text>十年一會本來遲。別意深深復此詩。赤手起門眞傑士。靑山送日豈男兒。有心天下無難事。投足人間肯擇時。第待功成名立後。侯公上蔡亦云奇。</text>
<title>贈別姪婿金德銓</title>,<text>客袂翩然遡遠風。離亭初日半將紅。非徒貳室圭三復。更向緇帷月六同。幸我晩生千聖後。知君先意五經中。義精仁守吾人事。不必讓他別界雄。</text>
<title>贈科儒 二首</title>,<text>豪士當今更有誰。黃篇共對古人遺。積功每恐山虧簣。擧足何多路別歧。對客傾樽靑泛蟻。凭欄看雪白如梨。十年交契今霄話。無恠初筵喜動眉。客自新安意氣橫。橫穿積雪馬蹄輕。十年燈下孜孜業。三日塲中藉藉名。莫向殘溪投小網。須尋大冶抗高衡。男兒自有平生事。回首芸窓霽月盈。</text>
<title>贈成川諸儒</title>,<text>南來佳客帶新陽。却使蓬門賴有光。家在神仙樓下月。鞭輕乙酉歲前霜。千聞奈若風聲大。一見果然臭味香。四顧終鮮扶此道。幸君學步早知方。</text>
<title>贈金益濬歸覲</title>,<text>南州士友之來講者。往往淸敏勇詣。北方學者。例未之及。而金友君三亦以弱冠時。就余講論。今七八年于玆矣。淸寒到骨。坦然不顧。其精硏自得之趣。進進不已。抑所謂嘐嘐然古之人古之人者歟。余亦甚愛之。而又喜其當此之時。亦有此人也。因省覲之行。朋友各以詩贈之。余亦從而續之。以成其相好之美。三秋垂晩又兵塵。安得鄕情不日新。非學難爲天下士。耐辛幾作旅中人。寸陰雖惜靑春案。一念常懸白髮親。征馬聲聲嘶且踏。江城何日渡寒津。</text>
<title>贈白舜甫</title>,<text>吾友舜甫卽端士也。自淸溪同講之後。每切一會之念而未之得焉。越十年庚辰。再得會講于鶴山之陽。足以續宿昔未了之懷。而於其歸也。戀戀有不相捨之意。然離合亦數也。旣淸溪之別而復得鶴山之會。安知鶴山之別。又不復會于別處也。因以一律筍蔬之詩。奉勸講學之進就。兼瀉其離亭眷眷意云爾。與君講學十年期。篤信守眞更有誰。大道自餘先聖訓。神功肯讓別人知。若將塵刹身心奉。何恨芸窓歲月遲。把酒難成今日醉。春輝報處寸心持。</text>
<title>贈金祉文</title>,<text>客到山扉四座圓。博陵儒術古來傳。經綸不在黃篇外。志業須成白髮前。道體試看東逝水。性情白是一般天。幸君年少心能大。學海微茫欲泛船。</text>
<title>贈金漢縉</title>,<text>家兄曾於蘗山講道之日。與錦溪先生最密。平日談論。累累及之。其鄕村字號。歷歷可記。一日其胤氏菊村子因燕山路。相訪於鹿門書室。感古念今。不覺悽然下淚。而况其詩禮之學。克承衣鉢。在士林間。大有名聲。數日周旋。情志甚近。而適以詩示同志。意致甚好。數年嬰病之餘。不近吟咏久矣。心竊有所感。書此而贈之。以講世好云爾。病臥無時不慨然。如何世故大非前。故人有意來千里。往事將言感百年。斥楊誰起鄒夫子。蹈海願從魯仲連。日後斯文扶植意。爲君提說再三焉。</text>
<title>贈金友見訪</title>,<text>芸林有客馬蹄輕。未敍寒暄眼已明。應費幾年多少力。始傳今日若干名。花經朝雨爭先發。松待秋霜始晩成。物理猶然人不異。丈夫此世豈虛生。</text>
<title>贈康大承</title>,<text>涯角居然各一方。君歸百嶺路長長。林盟應向猿相結。塵慮也從鷗與忘。絶粒無妨因道氣。抱經何不惜流光。膏車秣馬遲遲恨。䕺桂秋風幾度香。</text>
<title>贈車成章</title>,<text>從我講論幾箇辰。英年儀表最彬彬。何愁異說滔天起。且喜眞工不日新。聖與同歸方是傑。書能徒讀豈爲人。知君志業將來大。學海迷茫勇問津。</text>
<title>贈白周翁</title>,<text>當年講會又今春。客到初筵意轉新。萬死須明儒者眼。一生恐負丈夫身。何愁異說紛然起。自有天公賦與眞。近日山窓多寂寞。幸君來話洗心塵。</text>
<title>贈流散朴廷堯</title>,<text>朝宿西家暮向東。一筇禿盡八方風。百年寒暑單衫裏。千里江山兩眼中。天下英雄空手赤。人間仙者老顔紅。尋常憂樂相忘地。還笑韓翁夜送窮。</text>
<title>贈海印寺僧</title>,<text>日夕獰風捲雪飛。呼寒白衲忽驚扉。俗緣自謂新羅裔。禪步遙從海印歸。若使如來眞有術。胡令君輩困無依。前村乞飯猶過分。背却天倫罪不微。</text>
<title>送金華億東遷淮陽</title>,<text>停泊一身便是廬。送君溟海泛舟虛。許多君子皆當面。事係舘主而遷故云。 幾箇男兒善讀書。且信靈犀千里照。却忘歸鴈尺音疎。悠悠往事還如夢。不必向人話緖餘。</text>
<title>送吳道斌歸覲嘉平</title>,<text>積曠省圍歸步輕。陳談再誦故人行。千求自有三年艾。一築難成萬里城。時事祇今終莫測。斯文又此寂無聲。英年志學如君少。奚獨區區惜別情。</text>
<title>過故人溫庵金秉瑋墓</title>,<text>尙記當年相會日。津津眉語細如沙。淸溪月下同吟咏。雲谷庵中幾講磨。君去泉臺何寂寂。我看鬂髮半皤皤。靑山宿草斜陽路。哭亦不宜奈忍歌。</text>
<title>過開平驛</title>,<text>開平一路路從東。大野茫茫一望中。灌漑新田民事熱。荒凉古驛馬羣空。淸風驅暑扇無事。困步登程杖有功。舊日繁華今寂寞。騷人到此意何窮。</text>
<title>題价川莎村李孝子旌門</title>,<text>莎村故戶再新明。御筆親題孝子名。孰不愛身凌死地。公知有母得眞情。更無人與同其節。獨有天知降此榮。偉跡自當登史繪。一詩先慰九原精。</text>
<title>題李孝子㫌閭 長峴</title>,<text>一世皆稱眞孝子。九天恩詔下遲遲。剖氷躍鯉終難信。揮雪釣黿始不疑。從古悅親容或有。如今事舅又爲奇。傍人欲問興家術。試看雙旌揭畫楣。</text>
<title>題雙湖齋</title>,<text>雙湖一面十分春。色色風烟早晏新。波勢平時龍睡穩。潮聲急處鳥啼頻。魚耶大小相忘久。水則東南遠會均。舟楫留連吳楚客。知否今日問津人。</text>
<title>藏修齋新成</title>,<text>鹿門舊有齋。來遊者患狹窄。種種有新建議。余憚力費。初未承應。歲己丑。吾友金仲三力主其事。於舊齋西負艮以開基。伐材運石。剋期乃成。凡若干楹。足以容多士。而翌年春。又建前廊五柱。又翌年。板樓瓦役畢。凡三年而始得成。土木之難。乃至此乎。巨文山下小齋成。往往風烟自足淸。遠客來言修禊事。新樓喜聽讀書聲。聖垂至訓明如鑑。我欲爲仁自有程。天下事皆吾度內。肯從猿鶴覔寒盟。</text>
<title>經義齋去路</title>,<text>遲遲客步晩相尋。庵在蒼蒼老樹陰。病脚登途憑酒力。輕衫透汗洗江心。一春花事云成古。四野農謳又屬今。最喜斯文興有兆。三川水色近來深。</text>
<title>雲齋雅會</title>,<text>亭亭壇樹尙如初。大野中間有廣居。風雪交橫晨煑酒。衣冠襍坐夜論書。異言塞路誰能闢。隻手擎天計亦疎。願與諸賢同勉勵。滿架經籍是師餘。</text>
<title>初到朝陽齋</title>,<text>三陽客到一陽時。老石衛庵地勢奇。萬樹杉松新別業。一床書籍盡賢師。誰知畢竟英雄士。出自尋常小學兒。奉勉芸窓多少益。光陰不必待人遲。</text>
<title>齋居書事 三首</title>,<text>積歲幽林講本原。流光不覺疾如奔。世情稍解身猶隱。字體欲成眼已昏。種稻先思承祭祀。買書最好敎兒孫。年來如得山人態。肯放一筇謾出門。滿洞風烟早晏奇。尋常世事不遑知。門垂柳葉題詩好。庭拾菊花泛酒宜。一片氷心看素月。四時鏡面對方池。朋情欲欝春將暮。時有啼鶯喚古枝。窮陰盡處已胎陽。牢坐山窓送歲光。自若松靑前夜雪。尋常樹落去年霜。寒威此日休言苦。花事明春不遠香。日月偏閒林下屋。擁爐煑酒學仙方。</text>
<title>訪屛泉齋</title>,<text>擧坐停盃聽我謳。屛泉一洗舊年秋。蓮塘新鑿魚方集。林閣初成鷰自留。寧抱遺經同去就。肯從汚俗共沉浮。勸君更進竿頭步。學海至今無恙流。</text>
<title>訪遯後齋</title>,<text>歷盡千村渡小溪。衡門灑落傍山低。臨軒雜樹森相衛。繞屋奇巖亂不齊。客喜尋眞朝走馬。誰能爲善夜催雞。春風習鳥知人意。飛向講林早晩啼。</text>
<title>留箕子墓守護所</title>,<text>於焉積雪轉爲春。依舊江山面面眞。綠水醱醅千斛酒。東風灑掃一城塵。淸明時節逢佳客。錦繡中間着此身。歸路長鞭鳴不遠。故園物態也應新。</text>
<title>留守護所。謝金進士靈仲，黃注書仲立來訪。</title>,<text>五十功名守護生。客來多感舊年情。酒要永絶因人醉。世不相關强我行。隱几心如千斤重。下山身似一毛輕。錦城雪盡春將半。回首鹿門霽月明。</text>
<title>築堡歌芝山</title>,<text>依山築得小城堡。時有寒風動繡旗。千尺峰高占地利。四隣雲集又天時。莫愁强敵乘間入。只恐吾人見事遲。彈劒遙看靑海戍。狼烟點點起如絲。</text>
<title>登芝山民堡 二首</title>,<text>古峽嵬然接上淸。巖間路狹馬蹄驚。靑山欲老花因繡。綠樹無言鳥假鳴。五月風來驅暑氣。三盃酒後話眞情。時時佳會無難得。幸有雲邊一片城。一者登臨與子論。誰人到此不消魂。依山結堡風塵遠。擁樹爲亭日月昏。小井源深新汲水。數家烟接自成村。種桃不許漁郞覔。令付兒童閉洞門。</text>
<title>登馬馳嶺</title>,<text>馬嶺壓川俯百尋。客筇隨處路森森。柳含春意將舒色。鳥得風情載送音。覽遠縱開千里眼。濯淸挹取一江心。昭光不偶慇懃會。到此何妨啓浩襟。</text>
<title>白老人回甲 恭汝</title>,<text>流光倏忽夢中催。六十一年瞬息廻。假使壽能千百歲。尋常憂樂漫徘徊。如是何必苦苦求長生術。秦皇沒覺邀神仙向蓬萊。今酒盈樽肴又芳。世間多少事都相忘。樂與東家兄西家叔。相對坐一杯復一杯。</text>
<title>登吐螺山 二首</title>,<text>山高百丈草過腰。迂路將登渡石橋。伏日初來知苦熱。親朋四集不須招。天荒積痼因人破。石氣多頑對客驕。此日淸遊猶自足。抱琹何必又明朝。行行半日僅山腰。連絡盤巖似石橋。絶處雖奇安處歇。前人不見後人招。斷崖如削猿猶拙。宿霧未捲虎尙驕。努力一登峰上坐。尋常列嶽摠來朝。</text>
<title>登壇聽水</title>,<text>新築小壇數步寬。登臨又得一江歡。當階雜樹羣生蔭。隔岸長風遠送寒。已識靑山眞可愛。偏憎白髮太無端。云云道體如斯逝。水自淸漣復屈盤。</text>
<title>登含毬門</title>,<text>生來每說箕城景。纔到箕城却杳然。一幅綃寒檀聖幀。九疇井古父師田。世情流水同歸海。往跡浮雲已過天。大坐層欄因四顧。風煙只在有無邊。</text>
<title>登浮碧樓 三首</title>,<text>未敢自詑壯我遊。風烟到此足驚眸。城跨斷岸形因勝。樓入層波影共流。古寺鍾鳴僧禮佛。漁村月白客尋舟。王孫麟馬今何在。春酒一盃願告由。依然坐我半天遊。出沒江山亂入眸。城固千年支老石。棲高百尺俯淸流。迎風最好雲歸壑。愛月無妨夜泛舟。勝地自多人客會。相逢不必問來由。短筇不讓向人飛。歷盡繁華又翠微。名榭看來盡畫界。奇巖到處卽漁磯。慇懃對酒眞佳會。次第尋山未敢歸。醉面將紅春水綠。永明寺外送斜輝。</text>
<title>登合水臺</title>,<text>自來名勝豈人功。適會東南濟濟雄。魚腹雙含千里水。鴈翔獨帶九秋風。川何激石因隨怒。洞欲受雲已太空。童子莫言歸路晩。知心明月遠相通。</text>
<title>登乙密臺</title>,<text>飄然高閣接天橫。錦繡江山眼底平。箕子來時均井地。檀君去後吊孤城。霏霏雲合朝烟色。在在眼疎遠客情。登覽不勝懷古意。千年喬木是西京。</text>
<title>仲春登淸溪前峰</title>,<text>斷峰眼界濶無方。看取韶華屬吉良。雪向東風驕氣盡。松經朝雨活心長。遠林春寂禽流語。陰郭雲晴野有光。陋學非言登覽興。偶然物態會心鄕。</text>
<title>同諸友登歌芝峰敍懷</title>,<text>世間何事不能堪。從古英雄起草庵。大德川流終合一。此身粒小猶參三。迎風送暑天方午。抽筆題詩客自南。此地不宜無此飮。半樽春味倍前甘。</text>
<title>同本倅全龍九遊屛泉齋</title>,<text>層欄飛出白雲間。揮汗登臨萬事閒。村巷有緣迎皁蓋。風煙無跡問靑山。詩兄壓坐難開口。酒友相尋始解顔。一片方塘庭下水。笑看兒子釣魚還。</text>
<title>同小友入香積山</title>,<text>行行客步到山頭。眼界依然遍九州。隨處花明眞可愛。片時路險不須憂。曉鍾遙撼雲林起。谷水新添夜雨流。笑向龍門川上坐。沿江老石泛如舟。</text>
<title>同講友金潤卿因端陽節歸覲。贈一言以勖其進取。</title>,<text>斯文欲絶與誰明。屬意吾賢已不輕。出門易失邯鄲步。閉耳休聞衆楚聲。前顧後瞻終害事。一心長進始爲誠。片時相別何言惜。一慰閭望遊子情。</text>
<title>文谷卽事</title>,<text>閒中日月最分明。葉落花開又鳥鳴。愛聽農謳巡四野。貪看詩會步春城。繁霜首㥘頻窺鏡。靑史眼疎更促檠。山日欲斜人意倦。笑將棊局點輸贏。</text>
<title>文山松楸欝然成林。皆先人手種。故愛養甚至。宗孫來斫。勢不可禁。</title>,<text>我家先隴文山下。萬樹松陰咫尺深。種乃屢經前世手。養何敢慢後生心。非徒今日瞻望地。係是幽靈陟降岑。忍使宗孫來剪伐。盈林垂露淚冥襟。</text>
<title>[宣化書社 並小序]</title>,<text>邑之東二十里。有村曰宣化。卽余十三世桑榟也。去丙申。故僉樞金公與邑宰及州人士。刱立一書社於里之峰斷水會之頭而立碑記蹟。名之曰講堂。不害爲山中一奇絶也。公首延我梨園祖而敎諸生。其時士多成就。至今傳誦。亦可謂盛矣。越丙午辛亥。家兄又再授生徒。余亦以童年就學。所種松檜。今皆十尋。而講禮之壇。鞠爲茂草矣。今年九月。余復會集羣儒。觕定齋䂓。事係草刱。百度疎虞。但水石之勝。琹書之樂。想古視今。彷彿一轍。因續齋友韻。畧展其槩云爾。遲遲講曾始今年。小屋重新鞠草邊。入夜松鳴兼霽月。當春水活復淸烟。留爲遠近藏修所。揖進東南雅飭賢。若把羣經能致力。不無好事在顔前。</text>
<title>發香山路</title>,<text>西州名勝最香岑。喚我賓朋試一尋。歲久靈檀王肇跡。春長祇樹佛傳心。眞仙世守烟藏壑。遠客時登路出林。次第羣山遙指處。短驢嘶破白雲深。</text>
<title>滄浪亭。卽遯庵遺址。而傍有可以結社講會之處。</title>,<text>滄浪亭水上流頭。勿字山容儘絶幽。巖石待人千歲老。杉松無主半尋修。短碑苔沒遯翁字。遠浦波鳴孺子謳。寄語文房多少益。何妨此處起書樓。</text>
<title>遊深源寺</title>,<text>緩步尋春到佛區。鳥啼花落洞門幽。山要鎭壓依天立。川愛朝宗捲地流。訪隱先從松下問。挾仙最好霧中遊。年來饒得泉林趣。何用䂓䂓分外憂。</text>
<title>遊陽和寺</title>,<text>暫追皁蓋步天淸。洞府深深路且平。暮鳥爭喧山有語。晨鍾灑落客忘情。塵心忽與禪心幻。詩力常從酒力生。此地幽閒身可隱。炎凉世事摠浮名。</text>
<title>和曺倅題陽和寺韻</title>,<text>咫尺香山又此岑。雙開西竺大空林。浮生有約來眞界。老釋無言認佛心。虛谷效聲鍾愈壯。歸雲停彩洞增深。呼僧欲問奇觀處。樓外長松摠十尋。</text>
<title>續諸儒遊陽和寺韻</title>,<text>竹杖芒鞋古寺東。穿林路出步淸風。霏霏雲合僧過後。隱隱鍾來客夢中。有草皆靑開錦繡。無花不發滿山紅。蹇衣更陟層巒上。點點齊煙眼底窮。</text>
<title>同曺倅和陽和寺扁上韻</title>,<text>百轉蒼崖一逕斜。行人脚下起烟霞。洞天綠樹皆千歲。佛塌紅蓮度幾花。與語樓中新法士。題詩扁上舊官家。坐來如得眞仙態。無恠山僧到處誇。</text>
<title>陽和寺同曺倅吟 二首</title>,<text>偶入鍾樓屢徙依。一山物色共人知。打來法鼓更三點。啼去珍禽聲四時。詩盟有主驚佳句。酒令無巡撼醉思。最喜夜深雲捲處。盈盈霽月上疎枝。欄干十二慣相依。風景何須問後知。樓濶天高雲捲處。夜深鍾落月來時。蒲團上臥僧無事。淨界中留客有思。香積山如葱嶺翠。春光常滿菩提枝。</text>
<title>重陽。同全倅遊陽和寺。</title>,<text>世外雲林別有天。客來無怪互爭先。寒山欲瘦庭開菊。新月方升洞掃煙。野墓焚香知九日。誰人落帽笑千年。却忘身是塵區客。空對丹楓坐杳然。</text>
<title>九月再到陽和寺</title>,<text>一旬再見十王天。欲及丹楓未老先。梵林猶照人間月。淨界元無世外塵。路傍奇巖皆似佛。霜經古木不知年。名區盡日追隨處。却對高賓又洽然。</text>
<title>回甲日自題。以存感古傷今之懷。</title>,<text>六十一年海戍淸。紛紜今日亦昇平。流光倏忽回先甲。感淚縱橫奈此情。餘慶方爲新太守。痴心猶似舊書生。從今未晩追修日。每向斯文愧負名。</text>
<title>白司諫回甲</title>,<text>諫議大夫荷石大兄花甲再周之日。父兄子弟咸慶之。設行小宴。遠近士友聞而壯之。作詩以助飾其慶。儘盛事也。余於大兄。實有深契。其敢諱拙而不爲之一言乎。乃翁偏享福之淸。花甲居然再度成。有袖爭翻皆彩色。無人不賀盡歡聲。朋罇酒滿紅潮熱。陸地仙來白髮明。寒事相關躬未會。區區餘意五言平。</text>
<title>農坡翁回甲</title>,<text>舊甲重來歲月遲。回看前事夢中移。深閨夜暖無窮約。寶樹春長不盡枝。蟬翼相磨專仕籍。童顔自若老明時。擧盃遙祝將來壽。非必百年是定期。</text>
<title>哭幼孫</title>,<text>五十抱孫已太遲。居然中折不曾知。死生有命夭非命。神鬼無私此則私。强欲呑聲奈下淚。或相來吊答何辭。憑渠屢說傳家語。萬念如麻未敢悲。</text>
<title>輓金公呂實</title>,<text>來適其時去亦時。百年倏忽我何知。淸霜夜月風過燭。弱草輕塵雨打枝。非獨朋情歸寂寞。更令齋事致差遲。苫孤攀哭靈輀發。滿路白楊摠可悲。</text>
<title>輓金公義燮</title>,<text>七十年來自養眞。傍人皆曰厥心仁。有盟欺我先乘化。對酒無人共樂春。赤手興家翁乃傑。靑山起塚孰爲隣。妻啼兒哭終天恨。當日蘩華淚一巾。</text>
<title>輓盧君仲敬</title>,<text>相笑相談如昨日。可憐抔土已封莎。同心氷月無雙士。赫世襟紳第一家。酒樓春盡悲壺鳥。講樹霜過吊晩鴉。共植斯文來後約。令人念此倍咨嗟。</text>
<title>病中續李文汝韻</title>,<text>遠朋來賀小茅成。一席風儀到底淸。詩債頡頏高士望。眞工收拾古人聲。無心干祿常茹菜。有志窮經自倍程。此去朝陽知不遠。何庸別路更尋盟。</text>
<title>續諸儒箕宮韻</title>,<text>西風驅我浿中歸。再拜宮庭古蹟微。郭外井田春可種。墻頭矮柳老相依。三千里域風猶在。半萬員人鳥共飛。惟有八條遺敎在。當年物色到今稀。</text>
<title>和槐庵韻</title>,<text>先生此世卽先民。林下盤桓幾十春。自有操縱修野史。何曾嚬笑向時人。淵源相續簷看水。榮辱將忘澗束薪。一席趍風來後約。更從令抱話心眞。</text>
<title>和鄭就奎</title>,<text>男兒事業不曾輕。何幸靈臺一片明。理義須從心裏得。榮枯肯向世間鳴。三春花發山成色。千里源長水有聲。今日相逢何太晩。憐君志學誓生平。</text>
<title>贈鮮于</title>,<text>仁山何處定幽居。再度相逢笑挽裾。志大將承明祖業。家貧猶讀古人書。一心收拾終爲寶。萬事紛紜摠是虛。學問無窮人易老。年光不必爲君餘。</text>
