<title>吟雙檜洞鄭生幽居</title>,<text>茅屋隔山幽。淸溪抱岸流。閉門無客到。正合暮年休。</text>
<title>寒竹</title>,<text>綠竹猗猗叢色寒。淸陰歲暮保琅玕。坡翁南海欣非俗。虞女湘江淚未乾。疎影當檐凉氣襲。靑光入戶細煙看。虛心孤直凌霜骨。挺立千秋意不殘。</text>
<title>雪梅。與金汝厚 世寬 共吟。</title>,<text>淡淡娟娟雪裏梅。寒天春色被誰催。古楂壅腫三枝秀。瓊蘂婆娑數點開。疎影倒堦微月白。暗香穿戶好風廻。松壇客到新醪熟。分付兒童洗玉杯。其二短短山家一樹梅。南枝消息臘前催。嬋娟玉頰迎風冷。綽約冰容帶月開。雪興灞橋詩上動。春愁羌笛曲中廻。相逢怳似羅浮夢。直到橫參勸酒杯。</text>
<title>十月過龍湖漫唫</title>,<text>萬里乾坤雪色寒。數聲漁笛落前灘。尋巢倦鳥投千嶂。繫纜孤舟載一竿。浦口暮煙凝野外。江村斜日下天端。此間有味知誰會。獨伴沙鷗恰意歡。</text>
<title>隋城夜操○載風謠續選</title>,<text>海戍孤煙逼夕曛。北風鼔角正紛紜。隋城獨鎭防邊使。揔帥三營大將軍。客裏竆陰交十月。天涯瘴氣溼南雲。男兒努力輸肝膽。宜結山河帶礪勳。</text>
<title>次洪生世佑寄示韻</title>,<text>百秊懷抱向誰開。彼美遙憐北郭隈。蔑學此身如斗久。摳衣從者若雲來。淸襟霽月當空淨。素履孤松戴雪嵬。安得共遊蘭蕙室。詩騷日日與君裁。</text>
<title>次洪生詩○洪生詩格淸越。詞源宏麗。不揆愚拙。謹構一律。所謂瓊琚木瓜。以貢一哂焉。</title>,<text>詩壘堂堂墨陣斜。歎君詞格自成家。醇襟不待杯深淺。蘭氣何關室邇遐。春到柳溪初展葉。雪消梅塢欲生花。世間榮悴今休說。可奈人情薄似紗。</text>
<title>次洪生堤柳詩</title>,<text>三月東風嫰綠新。長堤曉色雨餘春。烟籠紫陌看花伴。枝拂龍池送院臣。原上正多駐馬處。夢中誰是打鶯人。年年細柳將軍宅。兵籍倥傯惱此身。</text>
<title>洗劒亭。奉次諸公韻○丁卯。摠廳移建于蕩春臺後。戊辰新構亭也。</title>,<text>佳節招邀少長來。漸看花事滿春臺。衆巒含翠干雲際。小檻流丹枕水隈。滕閣奈無王子筆。鶴樓惟有謫仙杯。金湯陰雨從誰問。解劒將軍日往廻。</text>
<title>述懷示汝厚</title>,<text>翰墨相隨有好期。金蘭深禊白頭思。聯襟細酌新醅酒。披篋先搜舊詠詩。當戶遙山芳草色。隔簾啼鳥落花時。衰秊方得沈痾愈。未害逢塲笑語遲。</text>
<title>賞春</title>,<text>沿溪步出一山坡。不飮佳辰可奈何。老子尋花唯杖屨。田翁種麥自農歌。仙方無賴朱顔改。世態難禁白眼多。忽見夕陽春社散。琴罇相拍醉人過。</text>
<title>坐對南山</title>,<text>蠶頭一帶漢陽城。粉雉靑螺縱復橫。北面拱來天自近。南風吹處地難平。石泉隔屋雲猶溼。山翠生簾雨勝晴。對此悠然相不厭。霧中雙眼老還明。</text>
<title>病臥書懷</title>,<text>世間榮辱本無期。滿目湖山夢裏思。怕發狂心休嗜酒。慚多拙句廢吟詩。飛花可惜靑春過。短帽還憐白髮垂。病臥孤懷誰與說。閒雲倦鳥共遲遲。</text>
<title>登三角山</title>,<text>漢北風光屬晩晴。鴻濛元氣二儀淸。芙蓉削出奇峯立。嶽瀆爭來遠海平。翠壁丹崖聞鸖唳。琪花玉樹絶塵情。登臨欲報烟霞債。象外超然大夢醒。</text>
<title>咏春直廬。與諸僚共賦。</title>,<text>昨夜城南細雨過。十分春色望中賖。病懷澹蕩身還健。世味椒辛鬢已華。嫰眼欲舒幽巷柳。香腮初綻小園花。芳辰樂事須爭醉。一笑何妨倒帽紗。</text>
<title>蕩春臺新築中城。卽事口占。幷小引</title>,<text>丁卯夏。猝有廟議。經理廳移屬摠戎廳。而揔廳亦爲移建于蕩春臺後。大將出住本營。是歲初冬。動駕於蕩春營。撫閱壯士。越五年辛未秋。又爲行幸。試謝設行矣。曾有守都城之大計。故自癸酉春。蕩春中城。始爲新築。余適於直中。賦占以述。絶險金湯地勢雄。廟堂長策示無竆。龍廻曲曲環山壘。虎睡深深鎭朔風。新築重城臨漢北。橫連疊嶂屹天東。平時行幸非無事。文德兼敷閱武中。</text>
<title>安巖亭。次澤堂韻。</title>,<text>病餘步出小溪東。過盡三春立晩風。野叟放牛芳草際。山僧飛錫夕陽中。邇來宦味雖云薄。老去詩篇幸不竆。一掬淸泉堪洗耳。爽然高趣古人同。</text>
<title>直中苦况</title>,<text>誰道此間興思饒。詩情酒趣兩全消。朝朝霧氣侵人溼。夜夜泉聲近枕搖。晴晝每看多怪雨。晩春猶復起獰飆。滿山景物難怡悅。故掩虛牕坐寂寥。</text>
<title>直中遣興</title>,<text>勝日郊園舒嘯行。濃花嫰柳滿城明。檐虛遙納三峯色。林靜時聽百鳥聲。年老却嫌貪吏祿。躳畊自足卽吾情。春和可得沈痾健。丘壑何妨送此生。</text>
<title>惜春。與汝心呼韻共賦。</title>,<text>淸罇相對興難酬。暮境堪嗟憶舊遊。局束簿書還可媿。主張詩社却忘愁。蝶何遶樹飛何去。風不愛花吹不留。伏枕無心羣卉盡。春情脈脈坐西樓。</text>
<title>僦屋</title>,<text>城市吾能絶俗緣。晩來僦屋小溪邊。林間黃鳥和眠聽。雲際蒼崖對戶圓。暮境病懷唯藥物。閒居事業摠詩篇。卽今塵世淳風薄。竆巷何妨臥兀然。</text>
<title>溪上亭</title>,<text>孤亭縹緲小江頭。詩社曾期此地遊。遙野雨收芳草暗。危欄䨓吼石泉流。樽前老子酣仍臥。林下啼禽語更幽。積翠浮光通遠眺。乾坤何必岳陽樓。</text>
<title>直中。與諸僚得旬字紓懷。</title>,<text>田園晩計未歸人。奔走春臺經幾旬。強把酒樽謀共醉。不妨詩社詠閒身。微官簿牒猶多事。末路浮榮却任眞。萍水優游君莫笑。流光不貸白頭新。</text>
<title>喜晴春營。與汝心同賦。</title>,<text>策藜步出小溪隈。醉擊玉壺坐綠苔。白髮臨風塵眼澀。靑山帶旭好顔開。泉鳴衆壑微凉動。柳暗孤村牧笛廻。蓮社故人曾有約。北崖楓菊可登臺。</text>
<title>病起。次白麓韻。書示汝心。</title>,<text>暮年多病臥涔涔。每想溪山滌素襟。赤日當空蒸夏屋。玄蟬隔樹報秋音。牀頭日曬黃庭字。檻外風敲翠竹陰。幸有故人來起我。一塲杯酒共論心。</text>
<title>北山村逢汝心。得床字同賦。</title>,<text>逢君郭外喜同牀。更把壺觴始陟岡。悄悄羈心驚歲暮。鮮鮮野菊近重陽。三山斜日孤僧度。一雨西風萬木凉。相對悲秋漫咏處。數聲寥落鴈南翔。</text>
<title>秋日感懷。示汝心。</title>,<text>平生胷裏氣橫盤。俯仰乾坤更覺難。少日功名歸吏牒。暮秊身世負儒冠。蟲吟小砌秋霜重。鴈度遙空月影寒。進退迷途催白髮。林泉那得暫時安。</text>
<title>重陽。次蕉窓韻。贈汝心。</title>,<text>八年多病已成翁。始得新凉氣且雄。十里黃禾遙野外。九秋紅葉此園中。參差世故何須念。漫浪詩情不用工。北嶽風煙應更好。團圓舊約與君同。</text>
<title>獨步自嘆</title>,<text>白首人生骨肉悲。中宵獨步月應知。蕭條萬物回春日。寂寞孤魂杳返時。疎鬢自然無數白。寸心寧肯一吟詩。只緣菽水慰余抱。已覺形骸太半衰。</text>
<title>羨友人歸庄</title>,<text>忘意功名還自尤。浮生天地可忘憂。百年長策君能判。一壑相隨我欲休。坐對三山歌白石。獨將雙耳洗淸流。明時吏隱差堪適。莫以身閒放浪遊。</text>
<title>終南下董軒</title>,<text>歲丙子臘月。與田僉使春彥 萬種 共直同賦。盤山加平地。春彥曾占此處。將有休退之計。故末句及之。世味嘗來兩鬢新。幽懷默默向誰陳。心忘簪組猶安分。契托詩書不厭貧。報國莫言身外物。論交難得意中人。暮年若遂盤山計。共退優游作逸民。</text>
<title>次春彥韻寫情</title>,<text>一壑風泉逼小堂。坐看床簟濕淸凉。春來且喜靑山近。老去還慙白髮長。誰歎明時藏卞玉。獨憐病肺醉陶觴。佳辰幸得身瘳健。扶杖聯翩陟彼岡。</text>
<title>春日偶唫。寄示春彥。</title>,<text>守拙平生少許心。簿書廿載謾浮沈。春光初綻溪邊柳。醉興長看戶外岑。風檻鳴琴時舞鸖。午窻和睡或聽禽。神交可見篇中語。也喜唱詶又漫吟。</text>
<title>閒中謾吟</title>,<text>十年書劒竟何成。一室琴罇足暢情。臘雪已消羣巘出。春梅新拆數枝萌。初盟江海欺鷗鷺。晩計田園學耦畊。末路喧囂耳欲聵。不妨丘壑送餘生。</text>
<title>南麓寓居。疊前韻述懷。</title>,<text>多病年來懶欲成。丹爐煉藥養神情。慣看世上讒譏重。務去胷中鄙吝萌。富貴在天非力致。江湖滿地可躬耕。百年吾道機心定。梁甫高吟樂此生。</text>
<title>次春彥歸居加州淸峽韻</title>,<text>淸峽求田暮境歸。獨專林壑度曦暉。百年樂樂心機定。萬事悠悠世慮微。石逕晩雲僧或至。松壇晴月鸖同依。如今投紱君惟在。何似淵明悟昨非。</text>
<title>言懷</title>,<text>平生性癖好題詩。博學經綸曾未知。酒到數杯猶可醉。筆摸千畫豈成規。范廚藜藿尋常美。顔巷簞瓢百代師。聖世年豐兼國泰。此身如在唐虞時。</text>
<title>簡體○崔雲瑞 昌基 方在沁都。寄問。</title>,<text>河橋未相送。至今恨無涯。朱炎五月中。旅履問如何。沁州長在眼。杳望隔雲沙。經旬弟伏枕。邇來堇蘇差。客窓蝴蝶夢。幾翻到君家。放跡名區穩。拂衣世路賖。洗心景遙想。爛漫池塘花。令節今不遠。羈懷更堪嗟。西笑在何時。今日又云斜。歸便一何忙。餘不宣吟哦。</text>
<title>甲戌哭喆兒</title>,<text>爾不吾死哭。吾何爾逝哭。此哭是何哭。父子訣骨肉。膝下日撫弄。聰慧秀而獨。童稚雖多在。爾能任寒燠。爾母彌毒疾。數月寓社谷。稚心方焦泣。來往經三伏。得差僅還第。爾忽毒疹俶。玄理胡爲酷。慘惔折斯育。慟結裂肝腸。不善治醫卜。爾應一識存。吾今五內擘。生前不復見。死後當面目。將何慰死前。哀緖萬端蔟。寥落七歲星。埋沒一山麓。</text>
<title>再疊○余自喪慽以來。心不自抑之中。衰病日深。哀緖萬端。口占古詩一章。和淚而書。</title>,<text>未死吾何忘。罔極父子情。爾兄雖有三。爾孝孰敢幷。人戒悲無益。吾獨傷喪明。入門先淚落。不見爾出迎。耿耿聲音在。依依容光橫。床頭勸讀書。社谷攜手行。豈知訣爾面。痛結醫不精。欲忘終難抑。兩眼半掩盲。衰病命如絲。病祟亦匪輕。若使爾有知。夢看問候誠。心想爾不夭。時常忘呼名。呼名終無應。每覺摧心驚。朝夕對盤情。欲侑那得成。一往不復返。還悔早舌耕。爾或聆吾言。哀章十不盈。嗚呼此至痛。那堪送餘生。九原今已隔。哀緖鬱中縈。</text>
<title>追感○先親墓。壬戌樹石牀。感書古詩十一韻。</title>,<text>慟結辛丑五月天。享年四十有三年。三塊煢煢皆齠齔。一縷緜緜幸保全。荏䒣歲月漫滅懼。謹具石牀表墓阡。天於我家獨慳壽。仁德如何世早捐。反哺徒深風樹痛。追遠偏傷蓼莪篇。掃省今日僾如侍。變遷時物倍愴然。宿草萋萋寒食後。春花寂寂喬樹前。餘生相慰有兄弟。到老相依復相憐。墓儀粗成悲喜錯。再拜玄堂血淚泫。餘慶望望兒孫長。世世松楸香火傳。明靈庶幾格此誠。痛哭斜陽告紙錢。</text>
