<title>夏日訪愚山</title>,<text>盡日尋幽處。緣溪逕轉斜。暗香時撲面。風動野棠花。</text>
<title>歇惺樓。望衆香城。四首。</title>,<text>香城東望氣霏微。玉鏤冰空透夕輝。萬二千峯看不厭。歇惺樓上憺忘歸。分寸躋攀上翠微。衆香仙窟靄淸輝。依俙見到終無用。底得靈丹換骨歸。見處難精力易微。衰慵無計住楡輝。蓬萊太守眞仙侶。倘許提携與共歸。欲寫名山筆力微。沈吟樓上對斜輝。倘敎愚谷詞宗在。收拾晶光一槖歸。</text>
<title>又次蔡樊巖相公 濟恭 韻</title>,<text>海中謾說有蓬壺。天下神山卽此區。倚疊瑤臺浮瑩潔。奔騰玉節攢尖孤。高樓占得精神聚。夕照添來態色殊。盡日超然遊象外。九分仙骨一分愚。</text>
<title>海金剛 三首</title>,<text>萬二千峯雕刻奇。化工衒巧有餘思。海中更試一塲劇。幻出金芙三四枝。紛紛俗客雜旋還。楓嶽今成平地山。孤嶂却嫌人狎翫。故敎鯨浪護雲鬟。時時蜃氣架空虛。銀闕瑤宮隱有無。海外神山應此類。秦皇漢武漫狂愚。</text>
<title>漁村十絶</title>,<text>漁人理漁網。維舟碧港裏。昨夜金剛雨。刀魚上春水。漁人言古刀魚上來。數人乘舟載網。餘人登岸望魚。上岸候魚陳。下舟急搖枻。搖枻向何處。海鷗噪水際。魚隊在處。海鳥羣噪。向晩棹歌歸。得魚知多少。女娘爭拍手。白旗翻夕照。津俗多得魚。豎白旗船上。縱喜多得魚。其如官稅急。數魚供天廚。情緡滿二十。一進上情。錢二十兩。一年進上十四次。一供二十緡。一歲滿三百。又有營官納。破產猶不足。一家旣破產。一家兼二稅。所以漁津戶。十戶無一二。皮盡毛安傅。此事明如燭。縱有賢太守。况也空歎息。每稱上供重。小官不敢言。何不報營門。方伯以上聞。方伯重事體。亦言不敢爲。上下依文法。各自便其私。監門猶上書。况是字牧官。誰能畫漁戶。奏獻九重關。</text>
<title>次愚山韻。留別蓬萊主人。</title>,<text>半世分離苦索居。相看華髮各蕭疎。羨君能作眞仙吏。愧我全拋古聖書。三浦同遊風有信。數旬情話日無虛。迢迢嶺海還相隔。千里寄懷在鯉魚。</text>
<title>留別柳燁如 晦文○二首</title>,<text>同遊千里不同歸。回首那堪別後思。最是淸秋赤壁夜。仙舟獨泛月明時。合散無常各有歸。解敎千里慰相思。袖中一部西山訣。好是吾人著力時。</text>
<title>次燁如送別韻</title>,<text>嶺寺憐分榻。湖亭憶共舟。平生知己伴。一月會心遊。楓樹霞應爛。香城霧亦收。君歸主人病。終負海山秋。</text>
<title>輓東巖柳先生 長源</title>,<text>處士宗儒合一人。七旬無事養淸淳。海東絶學重開運。湖上傳心獨得眞。衛道誠深編輯富。誘蒙功大話言諄。那堪經過東臯外。岸柳巖花只殿春。</text>
<title>贈申孟實 禾</title>,<text>梅花欲綻送君歸。莫待明春花已稀。種得嘉禾方茁茁。鋤荒何惜露霑衣。</text>
<title>輓柳大至 川休</title>,<text>我年纔舞象。遊學於外氏。公時在貳館。見我便色喜。謂言似天瑞。執手相嬉戲。丱弁雖非倫。託契自伊始。沈深有氣槩。鬱若劒登淬。範圍大鑪冶。濯磨成利器。朋儕皆遜讓。將期一大試。別來數十年。喪憂困悲悴。秋霜隕碧蕙。芳蕤化枯瘁。延婦晩入門。歡迎仍倒屣。相看髮已華。無復舊豪致。猶能少出氣。高占上庠士。守分無外慕。循序趾先美。恭惟先先生。道承師門旨。明辨豈不晣。擧世少臧否。操存一言重。特許於其子。人皆信無私。深知故應爾。嘗聞學問道。求放無他已。此心旣存存。所發循其軌。竊覸日用際。默默專向裏。文字無多辨。孝弟不忘跬。退然如不勝。確乎安所履。曰余病浮躁。欲師其一二。縱未去箇矜。猶能漸知恥。及此同衰暮。益切相仗倚。吾生雖苦晩。幸躡賢俊趾。旣許臭味同。申以葭莩誼。公溫玉在璞。艮剛河中砥。相期指歲寒。皓首無磷滓。邇來未十稔。次第零落矣。郢質今已喪。吾斤安所詣。出門空倀倀。馬首靡東指。萬懷題一幅。秋風來吹紙。</text>
<title>次黃穉見 龍漢 韻</title>,<text>所思何在白雲邊。欲往從之路杳然。秋水遙涯回剡棹。陽春古調輟牙絃。風標歷落郵傳地。心事蒼茫歲暮天。衰懶如今逾厭鬧。巖居何處斷人烟。</text>
<title>敬次舅氏素庵金公 鎭東 韻</title>,<text>聖朝搜賢野無遺。優老勿迫恩何渥。丌頭秉燭老彌篤。日對朱書辨毫忽。所以臯鶴聲聞天。嗟哉吾黨莫謾悠悠送歲月。我年舞象始鼔篋。所學不過通史書。憐我孤蒙勤敎學。察我愚憃痛刮除。時隨杖屨弄烟波。汀草侵衣花著屐。門下丱童今白首。四十年光倏忽鳥過目。秖今孤負奬詡意。誓將黥刖追補息。生不成名何足歎。但恐道理無竆力已竭。丈夫事業只在辨義利。孰知同行有異情。貞松不辭戰風霜。歲晩昂然獨也靑。珍重古風噓枯朽。會敎衝星古劒發新硎。</text>
<title>輓申郁如 秉○辛酉</title>,<text>忠信而好學。在古亦難見。得見其次者。醇心以向善。此又未易得。所見惟儇皎。况今世逾降。競趨機變巧。吾黨有申君。人物非衰俗。器宇何偉然。操履頗剛確。承家振中替。收族無疎戚。門中有大事。一言重金石。惓惓賢師友。常恨學不早。聞善思執鞭。見惡如傷抱。家徒四壁立。視財猶垢膩。周竆不謀婦。接賓常歡意。讀書要有用。一句是一事。微吟徐以嚼。泯然忘我爾。閱盡五車書。買櫝競還珠。孰如得一字。反躬嚌其腴。訓勵諸後生。舌耕於學圃。會見東陽氏。彬炳復往古。大廈久凌震。尺木難獨支。人定若可勝。鬼伯一何猜。驊騮蹶長塗。喬嶽折中峯。宗族安所仰。出門迷西東。鄕邦失介士。朋友喪彊輔。相逢輒相弔。淚隨言如雨。而我最深慟。不獨私情爲。質樸古人風。猶及君在時。自夫哭君後。濩落無典刑。况聞臨化際。訣語悲丁寧。我有大拘忌。不得送玄扃。於乎負之矣。惟有寸心明。</text>
<title>輓崔彥輝 鳳羽○丙寅</title>,<text>吾黨崔彥輝。居今古與稽。古人已灰塵。其心在素緹。我識古人心。渾渾無角圭。賢愚咸自得。淸濁少相睽。淳樸一澆散。世道多岸谿。况復益衰暮。但見風悲悽。君姿信天得。純心自佩觿。藹然仁厚意。相對照靈犀。款言不厭煩。傾倒去畛畦。過與非傷惠。疎財破俗迷。常愛邵子醺。不屑山翁泥。風流傾四座。謙謹益自提。傳家孝且慈。和氣釀醇齊。歸視其庭除。怪不狗乳雞。旃蒙孟冬月。使我靑眼睼。信宿於茅廬。山蔬噉若臡。所託何鄭重。愧無刮眼篦。別意更惓惓。仙峽春囀鸝。少我僅十稔。那知鬼先擠。笑語猶在耳。月不三彀兮。古心與古義。隨風付一啼。燦燦三珠樹。柯葉垂蘩媞。提携相慰勉。日落松山西。</text>
<title>聾女 乙丑</title>,<text>是非何嘵嘵。師曠亦難分。不如爾耳聾。初無聽人言。</text>
<title>次愚山韻 戊辰</title>,<text>偶題木居士。常愧好爲師。處世多虛奬。徇名豈素期。案書憐漸遠。牕晷惜初遲。歲暮幽吟罷。梅簷小雪飛。</text>
<title>慣看賓客兒童喜</title>,<text>俗客談俗事。好客說好書。日日聽好話。慣看亦不虛。</text>
<title>次六宜亭韻</title>,<text>霜楸深處六宜亭。肯構良圖在顧名。藥草兼魚供晩食。秋香泛月把深觥。無勞撿僕憂呼癸。且喜課兒免識丁。事業閒中無不足。東華何必羨簪纓。</text>
<title>入仙遊洞志懷 丙寅</title>,<text>不向仙亭已四年。風軒獨倚思悽然。山靈嗔我來遊闊。故遣狂霖漲前川。</text>
<title>次贈金穉弘 養休○丁卯</title>,<text>山齋寂寞暮雲深。宅相於君見素心。從古淵源惟一脈。卽今爻象奈儒林。身如處子常存愼。志似堅城不許侵。旬日遊方眞枉事。更將箴說好推尋。</text>
<title>又次端字韻</title>,<text>賴君尋寂寞。令我罷愁端。剛喜工能篤。翻嫌日未寬。泥途虛跋履。風袂不勝寒。吾老前期窄。奈無多往還。</text>
<title>贈權循如 道相</title>,<text>使我開靑眼。是時歲履端。讀書幽草長。探理小齋寬。此會歡成悵。前期暑改寒。吾衰且無聞。却愧每虛還。</text>
<title>次泉齋諸君詠雪韻</title>,<text>一夜東風雪漫山。泉齋遙憶客襟寒。少眠不妨惺惺法。養得淸虛滿臆間。</text>
<title>次金穉弘韻。送柳公晦 徽文。○戊辰</title>,<text>巖亭邂逅歲年深。每向誠公寄素心。聞說高才驚一世。斂來精識返儒林。透關妙鑰須敎徹。琢玉微疵莫見侵。常恐虛名多誤了。君今何事遠相尋。</text>
<title>鄭象觀叔顒字辭</title>,<text>鄭生象觀。初字用賓。蓋取諸觀。六四之文。余謂觀國。光華信美。惟中有孚。乃觀于外。矧爻取義。只效其動。未若卦德。該乎體用。請取彖辭。字叔顒甫。大觀在上。正其儀表。若盥未薦。致其淸潔。穆然無爲。人自顒若。我儀圖之。惟德之敦。敦德伊何。曰誠斯存。存誠伊何。曰敬是程。惟誠故觀。惟敬故誠。惟玆誠敬。務積不散。苟或輕用。四方奚觀。是以君子爲己務本。守智若愚。含光斯混。嗟爾叔顒。妙歲英材。彪炳育珍。藹譽倫魁。德未厚積。聲怕先播。灼彼園花。君子所戒。勉思觀盥。以蓄其德。純潔其心。內蘊莫出。言要謹默。行要恭遜。才茂愈約。氣盛愈損。一欲上人。是謂輕發。燁然其華。本之則蔑。涵育渾全。優游厭飫。蓄之久久。厥修斯沛。由是而進。賓于王都。爲天下觀。罔不在初。顒乎念哉。及時努力。顧名思義。羲訓是迪。</text>
<title>三從弟漢憲叔度字辭</title>,<text>名汝漢憲。叔度爾字。蓋慕漢季。牛醫氏子。慕之維何。請師其德。其德淵深。不澄不濁。若在孔門。可希殆庶。奮乎百世。聞者心醉。我儀圖之。致此非偶。資稟固異。充養蓋厚。究厥所養。庶幾想得。最是可觀。喜怒泯跡。人情所好。莫若尊己。賢彥稱師。曠不屑意。人情所歉。莫若貧賤。終老竆巷。頹乎處順。其大如此。小者可知。不見幾微。渾渾無涯。已見大意。廓其胷次。物來過前。視若纖芥。士欲希賢。盍求其要。沿河達海。眞源可泝。嗟爾叔度。氣浮心麤。浮則易動。麤則易乖。動而多乖。往往顚錯。喜或無常。怒尤失節。爲人笑侮。豈無心恥。充無恥心。自今伊始。大小輕重。先要辨明。旣立其大。外物自輕。當事硏幾。驗其素講。按抑浮躁。理會氣象。喜戒循情。怒思付物。眞積不懈。久久充拓。古人閫域。縱難企及。自家氣質。漸可矯革。由是而進。進乎淵深。在我而已。何限古今。天質旣迥。人功當百。惟日奮礪。無墮積習。因循自恕。是曰暴棄。顧名思𨀣。尙友千載。</text>
