<title>孤松</title>,<text>生也本孤直。蒼髯看更奇。四時靑一色。高節歲寒知。</text>
<title>重峯先生父母墓。立表石。碑役新成。喜而賦之。</title>,<text>重峯爲子表章宜。古墓新成數尺碑。陶老文詞題品好。驪翁筆力點波奇。九原可想先生喜。億世能令走卒知。凡有秉彜誰不敬。隴頭無復牧牛兒。其二表顯重峯父母宜。啓賢之墓啓賢碑。山連祠屋傳遺蹟。天誘吾儒辦此奇。草木含香樵者遠。丘原動色路人知。衿紳濟濟爭瞻拜。一喜一悲趙氏兒。</text>
<title>秋日述懷。示堂弟淑甫 汲。</title>,<text>我愛東岡一草廬。杜門深坐五秊餘。江湖髮白仍多病。天地身閑且讀書。紅葉精神霜落後。黃花消息酒醅初。經綸事業須吾弟。只歎今時古不如。</text>
<title>讀中庸有作</title>,<text>堯舜相傳只此中。一原頭處理冲融。鳶魚上下天機活。神鬼陰陽造化功。三十三章都是實。無聲無臭便非空。晦翁何事分毫縷。况把羣言卞異同。朱子旣爲章句。爲著或問故云。</text>
<title>除夕寫懷。用三淵集博厚室韻。壬子</title>,<text>今世殊無開口歡。飽經三十九年寒。靑燈事業書千軸。白屋生涯粥一盤。病弟南望牛渚隔。老親東出雪山難。便從明日爲新歲。只願身安心亦安。</text>
<title>述懷</title>,<text>不學雕虫慕大家。做人羕子 先儒以小學書。爲做人底羕子。 視常茶。先儒以從事小學。爲如着衣啗飯。朱子又以學問爲常茶飯。 湛虗心境平朝得。窮格工夫靜夜加。乍缺乍圓江上月。一開一落隴頭花。箇中自有眞消息。肯把閑談掛齒牙。</text>
<title>登塹城㙜</title>,<text>誰闢高峯辦勝㙜。檀君事業儘奇哉。雲藏石壁千年在。地劈滄溟萬里開。下界塵埃那到得。上淸消息可傳來。登臨頓覺胷懷濶。豪興何須濁酒杯。</text>
<title>姜長文挽 壬子</title>,<text>禽中之鳳獸中獜。一代英華萃一身。腸胃大羹元不和。精神秋水淡無塵。文如菽粟傳家世。學有淵源溯洛閩。欣慽罔移生死地。九原寧愧達觀人。其二剖破藩籬卽大方。法門聞道早升堂。平生籌策看戎幕。浮世功名止寢郞。宇宙長歌何意思。經綸大業付荒涼。化翁自是多猜忌。無子無年捴可傷。其三人情方是九疑岑。吾輩綢繆獨以心。每見每資麗澤益。一書一下頂門針。那知雪月寒窓句。遽作幽明永訣吟。候問未傳輓語續。悠悠千古恨彌深。</text>
<title>聯棣堂題詠 幷序</title>,<text>吾友金達夫。卽杏湖逸人。修葺其先君子舊廬。得尤翁先生書與其外大父聯棣堂大額而揭之。聯棣二字。乃達夫家法。盖達夫有弟三人。敬夫，常夫，述夫皆佳士也。處一室怡怡如也。其義則需齋記文說 缺 無餘。吾何贅焉。謹步壁上諸君子韻。東國名區杏水濱。主人非是等閑人。流沙舊業追王考。聯棣新堂樂至親。放了一身爲逸士。勉敎諸弟學先民。尤翁大字傳心畫。盤屈龍蛇動鬼神。</text>
<title>論四七非二情 甲寅七月日。書于高山書室。</title>,<text>性發爲情一路明。七情之外更無情。約之爲四衍而七。四不是七豈贏。戴記捴論此心用。鄒書偏指善端萌。考亭更有丁寧語。四箇中間七貫橫。</text>
<title>論理氣無互發</title>,<text>理氣决然非一物。但看物上只渾淪。萬緣感處機先動。氣發。 一理應時妙是根。理乘。 理作用乎無作用。理無爲。 不開分處莫開分。理氣不相離。 分開 拙修齋說。 互發 退溪說。 皆虗語。氣發理乘 栗翁說。 是礭論。南塘曰此說甚好。律詩亦好。</text>
<title>欲往天磨未果。乘舟泝赤壁。時九月初八日也。過猪湖口占。乙卯</title>,<text>好事尋常有戱魔。半生營揣問伊何。孤筇擬訪天磨瀑。小舸還窮赤壁波。一派流長潮水濶。萬山秋霽夕陽多。前程漸覺奇觀在。明日徘徊古浪沙。</text>
<title>登花石亭有感</title>,<text>先生杖屨後人尋。花石高亭尙舊林。浩浩 一作衮衮。 江長洙泗派。巖巖壁立武夷岑。當年未布經綸志。百世猶知丘壑心。惆悵九原難可作。秋山獨倚涕沾襟。</text>
<title>赤壁</title>,<text>三韓形勝此奇哉。千里長江屈曲來。地勢兩涯丹壁立。秋光萬疊錦屛開。寒松歲暮先生宅。花石亭。 古字苔深節士㙜。塲巖有朴定齋題詩。 客至倚舟多感慨。風流蘓子不重回。</text>
<title>歸卧山齋。不勝耿耿。書懷示柳川諸友。</title>,<text>山水之心誰我儔。柳川諸益每相謀。秋風赤壁曾同賞。春日天磨又共遊。百世仰高花石宅。十年忘返泛槎樓。歸來耿耿餘懷在。後約須趁未白頭。</text>
<title>金君常夫歸自南塘門下。惠然肯來。細傳其講論緖餘。令人灑然。如沉痾之去軆也。南塘書曰常夫才高志篤。其進未可量。吾黨得此人可幸。此實非虗語也。常夫須勉旃。毋負此望也。</title>,<text>蕭然一室凈無塵。喜得淸氷伴此身。五性元來渾備我。四端隨處藹如春。南塘義理牛毛細。寒水精神月色新。不必窮年徒灑掃。吾儒須學紫陽眞。近來一種法門。自謂專務踐履。而以講學爲無益。比宲陸象山，王陽明緖餘。而非朱子旨訣也。故末句及之。</text>
<title>次東閣落成宴韻 丁巳</title>,<text>突兀新軒凡幾椽。做官當似我侯賢。精神到處終成事。往昔何曾無俸錢。樽俎薦堂來父老。江湖滿地繞風烟。武城亦有如斯否。頌語洋洋盈四筵。</text>
<title>送別沈聖游之南塘門下 戊午</title>,<text>君子何居居廣居。心無愧怍軆常舒。要窮天下許多理。且讀人間今古書。凾席春風應喜爾。靜窩寒雪正愁余。一言一動宜存戒。道不高深只帶裾。</text>
<title>次南塘寄示韻</title>,<text>湖門消息到山居。短幅長牋幾卷舒。杖屨三餘楸下屋。工夫一帙遂翁書。虗靈本軆凡同聖。靜默時宜獨警余。况是瓊琚多感發。淸風忽覺滿襟裾。其二天機衮衮未曾居。雨露濡時春意舒。花發萬山皆造化。人閑一室儼啚書。久知富貴元非分。但覺硏磨尙屬余。不及湖門幾枉了。免敎虗作馬牛裾。</text>
<title>與念齋重遊虎島。玄甫，聖休，聖游從焉。己未</title>,<text>親朋何事遠相求。夜宿孤山松下樓。白髮重來看乕島。芳洲依舊有漁舟。酒盃衮衮巖花晩。吾道悠悠滄海流。目寓便知爲我物。不妨隨意作淹留。</text>
<title>草堂月夜。飮酒賦詩。示玄甫。</title>,<text>秋山木落萬峯嵬。喜爾邇來數往迴。歲晩霜鴻鳴遠野。夜深晴月滿高㙜。黃花自在重陽後。濁酒何妨一榼開。醉後起來松樹下。白雲平壑且徘徊。</text>
<title>孝源孤棲山寺。勤苦讀書。此實啖薺古意也。余乘興訪之。講太極論語。賦詩志喜。</title>,<text>一筇扶我上崔嵬。古寺春深花已開。天以陰陽生萬物。人將仁義參三才。濂翁太極須先覺。夫子微言問幾回。絶頂忍飢眞可喜。許君親見古人來。問或作看。</text>
<title>己巳六月初八。卽尤庵先生楚山受命之日也。每想其日事。直令人痛泣欲死。今當回甲。感愴尤如何也。聊成一律。以寓懷焉。</title>,<text>己巳居然回一甲。尤翁受命卽今辰。誰將大義扶衰世。天眷吾東降此人。九死猶榮當日志。一生無愧紫陽眞。丁寧直字羹墻在。更向考巖雪涕新。</text>
<title>次寒泉權丈 爕 寄示韻</title>,<text>疇昔旅窓拜葛巾。九雲山裡葉飛辰。江湖我亦雙眉皓。長老今餘幾箇人。濶別每歎涯角遠。小牋如得笑談眞。寒翁遐筭公應有。只願神精日日新。</text>
<title>見士定書報。南塘丈沉痾頓蘇。與門下諸人。依舊講討。此實五六年來一初事也。喜而賦之。</title>,<text>聞說先生病已蘇。明窓依舊講程朱。人間縱老經綸手。天意應扶道德儒。禽獸何關來橫逆。淵源元不視差殊。同心只有屛溪叟。痛癢相須亦足吁。</text>
<title>辛未之歲。牛渚講堂重新。講規始定。十月十二日。多士來會。甚盛事也。以余少從師友。畧有所聞。因請升座主講。余何敢當。而亦何可辭。鄭友道潤氏賦詩以記其蹟。謹步其韻。兼示諸生。以寓勉戒之意。</title>,<text>黌堂重葺豈徒然。正好衿紳講聖賢。晦父折衷看禮意。古人爲學有遺編。是日講家禮，大學。 須知此事如輪翼。不是吾儒只誦絃。百世聞風猶起懦。先生况乃栗翁傳。朱子曰知行相須。如車兩輪。如鳥兩翼。未有廢其一而可行可飛者也。今此講學。又當戒徒事講說之弊。故第二聯及之。</text>
<title>曉覺</title>,<text>老眼無眠眠乍成。鷄鳴前悟聽鷄鳴。風生雪後透衾冷。月在山頭入戶明。人事尋常多感慨。聖言細繹更丁寧。一陽已動春何遠。萬古循環只悴榮。</text>
<title>癸酉十月八日。李友子野自章齋直所來訪。申友伯封又携酒適至。相與對酌于松下。論心性理氣。此甚不易事也。臨罷抽農巖集韵。追賦志喜。</title>,<text>悠然獨坐伴禽鳴。意外跫音空谷生。鄰叟佩壺來菊下。寢郞携手聽松聲。三人會處吾師在。萬物源頭太極明。渾是霜毛何所願。餘秊如此樂昇平。</text>
<title>次金聖績 煕佐 韵</title>,<text>聖績氏吾畏友也。夢中作數句詩。覺後足成一律。日昨過我而誦之。宛然洛閩氣味也。盖其平日擔負如此。故發於夢寐者亦如此。而捨斯無處可安身七字。直是前人道不到之語耳。何等敬歎。况以虎尾春氷。看作沒身佩服之符乎。諷詠以還。有警於昏惰者大矣。謹步其韵。以寓相勉之意。衆宜汎愛仁宜親。每歎吾君獨善身。學問元非由外得。聖賢皆是踐形人。此心提掇方如日。一屋荒凉誰掃塵。除却許多閑語說。朱門直字可書紳。</text>
<title>鄭道潤 㶅挽</title>,<text>先輩凋零吾輩衰。那知人事又如斯。文章驚世應天意。志業歸虗奈數奇。窮巷石耕餘典則。暮年經卷尙襟期。平生有酒陶然醉。里社風流更在誰。</text>
<title>追謝屛翁來訪</title>,<text>向來蒙訪從遊。眞是老境奇事。不可無一語以謝。而登山玩水。意緖忩忩。不可爲詩。可恨也。用鵝湖唱酬韵。追賦奉贈。以供一笑。德意尋常我所欽。五年離別每關心。柴門剝啄開靑眼。春日提携上遠岑。精力向來無减損。工夫晩歲更深沉。言論不害參差在。理一分殊貫古今。講論間。不無小小同異。而大頭腦如一原分殊人物性不同等說。則無不脗合。此實亘古今不易之理也。故末句及之。</text>
<title>病間喜賦 十二韻排律</title>,<text>今歲吾何厄。沉痾亘四旬。自二月初七日始病。寒食晦日小註時。始省人事。 飮餤看楚越。心氣坐烟塵。百藥無奇效。一朝幾死濱。一朝之頃。死境累度。 譫言猶古聖。退熱之前。五日譫語。而斷無他語。只是與人論學之語。或曰人當先發善心。或曰此心一操。當一生持守。若此心一毁。萬事瓦解。人不得爲人云云。而動引朱子語。或引周濂溪語以證之。擧輒成誦數行。病後妻兒所傳如此。 乍起倩傍人。伏枕因終晝。明燈每達晨。老親徒煎熬。荊布只逡廵。瀆叩惟靈蓍。默祈但上旻。天心應助佑。生意忽氳氤。雲霧能開日。枯槁便有津。丘原方冷飯。節序已深春。花柳渾依舊。江山想洗新。何時東 缺 上。高坐暢精神。</text>
<title>幽居述懷 庚戌</title>,<text>余因山居靜寂。歷叙平生事。以成古風一篇。凡八百八十言。一字是一言。 竊謂知我者此篇。罪我者此篇也。每兩句押一韻。或通韻者。恐其拘於韵而意有未達也。有疊字累語。或語助辭而不避者。又恐其拘於文而語有滯泥也。大抵只欲其傾囷倒廩而已。非欲其巧文麗辭也。覽者但取其意而不以詩看可也。山中春已晩。茅簷日遅遅。林深鳥不鳴。雨洗山更奇。幽人澹無累。午枕初破睡。默念平生事。一笑還一喟。髫齔有小技。聲譽自七九。甑中七竅句。膾炙於人口。余七歲時。見甑有詩曰甑中有七竅。疑是聖人心。聞者奇之。 中以病懶廢。便作一狂童。余十許時。以病懶廢學。只事遊戱。人以狂童目之。所稿詩卷。仲父命以狂童集。爲作序文。一門傳笑。 十七失所恃。命道又何窮。居憂苦淡中。闖然悔心萌。寔天誘其衷。幾枉過一生。噬臍其何及。悚然若針刺。不自量其力。妄意於此事。余十七在龍湖。丁內憂。因憂致病。病中將易學啚說。早晩閑看。一日惕然覺悟。脫然便以第一等自期。 偉哉懶齋翁。指示其門路。斯人已云沒。吾痛纏肺腑。懶齋卽余姑母夫也。姓李。諱命錫字天得。資禀穎悟。義理明透。余之發軔正途者。此丈之力也。不幸短命。何痛如之。 遂將四子書。仰思而俯讀。獨學如墻面。疑晦正滿腹。余自失懶齋。如𥌒之無相。且時在鷰島。不得求助於四方。寂寥中雖有絲髮之見。以未經師友勘破。疑晦滋甚。 贏糧半千里。執贄黃江門。戊戌之歲。始自燕島還返金陵舊廬。是冬往拜請業于黃江先生之門。 望之泰山儼。卽也春陽溫。聞風已誠服。覿德便心醉。先生謂可敎。不以蒙陋棄。自幸得依歸。昏愚庶以開。天欲喪斯文。居然哭山頹。辛丑之歲。先生易簀。 親朋各分散。落落晨星稀。倀倀宇宙間。此身何處歸。寂寞高山陽。離群復獨處。親年日益高。生事日齟齬。朱書曰親年日益高。生事日寥落。 雖有室人讁。其乃謀計踈。詩曰室人交偏讁我。遂翁詩曰計拙謀生任細君。 半世康濟業。蕭灑一草廬。邵子詩曰莫道山翁拙於用。也能康濟自家身。戊申之歲。余築室于屋後東岡。扁之曰高山書室。 江山固淸秀。花卉亦婆娑。惺惺主人翁。日間事伊何。瑞巖僧日間常自問曰主人翁惺惺否。自答曰惺惺。 白直以爲基。恬靜以養之。惟此四箇字。造次常自持。余平生以恬靜白直自許。盖非由勉強而得之。天性自如此爾。 甘簞食瓢飮。羞婢膝奴顔。榮落豈吾事。聖門眞可攀。余素性安於寂寞。於科欲宦情。澹如也。辛丑後謝去塲屋。 羹墻見鄒魯。朝暮誦洛閩。犂然會心處。千載如隔晨。周翁太極圖。曁張子西銘。心學是淵源。其理本亭亭。悅之如蒭豢。口齒尙馨香。齪齪塵世事。可道言之長。癡騃陸王徒。無足掛齒牙。吾道亦多歧。邪說任橫波。五常氣質說。爲世大爭端。人物所禀之性同與不同。未發前氣質可兼言不可兼言此兩欵。爲世爭端。 豈我師言耄。仁智各異看。易大傳曰仁者見之謂之仁。智者見之謂之智。 氣全則性全。人之性。 氣偏則性偏。物之性。 飛潛與動植。各具一本然。人物之性。雖有偏全。而皆是本然之性。 未發虗明軆。聖凡雖一例。未發之前。湛然虗明者。聖凡都一般。 氣質之淸濁。不齊者自在。虗明之軆雖同。而氣質之本色不齊者。依舊自在。 非先師刱說。乃程朱栗谷。向所謂人物性不同與未發前氣質自在者。乃先師之說而見斥於嵬巖，冠峯者也。然此非先師刱開者也。乃栗谷之說也。非栗谷之說也。乃程朱之說也。故先師所答南塘書曰。程朱栗谷說。宜若可信。而公擧猶不回頭云云。 質鬼神無疑。竢聖人不惑。登門數百徒。先生之喪。加麻者二百十餘人。 莫不聞其詳。如何二三子。擬之以荀楊。一種議論。以荀楊擬之於師門。 譬如看山者。橫睹而側視。此南塘之言。 見者自偏耳。干先生何事。朱子曰程先生自謹嚴。門人自不謹嚴干程先生何事。 卓彼南塘賢。中流之砥柱。遠宗程朱道。近守尤遂矩。一部傳聞書。南塘記其師門所聞。作爲一書。名之曰經義傳聞錄。 縷析而毫分。大抵栗翁後。無此等議論。譬諸孔子門。曾唯而顔愚。先師旣沒矣。文不在玆乎。此非余阿好之言。自有知者知之。 雖以余不敏。與聞其緖餘。每讀其語說。如癢之得梳。南塘亦愛我。奬我以超常。知南塘者我。知我者南塘。余幸聞南塘說。谿逕庶幾不差。而近來言議然相契。故南塘嘗與余書曰朋友中。見解超詣者。未見如吾兄。此雖過情之語。然大槩知我者。莫南塘若也。 顧欠本領工。能言如鸚鵡。本領工。卽涵養一事。 欲學孔仲尼。先從朱晦父。栗谷曰欲學孔子。先學朱子。 博約如鳥翼。廢其一非學。洙泗以還。博約俱到者。朱子一人。而其言曰二者之相須。如車兩輪。如鳥兩翼。未有廢一而可行可飛者也。 却恐遊騎遠。程子論汗漫窮格曰。三軍之遊騎出太遠而無所歸。 反躬亟鞭策。余曰前爲學。多從文字言語上做活計。於本領一段事。工夫極草草。近乃悟其非是。鞭策近裡。 玉匙在手。鐵門關當前。胡敬齋曰誠如鐵門關難破。主一二字爲玉籥匙。 忽在此在彼。盖彌高彌堅。茅塞却易去。麻生最難無。李延平曰大段惡念。却易制伏。不大段計利害。乍往乍來底念慮相接不斷。難爲驅除。此句之意。盖出於此。茅塞二字。出於孟子。麻生卽蘓季明語。其語曰思一事未了。他事如麻又生。 曾聞白黑豆。趙幾置黑白豆於坐傍。善念生則投白豆於器。惡念生則投黑豆於器。初來黑多白少。後來白漸多黑漸少。此乃誠意去惡念工夫也。 誰與一串珠。司馬溫公爲思慮所困。或至達夜不寐。程夫子欲與一串數珠。此乃正心去浮念工夫也。 幸賴天之靈。年來覺漸虗。知放便是收。騎驢可覔驢。愚伏詩曰覺得心放便是收。朱子曰知得如此是病。卽便不如此是藥。若更問何由得如此。則是騎驢覔驢。只是一塲閑說語。 風來而月照。院深而人靜。點檢吾靈源。彷彿其光影。愚伏詩曰晴窓旭日涓涓淨。點撿靈源彷彿同。 所患受氣薄。疾病來相尋。余受氣甚薄。疾病連綿。不能刻厲用力。是可歎也。 靑陽瞬息過。白髮幾何侵。無窮者義理。有限者歲月。黃勉齋所製朱子行狀中語。 頭角可矜誇。分陰須愛惜。邵子詩曰尺寸光陰須愛惜。分毫頭角莫矜馳。 不可不弘毅。任重而道遠。是曾子大訓。却令人知勸。誰將此二字。移書而遠貽。山東有故人。以南塘爲師。山東故人。卽姜奎煥長文。南塘之甥姪。而學於南塘者也。文章學識。爲世大儒。今春適爲章齋郞。幸而相見。盖相聞已熟。一語心親。別後書以弘毅二字責勉。極是警醒語也。時在堤川山東。 良藥對痼盲。蒲苓詎比况。朱子論心病曰。非菖蒲茯苓所可補也。 骨髓宜銘鏤。墻壁合標榜。眞如一寸膠。救彼千丈渾。願言吾黨子。此語期相敦。余今年三十有七矣。此後又未知看得幾層義理。行到甚麽地位。而大抵進吾往也。止吾止也。唯當以諸葛武侯所謂鞠躬盡瘁。死而後已之語。及朱夫子所謂行百里者。半九十里之訓。自警而自勉而已。姑書此以識之。謹按尤翁所製紫雲碑銘。栗谷碑。 以四七格致爲四句。竊欲效。以五常說成兩句。以氣質說成兩句。自謂辭約而意圓。未知南塘丈賁需友見之。果以爲如何。</text>
<title>南塘，玉溪，鳳巖三丈遊楓岳。用朱夫子衡岳唱酬韻同賦。南塘詩則論心純善之非矣。謹步其韻。</title>,<text>人有一心性。爰初受乾坤。性善心善惡。自古有定論。未發雖湛然。粹駁依舊存。所謂大本性。全以理爲根。彼哉陸王輩。徒見氣之源。人心謂至好。世降言愈煩。不知聖人外。萬般明與昏。只爲竆未到。擧世鶻圇呑。豈無一寸膠。黃流甘自渾。願言同心子。讀書更加敦。</text>
