<title>讀小學書自警 辛巳</title>,<text>言行必忠信。聖賢爲師法。歲去苟無學。悲歎復何及。</text>
<title>島潭</title>,<text>仙區非別界。此地得瀛洲。孤棹中流去。三山出水浮。全身渾斲石。一面可藏舟。海上金剛勝。依依記昔遊。</text>
<title>出丹邱洞門</title>,<text>紅樹千山萬壑。白雲二島三巖。桃源一別如夢。玉筍峯頭日銜。</text>
<title>乘月舟下寒碧樓</title>,<text>孤舟三日溯洄遊。行遍丹邱又碧樓。邂逅漁翁相伴去。淸風明月不禁秋。</text>
<title>鄭進士 錫休 挽 四首○戊午</title>,<text>摳衣人自四方來。文正當時任繼開。座上春風門外雪。一時敎育幾英才。其二渴飮寒泉九日樽。凾筵覿德尙餘薰。韶顔白髮圖書室。涵養年來驗所存。其三滴滴科名上舍身。但能康濟不憂貧。尋常提誨期無忝。爲是先生脚下人。其四嗟余病未送靈輀。萬事傷心數幅詩。埋却靑山經術士。泉門零落幾人歸。</text>
<title>鄭判書 存中 挽 二首</title>,<text>重厚威儀白晢容。承家孝友愛君忠。嘉言滿目書常揭。儉德持身食不重。詩禮再新文翼後。規模一變會賢中。向來忍說西河慟。我姊泉臺又下從。其二閉門終日少逢迎。時有丁丁落子聲。官遍九州仍按察。班崇八座又耆英。悲歡互雜非無恨。壽貴兼全與有榮。相紼詩成聊永訣。白頭門下舊時生。</text>
<title>夜宿長淮。聽鴈感懷。</title>,<text>長淮疎雨夜無眠。歷歷悲歡四十年。到曉傷心孤鴈響。淸霜叫侶度江天。</text>
<title>哭亡室墓</title>,<text>嗚呼嘻矣已焉哉。漠漠重泉去不回。風雨屛山三十里。觸寒辛苦爲誰來。</text>
<title>過故廬 己未</title>,<text>嶺湖游宦十年春。何處靑山葬淑人。同去獨來惟有淚。空堂依舊設屛茵。</text>
<title>涉早遯江。拜遂菴先生墓。歸路遇雨犯昏。</title>,<text>十年歸未得。遯水又秋風。白首爲州吏。靑山拜遂翁。依然承警欬。或者牖昏蒙。步步冥行感。蕭蕭寒雨中。</text>
<title>桂坊。次酬唱錄中韻。二首○庚申</title>,<text>西湖琴鶴趁春還。措大翻爲禦侮官。扮作戎裝堪一笑。病餘瘦骨怕輕寒。其二床書一任久拋看。華誥三遷墨未乾。春晩鄕園歸不得。誰敎白髮耐淸官。</text>
<title>送春日。與僚丈兪司禦 漢雋，申翊衛 大羽，宋翊衛 時淵，尹衛率 守翼 往向曹溪。至惠化門。改路訪孫家庄水石。歷貞陵宋洞賞花。歸路得花字共賦。</title>,<text>齊出東門步步沙。送春佳約向誰家。此行始爲曹溪水。歸路仍尋宋洞花。到老白紛吾甚矣。翊儲黃綺子眞耶。銅龍猥托諸賢後。佚宕巖泉分更奢。</text>
<title>自黃州到東坡。見文兒，黃婿以進士新恩迎謁。辛酉</title>,<text>記曾吏部舘甥村。五十年來百感存。猶有此行奇特事。一時迎謁兩新恩。</text>
<title>鶴飛去</title>,<text>獨鶴嗟如我。公庭彳亍行。使君相伴住。微物亦歡迎。尙有雲霄想。空敎月夜鳴。西風忽飛去。正是放鷼情。</text>
<title>和贈寬甫 策 宗人</title>,<text>同人百代義。遐土十年蹤。苟若無相憶。那能有是逢。欣然千里枉。忽爾兩衰容。一去還如夢。依俙德月峯。</text>
<title>聞安叔回甲日。往省先大夫墓。送詩寄意。壬戌</title>,<text>忠翼公孫悔老兒。居然六十一年玆。歲回赤壁吹簫夜。日近龍山落帽時。禱久弧桑嗟已矣。攀餘墓栢問何之。故人病伏松南宅。未覩癯容執壽巵。</text>
<title>詠菊 三首</title>,<text>松崖移宅小庭開。老木疎陰一逕苔。林下猶存經濟志。送人贏得菊叢來。其二一時栽植幾多盆。雪白金黃按譜分。短架辛勤扶護立。問渠能識主翁恩。其三萬木凋零歲及冬。寒花開遍淡香濃。寄言莫小盆中土。發育元來一撮功。</text>
<title>李左尹 漢豐 挽 癸亥</title>,<text>中原合席有餘薰。藥裹連年世好敦。忠武故家佳子姓。朝鮮一國上將軍。鞭櫜跡混猶儒行。裘帶身閒亦聖恩。斷盡猿腸仍褥蟻。蒼梧相接廣陵雲。</text>
<title>被兪曼倩 漢雋，徐聖可 簡修 勸起。聯騎到雲近樓。主人不在。遂同往獨樂亭賞花。趙丈士尊 重瞻，趙汝載 厚鎭，兪日章 漢純 皆會。金令仲寬 在淳 亦追到。呼花字共賦。</title>,<text>山南山北不嫌賖。爲是羣芳盡意華。偶到雲樓題鳳起。相將春服策驢過。主人猶保平泉石。老子重尋洛社花。獨樂園中苔蘚古。誰知當日尙書家。</text>
<title>邀沈景晦，趙安叔，金聖胤 履錫，洪履之，尹仲擧 守翼 小話。次先集韻。</title>,<text>湖外輕舠又海邊。十年琴鶴未歸田。春來幾做靑山夢。老去應同白髮憐。八口行將南峽隱。寸心獨奈北宸懸。尋芳坐惜韶光晩。尙記花陰少壯筵。</text>
<title>到淸潭。次先集韻。</title>,<text>山回漢北白雲深。中有高樓石氣陰。落盡桃花人不見。潭淸忽有浴沂心。</text>
<title>祥雲寺</title>,<text>步步靑蘿逕。居然抵白雲。林寒猶薄翠。花落或餘芬。一水何曾息。三峯獨不羣。暮投孤寺宿。淸磬絶塵氛。</text>
<title>扶旺寺。次先集韻。二首</title>,<text>一路祥雲五里餘。靑霞洞闢桂林疎。遊仙臺上憑虛望。立立羣巒拱揖如。其二山裏招提取次尋。閒隨白衲入雲林。松臺獨酌當時事。惟有兒孫感古吟。陶菴先生有松臺獨酌詩。</text>
<title>南仁瑞 麟耉 宅。次渼湖集韻。</title>,<text>西園咫尺禁林稠。簾閣蕭然境更幽。巷陌何須論遠近。淵泉只合問源流。十年州紱方知老。幾處山樊未見休。醉後偶吟渼上句。落花啼鳥摠閒愁。渼湖詩有落花啼鳥。</text>
<title>金聖胤宅。次三淵集韻。</title>,<text>城市中間子有廬。閒庭日永少年如。芳蘭幷葉香逾遠。老樹交柯蔭不疎。聖世新恩三貢士。淵翁遺業一床書。欲聞知異山名勝。爲訪咸陽舊守居。</text>
<title>李同樞 大亨 挽 三首</title>,<text>於惟文正公門下。諸子彬彬六藝勤。一自山頹零落盡。有誰觀感又尊聞。其二李丈同樞年八十。巋然存若魯靈光。朱書在案羲圖竝。皓首林泉樂未央。其三去歲寒泉宣額時。辛勤來與祼將席。誰料平安歸未旬。一朝乘化九原隔。</text>
<title>沈進士 儀 挽</title>,<text>世德中州望。科名上舍榮。一言知雅操。屢枉見深情。匵玉還無價。籝金更有經。題詩追相紼。何處是佳城。</text>
<title>淸暉閣舊墟。次仲寬感懷韻。</title>,<text>舊有淸暉在。空餘小澗廻。山靑誰作主。頭白我初來。往蹟看流水。荒墟認古臺。寄言堂構者。須起一樓開。</text>
<title>先集成。諸士友會校新舊本。有詩志感。仍和之。二首</title>,<text>肅肅寒泉社。寥寥古匣琴。尋常餘咳唾。五十八光陰。江漢思逾切。淵源契獨深。多君校書會。唱歎有遺音。其二從今豕亥各分明。三復遺文百感情。不可無吟諸子會。何由毋忝乃家聲。臨盆至理觀魚躍。入洞遐心聽鹿鳴。自有寒泉田地在。桑楡收拾戒虛名。</text>
<title>寒泉舍。次文兒韻寓感。</title>,<text>爲近松楸復此鄕。新悲舊感一時長。空庭井臼皆陳跡。破篋裳衣尙故香。忍使斷猿啼楚峽。不堪孤鶴返遼陽。傳家獨有靑氈在。日讀遺文到夜央。</text>
<title>除夜</title>,<text>吾衰兩鬢已全皚。却把屠蘇最後杯。守歲何曾留不去。迎春元自送還回。天心益驗貞元妙。陽意先從剝復來。家國延祥同一理。中庸卷裏得栽培。</text>
<title>元宵踏橋後坐川上。仍有仁智樂山樂水之說。費隱形上形下之論。是亦山中一奇事。偶吟一絶。甲子</title>,<text>仁智由來見不同。獨余於水樂無窮。橋邊講說還奇事。探賾形而上下中。</text>
<title>潁上看花。爲曼倩，聖可所强也。仍與主人任得汝 魯 講舊好。臨起共賦。用進退格。</title>,<text>年年看盡郭東花。酷愛春光發育多。淨掃白雲遊宋洞。閒隨流水到孫家。偶然追友江南去。聊且尋君潁上過。政爲桃源高士在。此行不獨趁紅霞。</text>
<title>送春日。還鄕上成趣亭。</title>,<text>亭西桃李盛繁華。經濟年來此地多。偶入洛城今始返。春光虛負一園花。</text>
<title>聞被辟惠局。口占寄意。</title>,<text>潛郞白髮古來稀。進亦違心退亦違。獨有林鵑能愛我。血誠啼道不如歸。</text>
<title>次贈金君 泂 軸中韻</title>,<text>去思固多矣。處人幕。爲人去思。古未有也。且顯而晦。晦而復顯。必于其後孫佐幕之日。尤奇矣。斯其所以薦紳大夫有詩若文鋪張之也。可以不能辭乎。步軸中韻。以塞其請。金君名世輔。其孫泂云。蹟隨名不泐。重竪一苔碑。莫以中軍小。能令後世知。戎裝孫卽肖。民頌爾無私。此事眞奇絶。揄揚合有辭。</text>
<title>李敬命挽 七首○乙丑</title>,<text>系出琮璜世德尊。正菴脚下又賢孫。淸疎簡淡猶餘事。衆美都從百行源。其二八角東南便一隣。向時追逐已前塵。公惟叔氏同庚友。我許平生知己人。其三知公少小癖於文。自有先秦軌躅云。下筆獨推門路正。同時數子定誰羣。其四閉門城市只看書。措大持身處子如。談論時時輕一世。風流多在酒酣餘。其五文章寂寞囊中草。身世浮沉水上萍。異事農翁當日夢。分明爲子畫平生。其六凡有巖泉大小遊。良辰挈榼與公謀。滿紙瓊瑤猶在篋。雪山楓嶽又冥搜。其七尙憶前年風雪時。龍湖十里欵君扉。嗚呼八勝亭中面。早晩泉臺會有期。</text>
<title>追次壽席兒輩仁字韻 二首</title>,<text>今余周甲倍傷神。依近松楸一慟伸。孤露仍兼終鮮恨。殘年又是老鰥身。何心肯享兒孫壽。此性全孤上帝仁。頭白靈芝空發歎。餘生無路報君親。其二東朝六十一年春。聖世推恩及老臣。裘冕未終長樂養。緋衣虛作大夫身。徒然沙麓星回甲。倐爾雲鄕月建寅。勇撤簾帷如昨日。女中晠德頌宣仁。</text>
<title>次韻葛川金氏 馨遠 家回巹宴</title>,<text>婿婦還頭白。同牢六十年。斑衣憐鵠峙。華胄頌蟬聯。吉日夭桃際。靑春甲子前。吾鄕傳盛事。賀語屬誰先。</text>
<title>元朝。次先集韻。二首○丙寅</title>,<text>尙有屠蘇瀝。春醪不待賖。衣冠同一里。履屐自三家。孤露情何極。殘年學未加。平生經濟志。看我鬢全華。其二倍切靈芝感。行行大道賖。有誰方發軔。如客未歸家。樗散宜時棄。蒲衰奈歲如。願從三始祝。勤謹斂餘華。</text>
<title>次韻賀同樞宗丈 濟安 昨年重醮。其胤子今年回甲。</title>,<text>一入天門拜命還。同樞峻秩鬂金懸。老人纔過重牢日。兒子方回舊甲年。殆若上天偏造化。始知平地有神仙。邇來自足田園趣。不許囂塵到耳邊。</text>
<title>叔嫂洪氏回甲壽席。得門字。</title>,<text>尙記天桃始入門。居然嫂叔鬢霜繁。悲歡四十年間事。耕鑿東南山下村。伯道無兒嗟蜾負。中郞有女喜獅蹲。連年是月空回甲。百感詩成賀不論。</text>
<title>次韻賀洪同樞元禮 龍普 周甲</title>,<text>少小交親到此時。連年周甲未曾期。槐陰數畝比隣宅。彩服諸孫介壽巵。同病爲憐孤露感。蘊才惟有一鄕知。頎然七尺眞堪惜。虛老中樞白髮滋。</text>
<title>燈夕。與洪伯理 大應，洪而壽 仁謨 登南麓。洪令奭周，吉周，顯周。兒子光文，光正隨之。二首○丁卯</title>,<text>簇簇靑熒漸漸昇。一時明盡萬家燈。仰看天上上弦月。却遜今宵無限澄。其二百尺竿頭更一層。試看高處自卑登。吾儒進步當如許。不待中庸一十能。</text>
<title>淸心樓。謹次牧隱板上韻。</title>,<text>淸樓氷閣接簷端。日一登臨一破顔。先輩紗籠多歲月。主人白髮臥江山。烏檣歷歷龍門外。蟹火依依燕瀨間。獨有蒼梧無限感。子規啼月未應閒。</text>
<title>氷壺閣</title>,<text>雲烟萬態大江潯。一字高樓摠俯臨。自愛氷壺閒日月。使君無處不淸心。</text>
<title>發松京。宿延安界。戊辰</title>,<text>三嚲西州紱。頻踰午正門。延城懷往蹟。猶說月川君。</text>
<title>入海州</title>,<text>黃驪山水不勝情。捨却名樓此遠程。白首今爲酆下吏。淸晨馳入海西營。匪才猥荷恩私重。欲遞終歸分義輕。縱道折腰非爲米。素心多愧古淵明。自驪州移拜豐川。</text>
<title>皇華樓感古 二首</title>,<text>水積西溟地盡頭。朝宗萬里向東流。傷心當日乘槎路。獨有皇華一古樓。其二朝天無路海漫漫。虛送崇禎日月還。一片靑邱多義士。至今思覩漢衣冠。</text>
<title>爲覽仙樓香嶽之勝。率文兒發天使舘。歷抵黃岡。勸起金牧伯應之 箕應 與之行。其胤子而亨 在元 亦偕焉。拈杜韻共賦。</title>,<text>自解黃岡紱。吾行再度遲。故人爲地主。微雨好天時。幸得靑眸笑。同酬白髮詩。樓仙應有待。雙盖赴幽期。</text>
<title>練光亭</title>,<text>柳京物色正繁華。直上丹樓粉堞斜。第一江山眞似畫。老夫於此興猶加。</text>
<title>浮碧樓</title>,<text>名亭咫尺浿江灣。最愛斯樓淡忘還。正使幽閒開別界。兼將勝槩擅西關。波中樹綠圓孤嶼。沙外天晴簇遠山。更有一區蕭寺在。夕陽淸磬出雲間。</text>
<title>仁賢書院</title>,<text>演出九疇闡一原。是書優入聖人門。尙今故國衿紳慕。不獨前王位祿尊。黼冔制亡何處覩。豆籩義起此間存。東方文物於斯盛。功化還同摑血痕。</text>
<title>箕子墓</title>,<text>中國衣冠鰈域偏。千年仁化八條傳。井田歸路尋遺墓。日暮空山杜宇天。</text>
<title>應之病。不得往香山。次其韻。三首</title>,<text>東南山水昔周游。餘債關西獨未酬。可奈病翁難濟勝。香爐遙望却搔頭。其二一見名山有數存。被君牽動主人言。東臺以外無多勝。不過乘危到上元。其三獅子峯前客到稀。尋眞一計竟相違。應有山靈譏我輩。中途敗約遽言歸。</text>
<title>閱波亭</title>,<text>路出江東是峽天。閱波亭上玩風烟。入州偶値端陽節。處處鞦韆萬柳邊。</text>
<title>降仙樓</title>,<text>成都名勝冠西州。白首猶能辦一遊。好伴故人行遠路。怳逢仙子倚斯樓。峯形疊展奇圖立。江色澄拖匹練流。周覽經旬還忘倦。明朝又欲訪鸚洲。</text>
<title>黃鶴樓乘舟下三十六洞天。次應之韻。二首</title>,<text>桃花流水日悠悠。閱歷三淸下十洲。六六洞天開不盡。春來迎送幾人舟。其二洞號來蘇亦可觀。摩霄赤壁俯靑巒。何由移得玆峯去。好作吾鄕勝處看。</text>
<title>見鄕書。口占寄正兒。</title>,<text>鄕山一別夢依依。倦鳥西天鴈亦稀。聞說園花開落盡。如何不待主人歸。</text>
<title>謝李進士汝章委訪</title>,<text>少日詩壇百戰酣。中間離合各西南。辛勤鞍馬豐淵路。誰道翁年八十三。</text>
<title>金沙</title>,<text>爲峯爲壑摠無方。尺許蒼松寸許棠。一夜東風峯壑變。老僧閱歷幾滄桑。</text>
<title>海棠花</title>,<text>金沙十里海棠紅。不見其根只見叢。最是松林南畔路。一時開放幾丰茸。</text>
<title>次竹樓主人 應之 寄示韻 二首</title>,<text>牢騷白髮不禁秋。少壯居然老大愁。三日黃岡方拭眼。十年朱墨各埋頭。遙吟渭北春天句。未放山陰雪夜舟。倦迹新豐非久計。他時更卜廣陵遊。其二多君詩禮獨持門。而我何曾有志存。本爲救貧干祿仕。間因多病臥田園。小官不是韜名地。遺馥徒依講道村。自愧郵筒渾漫筆。一樽要與故人論。</text>
<title>應之所惠二篇。屬意鄭重。不可無報。旣奉和。又疊前韻寄呈。</title>,<text>沙翁脚下石堂門。儒素文章子獨存。陶令賦歸思栗里。長卿病渴臥文園。雅懷筆下元無俗。晩計壺中別有村。賢季讀書眞可羡。重逢何日一商論。</text>
<title>趙裕叔 鎭寬 挽 三首</title>,<text>公有同堂我有昆。兩家分隊自相親。悲懽閱世居常遠。顯晦殊塗契愈敦。政喜江湖容宰相。誰言朝著少完人。東亭一別仍千古。尙記丹藜送至門。其二家傳喬木篤忠貞。聖世求賢第一名。處子心中無富貴。夫人膝下有耆英。文章大抵硏精好。辭受由來見義明。夢罷山窓猶伏枕。靈輀不待巨卿行。其三東湖靈雨洗輕氛。一路淸風兩岸分。靷過黃驪悲舊牘。講遵白鹿想餘芬。琴書寂寂虛堂月。旌翣搖搖古峽雲。猶望魂輿朝暮返。倚門鶴髮淚盈裙。</text>
<title>金應之挽 八首</title>,<text>少時翰墨場中面。十載滄桑劫後身。靑眼西湖餘白髮。重修舊契倍相親。其二蔭路棲遑不自期。名門博識世爭推。從知下邑猶民社。是以廉平到底治。其三第一江山第一樓。相將好友與之遊。聯翩五馬兼三絶。缺界何曾有是不。其四歷歷蓬萊路不遙。東歸笙鶴若相招。飛棺忽逐雙鳧去。倘赴瑤臺劒佩朝。其五沙翁脚下石堂門。儒素文章子獨存。偶爾向來成此句。到今還似輓君言。其六去時皁盖換丹旌。那忍遺黎送靷情。獨也詩神淸不死。鏗然金石有餘聲。其七廣陵秋雨近黃昏。獨憶蒲騷二子言。案上遺編酬未了。山齋悄坐賦招魂。其八依俙顔面樑懸月。零落文章麝有香。爲我誦傳如昨日。梨湖餘淚又黃崗。</text>
<title>沈景晦挽 三首○己巳</title>,<text>少小相從到白紛。尋常雅集在詩樽。離合年來勞夢想。除非郡紱卽林園。其二寂寞槎翁去後州。送君高咏竹西樓。蓬瀛咫尺屠龍手。不讓當今第一流。其三却憶新秋問疾辰。喜君床褥尙精神。居然薤露詩三疊。哭送龍門愷悌人。</text>
<title>一勝亭。次兒輩韻。庚午</title>,<text>五馬低回十載間。西麾纔返又南關。王侯基業東京夢。士女衣章故國顔。戍火常傳雲裏暗。訟庭惟得雨中閒。玉山松桂留餘韻。與爾明朝擬共攀。</text>
<title>盤龜臺。謹次圃隱先生韻。</title>,<text>登山臨水尙依然。句裏黃花兩岸邊。剩使盤龜誇一曲。不堪太乙語同年。籃輿入洞疑無地。楓壁圍欄別有天。隔樹仍瞻遺廟在。此翁先我占風烟。</text>
<title>歲新。倍切家國之戀。次文兒琴鶴軒詩韻。辛未</title>,<text>官梅東閣歲重更。待漏餘誠望玉京。爲問靑綾今夜夢。龍圖何處拜新榮。文兒拜待敎。</text>
<title>釜山途中</title>,<text>蓬萊三月日如年。馬上行人醉欲眠。藹藹山容春正雨。冥冥海氣晝常烟。村傳羅俗衣俱白。津泊蠻航篚厥玄。爲問星軺何所向。息波亭下繫樓船。</text>
<title>贐通信正使金公世 履喬 赴日本</title>,<text>忠義家聲大。文章地望高。王靈應有濟。使事不言勞。出日三山路。祥飆萬里濤。可忘壬癸恥。劒氣欲衝霄。</text>
<title>光文以閣臣。陪輦至春塘臺。承命賦詩。賤臣適忝銀臺。謹步其韻。以寓頌祝之忱。</title>,<text>日日祥雲繞禁林。春臺仙蹕又天臨。小臣昨赴花魚宴。倍切封人祝聖心。</text>
<title>兪曼倩挽 十首</title>,<text>生老昇平八十春。本之經術措諸身。騈花儷葉都刊落。當世文章第一人。其二少時傾盖白頭新。共入銅龍較更親。神德園中紅躑躅。公詩猶在世間春。其三文瀾捲起海東廻。雲亦隨君度嶺來。飮罷竹西樓上月。傍花時送故人盃。其四峨冠大帶坐頎然。不使纖塵到眼前。琴几小樓容一榻。閒中常對晦翁編。其五半生潦倒八州符。天爵承恩下大夫。元子宮僚今復選。先朝曾許說經儒。其六五老圖成各賦詩。臘梅秋菊見鬚眉。如今落落晨星散。玆會方知盛一時。其七華泉一壑倍輝光。贊我之眞記我堂。小小赫蹄皆可誦。多君開口便成章。其八一自南來問疾初。丹鉛遺託在刪書。可憐五十年精力。尙有英華這裏餘。其九三輪世界夢浮休。政是梧桐一葉秋。送子騎龍天上去。彩毫應記玉京樓。其十丹旌西指下梧亭。菴後松杉便此塋。哭盡人間知己死。年年楓樹幾回靑。曾爲賦便此菴記。</text>
<title>鄭進士景五 奎采 挽 二首○壬申</title>,<text>圃翁祠下圃翁孫。詩酒風流士望存。世好仍兼私感切。寒泉恩額賴誰尊。其二人生窮達摠由天。白首薤鹽正可憐。尙記泮中鄕飮席。一時賓介共周旋。</text>
<title>李蔚山 廷寅 挽 五首○癸酉</title>,<text>居然已稅返魂車。四事堂前講樹虛。橋上老夫長歎息。無人更讀洛閩書。其二渼湖津筏散如雲。盡日招招不見君。千載緖言俱寂寞。至今湘浙任紛紜。其三文繡膏粱不願人。達尊還忘自家身。非徒學力能爲此。泣說當年菽水貧。其四好去泉臺識父顔。駒城自古卽家山。可憐昔日苫前草。又送王孫不復還。其五中宸猶記二南治。召杜歸來處處碑。恨未一登園綺席。桂坊剡牘用何時。</text>
<title>上元夜。兩兒就禁直。獨與諸孫看月。二首○甲戌</title>,<text>偶値立春兼上元。石泉橋畔月黃昏。今宵送爾靑綾直。獨把兒孫栢葉樽。其二一時豹直二難幷。內閣春坊世所榮。坐想金蓮歸院路。禁淸 橋名 踏月幾詩成。</text>
<title>發向壽春。官屬稱大監。戲占一律。文兒宰春川。○乙亥</title>,<text>鬢邊金玉等於僧。分外尊名又一層。今日方知因子貴。前年已得列卿陞。六仙舊號元非儉。八座虛銜且莫稱。滚滚靑雲都付爾。此行堪笑老無能。</text>
<title>踰石坡嶺</title>,<text>峽山崒嵂峽川奔。宿霧連空日欲昏。高處方知天地豁。石坡嶺上踏層雲。</text>
<title>渡新淵江。抵衙。</title>,<text>籃輿飛下石坡遷。十里新淵江上船。剩借卿班休沐暇。好占仙窟起居便。樓臺一府排鋪壯。山水東關造化偏。別有聞韶高閣在。碧梧之後鳳儀前。碧梧軒名。鳳儀山名。</text>
<title>昭陽亭。謹次王考陶菴先生板上韻。</title>,<text>六七十年山水行。昭陽今日又題評。村西野色千區錯。嶼外灘聲二道鳴。地積烟霞偏勝絶。天開洞府自虛明。淡中眞味懷先躅。怊悵江梅待月生。板上有淡中眞味語。</text>
<title>聞韶閣。次壁上太太守歌。</title>,<text>君不聞守是邦者謂之眞太守。闔境士民知所敬。又不聞太守之父謂之太太守。時其飽煗而溫凊。有閣深深臥高枕。一塵不到琴書淨。鳶飛魚躍皆自得。鶴長鳧短各定命。不須高下武城弦。興到只可詩爲令酒爲政。是知太太守之樂樂於眞太守。治化付汝操其柄。若可聞韶韶不聞。公門百事何喧競。獨有靑山宛鳳儀。榮桐槖鄂花無病。殿最肉絲還多事。豈若吾身養靜吾心正。優哉悠哉太太守猶有眞宰權。江山風月烟雲魚鳥四時都管領。</text>
<title>谷雲九絶 丙子</title>,<text>靑嵐西畔碩人薖。鷄犬疎籬六七家。粧點山居何所有。沿溪無數水丹花。右精舍其二除却腥氛此洞深。潭心惟有臥龍吟。錦官遺廟知何處。碧草黃鸝自古今。右忠武侯其三莫以猖狂小此髡。存髯猶是丈夫身。採薇高節秋江外。生六臣中第一人。右淸寒子其四家住千山萬水中。角巾藜杖谷雲翁。天倫知己三淵在。指點西林半畝宮。右谷雲翁其五誰從木石與爲隣。卿相家門處士身。道義文章姑舍是。高標絶俗大哉言。右三淵其六亭頹三一石無言。誰識圖書至妙存。卦象由來源此理。臨風吾欲問羲文。右人文石其七噴激層湍撼壑來。如雲如雪又如雷。盤陀老石容人坐。時送輕霏入酒盃。右白雲潭其八淸隱古臺草欲萋。東隣玉峽上雲溪。幽人不做高唐夢。自在巖泉杖履携。右神女峽其九十里淸溪一棧通。短筇隨柳淡雲中。年年游子尋春到。爲趁蒼崖躑躅紅。右傍花溪</text>
<title>臨歸。次谷雲籠水亭。用崔文昌紅流洞詩韻。</title>,<text>雲樹千重矗矗巒。任他要路在人間。獨憐當日鴒原約。虛負華陰一半山。</text>
<title>送文兒遊楓嶽</title>,<text>送汝金剛去。雲山萬二千。戒存臨履際。珍重九龍淵。</text>
<title>昭陽亭觀漲</title>,<text>風花雪月輒登樓。雨後觀濤亦壯遊。野水濶呑千百畝。峽山遙齧兩三州。莫施鷗鷺凌波勢。定有魚龍撼壑愁。可是斜陽添霽景。一筇徙倚畫欄頭。</text>
<title>發向永保亭。次趙生爾玄 基升 韻。戊寅</title>,<text>不有嘉林會。那成永保行。江山將了債。風日正宜晴。西指安眠島。東臨節度營。賴君勤護疾。在道亦康寧。</text>
<title>永保亭</title>,<text>拍拍搖搖永保亭。翠翁一去更誰評。文章別有湖山助。武畧還敎棨戟停。火席光奔圓萬月。砲機聲震逬羣星。海防游覽良非偶。兒輩雙鳧又在庭。</text>
<title>林川衙中。書示正兒。</title>,<text>仲氏餘庥太守兒。專城追養亦堪悲。纔從湖海南游路。爲趁嘉林一會期。適我今行見榮耀。是誰所賜感恩私。文兒以閣臣。蒙恩暇從行。正兒及從子稷山監光承，從孫定山監埴，姊子溫陽守金魯鍾。亦迎於路上隨之。 邇來三鼎都過分。乃伯東還尙未朞。文兒遞任春川。</text>
<title>定山衙中。拜歸樂忠肅公祠版。</title>,<text>往事辛壬尙何言。一體貞忠四大臣。只以丹心期報效。竟將碧血訴煩寃。無知天道眞如綫。有限人情幾不禋。官薦牲蘋皆聖賜。從今子子又孫孫。</text>
<title>水北亭</title>,<text>水北亭高跨石臺。王孫草綠杜鵑哀。舊時輦路經千劫。暇日漁舟溯幾回。未信山河爲國寶。定知樓觀速天灾。三忠已沒嗟何及。我欲招招酹一杯。</text>
<title>大哉閣 浮山煥章閣舊址有大石。尤菴書孝廟賜白江李文貞疏批中至痛在心日暮途遠八字刻之。</title>,<text>南城遺恥欲無辭。忍過三田渡上碑。此地春秋堪一讀。居人猶說暮途悲。</text>
<title>洗劒亭觀漲</title>,<text>雨後登臨可此亭。水聲終日撼虛欞。塵襟滌盡城南去。曉枕猶應寂若聽。</text>
<title>天然亭賞蓮</title>,<text>蹇驢再度不嫌忙。爲有城西十畝塘。千古濂翁眞愛爾。至今蓮說口生香。</text>
<title>嘗出住小阮江榭。戊寅病告。又留連於此。亦季秋也。見壁上詩。追步其韻。</title>,<text>此老行窩卽此亭。小車時復去還停。收心靜界無城市。擧目澄流便戶庭。前度巖楓猶未赤。重來門柳有餘靑。吾頭已雪神如霧。不辨漁燈入杳冥。</text>
<title>十月九日。與諸友上南麓。爲再重陽會。以倣坡翁故事。酒半。以一年三百日。應十月再重陽之對。抽黃對白。雖無可稱。亦足爲老境勝集。浮世佳話。遂以此起頭。翌日足成爲五絶。寄諸公求和。</title>,<text>一年三百日。十月再重陽。競把茱萸看。應知此會長。</text>
<title>贐吳侍郞 翰源 赴燕</title>,<text>謂吾冠帶國。許以小中華。十二侯邦會。無徒上座誇。</text>
<title>又草一絶。兼贐李書記。</title>,<text>去路三千遠。歸時七十豪。况有杜書記。風烟不寂寥。</text>
