<title>送人作南郡。用李季眞 稹 韻。</title>,<text>小吏發長安。風光行正好。寒梅開未落。春早江南道。</text>
<title>踏靑日。和東岳客裏逢佳節。四首</title>,<text>客裏逢佳節。天涯憶舍兄。沉痾幾分减。遠別一年更。入夢形偏瘦。開緘眼倍明。何當風雨夜。話盡陟岡情。客裏逢佳節。天涯憶兩感。謝庭聯玉樹。鑾掖共氷銜。戀結經年別。書傳隔月緘。團圓何日是。弊盡幕中衫。客裏逢佳節。天涯憶阿兒。詞華亦餘事。經訓是爲基。分寸陰當惜。嬉遊悔莫追。無聞四五十。端戒乃翁宜。客裏逢佳節。天涯憶小菟。久違文度膝。曾挽杜陵鬚。句已知新誦。書能免舊塗。平安肥字報。時慰旅情孤。</text>
<title>自吉城發。向七寶。李生 以晉 來待門巖嶺。仍與入山。馬上次東岳韻。</title>,<text>坐嶺三杯酒。肩籃百丈崖。山容經雨活。鳥語占晴喈。宿約簪俱盍。冥搜境漸佳。半年關塞客。今日始開懷。</text>
<title>承召赴洛道中。次柳亭聯句韻。寄節度。</title>,<text>蟬噪長亭柳。陽關唱闋初。欲辭元帥去。曾別老兄如。脉脉詩題扇。依依醉摻裾。那堪驅傳馬。十步九躊躇。</text>
<title>登北靑鎭南樓避暑</title>,<text>十日炎程落。南樓避欝蒸。風飄紅袖颺。天近綠窓憑。楊柳濃陰午。醍醐凍椀冰。黃昏更移席。池閣月初昇。</text>
<title>鐵原三釜淵</title>,<text>倦向豐田驛。迤尋三釜淵。喧雷語難辨。飛雪暑能蠲。測綆深千尺。垂紳掛半天。俗人那到此。神物定蜿然。</text>
<title>贈朴仲八之任義興</title>,<text>嶺嶠通南極。之官路政脩。遽違同閈面。偏惱各天愁。親舊中年別。山河八月秋。淸光輪未缺。何處獨登樓。</text>
<title>玉堂。酬禁直諸益。</title>,<text>凉雨直廬夜。高梧韻入詩。吟安一字澁。坐到二更疲。吹帽佳辰過。持螯漫興宜。殷勤隣省友。好約在湖湄。</text>
<title>寓直春坊。次權悅卿 說 韻。</title>,<text>風緖高軒豁。鸎聲上苑深。緩籌傳午漏。小砌改朝陰。隣省逢靑眼。田廬負素心。病來詩意懶。偶爾對君吟。</text>
<title>次金建中寄示韻</title>,<text>歸田計已熟。供世病何能。擬結淵明社。非無惠遠僧。悠悠十年事。悄悄五更燈。此意君應會。詩來當百朋。趨朝妨疾病。報國蔑才能。齒迫知非歲。身同入定僧。樽空臘前釀。詩就夜分燈。簪盍期南巷。芳隣喜得朋。</text>
<title>金判書 佐明 挽</title>,<text>己卯儒賢後。先朝名相兒。早將文雅進。兼以事功推。望屬韋平拜。恩無馬鄧私。誰言天奪速。終未踐台司。兄弟尊榮並。巍班接武趨。周官大司馬。漢代執金吾。身際千年會。才爲一世需。云亡關國運。誰復濟艱虞。</text>
<title>次伯氏韻。奉送士元堂兄赴靑山。</title>,<text>城南一杯酒。相勸不須辭。爲 一作最 是分離地。俱非少壯時。官閑從縣薄。歲歉奈民飢。珍重詩篇贈。唯應慰夢思。</text>
<title>贈沈道明 轍 庚契之任盈德</title>,<text>沈氏好兄弟。銅符三處分。南臨滄海郡。北望太行雲。衰齒憐同我。孤懷悵別君。淸心樓在否。八詠待休文。</text>
<title>寧陵遷葬挽詞</title>,<text>聖以殷憂啓。河淸運在東。十年臨紫極。三代挽玄風。造化天同大。危微道執中。傳承文武業。方策照無窮。孝友因心得。斯爲大聖人。尊符一字謚。功叙九疇倫。久識陶民化。先推錫類仁。休哉曾閔行。創見帝王身。側席誠如渴。于于俊乂來。商巖起霖雨。漢閣接蓬萊。惕厲遺憂責。登崇識務才。中途未半業。攬涕有金臺。天豈虛生聖。民將丕變雍。乾坤猶莽蒼。江漢自朝宗。此義千秋炳。當時衆望顒。悲歌中夜泣。志士恨塡胷。不盡攀髯慟。仙遊歲月遙。魯塋須備患。灤水復臨朝。廞衛新儀儼。遷封舊典昭。怳疑天日表。疇昔御臣僚。葬聖黃驪讖。曾於世廟徵。神孫此配極。盛烈本同稱。復土遷儀似。因山儉制承。堂堂弘濟志。洞號協園陵。</text>
<title>閔進士 鎭夏 挽</title>,<text>玉雪容儀秀。森然在眼中。云胡奪佳士。嗟莫問高穹。較齒同吾子。無言慰若翁。追思撫頂日。衰淚酒悲風。</text>
<title>金判官 仁文 挽</title>,<text>令胤重攀桂。淸朝法從臣。不緣能訓子。何以得榮親。晩仕凋雙鬢。頹齡望七旬。最憐臨絶語。猶待綵衣人。</text>
<title>雨夜病卧書事</title>,<text>伏枕興居倦。朝昏熱似潮。三秋人卧病。十月雨終宵。沈約身全瘦。潘郞鬢易凋。孤懷政愁絶。詩句爲誰謠。</text>
<title>僑寓杏洲歸來亭。禹功甫 弘成 來訪。抽杜集韻共賦 亭卽竹所金尙書光煜江榭。</title>,<text>屬我賦騷日。荷君携酒過。滄波帆外遠。白鳥席邊多。未必前期數。其如此樂何。優閑亦聖渥。漁父不須歌。</text>
<title>自余遭譴以來。棲泊無所。生事益落。仍想主人竹所公有此江山亭榭之勝。田園舊業。亦足以了過平生。則雖被顚沛。如余所遭。而自無憂矣。顧余計拙。不曾問舍求田。致有今日之悔。還覺一笑。遂次主人題板韻。聊以自嘲。</title>,<text>謫裏僑居勝。全敎世念休。鷗飛掠朱檻。帆影漾淸流。風月元無價。田園亦有秋。途窮知計拙。小築不曾求。</text>
<title>內兄東里李尙書 殷相 新刊季舅玄洲文集。印寄一部。志感錄奉。</title>,<text>異代三蘇盛。泉坡二稿行。新刊潁濱集。重感渭陽情。忍說無年痛。猶傳不朽名。內兄題跋美。文苑繼家聲。</text>
<title>謝隣丈崔文義 櫓 携酒來訪</title>,<text>勸稼亭中老。年今七十餘。能携兩宅相。頻訪此僑居。杏萼催春晩。松醪醱釀初。不辭成酩酊。情味更誰如。</text>
<title>移棲竹里。寄李伸羽昆季。</title>,<text>竹里境雖勝。杏洲忘獨難。還嫌近郭閙。每憶並隣驩。白鳥新盟在。黃粱一夢闌。元龍淮海氣。到老未全殘。</text>
<title>走次灘翁偶閱道德經。仍有所感。賦示之作。</title>,<text>學祖黃轅術。根綿玄牝門。世誰傳至道。經亦載空言。變化龍無跡。周流月沒痕。從來子雲草。猶不易高軒。</text>
<title>弼卿還梅澗寄一律。次酬。</title>,<text>借舘吾依竹。還家爾傍梅。人休城郭過。詩寄水村來。爽氣西山度。淸樽北海開。剡溪前夜興。能記小舟回。</text>
<title>茂朱倅趙嶷望 世煥 過辭。仲美，起之亦會。醉賦爲別。</title>,<text>供世已華髮。之官仍赤城。聊成遷客會。却送卧仙行。風閣披襟爽。榴花照眼明。親朋湖外少。且盡此離觥。茂有寒風樓。世號茂倅爲卧仙。篇內及之。</text>
<title>廣興守朴仲五 世相 伻至。走寄索草芚。</title>,<text>江爽雖宜夏。亭虛易透炎。偏愁夕照返。更耐午烘添。大庇歡難辦。淸陰惠願霑。誰敎太倉令。爲我蔭茅簷。</text>
<title>次酬起之</title>,<text>雨色連朝暗。霏微不散陰。江湖十日飮。我輩百年心。醉帽須人整。歸舟任夜深。那堪送爾後。漫續楚騷吟。起之將赴御營幕府。</text>
<title>次仲美示韻</title>,<text>幽棲非俗狀。痛飮是吾師。細和陶潛賦。長吟謝眺詩。江從萬里遠。日似少年遲。已作忘機客。相期白鳥隨。</text>
<title>七夕。凉意已生。旱乾轉甚。錄示灘翁。</title>,<text>銀漢雙星會。靑梧一葉凋。天時空晼晩。田畒轉蕭條。漫詠懷良友。端憂爲聖朝。絺衣初換裌。凉意在芭蕉。</text>
<title>走酬次山和選兒韻。寄示之作。</title>,<text>獨卧滄洲畔。誰傳白雪聲。和來忙點筆。吟罷促飛觥。不乏扁舟興。其如數舍程。差池隔歲別。相憶但含情。</text>
<title>夜坐。聞秋蟲有感。錄寄灘翁。</title>,<text>蟲聲竟夜閙。爾自爲鳴秋。不是關人事。如何喚我愁。衰年眠豈穩。徂序感還稠。此境君應解。詩傳八詠樓。</text>
<title>灘樓別起之。用主人韻。</title>,<text>幾度灘樓會。吟觚俾爾操。離懷還錯莫。秋鬢各蕭騷。野逕聯鑣穩。江天捲箔高。那堪分手後。寂寞舊南曹。</text>
<title>權悅卿在韓山寄一律。次錄簡尾。</title>,<text>不意永嘉札。遠傳湘浦村。舊隣嗟已失。新詠荷相存。燕自違鴻去。江唯向海奔。知君夔後作。一一似開元。悅卿舊第。與竹里隣近。篇內云。</text>
<title>次酬仲美</title>,<text>綠淨空江水。蒼茫暮景天。病懷疎筆硯。秋色老風烟。不意傳筒作。還驚隱几眠。終乖濠上約。強和郢中篇。湖海閑人卧。林園倦鳥歸。幽期竹舘在。佳節菊觴飛。晩境從疎放。端居忘是非。同尋遂初賦。莫遣化緇衣。</text>
<title>迪兒冠日。邀江隣數人會話。使灘翁仍相三加禮。席上醉賦。</title>,<text>郭外幽期數。樽前老興新。朋簪盍勝地。兒弁突良辰。疎略三加禮。薰濃四座春。向平婚嫁願。憐爾始成人。</text>
<title>次酬文仲，仲美，弼卿。</title>,<text>抱疾淹漳水。燈前憶舊遊。高懸徐孺榻。久閣剡溪舟。宿鷺常棲檻。歸帆半亞樓。傳筒猶不隔。江海有吾儔。</text>
<title>十月之望。會飮鄭令丈 采和 江樓。許兄仲玉及沈仲美有約不來。率賦以寄。</title>,<text>次第江樓會。新傳鄭老觴。終違許丁卯。又阻沈東陽。漫自懷同調。猶能醉一塲。佳辰後赤壁。明月更輝光。</text>
<title>至日與伯姪賞梅聯句。梅澗伻適至。疊其韻却寄。</title>,<text>雪裏藏春塢。花從至日催。羅浮魂已動。太簇氣全回。不可無君語。還宜壽我杯。憐渠消息早。絶勝漢濱梅。</text>
<title>朝起拓窓。始覺夜雪大下。糢糊檜頂。最是奇賞。賦示家姪。</title>,<text>未覺前宵雪。朝來看輒奇。偏宜老檜頂。絶勝早梅枝。四望淸人境。孤吟強我詩。誰家煖帳裏。滿酌醉羔兒。</text>
<title>仲玉兄。將赴赤城。會飮伯氏池亭。醉次家姪韻。以志感懷。兼贈玉兄。</title>,<text>別緖詩難道。春陰雨未禁。驛梅他日信。池草昔年吟。去住初分手。存亡更愴心。何當投郡紱。卽此復同臨。</text>
<title>贈鴻山朴使君 銑</title>,<text>每過西門路。羊曇醉後悲。飛鴻知縣吏。雛鳳稱家兒。儒雅治應飾。廉平訓是遺。臨民斯亦足。秪合養偏慈。</text>
<title>黃澗尹使君 坪 過辭。余適中酒。不能叙別。朝起走寄。</title>,<text>客到子雲宅。腰纏湖縣章。吾先取醉熟。君亦告行忙。倐爾分雙舃。依然勸一觴。朝來梅雨暗。應滯郭西裝。</text>
<title>贈朴殿中 長建 出宰奉化</title>,<text>蒼磴黃茅句。樓題卽四佳。味詩知縣僻。環境想山皆。淳古居民俗。優閑隱吏懷。全勝殿中喝。曉踏軟紅街。縣有徐四佳題板詩日。蒼磴攢空樹木交。兩三村屋覆黃茅。</text>
<title>中秋夜。有懷灘翁。</title>,<text>此夜惜虛度。佳辰那易遭。獨看天柱月。誰賦廣陵濤。蟲語床頭近。秋聲樹杪高。相期桑落飮。何事勝持螯。</text>
<title>贈沔川崔使君 碩英</title>,<text>治行君居最。移官璽秩褒。洛中纔下榻。湖外又征袍。老大別懷惡。山河秋氣高。憑傳滄海客。飮興幾持螯。時李樂甫。寓居境下。</text>
<title>選兒家。同道明賞梅。醉賦寄灘翁。</title>,<text>何處難忘酒。春藏雪裏梅。兒曹先已覺。老興亦相催。香動黃昏月。花攲㶑灧杯。西湖悵望恨。差慰卯君來。</text>
<title>贈堂弟春卿 柱震 赴文義</title>,<text>未獻長楊賦。憐君鬢欲蒼。出爲山縣宰。移自水曹郞。歲序梧桐落。民憂稼穡荒。須從簿牒暇。一戰勉槐黃。</text>
<title>中秋夜雨。獨坐松楸齋舍。有懷灘翁。</title>,<text>各向松楸去。俱吟叢桂篇。雨霾端正月。雲羃泬㵳天。良晤知何日。淸光負一年。山齋見螢火。衰暮感時偏。</text>
<title>灘樓醉後。抽韻共賦。</title>,<text>玉露下庭綠。灘樓秋序闌。樽中桑落酒。澤畔楚臣顔。山瘦晴嵐捲。江空宿莽寒。行休從可卜。倦鳥亦知還。</text>
<title>次酬灘翁</title>,<text>端居機漸息。君似漢陰翁。雪曲知音寡。風斤斲鼻工。葭灰至候動。梅信臘前通。萬事俱衰境。相憐爲病同。</text>
<title>李允迪寄贈東岳續集。次仲美韻謝之。</title>,<text>寶唾留全藁。飈輪返列仙。大家推李杜。宗匠盛開天。獨步東槎上。高名北斗邊。江河不廢業。何待拾遺傳。辛丑東槎。揔是宗匠。而東岳詩大被皇華之賞。故第四五及之。</text>
<title>次奉仲美。兼示允迪。</title>,<text>白髮滄浪客。時時問索居。殘年病妨飮。遲日懶拋書。炊軟長腰米。漁腥巨口魚。會須同此興。休歎綠樽虛。近來衰甚。欲效靖節止酒。篇內云。</text>
<title>走酬允迪疊前韻寄示之作</title>,<text>久負雲林想。長懷水竹居。衰無鴻寶術。閑閱小乘書。楚士狂歌鳳。任公大釣魚。何如㓒園叟。靜室白生虛。曩哲元同趣。今人漫與居。閑徵行處酒。窮有著來書。睍睆穿花鳥。參差動鏡 一作優游在藻。 魚。聯鑣灘上約。空谷慰逃虛。</text>
<title>寄灘翁。用聯句韻。</title>,<text>江漢日蕭瑟。相思空復情。蟲聲雨後咽。螢影夜深淸。衰意同秋淡。浮名似葉輕。前期端正月。新酒酌蒲城。</text>
<title>贈趙公擧 師錫 忠淸水使之行</title>,<text>聖代調文武。需才用不偏。畢諴辭禁闥。楊僕讓樓船。光彩戎麾變。恩榮晝錦鮮。海氓爭拭目。分閫自承宣。飛閣臨滄海。胡床興若何。湖山今可賀。疇昔等閑過。地更因人勝。天還餉子多。籠紗有傑句。一和翠翁哦。</text>
<title>灘樓。次伯姪韻。</title>,<text>水榭高秋霽。蘋風滿箔凉。君收新物色。吾閱舊篇章。白鳥尋盟狎。寒花作意香。聊將小阮酒。要醉沈東陽。伯姪先賦。余時閱主人酬唱錄。故上聯云。季姪携酒。落句及之。</text>
<title>酬灘翁</title>,<text>小塢梅魂返。新醅臘味淸。終違剡溪訪。漫詠渼陂行。短鬢驚年事。高談阻月評。佳辰立春近。屋角聽禽聲。</text>
<title>次伯姪韻。寄李季周 端夏。兼示仲周 紳夏。</title>,<text>屛蟄同時並。睽違六載長。險途今慣閱。平世早宜藏。白簡經年歲。蒼松耐雪霜。多君好兄弟。分占水雲鄕。季周叙命還收之啓。經歲不止。第五云。</text>
<title>淸明日。寄灘翁。</title>,<text>佳節閉門裏。小齋凝素塵。閑眠人送日。亂聒鳥鳴春。綠酒宜斟冷。輕衫欲試新。相關揔幽事。又及種花辰。</text>
<title>接樹</title>,<text>強合他枝幹。殊非木性眞。猶憑寓公地。得占寄生春。妙勝栽培力。功資發育辰。來年應結實。老子恰甞新。</text>
<title>伯姪送騎。要與功甫賞花。病未赴。詩以復之。</title>,<text>許馬勤邀迓。其如病未扶。人方愁伏枕。鳥自勸提壺。藥物那全廢。花時亦易徂。相携廣文老。肯訪此翁無。</text>
<title>宿北倉村舍</title>,<text>燭跋鷄仍唱。荒村月掛簷。寒威雪後緊。風力曉來嚴。遠信秦中阻。孤懷海曲淹。元知五斗粟。終不絆陶潛。</text>
<title>貝葉寺</title>,<text>貝葉知名寺。鐘鳴客到時。水舂雲碓粟。松亞鶴巢枝。幽壑聽泉爽。尖峯眺雪奇。明朝出洞路。擬看大師碑。</text>
<title>宿貝葉寺。終夜大雪。</title>,<text>先曉窓生白。窓開雪滿峯。汲泉僧斫路。刷羽鶴翻松。晶氣通禪榻。寒聲助梵鐘。厖眉一老衲。趺坐說南宗。</text>
<title>除夜。與一家數人小飮。庶從汝勳歌聲依舊。率賦以贈。</title>,<text>海曲靑陽逼。燈前白髮明。他鄕親戚會。此夜歲時更。衰相添新齒。狂歌有舊聲。空懷少年事。君與我同庚。</text>
<title>立春</title>,<text>春入官梅動。陽隨臘雪融。葵忱星拱北。葭律斗移東。盤菜他鄕味。門符故國風。憂民老太守。只自願年豐。</text>
<title>人日。與文城李使君 廷龍 同行。</title>,<text>秉燭官齋夜。聯鑣古峽春。一麾俱作吏。七日又逢人。晤語行忘倦。襟懷露見眞。明朝碧城舘。多是會心親。</text>
<title>哭次山</title>,<text>夙昔姻親好。憐君玉雪姿。悲歡四閱紀。流坎各隨時。視草同登省。分符遞送麾。郭西聯枕晤。誰道死生離。謂有遼燕別。黃岡擬摻裾。沉痾淹藥裹。遠役輟輶車。耿耿臨歧約。悽悽伏枕書。須臾千古慟。安得不漣如。此人不五十。痛哭止於斯。獨對平生酒。遙緘千里詞。彦昇遺嗣稚。元伯死交誰。名父尙書澤。門闌愴日衰。</text>
<title>黃岡津舟上</title>,<text>津濶黃岡渡。懸帆一息程。潮回石稜出。風起浪花生。海樹皆春色。沙禽已暖聲。却忘形役苦。淸料引詩情。</text>
<title>大殿春帖字 丁未。居首。</title>,<text>御柳迎春早。祥禽得氣先。正當元始日。新數太平年。香浥辛盤薦。恩沾法酒宣。爭看寬大詔。又下九重天。</text>
<title>大殿迎祥詩 代人製</title>,<text>紫闕寒威退。靑臺日影遲。序隨堯莢改。功惜禹陰移。積雪殘鳷觀。輕冰泮鳳池。吾王庶無疾。新報闢經帷。</text>
<title>餐雪 以下月課○甲辰冬</title>,<text>大窖窮冬雪。天敎烈士餐。還隨氊入口。元是鐵爲肝。正氣何曾餒。貞標不受寒。充飢賴羶肉。可忍少卿看。</text>
<title>非復別離時 丁未冬。居首。</title>,<text>少日輕離別。人情老易悲。等閑分手地。渾是斷魂時。忽忽對樽酒。茫茫臨路歧。東山懷作惡。亦到暮年知。</text>
<title>江草日日喚愁生 戊申春</title>,<text>日日緣江草。和烟暖更抽。綠應隨爾意。暗已喚人愁。撩亂排難得。芊綿引不休。何由銷萬斛。合作醉鄕侯。</text>
<title>次姚合遊春 二首○庚戌春</title>,<text>官散身無事。春郊眺望遙。鳩鳴烟外樹。溪漲雨餘橋。日暖蜂黏絮。風微燕掠苗。芳菲正愜賞。莫待晩紅飄。偶然乘野興。斜日澹忘歸。草色侵行屨。花香上客衣。閑官宜浪跡。幽鳥不驚飛。還往從今熟。塵中識者稀。</text>
<title>次酬起之十韻</title>,<text>晩計同耕釣。交情保笠車。相期綴蘭佩。肯許摻塵裾。已狎無猜鳥。兼觀取適魚。心隨湖水淡。跡共野雲舒。戀闕誠徒切。匡時術亦疎。幽潛懶中散。寂寞病相如。趣在花園涉。功添藥畒鋤。優游俱得所。身世兩忘諸。竹里王丞舘。玄亭楊子居。過從曾不厭。誰遣辟軍書。</text>
<title>關山月六韻 以下月課○甲辰秋</title>,<text>何處愁看月。愁看月上關。三年羗笛裏。五夜戍樓間。鏡似明妃掛。弓疑壯士彎。應同照秦地。空自對燕山。桂魄休敎滿。刀頭苦憶還。願隨西去影。閨恨轉難刪。</text>
<title>隴頭水六韻</title>,<text>莫作關中客。休爲隴上游。有泉鳴咽咽。奔海去悠悠。解道膓堪斷。誰能淚不流。九回縈坂勢。四注別源頭。水訴分歧恨。人添戀土愁。仍翻古樂府。哀怨幾時休。</text>
<title>夜坐得詩字</title>,<text>緣籬瓜蔓欲離披。高樹西風索索吹。九月秋聲人易感。一年霜信鴈先知。醅初醱瓮還嫌病。菊未開花已到詩。絡緯近床啼作意。夜闌吾睡爲誰遲。</text>
<title>春日郊行</title>,<text>出郭渾如與世違。獨尋樵路見人稀。山陂麥嫰夜來雨。野店花開春掩扉。傍水客停羸馬坐。隔林僧伴暮禽歸。前江極目添詩料。無數風帆去若飛。</text>
<title>奉送伯氏赴燕</title>,<text>八月黃楡落塞城。使車迢遞出幽幷。身衰豈恃曾行熟。親在難敎此別輕。朝旭欲昇方整駕。晩霖雖霽莫兼程。思量萬事關心地。雙鬢新添雪幾莖。</text>
<title>贈別金建中淸風之行</title>,<text>淮海平生氣不除。一麾君去意何如。樓高自作神仙界。郡僻眞同隱者居。籠曬峽民春採藥。盤腥灘吏夜叉魚。誰言太守身無事。嶽寺尋僧日跨驢。夾岸垂楊人語聞。使君輕盖已江門。村家大抵依靑嶂。官閣尋常掃白雲。山逕草香知麝過。石 一作蜜 崖花暖聽蜂喧。籠紗試覓冲庵句。風穴千秋剩帶芬。桃花初綻鳥喃喃。病起無端把別衫。襟抱百年唯爾我。江山千里便仙凡。離筵上已春停盖。征棹中原雨滿帆。小築試尋潭畔宅。竹林應憶阮家咸。仲父舊宅。在島潭。</text>
<title>舟泊鳳翔</title>,<text>前村暝色逗歸橈。水鳥飛鳴響泬㵳。樵艇始疑來却去。漁燈初似近還遙。衣從篷濕知生霧。枕逐船搖覺進潮。聽得篙人淸曉語。鰲巖約到未終朝。</text>
<title>秋夕松楸。示鄕人。</title>,<text>野人顔色太敷腴。生事秋來揔可娛。䆉稏雲鋪黃萬頃。棗梨霜染赤千株。溪魚入網朝携伴。澤蠏橫戈夜課奴。結社他年存晩計。倘能分我瀼西無。</text>
<title>雨夜書事</title>,<text>閑披經籍讀唔咿。坐到深更不下帷。窓罅暗風燈易暈。樹間疎雨葉先知。酒杯斷後治痾穩。詩字安來着睡遲。雕篆本爲楊子耻。卷中謨訓有餘師。</text>
<title>至後大雪。夜坐看書。賖酒酌數杯。</title>,<text>天地窮陰遍八荒。抱痾深室學龜藏。臘前大雪餘三白。至後輕雷復一陽。市酒排寒微有力。書燈含凍淡無光。新梅想報春消息。欲問西湖處士莊。</text>
<title>大隱巖 曾爲南衮所居。後歸辛白麓。</title>,<text>逃暑何由快御風。幽居却喜在城中。林慙昔爲名巖子。地勝還因號麓翁。一派泉源通戶井。四邊松韻滿簾櫳。前秋暫賞猶餘債。此日重來好會同。</text>
<title>奉送姊兄李行臺 俊耉 赴燕</title>,<text>蕭條人代秪沾纓。一病支離半死生。伏枕更堪成遠別。臨歧曾慣送玆行。秦城漢塞經過地。易水金臺感慨情。此去試尋簾肆客。欲將身計問君平。</text>
<title>春日偶賦</title>,<text>遲遲簷旭弄淸和。步上東園獨自哦。當晝閉門機便少。趁春移卉事還多。病來筋力知全减。愁裏光陰看易過。屈指韶華餘幾日。先拚一飮醉無何。</text>
<title>獨酌</title>,<text>懶慢相成簡出門。興來春日獨開樽。題詩不必驚人語。把酒那能聽婦言。學是聖賢容放達。居仍城市憶田園。初心已矣顚毛改。一醉陶然笑倚軒。</text>
<title>齋舍志感</title>,<text>人代悠悠痛莫追。百年孤露欲依誰。身離堊室俄經歲。草宿鴒原又閱朞。一死亦知泉下樂。餘生猶抱世間悲。松楸節物淸明過。獨卧山齋淚滿頤。</text>
<title>齋舍卽事</title>,<text>花發辛夷間杜鵑。營巢乳燕舞簷前。傾筐挑菜村村女。種麥驅牛處處田。雨意乍慳寒食節。風光政媚賣餳天。今年氣候隣翁識。已卜三農大有年。</text>
<title>雨後。散步山園。</title>,<text>晩上山園獨杖藜。數村烟樹望中迷。春栽雜卉宜三逕。雨滿新菑恰一犂。欵欵幽禽聲遠近。娟娟戱蝶舞高低。農人欲理西疇事。報道前宵布穀啼。</text>
<title>李聖瑞內挽</title>,<text>人事參差未易圓。那將此理問蒼天。兒纔成長迎佳婦。郞已飛騰近御筵。共道門闌多喜氣。忽驚泉壤隔芳緣。西風床簟安仁感。秋夜漫漫想不眠。</text>
<title>失子志痛</title>,<text>情欲寬時淚已滂。此身非醉又非狂。嬉遊宛爾前宵夢。啼笑森然幾日忘。勉我裁排那入耳。見人孩抱亦摧膓。猶將束縛歸先壠。差勝安仁坎路傍。</text>
<title>有懷殤子</title>,<text>對人言笑強爲娛。存沒居然數月徂。至慟猶藏膓裏劒。丰姿長憶掌中珠。殘魂不逐陽春返。淺土何堪雨露濡。莫道忘憂唯有酒。醉來時復失聲呼。</text>
<title>踏靑日。偶題。</title>,<text>孤懷寂寂左書空。極目韶光四望同。千日閑情醒又醉。一年佳節雨兼風。姸花盡意開愁裏。新燕如期到病中。欲和麗人詩上語。退才還愧杜陵翁。</text>
<title>暮春。獨坐書事。</title>,<text>風細晴窓散篆烟。藥階雙蝶舞蹁躚。落來花蘂傷春暮。飛去鸎聲破午眠。多病已將茶代酒。看書且喜日如年。元知懶慢仍成癖。閉戶非關草太玄。</text>
<title>早秋雨中</title>,<text>庭前高樹歇鳴蜩。節過梧桐一葉飄。凉意入秋生簟席。雨聲終日在芭蕉。醇醪養性開涓滴。書卷隨身伴寂寥。閑裏預占吹帽興。手栽叢菊長新條。</text>
<title>僧伽道中作</title>,<text>閉門城市少追隨。幽事還從郭外期。驢背憑成片時夢。橋頭占得一聯詩。樵行 一作藏 邃谷尋烟語。寺在層巒聽磬知。飛錫忽逢雲衲至。爲言楓葉未全衰。</text>
<title>上寺</title>,<text>都門咫尺訪禪關。捨馬扶筇石逕艱。淸磬落誰詩句裏。孤僧引我畫圖間。飛雲忽羃來時磴。返照初舂座右山。筋力邇來慚濟勝。欲窮高頂倦躋攀。</text>
<title>下第偶吟</title>,<text>書劒風塵計謬悠。滿城凉雨獨登樓。年華荏苒驚黃葉。世故差池欲白頭。敢道天生應有用。試看吾相不當侯。何人爲掘豐城土。夜夜龍光射斗牛。</text>
<title>臘日山齋漫賦</title>,<text>山齋燕坐擁薰爐。朝旭看書已到晡。靜對雪峯如好客。閑招雲衲代奚奴。荒年縣有催科帖。臘日隣無會社娛。寂寞郊居人事少。可堪今歲又將徂。</text>
<title>贈別金水部建中出宰靑松</title>,<text>連朝雨色遞陰晴。別意凄迷黯自驚。秀句舊稱何水部。名區今屬謝宣城。分携祖席攀新柳。歸卧宮樓聽晩鸎。鳥道接天來鴈少。可堪回首隔春明。</text>
<title>送鼎卿兄赴醴泉</title>,<text>幾年經幄任論思。烏鳥情深乞一麾。聖代卽今新孝理。近臣從古最恩私。中原別業停橈處。小白淸秋拄笏時。孤露此生偏起感。臨歧不獨惜分離。</text>
<title>連原驛亭。漫吟。</title>,<text>琴臺落日喚孤舟。獨倚江邊古驛樓。山割愁膓遮北望。水牽歸思解西流。他鄕節物添新感。故里杯樽隔舊遊。斟酌旅情知不淺。邇來雙鬢便驚秋。</text>
<title>得伯氏書。賦呈。</title>,<text>京華消息近何如。獨卧中原歎索居。池草喚醒孤枕夢。驛梅傳到一函書。歸期稍待春殘後。旅思偏添月上初。想得秦樓樽酒會。小桃如雪柳微舒。</text>
<title>驛亭書懷</title>,<text>慢世長卿故倦遊。行裝獨倚驛南樓。觀魚欲學㓒園叟。記馬非關王子猷。通籍太遲還自笑。歸田尙早未能休。比來濁酒開涓滴。合向平原作督郵。默筭平生素計違。倦游湖左宦情微。孤村小雨仍寒食。虛舘深春尙弊衣。京口遠書鴻欲盡。客中相識燕初飛。身閑也喜功名拙。時向江頭坐釣磯。</text>
<title>禹生來訪呼韻</title>,<text>江抱中原走勢雄。驛亭歸思杳東風。人從別墅到如約。酒滿芳樽淸若空。閑欲狎鷗同海客。醉能騎馬類山公。陽春一曲誰相和。千載寥寥俗耳聾。絮亂郵亭欲暮春。異鄕爲客少逢人。身如孤鳥偏思越。心逐長江每向秦。羇緖難忘酒賢聖。病懷頻檢藥君臣。年來素計空牢落。谷口耕田愧子眞。</text>
<title>春日書事</title>,<text>忽忽佳辰度客中。閑愁終日左書空。人情自是他鄕苦。春色唯應故國同。詩就小塘寒食雨。酒醒虛舘杏花風。歸心杳杳連芳草。欲寄家書已斷鴻。</text>
<title>自中原乘舟向洛</title>,<text>盡日身從鏡裏遊。輕舟穩下大江流。山如走馬灘邊過。樹似連旗野外浮。夜雨落帆神勒寺。春風倚棹廣陵洲。詩成篷底憑誰道。故故相親有白鷗。三日挐舟未覺疲。江山曲曲盡搜奇。洲名每向篙師問。亭主多憑釣叟知。早發却嫌朝霧晦。晩行偏礙夕風吹。沿灣篛笠看如畫。小艇漁回落照時。</text>
