<title>與二三鄕人。訪甘露寺。</title>,<text>菊花臨水亞。楓葉滿山堆。甘露題名後。煙波短棹廻。</text>
<title>謝李生 瑞英 贈怪石盤松 三首</title>,<text>誰送太湖石。重栽岱畎松。廉稜特地古。蒼翠滿庭濃。細雨鳴疎葉。輕煙繞短峰。捲簾相對處。不覺日高舂。最愛他山石。常憐澗畔松。雲根斸更古。露葉拂還濃。撫罷懷三逕。靑來憶數峰。一生江海志。遲暮作城舂。雨收移片石。風入偃孤松。石色靑山古。松陰白日濃。勁留歲寒節。奇逐夏雲峰。捲箔吟詩處。斜陽已下舂。</text>
<title>走次李生 瑞英○二首</title>,<text>有罪投江外。無人問客中。獨看霞洞士。頻訪嶽亭翁。暑會思河朔。春醪憶射洪。田家多苦事。終日詠南風。桂陽秋政好。蠟屐擬同臨。宿雨迷前逕。晨風動遠林。未成童冠會。空費短長吟。爲把樽中酒。終朝細細斟。</text>
<title>走次告別韻</title>,<text>半夜開襟話。風淸月滿棲。交情詩上見。別恨夢中迷。水闊知魚樂。山空聽鳥啼。郢聲誰更和。巴唱不須題。</text>
<title>謝李生 瑞英 鷄豆之餉</title>,<text>象刑流宥五。徒配歲周三。自媿廬猶僦。何安席間函。窮年吟澤畔。盡日望終南。杖屨登明月。高僧訪姓曇。</text>
<title>大王大妃殿春帖子 丁未</title>,<text>春回長樂九重深。問寢鷄鳴寶扆臨。慶溢東朝浮喜氣。化行南國頌徽音。銀幡催賜爭傳勝。彩燕齊飛欲闘簪。幸見含飴膺慶福。謳歌允屬萬方心。</text>
<title>大殿春帖子 戊申</title>,<text>禁裏靑陽逼歲除。政當羣物發生初。梅含臘雪魂先動。柳引條風眼欲舒。漢帝新頒寬大詔。周王方講緝煕書。仁恩倂與韶光遍。捴是吾君德澤餘。</text>
<title>大殿迎祥詩 戊申</title>,<text>天臘佳辰昨夜回。韶光先入翠微來。雲移雉尾祥符煥。日暖螭頭講殿開。已喜君恩覃八域。更看民物樂春臺。明庭進諫追前事。白獸尊邊賜一杯。</text>
<title>李僉知 徽祚 挽</title>,<text>積閥淸朝冠搢紳。如公福祿更誰倫。西樞峻秩登三品。南極明星耀七旬。幾把牛刀鳴下邑。好將龍劒會延津。高陽八子俱才俊。行見靑雲滿後塵。</text>
<title>送申應敎公獻 琓 赴燕</title>,<text>東璧文星動使星。海天旌節指燕京。還家夢爲思親切。出塞身因許國輕。碣石層氷連大漠。薊門飛雪暗長城。江南萬里僊槎斷。消息春來待子行。</text>
<title>始余脫永纍。歸泛虗亭。宿雨新收。霽月方升。短棹長江。洗滌煩襟。因成下里。以求陽春。</title>,<text>虗舟獨泛大江流。霽月初升暮靄收。只有遊魚吹細浪。忽看飛鷺下芳洲。鳴舷觸處誰張歙。縱棹廻時任遡游。已結煙波終老約。此生於世更何求。</text>
<title>七月旣望舟中。並引</title>,<text>壬戌之秋七月。余自永峽歸家。金令台老。亦解纜於歸來亭下。月旣望。相與泛舟。遊於西湖之上。同里之不期而會者十數輩。桂棹蘭槳。遡回中流。擧網得魚。雪鱠登盤。于時素月揚輝。白露橫江。憑虗御風之思。不翅蘇子赤壁之遊。而新蒙雷雨之澤。極遨遊於湖海田園之間。則與謫居黃岡者異矣。所與遊非久要則是釣伴漁侶。未知蘇子之客。亦有是否。壬戌盖周甲而一回。秋七月旣望。又三百六旬而一有。自有宋元豐五年。至我聖上嗣位之八載。不過十壬戌。而遇是年月日者。又不免爲軒冕之所桎梏。疾病之所纏繞。則其能縱一葦而凌萬頃。擊空明而泝流光。有幾人哉。然則令節而風月淸明。勝賞而煙舟容與。人自得於湖山之外。非聖主位育之功。何能致此哉。於是乎感祝而識之。扁舟穩泛暮江流。令節重廻壬戌秋。勝地不須論赤壁。幽居亦自異黃州。淸波浩渺連河漢。明月徘徊下斗牛。擬挾飛僊窮汗漫。莫辭今夜御風遊。</text>
<title>謾詠</title>,<text>江上危亭枕碧空。檻前流水海門通。依俙客夢煙波裏。折瀝秋聲夜雨中。藥物關心迎國老。漁樵寄興伴村翁。由來萬業渾閒事。却喜幽禽已脫籠。</text>
<title>八月十五夜。勸稼亭。次雲溪詞丈韻。</title>,<text>今宵月色一年明。雨後溪亭更擅名。我暎棣華欣共訪。公携蘭玉笑相迎。雲安美味開新釀。天柱高峰報晩晴。故里懸車偏起感。故從深酌道吾情。</text>
<title>閔生 後哲 新搆草堂。植以池荷盆竹。强求俚唱。牽率以副。</title>,<text>大抵湖居捴一般。獨憐幽築傍巖巒。靑山繞屋柴門靜。秋水浮階草閣寒。荷葉雨珠鳴滴滴。竹林風露洒漙漙。虗簷盡日無餘事。政合高人詠考槃。</text>
<title>雲溪再疊明字以示。丫溪金遠明亦和是韻委寄。玆搆二篇。呈兩詞案。</title>,<text>吾儒事業自誠明。爲善何須避近名。最愛寒潮知進退。却憐荒逕寡將迎。五車讀罷耕猶餒。百畆憂時刈欲晴。慷慨非無當世志。疎慵奈少宦遊情。籬下黃花燦燦明。泛翁於此酒爲名。因思金柱山齋會。却憶丫溪水閣迎。當日勝遊成遠夢。晩來幽興賞秋晴。欲知宦海投簪計。須見孤舟放鶴情。</text>
<title>金遠明大夫人挽 二首</title>,<text>聖朝治法本人倫。錫類恩推侍從臣。聞說北堂開壽席。幾嘆西海阻芳茵。星廻花甲萊衣彩。庭茁蘭芽謝樹春。萬事如今驚一夢。水雲丹旐鷺洲濱。萊衣一樂世無倫。楚澤凄凉老逐臣。當日適紆南郡紱。異鄕頻拜北堂茵。推恩忽霈湘江雨。養志偏宜梓里春。惆悵壼儀難再覿。不堪垂淚海西濱。</text>
<title>次雲溪兪丈 瑒 韻 二首</title>,<text>中秋省掃之後。訪雲丈對月做穩。座右揭一障子。卽前秋雲丈退歸時。李聘君與壺谷南雲卿出祖東門圖也。一見令人欽動。雲丈記前夜遊以示。故下篇及之。時甲子重陽。佳辰正値菊花秋。忽憶前宵杖屨遊。晩節引年公已退。明時揣分我宜休。羞將華髮欹紗帽。閒把漁竿上釣舟。北闕新辭司寇命。西湖浪迹劇悠悠。東門供帳漢疏同。誰倩龍眠寫一通。把酒論詩疑谷老。濡毫弄墨是山翁。分携莫歎離情苦。對此方知宦念空。爭道休官林下去。何人曾退急流中。</text>
<title>送南相國 九萬 赴燕京 二首</title>,<text>台階二耀近文昌。霖雨商家叶夢祥。位極具瞻樞筦靖。任隆專對使車忙。幽燕物色山河異。遼薊風霜道路長。執盞贈言違伏枕。伴春行李好還鄕。西湖秋日閉重門。遠隔人間事不聞。忽奉華牋徵下里。方知赤舃向邊雲。無端中夜懷長歎。非是浮生惜暫分。燕市悲歌今寂寞。煩公幸弔望諸君。</text>
<title>次壺谷南雲卿贈別韻</title>,<text>千里昭陽接杏湖。一身忘却佩銅符。元來簿領多閒事。到底煙霞捴別區。僊洞尙留梅老筆。鉢山今得貊王都。秋光又踏金剛月。塵世能知此樂無。</text>
<title>次金遠明丈韻</title>,<text>未退輕篙在急流。自憐華髮已渾頭。不堪宦海頻傾沒。暫向昭陽任去留。片夢忽尋楊浦月。幽居深鎖杏花洲。聞韶久卧非吾願。杖屨淸平可早遊。</text>
<title>三使臣別章 三首</title>,<text>彥國期年再出疆。益陽連歲四如京。獨賢肯顧王程遠。專對能令虜主驚。正賴平生忠信仗。非關當日誓書爭。北來消息寒心骨。社稷安危在此行。右南左相 九萬纔回玉節返神京。又泛僊槎動客星。秋水連天遼野闊。黃雲接地薊門平。張騫奉使窮西域。富弼承綸聘北庭。正是主憂臣辱日。不堪臨別更呑聲。右李參判 奎齡久泛僊槎碧海灣。忽乘飛閣斗牛間。歌行直掃長城窟。志氣平呑碣石山。抆涕豈因離別苦。含愁非爲道途艱。其言善惡無欣戚。憂憤初心不自刪。右吳中丞 道一</text>
<title>送金遠明丈赴鍾城</title>,<text>使君今日起爲官。都護威名鎭北門。二十年間耕赤谷。三千里外擁朱幡。奇功定勒先春嶺。美政爭稱後雪村。出塞詩成楊柳曲。行看樂府奏新翻。</text>
<title>次兪寧叔 得一 詠歸樓韻</title>,<text>倚遍西湖多少樓。孰如新搆小齋幽。里爭沽價貧無馬。世騖機心伴有鷗。曾詠本殊三子撰。薛賢寧顧衆人咻。吾廬亦在陽江下。獨泛虗舟意自悠。</text>
<title>趙判書 珩 夫人挽</title>,<text>八八曾玄壽八旬。孰如貞敬大夫人。閨儀婉娩宜三族。慈訓分明見二身。簪笏滿前聯寶樹。期功擁路逗靈輴。聖朝孝理推恩澤。蟾浦催還放逐臣。</text>
<title>泛虗亭中秋月夜</title>,<text>與客携壺坐小亭。中天月色正分明。江間細浪吹魚沫。蘋末凉風起鴈聲。雲斷霽河槎影動。露橫秋水鏡光平。同流上下無心處。唯有虗舟泛泛輕。</text>
<title>次歸來亭題詠韻</title>,<text>一生高趣孰如公。千載相符五柳翁。出處元隨時事異。歸來且喜里名同。盤桓舊跡餘松韻。采掇殘香在菊叢。物色分留遺後輩。扁舟晩計托蒿工。</text>
<title>和申參判叔弼 翼相</title>,<text>雲帆直挂瞥然間。幽處生涯領略還。枕下潮連五湖水。檻前嵐引七州山。臨風獨釣漁歌晩。盡日虗舟野渡閒。收入錦囊題遠壁。詩親元白字摹顔。</text>
<title>重興洞外。待昆仲。次家兒韻。</title>,<text>己巳菊秋。趙殿中聖耉，朴秀才汝興來言。重興水石之幽。仍與結約同遊。時我季氏亦適出來同參。期以旣望。步月白雲臺下。望夜雷雨大作。翌朝霜風慄冽。殿中老人怯寒不敢出。秀才亦負約不來。余率家兒。治蠟屐。赴重興洞外。坐川上。有頃季氏與施實兩弟及質夫父子。聯翩來會。環坐沙洲。鴻鴈影聯。其喜可掬。飮數杯。仍入洞中至槽巖。水石已非漕溪道峰之比。逍遙觴詠。不覺日之夕矣。催行入重興寺中。古寺蕭條。只有一老釋出待。槩緣游客絡繹。蕩子紛拏。居僧不堪其苦。盡皆流散。老釋本以九月山僧。爲苑官所勒移。喫盡無限苦况。獨留守此云。尋訪水石。自是閒中好事。而濫觴之弊。至於如此。亦可嘆也。上房秋夜。月色如晝。一家團會之樂。塤箎酬唱之興。難一二言。夜深後宿禪堂。翌日早朝。緣溪而行。處處溪山。無非絶景。登石城。弔崔都統古蹟。坐盤石。訪閔學士遺址。峰巒之秀麗。水石之奇壯。非但甲於洞中。實東國之所罕有也。諸人各自挈壺提榼。酒肴亦頗豐饒矣。曾在三十年前。吾兄弟四人。與鄭聖老，金亮卿諸人。遍歷內外諸山矣。今日重來。二兄及鄭從皆下世。同遊諸友。亦太半作泉下人。存沒之感。一倍難抑矣。晡時出洞。歷興聖庵。到昌陵隅。分路還家。蠟屐尋源傍水涯。閒行正好少追隨。千山落木迷前逕。萬壑幽泉赴斷陂。白岳峰高瞻北極。黃花香近識東籬。聯翩鴻鴈無消息。眼盡沙洲坐待時。</text>
<title>送李得甫 德成 赴東萊</title>,<text>蓬萊新命自宸衷。頗牧方知在禁中。地盡東南連對馬。官由臺省謝乘𩣭。恩褒渙發邊封重。聲敎流行異域通。好把扶桑大繭紙。公餘寫出戀君忠。</text>
<title>寄贈密陽倅洪九言 受疇</title>,<text>昔年曾上嶺南樓。千里雲煙眼底收。名擅一方專勝景。時當五月似淸秋。天低簾箔浮埃絶。春返江潭俗務休。憐爾此間兼吏隱。始知風骨是僊流。</text>
<title>次趙副學光甫 持謙 韻</title>,<text>迷原卜築計徒然。爲訪僊區占曲淵。鳥道窮來開水石。洞門深處鎖雲煙。桃源豈獨秦人地。商嶺端宜漢皓賢。携手共成分華約。春江催棹上灘船。</text>
<title>登鳳凰臺。次李謫僊韻。</title>,<text>鳳凰臺上獨登遊。臺下長江衮衮流。蘭縣舊基猶有石。貊都遺迹捴成丘。晴波近蘸三山影。落景遙連二水洲。戀闕丹心同李白。暮天西望更添愁。</text>
<title>菊秋得甫來訪。次家兒韻以示之。二首</title>,<text>誰謂霜臺御史車。遠尋江閣野人居。朝廷氣槩爭推子。湖海風流剩屬余。晩節寒花香更嫰。凉秋脩竹影全疎。鳴珂躍馬趨鵷鷺。何似龍巖坐釣魚。吾年未至已懸車。幽處田園早卜居。山月江風閒是主。釣簑漁笛孰從余。先憂奈乏匡時略。多病偏憐與世疎。湖海相忘知有樂。不須長鋏詠無魚。</text>
<title>次柳悠久栗里精舍韻 四首</title>,<text>指點鄕園某水丘。人情同愛少時遊。况今素位卿惟月。伊昔紅顔髮已秋。君實晩來知獨樂。子雲何事伴牢愁。第聞廊廟紆籌策。幾日閒披釣澤裘。崎嶇尋壑又經丘。處處湖山捴可遊。萬里沙鷗楊浦月。一聲漁笛杏洲秋。風煙浩渺供吾樂。契闊荒凉任婦愁。白雪江村宜換酒。何人解脫鷫鸘裘。顔回本自仰尼丘。禹稷寧辭水土遊。幸際吾王揚陋日。方知君子得輿秋。經綸別有巖廊策。拯濟何憂蔀屋愁。欲做唐虞三代事。宜令飢食又冬裘。雪後登臨江上亭。淸氷出壑玉壺明。新章幾和陽春曲。幽夢頻驚欸乃聲。代謝光陰閒裏度。有無身世酒中平。回頭却憶張公子。千首詩成萬戶輕。</text>
<title>再次柳悠久 二首</title>,<text>掌敎仍兼捴井丘。肯令夫子任閒遊。周分六典官稱地。漢屬三公歲有秋。從此封疆期庶富。佇看田里絶嘆愁。古來王政無寒餓。何事臨淄又解裘。百年多病獨登亭。非是初心在哲明。魂近蓬萊雲五色。夢聽高閣漏稀聲。江湖流落甘終老。耕鑿優游報太平。漸覺浮生閒世味。只因咬得菜根輕。</text>
<title>三疊 三首</title>,<text>與子當年謝故丘。聯翩同作杏園遊。丹墀射策三千字。金榜題名二十秋。半世追隨終莫逆。中間離合捴堪愁。從容廊廟貂蟬座。何似江湖鶴氅裘。明時晦跡保山丘。已向交親請絶遊。物外田園三有逕。閒中日月十經秋。岸梅破臘爭饒笑。江草逢春解喚愁。氷泮前湖魚自樂。滄波垂釣一羊裘。人日題詩寄泛亭。瓊琚輝暎勝花明。陽春澤厚尋無迹。白雪調高覺有聲。餘事文章期正始。百年治化際昇平。恢恢游刃如新發。神遇全牛體益輕。</text>
<title>柳悠久復用前韻。見寄故和之。</title>,<text>翠屛詩到泛虗亭。滿紙瓊琚璨璨明。最愛江湖多浩氣。况今天地已秋聲。炎凉代序身全老。進退隨時意自平。從古眞遊宜汗漫。扁舟擬逐晩潮輕。</text>
<title>觀崔東文石假山</title>,<text>崔是簡易之子。築石爲山。象四時景。引水設舂。制頗奇巧。而東文已死。頹毁將盡。惜也。暇日逍遙水石間。四時佳景一孱顔。峰尖忽若瞻西岳。頭白初疑自北關。澗芷泥從飛燕落。巖花香引遠蜂還。登臨別有興懷處。簡易文名似泰山。</text>
<title>送慶源府伯洪九言</title>,<text>聞君又赴赤池濱。何事年年出塞頻。過嶺行裝前後異。沿途物色去來新。况當遼薊交兵日。正是男兒報國辰。須向北門嚴鎖鑰。更將勳業勒先春。</text>
<title>兪參判 瑒 挽</title>,<text>桑梓優游二十春。暮年風節動朝紳。賜金漢制加金帶。種玉楊庭列玉人。片夢長懸天北極。壯遊曾涉日南津。雲山故宅空文藻。知樂亭前月色新。</text>
<title>過素沙有感</title>,<text>曾在戊申秋。陪從溫泉行幸。回鑾到此。尤春二丈告落後。上諭旨敦勉。與之偕行矣。龍髯莫攀。世變無窮。重過趨走之地。愴然有感。沐浴湯盤德日新。後車仍載二儒臣。高臨帳殿風雲會。特賜宮壺雨露均。百姓欣欣爭見羽。三軍肅肅廊淸塵。傷心趨走當年地。白首今爲旅泊人。</text>
<title>次正明</title>,<text>歲暮江南有所之。多君千里遠相隨。湖中物色皆堪畵。道上羇愁捴是詩。自媿老夫才已退。每逢佳什和偏遲。可憐東閣分携後。叵耐寒天獨返時。</text>
<title>過同春先生宋公 浚吉 故宅</title>,<text>故宅巋然在澗阿。傷心不忍遽經過。祥雲瑞日嗟難覿。霏雪凉風恨獨多。世事悠悠那更說。餘生踽踽欲無訛。歲寒高義推先子。追憶如今涕自沱。</text>
<title>留別正明</title>,<text>浮生捨此復何之。匹馬單童但自隨。歸意悠悠千里路。離情眷眷一篇詩。臘前歲月無多在。春後逢迎且莫遲。白雪寒程誰與伴。羇懷耿結獨歸時。</text>
<title>永同官橋。再用前韻。</title>,<text>匹馬當時五馬同。揚鞭催過小城東。蛟龍偃蹇橫波上。鴻鴈聯翩度峽中。倦客厭看雲樹逈。官僮狂踏雪泥融。南來幾日還歸北。自笑浮生轉若蓬。</text>
<title>寒食兄主率道實正明。會于永山。奎姪先已下去矣。行祭後。聯鞭訪白鷺洲，金水亭，蒼玉屛諸名勝有作。</title>,<text>三處名區一馬行。逍遙不覺暮雲冥。樓亭形勝登金水。泉石煙霞對玉屛。沙老雄詞留琬琰。思翁遺貌入丹靑。臨風想像空山裏。人傑方知是地靈。</text>
<title>質夫見後春遊篇。示近體一首。走次以寄。</title>,<text>金沙溪上訪危亭。野草山花闘色形。二水平分看白鷺。千峰削立對蒼屛。先生詩句鐫巖壁。丞相祠堂鎖石扃。回首春遊成一夢。虗舟獨泛倚風欞。</text>
<title>與內外洞諸人。賞花。釣魚于龍巖。次家兒韻。</title>,<text>雨後長堤細草菲。前江物色正依微。看花北麓携茶鼎。折竹南園上釣磯。避網遊魚翻浪躍。忘機閒鷺掠波飛。暮春三月山陰會。百罰杯深不醉歸。</text>
<title>兪都事 晦一 挽</title>,<text>君入襄山我北濱。相尋雪嶽鏡湖春。中年出處隨時異。兩世交親到老新。學進從遊函丈日。詩聞趨走過庭辰。茫茫天理憑誰問。偏壽他人短此人。</text>
<title>昌道驛有感</title>,<text>古驛簫條在翠微。秋風落日儼驂騑。二千峰下尋幽屐。三十年前戱綵衣。獨坐重茵傷暮景。難將寸草報春暉。餘生觸處偏多感。况又郵亭往迹非。</text>
<title>曉吟</title>,<text>萬二千峰白雪粧。靑楓葉赤菊花黃。金沙夜月禪談寂。玉洞秋霜客夢凉。雲外蓬萊傳遠磬。風前方丈引淸香。閒筇擬擲毗盧上。曉出東臺候日光。</text>
<title>萬瀑洞</title>,<text>物外人間世界分。蓬萊元化劫灰翻。千峰並列瞻三岳。萬瀑同流有一門。玉洞中開疑雪拆。銀河倒挽聽雷喧。僊遊已返宜無跡。名姓嫌留石上痕。</text>
<title>山映樓</title>,<text>雨後峰巒錦繡堆。山樓物色畵圖開。千年寶塔雲間聳。百尺銀河檻外來。往事猶徵成佛嶺。眞遊又訪隱僊臺。俗緣未斷行期促。他日應勞夢裏回。</text>
<title>四僊亭。次申公獻韻。</title>,<text>三日湖中泛彩船。使君携酒敞華筵。扁舟漫浪思元禮。飛閣登臨憶仲宣。萬木秋容看似畵。一筇行色望如僊。永郞已去吾安放。鰲背蓬山碧海連。</text>
<title>海山亭。次趙光甫韻。</title>,<text>海山亭裏作神僊。何似潮陽路八千。北闕久辭峩豸列。東溟幾伴白鷗眠。匡衡抗疏難容世。傅說騎箕已上天。脩短人間同一夢。空留異氣寢門連。</text>
<title>船頭別質夫</title>,<text>昭陽亭下解行舟。流水長天一色秋。紅樹白雲催興逸。曲欄朱箔最情留。鳴騶引處浮埃絶。畵角吟來宿霧收。別有羸驂分去路。若爲前嶺獨歸愁。</text>
<title>次東隣金最良韻</title>,<text>杏洲東畔幸同隣。如水交情暮境親。不盡長江亭下近。無邊景物雨餘新。湖山自有詩兼酒。名利何論我與人。老圃種瓜漁子網。一生身計詎云貧。</text>
<title>月夜謾詠</title>,<text>南北東西一腐儒。暮年湖上任於于。初浮瀛海尋僊侶。晩醉高陽作酒徒。自謂非狂宜落魄。從知不死是虗無。樓臺寂寞秋江冷。明月長歌擊玉壺。</text>
<title>再疊</title>,<text>聖主徵庸捴老儒。王庭當日喜揚于。治功佇見唐虞化。賢路爭推稷契徒。可笑浮沉何所得。從知伎倆本來無。江湖漫浪眞吾分。幸接芳隣對酒壺。</text>
<title>三疊</title>,<text>自笑疎慵是拙儒。每逢高會戒盤于。琴成一曲先思禁。酒過三行輒謝徒。絃上樂音今似古。醉中身世有如無。秋江霽月明於鏡。一片氷心在玉壺。</text>
<title>四疊</title>,<text>平生耻學小人儒。諂笑侯門是病于。駟馬高車非我願。園翁溪友卽吾徒。早從太昊看消長。肯與莊周辨有無。濟世初心成濩落。江湖今作泛流壺。</text>
<title>五疊</title>,<text>詞鋒俊逸異拘儒。文史方知習典于。軍出井涇收壁幟。城殘卽墨退師徒。元來宿將休追北。莫使輕兵若入無。一片降旗壇上竪。更敎羸老備簞壺。</text>
<title>濕浦路上</title>,<text>昂然行李一癯儒。同里何人送遠于。野路開時歸馬逸。河橋斷處舍車徒。風回暮渡波增壯。日下高舂影轉無。湖墅尙嫌城市近。百年歸計在蓬壺。</text>
<title>次正明</title>,<text>吾家自古學淳儒。喜爾從今尙監于。才勝必爲凶險類。酒酣終作病狂徒。新知進處三思得。舊染除時一點無。他日玉成都在此。只期淸徹似氷壺。</text>
<title>上謁章陵。祗迎路左。</title>,<text>帳殿高臨湖水涯。雲浮五彩氣成佳。鷗波浩蕩同靈沼。黼座逶迤象土堦。峒野非關黃帝問。原陵偏感漢皇懷。羽旄開處王無疾。歌頌還從父老偕。</text>
<title>洪白川 萬煕 挽</title>,<text>鳳鳴游處更將雛。難弟難兄四丈夫。最喜白眉曾踐斗。獨憐華髮晩分符。秦樓寂寞無歸鶴。漢署凄凉絶返鳧。德不懋官仁不壽。定知餘慶在諸孤。</text>
<title>登高席上口號</title>,<text>好携同志强登高。多少雲煙傍遠臯。麴糵緬思桑落酒。粉餈催進菊花餻。龍山風起堪吹帽。栗里人回便酌醪。晩節寒香知有分。滿頭爭揷氣增豪。</text>
<title>醉次最良</title>,<text>十里長江衮衮來。百年多病此登臺。五陵佳氣樽前近。三角晴雲望裏回。滿岸黃花香半嫩。隔林楓葉錦新裁。吾人自得湖山外。醉後何論世路猜。</text>
<title>最良。用歸來泛虗二亭韻。求和走次。四首</title>,<text>小子偏憐竹所公。平生尙友晉陶翁。明時憂樂行違異。幽處田園里閈同。三世典刑留寶樹。百年聲韻在寒叢。湖亭肯搆增輪奐。高棟層軒制益工。夫子風流繼乃公。此隣又有泛虗翁。翩翩郢曲詩筒遞。處處江樓酒席同。日暖滄波魚有樂。煙籠洲渚鷺還叢。秋山物色皆堪畵。其乃丹靑寫未工。百尺高樓俯碧流。四時佳景靜中收。乘風賈舶排春浪。帶雨漁簑下晩洲。霞緬思滕閣會。雪舟端合剡溪游。幽居別有無窮趣。酒盡吾家向子求。高卧危樓萬念空。百年交義兩家通。詩情得我形骸外。琴曲隨君律呂中。引入樽前爲酒伴。携來磯上卽漁翁。從知四美俱宜處。秋滿江潭月色籠。</text>
<title>曉吟</title>,<text>永夜寒齋一夢幽。覺來光景枕邊留。熹微曙色看東牖。淅瀝秋聲起北樓。山逕遠風搖落木。水門凉月泛虗舟。怳然身在蓬壺上。碧海茫茫島嶼浮。</text>
<title>再疊</title>,<text>秋山物色雨餘幽。杖屨相隨處處留。風送菊香來野席。日移松影上江樓。閒情幾聽雍門曲。醉態頻迎郭泰舟。萬事人間同一夢。白衣蒼狗眼中浮。</text>
<title>三疊</title>,<text>平生性僻好尋幽。半世江湖任去留。閒伴白鷗臨釣渚。醉携紅友卧書樓。東籬晩節收金蘂。北海高風付玉舟。已結煙波終老約。還將富貴等雲浮。</text>
<title>四疊</title>,<text>海山窮處境偏幽。形勝端宜野性留。放意已成居易社。開襟頻上仲宣樓。生涯正似無家釋。身世還如不繫舟。盡日苦吟詩未就。空洲虗對夕煙浮。</text>
<title>五疊</title>,<text>藍輿來訪草堂幽。談笑慇懃半日留。衰境病深違執盞。暮天風急㥘登樓。池邊夢斷朝陽鳳。湖上身同夜壑舟。罷酒匣琴無一事。浴鳧飛鷺對沉浮。</text>
<title>六疊</title>,<text>秋晩江村事事幽。酒杯琴曲使人留。寒香滿袖陶潛逕。秀句盈籤謝眺樓。日繞滄洲回鴈陣。風驅白浪盪漁舟。却憐造化還多意。雨歇前山暮靄浮。</text>
<title>西湖稧會。次家兒韻。</title>,<text>好携樽酒醉陶然。落日南樓更合筵。白髮蒼顔留二老。風流文彩集羣賢。波光㶑灧迷秋水。嶽色微茫近暮天。勝地雲煙修稧會。至今人說永和年。</text>
<title>再疊</title>,<text>秋深簾箔興悠然。携上苔磯石作筵。擊鉢催詩多逸韻。啣杯引客捴高賢。澄江秀色連淸漢。曠野寒聲動遠天。湖上又成鄕黨會。一樽春酒度殘年。</text>
<title>三疊</title>,<text>晩歲同隣豈偶然。華堂此日又開筵。靑州美味淸爲聖。白戰新詩較孰賢。古木寒聲霜後葉。暮雲秋色雨餘天。閒中已托忘形義。取醉何須更問年。</text>
<title>別正明。兼示質夫。</title>,<text>靜中相見倍驩然。誰謂今朝是別筵。老我已成三逕隱。若翁將繼二疏賢。浴沂幽興靑春日。翫月閒情午夜天。山北山南開小築。不知來往幾經年。</text>
<title>歸來亭席上。次仲輔韻。二首</title>,<text>晩歲幽居遠帝鄕。平湖十里檻前長。煙波渺渺連三島。世路紛紛付一塲。瓊韻幾聽調錦瑟。彩衣頻見舞華堂。良辰正合爲春酒。嘉穀新登滿我疆。無端風雨滿江鄕。剪燭聯床度夜長。一自竄身荒谷裏。頻逢結客少年塲。弟兄父子同三樂。詩酒琴碁共一堂。田里優游知帝力。庶將耕鑿老畿疆。</text>
<title>次金仲裕 盛後 梅詩</title>,<text>城市幽居遠雜賓。寒梅一樹自相親。疎枝正合閒中伴。冷蘂偏宜病裏人。好對氷腮吟白雪。何憂玉骨染緇塵。冬深綺陌多風雨。獨保晴牕滿眼春。</text>
<title>詠梅</title>,<text>誰將大庾嶺頭花。移種西湖處士家。正與幽人同冷淡。亦知尤物厭繁華。新粧浥露紅鉛洗。疎蕾含風素艶加。中有暗香藏萬斛。前村夜雪不須誇。</text>
<title>再疊詠歸來亭雙梅</title>,<text>好栽紅白二梅花。密蘂疎枝影滿家。骨換金丹開酒暈。魂招氷玉却鉛華。淡粧帶月芳香襲。高髻憑風笑語加。並蔕爭姸宜冷韻。淸光正向雪中誇。</text>
<title>咏雪 二首</title>,<text>天寒白屋雪紛繽。歲暮窮陰物色新。大地羣峰朝削玉。長江一帶曉橫銀。鷄人遲唱疑非夜。蝶夢初醒怳是晨。何處暗香來入聞。枕邊知有小梅春。今宵白雪更紛繽。灞上詩情一倍新。寒逼寸膚偏起粟。色侵雙鬢却成銀。明牕怳若雲開月。虗室還疑夜向晨。天意亦思平朔易。爲栽瓊樹滿園春。</text>
<title>得甫來訪。最良携酒相會。口號。</title>,<text>有客跨驢帶雪花。翩翩遠訪野人家。寒天夜色宜春酌。冷蘂韶光動物華。媿我詩情閒後退。多君酒量晩來加。蓬山竹舘分符地。爲政風流此日誇。</text>
<title>用前韻聯句</title>,<text>聞道寒梅已放花。西湖春色屬僊家。得甫。 霜風欲破還添思。臘雪雖侵便助華。最良。 冉冉淸香雲外遠。依依疎影月中加。道深。 羅浮買酒宜今夜。徵五。 庾嶺孤開不必誇。時佐。</text>
<title>重午日。涵碧樓席上。示主倅徐仲所。</title>,<text>還官纔數日。忽聞龜兒有所患。蒼黃復來。兒患則向安。而適値重午日。主人置酒樓上。草溪郡守李震相。聞風來會。主人出桃花酒以待。前度軒車此又來。風流太守綺筵開。堤邊遊女鞦韆競。座上佳人錦瑟催。山近高樓濃滿席。江涵疊榭影侵杯。良辰况値天中節。甕裏昌陽政發醅。</text>
<title>再疊</title>,<text>殊方最喜故人來。萍水相逢眼忽開。三邑使君同日至。百年歌曲此時催。紅流洞裏曾聯袂。涵碧樓中更擧杯。痛飮莫言蒲酒盡。桃花春色滿新醅。</text>
<title>三疊</title>,<text>一自分符嶺外來。異鄕何處好懷開。山河擧目黃茅塞。簿牒關心白髮催。可幸今朝逢令節。相携盡日倒深杯。不須涵碧能留客。矗石樓前酒又醅。</text>
