<title>江行</title>,<text>日暮江上遊。冠童人五六。愁連芳草生。極目烟波濶。</text>
<title>輓李南溪</title>,<text>慈祥愷悌自全初。政事文辭是緖餘。早歲獨傳厓老學。晩來偏喜晦翁書。循良遺愛留銘碣。淸素生涯樂飯蔬。天不壽仁唯有後。九原無路擧藍輿。又去秊哭厓老。今秊哭溪翁。誰將雙白璧。忍埋九泉中。天意實難知。仰視徒夢夢。雲愁玉淵夜。波咽南溪東。吾道日益孤。誰與開羣蒙。茫茫宇宙間。此恨無終竆。長辭隔萬古。空敎泣病洪。</text>
<title>輓李鶴洞</title>,<text>天姿英毅早揚名。精學通才幹世楨。栖棘只緣毛義屈。茇棠爭覩召公行。秊高八耋徵仁壽。慶衍三贒繼美聲。懿範在今人益慕。佇看鄕社祭先生。又小生何幸託姻親。三十秊來得御頻。覿德每承情綣綣。叩疑深荷語諄諄。中罹金革悲睽舃。晩汩塵埃負卜鄰。南極忽傳星彩晦。異鄕哀淚倍霑巾。</text>
<title>輓申達夫 改葬時</title>,<text>瓊樹摧殘閱幾春。龍蛇月犯少微辰。禀全溫粹才兼學。生際搶攘壽嗇仁。半世明經傳二子。千秊幽宅近雙親。故人未執新阡紼。空向天涯淚濕巾。</text>
<title>輓李進士 光彦</title>,<text>兵後凋零耆耉稀。吾鄕模範賴公徽。溫恭接物人爭慕。孝友傳家世共希。每惜詩書憎命達。從知蘭玉發潛輝。如何天不憗遺老。喬木荒凉薤露晞。又係連姻婭屋連墻。小子偏承借末光。芳草綠時隨杖屨。黃花開處接壺觴。昇平日月同消遣。兵革艱虞共備嘗。一病沉綿人事變。天涯何忍寫哀章。</text>
<title>輓申承旨順夫</title>,<text>德容端重學醇眞。先輩推爲第一人。桂籍蜚英秊最少。春堂榮養孝偏純。銀臺寵秩邯鄲夢。羽谷仙遊億萬春。潭上舊交今抱病。自憐無路送靈輴。又親朋寥落曉星稀。人世如何事已非。早歲從遊傷舊跡。暮秊離合負初期。蕭蕭白髮留孤影。杳杳丹㫌送獨歸。此去定知非永隔。蓬瀛他日倘追隨。</text>
<title>輓李戚 民協</title>,<text>永陽華胄古雲仍。天又生公擬再興。一命猶慳終草野。五旬如夢遽風燈。薛包羣弟貧誰給。徐氏雙兒業可承。瞻望荒原違執紼。不堪悲恨自塡膺。</text>
<title>輓高彥龍 騁雲號亦樂齋○癸卯</title>,<text>善海誰爲席上珍。翠屛門下讀書人。咸推仲弟心肝綉。自歎虞重骨相屯。泮璧靑氈委主器。江湖素髮映垂綸。俄傳白玉樓成報。天上人間果孰眞。又久欽風度擬長松。仍託庚交媿短蓬。月影山高雲樹合。洛東江濶夢魂通。先遺世累同蟬蛻。獨抱窮愁等蟄虫。病到匡廬曾住處。幾行衰淚落寒空。</text>
<title>輓車指南</title>,<text>老夫和淚寫哀詞。爲問英靈知不知。君家萬事他何說。幸有孩提遺腹兒。</text>
<title>輓西厓先生</title>,<text>恭惟先生。六十有六秊兮。厭濁世之粃糠。飈遠擧而登遐兮。聊翺翔而周章。邈匀天之無人兮。帝乃遣乎巫陽。九疑繽其並迎兮。飄然來乎帝傍。乘淸氣而汎濫遊兮。曾莫睨夫舊鄕。欸一去而不返兮。漠淸塵之杳茫。招公靈而哭公兮。如有求而遑遑。玄圃閬風不可以久留兮。盍歸來乎公堂。陶山月兮來照。洛水波兮流長。羌凌波而步虛兮。魂倘來而相羊。想環佩之冷然兮。天風吹兮夜凉。吉日兮良辰。將以安夫冠裳。靈輀儼以星駕兮。丹旐翩以飛揚。形穆穆以寖遠兮。渙余涕之盈眶。向萬古而長辭兮。歌楚些兮永傷。</text>
<title>上麻提督詩歌 幷序○戊戌</title>,<text>恭惟我提督老爺。再將天威。一淸海氛。游魂遠遁。㫌旆內旋。偏封無國而有國。遺民必死而免死。凡我三韓之同有血氣者。親戴聖天子威靈。瞻仰老爺之功德。孰不刻骨洪造。思効一死也哉。噫微禹吾其魚矣。微管仲吾其被髮左袵矣。伏見老爺爺。武以不殺爲功。兵以伐謀爲上。不輕進不趨利。不貴三捷之奏。惟圖萬全之策。堅吾壁壘。扼彼咽喉。竢天休命。試一震動。而桀驁之兇。氣奪膽寒。棄巢穴爭舟檝。宵遁之不暇。所謂不戰而屈人之兵。所謂不動聲色而措天下於泰山之安者也。渠魁逋誅。隻輪得返。或慮後日戎且生心。然以老爺之深韜遠略。必務保百年無事之策。豈但爲數十年姑息之計也。赫赫乎洸洸乎。式至今日。猗歟休哉。嗚呼。寡君不幸。小邦無祿。幸際淸明之期。忽被誣枉之痛。咸懷寧死之心。固無幸生之願。而區區微𢢽。猶有望於老爺者。誠以老爺旣以出萬死之力而救吾人於魚肉。則必不能惜一投之勞而棄吾東於禽獸。小邦之倚老爺。老爺之濟小邦。不但今日而止也。於戲。鍾銘鼎刻。不足以盡公之功。簞食壺漿。不足以罄民之誠。望天朝而感涕。拜棘門而蹈舞。捐糜報効之末由。嗟歎詠歌之不足。遂繼之以詩曰。嘻噫東封。島夷搆孼。粤在壬癸。帝命薄伐。旣折其鋒。未掃其穴。負海爲艱。敢肆不恭。帝謂將軍。惟汝予同。汝其東征。以奏膚公。將軍受命。赫赫天聲。不疾不徐。如䨓如霆。三方分攻。十萬其兵。旣扼其吭。又斷其臂。賊窮見窘。城不敢備。顚倒入海。若杵投臼。乾坤淸夷。境落褰擧。奏凱方旋。華夷歡呼。東人聚觀。于巷于塗。孤子寡婦。黃童白叟。踊躍讙呀。悲喜噎歐。天覆地載。帝力何有。山高海深。公德益厚。東人相謂。公我父兄。形騰麟閣。銘在輿情。瞻望棨戟。使我心悲。作爲此詩。歌于中逵。祝公萬年。壽考無期。</text>
<title>夜話贈洪偉夫[李埈]</title>,<text>芹泮相隨閱幾霜。豈知鵷鷺又聯行。齋宮扈駕天香濕。鰲禁懸燈夜漏長。叙舊每敎肝膽露。思歸各恨髩毛蒼。風塵可與言人少。莫許逢塲告別忙。</text>
<title>送洪偉夫謫向興陽</title>,<text>仁名佛子合同傳。无妄生災絶可憐。六七月中炎熱盛。三千里外道程緜。深知造物竆吾輩。但恃明時宥此賢。䨓雨想應朝暮下。莫將離恨到華顚。洪皓時人謂之洪佛子。</text>
<title>愚漢中䄵久廢吟詠。今洪偉夫將適南州。臨行語余曰此行何不爲一言以贈。閒寂中將故舊詩什付之壁上。有時吟賞以開懷也。余聞此言。難以荒拙辭。聊奉一律。[申之悌]</title>,<text>舊好如今有幾人。君歌白雪我陽春。邇來栢悅看松茂。忽此湖西隔海濱。休把衰遲傷遠別。勉加飡飯慰相親。他䄵我去君應至。共謝明時作逸民。</text>
<title>奉別偉夫兄謫向湖南之興陽[曺友仁 號頤齋]</title>,<text>鯨浪掀空蜃霧飜。興陽地控沃焦根。偏敎海內同心者。重斷江南送別魂。秦嶺望雲家最遠。楚鄕多瘴晝恒昏。扶持剩荷神明力。不用臨歧抆淚痕。</text>
<title>次曺典籍汝益韻。奉別洪西潭興陽之行。[李汝濱 號鑑谷]</title>,<text>世路顚危幾覆飜。今君此禍最無根。半䄵禁圄含寃滯。千里䨓陽欲斷魂。桂海迢迢迷近遠。瘴煙漠漠錯朝昏。千金好保加餐食。臨別何須謾涕痕。</text>
<title>無聊中和西潭韻。冀垂瓊什。[黃敬中]</title>,<text>末路功名一芥纖。驅馳何事遍東南。樓船大海觀潮汐。杖屨名山訪古菴。衣滿爐香恩便重。身羈銅印責難堪。平生知己賢從事。靑眼樽前共笑談。</text>
<title>雨中吟得一絶。奉呈從事足下要和。</title>,<text>客窻疎雨夜廉纖。羈旅行裝瘴海南。萬里歸心懸北極。一春幽事負東菴。靑油制筭公何讓。黃石論兵我不堪。嶺外相逢知有數。淸樽宜與故人談。</text>
<title>舟中奉呈李統制。兼示從事足下。</title>,<text>樓船百艘下南洋。列戟森羅戰具張。天接海門孤島沒。此行今日宿何鄕。</text>
<title>冬日寄呈洪西潭寓下 庚戌 [丁運煕]</title>,<text>北風吹雪海天寒。病客離愁夜欲闌。月滿屋樑疑面目。夢回天末報平安。牕前竹小梅交瘦。甕裏荷殘露泣團。旅鴈失羣雲塞渺。晩沙蘆荻更嘶酸。又霜臺曾耐繡衣寒。病報脩鄕又歲闌。瀛海城西非故國。暮雲天北是長安。難禁白髮千莖長。幾破銀輪七寶團。人事花枝看塞馬。且傾村酒任甘酸。又竹林門掩縕袍寒。殘菊籬邊歲已闌。衰鬂驚霜愁 缺 賴。半衾如鐵夢無安。笙歌世路人情薄。雪月山中桂樹團。目極征雲思不見。強伸長句寫辛酸。</text>
<title>醉後留呈座下。又用前韻。</title>,<text>曉郭煙霜客寓寒。白頭靑眼意何闌。留人爲借官醪洌。愛客偏知主席安。晩契新修情繾綣。深盃細酌語圝團。只期取醉無思慮。世味從今齒亦酸。</text>
<title>出山分路。爲別懷所惱。立馬城下。又賡前韻。奉呈西潭座下。</title>,<text>東林笑罷虎溪寒。馬首分歧日已闌。白鶴飛孤山不語。枯腸回九路無安。翻思蘭室薰三夜。頓覺春風襲一團。獨立山城擡眼望。離心如對木瓜酸。</text>
<title>輓詞[曺友仁]</title>,<text>後學倀倀揔迷方。斯文千載賴公彰。溫恭處己寧修飾。誠信交人出肺腸。薄德詎堪希末照。半生猶喜襲餘芳。從今嶺外儒宗失。瞻望南天涕自滂。</text>
<title>輓詞[李民宬]</title>,<text>少日摳衣厓相門。端良文行迥超羣。中年栢署名時彥。晩境槐安謝世紛。官謗自來循好惡。鄕評何苦雜蕕薰。山陽他日重經過。隣笛悽然不忍聞。</text>
<title>輓詞[申達道 號晩悟]</title>,<text>悃愊無畦畛。溫良自天眞。乘騘振直氣。剖竹沛深仁。蕙死香猶在。鴻飛影未因。斯文堪痛哭。哀淚自霑巾。</text>
<title>輓詞[李大圭]</title>,<text>白玉溫溫絶點疵。早從河上謁深衣。學師晦退淵源正。見澈朱程旨訣微。日者喪明公又逝。天之福善理何違。小生曾被龍門侍。痛哭于今匪爲私。</text>
<title>輓詞[李興南]</title>,<text>萬里靑雲器。連城白璧姿。儀容寬有度。衡鑑淨無私。學正承伊洛。官微止憲司。登門今不再。悽斷重吾思。</text>
<title>輓詞[李英男]</title>,<text>自托仁賢側。深欣德照隣。淵源關閩學。忠義夔龍臣。謂展君民志。飜摧柱石身。爲公無限淚。何日不霑巾。</text>
<title>輓詞[李民淳]</title>,<text>厓翁門下早依歸。更得愚蒼麗澤資。爲學淵源元有自。律身言行本無疵。立朝幾歎敦忠義。居室常欽止孝慈。從此吾南斯道晦。儒風他日孰扶持。</text>
<title>輓詞[申悅道 號懶齋]</title>,<text>小少提杖屨。于今卅餘春。葭莩情義密。鞭策訓誨頻。宿德今無在。斯文便長湮。誰敎位不滿。無路問蒼旻。</text>
<title>輓詞[李擇可]</title>,<text>學有淵源正。名因擢桂榮。乘騘霜栢府。棲鳳醴泉城。旣失儒先輩。將誰覺後生。故園餘手植。蕭瑟萬松聲。</text>
<title>送別柳地主 澈 遆赴一善 丁酉</title>,<text>人老如何感懷多。侯行今送意非他。瘡痍溢目誰堪活。天地搔頭祗自嗟。一帶山河分界限。三春梅柳㤪波流。離筵物色傷心處。江渭攸攸日欲斜。</text>
<title>次蒼石叔平韻</title>,<text>謹問何如東海量。驚心雙鬂忽添霜。荒園未剪三春韭。茅店思聯一夜床。滿目風塵行路澁。搔頭天地去留忙。華山東望來何暮。缺</text>
<title>次繡衣黃 直之 韻</title>,<text>剛膓肯惱楚腰纖。壯志要須靖塞南。臨海課兵驚賊窟。尋山訪水夢仙庵。幕中衰病閑無事。日下長安思不堪。天末相逢難作別。塵前莫厭且佳談。</text>
<title>鎭海途中</title>,<text>孤帆容與漸明沒。離恨茫茫碧海深。婉孌明資長在目。慇懃密誓自銘心。西風蕭瑟吹寒菊。殘月矇矓映遠林。鷰子樓前秋月白。暗香何處更相尋。</text>
<title>八莒客舘</title>,<text>殘燈明滅枕邊紅。孤館離懷自不窮。鷰子樓前殘月白。梅兄樹下暗香穠。天涯形影愁中遠。海上歡娛醉後空。脉脉衷情來又去。此時魂夢倘相通。</text>
<title>黌堂入齋</title>,<text>雨子初晴春尙早。南山爽氣滿虛樓。登臨極目雲天遠。薄暮窓間人自愁。</text>
<title>戱題寄盆梅</title>,<text>冷艶殘香不自持。天寒多被雪風欺。春來又怕狂蜂閙。爲報東君好護之。</text>
<title>輓申承旨 夢得</title>,<text>吾君積慶世皆知。忠信傳家德可師。華祝多男寧有懼。箕疇五福自無期。恩榮寵秩銀臺峻。乘化仙區鶴洞奇。情分久從欒棘切。長辭不忍寫哀詞。</text>
<title>輓李南溪 輔</title>,<text>累世傳家學。平生托契深。昏慵頻見叩。言行永有欽。芳草南溪曲。庭松滿地陰。形容難復覩。郤憶淚沾襟。</text>
<title>挽金正叔 士貞○號後松齋</title>,<text>聞道沙眞古壽鄕。吾兄七十豈云長。傳家懿範遺箴在。衛國貞忠義旅張。天監孝衷應錫福。世無公道且潛光。追思幼少從遊日。强疾題袞涕自滂。</text>
<title>挽鄭梅窓 士信</title>,<text>人間今日事堪悲。未死英靈想應知。沙塞羈魂招不得。倘因冥佑早還歸。</text>
<title>輓張深谷 悌元</title>,<text>嗟爾休休張仲順。忽承淸氣便歸眞。鶴山明月東風夜。應見重來訪舊人。</text>
<title>輓李丈</title>,<text>星山華胄世無比。能守家聲又有公。懿範咸稱鄕耆老。德言猶警衆昏蒙。黃鮐始謂仁而壽。素翣還驚命矣窮。寂寞丹城人事畢。滿山松檜響悲風。</text>
<title>挽朴柳村 從男</title>,<text>吾兄天禀美而醇。神彩堂堂信偉人。虎略龍韜眞將器。鸞停鵠峙捴儒珍。公於老漢一年長。我乃英靈再從親。卧病未伸臨穴慟。獨將哀淚灑新春。</text>
<title>一貫</title>,<text>探萬殊之大本。悟一理之妙用。斂方寸而微密。應事爲而會統。玆所謂一以貫之。知本立而用行。伊聖人之一心。蘊至理以極誠。吻渾淪而眞實。妙純粹而精密。旣無間而無雜。又不貳而不息。體四物而無遺。一表裏而洞澈。根萬化而幷包。幹萬善而該括。旣全體之靈妙。斯大用之叵測。隨事事而泛應。接物物而曲當。兼精粗而管轄。該大小而旁暢。通古今以流行。達上下而洞貫。藏妙迹於靜密。運神功於著散。鳶之飛兮魚之躍。咸自此而活潑。老者安兮少者懷。捴由是而流出。川自流於敦化。天自位於致中。寂聲臭以運行。察天地而流通。玆軆用之純全。諒聖功之極致。維天命之於穆。渾至誠以不已。運乾元而變化。妙萬物而各遂。紛不害而不悖。藹幷行而幷育。斯體用之一原。妙神化之溥博。偉聖心之渾然。則天道之沕穆。體不息而無妄。會萬殊而貫一。仰精一於唐虞。歎咸有於阿衡。多周文之純亦。幸魯叟之大成。天何言而默會。無隱爾而成物。謇博厚而高明。一無極而太極。指通妙於一言。示相傳之心法。果默契於曰唯。懿參乎之獨得。證厥妙於忠恕。尤軆用之著明。因不遠而致曲。亦下學之工程。苟眞積而力久。庶一理之上達。何聖遠而道微。慨後學之㓕裂。旣不察於用殊。况能會夫軆一。余憤悱於末造。仰聖道之瞻忽。非端木之穎悟。願曾氏之篤實。庶盡己而推己。聞一貫而願學。</text>
<title>吾從周</title>,<text>吾何從乎。捨我周兮吾何從。郁郁乎文質得宜。信大備而協中。輸心上夫幾日兮。俯衰季而冲冲。原夫禮樂之制作。肇自來於唐虞。然雍穆亦何爲哉。而節文未盡昭彰。丕顯哉惟我文武。始參酌乎前王曁先正。粤惟周公。制極度而損益。追百王之美制。成一代之善法。夏忠與商質。盡得宜而均適。三千與三百。粲日月之昭灼。彬彬乎不顯其光。郁郁乎其有文章。歷宇宙無當日後日。眞百代之典常。余之身生丁風雨。早有志於禮樂。遡前代於今日。孰周文之能及。夏之禮不惟不徵。恨尙忠之不備。商之禮不維不徵。恨尙質之或鄙。吾何從乎。吾願從乎吾周。粲粲乎暸然於胷中。更捨此而何求。虞之韶殷之輅。雖一事之可由。質之盛文之備。斯大軆之郁郁。况吾衰位非制作。時王儀豈敢違越。仰盛制而服膺。窃有感乎今日。夫何昔日之美法。今直爲此繁文。擧天下而爲史。何古儀之足云。如有用我者。庶素蘊之可施。損益四代縱或未遑。猶可爲東周之天地。天生德豈無以。何不夢夫周公。悵空志於從周。恨文武之未逢。</text>
<title>仁人之安宅</title>,<text>竊悲夫窘我室廬。求廣居之攸寧。滿腔子曰惟安宅。信吾人之所榮。由乎己豈有遠哉。宜是處而是安。原夫有生之初載。天旣啓余以堂壇。生之理兮主宰。善之長兮經始。心德全兮有容。惻隱發兮爲址。雜信土以鞏固。設禮門以洞徹。靈關深兮玉匙。固無抵隙之蟊賊。情車遠兮意馬馴。有義路之平直。屋漏幽兮無愧。靈臺凈兮絶慾。儼天君之泰然。令百軆之臣僕。恒心潛而對越。肎形役而顚蹶。依於斯而居於斯。無一日之或違。安乎此而樂乎此。在顚沛而不離。極高明而致廣大。鬼不瞰於虛室。不自毁兮人誰毁。安不崇於金闕。心之廣兮軆之胖。咸飽德而潤身。睟於面兮盎於背。蘊方寸之皆春。歸萬民於吾仁。囿八荒於我闥。斯天賦之樂地。一無形之安宅。高臺廣廈之人君。居是宅而不卑。蓬蒿環堵之匹夫。處斯宅而不移。無贒愚貴賤而同得。其亦安宅廣矣。然純安者盖寡。孰惡濕而居此。初二帝之安安。後三王之建極。墻數仞之更築。仰彌高而卓卓。紛升堂而入室。獨顔氏之三月。更亞聖之▦摭。發哀哉而警俗。秦而漢漢而唐。恨無人之依於翠草庭安樂窩。宋諸儒兮廓如。樑木忽摧於大風。惜乎茅塞方塘。此疑缺二句 紛窘步於鬼關。競安危而利灾。盖有之而我未見。何莫禦而不來。𨐌天賦均受不貧。曠安宅吾何歸乎。而鄒聖不我欺兮。自㬥棄吾知免夫。</text>
<title>德潤身</title>,<text>余嘗喫緊乎義肥。芻豢乎道腴。求伸乎屈指。兼養乎寸膚。紛紛出入乎誠關。求潤身之大方。夫豈有待於外物。有斯德之中藏。美旣實於內積。光自形於外彰。原夫降衷之初年。賦我以德萬善兮咸備。蘊方寸以藏密。衆美兮俱存。根性理以充積。斯人心本然之全體。滿腔子誰非此理。苟能行道而有得。自英華之徽懿。是故君子必誠其意。不睹不聞。恒戒愼而恐懼。莫見莫顯。每戰兢而謹飭。十目乎屋漏之幽。十手乎閑居之獨。無厭然自欺之惡。有眞積自慊之實。紛旣有此內美。藹光輝之外發。不愧不怍。心俯仰之快活。無非無責。氣幽明之充塞。睟於面而盎於背。煥淸和而潤澤。心之廣兮體之胖。浩安舒而寬平。斐然成章。文繡何榮。煥乎有文。黼黻無章。豐厚而盈溢。不願人之膏梁。旣飽而無餒。何羨人之爵祿。朢之儼然。揚休兮山立。卽之也溫。祥雲兮瑞日。山含輝於玉蘊。澤自媚於珠藏。猗歟穆而難名。美哉不顯其光。夫孰云德輶如毛。潤一身而昭彰。誰知方寸中一眞。有此無窮之恰好。誠於中而形於外。信此理之不誣。肆先師之指掌。明意誠之大效。宜後學之反身。務心得而慥慥。夫何小人之不善。爭瀎裂而喪眞。知德者鮮。肎念天均。欿然而餒。哀此一身。人爭見其肝肺。以胖廣之可瑧。同天畀於古今。幸余賦之不貧。由正路而入德門。覺德輝而自敬。知潤屋之在富。慕衣錦之尙絅。期愼獨而有得。斯作賦而自警。重曰瞻彼淇澳。菉竹猗猗。有斐君子。德以潤之。德以潤之。赫兮喧兮。終不可諼兮。</text>
<title>神明舍</title>,<text>美方寸之地頭。曰有舍兮虛寂。豈尋常之輪奐。寔神明之攸宅。喚主翁於靈關。問經始以制作。曰降衷之初載。天旣啓余以堂壇。占基址於丹田。任主宰於思官。施仁木之欂櫨。築信土之墻壁。翕衆美以俱存。環郛郭以包括。命天君以宅中。官耳目以臣僕。具衆理於堂奧。應萬事於閫閾。明禮火以精察。照空鑑以辨別。廓重門之洞開。儼屋漏之無怍。烱光明之透徹。渾靈妙之叵測。生虛白於一室。燭神光於九垓。涵天雲於玉淵。察鳶魚於靈㙜。藹萬景之俱新。澹一塵之無累。無抵隙之蟊賊。有啓鑰之玉匙。禮有門兮義有路。導百行於聖域。大無外兮小無內。囿八荒於我闥。誰知無形之一舍。包萬善以中藏。然能守之盖寡。孰建極於久長。自茅茨之欽明。世精一以相傳。逮闕里之大成。墻數仞之彌堅。嗟樑木之傾摧。慨宮室之頹廢。哀神明之舊舍。一無主之屋子。亂婦姑之勃溪。爭鬼神之瞰室。久無人兮繕修。任毁破於茅塞。幸舊臺之不昧。夫何難於開拓。立人鬼之關頭。歎疊屋之暗黑。去當面之土墻。開向陽之竹牖。庶不負於神明。銘赤室以自修。銘曰我有一舍。虛而最靈。噲噲其正。赫赫其明。風雨攸除。君子攸寧。敢告主人。修我墻屋。庶幾惺惺。以愼其獨。</text>
<title>用起天地先</title>,<text>子丑未闢。萬象混然。悠遠杳邈。物莫存焉。夫何自然之妙用。未玄黃而先起。迹雖肇於有像。理已具於無始。厥初馮翼而懵闇。渾無極而杳冥。軆方圓之未定。權動靜之未明。寂聲臭以玄穆。泯形色以混茫。然至理之兆眹。初豈待於昭彰。吻上下之鴻濛。藹眞精之坱圠。高明兮未覆。已輕淸之轇轕。博厚兮未載。已重濁之渾融。火不待於薪傳。氣炎上之已通。水不資於器受。性潤下之已達。凝然寂然。藏合散於冲漠。茫爾窅爾。包順施於靜默。運一理之眞實。兆萬變之綜錯。含有象於無中。秘妙權於欠迹。旣無內而無外。寧有始而有終。根混沌而包括。沕盱睢而牢籠。玆二五之旣妙。先天地以流發。誰知無眹之初頭。凝至理以森列。久運妙之叵測。一開闢之成質。天以動兮地以靜。體混淪而磅礴。水成潤兮火成燃。氣升降而運行。紛互根而互生。機變化之無停。非斯用之先起。豈軆質之後立。噫至理之貫通。囿乾坤以槖鑰。迨三才之始闢。寓無形於有形。斯道體之靈妙。誰默契而遐想。偉歷覽之無際。揭太初而指掌。輸一元於片言。啓羣蒙於短律。盍周流而妙覿。學先生之觀物。</text>
<title>窮不失義</title>,<text>余觀夫君子之所性。本不存於窮達。素其位而不願乎其外。孰非義而可服。稽不失之鄒訓。知處窮之有道。所欲旣在於悅心。內守寧移於外慕。身天地以爲士。任時命而窮通。倘亨運之不來。固將愁苦而終窮。苟不內得其所安。鮮能免夫外鑠。肆固窮之有人。務自守而不失。知內重而外輕。悟此理而彼物。人不知而囂囂。世莫容而綽綽。拂其志兮乏其身。盖所守之愈礭。逆於心兮橫於慮。羌所執之彌堅。無人欲之外侵。有天理之內全。馬千駟兮祿萬鐘。苟非義則何取。食一簞兮飮一瓢。如其義則與比。嗤嘑爾而蹴爾。取熊掌其敢舍。在可取與無取。悅蒭豢而不捨。窮雖甚於吾身。義愈堅於天樂。顚於是兮沛於是。在顚沛而尤篤。生以之兮死以之。當死生而如一。旣邪世之不亂。况威武之能屈。礭不變而不移。泰自安而自得。斯可謂獨善而得。已知不離於他日。仰前修之所服。孰安貧而尊德。餓西山而得仁。義孤竹之無悔。人不堪而亦樂。賢子淵之不改。斯不失於固窮。驗守義之一致。乾坤一入於戰國。士習便誤於遊說。紛紛自輕而自鬻。况道義之可企。宜泰山之卓立。擴正理而開示。邈古往而今來。孰從事於斯道。人爭哭於窮途。世莫由夫正路。伊余心之不然。恐守窮之不固。戒小人之斯濫。惕外累之或移。仰古人而嘐嘐。樂夫天命復奚疑。</text>
<title>黃鍾萬事之根本</title>,<text>玄黃始位。事物未形。茫乎無迹。窅爾難名。不因乎本源之所在。其何以制作乎。推短律而妙思。悟根本之在玆。將一管以敷衍。軆萬事以無遺。原夫曰陽曰陰。運乎四時。爲律爲呂。首乎萬物。碩果初復。是黃鍾律。會至理於天根。寓妙制於嶰竹。三分兮有奇。九寸兮其長。形器兮雖微。妙天機兮中藏。推之於事事物物。理無往而不彰。肆聖人旣竭兮耳目。運神智而揆度。操短管。觸類而長之。制無窮之節目。將自然之淸濁。節聲音而制樂。推本然之長短。制寸分而爲尺。容千黍以爲籥。平準升斗之攸作。重十銖以至兩。權衡鈞石之所始。以之而達乎萬事。莫不由此而有施。昭然粲然。制作極備。至矣盡矣。妙用包括。紛緫總日用間事爲。夫孰非此鐘中流出。窺厥制之叵測。感聖王之妙造。夫陰陽之始分。縱厥理之咸具。非睿智之裁成。詎䂓模之能立。運一心之神機。創萬事之美法。尙恐制度之不一。廵四岳而同協。人永賴而事得序。通古今以昭著。誰知萬萬之綜錯。自一管而根柢。觸一理而推長。反三隅以有得。伊善端之眇綿。是一身之陽律。况本然之權度。信此心之鍾管。苟推本而漑根。可經綸以參贊。是萬物皆備於我。夫豈黃鐘之獨然。推管窺以演辭。合吾心於彼天。</text>
<title>節用愛人</title>,<text>傷財戒於羲易。厚生著於禹謨。政不先於制節。愛豈徧於至愚。誦洙泗之徽言。悟治國之有法。信斯人之愛養。道不外乎撙節。國千乘以爲治。君萬姓以司牧。民胥匡焉以生。責專係於乃辟。惟推仁而惠鮮。在民財之必裕。然天生而地養。百物只有此數。益乎上則下損。取於君則民乏。倘侈用而不節。害必深於艱食。宜乎前而克念。務節儉之是先。知邦本之有在。重民生之所天。躬菲食而惡衣。動必遵乎省約。民時使而薄斂。惠先及於惸獨。使斯民絲身而糓腹。無一夫之捐瘠。彼博施濟衆之極功。孰非由於用節。仰克儉於夏禹。美康功於周文。惟聖王之至德。固無得以間然。爲天下守財。漢文亦庶乎節儉。割肉而充腹。唐宗亦戒夫厚斂。斯家給而人足。致少康於當日。嗟節儉之無君。何後代之割剝。征斂無藝奢侈無度。致民財之虛竭。上下俱困灾害幷至。宜國家之顚覆。今夫民兵火而師旅。歎老羸之溝壑。願聖上服膺聖訓。懋昭儉而敬德。不傷財而害民。固邦本於萬億。</text>
<title>弄丸</title>,<text>空中閣兮高明。安樂窩兮靜平。羲乾坤兮再闢。文日月兮重明。孰於焉而玩化。弄一丸以窮硏。胷天地以來往。手陰陽以陶甄。先生天挺人豪。氣英邁之盖世。幾年駕風鞭霆。浩歷覽之無際。顧吾道之在是。遂歸來兮探頤。繹聖旨而潛心。斯默契於變易。目未接於有形。心已會於無極。然微妙之難覿。孰無象而有獲。曰有丸兮在玆。是先天之妙畫。形循環於圖上。盡變化於圈中。旣前瞻之無始。寧後際之有終。諒至理之斯存。宜目契而心通。雪月淸兮院深。風花飄兮春融。開醉裏之高眼。運閑中之妙手。漠虛靜而恬愉。澹留神於六九。窮元化於道上。托妙迹於畫前。手月窟於姤陰。足天根於重泉。原動靜之互根。察進退之相因。卦六七之推測。粲奇耦之星陳。宮三六之融會。藹方寸之皆春。察顯微之無間。知軆用之一原。翫無形於有象。明至隱於至著。心閑來而閑往。神妙契而妙合。誰知一丸之弄來。籠乾坤於几席。信玩心於高明。妙天人兮如一。噫龍圖之肇作。自羲皇之妙察。備萬象於八卦。區理數於三畫。文彖辭而周爻。繼孔聖之十翼。式潤色乎丸之上。揭人文於千億。悲韋編之一絶。慨時義之幾㓕。隱圖象於千載。幸先生之獨得。幾多潔凈而精微。明妙數於旣熄。獨惜乎造化之大手。竟肥遯而括囊。謾弄丸中之剝復。未調廟上之陰陽。氣南方之先至。春一窩之獨暢。揖高風而遐想。欽至理之指掌。丸前後之無二。心古今之豈異。弄造丸而玩遺澤。思先生兮不可已。</text>
