<title>對庭梅 五言絶句</title>,<text>畵梅雖盡妙。不似活梅眞。一點生生意。猶含陋巷春。</text>
<title>印閒上人送酒。以詩謝之。</title>,<text>一片愁城打未開。忽驚歡伯解圍來。遠公風味今猶在。贏得淵明一醉迴。</text>
<title>去思七絶。送呈府伯趙公 明鼎。○幷序</title>,<text>頃日西郊之餞也。髫白載道。歌詩成軸。獨某無一語形諸筆札。盖爲公腰下綬未解。冀其再來撫我也。况苽期尙遠。分憂任重。公必來無疑也。且嶺伯考滿。代者必非他人。何至昵昵作語以相瀆哉。歸卧山菴。獨寐寤言。時出辱惠寶章。三復景仰而已。及聞嶺伯出代。公亦因作懸車之計。已謝遣傔騶還矣。於是遂蹶然驚曰若爾。公果不來矣。疇昔之所默籌者左矣。吾其終無一言乎。公之視州篆恰二載。政聲曰走四隣。隣郡得之。亦漸其化。翕如也。公以忠恕爲治。人有罪。得情而不喜。視民惟恐有傷。村閈無吏胥跡。公務蝟集。剖析無遺漏。見土瘠賦重。民受其病。心隱之。牒大府。得朝命。遂正經界。自是壤均而賦得貞。民之受賜多矣。然此奚足以盡公哉。某偏辱恩眷。亦嘗以區區之懷。發之韻語。溷於記室者數矣。今不必架疊。聊以去後之思。道州人意。得五絶奉獻。成都田父酒初酣。在口尹贒談復談。說與花溪溪上老。新詩贏得舊恩涵。右道田家意夜漁江上見淳化。自在小魚春水多。但恐後來獵夫至。十分波縮九分波。右道海民意山人叉手向西拜。共說我侯前後無。夜夜焚香祝公壽。金仙寧惜掌中珠。右道山僧意諸生聚首悄無語。負笈抱經何處歸。叢竹石盆風送響。依然堂上聽琴徽。右道士民意詩興楊州動幾廻。尙餘東閣一枝梅。梅如解語正惆悵。誰勸老生花下杯。右老民自道</text>
<title>次韓戚思彦韻。仍效其軆。</title>,<text>昨夢去尋汶上村。覺來山月曉牕痕。佛燈催點鍾聲動。獨坐沉吟憶故人。獨坐沉吟憶故人。諸天物色惱詩魂。少年携手同遊處。花鳥春風幾度新。花鳥春風幾度新。纔看門闢又關門。世間萬事多翻覆。惟有交壇舊誼敦。</text>
<title>雨中偶吟</title>,<text>暮天三月日遲遲。簷外蕭蕭雨滴時。獨對禪牎無一事。硏朱坐點放翁詩。</text>
<title>庭前花卉。衰謝已盡。只有梨花盛開。</title>,<text>叢篁槁死菊無芽。梅老摧殘但老査。惟有庭前梨樹在。今年花勝去年花。</text>
<title>偶看杜詩。有朝廷問府主。耕稼學山村之句。不覺放卷而笑也。若老物者。丘壑中濱死一棄物。朝廷事非所敢問。時拜琴軒。不過問安而已。今年窘甚。仍廢東作。則耕稼亦不須學。與少陵心事逈絶。聊題一絶仰溷。</title>,<text>廢田耕稼學何用。在野朝廷問不關。却愧山村無一事。幸逢賢府敢開顔。</text>
<title>自邑中歸。歷崇德殿贈參奉。</title>,<text>病軀難動重如山。強爲琴軒一拜還。綠樹深深黃鳥語。夕陽歸路五陵間。</text>
<title>禪牎夜坐</title>,<text>幽幽洞壑暮雲低。眼界隨空物色齊。佛殿燈沉僧入定。夜深蟲語轉凄凄。</text>
<title>高麗侍中崔齊顔。死爲龍寺伽藍。與米元章鶴林寺袍笏像相似。戱題。</title>,<text>龍山松石鶴林同。崔相風流似米公。袍笏伽藍遺像在。至今留護梵王宮。</text>
<title>夕陽秋色</title>,<text>衰鬢不嫌秋色老。暮年偏覺夕陽催。莫道此時光景好。玄冬黑夜瞥然來。</text>
<title>挽韓命新</title>,<text>虀歌悽咽片㫌飛。路入靑山去不歸。君還故宅知無恨。逆旅何人淚滿衣。</text>
<title>過諫墓</title>,<text>荒田野草一望平。千載孤墳帶諫名。正氣山河猶不死。寒林落日照丹誠。</text>
<title>十月初二日夜。夢與孫大之遊汶亭。顔貌宛如平日。余心知其已死。謂曰君非陽界人。然今猶酬酢如舊。此後此亭之會。不可不來。孫曰諾。因驚覺無所見。惟聞雞聲喔喔而已。悵怏不已。二首</title>,<text>故人顔面尙分明。汶上相逢共討情。呼酒不來驚罷了。風敲牕紙一鷄鳴。陰界人非陽界人。牎前燈下影隨身。自言此處常來會。依舊團欒定幾廵。</text>
<title>挽任君蒔世</title>,<text>吾視君兒如己子。君存尙爾况君亡。將來成就惟渠責。但媿吾無誘掖方。</text>
<title>懷人 四首</title>,<text>索居誰是最關胷。月巷翁與栗里翁。所恨栗翁不愛酒。詩情偏向月翁濃。我今七十無多歲。君亦五旬加二齡。吾輩元非年少者。相逢莫惜醉還醒。已上爲月巷有酒好澆磊塊胸。對樽却坐彼何翁。楚客獨醒謫仙醉。不妨風味一般濃。金蘭交契自年少。倐忽光陰俱暮齡。醒者自醒醉者醉。醒中有醉醉中醒。已上爲栗里</text>
<title>挽崔見仲</title>,<text>思我故人不可見。見君如見故人姿。嗟君今日又先去。還似故人初沒時。</text>
<title>十一月十四日夜。夢與崔銘巖論文。覺而有感。作二絶。</title>,<text>相逢未盡討深情。忽聽晨鷄送一聲。驚起虗堂無所見。月光和雪滿牎明。老來常憶昔遊時。夢裡逢迎盡舊知。最是銘巖忘不得。屋樑殘月幾回悲。</text>
<title>挽鄭行源</title>,<text>君年較我九年遲。况又君強我病羸。早晩謂君來哭我。誰知我反哭君爲。</text>
<title>十月積雪。至十一月二十五日不消。是日又雪。</title>,<text>玉京羣帝闘芬華。六出瓊葩釀許多。若得明年禾麥熟。何妨白屋叫波波。</text>
<title>挽李護軍德普</title>,<text>東都子弟泣相語。南極老人星晦光。冠屨不隨仙鶴去。碧山千古也深藏。</text>
<title>新春</title>,<text>桑楡光景急如梭。雪裏寒梅已放花。春入溪山羞擧面。不堪衰髩白鬖髿。</text>
<title>花溪遣興</title>,<text>滿架詩書閒富貴。一溪楊柳好風流。老生得此寧非福。不恨簞瓢衣弊裘。</text>
<title>寄呈趙使君 明鼎 謫所 時謫端川○四絶</title>,<text>寥落江天聽旅鴻。歲華偏惱此衰翁。欲題春帖還停筆。正爲懷人楚澤中。北關迢遞斷飛鴻。何處悲吟澤畔翁。水調一聲寒月上。隨風應入玉樓中。自從酌水餞西郊。跡謝城門不復敲。慵卧花溪無一事。夢魂時到舊梅梢。憶曾冠盖出荒郊。琴笛聱和風竹敲。想像淸標何處見。夜來明月上梧梢。趙公次雙目悠悠送渚鴻。牽情偏在月南翁。花溪把酒前年事。是日題詩北海中。秋懷寂歷了賓鴻。澤國天寒伴釣翁。憐爾窮居誰復廣。緘書悵望澗阿中。諸天歸路戛南郊。尙憶仙扉落日敲。小酒東臺移席坐。寒潭倒影老槐梢。詩書寂寂卧荒郊。醉後玄琴手自敲。南國菁莪如舊否。前宵夢着早梅梢。</text>
<title>挽李君觀甫</title>,<text>昨年別後每相思。正月書今不忍披。更欲一尋良洞去。雪川亭上主人誰。</text>
<title>西河任公 翰世 壽席</title>,<text>百九十年召公壽。我公九十餘百年。百年詩得百篇作。每歲來呈詩一篇。</text>
<title>溪岸經大水變改</title>,<text>經漲溪容改舊時。沙明石出益淸奇。何人更唱滄浪曲。欲濯無纓自濯詩。</text>
<title>九月初八日。南友舜觀再期也。三年內。一未往哭。遂吟二絶道懷。</title>,<text>倐忽已過隙駟陰。斷金虗負百年心。影湖明月秋風夜。髣髴儀容夢裡尋。至親情友死同歸。死若相從死不悲。未死何知死後事。白頭空自淚垂垂。</text>
<title>投書崔君翼覔南草。去衲失書不傳。得草而來。戱吟。</title>,<text>送書覔草僧將去。不致其書得草迴。顧我心非書外盡。感君情帶草中來。</text>
<title>文房歎</title>,<text>文房友亦世情如。貧鬼親時渠自踈。惟有陶泓依舊在。窮居不作絶交書。</text>
<title>讀放翁詩。有曰遹子挾冊于于來。時與老翁相論難。但令歆向竟同歸。門前籍湜何憂畔。感而有作。得二絶。時有小衲來學句讀。故下一絶末句及之。</title>,<text>遹子于于挾冊來。放翁當日喜顔開。吾兒不是無書讀。貧鬼囚人未放回。歆向同歸無復望。門前籍湜更何言。溪庵寂寂來人少。終日低頭對小髡。</text>
<title>歸花溪戱題</title>,<text>弊屣孤筇趁暮鴉。花溪書社是吾家。數三童子欣迎路。出拜沙彌更手叉。</text>
<title>暮年無復講習事。閭里齠齕。問句讀相從。自顧良笑。作老鷹詩以自歎。</title>,<text>無復愛呼沔水臺。劉表作呼鷹臺於沔水上。 金眸生瞙劒翎摧。華蟲不捉田䳺捉。誰信當年百中才。杜詩咏鷹曰百中爭能恥下鞲。</text>
<title>村兒以天皇氏來學。說過數百遍不解。苦甚戱題。</title>,<text>無端太古天皇氏。欲使花溪翁舌弊。翁舌弊猶渠口生。幾迴一萬八千歲。</text>
<title>浴泉</title>,<text>脫衣露軆浴淸泉。洗盡人間煩惱緣。歸卧石壇無俗事。此心今見本然天。</text>
<title>聽鵑</title>,<text>空山寂寂夜深時。獨倚禪牕聽子䂓。啼到五更聲不絶。好隨殘月入新詩。</text>
<title>過南山蓮亭有感 二首</title>,<text>故宅荒凉草樹環。墻垣頹落晝門關。湖邊過客偏多感。滄海桑田一瞥間。湖亭無主任堆塵。門掩斜陽不見人。惟有荷花依舊在。倚欄含笑欲迎賓。</text>
<title>嘗杏 在南山</title>,<text>壇空世遠絃歌日。村凈時非花發春。五月炎風吹落實。拾來堪養老精神。</text>
<title>挽李院長子緯</title>,<text>延平龍釰自相隨。去歲今年如有期。底處精靈猶髣髴。靑山夜夜月明時。</text>
<title>溪菴遣懷</title>,<text>齋心默坐碧山前。飢食溪蔬渴飮泉。誰識花菴窮措大。三分處士七分禪。</text>
<title>歎衰</title>,<text>望八吾年甚矣衰。門庭出入藉筇枝。欲憑詩句排幽憫。詩亦如人氣薾萎。</text>
<title>贈李新恩汝寬 敦恒 號瞿軒</title>,<text>看君牛斗詑三奇。此事於君未足奇。早了槐忙多暇日。經牎堅坐始爲奇。</text>
<title>東林春夢吟 幷序</title>,<text>昔莊周爲蝴蝶。蝴蝶爲莊周。周與蝶皆夢也。然則賈島之爲無本。無本之爲賈島。亦莊周蝴蝶也。都是春夢中事。然吾於此不能無感焉。蠐螬化爲鳴蟬。在綠樹淸陰之間。人莫不愛之。若還蒙故蛻。復爲蠐螬。則不過爲糞壤中一小虫。復誰貴之哉。深爲若人惜也。雖然蟬不能産育。蠐螬則産育。而古墓之白楊可得老矣。差可慰若人心事。吾與若人有舊。今到白蓮故社。悄然如有所失。追惟往事。不能忘情。然此又安知其非夢也。於是繹其情緖。雜以諧謔。因寄此翁之懷。得六絶。名曰東林春夢吟。付守菴蘭奢。欲使若人聞之。若人爲誰。昔名演而今姓殷也。白楊蕭瑟蔽榛荊。豺獺識深龍象輕。只爲欲逃無後罪。未應花蝶不勝情。右慰之也。慰其歸續先祀。鳴鴈初飛旭日紅。雪山寒月舊緣空。回看掌上尼珠在。化作寧馨熊夢中。右賀之也。賀其當有後嗣。山家緣盡俗家歸。檀樹露華猶濕衣。半夜行雲巫峽夢。也應分入雨花飛。問之也。問其雲水舊習。花燭洞房樂事多。衣裾滋味問如何。誰知蓮社翻經手。却向蘭閨畫彩蛾。右戱之也。戱其宴爾嬌態。用張敞事。琴瑟雖歡累亦多。世間煩惱苦難過。應思法喜爲妻日。凈凈元無一點瑕。右悶之也。悶其去凈土歸苦海。今日浪仙昔無本。雲林何處更相逢。敲推往事渾如夢。花落猿啼月上峰。右思之也。思其蓮社舊遊。</text>
<title>送燦兒赴廷試</title>,<text>雛鸎欲向上林啼。風急路長雙趐低。南嶺鳴鳩相逐夫。不知誰借一枝棲。</text>
<title>慰奎孫夭死</title>,<text>天地無窮人命短。百年猶是轉頭過。朝生暮死蜉蝣樂。三歲光陰汝亦多。</text>
<title>追次李君克夫執中韻二首</title>,<text>老來無事作閒人。渭樹江雲入夢頻。偶閱篋中瓊玖在。君懷抱一番新。嗒然枯木已非人。百病交侵叫死頻。瘦骨忽驚寒氣至。蛩鳴秋草露華新。</text>
<title>夕食仙杖洞。歸路見南崖丹楓偶吟。</title>,<text>白飯黃鷄飽喫回。煖生枯腹意悠哉。更添歸路秋光好。滿眼丹楓錦繡堆。</text>
<title>讀易</title>,<text>山水中間路險傾。熹微夜燭不分明。雖然得免懸崖墜。猶勝昏衢摘埴行。</text>
<title>宿汶亭 追思舊遊。不勝黃壚之感。偶吟一絶。</title>,<text>傷心往事若爲情。獨宿寒亭睡不成。枕上溪聱終夜聽。冷冷惟有舊時淸。</text>
<title>朝食大谷。至茅山十里而近。馬老行遲。過乾川幾午時矣。因戱吟。</title>,<text>吾已老衰馬老衰。遲遲行色兩相宜。朝餐大谷茅山去。纔過乾川欲午時。</text>
<title>有人以杜鵑花爲題呼韻。韻甚强難押。其人要押不已。遂作二絶。語甚苟。聊博觀者一粲。</title>,<text>杜鵑爭似木犀牛。曾遣殷仙下潤州。花發盛衰同世變。玄都誰是詠桃劉。何年望帝別金牛。血染春花遍九州。最愛韶光隨處早。紅葩爛熳綠毗劉。毗劉稀疎也</text>
<title>偶以排憫之作。投示崔戚君翼。乃惠以過旬之資。復以一絶謝。</title>,<text>雲子來從山外廬。供炊老衲皺眉舒。誰知工部空囊詠。便作顔公乞米書。杜子美有空囊詩。顔魯公有乞米帖。</text>
<title>自傷</title>,<text>渴時常憶酒泉郡。飢處難忘飯顆山。若使吾人無口腹。未應奔走作羞顔。</text>
<title>讀顔魯公乞米帖及淵明乞食詩。有感。</title>,<text>顔帖陶詩意一般。誰能有口不求餐。雖然乞貸終無愧。留得芳名在世間。</text>
<title>月夜聞蛙鳴呼韻</title>,<text>風靜雲收天氣淸。今宵月色十分明。多情更有羣蛙樂。處處喧騰皷吹聲。</text>
<title>四月始聞鸎</title>,<text>花落山空客不來。詩腸枯槁欲成灰。忽聞皷吹淸音發。五字城門始一開。</text>
<title>鶴城李友景老甫自鰲山來訪花溪。臨別以一絶贈之。</title>,<text>花溪翁不出花溪。忽聽林間黃鳥啼。黃鳥聲中春已歇。一樽相對意悽悽。</text>
<title>次孫友勞苦鳥韻</title>,<text>短翮翩翩日習勞。不飛于遠不于高。渠雖勞苦自忘苦。上下春風芳草臯。</text>
<title>夜坐無寐</title>,<text>層巖圍處一菴深。半夜空山萬籟沉。澗水冷冷如欲語。月明牕外和孤吟。</text>
<title>坐石澗上</title>,<text>巖瀉寒泉落翠微。摐金戛玉響天機。偶來靈境難常住。安得幷力剪取歸。</text>
<title>寄呈趙參議 明鼎</title>,<text>每見汶陽壁上詩。怳如琴閣對淸儀。邇來老病無筋力。風詠庭中到亦遲。</text>
<title>寄呈黃參議 景源</title>,<text>病孤出餞酌淸波。瞻望雲霄翹首多。老死窮山知不恨。也蒙高義賞巴歌。</text>
<title>哭韓戚思彦</title>,<text>老失情朋可奈何。空敎白髮淚滂沱。月明巷裏明秋月。誰與此翁同醉歌。</text>
<title>途中</title>,<text>快倒村醪得半醺。不知天色已微曛。溪山處處風光好。滿眼丹楓錦繡文。</text>
<title>讀唐史有感</title>,<text>朝廷治亂驗州郡。前古興亡知後來。讀罷唐書還太息。千秋抱屈幾賢才。</text>
<title>小孫兒苦病。達夜啼號。聽不能寐。偶成一絶。</title>,<text>愁卧寒房徹骨淸。病兒啼送枕邊聱。終宵不寐遲遲曉。牎外猶看月色明。</text>
<title>甲戌立春春祝 在花溪時。有慶科故云云。</title>,<text>陌上黃金嫩滿枝。一溪春事柳先知。東風次第催花信。報道邦家福慶滋。</text>
<title>醴泉宋上舍翼龍不見十五年矣。因兒子觀光。聊寄一絶。以候其存沒。</title>,<text>相思不見十年情。流水冷冷夢裡聲。老病昏昏人事絶。此生何處更逢迎。</text>
<title>賀孫生雄萬經痘 名信杰。孫友爾和之子。</title>,<text>好風吹入謝家春。玉樹玲瓏氣色新。永脫一生奔避患。綵衣從此不離親。</text>
<title>大谷雨中有感</title>,<text>雨中春鳥勸提壺。沽得村醪半日娛。叵耐此時懷抱惡。儉巖山下主人無。</text>
<title>崔生君一新經痘疾。遇於道不識。問之後知戱贈。</title>,<text>相逢馬上不相識。問爾何人何姓名。莫道老翁太昬眊。爾今非復舊崔生。</text>
<title>朱君叔通五十後得參鄕解。赴京時戱贈。</title>,<text>我昔靑衫白髮垂。當時愧被少年嗤。少年今日亦頭白。復有少年應笑之。</text>
<title>嘲孫兄明甫赴擧見屈一絶</title>,<text>墨戰元非老人事。勝之不武敗還羞。何如花社春三月。閒去閒來興味悠。</text>
<title>花溪會飮 二首</title>,<text>花谷花溪花發時。煑花呼酒作花詩。霏霏細雨催絃管。樂事桑楡此最奇。流水桃花三月時。宜琴宜酒更宜詩。三絃迭奏淸吟發。山雨和烟倍一奇。</text>
<title>野行有感 溪邊小花。俗名倭花。兒時採取。較戰爲戱。</title>,<text>曾覊貫闘春花。行傍淸溪坐綠莎。此事卽今難再得。任敎時物自芳華。</text>
<title>久無耕牛。値南草踊貴。出所藏得錢。買一黑牛戱吟。</title>,<text>春寂桃林影久寒。破槽空廐悄相看。南娑借與吹噓力。生出欄邊黑牧丹。</text>
<title>亡子忌日。飮酒有感。</title>,<text>年年此日進朝杯。不是生前獻壽罍。老父渴喉猶一沃。亦知推汝孝心來。</text>
<title>老境遣懷 二首</title>,<text>七尺雖存方寸灰。此翁斯世已泉臺。請君勿復置人數。且向樽前勸一杯。眞吾已死幻身存。只欠床前粉字幡。倘有親朋來吊否。不妨酹酒與招魂。</text>
<title>思歡伯</title>,<text>舊識新知揔杳茫。姓名顔面已遺忘。關心惟有一歡伯。却恨招來無孔方。</text>
<title>借騎欵段。過一村家。卽馬之舊主家也。以其家舊物。特優飼之。感而有題。得二絶。</title>,<text>輕啼慣踏小溪村。驤首高鳴入舊門。一束靑蒭情亦厚。主人猶不棄前恩。馬戀主人人戀馬。相逢猶有舊時情。若能推廣此心去。薄俗澆風可變更。</text>
<title>雨後有感</title>,<text>白水滿溝秧葉長。四隣耒耟一時忙。閒卧此翁獨無事。百年慙愧伐檀章。</text>
<title>聞栗里翁苦毒感。欲往問之。至中途亦感此病。扶歸花溪。聊寄一絶。</title>,<text>出谷初如鸎喚友。倦飛終作鳥還棲。往來因病非因興。莫把花溪比剡溪。</text>
<title>除夜聽歌</title>,<text>嗑然爭笑折楊聲。元是淫哇易溺情。我有至音人不識。無絃琴對醉淵明。</text>
<title>崔友亨仲覽揆日。自西村過訪。吟贈一絶。</title>,<text>看盡秋郊野菊花。夕陽來訪故人家。也知雞黍前期在。酒熟床頭不用賖。</text>
<title>杜陵書堂。次孫明甫韻。</title>,<text>芳醪和菊潤詩腸。馥馥淸香滿一堂。書社自多文會事。肯敎門外草茅荒。</text>
<title>秋郊卽事</title>,<text>秋晩西郊事未休。田原處處種來牟。吾兒亦學樊遲稼。朝出驅牛上壠頭。</text>
<title>路中</title>,<text>少年開口便吟詩。老去無心更搆思。古塔寒林歸去路。等閒看過夕陽時。</text>
<title>龍山書院齋舍落成。次府伯洪公 益三 韻。二首。</title>,<text>殺身非貴貴成仁。見得分明君子人。請看祠前松栢樹。貞姿猶帶大明春。烈烈英風貞武公。至今白日照丹忠。當時亦有關西伯。爲國誠心廵遠同。府伯先祖。以平安伯。亦於丙子亂殉節。</text>
<title>凝川鄭生萊爕。欲質河洛秘訣來訪。留宿一夜。以一絶贈。</title>,<text>看君年貌尙靑春。才氣高明出等倫。莫謾費心河洛數。聖人經訓是通津。</text>
<title>官送新曆。以詩謝之。</title>,<text>何來蓂葉落山家。東閣官梅定放花。始信一方春有脚。却慙無物答年華。</text>
<title>孫明甫以老柳樹見譏戱次</title>,<text>老榦不爲風雨飄。滿身苔蘚錦文饒。夜來高掛天心月。肯羡犧樽費刻雕。</text>
<title>立春日村人送酒</title>,<text>迎春是日到溪臺。春却無形何處來。問柳不言梅不答。忽看春色白村盃。</text>
<title>挽李上舍明卿汝晟 幷序</title>,<text>數年前。與公語大耋之嗟。吾有今去稀年十八年之句。公悵然曰若去十八年猶遠。吾則迫矣奈何。稀年若此。况不及稀年者乎。嗚呼。孰謂此言。便成語讖耶。葬而執紼禮也。偶病不能。聊以數絶。助斥苦之聲。稀年不遠也咨嗟。不及稀年可奈何。當日此言今作讖。那堪回首淚滂沱。浩然亭在永州地。强把永州爲故鄕。今去永州更何適。只餘汾水舊書庄。</text>
<title>挽南正字濟萬</title>,<text>身嬰縗絰欲何之。况有萱堂鶴髮慈。兄弟四人猶侍側。獨將誠孝九原隨。</text>
<title>立春日戱題</title>,<text>一陽生處是春初。未必立春春始噓。可笑世人渾不識。日時還靠曆家書。</text>
<title>初度日 正月十九日</title>,<text>百年三萬六千日。已過二萬四千強。餘日一萬二千弱。從今更得幾流光。</text>
<title>丙寅年爲玉山洞主時。與李戚器彦有唱酬之作。今於休紙軸得之。器彦已作古人。收錄如左。以寓感懷龍湫。用蘓齋韻○二首</title>,<text>踊躍驚湍日夜喧。直疑魚化上龍門。但恐龍亡妖虺入。時噴毒霧洞天昏。亂潒喧處隔塵喧。反聽猶堪塞利門。若向動中求靜軆。一源那得有紛昏。</text>
<title>挽崔生慶星</title>,<text>曾共庭前種菊花。花開獨賞意如何。應知魂魄來遊日。省罷慈闈向我家。</text>
<title>哭栗洞孫丈汝春</title>,<text>我昔少年公已衰。我今老矣公何歸。莫道八十人間壽。一瞬忙忙石火飛。</text>
<title>詠雪</title>,<text>滕六乘時放雪花。須臾委積白嵯峨。喜看盈尺豐年兆。路阻溪南客奈何。</text>
<title>讀南華書十七絶 每首皆用本文一兩句。以託其意。</title>,<text>生寄死歸豈異物。中間哀樂自相從。著戴著封非一姓。楚家公族本同宗。右言死生同歸。莊曰著戴也。著封也。非一也。著戴以有職任而著也。著封以有封邑而著也。雖非一姓。同出公族。喩死生同也。化化萬機若轉輪。鴝爲乾骨馬生人。一受人形何足喜。也知歡養兩情均。右言變化相嬗。莊註鴝乾骨皆虫名。馬人皆草名。歡死也。養生也。六藏四軆遞君臣。何者爲踈何者親。同是吾身有如此。不須分別世間人。右言親疎無常豕零雞癰劑殊宜。爲帝爲臣各一時。貴賤從來隨得失。元非在我有尊卑。右言貴賤在時馬求唐肆馬何有。兎覔枯株兎不還。可笑世間名利子。不知一幸再逢難。右言妄求僥倖膍胲散分殂豆間。各爲全軆一牲看。移非移是元無定。鵠白烏黔卽一般。右言是非無定一室三分寢廟偃。同而異又異而同。世間是是非非事。執一終歸子莫中。右言同異無間世情翻覆古猶今。恩則旋忘㤪也深。可笑蹢閽中夜闘。舟人相對未離岑。右言棄恩結怨一生勤苦費神精。弓冶箕裘欲自明。昭氏皷琴末年載。文兒綸緖竟何成。右言白首窮經郢都回首望冥山。盡日南行不見山。摘埴夜衢多此類。只看人我兩般山。右言背理行事病病從來猶未病。不知其病病難差。看他自是非人者。縱遇軒歧可奈何。右言自過不知演門多毁本非眞。頤朶榮名自爲身。况復無端氷鯉躍。古今天地此何人。右言衒僞售名野人深得田園理。手熟智專心自通。監市履稀下愈况。合將耕稼問村翁。右言農圃智專明月終爲火所焚。九天昏黑夜難分。但看虐焰燒不盡。氷蟾吐水洗烟氛。右言本性不滅隋珠彈雀世爭笑。至寶在身人不知。軀命千金較莫重。胡爲殉物却忘之。右言殉欲志生飛鳥智無意怠如。食人餘緖近人棲。春來秋去誰相害。勝似飢鳶攫乳鷄。右言閒適無欲死牛橫帶坐膠庠。隅喪錐爭甚賈商。神者也應多不齒。幾廻臨水洗羞腸。右言儒林汚衊</text>
<title>偶見放翁詩。語意豪放。諷誦可愛。遂效其體。次其韻。</title>,<text>愁來非天亦非地。只從吾人腔子至。榮期琴上不見愁。三樂歌中愁自避。花前酌酒花作籌。只恐酒盡花事休。此外悠悠都不省。任他人呼我馬牛。[附原韻]春愁茫茫塞天地。我行未到愁先至。滿眼如雲忽復生。尋人似瘧何由避。客來勸我飛觥籌。我笑謂客君罷休。醉自倒醉愁自愁。愁與酒如風馬牛。原韻</text>
<title>挽韓戚思彦</title>,<text>欲題君挽淚先傾。濕盡枯藤字不成。三十餘年相好意。高山無語水無聲。器彦先歸乃沃隨。君今何事又長辭。眼中親友漸看少。我死應無作挽詞。</text>
<title>挽孫生雄萬，英萬兄弟。</title>,<text>吾與若翁情甚好。兩家子弟一家同。我今懷抱難裁抑。懷抱何須問若翁。</text>
<title>次畫虎韻 杜陵權主玉衡。有畵虎留題。</title>,<text>百步威存一幅中。凜然虗壁欲生風。禪房長老如相見。合取歸山作侍童。好相休譏圖畵中。魏公千載有餘風。大人變化誠難測。應視半山如小童。古有一老僧庵居獨坐。人問何無侍者。答曰有之。仍呼大空小空。俄二虎應聲而出。上一絶用此事。王安石短韓琦曰但形相好耳。作畫虎圖以詆之。下一絶用此事。</text>
<title>次退溪先生黃魚韻</title>,<text>春水黃魚來有時。雨暘豊歉自天施。小人朝食不謀夕。那肯前頭問飽飢。</text>
<title>哭孫甥慶大</title>,<text>招魂聲裡又招魂。一死纔收一死存。古所未聞今始見。問天不語鬼無言。</text>
<title>哭鄭甥澐</title>,<text>五十六年亦非夭。最憐生世太嶔崎。三男二女靡依托。泉下應無瞑目時。</text>
<title>虞氏所註杜律。只取七言。尋常不滿於心。妄欲復取五言律以續之。粗有所編次。近得東山先生趙子常所編五言杜律。實獲我心。遂輟其事。因題二絶。</title>,<text>獨取七言遺吾言。漢庭老吏失平反。何人能補長城壞。賴有東山三尺存。虞伯生甞自比漢廷老吏。謂深於法律也。古人有五言長城之說故云。每恨虞生註杜偏。欲收餘馥續前編。此事古人先我獲。自今停筆更忻然。</text>
<title>哭崔府使慶老</title>,<text>八十享年官二品。承家有子身康寧。恩光三代未親覩。何不少留遲一齡。</text>
<title>挽崔戚耳叟</title>,<text>二子泣承遺命日。西行一子未歸時。黃壚山下復誰在。迎拜車前有仲兒。</text>
<title>偶吟 二首○曾於二十年前。夢見朱夫子。受正氣寶釖氣二圖故云。時寓拜里村。</title>,<text>曾受晦翁正氣圖。精誠發處豈欺吾。羲經一部時時讀。自覺身邊邪穢無。龍光夜夜射牛墟。寶劒千年氣有餘。鬼魅見之驚遠遁。旅牕閒對伏羲書。</text>
<title>五月初四日夜。夢至一處。云是永川地。深壑窈窕。有一小院。房室凈甚。棟宇正東向。一先生坐房中。意甚安閒。余乃進謁。就質文義疑難處。見南齋楣間。扁和直山三字。因吟得詩句曰永川來往幾多時。又曰七十今年始見之。未及成篇而覺。遂足成一絶。又以一絶繼其後。</title>,<text>永川來往幾多時。和直山名曾未知。先生許我仙緣在。七十今年始見之。和直山中小院深。幽人閒坐整冠簪。從容一夕論文地。座上春風藹滿襟。</text>
<title>山中吟</title>,<text>來宿僧房喫僧飯。也間煩惱不相關。更無俗物敗人意。長對靑山心自閒。</text>
<title>緇徒節日。晨興拜佛後。爲君祝壽。次及震宮。次及其父母宗族。又設施食於佛前。遍請其祖先亡靈。其爲國爲先之意。亦甚懇至。遂有所感。因題二絶。</title>,<text>先祝君王後祝親。壽呼萬歲又千春。無君無父休相誚。猶勝忘恩背義人。香獨佛前薦飯茶。爲先誠意亦堪嘉。世間多少衣冠子。見此能無愧殺他。</text>
<title>在仙童洞。聞南龍萬 鵬路 司馬榜。吟二絶。</title>,<text>何事旅牎喜眼開。忽聞司馬榜傳來。小名不足爲君賀。聊慰此翁懸望懷。嗣宗曾愛仲容贒。送入西天去採蓮。鄕貢退之未回旆。玉樓長吉已登仙。</text>
<title>挽成文川憲祖</title>,<text>賦鵩東來久別餘。卄年顔面一封書。誰知驛路花開後。壚下山河竟邈如。吾南厄運最仁鄕。梅谷凄凉又竹坊。題挽忽驚添老淚。鳴山消息更堪傷。</text>
<title>贈鄭新恩熺 用晦</title>,<text>早歲才名數上頭。果然一擧踏蓮舟。從知萭里前程遠。桂萼蟾宮次第收。</text>
