<title>謾成一絶</title>,<text>淡靄入眼明。晴嵐覺心洗。終年不厭對。蒼山是舊契。</text>
<title>敬和內舅丹陽紀勝 並序</title>,<text>余嘗聞四郡之勝。丹陽尤勝。而畏約匏繫。足跡未及。往往做仇池之想。是年秋。內舅南厓翁以布袍短驂入丹陽。遍賞諸勝。得詩三十餘首。而歸示余曰在昔英廟庚戌。王考慕軒公爲湖左檢田使。作四郡詩十二首。自况以韋盛山帖。編在集中。可敬而翫也。今余所得雖多。邨舍冗語。不過爲忝先之歸。得無愧乎。余曰不然。慕軒公早歲蜚英。棲屑下僚。則四郡諸作。未必非羇旅愁苦之音。而今翁天放野逸。優遊自在。遇景寫懷。動盈卷軸。其步驟格力。雖不待具眼之評。而所樂之實。何遽不及於先也。旣以此解之。遂拈次若干韻意到者。以資閒中卧遊之興云爾。山空雲萬疊。江靜月千秋。秘籍瑤皇案。淸羾蓬島洲。琪花照瀾漫。玉舃擅風流。莫道遊霞外。高居得一樓。三仙樓雲根宜向俗人慳。削立丹丘第一山。攝衣試陟苔巓坐。絳闕淸風咫尺間。上仙巖迥脫浮埃自作層。巉然幾疊素氊增。老仙好事碁盤足。恰似經營鬼斧曾。中仙巖巖上何年道眼擡。巖神應亦好懷開。改佛爲仙奇遇在。聳他千仞作三魁。素號佛巖。而仙巖。退翁所命也。下仙巖嘉靖絃歌說退陶。丹陽幷享小江皋。三易十圖吾道在。前山蒼翠古今高。丹巖書院屈折江流似往還。峽門餘怒勢漸寬。澄波萬斛歸那處。神物千年宅此間。石鬬銀泓崩雪壯。天開寶鑑拭塵寒。秋晴別有涵源妙。爭照叢叢削玉山。龜潭巖臺迢遞上淸連。道氣蒼凉太始年。笙鶴飄然明月夜。瑤池宴罷降羣仙。降仙臺三島中潭處。高低造化生。月明沉璧影。雲罷聳金精。淨隔桃源面。峭參木假形。當年棲隱子。李公之蕃。棄官隱居于此。 所以視蓬瀛。島潭蒼然石柱兩深根。天作丹丘洞府門。灝氣由來通帝座。巨靈終古掌晨閽。自成漢櫃珍藏意。不犯秦鞭勒立痕。洞闢江山誰得閉。滿空星月吐還呑。石門潭府淸啣在絳霄。山巖何事得名高。萬劫茫然無處問。摩挲半日倚荒皋。舍人巖廣成羨偓又期生。仙籍千秋互重輕。應爲丹陽山水美。同遊臺上便遺名。四仙臺小亭蕭灑客登臨。是處山高水又深。天籟忽然成一闋。虞韶千古有餘音。淸音亭水止雲行軆道心。先生亭子此間深。石面題詩成一幸。後人猶識愛遺音。吳侍郞大益重建是亭。水雲亭</text>
<title>延頸歌 丁亥</title>,<text>月正元日太歲亥。貳軆宸極十六載。八域含生所係望。三宗丕子其責在。大明當天繼照勉。不待陳勉重离卦。奮然下令兩坊僚。痛示中間悠泛悔。紫陽筆削金刀記。日三講義重華內。兩番輪回出直官。亦豫論難乃入對。於休是心保無射。理亂機會照纖芥。鶴禁銅龍崇嚴地。有誰臨文深納誨。大人事業矧無竆。聖謨洋洋地負海。萬化本源澄明術。禹祗湯慄自前代。更願春宮從事斯。蕫正臣工載采采。須臾無死草莽願。竚見至治唐虞再。</text>
<title>泥邨寓中書事</title>,<text>無端呼麴度三春。客苦竆邨著處新。一帶晴川差愜意。源源紺潔滌愁塵。前月寓水回。今月寓是邨。一溪上下故云。三峯花氣武陵春。占得靈皋鏡面新。何必移家城市近。此中眞合避喧塵。自前基址有築云云。余欲移所。與君遊戱共靑春。兩禿居然白髮新。長日欲消談笑裏。剪燈文字不嫌塵。三從汝健所居纔數百武。時往打話。萬古河驪一圈春。考亭圖說牖蒙新。始知一箇消長理。該盡玄黃與刹塵。時看易總目。老農相告正殷春。爲種來牟利鎛新。但怪天公靳好雨。晩風田隴漲黃塵。自秋不雨。徂冬至春。十日田家卧送春。却臨歸去老懷新。林宗一宿猶知處。强把枯毫掃壁塵。</text>
<title>注谷趙上舍戚兄彦儒臨別奉贈</title>,<text>聞說行㫌淹草山。坐失團圝咫尺間。人生每惜逢迎罕。世味應同老去酸。流水十年存沒恨。東風幾日道塗艱。山居寂寞關門夕。感子聯翩一宿還。</text>
<title>兩從叔偕老壽宴詩 並序</title>,<text>往在健陵之世。命三品爵於七十偕老之士。嘉其夫婦壽考之福。足以爲瑞於治世故也。雖然環一國膺是命者。盖僅有之。豈不誠稀且貴哉。余晉陽氏之家上下十五六代。惟文莊公府君曁立齋先生最爲偕老之久。而亦未得同準七十之享。偕老而至七十。不亦難得之甚哉。今者第五叔父七十七歲。叔母七十五歲。第六叔父七十六歲。叔母七十歲。皆蒼顔白髮。康健無恙。斯不亦異且異哉。夫以一國之所罕有。先世之所未得。幸而得之於同堂諸父之親。則喜而慶之也當何如也。且竊惟四代聖王。損益不同。而尙齒養老之典。一而已。故敎成於下。人莫不親其親長其長焉。詩曰爲此春酒。以介眉壽。壽以詩之。所以識其慶也。方今离明普照。成憲是監。則健陵優異之命。安知不在於早晩。而爲子姪者稱觴餙慶。自有先王之敎。是烏可已也。遂以是歲之九月壬戌。略備酒食。以燕樂我諸父諸母。繼之以詩。滄海漭漭日月環。泡花起滅朝暮間。閬苑璇京太荒唐。地上仙子眞驂鸞。鶴髮鮐背鍊形異。烏几鳩筇養神閒。造物參差苦不齊。翁媼居多一身單。簷隙微風受腹悲。晝燭餘光恨命頑。阿叔阿嬸兩兩位。至今如昨結髮歡。廣陵女士延陵氏。赤繩臨晉曼復曼。俱與偕老笑晏晏。缺陷圓滿卽一般。繡彼長眉自蓉城。偉冠皓鬚坐商顔。百年家門初有慶。鄕隣皆說亦罕看。神天扶護不尋常。次第當共回巹盤。是日兕觥爲上壽。觥觥添得年籌還。南極瑞星大如月。海上蟠桃春未闌。聖代壽域冲和氣。收入山家几席安。拜獻歌詩當一觥。但應如陵復如山。</text>
<title>春邸代理慶科志忭</title>,<text>春塘八域士峩巾。咸入儲宮一彀新。日下遙看雲五色。朝廷應得贊襄人。</text>
<title>簡呈草山燕席並序</title>,<text>是歲四月丙寅。再從姪億一上大夫人壽慶。周甲也。在昔丙辰臘月。石坡宗兄亦稱慶於太淑人。于時立齋先生康健在堂。石坡兄兄弟皆無故。億一輩皆兟兟焉。盖我家十餘世初有之慶。而逮至今日。福履之盛。允若丙辰。吾知先世錫類之報。於是發矣。豈但爲億一輩奉觴之慶而已哉。顧山野分離。阻以忌梗。遂呈一律。以替參席之喜。且有祈祝於異日云爾。萱草堂前月正圓。大齡花甲遡辰年。神應祐善津津慶。福不求他世世然。里媼鳩筇爭獻喜。孝厨兕爵備登鮮。滿庭斑彩調床瑟。且待重牢繪畫傳。</text>
<title>溪亭感吟</title>,<text>偶牽幽興叩川扃。蒼柏黃薇擁一亭。惆悵獨來還獨去。底心啼鳥滿空庭。</text>
<title>水碓</title>,<text>高低杵勢藉壬公。玉粒精光造次同。靜立靑山還響答。盈虛消息箇中通。</text>
<title>溪邊卽事</title>,<text>雨後無心步晩洲。偶逢糾笠坐磯頭。風絲欲引濠梁樂。秧馬方馳保介疇。鳥喜新晴啼欵欵。雲迴故壑戀悠悠。須觀逝浪相仍勢。未到滄溟却不休。</text>
<title>邦慶宴</title>,<text>宗祊慶事在殷春。延頸臣民鼓舞均。繼照离明光四隩。攝行堯曆序三辰。貪庸革面烹阿政。貴戚墜心許直綸。起拜邨樽爭獻祝。南山天際碧嶙峋。</text>
<title>內舅詩中。寄意甚遠。復用疑字得二首。</title>,<text>觀書自少不能疑。朱退源流一線危。大雅未聞蔓草日。指南誰導擿冥時。慚非南國知名士。敢擬東家學禮兒。不泯彜天多少覺。草廬漫抱道竆悲。幽人履道坦無疑。超脫塵寰九折危。家法溫恭未墜地。天機澹泊取諧時。晩年雲月騎驢子。到處江湖狎鷺兒。莫歎鴻泥雙蛻跡。東門達觀不曾悲。</text>
<title>奉送石坡宗兄宣陵出肅行</title>,<text>蔭路邇來鮮及鄕。我兄白首始爲郞。四登薦牘承恩點。一謝修門望耿光。嶺棧摩空愁暑雨。漢津從古險瞿塘。離樽莫問行藏事。冷暖審知不待傍。</text>
<title>山泉齋重勘損齋集。次會席韻。</title>,<text>確實先生學。修辭早自明。違時功未措。垂後敎猶行。校墨牕暉轉。硏朱簡帙淸。爲儒斯有的。觀者以矯輕。</text>
<title>諸老臨歸。誦隱侯詩。比余於季章之不知此味。遂次各呈一首。</title>,<text>宜亭頻帳望。泉塾剩幽期。經濟蒔園日。功夫秉燭時。江山餘夢寐。風雨好扶持。界破蠶毫細。斑窺愧不思。右屬南上舍三江何處永。一壑等相期。嶺仕稀今代。山軒話舊時。胷懷同泛愛。冠服每莊持。別後看明月。淸宵起所思。右屬鄭寢郞不作靑雲客。泉林邂逅期。看書依聖軌。代祿占人時。燕服身無力。頹波腳自持。遙遙江浦上。鴈帶歲寒思。右屬鄭持憲</text>
<title>賞淸巖</title>,<text>山回溪轉洞天成。蒼壁還添窈窕情。世外桃源留畏壘。寰中苕霅著名亭。桑麻小屋東西岸。鷗鷺晴沙上下汀。半餉風烟收拾處。塵襟頓覺十分淸。</text>
<title>春日遣懷</title>,<text>春山如畫復如濃。閒坐烟霞太古中。濁酒新詩多少後。直將餘事付蒼空。</text>
<title>立齋集校正會感賦一首</title>,<text>歎息山頹問幾年。緖言惟有若干篇。從來至理毫分處。說與羣蒙燭照然。滿座春風如復侍。印潭秋月是相傳。掃塵一一編摩役。專荷諸公篤慕贒。</text>
<title>端陽日山樓感舊</title>,<text>函席春風客滿樓。十年人事水東流。依舊物華知節序。綠陰紅藥曲欄頭。</text>
<title>五月初九日喜雨</title>,<text>前歲無禾大衆饑。今年又旱麥人萎。邨邨廓落呼庚癸。處處艱辛築堰池。赤魃肆㐫嗟甚𣌑。綠秧移揷柰愆期。上天忽有同雲意。聖祖如臨降澤時。明日是太宗諱辰。 細雨自朝看霡霢。微風從兌引淋漓。均沾得意黃梅子。膏沐如新碧樹枝。稷黍苗穌仍葉茂。女男顔悅又聲怡。更祈三日傾甘霈。恰慰千郊渴望思。</text>
<title>到北庵。和座上韻。</title>,<text>幽期好趁梵宮深。黃鳥聲聲度蔚岑。吾黨耆英皆杖屨。近來佳處在山林。珠篇滿軸寧容腳。簡策盈床合話心。梅雨新晴栴翠滴。不妨隨分送光陰。</text>
<title>拈蕭字聯句 李子木秉鐸。姜參判芝園文擧世綸。姜獻納兢庵公叙世揆。黃上舍白下叔璜潘老。姜參奉穉仁長欽。</title>,<text>武陵春水渡虹橋。更有商顔綺里招。子木。 正値上方梅雨歇。一任長路柳風飄。文擧。 烟雲浩渺疑溟渤。樓閣崢嶸入漢霄。公叙。 嬌滑鸎聲詩在樹。依微鶴夢露餘條。叔璜。 看經塵靜山人遠。採藥雲深道士廖。長欽。 鍾磬通靈僧入定。泓崢生響樂聞韶。儂。 會成眞率休盃酌。句得尋常去琢雕。木。 春後棠花依佛砌。曉來栴火烱禪寮。擧。 荒田蘸麥供晨飯。亂磴穿蘿返夕樵。叙。 應瀹泉根香吐苕。塢添雨色葉抽蕉。璜。 匣中奇氣猶豐劒。物外遐情杳許瓢。長。 香社衣冠稱九老。惠泉風味共參寥。儂。 鴉還古樹天機熟。犢放豐林角勢驕。木。 白雪誰將詩壘敵。黃金盡向酒家銷。擧。 悠悠晩契參仙佛。澹澹交情自齔髫。叙。 流水高山琴撥語。評雲譜石角巾邀。璜。 林泉可樂淹多日。故舊相逢柰此宵。長。 玄草光陰仍濩落。紫芝歌曲任逍遙。儂。 閒中舒嘯牢騷口。高處方伸偃蹇腰。木。 荏䒣風塵悲杜甫。光華日月緬唐堯。擧。 靑山只麽無今古。黃卷犂然過暮朝。叙。 海內知音期歲晏。鏡中華髮共秋蕭。璜。 暮途何用傷離別。餘景相將樂燕超。長。 唱罷驪駒山月晩。北林回首夢迢迢。儂。</text>
<title>北庵會席。次贈李子木。</title>,<text>紫氣東來洛社筵。迎門相笑碧山前。眉毫秀色尋眞日。衣袂勁風秉燭年。自是浮生雲共散。偶然文酒月同圓。了知此後相思夢。只在啼鸎茂樹巓。</text>
<title>行路難</title>,<text>君不見太行之山高且險。世間平地亦有九折棧道盤。又不見江漢之水深且長。出門一步便有瞿塘灩澦灘。人心忌克由相雄。飜雲覆雨須臾間。前日之惠今日讎。喜則家人怒則蠻。甚者㧖吭而撫背。黯然笑中藏鋩寒。睚眦馴致赤族禍。古來幾人興受殘。風波坑塹在在然。不獨朝市名利關。噫彼閭巷嫉妬輩。所爭所競因何端。有時忠信反見疑。許多求疵又索瘢。周道如砥坦坦語。先聖本非欺愚頑。已矣末路難言此。不如斂跡終年對靑山。</text>
<title>謹次西厓集擬古十首韻</title>,<text>古月長在天。浮雲長蔽黑。冥冥沉萬象。難分棘與竹。淸影雖不森。貞心獨未歇。宛入淇澳章。猗猗無今昔。飛鴻杳天末。矰弋本非愁。偶然隨野。暫下稻粱秋。豈意持羅者。隱在林堰周。終然不免害。江蘆爲含羞。東海有巨壑。萬水赴悠悠。崇伯一何愚。欲停不自由。人心亦如水。歸向日夜急。揮之使不納。秦關終古闔。至人心不死。炯然示今人。今人知者鮮。此事堪悲辛。譬如貞觀妙。舒慘雨仍雪。凡民雖不知。天地意自足。靜觀四德運。成就在一木。造化至無私。萬古無巧拙。藐然有身者。不過暫時客。三才焉得參。飢渴徒飮食。不念天運勤。恬憘卧蓬蓽。滔滔負降衷。後人哀後跡。毛者類於走。羽者類於飛。柰何最靈人。貌同心則非。或相刦如盜。或相詐詭隨。叔世但齊刑。設關復設機。可憐容光處。翳翳白日輝。大易示艮象。定位各不遷。隤然下而地。穹然上而天。林林兩間物。莫不由自然。淆風日以降。山川亦改顔。井井淳古道。而不復可尋。倫綱敗欲盡。尊卑迭陵侵。攬時將柰何。志士空悲吟。敗素漫染紫。畫餠未飽眞。夸毗喙喙爭。南國多荊榛。安得鼓芳風。灑灑一煽塵。壯哉廬陵翁。談笑靡然從。鳴鳳逝岐山。夕陽滿萋桐。正氣日銷歇。蠻蜀愧儒林。誰者能反朴。人有寶其心。世界輸一夢。榮悴集紛紛。醉人不識時。天日自朝昏。白黑飜弈棊。輕輊甚行車。王墁眼閱盡。死營無非虛。落落林居子。終年悅隴雲。有歌山響答。有詩鳥能言。裘葛僅庇軆。不願人繡文。素位無得喪。貧賤不須論。明月出前山。瑤琴倚山陰。愛此龍門韻。臨風歎高深。擧世棄古調。自知不諧今。雅譜焉有無。聊以暢胷襟。太平非所策。泠泠坐丘林。</text>
<title>快戮阿瞞詞 並序</title>,<text>莽操懿敦。夫人誅之。然操之潛移漢祚。終逭磔戮。尤千古志士之所共㧖腕者也。近閱大淸一統志。乾隆帝因漕船之至漳河常臭載。橫塞其源而注之他處。按驗作怪之物則有一石槨出焉。剖而視之。署曰征西將軍曹公之柩。黃鬚眞面。藉水銀如生矣。於是乾隆帝亟命建昭烈皇帝廟及諸葛武侯祠於漳河之岸。行刑操屍。以湔當日仗義之遺恨。噫操之滔天之惡。固當伏春秋之鉞。然非乾隆帝扶義尙正之見。烏能快用天討於時移事遠之後。至於如此哉。其擧措之光明。不可以夷狄而小之。故發之歌詠。以備後觀云爾。老瞞包藏革漢心。脅帝遷都權綱攬。分與名香銅雀妓。情狀先入路人覘。最恨漢法不道誅。漏却妖腰西陵窆。蜀井殘炎天無意。六師勞苦祈山險。堂堂帝胄殲兇志。暫按高光太阿劒。偏邦又値將星隕。假彼匈種天位忝。廢興悠悠一千年。志士終然襟淚暗。紫陽筆鉞雖黜魏。奸骨無恙桼燈晻。天道不僭討有罪。金盌忽出漳河坎。沉魄未暇陽侯謀。鄴岡謾勞疑塚掩。可汗奉天赫義怒。日星春秋久干犯。肅肅大漢君臣廟。昭告奸兇厥罪勘。黃鬚鬼秘七尺身。白晝霜刃兩段斬。快洗劉家千古憤。上愜瑤皇下土監。嗚呼夷狄有君也如此。天下奸賊聞之必破膽。</text>
<title>石坡宗兄入處舊第。喜甚賦之。</title>,<text>睽違親戚此孤居。靑眼相看鬢髮疎。六月高樓臨水石。百年情話倚琴書。林間好鳥爭呼喚。隴上閒雲自卷舒。坐了春風賡詠事。至今佳景洞天餘。巢鷰翩翩訪舊居。主人淸夢繞林疎。近城埃𡏖車回轍。滿壑烟嵐案貯書。月印前潭閒裏得。風來空谷倦時舒。聯筇對榻源源事。詎不殘年樂有餘。三庚擁塞夕陽居。可耐癃骸任放疎。山閣最凉眞別界。蔗漿無用古方書。天風不斷憑虛卧。樹露時醒嘯恨舒。腳踏層冰老杜語。好消長日發狂餘。緬憶先生此廣居。範圍咸入遠兼疎。鱣祥潑潑羣蒙室。蛾述循循四子書。月霽無邊濂象靜。風輕近午洛吟舒。人文寂寞今安見。獨有嘉言巨帙餘。歲歲晬盤速近居。孝厨風味不曾疎。壽祈大斗留詩雅。卦協靈籌契易書。蟠海瑤桃應子結。羅庭寶樹占春舒。泡漚過境何須說。情興依前一飽餘。</text>
<title>閱內舅詩藁</title>,<text>南厓書屋素帷寒。雪月風花始得閒。千首詩篇窺寸管。在唐昆仲白香山。</text>
<title>奉送冬至正使柳台 相祚 赴燕京 並叙</title>,<text>自夫夷狄入據中國。裂裳蹈海之恥。固秉彜之天。而士大夫往往屈膝於其庭。特其爲大勢所壓耳。亦復何以哉。今年秋。尙書柳公實膺冬至正使之選。將詣闕啓行事。嶺之人士。相與咨嗟而言曰。人生藐然。生偏邦聘上國。快覩文物之盛。以酬其桑蓬之志。如吳季札晉叔向之倫足矣。以我東國而言。則在昔皇明隆慶間。有若西厓先生當擎函朝天之日。與新安學者叩其所尙。以嚴朱陸之辨。屹然有砥柱障川之力。至被退陶夫子之嘉奬。何其韙哉。今上國不幸爲氊裘毳幕之地。先王禮樂文物。一無可徵。惟山川形勢及宮闕城池之壯。徒發人感慨悲憤之懷而已。則公之爲是役也。旣無足以點檢其學術。所見不過其服左袵言侏𠌯者。爲一時之異觀耳。不亦勞乎。雖然君子之道。無入而不自得。故子思之言曰素夷狄行乎夷狄。盖冠屨倒寘之勢雖甚。在我專對之職則奉幣傳命之間。有不容以彼陋而或忽。且自古使介之重。易受瀆貨之譏。則公之律己淸嚴。固所欽服。而勉勵輔行。操束衆胥。裝槖蕭然。以竣使事。則庶幾乎君子素夷行夷之道。而其有光於老先生淸白傳家之風也爲如何哉。此固吾黨人士之所與拭目而俟者也。抑又有一焉。天地之道。竆則變變則通。今夷狄之稱天王統四海已近數百曆。則可謂數竆理極。而積陰閉塞之餘。必有一陽來復之機矣。公試以覘國之智。得諸在館之日。有以陰雨之備。豫贊籌邊之策。使國勢有恃。則豈但爲誦詩三百專對君命而已哉。玆敢不揆卑賤。竊自附於古人贈言之義。系之以詩。河上樓臺入晩凉。白頭調息芥軒裳。那知上价燕京任。遽出淸朝特旨當。王事敢辭原隰苦。儒冠尙恥道僧行。請看鴨水波濤靜。天地竆陰憶一陽。江漢迷宗二百年。涒灘餘淚北望天。相公今起將皮幣。先輩曾多賦列泉。遼塞高秋衰草外。孤城落日墨祠前。殘年萬里星槎役。好趁春潭泛月船。</text>
<title>送姜啓好遊楓嶽</title>,<text>我聞宇宙間。三十六名山。何事古昔人。金剛獨願觀。僻在海東天下聞。一大怪石叢叢剜。巑岏漭瀁日舂撞。羣山響答宮商環。處處白雲紫霞生。樹樹巢鶴又棲鸞。閬苑仙子述郞徒。乘風弄月斯盤桓。造化逞技如許巧。靈眞窟宅在人寰。前有洪厓後隱李。一筇大放胷次寬。脈絡或尋仁智樂。奇狀或激文章瀾。二者得天陶養出。餘槖尙爲人愛看。夫君亦一豪傑士。腳下萬二千峯巒。也應住杖吟賞處。滌蕩牢騷千古還。本地寬平無一物。任他俗子甘愚頑。健筆收拾風烟歸。素亭物色當添顔。嗟余一生窘如幽囚者。安得隨君蘭佩鳴珊珊。</text>
<title>雲水庵校勘會次座上韻</title>,<text>恭迎諸老聚山門。爲是遺書共理溫。千古窺探羣書閫。一時酬答秀才邨。幽禽囀樹媚芳綠。新雨添溪動活源。故事硏朱何日在。老僧猶說一燈存。立翁嘗爲校正息山集。留連此庵。故末句及之耳。</text>
<title>謹次盧處士野老堂韻 並小序</title>,<text>余嘗過海陽氏履素庄。主人潤叔甫出示野老堂韻曰。此吾野老先祖嘉遯之地也。堂屢易主百餘年。復爲吾有。凡池沼巖石溪山卉木。無非此堂舊物。余復收拾之。欲使先芬不沫。故先爲拙語求和於知舊。子可無一語耶。余作而曰世道衰。孝義之風薄矣。余固不嫺於詞。然子之追述先志可誦也。遂次如左云爾。野老先生隱嶺陽。行人尙識一茅堂。脫屣勳名圖畫閣。岸巾詩酒水雲鄕。浩歌自和靈芝秀。片夢閒通白鷺傍。于今肯構賢仍在。風節千秋不亦光。</text>
<title>國哀篇 五月初六日。孝明世子薨逝。哀不自定。遂作是篇。</title>,<text>昊天降毒禍。前星告忽淪。痛哭復痛哭。千里望西塵。柰何陰隲地。有此鞠匈辰。蟻忱徒結轖。呑聲泚筆陳。恭惟九年秋。篤生我儲贒。流虹繞禁庭。異香濕宮門。傳統三宗丕。垂曆四百緜。係望於是重。助佑荷皇天。寶命基舊甲。鴻休集昌辰。北宸臺駘屛。西陲凱歌臻。嶷嶷四重象。煕煕八域春。所願緝煕學。成就與年新。兩坊下勑令。筆削仰朱贒。古來治亂機。亶欲指掌然。敢知本源功。分明末俗沿。唱罷延頸辭。野葵向陽姸。往年聖倦勤。命代萬機煩。大明繼中天。幽隱畢四垠。百姓瞻戴至。海陬頌仁恩。英斷赫然聞。權綱在公門。甲館長元孫。冊禮擬菊辰。嗚呼天不假。國事漭無津。兩殿寶齡高。餙慶往年前。堂堂千乘養。進豐羅八珍。詞臣獻樂府。海籌添永年。由來日三地。問寢更誰虔。怪底今春夏。灾孽見之先。陰蟾蝕圓月。繁雪揜純乾。大變至此極。杞國忽傾天。圭璧亦無用。周冊美空專。袞冕未恭己。笙鶴倏返眞。萬民懷百身。稽首籲蒼旻。哀哀淚如雨。濕盡縞素巾。但願主上躳。康健護百神。神孫得覆露。重器授千春。靜言向君心。得諸天性根。耕鑿老山樊。暇息是誰恩。幸逢离明世。甘爲祝華民。天乎今已矣。默默拊玆身。</text>
<title>遷居</title>,<text>仙靈一曲最愚山。環抱岡巒結局團。我自溪東爰宅此。不須龜卜百年安。</text>
<title>移築七年。始構小軒。喜題屋壁。</title>,<text>小屋依山峻。溪湍戶外奔。纔通樵牧路。相近鷺鷗羣。得月堪言志。怡雲默送魂。巢林聊自足。閒卧愛吾軒。</text>
<title>山樓敬編立齋集感識 二首</title>,<text>先生當日此樓居。碧草無心滿舊除。梧月淸明留玉色。山雲閑澹像荷裾。言如化雨滋羣品。道闊滄溟納衆渠。歎息人文今寂寞。賸芳惟有草玄書。臨篇如復侍春風。曠世音徽在此中。縷析毫分精立骨。雲行水逝盡從胷。集成一代非阿好。看破千年付至公。人事傷心荒谷口。編摩今日與誰同。</text>
<title>延慶墓祥日志感</title>,<text>素冠還黑瞥然間。笙鶴何山響月殘。䨓哭乾坤風雨曉。九重應復恨千般。</text>
<title>夏日樓居</title>,<text>有樹當簷顔色深。朝陽不得逼濃陰。更喜枝邊碧沼面。白鷗無數自浮沉。急流奔壑勢掀巒。䨓鼓相仍一瞥間。箕翁洗耳還多事。盡日疎欞默對山。環四蒼屛雜檜松。珠璣波浪化工工。向夕烟嵐添紫翠。却疑身在畫圖中。</text>
<title>閱武夷志。敬次櫂歌十首韻。</title>,<text>武夷山水有神靈。六六三三貯得淸。一自晦翁薖軸後。寰區洋溢櫂歌聲。總叙大王峯下始維船。萬壑爭流作巨川。誰踐黃心棧道迥。超然身入紫芝烟。一曲不是朝雲暮雨峯。天然秀出玉娥容。當年壁立持身度。惟遣蒼嵐鎖萬重。二曲飛仙安用濟川船。閣寘巖崖閱歲年。遊人不解昇眞法。石室丹書意獨憐。三曲銀浦支機落此巖。巖花朱紫影𣯶𣯶。唱罷金雞仙女去。獨留杼軸傍寒潭。四曲藏修館宇隱屛深。草木含馨道德林。試看仁智堂顔揭。啓佑羣蒙萬古心。五曲仙巖懸瀑注溪灣。䨓雨何年撼石關。平地桃花開萬樹。時人解道武陵閒。六曲巖聲響答落前灘。鷗鷺尋常睡後看。最愛天壺秋夜月。一輪長印石泉寒。七曲世外雲關石鼓開。深深山擁水仍回。佳景當年黃李後。尋眞能有幾人來。八曲烏石源頭勢曠然。霱雲瓊樹滿晴川。從他一線巖間漏。直到蓬壺萬里天。九曲</text>
<title>次明儒藍智武夷書院韻</title>,<text>斯文天意卽斯存。洞闢乾坤不二門。鋪置烟雲泉石窟。統承洙泗洛伊源。三元正氣無今古。萬劫靑山自曉昏。東海遙遙翹首望。拜稽無路誦微言。</text>
<title>讀胡傳春秋</title>,<text>王綱一解紐。周室竟卑弱。聖人寓權衡。袞鉞森與奪。稱天尊正統。辨夏黜强狄。誅意不少假。所以懼亂賊。躚躚二三子。抽筆聖經翼。浮夸徒長薄。艱險不免刻。堂堂胡文定。曠世獨窺測。剔發義理出。斷例此明白。三桓執魯命。殆哉寄生辟。庚氣集風雹。巢禽來鸜鵒。凜凜履霜戒。不啻律令確。自古衰惡運。諒由失微燭。痛讀仍掩卷。眦淚無端滴。</text>
<title>敬次先祖二十景韻</title>,<text>鄴架山房萬軸豐。當年均爲篆雕功。珍重先謨惟道在。且敎潛翫辨私公。書室臺上高山流水琴。臺前䕺桂白雲陰。羲軒邈矣吾安及。歲晏幽懷寄雅音。懷遠臺石澗泠泠貯得池。五峯環翠蘸來宜。緣渠有本能如許。莫遣淤泥壅片時。五峯塘風霜巖畔結根危。偃蹇蒼髯老益奇。剩抱棟梁堅卧壑。秦封不敢累貞姿。五老臺文章五彩羽爲衣。曾向西岐翽翽飛。千仞歸來何處閟。古臺空峙夕陽微。翔鳳臺怳惚仙鄕路不竆。蒼巖萬丈迥臨空。始知白日飛昇法。只在丹砂幻骨中。羽化巖霜骨方如共手旋。戴山餘勢遠擎天。屹立洞門華表似。幾番遼郭返胎仙。鰲柱石凌虛臺勢絶纖埃。特地璇風滿袖來。盡日飄飄遺世立。人間別界是蓬萊。御風臺碧水潭前碧嶂圍。螺鬟無數鏡中奇。互根至理昭呈處。盡日微風不漾漪。山影潭落落干雲虬聳壑。泠泠成韻瑟鳴空。最憐蒼鬱長洲色。不改貞心凍雪中。萬松洲川上蕭然石作扃。一川風月數間亭。蓼花紅落茅檐雨。閒狎沙鷗不出庭。溪亭石面平臨碧水濱。攝衣堪把一竿綸。當年早識盆魚趣。盡日閒看活潑鱗。垂綸石傅巖起作濟川舟。爲是羣生利涉謀。却向空洲終古泛。應緣當日舍仍休。船巖一面桃源水幾回。芳林春色滿汀開。落花且莫乘流去。恐有漁郞逐爾來。花溆銀浦支機欲繡苔。天孫爲復水中裁。昌黎去後雲裳色。涵得空明璧月來。雲錦石穹巖對峙兩山開。上作松壇絶點埃。時有冠童諷詠樂。依然春服舞雩來。雙壁壇峽邨墟落兩三疎。云是靑山昔所居。吾道漸非兕虎野。不妨來作耦耕沮。靑山邨疊碧層丹巧入神。化工揮灑不孤隣。籠紗半壁還多事。眞面春風自媚人。畫圖巖天遊浩盪卧雲仙。歷盡桑田變海年。偶到玆峯端拱立。滿山風物護無騫。拱仙峯山似瑤屛畫列仙。溪爲曲水許觴傳。回環勢阻仍成洞。今古壺中別界天。水回洞</text>
<title>道院校正立齋集。拈一律呈座間。壬辰</title>,<text>一貫堂中載道書。先生今日儼臨如。鸞鳳威儀把拂處。丹書謨訓撞鍾餘。江潭水靜雲光暎。沙岸風和柳意舒。微言亦有霞亭集。努力纖塵共掃除。</text>
<title>道院會阻雪未赴。次會中韻。</title>,<text>儒鐔近鳴頻。江齋霽景新。摳衣名下彥。秉拂法中人。樓靜遣淸夜。壇高屬小春。山潛違盛席。吟望鬢添銀。</text>
