<title>獨坐巖</title>,<text>獨巖宜獨樂。埋沒幾千秋。遙對公山靜。無人奏水流。</text>
<title>謹次古今賢百梅園韻 二首</title>,<text>屈指今古種梅村。幾回招得處士魂。后山白屋寒可耐。和靖明月夜向昏。千點玉色明道案。百株雪心蘇子園。玉樹深藏晦菴朱。佳實奈擲司馬溫。陶溪靜暇傳三疊。檜淵深處詠朝暾。堪羞陋巷鄙夫廬。一樹槎牙對柴門。時嗅淸香只自愛。歷古高趣敢擬言。誰知酸心巖壑味。用作和羹廟堂尊。我家琴湖江上村。一樹寒梅繞夢魂。月下疎影添詩興。雪中精神拔心昏。堪伍凜凜松菊塢。肯編灼灼桃李園。聲落紅蘂珠貫繹。德合靑條玉潤溫。自來貞姿衝寒雪。不是東皇私燠暾。汚隆羌笛與雲疊。行藏官閣又衡門。試把一枝問出處。一笑還嫌解語言。但願卬友尋眞到。對酌花下文酒尊。</text>
<title>小學贅疑跋辭 次朱子題辭十節韻。</title>,<text>小學之方。日用之常。用之何處。五倫三綱。此一節。言小學之施。涵養八歲。該括萬善。在邇在易。莫顯莫見。此一節。言小學之工。孩提有知。親親長長。敎順自然。學要自強。此一節。言小學之敎。下學做人。上達本天。天卽理也。理在物焉。此一節。言小學之本。三代之隆。如日無蔽。五季之衰。如蓰斯棄。此一節。言小學道廢。天開皇宋。輩出先師。周程培根。楊羅達支。此一節。言小學道興。至我考亭。私淑問對。繼開微言。天地不悖。憂學遺本。編輯此書。提綱挈維。不差不逾。此一節。言始述小學。蒙養聖功。於是爲大。百行古今。六篇內外。其事雖述。其功則初。覺我後輩。此中裕餘。此一節。言小學工夫功效。然猶此書。幾乎廢弛。程氏集說。旣救頹靡。栗翁集註。又多取材。進菴增解。尤絶喧豗。此一節。言小學幾廢而復振。嗟我爲學。老而益墜。晩喜此書。庶見支裔。敢參鄙見。贅疑爲書。非求多前。要貽家謨。此一節。言纂贅疑訓子侄。</text>
<title>輓詞[族孫孝述]</title>,<text>玉京秋露溘埃塵。鳳舞蒼蒼曉色新。勸君更進陽關酒。一閉黃壚無故人。江村進士迥超塵。寒菊瘦梅境與新。詩書孝友潛修力。吾輩人中有幾人。江村進士迥超塵。負笈當年學日新。對山樓裏春風座。會備冠童五六人。江村進士迥超塵。耐久交情白首新。百年山社溪亭約。誰復人間知己人。堪憐往劫與來塵。宿草茫茫不復新。空違孺子生蒭奠。多愧延陵解劒人。</text>
<title>輓詞[李秉殷]</title>,<text>秋風我馬夕。東山水雲中。塊蘓舊臺榭。平安老竹䕺。主人攝儀出。一笑見天衷。爲勞道路長。相憐鬢髮鬆。娓娓語未半。遂及獨菴翁。主人三歎息。逢君復一恫。德容君所愛。吾且語德容。生長楚南石。挺特阜婁松。明珠照短褐。紅霓生蓽蓬。鳳凰龍虎什。早荷師門礱。功名成國子。志業做英雄。希調少人賞。白雪何濛濛。日抱漢陰瓮。經綸付藥櫳。確志穿溜石。硏經透玲瓏。百職在鷄鳴。乾乾夕以終。閨門自成範。遂爲一區幪。竆山歲云暮。相期玉石攻。風斤忽喪質。其如命之竆。吾亦同心者。不覺淚橫縱。平生金石意。形濶神獨融。無限峩洋曲。蕭蕭視南鴻。秖今不盡抱。楸下執徐冬。六載遂千古。玆行愈塡胷。獨與穉善老。夜夜月朦朧。嗚呼勿復陳。使我中心舂。</text>
<title>輓詞[族兄永鎭]</title>,<text>同遊文墨自童年。蕭寺楸齋共後前。歲暮江湖相愛篤。逢場每惜髩毛鮮。着意精專四子書。差強見得辨疑餘。自家期待寧徒爾。不與尋常俗士居。風雪龜巖共轉迴。與君盟約歲寒隈。如何此日平川會。獨不參看入地催。獨巖林樹晩蕭森。閒雅儀容更莫尋。萬事如今都已已。不堪衰淚自盈襟。</text>
<title>輓詞[族弟宅鎭]</title>,<text>天降斯人若有爲。毓金孕玉禀奇姿。試觀日用彝倫上。百行源頭是孝思。尋源漆水上愚山。門路昭昭闢鍵關。篤信斯文蹈實地。身腴心富自安嫺。自古賢人多運否。安豐長隱邵南名。干㫌未及丘園裏。世路終難陟太行。數䕺梧竹獨巖臺。此是吾公有意栽。鳳舞無期人亦去。也敎魂夢久徘徊。牙琴絃絶不成聲。山水精神送遠情。病卧寒床違執紼。相逢後約寄玆行。</text>
<title>輓詞[李文煥]</title>,<text>名同蓮籍德爲隣。畏友平生有若人。秩秩威儀多士座。循循雅飭自家身。庭傳詩禮昆謨裕。案貯圖書學力眞。鳳舞亭空鷄夢曉。依然樑月舊精神。</text>
<title>輓詞[都宇珪]</title>,<text>溫潤其心敬愼儀。六旬無日不孜孜。瓊章爲發前儒蘊。格說推開後學疑。花竹成行宜杖屨。圖書滿壁整襟褵。如吾何幸蒙殊眷。四十年今依仰之。細筭人世事。天心未可知。爲仁終不壽。作善亦難期。前春黌舍別。安知千古訣。佇立公山路。悽悽對寒月。</text>
<title>輓詞[孫廷煥]</title>,<text>早遊立老門。晩築公山室。好學平生志。視今誰與匹。以心不以面。托契似君無。慟矣今何去。吾生亦甚孤。</text>
<title>輓詞[成鎭敎]</title>,<text>司馬聯襟二十年。席珍江北數君先。文章行義儒林匠。言論風儀學海仙。身世兩忘心獨好。起居相間夢長懸。平生積力經書箚。來世應師鳳舞賢。</text>
<title>輓詞[孫養修]</title>,<text>天牖羣蒙幸不遺。山南橫出一枝師。無端枉費平生志。未暇受書獨受知。僬僥擔子脊樑勍。暮讀晨祠老益誠。可惜壽州諸刺史。薦中終沒孝慈名。兼善工夫物我無。前詩寄送漢江桴。如今庶見昇平再。韻八哀詞百感紆。</text>
<title>輓詞[門生金錫欽]</title>,<text>鳳亭深處闢緇帷。道德文章世所推。國子先生開後學。嶠南多士得賢師。親陪杖屨誠非懈。身絆孤𡞦歲與馳。萬緖難陳詩數句。但將涕淚哭吾私。</text>
<title>輓詞[金斗南]</title>,<text>寒潭風月影沉沉。中有深藏不市金。湖洛諸生空白首。荊湘多士淚靑襟。亭鳳迎賓何况味。江鷗無主若愁心。三旬桂院函筵上。瓊韻錚然尙在今。</text>
<title>輓詞[具性恒]</title>,<text>哭公今日淚。同志又同年。雅望先師許。眞工後學傳。名何終上舍。孝可乃歸全。泉下應無憾。兒孫摠克賢。</text>
<title>輓詞[金時德]</title>,<text>獨巖崔上舍。吾黨之好學者也。近來學問之弊。以其論議。互相長短。而公自謂中立。優遊於西南。折衷其要領。故其學益精詳。八公琴湖之間。其俗貿貿。而卽今談詩而說禮者。不問可知爲公之弟子也。天之生此人若有意。而終身坎軻。齎志沒地者抑何也。粤在壬午夏。公以新榜進士。歷拜王考于梅湖寓舍。王考款曲而言曰吾之切戚。有此君子人也。因使不肖輩指公爲師表。而地步相左。未得源源講討。轉頭之間。居然已三十年前事。而公又作地下修文郞。萬事已矣。吾黨之小子。於何考德而取質焉。嗚呼痛哉。嗚呼惜哉。大嶺磅礴地。公生毓其精。文章是餘事。節行自修誠。早學愚翁門。遷谷出幽鶯。晩遊梅老庭。京洛菀有聲。木榻當膝穿。太極在躳淸。可使立於朝。束帶賓客迎。天何降美質。功名只小成。噫彼上舍宅。歲暮瑤琴鳴。寤寐歌考槃。聖代遺逸氓。所以三長筆。重歎附驥行。未做蠔荔會。每切雲樹情。願得旬日暇。消我鄙吝萌。鬼伯椓賢士。靑山擧丹㫌。昏衢秉燭心。鬱鬱入佳城。菑畬經訓大。留與子孫耕。陋巷春風古。空潭秋月明。峩洋絃斷絶。獨鳥啼嚶嚶。虛把蔡邕銘。悵望徐君塋。傷今拊疇昔。涕淚悲縱橫。</text>
<title>輓詞[全致郁]</title>,<text>司馬非公榮。爲親壽暮齡。述蛾辭不獲。臯比掇還成。早知砥柱恃。豈意屋樑傾。後學嗟無祿。遺經誰講明。</text>
<title>輓詞[具慶祖]</title>,<text>司馬老僊舞鳳菴。那知今日駕靈驂。文章事業傾江左。孝友風聲擅斗南。敎訓兒孫明義理。逢迎賓客討經談。惜哉未遂平生志。吾黨人中淚共含。</text>
<title>輓詞[南大坤]</title>,<text>司馬高名鳳舞東。一心誠敬自家工。經綸大著施爲上。文學深推講論中。飮燕吾鄕觀古禮。修齊一室仰遺風。凄霜寒雪冬之夜。巖獨崔嵬寂若空。</text>
<title>輓詞[曺象奎]</title>,<text>眞儒從古淑諸人。漆室愚山道義隣。蓮榜功名餘事業。槐壇亭榭驗經綸。昏衢曙燭明來學。陋巷簞瓢樂素貧。天不假之公數歲。轝丁亦憾九原晨。</text>
<title>輓詞[朴玉鉉]</title>,<text>小少工夫着脚牢。立翁門下鑄羣髦。登庠雖早非求進。薦剡何榮竟自鞱。遺案頭經宜翼燕。盖棺前事但心勞。凄凉鳳舞山陽月。留照空齋也自高。</text>
<title>輓詞[李以祜]</title>,<text>讀罷秋燈學士篇。山南今又葬公賢。楊家幸托琴書子。尙債猶餘丱角年。大器小成初志失。古人今見本心全。百年未拭龍亡淚。誰復林泉續草玄。</text>
