<title>爲屋</title>,<text>爲屋不加茅。雨暘俱可畏。今朝覆其半。天日有顯晦。</text>
<title>索麻</title>,<text>閒居無事索麻頭。日計雖微月計優。始若無端難下手。終能成緖漸登鉤。頻添細尾思防瘠。屢按高根欲去疣。堅坐耐煩方有得。進由吾進退吾由。</text>
<title>過龍山有感</title>,<text>柳巷花階半是非。郊頭住馬思依依。荒墟日暮雲猶在。秋樹風高葉正稀。民戶盡隨官卒去。野堂全入草煙微。傍人莫道沈吟久。前度郞君十載歸。</text>
<title>贈黃龍五 壽一</title>,<text>此地來遊十載垂。相逢不覺鬢毛衰。高談禮義君猶健。默念存亡我最悲。楓樹正酣前夜雨。菊花開滿昔年枝。莫辭達曙慇懃語。明日東南又別離。</text>
<title>川上巖。謹呈密庵先生。</title>,<text>求田問舍度重灣。微逕逶迤亂樹間。危石迥看仙掌屹。澄江杳與客心閒。民多朴古堪移屋。地選淸幽欲買山。但使一生陪杖屨。殘年喫飯不須關。</text>
<title>晉陽行。次洪聖伯▣▣韻。</title>,<text>鄕思旅况悔玆遊。夜榻寒霜入弊裘。早歲休科知有命。豐年艱食愧無謀。頻嘗世味人情見。默念歸期客日悠。明發西行又百里。倦僮羸馬卻生愁。</text>
<title>尋德川書院</title>,<text>仙路迢迢一夢遊。汀洲尋勝且淹留。天涯節序逢人日。海上雲山近客樓。高躅幾回扶濁世。塵心耐可洗淸流。通泉百載無消息。誰向沙頭更繫舟。院前有崔徵士洗心亭</text>
<title>思歸</title>,<text>迂拙端爲智者非。他鄕旅食遠慈闈。身同候鴈隨陽至。魂入歸雲向北飛。邃峽逋民皆鼠竄。幽庵殘釋只鶉衣。僕夫莫恨空垂槖。萬計無如趁早歸。</text>
<title>次申國叟除夜述懷韻</title>,<text>方丈山中逢故人。金沙界裏見陽春。劇談動座天將曉。歸馬穿雲日已申。壯志欲隨寒序變。年光暗與客懷新。孤雲返照重回首。愁殺斑衣落海濱。</text>
<title>次眞珠潭韻 潭在方丈山中。金處士聖運所居。</title>,<text>淸潭垂釣坐雲邊。知子風期不偶然。䧺略欲追先輩後。劇談無讓貴人前。巖如馴虎爭迎客。水學靑龍散入淵。會向此中分一半。共君高卧度殘年。</text>
<title>贈申國叟求和</title>,<text>方丈尋仙苦恨遲。山中一會有前期。殊方逆旅逢佳友。古寺新春覓好詩。殘臘已隨燈影盡。陽和先向酒杯知。莫辭終日慇懃話。一出人間成別離。</text>
<title>茶山道中</title>,<text>黃花初發客南征。白水靑山箇箇淸。獨鳥不知何處向。孤舟似若待人橫。危亭對遠環脩竹。疊巘浮空有破營。此去奇觀須盡記。明朝且入晉陽城。</text>
<title>登矗石樓</title>,<text>江上高樓近碧空。海門斜日起悲風。孤城壯迹山河在。雙廟忠魂祭祀同。磊落已能成氣節。艱危方信仗豪雄。于今聖代無爭伐。長使煙波屬釣翁。</text>
<title>矗石樓。次板上韻。</title>,<text>形勝南州第一區。百年陳迹有高樓。詩傳三士孤忠在。水帶羣雄遺恨流。南浦日高兵坌散。西山秋盡海雲浮。遊觀會有供吟處。風動蘆花雪滿洲。</text>
<title>伯父重牢宴。次諸公韻。</title>,<text>蟠桃醉暈上緋衣。朝日玲瓏映壽闈。六丑正當冬至節。雙星重耀七辰輝。香生賓席寒威伏。春入瓊漿夜漏稀。復有歌詩傳勝事。應知此樂世無幾。</text>
<title>泗濱。贈別權一甫。</title>,<text>尋眞一路下人寰。玉溜仙亭夢裏閒。僧帶暮煙歸泗水。客乘疎雨入廬山。風流最說孤吟後。懷抱相傾一笑間。更待剡溪乘興夜。與君攜手雪中還。</text>
<title>次權府伯 以鎭 西岳會韻</title>,<text>百尺危樓映樹梢。東臨絶壑有平郊。江盤大陸龍將隱。石戴高梧鳳欲巢。目力遠隨千里盡。胷懷直欲八荒包。玉京羣帝無相識。頭上天門不可敲。</text>
<title>過錦陽草堂有感</title>,<text>百世儒宗自一家。居民閒說舊繁華。煙浮野外參差樹。春到階前寂寞花。乳鷰初歸人已古。羸驂虛過路猶斜。新阡老屋傷心處。回首東風淚袖遮。</text>
<title>次權一甫排雲錄韻 癸卯</title>,<text>伏閤累日不徹。時輩以原疏中彼字爲咎。一日夜夢。拜先師。爲解此意頗詳。旣覺怵惕不能寐。朝則一甫。示近體二首。次其韻以志異。龍門消息蝶爲因。函丈從容侍燕申。文字丁寧開滯晦。神明無乃助昭伸。新王聖德追先志。時宰公心異古人。料理血封仍待曙。子規何事哭殘春。物議。或以爲不如早歸。故末句及之。誰將全疏拈單辭。忠悃不章謗毁隨。要以寸誠伸大義。敢將公議負明時。花邊巧鳥春相和。天際輕陰暮更垂。自有蒼穹監在上。驕人無用太橫馳。</text>
<title>陶淵會示諸弟</title>,<text>水落山高沙岸迴。巖頭拄杖聽驚䨓。粧紅錦樹催詩立。撥白銀鱗趁酒來。宇宙百年人幾往。煙霞一域眼重開。幸因舊約成佳會。爲勸諸君各盡杯。</text>
<title>觀漲</title>,<text>江村雨後忽奇觀。天地中間一巨瀾。浩蕩已能恢眼界。登臨亦自暢心官。驚飛鴈鴨移棲急。悵望舟槎得濟難。島沒壑平看欲盡。嵬然不拔獨前巒。</text>
<title>次再從姪退甫 樂行 除夜韻</title>,<text>今宵一會幸無魔。玉樹䕺蘭侈我家。世味已從杯酒散。年光暗逐鬢毛加。好將笑語酬佳節。爲唱詩歌償物華。秉燭桃園眞樂事。不妨扶醉影攲斜。</text>
<title>白雲亭。伏次板上韻。</title>,<text>閒愁迢遞倚欄頭。南北奇觀盡一眸。天際斜紅殘照斂。鏡中浮碧亂峯稠。幸逢聖代千年會。偶得全家半日休。畫裏樓臺雲裏犬。行人疑我化仙劉。</text>
<title>次巴山倅柳允卿 升鉉 韻二首</title>,<text>天敎百里屬仁矦。夢裏三刀驗得州。鸞鳳豈宜棲在棘。鷹鸇應不氣橫秋。時來始可知虞詡。卧處何須憶少游。北極迢迢南紀遠。知君頻上望京樓。千首詩輕萬戶矦。君今騎鶴下楊州。治功正待三年化。物色方當八月秋。瘴海炎烝如爽界。風塵湖海任浮游。應知淸政多閒暇。一部絃歌擁小樓。</text>
<title>呈巴山倅</title>,<text>淸淨家風鎭一鄕。使君眞是古循良。牛毛已除應多暇。馬骨雖高自不妨。廛市無征來販賈。官倉捐俸惠流亡。紛紛俗吏休言利。三樹餘陰滿袖凉。</text>
<title>陶淵講會拈韻</title>,<text>我家尙有舊風流。貽厥當年實遠謀。樂事正當新日月。諸郞俱是盛春秋。橫經試閱三旬對。擧酒聊成一日遊。山影欲斜餘興在。淸歌緩舞更淹留。</text>
<title>歸來亭船遊。次地主 黃晸 韻。</title>,<text>長城一面水縈迴。叩枻新秋興未裁。風引篴聲何處落。天敎月色此時來。名亭偶得羣賢至。浮世仍成一笑開。生老太平逢此樂。怳疑身世入春臺。</text>
<title>司馬宴。次府伯韻。</title>,<text>東閣勤憂體旰宵。暫從衿佩一逍遙。春前暖日明官路。雪後寒梅動灞橋。北海開樽邀上客。西山乘興御輕貂。與民自是昇平曲。喜聽絃歌咽半霄。與民樂曲名</text>
<title>八月旣望。與諸友約泛月于五老峯下。自龜溪赴會。馬上口占。</title>,<text>明月今宵最一年。遠隨良友過前川。廬山秀色爭秋氣。浙水寒光斂夕煙。浮世幾時能寄客。名區此地可尋仙。武陵流水成陳迹。怊悵無人共上船。</text>
<title>次柳同知 宗澤 壽席韻</title>,<text>邦家餘慶到巖門。紅帶緋袍摠是恩。白日低垂華胥國。靑雲自繞紫芝園。山含道氣臨歌席。酒帶春光入賀樽。此會堂中凡幾度。笑看東海石生痕。</text>
<title>次觀行堂移竹韻</title>,<text>聞君移竹小軒東。庭下森森綠玉䕺。觀行無如承舊業。瞻猗端合著新功。貞根耐可爭寒雪。疎葉還能引遠風。從此籜龍應日長。免敎冤訴玉川翁。</text>
<title>次霞堂韻</title>,<text>樓下春光不見湄。上公居處實雄規。西山疊嶂浮雲外。南浦孤帆細雨時。富貴百年專寵樂。勳名一代被聲詩。時淸事少身猶健。驢背閒情景物宜。</text>
<title>竹溪七夕。夜坐有感。</title>,<text>梧葉知秋斗轉杓。拓窻無語到中宵。淸風入室如相約。明月隨人不待招。京邸夢牽雲杳杳。鄕園魂往路迢迢。雙星莫恨天恩小。會向年來更上橋。</text>
<title>辛酉四月。與朴懷英有陶淵之約。及懷英來。我病不赴。且阻水。懷英寄詩而歸。步其韻以謝。</title>,<text>陶淵好會久心懸。一水如何隔杳然。以我不能尋舊約。敎君獨自領風煙。月臨滄海猶牽興。詩到靑山忽破眠。訪舊尋眞他日事。聞來更覺意翩翩。</text>
<title>朴見卿 龍相 懷英寄長律。未及次謝而見卿先逝。遂慟恨。追步其韻。寄懷英。</title>,<text>親朋有約不辭難。遂得東遊數日歡。南浦日高初下榻。西門酒煖更停鞍。飄零詩句人何處。湖海風流夢已闌。追和弇州千古恨。知君同我淚中看。用王弇州追答滇南舊札。以悲子相事。</text>
<title>朴懷英夢與見卿酬唱如平日。感吟見寄。遂次其韻。</title>,<text>傷心不忍到城西。花竹相依玉露啼。往事已從春水逝。歸魂不隔夜臺迷。笛中哀怨空相和。壚上靑樽更未攜。死別生離無限恨。詩篇聊復爲君題。</text>
<title>陶淵。次李昚節 仁復 姜蕙圃 檏 韻。</title>,<text>雙鳥鳴聲絶古今。瓊䨓詩韻更高深。淸歡共做遊仙約。曠感偏多蹈海心。語到驚人皆好句。情因慨世輒悲吟。留篇助得遺墟色。千後何人繼此尋。</text>
<title>用前韻。言志。</title>,<text>十世名亭傳到今。來登每覺愴懷深。軒臨高嶼雲糚面。門對淸潭月印心。孤鶴巢松誰更伴。臥龍臨瀑獨長吟。藏修匪爲閒追逐。須向眞源取次尋。</text>
<title>復用前韻。咏精舍前香木。</title>,<text>卅載勤培以至今。暗香浮動葉初深。經冬不改凌霜色。倒地無忘向上心。月出淸陰連島影。風來疎韻和松吟。憐渠亦是遺墟物。爲護芬芳數往尋。</text>
<title>水砧</title>,<text>虛能招滿起還僵。世道升沉此可方。抱甕誰歎煩桔汲。聚沙堪笑唱籌量。功因灌導收精米。聲續嗷嘈撼道場。遊食山僧休手腳。砧頭閒坐負朝陽。</text>
<title>杜谷洪先生賜祭後書懷</title>,<text>太白山深東海湄。大明天下有男兒。一聯好物人皆誦。千載高名世共知。聖主特嘉淸士節。近臣來祭逸民祠。吾家亦有崇禎石。看罷儀文感淚垂。先生嘗有詩曰。大明天下無家客。太白山中有髮僧。古人以一句單傳。謂之一聯好物。</text>
<title>送柳用賓之任鏡城</title>,<text>磨天嶺路聽凋顔。危棧連雲亂樹間。君去不知何日到。我衰惟願及時還。異鄕風土鄰胡地。孤館音書隔故山。叱御驅車臣職在。元方曾到鬼門關。</text>
<title>次柳用賓咏雞韻</title>,<text>豪俠相隨遍國都。文章於汝一身俱。聞聲夢罷齊宮后。連翼從成六國蘓。打去呼朱稱本主。烹來泣婦愧尊姑。千雛一鳳誰題品。鳧鴨依然是僕奴。</text>
<title>次李汝集溪亭韻</title>,<text>聞君拔宅入林遷。住在靑溪白石邊。分外功名忘已久。閒中耕鑿樂堪專。谷雲風送千峯雨。岸樹春浮遠市烟。有酒有朋隨所好。無思無慮守吾天。</text>
<title>松石庵會。次峩洋樓韻。</title>,<text>虛樓宜詠復宜琴。耐可攜朋暇日臨。取適何妨山味薄。爲歡不厭酒杯深。雨過遠壑生嵐氣。月滿空庭散樹陰。境寂人稀塵事少。且須終夜細論襟。</text>
<title>陶淵。次敬伯韻。</title>,<text>喜君詩律似陰何。風雨紛紛紙面斜。問酒行尋田父宅。攜經時到羽人家。好期不負連枝會。嘉節重回犯斗槎。大塊假文秋假景。滿山楓葉勝於花。</text>
<title>次柳台彥月會堂韻</title>,<text>舊宅重修月會成。堂中未到已聞名。仲塗世敎彝倫重。公綽家猷禮法明。花樹一園人接袂。桑麻十里屋連甍。生來不識睽離恨。諧笑團圝到百齡。</text>
<title>鳳凰寺慶老會。次百拙庵 柳㮨 韻。</title>,<text>倩僕騎牛舊洞尋。萬樹陰裏鳥和吟。逢僧各道閒中味。見友相論老後心。樂事正宜山日永。朋情不厭酒杯深。昔人感係渾如此。留得餘芬揭支林。</text>
<title>自歎</title>,<text>昨日靑春今日翁。居然頭髮已童童。風流頓謝毛錐業。筋力全須木佐功。已斷身名違世態。寧將脩短問天工。右軍自有溪山勝。樂處生涯我始終。</text>
<title>敬次先祖太淸樓韻</title>,<text>行穿九曲度重淵。絶俗樓居便是仙。遼鶴不來知幾日。濠魚爲樂又今年。奇巖矗矗尋過百。蒼檜亭亭壽閱千。名揭太淸非爾僭。登臨可以手擎天。</text>
<title>次金公儀 式萬 梨花洞韻</title>,<text>桃源一面隔風埃。地僻神慳閱怯灰。我欲行尋盤谷去。君能先作逸民來。山居自有頭陁氣。氓俗應無物色猜。會待他時分一半。共將雲耒踏蒼苔。</text>
<title>留贈振伯</title>,<text>客裏流光到鬢邊。夜深燈火白山前。異鄕心事逢元日。滄海離愁屬暮年。臘氣已從殘雪退。陽和欲待曉風旋。遙看北斗添佳色。明日天門禮玉仙。</text>
<title>次柳允卿慵窩韻</title>,<text>起整衣冠強理慵。急趨君命佩琮琮。好看荀路飛雙鵠。爭說蘓庭屹兩峯。出處各殊遠志草。襟期共討歲寒松。可憐南海三遷客。何事明時不見容。</text>
<title>次支若▣▣韻</title>,<text>聖主憂民出諫官。府中無事里閭閒。夜眠吠狗朝仍卧。晨往耕夫暮始還。三月仁聲深蔀屋。一時絃誦動儒關。州人聚首私相謂。卻恐陶翁憶故山。</text>
<title>伏次仙遊亭板上韻</title>,<text>採藥山前開洞府。仙翁去後有遺庵。䨓騰巨壑潛蛟動。霧歇深松隱豹眈。遊士賞心忘屐履。詩人搜勝費藤縑。隔溪相望崇禎石。三絶傳稱嶺以南。</text>
<title>謹次藥峯先祖韻</title>,<text>玆亭卜地本淸幽。灝氣靈風不待秋。山水百年留勝賞。屐筇重趼惹閒愁。龍將雨意歸深洞。鶴帶霞光落遠丘。白首孱孫空悵望。居僧休說復仙遊。</text>
<title>次竹隱堂韻</title>,<text>世味無竆分有涯。多君務實不爲華。時穿蠟屐尋幽壑。閒把漁竿下晩沙。錦里不貧收芋栗。陶翁寓趣道桑麻。榮名渾是浮雲外。得失於身何損加。</text>
<title>作光陽書感卽事錄寄</title>,<text>寥寥深巷客來稀。風到虛堂午睡微。老婦摘靑謀夜食。少娘治素作秋衣。年光水駛身空老。世事雲翻志已違。料理一心多少事。閉門無語到斜暉。</text>
<title>次從姪宇漢蟾湖酬唱韻二首</title>,<text>傷心不忍問前期。關嶺橫天日欲垂。敢把空言招物議。難將經術答淸時。音書海嶽經年到。樽酒江湖十日隨。賢路不應終絶塞。久看天道有盈虧。殊方一會杳難期。天際輕雲翳日垂。鞍馬正當殘臘節。舟人遲發漲潮時。靑山有分君應隱。白首多情我亦隨。可笑平生詩酒興。三分動得七分虧。</text>
<title>廬江。敬次退陶先生汎月濯纓潭韻。</title>,<text>夜到廬江江水淸。廬山秀色更分明。幸同仙侶蘭舟汎。猶想蒼崖鐵笛橫。野酌相酬無俗客。山歌互發有閒情。歸來便覺風流足。爲與題詩繼舊聲。</text>
<title>夜話疊前韻</title>,<text>庭院深深春氣淸。向人燈火照心明。煙霞沈壁山容近。笑語移更斗柄橫。開卷尙論千世事。擧杯聊敍十年情。靑天五老皆詩料。助得諸君擲地聲。</text>
<title>次採藥洞幽居韻三首</title>,<text>聞君酒熟遠尋山。嶽色泉聲屐履間。渡盡淸灣還巨瀑。行穿複嶺又重關。雪消堦藥潛抽葉。春到巖花欲破顔。門外白雲藏洞府。世人那識此中閒。江北江南皆好山。羡君移屋住此間。升沈有數安天分。顚蹶無聞不我關。與飮爲歡惟皎月。相看不厭是孱顔。武陵豈必神仙宅。自有庵中十分閒。採藥登山遂在山。山中卜築數三間。烹蔘爲饌朮爲食。因石作臺松作關。野老款門是好意。溪翁爭席俱歡顔。從今已往百年內。事事無非閒又閒。</text>
<title>次䨓澤亭重修韻</title>,<text>先生龍卧閟雲䨓。海上煙霞此地開。疊石奔流侵几冷。亂峯晴影入簾堆。一時賢弟同留躅。千古何人更上臺。惟有白頭門下士。向人垂涕說追陪。右䨓澤跳珠濺玉互爭流。天與賢豪辦勝遊。已分巖崖藏老屋。誰憐篋櫝有遺球。機心淨盡山如洗。遠客來多逕不幽。莫說孝廚無別味。獻魚時有水中鷗。右玉川蔚嶺西來復北環。其中乃是葛川灣。閒雲在壑何曾出。幽鳥棲林不待還。興繞三春風咏地。心遊千古聖賢間。桑田海水迷茫裏。松桂蒼蒼自故山。右葛川山林高躅有餘淸。人去亭空草樹平。石面新開鑱巨額。茅椽重理想遐情。溪雲自繞花前濕。海月還從竹裏生。不用丹靑傳絶境。羣賢活畫有新聲。右重修</text>
<title>次佳野草堂韻</title>,<text>芳躅分明短幅間。先生遺業未全寒。瓊詞錯落看如昨。彩墨淋漓尙未乾。人事百年同逝水。儒風此日仰高山。雲仍自有傳家責。莫把靑春過等閒。</text>
<title>廬江。次金國均韻二首。</title>,<text>擊柁南湖光影浮。中流一葉弄輕舟。靑山秀出千尋色。紅樹糚成兩岸秋。惠遠不來雲杳杳。盧敖已去日悠悠。通泉一句留餘興。百世何人繼此遊。襟懷此夜共君披。不謂耄年得一奇。世味無如千日睡。浮生定有百年期。莫言苦海升沈事。且盡淸樽多少巵。後約丁寧陶社在。臨歧何用更躕踟。</text>
<title>秋夕日。與老伴打酒壺隱亭。</title>,<text>寥落秋懷爲暫開。孤亭近在澗邊臺。三杯濁酒從心至。兩箇衰翁如約來。交態漸隨人事變。流光暗逐物華催。湘潭有客空相憶。但覺衰膓日九廻。</text>
<title>次李天祥韻。贈權一甫。</title>,<text>離別十年今始同。名亭歌酒對衰翁。月明人意千峯裏。霜宿秋聲亂樹中。臺上攜琴調鶴譜。潭邊移席俯龍宮。於焉勝集伊誰力。多賀諸君舊澤蒙。</text>
<title>泛舟五老峯下。有懷同志諸賢。</title>,<text>月小天高秋水淸。棹歌蘆笛倚空明。酒如看竹何論主。山似迎人卻有情。紅影染衣楓葉晩。寒聲激瀨鷺羣驚。岐山玄圃空回首。如此奇遊不合幷。岐山。指洞主。玄圃。指墨洞。</text>
<title>寄孫兒 寓松庵時</title>,<text>隆寒奪序雪交侵。恨汝相離待汝深。萬事廢興皆以我。一身管攝摠由心。遠途必用安舒到。墜緖宜從次第尋。盛壯百年難再得。莫敎遊豫負斯今。</text>
<title>送眉上人。寄贈梁山使君權一甫。</title>,<text>病久渾忘節序推。朝來忽覺氣悽悲。世情漸與山容淡。詩興全隨月影。錦石秋花誰比數。水聲松色謾參差。故人一別成千里。替送高僧寄所思。</text>
<title>壺隱亭。伏次藥峯先祖韻。</title>,<text>丘園隱德聳儒林。一片遺亭對柳陰。至行有光名府乘。敦風宜洗薄夫心。當時自分鞱良玉。今世人誰識渾金。獨倚虛窻成悵望。夜來惟有月華侵。</text>
<title>太守尹公 光紹 設鄕飮禮于庠門之外。環庠門而觀者三千七百餘人。禮旣畢。相顧而言曰。昔寒岡鄭先生莅此府行此禮。于後二百餘年。復覩此儀。甚盛事也。不錄無以示後。遂列書執事諸人及觀光者姓名。又各爲歌詩附其後。以爲吾州故事。</title>,<text>由來禮樂待人行。曉闢庠門瑞日明。賓介登筵皆選勝。衿紳擁坐摠知名。秋風亦帶陽和氣。蚩俗猶含悅豫情。始信牛刀期月化。能令遐裔起深誠。</text>
<title>龜潭夜話。謹次退陶先生精一齋韻。</title>,<text>蘆花楓葉一溪明。面面蒼巖帶舊情。已見名庄興廢地。能令後輩繼前聲。江湖雨霽山爭出。天地秋回境益淸。箇裏無竆眞意味。至今猶憶邵先生。</text>
<title>贈珪上人</title>,<text>珪也將軍之子孫。於今流落依空門。人情皆惜忠臣後。天下同嗟智士言。紫塞至今留壯蹟。靑山從古閉雄魂。百年宗國深讎在。怊悵無由作九原。</text>
<title>次仙遊亭詩帖聯句</title>,<text>絶壁千尋坼。洪河一道落。漂回驚走瀾。噴薄成飛瀑。煙霧起沉沉。雪霜散白白。遙看若快心。俯瞰翻驚踢。撞石響掀空。跳珠色奪目。昔聞是壯觀。親見皆奇迹。蟄窟龍長吟。投籠魚亂躍。朅來幾翫遊。氣候異寒燠。攀緣欲躋崖。膩滑難著屐。不知倦腳疲。喜見頹波激。攜伴及禪流。從朝至月夕。至今大樸村。伊昔先人宅。物外擺埃塵。枕邊聞霹靂。詒謨拔俗窠。世故乘閒隙。每有良朋來。皆因勝地僻。雲移影在林。月出光侵席。緬憶採薇心。來登醒酒石。歌聲徹上霄。舞影搖層壁。揮刃雪盤高。典衣村酒瀝。自兼山水珍。何用羶葷肉。淸磬下諸天。仙亭隔一壑。緣沙渡石橋。隔水呼松燭。木末見危樓。雲間下老釋。仙風自爽淸。塵想可消濯。先輩昔分留。我曹今會得。渾忘山外山。各自適其適。蹤跡苟偸閒。身心奚有益。遺庄不廢。眞趣無終極。盤樂豈宜長。分陰眞可惜。興言戒後人。千載不相隔。</text>
<title>感權持平 徵 死節事 幷序</title>,<text>成化丁亥。賊施愛構亂于吉州。列郡爭殺長吏以應之。咸吉道觀察使申㴐。都事朴宗文死之。權持平 徵 以兵馬評事。從節度使許琮軍。道聞申，朴死咸興。倍日進兵。到文川。亦爲亂賊所圍逼。公自度不得脫。呼其僕李現。授朝衣而戒之曰。國事至此。吾今死矣。汝俱死無益。豈可令家人不知吾死所與死日哉。遂斷衫斫指。血書以與之曰。男兒之死。丈夫之命。自古如此。千萬勿慮云云。現抱書與衣逃還。家人葬以所寄衣。祭以發書之日。實三月十日也。時公二子尙幼。不能悉亂中事顚末。而今本家所傳文字。槩與吾所聞無異。存齋李先生。哀朴都事卓節偉蹟。泯沒無徵。其所得不過壙石殘缺十數字。而爲作古詩一篇。要同志相和。以張大之。今權公之與朴公。便同張許之於睢陽也。不佞一言。雖不足爲輕重。然竊有感於李先生闡發幽潛之意。不揆僭妄。爲歌其事。天下無雙士。堂堂墮賊圍。凶鋒摧戰壘。殺氣射轅扉。列郡曾無事。三軍已倒旂。儒臣非閫職。邊信絶王畿。授命今知所。偸生實見非。回瞻丹扆隔。遙望白雲飛。盡職應無日。成仁庶可幾。斷衫爲片札。戒僕報音徽。語若刳肝出。文從血指揮。丁寧言祭日。珍重寄朝衣。辦得男兒事。爭高日月暉。蒼天臨不愧。白刃視如歸。不有賢扶正。何言國有依。豺狼驚破膽。草木凜餘威。一死公餘事。千秋蹟不微。此心生本直。正氣久逾巍。事業輝靑簡。名聲徹紫闈。壯哉今未有。應知古猶稀。國命無張大。鄕人欠發揮。長吟衣帶贊。三復一嗟唏。</text>
<title>次從姪正漢寄贈韻</title>,<text>僑居多日月。無與度餘年。爲有三翁約。行穿九曲川。高松沙際立。飛瀑石頭懸。擺脫寰中想。來尋物外仙。冒雲三疊巘。戛玉雙流泉。得酒風流足。扶筇步履翩。縱能理蠟屐。誰復續瑤絃。俛仰循除久。歸來借榻眠。江雲浮霮靄。山月吐嬋姸。旣踵前遊勝。堪誇此會圓。一塵容不得。萬慮自無纏。調息鼻觀白。超郵志守玄。起居從質樸。飮啜謝芳鮮。禮數寧虛飾。天機貴自然。長懷心逸句。高咏體輕篇。肯構思無替。遺風合久宣。願將言一一。相告後千千。幸得來詩力。吾狂賴爾傳。</text>
<title>效朱夫子八音體述懷</title>,<text>金玉雖貴美。利用不如粟。石若不堅頑。何能得遠及。絲染卽受變。所以志士泣。竹性能傲雪。雪壓竹亦屈。匏瓜無遠圖。所貴在守拙。土牀是我分。華屋非所欲。革帶與布衣。身安心亦樂。木訥亦何傷。從今事玄默。</text>
<title>次朴懷英韻二首</title>,<text>於我固當爾。不辭林下居。卻笑嚴君平。得錢方有餘。遺落不事事。無柰太放疎。固知專百城。不若據萬書。日暮道且遠。抱卷空躊躇。勉爲朝夕計。提挈當在初。百年幸不滿。所患習未祛。願洗一斛塵。尙待千里車。傾出遊說槖。充爲買山資。風月不待招。所得皆令姿。乃知百事忙。可洗一念持。先民有緖言。所論中高卑。生質本疎曠。采飾無所施。朽木晩求雕。駑馬已難笞。願得一心人。同爲歲寒期。但當守吾天。貧賤安足辭。</text>
<title>送族姪德潤往嶺西幽居</title>,<text>桃源古有說。欲往不知處。誰知大嶺西。亦有隱者侶。塵間甚多事。智者宜輕擧。莫言沃州山。消息到人世。風雪欲玄冬。川陸斷行旅。去去休回首。我亦從此逝。韓康應有問。爲報平安語。</text>
<title>挽裴守約 行儉</title>,<text>聖代沉淪士。江湖見在身。傷心嗟耋弟。誰與樂天倫。</text>
<title>挽權瓢軒伯翼 錫揆</title>,<text>每惜權司馬。沉淪作野翁。今焉乘化去。誰復振鄕風。</text>
<title>挽密庵李先生</title>,<text>前言奧旨發幽微。千載虹橋路不迷。長夜滿天風雨裏。空敎萬目待金篦。程家兄弟蔡家兒。洛建風流自一時。別有人間無限痛。公心直待百年期。山南元氣繫沖襟。邃學眞工貫古今。不識當年安撫使。可能寬我衆人心。河西一帶屬繁華。木鐸南歸日欲斜。三十一年華胥夢。滿庭風露自黃花。金徽玉匣奄生塵。幾度虛堂月色新。惆悵廣陵從此絶。龍門誰是百年人。流光末運劇奔川。萬手無功泣向天。一粒金丹仙不借。文翁何以屬殘年。今人皆欲百其身。况我情深兩世因。若使九原如宿昔。願從仙駕躡淸塵。</text>
<title>挽振伯</title>,<text>玄都觀裏草煙微。一樹衰桃帶夕暉。千里美人消息斷。滿天風雨夢依依。旅魂招斷白雲岡。楓葉蕭蕭海氣蒼。一帶蟾湖天不限。露歌凄咽棹歌長。孤臣血淚泣追愆。南北承恩十一年。想得九原回首處。終南山色五雲邊。謫居猶得近瀟湘。岸草汀花足佩纕。此地芝蘭多委折。願君無復泣馨香。蟾津近地有瀟湘之號蛾眉猶自妒殘紅。誰道江梅此有䕺。百尺登樓非爾願。吹噓只得殿西風。天心漠漠我無知。日索筳篿問吉期。每道歸期丁卯是。歸時不及未歸時。漲水滔天不見涯。孤舟一葉遠乘危。舟人莫怨風濤急。何處人間無嶮巇。一片丹旌雲水隈。野亭山榭亦含哀。親朋此夕來相待。難把靈芝酒一杯。</text>
<title>挽權平仲 后準 三絶</title>,<text>與君結髮爲兄弟。哀樂相須五十年。會少別多常恨遠。柰何今又隔黃泉。我妹入厨君尙少。吾猶及見大翁時。古來福履非虛應。世世行仁自一規。袞袞餘華有遠期。滿庭槐影正差池。如何箕尾昇天日。不待兒曹返命時。</text>
<title>挽從孫始憲三絶</title>,<text>三十顔回猶不幸。汝今二十八靑春。人間未卒平生志。肯入空山化作塵。玉樹蚌胎皎皎姿。一時聲譽照門楣。死生倘有回環理。惟願吾家再得之。前冬蕭寺惜三餘。臨別分留晦翁書。零落只今空在篋。看來時復淚盈裾。</text>
<title>挽再從弟永受 若欽</title>,<text>美器苦易缺。佳木恒不蕃。物理有如此。人事寧復論。風前玉樹姿。二十埋丘原。記爾生前事。聲名藹詞垣。霜蹄未暫試。雲路失高鶱。才命惜未全。禍福信無門。死者長已矣。生者最可寃。日落玄猿哭。風飛丹旌翻。靑鸞啼向人。眽眽未能言。遺孩日以長。孑孑賴誰恩。草沒故山逕。秋深江上村。遊踪長寂寞。厚夜何時暾。楓林暮蕭瑟。彷彿靈魂存。</text>
