<title>敬次愚山丈席韻 戊申</title>,<text>自憐就道晩。始覺讀書閒。眞工何處見。前面最高山。</text>
<title>立春會齋舍</title>,<text>天地仁心始發春。吾宗是日叙親親。光添暖柳眞機活。氣動寒梅妙用神。湫澤老龍應罷睡。林園晨鵲喜傳人。淋漓彩筆題新帖。家國豐亨自此辰。</text>
<title>早春賞雪</title>,<text>瀌瀌白雪透庭梧。頃刻山川氣色殊。斜被竹林仍剪帛。細隨檐溜却成珠。潭魚乍出還嫌冷。野鳥低飛不勝濡。猶喜潛陽生地底。藹然芽甲暗昭蘇。</text>
<title>春日寄芝園</title>,<text>楊柳靑靑夾路深。故人家在鳳棲岑。江潮帶雨應添浪。花木遅春尙在陰。千古黃虞追尙友。片言梁楚少知音。遙瞻紫氣生南郭。芳草淸樽憶共吟。</text>
<title>次芝園立春韻</title>,<text>江城過雨動微寒。上苑祥烏集露盤。弱線添陽黃道迥。細絲傳菜禁門寬。輕搖綵勝仍祈爵。醉把梅香爲正冠。却喜明時耕鑿老。願將邦命泰盤安。</text>
<title>次芝園春宮冠禮韻</title>,<text>大東休運一淸期。日表文孫儼聖姿。貳極仁聲承出震。七章元服耀明离。光膺列聖遵彝訓。頌溢環溟仰令儀。自愧候蟲鳴野曲。那隨鶯語上林枝。</text>
<title>次少輩韻</title>,<text>志士從前事竟成。莫將他念肚間橫。時來好喫三塲甲。老去羞爲一廛氓。雙鳳行瞻高閣瑞。八龍留付古家聲。慇懃更勉諸郞學。明月藍田採採瓊。</text>
<title>和贈鄭仲素 四首</title>,<text>滄海東環闢小寰。混淪元氣極圓團。淸時霖雨龍騰洛。瑞世文章鳳下山。雲漢盛衰元不定。泉林際遇古猶難。峩洋一曲餘黃卷。秋滿江湖日未闌。師門德學迥穹寰。爐几春深四座團。當代英豪爭立雪。晩年地步極高山。功先整肅如能跂。理到精微便覺難。怊悵山樓軒廡閉。自慙冥鬂華闌。愛爾淸標出世寰。明牕典訓一燈團。文恢游刃應餘地。力到添竿見仞山。六月緱岑危坐苦。千秋寒水會心難。慇懃寄語遙相勉。莫把楡輝冄冄闌。天壤斯文合在寰。皇王大道滿篇團。精留金玉干霄漢。氣動螭龜映海山。當世編摩應有寄。竆年要領詎非難。管蠡未敢微言贊。東望秋洋意思闌。</text>
<title>次李周賢 源祚 蟠松韻</title>,<text>秦帝封官類戲詼。蒼髥爾祖木中魁。枝嫌漏雨因橫織。葉怕穿陽却抱廻。蛇結龍蟠形屈曲。鳳翔鸞翥影徘徊。千秋苗裔餘風節。冠盖門閭鎭日回。</text>
<title>族兄而悅 學培 壽筵韻</title>,<text>吾宗兄弟盡成翁。華髮皤然四座同。七葉和風瞻廟柏。三盃遐壽祝岡松。高年好德方爲福。多子能文始見功。花甲隨人回次第。幾番春酒上顔紅。</text>
<title>題萬川精舍</title>,<text>剸石治荊地秘開。萬川風月一樓臺。山從熊耳軒窓納。水轉龍房几案來。兩祖菟裘今善塾。七賢詩禮古伊齋。冠童百世留絃誦。花樹長春幾度廻。</text>
<title>族祖 翼遠 壽席韻</title>,<text>公家近住萬川堂。鞍馬新穿白雪疆。座上韶顔諸老至。頭邊瑞日少年長。歡容載溢斑衣席。良會仍成曲水觴。從此吾門多慶酌。起看南宿在中央。</text>
<title>幽居述懷二十章</title>,<text>皇天平四時。氣機運不息。潤烜無私功。羣物自生殖。美惡同胞裹。纖鉅互卵翼。一齊共始終。遅速那能識。至人究元化。以理爲準則。萬世標善字。然後衆競熄。右第一章濯濯雲裏桂。鮮鮮巖下菊。亦有孤生竹。冄冄在深谷。物性抱苦淡。孤根媚幽獨。我欲棲其間。蠟屐戒晨夙。半嶺意已倦。徘徊失蕉鹿。空嗟世間人。無勞閒逐逐。右第二章丹山有鳳凰。一飛九萬天。遍體皆文章。五德俱粲然。不遇王子晉。偶來崑崙巓。野啁啾過。銜粟如相憐。高岡碧梧影。寥落下秋田。右第三章仲尼轍環海。諸侯不能賓。欲往公山氏。季路慍而陳。顔生守陋巷。閔氏在汶濱。聖賢亦難進。高蹈或亂倫。學聖焉能得。希賢庶可臻。寄語東海士。無然學問津。右第四章神龍在九淵。窟宅護風雲。口含驪珠丹。鱗帶衆陽文。汩陵下水土。咫尺俄不分。偶下塗泥中。頭角騈土羵。蛙蛭爭笑侮。鰌鱔亦侵棼。枯爛亦有命。仰首欲何云。右第五章道喪已千載。七雄何紛紛。稷下列第宅。戶屨錯朝曛。峩峩長纓客。簸舌若霏雯。滿堂功利說。足以愚時君。卓哉鄒孟氏。雄辯張我軍。二家旣川障。王霸亦毫分。如何出晝日。三宿已太勤。右第六章昔有文仲子。敎授河汾間。鴻洽竆灝噩。邃識貫宇寰。蓬蒿繞宅生。饘粥常歡顔。爲隋之大儒。自處孰與班。公車十三策。自古行路難。不出楊氏門。淸名未遽刪。右第七章唐興二百年。八代有退之。學探姚姒古。道排釋老歧。遇知裴中立。濡筆平淮碑。五竆長相隨。展布違所期。堂堂佛骨表。天驚鬼亦悲。奈何騎龍手。棲遑光範逵。右第八章少日學彈琴。頗能運指爪。淸商隨風動。哀絃撥復挑。家人贊嫋娜。親舊許要眇。謂言透其眞。今人鮮能曉。移就大都邑。衆師爭環繞。一彈口方掩。再彈頭已掉。憮然抱琴歸。始覺譽者矯。右第九章武王載木主。觀兵孟津堤。不立微子啓。夷叔遂餓西。子長爲立傳。激昂素心提。善惡嗟無報。升沉邈難稽。結交靑雲士。附跡良驥蹄。世無孔氏聖。吾誰與攀躋。漢儒鮮聞道。無奈立論低。右第十章天地相依附。四海環其中。昆侖大無外。九州一蟻封。萬國不知名。風俗儘難通。到處有君臣。隨人有事功。蝸角爭蠻蜀。南柯自侯公。令威高視笑。籛鏗老如聾。借問汲汲子。浮榮一過鴻。右第十一章劉歆序九流。史遷列儒墨。不識重輕別。焉知義理極。夫子繫易象。屢稱君子德。重山是爲艮。物各止止得。所以壹民志。斯爲萬物則。右第十二章許由讓天下。天下果少哉。湯武興師爭。劉項冒刃推。飮犢水上流。此人又何嵬。後世辭爵祿。何如讓八垓。尙與蹈刃齒。廉靖日見頹。豈如林居子。昭曠獨覽廻。右第十三章舜文久徂世。吾道在山林。洙泗撤微響。漢唐聲遂沉。理氣互强弱。穉陽敵衆陰。百家爭喙鳴。九師亦口瘖。陵夷至五季。誰哉繼絶音。焚香祝降聖。柴帝啓天心。右第十四章秦皇統六王。九州爲庭闥。金鐵江南至。粟米山東撥。用貨不用人。二方國言聒。丞相不建白。衆怒誰能遏。妨賢有天禍。父子轘五達。所以詩人嘆。月下傾綠醱。右第十五章容桂有一士。貧居無甔石。未老髮已黃。傴僂行帶索。步履旋蟻封。顔色常丹渥。羣居如聾聵。不識中所積。問君何所業。居家又何樂。屢問一開口。吾樂吾自適。雄雉之卒章。爲我試歸讀。右第十六章赫赫洪匀賦。於人不爲貧。不作鱗羽形。幸爲男子身。五常自良貴。一心又天眞。俯仰堪輿內。何事不屬人。位育廣䂓模。參贊大經綸。斯爲盡人道。竢聖又質神。慥慥諸學子。先從戒謹申。右第十七章嬴氏灰詩書。文章號西京。叔季書愈多。委靡氣不贏。天地再剖判。六經更誰評。海宇天光遍。中國豈獨鳴。惜不根道理。幻語驚聾盲。我觀有德筆。立言久益誠。右第十八章疇昔我有夢。巖巖鐵笛頂。左右杞菊列。前後圖書炯。若有神仙人。喬嶽道氣挺。我乃拱而立。一言願喚惺。袖出一封散。敬字印緘綮。受而罔敢墜。惴惴盤水傡。覺來心惕若。怳然耳有謦。服此壽而康。身安福來鼎。右第十九章大化流不息。開闢至今玆。誠者物始終。而道在人斯。竆通皆有命。舒疾豈無期。苟不知所止。奔奔無定時。爛羊希金紫。啖棗擬鼎司。我樂循其理。非理卽不宜。綽然有餘裕。無負天所貽。右第二十章</text>
<title>愚伏先生別集新刊時。與黃叔璜 磻老 共賦 二首。</title>,<text>天壤斯文共始終。溟涵地負儘無竆。岡留鳳羽光爭日。酆動龍鋩影射空。列聖風雲尊有道。再傳河洛獨收功。笙簧古壁興遺感。二四殘編大義同。宣仁盛際令譽終。經國風猷施不竆。刪後詩書猶未盡。流行道理本非空。中州更續滄洲筆。南國重光退老功。開卷因看先世事。當年道義與之同。</text>
<title>壬午元朝</title>,<text>吾嶺衣冠士。傷心在是年。氣機應互變。否泰自相連。典禮寧隳地。大明宛中天。向陽開竹牖。邦命祝於千。</text>
<title>次尹聖郊白蓮帖韻</title>,<text>漢武勞心學少翁。魏陽何事叙參同。人間有德眞淸福。地上行仙勝御風。名郡衣冠賓盡美。滿庭蘭玉世垂功。安能借得顧吳畫。花樹長筵几案中。</text>
<title>和呈川齋族兄而悅</title>,<text>草軟隨時席。巖平到處臺。潭魚新泳族。野蔻半含胎。老去元無事。春來更擧盃。隔墻玄晏宅。筇屐日相廻。</text>
<title>往癸酉夏。余患頭風。兩耳皆鳴。今年此症又發。比昔愈甚。益覺衰狀。苦憫賦懷。</title>,<text>余年四十六。衰病日相綴。頭風爲元寇。百症互侵竊。眼花懸蛛網。齒根暗蟲齧。最是耳鳴者。令人心氣烈。往在玄黓歲。此症始闖闑。我庸作一詩。情狀畧論列。石灘細雨和。金皷孤笙咽。幸賴藥餌扶。遂致毒竪撤。那知未十載。更敢肆黠桀。兩官失其守。鳴聲益飈颲。不减嘯梁怪。還如吼厓裂。吾獨聞其聲。他人漠然咥。令兒窺耳郭。影響那能別。百怪與千態。我且試折閱。左耳懸瀑布。右耳鳴金鐵。早有泉石癖。終宵枕邊冽。平生厭聲律。何得管磬設。或隆隆若斷。或縷縷不絶。或震如鼉皷。或啾如雀舌。或如奔牛喘。或如亂蠭蜇。遠林連夜雨。孤竹灑寒雪。時於蚯蚓竅。微作蒼蠅吷。或於槖鑰戶。潛自淬匕潏。淸者丁丁磬。濁者轔轔轍。急聲如簸箕。緩聲如磨碣。有則一時有。羣音不亂節。有時飮熱湯。髮孔千聲泄。似夢口多譫。逢人目徒凸。不關皮麻炙。無賴白艾爇。漸成䨓掩耳。殊異螭闘穴。天公豈有意。將老不自悅。伊昔靑春時。我耳白且潔。洪匀賦予富。男子視聽徹。四海經綸志。八聖典訓說。鼎鐺猶有耳。年紀未及耋。更將軒歧術。分付逐妖孼。</text>
<title>徐明府 興輔 設白場於觀水樓。余與鄕內諸名勝。赴會共賦。癸未</title>,<text>故老談天啓。玆遊復使君。一江疎雨裏。雙舶夜燈分。畫角驚𩿨鷺。靑衿匝水雲。賞心豐樂歲。千古誦歐文。</text>
<title>洛江泛舟詩</title>,<text>是歲八月之晦日。吾商耆老遊東洛。亦欲較藝鄕秀才。風聲黨塾羣鱗躍。簡書東南速鉅匠。昇平盛遊起矍鑠。使君淸興亦不淺。願與州彥同其樂。况値年豐民事簡。黃雲滿野庭無雀。印帖星馳下津吏。首尾船艦長繩縛。靑雀白鵠平如掌。中流蕩漾張帷幕。長艇十丈橫成橋。陸地望若神仙閣。彤幨五馬俄騈闐。歌皷隱隱雜管籥。美人靑眸刺劍戟。蹋然雙舞驚鴻若。坐客盡是吾商望。蒼然傑氣秋天薄。芝令平兄分第次。自顧沙礫徒慙怍。是時靑衿簇明沙。十八名邑傾城郭。平明水頭懸高竿。官鄕兩題雙煜爚。須臾墨客爭揮灑。白雪梨花交錯落。天公却會添畫景。江雨霏霏喧水鶴。預儲兩舶具帲幪。別鋪文席移歇泊。暖爐博山張獸炭。血膋脾臄恣燔灼。明璫左右香澤聞。酌滿醍醐供歡噱。醉把朱毫分諸卷。點別高下聲揮靃。地主笑謂同座老。莫或遺珠譏盲矐。二榜得雋多英才。列郡諸儒稱恢廓。水波不興天宇朗。肆筵設饌因如昨。翠眉淸聲呼榜名。東西畫舫分各各。綺饌雪牋長第進。船外榮枯暫不惡。畫角雲簫盪一江。沙𩿨驚飛鮫舞壑。環橋士女觀如堵。一隊靑綠光漾濼。乘興沿洄丹壁下。水樓迢遞勢若蹻。版上莊誦退陶韻。藻翁一筆先領畧。自古名區多勝遊。赤壁古事今寂寞。往在天啓壬戌秋。先輩道義相唯諾。至今流傳泛月會。山高水淸徒漠漠。吾州上游名大邑。鴻儒長德紛繼作。士習經明敦行義。齊趨不敢違矩矱。幸遇太守崇儒敎。一過洗拂增䟽瀹。更願諸君體是意。一語有補添涓勺。聲樂却敎虞太康。文藝殊非專博約。箇中自有眞樂地。弄月吟風天趣綽。彬彬一邦君子鄕。文翁遺化方充拓。爲把此事添記錄。千古江山共付托。</text>
<title>次杜詩中秋韻</title>,<text>圓滿玉奩鏡。削成金錯刀。星河連鴈動。天闕與秋高。丹桂瞻花實。瑤娥想髩毛。冰壺同灑落。微顯燭薪毫。</text>
<title>和贈姜舜三 龍欽</title>,<text>九月天高日漸南。霜楓紅影蘸川涵。華山鶴放餘秋色。淵洞驢深又碧嵐。映桂成三憐獨酌。看茱少一若爲酣。殘年莫嘆花無笑。風帽佳辰興未堪。</text>
<title>謹次從先祖屛詩 八首○幷小序</title>,<text>從先祖蒼石先生嘗著屛詩八篇。先祖月澗先生爲之逐篇解釋。皆修身齊家處事接物之大要也。升培常莊誦不已。歲壬午除。適有疾涔伏。敬次其韻。顧思致平凡。字語疎陋。不足以摸擬萬一。諺所謂指孔雀爲夫子家禽者。近之矣。然苦心追慕。思欲其一分繼述之意。則後之人亦可因此而有所會矣。天賦賢愚共一初。開明心術最先書。學要成誦循環久。理到貫通積習餘。渙爾春冰渾釋似。脫然大寐得醒如。秋枰却怕飛鴻過。收放眞工更勿疎。右讀書靜觀民物一元分。君子欽天若事親。克去四非如遇敵。看來五辟在酬人。深淵兢戰常存主。漏屋幽潛不愧神。從古儒賢大居敬。治平家國况由身。右敬身肅然衣冠跪如危。少頃閒思或坐馳。神舍主翁常喚在。大軍游騎易忘歸。人雖不覩如臨帝。己所獨知便是師。舜禹三言傳萬世。從來心學儘精微。右操心戎好樞機勢必因。須將寡默接疎親。何勞堅白要同己。不費雌黃可到人。快駟追風難及舌。明珠按劍未謀身。木訥由來資近道。聖師當日許牛仁。右愼言隨機觸發或多般。忍得霎時最是難。驟雨烈風光影過。高天濶海範圍寬。姸媸不妨明存鑑。理義常裁氣湧山。解把魯論平意思。轉移麁性在俄間。右制忿惟譽爲憂毁非憂。竊屨撾翁付俗偸。縱有沉舟由積羽。不爲輕葛換冬裘。逢人刺刺何須辨。反己休休益懋修。姬聖尙遭三叔誚。終然道異不相謀。右弭謗兩祖於戲實繼開。淸文厚德煥嵬哉。丹靑孝友神明感。淸白風猷子姓來。竆到却羞還失義。寵隆須戒或招灾。好將修己繩先武。惇正恩倫着手恢。右正家中士平平貴守經。無將詭異惹羣爭。藍䂓可喜留賢傳。芮俗堪羞質聖庭。泛愛須先親有德。賙竆尤貴急孤惸。恥談人過惟攻己。從此鄕邦禮俗成。右睦隣</text>
<title>芝園宰鍾城。以詩見寄。遂和以送。</title>,<text>一麾牙纛杳無聞。天盡愁州不見雲。北鑰欣瞻奎彩壓。南冠驚覺雪華紛。文章選去吾州望。謠俗搜來厥土墳。却羡坡翁能過海。黃梅烟雨笑竆曛。</text>
<title>兢庵哭子。以詩慰之。</title>,<text>遅暮淸癯養德專。理應多祉氣何𠎝。西河取謗今宜戒。東野授詩古亦傳。惟喜二郞堪負荷。更憐諸彧盡英騫。世間泡浪隨時息。祝爾加餐永享年。</text>
<title>酉川春夜。聽雨無寐。使㙽兒拈韻 三首。</title>,<text>春霖連夜細。深樹暗生靑。山色和烟看。川聲入夢聽。野田違擧趾。茅屋厭聞鈴。老我閒無管。觀書志自寧。川從今夜白。山返去年靑。遠柳春光洩。深燈講說聽。疎簾遅燕語。高屋滴鸞鈴。天心屬亨泰。會看得一寧。爾家酉川上。門外綠柳深。吾老乘溫日。人閒發素心。元方時御駕。仲郢或聽琴。父子多知己。何妨細論襟。</text>
<title>甲申元朝</title>,<text>天地生生盡在春。甲申元日一初新。樓臺淑氣花前樹。閶闔和風柳外隣。造化秖應隨處到。陰厓終與向陽均。且將此理先料得。充滿吾身是體仁。</text>
<title>送姜啓好赴恭陵</title>,<text>邸吏宣麻竹裏樓。螢燈書帙罷閒搜。風期想入明王夢。雲物長留太華頭。當代蕫揚來吉士。片言梁楚盡名流。淸秋畫閣多新月。可憶滄江舊釣儔。</text>
<title>寄夏課諸君</title>,<text>先廟淸齋所。諸君攻業初。衣冠應整肅。鉛筆政安舒。言行相觀善。詞章且勿疎。英才他日用。應是此中儲。</text>
<title>偶吟 六首</title>,<text>丈夫未達時。固多恥辱事。我視人無畏。人亦不我異。物各有定見。酬應從其視。墨客三千會。豪氣盖其上。所言獨自奇。主司不甚尙。自古遇知難。好惡不可彊。周公曾獲讟。仲尼亦被恐。大聖猶不免。何况匹夫勇。至人觀其然。持身常自重。遅遅似愿謹。無德又無文。忽見名利兆。欻若鷙猛奔。有人從後笑。笑者得無煩。小腹有一能。汲汲求人知。求知人不信。忮心便隨之。遯世猶无閔。然後君子伊。莫怕無官做。有官不會何。竿木常隨在。盤根不爲多。彼哉悾悾子。欺世在頃俄。</text>
<title>和贈金伯雍 煕紹</title>,<text>聞道幽人入小白。紫峯深處起玄亭。山長午日空三壬。巖劈天荒隷五丁。盛夏難窺緱峀坐。淸晨應喚瑞巖惺。懸燈老柏多經劫。歲晏猶含雪裏靑。</text>
<title>素履亭。與皓隣，芝園共賦。</title>,<text>境絶秋將盡。山高月正光。老篁聲叶羽。危閣勢疑翔。佳節當吹帽。淸詩載隰桑。恢恢肎搆子。風采令人强。</text>
<title>黃襄之 贊煕 見訪。滯雨齋舍。因吟贈。</title>,<text>憶曾遊客鳳城東。芹泮花溪旅瑣同。六品官聯君亦老。五經章解我猶童。看牛氣動交龍劍。藏器秋深射隼弓。衰晩相逢天借暇。太平烟雨笑談中。</text>
<title>偶吟</title>,<text>年老惟應聽子孫。非關大義欲無言。高秋西北身常退。盡日詩書樂自存。雙龍古匣遅看氣。匹馬名山喜畢婚。半世傳家無一事。那將陰德植深根。</text>
<title>中秋月</title>,<text>萬里纖雲掃。今宵月最多。巖扃開玉窟。天閣漲銀河。水澈潛魚穴。林窺宿羽家。庭梧看更好。淸影亂交加。</text>
<title>與黃叔璜爲觀黃嶺緬禮。至愚山。滯雨於先生故宅。有感共賦 二首。</title>,<text>記昔函筵聽解經。平常道理薄蒼冥。千秋寒月留華表。盡日虛舟倚遠汀。衣履重泉封紫氣。琴書一架付玄亭。門墻後輩多耆老。林下相逢覺有情。不有師門事。那能老病行。雪風交吼怒。土雨又濛冥。時土雪晝晦。雨雹如穀。 吾道寧終閟。天慳庶遇貞。呼童更煖酒。將護在神明。</text>
<title>竹麓書舍卽事</title>,<text>廈計都輸一畞營。溪山南畔小文明。千年石礎今華表。一壑絃歌古魯城。松竹經綸爲日用。詩書契活是平生。桑楡鏡裏驚衰白。驥子疇能肯搆成。</text>
<title>旱餘遇雨戲賦</title>,<text>上天富且大。令人顰而笑。施之不爲費。德之不加耀。是月適小旱。齊民憂方燎。村東有一渠。峽沙根流小。列堤連咫尺。谷民防漏竅。縱有小雨降。朝滿夕已曬。富人爲桔槹。人肩亦募買。六辰餉酒食。未足酬其憊。貧者爭餘波。細流分千絲。悍嫗聲咆哱。帬衣卧溝泥。老身寧無生。穉禾那忍萎。日入星雲暗。堤邊列守炬。夜深或鼾睡。寂寂四無語。禿袖潛匍匐。盜水如鼴鼠。懶脚方欠伸。久乃覺其詐。哮聲忽大發。剝啄如相蹂。其孃各在家。聞聲如奔牛。羣囂動川壑。勢應爭死殊。俄然東南隅。大䨓電以風。雨塊如大珠。䨓聲如洪鐘。萬斛銀河水。一時注舂容。砉火眩人眼。銀脚破人頭。瞬息回顧間。江湖滿地浮。多少水頭人。奔還失簑笠。聞聲隨風散。狠心如雪熠。失笑咸噎嘔。融和同翕習。上天富且大。頃刻息羣爭。富以澤萬枯。大以仁羣生。人亦稟天性。厥初罔不善。苟使菽粟豐。不仁者盖鮮。虞芮歸讓田。勳華封比屋。更願天屢豐。家給復人足。</text>
<title>夜聞䨓電</title>,<text>世人有恒言。霹靂加諸惡。㬥䨓壓武乙。春秋震夷伯。是月適大雨。䨓電動屋角。陰火炫天際。礟車環坤端。撞搪金甕轉。揮霍玉燭攤。閃閃明復晦。訇訇噴因撣。竦然起整冠。默數我無罪。沉吟思厥故。此事若理外。苟天能罰惡。幾人當被畏。肝人者盜跖。誤國有秦檜。轟轟尋人擊。世無爲惡者。惡惡旣如此。善善亦爾也。祥飈與慶雲。動輒隨其後。顔淵夭陋巷。伯夷餓䨓首。陰陽互擊搏。善惡更何有。所以君子道。修身以俟久。</text>
<title>寄諸兒讀書西菴</title>,<text>迢遞西山寺。諸郞讀古書。宿雲添硯濕。懸瀑和籤虛。昆弟同咬菜。門閭待容車。愧乏蔘連味。資貽夜苦餘。</text>
<title>同城南諸老。伴作華山遊。與黃徵可 獻老，黃調元 履鉉 諸益共賦。二首○丁亥</title>,<text>秋山歲暮遠相招。䕺桂幽蘭一曲謠。剛恨明朝山外別。江頭强折最長條。峽陰欺白日。秋雨謝芳菲。野水喧生戶。山雲冷透衣。就燭論詩寫。隨陽沐髮晞。玆遊眞可樂。匏繫悟前非。</text>
<title>謝黃文吉 麟老</title>,<text>西嶽歸鴻喚侶嘶。篔簹秋色老靈芝。山行盡日愁驢馬。文到衰年殿皷旗。堪笑陶令不肎酒。誰云李尉未能詩。樓臺近水多淸絶。仙氣分明上秀眉。</text>
<title>與姜啓好，姜穉仁 長欽，宋文徵 奎弼 遊西山聖住菴共賦。</title>,<text>朝暮西山几案間。吾年六十始登攀。根盤矗石兼楓嶽。界割陰陽小日觀。南國衣冠多皓髮。上房鐘磬滴香檀。却思芝老華岑會。如此風光不共看。突兀臨危石。綢繆縛小簷。鯨波風報穩。鳥道火傳嚴。選勝盃樽樂。尋眞杖屨淹。攀蘿更一步。天末遠峯尖。此首咏烽㙜</text>
<title>西山詩 步韓退之南山韻作。中間狀物處。一句懸雙韻。盖西山較中國南山。宜有衆寡之不侔。强而同之則鑿也。覽者恕之。</title>,<text>巨霛勞意匠。環海小苑囿。山國排八域。培塿悉難究。佳哉西山名。粤自眞蔡授。鞱奇復鏟精。不恥方輿漏。我家溪東住。朝暮屛障覯。空翠十里來。飛潨一壑湊。有時宿雲捲。纈綠如錯繡。軟脚憚崎嶇。躋攀未曾透。流光迅飛箭。花葉遞黓茂。明珠鮮藏淵。薄雲多出峀。居然成暮齒。汗漫詩先就。突兀蒼稜聳。烽臺赤烏噣。犖确荒瓦懸。蕤葳獨木秀。矛頭纏用索。石面爛含酎。國家昇平久。生齒極載覆。蠶頭千里路。蝸角幾處搆。海岸多淸野。靑駹日應瘦。同遊多紳弁。傑氣摩穹宙。攀蘿躡翠微。矗巖露雕鏤。淡雲生洞口。浮浮百丈袤。陰陽割昏曙。晨夕殊氣候。日觀小成局。楓嶽可助簉。南國當名邑。中央實處戊。豁然開谽谺。孤巖奇嵌竇。雙樹蔭因憇。五井活堪漱。松溟黼畫幀。朱綠灑交糅。龍鉢傳噀水。尼珠想幻晝。前塵餘衰草。堪笑爭菅漚。流眺騁深處。樹樹懸鼯狖。盤根極嶮崛。夸亥爾應仆。上峯絶浮埃。疊嶂掩麤陋。將身若超上。眼界於是富。飛鳥猶竦翮。巧猱嫌趫走。脫畧務去鈍。諧笑不相宥。金策猶嫌重。葵扇亦難售。傴僂更脅息。顚沛祈神佑。藤薜根恐弱。蛟螭穴怕詬。低頭忽側睨。樓閣生層甃。臲卼身如寄。眩轉心却愗。豁然抵上頭。帝釋名因舊。高處極於此。列峀矧可又。伊水走東洛。淵淪秘介嘼。列郡環天塹。后王利禦寇。鳥道橫雲際。往復如相救。鶴嶺翔天末。抱子若哺鷇。太白蒼蒼高。天柱兀兀奏。南望金烏翥。伽倻勢迭貿。天王走兌維。華岳成邂逅。起伏又逶廻。一脉細入脰。突爲小西岑。俯視還昏瞀。直上費融結。千冰懸屋溜。石腦連馬脊。奇奇止且復。甑巖圓在前。罏石聳或右。一字如着冠。正面穩加冑。蔘朮神氣產。桂芝酷烈臭。地霛不虛慳。人物應相副。抽筆屠蛟龍。張弧射鼯鼬。脫灑祛羣怯。磅礴掃衆皺。楚兵森旗皷。鉅鹿快一鬪。春田平蕪裏。繡頸出驚雊。諸輻咸歸湊。衆駒爭馳驟。依附寧寡佑。鱗次若貫灸。縈繞蒼翁籒。蓊靄紫氣逗。新畬起鋤耨。秋市鬧金購。鈍遅如訥譳。匍匐似孩幼。齋莊恐愆謬。潔凈羅飣餖。劻勷若走獸。奮迅如攫鷲。徐行長者後。眷顧良朋留。密者如親媾。翩者若舞袖。羽衛降春蒐。司馬旆東首。蒸雲氣饙餾。玉索散不收。和門滿月彀。敵兵爲薪槱。橫分卦列繇。下斷爻成姤。蜿蟺𣌑龜驪。錯落潤星宿。䇄䇄架天廐。炯炯露美琇。岌岌傾屋霤。呴呴小安狃。偉哉神功懋。根基達理腠。興雨澤萬物。孰主是勸侑。環山而四面。屋比無勞疚。小巫貪天功。祈賽費咀呪。吾聞南山詩。自愧如賃僦。名區無鉅細。古今香傳嗅。倣此作歌詩。嶽霛庶報酭。</text>
<title>芝園拈杜律見寄。遂和呈 二首。</title>,<text>江閣秋高萬壑哀。靑牛華鶴去無回。人間道術猶長在。林下英賢又大來。五夜魚龍聞講鐸。九霄星月滿晴臺。却思設饌濂翁宅。兼薦黃花酒一盃。時有江院講會。衰癯頓覺帶圍寬。忽遇佳辰强作歡。䕺菊任嘲欹醉帽。靈芝解笑會峩冠。九秋山影靑龍動。五夜江聲白鷺寒。明年未必身全老。花蘂何妨歇後看。</text>
<title>步前韻。贈白下翁叔璜。</title>,<text>蕭蕭落木鴈流哀。華嶽金天紫氣回。星斗森羅胷裏貯。風䨓拿攫筆邊來。淸時和玉空留璞。落日牙琴獨上臺。相看髩毛歌白雪。且將懷抱勸霞盃。</text>
<title>聞邦慶。設宴齋舍。</title>,<text>扶杖山南聽紫綸。明离繼照一初辰。三階令聞謳歌叶。八域歡情宴樂因。花樹仍成敦族會。匏樽兼序燕毛倫。長時太和留佳景。煙月康衢頌萬春。</text>
<title>而悅族兄贈余一筇二絶。遂和呈。</title>,<text>蒼龍光怪帶踆烏。遮莫仙公把贈無。剛喜淸宵扶出戶。一輪明月滿庭梧。每到川西愛屋烏。琴書四壁一塵無。丹藜持贈當車馬。示我周行正步趨。</text>
<title>送柳正使 相祚 赴燕 己丑</title>,<text>高秋燕薊上卿行。㫌節葳蕤出鳳城。北鑰仍瞻彝鼎重。東槎遙伴德星明。三韓玉帛前王制。萬曆河山故國情。遼瀋近聞多華俗。壁宮應復道文淸。用西厓故事。</text>
<title>淵院閱古蹟。敬次從先祖蒼石先生和金后溪韻。</title>,<text>文運當年際一初。彬彬名德繼開余。笙簧古壁詩聲動。冠佩崇阿道氣舒。千古風光春掃去。數層樓檻月同虛。堪嘆往事無工畫。欲向山巖更特書。</text>
<title>敬次先祖月澗先生韻</title>,<text>肅肅淵院閣。遺墨感來雲。金玉現寶氣。草樹含淸芬。仁廟徵遺逸。耆碩首府君。蒼石塤篪樂。荷渠道義薰。孝友由天植。德學出儒羣。華嶽天齊高。千秋映七分。幾時玆院會。冠佩古溪濆。亦有玄洲老。同來製錦紋。四座春風滿。德氣令人醺。分韻昌黎詩。咳唾天葩紛。藐余盥以讀。却忘西日曛。蹮蹮媚學子。商雒再興文。</text>
