<title>聞農談</title>,<text>蹔憩路傍松。偶聞田叟語。不怕生飛蝗。只願去碩鼠。</text>
<title>陞嘉善</title>,<text>哭向喬山血滿襟。臣工奔走各彈心。地中幽誌書蒼玉。天上洪思賜紫金。驥老多年悲伏槪。鶯遷此日賀喬林。乘軒試騁康衢畔。白髮人驚鶴不禁。</text>
<title>新勒寺</title>,<text>初攀蒼壁心猶悸。纔倚危欄眼忽明。別浦客忙穿塔影。上方僧磬雜江聲。靈區兩竺誰爭勝。淨界東韓獨擅名。遙盡夕陽仍待月。爲停歸棹到凉更。</text>
<title>蟠蜒院</title>,<text>新涼天氣又新晴。道左茅簷駐客行。院度蟠蜒留夕照。林鳴鶗鳺報秋風。黃金初減腰間垂。白髮仍添鬢上明。猶佩那符勞物役。石田荒盡未歸耕。</text>
<title>己酉七夕逢立秋</title>,<text>七夕今年逢立秋。梧桐一葉落涼飇。登臨客意初憀栗。遠近山容忽寂寥。桁掛六銖衣不溥。篋藏雙鳳扇停搖。惟應才女休相望。隔歲佳期會鵲橋。</text>
<title>送襄陽府使權雲白</title>,<text>方城漢水何須▦。物外靈區卽此間。仙浦晝聞瓊佩近。洛山宵見大輪寒。春暉長駐玄洲葉。曉夢頻趍些禁班。欲作風流峴首客。衰顔無復舊時丹。</text>
<title>伏日納涼</title>,<text>炎炎大地冪蒸烟。正是三庚六月天。擧世惟逃夏畦病。無人肯買北窓眠。殘陽漸沒靑林畔。新月初懸玉宇邊。一幅綸巾一筇杖。夜深庭院獨蹁蹮。</text>
<title>忠州道上九日</title>,<text>去年九日龍灣館。冷雨凄風斷客魂。今歲重陽獺川路。黃花赤葉暎山樊。衘蘆鴈外新霜落。尋樹鴉邊落照飜。歌舞向來高會地。彈琴臺廢但荒原。</text>
<title>鮑石亭。與三樓伴同賞。</title>,<text>潦倒餘生附大平。烟塵忍見漲東溟。從軍䟽到鰲山畔。弔古試題鮑石亭。曲水舊基猶歷歷。遙岑落日又冥冥。淸然一段臨風久。雙鬢相看覺倍星。</text>
<title>杭州圖</title>,<text>莫將吳越嘆無已。都邑從來說二杭。一代繁華窮天下。四時笳鼓殷微光。龍飛鳳舞山回勢。桂子荷花曲度香。遺恨胥濤怕彘虜。向來三日避錢塘。</text>
<title>久寓慶州東川之東。夜夜聞灘。</title>,<text>迢迢嶺外路三千。忽忽光陰近躐天。詩學一生窮有得。覊愁百種夜無眠。東川灘響驚殘月。南極兵塵暗幾年。何限此間辛苦事。夢魂他日亦潸然。</text>
<title>慶州玉笛</title>,<text>劫火經燒未半全。解吹纔有一人傳。玉紋隱隱苦難見。銀縷重重空費纏。山月正懸關塞上。梅花忽落曉風前。只今猶忘雞林土。從古愁過雪嶺天。金甌可想向時全。玉笛猶看此日傳。缺處摩峯無限惜。吹來怨恨不勝纏。素心久鬱書窓畔。白髮空添曉鏡前。流落關山千萬里。更堪三弄夕陽天。</text>
<title>踰棘城指黃岡</title>,<text>蒼顔白髮南窓老。歲暮西征意未降。危棧馬蹄頻蹶四。長空鳥翼好舒雙。冰涵流水鳴瑤佩。雪積奇巖疊玉缸。詩料猶嫌乏淸苦。又穿殘照渡寒江。</text>
<title>八空山下遇雨。時隨麻提督。自慶州回軍。</title>,<text>三白祥慳報臘天。嶺南冬日久暄姸。山雲忽作人占雨。簷響乍驚孤客眠。臨水早梅明的的。隔籬修竹淨娟娟。不愁漢將旌旗濕。且喜江春入暮年。</text>
<title>踰鳥嶺而北。宿安富驛沼中。</title>,<text>繫馬懸韋冰沼邊。櫟枝橫架且張氊。天公偏餉今冬暖。倦雲也酣終夜眠。一盞自斟悲歲換。千盤得度喜身全。蒼崖翠壁綠溪磴。路指忠州更杳然。</text>
<title>詠遼東故事。次昔人韻。</title>,<text>塞草初腓關樹凋。興亡千古思迢迢。鮮卑盛日曾通晉。耶律强時政號遼。浮海客歸炎運換。化仙人去碧天遙。只今老將乘孤障。撫劒無眠擊柝宵。</text>
<title>金知事太古事</title>,<text>巖泉深卜弼雲山。瀟洒池臺晝掩關。守靜平生若重士。辭榮此日就閑班。紅塵不到軒窓畔。翠靄常浮几席間。長共惠連評夢草。却愁玄髮有詩斑。</text>
<title>詠秋月</title>,<text>曲似銀鉤細似眉。天邊日脚欲低時。光斜恰照蓂三葉。輪側纔容桂一枝。輕伴長庚昏耿耿。倏洸滄海夜遲遲。徘佪鮮影如重攬。坐到深更懶下帷。</text>
