<title>次答聞喜倅 沈宗直 問梅</title>,<text>造化移茅舍。先春暖氣催。所嗟人在遠。不見臘前開。</text>
<title>送孫季進 遴 還鄕</title>,<text>換酒新豐解佩刀。相逢意氣爲君豪。亭臺醉興春宵短。湖海離情曉雨騷。官況鋏歌歸峽路。主恩鱸膾臥江皐。人間聚散元無定。莫向尊前枉濕袍。</text>
<title>段邨山莊。寄呈城主使君。二首</title>,<text>匹馬迢迢入草萊。披荊斫地坐崔嵬。山僧過嶺求詩去。溪友移書送酒來。晟世生涯吾學圃。別區吟詠此登臺。祇緣杞國憂天切。日夕危腸每九廻。城北茅簷近郡齋。興來相對好懷開。干旌每傍衡門柳。匹馬時懸畫閣梅。避地行裝臨水墅。思人心事望鄕臺。夢魂不道雲岑隔。入夜翩翩往復廻。</text>
<title>次金無悔玉峯精舍韻 二首</title>,<text>滿洞寒雲鎖竹扉。主翁披髮臥苔磯。江涵鏡影牕欞曜。山帶秋光錦繡圍。黃菊濁醪新興足。白鷗酣夢舊身非。人間得地無乾淨。分半能容我芰衣。壁間詞賦摠相如。彩筆何時賁小廬。山色自添新物象。江流不盡舊涵虛。忘機慣狎滄洲鷺。入饌寧論丙穴魚。從此世緣無些累。許君休著計然書。</text>
<title>輓吳慶州 澐</title>,<text>江左名宗說德門。除公斯世孰三尊。箕裘業繼難兄弟。袍笏床聯衆子孫。萬石家聲光寵極。五州仁化典刑存。龍蛇不貸今年會。身後哀榮亦足言。</text>
<title>奉別牧令丁士優 好善 棄任還京</title>,<text>河橋朔氣正蕭蕭。強把殘杯慰寂寥。臨別苦懷悲嶺路。賦歸高義薄雲霄。詞成紫馬歌猶怨。恨結驪駒膽欲銷。明日杜門相憶處。不堪孤月夜迢迢。</text>
<title>輓鄭統制 起龍</title>,<text>征南一劍萬夫魂。百戰雄風四海聞。彝鼎合應銘異績。宮臺猶未畫殊勳。荊門勝算推關羽。淮障群情係趙雲。誰謂漢郊多壘日。令人却憶李將軍。</text>
<title>輓盧上舍 碩命</title>,<text>先輩風流此有孫。最憐眉目典刑存。君房可襲劉家祿。主峴宜登呂氏門。才望但聯題塔雁。庭闈旋見斷腸猿。秋雲曉露松楸壠。埋却人間未死魂。</text>
<title>輓李慶山</title>,<text>書劍差池氣益豪。寧同俗士老蓬蒿。三刀協夢功名薄。十載催科撫字勞。疾病在身年數盡。亭臺無主月明高。羊曇未過西門路。遙望題詩淚濕袍。</text>
<title>公山會席醉吟 二首</title>,<text>錦水迢迢入夢思。曾嗟佳約屢差池。誰知命駕尋嵇日。正是投文弔屈時。雲樹四年無限意。琴歌一席有餘悲。故人期待元非淺。却喜風霜保舊姿。思君無柰北風寒。西泝湖關道路難。鷄黍共尋千里約。琴尊聊作五更歡。閻公雅望臨滕閣。工部高才滯錦官。休道勝遊雲易散。姓名留入畫圖看。時趙掌令棐仲。被謫公山。與鄕舊十餘往訪。本道巡伯守宰。同會餞慰。車天輅序之。</text>
<title>洛社會次李叔平韻</title>,<text>蕭蕭白髮映尊中。人世唯應此道公。千里倦遊寒暑改。一筵佳興笑談同。不慙九老香山會。無讓諸賢洛社風。要識吾鄕多上壽。蓬壺近在彩霞東。</text>
<title>輓金進士吉伯</title>,<text>才望無成命太奇。可憐題塔亦衰遲。承家但有中郞女。傳世終亡伯道兒。山下數椽寒士屋。車前一幅故人詩。平生莫逆今多病。回首西風涕滿髭。</text>
<title>輓康明甫 應哲</title>,<text>少日嘗爲學者先。當時期待豈徒然。名題雁塔忘簪笏。官視魚筌臥石泉。古訣未毉衰歲病。餘風獨在後昆賢。傷心最有張元伯。白首悲吟淚滿牋。</text>
<title>壬戌秋遊。分韻得淸字。竝序</title>,<text>丹丘十五之席。予與李叔平赴焉。座上賓朋。皆平素意中之親也。竟日酬酢。其興陶然。旣而。薄暮暑去。因泛小艇於前灘。乘月洄泝。聽簫團圝。壺觴而自酌。歌詠而相和。未知坡翁舊遊能復有此中眞樂耶。坡翁得二客從行。吾黨之所與翶翔者至數十輩。而其風流雅致。又非二客之比。則吾黨此夜之會。不必多讓於疇昔也。第以日非旣望。江欠赤壁。更圖會翫於龍淵。淵實嶺中之巨浸也。丹崖翠壁。環立揷天。使坡翁復遊。亦必有吟於此間也。主翁黔澗公。會少長二十餘人。已先在矣。其視涑西之集。亦遠過之。予適値造物兒所戲。滯雨於道傍邨舍。不得與諸友同之。而諸友復被狂雲之妬。不果誦明月之章。世間萬事皆如此。怊悵難逢恰好辰之詩。重詠於斯焉。嗚呼。泛涑之擧盛矣。分韻之事古也。惡可以才拙而辭之。使後之視今者惜也。戲步淸字。聊博一笑。秋入梧梢報晩晴。丹丘色相好江城。誰家燕集邀詩伴。特地豪遊得月明。今者不妨供勝翫。居然罔覺到深更。遙空雲散金風起。曠野天低玉露橫。畫楫從流人影動。華筵臨水客心淸。南昌筆硯芙蓉照。北海尊罍竹葉傾。美事由來千載罕。良辰況是二難竝。偏知坐久衣衫冷。却訝凌空羽翼生。仍想昔年留勝跡。更思來夕會群英。移船欲辦連宵樂。須友爭催竝㘘行。驟雨豈曾饒郭老。寒爐終復臥長卿。龍巖悵望身還病。蝸室孤眠夢屢驚。苦被多猜因造物。休將奇數問君平。頻吟坡老重臨賦。倍憶陶山一笑情。謀婦孟冬猶再賞。扣舷崇洛且相迎。仙曹倘未辭塵想。佇聽玄裳過我鳴。退溪先生嘗於是日約趙月川諸公會于風月潭。因雨不果。有兩絶。其一。戍七欣逢赤壁秋。相邀風月泛蘭舟。無端昨夜江成海。千載風流一笑休。其二。問月寧同白也親。狂雲復妬我三人。世間萬事皆如此云云。</text>
<title>輓盧榮川 大河</title>,<text>壽星元與酒星隣。家世風流七十春。楊氏有孫皆遠大。劉君襲祿未全貧。池臺客散芳塵歇。壠樹雲深宿草新。怊悵妓淵瞻拜約。一生孤負古之人。</text>
<title>次玉成壁上韻</title>,<text>北風誰與可同車。耕釣歸心已著書。多病此來眞會合。一尊相屬敢徐虛。朋情沈約憐衰暮。世事興公賦遂初。天恐盛遊容易散。爲敎佳雨更蕭疏。</text>
<title>題彰賜亭集端</title>,<text>買山東郭計常違。旋馬無廳似布衣。吳札晩隨孤劍去。漢疏新侈百金歸。經營得有榮君地。歌詠仍增耀世輝。傳後滿籝非遺子。龍光不盡在翬飛。</text>
<title>次沙溪亭韻 竝小序</title>,<text>古逸士房應賢亭也。其孫上舍改構其亭。求詩於知舊。韻實蘇齋首題也。往日曾過帶郡東。奔忙未得入壺中。遙憐舊業臨溪水。聽說新亭對澗松。高士儀刑山偃蹇。賢孫襟韻月玲瓏。憑君笑我棲霞志。歧路今年獨泣窮。</text>
<title>輓沈直長 大臨</title>,<text>塞垣行色杳歸程。王事驅馳性命輕。梟獍豈曾知義分。刀鎗元不貸忠貞。門閭望眼迷千里。關路遊魂咽五更。人世祇今多枉死。幾家褒贈慰幽明。公以金吾郞。拿韓明璉。中路被戮。贈職賜祭故云云。</text>
<title>穆陵改葬輓 二首</title>,<text>攀髥至痛有餘悲。淚入喬山不勝垂。仙仗改觀翁仲面。幽銘新換外孫辭。原稱吉宅魂靈妥。地近先陵杖屨隨。聖孝祇今堪頌美。揄揚豈足數行詩。蓂庭不復聽匀天。如喪衷情二十年。鼎水又霑龍去淚。梧山爲有馬鳴阡。經營但得於心恔。哀慶初無式禮愆。瞻拜孰非嗚咽者。白頭悲痛最潸然。</text>
<title>輓鄭景任 經世</title>,<text>少年爲友老爲師。嫫母何曾望學施。路脈已難窺髣髴。脚跟纔得免顚危。三霜更接平生面。一訣翻成後死悲。只是夜臺朝暮會。暫時收淚欲無思。</text>
<title>新寧竹樓。次退陶先生韻。</title>,<text>暫投仙館解腰銅。萬事都休一枕中。小澗繞階光澈底。長竿當戶氣凌空。摩挲破壁探陳跡。歌詠高篇仰古風。欲寫此間無限意。荒蕪直恐語難工。</text>
<title>衙養雎鳩。一日高飛。被人尋還。</title>,<text>黃口携來養育勤。一庭鳴啄惜離群。將雛未慣眠沙月。叫侶寧知戲水雲。逸翮到秋生舊鎩。奇毛得日耀新文。長風正激江湖志。我亦思歸欲放君。</text>
<title>輓晉昌君姜 絪</title>,<text>舊家喬木帝城傍。王氏靑氈世澤長。茅土盛名臺揭像。蒲鞭餘化石流芳。西樓酒盡親朋散。南極星沈大老亡。莫遣羊曇門外過。恐聞隣笛起夕陽。</text>
<title>輓鄭相國 昌衍</title>,<text>生長忠賢尙有村。近來猶復見三尊。元龜在世爲人信。喬嶽無言鎭士論。諸子衆孫傳盛業。三槐九棘說名門。祇今辜負蒼生望。黃閣凄凉月色昏。</text>
<title>送李承旨 汝復 赴襄陽</title>,<text>見說東征逐子歸。宮香猶襲老萊衣。三牲達孝天應識。百里循良世亦稀。劉晏入山諸犬幻。葉城濱海兩鳧飛。可憐皓首塵中客。風樹悲生淚獨揮。</text>
<title>輓綾城府院君具 宏 夫人</title>,<text>婦德宜中饋。閨箴徹外門。彗星姬妾悅。兟羽子孫蕃。繡閣徽音斷。蘭牕永夜昏。張林不在世。誰綴送行言。</text>
<title>錢塘訪圓澤雙韻 月課</title>,<text>碧眼黃馘雙眉蒼。龍象骨法殊昂昂。多生發心遣未嘗。色相不隨微塵亡。三巴舊約十二霜。牛背一唱眞峨洋。乾坤失意抱冤傷。蓼莪久廢哀哀章。吳薪越膽已無望。人世此身何凉凉。寧從方外托道場。竹院一過形相忘。佳山勝水共倘徉。錫杖不曾爲參商。安知分合苦無常。峽裏數語驚離腸。松襟月臆已茫茫。踽踽何處連蒲床。今看釋送奇俊郞。葯笠莎衣川水傍。前身自是老眼藏。法門舊識誠琅琅。新詞珍重寫數行。爲謝故人猶疏狂。相逢意氣自飄揚。刮目更接磨尼光。探環昔聞姓爲羊。此理杳冥終難詳。仙凡奇遇不可長。舞袖一揮歸心忙。江雲漠漠水泱泱。隻影無計尋禪房。靈隱寺前欲夕陽。鬼門關外人彷徨。回首舊遊山千岡。地</text>
<title>騅馬行</title>,<text>房精飛出渥洼池。神物項領眞權奇。英雄馳騁得相從。西向一鞭風生鬃。干戈八載恣橫行。歷塊步驟誰能爭。長嘶滎洛晝晦塞。蹴踏睢陽人辟易。中原鋌鹿在目中。威望已慴關西東。時乎不利天欲亡。逸足何處能鷹揚。悲歌玉帳勢蹙蹙。澤畔凌兢泥滿腹。烏江江上日渺渺。涕垂重瞳愁欲倒。平生戀主主已逝。弊帷碓魂誰復瘞。古人論驥必稱德。可笑當年徒以力。</text>
<title>落月滿梁</title>,<text>白也平生志。長空一片月。一斗酒百篇詩。不見淸輝興不發。自君之出矣。減却光華雲半沒。相思獨有故人在。幾立淸宵望銀闕。蹁躚無復影凌亂。永夜同孤意超忽。草堂攲枕魂依依。忽到牕前看怳惚。吟成杯倒宛昔年。不道詞仙在百粤。覺來梁上皎如燭。向我分明照心骨。當時顏面顧眄間。咫尺森然如對越。遙知此夜采石江。波上婆娑步塵襪。銀蟾偏愛水底懸。醉裏猶應俯瓊窟。天涯消息若爲傳。欲向蒼茫問存歿。參橫魄落曙色分。仰屋沈吟思不歇。</text>
<title>輓金景守</title>,<text>世襲儒家業。才爲士類推。庭中一叢樹。席上萬金貲。步驟山公子。名華謝氏兒。前程頗遠大。餘緖必扶持。斯疾人而有。夫天意未知。冉牛唯是命。扁鵲不能毉。瑤府曾編籍。塵寰始解屍。猿腸留幾寸。鸞鏡閉深帷。寂寞藏書室。悲凉種竹池。親朋憐伯道。里巷哭桓彝。運數斯焉已。箕裘繼者誰。嘗予持豹管。許子坐皐皮。縱愧提撕力。當稱善惡師。摧傷情獨厚。揮灑淚偏垂。文獻鄕爲舊。賢才代不衰。邇來多喪厄。吾黨日孤危。何處埋英骨。無緣覩雅儀。失聲長痛意。非直爲吾私。</text>
<title>金櫻花</title>,<text>庭畔金櫻樹。開花半出墻。天機不可掩。世人亦觀光。</text>
<title>聞賣鷹買板</title>,<text>離家未返鷹何用。就木無幾板最要。但恨不知吾死所。斂身於此亦難料。</text>
<title>輓宋上舍 彥明</title>,<text>義分元來厚。過從老去頻。羊曇他日哭。豈忍見雙麟。歲月人間促。親朋地下多。吾行亦未遠。不敢倚門歌。</text>
<title>輓姜石峯 䨞</title>,<text>顏巷簞瓢樂莫爭。至今風色有餘淸。江頭一髮孤峯在。人道當時處士名。</text>
<title>輓趙景長內助</title>,<text>見說高門有壺儀。螽斯蟄蟄室家宜。瑤宮舊籍催歸急。豈識人間死別悲。</text>
<title>輓金景溫</title>,<text>忠孝家傳業。仁賢世有風。抱關仍隱德。懸磬不憂窮。一病毉無效。孤孀怨未終。傷心鄧伯道。天意竟濛濛。</text>
<title>輓柳汝章</title>,<text>世澤簪纓裔。中庭玉樹枝。儒風家有訓。仁德口爲碑。每歎才難展。今傷命最奇。懷賢不盡淚。此日寢門垂。</text>
<title>輓丁興海 好寬</title>,<text>山海萊公夢。民襦蜀郡歌。孤懷愁楚曲。往事憶鑾坡。一病緣憂國。三年未及瓜。無因覩雅表。哭待素輀過。</text>
<title>輓沈淸風</title>,<text>族亞齊安陸。庭皆晉右軍。恩榮茅土裂。惠澤竹符分。偶熟三山路。新抛萬石君。豐碑將記德。誰撰外孫文。</text>
<title>輓朴 永緖</title>,<text>卓犖初名世。驅馳早許身。時危惟見義。力屈便成仁。憤氣軒天地。精忠質鬼神。常山餘事業。萬古獨斯人。</text>
<title>輓宋主簿 亮</title>,<text>世襲簪纓業。人傳孝友門。九孫家道遠。三達地望尊。星文晦南極。芝社失東園。不復吾鄕黨。承聞長者言。</text>
<title>輓成芙蓉堂 安義</title>,<text>六載生離恨。重泉死別悲。無緣對靑眼。何處見厖眉。海內親知盡。人間涕淚垂。吾衰寧可久。朝夕會相隨。</text>
<title>贈別趙棐仲西行</title>,<text>聚散浮雲外。情親氣槪中。三杯千里恨。五夜一聲鴻。脈脈離歌發。悠悠去路通。長安一片月。應照楚天空。</text>
<title>輓李大邱 穧</title>,<text>僚宷瞻山立。隣州仰羽儀。那堪年不惑。忽道病難毉。盛事名留塔。深仁口作碑。古人懸劍意。霑灑海天涯。</text>
<title>輓崔判尹夫人改葬</title>,<text>主饋詩書閥。持門喪亂年。月中繩斷早。泉下劍埋先。得地安新卜。同原續舊緣。人心到此恔。弔淚莫潸然。</text>
<title>輓全奉事 磊</title>,<text>落地同今世。分宗愧古敦。儀形長費夢。音信忽招魂。詩禮留餘訓。哀榮見後昆。九泉應自慰。于氏已高門。</text>
<title>輓黃君吉</title>,<text>玉樹生同閈。金蘭託久要。情深應戛骨。義合實投膠。隱德安瓢飮。名近斗杓。自分爲死伴。誰肯易貧交。夢幾江南度。書從渭北遙。中年各悲酸。昨歲喜相邀。范叔寒如此。長卿病未調。靑眸開旅館。白髮對良宵。過客團圓罷。離魂去住銷。那堪成永訣。遂復阻高標。古事今淪沒。前期已寂寥。關河數百里。涕淚兩三朝。有紼吾何執。無驂賻不饒。鳳毛方出穴。鸞翥正凌霄。于氏閭初大。張門福未消。冥班昕夕會。豈必奠芳椒。</text>
<title>輓呂 大老</title>,<text>忘年夙昔費過從。垂誨時蒙許戇舂。命駕固非今世事。停雲空憶故人容。平生恨負爲王翰。中夜悲深泣孝宗。文學品論吾黨士。樓高幾處見元龍。</text>
<title>輓詩[金應祖]</title>,<text>愚老蒼翁早比肩。商顏一代挺三賢。沖襟晦跡還隨俗。重望傾朝晩入銓。浮世是非風雨鬧。老臣名節始終全。傷心嶺外文衰久。人物如今益渺然。金應祖</text>
<title>輓詩[沈東龜]</title>,<text>東南才俊士林鄕。領袖高名擅一方。曾在先朝優寵眷。朋來初服藹明良。艱危非復昇平想。耆德偏傷次第亡。鷄酒無由徐孺哭。嶺雲迷眼淚雙滂。沈東龜</text>
<title>輓詩[洪鎬]</title>,<text>德公床下拜丰儀。早荷提撕辨路歧。純一貞忠天所鑑。雍容進退世皆知。狂瀾此日誰回者。大廈當年孰柱之。遽使邦人歌殄瘁。題詞不但哭吾私。洪鎬</text>
<title>輓詩[金瑬]</title>,<text>鄭李俱泉壤。東南孰典刑。斯文轉寂寞。此老又凋零。佐貳天曹重。留名諫省馨。行藏關世道。文彩潤朝廷。乍報尊耆秩。俄聞晦壽星。頃年同哭子。慘禍可言丁。地下應無戀。人間尙寓形。嶺雲春杳杳。江雨晝冥冥。涕淚題哀輓。風飆覺爽靈。九原無起日。何處眼重靑。金瑬</text>
<title>輓詩[沈演]</title>,<text>先輩皆淪沒。斯人尙典刑。醇姿表多士。宿德賁朝廷。經席陳堯舜。銓衡辨渭涇。直辭誠必感。雅論義兼形。拔擢由儒術。遭逢荷寵靈。大年仍峻秩。南極看祥星。佇趣安車召。誰知杵相停。輟朝遵舊事。紀德勒新銘。疇昔叨藩服。從容叩戶庭。春風座上客。幾日郭西亭。殄瘁關時運。驚呼問彼冥。始終寧有愧。聲聞故惟馨。關塞塵全暗。乾坤氣半腥。浮生不知樂。回首涕空零。沈演</text>
<title>輓詩[李景憲]</title>,<text>嶺湖文憲賴鴻儒。何況朝端上大夫。鄕塾摳衣誰先覩。耆英開席望還孤。勤王赴險誠猶篤。哭子銷腸病未蘇。惆悵商顏人又去。漢家書幣阻泉途。李景憲</text>
<title>輓詩[金藎國]</title>,<text>愚老云亡久。蒼翁亦已隨。斯人今又逝。吾道竟無依。後學將安倣。皇天不憖遺。哭君餘白首。衰淚獨霑衣。金藎國</text>
<title>輓詩[金三樂]</title>,<text>中朝聲譽重南金。公輔巖廊屬望深。人爵旣兼天爵峻。德星俄竝壽星沈。始終出處看良史。生死哀榮軫聖心。最是吾商無限慟。十年三度哭靑襟。金三樂</text>
<title>輓詩[李燦]</title>,<text>愚老蒼翁俱重壤。誰料先生又至斯。耆耇存亡關世道。豈惟吾黨一時悲。李燦</text>
<title>輓詩[金鍌]</title>,<text>柱石兩朝老。儒林百世師。胷中憂進退。身上國安危。謂有鹽梅契。終成殄瘁悲。鯫生今日慟。非但爲吾私。金鍌</text>
<title>輓詩[權濤]</title>,<text>主屹山高洛水淸。商顏淑氣鍾群英。穌翁文彩先持幟。愚老功程繼主盟。竝世地靈傾洛社。似公天分冠鄕評。天球未琢猶溫粹。古鏡新磨見性情。濁世翩翩誰竝駕。危邦望望便歸耕。時淸次第風雲會。歲暮參差劍佩鳴。玉署銜香才豹直。薇垣專席又廷爭。葳蕤風彩光朝右。啓沃鴻猷裨世程。愧我不才聯步武。負山無力似蚊蝱。十年東洛同憂樂。千里長沙隔死生。魚腹有書通問訊。夢中迷路阻逢迎。兵間邂逅心如醉。轂下追陪歲又更。國有老成朝野喜。章封引退搢紳驚。淸秋喜色憑孤雁。窮臘凶音奠兩楹。他日易名誰摭實。知公如我只呑聲。重泉不分攀仙袂。題輓那堪老淚傾。權濤</text>
<title>輓詩[李元圭]</title>,<text>當今齒德孰爲高。玉立仙班動百僚。去志豈能留出晝。宸心猶復望還朝。衆皆仰斗瞻光霽。公忽乘箕返泬㵳。大澤龍亡鰌鱔舞。坐看鄕黨日蕭條。李元圭</text>
<title>輓詩[盧峻命]</title>,<text>爲國人相弔。兼私我最悲。先儕今已盡。小子竟何依。聖眷哀榮備。天施壽福稀。坐違臨穴訣。齊宿哭兄朞。盧峻命</text>
<title>輓詩[鄭太和]</title>,<text>昔我巡南紀。當公退故園。詎能澄一路。惟幸拜三尊。入室薰餘馥。開襟佩格言。俄驚風拔木。誰使薄夫敦。鄭太和</text>
<title>輓詩[沈悅]</title>,<text>蓮花榜上久聯名。浮世榮枯各飽經。嶺外音書恒斷絶。夢中顏貌不分明。方歆宿德爲蓍蔡。遽見朝廷失老成。鄕路阻脩違一哭。題詞叵耐淚霑纓。沈悅</text>
<title>輓詩[南以雄]</title>,<text>懸車歸臥洛江潯。名擅三尊世共欽。嶺外當年師道在。南州今日壽星沈。流風可使敦澆俗。遺範端宜賁士林。京口故人餘白首。欲題哀輓淚盈襟。南以雄</text>
<title>輓詩[李植]</title>,<text>經術揚名早。榮途振策遲。雲龍時遇合。戎馬事艱危。一老安田里。同朝望蔡蓍。無何歌露薤。不復詠商芝。昔在彙征日。瀛洲忝列仙。知公眞長者。遇我豈徒然。江嶺終相阻。萍蓬亦有緣。龍鐘遲一死。冥會更何年。李植</text>
<title>輓詩[全命龍]</title>,<text>威鳳祥麟應半千。聖朝經幄慶登賢。忠規盡入霜臺筆。淸議同歸吏部銓。道合溫公還洛日。壽齊姜叟遇周年。秦舂遽輟艱危除。未欲平治怨老天。全命龍</text>
<title>輓詩[李德圭]</title>,<text>抱負皆經術。遭逢佐聖明。士林依宿德。汗竹耀功名。國有中衰運。人亡間世英。梅湖未盡痛。今日哭先生。李德圭</text>
<title>輓詩[李大圭]</title>,<text>尙喜吾南有達尊。洽然輿望屬斯文。兩朝事業輝姱節。三接榮光被聖恩。痛哭可堪逢殄瘁。依歸無復挹春溫。當年氣像從何見。松柏蒼蒼滿古原。李大圭</text>
<title>輓詩[李後陽]</title>,<text>一團和氣藹如春。踐履切深學業醇。蒼石諸賢同出處。花川吾舅託心親。年高八耋仁能得。位阻三台道亦屯。後輩卽今何所倣。我東鄒魯更無人。李後陽</text>
<title>輓詩[逸姓名]</title>,<text>誰遣哀章促我成。相公靈駕報將行。溫良德厚殊凡質。磅礴扶輿間世精。淸謹律心要有立。中和持論貴無爭。推稱可記先人語。景慕何如小子情。弱冠才華傾衆士。暮年文彩動諸卿。洪恩曾被三朝渥。遐算終歸八袠盈。海路乘槎鮫鰐避。騷壇落筆鬼神驚。故林雲月身常穩。平地風波足不輕。廊廟論治違夙願。郊扉養疾了餘生。千莖已白傷時髮。一片空丹戀主誠。碩望端宜升紫棘。盛名那遽上紅旌。南州長老凋零盡。此日難堪涕淚橫。逸姓名</text>
<title>奉送聖節兼冬至使全公赴京[李晬光]</title>,<text>日當南至慶流虹。妙簡詞臣謁帝宮。許國忠誠危可仗。登途氣槩老猶雄。雲帆曉破三山色。王節秋橫萬里風。惟有故人傷別意。不堪愁病海天東。芝峯李晬光</text>
<title>奉呈冬至使令公赴燕京[鄭光績]</title>,<text>萬里朝天客。黃花赤葉時。臺端聯步武。經幄聽論思。滄海孤帆遠。斜陽老馬遲。病中聞折柳。聊贈五言詩。鄭光績</text>
<title>奉贈全侍郞浮海朝京之行[金尙憲]</title>,<text>三月銀臺侍御筵。白頭蹤跡幸相聯。分襟遽散含香席。執玉還登泛海船。齊魯絃歌思莞爾。蓬萊宮闕想欣然。男兒壯觀玆爲最。不用臨歧惜別偏。淸陰金尙憲</text>
<title>送全參議以賀冬至使赴京[趙翼]</title>,<text>曾在邱園仰盛名。幸逢淸世會王城。方欣聯步趨金殿。何意分飛向玉京。自是朝廷難使价。固知忠信積平生。從來此別尤堪惜。靑海燕山萬里程。浦渚趙翼</text>
<title>奉送冬至賀使令丈浮海朝京[李聖求]</title>,<text>昔在銀臺日。同看月幾圓。下情欣接席。高義許忘年。聚散人間世。蒼茫海上天。秋風送行處。爲誦帝京篇。李聖求</text>
<title>奉送秋部全參議朝京賀至[李敏求]</title>,<text>乘槎使者問河源。遠道衰年不可論。家隔洛東淹歲月。身遊冀北共乾坤。懸知帝略恢沙磧。豈有胡塵近塞門。專對歸朝應計日。雲濤極望也銷魂。幽都北極會冠簪。恒衛秋雲碣石陰。海內風塵遊子色。天涯尊酒暮年心。波濤送客帆檣遠。霜雪欺人鬢髮深。聞道燕臺稱俠窟。悲歌不似越中吟。李敏求</text>
<title>奉贐全侍郞以冬至使朝京[睦大欽]</title>,<text>仙槎的的趁初陽。一道銀河控帝鄕。夷險向來當戮力。別離何用謾悲傷。百年禮樂今周室。萬里梯航故越裳。快覩盛儀動星象。任敎忠信護行裝。心馳遼薊何牢落。路指靑齊更渺茫。客裏愁懷秋見月。鬢邊時序露爲霜。祥雲正繞千官入。化日潛隨一線長。旋旆定知春未晩。玉壺相待漢城傍。睦大欽</text>
<title>送沙西老兄奉使朝天[崔睍]</title>,<text>我送同庚友。乘槎入帝京。乾坤雙眼闊。滄海片帆輕。韶濩聞齊樂。絃歌近魯城。胡爲傷老別。萬里尙橫行。訒齋崔睍</text>
<title>送沙西朝北京[李埈]</title>,<text>少年交誼鬢成絲。莫怪今朝悵別離。星馭迥朝天北極。雲山杳隔嶺南涯。燕京古跡頻揮淚。鼇島晴光盡入詩。想得彤庭齊祝壽。錦袍催賜繡葳蕤。靈槎八月海茫茫。忠信寧嫌水路長。才健玄虛應作賦。身輕汗漫迥爲鄕。趨班紫闕衣冠盛。稽首中天日月光。送別今朝仍感舊。賜衣猶覺有餘香。手捧芝函謁九重。歸程遙指五雲中。槎橫海上通銀漢。劍拂腰間射玉虹。一點半洋尋舊跡。千年東魯泝餘風。壯遊草罷涵虛賦。聲價何如左太沖。泛使聯翩往。藩邦禮意恭。皇恩深似海。重譯賀無風。土貢來犀象。宸居壯虎龍。舊遊那得再。吾老已成翁。萬里滄溟闊。身乘鶴背風。乾坤餘海岳。今古幾英雄。壯志酬司馬。孤忠憶圃翁。錦囊誇瑰觀。光彩射長虹。蒼石李埈</text>
<title>送節使沙西赴京[李廷龜]</title>,<text>暫輟銀臺法從筵。仙槎萬里去朝天。燕山勁氣呑杯酒。魯國諸生揖馬鞭。男子壯遊今日試。錦囊佳句幾人傳。應知觀樂歸舟日。笙鶴魚龍擁後先。月沙李廷龜</text>
<title>奉別沙西令兄赴京</title>,<text>一自遼陽陷虜鋒。朝天還賴木道通。男兒事業詩書上。行李魚龍出沒中。利器要須盤錯試。明時寧欠選掄公。只緣此別當衰暮。分手悽懷自不窮。莫道秋風海路艱。世間平地起波瀾。君能堅定脚跟去。何處行身不得安。</text>
<title>敬贈全侍郞以冬至使朝天之行[趙絅]</title>,<text>浮槎鯨海拂天星。立馬麟郊想典刑。夫子此行從達蹠。駿才當日自窮經。千門曉旭添宮線。萬國衣冠動鹿萍。吳札觀風難獨美。佇聞周史姓名馨。竊聞朝京路。踐齊魯之郊。故起句用麟郊語。○趙絅</text>
<title>遙別全沙西赴京之行[趙靖]</title>,<text>冒衝鯨波逾千里。專對皇庭秉一心。遙贐謾言兄可恕。昭昭頭上日星臨。黔澗趙靖</text>
<title>奉送全令公朝天[李文伯]</title>,<text>王命銀臺老。乘槎拜冕旒。妖氛當去路。離恨況深秋。忠信天應護。波濤我不憂。知君還到日。春滿鳳池頭。李文伯</text>
<title>奉送冬至正使[洪命亨]</title>,<text>學富三餘志四方。斗南人物出尋常。身爲冬至朝京使。職是秋官右侍郞。萬里風波從坦道。一誠夷險奉明王。河橋無限傾城送。爭似銀臺舊意長。洪命亨</text>
<title>送全侍郞賀至節之行[權晵]</title>,<text>去年人送朝天日。爭念鯨波萬里船。惆悵秋風君又別。好歸如我續詩篇。千官趨賀動雲雷。銀燭輝煌映斗魁。禮罷龍庭回象仗。雪床沽酒對金罍。權晵</text>
<title>奉送全秋部丈人朝京[姜大進]</title>,<text>萬國衣冠趁閉關。鷄香新輟紫宸班。仙槎海接田橫島。驛路秋生轉附山。事有險夷俱是職。身當恩遇未應閒。尊前莫動驪駒怨。好與春風作伴還。姜大進</text>
<title>奉別聖節使之行赴京[辛啓榮]</title>,<text>朝天冠冕趁新秋。妙簡淸時第一流。正笏鑾坡推雅望。浮槎銀漢辦遐遊。風高鹿嶼濤聱壯。雲闊燕山客路脩。遙想彤墀獻賀日。萬邦環佩響琅璆。辛啓榮</text>
