<title>戲贈盆梅主人</title>,<text>戶外寒猶緊。房中別有春。漑根徒要實。淸翫也誰人。</text>
<title>輓詞[趙檀]</title>,<text>誼重潘楊阿姪舅。遽然今作大歸行。曾懷荊萼凋零歎。又抱苽親彳亍情。處子行爲眞道理。古人書有實工程。可憐賢友深藏日。病未攀輴涕自橫。</text>
<title>輓詞[李仁宅]</title>,<text>眞純耿介性。樂善自無竆。世事風烟外。心工墳典中。如何天不憗。喪此一賢翁。昔好追遊密。今難會語同。斯文嗟已矣。志業摠成空。孤月佳城隱。飛㫌去路通。荒聯情豈盡。悲淚灑寒叢。</text>
<title>輓詞[趙希益]</title>,<text>畏友當時先數子。心交金石死生饒。不圖白首猿腸斷。遽作靑天鶴影遙。從此斯文聲莫振。矧伊吾黨氣全消。三秋病臥違臨穴。孤負幽明涕自飄。</text>
<title>輓詞[李壽恒]</title>,<text>善士吾鄕更有誰。送兄今夕倍悽其。雍容愷悌人爭慕。德行文章世共推。衰病多年靑眼少。東西相望白頭悲。春初一別重尋約。未遂人間地下期。</text>
<title>輓詞[趙景松]</title>,<text>愷悌寬仁拔俗流。金蘭自少兩綢繆。同鄕百載親中表。古禮千篇質緖頭。函席追遊今失所。羡門蕭索共含愁。泉臺吾亦歸非遠。爲問他時更見不。</text>
<title>輓詞[趙景采]</title>,<text>詩禮文身錦繡腸。斐然氣質玉磨光。工程已貫天人際。譽毁元無甲乙鄕。蠅附幾年將有得。龍亡今日倍興傷。只緣衰病違臨穴。哭向新阡淚滿眶。</text>
<title>輓詞[黃履昌]</title>,<text>吾友茅溪子。生平志業恢。居家誠孝篤。牖世禮經開。德望巴山重。淵源錦水來。舊交從此盡。裁誄獨徘徊。</text>
<title>輓詞[安處善]</title>,<text>愷悌吾公孝友敦。文章餘事不須論。平生已痼林泉癖。到老竆探性理源。卜舍病吟灰世慮。原廬門掩絶塵喧。白鬚從此知音斷。獨立乾坤踽涼存。</text>
<title>輓詞[洪命海]</title>,<text>末路歧囂容大度。斐然雅操自超倫。待人接物誠心露。應事持身信義純。每喜儒林根柢固。豈知乾象小微淪。淸儀自此幽明隔。舊誼從來倍愴神。</text>
<title>輓詞[趙爾勝]</title>,<text>吾鄕不幸運邅迍。仁壽猶嫌七十春。孝友傳家人有慕。淸高拔俗世無倫。妙年聲價鳴詩健。晩歲工程味道眞。一子先摧公莫痛。三蘭尙茁葉蓁蓁。</text>
<title>輓詞[趙景相]</title>,<text>公是吾南望重人。偉然器度逈超倫。潛心墳典工程篤。養性林泉德業新。大廈虹樑遽撓折。斯文氣數竟沉淪。餘生此日無竆淚。不啻當年舊誼親。</text>
<title>輓詞[安達興]</title>,<text>金玉其心雪月姿。妙年才藝擅南陲。傳家孝友人皆仰。守己權經衆共推。自謂追陪期百歲。那知永訣在今時。長吁痛哭攀輀處。只怨皇天不憗遺。</text>
<title>輓詞[成大徽]</title>,<text>南州善士說夫公。錦水薰陶行義風。志氣端藏丘壑裏。精神涵養典墳中。方知鶴筭爲仁壽。豈料龍年値夢凶。會葬靑山人幾許。云亡此日所懷同。</text>
<title>輓詞[趙希愚]</title>,<text>已歎芳蘭萎一莖。又驚仙鶴返三淸。情親非我哀偏切。學絶逢人淚亦傾。詩禮兒孫垂炯戒。雲林六十送平生。雍容德宇承何處。回首山東杳典刑。</text>
<title>輓詞[李垕錫]</title>,<text>巴岳何崇崒。我公毓此精。春風吹面朗。江月照心淸。鍾呂懸文藪。圭章賁世禎。師門承旨訣。鄕黨慕脩名。向我丱冠日。多蒙警誨誠。佇看六遯義。能得九如幷。誰識玉樓使。忽傳金磬聲。瑤環泣舊硯。坂玉喚遺棖。寂寞橫組帳。蕭條掛典塋。餘生焉考德。悵望東都程。園靜松篁老。堂空簡帙盈。虛明茅澗月。千古表精靈。</text>
<title>輓詞[成大方]</title>,<text>秋水精神好。春風氣味休。文章餘事業。詩禮是箕裘。寂寞林泉暮。飄颻廣漢秋。後生何所仰。庭賀典刑留。</text>
<title>輓詞[朴尙節]</title>,<text>壯元家世紫薇村。德行文華又見尊。腔內嗜仁要蔗境。眼前營達視槐園。高名山斗留千歲。善跡琳琅耀一門。平宿眷深違執紼。欲題蕭挽淚先呑。</text>
<title>輓詞[趙元南]</title>,<text>泣吾先考淚。又作哭公悲。棠棣餘三萼。庭蘭隕一枝。處鄕朋友信。開卷聖賢師。千古茅山麓。永埋玉樹姿。</text>
<title>輓詞[門生安應瑒]</title>,<text>十載沉沉二豎嬰。那堪千古隔幽明。儒林望重人瞻斗。仁宅身安世慕羹。出入鱣堂承至誨。追陪芝榻荷深情。今來不接雍容範。感淚潸潸濕兩纓。</text>
<title>輓詞[門生趙元東]</title>,<text>薑桂貞姿玉色溫。六旬鄕黨性名尊。詩書禮樂淵源正。風雨晨昏孝友敦。有眼笑他齮齕世。虛心守我寂寥村。攀輀未灑梁山淚。風樹孤兒表從孫。</text>
<title>輓詞[門生李世德]</title>,<text>小子於公幾佩銘。擊蒙承誨自髫齡。重深莩誼趍雙屐。且荷鍾音引寸筳。焦界擬終靈桂老。函筵誰識釘梨零。攀輀拜哭何辭侑。所慰庭蘭是典刑。嗚呼公與我先人。自是同庚中表親。蛩蚷舊情今已矣。追惟那忍愴懷新。</text>
<title>輓詞[門生趙奎輝]</title>,<text>昨夜微星晦。南鄕士失師。夫公來去日。巴岳重輕時。君子今焉恃。斯文已矣衰。緘辭哀以寓。慟哭豈吾私。</text>
<title>輓詞[門生李師悶]</title>,<text>吾公純質得於天。言行周旋合自然。灑落胷衿無点垢。雍容氣像脫塵緣。非徒睦族推誠悃。多荷陶人細究硏。回首山南虛丈席。題薤難抑涕漣漣。</text>
<title>輓詞[門生再從姪贇望]</title>,<text>乾文忽報少微藏。飽德山中處士亡。咸惜奇姿崑玉美。更憐嘉行谷蘭香。十年床席呻吟苦。萬卷詩書玩味詳。聞道師門踏眞實。着工餘事業文章。事非事是言無決。人短人長說未嘗。浮世功名看草芥。林泉性癖在膏肓。蕭蕭華髮弟兄樂。日日茅齋征邁場。老去逐年遭厄運。向來隨日疚慈腸。蒼天降禍何偏酷。華表歸翔又太忙。道喪從知隨易簀。門衰不啻痛摧樑。臨終執手丁寧訓。到此銘心曷敢當。懶學多年曾蠢蠢。失公今日益倀倀。雖然戴記宗要語。固是私家日用常。手澤尙新刪抄苦。拙毫何負勉敎長。嗚呼家學淵源絶。寂寞門前夜色蒼。相彼蘭芽齊茁美。佇看箕業不墜荒。一區山翼松楸老。三尺佳城位面陽。地下陪遊公可樂。人間孤露我徒傷。薤歌唱斷玄宮閉。痛哭無言雪涕滂。</text>
<title>輓詞[門生再從弟東培]</title>,<text>脩路三泉恨莫追。提撕面命奉无期。儒林自此元無主。後學從何更質疑。門戶盛衰存沒日。山林輕重去來時。薤歌一曲心腸裂。痛哭長吁萬古辭。忍忘臨沒訓。欲說痛難堪。摘埴今安往。迷途失指南。</text>
<title>輓詞[門生三從孫龜徵]</title>,<text>棟折樑摧我室傾。天何不慗鬼何獰。靑年事業詩兼禮。白首工夫敬與誠。天北幾瞻嵬斗極。海東今報晦微精。沉痾十載因乘化。德嶽含悽栗澗鳴。</text>
<title>輓詞[門生三從孫獜徵]</title>,<text>長擬平生座上陪。那知今日隔泉臺。儒林氣索絃歌廢。學海波驚舟楫摧。家業其頹誰克復。堂規將沒更難恢。雍容氣像何時奉。痛哭攀輀涕滿腮。天保吾宗道不衰。錦陽之後又巴山。嗟公一去無傳緖。緬憶題詞涕自潸。</text>
<title>輓詞[族人宗臣]</title>,<text>惟公在日碩吾門。餘事文章不足言。處世是非知色擧。見人名利笑雲翻。傳家事業詩書禮。克己工夫信義仁。可惜靑山洊埋玉。子先父後詎堪聞。</text>
<title>輓詞[族人聃壽]</title>,<text>夫公襟韻月涵淵。鏟彩丘園德業專。行篤孝廉箴末俗。工存性理襲前賢。名高斗北才何試。身臥嶠南樂自然。不幸門衰長厭世。餘生此日更堪憐。</text>
<title>輓詞[族人益壽]</title>,<text>密翁纔宿草。茅老又新阡。家失棟樑重。士亡準的賢。閉門竆性學。吟病養心天。逆理公何忍。歸程痛恨纏。</text>
