<title>寫扇面。贈人叙別。</title>,<text>欲持楊柳贈。霜後已無枝。便面如眞面。投之叙別離。</text>
<title>余之遊水墮也。懶不作詩。歸來乃摭所見。成此一百十二句。非敢爲詩。只錄所經歷者。觀者勿嗤。</title>,<text>昨夜夢龍湫。霜落澄潭碧。今朝聞人語。秋光正奇特。卒因狂興出。不與朋知約。孤舟渡江去。騎馬向孔雀。與俱者誰子。沈生風流客。行裝太蕭洒。倦僮與短策。儉歲民物悲。極目心惻惻。野郊無禾黍。岩楓只秋色。路絶岸亦斷。馬行由山麓。故老見客拜。欲語長怵惕。何忍說往夏。至今驚魂魄。洪水乃滔天。蕩蕩裂坤軸。平地開渺溟。高岡變深谷。人畜隨波瀾。徹天靑山哭。一朝其害去。天地如改闢。死者未收骨。生者餓塡壑。百家十家村。僅餘人五六。田民俱蕩然。何能念稼穡。秋來不似秋。食草如食玉。舊路無形址。新路未修築。如欲往水墮。宜遵彼山脉。聞此重喞喞。遊賞意索漠。始向山下去。危岸半傾仄。何處孤烟起。山寺一岡隔。欣然蹴馬去。洞口雲猶積。松樹連蒼蒼。鳥聲何寂寂。行行洞初盡。山圍地少拓。龍湫翻入眼。豁然開胸臆。不入梵宮樓。直至坐盤石。誰將造化斧。擘破蒼崖腹。峽流出山急。奔下作懸瀑。靑天怒雷雨。白日飛霹靂。水落作潭淵。其深不可測。往往波濤驚。聞有老虬伏。浮嵐滴蒼苔。翠壁立如削。錦繡涵碧流。楓林巧爲餙。叢桂老丹壑。枯松巢水鶴。高枕石頭卧。塵慮一洗濯。諸僧集稍稍。相看多舊識。仍與話一塲。淸談亦脫俗。山栗療我飢。峽味更淡泊。詩成無紙筆。猶將赤葉刻。逸興橫素襟。眼底乾坤𩂖。步踏金沙界。路轉千萬曲。天王立寺門。怒眼令人愕。翻入龍堂坐。丹靑耀樓閣。往年題名字。依然猶在壁。凶歲僧猶富。滿庭鋪新糓。夕磬房房早。日午開僧粥。移時坐禪窓。古蹟訪寺籙。秋果齊結實。得霜堪可摘。想來口流涎。欲往從之覔。居僧向余道。路險不可適。初不信此語。意氣天欲拍。出門始見山。心先㥘登陟。解衣繫樹枝。脫巾掛石角。短袂何飄飄。一身無絆束。提携五六人。潛行緣隈隩。四顧無路逕。一望惟荊棘。草長露不乾。山深晝亦黑。時聞乕兕啼。惟見狐狸迹。樵童未甞到。僧脚何曾着。礙觸不敢立。俯伏穿樹隙。幽隰草根滑。步步幾酸脚。跌足墜深壑。巉岩罥雙腋。若墮烟霧中。怳惚心魂塞。攀崖匍匐出。背上汗流滴。回頭更茫然。去路迷南北。諸人競搔首。挽我歸去促。到此若虛還。應被山靈責。畏途猶盤桓。戰戰如履薄。登登或得石。心安始着足。凶荒亦及山。百物不如昔。丘岡踏已遍。果樹終未獲。同伴笑余曰。徒勞竟無益。忽瞻石上樹。藤蘿森鐵索。上有山葡萄。皆添雨露熟。欣然立其下。香氣襲衣服。拍手歡聲起。兒童爭踊躍。攀根輕身上。相呼競踘蹴。或落散百草。或摘盈雙掬。色黑如點㓒。味甘似蜂液。淮橘與楚梅。比此皆奴僕。嘫嚼雖不厭。齒酸難飽喫。傍人最耽食。失巾不自覺。風吹動兩鬂。相顧笑啞啞。九日龍山飮。參軍紗帽落。高人正放達。千載說風格。風流遠相似。何用深愛惜。藉草坐休脚。秋日看已夕。若爲歸去謀。撫膺興歎數。只記入山深。來路尋何得。雲衲解吾意。贈以杖數尺。杖之足欲輕。絶勝赤玉舃。下山猶愈上。轉輾到田陌。下立更回首。崖丹楓葉赤。眼瞻一何好。足踏一何惡。始覺遊其間。不及遠望覿。歸來上佛殿。白晝明雙燭。佛像叉手坐。塵埃暗金額。畫禪圍四壁。如星拱北極。寂滅道雖無。威儀如可則。禪牀展兩足。困疲暫休息。階前何所有。盤松偃盖綠。忽逢嶺東僧。延坐說楓嶽。贈詩留佳約。將期騁遠目。老釋多慇懃。夕飯饋我食。今行貽僧弊。使人心愧怍。歸時夜漸闌。村廬半已宿。沙彌馬前走。喚炬出東幕。還卧觀水堂。江月低瑤席。回看舊遊處。一抹山烟白。</text>
<title>送再從兄乃心氏歸鄕</title>,<text>去年與君別。離懷結中膓。今年與君逢。他鄕湛樂長。靑燈夜夜親。聯襟對書牀。怡怡共和悅。切切相磨琢。弟兄兼朋友。情義日彌篤。朝來出別語。已抱離索憂。歸庭好行色。難可挽而留。江浦夕風起。執手空徘徨。何以送君去。箴戒書數行。聖遠道亦喪。後學迷其方。靈臺本烱然。萬理無不備。反受衆形役。蕪沒自壞墜。遂令天下仁。空作一虛器。誰能勵其志。克復全天理。看君方妙齡。志氣超凡類。雕鐫事詞翰。終爲識士愧。學業貴及時。歲月同流川。任重道且遠。寧不深勉旃。切問又近思。當收日新功。根脚固已定。地步漸自洪。從容禮法塲。周旋道義門。日用事爲間。莫非其理存。工夫到此頭。何難踐聖境。顔淵躬四勿。曾參日三省。君須體此意。毋怠始與竟。倘或少間斷。差毫謬千里。是以君子人。自強無息止。駕車適萬里。行行莫遅回。顧我久迷途。頹惰良可哀。空將第一義。讓君做了哉。</text>
<title>裂券棄債</title>,<text>芒碭雲氣擁壺天。酒樓潛龍爛醉殺。當壚老嫗眼孔大。異相分明看不懈。無端遺却麴米債。契券翻然隨手壞。靑帘來去問幾箇。隆準其人獨超邁。十千酒有甕底熟。三百銅無杖頭掛。當尊不論乏高債。丈夫流涎寧可恝。春波每勸白玉巵。賓主何曾煩百拜。雲孫記得酒飮數。留作他時一償債。爐邊今日又來醉。玉山頹倒無何界。龍文五彩耀一身。驚動傍人心窃怪。花村錦肆把盃手。換握瑤啚此可解。尋常酒債豈望報。裂破空文亦自快。塵埃天子貴一饋。白璧黃金等草芥。春風玉友百千價。留待嬴家天地賣。今君雖似酒游人。海內英䧺知一介。能識堂堂帝王眞。莫謂區區女子隘。留藏不欲小利待。得失寧論家産敗。邯鄲大賈醉慾浪。可居其言吾窃戒。笑矣當時呂洞賓。空勞橘皮仙禽畫。</text>
<title>代路傍堠嘲韓退之迎送詩</title>,<text>長亭十里五里間。怪底有物名爲堠。殷宮博戱一夢罷。零落秋風古道右。誰將大筆畫其肚。任敎行人南北走。玉玦行裝彼何人。吟肩山聳愁眉皺。藍關昨夜白雪色。猶襯潮州刺史綬。河陰賦鳥已堪悲。底事驪珠又堆袖。先言聖主舜堯治。復道孤臣時命謬。終南渭水夜夜心。反要他時迎送又。如何枯骨入宮日。血䟽浪向天門奏。明時罪大合投荒。一麾殊恩亦天覆。風塵奔走髮垂素。破荷靑衫汗猶透。亭亭獨立幾年所。似子行裝罕邂逅。要津已昧出處義。楚澤休言顔色瘦。槐安春日夢中夢。猶倩靑雲繞秦峀。蠻荒血泣可追愆。塵世功名豈戀舊。風霜萬里去國懷。內省如今能不疚。從知詩語太區區。問我何年日邊就。狂風宦海舟已墜。美玉荊山價難售。中州大人莫浪懷。生入脩門恐不復。前言戱耳早歸來。他日吾當路傍候。</text>
<title>九錫嘲王丞相</title>,<text>玉獅夜吼靑蘇臺。鸚鵡驚眠語繡帳。台文一點走如電。護得纖纖初月㨾。司徒滑稽是伎倆。一語來嘲黃閣上。男兒權在婦人手。江左風流半凋喪。名花深鎖別院春。鵲橋潛橫銀漢浪。盈盈玉梅第四枝。結子東風春正放。傾城消息掩不得。竹馬翻入夫人望。花園半夜殺氣騰。玉手寒鋩秋水漾。花飛玉碎在頃刻。沙道蒼黃老丞相。威儀不暇赤舃備。短轅還催黃犢向。怱怱歸意恐後至。疾鞭風前頻俯仰。轔轔油碧拾春逃。片片紅玉終無𧏮。聞來不覺拍手笑。是日朱門故相訪。蓬萊新渥子知不。紫皇明朝將有貺。馮公上殿只肩輿。孔光中書惟賜杖。於公寵錫異乎他。別有奇制勞良匠。揮蠅玉柄長三尺。闘風輕車轉一兩。狂風一陣妬花時。護春奇方此可仗。揮來豈爲說重玄。推出還非帶乕䩨。黃扉鼎鼐已無事。相國胡爲顚倒狀。奇權能護楚臺雲。暮年功大春營將。吾王寵錫政酬勞。異數從知千載曠。方知丈夫足事業。何用尊前固謙讓。前言戱耳君莫訝。取醉且傾盃中釀。</text>
<title>乞還醒酒石</title>,<text>草鞭叱歸金華岸。織機夜虛銀河口。平泉舊庄少顔色。借問節度投還否。先翁當日開別墅。異草奇花無不有。最是一拳老雲根。玲瓏秀色名醒酒。扶來玉山倘一踞。無力胸中春十斗。花園多少翫好具。絶代奇珍此爲首。分明昔時訓戒語。尙記筵前拜跪受。非金非玉太冷淡。傳子傳孫期永久。今來臺沼半是非。蕭索荒園亂離後。林間花鳥惜不得。任敎秋骨他山走。王家舊物一片氊。忍付中夜偸兒手。移山意氣只有君。此語須致監軍某。盤陀故色問如何。怳見寒姿峙林藪。蒼苔滿地迹如掃。古槐踈陰餘半畒。追思赤舃醉後登。我亦承顔侍左右。當時手澤尙宛然。寧許他人此枕肘。傳家長物竟不保。在耳遺音慚未守。煩君催使手提擲。願言移來置戶牖。珠還合浦豈無日。璧完秦城須莫負。元超更覺淚泫然。故宅人無石猶壽。</text>
<title>桓都督席上。說鬼揶揄事。</title>,<text>平原不能善相士。枉道毛生是俗徒。南樓十載夜夜月。虛照紅蓮花影孤。三刀誰夢碧油幕。五馬曉走靑門途。離筵設處玉帳高。是日賓僚爭遠于。元戎禮數縱云寬。末至從事胡爲乎。樽前嗒然若喪偶。言彼叢林山鬼呼。霏霏靈雨濕一脚。獨立啾啾仍語吾。都門無乃送太守。看爾靑絲携玉壺。靑衫一着問幾年。染盡紅塵荷欲枯。公門桃李一㨾春。底事繁陰榮悴殊。同時幕下珠履客。太半腰間朱紱紆。年年灞橋送不暇。別柳東風枝半無。熊軒前後得意處。見子行色頻胡盧。裁衣只爲別人嫁。世客應嗤王掾愚。明時不許借一麾。葉縣何日飛雙鳧。惟看送人上楊鶴。誰更爲君歌驪駒。從知此行迄可休。莫怪幽魂來揶揄。男兒身世鬼亦笑。此日離亭羞向隅。髯參短簿盡拍手。主翁亦歎遺明珠。靑冥果見送吹噓。千里江南分竹符。</text>
<title>喜雪</title>,<text>今금年년이異이常샹 야 冬동天텬 의 無무雪셜 니 聖셩明명 신 우리主쥬上샹근심이過과度도 샤 御어厨듀 의 减감饍션 고 玉옥樓누 의 撤텰樂악  禮녜官관 을 傳뎐敎교 샤 山산川쳔 의 비시니精졍誠셩 이 至지極극 야 九구天텬 의 다玉옥皇황 이 感감動동 샤 白帝뎨니블너香향案안 의 니시고仙션官관으로傳뎐旨디 니 帝뎨命명을밧와再拜 고 믈너나메騰등六뉵이뒤흘좃白旆패皓호旗긔알프로引인導도 고 玉옥妃비素소娥아左좌右우로擁옹衛위 야 萬만里니瑤요空공의人인間간을구버보고行雪셜 던 녯手슈段단을잠간내여브리랴니氣긔像샹도奇긔險험 고 威위儀의도盛셩셰라密밀密밀엉긘구四面면으로픠여나니飄표風풍이건드기며天텬地디가暗암慘참 다 紛븐紛븐므거시볼록踈소踈소 니 珠쥬簾념의흐터드러羅나幕막의침노터니頃경刻의돗기되여宇우宙듀의崑곤崙뉸山산의玉옥을브어瓊경屑셜이霏비霏비廣광寒한殿뎐의龍뇽이화鱗닌甲갑이照죠耀요  芙부蓉용城셩너믄편의白玉옥樹슈가몃듀런고千쳔年년의花화開 야 萬만古고의흰비친仙션童동이多다事 여 가지흔더긴다點뎜點뎜이隨슈風풍 야 飄표飄표히러디니人인間간의梨니花화과다도련마六뉵出츌은므일고곳조차다말가天텬孫손織직女녀仙션宮궁의혼자이셔일이바히업다玉옥機긔예올나안자金금梭사더뎌녜니밤이의氷빙紈환霜상絹견을몃필의닷말고銀은河하水슈근믈의千쳔百番번서내여白玉옥箱샹깁흔속의金금粟속刀도자잡고妙묘枝기戱희弄농 니 조각조각고지로쇠人인間간으로흐터내여모든눈을놀내오니造조化화도無무窮궁 고 工공巧교도너모다北븍窖교胡호地디의漢한忠튱臣신을먹인넨다蔡쵀州쥬半반夜야의唐당兵병勢셰도은넨다四表표의飛비洒쇄 니 萬만斛곡塩염을斗두量냥  半반空공의徘徊회 니 千쳔羣군鶴학이춤추수플의端단粧장 고 大대陸뉵을옷닙힌다碌녹碌녹鄙비夫부들의濁탁濁탁胸흉中듕을이티희오고쟈天텬上샹素소女녀의玉옥顔안도奪탈色 니 人인間간女녀子들의粉븐頰협이야븟그럽다져믄文문園원의相샹如여의病병을어더狐호裘구重듕衾금의㥘겁風풍도過과度도 샤 風풍雪셜이잠간자고庭뎡除져가고요커軒헌窓창을널니열고病병眼안을놉히드니萬만里니乾건坤곤의無무限靑쳥山산이엇그제少쇼年년으로白頭두翁옹이되어셰라終죵南남山산은嵐남氣긔닌야시니三삼角각山산蒼창翠뉘라셔촌말고峩아眉미劒검閣각의巴파蜀쵹이어메오雪셜山산眞진面면目목을여긔와다볼노다어와造조化화翁옹이變변化화도그지업億억萬만蒼창生을奢샤侈티케닷말가집마다瓊경室실이오섬마다玉옥階계로쇠내집도燦찬爛난 니 居거處쳐됴타마션게過과分븐 니 心심中듕이不블安안 다 萬만街가千쳔巷항의瓊경瑤요가狼낭藉쟈  拾습遺유을아니니風풍俗쇽도됴흘시고수의흰雙으로빗기가고발의銀은盞잔은箇개箇개히두렷니工공匠쟝의셩녕인가天텬下하의奇긔制졔로쇠空공階계우새자최野야寺荒황臺의蒼창頡힐書셔가宛완然연夕셕陽양寒한天텬의라드뎌가마괴눈비더러일샤天텬地디萬만物믈中듕의네홀노類뉴다니素소衣의皓호裳샹으로改服복들야스라庭뎡邊변大대石셕은白乕호가蹲준坐좌니李니飛비將쟝보돗더면烏오號호弓궁을낫다古고木목의늙은가지箇개箇개히玉옥龍뇽 일 雲운雨우를언어더碧벽空공의오려니네등을잠간비러月월中듕桂계고쟈나幽유興흥이轉젼深심 니 疾질病병을다니다鶴학氅챵衣의잠간닙고靑쳥藜녀杖댱을놉히딥허바닥업슨신을신고雪셜裏니의徘徊회 니 영이잇도던날도아니神신仙션이라거이고灞패橋교蹇건驢녀의聳용肩견翁옹이긔뉘런고千쳔秋츄百代下하의知지己긔人인은이내로쇠南남陽양卧와龍뇽은偃언蹇건도셔이고中듕山산大대耳이兒슈고케닷말가날南남陽양人인도大대夢몽을先션覺각 니 一일堂당風풍雲운이어예感감會회 고 起긔卧와게너긴袁원氏시子우옵기이업다아아디마라내玉옥階계傷쟝셔라아아덥디마라내瑤요砌췌추셔라陶도侃간의木목頭두屑셜이要요緊긴은것마淸쳥致치바히젹다大대雪셜이漸졈漸졈혀須슈臾유의沒몰逕경 니 몃자히왓닷말고길이나거이고豊풍徵징은내여노코祥샹瑞셔가그지업다九구重듕의깃븐빗치八팔彩動동 시니 玉옥候후의平평復복이아니期긔約약 가 富부貴귀뉘집들은博박山산燻훈爐노左좌右우로버려노코消쇼金금帳댱下하의糕고羊양酒쥬기우려혀雪셜寒한은바히닛고煖난氣긔가如여春츈 니 어와이百姓셩다人인生으로苦고樂낙이天텬壤양 일 蒼창山산白屋옥의누어셔를보고乞걸人인赤젹身신은거적이百結결 일쇠 어와우리聖셩上샹深심宮궁의惻측隱은 샤 周쥬穆목王왕의黃황竹쥭歌가曲곡調됴불너내여楚초莊장王왕의庫고흘열고活활民민仁인政졍 시려니 西셔山산의날이디니雪셜意의가豪호放방 다 家가君군이入입直딕 여 桂계坊방의계시거寒한天텬風풍雪셜의消쇼息식이엇더시니岧쵸嶤요禁금廬녀의寒한氣긔가念념慮녀 롭다 픗을잠간드러의여나나北븍闕궐의玉옥漏누소四更경이거의로다嚴엄風풍이칼여黑흑雲운을버혀내니銀은河하一일帶萬만古고의盈영盈영 여 뉘라셔밧티관러딜줄모니中듕天텬의밤이드러白玉옥盤반이소솟니天텬地디改闢벽 되 蟾셤光광은依의舊구 다 上샹下하가皓호皓호 야 天텬地디가빗친雪셜色月월光광이어야낫단말고長댱安안의八팔萬만家가낫티혀시니玉옥을뭇것銀은을무엇碧벽海의蜃신樓누런가東동國국의雪셜宮궁인가瑞셔光광이照죠耀요 고 桂계影영이婆파娑사 니 어와이런世셰界계언보앗던가上샹界계의仙션居거라타이여셔더소냐飄표飄표爽상氣긔病병骨골을며皎교皎교淸쳥輝휘두눈의인다엇그제덜낸興흥을오이야得득樂낙 쟈 巍외然연이玉옥欄난干간의의지니飄표然연一일身신이다만七칠尺쳑이로쇠招쵸隱은詞놉히을퍼王왕子猷유을각니孤고舟쥬로載月월 고 興흥盡진커도라오그氣긔像샹이萬만古고의奇긔特특 다 浩호浩호長댱歌가로려뭇말이吳오楚초東동南남을눈아래굽어보니岳악陽양樓누姑고蘇소臺의物믈色이엇더니崚능嶒증五오岳악은萬만丈댱玉옥을버려시며微미茫망齊뎨州쥬의九구點졈烟연은어가수멋고오밤淸쳥賞샹을내게도홀소냐어이면셥션道도士블너내여銀은橋교다시노코九구霄쇼의능히올나人인間간의셔못본世셰界계天텬上샹의壯장觀관 고 造조化화翁옹을만나보와온갓變변化화무후의胡호麻마杯어더내여君군山산酒쥬븟고王왕母모桃도로안쥬여北븍斗두仙션을勸권후의나盞잔부어먹어禦어寒한을쟈고나禦어寒한만쟌말가不블老노人인이되쟈고나어와이내몸이天텬地디의壯장遊유아니고무어쟌말고이러구러轉뎐輾뎐 야 夢몽寐가바히 업 東동窓창이旭욱旭욱 며 太태陽양이추미니家가家가簷졈下하의비소무일고내말가져다가눈려니로니네時시節졀언매치리三삼冬동이거의로다春츈溪계桃도李니天텬時시슬허고秋츄風풍白露노一일朝됴怨원望망  祝튝融늉이大대怒노 야 火화輪뉸을밧비모니爀혁爀혁天텬地디가洪홍爐노中듕의들어셰라千쳔山산萬만谷곡의네얼골보랴어가어드려니人인間간萬만事들이너믈歎탄息식 다 前뎐山산을라보니凌능雪셜뎌소나모四時시의欝울欝울 야 千쳔古고의蒼창蒼창니草초木목萬만物믈中듕의너니뉘런고歲셰暮모心심期긔蒼창松숑의게倚의托탁 고 淸쳥詩시의놉흔調됴白雪셜의비기노라</text>
<title>挽詞[平川君申琓]</title>,<text>余觀弇山語。九命哀短折。生才固不偶。其死誠可惜。芳蘭恐先萎。奇花忌早發。哀哉洪氏子。天才早穎脫。神情旣秀朗。詞彩亦煥燁。人方期遠到。天胡速其奪。龍光欲射斗。雪鍔還折缺。騏足將騁阪。霜蹄遽顚跌。嗟乎命矣夫。旣苗還不宲。緱嶺追子晉。玉樓返長吉。天道信難諶。物理誰能詰。但以達者論。彭殤同一轍。人生等泡幻。何足較徐疾。哀哀求挽語。惻愴那忍讀。情鍾在我輩。地下深埋玉。爲題五字句。仍成薤露曲。上慰西河慟。下慰長逝魄。已矣更何言。哀歌當一哭。平川君申琓。</text>
<title>挽詞[前承旨李彦經]</title>,<text>詩禮家庭玉雪郞。妙年聲價壓儕行。駒能汗血將千里。鳳欲生毛已五章。天老不知才可惜。病奇其奈藥無良。弱妻孤女相携哭。斷盡西河寸寸腸。前承旨李彦經。</text>
<title>挽詞[前校理吳命峻]</title>,<text>邇來罷官閑居久。學子送文多相質。路堠一篇來何自。愛玩不翅雙拱璧。殷宮佳句最遒絶。至今朗咏淸心骨。此膝年來不屈人。令我卷甲如畏蜀。閑來曾誦按察座。按察乃許吾君作。言吾子姪多俊彦。最是我家千里足。繄我有子方志學。每願附君資麗澤。嗟君旣有才之美。父兄嘖嘖期成立。云胡秀苗不及宲。痛矣中途遽萎折。最恨平生違一識。玉質蘭姿已冥漠。嗟嗟若翁那忍視。淚盡西河腸欲裂。悠悠生死父子情。薤露一聲江月黑。前校理吳命峻。</text>
<title>挽詞[司諫任埅]</title>,<text>初驚俊彩澤翁家。復愛淸詩絶世華。人似玉梅花早謝。此花飛後更無花。不是玉樓催作記。定應冥府急修文。如要少住人間世。何事英才獨出羣。聞說唐時顧逋翁。哭兒冥感得非熊。幽明此痛同今古。應復重生慰乃公。司諫任埅。</text>
<title>挽詞[進士南宮垣]</title>,<text>天何爲而乃降生。又何爲而遽夭折。玄理茫茫兮難諶。黃神𨓅𨓅兮靡質。子之生也。未滿二十春。知與不知皆涕出。仙風道骨鍾得山水靈。嗚呼汝豪人中傑。杜氏幼子才卓犖。徐卿大兒色淸澈。世稱神童儷楊億。人言詞賦逼王勃。憶曾大府宰吾土。君年僅能踰二七。波濤健筆驅文辭。有似長鯨吸海氣咆哱。蕭洒胸襟絶纖埃。瑩如秋水含鏡揚素月。心常樂易無忤物。性且謙恭能折節。吾生七十閱人多。未甞見如君早達。自古論交無老少。晩年何幸托契末。泛波亭月觀水梅。琴樽歡謔幾提挈。詩筒書尺數往來。一日不見心欝結。有時陋巷來問字。自愧吾何有儒術。憫我窮餓遺米肉。憐我疾病饋藥物。海內知己惟君最。三年追逐情如一。淵明忽賦歸去來。天上猉獜從此別。江流入耳恨難裁。官柳傷心愁不歇。前年七月我西笑。握手城南叙阻濶。冬間忽枉春堂書。始知意外嬰奇疾。去月七日聞急報。扁倉讓治命已决。不料斯人有斯疾。心之憂矣何其說。然而善者蒙福仁者壽。彼蒼庶幾垂陰隲。那知凶聞一朝至。鳳雛龍駒便永訣。夢耶眞耶信還疑。天乎神乎理難必。靑年寡婦哭崩城。白髮雙親痛徹骨。空留乳女呱呱啼。對此不覺增哽咽。親朋來吊詩壇空。太史入奏文星滅。床上看書埋蛛網。囊中遺稿成卷帙。顧惟花山舊遊伴。疇不痛惜情怛惻。况我鍾期伯牙間。擧聲一哭琴絃絶。誰識高山與流水。誰和陽春與白雪。向時淸篇篋中滿。使我見此益凄切。壽日賀詞帖上存。使我見此長泣啜。顔淵欠壽天道非。伯導無兒寃氣徹。恰似吾家哭子時。安得兩翁相對猿腸裂。芳蘭早被雪霜摧。豫樟先爲風雨拔。文章惟幸不朽存。莫嗟十九年倐忽。死生往復理或然。無乃金環探樹穴。仙府松楸葬已卜。洛橋曉月靷又發。一家宗族相哭送。五月悲風猶凜冽。哀詞不憚遠來覔。非是滿城親舊少文筆。秪爲交情自與凡人殊。模寫平生無遺缺。南園芳草綠如茵。北堂深夜黑似㓒。文彩風流何處歸。悲思慘懷難條列。老我白首餘人世。悲歡存沒幾番閱。獨立天地罕交遊。心神怳惚如有失。哀纏漳水謾流涕。病伏窮山阻執紼。孤負幽明愧何言。悠悠此恨無了日。進士南宮垣。</text>
<title>挽詞[兪世基]</title>,<text>昔我在拘也。乃翁有書曰。兒子駿於文。不似其父拙。譬如新覊馬。橫逸不遵轍。人云千里種。作駒已汗血。詞源日以大。浩若泉始達。隨我名區路。縱觀山水窟。或者登覽助。乃於文思發。近用蒸字韵。作爲長篇律。縱橫六十句。龍蚓互出沒。大抵富於才。地步頗能濶。那無跨竈喜。知有排風質。父子爲知己。酬唱擬作述。平生知此子。無如吾君密。前者賀我語。後來眞傑出。以君愛才意。定識吾心悅。玆將步韵詩。寄與腐令室。君書與之偕。筆翰見瑰拔。謂余增益工。乃在心慮拂。自有百世伸。肎怨一時屈。窮愁定有得。幾日前我膝。言議似老成。見識眞卓越。我手旣雙盥。我眼爲一刮。彩服久東遊。老郞猶郡紱。子安霞篇。歐通繩墨筆。定應播人口。我乃馳書乞。不復里巷會。遽作關塞別。離愁楚峽雲。客路商山雪。去年吾弟書。斯人云有疾。生也固不偶。天乎謂可必。奇花容易零。彩雲斯須滅。化翁故多戱。物理終難詰。東望一慟哭。老夫腸內裂兮。我兩家交于今三世迄。依然北平第。娟姸蘭芽茁。爾翁兄事我。視爾吾以姪。自從與玄時。亦多問字日。慈明果無雙。江夏誰第一。太史家聲遠。是哥才氣欝。豈但出時輩。行當光前烈。凄風動哀壑。碧蕙先秋折。洒落舊顔色。依俙屋梁月。千載西河水。至今流嗚咽。無辭以慰翁。有書不盡說。往者寄我札。草藁其半逸。翁又投示我。此意眞痛絶。可憐人日篇。零落工部帙。吉光留片羽。足爲希世物。顧乏發揮力。誰任剞劂役。何日執翁手。吐盡中蘊結。誄以五百字。替君三尺碣。兪世基。在龍川謫所。</text>
<title>挽詞[通訓大夫行成川都護府使鄭悏]</title>,<text>纔斷猿腸似虎傷。哭君何忍賦哀章。黃金榜擬題名早。白玉樓驚作記忙。地下歸依先壠墓。人間永訣老爺孃。亡孫想解通家義。文館從遊也不妨。通訓大夫。行成川都護府使鄭悏。</text>
<title>挽詞[工曹正郞李徵楫]</title>,<text>去歲八月中。吾與爾翁集。爾袖爾詩至。示我論工拙。不覺語移晷。洒落蒙蔽豁。昂昂千里駒。嘶鳴當路躍。淸烱芙容劒。磨戛新出匣。生兒有如此。吾語子與姪。天胡嗇其命。忽然遘奇疾。陳腐無靈液。蘭蕙未秋折。忍聞巷南哭。行路亦於邑。何語慰爾翁。爾應不瞑目。草草人間世。彭殤俱一瞥。終古理難諶。何必問空碧。送爾歸幽宅。題挽淚沾臆。工曹正郞李徵楫。</text>
<title>挽詞[前衛率趙裕壽]</title>,<text>莫說爺孃愛。交親擧譽之。已稱千里足。曾賞八齡詩。冠玉年方壯。生花筆愈奇。鬼嫌文考慧。人殺衛郞羸。薄櫬收才子。虗帷哭少嫠。修文隨從祖。傳業待呱兒。㓒燭無窮夜。風燈十九朞。吾何壽居宲。三疊有渠辭。情鍾元吾輩。今徵爾大人。忍聞東野語。還羡鄧攸身。是死應關命。斯寃欲詰旻。探環須再返。更慰白頭親。前衛率趙裕壽。</text>
<title>挽詞[進士兪命咸]</title>,<text>卓犖呑牛氣。瓌奇吐鳳才。肝膓皆錦繡。唾欬捴瓊瑰。地府修文遠。天庭作記催。阿翁無限痛。不獨悼亡哀。進士兪命咸。</text>
<title>挽詞[進士吳遂元]</title>,<text>彼水之東流者。一逝而不返。則日沄沄而何所窮耶。噫人生亦流水耳。雍門一曲。孰非千古之悲。而吾於吾友洪君之死。尤有悲焉。昔余纔勝冠。遊壺隱公之門。得君於諸謝之中。時君舞手猶未象矣。頭角已魁然异凡兒。中心不敢忘。期以遠且大者。而君甞以我爲一日之長。呼我以兄。顧余寡佞。未甞𥊼若乎後矣。間余在憂臼中。不能以時續遊從之懽。而知君華聞已裒然矣。窃喜吾君之玉成。而又幸其見人之不謬矣。夫何一眄之間。壺隱公下世。君又繼而圽焉。以君天賦之豊。卒之草露而夭於奇疾。得年僅十有九。而其奇才逸志。不少槪見於世。又何天理之舛耶。嗚哉惜哉。向之期君者妄而見之謬耶。兩家世篤之交。不能繼其懽耶。良能者不齊。而惚乎芒耶。顥粹者易匱。而懱乎薄耶。噫噫悲夫。魂之游魄之散者。將何所窮耶。抑如水之東流而逝而不返耶。昔子厚氏對三閭天問。有謂東窮歸墟。又環西盈者。此何語耶。然則水之流者。亦逝而復返耶。今君之游散於大化之中者。其將合而復歸耶。吾爲吾洪君。惜其才而哀其命。強道塞悲之妄。而忍爲長嘷之辭。卽噭噭而隨之者。秪足爲洩哀之地耳。遂爲之誄曰。脩旐之翩然兮。颺玉字兮崇竿些。貍首之斑然兮。戢蘭姿兮一棺些。魂兮魂兮。曷蘄昭途之言還些。庋有饋而室有寢兮。閴音容兮莫覿些。主奧雙嘷而𥠧寡胥叫兮。胡棄捐兮若脫些。脩夜兮難晨。玄扃兮長鐍些。糓朝兮于荖。輀輬兮載偈些。晨飈厲兮露之江水。何爲兮咽咽些。夕雲黝兮僊之洞山。何爲兮嵲嵲些。緬想兮誰昔。惻惻兮永傷些。玉壺兮氷心。孤月兮在梁些。魂兮魂兮。倐遐撟兮偃蹇些。椉空緬而紛紜兮。與游氣兮合散些。然化樞之回幹兮。繄良能兮有尸些。魂兮魂兮。荖無𨓏兮來歸些。進士吳遂元。</text>
