<title>次沈楚賢</title>,<text>養拙山深處。仍爲無事人。阿誰還錯認。謂我葆天眞。</text>
<title>呈李正字 慶一</title>,<text>令弟吾贒友。難兄又古風。相逢雖晩暮。托契忘窮通。莫恨塤箎隔。還欣氣味同。西歸見慶久。爲道此衰翁。</text>
<title>花巖寺。卽事。</title>,<text>衰懶閒行久。今來積雪餘。當杯猶恐後。陟巘敢爭初。花界禪談軟。雲樓夜景虛。追思十年事。帶月步前除。</text>
<title>寄銅雀李逸士 碩寬</title>,<text>聞風爲日久。未見已相親。傾盖歡如舊。分携恨轉新。音容雲樹外。魂夢漢江濱。莫道川原隔。鵾鵬自一身。</text>
<title>送沈休明 瑞章 之關東</title>,<text>相送遊何處。蒼茫碧海頭。參天大嶺路。匹馬獨行愁。仙境雖云樂。鄕心豈易休。憐君此遠客。衰鬢謾吟秋。</text>
<title>呈眞珠沈使君</title>,<text>千里仙州守。相思思渺然。悲歡人事改。存歿歲時遷。懶散長如許。課工敢進前。年來多少意。憑寄阿咸傳。</text>
<title>戱題金大而蓬山草堂</title>,<text>深山棲息處。莫道勝桃源。未解丹顔訣。空添白髮痕。漁樵違宿計。貧病返鄕村。問爾緣何事。平生不出門。原韻。有勝桃源不出門等語。</text>
<title>次南監司 銑</title>,<text>迂拙人何記。柴門少送迎。有田聊足老。無事可關情。下榻恩曾重。將身愧自輕。誰知佳句裏。耕釣亦編成。玉節旬宣日。桐鄕父老迎。溪山曾識面。花鳥似含情。世亂人頭白。愁深酒力輕。羡君新卜築。耕釣靜緣成。原韻</text>
<title>示慧能和尙</title>,<text>久別孤雲侶。相逢蒼峽間。來從何處寺。歸入幾重山。風樹餘哀功。霜溪隻影寒。憐渠向隅泣。滿座摠醒還。</text>
<title>寄嘉林諸友</title>,<text>別思方盈抱。江山已暮秋。蓬壺飛遠夢。蓮浦憶淸遊。景物愁邊過。閒行病裏休。深期剡溪月。一棹雪中舟。</text>
<title>贈覺玄僧</title>,<text>四面奇峰裡。西菴獨出羣。牕高先得月。石潤遍生雲。靜景禪心會。靈區道眼分。知君開創意。靑壁要斯文。</text>
<title>聖林寺夜會</title>,<text>蕭寺相逢處。江山九月天。幾年千里別。今夜一床眠。半壁靑燈晦。虛窓皓月娟。坐間吾最老。論舊重悽然。</text>
<title>酬洪師傅天光 宇定</title>,<text>山居誠寂寞。幽思飽淸佳。讀廢塵埋卷。行稀蘇染鞋。如無廻逸躅。誰肯到閒階。一笑心期豁。攀遊慰素懷。又曠代非常士。來從象外佳。手携烏竹杖。足着海牛鞋。淸夢羲皇世。冥心鴛鷺階。人間夜寥閴。誰識出塵懷。</text>
<title>送洪師傅歸太白隱居</title>,<text>尋棲太白脚。春動洛江源。柳渚光風軟。梅村麗景暄。煙霞應嫵媚。鄰曲競攀援。想得新歸興。松醪淥未渾。又數月追遊慣。臨分欲濕衣。親朋從少有。知己似君稀。鄙吝期消滌。風標更遠違。夢中如識路。夜夜到荊扉。</text>
<title>呈洪師傅昆季</title>,<text>先正靈原伯。斯文得會宗。聞孫如美玉。風韻邁寒松。詩禮承遺訓。功程繼往蹤。吾儕一邱垤。敢望日觀峰。又抱疴蓬屋下。同趣卧遊宗。冉冉雲生壑。冷冷風入松。庭空交鳥跡。門掩斷人蹤。睡覺思淸晤。遙瞻兩玉峰。</text>
<title>寓歎</title>,<text>吾以庚寅降。那知重見迴。悲歡幾經過。顔髮已摧頹。萬事嗟何說。餘生更可哀。應須身在日。且盡眼前杯。</text>
<title>別李友 慶久</title>,<text>白首知心友。相逢更遠離。煙花新雨後。芳草暮春時。去去山川濶。凄凄物色悲。前期杳難定。臨別鬢添絲。風塵多面友。朝合暮還離。閱世懷前哲。論交慨後時。相逢貴莫逆。乍別不須悲。男子平生志。空添兩鬢絲。次韻</text>
<title>詠雪韻。呈地主。</title>,<text>密雪催詩句。衰翁興未豪。不堪披鶴氅。只合擁貂袍。齧壁憐飢鼠。投林歎凍猱。閉門甘縮頸。愁絶剡中舠。</text>
<title>呈沈方伯 演</title>,<text>十載違淸範。相思路幾千。心飛竹樓月。夢繞鴨江煙。玉節來何暮。雲泥望更懸。逢塲應不記。鬚鬂摠無玄。</text>
<title>贈金子張 綱</title>,<text>湖外春强半。光陰度客中。異鄕梅與柳。寒食雨兼風。才大人誰識。時平道未通。憐君不得意。雙鬢任成蓬。</text>
<title>酬趙君實</title>,<text>底事都城裏。潛光與俗疎。把杯貧亦樂。吟句氣猶舒。甁乏淵明粟。園荒董子蔬。多君不戚戚。心地自如如。又書到相思處。心期果不疎。長才猶未試。高步幾時舒。愁至還沾酒。飢來亦有蔬。我窮徒四壁。寂寞病相如。</text>
<title>東菴夜坐書懷</title>,<text>歲暮山齋夜。殘燈耿耿時。巖風吹苦竹。溪溜響輕澌。獨坐灰書冷。沉吟月影移。諸僧方鼾睡。欲語有誰知。</text>
<title>玉鏡潭上</title>,<text>何處秋光好。雲臺夢想催。偸閒此遊賞。乘興獨徘徊。楓葉經霜艶。溪煙暎日開。所思期不至。薄暮且停杯。</text>
<title>呈沈方伯</title>,<text>歲惡山田薄。頻年到骨貧。鄰無僧送米。厨有甑生塵。安命誠吾道。周窮亦友仁。公今晏平仲。擧火待紅陳。</text>
<title>憶李友 慶久</title>,<text>不見李生久。天涯消息無。容顔知改昔。臭味想如吾。歲暮千愁集。途窮百計迂。相思迷去路。魂夢亦踟躕。</text>
<title>別趙君實</title>,<text>久別重相遇。還傷更遠離。休言俱失意。其奈不逢時。停杯須衮衮。分袂故遲遲。明朝南北去。誰到泗江湄。樗里旁。有泗浦入江。</text>
<title>洪汝泰來訪</title>,<text>客有風流勝。尋山到我家。一罇旁舍酒。同醉小庭花。多少襟期遠。其如去住何。臨分猶衮衮。忘却日西斜。</text>
<title>次君實感歲吟</title>,<text>獨夜沉吟處。長更不肯晨。朋交隨歲改。人事逐時新。失跡知無命。多憂爲有身。淸詩猶在壁。一讀解深嚬。</text>
<title>寄隱仙菴</title>,<text>東林結跏處。風雪任交加。茶竈松濤沸。金爐香靄斜。安禪心有適。吟句趣彌嘉。何日招提路。相迎一笑譁。</text>
<title>歲時述懷</title>,<text>二歲相交際。屠蘓强飮時。少來元不敏。老去轉無知。懶慢謀生拙。支離在世遲。眼昏迷亥豕。開卷愧鄰兒。</text>
<title>酬慧能</title>,<text>梧竹交陰處。幽人病起時。塵埋雙草屨。苔卧一筇枝。寂默吟哦廢。低垂氣力遲。逢君開睡眼。煩燠洗新詩。久雨新晴夜。危樓獨卧時。竹風來北戶。松月上東枝。露重衣偏濕。更深夢亦遲。何當逢羽客。相對細論詩。原韻</text>
<title>次老杜湖中送敬使君韻。寄趙醉隱伯春。仁亨。</title>,<text>乍見還分袂。含情奈爾何。留詩邀泛菊。對月獨聽歌。聚散自無定。心期寧有他。從來知己少。偏受賞音多。皎潔元非涅。堅貞豈易磨。誰令常契濶。安得數經過。孤夢穿重峽。淸標隔遠波。知君更西上。靑鬢肯蹉跎。重陽日。伯春留詩邀與登高。而日暮未及赴。夜携諸少登舟前湖。擊汰弄月。互唱漁歌。入夜而歸。故詩中及之。</text>
<title>明府李公 文淸 雲門賞雪。邀余同遊。而病不得赴。</title>,<text>冒雪尋蕭寺。雲門賞更幽。千巖銀色界。萬壑月華樓。灝氣盈淸抱。寒晶眩遠眸。笑談回煖律。景物媚閒遊。授簡誰能賦。停杯幾點籌。應憐閉門客。寂寞卧江頭。歲晏南州舘。羈人思轉幽。未投宗愨筆。空倚仲宣樓。湖外逢知己。樽前對醉眸。君耽顔氏樂。我慕子長遊。舊國多歸夢。前程暗自籌。明朝北去後。雲樹更回頭。次韻</text>
<title>南公允 重明。以與趙見素酬唱之什示余。仍追次其韻。聊自述懷。兼以告別。</title>,<text>萍蹤無定止。江北與江南。向俗休迴首。逢人誰立談。風塵年半百。杯酒道通三。靜處時開笑。喧中獨似喑。自來安淡泊。爭肯羡肥甘。撫跡徒興歎。論材却抱慚。煙霞心皎皎。天地氣酣酣。黃髮嗟如杜。靑雲莫問郯。感君交有道。憐我老無堪。篇什頻要和。詩盟豈易擔。蓴塘催夢思。槐里阻尋參。春樹如相憶。雙魚寄草菴。公允。自號槐陰。故云槐里。</text>
<title>酬西鄰詞伯</title>,<text>于郊同者寡。幽獨不宜今。素業從茅塞。行藏任陸沉。溪山曾半面。文律粗專心。詩禮雖承訓。淵源杳溯尋。爲人誠淺劣。度量詎宏深。晩計歸樵牧。生涯付井砧。家臨流水曲。門掩老松林。冶性偏追阮。痊風或慕琳。春盤羅笋蕨。秋澗劚芝蔘。書籍盈千軸。山儲闕數金。鬢鬚成皓白。顔貌變蒼黔。天地塵氛暗。關山殺氣陰。蹉跎年已老。疲薾病還侵。未試防身劒。空懷補衮綅。靜中時自笑。喧處獨如瘖。痛哭同梁傅。商歌異魯參。銷愁思斗酒。糊口只銅鬵。甘與交遊隔。欣紆長者臨。曠然披宿霧。豁若上高岑。展也靑雲器。端宜白筆簪。文包晁董策。談折宋周鐔。世乏峨洋耳。誰知山水琴。君門天共遠。蓬島海無潯。泣玉雖三刖。範馳愧十禽。田園躬稼穡。經濟憶甘霖。野老山翁侶。淸風朗月襟。酸鹹殊俗好。行止守䂓箴。道屈儒冠誤。途窮歲月駸。初心苟不替。奮翼孰能禁。不合長貧賤。行看錫瑞琛。男兒須自立。螭虎要生擒。會待風雲契。休爲慷慨吟。嗟惟章句手。敢下頂門針。汗漫累齊氣。啁啾非雅音。眞成窮轍鮒。渾似蠧書蟫。喜子滄溟濶。容吾翠渚涔。論交忘老少。延賞愛蕭森。文會叨聯袂。禪床濫共衾。新篇多溢美。微尙更深斟。勉率追相和。聊將寓仰欽。</text>
<title>又次二十韻</title>,<text>先子隨肩友。龍鍾七十翁。低垂病白鶴。蹭蹬老靑𩣭。安命常思杜。虛名肯慕种。文章驚俗眼。聲譽隔天聰。世乏推張禹。人誰問孔融。平生七步手。少日萬夫雄。擬待盤根遇。頻加利器礱。將期魚縱壑。不作鳥窺籠。鬒髮雖成素。和顔尙駐紅。遠懷凌汗漫。淸思洗冥濛。才格從來異。乖慵不必同。應須對策起。莫道坐詩窮。薄劣宜樵牧。棲遲庇藋蓬。耕如谷口鄭。貧類玉川仝。風月長醺酒。峨洋半死桐。同明心照燭。處困道亨通。枯槁誠吾分。升沉付化工。秋風吹埜外。篇翰到林中。猥荷仁言贈。慚令厚意空。無由追逸軌。徒自仰高風。又東巖松菊主。貧病一衰翁。戢翼卑棲鳥。摧眉伏櫪𩣭。吟哦到歲晩。述作自年种。豈意今昏聵。堪嗤昔慧聰。工夫非邃密。悔吝未消融。名闕三張價。才慚二陸䧺。優遊甘自棄。鉛鈍不須礱。已笑魚呑餌。何憂鳥入籠。寒霜添鬢白。溫酒借顔紅。氛祲連滄海。衣冠老紫濛。傷時悲杜子。論事憶陳同。身外無三樂。生涯伴五窮。喜君同臭味。助我似麻蓬。文映書帷董。詩淩草屋仝。淸標淇上竹。風韻嶧陽桐。意氣由來合。胷襟觸處通。留筵情更厚。投什句彌工。興溢淸罇外。春生煖律中。斯遊那可負。末席幸令空。肯待酉時赴。催鞭拜下風。</text>
<title>折梅寄姜復泉 丁亥臘月</title>,<text>一陽初動後。梅蘂牕前發。玉色耿無鄰。幽香自芬馥。對此思故人。淸標森在目。雲山幾萬重。渺渺荊江曲。窮陰霰雪繁。何以保孤潔。欲往風破肉。抱病龜頭縮。寂寥歲暮懷。覽物多感激。折得向南枝。憑寄春消息。手接故人書。稱道梅花發。折寄一枝來。千里香轉馥。淸標最奇絶。冷蘂淸心目。對此雪中春。感君情委曲。遙想草堂畔。氷玉相皎潔。恨我不能往。杜門徒藏縮。孤村歲將暮。此懷更深激。聊和一篇韻。重問春消息。次韻</text>
<title>客遊錦城。贈別剡湖陳參奉 景文。</title>,<text>渴飮剡湖酒。醉吟剡湖詩。剡湖江海士。落落眞吾師。婆娑剡湖曲。聲名人共推。千里夙所慕。一見欣展眉。昨朝微雨裏。訪我荒村僻。今日復登龍。喃喃話永夕。相逢未爲久。行色還促促。別恨問如何。湖南芳草綠。人事如風波。聚散那可度。時因回鴈飛。幸寄南來札。</text>
<title>遊雲門有感</title>,<text>晩入雲門洞。春光奪人目。桃花與杏花。爛熳明山麓。山鳥啼其傍。羣喙爭啁聒。卽此酒一杯。洗我愁千斛。莫思泉下人。酩酊終永日。</text>
<title>庚寅歲除</title>,<text>送汝庚寅歲。此去歸何時。循環固無窮。吾生嗟有涯。再見已云幸。敢望三見之。過去六十年。一往焉能追。齒鬢遽如許。前期從可知。此後此歲廻。誰復尋吾詩。酌此餞歲酒。身外休思惟。乘化待歸盡。不樂復奚疑。</text>
<title>送遂初僧遊金剛</title>,<text>金剛天下奇。遂初人中仙。去去遊其間。行色何飄然。求我送行語。此贈難輕爲。然我愛山者。送師能無詩。平生獨往願。七十成差池。時時結夢想。幾詠興公賦。羡君有勝情。亦有濟勝具。春風起遐想。拂衣無反顧。此行我所企。遠別何足惜。一萬二千峰。一一皆登陟。佳處領其要。收取輸篇汁。笙簫縹緲間。羽人誰可覿。人間歲月疾。莫使爛斧柯。回筇須及早。還訪舊煙霞。笑抃開錦囊。慰我老蹉跎。</text>
<title>酬沈拙齋 瑞奎</title>,<text>老夫痴晩合。野性同麋鹿。林深地絶處。塊然守窮獨。平生山水心。癖愛久愈酷。書史只領略。明經愧明復。咬却埜萊根。骨相非食肉。賴有同襟人。照我心如燭。別來間山川。鄙吝積千斛。思君尙卧疴。懸懸忘食宿。秋風動幽壑。白露零寒玉。擧頭望雲端。南鴈日夜促。尺素儘慇懃。義動潛虬伏。淩勵子雲札。傾倒陳遵牘。心開復眼明。奚啻舊書讀。况得擬古作。精光何沃沃。稱道過其實。雖緣情好篤。顧我何敢當。自知誠碌碌。庶戒鵝鵛伸。分作龜頭縮。</text>
<title>觀中原地圖</title>,<text>高皇德業與天同。混一車書在一戎。宋統偏安眞可笑。幽燕今入畫圖中。</text>
<title>威鳳寺夜吟</title>,<text>丈室熒熒燈影懸。磬聲淸徹白雲邊。篆煙銷盡金爐冷。遙夜秋懷不住天。又夜深臺殿月微明。哀壑寥寥灝氣生。孤客不眠愁絶處。竹牕殘雨送秋聲。</text>
<title>寺後竹林</title>,<text>十載東林夢想勞。繞簷寒玉碧蕭騷。晩來筇響秋風處。依舊淸陰氣像高。</text>
<title>雨後寺樓</title>,<text>秋雨初晴日映山。楓林煙捲錦斕斑。閒來獨倚南樓柱。興入雲屛杳靄間。</text>
<title>江鄕憶山中梅</title>,<text>漫浪江湖酒滿杯。故園花月夢空迴。無端一夜風吹雨。應落山窓五樹梅。</text>
<title>春日。自江鄕歸山居。</title>,<text>去日牕梅初發香。歸來落蘂點杯觴。江湖浪跡成何事。却歎羈遊歲月長。</text>
<title>望北臺。贈李歲卿。楚望。</title>,<text>潭上荒臺翠壁陰。夕風驅雨漲雲岑。玉人詩酒萍逢席。剛恨長煙映暮林。</text>
<title>與鄰友飮。思見菊花。</title>,<text>霜落千山木葉空。野鴉飜噪夕陽中。瓢罇對酌茅簷下。香菊誰敎泛數叢。</text>
<title>樗湖雪後。卽事。</title>,<text>雪江風物冷蕭蕭。水盡天回影動搖。南望遙汀飛鴈外。小舟如月漾寒潮。</text>
<title>偕諸友夜飮</title>,<text>江上孤亭酒滿觴。一燈明滅夜將央。欲吟多少年來事。却怕情人斷盡膓。</text>
<title>石鏡臺</title>,<text>步屧隨春細路斜。釣㙜東畔傍煙霞。山村晝寂山禽囀。門掩溪頭數樹花。又桃豁紅謝夕陽斜。人倚高臺詠晩霞。莫向風光傷已暮。滿山還有續開花。</text>
<title>南藥泉 九萬 携諸少。來訪溪上。</title>,<text>才子乘春埜興催。訪花隨柳渡橋來。山人一笑相迎處。薄酒新詩取次開。又仙鶴飄零苦不肥。幾多玄圃夢魂歸。蘂珠城外閒來去。影伴瓊雲澹澹飛。</text>
<title>石龍灘邊。築小石臺。兪萬里適來。</title>,<text>松帶冷冷綠綺聲。卧龍橫斷小灘平。阿誰與築溪邊石。要看淸宵水月明。</text>
<title>金陰竹 宗海 湖亭。半月，石陽二太守。與諸名勝。會酌呼韻。余適以宿醉。幽卧房中。暗次以示同志。</title>,<text>冷語氷人聽者寒。滿堂賓客摠情歡。老龍睡足重潭底。誰識雲衢氣象干。</text>
<title>蓴塘新居詠懷 三首</title>,<text>寡欲何曾顔色愁。釣臺時拂子陵裘。靑山一片生涯足。好伴閒雲自在遊。又任他中婦食貧愁。敢憚風霜入破裘。一塢溪雲滿庭月。翠屛供得卧時遊。又欲謀罇酒解閒愁。奈乏千金太白裘。還向小窓成穩睡。箇中眞味卽天遊。</text>
<title>松棚</title>,<text>小屋如荷未障陽。白頭當暑想林塘。淸陰賴有蒼松架。穩送匡床一夏凉。</text>
<title>瀑布菴。訪僧不遇。</title>,<text>手把靑龍上翠微。泠泠瑤瀑半天飛。不知雲衲歸何處。獨倚高牕到夕暉。又古壁丹靑映綠苔。雙流十里眼中開。高僧偶逐閒雲去。惟有餘香出院來。</text>
<title>鄰酒可感</title>,<text>木落荒郊晩色愁。白雲深處寄菟裘。蕭條別地誰相問。時有門生載酒遊。</text>
<title>詠懷</title>,<text>四十方知卅九非。夢中蹤跡意多違。此心耿耿誰能會。羞對山窓夜月輝。</text>
<title>奉次季父思歸韻</title>,<text>世路無人識此心。南雲望斷正長吟。故園物色秋如畫。獨有阿咸醉竹林。</text>
<title>贈別兪萬里</title>,<text>經月愁霖暗小村。蓬麻深處掩重門。嗟君萬里行行遠。誰踏空庭碧蘚痕。</text>
<title>南峰夜火</title>,<text>風雪蕭蕭夜已深。隔溪寒火閃遙岑。孤光耿耿重雲外。來照幽人不寐心。</text>
<title>同扶蘇親友。宿安心寺。朝上白雲菴。</title>,<text>寒擁雙流凍石淙。高樓月黑雪雲重。朝來共着登山屐。天地東頭第一峰。</text>
<title>溪上偶吟</title>,<text>晴日閒行傍柳堤。落紅如雪草萋萋。山禽亦解傷春意。伴我吟詩不盡啼。</text>
<title>閒行龍灘上。李西歸 起浡。適來與之唱酬。樂可知也。</title>,<text>山雨初晴碧滿川。汀洲芳草正芊芊。溪南小店如新畵。一抹紅霞映翠煙。又麥隴靑靑繞竹林。宿雲舒卷弄晴陰。溪頭盡日尋花柳。浩浩長歌續短吟。又山上鵑花山下杏。白紅深暎竹松開。故人解惜風光好。終日醺醺卧石臺。</text>
<title>留別沈敎官</title>,<text>風振空山雪滿園。一堂罇酒發春溫。且將幽討終今夕。明日山門隔海門。</text>
<title>雲梯亭。次沈都事潤甫。</title>,<text>萬事糾紛傷老矣。人生由命不由吾。欲將天地寬何處。惟有春風雙玉壺。</text>
<title>與金姪暉吉。遊雲巖寺。</title>,<text>幡影飄翩閃碧峰。古壇香冷寂殘鐘。浮雲變滅歸何處。依舊空堂竹一筇。又精舍迢迢接鬱藍。平臨煙霧海山三。看君直上臺千仞。矯首還敎老病慚。又一枝筇竹訪幽蹊。煙磴縈紆帶小溪。山光水色開明鏡。不是雲門卽會稽。</text>
<title>閒庭卽事</title>,<text>數畒荒庭近砌臺。頗宜閒步獨徘徊。輕風細雨塵埃淨。多少飛花半雜苔。</text>
<title>漫興</title>,<text>山鳥隔窓頻叫喚。日高眠起岸烏紗。不敎兒輩掃庭宇。恐破蒼苔與落花。</text>
<title>庭前榴實</title>,<text>小榴珠實映新秋。色勝佳人赤玉舟。願逐瀟湘苞貢使。銀籠貯得進龍樓。</text>
<title>代表弟南八元。次季父韻。</title>,<text>疾病由人不繫天。療民眞訣古相傳。下鍼下藥如通妙。救死扶衰保永年。生死元來命在天。越人方術摠虛傳。爾能學得烏髭訣。使我衰顔作少年。原韻</text>
<title>送權姪德裕歸溫陽</title>,<text>荒墳零落寄非邱。穉子隨爺去未休。惆悵孤魂解惜別。化成山雨故相留。又凍雨漫空雲似墨。湖西此去意如何。乃翁若有幷州戀。道我窮山泣薜蘿。</text>
<title>重送</title>,<text>北風吹雨正霏霏。千里情親此日違。爲報明年寒食節。亂山深處更來歸。</text>
<title>以小刀贈兪萬里</title>,<text>贈君何物明心事。一把新刀色照蓮。莫道鋒鋩纔數寸。猶能夜夜氣衝天。</text>
<title>弊衾加絮</title>,<text>添得新綿十載衾。更敎溫煖辟寒侵。夜長卧穩蒙頭睡。牕外誰知雪滿林。</text>
<title>寄萬里</title>,<text>漠漠重陰歲暮天。玉人消息更茫然。秪緣高步無迴躅。溪路從來近接聯。</text>
<title>次任松塢</title>,<text>園收芋栗稼登塲。詩老陶然卧草堂。笑把山杯留客處。頓敎寒谷發春陽。</text>
<title>季父宅禮宴日。爲座上諸賓。以供歡娛。</title>,<text>雲色陰陰雪欲飄。酒徒方外興蕭蕭。長屛六曲金尊隔。地角天涯未是遙。</text>
<title>得錦城吳友克昌書。兼有封味。每年如此。</title>,<text>封書遠自曲江歸。副以南州碧海衣。珍重故人無限意。年年一度寄荊扉。又誰將海味寄雲間。幅似蠻牋翠似鬟。莫道題封輕一羽。從來故意重邱山。</text>
<title>次權汝守韻。送參奉從叔入京。</title>,<text>桐落西風秋氣淸。班騅嘶斷躡雲行。知君此去逢長浦。道我渾頭白髮莖。</text>
<title>聞嘉林趙伯春。亦赴齋郞之任。</title>,<text>駿馬朝天齧膝行。東塘蓴老獨傷情。秋風誰解鱸魚釣。烏帽靑袍摠去程。</text>
<title>夜登雲巖寺</title>,<text>黃昏緣壁到東林。片月初昇半壑陰。道人別自上方至。笑把瓊漿滿意斟。又向晩尋眞日已沉。洞天雲暗路陰陰。攀蘿夜入諸天界。月滿松壇露滿林。</text>
<title>翌朝下山</title>,<text>曉靄霏微煙滿林。平明理策下層陰。待得東峰三五夜。雲膏更向月中斟。又日照高窓睡意沉。半山嵐翠送輕陰。覺來更欲尋歸路。茶飯淹留爲道林。</text>
<title>追次沈淸之韻。以叙亂日顚沛之懷。</title>,<text>百曲溪流深沒馬。嶔嶇山逕動顚牛。顚牛策馬風塵際。敢向煙霞縱目遊。</text>
<title>詠懷</title>,<text>笑我平生非勝流。謾將時事自傷憂。風塵老却崆峒劒。獨對山河不盡羞。</text>
<title>與萬里約會。適有雨候。走筆替報以不往之意。</title>,<text>雲色陰陰雨意濃。東溪咫尺斷人蹤。龍泓坐負觀魚約。自笑駑頑老更慵。濕雲疎雨夕陰濃。門掩沙汀鳥印蹤。留待玉人高義久。罇前一顧莫辭慵。次韻</text>
<title>再用前韻。示萬里。</title>,<text>爲有溪烹味正濃。故人呼起此幽蹤。蒼松白石寒流上。日暮忘歸太放慵。又風味相和老更濃。東溪煙月共藏蹤。釣臺桃塢閒來往。兩脚難敎縛一慵。黃花塢上酒初濃。白竹門前客斷蹤。醉卧溪雲醒對月。淸時有味是愚慵。次韻</text>
<title>溪亭卽事</title>,<text>素鬣紅鱗碧澗羹。濁賢淸聖滿皤罌。主人情味晩誰似。宮醞侯鯖不足評。又白石爲盤鋪飯羹。淸泠泉裏漫甁罌。充虛解渴溪亭卧。古語新詩抵掌評。</text>
<title>復拈右韻。以叙未盡意。</title>,<text>君才濃淡似和羹。我類行潦貯小罌。願將具眼攻吾短。數首荒辭逐字評。</text>
<title>別懷</title>,<text>武溪波漲沒靑洲。金馬歸人滯故邱。正欲褰衣尋草逕。滿林山雨更脩脩。時萬里還歸金馬書齋。</text>
<title>次權汝守送別韻</title>,<text>君居南郭我東川。日日相隨過十年。西湖不是天涯別。回首雲林夢想連。</text>
<title>歸家。次謝汝守。</title>,<text>浪跡江湖白髮生。故園歸處孰來迎。鄰君向我偏靑眼。十載初心尙未更。</text>
<title>留汝守</title>,<text>六月山齋霽景斜。蓴羹麥飯當胡麻。一床相對論詩句。何似官池獨聽蛙。</text>
<title>次汝守仄聲絶句</title>,<text>君有長才又盛年。非如此老素貧賤。縱然流落窮山中。會脫泥塗荷聖眷。</text>
<title>贈鄰友</title>,<text>病餘相訪識情深。愧我當時未一尋。笑對松簷靑眼拭。夜闌山月下西林。</text>
<title>歸山中。寄趙伯春蓴菜。</title>,<text>伯春別後平安否。杳杳音容湖海涯。蓴菜一缾爲遠贈。愛君知此味淸嘉。</text>
<title>次寄詩僧</title>,<text>仙凡迢遞隔雲程。幾度相思夢裏行。舊壑煙霞溪月白。秋風鶴㤪蘂珠城。又彌月長霖此日晴。道人相憶更傷情。秋風會得廻筇杖。共入嵐溪浣繡膓。</text>
<title>中元日。寄遠法師。</title>,<text>盂蘭佳節霽秋霖。裊裊凉風生遠林。想得諸天淸梵夜。露如瓊珮月如襟。</text>
<title>愛菊亭感舊</title>,<text>呑聲重到昔遊亭。松菊荒凉草滿庭。獨有西峰似君眼。隔江猶帶舊時靑。</text>
<title>江月亭待友</title>,<text>淸罇寒膾待君來。錯認行舟問幾回。西日下山江色暝。片雲空帶落潮迴。</text>
<title>有懷寄李都事子西 嶠</title>,<text>島煙湖霧晴邊暗。歸鴈征帆雨裏催。獨倚江樓多少恨。玉人消息隔蓬萊。</text>
<title>寄暉吉靑梨</title>,<text>山園仙果露霞凝。瓊液酸甘冷似氷。寄與騷人洗煩惱。滿懷淸思十分增。</text>
<title>卽事</title>,<text>早投藍谷醉村醪。晩入文堂韻欲飄。逢着竹溪留半日。暮蟬流響送寥寥。</text>
<title>山居幽事</title>,<text>睡眼朦朧蒼翠中。晴窓日煖洞房空。黃雲一陣遮山去。人道松花落晩風。</text>
<title>次沈元之韻。示兒輩。</title>,<text>如爾庸流世豈頻。中心秪是似翁眞。工夫百倍加勤苦。庶免騃癡罔倆人。</text>
<title>三奇亭 巖水松三奇</title>,<text>如許頭顱數甚奇。平生陸陸老無奇。縱然家住三奇下。敢與三奇作偶奇。</text>
<title>秋興</title>,<text>野女腰鎌刈早禾。溪翁垂釣拂煙蓑。煑魚炊玉新秋樂。更有香醪釀碧荷。</text>
<title>贈權郞 在</title>,<text>千林葉落雨蕭蕭。獨坐空堂對寂寥。欲奏孤琴解勞結。濕絃凄斷未成調。又孤懷悄悄自酸辛。况復傷離惜別辰。慇懃半夜空山雨。解取深情挽遠人。時權郞欲歸恩津。</text>
<title>雲門僧。送紫竹杖兩莖。</title>,<text>兩莖桃竹起衰翁。多謝禪心愛病癃。雪中拄入雲門洞。飛上層巒倚半空。又兩枝筇竹勝瓊瑰。劚出雲根綠錦苔。葛陂莫學蒼龍變。從此溪山數往來。</text>
<title>寄呈季父</title>,<text>江南渭北隔河關。別後星霜屢轉環。豈獨紅塵催白髮。煙霞猶未駐朱顔。</text>
<title>陽山虎灘別南叔 嶪</title>,<text>別地蕭條峽水邊。滿山嵐翠接江煙。一罇臨發重開處。醉倒黃花錦樹前。</text>
<title>題寶禪詩帖</title>,<text>霜滿幽林山氣凄。醉携筇杖下雲梯。道人三笑相隨處。今日龍灘卽虎溪。</text>
<title>寄贈許觀雪竹梳</title>,<text>似疎如密霜筠櫛。合着詩翁巾几邊。試向淸晨梳白髮。頭風不待檄文痊。</text>
<title>謝峽友</title>,<text>相思幾度違相訪。坐屈高蹤每獨來。此日秋風凉滿袖。擬將筇竹入蒼苔。</text>
<title>草堂偶吟</title>,<text>道非身外夫何遠。任性安心合自然。長日草堂無別事。飢來卽飯困成眠。</text>
<title>尹孤山老兄送繭帽</title>,<text>繭帽輕溫稱意成。深冬多識故人情。着來頓覺頭風愈。何羡豐貂鬢上橫。</text>
<title>觀雪翁相訪。仍次其韻以謝。</title>,<text>年年來訪野人家。勝士風流老更嘉。新篇舊什皆情素。交道從知百倍加。</text>
