<title>日 乙酉</title>,<text>太陽全體明。蓋有君人象。品彙莫逃形。恠奇森萬狀。</text>
<title>資政殿有感</title>,<text>聖祖當年此殿臨。禹勤湯敬戒淵深。煌煌燕翼嘉謨在。肅拱華扁小子欽。</text>
<title>覽夢窩遺稿 幷小序</title>,<text>夢窩。金忠獻昌集號也。當辛丑建儲時。措國勢於磐泰之安。卒身殲而無悔焉。姱節偉績。與日星爭光。今見其文集。如見若人。玆書一絶于卷首。庸寓曠世之感云爾。家傳舊學是貞忠。宗社扶來不有功。一死鴻毛如樂赴。當時四老卽同躬。</text>
<title>璿璣玉衡</title>,<text>齊七重華世。璿璣造化情。轉環無暫息。天度可參衡。</text>
<title>松屛</title>,<text>嫋嫋其松殖殖庭。橫遮門逕布蒼屛。細吹晩籟泠然爽。更傲嚴霜獨也靑。</text>
<title>鐘閣</title>,<text>通衢高閣鎭王城。萬斛洪鐘曉夜鳴。動息吾民聲以準。夜聲能定曉聲行。</text>
<title>迎恩門</title>,<text>吾東再造卽皇恩。天勑躬迎必此門。悵望西京爲茂草。靈光於魯感猶存。</text>
<title>重陽</title>,<text>堂堂日月又重陽。竹簟梧床坐夜凉。暮景層城聽鴈逈。淸詩高閣引杯長。人言醉葉山蒸赤。我愛繁英逕布黃。幾處登高佳節會。茱萸揷遍惱秋光。</text>
<title>巫</title>,<text>苦竹叢鈴忽迓神。丁寧禍福口中陳。避凶趨吉渠何得。邪說紛紛惑庶民。</text>
<title>北漢途中拈回字 壬辰</title>,<text>扈駕山城我馬回。逶迤細磴正崔嵬。浮天氣勢三峯石。拔地形勝二將臺。旗掣龍蛇雲影轉。風傳鼓角㵎聲來。徐行此日多閒事。不覺前林夕照堆。</text>
<title>柴丹峯走筆</title>,<text>肩輿遙自丹峯歸。行到重興已夕暉。參謁僧來知俗樣。旖旎旗去見塵飛。林間恠鳥啼難盡。溪外名花開不稀。緬憶先朝臨此地。某山某水正依俙。</text>
<title>過重興寺。次農巖韻。</title>,<text>細聞淸磬近禪丘。萬木深深天外浮。苔壁歸雲增雨氣。雉城斜照入泉流。幾人經卷山窓靜。老釋閒筇石逕投。忽憶農巖山水癖。佛龕趺坐幾曾留。</text>
<title>綱目訖講日。席上唫成一律。奉示賓僚。</title>,<text>一帙工夫十載侵。紫陽微旨箇中尋。細論奚但爲文學。默識還能溯古今。衮鉞元從麟史義。鑑衡仍飭燕閒心。賓僚何幸勤磋琢。溫故知新味更深。</text>
<title>燈夕拈家字</title>,<text>天時四月樹如霞。一夜燃燈幾萬家。深院迢迢明竹葉。高竿處處出蓮花。山河照耀夕如晝。歌鼓喧騰人似麻。始識太平多樂事。漏聲不覺五更過。</text>
<title>棊</title>,<text>銀簟紅簾午景遲。丁丁落子爛柯時。高樓留客花陰靜。萬事輸贏一局棊。</text>
<title>飛將軍歌</title>,<text>漢家飛將李北平。少小結髮而從戎。上林苑中格飛獸。黃間沒羽如逐豵。在昔韓彭堪比肩。恨不身遇隆準公。淸秋八月胡馬肥。烽火夜抵漁陽東。北平飛將縱兵來。勢如急雨鞭長風。單于帳中碧葡萄。谷蠡臂上烏號弓。睢盱縱恣不敢敵。一夜氈幕秋雲空。天子宰割關內地。第一虛當衛霍功。吁嗟乎北平飛將髮如霜。腰間古劒光熊熊。塞日荒荒照霜髮。起看長天天有虹。駕虹直征白雲鄕。明詔化工推星宮。下視埃壒昏蒙蒙。</text>
<title>國都八詠</title>,<text>雲臺著處矜繁華。萬樹柔楊萬樹花。輕罨游絲迎好雨。新裁浣錦綴明霞。糚成白袷皆詩伴。橫出靑帘是酒家。獨閉書帷何氏子。春坊朝日又宣麻。弼雲花柳遲遲帆影上高樓。薄暮菱歌何處舟。極望春風迷遠浦。須知吾道在滄洲。邨漁捲釣渾疑鷺。峒隱尋盟可伴鷗。無數汀花看不盡。滿江斜日照簾鉤。狎鷗泛舟王城北面隔仙岑。芳草如茵樹欲陰。境僻三淸遲白日。溪回千疊透靑林。市門埃壒飛何到。谷口琴樽坐更深。綠野平泉宜伯仲。遊人且莫武陵尋。三淸綠陰四月繁華最漢京。金吾放夜好占晴。紅竿歷日燈爲市。紫陌通宵火作城。擈地烟花相照耀。滿天星月不分明。終南高眺人如霧。幾處笙歌答泰平。紫閣觀燈大隱巖西太古東。緣溪一路盡明楓。故嫌霜露三秋薄。能作繁華二月紅。巾服炫看絺繡外。樓臺飛映畫圖中。歲寒別有幽期在。丞相祠前老柏叢。淸溪看楓曲塘渟滀一泓然。十里香生萬本蓮。拌露聯珠渾絳粉。抽絲結蔕抵靑錢。偏憐兒女開萍道。誰訪仙人泛葉船。怳似濂溪光霽夜。靜硏無極欲成編。盤池賞蓮洗劒亭前百道冰。懸崖倒壑雪霜凝。琉璃錯布三千界。鵬鶴飛冲九萬層。赤脚踏來消夏渴。玄陰鑿盡納周凌。聖人臨履存昭戒。到此吾心倍戰兢。洗劒冰瀑去去來來第五橋。十分明月上元宵。誰家簾幕開新酒。何處樓臺弄碧簫。可意雨從三夜霽。耽遊時好一春饒。昇平百歲伊誰賜。童舞翁歌卽聖朝。通橋霽月</text>
<title>瀟湘八景 癸巳</title>,<text>叢篁小雨夜霏霏。響入黃陵寶瑟希。萬里淸湘流不盡。客舟寒夢轉依微。瀟湘夜雨洞庭湖水碧如天。秋月中浮滉漾然。好倚岳陽樓上望。朗唫詩過問飛仙。洞庭秋月粼粼春水蘸江扉。山日曛黃半落暉。橫抹細籠迷遠近。隔林漁子捲絲歸。漁村落照雨餘山色染如藍。拌靄調霞映水南。浦肆酒闌人影散。濛濛空翠更䰐鬖。山市晴嵐諸天遙指最高岑。數點浦烟鎖梵林。石逕歸僧何處向。斜陽飛錫趁鐘音。烟寺暮鐘楚檣吳帆盡烟波。去去來來港口多。極望長洲秋一色。蘆花深處有漁家。遠浦歸帆十里平沙鴈陣橫。一時飛下九秋聲。更看隻影南來遠。知是傳書報子卿。平沙落鴈江雲漠漠雪華凝。千尺闌干萬木冰。薄暮放舟何郡客。獨將蓑笠不收罾。江天暮雪</text>
<title>酈生行</title>,<text>泗上亭長竹皮冠。岸頂見人人不恠。平生不重諸侯客。踞床乃接蕭曹輩。騎士長跪亭長前。曰有酈生造門請。食其其名酈其姓。有舌三寸千人競。亭長聞之一大笑。試使來汝鯫生見。大布之衣支骨稜。意氣軒昂雙眄轉。有眼不識亭長尊。擧袖高揖胡爲乎。座上觀者皆竊罵。亭長獨知其奇儒。一語風雲合。肝膽兩相照。不有下士誠。那能爲高廟。酈生非英雄。英雄眞是隆準公。</text>
<title>采蘋詞</title>,<text>倉庚啼。薄言遵彼芳洲。芳洲在何處。笑指春城之南丘。環珮相將城南路。柔桑嫩蒲開豓陽。豓陽天氣三月好。女伴皆誦葛覃章。采綠擷靑不盈筐。別有桃華紅可憐。春冰未冸迨及歸。阿孃結縭繽三千。</text>
<title>書筵頒貢果。謹步文廟聖製橘詩。邀賓僚共和。甲午</title>,<text>集賢當日恩。播在後人口。團團萬顆香。瓊液更宜口。</text>
<title>又與賓僚聯句 賓客徐命膺，春坊李鎭衡，李崇祜，缺，吳載紹</title>,<text>厥包遙自漢挐鄕。金帕封來一色黃。睿製。 禹服皆歸滄海貢。漢廷常旅洞庭香。臣命膺。 傾葵俗引天邊棹。執壤筐登域外霜。臣鎭衡。 鹵學慚非賢殿士。离詞允協顯陵章。臣崇祜。 爭看異渥堆香雪。媿荷隆褒及辢薑。缺。 宮膳如今登寶果。仙方終古數瓊漿。臣載紹。 香頒璧水周髦造。味薦茅宮舜思長。睿製。 是日蓬雲騰靄靄。來時蒹露變蒼蒼。臣命膺。 胄筵永夕陪文墨。黼座淸朝儼繡裳。臣鎭衡。 珠實團圓形象土。金光璀璨律符商。臣崇祜。 時方睿學勤三晝。天又仁心屬一陽。缺。 從此銅樓傳勝事。金盤共許侍臣嘗。臣載紹。</text>
<title>甘霈應祈一蘇焦枯喜唫</title>,<text>纔報心香出北宸。三農慰滿八埏均。至誠孚格元如許。須信蒼蒼不遠人。</text>
<title>梅辰雜詠 四首</title>,<text>月光低幔夜光闌。歲晏寒花一榻寬。孤根獨帶先春色。大陸微陽愛護看。亭亭一樹臘中春。相對淸宵氣愈神。可但從花襟契托。應多林下玉如人。半天星斗光相爛。扶疎一樹玉瓓珊。幽人此際多怊悵。瓊樓元自不勝寒。寒英疎蘂月光侵。斗覺淸香近我襟。銅龍近日多閒夜。留與梅兄共醉唫。</text>
<title>送宮官鄭民始遊香山</title>,<text>樽酒高堂到夕暉。送君懷思轉依依。香山霽色明千里。領略風光滿袖歸。</text>
<title>會祥殿端午帖</title>,<text>遲遲瑞日漏初疎。禁苑槐花雨欲舒。昭儉聖心追大練。承乾至化配關雎。</text>
<title>聖候平復志喜 三首</title>,<text>默禱微誠切。焦遑半日強。幸蒙神佑速。益驗寶籌長。喜溢臣民色。祥浮殿閣光。洪休從此始。康爵頌齊岡。周縢啓籥日。壽曜繞中宸。珍劑神功大。邦休茀祿新。海籌添幾屋。靈樹葆千春。賀意登歌頌。歡聲匝四垠。天和不遠復。朝野忭歡均。盛禮寧過日。陰扶若有神。笙鏞諧鳥獸。蹈舞遍簪紳。四拜丹階下。呼嵩祝聖人。</text>
<title>夜坐無聊。唫示或人。</title>,<text>定寢龍樓訖。歸自靑宮畔。秋天一何高。的歷明河漢。褰衣步中堂。白露如珠爛。滔滔世之人。此時夢未半。朝營暮則歇。栩栩莊蝶亂。麟楦卽龜鑑。其奈長夜漫。</text>
<title>會祥殿春帖 乙未</title>,<text>曉日千門綵勝懸。紅梅初放玉欄前。齊宮警寢瑤簪脫。唐殿觀蠶寶箔宣。髹盤荇菜傳嘉瑞。寶酌椒花祝永年。聞道徽音遍八域。家家含哺樂堯天。</text>
<title>唫示或人</title>,<text>山光凝碧夕嵐浮。盡日逍遙有小樓。蹉跎時事三緘口。荏苒年華一轉頭。棊子簷鐘同落落。疎雲淡雨兩悠悠。睡醒何事耽唫詠。詩就還他午夢幽。</text>
<title>豐西行</title>,<text>野月蒼茫迷古渡。汀樹欲曙人如霧。拓落風塵皆好漢。萬事只可一醉舞。驪山往役急如火。五百男兒豐西發。豐西老嫗強解事。能使亭長其興勃。若令始皇在。亭長不敢逃。築城起殿大䂓模。黃河之深泰山高。當時除却焚書事。蔽一言爲萬世豪。</text>
<title>有人自楓嶽歸。以關東圖屛示余。書其屛以還。八首</title>,<text>江南小雨夕嵐晴。鏡水如綾極望平。十里海棠春欲晩。半天飛過白鷗聲。鏡浦臺帖鷲峯門對浙江潮。直欲橫流泛石橋。夜靜月明僧入定。諸天柏樹影搖搖。洛山寺帖層溟盡處最高臺。吳楚東南几案開。巨浸漫天天四蓋。風流太史可停杯。萬景臺帖環亭松柏太蒼蒼。皮甲嶙峋歲月長。浩蕩滄溟流不盡。帆檣無數帶斜陽。越松亭帖巨石含靈碧海連。尋常仙客住蘭船。丹書古壁知何世。回笑麻姑綠鬢年。三日浦帖高高亭子入蒼空。削立蓮花大匯中。箇箇六稜森似束。誰知造化自鴻濛。叢石亭帖雕石鐫崖寄一樓。樓邊滄海海邊鷗。竹西太守誰家子。滿載紅糚卜夜遊。竹西樓帖元氣蒼茫放海溟。誰人辦此望洋亭。恰如縱目宣尼宅。宗廟宮墻歷歷經。望洋亭帖</text>
<title>高陽衙軒。恭和先朝御詩。戊戌</title>,<text>蕞爾高陽縣。猶堪夜駐軍。漫山皆赤子。布野是黃雲。日耀旌旗動。風隨鼓角聞。璇題如昨日。一讀涕紛紛。</text>
<title>敬題昭寧園齋舍</title>,<text>蒼蒼松柏老。六十一年哀。戊戌先王敎。曾孫再拜廻。</text>
<title>親臨洗馬臺。犒饋有作。</title>,<text>洗馬臺名古。秋雲警蹕淸。列朝行大閱。今日亦勞兵。起舞三軍喜。爭瞻萬姓情。諸卿知此意。陰雨戒昇平。</text>
<title>同德會</title>,<text>閶闔排雲夕。咸池擎日秋。百年長是會。同德又同休。</text>
<title>贐提學金鍾秀出按關西</title>,<text>送卿懷緖正難裁。板輿知應穩往廻。遠色廉財存素戒。江山雖好惜深盃。</text>
<title>贐宰臣李鎭衡出守沁都 己亥</title>,<text>南谷山人亦世情。沁州出按耀旗旌。佳兒繞膝烏紗喜。老婦開顔紫誥榮。莫道功名由我力。從知天日照君誠。莽蒼少別猶關念。歸趁桃花滿洛城。</text>
<title>皇壇齋夜。宿摛文院。召見閣臣有作。</title>,<text>文章餘事揀材賢。每許都兪侍法筵。牙軸縱橫書載道。冰銜端潔吏如仙。龍圖美制還依舊。鳳閣新榮豈讓前。最喜官居天上近。禁林深處管風烟。</text>
<title>贐原任提學李徽之出按關西</title>,<text>喬木白江宅。文衡冢宰孫。出爲關西伯。休忘二字言。</text>
<title>示纂輯諸臣 幷小序○辛丑</title>,<text>歲辛丑八月。先大王實錄告訖。寶鑑將成。恭惟列聖朝盛德大業。備載於名山之藏。而人莫得以窺焉。惟寶鑑。是傳是信。而列朝寶鑑。間多闕遺。先大王有志編輯。而猶未之遑也。予小子迺因斯會。命選詞臣。就春秋館。抽金匱之祕。作一統之書。我家四百年治法征謨。庶幾盡在此。此書與先大王寶鑑。偕成於今日。夫豈偶然也哉。予念諸臣之夙夜佔畢。良亦勤矣。特遣史官。宣醞而勞之。仍以五言近體。識予意。示纂輯諸臣。列朝盛德事。巍煥可能忘。縱有名山祕。惟憑寶鑑詳。諸臣摸日月。小子寓羹牆。一統書成後。治謨萬世長。</text>
<title>到逍遙亭。觀瀑聽琴。次壁上韻。</title>,<text>林端飛沫濺鳴琴。空翠濛濛小閣深。偶與諸君同此席。道是無心却有心。</text>
<title>南殿臘享日。恭和寧考御詩。幷小序</title>,<text>昔在我寧考乙酉寒食日。享于南殿。小子陪參行亞獻。今於十有七年之後。躬薦臘享。前夕齋居。不任感慕之誠。恭和壁上御製詩韻。時小子踐阼之五載辛丑也。十年前事怳如新。南殿伸誠又此辰。小子敢言能繼述。先王八耋享猶親。</text>
<title>梅閣設煖爐會。拈梅字。各賦七絶一首。約以花發後更集。</title>,<text>輕裘緩帶閣中廻。左右交橫擁百梅。好是氤氳元氣會。此樽留待十分開。</text>
<title>梅已開矣。依初令。邀二三子。復會花下。吏議亦與焉。</title>,<text>半開會又滿開會。小閤深深護別春。香入樽中仍托味。明生暗裏却疑晨。賸能欺臘參差發。誰復排枝點綴均。直到黃昏看正好。新詩成喜更添人。</text>
<title>上元夜。與禁直諸臣有唫。壬寅</title>,<text>士女傾城樂此宵。通衢如海又晴霄。高樓月色知先得。分與諸君踏遍橋。</text>
<title>求見保晩齋稿。唫寄一律。</title>,<text>雨過簾幕午風徐。閒閱恬溪十軸書。悟解多從三易邃。典刑猶見四佳餘。陰陽綜錯心頗契。雲水流行質本虛。保晩堂中求草早。文園當日較何如。</text>
<title>贐直提學徐有防出守松京</title>,<text>西京百里遠無何。可是明朝度橐駝。此席不須逢別語。逢時應較別時多。</text>
<title>贐端揆李福源充上价赴瀋陽 幷小序○癸卯</title>,<text>皇帝將以今八月。東游至瀋陽。我國例遣使迎候。乃以端揆充上价。輔相予所倚而朝夕也。卿且善病。予豈欲重勞之。顧以今之專對。非卿莫可也。噫。涒灘以來。凡我上下。孰不忍痛包羞。而彼待我厚。我豈必愆于禮乎。故其所賷方物。予旣臨殿閱視。且令卿親行。事毋曰夫旣或治之。不惟勢之所使然耳。禮則然。雖然。皇壇在彼。匪風下泉之思。寧忍一日忘于中也。以詩贐之。愾念之懷。自有形于言表者。須祕之勿宣也。玉帛尋常入薊幽。棲棲六月又征輈。袁熊戰處離宮壯。遼鶴飛來故郭愁。雅度須敎徵禮義。雄詞應遣洗啁啾。中原人士如相問。鴨水依然萬折流。</text>
<title>贐原任直提學沈念祖出按海西</title>,<text>離絃初動閣中琴。別意將杯較淺深。宣化本無難化俗。近臣應自識予心。</text>
<title>燕射日。唫眎諸臣。</title>,<text>禁林晴景靜無風。貍首初筵酒在豐。矍圃𥳑徒司射進。澤宮燕禮大夫同。右文今日非科力。觀德由來貴反躬。軒樂和鳴銷臘白。九旗齊擧破心紅。儀容可見周旋地。情志須敎上下通。此會從遊凡百位。在家爲孝在朝忠。</text>
<title>贐原任直閣金載瓚出宰安岳</title>,<text>太守行裝學士榮。北堂甘旨供專城。知君傲骨非凡吏。淸白傳家不墜聲。</text>
<title>玉流川看花。又用壁上花字韻。</title>,<text>待人留發十分花。曲曲流泉繞紫霞。此閣年年圓一榻。花添人影較前多。</text>
<title>贐原任直閣徐鼎修出按關東 三首</title>,<text>民愁較得別愁深。旌節遙驅雉嶽陰。從今嶺海如身到。儘把吾心託乃心。我志徒勤事轉茫。問君何術集流亡。想來蔀屋炊煙少。別席那堪屢擧觴。金剛名勝擅吾東。萬朶芙蓉攢碧空。秖願明年秋事好。遣君盡意看丹楓。</text>
<title>將行臘日大享。齋宿于望廟樓。是夜拈禋字韻。賦眎在筵諸臣。仍許步此。</title>,<text>於乎我何述。皇祖每躬禋。廟貌攸瞻地。樓名寓慕新。塘流餘溥澤。樹蔭又長春。敢道寒威重。微誠是日伸。</text>
<title>臘享日齋居。與筵臣聯句。弘文提學徐有隣，摠管洪良浩，金尙集，閣臣徐有防，鄭志儉，金憙，李崑秀，尹行恁，承旨朴祐源，沈豐之，李時秀</title>,<text>夙戒龍旂大糦承。御製。 宸誠不憚沍寒凝。天時夏蜡方廻節。臣有隣。 王政周凌已納冰。慕切羹墻躬歲禴。臣良浩。 禮殷鐘磬薦冬烝。黃流氣與心香注。臣尙集。 朱瑟歌將駿烈登。此日肇禋光祖考。臣有防。 自天純嘏錫孫曾。享期未到誠先篤。臣志儉。 齋夜方闌念愈兢。萬籟收聲更漏下。臣祐源。 千官整珮月星澄。玄端穆穆愀如見。臣豐之。 茀祿洋洋降不勝。壁揭璇題思益永。臣憙。 筵賡寶什寵徒膺。邇班倍覺今宵幸。臣時秀。 盛禮長期每歲仍。天爲降監寒自退。臣崑秀。 人爭歌頌日方昇。元春更擬祈年夙。臣行恁。 三白先占大有徵。御製。</text>
<title>贐直提學鄭志儉出守沁都</title>,<text>從容坐鎭海門雄。祕府淸嚴內外同。離筵莫說長江限。來往應須一帆風。</text>
<title>贐原任直提學鄭民始出按關西 二首○甲辰</title>,<text>明朝送子按西關。可耐今行隔歲還。我獨知君憂涉世。人應說此在偸閒。三春富貴鶯花節。一域樓臺几案間。別後依然省識處。移看點點畫中山。芳草長堤碧似羅。與君初別奈如何。逢人莫說江山好。聞道西氓疾苦多。</text>
<title>健元陵齋室。恭和寧考御詩。幷小序</title>,<text>昔在甲申春。修改健元陵丁字閣也。我寧考寔躬臨焉。有御製詩一章。揭于齋壁。今又有事于陵石。而小子親董之。役旣竣。敬步前韻。續揭其下。庸識感慕之懷。時予踐阼之八年甲辰二月下澣也。仙陵有事感宸什。萬世洪基此地先。鳳翥龍蟠皆拱揖。山長葱鬱水長漣。</text>
<title>中元齋宿本閣。唫眎諸閣僚。二首</title>,<text>秋色綾廬撼被靑。一年明月到中庭。詞臣在座齋心肅。不妨賡歌更入聽。內閣門連瑣闥靑。鶴能慣識舞迎庭。年年殿享中秋夜。頻戒時官刻漏聽。</text>
<title>將謁永陵。路過高陽。再題。</title>,<text>月色燈光百里通。曉天風颭萬旗紅。高陽父老多相識。十載三過此郡中。</text>
<title>路過坡州口占</title>,<text>滿野黃雲輦路淸。吾民秋事十分成。千軍再駐坡山夜。慣聽高樓畫角聲。</text>
<title>德水川駐蹕。與大臣，閣臣，承旨聯句。畿伯以導駕來迎。亦與焉。判府事徐命善，提學金鍾秀，吳載純，檢校直提學徐浩修，直提學鄭志儉，檢校直提學徐有防，直提學朴祐源，原任直閣缺，金載瓚，檢校直閣徐龍輔，缺，檢校待敎李崑秀，尹行恁，承旨宋載經，李時秀，趙興鎭，權𧟓，京畿監司沈頤之</title>,<text>駐馬黔巖路。御製。 恭瞻御製碑。天淸溪水活。臣命善。 霜早岸容奇。萬幕平郊迥。臣有防。 千箱瑞穀垂。祥光盈禹甸。缺。 喜色上堯眉。繡旆輕塵動。缺。 仙韶霽日遲。見羹伸聖孝。臣行恁。 宣飯軫羣飢。幸値風雲會。臣鍾秀。 均沾雨露私。竹苞松茂詠。臣龍輔。 蘭秀菊芳時。晉接交簪珮。臣志儉。 從容似殿墀。今年增聖慕。臣崑秀。 此地啓洪基。謠頌播倪耄。臣祐源。 輝光載路歧。遲遲仙蹕發。臣載經。 肅肅羽旄儀。獲侍停鑾席。臣頤之。 同拚賜醞巵。昭回宸翰揭。臣載純。 蠲貸渥恩推。夏豫元徽度。臣浩修。 虞賡愧鹵辭。貢誠筐或獻。臣𧟓。 詢瘼仗頻移。大有秋呈瑞。臣時秀。 中元月滿規。寵光前席遍。臣興鎭。 佳氣近城知。盛事堪誇後。臣載瓚。 聯成五字詩。御製。</text>
<title>眞殿行朔朝展謁。召見四大臣，三將臣，四節度及達城家子孫。唫眎一絶。仍令賡此。</title>,<text>殿門朝闢愴懷新。月日依然舊甲辰。零落雲仍今幸在。典刑應似古忠臣。</text>
<title>鶴城君楡賜几杖日。唫眎。二首</title>,<text>百年纔少九年人。皓髮丹顔畫裏身。每見鶴城增感露。爲頒鳩杖好添春。禮宜尊齒生符甲。慕切攀髥歲在辰。更願年年花樹會。諸宗相與叙天倫。酌送宮醪壽域春。更敎仙樂宴簪紳。龍飛舊甲黃花節。鶴立崇班白髮臣。遺老如今凡幾在。是恩從古不多人。高年非貴生年貴。餘慕羹墻此少伸。</text>
<title>李判樞徽之。以耆社大臣。將赴燕。參千叟宴。詩以贈之。</title>,<text>老矣卿非出塞時。關河暮雪動離思。一條銜篆三淸壁。千叟筵參四海巵。翰墨須敎天下聞。顔眉從遣畫中移。好音誰付行人去。世遠西周柞棫詩。</text>
<title>雪夜召對玉堂官聯句 承旨洪仁浩，李兢淵，玉堂李鼎運，尹序東，閣臣李崑秀</title>,<text>簾頭瑞雪集縱橫。均著高低大地平。御製。 積得空濛渾是氣。飛來疎密不聞聲。臣仁浩。 瑤墀凍合千條硬。玉宇光添五夜明。臣崑秀。 管裏葭灰隨暖律。閤中梅影較寒英。臣兢淵。 近臣踏玉初登陛。遠樹搖花欲滿城。臣鼎運。 三白徵豐行月令。一陽來復叶宸情。臣序東。 詠詩誰任韓公重。攀什恭知舜殿賡。臣崑秀。 在地雷鳴開泰運。自天香濕荷新榮。臣鼎運。 關心蔀屋將垂綍。寓慕羹墻仰展誠。臣仁浩。 授𥳑梁園眞卽事。不妨蓮燭坐深更。御製。</text>
<title>拜園禮成。以步輿。周諗局內岡麓。登拜峯山。定補土役所。至主峯。唫眎陪從諸臣。仍許步此。乙巳。</title>,<text>水環山拱路逶迤。半日審回萬歲基。園樹晴陰頻駐馬。鑾旂還發故遲遲。</text>
<title>贐原任直閣金載瓚出宰成川 二首</title>,<text>分淸方可近烟霞。峽裏官居淨似家。紅藥靑綾多宿債。好敎留看一年花。翩翩五馬出西頻。一府三年兩閣臣。笏外樓臺饒爽塏。風流儻不妨治民。</text>
<title>雨後。看瀑玉流川有唫。</title>,<text>積雨初收晩日姸。坐來高閣聽新泉。泉聲渾與心俱淨。耐許纖塵到此筵。</text>
<title>丹楓亭。臨試武臣講。仍行京外殿最開拆。與登筵諸臣。至玉流川。看瀑。</title>,<text>百道淸泉出。蒸雲不敢飛。偶然成小集。分與晩凉歸。</text>
<title>賜判中樞徐命善</title>,<text>黃閣勳名白髮臣。六旬花甲菊同辰。卿雖老矣安危在。飮食起居須自珍。</text>
<title>東二樓聯句 提學吳載純，檢校直提學鄭民始，直提學朴祐源，檢校直閣徐鼎修，原任直閣金載瓚，徐龍輔，檢校直閣缺，檢校待敎尹行恁，弘文提學徐有隣</title>,<text>齋宵肅穆月盈盈。御製。 東二樓中小集成。鶴唳松壇頻警露。缺。 蛩吟竹砌又占晴。意眞禮𥳑同三代。臣民始。 誠篤心專到五更。瓊斝淺斟花泛影。臣龍輔。 銅壺數問漏傳聲。天開壁府瞻昭漢。臣鼎修。 星聚奎躔耀紫淸。宸慕堯墻廻舊節。臣祐源。 邦休周邸聳輿情。身隨枚朔承恩詔。臣載純。 才愧臯夔忝和賡。秋晩黃花蘆鴈過。臣有隣。 班登玉笋葉鳧輕。搖紅畫燭分薇省。臣載瓚。 瀉碧明河繞禁城。年年此夜仍嘉會。臣行恁。 好與諸君樂太平。御製。</text>
<title>錦城都尉周甲。送食物衣資。仍以一詩奉眎。</title>,<text>春色沁園白髮明。先朝都尉最賢英。逢卿花甲添新感。更願鳩筇學錦平。</text>
<title>內閣聯句 幷小序○丙午</title>,<text>是日。御摛文院。親試抄啓文臣。仍設三製于院門外。夜與閣臣聯句。徐判府事兩文任兩副學。亦與焉。二提學直閣新叨閣銜。下句及之。在筵諸臣。判府事徐命善，提學趙璥，原任直提學徐浩修，直提學朴祐源，原任直閣李秉模，徐鼎修，直閣鄭大容，待敎李崑秀，檢校待敎尹行恁，弘文提學徐有隣，藝文提學李命植，原任副提學沈豐之，趙尙鎭。宮樽咫尺永今宵。御製。 春意方闌萬品昭。化溢菁莪來吉士。臣命善。 歡騰徵角賦新招。身依日月恩光遍。臣璥。 地近蓬萊瑞色饒。玉輦廻時初整笏。臣浩修。 璇題頒處聳環橋。花知好雨紅抽萼。臣崑秀。 柳擺輕寒綠漲條。法醞周沾移院燭。臣鼎修。 賡歌齊獻替衢謠。門開六六和風轉。臣行恁。 節屆三三淑氣調。銀漏丁東稀報箭。臣祐源。 奎躔辰北迥聯瑤。弛張有道逢佳會。臣秉模。 陶鑄無私荷聖朝。官忝條冰如履薄。臣大容。 手擎雲漢似登霄。曰生大德符羲易。臣命植。 咸戴羣情祝帝堯。翰墨才疎慙授𥳑。臣有隣。 笙鏞治洽怳聞箾。寵陪宣室叨虛席。臣豐之。 餉出天廚邁貺弨。盛事閣中誰解撰。臣尙鎭。 嘉賓添爾兩仙僚。御製。</text>
<title>贐原任直提學鄭民始出按關北</title>,<text>知君輕遠別。圖報以忘身。盤錯纔西節。風謠又北輪。山川應識面。夷獠儻歸仁。九陛勤宵旰。須先問樂民。</text>
<title>回榜人知樞姜杭。以先朝二年丙午文科。是日具花帽公服。來謝。賜米帛。引對便殿。詩以寵之。謹遵肅祖丙申盛事也。</title>,<text>齒爵巍然世所希。二尊今日摠卿歸。白首簪花存盛事。重回龍榜古來稀。</text>
<title>淸漪亭賞花日。唫示在筵諸臣。</title>,<text>彈琴花底石。携釣水中亭。雅會仍探勝。雲端畫鵠聽。</text>
<title>贐提學趙璥出按關西</title>,<text>刺史榮兼內閣尊。箕城四月擁旌旛。淸白由來知素操。可能棠頌播西藩。</text>
<title>祈稔閣。奉和先朝御製詩韻。丁未</title>,<text>三度先王觀刈年。祈豐數畝卽堂前。秋晴是日黃雲熟。肯穫微誠更愀然。</text>
