<title>畫</title>,<text>梅梢老鶴立。顧眄意何如。萬里秋空闊。飄然逸翮舒。</text>
<title>庚戌八月。朝家設慶科。東山孫丈與鶴城李用晦相逢於玄風試邑。詩酒團討。無擧子奔忙之態。不佞適至。次用晦韻。幷呈東山翁。</title>,<text>東山詩酒老。匹馬更何求。爲覩邦家慶。渾忘塵世愁。江山留太古。風月遻中秋。得失還餘事。荊圍莫競投。</text>
<title>和藥南翁太平感恩歌 幷序</title>,<text>在昔唐堯之世。有康衢老人作擊壤歌。歌太平。曠百世無和之者。惟我聖上太平之十年庚戌。王世子誕降。朝野共懽抃。上以宗社莫大之慶。特先優老之典。時藥南李公以朝紳耆老與焉。公蓋早擧司馬。仕十年餘。歸老于家。以短策蹇驢。逍遙于藥山之厓康村之衢。詩酒以自娛。蒙恩之日。韶顔白髮。玉佩緋帶。百拜感聖恩。作太平感恩一章以歌之。直與古康衢歌。越千古幷其美。眞盛矣哉。雖然康衢之歌忘之也。公之歌感之也。忘之者無心。而感之者有思。則公之歌得無異於康衢之歌乎。噫何傷乎。彼康衢之老。不過耕鑿之一野叟。公則旣祿于朝。又蒙超資之典。生老太平之樂。不但耕鑿而已。則雖欲忘之得乎。此康衢之所以忘。而公之所以感之也。而况太平聲氣之感。俱是自然而然。則忘之與感之。夫孰非不同而同者乎。至如童子粒烝之謠。亦有所不能忘者。則歌自樂其樂也。忘不忘又何必同。顧余小子。亦生長於今世之康衢。夙在童子之列者也。敢忘僭率。叙公作歌之意。因以和之。粤若唐堯太平世。康衢老人歌太平。唐堯太平百代後。復覩吾東時運亨。試聽藥山太平歌。何似康衢謠鑿耕。維年上章聖復降。繞井祥光萬目瞠。朝鮮國本勢鞏固。直與華岳埒重輕。宸心欲答上下喜。優老恩數綽有贏。黃金白玉瑞聖世。楚人休誇丹實萍。是時藥山老臞仙。七耋之年少年精。螢牕讀破萬卷書。赤幟騷壇曾主盟。牛刀十載試二縣。鞭撻不忍施黎氓。年來歸臥故山下。靜聽林泉猿鶴聲。紅塵遙隔洞裏天。主翁風味十分淸。墨綬銅章已脫卻。依舊環堵布衣生。風流詩酒任自適。不信靑蓮騎海鯨。有時蹇驢康衢村。田歌野謳聊相賡。人間悲歡已相忘。幸見淸朝王化成。匀天雨露一時洽。昨夜光增南極星。韶顔黃髮耀紫緋。遙望秦京佳氣橫。桑楡倍切獻芹忱。聖世將何答寵榮。但願聖壽千萬年。千萬年年長措刑。瑤琴一曲感恩歌。戛雲聲聲金石鏗。小子和歌歌已闋。起看中天煙月明。</text>
<title>茅屋</title>,<text>三間茅屋五年營。梁桷生緇壁未成。懶拙人間堪自笑。臥看林末鵲巢精。</text>
<title>和權太初書堂十景韻</title>,<text>翠蓋亭亭遍一山。竹筇隨處可盤桓。淸標不待凌霜後。看取颼飀六月寒。右滿壑松風谷口春光楊柳先。迤邐嫰綠近前川。河南千古逍遙樂。想像風輕日午天。右谷口陣柳山木蒼蒼山鳥嚶。嚶嚶隨處自然聲。聲聲剩得天機活。何必嘈嘈絲竹鳴。右樹裏鳴禽淨似琉璃圓似彎。川流停此不潺湲。自在秋天明月夜。千年心法更誰看。右前川澄潭平沙皓皓一洲開。望裏明珠白玉堆。看到夕陽落鴈處。箇中光景絶奇哉。右中洲明沙十里長洲落晩霞。沙如鷗白鷗如沙。鷗邊漁篴一聲起。雪翮分明向白波。右長渚白鷗霏微煙起趁朝晴。山下平郊點點生。細逐輕風籠遠樹。俄看紅日照分明。右平郊朝煙玲瓏朝日耀天東。影入淸江江水紅。海上扶桑還不遠。分明只在此江中。右明波照暾山上羣山疊出成。懸知造物亦多情。爲嫌靜裏奇觀少。雲作千峯色色呈。右遠峀出雲目下平平坦坦逵。前人行處後人隨。爲言多少行行者。莫向崎嶇傍路歧。右道路行人</text>
<title>辛亥元朝遣懷</title>,<text>桑楡每惜歲華飄。餞舊迎新又是朝。膝下兒齡髫始長。鏡中翁貌鬢先凋。親朋遠近疎星點。羣從東西落葉漂。國步幸看盤石奠。天時惟祝雨風調。迂疎不與流年變。持守恐爲外物搖。賴有詩書案上在。且將吟諷遣無聊。</text>
<title>敬次從兄 樹德 寓中見寄韻</title>,<text>擺脫塵囂棲碧山。吾兄猶得暫時閒。淸齋自適煙霞勝。浮世非關道路艱。身外虛名飛鳥過。人間萬事塞驄還。簞瓢活計何須病。夫子當年獨許顔。</text>
<title>題畫扇</title>,<text>林外蒼苔石逕斜。騎驢騷客帶煙霞。平湖十里虛舟在。好向蘆洲得月多。</text>
<title>次林明府 濟遠 春日吟。呈別筵。</title>,<text>數年琴鶴強淹留。爲紓東都蔀屋愁。千里客情多感目。一春花事又搔頭。幸看儒化騰絃誦。胡遽童遊憶水丘。他日北牕閒臥處。夢䰟應復繞南樓。</text>
<title>次柳進士 榮魯 韻。詠龜院檀香樹 二首。○龜院廟內。有紫檀香樹頗挺秀。枝條之內向者。至廟簷廡。皆倒頭回旋。若勿褻然。見者異之。</title>,<text>霜綃一幅玉溫儀。襯廟檀香亦可奇。樹木無知猶覿醉。至今庭下倒枝枝。覿醉講堂號如揖而旋勿褻儀。苾芬庭下紫檀奇。儒冠倘忽尊崇地。還媿蒼蒼一樹枝。</text>
<title>淸窩李公 景漢 墓碣改竪日。吟呈姓孫會席。</title>,<text>天賦莊嚴百尺身。生丁壬甲亂離辰。忠誠幷與勳名著。孝謹終敎福祿臻。五世誰云遺澤斬。百年重見顯劖新。幽堂自此增光彩。指點斜陽行路人。</text>
<title>挽藥南李公</title>,<text>歎息東都運。邇來甚屯邅。凋零耆德老。去去北邙顚。活山還寂寞。安溪空潺湲。今公亦已矣。不憗柰蒼天。紫玉贒季宅。孝友是家傳。聰明出等夷。華譽自齔年。靑春遊國學。流輩莫之先。謂宜鑾坡上。絲綸筆下宣。雲路何迢迢。鵬圖失三千。邃文終見憎。命也抑何瘨。贒者需時用。不必事高騫。擢跡由草茅。淸班衛胄筵。牛刀亦少試。游刃恢恢然。歸來休老日。閒居興更專。藥山雲深處。鳩杖任躚躚。有書長几案。有酒混聖贒。嶺東雖非所。江山亦有緣。忘情西河慽。天和猶自全。高歌太平曲。君恩晩更鐫。韶顔暎紫緋。爭道地上仙。悠然厭世囂。飈輪伴喬佺。逆旅應無憾。鄕黨最可憐。黌堂虛丈席。於何考德焉。以余愚騃甚。不爲長者捐。從來世誼好。雙胤共周旋。夤緣被容接。龍門在龍田。先祖衣冠藏。仙庄水石邊。時節頻來往。趨拜每不愆。從容承誨地。搜閱古簡編。轉頭成陳跡。祖道丹旐翩。溪山花正闌。滿目春興牽。夕陽來小子。垂淚古堂前。攀紼不勝悲。荒詞題一篇。</text>
<title>挽李都事 時逸</title>,<text>佳期漸近菊花辰。疎雅風流憶故人。君恩幸早觀光日。府檄還遲問寢晨。羞從捷徑要淸顯。甘守竆廬任素貧。孤露六旬公莫恨。庭鸞並峙碧梧春。</text>
<title>癸丑立春日龜院會中。和權太初韻 三首。</title>,<text>新春勝會伴同年。衰暮團圝不偶然。志業蹉跎中道轍。流光儵忽下灘船。三陽暖氣候緹室。百世溫儀挹苾煙。起視東天雲物好。豐徵相賀菜盤前。雲樹離懷倍暮年。一樽相對便欣然。應知杜老春朝案。猶勝蘇仙秋夜船。陽動葭灰消薄雪。月明梧樹捲疎煙。臨分握手重留約。須趁韶光未暮前。老來何用祝新年。萬事吾儂任自然。長誦晦翁憂國帖。且燒韓子送竆船。園梅吐蘂衝深雪。溪柳含情待晩煙。自此閒人詩料足。沉吟度了東風前。</text>
<title>次孫肅玉贈李戚行眞韻</title>,<text>富貴難將智力尋。古人詩句爲君吟。生涯莫歎無恒幹。寢處須思不媿衾。分內有餘安宅地。愁邊無幾好光陰。年來况得螟蛉祝。膝下斑衣足悅心。</text>
<title>欲赴親知約會。坐無馬未果。吟成一絶。</title>,<text>竆儒代步苦難求。運動殘骸可自由。世路邇來多險阻。不妨跧伏謝交遊。</text>
<title>次忍窩族父和汶亭會中韻</title>,<text>逍遙花外小車輪。十二行窩處處春。千古風流惟邵子。一生塵累柰吾身。名區近隔如千里。勝友何當會十旬。惆悵借乘猶未見。佳期虛負上元辰。</text>
<title>遣憫</title>,<text>隔牕風雪冷侵膚。終夕無聊坐擁爐。消遣閒愁頻假寐。搜來佳句謾撚鬚。荒年倍覺生涯窘。暮境深知世路嶇。無可柰何安素分。任他鄕里笑爲愚。</text>
<title>挽三從祖 益初○二首</title>,<text>吾祖同堂弟。每如吾祖呼。秖緣宗祀重。偏恤後生孤。梁棟今還折。門楣更孰扶。爲先無限痛。遷盡長房祧。小孫非敢議。敦行竊嘗欽。半世黃香扇。十年姜氏衾。課兒騰譽早。到老養精深。棹楔巋然在。追先見素忱。</text>
<title>赴親知約會。歸後覺誤乘他騎。爲之一笑。親知之聞者。有或傳笑。謾詠數絶。聊以解嘲。</title>,<text>驢背詩情春日遲。悠悠萬事付希夷。歸來謾被傍人笑。胯下蹇蹄異去時。牝牡都忘三載騎。叔敖恬淡未爲癡。眞癡可笑還如淡。換卻他騎不自知。</text>
<title>詠御賜濟衆丹 時癘疫遍行。自上命內局別製丹。遍賜草野臣民。</title>,<text>堯舜博施猶病諸。吾王聖德又贒於。山龍袖裏靈丹妙。惠我靑丘億兆蘇。</text>
<title>到汶亭偶吟</title>,<text>衝炎驅馬訪虛亭。赤日初沉新月生。侵夜倚牕仍不寐。爲聽檻外小溪聲。</text>
<title>深夜枕邊。聞兒子誦書聲。喜詠一絶。</title>,<text>晩來深恨未攜鋤。貧鬼應隨案上書。兒子誦聲猶喜聽。平生性癖未全除。</text>
<title>謾詠</title>,<text>濩落生涯歲大饑。一旬能得幾番炊。平生慣識安貧字。今日方爲得力時。</text>
<title>挽李正字 鼎牧</title>,<text>悲號鶴髮怨朱衣。多事渠頭點我兒。名譽謾敎司命忌。公然奪去我兒奇。</text>
<title>挽朴汝明 煕百○二首</title>,<text>年來知舊半凋零。䪥露康衢又一聲。此別茫茫脩夜隔。人間何處更論情。移家南渡幾時回。杜宇聲中白髮催。葬近故山歸去路。首丘遺願未全乖。</text>
<title>挽辛戚丈 炅</title>,<text>蕭疎苦竹傍山畦。風致昂然不肯低。詩禮剩傳先世業。水丘遙占別區棲。人間萬事螟蛉祝。身後三更杜宇啼。孤露渭陽餘感在。秋風和淚短詞題。</text>
<title>題贈聞韶申生堪輿書卷末</title>,<text>靑烏家學世爭求。禍福人間一指頭。還恐此書眞入妙。化翁權力一朝休。</text>
<title>詠十月菊</title>,<text>十月東籬花正黃。佳期莫恨過重陽。孤芳愈晩愈奇絶。看取冬天傲雪霜。</text>
<title>十二月朔考講後吟一絶</title>,<text>蕭然茅屋講筵開。八九童冠濟濟來。披卷從容論難處。卻忘門外吏徵催。</text>
<title>病妻織布</title>,<text>病妻憐我冷無衣。雪屋朝朝耐上機。攣膝僅伸懸屩引。瘦腰半减帶弓圍。杼因臂澀揚還重。筬爲腸虛打更微。強刮昏眸尋墜緖。頻呵凍指理殘徽。身兼井臼難專力。睇向簷牕每惜暉。終夕不多針尺量。盈旬應得剪刀揮。有㜎豈是貧家望。無女堪爲暮境唏。苦待明年新婦入。老姑方是少休時。</text>
<title>兒子加冠日有感。兼示訓意 三首。</title>,<text>生兒苦晩見成人。孤露餘懷一倍新。可爾終身無至恨。吾衰猶幸在今辰。舐犢慈情幾望長。看渠七尺已軒昂。三加禮席還多媿。爲父吾無敎義方。莫謂冠巾成得人。成人元不在冠巾。人能體得人倫道。然後成人方是眞。</text>
<title>帶兒子醮行馬上。憶先人遺藁句語。不勝感懷。先人元朝詩。有吾年五十餘。汝年今十二。恰過五六年。始可見汝娶。蓋以不肖未及成長。故憫然有是詩。</title>,<text>白頭行色爲兒饒。終日馳驅不說勞。恰過五年先藁語。至今追憶血沾袍。帶醮行。俗呼爲饒客。</text>
<title>挽李僉樞 憲復</title>,<text>南厓白屋任蕭蕭。黃髮人間萬慮消。棐几常尋詩禮訓。柴扉遙隔市城囂。儒林長德曾推望。樞府恩榮不待徼。煙火終非仙儷界。尻輪誰挽玉京朝。</text>
<title>寄贈崔生乞竹</title>,<text>山家曾見傲霜姿。玉立牕前箇箇奇。莫惜兒孫分野老。胷襟俗氣十分醫。</text>
<title>敬題圃隱先生畫像糚帖後 幷序</title>,<text>永陽龜溪鄭生家失火。圃隱集亦入於灰燼。獨其卷中畫像一張紙。飛掛於園中樹梢。四面火痕。不侵於方圈圍內。吁其亦異矣哉。無柰鬼物扶護於冥冥之中。而烈火不敢逼者耶。鄭生奉以糚帖之。期以永傳。要余數句。謹以近體一首塞其請。以寓欽慕之忱。山斗精神水墨傳。百年尊閣弁遺篇。分明鬼物猶冥護。半夜狂炎不敢延。身後丹心難化土。圈中圖像亦凌煙。傍孫至意糚新帖。長使來人髮竦然。</text>
<title>挽鄭縮窩 一銓</title>,<text>淳雅風流迥出羣。薰陶知自大方門。鶴姿並與中心潔。花甲仍隨卲德尊。上舍浮名猶小事。中樞天爵是洪恩。人間莫恨螟兒夭。肯構故堂幸有孫。</text>
<title>濫入道薦。承召命將赴京。次孫雪坡肅玉贈別韻。</title>,<text>點檢平生夥悔尤。不才那意聖明收。虛名還覺貧爲病。謬薦偏羞學未優。恩命極知難冒竊。行裝非敢故遲留。贒良故宅人多抱。會見淸朝贊大猷。</text>
<title>赴召中路吟一絶</title>,<text>白頭行色冒炎威。爲重恩招不敢遲。一次天門登對後。歸期應在菊花時。</text>
<title>筵對退後有吟 二首</title>,<text>深深閶闔九門通。咫尺龍墀五彩濃。慚媿平生無學術。一言無足動宸聰。時務何知白面生。邇筵敢引聖言呈。芻蕘幸見明王取。從此微臣至死榮。</text>
<title>筵對後歸路有吟</title>,<text>對罷龍墀七日回。遲遲行色漢江隈。山林應有高人笑。不有忠言往復來。</text>
<title>歸路承除授之命。非分之恩。尤不敢承當。卽欲下來而有涉望望之嫌。意欲謝恩後辭歸未晩。故更爲回馬赴京。吟一絶言志。</title>,<text>除官恩命有難辭。羸馬旋尋紫陌逵。故里黃花休笑我。歸來未晩數旬期。</text>
<title>入仕日吟一絶</title>,<text>靑袍烏帶束全身。投刺公門禮數新。白首折腰堪可媿。始知靖節最高人。</text>
<title>入直時馬上口占一律</title>,<text>仁天雨澤及枯査。遲暮榮光春後花。半减瘦腰圍角帶。分明白髮戴烏紗。山林或恐高人笑。街路還羞下卒呵。只爲聖恩多感激。故山歸計漸蹉跎。</text>
<title>直中遣懷 二首</title>,<text>家事非關官府居。自憐羇思未全除。新孫璋瓦無分別。阿子詩書幾卷舒。十世先塋違灑埽。一門親黨閴音書。衰年謾被浮名誤。還媿人情太闊疎。官齋無事似家居。九陌黃塵強半除。庭滿紫花須得句。牕開棐几好看書。階梯豈待三年限。身世猶閒十日餘。吏隱高名非敢擬。自知幽致未全疎。</text>
<title>贈李掌令養重 鎭宅○二首</title>,<text>洛城千里客。汶社百年交。斗祿君非戀。天恩我豈徼。鄕音旬月斷。秋夢五更遙。賴有慇懃意。旅牕破寂寥。白頭爲遠客。靑眼有親朋。鄕信遙千里。交情倍一層。抗言君有志。監事我無能。乾沒須存戒。竆通分劑仍。</text>
<title>余所掌在假監之職。故詠一絶以自嘲。</title>,<text>邦家爲設考工監。凡事要須著實堪。別有假監添一座。不妨尸素假名參。</text>
<title>親舊以余泮主之貧。勸移他所。余笑而不應。仍吟一絶。</title>,<text>炎凉世態已多顰。肯爲家貧謝主人。梁上君看歸舊鷰。年年不厭主人貧。</text>
<title>訪族弟李海南顯甫 運春 旅館。顯甫拈示門字韻。要余步贈。卽吟以塞請。</title>,<text>百代親親自一門。况吾孤族若干存。子姓誰非連氣𧖴。支流不是別根源。孱裔尙餘先世慶。遐鄕俱被聖朝恩。旅燈共討微衷激。千里歸心未敢言。</text>
<title>退溪先生祠版。將向奉祀孫任所。歷路抵京城。自上使禮官致祭。多士祇迎。百僚駿奔。實曠絶恩數也。樹仁濫廁道內執事之列。欽覩縟儀。不勝聳歎。聊詠近體一首以志。</title>,<text>澤及玄孫墨綬榮。先生祠版路京城。生前不盡南山戀。身後應伸北闕誠。致侑洪恩千古曠。祇延盛禮滿朝傾。明時尙德於斯至。基業無疆億萬齡。</text>
<title>菊</title>,<text>我來考工府。適値重九日。忽見數䕺菊。當牕階上列。黃黃始開花。可愛凌霜質。我起循階除。摩挲重歎息。爾是花中隱。從古有題目。山野幽僻地。結根於爾合。如何來此爲。城市囂塵雜。可怪貞正姿。有嫌干進入。詰問旣移時。乃覺非情責。非爾違素性。爲人所栽植。雖來官府中。不是自求得。中操苟自保。何處非所適。終不與桃李。春花爭先發。古有城市隱。所處何須別。爲爾勤解嘲。知爾惟我獨。從今結爲友。相看終日夕。</text>
<title>黃紫二菊吟</title>,<text>紫菊生於黃菊邊。黃菊猶遲紫菊先。由來正道多遲就。遲就方能耐久全。</text>
<title>謾詠</title>,<text>自慚愚陋質。叨荷聖恩多。斗米徒虛費。靑袍亦已奢。鄕愁添白髮。詩興對黃花。鎖直空齋夜。臥聽五鼔撾。</text>
<title>商山李典籍 瑛 除咸鏡都事。將赴任。洛下遊宦親知。多以詩贈別。惜其年少才行之士屈於散官。不佞適巧違。未克送別。追和李監察 秉烈 贈詩韻以慰之。</title>,<text>關河千里不須愁。我道君行得意秋。天借淸閒無事爵。地宜名勝少年遊。靑春佐幕元非屈。白首潛郞此可羞。遲暮相逢旋有別。洛城秋日獨登樓。</text>
<title>客愁</title>,<text>九秋新月色。千里暮年情。有夢歸鄕井。無書到洛城。方知爲客苦。不信做官榮。賴有詩中趣。黃花入眼明。</text>
<title>數番入直後歸意已决。而以騎率之未到。少稽時日。聞有一臺官以儱侗等語見加。故不覺一笑。仍成二絶。</title>,<text>儱侗二字善形容。可見臺評自有公。從此晩年題目好。不妨自號儱侗翁。爲憐疏逖自蓬門。微分難堪聖旨溫。始覺含弘天地大。庸庸此物有何存。臺疏批答。以所存二字。庇藉微臣。自顧愚庸。不勝惶媿故云。</text>
<title>見家書</title>,<text>客榻驚愁夢。鄕廬送好音。先看平一字。大覺勝千金。書喜阿兒筆。衣憐少婦針。始知今夜寢。方可穩披衾。</text>
<title>棄歸</title>,<text>京城數月曳裾遲。爲重天恩未便辭。匹馬今朝南下路。沛然歸意自家知。</text>
<title>在京時。孫雪坡肅玉。又步前尤字韻寄贈。曲江鄭進士晦而 炅。亦次是韻同贈。僕迫於歸期。未卽和。歸後謹次以謝。</title>,<text>向來行止只招尤。暫出荊扉跡未收。三召難辭恩數曠。一毫非曰行能優。曾嫌聖世爲長往。旋覺名場不可留。屑屑往來東海老。故人應笑欠謨猷。</text>
<title>挽鄭丈 一鑽</title>,<text>梅山未及炙春輝。古韻猶看玉樹奇。詩禮祇承君子訓。棟梁虛老太平時。光先宿願無餘債。稀古天年不短期。最惜仙庄遊賞計。雲車先向玉京之。</text>
<title>挽李命安 鼎凝○三首</title>,<text>旃檀一樹大如樟。人道奇材是棟梁。畢竟同歸凡草木。雪蒼斜日古壇凉。孝悌名家福履期。云胡仁壽未躋耆。雖然五十猶非夭。更有兒郞多俊奇。我行千里君將之。君向九原我未知。千里我行歸有日。九原君去何時歸。</text>
<title>鄭府尹 元猷 有詩五絶。以詠朴君時平五六世世德。朴君要余追步。別爲五言古風。以塞其請。</title>,<text>昔我龜巖公。摳衣巖棲軒。一時稱高弟。章甫所共尊。况此雞林域。至今遺愛存。創立先贒祠。儒化終難諼。當日桐鄕士。有誰親炙薰。常恨百載下。孤陋無所聞。忽此深巷裏。客來自孝村。出示敬靜子。五絶詩七言。言其六世祖。學問有本原。武城弦歌日。詠歸泗水濱。從容函丈間。斂跡名利紛。及遭梁木摧。悲痛酹有文。優游以沒世。趾美在後昆。匪躳衛素王。不辱兵火燔。義倡赫居廟。千秋肇苾芬。世德足可尙。此詩所以云。令人三復玩。起此老病惛。昔贒遺澤地。師道可尋源。歷觀嗣後蹟。可驗遺風敦。惜哉湮沒久。曾無士林論。拙吟聊續貂。以贈故家孫。</text>
<title>挽李汝淸 憲白</title>,<text>滄桑人事淚盈眶。送盡江天鴈一行。長歎儒林今寂寞。謾懷琴巷舊峩洋。眞淳性質羞邊幅。詩禮家庭學大方。甘守丘園安分劑。早辭場屋厭奔忙。銀臺遣子承天寵。竹塢移家伴月光。半世簞瓢貧匪病。殘年缶鼔樂無央。孝廚未及專城養。仙轄還催萬里裝。到底親朋如有失。况玆情志自非常。靑春託契相追逐。白首離懷倍悵望。多感鞭驢經過路。頻尋羅雀閴寥堂。自玆陳跡成千古。何處靑眸更一場。一曲山陽無限感。寢門斜日寫哀章。</text>
<title>挽權聖文 鼎煥</title>,<text>曉月空梁憶舊顔。塵愁曾不上眉端。平生剩保丹田好。晩計何傷白屋寒。桑梓故墟移几榻。蓬萊何處倚闌干。山陽一曲無竆恨。飛盡秋風棣萼殘。</text>
<title>烏石亭 李友元述亭號</title>,<text>龍田處士臥茅亭。晩計烏公與石生。日裏陽精玄古色。雲間老殼丈人形。虞庭孝感傳奇躅。栗里神交挹醉名。世外等閒公物棄。山中留與主翁幷。數羣每自西林至。片面常從北麓呈。心爲忘機能狎戲。身緣不動更堅盟。聯翩白屋猶公道。磅礴竆厓宛故情。最愛幽棲隣寂歷。偏憐瘦骨共崢嶸。緇非涅也全天賦。磨不磷焉見素貞。上苑一枝無所望。建康三品肯同評。吉凶或有先人報。輕重元無與物爭。闇處文章還可見。靜中磈磊輒相傾。看來頓覺閒愁遣。枕處猶甘晝夢成。滄海霜毛何必玩。鍾山鏗韻不須聽。或還或往皆眞率。相望相親無送迎。子夜啼堪傳樂譜。南山爛可和歌聲。爲羣異類應非樂。寡友竆居自不平。安得共君兼二美。兩忘身世送餘齡。</text>
<title>忍窩族父闋制後居外寢。有感慕之懷。詠一絶以示。余謹忘拙以和。</title>,<text>彩舞當年白髮垂。承懽幸及六旬時。竆天至痛猶多間。寬譬公懷以我爲。公則承懽膝下。在於耆年。而顧此孤露之痛。在兒時故云。</text>
<title>次李戚洛應 奎五 見贈韻</title>,<text>支離浮世喪吾眞。自笑昂藏無用身。鏡裏衰容空對雪。床頭懶習任生塵。荒年尙記淸和節。蓽戶偏驚故舊人。芳草綠陰猶可賞。詩家興味未全貧。</text>
<title>次崔生見贈韻</title>,<text>晩來詩思懶成篇。驢背風流媿浪仙。每惜春光催九十。自憐霜髮強三千。生涯已擬康衢老。經濟應須盛世贒。竆巷未全無好事。故人瓊什有時傳。</text>
<title>題聖留窟片石 崔進士景至遊關東。取聖留窟片石而歸示余。蓋聖留窟。宿昔飽聞。欲一遊賞而未遂者。摩挲諦玩。仍成二絶。</title>,<text>人自煙霞窟裏回。蒼然片石袖中來。竆廬半世無聊客。頓覺今朝靑眼開。平生聞飽聖留奇。一片瑰形坐得之。一羽可見文彩異。鳳凰全體不須窺。</text>
<title>玉院會中。次南進士子雲 景采 韻。</title>,<text>邂逅故人來。黌堂勝會開。春光多澹蕩。詩思覺胚胎。聽水襟仍洗。看山首幾擡。淸談猶未了。分手故遲徊。</text>
<title>翼日將罷歸</title>,<text>聯衾春睡濃。朝起已高舂。可柰將分手。不妨暫住筇。洗襟須活水。得句倚蒼松。臨別仍相勉。同安有古鍾。</text>
<title>挽權益謙 五首</title>,<text>郞署厖眉是好姿。男兒終古數多奇。偏憐廿載爲貧仕。畢竟竆廬旅櫬歸。遲暮深知世路艱。宦情家累摠非關。悠然脫屣尋仙去。好是丹山碧水間。逆旅羇䰟且莫嗟。浮生元是宿桑過。許多病死家人手。行路操文復幾何。輕重能知內外分。多君踪跡謝朱門。何妨世俗嗤迂拙。自有人間識者論。重泉絡繹故人輿。俄者隨君又太初。如使故人靈有識。還憐人世若干餘。</text>
<title>挽李丈 洛範</title>,<text>也宜舒嘯盤桓處。蕭灑荊扉遠俗譁。先院偏深宗仰慕。古衢遙和太平歌。淸貧活計安吾分。天爵恩榮謝外華。月社光儀今寂寞。東都耆德倣於何。</text>
<title>九月十六日。卽吾生朝。而今年又是回甲也。兒子爲設壽酌。有感詠懷。</title>,<text>流光儵忽六旬催。孤露生年月日回。風樹餘悲空隕血。桑蓬夙願已成灰。常嫌一命叨非分。敢恨明時棄不才。卻歎衰遲成懶習。胷中依舊有塵埃。</text>
<title>次旅隱權君 範龜 韻 三首</title>,<text>旅榻忽相逢。聲華聞已早。昂昂野鶴姿。媿此一凡鳥。又白頭扶短策。踰越幾岡巒。世德靑城舊。生涯旅榻寒。交情無老少。詩興不孤單。晩節相期處。黃花霧裏看。又幷州到處摠家鄕。莫道家鄕道路長。百世猶能歸故國。殘年何必陟高岡。浮生大抵皆羇旅。萬事如今已夕陽。籬有黃花罇有酒。莫將愁思攪詩腸。</text>
<title>奉和尙忠祠奉安時會中韻</title>,<text>男兒忠憤濟時艱。不斬長鯨誓不還。萬里殊勳蠻海外。百年公議士林間。長虹壯氣衝南斗。故壑新祠重華山。濟濟祼將瞻仰地。分明海月是公顔。</text>
<title>哭崔卿玉歸路口占</title>,<text>六宜堂上性安來。卿玉如何去不迴。相逢每道仙區勝。一約那知鬼物猜。湖山物色空如畫。詩酒風流已化灰。半世襟期數行淚。夕陽驅馬獨遲徊。</text>
<title>謹次是庵任公 華世 墓道竪碣時韻</title>,<text>松湖風月至今辰。先輩聲光尙未陳。靑雲仕路無知己。白石山阿有主人。鸞驂已返三淸界。蝶夢誰尋太昊春。三尺龜趺追建地。子孫奚獨感懷新。</text>
<title>挽李參議 鼎德</title>,<text>公來若與大人期。太歲涒灘慶會時。中道又隨龍馭去。人間萬事哭公私。</text>
<title>謝孫肅玉贈靑竹杖</title>,<text>故人憐我漸衰羸。爲贈牕前綠玉枝。松逕獨隨明月夜。荊扉閒倚夕陽時。化龍未學仙翁術。扶老空吟處士詞。軟腳從今行十里。江東雲樹待佳期。</text>
<title>挽畸窩李丈 象遠</title>,<text>聖代終虛老。名家故有孫。天姿儘豈弟。家學好淵源。浮世少知己。僑居晩避喧。殘篇咀古訓。先藁泣餘冤。恬養常關戶。沉深素寡言。貧竆分已定。年德望俱尊。到處能安土。他鄕便故園。那知積善宅。旋作萃殃門。不盡西河淚。幾傷東野䰟。尋常無况緖。排遣有淸樽。天上催仙馭。人間謝寓軒。平生磊落氣。埋沒寂寥村。後進尋文獻。誰從聽緖論。荒詞替一痛。西望哭聲呑。</text>
<title>挽族弟道叔 四首</title>,<text>庭訓君承好古翁。一家詩禮有餘風。堪嗟連代淸修士。埋沒空山草莽中。浮名得失視尋常。逆旅寄歸無短長。如使鄧攸終有子。時人不必怨蒼蒼。浮世從吾殿十年。歸期奚獨在吾先。歸期我亦知非久。其柰相思蓋棺前。相忘貧病有殘書。衰晩年來共卷舒。此樂人間今不復。若爲消遣此生餘。</text>
<title>庚申除夜詠懷</title>,<text>非爲庚申苦不眠。老夫情緖又新年。春暉欲報終無地。龍馭難攀遽上天。白首弟兄風葉散。靑氈基業海桑遷。池塘詩句傷春草。江渭盃樽隔暮煙。萬卷詩書違素志。別區雲水負仙緣。新庄未就三間屋。南畒誰耕數頃田。塵冗謾敎兒課廢。風邪偏遣內憂纏。從知分數皆先定。萬事都將付自然。</text>
<title>見年少局戲。書示一絶以戒。</title>,<text>爭奇鬬巧欲何爲。謾費光陰一局碁。百勝終無毫髮益。妨工喪志最堪悲。</text>
<title>孤坐謾吟</title>,<text>淸貧自與俗人疎。咫尺康衢便隱居。寂寂柴門終日掩。不妨閒坐獨看書。</text>
<title>次李用晦韻 二首</title>,<text>相逢江上村。聯袂到黌軒。五老堪傳畫。三山欲與言。分明中夜夢。重對別區樽。歲暮離羣恨。愁聽獨鳥喧。落照明漁村。相尋竹裏軒。逢場如有約。歧路卻無言。臘雪添雙鬢。江雲杳一樽。若爲從子所。盤谷謝煩喧。</text>
