<title>郭天初。見惠盆菊。寄示以謝。</title>,<text>遺我一枝菊。不啻千金贈。感此故人意。愧我空手應。</text>
<title>述懷謝笑庵 庚寅四月初九作</title>,<text>旣止還不止。不止或復止。其止與不止。紛紛止不止。除彼止不止。解吾所謂止。水流歸海止。山走隨地止。高飛倦卽止。急趨勞亦止。萬品皆有止。伊我豈無止。月出向南止。頭流向東止。眷眷爲仰止。將無學艮止。京路共戾止。測知口容止。一念唯不止。酬酢自此止。</text>
<title>乞洪魚大蛤戱作 郭聖龜。爲光州牧使時作。</title>,<text>食量本不洪。所嗜苦不合。惟魚貴是洪。惟甲貴是合。洪有眞假洪。合有大小合。假亦味是洪。小亦味是合。不擇眞假洪。又何嫌小合。滋味約而洪。病口正相合。宇宙荒且洪。萬事豈盡合。貴州非不洪。海稅畧收合。周給務公洪。情義俱得合。分寸計纖洪。倘或昧變合。投我一二洪。仍以數十合。從此得寬洪。履物能開合。</text>
<title>挽金進士 邦柱</title>,<text>爲卜西湖勝。久聞有高致。終老西湖曲。蓄素吾已揣。豈必朱丹榮。方爲衆所美。一點無可疵。擧鄕稱善士。源深固流長。邁種在後嗣。升沉與長短。彼誰較愚智。歲暮北風凉。同雲漭天地。寒梅依古楂。餘香動墟里。孤鶴叫空林。依然九臯志。悵望西湖迹。把筆聊一喟。</text>
<title>次淵明乞食詩。謝方伯 李時楳 惠酒米。</title>,<text>富而可求也。執鞭亦爲之。天命有定分。食薺安敢辭。翳桑迹雖卑。猶自羞嗟來。紛紛珠筵客。巧笑添金盃。偶然死生鴈。誰言才不才。委心任去留。三復淵明詩。仍進二蘇和。爲謝美人貽。</text>
<title>再和前韻</title>,<text>貧富任天爾。汲汲欲何之。萬鍾不必慕。一瓢不必辭。孤舟橫野渡。風雨隨去來。忻然謝白衣。只是爲銜盃。始知樗櫟壽。倘或售不才。乘醺得眞性。感發古人詩。愧將分寸言。仰酬千金貽。</text>
<title>述懷</title>,<text>將老復何爲。祗合守田陌。親朋絶已久。孑孑無所適。良辰不易得。䨪曀又日夕。是非得失間。百年一過隙。遲速與去止。大小各有役。怡然顧妻子。且須勉紡績。天運自周環。萬事有損益。						又						病眼已昏眵。不分緇與絳。守界本無餘。何敢論滕虹。瑟縮守窮拙。伸屈僅升降。年少氣凌天。滉洋洪水洚。偃仰度食息。半百伏深巷。有時得幽趣。暗聞庭蟻閧。徒勞离婁明。可笑汲黯戇。大鍾未易響。誰將寸莛撞。</text>
<title>寄挹翠崔整甫 紳</title>,<text>月出何峩峩。我心亦峩峩。德水何洋洋。我心亦洋洋。峩峩兮洋洋。我心隨低昂。生平一尊酒。天地終茫茫。</text>
<title>挽柳察訪 鐵堅○乙未</title>,<text>如公不易得。勤實衆所推。泮宮暫遨遊。寄郵且隨時。鄕居自在閑。湖海任棲遲。貧富各有命。積著吾何爲。行身類如此。此非長者誰。今年七十三。豈非古來稀。三男各有室。稚兒方追隨。一女最鍾愛。讙譁提羣兒。左對令孺人。終始無參差。况復枚𦤎賢。朝夕供塤箎。壽福是兩全。親族爭嗟嘻。卜葬新魚巒。慈侍忻相依。先陵杳千里。宿昔恨睽離。魂氣無不之。謾疚馳遙思。千秋惟永寧。世世欽宗祀。瞻望慰遺靈。強疾題荒辭。</text>
<title>挽辛長興 應望</title>,<text>藹藹簪纓族。有此好風格。爲文優益勤。閱盡今古籍。早年捷巍科。華名久已赫。槐院歘飛褰。禮圍仍矯翮。執憲聳不撓。實堪效言責。外重申舊典。屢出試巖劇。鞭策示威慄。字撫添仁澤。亂際苦多事。龔黃失良畫。是非各有口。豈能無疵摘。歸路問鄙閭。倘或戀宿昔。驚喜倒屣迎。一壺慰襞積。開顔向我言。憂患曩騈迹。一子且夭死。稚孫委絍席。有女亦髫齕。戀嫪未能釋。年來齒已浮。嚼味忌乾腊。所賴有卿卿。醒醉任自適。䆠途久備甞。念至口先嘖。數椽不蔽風。合室悴擔石。時有鄰里好。來往永今夕。誓將執鋤耒。終老守窮僻。片辭吐深懷。聞之爲踧踖。一別曾幾何。忽報啓幽穸。驚痛肝肺裂。不覺涕霂霡。斯人豈易得。公私眞可惜。脩短苦不齊。此理誰闔闢。已矣柰命何。茫茫仰窮碧。先陵在鄕園。新卜近故宅。千秋嬴博痛。謾疚幽明隔。元嗣接脩壠。攢植森松栢。相將視如生。萬世安遺魄。</text>
<title>記夢 辛酉。夢斬大蟒。恠而記之。</title>,<text>夢隨微月入深山。山路穿雲細如絲。路窮始有古殿闢。殿闢細路層雲陲。雲罅漏月透殿光。光雜藻華黕依俙。有蟒趨梁倚梁伏。梁深藏蟒便蟒覗。以法詬蟒蟒不懼。蟒來蟒去恣蟒爲。已奪霹靂爲己權。聲勢比龍龍爲微。定是千年毒龍種。不卽除之柰後危。拔釰一躍擬蟒顱。顱高釰短刃當脾。脾破腰開釰始止。釰頭驚血爭噴飛。曳出新珠洗血點。磔蟒之骨曝蟒皮。雲消月明敞玉殿。瑩然九萬祥光披。提携玉女講丹經。共入淸都調翠螭。</text>
<title>失其題</title>,<text>鶡冠藜杖忻忻然。任是草坐雲間眠。交遊路絶志自逸。碁局日長興相牽。南湖泉石醉眼裏。長安風塵白日邊。更欲撥紛叩簡籍。至人無夢要賾玄。</text>
<title>失題</title>,<text>聞道西亭白成羣。色如白鳳爭愕貽。飮後酷好啖此炙。孰知白黑君欲試。以德報德眞相厚。道德寫畢任意取。不啻一鳴十萬錢。且對禪經硏至理。</text>
<title>春龍行。寄賑卹從事李子時。敏求。</title>,<text>玄冥驕驁慢不歸。暗偸水車移全機。掣風鏁雲雲爲低。羲和泄陰奔鳥微。桂宮寒娥懶修輪。殘蘂橫枝愁餘輝。帝念寰都少華顔。東勑翠龍專恩威。齩呀明珠團神元。陽爐槖鑰凾洪暉。金縈深紐黑螭淵。北收鬼嫗沉幽扉。膩靄柔風惹溷烟。細驅輕屑行芳菲。瑤草抽芽滿瀛洲。蟠桃睜纈凝丹霏。九溟一盂瀜曖泓。祥光逈闢扶桑晞。蒼佩分蕤挾羣仙。雲璈栧響朝天闈。玉皇含笑萬國春。三十六宮花馡馡。</text>
<title>玉京謠 戱言神遊四方</title>,<text>玉妑奉詔開九門。九龍呑珠拋下雲。雲璈騈響咽微垣。春官覗帝嬌天恩。收拾餘和綴新歡。衆星分嬉摛殊文。玄冥獻奇蛇繞龜。祝融噓火銀派燻。白帝橫秋跨白澤。長飈辟道驅淸芬。高揖中黃集斗柄。同煽槖鑰生氤氳。鸞翔鳳舞猉獜蹌。桂樹若木枝相芬。羣仙一時醉流霞。紫府瑞日三千春。</text>
<title>極熱遇大雨。次昌黎陸渾山火韻。擬體。</title>,<text>洪爐環極欝蒸渾。虐熱昇煑焦銀源。毒魃羣趡恣呀呑。慄怒協威愈騰軒。嘔埃吐敲助燻燔。湯沸入圍洞九原。鼎熬釜炰赩乾坤。草盡樹兀遍荒垠。三丘五嶽堆禿垣。頊冥喘暍潛玄門。陽烏呿呵愁羲暾。拳炒脫木𦧈噪猿。灼殼散坂曝鼈黿。上炙風鶻水鶬鵾。翔者委翼走失奔。祝融担睢驕天尊。帝念惱移淸冷園。堪輿修牋上奏繁。衆仙皷論爭顚喧。陰陽相濟須箎塤。狡獪罪積擅朱旛。帝勑前廷辟弁褌。䝱息鐵鞭瘢紅臀。督汝九龍掌輪轅。凾時往敵愼櫜鞬。漉涵九河贏萬轓。導以皁幢從素㠾。致禮玄牝設豊膰。神部鬼隊分派屯。傾瀉太陰蟾蜍盆。挹注斗杓雲雷罇。玉女投壺罷笑言。豊隆屛翳馳紛翻。弧矢焛晱引滿反。揮霍列缺縱暝暖。顚倒大塊漱涯桹。彭䡌河皷隨天孫。沉淪周浹酷烈跟。沛然下土流鴻恩。洪濛更播太極元。氛拏飈攫敷神援。蘇枯起姜不足論。祓濯地祗澆帝閽。萬類洗盡燋爛痕。渙起餘燼回春魂。决癕潰疣灑昔寃。細及蝡蝝皆溫存。得使橫目安啜飧。父乾母坤氣交婚。維火若季水是昆。剛柔倘或懸趣蹲。玄二行道何由騫。异今生殺偏恩㤪。吾將上詰乘飛鯤。凌波直渡軼崑崙。仰叫九萬雲溷昏。彼旣不戢固自焚。恐此之擧亦太煩。欲控天門邈難捫。</text>
<title>雨後自鹿車洞。過龍菴。登九井峯。賞巖谷雜花。寄林東野。</title>,<text>挽來陰雨開胚渾。高尋絶壑搜深源。頑崖怒石齦噬呑。噓波吸濤轟雷門。衝飈蹙沓助騰軒。急瀑猛勢轔荒垠。崇林巨樸欝氛昏。威神森肅回心魂。當午直截西南坤。夤緣鳥道窮蜚奔。石甲嵌巖繚周垣。目金碧凌雲鵾。明霞采嵐接廡屯。瑤墀瓊砌䝯丘原。據軨始臨琉璃園。頃刻已覺昏精暾。凌虛高步跌飛猿。走上上頭聊攀援。九龍遺迹留九盆。星分石觜含波痕。彀崖轉要紆兩跟。劃作小關通天閽。圓巖壓鼇萬仞蹲。動搖纔勞一指捫。積石環立護屛藩。神扶鬼撑紛便番。側身叢灌跧危根。俯視萬壑丘壠繁。橫戈挺矛錯櫜鞬。行分壁列森旂旛。怒簴嶙峋仡軒轓。雷車電馬恣騰騫。四面一皷驅濩賁。虎踔熊挐血腭反。仰覘元戎𨀣擠掄。銜枚寂然無啾喧。繚繞崖窽草花蕃。散漫珠屑隨波噴。赤瑕丹砂雜瑤琨。璞核隱顯縈崑崙。紫鳳采鸞從羣鵷。帝敕玉女開金罇。霓裳霞佩排繙㠾。翠袖綠鬢誇嬋媛。龍吟獜舞沓箎塤。祥雲瑞靄凝春暄。羣仙一時顔色溫。環拱紫皇涵新恩。奇貌異狀目力煩。舒悴只益心神掀。瑞石天冠是兒孫。直與漢挐爲弟昆。吾將奮身脫世樊。卜築小麓依蘭蓀。飽喫沆瀣朝霞飧。吐納日月回眞元。飄然遠逝駕鵬鵾。追逐赤松超軒轅。願君亦勉洗煩寃。得一試從求三幡。</text>
<title>戱示郭弼善 聖龜</title>,<text>郭太守郭弼善。太守弼善皆虗耳。月出屹立南斗傍。閱盡是非無口耳。願君長日昏昏醉。更勉朋知迷口耳。口耳苟能吾全廢。彼誰區區煩口耳。</text>
<title>又用前韻</title>,<text>耳屬鼎鐺垣有耳。耳實天禀誰無耳。耳欲不聞當掩耳。耳能爲順耳自耳。耳乎耳乎傾爾耳。耳乎吾身孰重耳。耳聾久已免洗耳。耳息渾忘口與耳。</text>
<title>春和效李長吉體</title>,<text>春風慢吹土脉膩。和氣氤氳渾春國。輕禽低飛嬌晩烟。藹藹平蕪千里色。紅樓高劈翠雲尾。小圃新梢惹無力。幽塘水靜溷澹淡。曲坡明沙睡鸂䳵。愁思繁花杳如夢。亂峀層雲有無迹。</text>
<title>題白樂天賀雨詩後</title>,<text>今春久雨民皆苦。今夏久旱苦且顰。久旱得雨豈不好。破顰爲笑喜賀申。民生喜苦易爲耳。雨與不雨誰所因。君不見至德之世。曰雨而雨曰暘而暘。民不苦雨亦不喜雨。誰更賀雨相紛繽。當夏年年詠賀雨。後來苦賀何其頻。</text>
<title>述懷</title>,<text>孤燈一尊酒。屈指數平生。壬辰臘旬九。寔吾降惟庚。七歲隨爺孃。飄搖嶺外行。十一得賢師。十二就王京。十八極文章。十九攀豪英。卄一始登第。三歲頗縱橫。卄四休其官。卄五還吾家。三十二歲遭盛際。猥蒙拔擢超蘭坡。三十三歲解縣紱。誓將長卧林泉阿。朝家豈解下賤誠。日夜跼蹐添恩波。宿痾新恙交極纏。勉強無柰趨金門。耕漁聊復保殘生。日居月諸隨朝昏。五十之年忽焉至。手撫兩鬢心茫然。四十九年誰是非。往不可追來何緣。顔回貧夭盜跖壽。生死富貴天何言。一尊酒歌數曲。是非賢愚在此曲。曲旣終書以識。庚辰臘月三十日。</text>
<title>貧居依稼穡 課製</title>,<text>五鼎富貴非吾願。萬鍾之祿竟誰因。簞食糲飯足平生。資地還須田舍人。數頃荒田一尺鋤。稼穡百年終吾身。梁園昔日愧老農。志糓終乖飮喙眞。珍膳寧餬是腊毒。斗粟世味眞堪嚬。鷦鷯每食尙數粒。爰居有饗徒傷神。植杖誰繼沮溺耦。食力優游淸漢濱。三旬九食復何憂。南畒西疇聊我貧。昬作何憚苦當午。理穢尙且能侵晨。耘耔亦復興淺深。鷄酒農談歡四隣。糟床已注藜藿飮。北䆫東籬欹葛巾。我稻我秫歌築塲。妻飽兒嬌話情親。春稼秋穡春復秋。陶然皷腹羲皇民。誰云爾富我爲貧。向來貧富君休陳。食浮於人人所誡。居貧道富貧還伸。噫吁嚱永負伊尹𤱶畒志。屢空將追回憲倫。君不見當年採薇餓死翁。高名首陽空嶙峋。</text>
<title>書柿葉 課製</title>,<text>往時台州老司戶。學字初學鍾王帖。字妙猶懼玅未盡。慈恩百日書柿葉。經營若得造化力。拚出眞功何倐歙。羣木慘慘失春姿。霹靂飛動山魑慴。欝如龍虎頹溪谷。團如瓊碧交相疊。飄如珊瑚茁滿波。亂如刀釰森鋩鋏。墨池已涸免欲盡。晩歲中國聲名浹。男兒勤苦有如此。大材必須能專業。願磨嵩華寫我磊落不平之胷懷。直畫宇宙輸一篋。古人風流已塵土。曉夢彷彿神交接。山風吹月輕獵獵。</text>
<title>泰淸辭 夢亡弟仲擧。上遊天門。作辭以記之。載本行錄。</title>,<text>[本文缺]</text>
<title>天門辭 玄洲以正言見罷。辛亥作。</title>,<text>物有微兮可惡。理有疑兮可燭。抑志兮抒意。遡九關兮乘溟漠。虎豹峩峩兮相呀。雲濛濛兮爭集。事有昭兮莫究。忠有實兮莫察。惟天意兮沕穆。孰離合兮可測。</text>
<title>將歸辭 丁巳作</title>,<text>吾將歸兮。時可歸兮胡不歸。山有田兮耕可獲。河有漁兮釣可獲。仰有親兮俯有子。左啚書兮右琴瑟。瓦罇兮濁醪。春風兮秋月。日日兮歡樂。歡樂兮未央。終吾生兮倘佯。</text>
<title>戒棹歌。贈別林洗馬載叔。載叔。家在錦城會津津頭。己巳作。名墰。</title>,<text>蘭爲槳兮桂爲棹。合衆芳兮搆吾舟。蓀撓兮荷旌。蔚茝盖兮蕙斿。旣華采兮實中。盍佳遊兮周流。擇吉日兮辰良。將泛濫乎中洲。時不可兮驟得。悵歲晏兮夷猶。聞好逑兮北渚。謇誰留兮自虞。喜嘉會兮有當。固離合兮相須。矯余首兮企予。忽雲消兮雨收。虹霓廓兮氛靄淸。白日出兮悠悠。子交手兮善窈窕。又旣要兮近者偉。有操兮可嘉。惟美人兮不汝過。及年歲兮未暮。效瓊珮兮周章。顧湘漢兮異路。亦昏明兮無常。龍有角兮深淵。蛟有牙兮高丘。雜風雷兮狂怪。倐神瞲兮鬼咻。按吾枻兮勅吾橦。願無易兮安流。載叔新除洗馬。聞命發行。</text>
<title>望美人辭 冒雪遊瑞石峯。聞除校理。集句。戱示諸友。翌日發行。己巳作。</title>,<text>吉日兮辰良。忽乎吾將行。被薜荔兮帶女蘿。爛昭昭兮未央。斲氷兮積雪。聊翺遊兮周章。歲旣晏兮孰華予。望美人兮天一方。</text>
<title>到長城。添得寒疾。辭狀還歸。集句。示明翊賢弟。</title>,<text>望美人兮天一方。撰余轡兮高馳翔。平原忽兮路迢遠。橫四海兮焉窮。夕濟兮西澨。雷闐闐兮雨冥冥。衝風至兮水揚波。俄滉瀁之無依。撫余馬兮安驅。且弭節而自思。理弱而媒拙兮。何方圓之能周。惟否泰之相。將天命之不可求。歸去來兮攀援。桂枝兮聊淹留。卽見朝報。張維以吏判。出倅羅州。</text>
<title>南還辭 庚午季春。除修撰。以病呈䟽辭遞。未久得澤堂書。多警策語。且有奉和四句。中路浮沉云。卽次前韻。寄呈澤堂。卽李植。</title>,<text>撫吾乘兮旣良。初豈難兮周行。時曖曖兮將罷。夜悠悠兮未央。長余佩兮潔余服。聊以修兮文章。遵繩墨兮益勉。庶從容兮圓方。													附次韻						我所思兮士之良。云余導兮景行。欲往從兮路阻長。宛在水之中央。帶長鋏以爲威。冠寶璐以爲章。歸來兮故都。何爲乎上下與四方。</text>
<title>再次前韻。寄澤堂。澤堂書。有以大諫病遞云。庚午仲秋作。</title>,<text>噫美手而質良。固知夫介立而孤行。天門廓其洞開。欝金㙜之央央。玉佩兮瓊琚。芳菲菲兮彌章。遵大路兮夷猶。何所憂之多方。</text>
<title>病驃辭。再次前韻。寄澤堂。所騎驃馬被選。御乘溥驛上去。以病蹇見退。澤堂作病驃歌。譏余病窮。</title>,<text>爾旣不遇夫王良。曾何輕施而妄行。豈無爾才之可恃。時亦猶其未央。苟爾內操之有得。何傷乎名譽之不章。軒轅邈以不可攀援兮。固將委絶乎下方。</text>
<title>述懷辭。次澤堂韻。</title>,<text>何余命之孔艱。遭此時之薦瘥。彼鴻鵠之高擧。亦未脫夫雲羅。沅有蘭兮澧有蕙。指芳洲而遐逝。雷闐闐兮雨冥冥。忽浮遊之無所届。攬余轡兮按余棹。悵吾行之邅迍。惟枘之異宜。孰和予以爲羣。聞淑人之休風。願先後以相保。念佳期兮遲暮。㤪天路之脩阻。</text>
<title>聽胡笳</title>,<text>嫋嫋兮秋風。何爾笳之聲悲。惟天地之廓大。漠山川之相違。燕翩翩而南飛。謾余懷之多思。知霜露之將至。與草木而同歸。</text>
<title>哀孤鶴辭 余兄弟同年月日時生。仲擧不幸早死。余亦有宿疾。又遭辛巳凶荒。迫於餬口。移住古阜雨日。雨日。卽余所生里。十二月十九日。是余初度。寥寥空室。塊坐終日。感時思舊。不覺潸然。聊賦短辭。以舒悲懷。載本行錄。</title>,<text>[本文缺]</text>
<title>惜秋蘭 辛亥作</title>,<text>澹好姱以端居兮。合衆馨而實庭。感蒔育之豊悴兮。愀含思而凝情。循階際而低回兮。惜幽蘭之秋萼。何所獨無芳草兮。吾取爾之酷烈。昔余之移爾苗兮。趁甘雨之新晴。覘土膏之滋沃兮。遍九畹以栽成。紫蘂兮素莖。蔚▼兮堂之旁。伊敷華自中出兮。芬𧄦𧄦其外颺。故余之以是爲可恃兮。謂爾榮名之日彰。噫世之莫爾知兮。吾誰可與翫斯孤光。時亦曖曖其就暮兮。鵜鴂爲之先鳴。衆蕪忽其零落兮。芷蕙靡而瘀傷。顧爾蘭之郁郁兮。保厥美而從容。天又重之以霜雪兮。豈爾姿之長榮。葉於邑其將罷兮。形枯槁而銷鑠。然爾志之信脩兮。亦何悲夫萎絶。寧與野草而同腐兮。終不與椒榝而競先。余將旌性而製佩兮。聊以勖夫吾身。長余綏之纚纚兮。潔余服之皎皎。昭綵藻而雕餙兮。永流徽於終古。</text>
<title>述懷 壬子作</title>,<text>悼吾衷之多感兮。愍吾身之寡儔。物有潔而易汚兮。音有亮而易休。何質卑而位微兮。遭衆人之交嫉。固枘之異偶兮。宜結舌而退伏。思內省以自訟兮。焉著書而申復。重華死於九疑兮。孰僞眞之可究。旦獲讟而東征兮。亦未免夫恐懼。惟日月之光明兮。或氛翳而昏▼(目+務)。矧匹夫之常陋兮。豈超脫於衆累。道誰直而必伸兮。理旣泰而有否。噫魍魎之責影兮。寔未信其云已。援往昔而尋思兮。惕撫己以自抒。始余好銳而尙毅兮。勖驟進而高翥。不量身之輕賤兮。敢陳力而就列。荷先神之陰補兮。幸承君之餘澤。嗟疾步之易躓兮。果迷途而踡跼。揆旣覆而可懲兮。復遑遑其何求。瞻湖浦之沃壤兮。有先人之舊疇。况此天時之嘉會兮。春又申之以和欨。王雎嚶嚶而飛鳴兮。鶬鶊頡頏而交翼。吾豈好憂而惡樂兮。殊方又不可乎久託。小歌曰。螭龍之處汙瀆兮。固見制於螻蟻。鴻鵠之一擧兮。又焉知燕雀之喧鄙。捐余佩兮漢之中。解吾紱兮漢之涘。膏吾車兮秣吾馬。南指月與列星。賴皇天之厚德兮。庶無忝而休行。</text>
<title>傷心 癸丑作</title>,<text>衆兆各有所樂兮。吾何心而獨傷。有車可巾。有酒可甞。其食旣飽。其裘旣暖。仕亦不爲辱。名亦不爲賤。今悄悵以若喪兮。吾實不自知其何心。富貴非吾所必惡。藜藿非吾所必甘。達人非吾所必慕。黨人非吾所以慙。潛服膺而求思兮。何所傷之多方。昔娥林之啓胄兮。諒皇直之吾宗。肇植德之優游兮。頗中葉之揚光。廉介世於十六兮。曰吾考之皇父。孫丞祖而濡染兮。益明精以自保。抗直以不懼兮。強果以不二。知子之莫若父兮。皇父亦自爲之知已。咨天命之不遭兮。終未躋其明敭。惟禍與福貴賤死生。鬼神不能要。聖智不能明。顧吾生之愚陋兮。豈不擇止而愼行。况枘之方圓兮。又與衆而不好。將擫按而隨從兮。恐吾身之貽累。寧獨保於巖穴兮。混草木而同腐。乃歌曰。漢水之南。南海之北。江山閴寂。磈礧巖石。暮春令月。天和氣淸。王雎叩翼。鶬鶊交鳴。老不可兮更少。時不可兮再得。吾將歸去乎松楸。淹息乎萱闈之側。水耕香稻。陸種黃粱。歲時伏臘。烹羔炰羊。饗我塚墓。樂我親朋。紛左啚而右史兮。撫琴瑟以自娛。苟至若是其終之兮。世又安知愼子之何如。</text>
