<title>崐崙 庚子</title>,<text>磅礴結崐崙。西維地勢坤。高山通澤氣。萬里黃河源。</text>
<title>得木石二字。還呈族人木石广 在恂。</title>,<text>曰有徂徠千歲木。曰有零陵五彩石。積氣淋漓蟠大木。靈液龍鐘異他石。拂雲干霄元直木。龍蹲鳳翥名怪石。兒孫列低天陵木。甲乙行高太湖石。長於無始成古木。產于幽谷雜亂石。明堂毁矣不徵木。靑州邈乎闕貢石。時乏匠師求佳木。世無元章愛奇石。寧爲大谷朽死木。甘作深山等閒石。美質由來愧散木。寶彩徒然比頑石。我愛君子貞如木。我愛君子介如石。始知大材爲棄木。可惜含章混凡石。杈枒崖壑枵然木。埋沒泥沙斐然石。巨麗誰致棟樑木。璀璨更陳紋錦石。㵎有石兮山有木。與居者誰木與石。非石之石非木木。小厓巖屋題木石。</text>
<title>和呈木石广 二○原韻。縻役先齋未敢歸。叢殘木石費心機。衰年添得文園渴。却待芳鄰送白衣。</title>,<text>昨日瓊詞換酒歸。鏗鏘音韻動天機。山樽餘瀝薄滋味。猶勝江州送白衣。細雨東風雲不歸。山牕小睡蹔忘機。何時了却心頭事。一斗相酬恰漬衣。</text>
<title>聾叟</title>,<text>耳順之年兩耳聾。轟轟三籟我全聾。臨流免洗猶云幸。問客知風自笑聾。寂寂寥寥焉用聒。非非是是不如聾。平生事到無言地。却喜男兒二竅聾。</text>
<title>次論湖四觀亭 族人長淵令所築 韻 二</title>,<text>主人歸老小山陰。花竹經綸用意深。四望遙憑千里目。一樓高臥百年心。天圍野色連靑草。簾捲潮聲下白禽。西日金樽留遠客。郢中歌曲爲誰吟。無數名花映綠陰。坐來軒檻轉幽深。風含遠帆通沙口。虹壓長橋飮水心。簾幕參差三百戶。松篁蔭翳一羣禽。橘州兼得楊州美。幾度詞人醉後吟。</text>
<title>哭趙景之 鎭一</title>,<text>君顔穆穆蒼。我髮輝輝白。何事同庚人。門前作弔客。</text>
<title>二月過季兒婚禮</title>,<text>六十年來好事稀。婚男嫁女幸無違。從今已了向平事。流水靑山可拂衣。</text>
<title>春事</title>,<text>莫言山僻居。時節見花記。早起理靑蓑。西疇方有事。</text>
<title>暮到維鳩驛。宿白橋。</title>,<text>暮到維鳩驛。飜尋㵎水源。仇池應有穴。同谷別藏村。正値千山黑。遙聞數犬喧。主人驚掃榻。慰我煖芳樽。</text>
<title>小雨可喜</title>,<text>一日炎雲蒸。油然造化力。臥看和澤濡。萬物生顔色。</text>
<title>戲題</title>,<text>茅屋柴扉竹廣牕。匹夫之志亢難降。骨淸剩得成癯鶴。眉細何妨學老狵。太極滾來都一一。陰陽分去對雙雙。男兒了此無餘事。不必經綸聞大邦。</text>
<title>訪德溪諸友</title>,<text>步隨流水去。行到德溪湄。偶爾林泉興。居然朋友思。斷崖懸路逕。深樾隱茅茨。拂石開懷抱。洋洋可樂飢。</text>
<title>體古語</title>,<text>居常事無事。百事自可治。居常味無味。五味自可知。</text>
<title>哭宗人聖涵 灝澤○二</title>,<text>同甲同根志又同。風流文酒海之東。人間白髮誰長短。今日居然哭此翁。却憶龍山把酒時。前春三月唱酬詩。那知醉後聯珠句。飜作重泉一誄詞。</text>
<title>尙志</title>,<text>帝命無私賦我曾。竆何有損達何增。雙眸自可探眞境。兩腳誰遮到上層。廣大中天明月照。玲瓏巨壑白雲興。飄然獨往從吾好。一士由來傲萬乘。</text>
<title>贈錦溪韓和仲 光翕○三</title>,<text>三十年前尙少年。如君才氣可通天。蕭條錦峽衡門下。誰識斑毛已颯然。錦里老人烏角巾。芋糝瓦鐺斷煙頻。腹中自有數千卷。莫遣楊雄誤逐貧。薄酒山村典葛巾。羲皇顔面夢中頻。茅廬道氣侵寒骨。歇後人間說與貧。</text>
<title>名利</title>,<text>上士趨於名。下士趨於利。若欲要其名。何異甘其利。</text>
<title>道德</title>,<text>道大心愈廣。德全體自優。誰知名利外。至樂日休休。</text>
<title>心</title>,<text>放走乾坤外。操存方寸間。人身一太極。出入愼機關。</text>
<title>性</title>,<text>性外無他物。物外無他性。天道命於物。有物有玆性。</text>
<title>仁</title>,<text>最難說仁體。夫子昔諄諄。克己復斯理。無他便是仁。</text>
<title>義</title>,<text>萬鍾固可辭。一芥猶存義。輕重高低間。請量心上錘。</text>
<title>禮</title>,<text>節中天理來。儀則人文啓。揖讓存淳風。先王以制禮。</text>
<title>智</title>,<text>善惡人皆分。重華獨大智。匹夫陟萬乘。都取近而易。</text>
<title>信</title>,<text>愚夫愚婦流。無信四隣擯。大寶非金珠。五常屬一信。</text>
<title>天地人</title>,<text>至靜地有山。至動天有日。人道兼二者。動靜秉我一。</text>
<title>秋享觀釋菜</title>,<text>宮牆懸日月。齊肅仰宣尼。俎豆存遺制。牲芹潔享儀。德宏千聖統。道冠百王師。一片海東土。斯文欣在玆。</text>
<title>釣臺詞。贈朴進士 鐺。○三</title>,<text>碧落亭前白鳥飛。滄浪之水錦魚肥。風打竿雨沾衣。西巖盡日不知歸。白頭司馬釣魚翁。流水浮雲萬事空。紅蓼月綠蘋風。此心應不子牙同。屠龍大志竟歸虛。尋鷺前盟且遂初。楓葉晩荻花疎。煙波垂釣意何如。</text>
<title>秋日</title>,<text>晩晴收積靄。秋日薄簾明。曬帙南簷下。衰翁白髮淸。</text>
<title>理屋</title>,<text>索綯縛我簷。編茅覆我宇。未敢忘玆勞。經歲禦風雨。</text>
<title>次杜韻。示小兒。</title>,<text>六十光陰劇似電。邱中草樹養閒年。蕭條古樾寒煙外。寂歷秋山落日邊。貧者生涯冬闕食。老人氣候晝多眠。竆閻歲晏心猶壯。看劒殘更夢碣燕。</text>
<title>擬贈尹仲明 元圭</title>,<text>聞君仁峽寓。蕭灑近何如。獨往三更夢。長無一字書。柴桑元亮里。桐柏董生廬。若許半山約。此間吾欲居。</text>
<title>哀李洪厓</title>,<text>病臥儒城下。騎牛遠訪時。曾緣無雅契。却恨晩相知。落日雙壺酒。秋風百韻詩。他山冥漠路。捨我竟何之。</text>
<title>朴進士和送釣臺詞三疊。甚冲淡蕭散。又自號曰釣隱。日與釣叟從事云云。且寄壁上一絶。自擬桐江渭濱。因步其韻以贈。三</title>,<text>知君經濟隱於釣。膩滑苔磯細雨中。莫歎西風飄鶴髮。年華尙少渭濱翁。想像狂奴偃仰態。何年歸釣碧流中。海東亦有一男子。淡日雪溪蓑笠翁。白露蒼葭結夢想。伊人宛在水之中。吾家素壁雲煙闊。那得模來垂釣翁。</text>
<title>重和釣臺詞 三</title>,<text>沙禽格格近人飛。碧水潭深紫鯽肥。蘆花被蓮藕衣。明月寒宵未肯歸。十里煙波立一翁。明沙鋪練水連空。細雨雨斜風風。漁臺幽興暮朝同。橫林出水白烟虛。日落沉沉月上初。綠竿長芳餌疎。不爲魚來釣自如。</text>
<title>春帖</title>,<text>竆陰回暖律。白髮見陽春。洗硯泉聲動。登盤菜味新。微微柳意思。歷歷梅精神。門帖齊吾祝。東皇澤物仁。</text>
<title>贈尹仲明 戊辰</title>,<text>南山之桂北山蘭。何處幽人樂考槃。東里蹇驢許借我。徜徉共漱玉泉寒。</text>
<title>再從弟聖勤自巖西搬移老谷 二</title>,<text>巖阿茅屋費心機。漁樵久計已全非。臥看浮雲無定態。怱怱西去復東歸。柴扉相對已忘機。昨日悠悠頓覺非。情話從今消永夜。拍牕風雪不須歸。</text>
<title>默默行</title>,<text>默默恒默默。耳聾尤默默。吾年五十三。漸覺愛沉默。靜觀造化妙。玄天幽且默。喋喋噪噪者。多言不如默。聖人欲無言。君子貴訥默。</text>
<title>元夜偶體香山</title>,<text>明月團團屬上元。蒲燈孤影掩山門。塵昏古壁留麻拂。酒盡空齋臥竹樽。獬弁欹從林下几。雞旗斜揷水邊村。蕭蕭磔髮悠悠感。無數爐灰字畫痕。</text>
<title>三不及</title>,<text>志不堅牢學不及。辭不成章祿不及。田不力耕農不及。自笑吾生三不及。</text>
<title>三有餘</title>,<text>天賦惟均理有餘。賢聖遺書味有餘。山靜水流樂有餘。自贊吾生三有餘。</text>
<title>贈雲谷主人</title>,<text>眞源度幾水。白石小橋南。蔭翳松高下。牢騷屋兩三。仇池靈穴秘。盤谷冽泉甘。漏泄桃花浪。漁郞境再探。</text>
<title>擬山中別業</title>,<text>非俗非僧此一身。逃空我豈異於人。錐田筧水分餘瀝。囊米禪房借比鄰。白石靑雲眞境界。光風皓月本精神。經綸歲暮施無地。粥飯山中準擬頻。</text>
<title>拈放翁韻。詠寒梅。二</title>,<text>春早寒枝節欲淹。扶疎顔色古奇兼。日含朝氣苔鬚潤。雪引東風紫蔕黏。素質元知工琢玉。神功徐待鼎調鹽。繞簷幽賞冰魂酹。且洗螺杯活水添。橫査雨雪半留淹。映水瘦寒竹與兼。月落渾疑調粉抹。風飄正欲煑膠黏。只敎簷角存蠅狗。敢怕廚中斷米鹽。分外山家無好事。風流冷寂此時添。</text>
<title>次西村少年韻 二</title>,<text>聾如土塑鬢如絲。去我全多親我稀。老極同龜靈可得。閒長似鶴事非虧。太輕柳弱風仍細。絶瘦梅寒雨正肥。聞道時文耐艱險。殘年率口怕人知。浮煙和雨細於絲。策策春泥到客稀。理局龜支棋足缺。檢經蠧蝕篆文虧。空階點滴苔花冷。隙地微霏藥草肥。獨臥胡床歌浩浩。桐棺未盖事難知。</text>
<title>壇菊</title>,<text>衆卉豈無芳。孤根偏護菊。秋來愛晩香。霜重一花獨。</text>
<title>砌竹</title>,<text>小砌鄰淸泉。石間生細竹。長時案牘淸。敢根食無肉。</text>
<title>沼蓮</title>,<text>鑿沼寬於斗。今春種白蓮。異時出水葉。灑落萬珠圓。</text>
<title>晩春</title>,<text>幽牕高臥此閒身。忽覺山中節序新。脉脉細風朝雨霽。飛花一半滿西隣。</text>
<title>午睡</title>,<text>茅屋有餘閒。日長舒膝睡。不知山雨聲。花落了春事。</text>
<title>四月旬日。與德溪友人。約溪上之會。</title>,<text>踏遍烟郊細草肥。桃花落盡柳花飛。早留舊約一旬改。纔結新知雙鬢輝。衰後買蓑應未晩。春歸謀酒不全非。丹崖翠石漁樵路。餘日相隨且莫違。</text>
<title>次魯泉壁上韻 二</title>,<text>茅茨寄爽塏。眺望亦高樓。菊圃秋容淡。禾畦亂水流。婚姻敦古誼。心跡到童頭。正憶東牕下。濁醪滿瓦甌。蕭灑南軒暢。葫蘆長繫絲。野分秋色外。山衆夕陽時。此際可忘事。壁間宜有詩。臥高頗簡易。應怕俗人知。</text>
<title>秋雨</title>,<text>秋來雨颯颯。滴我寒階空。竹葉蕭森裏。荷盤寂歷中。</text>
<title>次新積洞茅齋壁上韻</title>,<text>君家甕釀有前期。文擧風流是大兒。八月凉秋新積洞。一筇幽興夕陽時。白煙散作寒山氣。紅葉偏多老樹枝。誰把五年能者事。壓人題與壁間詩。</text>
<title>李士玄 灦 來訪一宿。拈韻相贈。</title>,<text>盡日泉鳴戶。經秋竹上牆。無人作勝事。有客乘新凉。一笑鬚眉照。劇談牙齒香。嗒然夜牀靜。眞意轉深長。</text>
<title>八月十三日。卽伯氏周甲也。前一日夜。風淸月白。命兒輩爲奏絃歌。仍拈絶句。以爲晬日酬唱之資。二</title>,<text>白眉華甲戊辰秋。難得人間此日遊。諸兒繞膝絃歌奏。簾箔風淸皓月流。最幸昇平六十秋。團欒又是一家遊。蕭條短髮無多在。分付光陰莫謾流。</text>
<title>謹次原韻。上九峯從叔父 禹澤。</title>,<text>歲晏悲歌擊玉壺。疎慵不直在郊需。白酒黃花蕭散地。願陪家叔味眞腴。</text>
<title>感悔</title>,<text>五十年來何事能。元無一善可名稱。同行異道天人際。落下吾身第幾層。</text>
<title>哭金受之 膺烈○二</title>,<text>碧溪流不斷。白髮復如新。壯志全歸謬。兼才竟莫伸。柴荊一來往。魚鳥任經綸。誰料山陽路。啣哀後死人。俟德之邱種德門。洪柯餘蔭典刑存。百年爛熟襟期到。一疾沉吟歲月飜。斗北交遊從此盡。海東文酒與誰論。秋山古宅書連架。只愛家聲屬後昆。</text>
<title>齋居感懷</title>,<text>暗機環鬼眼。私語震天聽。懔懔今宵意。留題座右銘。</text>
<title>憶李士玄</title>,<text>世味渾如酒。時情劇似雲。偶然之子遇。長道又西曛。</text>
<title>次石溪壁上韻 己巳</title>,<text>谿堂水半着荊扉。背市猶看機事稀。渚晩黃牛依草放。野空白鷺入門飛。喜君旅泊鄰仍近。老我衰遲鬢已輝。未厭頻煩親戚話。朝來筇屐夕忘歸。</text>
<title>濟險 二</title>,<text>乘舟容易過長河。誰識狂風噴雪波。幸賴神明纔濟險。當壚換酒聽漁歌。放意扣舷不測淵。無端風色浪滔天。平安下陸非人力。回首中流却懔然。</text>
<title>次族人進士 在淵 晩翠樓韻 二</title>,<text>千章落落凌雲姿。歲晏長留宿昔期。巨壑蛟龍鱗甲秘。隔簾河漢浪濤遲。虛空不碍眞根見。霜雪經來本色知。復擬疎陰添翠密。欄干四角遍題詩。眞成磊落丈夫姿。不與丰茸兒女期。春後芳菲消歇盡。歲寒風雪洗磨遲。每於桃李羞肩比。強以篁筠許己知。多少古人餘意思。墨花濃滴壁間詩。</text>
<title>頭白</title>,<text>利窟終歸蚌殼棄。名場亦付鹿眠長。兀兀燈前頭白叟。萬緣觀盡學空王。</text>
<title>心</title>,<text>心是虛靈物。淸明自照來。本源雖美矣。昏蔽亦哀哉。滓汩方塘淨。塵埋寶鑑開。若能消一慾。重得太陽廻。</text>
<title>儉歲</title>,<text>儉歲蕭蕭里巷悲。深房蝸縮已多時。山林有約曾何薄。富貴無緣斷可知。回首雲遙天北極。怡心日翫海東詩。豐盈犀角兒年壯。莫學阿翁太絶癡。</text>
<title>禿髮 庚午</title>,<text>蕭條禿髮束難能。減却靑雲志氣騰。每到梳時星落落。多緣愁日雪凌凌。回頭柳月偏嫌俗。露頂松風半是僧。短髻屢遷那得保。不毛餘地冷如冰。</text>
<title>哭輓伯氏 二</title>,<text>同氣而同貌。衆中我二人。百年雙對影。今日一邊身。世已相違志。天胡不壽仁。九原如有道。長弟結來因。秋來已仙去。扁牓驗前期。公自號秋仙子。歿在七月故云。 正慕怡怡色。如聞侃侃辭。在生公獨倚。未死我長悲。日後悠悠事。門庭付五兒。</text>
<title>待家兒</title>,<text>半日茅簷濕。蕭蕭冷雨多。送兒西嶺外。今夜宿誰家。</text>
<title>與族人文汝 相昌</title>,<text>雞足山腰斲翠壁。高明簡寂一廬幽。林牕晝掩巖霏重。㵎竈煙消藥氣浮。抱器必須今世用。論心却向古人求。未闌此意逢時少。百遍衡門過我不。</text>
<title>輓族人長淵令 二</title>,<text>昔我騎驢到別園。高樓談笑放乾坤。長湖攬美千帆勢。畫閣留髡一石樽。朔北圖書開玉軸。海南花草映金盆。如今後死悠悠恨。束縛英雄送九原。沙翁孫子本同生。一笑頻逢款款情。座引高盤傾廩府。門迎華轂盡豪英。香圍簾幕通花氣。潮打樓臺臥水聲。春到故園陳迹在。那堪更向泗西程。</text>
<title>次再從孫在鶴壁上韻 二○辛未</title>,<text>愛爾述先事。葺修林下廬。對山知性靜。臨水寓心虛。稼穡謀充蔽。詩書適起居。小蹊紅葉滿。散步直安車。讀書素尙志。每愛淵明廬。轅駒長跼促。高鳥一空虛。吾義非無善。玆邱可隱居。走遭風雨裏。泥道沒軒車。</text>
<title>贈壽山主人</title>,<text>晩興穿秋色。再尋山下廬。稻花連短壠。槲葉覆淸渠。客子面全熟。主人情不疎。斜川煙雨裏。幽意近何如。</text>
<title>憂西警 辛未臘月。嘉山土賊李禧著等。乘關西大饑。逐殺列郡長吏。嘉山倅鄭蓍父子罵賊死。事聞贈兵判。義州將校金見臣等倡義。連有斬獲。諸賊入定州城固守。京營軍興本道兵環攻五朔。猶未卽平。聞甚憫歎。</title>,<text>太平生長我兼之。頭白無端說亂離。小醜寧容延五朔。摠戎實愧老三師。新安府外㫌旗黑。樂浪城邊鼓角悲。聖上方殷西顧念。當今鎖鑰責輸誰。</text>
<title>喜平西警 壬申四月。廵撫使柳孝元設火攻計。伏火藥數千斤於地中。火發城壞。幷殄賊徒。報捷獻䤋。聞極可幸。</title>,<text>聞道官軍收定州。通宵月捷報龍樓。藏雷發砲眞奇事。掘土成闉運妙籌。巡撫憑靈廻北極。君王有喜解西憂。民情最急干戈後。浿上人煙一望愁。</text>
<title>悼鄭嘉山 蓍</title>,<text>逃亂西州半棄城。忠臣罵賊死有聲。人間父子雙名節。爭似當年顔杲卿。</text>
<title>買舍旺垈佳谷。愛其閒僻。送兒讀書。</title>,<text>歲晩移佳谷。餘庥蔭古楸。讀書求地僻。洗硯引泉流。風俗猶三古。桑麻自一區。送兒先占勝。來往我悠悠。</text>
<title>趙上舍仲顯來訪。旱餘雨來滯留。因贈絶句。</title>,<text>四年君到相思後。三日雨來苦旱餘。酌酒與君對雨話。較看二喜當何如。</text>
<title>義州土人金見臣倡義討平西賊。自朝家特除淸州節度。五朔之內。遐土白丁。克建斧鉞。實是奇壯。友人金士明歷訪而歸。說其爲人英烈。</title>,<text>龍灣義士奮長戟。五月狂塵一掃無。紫極榮褒殊寵答。陸軍都督下西湖。</text>
<title>賀黃太淑 宗源 回婚</title>,<text>黃石玄娘雪滿顚。雲飛水落度先天。自來開闢無生佛。怪底夫妻不死仙。連理夤緣重此夕。夭桃時節又今年。麟孫鳳子隨鳴鴈。無限君家種福田。</text>
<title>輓族人聖訓 韺澤</title>,<text>十年溪上不窺園。忍餓男兒意有存。千里帆檣連學海。兩場旗鼓壓詞垣。壯心胸裏終歸謬。公道人間勿復言。寂寞靑山一抔土。可堪埋骨未埋寃。</text>
<title>癸酉四月八日往泗湖。水戶懸燈。不滿數十。遙望鏡湖。數点燈火。僅如曉天落星。可知亂後荒年。和氣蕭索。殆無好况。</title>,<text>四月八日萬千燈。湖西自古擬廣陵。如今不復繁華氣。碧落疎星數点昇。</text>
<title>登四觀亭感懷</title>,<text>萋萋芳草野橋廻。怊悵登臨水北隈。閙熱笙歌無處問。夕陽空鎖古樓臺。</text>
<title>訪魯泉尹宗周 文圭。 病臥呻吟。隔歲一來。天公凘壞好事。可歎。</title>,<text>去年我病君尋。今日我來君病。千里登樓日沉。一春花發風競。</text>
<title>宿仁川宗人家。步其韻以贈。</title>,<text>邂逅相逢氣味饒。十年蹤跡混漁樵。遠將片月曾隨鶴。深擇低枝晩學鷦。源上買田求㵎尾。林間縛屋斲山腰。別區風土連鄕近。金馬休言望裏遙。</text>
<title>五月十四日。室人回甲。四</title>,<text>妻老於吾甲先還。鏡中相對各衰顔。百年今日啣杯樂。庭有三兒彩服斑。婚女婚男了宿債。爲翁爲媼重前緣。優遊盛代君恩飽。六十光陰又一年。昔年廚下啜糟糠。鬢髮邇來似我長。此日悠悠風樹感。壽杯那復獻高堂。六十一年偕老稀。夫妻頭白已光輝。供前女婦黃鵝酒。繞膝兒孫彩鵲衣。長病未應百年壽。大癡方念一家肥。略將營辦邀賓友。須到昏昏醉不歸。</text>
<title>贈李士玄</title>,<text>同我故人星髮稀。遙臨陋巷爛生輝。卽因眞率揮匏酌。都撥拘牽解葛衣。吾道只應隨放浪。此心元不慕輕肥。鱸魚正上鼇山浦。要借長竿共釣歸。</text>
<title>漫吟</title>,<text>身如朽木鬢如銀。何事崚𡾓到六旬。一病侵尋連九朔。百花容易度三春。強將黃卷稱師丈。獨對靑山是故人。辟穀願辭腥腐物。學仙非爲久存身。</text>
<title>感懷書秋事</title>,<text>秋光黃葉紅葉裏。人語南鄰北鄰中。歲儉重陽家無釀。寒花空笑獨醒翁。</text>
<title>古壠岡</title>,<text>前代愚人計壽藏。山平水落劫塵揚。生前謹守先人址。埋骨要從古壠岡。</text>
<title>尹宗周投守歲詩。喜其大病快可。詩思復勁。步其韻以贈。甲戌</title>,<text>遙想菊樓倚晩晴。故人衰興復崢嶸。迎新病與除陳歲。喜老詩應達曙更。自怪鬢邊添雪色。忽驚地上擲金聲。相逢知有前期在。一夜江湖春水生。</text>
<title>次尹有卿 光書 晬席韻</title>,<text>北去南還摠旅遊。萍蓬處處只堪留。半生爛熟風輪劫。六甲重回海屋籌。流水高山靑峽客。韶顔丹輔赤松儔。怡怡彩服稱觥壽。諸福君家晩境優。</text>
<title>過開泰寺古址</title>,<text>龍象茫然浩劫悲。蘼蕪春入梵王基。功齊九鼎金鐺巨。風刮千年石柱危。眼底滄桑那可問。世間成毁摠如斯。更看孤鳥亭亭沒。無限斜陽坐拄頤。</text>
<title>宿熊川族人 愿 家</title>,<text>岸巾南㵎灑淸風。牧馬微官問塞翁。知足居常餘萬斛。無求高勝在三公。一春送雨鸎聲滑。半夜論心犀角通。琥珀杯深頻勸我。濃香曉露點珠紅。</text>
<title>訪鼇山主人</title>,<text>客到松關日欲斜。雲中雞犬住全家。知君修鍊顔如渥。愧我槁枯鬢已華。三酌酒醺疎柳靜。一山春盡落花多。垂蘿洞口封巖逕。不信人間歲月加。</text>
<title>鰲山主人送我踰無愁嶺。命二冠一童隨到大乘。呼韻。</title>,<text>共携二三子。鳥道屢攀登。洞裂泉分瀉。雲低石幾層。遠來將送客。深入始逢僧。莫謂靑天上。行行我亦能。</text>
<title>午憇大乘。待李士玄不來。</title>,<text>我有一鞋一筇。往來萬水千嶂。聞君借得遊龍。無乃飜成鬼障。</text>
<title>返棲</title>,<text>了看兩山色。翩然獨返棲。麥苗侵壠起。花朶拂庭低。食澹羅珍敵。臥高九命齊。潔纓無可濯。奚取水淸兮。</text>
<title>一广</title>,<text>一广生涯足。三公不願高。膝容茅屋大。跡冷布衣豪。雨露無私養。乾坤納我曹。少醺回住杖。田水亂靑皋。</text>
<title>次杜韻。詠石峯。</title>,<text>亭亭一華表。特立拄東邊。勢有深蟠地。功高向上天。捍門仍鎖鑰。爲壑可藏船。萬古不能屈。頃強爾獨傳。</text>
<title>荐荒</title>,<text>我生白髮太崚𡾓。六歲凶荒疊咎徵。赤手經綸無自辦。蒼生濟拯有誰能。身同病驥惟思臥。志與豪鷹每欲騰。願得豐穰通一國。家家蓄積若邱陵。</text>
<title>翠屛門 二</title>,<text>山門不須掩。一逕穿翠屛。卷曲縈夏鬱。扶疎冷冬靑。欲模長虹影。飜得偃月形。出入無闔闢。長時洞虛靈。朴素嫌樞紐。吾門因樹成。性雖杞柳屈。色比松筠貞。楚越昔遙闊。管鮑今倒傾。更添奇絶格。傍得秋泉鳴。</text>
<title>自悔</title>,<text>點檢吾年五十九。如何心跡不相符。光陰枉擲多多日。未免河南學數珠。</text>
<title>自慰</title>,<text>滿天風雪坐長夜。靜念平生一字符。百年山屋無長物。喚做長明櫝裏珠。</text>
<title>甲戌臘月十九日夜。失火燒屋。露坐遣憫。</title>,<text>穩臥茅齋三十年。無端夜火屋頭延。天公壞我淸閒分。了悟浮生苦未圓。</text>
<title>訪金上舍士明 乙亥</title>,<text>暇日信筇屐。故人東里居。幸無豆上肉。未敗腹中書。事簡機忘後。村淸歲儉餘。冷廚時絶粒。仙分不應疎。</text>
<title>大麥酒歌 三</title>,<text>大麥酒大麥飯。歲荒充氣斯亦足。雕胡饌琥珀鍾。處於人上。畢竟遭鴆毒。單布衣單布冠。五月淸臥北牕凉。拖紫綬束金帶。屈於人下。終日汗如漿。茅覆屋竹織簾。百年堪着七尺軀。高明室廣大廈。傍有鬼兒。拍手先捓揄。</text>
<title>與金元玉 二</title>,<text>玉不如斯人。素心皎且潔。困眠白石鋪。飢食淸泉渫。白石鄰淸泉。終年可偃息。懷君一以長。悵望日西昃。</text>
<title>輓鰲山李友</title>,<text>鼇岑秀色磨蒼霄。蟠氣胸中鬱未消。白首論心纔昨日。靑山埋骨遽今朝。最憐不盡伯倫酒。可使曾題司馬橋。自此西林主人去。懸秋碩果付長條。</text>
<title>和贈宋士煕 載績○三</title>,<text>秋風對黃葉。俱是白頭翁。閙熱歸閒事。浮休入大同。開簾遠峀出。移枕寒泉通。多少軒車子。長安泥道中。山下方山子。當今子是歟。少橫燕野過。老得鹿門居。閒步樹陰下。靜臨潭色虛。莫言生理薄。芋栗九秋餘。十里淸溪山僻村。壺中別布小乾坤。仇池入地蟠靈穴。華岳通天有一門。季子黑貂爲誰敝。伯陽丹鼎養吾存。甕中竹葉倘新釀。淸曉褰裳白露繁。</text>
<title>歲暮自慰</title>,<text>滾滾年華忽已暮。不堪頭腦刮風霜。但將一箇心如鐵。猶惜光明舊寶藏。</text>
<title>六言</title>,<text>是非公私善惡。事事對對相反。若使一刀分劈。爲是爲公爲善。</text>
<title>周甲日。因兒輩設酌。詩以志之。四○丙子</title>,<text>六十年回九十春。斯辰懷緖倍他辰。劬勞念切沾雙臉。霜露濡深孑一身。強許妻兒樽有釀。仍邀賓友席加珍。回頭點檢平生事。伎倆于今誤作人。始慮非存此日延。夢中光景六旬前。枯龜自笑餘空殼。散木誰期引大年。齒豁可知符到矣。酒醒亦復醉陶然。人生末路尤難保。未死如臨不測淵。一翁一媼雙華髮。三子三孫幷彩衣。康節太平今世有。榮期至樂古來稀。大冶陰陽渾似惱。跳丸日月劇相猜。此間來者終長往。且進生前滿滿杯。</text>
<title>金元玉與余同庚。月日後於余。投余春字韻。遂步以贈。二○原韻。三陽化作一堂春。千古生稀五福人。壽域讓先回甲子。道家煩彼守庚申。觥斟北斗遐籌邇。彩繞南陔舊舞新。盛事可傳來世久。誰能詩畵動鄕鄰。</title>,<text>六十春歸又建春。遙知雪腦一般人。同年長弟追劉白。當世功名愧甫申。釀酒只堪胸滌穢。評詩非爲語工新。山南水北稀筇屐。虛擬餘生結比鄰。星霜周匝復迎春。俱是如今望七人。老學玄龜藏以甲。時違仁獸降于申。晴牕忽警林禽語。晩壑初嘗雪水新。勝事未來須入手。飛花容易滿西鄰。</text>
<title>贈尹別提益之 行倫○四</title>,<text>騎驂辱陋巷。題鳳度山門。香跡留花逕。淸風襲柳樊。去來存分數。談笑失寒暄。拜賜兒豚走。詩兼尺素煩。盆漆交情易。壺冰友道難。一孤枉車騎。再見出心肝。解職蟬將蛻。移巢鶴共寒。買蓑要對釣。七里有前灘。春溝相望對詞垣。按甲休兵主帥尊。我有偏師三伐鼓。金魚牢鎖北城門。千歲孤桐生嶧陽。伐之張以七絃長。當今子有鍾期耳。彈到峨洋入杳茫。</text>
<title>贈李戚子茂 栻</title>,<text>綠髩追如隊。白頭望却深。酴釄一日計。淡水百年心。處下非高議。生今尙古尋。忽驚花落盡。應愧老人簪。</text>
<title>擬題再從弟聖勤新寓壁上</title>,<text>竹里新巢定。門扁倣舊癡。屋書連翠石。壁畫落淸池。偃仰斯爲足。心神可以頤。悠悠此間事。沮溺已知之。</text>
<title>次朴生壁上韻</title>,<text>一水穿蒼壁。壺中也有天。主人開小屋。隙地灌淸泉。邵老日晡酒。白公池上篇。往來存晩契。從此了餘年。</text>
<title>重九。內從李察訪 繼祜 適至。仍與親友。携酒上東岡。楓菊交映。秋色甚佳。旣醉四顧。不知古人登此山做此事否。是日卽科日也。北望宸極。不無魏闕之戀云爾。</title>,<text>六十一年兩九陽。偶然團會在東岡。霜前抗節菊能傲。酒後現眞翁欲狂。已是公然長道失。卽今如許倒輪忙。遙知此日蓬萊殿。五色祥雲繞御床。</text>
<title>甲戌回祿後四載。新建外舍。二○丁丑</title>,<text>灰劫先天宿跡忙。曲泉南畔更拋樑。牕含晩靄山龜伏。簾捲輕風海鷰翔。花藥分排猶自健。詩書收拾可堪藏。莫言翁髮紛如雪。快占胡床夏日長。輦除臭腐出神奇。背坎軒楹卽面离。障雨防風斯已矣。冬溫夏凊又兼之。靑山入戶吟詩可。玉溜添槽洗硯宜。一榻從今隨偃仰。幽蹊只恐外人知。</text>
