<title>石門歸路</title>,<text>繁陰生遠樹。芳草夕陽天。白鷺知閒趣。將詩落我邊。</text>
<title>挽陳丈</title>,<text>我知丈人年。後吾父二歲。內相與吾母。同庚情又契。孤露無所依。拜公雙垂涕。定使吾父生。齒髮終一致。母兮雖尙存。與內相等耳。如何遽摧折。相繼歸泉裏。所以見丈人。心一喜一悲。喜者喜公健。悲者悲禍奇。自余西歸錦。久未瞻厖眉。常思疇昔事。感慨心未瀉。乃者因朴兄。聞公觀造化。鶴骨亦蘭摧。年光信難迓。強寧乃如此。衰祚更何言。尙有內相存。鬼神知德門。深思一起居。且得哭公墳。抱病臥江村。東望空沾巾。蕭挽豈盡恨。題罷添酸辛。</text>
<title>黃龍金丈挽</title>,<text>谷蘭無風香。崖松歲寒翠。若使玉變瓦。何異鳳爲鷙。我尋古人傳。未有公高致。初服芰荷衣。明月爲佩珥。白首耽道腴。孝友天所畀。脫略風塵際。婆娑靜散地。愛士同逐臭。下里亦幷取。出入十餘載。恩遇無與二。每往床下拜。歸來獨歎喟。至寶棄道傍。百歲淸光閟。帝閽不可叫。况乃世多忌。不如林下寘。長使人取義。那知造化兒。惡賢多劇戲。玉樹埋地中。幽林失奇瑞。平生少禰衡。何處托交誼。北望空長痛。揮手掩雙淚。</text>
<title>柳直甫自言斷酒。聞之喜絶。醉中使渠呼韻。率爾書贈。</title>,<text>睽離今幾載。會合忘秋冬。穩語藏燭跋。忽復到晨彤。頑婢昧佳趣。持酒後城鼕。有酒與無酒。話舊心𢥞𢥞。萬事悲割腸。獨有一歡悰。昔年君嗜酒。槽間響淙淙。炊婢或失爨。耕奴時負農。每欲進忠言。恐未收老儂。今聞君絶酒。始識有人宗。至道君已得。老夫何用攻。人生有變化。尺蠖猶爲龍。志如藤剡紙。何須千杵舂。我言物猶變。風霜欺老松。氣質最難移。晦翁虞口衝。恐到衰老境。近酒近華容。誠能一變道。吾箴亦何庸。只願命志帥。終始修城墉。士在自樹立。何貴人陶鎔。我雖蓬荻耳。其心玉芙蓉。至於向君誠。自擬同華封。醜言雖可鄙。古人亦采葑。拘韻未成語。欝結空在胷。有語不自言。有口同魚喁。作詩以賀君。不敢賖春醲。</text>
<title>又用直甫韻。醉贈林士駕。</title>,<text>歲月劇壑蛇。忽復過殘冬。容顔俱恨蒼。身世遠墀彤。每思悲與恨。坐到晨鍾鼕。挑燈增悄悄。望月空𢥞𢥞。極知生死恨。至親同一悰。苦言未滾滾。哀淚先淙淙。我言生者樂。只在勤耕農。癡言豈可取。想亦笑吾儂。寬心爲至道。此意儘可宗。眞敎方寸間。勞勞水火攻。善與不善間。人則分蛇龍。但使淸意來。那庸愁杵舂。老言如藤蔓。何由撼寒松。古語亦有之。高城試車衝。但是至誠在。雅懷或能容。君笑低頭語。吾亦取中庸。不使悲恨魔。或近吾城墉。固知金最良。何待人巧鎔。况復詩才秀。淸水出芙蓉。春秋在皮裡。志意堅彊封。至寶橫道傍。幽蘭伴菲葑。無人叫天閽。我恨空滿胷。卽今民物病。誰能救魚喁。若酒君麯櫱。定能和淡醲。</text>
<title>又用前韻。贈鄭道長。</title>,<text>憂愁劇梗虜。侵軼無春冬。山盃時獨把。甕牖迎朝彤。不思銷金帳。不思嚴鍾鼕。逢君話舊懷。消得情𢥞𢥞。故事不堪說。欲說來悲悰。憶得侍尊長。環碧聞淙淙。醉談劇天地。細語詳樵農。社酒幾共斟。狂言時取儂。自從蘭玉摧。材究將何宗。君爲善述人。德業修前攻。虎父無犬子。他時汝爲龍。幸得今夕會。話語成雍舂。有如藤蘿莖。忻得攀靑松。只是今古恨。時時襟宇衝。不意臨老日。偶爾逢仲容。歡塲興自發。酒箴難可庸。急命歡伯將。愁城掃殘墉。憂心自消散。有若金在鎔。遠志有小草。菡萏爲芙蓉。人心在勤慢。物性隨植封。有養蒿長麻。失養蘭爲葑。且待暖春日。更得開心胷。其他多少恨。默默同魚喁。須招皥卿來。痛破新甕醲。</text>
<title>四疊前韻。贈鄭混源。</title>,<text>藏溪愁獨坐。佳會思前冬。歲樂徒聒耳。晨天忽已彤。更憐吟病久。久迷山魚鼕。臨觴意自悲。憶子增𢥞𢥞。先契邁陳張。思之增惋悰。爾翁文章宗。波瀾笑溪淙。若禹能於水。若稷明於農。十年在門下。偎得收愚儂。涯涘豈敢窺。只覺心朝宗。時時承誨語。有如玉受攻。山頹復樑摧。雲海亡魚龍。每思諸賢間。玉撼而金舂。人物日眇然。誰爲大冬松。詩城揔劉築。擧見秦生衝。綺麗不足珍。鉛華笑爲容。回瞻擧世人。意氣何孱庸。不如收倦卒。各自修高墉。基址石必築。雉堞金須鎔。君詩專世業。雲錦爛芙蓉。但恨愼言語。論詩口如封。秖思大先生。下體收菲葑。狂言雜善謔。唯子知我胷。慇懃春日暖。溪魚共賞喁。我興元不淺。君壺應更醲。</text>
<title>夜坐大醉。五疊前韻。</title>,<text>我是少孤兒。文史失三冬。本意棄野荒。肯思踐墀彤。曩隨計吏偕。偶聽嚴鍾鼕。每夜思鄕邑。轉覺心𢥞𢥞。偶佩南城符。初欣遂歸悰。海山過十里。柳州聽溪淙。氷泮還爲水。士賤卽爲農。昔賢猶若是。竆困何恨儂。此則自有命。不敢愧祖宗。駑質德猶淺。苦業緣未攻。只恐虎作犬。敢望魚成龍。猶爲對書策。慇懃到高舂。獨有杯酒念。有若蘿攀松。突如張飛迅。壯似韓信衝。樽罍隨指顧。潮紅已上容。亦知士君子。此物無須庸。只恨志帥殘。未得守孤墉。平原十日歡。五臟終成鎔。顔色已黎黑。誰知昔芙蓉。中宵發歎頻。不願酒泉封。枯腸畏粱肉。却思陽阿葑。罪是自我作。空復擣心胷。絶意今不飮。熱口同鮒喁。玉杯亦不貴。春甕無須醲。</text>
<title>別朴晦仲</title>,<text>皇天生兩鳥。各在國一陲。一則嶺之外。一則湖之湄。兩鳥忽相値。呼鳴共怡怡。天公乃赫然。怒此私追隨。勅令各分張。寘之天之涯。一鳥鎖金閣。使直鳳凰池。珪組以相縻。鵷鷺以相持。一鳥囚南荒。鷦鷯同一枝。草間學虫吟。螻蟻來相欺。一高復一卑。矯首徒相思。適會高棲鳥。奮翮圖南爲。徘徊見卑鳥。惻然憐縶維。交頸聲切切。接翼舞僛僛。如魚相煦沫。如馬相摩憘。兩鳥相和鳴。百鳥共紛披。鴟梟懷好音。喔喔來堂帷。萬事魔戲多。天公果怒咨。再奮前日威。更使相違離。高鳥乘天風。飄然入雲逵。卑鳥搶揄枋。孑孑將何之。豈不思奮飛。六翮奈摧垂。咫尺且未去。焉知天路夷。仰看高飛鳥。雙淚空漣洏。彳亍立荒原。落日鳴聲悲。</text>
<title>借得刀子於柳磬甫。其孫欲取之。醉中不許。帶而來。醒後解寄。且贈以詩。</title>,<text>老翁與小子。相爭一刀子。老翁恃其老。叱罵小兒子。小兒退而立。仰視正眸子。其心似若曰。吾不取夫子。老翁慍其然。取刀繫帶子。歸來百里道。黑夜過亥子。妖魅不敢作。正畏蒼龍子。老翁夜到家。下馬語諸子。我今得寶刀。何羡千金子。角匣亦罕見。其規出柳子。雖然吾性癖。籝金視芥子。今此一小刀。未能忘些子。此是年齡暮。廉心去腔子。若思思義訓。能無愧孔子。况是所爭兒。吾姪女之子。有吾當給之。無將市匠子。今乃相爭奪。吾甚負小子。脫劒藏諸紙。仍取毛錐子。徐徐抽愧情。書之小簡子。送去却澹然。方是無求子。</text>
<title>得病以來。雖夢寐間。未嘗快步。復月望間。始夢散步于川上。數客相從而不能記。唯記李上舍馨之在後。余顧謂馨之曰。余之病久矣。不意今日能自行步也。余當與君往侍郞洞。須不出此三月內定日如何。旣已望見山田。大麥黃熟。而野中白水滿途。農人紛忙。處處揷秧。余心語口曰此乃四月景也。前言三月云者妄也。覺而思之。喜而遲之。後聞兒言。則渠亦數夜。見余病差出入。而皆似淸和時節云。今者崔丈書以爲大病必有其限。此疾三年當愈。期在明年三四月。願毋疑之云云。夢幻之說。固不足道。崔丈經歷之多。能自揣度而其言如此。或者余病春夏間。能得差路。其兆先發於夢者耶。識之以爲他日之考。噫。安得跨馬揮鞭。往尋侍郞洞。與馨之說此事耶。</title>,<text>臥病二十朔。痛苦誠無兩。緊束如縛虎。曲臥似弓韔。死生已自决。差復豈在想。復之月欲望。夢行在川上。數客從我遊。最記馨之狀。骯髒意周道。風神極爽朗。余顧馨之言。余病非小痒。今乃自然愈。行步不待杖。侍郞佳山水。與子將遊賞。子其糓旦差。三月必往訪。旣又望山川。時氣政淑鬯。麥隴黃雲遍。稻田白水漲。牛羊滿阡陌。春草已盛長。余意此日景。的是四月像。前言三月日。余言誠爲妄。夢覺獨惆悵。心神久儻怳。喜差復恨遲。兩情難爲量。後夜余豚犬。復夢同一㨾。俄然崔丈丈。馳書慰愁愴。爲言飽經歷。症狀如指掌。三載必大快。神氣日以壯。期在三四月。其理定不爽。余謂夢者思。曾聞於樂廣。痿者必夢起。渴者必夢脹。夢固非眞也。其兆或先暢。洪相大理坐。服齋滄海槳。終然左契合。不是相欺誑。况此丈人言。異巵言無當。余敢然疑作。再拜謝深貺。何當侍郞洞。飛步蠟其緉。拉得李大士。一笑心胷盪。聊書首與末。藏去爲證曏。</text>
<title>悼谷口鄭丈</title>,<text>美玉出崑山。溫潤含淸粹。琢成瑚璉器。淸澈無與比。可作王者瑞。持以祀天地。世無卞和子。至寶終見棄。邇來五十年。委置在空笥。有時拂洗之。瑩潔無塵累。造化一小兒。從傍偶竊視。上天訴玉皇。玉皇驚嘆喟。迺遣巫陽去。雷公以爲貳。須臾下取將。藏之玉樓邃。人間漫遑遑。悲號俱涕泗。秖今谷口路。風烟疇昔異。無復山含輝。空有飛泉駛。千秋與萬歲。寶彩終永閟。獨立一聲叫。颯颯天風至。</text>
<title>折柳諫</title>,<text>恭惟大賢人。責重君與民。引君務當道。明善而導仁。本原苟能正。天命不足新。法筵吁咈地。左右羅臣隣。如何遽怠忽。秉德不能純。輟講立軒陛。攀折垂柳春。感慨陳格言。格言信有倫。方當長養節。萬物同氳氤。參贊在人事。體仁能長人。苟能擴而充。痾癢切吾身。雖在物之微。好生理則均。夭札自吾致。無乃害其眞。况復敬勝怠。聖哲之所循。悖德而害物。是自絶于神。天顔竟詑詑。忠訓徒申申。琅玕縱披腹。明月空怒嗔。終然狐入腹。影落涪江濱。平生經濟志。漁父譏孤臣。徒令髭髮勝。未救國步頻。至今千載下。歎息空沾巾。君德在經筵。願爲今日陳。</text>
<title>次李內翰 行道 士原韻</title>,<text>學士風流政妙年。地聯淸禁五雲邊。自憐久抱文園疾。旅榻殘燈獨不眠。</text>
<title>又次前韻</title>,<text>悄悄離懷日抵年。禁城風雨旅吟邊。靑綾睡足宮壼靜。肯識愁人夜不眠。</text>
<title>再疊戲呈</title>,<text>謫仙重謫問何年。依舊周旋雨露邊。太液龍舟當日事。也能重憶醉時眠。</text>
<title>挽曺參奉</title>,<text>谷口沉淪後村逝。邱園今復失徵君。南歸他日山陽路。鄰笛聲酸可忍聞。</text>
<title>藥房問安偶吟</title>,<text>中使淸朝傳聖語。藥房諸宰問安來。小臣癡坐東廂下。向日深誠自不裁。</text>
<title>藥房見進駞酥有感</title>,<text>駝酥雪白味香新。先進宸嚴次大臣。安得輸將千萬甕。盡分天下慰飢民。</text>
<title>直宿南宮。寄士原。</title>,<text>凍天寥落夜凄凄。宮漏聲傳月欲低。遙想仙郞淸禁直。小爐殘燭夢城西。</text>
<title>又書懷 二首</title>,<text>火燃腰脅氷生足。風透寒衾夢屢驚。二夜南宮千苦足。功名贏得病相嬰。小爐孤燭坐寂寞。禁漏聲聲報曉長。曾直銀臺聞此慣。紫泥封罷解衣忙。</text>
<title>赴試射。戱寄正叔 權尙規 士原。</title>,<text>琱弓在手矢腰間。鵠立枝梧意氣閒。堪笑子雲空閉戶。一生無計洗儒酸。</text>
<title>走筆慰權至叔 尙矩。時有老親。而新除鏡城半刺。</title>,<text>昭代方期孝理明。誰敎吾子有斯行。陲程屈指三千里。也使傍人亦自驚。已上丙申冬。在銀臺時。</text>
<title>戲贈務倅李叔弼</title>,<text>梅花已落杏花謝。春色唯應在桂枝。想得高軒人靜後。夜闌琴語月明時。</text>
<title>疊戲叔弼</title>,<text>新荷浮碧灧春池。嫩柳抽靑颺細枝。聞道使君深閉戶。韶華無賴別離時。</text>
<title>無題</title>,<text>太守仁風羣吏樂。先王遺敎衆民驚。鍾山昨夜移文至。蕙帳秋生新月明。</text>
<title>次鄭說書 晟 丈韻</title>,<text>下負平生上負國。閉門愁坐帽簷低。時聞村老傳相說。春賑雖頒民日飢。又 飢字非韻。叩竊改之。復成一絶。衙罷悠然坐小齋。簾旌不動夕陽低。遙憐錦水南崖寺。松逕寥寥翠碧齊。</text>
<title>見南磵 柳東淵 書有感</title>,<text>世情常怪忌仁賢。造物那知亦有偏。南磵書來多苦語。一回披讀一潛然。</text>
<title>蓮亭和叔弼。次金道常韻。</title>,<text>風流刺史好臺池。聲價千秋定不卑。會待秋風山月白。共看紅蘂送香時。</text>
<title>嘉樂丈聞吾明字韻有寄和。敬次。</title>,<text>沙上逢迎儘可樂。別來魂夢幾多驚。丈人珍重平生意。五首詩中字字明。肯將榮落作憂樂。經濟初心只自驚。漫說歸田歸未得。使君心事世誰明。</text>
<title>與鄭別坐有約遊鼎浦。聞訃偶成。</title>,<text>萬事春泥印鴈足。勝遊如夢訝非眞。春來鼎浦鳴榔約。縱得鳴榔少一人。</text>
<title>與晦叔，善詒，龜瑞夜坐呼韻 五首○此以下石門錄</title>,<text>連雨霏微響晩溪。松篁挹露拂池低。坐聞村老爭泉脉。時有灌聲起岸西。滿壑寒聲風送溪。溪邊藤蔓雨催低。中宵霽景添奇絶。東嶺冰輪照嶺西。孤縱自合臥雲溪。時論從來逐日低。笑脫靑衫尋野服。吾廬元在錦江西。笑爾冷冷山下溪。出山何事日趨低。爭如停綠林間在。時出閒雲掩嶺西。翠壁層層響玉溪。松衫影合路高低。閒中事業還相促。纔看南臺又向西。</text>
<title>翌日閒坐續成 四首</title>,<text>特地淸幽占小溪。風塵還笑久催低。暮年心事憑桃竹。不向南山卽水西。太白當時臥竹溪。如何塵陌帽簷低。暮年賭得炎荒謫。蘆荻蕭蕭古磧西。祭鰐徒勞向惡溪。退之應復首空低。不如抹馬從盤谷。一笑悠然臥櫟西。三疊屛風九曲溪。松間一路自高低。丹靑若借龍眠手。風物依然是瀼西。</text>
<title>夜坐次東岳韻。戲贈晦叔。</title>,<text>詩骨君今不瘦生。如何句句有金聲。前身彌勒通神聖。後世猶傳布帒名。</text>
<title>又卽景 二首</title>,<text>巖阿寂寂月初生。溪水冷冷夜有聲。老子欣然心會處。欲題詩句便難名。雨後山中溪水生。松風合畓作寒聲。從今息影依巖下。人世誰知我姓名。</text>
<title>松臺閒坐。俯見溪水漲溢。往來行人。謂其常時淺灘。不復爲虞。猝然浮涉。卒致溺沒者。不知其幾人。余與善貽相視一笑。各占一詩。余詩先成。</title>,<text>野水纔生四五尺。終朝顚覆幾多人。仍思䆠海深千丈。萬古誰能避此津。</text>
<title>巖上因樹作屋。柱松甚細弱而能不撓可嘉。因戲剝其皮而書之。設爲問答者。亦戱也。</title>,<text>弱植元非柱石材。能堪重負亦奇哉。他年縱合明堂用。邱壑孤根世孰媒。右問偃薄風霜一寸根。羞將桃李共爭恩。只感主人能委任。敢辭綿力荷高軒。右答</text>
<title>偶題</title>,<text>雞口何如牛後羞。蘇秦元不誤東侯。幽居自作烟霞主。猶勝紅塵寵辱愁。</text>
<title>客言近村人有傳松棚朝爲風落。訛言至此。實爲可笑。走筆以書。</title>,<text>市言成虎鬼車載。喙喙空歸無當巵。莫怪松棚朝已落。世間何事不如斯。</text>
<title>君明六十二得男。走筆以賀。二首</title>,<text>路人藉藉爭傳說。歸樂翁今得俊兒。晩出最能堪負荷。祖孫二代事尤奇。二相祖父老後。生君明之父。君明又晩得此兒故云。翁年七十鬢無華。此事人人曾怪呀。今日却知天意在。晩敎生子得傳家。</text>
<title>次李馨之寄贈韻 五首</title>,<text>結屋危巖最上頭。雲霞雜沓纖塵絶。蛇龍定蟄此中間。日夕風雷生竇穴。右雨過石門巖下韻老子平生不爲口。澆胷却是須紅友。小杯定出神仙手。傳語家人催釀斗。右贈小杯韻名利塲中閒者少。得閒能樂世尤無。溪雲嶺月巖阿靜。倚杖高歌久喪吾。水影凄淸山影靜。能兼二者古來無。山光水色中間臥。始覺天公厚餉吾。俗客何曾到凈界。山靈長喜點塵無閒。宵松逕行吟處。淸爽唯應月與吾。</text>
<title>戊戌十月之十七。羅卒來傳拿命。十八發行宿長城府。酒中柳直甫呼韻。走筆以賦。此以下離騷錄○二首</title>,<text>秋盡關河鴈送風。峽天寒月夜將中。纍人豈但離鄕恨。回首平生計已空。來日東風去北風。悲歡榮辱去來中。孤臣只恨謀猷淺。敢道前頭事業空。去年。余以咸倅下來時當仲春。令行十月故云。</text>
<title>贈柳淸甫</title>,<text>離懷欲說還難說。世事將休苦未休。唯有石門風月在。一樽何日續淸遊。</text>
<title>宿金溝向三禮</title>,<text>楚山詩山行過盡。金溝參禮跋涉間。長安杳杳關河阻。縲客何時御馬鞍。</text>
<title>暮向弓院</title>,<text>殘日荒荒下遠岫。客心遙在夕陽邊。懸知到洛多愁苦。未到還愁去路綿。</text>
<title>弓院曉行</title>,<text>敲火晨廳秣瘦馬。戴星山路緩鞭行。還如少日槐黃節。匣劒囊書赴洛城。</text>
<title>路人有識余者</title>,<text>十載萍蹤西又南。路人猶識舊官銜。報君曾乏絲毫力。追想洪恩意自慚。</text>
<title>天安酒幕。有興德官僮來拜。言曾於合操時見余云。</title>,<text>官僮來拜意勤懇。自說曾看五馬時。笑答功名如釣餌。只能賭得禍殃奇。</text>
<title>稷山路上有感</title>,<text>常笑猩猩嗜酒死。猩猩今日定憐吾。貪榮嗜酒俱成禍。吾與猩猩終是愚。</text>
<title>振威夕行</title>,<text>二十年中幾去來。悲歡榮落鬂全催。殘僮疲馬衝泥雪。遠樹蒼蒼暝色回。</text>
<title>德平逢永姪 永錫</title>,<text>明時得罪去鄕關。閱盡危途齒更酸。千里雪霜勞遠遷。至情元在至親間。</text>
<title>見親書</title>,<text>一封書信寄千里。字字行行揔至情。忠國孝親俱已矣。白頭惟有淚河傾。</text>
<title>過板峙</title>,<text>湖外山川看漸近。歸心先繞楚山西。人生適意無南北。何况恩流接舊棲。</text>
<title>參禮途中 二首</title>,<text>澤南佳麗世曾誇。井縣風烟亦自多。爲問九江遷謫客。誰能荐被聖恩加。蘆關南帶錦江水。錦水西邊是我鄕。論謫尙能歸近邑。孤臣感淚自千行。</text>
<title>到配所 二首</title>,<text>凈掃塵煤橫粘紙。小窓閒坐看斜暉。人間榮落尋常事。隨處安心是道機。入戶逡廵思折腰。出簷先自學低頭。若敎將此行斯世。可得人間公與侯。</text>
<title>冐還家鄕。歸路歷過黃龍金棘人所。適逢邊公漸。月出後同來掌內。馬上偶吟。</title>,<text>快馬長途明月下。倚醺馳逐是心期。今宵行色還無賴。恐有江潭漁父知。</text>
<title>隣有朴僉知慶喜者進酒</title>,<text>空齋忽把令公酒。一醉悠然倚小楹。却笑山翁徒好事。不知時世待人情。</text>
<title>寓舍狹陋。且無山川。極以爲苦。聞山城南倉下山水頗奇。欲爲移往。遣朴君瑞押縣吏同往見之。獨坐有吟。</title>,<text>人世元來是火宅。纍蹤到處揔幽囚。強生分別尋便好。自笑拘人拘又拘。</text>
<title>主翁進餠酒。戱題。</title>,<text>盃餠慇懃來慰客。主翁風味客忘愁。夜闌鼓腹抽書讀。問字無人亦不憂。</text>
<title>風雨頗擾。夕間尤盛。</title>,<text>頑雲雜沓鴈聲急。澤畔風霜鬢欲摧。日日歸心鄕國去。一回來去一回哀。</text>
<title>夜坐風雪大作。援筆戲成。</title>,<text>二日寒風三日雪。山河都入晦冥中。天心亦恨陽和遠。故促玄冥獻歲功。</text>
<title>余初到此。戲作一絶。托以寄楚山山靈以示人。其人以山靈之答而次之。遂演其意而作累篇。</title>,<text>名以楚山疑有異。將安澤字是愁鄕。遠招遷客改前號。無乃山靈謀不臧。壞壁寒燈圓小夢。星冠丈者自仙鄕。丁寧炯戒兼譏斥。歷數行裝告否臧。爾是江南一措大。身名元出涸陰鄕。晩來誤踏東華土。可笑斯謀最不臧。玄風一去孰能挽。不獨箕城是互鄕。從古危蹤秋一葉。君看敗局手無臧。靑蓮寂寞滯炎方。屈子悲愁泣瘴鄕。漁父悲憐魑魅喜。何曾招邀賴謀臧。南客南歸眞得計。玆鄕况復水雲鄕。如何謬語來相謔。枉道吾謀不自臧。交舊相疏明主棄。危蹤到底揔愁鄕。不須分別山兼澤。世道如今亦不臧。再拜明神謝炯戒。怳然如客得還鄕。十年頭沒吾謀謬。一語神開子訓臧。夢罷推窓月在房。却疑身入白雲鄕。急招毛穎書顚末。強韻當初悔押臧。</text>
<title>謝僧印海持木果煎來饋</title>,<text>隣翁時送過墻杯。老宿遙分山果來。客裡還看風味足。竆途聊復好懷開。</text>
<title>臥聞村人相說。今日是冬至。客中忽驚節序之變。感而有吟。五首</title>,<text>柴扉寂寂晩仍閉。鄰老相傳冬至來。愁絶都忘時序變。忽驚竆谷一陽回。湖山積雪孤村閉。天地新陽七日來。莫道卽今潛地下。仁風漸喚泰階回。萬里湘潭憔悴客。十年曾奉御筵來。遙知此日端門外。袍笏紛紛拜稽回。雲臺淸曉進新曆。幾處封題賜送來。忝直當年曾拜寵。秖今如夢帝居回。宮女爭工添一線。寧知老與線俱來。纍臣不恨年光促。但喜春風得放回。</text>
<title>贈林魯叟</title>,<text>村雞啼罷日亭午。門巷傳呼五馬來。浮世十年都白眼。小牕今日獨靑迴。</text>
<title>贈金伯旋</title>,<text>楚澤悲吟世孰憐。千秋寂寞吊湘篇。湖山積雪郊墟逈。珍重元生問樂天。</text>
<title>徐六一往京城。歸路來訪。醉中走筆以贈。</title>,<text>斜陽墟落鳥聲亂。驅馬何人到此間。聞道往還千里道。可憐塵世孰長閒。</text>
<title>次君明韻 六首</title>,<text>楚山蕭瑟楚江深。屈子冤魂何處尋。千載賈生來一吊。至今湘外誦遺吟。欲避閒愁掩戶深。閒愁其奈巧相尋。荒林風雨寒江月。總使畸人起怨吟。囚山離迾瘴烟深。落日孤村斷客尋。湘水有靈吾欲吊。楚歌凄絶恐難吟。膈縣封彊幾許深。愁城屹屹百千尋。三驅歡伯無奇績。四壁徒聞動楚吟。白首交情轉覺深。別來唯有夢相尋。殘燈壞壁荒山夜。手把新詩掩淚吟。流落他鄕恨自深。縱敎愁死更誰尋。莫言詩句能排悶。苦語成來不忍吟。</text>
<title>次春長詠燭韻 六首</title>,<text>替人垂淚到深更。燒盡中心意自明。倘使有言言更苦。不如含嘿若無情。峽夜獰風月五更。小牕孤燭對人明。身愁最識愁人意。東閣今宵多少情。奇禍年來曾飽更。使君心事我先明。遙知虛舘孤燈夜。新土寒雲入遠情。世事悠悠喜變更。老天冥漠理難明。死生榮落都泡幻。達士元來不着情。右慰春長風塵世事劇紛更。楚澤孤臣聖主明。凄切離騷二十五。江籬山漆古今情。梟炙鶉蛙事萬更。十年殘雪鬂邊明。竹窓燈火荒山下。寥落誰知此夜情。右自悼</text>
<title>又呼韻口占 是夜豪唱前後美人曲。相與歎其忠懇故云。</title>,<text>愁顔得酒便生春。夜靜歌淸興更新。最是美人前後曲。危忠猶可質天神。</text>
<title>次李馨之韻</title>,<text>屈原憔悴賦懷沙。賈傅湘潭獨怨嗟。共是不知浮世事。千秋見笑大方家。</text>
<title>自錦歸。馬上偶吟。</title>,<text>寒氷塞路雪渾山。鞍馬勞勞暮峽間。南去北來俱是客。不知何日得長閒。</text>
<title>夜行 二首</title>,<text>前馬虺尵後馬仆。小奴嗟咄大奴號。竆途行色多辛苦。却愧無言慰爾曹。路繞山頭成百折。夜天冥漠雪崖傾。平生慣踏人間險。叱馭歸來意自平。</text>
<title>李國材歎余鬢之蒼浪。余戲答云云。國材足吟而余尾之。</title>,<text>憂時白髮三千丈。春日靑眸一兩杯。此地相逢多少恨。國材 楚雲湘水總堪哀。</text>
<title>笠巖僧將處默來見。副將太謙亦來。而其年則太四十七而處三十七。余則四十二。戱書以贈。</title>,<text>太先於我處吾後。生歲中間較五年。他日靑藜鳴石逕。二師三笑虎溪邊。</text>
<title>偶吟</title>,<text>二日猛風動地軸。今朝積雪暗湖山。嚴凝和暖皆天道。人自區區怨苦寒。</text>
<title>次曺濟卿韻 二首</title>,<text>謫裏閒情似故山。却思朱墨起餘酸。君歸定有親朋問。報道韶華上老顔。病臥竆山歲已換。羈愁時與小僮論。頎然玉樹來何所。乾鵲前朝噪竹門。</text>
<title>獨坐次濟卿韻 二首</title>,<text>平生不識半登山。垂老來遊飽苦酸。最是故人歸去後。一竿殘日下孱顔。逢塲不解有離別。別後羈懷孰與論。寥落寒齋愁獨坐。計程今日到閒門。</text>
<title>忽念正月盡於今日。信筆戲題。</title>,<text>孤村烟雨淡將夕。百二春風三十遒。减得謫期雖可樂。鬢邊其奈白絲稠。</text>
<title>贈別李馨之，丁君卿。</title>,<text>幾多回首望軒盖。渭樹江雲入眼頻。從此柴門還獨閉。更於何地待情人。</text>
<title>山上望諸行有吟</title>,<text>心逐行人過遠野。身如孤鶴立山頭。若非鐵石心肝在。此日難堪涕淚流。</text>
<title>東望笠巖內莊屛列。西望興德扶安諸山簇立。沙眞少浦潮水方落。俯見山下孤村夕景政開。客思不禁凄然。率爾吟得一絶。</title>,<text>獨立峯頭日欲暮。峽村烟起鳥歸時。雲山繚繞江湖遠。身世蒼茫自詠詩。</text>
<title>戲贈君明</title>,<text>笠巖何事留吾駐。蘆嶺今看引子來。綠酒香羞松下醉。可憐如樂復如哀。</text>
<title>次君明</title>,<text>陽坡暖日漸相親。倚醉微吟思有神。故國春蔬香入夢。逢君相說口生津。</text>
<title>次濟卿寄贈韻</title>,<text>詞調淸新句律纖。春風花酒興因添。自憐才退難追武。嶺外雄豪憶子瞻。</text>
<title>追次梁汝仰草堂韻</title>,<text>梅花已落杏花開。幽逕春光次第來。蜂蝶滿園遲日麗。閒呼山婦進新杯。</text>
<title>次趙奎祥韻</title>,<text>江海羈孤一病臣。石門蘿月夢尋春。東風不解留佳客。雲暗長程別恨新。</text>
<title>春來神思無聊。不能作一首詩。縱有所吟。皆出於牽率。殊無意興。今日忽見庭梨爛發。蜂蝶紛紛。合有詩而亦不能強也。戲次一絶以書。</title>,<text>梨花一樹照窓白。蜂蝶紛紛聖自知。病客忽然幽興動。送春方作賞春詩。</text>
<title>次贈金叔晦</title>,<text>㵎草庭花豈解悲。楚天遼濶鳥飛遅。高齋他日閒吟處。記得今朝送別時。</text>
<title>次趙春卿韻</title>,<text>任使鶯花笑逐臣。逐臣今日亦陽春。孤齋明月逢君話。酒態詩情更覺新。</text>
<title>春卿請呼韻。余誦唐詩君問歸期未有期之詩。請與共話。余詩先成。</title>,<text>玉人明月似相期。政是春蛙鬧野池。預恐明朝分手後。子規哀切獨吟時。</text>
<title>次永叔韻</title>,<text>江水冷冷送客愁。江潭芳草幾時休。平生江上過逢地。落日重來涕自流。右過朴文益家韻靈均湘澤作遷臣。只怨秋風不怨春。竆峽千年吾又至。閒花芳草恨仍新。右春卿臣字韻</text>
