<title>雨夕</title>,<text>舟輕楊柳風。鷺點澄江色。隱几晝焚香。前山帶雨黑。</text>
<title>次關西伯 林判書墰</title>,<text>澄江芳草共悠悠。憶上名區第一樓。海內文章君獨步。鏡中鬚髮我先秋。星槎暫向銀河泊。鳳吹渾成洛浦遊。唱盡燕雲無限疊。白鷗飛盡水東流。</text>
<title>代人作 楊經略大閱。倩問安儒臣。作漢江春望云。</title>,<text>玉帳高開江水頭。旌旗不動彩雲浮。蛟龍陣壓馮夷窟。笳皷聲喧杜若洲。三尺秋蓮淸海岱。千鍾春酒散𤜻猴。腐儒幸識荊州面。不願平生萬戶侯。</text>
<title>蟾江秋興 四首</title>,<text>曾隨織女渡天津。尺五凝嚴奉玉宸。御苑乍晴黃鳥雨。畫樓深掩綠楊春。銅龍晝漏沉高閣。寶鴨香烟吐錦茵。入望終南與華岳。彩雲飛盡碧嶙峋。風泉踈響落西林。脩竹千竿畫戟森。瘴霧如樓銜凍雨。山雲似墨結層陰。賈生封奏千行淚。屈子離騷一片心。照壁孤燈人假寐。誰家中夜數聲砧。杜律韵江村日日謾圍碁。老滯蠻鄕且莫悲。蒲質政逢搖落節。菊樽寧負別離時。雙溪寶籙孤雲遠。三島丹書獨鶴遅。東洛舊遊知不少。一牋誰復慰相思。杜律韵終南漢水夢悠悠。同是天涯賦遠遊。倏忽功名兩隍鹿。飄零身世一沙鷗。匡衡抗䟽誠心切。賈傅憂時涕泗流。大抵行年俱半百。不妨携手老滄洲。屬鄭下叔</text>
<title>寄汝固 李澤堂植</title>,<text>晩泊孤舟芳草洲。天光雲影夕陽流。楊花十里春將暮。牧笛數聲人自愁。萬古江山輸翰墨。百年榮辱付觥籌。誰能解我前宵夢。澤老相携月下樓。</text>
<title>春愁</title>,<text>柳軃鶯嬌草色新。長安一雨洗輕塵。天開北闕韶光遍。雲盡南山淑氣均。何處橋頭携別袂。誰家樓上待征人。腐儒謾抱君民志。門掩桃花滿眼春。</text>
<title>舟中望見神勒寺</title>,<text>望見驪江江上寺。儒冠何歲此栖遅。扁舟明月一樽酒。細雨孤燈千首詩。寶塔不殊聞笛日。苔磯猶似釣魚時。斜陽叩枻乘流去。花下眠僧自不知。</text>
<title>古豊田懷古 弓裔故都</title>,<text>平蕪漠漠水悠悠。故國繁華問末由。破瓦尙知雲母殿。稻田誰解鳳凰溝。三春花柳淸明節。一夢興亡遠客愁。何處佳人金縷曲。隔溪猶唱故東州。</text>
<title>憶方丈小庄 五首</title>,<text>澄江一曲古河汾。傍水茅廬竹作門。滿眼秋光渾似錦。羃林烟氣欲成雲。來牛去馬憑欄見。牧笛漁歌隔岸聞。㝡憶東籬籬下菊。泛樽那得醉醺醺。晩秋天氣近初冬。積霧寒嵐翠且重。高浪一聲掀宇宙。亂峯千疊揷芙蓉。溪邊細路僧歸寺。林下孤村雪壓松。只有田翁携酒至。問余何事此相從。洞天岑寂草離披。啼鳥閑花捴入詩。水連滄海生春早。山近金鰲得月遅。林端細火孤村遠。竹裡鳴泉百道飛。傍人莫比潯陽宅。一枕羲皇誰得知。迢迢春眺岸烏紗。歷亂輕鷗下晩沙。芳草洲邊列漁市。靑山影裡隱田家。林僧倦錫宜斜日。估客孤帆趁落霞。何處東風牛背笛。江村樹樹盡梅花。南湖一雨春霏霏。前村麥靑園葵肥。山禽渚禽百舌語。桃花梨花千點飛。幽人手持綠玉杖。携兒信步登翠微。靑山處處白雲起。水沒斷橋僧獨歸。</text>
<title>海鶴吟寄愼伯擧 天翊</title>,<text>翩翩海鶴未歸愁。自識人間有急流。霜打雪衣思楚峽。月明秋水夢蘆洲。彭澤已闌黃菊節。瑤池悵望赤松遊。扶搖欲向仙城去。銀海茫茫洞府幽。</text>
<title>春雪</title>,<text>終朝瑞氣動玄顔。薄暮霏霏雪擁關。細粘樗櫟爲珠樹。亂被丘陵作玉山。已通地底催花信。更引天庭獻賀班。正憶維舟楊柳岸。一江飛絮酒樽間。</text>
<title>泊舟鰲頭城下</title>,<text>步下西湖湖上樓。楚天歸路問沙鷗。鰲頭風雨千層浪。畫裡江山一葉舟。浮世功名人役役。暮年離合水悠悠。欲將三尺龍泉劒。高倚崆峒欲盡秋。</text>
<title>夢與金領相從容 潛谷</title>,<text>薄雲東閤古平津。蝴蝶飛飛引涸鱗。四海文章論主客。百年膠㓒少雷陳。依俙松寺聯燈處。縹緲蕭川聽雨晨。廊廟江湖情不隔。半生寧作夢中人。</text>
<title>夢遊周房山</title>,<text>先生好讀參同契。夢裡飛登太乙壇。遂有安期騎白鹿。始知秦女駕靑鸞。雲石倚空河影近。天風吹露鶴聲寒。東溟指點三千里。蓬島茫茫碧落寬。</text>
<title>朴淵瀑布</title>,<text>一道銀河天上來。素紳明處白雲開。飛珠散作千林雨。轉石還疑萬壑雷。波撼宅龍驚不寐。冷侵巢鶴去無回。遅留漸近黃昏月。水影玲瓏入酒盃。上瀑有龍淵。下瀑有鶴巢。</text>
<title>感遇 七首</title>,<text>羣仙尙李杜。請學石川子。二子在世間。遑遑不得志。滄海遺龍珠。朝廷盡魚目。誰知兩部詩。能動天上客。海門大風懸。狂瀾怒拍天。行人集路左。踟躕不敢過。何處一虗舟。橫波澹澹浮。無人理柁楫。日夕烟波濶。山石本犖崅。古道多荊榛。猗猗一孤蘭。襍沓衆草隣。風來香細細。雨過葉離披。不望植玉階。願蒙君子知。松栢在深山。亭亭飽雪風。問爾何枯黃。下有賊根虫。未售支廈任。空負濟川功。樵牧任摧折。志士空忡忡。大行日將夕。塩車上山麓。良馬服輗軏。馳驅筋力竭。鞭策恣撲擊。一步再三蹶。豈無一點淚。奈不逢伯樂。我愛張季鷹。秋風思故鄕。遅遅一葉舟。千里鴈南翔。鱸魚膾甚佳。菰米飯亦宜。回瞻河渭間。天地一瘡痍。華亭警露鶴。數聲人間落。羲皇去已遠。玄風何處尋。潯陽水一曲。草屋依雲林。柴扉夜不扃。三逕松菊荒。歸去來山中。一夢北窓凉。誰知岸巾葛。醉卧晉日月。</text>
<title>促織行</title>,<text>我病苦無睡。促織中夜呼。暗暗語促織。爾何以知吾。昔涖七雄府。平生凍且饑。淸江江上雪。九月未授衣。</text>
<title>傳燈大雪 幷序</title>,<text>傳燈寺。在於江都三郞城中。三郞古之檀君子云。治江都城于吉城山者也。余少時讀書于玆。歲甲午。偶有江海之行。因訪舊跡。忽遇三丈雪。作古詩以記之。凡千有餘言云。玉京群仙子。耽閑好奇事。朝遊方丈山。夕宴瑤池水。悄然興不贍。爰思別天地。遂令蚩尤鬼。贔屓恣設施。蚩尤太不廉。磨牙喜得志。咆哮挽天河。建瓴九萬里。天何作玉花。浩汗彌坤位。密霰初飄揚。六出繼大至。戎戎又樓樓。秩秩復粹粹。島嶼竪銀闕。山岳翔皓鶴。九州行人稀。千村烟火絶。孤舟釣魚翁。水寒魚不食。山谿乞米僧。屨冷轉愁疾。乾坤白玉洞。林木梨花發。或如九年水。六合波濤立。或如混沌時。日月隱嵽𡾒。周穆逐王母。八駿登崑崙。梁王意不悅。賓客宴兔園。浣紗西施石。石上氷龍鱗。洲棠越女舟。舟閣難採蘋。飛將入蔡城。半夜擊鵝鴨。袁安卧弊廬。門外無人跡。衆仙得所願。拍手相嘲謔。此時方丈生。下榻傳燈刹。平生尙淸奇。獨上千層壁。劃然一長嘯。天地欲低昂。又將暖律吹。海岳回春陽。中天雲霧開。素月東方出。天容與海色。澄澄本淸潔。縱有微雲掩。不許敢點綴。玉兔猶怕寒。銀蟾亦栗冽。吳質倚桂𢩭。指直不成斫。姮娥垂素手。下土求回祿。淸漢氷作梁。不待橋烏鵲。上帝號令嚴。牛女不敢涉。東有龍靑鱗。西有虎白額。北有藏六龜。南有赬冠雀。蚩尤勢燻灼。諸神皆怵惕。坤道善載物。載厚地軸折。眞宰失化權。上訴天應泣。人間占富貴。獨有山中客。咳唾玉樹叢。嘯傲瑤階側。古寺三郞城。周遭宛如昨。石馬土缶簋。千年想舊跡。忽然遇三郞。揖我齒啓玉。三郞聖君後。頗識尊賢哲。問汝何栖栖。獨向巖下宿。草草衣裳單。凜凜身起粟。太平獨向隅。淸世猶旅泊。何不世同波。持粱齒肥肉。余謂嶔崎人。半世苦顚躓。學務洙泗源。心雄萬夫特。白首猶屈強。獨恥事干謁。家貧好讀書。閉門窮八索。氣壓歐蘇香。目無建安骨。蹙蹙靡所聘。氣岸凌華岳。皇天付經綸。豈非邦國活。一言纔轉喉。矛盾如晝燭。適越資章甫。按劒投明月。上有君堯舜。下無臣稷契。但見務邊幅。無人憂杞國。耿耿抱瑚璉。戚戚空仰屋。豈忘紫氣隱。非無浮海意。生逢聖明世。不敢便賁趾。夙宵憂黎元。揣摩思百爾。今年夏大旱。宇宙忽滲黷。大雨如翻河。石劒崩一角。禁中水十丈。或有成魚鱉。冬雷聲虩虩。陰虹夜燁燁。腥霧自北來。山岳眩咫尺。未知冥冥天。何心降大割。殷憂啓聖明。求言貫金石。國危敢愛身。主憂臣子辱。袖裡治安書。排雲叫閶闔。君門北溟深。何處白獸闥。獻策未得意。今古六歎息。慘慘辭長安。挈家歸蓬蓽。行行渡楊子。積氷長河塞。暮投巴陵縣。糲飯有沙石。稚孫方八歲。牽衣索梨栗。翌日憇金陵。使君多義烈。周旋濟一行。一行免飢渴。喚舟德浦津。流澌接溟渤。伊軋棹木道。波濤任出沒。舟中獨長吁。下地還不樂。幸有萬卷書。膏肓作書癖。偶爾栖伽藍。天公憐幽獨。黯慘忽異色。今逢大如席。浩渺四海月。微茫萬家春。身世脫槐安。俯視千尺塵。非徒冠平生。論古亦超倫。三郞笑而答。請子斯須立。君子處斯世。心同白玉白。不磷又不淄。間關守素節。衆夫處斯世。其心似滕六。一時恣跌宕。扶桑怕皎日。乃知君子心。翰墨羅鈇鉞。詞賦凌雲才。詩律芙蓉色。若不垂文章。後生焉祖述。余還舊蒲團。山人曉鍾擊。怡然睡正酣。一夢成蝴蝶。</text>
<title>八哀 幷序</title>,<text>夫義士之論。人不離於忠臣烈士。而流俗之論人。必求於無毁無譽而全軀而保妻子者。余窃惑焉。古者慷慨之士。則屈原，魯連，樂毅，賈誼之徒。伏節之臣。則紀信，廵遠，眞卿，文山之流。視功名富貴於草芥浮雲。廉頑立懶。垂名萬古。庸衆人之議論。安敢到乎。昔子美著八哀。玉佩騷壇。藻繪詞垣。而汝陽，鄭虔，嚴武。何敢參是列。似乎襍而不純。噫。壬辰以來。中朝東征將士。與本國忠臣孝子烈婦舍生取義。其麗不億。信乎流風遺俗。能超漢，唐而軼三代也。余自髫孩。飽聞其精忠無愧於古之人矣。遂作八首詩以哀之。吁。仲尼曰。伯夷，叔齊。求仁得仁。又何怨乎。如使九原有知。彼人者旣已全節而死義。又何怨焉。抑其中或有憤悱激烈。發爲詩史。枉罹世禍者。不能無嘅焉。今幷列焉。壬申之秋七月念五日。故捴兵楊公元將軍出遼薊。小少千夫特。大小百餘戰。隨處涉胡血。獻捷過箭疾。今世楊無敵。屬我被蠻兵。八彩累東縮。先鋒印如斗。閫外親推轂。丁酉六月交。東來渡鴨綠。豼貅七千士。燕趙悲歌客。洗沐間蹋踘。日行里三十。獨守帶方城。捍蔽方張賊。洞開四門闉。中軍方作樂。飛騎出城外。捕賊如芥拾。一級五十金。賈勇爭馳逐。久絶大軍援。談笑運奇略。草管夜塡塹。女墻等平陸。中堅賊充斥。旋踵無一卒。將軍上飛兔。伴臣是羽翼。出城無所見。回馬猶窮索。生還不滿百。瘡更流血。席藁國南門。吾王親慰釋。悲泣不能言。𢢽惻動草木。尙願更一戰。洒恥南州役。皇綱方整肅。寬假無毫髮。竟伏左次律。東民膽欲裂。余昔過龍城。酹酒詩以咄。地形非戰塲。道險多阻阨。鐵騎利平地。蠻兵利險塞。屈我助彼長。講策何太拙。完山府南城。甄萱古雉堞。峻險不可當。山河百二絶。內外作唇齒。誰能窺左足。縱有天子詔。惟在將軍策。其時廊廟上。名卿多輔弼。指揮酧應間。無乃太忩劇。咄嗟心語口。莫解古區畫。麻將用是徵。引敵聽深入。一鏖松浦邊。兇酋皆裭魄。乃知天下事。形勢在密勿。我在童稚日。偶爾過松岳。天壽門前道。慘見公行色。創兵咽悲笳。西風吹落日。行旅血相視。澗水亦嗚咽。平生過此路。無從淚橫臆。故經理楊公鎬東事昔搶攘。天子屢旰食。中宵按湛盧。列燭引輔弼。購金出尙方。戰士徵梁益。揀選滿朝士。誰能往殲厥。楊公荷寵靈。太廟受鈇鉞。至尊臨門送。乾坤尙動色。曰貴汝都督。鐵騎往勦絶。曰鋌汝捴兵。苗兵進虜獲。曰璘將游兵。艅艎截溟渤。曰鎬汝咸統。用命吝賞罰。曰朕都御史。公私休用樂。公乃拜稽首。朱夏方脂轄。戰士三十萬。長駈渡鴨綠。八月至漢都。金氣助肅殺。及夫島山役。巨酋先裭魄。孤城如黑子。圍之過三匝。賊飢茶紙盡。乞降將面縛。㐫謀實難測。請援兵四集。天又大雨雪。左次師未捷。猶多虎豹勢。足以衛藜藿。皇威振南極。賊勢日窮蹙。讒言入左腹。謗書已盈篋。倐爾奄西旋。墮淚一片石。余後數十年。讀書寺神勒。明月掃東臺。淸江動我側。舳艫亘十里。伊軋向京洛。客言嶺兵過。滿載軍裝束。楊公出遼薊。師期在三月。余謂天下士。縱橫談廟畧。應有萬全計。我意似失策。方今春未融。陰山多積雪。勞逸主客異。形勢犯忌克。自古修攘道。誕敷吾文德。懸兵恣遠畧。不瑕有敗衂。俄聞軍失利。公下錦衣獄。以余策天下。成敗合符節。豈余才智雄。平人固騷屑。公昔臨漢水。校戰幷水陸。余隨長者觀。三令間手格。頃年逢漢士。丁酉從征客。自言文墨外。彎弧善蹋踘。漢上昔行春。逞技獲金帛。楊老深河敗。朝廷實迫促。閹尹擅國綱。天下殆岌岌。對我嗚咽言。委曲事顚末。慷慨一賦詩。悲風助悽切。故府使宋公象賢國家養士氣。私淑垂二百。皆知爲國死。豈有戀苟活。島夷剝我邦。芟夷如草木。卿士至下庶。在在競伏節。聖澤入民深。禮義由化育。曾見老從軍。東萊古部曲。委曲使君事。縷縷頗詳密。宋公初莅府。律己類氷蘗。關市三歲絶。誰不知吹毒。公不少介然。恤民軍政肅。壬辰四月交。風恬海如拭。烽臺忽飛報。水面船如織。居然百里內。蜂屯螻蟻襍。孤軍氣先敓。千匀引一髮。村落競鳥竄。吏胥環簇立。泣請急上馬。不爾幾沒郭。公乃色不動。搢笏具朝服。拱袖升高座。雍容更莊栗。傍有數鴈。內有兩廁室。㓒齒恠且驚。滿庭森如束。狼顧不敢前。劒戟相磨戛。日夕公被害。一廁亦自縊。俄有鉅酋令。手刃者且僇。瘞公又酹祀。立木爲票勺。良知天所賦。非華豊夷嗇。一廁終守節。七年始返國。蠻人尙尊敬。凈室供飮食。至公墳前土。瓣香聲一哭。哭後旋自盡。下從公窀穸。一室三忠烈。求之古難得。余謂爾何人。爾家在何邑。同泛下瀨船。天便慰幽寂。宋公奇偉事。盡言無所惜。自言一兵民。世居月溪峽。紅樹萬山裡。指點舊鄕曲。初從萬戶侯。天城歲再閱。萬戶罷官去。慕義隨公幕。萊州瘴海鄕。禮法人鮮熟。公乃導孝悌。哀喪恤孤獨。終始不鄙夷。愚民亦奮發。冠婚鄕飮酒。凜然爲善俗。常言命在天。得喪非人力。及夫城陷日。陽陽似平昔。小人闖積尸。夜半超壘逸。歸來携父母。逃死隱巖穴。言言尙哽塞。舟中皆掩泣。余最制淚熟。數行淸江滴。故牧使金公汝岉白頭對崑崙。氣脉傾長白。磅礴勢東來。秀色動坤軸。間或鍾於人。有美生人傑。往者金刺史。飄飄拔流俗。有如攢石劒。巉巖天一色。與人話凉燠。和氣煖寒谷。哀矜輕施與。尙氣重然諾。勤苦讀書史。不顧家四壁。龍頭忽大闡。門巷車馬簇。公乃不色喜。祿俸濟貧族。靜養紫陌春。出守西門鑰。國家失太平。蠻兵大充斥。公時副捴戎。擬扼鳥嶺隘。元帥下獺川。平原期蹴踏。爪牙一不中。賊勢風雨急。豈無可生地。一心誓殉國。俯視萬仞潭。影落馮夷窟。敗至上大戚。忠臣淚成血。歲星在我分。宗祊旋恢復。我昔拜月沙。有人居末席。自云老書記。平生事刀筆。公之莅抱州。隨行使聖節。玉斝沾餘瀝。酒塲負無敵。公欲試其量。浮之兩太白。再拜立而飮。飮輒稱洒落。乃呼巨觥來。其大容斗一。公令更快倒。一吸無喘息。嘖舌乃嘉賞。賜之追風騄。辭以不敢當。正色微有責。大官乃如此。賤者敢違越。言畢尙泫然。滿座皆感激。此事雖戱劇。亦足想風格。公友死有孤。養育同己出。謂兒與分宅。百年共飢渴。曩余守忠州。悲凉撫遺跡。適回征戰時。豈不慰忠魄。卒伍倩僧享。大夫皆別卓。肅潔將行祀。忽汚霜臺筆。扁舟載病軀。促行下瀨石。回首彈琴臺。烟波天共碧。故府使高公敬命昔在丙午秋。一劒遊松嶽。沽酒上南門。徘徊愴古國。其時簡易翁。西征滯村落。余乃晨造門。兒出迎入室。相對几席間。從容語纖悉。自言斷論文。文塲閉牙頰。孺子志古文。於爾何所惜。我昔與霽峯。同作朝宗客。言論得心事。明知終伏節。霽峯出南州。姓系煥閥閱。射策擢第一。靑年已矯翼。金馬與玉堂。聯翩荷聖渥。宦海怒濤立。婆娑還舊壑。跌宕靜散地。詩酒送歲月。栖遑簿書間。吏隱非爲祿。邦運際不競。㓒齒彌水陸。湖嶺百餘郡。曾無義士一。公乃首倡義。壯士如雲合。洒淚戀行在。腐心草羽檄。正氣亘寰宇。軍聲動草木。失利錦山役。父子死同日。一子更糾旅。晉陽又死國。成敗論英雄。大海如蠡測。厥後三南士。聚募多殺賊。此由公首事。風聲能感激。粤啓觀周行。翰墨事酧酢。公詩如彩花。滿眼實淸越。日示百餘紙。旣富更神速。內怕艱接應。外示方張色。遼陽憇僧宇。僧宇在市側。老衲率婦子。酒肉無所擇。辛苦學瞿曇。贈之詩一律。公乃顧我言。至曇君閣筆。我次學生曇。公不覺歎服。文章乃餘事。曠世其人物。子能學綴文。史漢不可闕。霽峯讀萬遍。流輩無右出。堂堂立人紀。具在正氣錄。讀罷再拜出。斜陽在古水。故提督趙公憲屈子昔懷沙。離騷在人目。賈生尙不戒。封章又痛哭。其後誰不戒。抗䟽叫閶闔。千載得重峯。忠肝一斗血。邦家昔全盛。太平垂二百。姚姒可秩駕。漢唐羞比列。是時公力爭。滿紙飛霜雪。首言㓒齒蠻。面人心鬼蜮。木柹蔽東溟。毒我計已熟。最忌大邦援。百爾思離絶。明春風汛和。南京闡舟楫。其時必有間。鰈邦同射日。上策先伐謀。陳奏急晷刻。聖意渺難測。平人皆大噱。孔雀渡海來。錦羽鮮朝日。屈産非紫燕。天閑養豆粟。信之如尾生。誰憂吹虺毒。及春果行諜。公言合符節。其餘所陳列。無非時藥石。幸免越俎誅。亦賴上明哲。島夷劇跳梁。列鎭皆覆沒。至尊竟蒙塵。龍灣駐警蹕。八路盡魚肉。殺氣搖草木。公時陸沉久。奮身糾義烈。錦山兩南喉。先據者必捷。西風擊楫渡。秋日荊江夕。孤軍抗豕突。衆寡奈不敵。張拳冒白刃。大呼爭殺賊。天地爲低昂。風雲更凄切。義士無孑遺。賊兵亦死咋。湖南數千里。賴公初妥帖。調兵與給餉。遂基中興蹟。廟社得再血。不亡伊誰力。夙聞丈者言。別業在安邑。奉養繼室母。夜出獵山澤。朝日荷鋤耘。腰帶古經籍。垢衣生碧蘚。雪麓樵指禿。亞使偶爾過。對案啗藿麥。瓮中出䟽草。上聞居十一。窮日又點燈。翌朝未卒業。行裾動遭牽。欲去那可得。三日始告別。出門愈避疾。不知重峯後。何人更憂國。狂䟽尙不戒。霜㙜汚簡墨。其言或不中。皆至誠惻怛。奈何諸君子。陵轢無餘力。古有遇遯翁。焚章謝獻策。故統制使李公舜臣昔倭窺我邦。献馬與孔雀。虔若小事大。卑辭厚幣帛。朝廷信不疑。志士徒仰屋。有人謂宰臣。㓒齒何以敵。宰臣綽髥笑。蠻兵類鴈。原野一馬蹄。擧鞭可殲滅。海戍廢舟師。艅艎沙岸閣。維時李節度。小少自穎脫。受任造山堡。大蹂鹿屯賊。群醜不敢動。猛氣振沙漠。敀來朝市間。陸沉千夫側。淸鑑在相公。西厓 豈無吹噓力。湖南左水閫。拔擢自井邑。大修陰雨備。隱若一敵國。蠻船蔽滄海。殺氣亘南陸。群帥皆裭魄。㐫鋒更難遏。公乃擊楫來。閑山雄所搤。隻手捍暴客。一戰海成血。遂加統制命。天書紆寵秩。賊不進一步。荏苒三歲月。蠻酋巧行間。他將殘卽墨。我邦喜得諜。易置太神速。公旋下金吾。中權換趙括。關防一失險。生靈盡魚肉。國事已去後。更授公㫌節。公又大獻捷。直欲呑日域。天將都督璘。比營聲勢合。値賊更陸梁。瘴海㫌旗獵。公浴夜祈天。殲冦卽殞絶。鷄鳴戰方酣。慘惔將星落。歌皷齊献凱。哭聲旋天撤。凄凉餘部曲。故山歸素紼。都督見吾王。涕淚衣裳濕。掃蕩南海淸。其功誰比列。健筆太史褒。古廟遺像肅。昔過松廣寺。惠煕有老衲。從公矢石間。爲余前致說。非徒公智謀。神明助戰伐。至今有海警。夢裡見髣髴。最悼鄭萬戶。運 斗膽更無匹。被甲杖大槍。擊皷促柁楫。渠酋畏如虎。所向皆辟易。方戰中石炮。身先死未捷。余遊方丈山。露梁送遠目。是公古戰塲。誰人今復作。龜船 公所造 徒自橫。一詩慰忠魄。混沌倘不死。幽冥應感激。故石洲居士權公韠包羲王天下。人文始昭晣。龍圖躍河水。庶政繩不結。森羅百家出。三墳更八索。蘇李起詞壇。五言河梁別。搜奇日有富。蓬萊建安骨。唐家三百年。權輿有四傑。詩中天子聖。李杜文章伯。如海又如川。韓柳亦卓犖。詩東道亦東。三韓大雅作。孤雲崔文憲。牧隱李相國。氣薰班馬香。目短江鮑壁。其餘未藉甚。紛紛何足說。近者石洲翁。戒轄思遠發。不驚死不休。詩眸九州豁。筆陣任推轂。墨兵萬人敵。淸霜與紫電。蕭森列胸臆。蒙士仰末照。至尊徵詩律。糠粃鑄蘇黃。咳唾爛金碧。二十八字詩。詩史千古絶。居然罹世禍。士林憤所切。天生才有用。其意亦舃赫。嚴霜凋桂枝。蟾蜍蝕月魄。自古皆一貫。此理誰能燭。萇弘一劒血。三年化碧玉。齊有二華士。匪熊加顯戮。屈子作離騷。懷沙終自溺。賈生傷時淚。君門九重隔。江州賦鸚鵡。樊山帶愁色。靑霞入脩夜。廣陵散一曲。連鷄不得進。采石抱明月。其間闒茸徒。聲勢何輝爀。腰帶黃金印。步步靑雲濶。龍馬流水車。金鞍珠玉勒。華堂錦茵重。富貴厭粱肉。賓客復滿堂。香風引趙瑟。鄧通擅銅陵。董賢斷帝袷。不識俠骨香。安知君子節。遵何德致此。是以余甚惑。顔子居陋巷。簞瓢亦屢絶。盜跖黨數千。人肉恣睢食。一時異得失。萬古嚴衮鉞。余與東岳公。談詩竟月夕。公與石洲詩。成就孰優劣。東岳笑而答。石洲務精密。比如賢婦人。周旋治酒炙。縱橫遠方味。杯盤極狼藉。吾如富家翁。鳴鍾鼎鼐列。火齊鼠毛錦。參差用不竭。所長倘相當。公議也不滅。石洲篤事親。烝甞致肅㓗。文章乃餘事。孝友可矜式。吾家近玄庄。觥秋屢側跡。茅簷點小燈。淸宵艤水石。亭亭雪後松。皎皎渡海鶴。平生以遨處。春草年年綠。</text>
<title>遠別離 廢朝時辛酉</title>,<text>遠別離。古有虞皇之二妃。追龍馭於三江之渺渺。九疑之巍巍。金旂翠華無尋處。蒼梧暮雨寒霏霏。雨霏霏風飀飀。二十五絃彈一曲。湘江倒流湘雲愁。君不見四海塵昏白日暮。回首一片中原土。康衢擊壤淳風死。唐虞萬事東流水。珠宮綺閣倚天開。酒池鱓皷鳴如雷。淸洛之波漲赤血。炮烙腥煙迷九垓。忠臣被僇直臣瘖。慈烏慈烏鳴㝡哀。君不見黃陵廟前草芊芊。廟門一閉今十年。二妃精魂久飢渴。何時一見淸明天。空有千行珠淚洒琅玕。琅玕上有千點班。年年秋月月當午。斷猿孤鴻露下泣。豈憶南薰殿上。同樂五絃音。噓吁噫。湘水無情天共碧。</text>
<title>烏夜啼</title>,<text>月在梧桐風在竹。佳人燈畔支頤宿。萬里征夫夢裡逢。未訴相思淚相續。無端睡破夜烏啼。斷盡柔膓膓幾曲。</text>
<title>未央宮楊柳詞</title>,<text>未央宮中楊柳枝。長枝葉裡鶯哺兒。羅帷寶幄繡芙蓉。楊柳拂地圍香風。象床氍毹帝不醉。左右嬪御如花紅。日晩猶招李夫人。夫人不出黃金屋。君王悄悄不成歡。千絲細柳無顔色。長信班姬愁未歇。空階坐待三更月。</text>
<title>徐夫人匕首歌</title>,<text>棠谿墨陽金骨厚。歐冶閃鑠鑄匕首。飛上九天决浮雲。時時匣裡蛟龍吼。燕家太子換千金。新淬鸊鵜無纖垢。銀濤瑩立起紫烟。一聲秋郊哭鬼母。荊卿袖裡督亢圖。圖窮劒出秦王走。白日西兵捲地來。身死燕亡劒何有。劒兮劒兮不如長在邯鄲家。夜夜虹光射牛斗。不然跳入易水中。化爲神龍抱火珠。潛水宅千年。不近庸夫手。韓客沙中一聲霹。祖龍帝業鴻毛輶。楚人一炬阿房紅。山河百二無人守。劒兮劒兮不如遇其主。古來英雄亦一趣。</text>
<title>白紵辭</title>,<text>吳宮花壓黃金鳳。流鶯喚起紗窓夢。紗窓半掩竹風凉。白紵新裁舞衣裳。六銖輕盈雪渾身。纖腰一掬蘇合香。芙蓉楊柳不自持。落花飛絮春茫茫。靑山已銜朱樓日。樓前澹月江心白。金樽紅燭夜如何。玳瑁筵中留狎客。常恐飛霜奪炎熱。君恩如水中道絶。白紵衣藏篋笥中。乾坤處處驚秋風。</text>
<title>莫相疑行</title>,<text>我本玉皇香案吏。手决天章雲錦字。五雲樓臺職牋奏。奎壁精輝粲如綺。誤逐人間軒冕榮。謫下塵埃九萬里。塵埃時命自大謬。功名經濟隨東流。屠龍昔破萬金産。長劒更倚崆峒秋。蓬萊文章建安骨。水晶簾箔珊瑚鉤。詩中天子詩中聖。江漢秋陽借皎潔。平生只許二三子。島酸郊窮何足說。文章不知老將至。要路通津懶投足。自憐葵藿傾太陽。更上危樓望北斗。纖雲四捲天無河。一輪浩月同淸晝。江湖草廬一樽酒。水鳥江花托交友。獨浮黃雲去京闕。巴陵夜宿蘆花洲。霜鶴雲鴻海迢迢。終南漢水心悠悠。淸詩一篇莫相疑。千駟萬鐘如雲浮。諸君它日成功後。角巾如從赤松遊。五湖烟波是吾家。綠蓑靑蒻艤虛舟。</text>
<title>四角杖引</title>,<text>南冥水國千尺深。秋天漠漠龍夜吟。方丈先生渡海來。孤村星散蒼厓陰。古書千卷閉門看。風塵百年無知音。明月投人人按劒。神龍何以知葵忱。化爲珊瑚四角杖。柴門半夜來相尋。列缺壁歷相追飛。塵埃野馬何沉沉。先生平昔好奇古。重之不翅千黃金。杖也龍也爾之能事善變化。倘可救世濟民。挽回三代同古今。湯時七年大火焦。黃河涸盡水如針。東方比歲金石流。更借桑林三日霖。又聞帝舜有臣龍。乾坤一曲南薰琴。唯龍手把天地戶。陶鑄至和澄氛祲。簫韶聲中鳳鳥下。群龍滿朝無孔壬。淳風淡蕩勝堯時。四海萬國爭來琛。後龍無乃是古龍。功名事跡休商參。如今天地一蛙鼃。六合蚩蚩馬牛襟。龍乎龍乎飛上九萬里靑天。密邇三十六玉皇香案。願奏方丈山人一片經綸心。羣生幾時登春臺。氷天桂海休相侵。客星光彩近帝座。滄海遺珠俱盍簪。康衢啁哳耕歌。雨露霑被皆林林。龍乎龍乎復龍乎。莫相負玉燭調元付公任。</text>
