<title>詠海 十歲作</title>,<text>有物半天地。萬古含元氣。胷中亦有海。丈夫當如此。</text>
<title>丙辰九月十八日地震</title>,<text>明明開闢理。厚地配天尊。山岳江湖載。昆蟲草木蕃。一聲何壯大。萬軸忽傾掀。此日微臣淚。難將灑帝閽。</text>
<title>許上舍汝卿 國弼 家。飮酒吟一絶。用獨木橋。</title>,<text>人家萬事摠虛名。君號無名勝有名。平生苦厭名爲累。只學劉伶以酒名。</text>
<title>記夢</title>,<text>澗水泠泠雨滿天。泥深路斷小橋邊。可憐夢踏爭名地。不識辛勤五十年。</text>
<title>謝朴上舍孝述 弘慶 惠麥種 丁巳</title>,<text>前年大雪覆前野。入地遺蝗應幾尺。家家打麥滿篝車。大椀爭持喫不托。我獨失收農絶食。難慰南訛慍奴僕。東隣能識繼絶名。我亦自此西疇闢。若使漁陽頌兩歧。不願東吳付千石。</text>
<title>登蒼髯亭。醉後奉呈崔正言季升 晛。</title>,<text>曠野雲收盡。長天鴈度頻。蒼髯亭上酒。白髮病中身。風急從吹帽。花寒更近人。三高何處在。遺迹問無因。</text>
<title>次河提督韻</title>,<text>昨夜天中月。分明照兩襟。他時七松畔。相對要論心。</text>
<title>龍峀巖。贈朴孝述。三首</title>,<text>昨日桃李寺。今朝龍峀巖。到處星辰近。飛仙定欲參。山路登無盡。天風足下生。列峀螺千點。長江帶一橫。贒者曾遊地。登臨意可傷。茫茫浮世事。草草小壺觴。遠水兼天浮。平林抱野長。江山不負客。一日助詩狂。</text>
<title>次朴寧海韻。贈主人尹景楫 涉。</title>,<text>桃李正開花。我識春風面。大笑入柴門。主人欣相見。</text>
<title>訪尹景楫不遇。次曺汝益韻。</title>,<text>小竹依殘菊。垂楊掛夕陽。客來傾酒去。回首野蒼茫。</text>
<title>丹陽滯雨。留客舍偶吟。</title>,<text>廉纖凍雨不能晴。滴到寒囱碎客情。竹嶺橫天家渺渺。白雲深處問歸程。</text>
<title>登二樂樓。謝主倅徐景立 希信 寄燒酒。</title>,<text>水動危橋雪打樓。登臨冷氣襲狐裘。雙成忽挹金莖露。遙自丹丘上上頭。</text>
<title>到草谷嫂宅。次韻贈金士擇 友益。</title>,<text>五年多難獨憑樓。千里風塵一布裘。季子歸來無面目。嫂炊猶慰雪渾頭。</text>
<title>訪全遵甫 成憲 山居</title>,<text>朝來白雪壓松高。巖峀層層如畫圖。犬報客來時一吠。山前寥落一村孤。</text>
<title>九月到屛山書院</title>,<text>秋山錦繡明如許。咫尺塵蹤自不來。惟有老夫看不厭。有時搖棹月中回。</text>
<title>端陽日。偶書排悶。</title>,<text>客中佳節是端陽。菖歜家家咽酒觴。芳草滿江江雨霽。鞦韆八尺傍垂楊。</text>
<title>贈李昌寧</title>,<text>地白風寒雪欲飛。溪橋官店日斜暉。如今始識荊州面。縶我征駒不許歸。</text>
<title>昆陽觀射侯。醉呈使相。</title>,<text>干㫌不動布帿安。色笑皇華酒令寬。斜陽欲盡笙歌咽。直待黃昏月出山。</text>
<title>次慕亭韻解嘲</title>,<text>主人本是東籬客。酷愛黃花手自栽。人與此花離舊土。一秋心事一般催。慕亭詩意。有新移半枯。愛護未至之嘲故云。</text>
<title>寄金山浮香亭諸益</title>,<text>風光不別苦吟身。卅日添增作小春。芳草綠時花欲落。可憐孤舘病中人。</text>
<title>寄崔同年季升</title>,<text>病卧柴門晝自扃。東風有意入囱欞。一年好景徒能記。今日淸明又踏靑。</text>
<title>雨中訪李上舍玉汝 瑱 新亭</title>,<text>草閣松簷俯小塘。比隣情話醉壺觴。黃鸝啼處蒼峰合。山燕飛時野雨凉。</text>
<title>用前韻和李汝器 瑚</title>,<text>葱籠樹色浸池塘。置酒臨除各盡觴。茅蓋斜編防雨入。蒲團穩坐受風凉。</text>
<title>奉別安東府伯</title>,<text>垂柳靑靑學渭城。郵亭把酒話離情。懸知別後難堪處。梅雨蕭蕭滴到明。</text>
<title>曲江感舊遊。贈金上舍子昷 珽。</title>,<text>憶昔庚寅端午月。琴歌一散此江頭。只今猶有江波在。也到樽前咽不休。</text>
<title>贈歌者琴從</title>,<text>尊前往事都如夢。醉對蒼波坐翠巖。唱罷悲歌草頭露。故人猶有舊何戡。</text>
<title>晨興</title>,<text>晨興白髮梳千下。秋入靑山酒一巡。却把機心付當路。北囱閒作葛天民。</text>
<title>謝高彥龍兄弟饋肉</title>,<text>黧面誰憐菜色浮。衰腸對案輒懷愁。伯仁坐上牛心炙。多謝今朝不待求。</text>
<title>秋夕後獨坐書懷 三首</title>,<text>寓居洛岸今三載。蹤跡應同水上萍。客裏空敎負佳節。西風落日不堪情。人醉北邙秋祭後。鳥鳴南磵暮煙中。無端木末西風起。吹却愁人鬢似蓬。居人自樂開秋酒。遠客多愁倚晩風。只有靑山如慰我。遠分晴色到簾櫳。</text>
<title>竹淵泛舟</title>,<text>吹帽西風還淅淅。登臺落日更依依。楓丹水綠蘆花白。歌罷滄洲扣枻歸。</text>
<title>過訪權省吾 詹。草堂瀟灑。黃菊滿庭。</title>,<text>槿籬短處柴門靜。秋日低時落葉紛。鶴氅主人迎我笑。一庭黃菊照甖樽。</text>
<title>次壬子丙辰榜會韻</title>,<text>白蓮生在水中央。共折年來會一堂。昔日恩門今地主。瓊琚錯落獻酬場。時府伯以恩門。寵惠一絶。諸上舍次韻以呈。</text>
<title>屛山獨起 二首</title>,<text>水邊寂寞黃金院。竹下平鋪白玉沙。朝日照來開戶牖。儒宮還訝太繁華。階前黃菊爛開高齋獨卧三竿日。長簟閒拋萬卷書。黃菊淡香凝盞面。碧山寒影入囪虛。</text>
<title>用前韻。贈示權士遇 行可。</title>,<text>高峰却略騰如鳳。微逕盤回曲似蛇。醉中獨覺風情熟。黃菊佳時五揷花。</text>
<title>歸晩</title>,<text>紅葉堆邊白板扉。親朋寂寂自相稀。寒花只欲酬知己。保得殘香待我歸。</text>
<title>醉題文秀才仲彬新軒</title>,<text>偶從山寺到山村。小屋新成萬竹前。場圃築時香稻酒。不辭留待夕陽天。</text>
<title>丁巳至日。醉贈李玉爾 珍 諸君。</title>,<text>去年海縣今豐縣。冬至年年不在家。明年此日知何處。道路往來添鬢華。</text>
<title>屛山雨夜。書懷寄豐山諸友。二首</title>,<text>山靜江空雲欲纖。囱扉不語覺風恬。箇中別有驚眠處。夜雨寒聲滴畫簷。三日頑雲不肯晴。閉門終日獨多情。可憐燈下思君夢。驚罷囱前夜雨聲。</text>
<title>風</title>,<text>衝風發發太無端。人卧高齋亦不安。爲報舟兒須繫纜。滿江波浪最艱難。</text>
<title>四言三章。奉呈城主行軒。</title>,<text>維南有松。維北有菊。我覯之子。溫其如玉。我侯戾止。五馬朱旛。盤中何有。瓠葉幡幡。水之淸矣。魚之樂矣。豈弟君子。民之攸託。</text>
<title>宿亡友高上舍以龍故宅。感寄其兄彥龍。</title>,<text>秋雨荒茅屋。靑山出樹巓。疎籬通虎跡。古壁畫蝸涎。單僕官來捉。孤嫠夜不眠。悲歌摠隣友。淚落暗燈前。</text>
<title>寄贈辛書狀子方</title>,<text>燕山送別贈詩難。芻狗陳言不足看。還往載罹寒暑節。一言惟祝愼征鞍。</text>
<title>上元日。許上舍宅。飮酒待月。</title>,<text>歲月籃輿穩。江湖盞斝深。谷風舒柳色。壑雪冷松陰。父老分高坐。氷輪輾上岑。課詩今亦懶。此地得閒吟。</text>
<title>玉成院。次李校理叔平韻。</title>,<text>吾儕幸無事。到處卽江湖。遠峀啣殘日。危橋入畫圖。雪囱飛萬玉。樽酒對雙珠。此地隣相近。方知德不孤。原韻洛中相會處。風雪滿東湖。人傑天鍾秀。溪山地展圖。片心懸古鑑。佳句綴明珠。江山過從約。幽棲免得孤。</text>
<title>尋大穴寺</title>,<text>竹岸層層碧。靑山日已舂。孤村隣大穴。細路入長松。冬雪留深壑。春煙羃晩峰。閒僧迎我笑。不作避人容。</text>
<title>春日江郊卽事</title>,<text>船空春纜沒。古渡傍巖臺。畬火臨江斷。商煙過水來。山寒峰雪在。坡暖野梅開。官酒風吹醒。何妨帶月回。</text>
<title>陪舍兄遊松林</title>,<text>步出松林晩。淸江小艇橫。携壺雙並馬。密席穩飛觥。柳暗沙灘急。莎齊野日明。後期須莫負。包飯早相迎。</text>
<title>雨中訪李玉汝新亭</title>,<text>蕭條小籬落。一逕入雲斜。晩谷鸎聲合。橫塘雨點多。凉風供軟語。醉興促淸歌。幽絶憐新卜。從今步屧過。</text>
<title>用前韻酬李汝器</title>,<text>磵水依巖落。松門傍岸斜。鶴盤天見小。蛙鼓夜聞多。挽袂留佳客。移筵聽好歌。田家摠眞率。逐日杖藜過。</text>
<title>螢</title>,<text>林間積雨霽。八月散流螢。故故飛還止。微微暗復明。經花乘月弄。穿幔受風輕。獨坐愁看汝。淸宵欲二更。</text>
<title>次李仲明 燦 韻。贈洪監察叔京 鎬。</title>,<text>東去潘輿穩。艱虞逐子遷。逢君多苦語。爲我作芳隣。暮雨沾行色。寒花夾水邊。從今頻杖策。不羡舊雷陳。</text>
<title>桃李寺示同遊諸君</title>,<text>桃李千年寺。乾坤望眼中。翻身倚牛斗。浩氣貫鴻濛。象外三淸近。人間萬念空。仇池疑此地。小有忽潛通。</text>
<title>許汝沃席上</title>,<text>冬暉陰昜夕。遠客醉還留。細膾銀絲淨。香醪綠蟻浮。籬疎鳥欲宿。路險馬添蒭。酒盡吾當發。誰家月滿樓。</text>
<title>訪文仲彬新軒</title>,<text>駈馬平林外。飄然一禿翁。人生長擾擾。世路本悤悤。歲月悲歌裏。乾坤醉眼中。夜長須秉燭。此樂定無窮。</text>
<title>江院雪霽夜坐</title>,<text>雪渚風初急。霜空鴈自呼。四更山吐月。千丈水啣珠。霽色連天地。奇觀展畫圖。此時無一夢。覓杖步庭隅。</text>
<title>次月潭軒韻</title>,<text>佳山兼好水。明鏡與蒼屛。地僻人無到。樽開月欲生。鶴盤孤嶼遠。龍出曉雲醒。料計人間事。無如谷口耕。</text>
<title>次孫慕堂韻贈徐立之</title>,<text>爲子職當孝。此事人所敦。耕田養老母。臨水架小軒。慙吾淹五斗。嗟子久離羣。獨全太古意。此意與誰言。</text>
<title>曉起望遠</title>,<text>茅簷出疎樹。斷岸堂前橫。梳頭岸輕幘。雲斂靑山明。野廣稻粱熟。池深風露淸。誰言秋意悲。聊適閒居情。</text>
<title>李士直病起。與金藎甫同訪飮酒。</title>,<text>杖藜踰陵崗。有友相隨之。病翁擁弊裘。見我出寒籬。一犬吠斜陽。殘雪掛山眉。數杯暖如春。談笑自移時。</text>
<title>觀氷漁</title>,<text>新氷若虛空。漁人走鳴竹。魚龍夜甘眠。避匿氷下石。履薄胡不畏。一落千丈碧。愼勿食貪魚。恐汝爲魚食。</text>
<title>次崔季升天問韻</title>,<text>巍巍上帝臨。覆幬下土氓。一介蟣蝨臣。於理不自明。願天明告我。决我狐疑生。灔澦何太險。蜀道何不平。鵂梟胡晝伏。魑魅胡夜行。周公避流言。恐懼鴟鴞鳴。孔聖手無柯。回首龜崢嶸。嘉穀養不茂。蒺藜鋤復萌。麒麟不恒有。虎豹常縱橫。白日未云暮。狂雷胡自轟。惡木多結子。好花無繁英。顔淵壽不長。伯牛疾早嬰。驥馬常不飽。中路霜蹄傾。牛耕實倉廩。揮尾難除蝱。贒邪每倒置。或卿而或烹。欲去無以別。欲褒無以㫌。天高卽聽卑。再拜問其情。</text>
<title>次天答韻</title>,<text>天曰我何言。待汝方自覺。太極亦我母。實自主槖鑰。流行賦萬物。巨細固紛錯。有往必有來。有闔必有闢。我之有寒暑。如爾有呼吸。我之有盈虛。如爾有伸屈。二氣生五行。生之又有克。我道貴自然。爾胡遽嘆息。惡死物皆然。牛羊何可擇。生理本我心。自生不待植。無牙與之角。兩足傅之翼。於何獨有餘。於何獨不足。但我健不息。惡能自暇逸。衆子有善惡。父母無厚薄。萬古亦猶今。千世亦猶昨。爲善汝勇往。誰能汝肘掣。善者比麟鳳。惡者比虺蜴。仁者必有榮。不仁反遭辱。惡者喪其性。善者修其則。善惡自有報。不必論久速。聖人與我大。汝勿窺井窄。</text>
<title>梅柳吟</title>,<text>梅花獨盈盈。柳葉何靑靑。柳發堤上色。梅動山中馨。山中人不到。顚倒蒼苔英。堤上人往來。手弄枝輕盈。梅枝有佳實。能調殷鼎羹。柳枝摧爲薪。誰道春光榮。</text>
<title>陪舍兄遊松林。遇雨卽還。</title>,<text>望彼松林中。日午佳可遊。騎馬徑渡水。徐徐踏沙洲。僮鎌剔榛蕪。馬韉隨草柔。隔江呼所親。送目朘江頭。欹坐軟語美。舒脚方安休。黑雲東南來。四面山雨周。衣沾足非惜。老骨寒可憂。不待動歸橈。朋散不得留。我心殊未諧。好事良悠悠。安得捉雨師。幷與風伯囚。眼見快晴日。携酒樂散愁。</text>
<title>古意</title>,<text>團團荷葉露。一傾瀉淸池。一瀉又一瀉。終朝無絶期。有風葉自動。無風葉自持。荷葉雖昜傾。露團無風時。此露眞可憐。莫使狂風吹。露團若弄珠。一瀉寧復思。莫作荷上露。値風空自危。</text>
<title>秋夕</title>,<text>今日秋之中。俗節作秋夕。是時百嘉成。凉風動林陌。田家筋力竭。逮此始休息。所以樂人意。家家釀黍粟。邱墳剔草木。子孫奠盞爵。歸來醉橫道。黃昏踏月色。但憂夜未晨。里胥臨門促。沙田新木綿。未及供徭役。緬思羅代風。頗似豳岐俗。宮坊相與樂。各自勤麻績。會蘓有遺曲。千年想淳朴。</text>
<title>大雪</title>,<text>大雪擁茅屋。中有獨卧客。缸中無宿舂。弊箒掃寒石。井路沒一膝。赤脚憚傾側。乞火要煖身。尋煙遣僮僕。恨無寄詩人。蹋作瓊瑤跡。</text>
<title>嶺南樓</title>,<text>歸雲拖雨渡江天。銀竹橫斜忽滿前。何處亂峰晴靄外。幾村煙火夕陽邊。英豪袞袞空遺躅。佳會悤悤似散煙。鄕思晩來禁不得。夜深愁坐月侵筵。</text>
<title>寄題金兵使 太虛 溥淵亭</title>,<text>萬鞘千刀百戰身。歸來晝錦耀鄕隣。淵泉有本源流活。風月無邊卜築新。馬瘦不知金紫貴。官高猶似布衣貧。憑欄日日觀魚樂。政在桃花細雨春。</text>
<title>雪中逢里中人。問家安否。</title>,<text>屈指離家已浹旬。歸來喜見故鄕人。今宵應入家兒夢。一路難堪驛吏嗔。但抱迂愚愁濩落。敢將身世歎竆貧。龜山之下一區宅。歲晩聊堪庇此身。</text>
<title>苦雨</title>,<text>如繩如竹復如麻。三日相連五日斜。漠漠高天應有漏。滔滔平地遂成河。初聞野外禾生角。還怪園中麥作蛾。當此中秋好明月。暗牕如漆奈愁何。</text>
<title>近民堂</title>,<text>民樂民憂摠不知。惟知吏退卧茅茨。樽前綠綺呈新譜。軒外靑山展畫眉。春磵鳥鳴花落水。酒村人去月臨旗。近民堂上無餘事。只願年豐穀熟時。</text>
<title>次李叔平韻。送任著作茂叔 叔英 歸京。</title>,<text>驀地春風動客心。強驅羸馬此來尋。孤村宿鳥投深樹。薄暮啼鴉集遠林。鞰櫝不妨藏美玉。解裝休歎盡黃金。崎嶇獨犯千重石。回首雲天望日沉。</text>
<title>怡老窩曉起書牕</title>,<text>手鞭羸馬到林邱。小閣凉生客自留。江色半明山遠倒。沙光全洗雨初收。樹含鄧子蒼崖曉。節近蘓仙赤壁秋。谷口幽棲君始得。高原耕處鹿呦呦。</text>
<title>喜晴</title>,<text>金烏雲峀欝沉沉。不見浮空碧玉篸。千樹雨聲朝後霽。一溪沙水夜來深。簷前甘菊繞秋色。軒外長松落暮陰。獨把短筇經石岸。稍回雙眼看楓林。</text>
<title>雪霽朝起</title>,<text>燈暈初生曙色闌。湖山早起拓牕看。深依密藻魚眠冷。獨立高松鶴脛寒。微逕繞山縈縞帶。長橋過岸截銀灘。可憐白髮龍鐘客。忍凍孤吟日未團。</text>
<title>到甘文憶舊</title>,<text>行盡沙汀日色舒。朝煙散處見人居。弟來白髮千莖後。兄卧靑山十載餘。梧葉半零埋舊砌。竹籬初揷護新廬。雪泥鴻迹憑誰問。只有官僮認老余。</text>
<title>題栢潭精舍</title>,<text>梨花初落雨蕭蕭。山下孤村已寂寥。古書經蠧誰能帙。老木參天半已喬。羊馬草深春欲暮。龜龍苔惹雪微消。西州一掬羊曇淚。獨向東風過斷橋。</text>
<title>和李叔平</title>,<text>蕭條籬落斷將迎。詩到郊扉慰我情。夢逐歸雲過竹嶺。身隨明月卧松榮。朝昏世態風飄絮。南北生涯雨打萍。太守看山看水處。如今白髮幾莖明。時叔平守丹丘</text>
<title>刈麥</title>,<text>大雨如繩天正黑。老牛觳觳僵不立。缾囊俱倒可奈何。穉子凄凉老妻慽。隣家稱貸不可數。敎奴往刈前田麥。肩頳擔來送半日。欲黃未黃三四束。菌屋蛙竈煙不起。赤脚揮泣生薪濕。君不見江南道上橫白骨。餘生獨及食新日。</text>
<title>別呂秀才 姬佐</title>,<text>呂君玉雪殊可念。古詩千篇應口誦。朝來不厭坐寒廳。眉宇晶熒照茅棟。陰雲漠漠雪欲落。風急林搖溪色動。悤悤告別欲捨我。把袂不忍柴門送。年來萬事入危涕。欲說此懷誰與共。君歸勿唾此山地。此山明月堪相弄。</text>
<title>春陰</title>,<text>春陰春陰復春陰。春陰寂寂春木深。春愁幷與春睡來。一間茅屋還沉沉。籜冠藜杖與芒鞋。與君直上金烏岑。嗚呼烏峀遠與首陽齊。淸風萬古令人欽。</text>
<title>鷄畏鳶 三五七言</title>,<text>鷄畏鳶。鳶飛方戾天。雛奔母自鳴。衆鷄亦竦然。庭中猫過不知避。不知大畏當其前。徒知遠畏不畏近。猫之可畏難比鳶。嗚呼世間所忽禍自生。人自不知尤可憐。</text>
<title>登岡上 戊午</title>,<text>山出秋雲外。江流落木邊。人生無定處。萬事任蒼天。</text>
<title>次李吉夫韻</title>,<text>松下凉風生。醉中胷次平。勿論倘來爵。莫要身後名。</text>
<title>空村</title>,<text>布穀催春種。提壺勸客嘗。空村花自落。垂柳掛夕陽。</text>
<title>三月八日偶吟</title>,<text>江雲薄薄雨霏霏。半落桃花濕不飛。客裏不知春欲暮。故山芳草夢先歸。</text>
<title>對張旅軒德晦咏春雪</title>,<text>華山飛雪渡江來。吹入湖堂送客杯。造物應知太早計。故將春色着雙梅。</text>
<title>北牕睡起</title>,<text>樹葉瓏瓏蔽草廬。山光隱隱映圖書。北牕日午凉風過。萬壑松聲聽睡餘。</text>
<title>江村雨中</title>,<text>江煙漠漠渡頭迷。沙淨船空水拍堤。碧樹掩門人不見。黃鸝一箇雨中啼。</text>
<title>崔重吉借看丹經。因寄一絶奉次。</title>,<text>乾坤鼎器大丹融。火候工夫次第通。生順死安吾有受。不知世有呂仙翁。</text>
<title>對孔景煕醉中用四問格。寄野城諸君。</title>,<text>烏山秋色正如何。秋酒香濃有幾家。堤上故人安穩未。何人乘月弄淸波。</text>
<title>征婦怨</title>,<text>霜滿南天聽鴈飛。想今沙磧雪霏霏。寒衣欲擣憑誰寄。明月三更獨掩扉。</text>
<title>次孝思亭韻 二首</title>,<text>松槐陰下大街頭。碑載芳名永世休。遂使前贒爭歎美。佳詩溪咏摠傳留。右孝思亭。乃朴公英美舊居。四佳徐公，退溪先生皆有題詠。回枝屈鐵縮龍頭。匹馬西風向此休。是物曾經吾祖手。淸陰無改至今留。右蟠松朴公之孫諱謹孫。卽李公諱禎之婿也。李公宰善山時。手植老松五盆。及歸贈其婿種地。葱蒨下可坐數十人。李公於某爲外五代祖。故下二句及之。</text>
<title>獨坐捫蝨。朝陽可愛。戲書。</title>,<text>鷄皮搔處粉如霜。蟣蝨偏尋敗絮藏。百結自甘吾本分。負暄惟幸有朝陽。</text>
<title>臘梅</title>,<text>悠悠殘歲堂堂去。忽忽新春鼎鼎來。人老堂堂鼎鼎裏。菊花開後有梅花。</text>
<title>聞鰲城李相國訃。拭淚而作。</title>,<text>公不少留我涕滂。帝心何遽遣巫陽。令威莫恨歸無日。長見魂棲日月傍。</text>
<title>贈李光仲 享</title>,<text>春風淡淡雨微微。湖上相逢舊布衣。歸去莫愁林路黑。淸歌一曲逗殘暉。</text>
<title>喜洪叔京權省吾偕至。書卽事以呈。</title>,<text>爲尋衿佩叩巖扃。雪盡松林一院淸。夜汲氷江炊客飯。水雲迷處火孤明。</text>
<title>和贈黃混元 有一</title>,<text>遮日長安漫走勞。西風一笑到江湖。相逢拙語何須着。把筆空慙一句無。</text>
<title>集句</title>,<text>正是江南穀雨時。桃花初動鱖魚肥。而靜。 况今情友萍逢處。養仲。 雨不關人客不歸。宜之。</text>
<title>悼金智叔 得龜</title>,<text>一自聞君死。吾懷不自寬。祖先時享絶。墳墓白楊殘。上舍人間號。修文地下官。他年風雨夕。無復過蘓端。</text>
<title>送申禮安順甫 之悌 滿苽歸鄕</title>,<text>六載宣城守。憂時白髮長。山河空戰伐。道路幾風霜。古壁殘燈暗。離亭去袖忙。故園歸計好。永不負茅堂。</text>
<title>從使相向熊川。示河提督。</title>,<text>海國巡遊壯。秋風鼓角稠。雲開三島出。天濶一帆浮。砲坼龍應慴。詩成鬼亦愁。長風吹月上。欲爲使華留。</text>
<title>端陽日。偶書排悶。四首</title>,<text>殘郵徒自苦。白髮滿頭生。海雨連朝暗。邊烽入夜明。行行逢戰骨。處處見荒城。揮淚又揮劒。皇天知我情。客愁連不斷。如草雨中生。飮酒無前量。看書有舊明。雲山蔽鄕國。花柳滿江城。惆悵不歸去。故園空有情。世味吾嘗了。酸漿滿頰生。獨吟孤舘夜。寒照一燈明。有懷駈筆陣。無酒破愁城。明日又明日。悠悠覊客情。落落悲前計。悠悠笑此生。移床依竹影。褰箔愛山明。歸夢迷鄕路。愁雲羃海城。故人書忽至。字字慰幽情。</text>
<title>德雨軸。次李月沙韻。</title>,<text>萬疊招提境。千章夏木間。疎鐘穿月壑。淸梵動雲山。中酒客將卧。讀經僧未閒。東林誰送我。須過虎溪還。</text>
<title>詠竹</title>,<text>舍北娟娟竹。籬東箇箇長。幷抽爭隙地。故欲近虛堂。巧蔽朝曦熱。新添夕枕凉。主人勤剔意。聊復慰枯傷。</text>
<title>次柳進士 碩 韻奉地主</title>,<text>錦樹紅人面。藍江淨客心。堂高天遠大。竹密岸淸深。地主傾金盞。郞君動玉音。醉來多浩氣。直欲上烏岑。</text>
<title>送高使君 用厚 南歸</title>,<text>値此艱虞日。應須濟世才。人情輕擺絮。世事劇浮埃。天馬行能遠。全牛刃自恢。離尊從淡泊。野水入金杯。</text>
<title>晨坐書懷。示同來諸益。</title>,<text>江月曉仍在。滿空霜露淸。寒沙驚鴈陣。孤店送雞聲。歷落男兒志。凄凉歲暮情。靑燈眞耐久。伴我到天明。</text>
<title>謹奉同志諸君 西厓先生文集編次卒業。南軒所謂閒中成就此事殆天意云者非耶。謹奉同志諸君。</title>,<text>夫子生南紀。山河間氣全。聖言眞體驗。道學繼心傳。正大經綸日。危亡殄瘁年。想應千載後。和淚撿遺編。</text>
<title>散步</title>,<text>幽人睡初起。散步淸晝風。靑山欲傍屋。玉篸抽高空。君看邱壑人。由來盡英䧺。丈夫本堂堂。何事憂忡忡。黃鵠獨高飛。定應無滯胷。欲招廣成子。棲息蓬萊宮。平生度世願。高卧羣仙中。</text>
<title>排悶 幷序</title>,<text>小堂仰對高山。俯臨平野。朝看暮行。山野之趣。悠然自得。今歲頗豐。可以具饘粥卒歲。比來消息可懼。投身無地。雖有粟。吾得以食諸。列邑守宰乘時貪縱尤無狀。若使元道州見之。不啻作賊退篇也。憤悶之作。率爾無倫。然拙語代史。譏刺備焉。庶幾俟觀風者採焉云。羣峰立淸曉。秀色當囱前。雨後秋景好。野外饒雲煙。樹林高蓊蓊。沙水平濺濺。茅屋愜幽望。十里俯原田。今年幸小豐。可具粥與饘。但聞點行苦。妻孥攔道牽。狂虜犯天朝。帝怒方赫然。小邦賴帝力。豈辜皇上恩。虜書雖恐喝。不計亡與存。東南素淳厚。玆地爲本根。晉陽以爲歸。國君終賴焉。守土當如何。得民乃爲先。雖在蒼黃際。鎭定心自堅。邇來賦斂急。十室九逃遷。如何賊未至。紅衣常擁前。乘醉恣鞭朴。殘民肌不完。老父洗其肉。哭徹雲霄間。軍行點征馬。此時貪吏緣。駑駘換駿馬。市賣收木綿。昔聞北防河。征人皆少年。百金粧刀頭。千金買馬鞭。而今雜老弱。羸馬僵且顚。吾聞道路說。無乃皆謊傳。太平竟何時。吾生眞可憐。負杖獨行野。鸛鶴高飛天。歸來守空床。撫枕恒未眠。呼燈具紙筆。灑淚成長篇。</text>
<title>小軒獨酌</title>,<text>西風動林壑。雲散宿雨霽。客心喜淸凉。鳴蟬亦嘒嘒。白日照幽堂。獨坐臨庭際。矯首縱遐觀。靑山絶纖翳。有酒獨飮時。無客柴門閉。園果梨棗熟。盤菜菁芹脆。田家自足樂。慵懶謝時世。</text>
<title>秋日田家</title>,<text>山晩暮雲流。林高秋日薄。時時出邱壑。倚杖立幽獨。護雞防狐狸。惜禾剪荊棘。缾罄畏來人。酒熟恨無客。爲報同心人。莫遣塵生席。</text>
<title>貧窶行</title>,<text>自苦乃如此。人生能幾何。求官鬼捓揄。結交金不多。飢馬繩斷絶。夜半喫黃花。羸牛卧不起。日漸骨嵯峨。一僕走無故。一僕病未差。赤脚踵流血。涕淚相交加。霜風撼囪戶。夜卧衾半斜。妾憂衣裳薄。龜手親繅車。昨日吏胥至。閭里喧于街。官書三度印。莫非驚家家。山城半天上。轉粟傷人和。橋成脛如斮。竪木搖寒波。聖人用逸道。雖使民無嗟。邇來十年間。竆谷聞呼邪。民財豈如土。民穀豈如沙。朱門厭酒肉。富商輕綺羅。寒女不下機。一褌無掩遮。雖有贒哲人。世亂難自姱。時運苟如此。浩浩吾當歌。</text>
<title>大風</title>,<text>大風終夕起。悄悄在寒房。體疲睡自來。愁多意未揚。推枕一徘徊。小囪明夕陽。可憐夙昔志。歲暮徒自傷。有酒豈不飮。慷慨掩淸觴。向來淚長流。緬懷在虞唐。</text>
<title>井水</title>,<text>井水雖千尋。千尋猶可汲。人心雖一寸。一寸難可測。淸氷委泥塵。一洗還淸潔。惡鐵經大冶。千磨終缺折。</text>
<title>崔伯玉家。與李士直，崔重吉。月下飮。</title>,<text>明月澹深夜。霜花凝樹枝。寒梅動春意。小竹風颸颸。獨行方屢休。杖藜循曲籬。同來二三人。所親要心知。暖室窄如船。接膝談笑怡。曩日念久離。對酒辭何爲。寒僕執馬鞚。怪我歸何遲。所謂貴仁里。不須論是非。日日恒如此。玆賞願無違。</text>
<title>龜城次金孝仲 榮祖 韻。贈朴仲植 檜茂。</title>,<text>江湖落魄久離羣。一馬雙僮獨訪君。小竹風淸霜後在。古梅香動月中聞。夕陽樽酒深如海。浮世人情薄似雲。少小垂髫放狂地。如今重到雪紛紛。</text>
<title>廣興寺。次壬癸甲會韻。</title>,<text>生年壬癸甲環翁。却恨居西又在東。相見絶稀悲白髮。共謀佳會看紅楓。醉頭搖動簪花影。落日翻回舞袖風。長願健如今日事。百年都付醉醒中。</text>
<title>三龜亭。奉呈壬癸稧會座下。</title>,<text>壬癸稧會三龜亭。正當四月時雨晴。兄幾七十踰康寧。弟今白髮森千莖。弟於今日難爲情。子孫世世願莫隳家聲。請妓急彈樽前箏。</text>
<title>栗里田園晉舊墟</title>,<text>陶處士吉注書。栗里烏山餘舊墟。生異時地相遠。萬古淸風吹我裾。典午山河無尺地。草中寄奴誰得鋤。白日昭昭照田園。歲暮蒼蒼松竹疎。甲子書從義煕年。消憂長物琴和書。柴門雖設晝常關。黃花籬下聊躕躇。羲皇身世北囱前。晉代遺民悲獨餘。平陸成江八表昏。獨立東臯長嘯舒。君不見首陽孤竹子。崒乎泰山難高於。當年八百不期會。故山薇蕨吾甘茹。生逢聖代周日月。首陽之下潯陽廬。千年三逕沒蒼苔。滿山蘿月今何如。</text>
