<title>香山寺。與李淸潭 希得 相和。丁酉秋。倭寇逼京。兩殿影幀奉安于香山。公時爲內翰。與判書李公陪往。留五日。各體雜詠。</title>,<text>匹馬西來日。危樓北望時。溪山饒勝賞。觸目不堪悲。</text>
<title>遙挽白沙李相公 恒福</title>,<text>一字扶綱紀。孤征出朔陲。蘭焚蕙歎日。玉碎瓦全時。地下朝先主。人間隔舊知。從今廊廟上。誰復作蓍龜。</text>
<title>送別都事李 應蓂</title>,<text>同行三十日。歷盡五千程。不啻心肝照。何殊骨肉情。夢魂天北極。身世海南城。別後門長掩。音容隔此生。</text>
<title>讀高霽峰集有感</title>,<text>翰墨登壇日。風塵擊楫時。江南惟管氏。河內少男兒。大義千匀重。孤忠一劒知。高山空景仰。垂淚讀遺詩。</text>
<title>偶吟</title>,<text>我客三閭謫。家爲太史居。遭時雖各異。所處偶相如。遠去嗟無夢。移來喜有書。雖然宜保重。莫遣外人詛。</text>
<title>送沈秀才 光洙</title>,<text>江府曾同客。心期託後生。經年纔會面。千里復離情。朔漠風塵暗。中原日月明。重逢何處在。歸夢洛東城。</text>
<title>丁酉六月卄八日。受暇在鄕。以翰苑無餘員。有召旨。翌日。以移除侍講院說書。又有召旨。不勝感惶。謹書一律。</title>,<text>淸時名宦逮無能。翰苑春坊取次昇。鳳詔昨催鸞掖直。鶴書今催講筵登。九天雨露偏濡霑。千載風雲更翥騰。不是便忘鷗鷺約。受恩那得負三徵。</text>
<title>禁直寄舍弟</title>,<text>昨夜春光入省廬。海山消息問何如。梅花應發前年樹。筇竹誰尋舊釣魚。遊子歸心無日夜。故鄕覊夢幾盈虛。白頭無限江南意。怊悵東風倚石渠。</text>
<title>順川郡舘</title>,<text>倦客西來厭寂寥。故城空舘暫逍遙。地連慈順民皆愿。吏是循良巷有謠。層嶂日斜松影轉。小庭秋盡草花凋。明朝更向寧營去。病葉鷹風獨渡橋。</text>
<title>九日到寧邊。書示舍弟從事時中。</title>,<text>郡邑層臺倚北林。九秋佳節獨登臨。江山勝槩渾如古。嶺海干戈動至今。落日玄猿異域聽。西風黃菊故園心。無人送酒空垂涕。幾點淸霜白滿簪。</text>
<title>香山。與李淸潭。題文鶴寺壁。</title>,<text>雲邊秀出玉芙蓉。更欲尋眞倚短筇。上界雨花飄法殿。西林霜葉掩仙蹤。閑僧洸藥歸幽澗。倦鶴知棲宿古松。終日步虛人不識。石門斜照又踈鍾。</text>
<title>奉步左相金斗巖 應南，領府事李鵝溪 山海 兩相韻。贈松雲惟政還山。</title>,<text>夢入神京仗義兵。九重恩詔有新榮。孤燈蘭若離禪侶。一劒轅門試虜情。銅柱風霜留雋勒。金城草木識威名。歸來萬二千峯臥。處處巖崖夕照明。</text>
<title>戲贈許若虛 實</title>,<text>文君去後病相如。破屋蕭條四壁虛。多渴不關千日酒。伴閒惟有五車書。呼兒煑茗烟初暖。避客封扉雪不除。匣劒龍鳴無處試。壯魂中夜出狼居。</text>
<title>次鄭老</title>,<text>半歲鑾坡忝從臣。告休今作弄雛人。未還褚笏緣明主。不絶溫裾爲老親。在直幾多懷鶴髮。歸家又切戀楓辰。一生忠孝誰輕重。進退眞難辦此身。</text>
<title>書漢江勝遊契簇</title>,<text>僚筵隣省共休衙。江漢題襟倚半酡。柳市烟深春意老。海門潮滿夕陽多。行人欲盡淸溪路。漁舶偏輕白鳥波。暇日登臨多勝事。新亭不是歎山河。</text>
<title>贈唐將金千摠 承祖</title>,<text>曾隨玉節下蠶叢。掃盡波夷指顧中。家在海門多早鴈。客遊江國聽秋蛩。金風肅殺兵塵霽。錦地氤氳覇氣通。飛將明朝歌凱奏。龍顔應解定天東。</text>
<title>壬辰四將詞 四首。一首佚。</title>,<text>鐵嶺逶迤漢水流。元戎曾此運神籌。騎驢故國悲韓相。把酒新亭泣楚囚。久避風塵歸滓澤。忽驚鳴鏑散豼貅。凄凉事業無人問。一掬新阡蔓草秋。少年飛將擅吾東。北虜東夷咳唾中。趙括易言忘母訓。李陵輕敵墜家風。㐫鋒未接金聲亂。天塹無憑殺氣紅。畢竟中原泉下死。愧將顔面覲行宮。倡義湖州不顧家。精忠深被聖心嘉。提兵縱是丹衷激。節制其如白面何。江上舊營灰燼滿。山中新葬劒芒加。英靈千古留遺恨。輕信都人作爪牙。</text>
<title>述懷</title>,<text>天兵日夕掃蠻戎。極目腥塵霽海東。鄕夢每回芳草雨。歸心不禁落花風。雲連秦樹家山近。馬入吳門客路通。千里東城今半至。幾時庭畔弟兄同。</text>
<title>挽高苔軒</title>,<text>白頭儒將仗深忠。首起勤王凈海東。諸葛呑吳遺恨在。張廵飮血壯心空。生平未遇君臣契。死節還甘父子同。千古綱常留草檄。至今牙熲滿淸風。</text>
<title>亂後城邑有感</title>,<text>亂餘京邑問無依。去歲西廵有是非。水落關河龍久避。月明遼海鶴初歸。荊榛滿市銅駝臥。苜蓿連江鐵馬肥。怊悵獨廻秋草色。不堪橋巷語烏衣。</text>
<title>延安村舍偶吟</title>,<text>二年湖海尙風塵。千里來遊尙苦辛。西塞雲山無驛使。東風芳草未歸人。荒村客久衣裘弊。故國春殘夢寐頻。怊悵行裝鞍馬上。幾時重到廣陵津。</text>
<title>題永川郡樓</title>,<text>李白曾經白鷺洲。臺傾鳳斷幾千秋。三山二水猶今古。片月浮雲自去留。瑞翼不來梧已老。德輝何遠竹空脩。公庭吏退無人問。風捲珠簾上玉鉤。</text>
<title>題竹州山城</title>,<text>承綸來築古城荒。爲是南憂與北防。百里桑麻民業廢。五更歌皷客心長。重關縱似秦山險。千石殊非漢吏良。賴有相公治理效。棠陰處處頌專方。</text>
<title>有人以熊天使 化 韻示之。仍步之。</title>,<text>仙曹地分接篷萊。東閣昌辰待早開。匝地烟花三月後。迷街簫皷九霄來。銀槎泛處光浮海。玉節停時月滿臺。此日叨陪無限意。逢塲那不勸深杯。</text>
<title>夢中與人戲謔。覺後因記其韻。</title>,<text>宦遊江海屬昇平。暇日高亭勝宴呈。幕府方收三語掾。詩壇又取五言城。華筵不厭携佳妓。殘燭何妨失老兵。烟月暖風歸興緩。紫桐花下七絃聲。</text>
<title>次府伯仁風棲韻</title>,<text>萬里來登百尺樓。平臨疊巘俯淸流。白鷗初下渚沙靜。黃鶴已飛欄檻幽。日暮凉風吹別浦。夜深明月滿孤舟。沉吟倚柱不歸去。一曲棹歌生遠愁。</text>
<title>次老杜</title>,<text>城外荒祠晩獨尋。空庭翠竹雨蕭森。草廬已感慇懃顧。玉几何忘托付音。只有虞淵擎日計。更無樊壠臥雲心。徘徊遠起千年恨。淚向西風自滿襟。</text>
<title>偶占</title>,<text>休將世事問窮通。物態人情自不同。鵬鳥元非仇賈子。鰐魚終是畏韓公。西關愁恨三秋月。北極歸心五夜風。聞道天王降綸綍。陽春不日及殘躬。</text>
<title>遙寄朴江東 尙賢</title>,<text>山雲人事兩悠悠。幾處沈來幾處浮。萬里還家在何日。經年爲客又逢秋。病踈竹葉紅凋面。老㥘菱花白滿頭。遙羡故人江海上。綠簑烟雨對沙鷗。</text>
<title>次崔御史 晛 受降亭韻 亭在滿浦</title>,<text>諫議中州第一流。詩因憂國不緣愁。天分南北江爲界。地近崑崙玉作樓。萬里關防多壯固。百年形勝獨來遊。長纓已切終軍請。投筆何須定遠求。</text>
<title>又次仁風樓韻</title>,<text>異域山河萬死餘。回頭世事已知虛。衣纔掩脛容蟣蝨。病久拋書長蠧魚。月角凌宵驚韃靼。霜鍾帶節動荊舒。行臺不負陽臨賀。遠屈星軺問謫居。</text>
<title>送學者金卿月歸家</title>,<text>摳衣不憚學三餘。負笈西遊問謫居。以我猶爲一日長。逢君勝讀十年書。隣燈透壁探墳典。庭雪明窓辨魯魚。秋晩塞垣歸意動。亂山紅樹獨驅驢。</text>
<title>偶題</title>,<text>淸朝胏石少稱寃。日月宜無照覆盆。神鬼森羅心可質。瞻聆昭布迹猶存。閉門讀易身長健。對客低頭語豈煩。不有此行那悔悟。長沙千里亦天恩。</text>
<title>送昌運南歸</title>,<text>兩年三度鬼門行。歧路中情自不平。何處覔村投宿客。幾人如汝作孤征。關霜滿峽歸衣重。塞日低山去馬輕。聞道歲荒多冦盜。貪程莫趁早鷄聲。</text>
<title>次劉禹錫韻</title>,<text>枳殼林深一逕斜。江南漁戶兩三家。春風已綠王孫草。暮雨初紅杜宇花。萬里思家心更苦。經年爲客夢還賖。何爲當生入關門內。老向仙山啜紫霞。</text>
<title>赦後</title>,<text>西極來傳萬里書。德音四度網羅除。虞淵日落崇文祖。少海春生建漢儲。地以天成升翟壺。親因子貴位翬車。臣民海內爭歡忭。掩泣惟餘涸轍魚。光海庚戌。祔宣祖于太廟。冊妃封世子。追崇所生母爲成陵。</text>
<title>送別趙主府公直 廷堅 官滿還朝 三首</title>,<text>琴鶴行裝已滿官。秋風歸計繞金鑾。三年戀國千莖白。萬里思君一片丹。交道肯因風雨變。離情難借酒盃寬。知君今日西歸意。不獨孤臣拭目看。當筵莫唱送將歸。摻手難堪悵失依。情似原鴒常急難。身同遼鶴幾歎非。關河曉月催歸騎。朔漠秋燈泣畫衣。別後如君何處遇。風塵知己古來稀。西門鎖鑰待全材。頗牧曾從禁裏來。手捷八叉溫子筆。胷藏萬甲范公才。絃歌自是治蒲也。板築先爲保障哉。官滿一朝經遠別。籠中覊鳥首空擡。</text>
<title>次陳後山韻</title>,<text>澤畔孤臣製芰衣。白頭長歎與時違。朝中若使無通塞。天下何曾有是非。明月滿來還自缺。好花開盡旋成稀。古今造物猶如此。况復人心有事機。</text>
<title>庚戌冬極寒。徹夜凍縮。朝來東窓。炙背解寒。爲之有感。</title>,<text>明時嚴譴重丘山。栫棘蝸廬膝不安。家在夢中分萬里。身縈病裏隅重關。烟消古突牛衣薄。世盡窮荒馬角難。賴有太陽能下燭。曉窓來曝逐臣寒。</text>
<title>感古</title>,<text>休言耳軟受人欺。緩頰遊談不是奇。六里縱孤依舊色。三秦雖大異當時。悽凉晩雨蘇張墓。蕭瑟秋風楚漢基。萬古消沉同一理。莫如仁義請齊治。</text>
<title>夢謁祖母韓氏。甲戌捐舘之後。絶無顔面夢寐相接者。辛亥十二月十四日夢。宛然拜謁。若平昔在膝下嬌癡之態。覺來悲感。有作。</title>,<text>祖孫相別問何年。卅八光陰隔九原。吮乳恩深膓欲裂。含飴弄斷淚常懸。長悲顔面無來夢。何幸精魂忽入眠。終養老劉慙令伯。况今香火隔荒阡。</text>
<title>謝宣城守柳子有 穡</title>,<text>珍重貽書再拜承。仍知政履倍淸澄。長腰巨口來何遠。粉骨糜身報豈能。高義更看今北海。危蹤誰識舊東陵。深情欲向蠻牒寫。其奈衰眸對曉燈。</text>
<title>送執中</title>,<text>昨夜淸霜下塞垣。鴈行初度鶺鴒原。君還千里能斑舞。我在重圍但淚痕。魂黯柳州臨桂水。心醺蘇子別西門。當筵更有丁寧戒。莫以幾微出面言。</text>
<title>奉上淸風大爺。兼呈沈學士。</title>,<text>通宵炎雨阻歸期。正是胡塵欲起時。四海南奔皆瑣尾。三家西竄亦支離。鯉趨縱得承嚴訓。鳥駭那堪念母慈。進退轉深幽谷勢。蒼天惟有此心知。</text>
<title>述懷</title>,<text>九月鷹風葉盡凋。碧城愁思轉超超。死歸已愧安陽魏。生入誰憐定遠超。宿酒欲醒江月曉。孤衾轉覺塞天宵。傍人莫道無憂懼。鄕國三更夢幾遙。</text>
<title>謝夏山 二首</title>,<text>爲坐詩窮與道窮。兩翁曾是洛波龍。莫嗟鬂髮緣愁白。猶喜容顔借酒紅。春半楚山歸靄合。日斜秦嶂斷霞濃。空將易播當時意。默數中情問太空。憐君器宇劇堂堂。淪謫西南類鴈翔。世事縱然多聚散。交情不自逐炎凉。寃情直欲肝膽裂。歸夢何知道路長。聞說淸朝恩霈渙。聯珂幾日禮東皇。</text>
<title>晩秋有感。書示朴太素 惟淳。</title>,<text>歲晩松楸百感侵。一秋霜露正蕭森。羹墻有慕晨昏苦。羊馬無情日月深。寒木落來風不定。孝烏啼盡景初沉。三年血泣猶餘泫。流下千行更滿襟。</text>
<title>和亨運</title>,<text>萬里思家同蜀魄。八年爲客伴河魁。世間憂患誰推去。身外功名倘是來。莫恨湘纍常戚戚。已看湯網漸恢恢。明年驛路陽和遍。應對阿戎病眼開。</text>
<title>奉酬沈隱侯 詻○二首</title>,<text>浮雲流水兩悠悠。萬事如今欲白頭。千里夢魂歸洛浦。八年旅覊在邾樓。謀生每被揶揄戲。滿酌常酣箒掃愁。聖代風霆無竟日。莫將文字續悲秋。莫言浮世說悠悠。千里逢迎兩白頭。流落久居夔子國。行藏獨倚仲宣樓。思鄕不禁沾襟淚。戀闕長懷滿腹愁。誰向五原輕着絶。從來季雅有春秋。</text>
<title>述懷。贈梁海曲。</title>,<text>九年淪謫虜江濆。夢逐春風入楚雲。罪自外來非在我。情由中出敢忘君。星高北斗長瞻望。月滿南樓幾斷魂。隣幷玉人同丙者。飄零如鴈幾呼羣。</text>
<title>送府伯閔聖之廵列堡</title>,<text>才兼文武抱龍鞱。身佩安危出虎牢。西賊自從驚范老。東漁不敢近臨洮。鴈門斜日軍容壯。鶴野寒霄劒氣高。列障廵遊今幾許。日携賓佐試投醪。</text>
<title>贈執中</title>,<text>一遭從謫亦云稀。况復重來問塞圍。風雨鶺鴒常戚戚。雪霜常棣不韡韡。關中遠夢連孤枕。漠外初寒透客衣。門限出迎顚更仆。相逢未遽問慈闈。</text>
<title>除夜。書示學者。二首。</title>,<text>從師負笈作魚遊。凾丈摳衣歲已周。殘臘無多今歲日。同衾又減去年秋。風駈殺氣迷胡壘。月逐軍聲滿戍樓。以此思鄕終不寐。傍人莫道客中愁。冠童五六幸同遊。甚矣吾衰不夢周。區冊自隨居謫日。子淵何病在圍秋。斗間星氣橫西塞。夜半歌聲起北樓。殘歲有懷因不寐。傷心不獨故鄕愁。</text>
<title>送別江界敎授李介立</title>,<text>憶曾衣繡過龍溪。小邑城池傍海西。地接華夷參禮俗。路通南北屬輪蹄。月明遼夜令威唳。春晩巴山社宇啼。回首客行今十載。逢君說與意還迷。</text>
<title>次上土樓韻</title>,<text>明時受玦作西行。閱盡關河幾萬程。歸夢每從飛蝶去。虛絃屢逐駭禽驚。風雲已隔千年會。霜露難禁十載情。忠直古來多在謫。冉溪何用以愚名。</text>
<title>次滿浦樓韻</title>,<text>題詩西障盡淸流。覽過千篇感舊愁。萬里已投宗殼筆。十年空倚仲宣樓。頻看長劒悲衰邁。滿酌深盃慰遠遊。坐筭世間膏火促。一塲浮宦不宜永。</text>
<title>哭吳通判</title>,<text>淸川秀氣出三珠。不獨眉山草木枯。高義孔門推北海。雄文班氏擅西都。三年汩沒靑油幕。一病因緣赤老樞。朝出暮還生死異。非夫人慟爲誰乎。</text>
<title>浮雲</title>,<text>終夕支頤憑小檻。浮雲何事自飛沉。隨風捲處千峯秀。帶雨籠來萬壑陰。學士已言能蔽日。徵君莫說本無心。因思世上悠悠者。滿酌深盃撫短琴。</text>
<title>送昌運還京</title>,<text>半世浮名獲罪天。却將徽纏老江邊。同來永水追元定。遽隔東川似謫仙。千里炎霾憂有疾。一年消息若爲傳。慇懃贈爾征羌戒。騂角誰令盖父愆。</text>
<title>次尹士健 五首</title>,<text>憶曾鑾掖賜恩光。萬死如今滯塞鄕。北極夢隨仙仗近。東風心逐客途長。頭垂太白三千丈。齒老幷州二十霜。却吊湘纍悲楚些。亂山如戟割愁膓。頑雲四擁日沈光。認是龍沙卽鬼鄕。春氣反爲寒奪盡。客懽還被恨侵長。百年交道翻雲雨。萬里頭鬚易雪霜。獨坐書空因咄咄。誰將熟酒沃枯膓。重瞳八彩夢前宵。雙闕迢迢覺後遙。蓮燭依俙歸院夜。花甎歷亂演綸朝。半生毁譽籠中老。九死容顔鏡裏凋。別是風流賢主在。時將春酒慰寂寥。放達何分馬騎官。西山爽氣看猶酸。故園回首三千里。客路驚心百二關。八載籠禽生死裏。九天笙鶴夢魂間。榮枯雖異均爲謫。把酒長吟蜀道難。愁裏偏知夜漸長。客中空復感新凉。每從庭樹占朝鵲。時傍苔花聒亂螿。銀漢影深天似水。玉繩光動露成霜。還將世事輸黃髮。故國三千路更茫。</text>
<title>尹是纘將還。爲士健錄贈。二首。</title>,<text>一行歸未一行歸。千里江南欲奮飛。峽雨易醒傷別酒。塞雲難拂強牽衣。春回常棣花初綻。夢覺池塘草又腓。中斷鴈聲何處聽。天涯消息出關稀。當筵莫唱送將歸。旅鴈翻驚四散飛。連枕縱違姜子被。還家政拂老菜衣。殊方日落氷猶滑。故國春回草欲腓。岐路不須行騎促。天涯一別夢應稀。</text>
<title>用南窓韻。贈士健。</title>,<text>許丞重聽亦何傷。顔泗郞潛鬂已蒼。早以鹿蕉看世路。晩將龜鶴守邊疆。一盃每送金銀氣。三足懷歸水石鄕。千里幸逢同丙者。謫來多病臥潯陽。</text>
<title>贈士健</title>,<text>一斗香醪百篇詩。如君非友卽吾師。正當久客思家日。忽遇高朋下榻時。喜色自生今得御。情親更似舊交期。向來忘却長沙恨。不用臨風涕泗洏。</text>
<title>述懷贈士健</title>,<text>致君堯舜志全乖。終使驩工罪與偕。受玦幾年投月窟。鳴珂半世夢天街。風塵海內知音少。烟雨江干淑氣佳。何幸彩鸞棲枳棘。公餘相對說幽懷。</text>
<title>用二衙謝府伯惠貂掩詩韻。錄還士健。</title>,<text>副車毛掩火中銷。顓頊威稜更見驕。高揷肉環寒欲墮。逬流鼻液凍難澆。逢迎莫拄看山笏。脫贈誰譏爛冑貂。日取鵝黃添熟耳。長官知不斥聾僚。</text>
<title>長苦歎</title>,<text>昨日放歸居易妾。明朝又送太常妻。年過半百齒牙動。路隔三千魂夢迷。揮霍蒲扇逐豹脚。瓦甌枵腹享羊蹄。人生到此苦無樂。何處南陽尋夏畦。</text>
<title>戲呈閔都護聖之</title>,<text>西來誰慰楚臣醒。暮雨隨風復滿庭。劉母若爲留短日。晉君還自勸長星。惟看種種頭空白。不見欣欣眼爲靑。生死由來眞一夢。世間那有壽千齡。</text>
<title>六朝</title>,<text>六朝文物一朝空。蕭索鍾山覇氣空。已缺金甌爲舊國。唯餘玉樹咽頹宮。鷰飛王謝堂前雨。草動蕭劉墓上風。三百年來何事業。樵歌悽斷夕陽中。</text>
<title>贈田興祿</title>,<text>看君眉宇是奇男。世事全輸捫蝨談。學道自當齊變一。敎兒何必孟遷三。元非月踶皆生北。不是秋金盡産南。穴榻讀書須莫懶。功名不啻趯靴尖。</text>
<title>詠蓮</title>,<text>太乙眞人手自種。胡爲來發散人池。交揉綠葉翻金蓋。戲折靑柯引玉絲。十里花香豪客醉。百年膾炙謫仙詩。雨中珠淚傾無數。莫比胡椒百斛癡。</text>
<title>次霽峯韻。示少弟執中。</title>,<text>承譴殘年賦壯遊。關門纔入又湖舟。近家不免思家夢。過國還懷去國愁。萬里已投宗殼筆。百年空上仲宣樓。筭來人事如風燭。莫把菱花鑷白頭。戊午秋。自西南遷。</text>
<title>送少弟還京</title>,<text>西塞星霜隔弟兄。南荒風雨對床情。春回常棣花初暖。夢覺池塘草已生。歸思却從鄕貢起。離懷轉與客愁幷。送君明日吾何托。門掩荒村瘴氣平。</text>
<title>次喚仙亭韻</title>,<text>頭流山氣壓前簷。分虎仙鄕吏隱兼。月滿曲欄吹玉笛。風生別浦捲緗簾。閒耽白戰藁何用。戲倩紅圍酒更添。自笑殘生易凋歇。年來雪擁古頭尖。</text>
<title>坐想前秋所過行路。次霽峰韻。</title>,<text>遠客西南路欲分。半山靑紫屬斜暉。江流倒海如韓筆。鴈陣橫空似羽車。浮世十年人事改。關河萬里病身存。恩異此日經淮甸。長樂鍾聲夢裏聞。</text>
<title>次齋峰詠雪禁體</title>,<text>北風吹動燭龍君。玉屑瓊絲獻牝門。萬壑縱觀塩虎隊。千巖叱起石羊羣。紛紜怳起淮西戰。縞素疑行沛上軍。欲向歐蘇吟禁體。獸爐呵凍氣如雲。</text>
<title>偶吟</title>,<text>江爲舊業順爲鄕。謫裏生涯倚赤蒼。萬里浮沈常抱疾。十年離亂尙含瘡。矬松自補懸崖 缺。密竹相撑缺岸妨。坐閱世情眞逆旅。翻雲覆雨夢炊粱。</text>
<title>贈時中</title>,<text>城郭人民事已非。重來只是一令威。相逢西路形容變。忽散南涯夢寐稀。和氣欲生常棣暖。福星初動使華歸。殊方縱作連床語。復恐緇塵染素衣。</text>
<title>失題 首句缺</title>,<text>▣▣▣▣▣▣▣。▣▣▣▣▣▣▣。勒石功存眞大樹。干城望重見中林。敦詩說禮才超古。翔鳥飛龍陣冠今。時送春醅拚一醉。不然那得其鄕心。</text>
<title>盛山錄 並序</title>,<text>盛山錄伊何。取昌黎盛山十二詩之意也。戊午余謫石州。金令公冠玉。爲州官滿。柳令公子有代之。金與余。同丙申科。柳與余。同里爲葱竹交。而科先余一年。翰後余一歲。而弦矢於僚席。余昔在京。兩侯俱以卓犖奇瓌之才。雖致身篷島之上。或位纔執戟。或佩銅魚。如余不才。奔走貂玉之班。近十年。常以二侯之屈爲嘆。逮余謫來。二侯相繼爲府。百里雖非賢路。視吾栫棘。榮悴天淵。噫。前若相聚而或散。後若相散而忽聚。酬答往來。若是其鄭重。豈非人事有離合奇耦也歟。故輯若干。以續退之之遺事。而柳侯又尾之。是錄也於是乎益奇且光矣。遂書顚末。俾後裔知三父之志云爾。</text>
<title>夢江南</title>,<text>夢作沙鷗一夜飛。江南舊隱見依俙。黃花紅葉秋扉掩。却似前溪罷釣歸。次 北渚 金瑬冠玉。江草靑靑江雨飛。接天雲樹望依俙。傷心無限關山路。日暮行人何處歸。次 沙湖 柳穡子有。日暮江洲江鳥飛。曲欄徙倚望依俙。一城風雨年華晩。芳草王孫歸未歸。</text>
<title>移萄</title>,<text>昨夜庭前春雨過。衷籬黃菊長新芽。手移數朶栽簷底。爲愛淸香不愛花。次 北渚客中時節易經過。荷葉成錢麥吐芽。日晏黃油初罷睡。滿庭風雨落林花。次 沙湖楊柳池塘細雨過。忽看溪畔長蒲芽。茶爐初篆郡齋靜。滿地無人掃落花。</text>
<title>擬古</title>,<text>州縣簽丁點送頻。誰將宮女議和親。秋閨明月今宵夢。摠爲前年出塞人。次 北渚十月交河羽檄頻。爲携孤劒報君親。輕身决勝祈連戰。麟閣功名第一人。次 沙湖關塞秋高虜報頻。鐵衣雄劒日相親。重城晝閉閒刁斗。一夕威聲慴遠人。</text>
<title>效韓翊體</title>,<text>老上單于夜獵邊。狼烟前夕報甘泉。嫖姚却領八千騎。力戰桑乾猶未還。次 北渚少逐輕車遠戍邊。腰間白羽手龍泉。居然城外無烟火。十萬豼貅奏凱還。次 沙湖將軍制勝又廵邊。夜斫胡營渴飮泉。皇帝墓前多白骨。月明沙磧凱歐還。</text>
<title>塞上曲</title>,<text>霜華如雪覆戎衣。夜逐單于獵騎歸。一自天山三箭定。將軍不復過金微。次 北渚戰罷沙塲解鐵衣。月明羌笛夜深歸。龍城歲減屯邊士。無復妖星近紫微。次 沙湖十月寒霜逼戎衣。戍樓羌笛客思歸。山河百戰妖氛息。從此邊城彗氣微。</text>
<title>江南曲</title>,<text>春晩黃陵水侵沙。鷀鴣啼盡夕陽斜。茜裙兒女竹枝曲。笑隔荷花來浣紗。次 北渚新荷出水水明沙。堤上春風楊柳斜。日暮芳洲回棹晩。濕雲如夢霧如紗。次 沙湖山花三月映湖沙。門掩漁家酒幔斜。日暮高樓春望遠。菱歌互答隔窓紗。</text>
<title>招隱詞</title>,<text>曾是玉皇香案吏。黃庭誤讀謫人寰。西風丹桂未凋落。明日携筇尋舊山。次 北渚名字猶存紫府班。更隨仙侶別塵寰。飄飄鸞鶴不知處。孤嘯一聲秋滿山。次 沙湖多病年來鬂已班。至今簪笏住塵寰。歸田早遂檀公策。何處春山無好山。</text>
<title>憶香山</title>,<text>古寺尋僧欲盡春。桂花如霰撒香塵。如今身繫邊垣在。十載香山夢也眞。次 北渚一別香山問幾春。至今陳迹已成塵。何當採藥爐峯去。更掃天壇禮玉眞。次 沙湖仙山曾訪癸年春。共坐蒲團掃佛塵。今日過來山下路。嚴程恨未更尋眞。</text>
<title>聞府伯劑朮丸。戲呈。</title>,<text>年來多病檢方書。餌朮黃精痺濕除。聞說府庭常抵鵲。刀圭莫惜寄三閭。次 北渚多君用力古人書。不待黃精病自除。默會元城垂戒處。慈情何限倚門閭。次 沙湖二朮神功載藥書。三彭從此可驅除。世人服食那知妙。補若毫毛洩尾閭。一作燒香坐對聖賢書。瀅澈心源客氣除。參朮只能浩外疾。莫如收養靜門閭。</text>
<title>苦雨</title>,<text>一雨連旬下。繁陰遁日華。狂瀾呑大野。頃刻失平沙。已歎禾生耳。還愁竈産蛙。河源何處在。門外可乘槎。次 北渚藥物排炎瘴。詩篇送歲華。不須懷故里。忘却在長沙。樹濕愁高鳥。池荒有亂蛙。何當八月夜。霄漢泛僊槎。次 沙湖寥落官齋靜。飄騷鬂髮華。亂山當曲檻。幽鳥傍圓沙。古戍三聲角。荒池一部蛙。無端思北渚。千里望仙槎。</text>
<title>口占</title>,<text>禽鳥傷弓後。駑駘伏櫪心。居夷能北語。思楚憶南音。經歲鄕書絶。連旬瘴氣陰。無人知曲突。誰復辨亡金。次 北渚絶塞三年客。高樓萬里心。天空連大漠。山遠結層陰。江燕差池羽。林禽上下音。平生四方志。非爲佩黃金。次 沙湖吾愛艮庭于。髫年相許心。悲歡同結契。生死托知音。一謫君沙塞。孤吟我漢陰。萍逢俱白髮。萬事等爐金。</text>
<title>偶占一律。呈北渚。</title>,<text>爲客關河久。漸知齒髮加。歡悰日覺少。好事夢還多。夜火明漁戶。春旗拂酒家。玆行亦帝力。不用㤪長沙。</text>
<title>再疊</title>,<text>此地人皆厭。覊臣十倍加。庭草平仲遍。山曉子規多。萬里遼西謫。三年夢裏家。何時超苦海。離恨滿恒沙。</text>
<title>三疊</title>,<text>文武安危繫。恩威藩漢加。犬羊窺覬絶。鴻鴈勞來多。令肅千夫長。年豐八九家。封壃金皷靜。不唱歷陽沙。次 北渚路盡身何適。年衰病益加。連朝風色惡。一夜雨聲多。靑草鮫人室。孤烟峒客家。胡山坐相對。咫尺是龍沙。玉署班行忝。銀章寵渥加。報恩才力薄。出塞歲時多。卉服雖重譯。㐫奴未一家。何當奉天討。傳檄到流沙。干戈民已病。郡邑賦還加。瘦地耕桑少。荒年餓莩多。傷時猶減食。憂國却忘家。忍取錙銖利。如何用若沙。次 沙湖迢遰千山阻。衰遅百病加。關防何以壯。感慨自然多。驕虜方傳箭。男兒敢戀家。行將一劒去。萬里掃塵沙。落日村烟淡。衰年鬂雪加。客程臨塞盡。鄕夢入春多。藥裹難扶病。覊危倍憶家。胡山在望裏。一水隔龍沙。灘聲悲激烈。樹影亂交加。地僻逢人少。簷虛約月多。尊中聖賢酒。江上兩三家。夜久漁燈滅。溪雲起白沙。</text>
<title>酬北渚</title>,<text>邊鎭如山邑。鳴琴暇日多。簷蛛粘落絮。樑鷰蹴飛花。埤堄啣殘照。旌旗捲晩霞。庭松應手植。幾度博陵哦。次全廣文韻。奉呈艮庭。北渚白水西流急。靑山四面多。樹深惟谷鳥。藤暗更林花。地僻偏逢雨。城高半隱霞。客程驢背穩。到處費吟哦。次 沙湖故國來書斷。長天去鳥多。客程連紫塞。時節近黃花。山暝雲拖雨。江虛月壓霞。城樓日日上。南望苦吟哦。</text>
<title>寄贈</title>,<text>夢繞香爐頂。禪心一倍催。雲深採藥路。月滿誦經臺。葛水僧期在。凾關道氣來。何煩龍樹老。三笑虎溪廻。</text>
<title>次北渚寄示韻</title>,<text>昨夜承明夢裏歸。天中令節賜宮衣。花甎螭陞參差是。日角龍顔咫尺違。雲擁禁城爲瑞氣。香凝彩仗作春霏。無端皷角驚蝴蝶。撫枕茫然涕自揮。</text>
