<title>夢作</title>,<text>長風九萬里。吹月度千門。何處一聲笛。東方欲破昬。</text>
<title>再疊</title>,<text>落木寒江急夜流。月明人倚曲欄幽。翩翩舊羡含環雀。泛泛今爲下瀨鷗。涉世羣譏方木枘。謀生自笑直針鉤。新居幸得同懷子。義理聊從靜裏求。聊一作須</text>
<title>又拈簡齋韻各賦</title>,<text>月白江湖濶。天容上下晴。圓峯浮浩渺。細火點虛明。村杵時聞響。沙禽不辨名。亭前雙岸幘。淸影樹間成。</text>
<title>伏聞聖上哭臨王子喪。下懷慘慮之極。遂成兩律。示穉和求和。</title>,<text>藥院內移日。林亭北望心。忽聞王子逝。乃有聖躳臨。想像悲勞極。應知傷損深。無由瞻玉色。江漢夕暉陰。其二今日已云暮。遙天空復心。龍顔應慘慽。鳳殿想還臨。羽校千門退。衣冠九闕深。終南忽開眼。夕燧破寒陰。</text>
<title>穉和夜訪疊晴字</title>,<text>望北孤亭迥。終南衆峀晴。江淸雙月照。林缺數星明。負譴應無怨。休官敢要名。尙期功業晩。努力答生成。</text>
<title>上之還宮翌日。始聞症候別無所添。喜疊前韻。</title>,<text>悠悠祗孤坐。默默若無心。車駕幸安穩。神天實衛臨。煩襟輕霧散。喜意大江深。更倚高亭望。餘憂逼歲陰。</text>
<title>穉和夜過拈輞川韻</title>,<text>天廓疎星耿。風高數葉過。南山烽點少。漢水月光多。林露滴淸漏。石灘鳴暗珂。孤亭人望北。歲暮動悲歌。</text>
<title>仲行 雲澤 膺湖西左道均田使之命。臨行訪余於湖上。賦此與別。</title>,<text>柴門落照逗華輪。柳岸微風動釣綸。看子弟兄俱許國。愧吾田畞永爲民。時憂如許誰當了。世道何由可復淳。進退各堅忠義志。皇天本自有深仁。</text>
<title>次洪良臣 錫輔 寄示韻</title>,<text>危亭望北是何人。戀主憂時白髮新。斯世永孤忠孝志。愧君看作急流身。其二江湖自合着畸人。世路君宜事業新。莫把遺榮辭祿節。浪拋循國報君身。其三遙遙隔水不看人。翠壁明沙滿目新。詩到欣然如昨日。輕舟欲載病中身。</text>
<title>贐申聖與 晳 書狀赴燕之行</title>,<text>北風江漢暮揚波。念子遙遙渡鴨河。朔雪燕雲寒萬里。不知何處寄悲歌。</text>
<title>伏波亭。訪良臣。次孟襄陽韻。</title>,<text>愛子樓臺勝。平看冠嶽天。欄前雙峙島。簷外兩歧川。休沐多流水。歸耕有美田。凌虛猶遠想。身世脫塵煙。</text>
<title>和申明遠 昉 直廬見寄之作</title>,<text>朝班承候邈無緣。近侍簪珂望若仙。退卧江湖君莫羡。危亭目極北辰邊。</text>
<title>余方有目疾。穉和有耳病。率爾吟奉。</title>,<text>眼火吾收視。耳風子掩聽。傍邊空霹靂。咫尺眩丹靑。鳥譟心虛靜。雲飛意寂冥。何妨默相對。胷內自惺惺。</text>
<title>盆梅始開。次杜韻。</title>,<text>數蘂疎枝坼。春光小閤多。江湖隨我老。風雪奈渠何。影落靑編字。香添綠酒波。城東舊池舘。雜樹謾嵯峨。</text>
<title>臘日</title>,<text>山煙浮白水村遙。林日飜紅野霧消。斷岸雪埋微有逕。老槐風折半無條。朱門美肉霑來客。藥褁珍香遍在朝。慣識淸寒元我分。只憂廷候隔雲霄。</text>
<title>雪終日。次老杜韻。</title>,<text>浩浩晨江雪。隨風暮更紛。定知驢背客。遙滯中雲。落日歸鴉見。三更叫虎聞。無人和郢曲。同我苦思君。</text>
<title>雪晴月明。再疊。</title>,<text>雪晴天宇濶。夜色白紛紛。獨立槐亭月。遙看華嶽雲。氷江寒暗駛。村語靜時聞。病退無人事。終難忘聖君。</text>
<title>雪月。又疊前韻。</title>,<text>喜犬散郊走。驚禽繞樹紛。江深三尺雪。月出二更雲。絶壁輝輝映。遙灘隱隱聞。斷橋夜歸客。誰是孟夫君。</text>
<title>同穉和守歲。拈唐人除夕韻。</title>,<text>客跫與兒戲。病起一時聞。勝事輕年老。淸吟忘夜分。林明四隣火。江暖五更雲。城闕春先入。瞻天更戀君。</text>
<title>庚子元日。次杜元日韻。</title>,<text>滅燈江閣睡。暗裏歲行離。照耀朝光滿。蒼茫斗柄移。城雲泛佳氣。溪柳動輕枝。鄕黨來加敬。霜毛繞領垂。</text>
<title>初春明瑞來訪江居。復用去秋所拈杜韻共賦。</title>,<text>故人與春色。隨我又湖邊。日暖問垂釣。氷開看葺船。煙生豆浦樹。雪薄箭郊天。村酒三杯足。詩情勝去年。</text>
<title>葺船新放。同上沿洄。疊賦。</title>,<text>殘雪槐欄外。輕風柳岸邊。夕陽乘宿醉。春水試新船。白鳥爭迎棹。靑山淡映天。何由日携手。瀟灑送餘年。</text>
<title>泛舟沿洄。次輞川漢江臨汎韻。</title>,<text>江漢氷初坼。輕舟一道通。魚跳山影內。鷗泛日光中。村柳煙全潤。汀沙雪半空。醉來詩滿眼。春興問漁翁。</text>
<title>舟泊鷗亭下步上。次謫仙岳陽樓韻。</title>,<text>夕照橫高閣。春天逐望開。華山披雪出。漢水帶氷來。嘯詠惟漁艇。登臨有酒杯。浮波鷗鳥在。相伴可無迴。</text>
<title>春雨。次杜韻。</title>,<text>野潤融氷雪。大江新水生。濃均萬柳色。暖入百禽聲。雨過纛湖近。雲開華嶽明。想看春早處。花氣泛層城。</text>
<title>春雨</title>,<text>水滿春江綠。林亭細雨來。帆船多遠賈。花樹可新栽。雲靄南山合。乾坤北闕迴。朝班承候濶。日暮更徘徊。</text>
<title>春日。次靖節韻。</title>,<text>余病少宦情。寤寐好江山。微心感國恩。黽勉一二年。難效馬服轅。終思魚放淵。回顧畿湖內。豈無吾舍田。不忍遠遁去。遲回江漢間。新居且怡悅。晨夕北堂前。丘墓亦一境。密邇瞻雲煙。隔水望先廬。隱映高柳巓。况在城市近。而有世外閒。落日掛終南。相見更悠然。其二伊昔恒齋翁。此地寄淸娛。我來想風節。遺墓隣舊墟。墓無後孫守。墟作他人居。露凄荒草根。風悲老樹株。報施此邈然。天理問何如。古來賢者心。爲善不願餘。生前恩怨冷。身後利名虛。終令後之人。嗟歎不能無。</text>
<title>冷節省祖考墓。用去秋省拜韻。</title>,<text>戌年自亨運。前後白忠寃。褒絶人臣勸。誅深鬼魅奔。風霜餘老栢。雨露又荒原。瞻掃每增感。吾曾置膝孫。</text>
<title>先考墓。用去秋省拜韻。</title>,<text>晩玆新歲拜。春意已深林。不復依俙夢。能餘悽愴心。人煙數家冷。丘木萬株森。泣血慚先孝。常如左右臨。</text>
<title>次隣家壁上韻</title>,<text>斲耒好隨播糓節。屬綱閒待上魚期。經綸未必人人做。晩矣江湖得我師。</text>
<title>自城歸渡漢江。次君範韻。</title>,<text>岸沙津樹慣迎人。歸棹和風滿角巾。城闕依依懸白日。江湖漠漠動靑春。嚶嚶谷鳥自相喚。泛泛波鷗難可親。長羡功成身退子。太平煙月老鄕隣。</text>
<title>余自遭重制。廢詩已周年矣。今日度鐵嶺。偶思昌黎謫潮時贈姪詩及白沙北遷時所作諷詠之餘。遂次兩詩。幷小序○辛丑北謫時。</title>,<text>嗚呼。白沙七十之年。有嶺海之行。而其發諸詞章者。壯健之氣。忠愛之誠。溢於辭表。少無摧沮怨尤之意。信乎其功業氣節之卓然也。昌黎詩旨意藹如。操守確然。結語以收骨托其姪。而其情甚悲。夫昌黎有姪隨行。而只以一身托之尙如此。今余捨八十慈母。獨往數千里塞外。而以老親托於汝。則豈不益可悲乎。自有是命。老親日夜涕泣。而吾猶頑然若不知痛苦者。眞木石人耳。及至此。賦詩吟諷數回。追先朝罔極之德。念吾親劬勞之恩。自不覺惻然而感。汪然而涕。乃知根於秉彜者。不至全喪耳。吾平日未嘗不以忠孝自勉。而畢竟被譴離親。不免爲不忠不孝之人。言之痛心。尙何言哉。惟望汝曹。各自勉勵。毋負吾所托。以克成吾未卒之志。則吾雖枯死遐荒。無人收骨。亦無所恨矣。震兄 鎭東 宗弟 鎭崙 安否。不能各幅。輪示此紙。而無或以此紙所言。達于老親。以重傷其心也。次韓詩曰。茂山西北是胡天。遷客嚴程問幾千。不恨竄投無返日。此生忠孝更何年。雲寒鼎水龍髯外。景短萱闈鶴髮前。寄語阿咸休念我。晨昬長守箭溪邊。</text>
<title>次白沙詩</title>,<text>驅馬悠悠出北關。微臣罪大國恩寬。乾坤永負先王德。涕淚遙違老母顔。歲暮風霜心欲折。雲迷河嶺夢猶難。前修此路留詩句。峻節孤忠孰與班。</text>
<title>壬寅正月一日滯行。曉服衰望闕行哭。自國哀後。於所居。朔望望哭。行中仍之。今日涕淚。自倍於前。用高蜀州韻。</title>,<text>燭殘鷄唱坐無眠。追念先朝涕泫然。誰識孤臣北遷路。永興舘裏哭新年。</text>
<title>踰咸關嶺。嶺上賦一絶。</title>,<text>峻嶺參雲勢突然。登登一逕上靑天。如逢玉帝應驚問。謫下胡爲又謫遷。</text>
<title>踰三家嶺。嶺上見虎跡。</title>,<text>猛虎觸機穽。脫身走山樊。雪上留行跡。猶驚百獸魂。</text>
<title>宿北靑府。次白沙韻。</title>,<text>策馬黃昬到北靑。主人一笑出門迎。問君被謫緣何罪。遠過鰲城謫去程。</text>
<title>曉望哭</title>,<text>天涯去去逐臣悲。况復今晨哭望時。想像孝寧深殿裏。貳君獻酌百官隨。</text>
<title>夜夢拜慈闈。旣覺轉輾不寐。賦詩。</title>,<text>去去嚴程遠。惻惻思親切。旅枕數夜夢。分明上堂謁。鶴髮雙垂淚。宛如臨門別。悲辭與苦語。縷縷記不悉。大要毋相念。好在待歸日。子或不念親。親心豈嘗恝。縱知念無益。至情終難絶。覺來涕泫然。胷臆氣欲窒。嶺月照窓明。海風捲地烈。轉輾遂不寐。戒裝待明發。</text>
<title>古站驛村路上</title>,<text>已經鰲老曾投地。又過重翁舊配城。重峯曾謫吉州 今日益知臣罪大。前頭尙有半千程。</text>
<title>到鬼門關撥幕歇馬</title>,<text>馬頭靑海濶無瀾。雲際忽生長白山。不有此行無此觀。春風笑度鬼門關。</text>
<title>路傍古木</title>,<text>風霜斤斧日侵纏。猶自崢嶸老榦堅。知有深根盤厚地。春來生意自油然。</text>
<title>寒食日。感痛自倍。賦一律。</title>,<text>令節無人問謫居。數村煙火冷夷墟。邊城樹綠烏將子。塞水氷開獺祭魚。淚入喬山新雨露。夢歸江漢舊樵漁。遙憐舍姪松楸去。鶴髮今朝獨倚閭。</text>
<title>睡覺</title>,<text>睡覺東窓已上曦。滿簷春鳥語參差。夜來似有萱闈夢。脉脉尋思起枕遲。</text>
<title>贈林君碩均歸京。兼示家姪。</title>,<text>送子遙歸舍姪居。爲傳吾意愼無疎。逢人莫謾談時政。養老之餘讀古書。</text>
<title>賦折花</title>,<text>殘蘂風沙裏。難逢雨露新。摧折猶生氣。無心媚向人。</text>
<title>早赴點路吟一絶</title>,<text>爺孃敎我昔何勤。名德要爲衆所尊。今日隻身天一畔。步隨兵點詣官門。</text>
<title>睡覺。聞鷄起而望哭。疊前韻。</title>,<text>怳惚夢醒際。凄森庭戶間。蒼蒼落月下。渺渺白雲攀。世道聞流水。時憂見亂山。今晨嶺海哭。幾箇舊鵷班。</text>
<title>夜次諸君韻</title>,<text>忽見南天月。初昇北塞團。下階心暗祝。母子復相看。</text>
<title>聖考祥日。疊前韻。</title>,<text>忍見天崩日。重迴嶺海間。廓然衰杖釋。邈矣劒弓攀。想像登金殿。蒼茫對白山。邊州亦會哭。吾敢廁民班。</text>
<title>再疊</title>,<text>嗚呼聖考德。洋溢靑丘間。不復夢中近。惟期死後攀。衣冠閟淸廟。香火冷喬山。縱有南歸日。長違一哭班。</text>
<title>三疊</title>,<text>風雷與日月。四十七年間。宗國終應賴。神功不可攀。洋洋臨下土。慘慘泣窮山。異數臣偏受。長懷忝邇班。</text>
<title>四疊</title>,<text>強收眼中淚。遙望白雲間。日出欣如見。天高竟莫攀。餘生一隅地。獨立萬重山。去歲今晨哭。千官接外班。</text>
<title>伏讀先朝罪韓祉備忘。不勝感涕。疊前韻。</title>,<text>聖考忠邪辨。昭玆一札間。由來長慮在。何獨異恩攀。日月掃雲霧。魍魑逃藪山。窮荒和淚讀。恍惚侍前班。</text>
<title>再疊</title>,<text>隆福深深殿。曾陪咫尺間。淚霑恩綍奉。身得御床攀。萬事非前日。孤臣獨此山。瞻號亦已矣。雲遠舊趨班。</text>
<title>十五日曉。睡初醒。若將望哭。起而思之。不復有望哭矣。落月蒼蒼。啼鵑咽咽。歔欷轉輾。遂不能寐。疊前韻。</title>,<text>睡覺將晨哭。披衣起戶間。還驚過祥制。不復有號攀。落月鵑啼樹。凄風魅嘯山。遙悲禁苑曉。寂寞輟哀班。</text>
<title>次諸君秋旱韻</title>,<text>凄風赫日孟秋天。稼穡將荒塞上田。莫是灾徵緣我罪。先賢所過每豐年。</text>
<title>次老杜千秋節有感韻</title>,<text>忍見喪期盡。仍逢誕節來。孤臣猶不死。萬事已成埃。天上無生日。人間有冷灰。面南曾受幣。望北舊登臺。夢寐今何得。風霜又此回。少陵詩句在。如寫我心哀。其二聖考虹流節。邊天秋氣高。湘潭泣芳草。瑤殿夢仙桃。簪筆曾螭首。掌綸皆鳳毛。神機裁利刃。明鑑見纖毫。幾獻千年壽。空餘四紀勞。何時漢江上。復看靜風濤。</text>
<title>閱唐詩見呂衡州竄謫時。感貞元舊節之作。與余昨日心境同。夜坐悄然。聊次其韻。</title>,<text>秋夜凄凄霜滿墀。白雲明月影離離。孤臣淚落千秋節。恰似衡州舊謫時。</text>
<title>見家書</title>,<text>苦待親闈信。憂煎日復夕。見書意頗豁。見罷憂還劇。遠書多慰辭。安否難眞的。道里何夐絶。書來動經朔。書發時縱安。書後焉能識。往往字墨漬。認是淚點滴。旅舘奉書泣。撫躳訟罪惡。事親未竭力。事君妄犯觸。去國又離親。痛恨復何益。寄語人子者。負米莫干祿。</text>
<title>聖考禫日。又疊前韻。</title>,<text>滿眼新霜露。悲吟隴水間。今晨亦已過。何處更號攀。至治無東土。竆荒有茂山。北風將淚去。應灑廟庭班。</text>
<title>次許生濟韻</title>,<text>隴雲蕭瑟隴波忙。秋葉飄颻滿地黃。落落孤松陰翳日。疎疎老菊氣凌霜。居人阡陌驚風色。遠客關山望月光。閉戶讀書者誰子。心安陋舘若華堂。</text>
<title>次李生東彬用唐律韻</title>,<text>滿眼皆胡峀。摧膓是隴流。烏啼靑血逬。龍去白雲收。鵩賦長沙岸。離騷楚水洲。茫茫千載下。一般戀君愁。</text>
<title>再疊</title>,<text>落日斂餘照。寒川急暝流。獨憑虛牖立。間看遠煙收。數葉飛高樹。孤燈點近洲。漁樵各自返。更惹故園愁。</text>
<title>三疊</title>,<text>擊劒胡山小。長江眼底流。狂奴運未訖。義士淚難收。古塔風腥穴。深河血滿洲。何由一蹴掃。永慰祖宗愁。</text>
<title>松簷新撤望見烽火</title>,<text>松棚撤去見天多。紙戶虛明納日和。更看烽臺傳夕火。此身如得到京華。</text>
<title>拈老杜九日韻。與諸君共賦。</title>,<text>木落天淸塞野寬。登高佳節幾人歡。獨醒不用憂無酒。深坐何煩笑墮冠。眼逐南鴻穿暮。心同北菊㥘秋寒。愁來強把詩排遣。愁在詩中未忍看。</text>
<title>夜夢頻拜慈闈感吟</title>,<text>離別關河歲月深。慈顔夜夜枕邊臨。頑冥已絶生人理。夢寐猶存赤子心。</text>
<title>次唐詩</title>,<text>塞雲冥漠雨霏微。旅舘無人獨掩扉。歸思每添明月裏。今宵無月益懷歸。</text>
<title>次李生韻</title>,<text>遷客思歸嶺海間。每看明月當慈顔。今宵病枕難成夢。卧聽秋聲塞上山。</text>
<title>申生元直 震淸 來見。示其所次李白韻。而有喬木語。盖屬意於余也。遂次其韻。</title>,<text>喬木風霜急。中成螻蟻家。危根嚙野水。飄葉混泥沙。不復干霄氣。能開滿眼花。明堂材未乏。委棄不須嗟。</text>
<title>吟示張李二生 張齊說李東榮</title>,<text>陸公閉戶不通賓。蘇子焚毫廢作文。始知聖世寬遷客。一榻題詩對兩君。</text>
<title>次韋蘇州悼內韻</title>,<text>我來關塞後。頻頻夢我良。天涯與地下。無間昔同堂。精神有感通。不信子今亡。生時隨謫願。遠島曁絶崗。我揮曾邈邈。子誓向蒼蒼。誰知蘭蕙質。凋落先秋霜。我身在死生。子魂想悲遑。依依寤寐間。黯黯涕淚光。開門望家山。今日益悽凉。况有所慟惜。結在我心膓。平生畏友視。肅然整冠裳。雖知後同歸。此意竟何忘。</text>
<title>夜梳頭。次王陽明謫居元夕韻。</title>,<text>漁舟一繫柳邊臺。江漢驚濤尙殷䨓。千里關河惟夢去。萬山氷雪又春迴。眼花對燭紛無數。頭髮臨梳短可哀。旅枕睡回聞鼓角。却疑魚鑰禁城開。</text>
<title>再疊</title>,<text>昔持彤管入銀臺。新奉恩綸鼓震䨓。白日威顔眸眩轉。香煙御座袖携迴。江湖鷗泛雲天遠。鼎水龍歸風浪哀。陰谷閉門春不到。玉欄何處百花開。</text>
<title>三疊</title>,<text>獨夜孤城月上臺。誰家迎鬼鼓鳴䨓。江寒北雪龍猶蟄。書斷南雲鴈未迴。枕上詩成多自恨。燈前睡起有餘哀。蒼茫不識遙天意。幾度推窓望曙開。</text>
<title>四疊</title>,<text>孝廟曾臨禁苑臺。暗中神筭鼓風䨓。餘光日月崇禎在。間氣山河大老迴。一席從容天下計。百年齎志海東哀。如今縱見胡窮運。誰復燕雲唾手開。</text>
<title>五疊</title>,<text>身似孤雲宿野臺。心同老木飽霜䨓。關山霽月愁邊出。漢水春風夢裏迴。舊事思來無一喜。新詩詠罷自千哀。床頭自在雙壺酒。不飮惟敎客到開。</text>
<title>夕次杜韻</title>,<text>炊煙南郭遠山昬。殘雪東崖返照痕。汲女多歸籬外岸。樵人半入水邊村。荒郊望極曾來路。旅舘愁生獨倚門。簷鳥林鴉棲各定。天涯曛黑每消魂。</text>
<title>元直來見。喜疊前韻。</title>,<text>紙障藁圍晝尙昬。油窓土壁凍留痕。靑春鳥語空高樹。白日鷄聲自僻村。病裏鄕心愁伏枕。客來詩話喜開門。爐香細上樽醪薦。忽覺招還寂寞魂。</text>
<title>再疊</title>,<text>大漠風沙白日昬。胡山六月雪氷痕。五嶺外餘千里路。萬山中有數家村。時來客自思南國。土着人猶陋北門。誰識逐臣孤舘裏。百憂多病喪精魂。</text>
<title>夜夢拜慈闈于新村。又登望北亭。曉寤轉輾疊前韻。</title>,<text>睡回孤舘尙幽昬。病枕凄凉淚濕痕。望北依依臨水榭。終南歷歷倚閭村。靑春不到黃沙磧。白日能開幽谷門。寄語林鴉休夜叫。恐驚羈客枕邊魂。</text>
<title>憶瑞澤，亨澤兩姪。疊前韻。</title>,<text>北風吹雪別筵昬。一笑猶餘兩淚痕。傳札不愁疎驛使。讀書遙喜得鄕村。視吾向日尊師父。望汝他時大戶門。努力勿爲沙塞念。夜臺無數泣煩魂。別時兩姪垂淚。吾責曰。人不可不剛腸。汝輩見人之謫尙如此。其能辦得伏節死義於談笑間乎。兩姪收淚。故首句及之。</text>
<title>元直所示三詩中。有寄書親庭之作。今日寄家書後。疊次其韻。</title>,<text>忍淚排行細。留心作字安。別來千里望。書去百回看。亂草應憂疾。呵痕恐念寒。緘封密密去。遙作片時歡。</text>
<title>再疊</title>,<text>今日寄鄕信。何時定報安。封隨飛雪去。展拂落花看。豈慰慈心苦。徒添望眼寒。兀然空遠想。羈抱慘無歡。</text>
<title>疊前韻</title>,<text>默念鄕居計。驪江事事安。病須醫路近。窮可食根看。魚菜堪扶老。蠶綿足禦寒。文朋與親戚。情話且追歡。</text>
<title>次元直用李白韻之作</title>,<text>村暝歸人盡。窓間獨客愁。江空孤月在。塞濶大星流。天地身如葉。風霜鬢欲秋。故園春色滿。時向夢中遊。</text>
<title>萬祥叔別歸天涯謫舘。骨肉聚散。情緖可知。用孟襄陽韻賦贈。</title>,<text>愁緖春雲亂。蒼茫何所開。告歸疑一夢。惜別語重來。客路天磨嶺。邊林雪作梅。漢城花柳滿。應復待吾迴。</text>
<title>復讀昨來家書疊歡字</title>,<text>汝勿相思苦。吾今一向安。天長猶夢會。地遠亦書看。童稚供諧笑。婦孫視暖寒。只祈遷謫地。處若侍前歡。</text>
<title>思祥叔。次元直用杜韻。念行客之作。</title>,<text>離日多愈悄。歸程筭漸賖。今朝過端吉。南北別夷華。嶺雪磨天積。春楊曲驛斜。江潭回首望。千里杳風沙。</text>
<title>對月思元直疊前韻</title>,<text>野老送新酒。盈壺不用賖。故人猶卧病。春物自生華。明月天涯滿。靑山郭外斜。相思聞夜角。孤鴈起圓沙。</text>
<title>疊</title>,<text>二月三山雪。寒雲萬里賖。沉沉恒晝晦。颯颯靜春華。蟄穴魚龍動。喧風鴈斜。乾坤盛陰氣。不爲近胡沙。</text>
<title>付家書。次唐集韻。</title>,<text>松栢樊川隴。靑春寂寞歸。塵沙關外漲。雨露夢中輝。柳水頻寒食。湘潭舊製衣。東風新涕淚。灑向故山飛。</text>
<title>次老杜同谷縣七歌韻</title>,<text>昔瞻先朝文物美。天上雲韶聲滿耳。朝持彤管金殿側。夕橫黃卷銅闈裏。江湖關塞須臾事。枯木蕭條寒灰死。嗚呼一歌兮聲正哀。蒼梧山遠暮雲來。其二聖人手握活民柄。窮達死生惟天命。東西南北不煖席。山陸泥水無毛脛。彼猶或遇或不遇。閉門寧守陋巷靜。嗚呼二歌兮今遠放。獨立北風時流悵。其三遊固有方養無方。遠離胡爲二年強。不怕窮山豺穴險。只愁高堂鶴髮長。生我劬勞不得力。隣家衆雛在母傍。嗚呼三歌兮淚隨發。觀者爲我悽心骨。其四有兒新得遽生離。汝身幼弱汝妹癡。方識先人海島中。六年思我兄弟時。汝面依依入我夢。我心搖搖逐風旗。嗚呼四歌兮苦調奏。邊沙塞雲昬白晝。其五樓院門外風雪急。握手離淚兩臉濕。追憶我伯送爺謫。將母捿遑年未立。我幼無知今始悲。汝又當家百責集。嗚呼五歌兮怨曲長。此身何日得還鄕。右屬聖姪其六白頭山頂有巨湫。山下老樹相蟠樛。奇壯詭特不可狀。開闢以來幾人遊。謫居咫尺如萬里。願一見之心豈休。嗚呼六歌兮春事遲。隴水關山淡無姿。其七孤臣萬死投荒若終老。二年不踏門前道。有眼未見天地大。侵肌但覺氷霜早。豈無新知來相慰。強歡安得一開抱。嗚呼七歌兮歌七曲。滿林花鳥春意速。</text>
<title>見燕子。次老杜賦燕韻。</title>,<text>遠謫三山再送春。又看雙燕入簾新。喃喃語似憐孤客。欵欵情如向主人。胡鴈已成千里別。覊禽同託一枝身。秋來關塞風霜早。養子歸時淚滿巾。</text>
<title>端午疊去年是日韻</title>,<text>三載天涯放逐身。端陽風雨更愁人。絶知千里陰晴異。尙念先塋薦豆辰。</text>
<title>再疊</title>,<text>一介先朝近侍身。兩年今日未歸人。凄然塞雨江風裏。泣想宮中寫帖辰。</text>
<title>夜坐見一螢孤飛。次杜賦螢韻。</title>,<text>謫舘無人問。流螢入戶飛。光生腐草葉。亂點弊荷衣。自有不欺性。休言獨照微。故山應引路。吾或及秋歸。</text>
<title>偶閱北關十州誌。謹次兪市南謫鐘城時登甑山韻。</title>,<text>孤絶甑山北。昔登兪市南。江潭高興趣。嶺海大包含。遺跡十州誌。鐫名萬古巖。羈囚空悵望。無路訪禪庵。</text>
<title>白露節。夜坐對月。詠老杜露從今夜白。月是故鄕明之句。不勝悽然。續成一絶曰。少陵詩上語。如道此間情。仍誦全篇。遂次其韻。</title>,<text>秋雲疎復行。秋水遠猶聲。獨立柴門內。愁看塞月明。鄕園書素斷。霜露鬢絲生。歲晩君民志。空隨赴點兵。</text>
<title>中秋日。次去年韻。</title>,<text>獨樹柴門立晩空。蕭蕭落葉響邊風。故園萱草誰勤護。祗恐淸霜早中。</text>
<title>疊</title>,<text>人世千秋舊節空。月宮仙樂散悲風。孤臣淚落隴頭水。歲歲黃沙白草中。是日。聖考誕辰。</text>
<title>又疊去年中秋所次杜千秋節有感韻</title>,<text>異域三年謫。玆辰再度來。人間空白日。地下分黃埃。斗晦曾回電。心寒已死灰。龍飛悲鼎水。麀伏夢靈臺。只掩看花淚。寧期賜燭迴。北風歸白鴈。天末數聲哀。其二聖節堯尊祝。南山只獨高。世空三島藥。天惜萬年桃。履位兢淵谷。憂民變髮毛。忠邪嚴袞鉞。誠僞析絲毫。自愧孤恩德。長哀祟瘁勞。秋風聽隴水。嗚咽起寒濤。</text>
<title>次聖姪寄示韻</title>,<text>獨坐思鄕里。吾親倚扉。淚隨南月滿。心共北風飛。平日晨昬曠。危時仕宦非。汝曹宜我戒。竭力報春暉。</text>
<title>又次其述懷韻</title>,<text>獨立江潭上。風霜凋蕙蘭。千悲與百憂。回膓又摧肝。忽得阿咸書。來經嶺路曼。書中更有詩。紙長移晷看。憶昔樓院別。北風雨雪寒。汝拜視吾面。回頭興暗嘆。我起握汝手。忍淚強自寬。上念白髮親。心如中毒丸。知汝事吾母。日夜誠能殫。骨肉分千里。何以令母歡。別後南來報。擾擾同戈干。帆檣日漂沒。風浪湧急灘。喜汝謝城市。盡室隱林巒。先隴幸密邇。深谷好旋盤。春秋奉俎豆。朝夕樂瓢簞。祠板就墓屋。神理庶相安。不知新搆室。能免風雨摶。深山無親戚。念母竆且單。山市魚塩少。鄕村醫藥難。天涯望子淚。朝暮應不乾。我在豆河上。形容已凋殘。名隷謫戍籍。一月兩赴官。布褐弊猶着。粟飯粗可餐。杜門不敢出。隨分耐苦酸。自別慈母顔。三閱歲華闌。羈心㥘氷雪。歸夢阻風瀾。卻悔不自量。夙歲廁衣冠。竭言論典禮。隨意事駁彈。不仕愧漆雕。學步笑邯鄲。退未効疏張。進未做莘磻。徒有胷中氣。鬱鬱斗牛蟠。終然去君親。有淚空漙漙。羡汝山野間。百年謝塵讙。萱棣蔭階庭。松菊繞簷欄。醉眠倚烏几。行吟據馬鞍。膝橫淵明琴。手持子陵竿。狎鷗傍煙渚。馴鶴坐松壇。秋熟四野黃。霜酣萬壑丹。應憐北塞客。膓斷隴水湍。平生致澤計。到今空見謾。汝叔已誤身。望汝名德完。詩書我家業。要在擴四端。世間禍福境。卻向度外觀。</text>
<title>又次其溪漲韻</title>,<text>遠聞溪水漲。江漢比何如。浮海志空大。觀瀾術莫疎。學宜先孝友。閒且讀詩書。盈涸看溝澮。前修恥聞譽。</text>
<title>次肅玉君擧唱酬詩錄中韻</title>,<text>吾弟與吾友。湖亭長對眠。渠兄俱謫遠。爾輩醉忘年。釀取鴨頭水。沽須鵝眼錢。相謀多置酒。歸日共陶然。君擧。洪友鉉輔字也。方寓其伯良臣亭。與肅玉所寓。吾亭相隣。良臣方謫南島。</text>
<title>疊次聖姪韻</title>,<text>朔氣連山郭。秋雲冷野扉。危樓風四撼。喬木葉孤飛。塞外三年謫。人間萬事非。一心餘耿耿。猶欲駐斜暉。</text>
<title>次聖姪過梨湖作</title>,<text>驪湖昔買三間屋。世念平時久已灰。誰謂江潭愁放逐。永慚田里賦歸來。可憐花木樵兒折。自在柴門野客推。吾姪詩來聞過此。秋風立馬獨徘徊。其二詩來滿眼梨湖水。二橡陰中一草家。爾自到門題鳳字。我曾臨岸聽漁歌。靑楓紫塞秋霜早。烏帽紅塵晩景斜。惆悵兒曹過逢地。獨留松桂蔭山阿。二橡。明瑞亭名。</text>
<title>次聖姪寧陵韻</title>,<text>尊周義不盡。人說孝宗長。江漢千年碧。喬山萬古蒼。流風觀廟德。遺志薦壇香。未共君臣享。荒凉萬義岡。</text>
<title>撤松簷。疊去年今日撤簷韻。</title>,<text>深室炎天爽氣多。短簷秋日忽暄和。凉溫取適踰吾分。成毁隨時感歲華。</text>
<title>許昂持詩來示。謂余神貌勝昔。聞頗驚異。遂次其韻答之。</title>,<text>疾病飢寒命合休。驚聞顔髮勝今秋。恬怡豈有涪陵力。憔悴曾無楚澤愁。</text>
