<title>洞口卽事</title>,<text>澗水潺湲響。楓林爛熳紅。扶筇何處去。笑指白雲中。</text>
<title>暮投烏原。草賊甚多。戒嚴不寐。</title>,<text>飢歲人情詐。孤村客睡疑。僮奴掩門是。邏卒踐更爲。熒熒燈花落。依依曙色遅。方知畸旅苦。趺坐任身疲。</text>
<title>自洪川冐雨早發</title>,<text>淸曉發危坂。衝泥活活來。非緣官務急。那得駟車催。岳色雲成畫。溪聲雨作雷。少焉風捲幔。浴日影徘徊。</text>
<title>悶旱</title>,<text>亢旱何其甚。由來咎在余。偏驚野無草。敢望雨隨車。天意如能感。民憂庶可舒。佇看躬禱後。甘霔沒犂鋤。</text>
<title>次泛翁寄示韻</title>,<text>淸坐茅齋下。蕭然不到塵。溪添終夕雨。花報滿園春。物態籠來盡。韶光觸處新。惟須謀一會。那忍負佳辰。</text>
<title>齋宮次賀姪韻</title>,<text>北陸寒威逼。東君消息遅。山留臈前雪。溪漲雨餘澌。春序已云暮。客懷何耐悲。憑欄成小睡。倦甚欲無詩。</text>
<title>滿月㙜</title>,<text>麗代宮遺址。耽遊席屢移。荊榛埋玉陛。禾黍種龍池。事蹟樵歌驗。興亡鳥語悲。老夫多感慨。吊古賦新詩。</text>
<title>設琴歌。小孫起舞。</title>,<text>踈懶憐吾甚。風情讓別人。偶然成小酌。聊爾答佳辰。素女歌聲逈。嬌兒舞態新。今宵歡意足。忘却病纏身。</text>
<title>大雨</title>,<text>急雨翻盆下。朝來大塊迷。聲交蛙叫亂。翅濕燕飛低。屋有床床漏。庭看衮衮溪。炊烟久不起。索飯小兒啼。</text>
<title>謾吟</title>,<text>老類分司白。慵如倒幘山。夢酣欹枕裡。詩就捲簾間。簿牒由來簡。琴棋着處閑。小庭微雨過。薝葍自鮮顔。</text>
<title>七夕</title>,<text>凉雨收朝嶂。輕陰鎖夕扉。炎氛忽爾去。肅氣颯然歸。楊柳寒蟬噪。梧桐落葉飛。病軀嫌太爽。催着舊襦衣。</text>
<title>除夕差祭齊陵</title>,<text>園陵將有事。淸曉駟馬過。屭贔雲垂地。迷離雪滿簑。飢烏啄古木。凍鵲集陽坡。旅舘寒燈詠。吟來感自多。</text>
<title>示壺谷赤谷 二首</title>,<text>境僻無塵累。身閑有釣絲。峰巒排畫障。溪水淨襟期。皓月池先引。淸飈柳獨知。此間幽興足。長作逸民宜。殘年病與伴。投紱早宜歸。庶保東岡趣。寧招北岳譏。開門靑嶂合。對案白魚肥。生理何須說。猶誇興不違。</text>
<title>走次赤谷韻</title>,<text>幽鳥間關語。偏憐盡日晴。題詩酬宿債。散帙有餘淸。疊嶂籠烟濕。高樓得水明。名區探勝景。聊以送殘生。</text>
<title>次赤谷枉訪後寄示韻</title>,<text>策杖雲埋逕。題詩月滿樓。閑居元勝景。佳節况新秋。仰面貪看興。支頤嘿坐幽。生涯此爲足。名利不須求。</text>
<title>中秋夜</title>,<text>幽意忽不樂。蕭條秋氣悲。扶筇聊試步。據几却支頤。地逈風來緊。峰高月上遅。徘徊池柳下。凉露滿衣滋。</text>
<title>聞赤谷金遠明七十之年。作嶺東遊賞之行。詩以賀之。</title>,<text>天上秋期早。壺中物態濃。欣聞七十叟。遍踏萬千峰。口沕烟霞氣。心肝錦繡穠。玆遊吾已慣。應有石間蹤。</text>
<title>北汀洪尙書 處亮 挽 五首</title>,<text>累世門閭並。平生分誼贏。久知公與我。眞似弟從兄。年位雖云絶。心期轉覺明。窮途更誰賴。珍重慣逢迎。羣從吾家盛。明公鴈隊隨。交情眞莫逆。歡趣自相知。幾喚芹村酒。爭酬竹閣詩。向來人事變。每語共含悲。銓部持衡日。文壇秉柄辰。恩私四朝最。謙挹一生眞。廷議推耆彦。輿情識藎臣。試看當世士。名下幾完人。箕尾返精爽。琴床仍舊庵。華銜一品峻。遐壽八旬參。後嗣能留四。達尊兼有三。身名無復憾。入地笑應含。大老今云逝。餘生路益迷。佳辰誰起興。勝處欲無題。怳若山河隔。難成里巷携。斜陽數聲笛。洒盡萬行啼。</text>
<title>挽洪德普</title>,<text>昔拜相公日。庭看玉樹奇。居然阻佳晤。忽復賦哀辭。短命人皆惜。無兒理可疑。孀閨聞晝哭。重爲岳君悲。</text>
<title>次起之韻寄許丈</title>,<text>蘭舟歸興滿山陰。高士慵眠石逕深。老去藏蹤如豹隱。酣來擊劒聽龍吟。三湖烟月同遊樂。一曲陽春寡和音。莫道仙凡從此隔。武陵他日可重尋。</text>
<title>月夜與許丈乘舟謾吟</title>,<text>春波不動鳥飛低。仙侶同舟興更携。蕭寺暮鐘迷遠近。孤村殘杵辨東西。風飄花片如紅雨。月照波光漾彩霓。擧網得魚仍促膝。新詩且復爲君題。江柳依依日欲低。白雲深處短筇携。新詩敢擬夔州後。小築將分浣水西。亹亹淸談霏玉屑。翩翩逸氣吐長霓。樽前笑傲滄洲濶。多少風光入品題。</text>
<title>次起之韻</title>,<text>滄浪釣叟本詩流。幾向山陰共小舟。陋巷猶存顔氏樂。明時還抱杞人憂。微茫渡口招招子。浩蕩江心泛泛鷗。且醉習池聊酩酊。淸狂千載屬吾遊。</text>
<title>騎省見二毛 以下七首課作</title>,<text>秋興詞成續楚騷。淸霜偏着鬂邊毛。搔來鄕思添新感。撚處詩情减舊豪。已覺靑銅當面厭。任敎金鑷策功高。先零蒲柳眞堪惜。直裡殘燈坐獨牢。</text>
<title>忽憶兩京梅發時</title>,<text>兩京春色錦江來。消息難憑一逕梅。幾愛暗香杯底動。遙思冷蘂雪中開。關心舊日廵簷笑。搔首殘年去國哀。健步無因移到此。忽逢佳節意悠哉。</text>
<title>新燕識舊巢</title>,<text>天回社日報佳辰。屋角初聞軟語新。舊主重尋如有約。危巢纔定恰藏身。呢喃尙認將雛地。飮啄還窺滿壁塵。㘅得尺書何處去。憑渠爲寄遠征人。</text>
<title>平沙落鴈</title>,<text>陽鳥翩躚下晩沙。綠苔如錦映蘆花。數聲輕濕淸霜重。一陣低翻落日斜。烟渚生涯唯自適。江南矰繳更誰加。歸時莫近長干里。思婦閨中夢正賖。</text>
<title>山市晴嵐</title>,<text>層巒如黛媚新晴。天畔浮嵐細細縈。輕濕酒旗時隱見。淡籠山店更縱橫。伯休賣藥方論價。仙尉藏蹤此避名。人散日斜禽語閙。野廛寥濶草花明。</text>
<title>秋光都似宦情薄</title>,<text>久厭靑袍幕佐名。忽驚時序謾崢嶸。偏憐晩景蕭條色。政似微官淡薄情。露氣剩添蹤跡冷。霜華巧着髮毛明。看山拄笏催歸思。擬學陶潛解紱行。</text>
<title>中夜悲歌泣孝宗</title>,<text>龍馭賓天歲幾過。小臣無復沐恩波。先朝至德超千古。中夜悲懷付一歌。點檢餘生身已老。思量往事淚偏多。傷心緬憶趍蹌地。寫出新詞與子哦。</text>
<title>大殿端午帖</title>,<text>湯液休祥叶兩宮。鸞輿遄返喜方融。田家已霈知時雨。殿閣初迎解慍風。宸札十行徵碩士。講筵三接驗新功。佳辰政値端陽節。賀罷歸來日向中。</text>
<title>大殿春帖</title>,<text>瑞色䓗籠氣象新。趁班環珮賀楓宸。觀㙜已報初回律。壽域同沾一視仁。禁苑雪消梅蘂綻。御溝風軟柳眉均。千官爭獻岡陵祝。共醉衢樽竹葉春。</text>
<title>大殿迎祥詩</title>,<text>和風暖律入韶年。上苑祥禽得氣先。運際亨嘉蒼籙永。政行寬大紫泥宣。金門曉闢排仙牓。玉座天臨敞講筵。聖代卽今啚至理。丘園束帛日招延。和風暖律入元朝。佳氣䓗籠擁九霄。葭換歲華移舊管。柳含春意弄新條。宮庭設爆聲生竹。法酒濃香色泛椒。聞道靑㙜傳喜報。妖星昨夜已全消。</text>
<title>世子宮端午帖</title>,<text>天回佳節景方舒。殿閣薰風煽物初。膝下恒存愉婉色。案中長對聖賢書。延賓禮備開筵日。典學功深問寢餘。看取萬民歌訟地。前星高拱北宸居。</text>
<title>送權水部 垕 赴幽谷督郵</title>,<text>經歲郞潛素計違。左遷猶幸嶺南歸。天長驛路官仍馬。地接家鄕錦是衣。孤舘捲簾靑嶂近。晴窓落筆白雲飛。新秋抱病元多感。此日臨歧思轉依。</text>
<title>甲辰正月初五日朝參後。知申事南雲卿令公搆志喜詩傳示省中。走次其韻。</title>,<text>和風藹藹解凝嚴。殘雪初融輦路霑。寶座天臨傳蹕逈。銅壺水咽報籌添。羣工競賀嵩呼動。近侍爭趍玉色瞻。咫尺簪毫陪盛禮。小臣榮懼此時兼。</text>
<title>送起之龍岡之行</title>,<text>妙歲居然漢竹分。人皆咄咄我欣欣。西關大縣龍爲最。東閣新春鴈作羣。刃到錯盤方別利。床聯風雨可論文。他時魯衛聞嘉政。佇見徵書下五雲。</text>
<title>次錫余兄 李公三錫 寄示韻</title>,<text>思君空作有情癡。白日看雲睡自宜。每恨分山違宿計。還憐多病負深巵。詩從錦水新聲在。身載漁舟逸興知。欲向西湖隨釣侶。其如乾沒鬂成絲。</text>
<title>次子華起之寄示韻</title>,<text>沂相纔從貴府回。爲陳治蹟聖顔開。三年苦節淸如水。百里歡聲動作雷。佇見璽書增大秩。聊憑賀使送深杯。曾攀雙璧瓊琚什。欲和兼將尺素裁。時洪相極贊子華治蹟於榻前故云</text>
<title>正陽寺次舍兄韻</title>,<text>中秋靜夜月輪安。坐我婆娑桂影間。勝地奇遊兄弟會。佳辰美景畫啚看。淸霜戒節楓如錦。灝氣漫空玉作山。今日四仙同跌蕩。懸知千載繼蹤難。</text>
<title>伏次伯父壁上韻奉伯氏</title>,<text>天公偏爲弟兄私。特許仙區會面期。坐對玉峰寒似水。平臨滄海小如池。歡情細雨床聯日。佳節中秋月滿時。一炷淸香塵事絶。尊前幽興老僧知。舍兄不赴北關而來山中。故第二句及之。</text>
<title>隱仙㙜。次舍兄韻。</title>,<text>瀑作長虹石作㙜。森羅萬象此中開。爭酬落景歌三疊。遙勸飛仙酒一杯。倚杖玉峰雲滿袖。題詩紅葉錦成堆。笙簫響徹靑霄外。怳惚身如駕鶴來。</text>
<title>龍堂泛舟</title>,<text>蘭舟蕩漾泛龍津。物色渾如漢水濱。佳節一年重九日。勝遊千里兩三人。嬌歌咽咽紅粧艶。離恨愔愔翠黛顰。想得洛城歸去後。名區烟月夢尋頻。</text>
<title>溫陽行在所。次堂兄寄示韻。</title>,<text>帳殿高開觱彼泉。環途士庶覩爭先。香烟乍起仙班定。玉趾纔臨喜語宣。布德已頒寬大詔。招賢仍設講劘筵。微臣扈蹕慚無補。恭祝岡陵萬萬年。</text>
<title>送李兄 俊耉 出按關東</title>,<text>曾携孤竹宿瑤壇。復送㫌旗指玉巒。地是靈源千古秘。人非仙分一遊難。多君此去全酬債。愧我重尋未解官。試覔劉郞前度跡。石間題刻至今丹。</text>
<title>別洪兄國卿北關佐幕之行</title>,<text>學士聯翩幕府馳。是知廷議重邊陲。遐氓拭目瞻儀日。驕將聞風俛首時。夜宴戍樓圍粉黛。春蒐朔野擁㫌旗。玆遊本自男兒事。肯許幾微出色辭。暮境相依只弟兄。誰言人事更難平。秦樓忽罷連枝會。庾幕應深夢草情。嶺險磨雲千里隔。書傳閱月萬金輕。忘憂不必耽杯勺。要賦新篇播正聲。</text>
<title>到鏡城營下任所。適有臂病。時主將在行營。作書勸留本營調治。不許進來。走筆錄呈。以伸謝忱。主將卽兵使李公晩榮。戊申北評事時。</title>,<text>寥寥公舘客懷酸。伏枕經旬兩鬂殘。千里遠來猶阻面。中宵孤坐不成歡。休嫌幕府淹留久。自恃將軍禮數寬。遙想南樓端正月。與誰携酒共團欒。</text>
<title>會寧途中有感</title>,<text>白山橫亘豆江奔。從古行人捴斷魂。誰遣病身還到此。試看前路欲無言。孤村烟起華夷辨。大陸風來天地昏。近侍至今流落久。有時回首望金門。</text>
<title>呈兵相</title>,<text>家在長安駱峀東。弟兄相對起居同。遙臨塞土身如寄。却望鄕關信不通。滄海環流城拱斗。白山高峙月彎弓。春愁黯黯催年老。心計今來十九空。</text>
<title>次兵相寄示韻。兼奉而栗 崔公寬 休徵 孟公胄瑞 兩詞兄。時崔公宰穩城。孟公宰鍾城。</title>,<text>誰遣吾儕絶塞臨。相逢却訝雪盈簪。天涯把袂仍佳節。燈下論詩捴會心。宦海聲名俱夢幻。酒池身世共浮沉。偏憐幕客靑衫破。戀闕思鄕涕滿襟。</text>
<title>送愁州使君鄭西望 華齊</title>,<text>鍾山舘接豆江流。每憶殘燈獨夜留。以我昔年爲客苦。知君此日佩符愁。驚心關路茫茫遠。擧目胡煙點點浮。隨處險夷宜一視。况聞先績播玆州。</text>
<title>送申寅伯湖南按廉之行</title>,<text>玉節徐行駟馬鳴。官爲按察亦云榮。遐鄕拭目爭先覩。列郡趍風恐後迎。攬轡豈曾容汚吏。停車自可濟疲氓。懸知南國甘棠詠。不負吾君藻鑑明。</text>
<title>追次東郭金相公 壽興 韻</title>,<text>菊花初發報佳辰。瀟洒幽居不到塵。排悶細傾無事酒。題詩聊寄有情人。浮榮已付神奇幻。末路方知契許眞。咫尺楊山千里隔。停雲曲罷首回頻。</text>
<title>次文谷金相公韻</title>,<text>歌傳水調自遐荒。紙貴長安競寫忙。塞竇此時應守靜。賜環何日更催裝。身同敗葉驚風雨。節比寒松傲雪霜。萬事人間皆素定。窮通一任彼天蒼。</text>
<title>李丈 㝢 後園賞花。李丈出示堂兄靑湖公平日所詠。怳若對面。詞藻且甚淸新。覽之不覺悲感掩涕。書此奉北汀老詞伯。</title>,<text>零落當時醉後吟。卽看詞藻邁何陰。淸儀在眼偏多感。小酒無心此獨斟。藝苑蕭條聲調絶。竹亭寥寂草萊深。交遊只有西隣老。爲說孤懷逬淚尋。</text>
<title>李丈家後園。追次壺谷南雲卿韻。</title>,<text>向晩催杯興欲狂。百年玆會最難忘。折花臨水童心在。扶杖登山老脚妨。已分此生常守靜。肯隨浮世競趍忙。無端禽語枝頭喚。解作詞人皷吹膓。</text>
<title>李學士太初 沆 爲榮養陳章乞縣。御筆特除扶安縣監。臨發索詩。率爾錄奉。</title>,<text>一䟽勤勤徹建章。爲緣慈老在高堂。宸情特軫林烏哺。御筆親除稻蟹鄕。列鼎方知榮養至。開樽先詑聖恩長。周南久滯君休說。玉署重應近耿光。</text>
<title>更疊前韻。寄示文谷。</title>,<text>磻溪松竹就蕪荒。遷客歸心逐水忙。已分形容漁父問。任從冠服野人裝。吳州海濶同看月。楚戶砧寒奄度霜。藁葬層峰還此日。鍾情添得幾莖蒼。時文谷纔經哭夭竹下柴扉細逕荒。湘流袞袞歲華忙。佇看衛士爭加額。誰遣曹公更趣裝。天上雷霆無竟日。涪南髭髮未全霜。靑春作伴歸來地。依舊窓前岳麓蒼。未全一作未添</text>
<title>次李姪瀅四友堂韻 桂松梅竹</title>,<text>劉巖落子半飄雲。秦𡽹高標五作羣。庭內耽看何問主。窓前初發却疑君。閑來嘯詠爭呈趣。興到摩挲幾取醺。最愛蔣公添一徑。因風吟似衆絃聞。劉彦冲巖桂詩曰孤根抱寒玉。落子半飄雲。</text>
<title>次金甥盛後四友堂韻 詩酒琴棋</title>,<text>堂成四友樂仍全。晩計吾將此老焉。長日騷人消一局。閑情處士伴無絃。吟因言志非徒爾。飮爲排愁便兀然。羅列案頭交莫逆。幾回相對曲肱眠。落句一作更覺倦時添一味。黑甜鄕裡伴書眠。</text>
<title>次石村韻奉竹里</title>,<text>疋馬歸來穩枕聯。羡渠身計任蕭然。休言勁節難逋網。自笑平生不直錢。謝世從他羣謗速。戀君惟有寸心懸。同隣幸賴阿兄在。一棹相迎興更偏。</text>
<title>次起之韻</title>,<text>眞如莊叟㓒園逃。敢擬元龍百尺豪。浮世榮名如昨夢。滄洲佳趣屬吾曹。西隣並馬東隣屧。左手持螯右手醪。分外優遊還是幸。弊床䟽席坐方牢。</text>
<title>更疊前韻</title>,<text>勇退非關世網逃。騷壇何幸遇詩豪。差池短髮憐同父。洒落新聲逼水曹。勝處幾携垂釣伴。興來時喚過墻醪。從今永保天機靜。念斷雌黃守口牢。</text>
<title>偶吟</title>,<text>向晩風輕暑氣殘。半輪明月掛林端。身隨野叟頻爭席。跡混漁人或卸冠。退去先憂追范老。坐來流涕等袁安。芳菲欲歇覊愁切。滿目汀洲強自寬。</text>
<title>偶吟奉諸公求和</title>,<text>迎客琅玕盡日留。披襟恰慰旅愁幽。花陰乍轉藏春塢。月色先通近水樓。跡阻蒼龍憐潦倒。身隨白鳥任沈浮。分山一約君休負。田舍何妨問又求。</text>
<title>次起之韻</title>,<text>賢路當時愧久妨。世間譏謗亦何傷。風流敢擬追劉尹。消瘦偏驚等沈郞。鬂爲思家看種種。淚因憂國自浪浪。閑愁撩亂無由瀉。滿眼芳菲日政長。</text>
<title>喜雨呼韻</title>,<text>太乙祈靈格上天。滂沱甘澍洽圭田。魏公詩慰三農望。殷后誠看六責宣。荒壠已騰憂者樂。病苗將見勃然痊。年豐家給斯爲瑞。擬寫神功簡冊傳。</text>
<title>與梧灘，竹里會于石村。次瀛奎韻聯句。</title>,<text>江湖棲泊淡如僧。弼卿。 聲利營營過耳蠅。仲美。 仲擧對徐風滿榻。國卿。 廣文留杜雨侵燈。仲翊。 團欒更托忘年契。起之。 遅暮還思繫日繩。弼卿。 百遍相過吾不厭。仲美。 高樓盍簪捴佳朋。國卿。伊人宛在水之涯。仲美。 一棹相尋路不賖。弼卿。 適意莫如張翰酒。國卿。 駐顔何必葛洪砂。南風却透煩襟爽。起之。 西日仍隨醉帽斜。仲美。 從此可成文字會。弼卿。 前期猶趁未殘花。仲翊。</text>
<title>卽事呼韻</title>,<text>江湖豪氣愧陳登。一棹飄然耐可乘。幾解金龜酬令節。時呼白鳥作佳朋。沙邊點綴看漁火。樹杪依微認佛燈。分付兒童籬掛網。散人幽趣此間憑。</text>
<title>次仲翊韻</title>,<text>衰病誰憐懶入朝。竹扉終日掩寥寥。世間名利元非願。江上歸休豈待招。興入杯心添野水。閑看帆腹泝風潮。同隣幸有騷壇客。談屑霏霏晝繼宵。</text>
<title>抽次瀛奎詩韻</title>,<text>蕭蕭風雨送輕帆。擬訪幽居向水南。佳節一年當夏仲。離懷數日若秋三。徐君未解陳蕃榻。平子難逢衛玠談。望裡滄洲知不遠。鷺盟孤負使人慚。宦道危如灧澦帆。閉門牢睡學啚南。窮愁我獨伴千萬。佳客君今携二三。拄笏前山看爽氣。圍棋別墅接華談。人間苦樂何須說。心計思來面有慚。</text>
<title>次伯涵寄示韻。奉竹里兄。</title>,<text>草閣蕭然隔鳳城。覊蹤敢擬季鷹行。休言踈節乖今世。自笑浮榮誤此生。脫却豸冠寒士伍。着來魚服小僮驚。江潭屛逐誰同病。咫尺西隣賴有兄。</text>
<title>次竹里石村 柳公之發號 寄示韻</title>,<text>雨鏖炎暑似淸秋。遙想西湖汗漫遊。何處吟詩憑短棹。有時携酒上高樓。翟公官罷無人問。杜子家貧任婦愁。咫尺濠梁違宿約。停雲曲奏恨難休。</text>
<title>次伯涵韻奉諸公</title>,<text>漫浪江湖二客從。芳樽開處倘思儂。平生一任山公放。聖世難容叔夜慵。閑對稚兒騎竹馬。淸看小砌舞槐龍。新詩此日聯翩至。三峽波濤繞筆鋒。</text>
<title>次竹里題竹里舘韻</title>,<text>毫端逸響逼庭筠。谷口幽居類子眞。往往寄來湖上句。時時驚動洛陽人。懶從酒伴酬佳節。或喚溪翁作好賓。貧窶一生爲長物。任他中饋婦愁新。</text>
<title>次起之韻</title>,<text>心同庭草保天機。盡日空齋掩竹扉。小砌暗香薰棐几。前山爽氣透蘿衣。曲肱自喜眠還穩。塞耳從他世共譏。身計思量吾已了。方知四十九年非。</text>
<title>會梧灘。追次諸公用唐律韻。</title>,<text>客興爭如山色濃。九秋風景別爲容。醉情偏愛峩峩玉。爽氣眞同謖謖松。頭戴鶡冠思杜子。身披鶴氅類王恭。佳辰爛熳君休負。看取筵前酒滿鍾。</text>
<title>仲美江亭會飮。將還走次容齋集韻聯句。</title>,<text>罷酒高樓日已斜。將還留待月生華。弼卿。 尊前冉冉垂黃菊。樹外依依度暝鴉。君實。○李公世華。 野渡客稀舟繫岸。亭臯秋晩葉埋査。仲美。 携來謝眺驚人語。練似澄江綺似霞。國卿。</text>
<title>翌日仲美次聯句韻以示。卽次却寄。</title>,<text>佳辰跌宕帽簷斜。把酒仍憐鬂各華。搥碎高樓爭吐鳳。飛騰濃墨看翻鴉。危欄彷彿聞天籟。遠水依俙泛漢査。萬象森羅誰寫得。多君綺語帶烟霞。</text>
<title>奉竹里博粲。仍賀冠兒。</title>,<text>竹里幽居久未尋。詩來一唱有遺音。曾違令節聯床會。又負華筵對酒吟。聞爾忽然成項領。生兒如此慰人心。他時杜曲逢迎地。驥子扶携上碧岑。生兒如此。足慰人心。王渾爲其子濟言驥子。子美第二子宗武小字故用之。時竹里冠第二兒故云。</text>
<title>次李季玄令公知白韻。寄西湖諸詞伯。</title>,<text>山公醉後倘騎驢。離索偏憐阻起居。湖上縱然筒屢遆。樽前其奈席常虛。交情益見窮通際。世念全消寵辱餘。莫負當時分華約。暮年栖息興奚如。灞橋肩聳跨羸驢。騷客閑情水竹居。爭播郢中音寡和。始知名下士無虛。風流想像持杯後。顔面依俙入夢餘。咫尺相思違宿約。自慚乾沒繫匏如。</text>
<title>寄梧灘。仍示諸益。</title>,<text>未賦歸田宿計違。端居深巷出門稀。床頭縹帙書千卷。窓外寒梅玉一圍。物態已從窮達見。宦情曾爲懶踈微。西湖勝景眞堪賞。聞道樓前雪滿磯。</text>
<title>次壺隱 任公奎號 韻。寄梧灘，竹里。</title>,<text>散人離抱詠寒天。騷客閑悰付醉眠。肩聳想應吟雪裡。身飛直欲墮樽前。風期久隔江湖主。文采難逢翰墨仙。何幸賞音任李在。却將佳句遆筒傳。</text>
<title>次壺隱韻。示道村 李公藼號 求和。</title>,<text>凍雪初飛妬臘風。閑中景物看曈曨。翟君此日方羅雀。桓典當時久避𩣭。虛室獨憐迎月白。小槽偏愛滴珠紅。殘年濩落成何事。鬂髮蕭蕭一任公。</text>
<title>次壺隱韻</title>,<text>閑來文史足三冬。不恨家貧菜糲供。扶杖有時尋小澗。岸巾聊復撫孤松。沉冥自擬嵇中散。禮法何論阮仲容。一曲陽春誰敢和。騷壇新得老詞宗。</text>
<title>次壺隱韻。寄壺隱道村幽居。</title>,<text>勝處誅茅俗頗厖。風塵不到斷紛哤。山人多暇伴沙鷺。官吏稀來眠夜狵。把酒氷鱗入晩案。看書凍旭明暄窓。憐吾匏繫將安往。雪裡空勞夢釣江。</text>
<title>次舍兄詠梅韻寄梧灘</title>,<text>玉蘂氷魂滿意凉。呀然査格出尋常。晴窓幾翫踈踈影。燕寢偏憐冉冉香。肯逐韶華爭衆卉。能欺雪色保孤芳。憑渠早得春消息。剩借騷人分外光。安排素質室生凉。老我端居在目常。艶奪樓頭妃子笑。淸如席上令君香。誰知落盡寒天木。能自移來特地芳。永夜窓前偏照耀。月中蟾桂讓晶光。窓暄寧怕受風凉。査竅枝回品不常。坐愛茵床粘冷蘂。行憐衣袖着輕香。廵簷幾喜爭題句。聞笛先愁遽損芳。天地陰陰惟雪色。看渠獨立占春光。最愛氷魂照室凉。由來標格絶倫常。依微月下還疑絮。暗淡窓前却送香。能傲雪霜堅節操。肯隨桃李妬芬芳。孤山千載無人在。誰賞淸陰與素光。</text>
<title>次梧灘韻却寄</title>,<text>閑愁黯黯鎖吟眉。睡起晴窓日政遅。兩地相思空有夢。一春將盡久無詩。遙憐樓下江如練。誰賞巖邊柳嚲絲。佳景未闌聯袂訪。歡情應在把杯時。</text>
<title>山舘書懷。寄梧灘，泛翁求和。</title>,<text>山舘寥寥晝掩荊。角巾瀟洒一書生。元知破硯難爲食。自笑荒田久未耕。梅澗空聞黃鳥請。林泉虛負白鷗盟。邇來况別騷壇伴。回首灘樓只愴情。</text>
<title>寄梧灘，泛翁。</title>,<text>馬首東來北洛遙。寂寥公舘轉無聊。身因聽訟憐常倦。髩爲思人覺盡凋。莫道流年元易邁。偏愁長日最難消。名區倘遇天台訪。詩酒相迎共彩橈。</text>
<title>寄梧灘，泛翁。</title>,<text>三處西湖會以文。騷壇盛事至今聞。灘翁酒態溫溫玉。泛老詩情藹藹雲。却恨淸遊空入夢。偏憐勝地獨離羣。秋懷憀慄眞難瀉。旅枕無眠到夜分。</text>
<title>偶逢慶州漁人。寄府尹任文仲。</title>,<text>爾吾俱是鬂毛凋。紫綬雙垂偃蹇腰。地蹴溟波千里隔。天連秋色一身遙。淸遊每憶梧灘榭。勝賞空孤鏡浦橈。獨對棋樽懷轉惡。謾將詩句付招招。</text>
<title>九月初六日。與李擇之及營將李斗龜。自竹西樓歷遍諸處後。乘舟下三陟營將鎭所。誠奇觀也。酒後口占。</title>,<text>竹西樓在綠江濱。特地風烟入望新。佳節重陽前二日。奇遊千里外三人。開襟促膝身如夢。橫槊題詩筆有神。明發東西分散後。可堪回首各沾巾。</text>
<title>臨瀛壁上。伏次先祖樗軒先生韻。</title>,<text>建幟騷壇憶昔年。珠璣散落海東天。羹墻感切摩挲裡。牙頰凉生詠歎邊。葉縣幸逢佳節序。巴陵分得舊風烟。滄波極目無涯思。直欲因玆訪列仙。</text>
<title>次錫余兄寄示韻。述閑中卽事。</title>,<text>扶杖徐行石徑微。竹陰瀟洒翳殘暉。斜臨別浦鰲頭聳。俯瞰洪溟鷁首飛。凍雪霏霏拖絶壑。頑雲漠漠鎖前扉。沉吟草坐仍忘返。皓氣漫山宿鳥歸。</text>
<title>寄道深</title>,<text>依依萬柳蔭成莊。最愛淸江繞彩堂。令節兼聞龍鳳管。名區又是蟹魚鄕。主恩今日還高卧。賢路當年已久妨。况有習家春酒熟。時時乘興與君甞。</text>
<title>近而鏡浦，普賢，鶴洞。遠而金剛，淸澗，天吼。皆可賞。而公冗所拘。未能拔身。春將盡矣。花已衰矣。悵然口占。</title>,<text>萬事惟宜任化兒。名區勝賞惜差池。春如過客嗟難住。花似佳人奈易衰。咫尺濠梁猶未到。三千蓬島若爲期。何來簿牒還相急。笑殺淵明興盡時。</text>
<title>東閣卽事</title>,<text>瀛洲終古擅繁華。到處風光絶等差。鳥島漫空烟嚲錦。鶴㙜臨水浪裁紗。地隣暘谷先看日。天借東君早發花。最是山公頻倒幘。佳辰歌吹耳邊譁。二月桃杏盛開故云</text>
<title>次伯氏拋毬樂韻</title>,<text>玉貌羅環錦瑟邊。分曹獻笑態方娟。新詞唱處齊螺䯻。妙舞張時並燕肩。乍進似嫌金紐重。輕旋強喜赤丸穿。眼前爭勝那曾負。爛醉流霞玳瑁筵。</text>
<title>次伯氏竹亭韻</title>,<text>兩兒先導兩翁從。扶杖同臨最上峰。嫰竹籠山常帶色。飛花戀樹尙含濃。天邊遠見依俙舫。風外遙聞斷續鐘。蓬島三千何處是。因玆欲訪赤松蹤。</text>
<title>寄壺谷。仍奉北汀詞丈求和。</title>,<text>環流滄海限東天。潦倒行裝白盡顚。千里同看唯是月。一樽重對更何年。莊生盆叩悲奚耐。廷尉門關冷可憐。駱峀風光誰共賞。停雲歌罷意茫然。</text>
<title>寄南仲輝謫所</title>,<text>西湖摻別夢依依。消息中間一紙辭。逐客形容漁父問。使君行李鶴琴隨。黃堂嘯詠眞多愧。白屋艱辛未救飢。聞道湘江雷雨遍。賜環何日共深巵。</text>
<title>東樓謾吟</title>,<text>淸坐華軒晝漏添。慵來信手展書籤。山光釀靄濃如畫。雨氣驅炎爽入簾。滿沼芳蓮開爛熳。蘸堤垂柳弄輕纖。偏憐皷吹黃鸝響。欲寫新詩筆屢拈。</text>
