<title>寄徐上舍精甫</title>,<text>長夜耿不寐。寒燈愁照人。回頭語孤影。微爾更誰親。</text>
<title>曉上山水亭</title>,<text>十分幽襟更賞幽。水光山色畫中秋。輕雲稍稍開高嶂。初日暉暉湧半流。躍馬非心離紫陌。邀仙有路望丹丘。臨風一笑乾坤隘。駕羽何時上玉樓。</text>
<title>寄直淸兄弟讀書山寺</title>,<text>凈水晴巒別後秋。思君對景意悠悠。魂歸寺路雲陰重。夢入書囱月影流。榻上何時聽夜雨。舍南多日伴幽鷗。爲分勝賞期余美。莫向空山送歲遒。</text>
<title>遣意</title>,<text>靑山與我長爲伴。江水西流太小情。一笑臨風心已廣。孤吟待月趣仍淸。曉天遠樹依依靜。霽浦凝煙冉冉輕。力疾登亭塵事寡。卷舒書帙過平明。</text>
<title>賞月</title>,<text>收拾淸秋十分華。好關幽意勝如何。孤舟若泛稽山雪。醉手猶探采石波。遠峀蒼巒看影薄。寒沙白水占輝多。袖裏直藏今夕月。三光凋後對姮娥。</text>
<title>聞直淸兄弟歸期在近。喜得看字。</title>,<text>虛亭一夜雨聲寒。秋動江鄕暑氣殘。月鍊明華流玉洞。風驅爽意繞霞冠。雙淸正値名區勝。兩美胡分此地歡。聞道歸期將在近。湖山應欲使人看。</text>
<title>淸江</title>,<text>日晏江湖游氣褰。登臨十里鏡中天。涵亭底曳拂簷鳥。隔樹傍含浮野煙。風靜雨痕留灩處。石寒秋色動蒼邊。一區淸意多關水。况此朝晴對淼然。</text>
<title>連筒灌小園</title>,<text>昨夜江湖春漲浪。餘波可灌小園中。斫來舊竹梢雲玉。連得長筒飮水虹。腹吸凈羅千尺遠。尾噴輕霧萬堆空。漸看融雪生寒地。抱甕何須羡漢翁。</text>
<title>萬里正含情</title>,<text>天敎兄弟不相將。鴈散驚風各異方。對月通宵長愴目。逢秋隨日幾摧膓。山河劒戟交遮斷。魂夢音書共杳茫。萬里含情情萬斛。化成淸淚溢瀟湘。</text>
<title>初秋晦</title>,<text>露促郊原萬寶成。疇人歌溢喜豐情。湖山秖有閒遊勝。風月仍隨特地淸。景滿幽亭還有飽。秋多佳句可無營。三旬欲暮重何事。占取江楓稍稍明。</text>
<title>仲秋朔</title>,<text>欲霜秋氣日蕭颯。八月南天鴻鴈多。洞澈江流奩盡坼。嫩紅楓葉臉微酡。良時無恙湖山眼。閒地成功硯墨哦。預報雲師休作惡。望舒寒影恐婆娑。</text>
<title>天長鴻鴈哀</title>,<text>客路厭看鴻鴈來。倦飛何事叫風哀。關遙沙漠雪霜後。地闊瀟湘雲水隈。繞月摩星意未已。愴山愁野首頻擡。丁寧南北元渠所。莫自多情好往哉。</text>
<title>藜杖去尋詩</title>,<text>吟筇苦恨句非奇。聞道八關去覓詩。春到柳林初雨葉。煙開池水更風漪。一區作府騷人詠。三尺成功墨客資。謝屐莫言尋已盡。杖藜隨處有餘詞。</text>
<title>詠春回雪深</title>,<text>衰年偏苦春陰雪。詩思還除孟浩豪。南峀曾驚摧挺檜。東郊更怕滯抽蒿。梅腮色老囱前馥。柳眼光殘江岸高。造物解猜佳節事。畸人端合醉松醪。</text>
<title>秋蠅</title>,<text>爲報營營逐氣蠅。秋天霽後洗炎蒸。殘翎且莫依樊棘。眇質其如畏雪冰。白露滋寒圭欲售。彤霞收熱賦休憎。明年愼爾無生育。好過西風柰未能。</text>
<title>養眞衡茅下</title>,<text>紫陌多年失趣眞。人間風雨正酸辛。歸來得意三間屋。自在灰心十丈塵。夜月蝕殘重色象。秋江潦盡更精神。誰知五斗閒官祿。不直衡門五柳春。</text>
<title>怡老堂晩興</title>,<text>十里平蕪日已沈。蒼茫暮色滿雲林。秋江長鏡依依暗。霽壁高屛稍稍陰。雨歇輕沙遲去鴈。風開茂樹易歸禽。悠然占得淵明趣。更倚枯筇盡意吟。</text>
<title>人世信少娛</title>,<text>天地間生非偶爾。如何人世反愁吾。覊縻壯士龍鷹苦。形役閒情驛馹瘏。底處崎嶇眞一夢。此身歸老是良圖。佳山好水雲霞外。欲做殘年物表娛。</text>
<title>始覺新年上鬢端</title>,<text>素髮蒼顔老一官。新年添得鏡中殘。胷中謾抱潘郞恨。天下徒增賈子歎。壯志蹉跎悲短劒。華顚蕭瑟媿高冠。如令盡白三千丈。來歲從何上鬢端。</text>
<title>山水亭歌</title>,<text>幾躋躋幾疊疊。遠自海上來。磨圭削玉臨長江。江水騰渀過其下。洋洋乎潾潾乎。爲淵爲瀧長風。有時如力爭波濤。巖壁相摏撞。有山有水何最勝。君不見積雨霽後奇形恠形。使人目眩神𢥠。七百里湖如海。千萬尺山吐淙。景賞爭傳是仙區。幾年天慳地秘。一夕輸來書囱。囱前有路隔朝市。寧聞車馬客之跫。但見柳渚沙汀煙樹裏。翩翩白鷗飛來雙。浮雲富貴裾不曳。我非三公與元戎。何用彼几舃旌幢。深懷明月嫌自沽。非不知伊尹興商家。太公經周邦。天乎以我樂山水。又何必學比干龍逢。笑矣乎說客力士售智勇。到白猶圖相印佩期鼎鼐扛。何如濯纓淸江流。興來山房傾酒缸。臨風時揖凌虛子。白雲不隔劉雞狵。出寥廓遊鴻厖。胷襟無俗物。在世小喧哤。淸飆白月作故人。陶陶浩浩歌數腔。君莫問我爲誰。潯陽陶兮鹿門龐。</text>
<title>寒岡鄭先生挽</title>,<text>夫子之生與道俱。千年理窟踵程朱。逾冠便采名山玉。指陶山。 異日曾探巨海珠。指南溟。 也是誠明元自了。矧玆師友且交須。十分霽月涵秋水。百鍊精金出鍛爐。未喫力時超百氏。到收功處集羣儒。味氊味𤸈詩書腹。參天參地仁義軀。林下幾年談孔孟。王前一夕講唐虞。再登金府朝儀肅。三入銀臺聖眷紆。觀否泰機知進退。卷經綸手臥江湖。發揮帝舜傳心法。沿革周公制服圖。十九代書標紀曆。五先生禮輯錙銖。臥龍志裏神交遠。太極屛中妙契孚。愛翫泥蓮今茂叔。朗吟天月舊堯夫。平生事業惟經訓。盛世論章摠廟謨。指示迷塗高堠子。提撕來學大規模。新安再得賢師作。洙泗重開聖路蕪。猥以散材承顧眄。晩將非腳忝摳趨。高年自歎周翰累。大度猶憐子夏癯。豈意元朝拜函丈。終天別酒是屠蘇。斯文宗嫡誰重嗣。吾道從今已矣乎。</text>
<title>挽李顯卿 昌國</title>,<text>系聯我外家。居同我一縣。所以就傅年。猥識李邕面。非才侍翰墨。幾度隨藝戰。追陪十餘載。情誼最繾綣。且與賢胤子。晩節頗相善。結契未多年。兵塵迷禹甸。因成星雨散。異地俱飄轉。幽明倏已隔。一別不復見。長懷徐孺志。且孤生蒭薦。誰知平生心。不以生死變。有時逢孝孫。相對顔空靦。今聞靈櫬回。意切相迎餞。人生足魔障。數日患風眩。徒增傷感懷。又闕一杯奠。含哀寄空詩。悵望淚如霰。</text>
<title>挽鄭參奉潤派</title>,<text>頎然吾契長貌古。心亦古以三韓望。族食力居下戶才。雖無可稱行且無。可惡享年何不長。六十二加五揮涕。挽公車苦月荒山路。</text>
<title>遊仙辭</title>,<text>秋夜候蟲聲。一夢非人間。蕭然宇宙外。羽駕遊三山。采采金光草。身老浮雲閒。如何躍馬兒。白首醉塵寰。</text>
<title>秋興</title>,<text>秋氣日蕭蕭。素水揚寒流。蜩螗未解事。長鳴欲無休。靑天有夜月。光輝知幾秋。常懸倘不凋。吾欲與爾遊。</text>
<title>秋水</title>,<text>雨乍不成霖。江明仍自秋。十里開長鏡。鏡裏銀河流。河邊亭有影。幻作蓮葉舟。日月行其下。直在天上遊。</text>
<title>病中戲成古風一首。寄示茂伯。</title>,<text>昔爲問病人。今爲臥病客。誰意一失馭。三旬長委席。藥物無價散。盤飧折尾麥。老妻笑相語。無忘在莒厄。</text>
<title>李杜</title>,<text>波寒夜郞天。明月空千秋。猿啼巫峽雨。草堂暮溪頭。文章憎命達。二子令我愁。爲君問奎星。奎星更知不。欲開文明運。須起李杜儔。更使騷壇伯。揚名上龍樓。</text>
<title>卽景</title>,<text>漁火起江心。彤霞在半天。山色入暮雲。蒼影漸辭淵。羽聲趨林鳥。炊香滿閭煙。淸華浮十丈。白露生東阡。松風忽披拂。能作雨蕭然。瞻聽竟未了。餘勝夢可全。</text>
<title>秋夜不寐</title>,<text>抱病門生網。獨夜人斷聲。乾坤男子意。細聽候蟲鳴。風葉過雨打。螢郊飛火明。古書心暗結。茂草露潛橫。遠灘從入耳。有夢成未成。</text>
<title>南厓秋色</title>,<text>羣仙宴南嶽。罇中酒如河。偏醒笑性靈。靑鳥邀我過。是時秋正早。白露空山多。痛飮期盡醉。朝來顔欲酡。秋山已解飮。我獨不飮何。</text>
<title>金萬丈冠禮後。地主有詩。邀余和之。遂步韻以呈。</title>,<text>昔願著冠弁。今思在襁褓。三加禮纔畢。相視迭嗟悼。當其失乳時。豈意有今年。所以父子情。此日尤可憐。新詩十六句。字字能感人。因之以勖君。學問須勤辛。事君貴盡己。事親貴養志。大丈夫一身。惟此兩般事。</text>
<title>八音歌。寄謝茂伯前日見訪之勤。且寓此時正襟相待之意云。</title>,<text>金馬玉堂客。不與寒士友。石交惟有君。衝泥來半畝。絲絲細雨中。一笑雙白叟。竹林當時遊。亦能如此否。瓠罇不足珍。碧筩猶可口。土饒菜本肥。盤飣非無有。革帶解還結。塵巾更抖擻。木床可延客。相期重握手。</text>
<title>贈別許若虛之雉城任</title>,<text>昔我未見君。但願一識之。豈料識君後。有此天涯離。我始未相識。君去我何悲。以我識君故。君去我淚垂。相別在今日。相見又何時。不堪苦惻惻。還恨始相知。</text>
<title>病中書感。奉寄梅村兄。兼呈李新之。</title>,<text>完顔遺種久雲擾。鐵騎年年冦燕趙。藩邦雖切報主忱。勺水無柰方揚燎。疲兵深入勢莫支。倚柳將軍飮恨殀。元戎不死累聖德。誰信誠忠如日曒。遂令紛然疑阻心。起於一時之羣小。神明天子新嗣統。萬曆緖業終應紹。雙星銜出紫泥書。飛下丹霄度華表。關西四十二州路。冠蓋翩翩連儐佋。王城禮接未半月。玉節還向龍江眇。仙槎幾日到銀灣。後鬼前狨路縹渺。先朝虎臣尙善飯。奉使西歸護浩溔。臂弓腰箭甚矍鑠。十萬賊衆行當剿。况今朝廷尙淸儉。廐無肥馬途無殍。仁風所動吏皆化。賦斂漸薄田租少。閭閻誰復有蹙頞。國有靈臺與靈沼。天時人事本相仍。耳聞眼見皆佳兆。聖代人宜有生樂。何事軍民恨未夭。孤村老翁世所棄。半畒相伴惟魚鳥。朝市山林不相關。得失悲歡兩蜩蟉。胷中空抱杞國憂。未免尋常心悄悄。人間無處可寄懷。疾步登高騁遐眺。蓬萊方丈碧海外。弱水三千隔淼淼。深杯強飮無事酒。醒後萬慮還皎皎。妻孥未識老漢意。但苦食貧如食蓼。書生古來例寒飢。一椀稀粥寧辭麨。虛名幸此免荷殳。白髮靑山了昏曉。簷前種菊間疎梅。囱外栽松連密篠。春花如海穩臥看。夏木成帷閒步遶。惟是行年已衰暮。一身百病常纏繞。休心一法久廢詩。吟興忽被紅蕖嬲。遙想金成洞裏亭。亦也池風花影掉。幽香日日惱主人。鼻觀默參應自了。吾黨李公字新之。氣岸自與秋天杳。一枝筇杖閒過從。好向花前醉淸醥。嗟余一別動經時。忽忽光陰夏之杪。相思迢遰隔雲峯。臥床仰羡孤鴻矯。何當相就賞船藕。一笑更對眞仙標。</text>
<title>茂伯盆梅。用東坡韻。梅乃金成洞姊翁享物也。余往見之。愛而不敢求。歸臥池亭。徒有相思之意矣。今爲茂伯所有。故作此以示之。</title>,<text>昔年同遊莒南村。玉僊曾惱詩人魂。儼如漢女不可求。歸臥半畝空懷昏。今年誰遣傾城姝。挑以綠綺歸文園。輕衫半露白玉膚。外冷猶應中粹溫。晴囱疎影夜還明。夢驚相訝東方暾。索笑何須費廵簷。坐臥相看長掩門。嗟余白頭才已盡。欲語妙意誠難言。直待參橫月落時。與爾共醉松林罇。</text>
<title>次杜子美百憂集行</title>,<text>棘門灞上眞嬰孩。塞外旌旗向洛來。開元天下太平罷。羌笛爭吹阿嚲廻。誰起釣翁年八十。海內蒼生荷擔立。天涯老臣願淸寧。周澤難看鴻鴈集。秖恐流光疾過空。我生未趁車書同。更祈皇天憐瑣尾。遣罷長吟車不東。</text>
<title>揀牟去麥吟</title>,<text>揀牟牟未滿一掬。去麥麥還爲一束。揀之眞是麥中牟。去之豈云牟中麥。初來種牟不種麥。誰料牟田麥還作。我覺去年種田時。麥雜牟中同播厥。天意包容資萬物。牟麥齊生共春色。今年把鋤皆小童。不分彼此渾培埴。彼盛此衰理之常。所以來牟成未得。嗟哉是誰之過歟。先世農奴盡放役。家無一力可問耕。直恐明年踵前迹。</text>
<title>天啓元年春三月初七日。自鹿峯還棲。頹臥蒲團。午睡初醒。忽村童袖傳孫季進在汶州相邀之書。驚喜促駕馳到。梅南，季進與茂伯，新之。已向小有亭矣。遂追往琴灘。則李士厚，蔡明甫，呂敬伯，郭汝叔，郭興伯，李子靜，蔡汝幹，徐敬哉。亦皆來會。主人盛備酒饌以娛賓。一堂皆親知也。喜心翻倒。未暇通名。徑自排戶而入。賓主歡迎。攜手上堂。江山花木。盡是詩酒之興。以桃紅復含宿雨柳綠更帶朝煙爲韻。分得雨字三十三句。</title>,<text>一慵縛兩腳。閉戶了昏暮。昨晩偶乘興。暫試尋山屨。歸來臥孤村。寂寞誰與晤。忽驚廣文老先生。汶上相邀寄尺素。木枕蒲團午睡餘。大嶺促鞭羸驂度。梅南村裏不見君。追君直過琴灘渡。淸虛三十六洞天。小亭高會皆親故。心翻意倒足自趨。未暇通名徑排戶。羣賢政懷跫然音。滿堂黃色各眉宇。一笑相攜倚天囱。披霧淸談交玉麈。汀洲芳草節已闌。簾外落花紛紅雨。坐撒風光供几席。江山與我誰賓主。靑春佳興自跌宕。錦囊淸債良優裕。遂取唐詩二六字。分與十二人題句。翰林 指茂伯 仙筆驅造化。影可捉兮風可捕。評事 指新之 文章苦捷敏。遒語亦足驚韓愈。馬陵道中白書手。指季進 又入騷壇發萬弩。隴西公子 指士厚 動驚俗。擲地金聲矜獨步。能詩長吉 指子靜 將進酒。玉脂亂泣烹龍釜。麻姑搔背舊仙侶。指吉仲 飣盤好擘金麟脯。小難 指明甫 詩不數蘇州。工篆餘風傳父祖。夢吟四句字子華。指汝榦 恨不移家酒中住。袖裏靑蛇何許客。指敬伯 浪吟飛過春江浦。汾陽耳孫 指汝叔興伯 兩俊髦。健筆直欲凌鸚鵡。南州高士 指敬哉 最年少。一時詩體稱徐庾。嗟余伎竆如老伶。短袖安能隨善舞。旁觀非欲擬巧匠。外重惟應內已懼。幸忝諸公文字飮。免使退之嘲蚊聚。開懷曠達共觴詠。觸目絶勝難名數。只恨腰笏無易于。俗塵曾凂靑松樹。且可高吟置此事。眼前一醉良先務。今朝得意不盡歎。明日相思無柰苦。爲君聊復一伸之。白沙翠竹江村路。</text>
<title>放魚歌寄誠伯。兼示諸姪。幷序。</title>,<text>余之疎懶老且甚矣。有塘而不種魚。村夫之灌畦於塘之南者。疏渠而引溪。逶迤而過于塘。溪魚之從流下者。因入於塘而生畜焉。故塘之中。只有一牡鯉。餘皆杜甫所謂白小。虁人所謂麪條也。余憐其細微而霑水族施食以養之。中有蠡魚數頭。食魚爲糧。生子生孫。近數年以來。蠡日盛而魚日少。余恐塘之空而竟未免爲蠡之地也。余嘗以此而憂之。人有慰余之憂者曰。魚亦人所食也。蠡亦人所食也。人之食之。無此無彼。不若養其所盛者之爲愈。吁。余之所以憂之者。豈以魚可食而蠡不可食哉。惡蠡之食同類而日盛。憫魚之爲同類之所食而日少。叉之不可。釣之不能。有除㬥之志。而無除㬥之術。余安得以不憂歟。吾聞誠伯新得大網。要而網之。期將捕蠡而聶鱠之。以快余意焉。蠡巧於避網。而魚反罹之。余不忍取而旋放。傍觀者皆嘲我不食。嗚呼。彼豈能知我者哉。始余之要網而網之者。非爲捕魚。本欲爲魚除魚之害也。本欲爲魚除魚之害。而反殺魚以鱠之。則是失爲魚除害之本心。而轉鱠蠡之心於魚耳。其亦不幾於救齊而滅齊者乎。遂因以作歌。用以自解云。有客有客居西枝。山下有亭亭有池。池非六畝以成者。魚非二月所納之。半畝遙通山澗水。白小自與流相隨。洋洋池面盡游鯢。一寸纔分鱗與鬐。春來春去漸看長。細浪搖囱吹日時。憐渠本非蛟龍匹。斷無雲雨飛騰思。長年共作池中物。中夜相對無相離。其中有蠡始誰投。魚鬣蟒首仍蛇皮。同遊一池飮一水。反以魚作肥身資。爲魚之害甚於獺。滿池魚族將無遺。一鯉雖在終柰何。嗟爾龍種其孤危。我欲爲之去此㬥。念在胷中愁在眉。叉之不可釣不能。恨不學漁爲漁師。聞君新得大魚罾。可以橫截長江涯。邀君仍請諸少年。抱網歸來來不遲。大張池中罨以採。始從日出至日移。蠡之爲物異諸魚。性善伏藏便淤泥。泥深藻亂不知處。所捕而得惟魚兒。噞喁瀺灂不須言。鱗鬣損傷皆離披。魚兒復魚兒。始因相愛還相欺。衰翁縱饞那忍鱠。網出旋卽投漣漪。傍觀擧有染指心。孟簡盧仝今復誰。人皆嘲我老而癡。妻孥爲我興嗟咨。仰天大笑臨深池。短歌遙和蘇仙詞。蘇有放魚歌。</text>
<title>拾穗歎</title>,<text>朝攜一筐來。暮攜一筐去。終日汗流背。所得只如許。所得如許且療飢。穗盡他時誰救汝。官倉有粟莊珠璣。但肥倉中盜倉鼠。</text>
<title>自警</title>,<text>六甲自輪回。庚申應自來。但恐今年人。難見後庚申。惟當及此時。黽勉常自持。雖無令名垂千春。不將羞辱貽吾親。</text>
<title>我不願辭</title>,<text>我不願衣弊縕。不衣弊縕兮無狐貉。我不願食糠糜。不食糠糜兮無粱肉。我知爲富兮。免此食貧苦。我爲不仁兮。何顔見我師。又焉能改行以自㬥兮。坐受親故相傾欺。不如固吾志。衣弊縕兮食糠糜。</text>
<title>玉連環體 此譏光海爲君。與虜私好。不助毛都督文龍。歎新王更化。欲爲天朝報仇。凶奴不敢入塞也。</title>,<text>氛非不足酬元聖妖勤朝義勇軍柰肆辛中灣城騎無敢久是龍外幾心未里雲如陣年助戎千矛伐戰思使出主眞生天夕君</text>
<title>次金鶴湖韻。送洪無住 鎬 入處北縣別業。</title>,<text>友野鹿兮巢枯枝。公之往兮不少遲。游神物表兮絶迹世。兒此一去兮誰能知。太白嵯峨兮山逕幽。送君行兮怕久留。飛高走遠兮未足相依。贈一言兮盍早來歸。</text>
<title>挽詞[玉峯權暐]</title>,<text>同爲科第又同心。契托平生誼分深。君選淸要懷謇諤。我從郞署臥丘林。二城乞外稱榮養。三載臨民溢頌音。從此未聞相警語。峨洋誰復把瑤琴。</text>
<title>挽詞[族孫爾松]</title>,<text>磨崖之山秀且峻。輞川之水淸而潤。昔我鼻祖卜其中。雲仍接武多豪俊。吾宗老子最明粹。文雅早爲恒人準。儒關事業徹九臯。一夕聲名播遠近。廟堂羣公賀得人。經濟才華實忠藎。薇垣風彩舌不柔。狐兔避路看孤隼。獻可先見薄鍾山。從此要津少汲引。公心自切反哺誠。汲直翻紆東海印。中間置散幾日月。未免竆道魚目哂。虬伸蠖屈自有時。聖主旋天啓煕運。國子談經少試可。言地頹綱方再振。是時朝論重民隱。循吏名中擇先進。賢人暫屈遠人安。明遠樓前五馬迅。棲棲郡邑異長暇。臥閤頹齡迫耳順。故山松桂未曾荒。遽使親朋哭歸櫬。公之餘慶葢未艾。紅紙榮光逮名胤。五花芳流太僕卿。一麾更試名都尹。歸來重對舊山川。霜露之懷暮年緊。松楸况復隧域分。神理人情俱未盡。古谷山環洛江水。吉地同原非所問。一時純孝慰泉壤。佇見千秋耀紳縉。爲緣宗義老彌篤。敢將荒詞贊不泯。</text>
<title>挽詞[南礏]</title>,<text>風儀猶在目。曾拜德公床。已失仁人壽。空留長者名。占新丘壑美。移舊日辰良。神物歡迎送。端由孝子誠。</text>
<title>挽詞[南磁]</title>,<text>龍門叨拜記當時。氣宇堂堂衆所推。柏府威棱膓似鐵。梅軒慈惠口爲碑。仁齡未驗天何必。卿月無情歲幾移。美水佳山新占吉。白眉誠孝路人知。</text>
<title>附山水亭次韻[白麓姜始煥]</title>,<text>壺峯李公。諱火傍享。眞城人。登明經第。値光海政亂。嘗疏斥仁弘。退居安東之輞川。有澄江鐵壁之勝。築山水亭以終老。作歌以見志。人有勸之仕者。則曰吾有母。力耕可以爲養。不願仕也。其淸操卓節。可與澄江鐵壁相當矣。歲久亭廢。其後孫重構。揭其歌以存遺蹟。余屢過亭下。敬次以志感。壺峯山高復高。下有萬丈鐵壁俯長江。長江之水千里來。有時奔騰決駛爲濤瀧。天吳陽侯爭後先。洪鍾巨槌相擊撞。有短棹孤檣。出沒乎其間兮。恤恤乎湫乎浟乎使人𢥠。長江千里到此平如鏡。更有飛流濺壁鳴琤淙。摩詰畫中曾相見。今見納言李公於此拓軒囱。先生閉戶味墳典。卻笑莊生逃空猶喜跫。白月凉飊時來入我室。有客有客淸者雙。先生雅性本骯髒。耻向俗流折幔幢。况復汩陳彜倫斁。不慣崎嶇浮沈處亂邦。旣不願造攻伊尹牧野呂。又不能爲剖心比干夏臺逢。小人有母不能遠。力耕爲養兮何必五鼎扛。壺峯山高復高。安得使長江作酒盈盈長頸缸。君不見江陽山水亦可隱。一出風塵同彘狵。我愛江上鷗鷺雍容。我愛山中民俗醇厖。山水中間此一亭。遠隔城市之噂哤。後人肯構能復葺。扁以山水亭歌一腔。嗚呼輞川之名。偶同唐中丞。若擬以倫。五噫之梁遺安龎。又 白下申薇院歸來意正幽。林泉高臥白雲秋。鳳凰枝外朝陽暖。象馬堆前水急流。蘇老文章傳兩世。輞川山水又東丘。其人其地果相遇。是以南州名一樓。曾遊石室敍懷幽。志士悲歌落木秋。金馬門前春幾度。鷓鴣聲裏水東流。白頭雲峀歸來賦。五世平泉花石丘。暎碧贈薇人識否。江湖煙月二高樓。又 不肖子回榮一嘯登亭晩興幽。客來又値菊花秋。四圍山色當囱盡。萬折江聲入檻流。疏斥巨奸辭柏府。道交賢友臥林丘。憑軒徒切羹牆慕。肯與遊人更上樓。又 曾孫潝鶴山南畔輞川幽。杖屨逍遙退老秋。危石千層橫絶頂。漁舟一葉任中流。煙霞此地觀遺韻。霜露多年感古丘。長使登臨淸可賞。玆亭不是世人樓。又 玄孫舜相吾祖何年卜此幽。還鄕觀感又傷秋。同堂親誼由中出。傳世君恩自上流。雨歇南江鷗下渚。雲生北岳鶴鳴丘。鹿門安在潯陽遠。盡日徘徊望玉樓。又 六代孫天範傷心無處寫懷幽。獨上孤亭况値秋。喬山不變先天氣。逝水無竆入海流。鴈下平沙明月浦。鳥歸芳草夕陽丘。俗子徒知風景好。謾將詩句費登樓。又 七代孫孚豹我家山水卜淸幽。山水亭成幾度秋。千尋拔地嵬然對。一色涵空汪若流。凉風曉月開眞境。老樹芳林感古丘。願使子孫長守護。當年杖屨此登樓。又 七代孫孚顒大野東頭一境幽。孤亭蕭灑立千秋。空留危壁雲端出。不盡長江檻外流。十年仕宦歸來地。數畝田園偃息丘。追感遺風懷未禁。悄然斜日獨登樓。又 七代孫孚華三公不換一區幽。地秘天慳度幾秋。削出重霄雙壁立。橫拋翠帶大江流。孱孫尙爾盤居巷。遺躅依然賁遯丘。鎭日徘徊觀不足。要迎明月更登樓。又 八代孫仁源亭在輞川別業幽。雲孫尊仰億千秋。風生古壁凉虛簟。煙歇長洲豁遠流。松蘿洞外遮囂市。桑梓村前有某丘。追思往蹟彷徨立。客散高堂月滿樓。</text>
<title>附諸賢唾珠</title>,<text>遊輞川呈李博士 柏巖金玏探勝何須七月秋。好隨梅雨放輕舟。飮中偶得詩仙話。象外還從福地遊。幽賞已知千界靜。高吟尤覺一生浮。山靈有意呈新態。霽後風煙散不收。又塵世光陰劇逝川。還從赤壁學眞仙。夢驚孤鶴橫江夜。興逐蘇翁作賦年。此日風流推我輩。他時行樂屬誰邊。懸知勝事無人會。應待龍眠畫裏傳。奉送李壺峯出宰永川 大瓠朴𥶇昔余忝作安東守。仍與吾君託道心。每說磨崖形勝好。幾將孤舫水雲尋。中年離別悲歡異。末路交情久益深。五馬此行誠寵擢。主憂民望子都任。次怡老堂韻 松溪李亨男小屋臨江闢。投簪臥此中。好風來水府。新月上簾櫳。綠髮行將白。韶顔能幾紅。怡然終老地。不必換三公。</text>
