<title>偶吟</title>,<text>水自源頭發。山因絶頂高。欲尋仁智樂。到此便雄豪。</text>
<title>架山軍器飜檢</title>,<text>微才忝守架南城。地利人和際聖明。可惜古弰雲氣濕。尙看神鍔電光生。千巒繞堞成金湯。五邑分倉備癸庚。險阻崎嶇尤益好。休嫌竿步不平平。</text>
<title>觀魚臺船遊</title>,<text>天削層巖自作臺。大江平挹汪洋來。山川有彩賢人躅。風月無邊客子盃。扁帆凌波飄若擧。塵衿滌累豁然開。最憐魚種汕汕隊。牣躍之餘跋剌回。</text>
<title>悅樂堂花樹會日。徐都事景襄 贊奎，許進士聖礪 鉐，都進士基碩 錫基 適來。拈韻共賦。</title>,<text>花樹春回雲樹天。一遊兼得碧山前。西湖後約淸流上。赤峴雙筇午影邊。麥氣增生林外雨。柳眠纔覺渡頭烟。架南風物君知否。留待良辰又此筵。</text>
<title>和沈▣▣ 相馹</title>,<text>主人風箔爽猶秋。傾盖欣然暫得休。鳳峀雲生當戶白。檀溪水活抱村流。多君有若溫溫玉。勸我當如泛泛鷗。詩香梅淡俱淸絶。消却塵間百種愁。</text>
<title>次族從晩樵 世東 壽韵 幷小序</title>,<text>惟我同庚兩人。從幼及長。動輒相隨。殆若蛩蟨之依。自我僑寓。會少離多。每切燕鴻之歎。人生離合固如是耶。今適守隣邑。又値甲年。丕擬一往一來。迭參宴席。以悅情話矣。當我甲日。則前二日承普痛之奇。又一日當推檢之役。所謂甲日。未免虗度。及君甲日則一門團欒。穩成慶會。其視虗度之人。優劣顧如何哉。余以營站事。又不得晉參。悵缺之私。如何可旣。謹次壽韻二則。一以賀蘊藉安享之福。一以叙自少追隨之情。仁山深處福源長。花甲重回奉壽觴。風雨床前聯棣樂。晨昏庭下葆蘭香。鏡中華髮白如雪。篋裏新衣朱孔陽。蘊藉一生疇可比。昭昭屈指計吾鄕。憶昔同遊春日長。葱笛竹騎葉爲觴。山房伴讀堆書帙。荊屋同塲潑墨香。顧我弧辰初夏日。見君壽席仲秋陽。時時躳枉誠多感。自愧無情滯異鄕。</text>
<title>思君亭成。謹用退溪主屹韻。與李響山 晩燾 簡和。三絶</title>,<text>主屹山花香馥馥。觀音院水響浪浪。杖屨一經行道坦。遺風藹若滌塵膓。思君亭起屹山下。依昔雲深雨亦浪。剔盡巖蹊荊棘茂。名區非復舊羊膓。逖矣響山瓊韻至。淸斯可見濯滄浪。錫我百朋難敵此。愛吟終日敲詩膓。</text>
<title>過紅流洞 幷小序</title>,<text>辛卯二月慶科監試時。余以右道副試赴陜川。試役旣畢。與上試尹校理 達泳，參試山淸倅吳 榮錫，割封官知禮倅鄭 箕東，主倅任穉 宰。會于海印之紅流洞。于斯時。鵑花方發。處處錦繡也。飛瀑喧流。曲曲石鍾也。石壁上有刻詩一絶曰。狂奔疊石吼重巒。人語難分咫尺間。常恐是非聲到耳。故敎流水盡籠山。此卽崔孤雲所作也。尤菴先生手書也。余亦有感而謹步其韻。曲曲紅流繞碧巒。孤雲詩句在斯間。尤翁一筆題歸後。精彩增高萬丈山。</text>
<title>次新道亭韻</title>,<text>新道亭高卜築新。山容水色倍生新。主人於此尋眞樂。動靜無違德日新。</text>
<title>次䬴𩿨亭韻</title>,<text>主人亭榭狎江鷗。何事盟鷗又䬴鷗。因物寓心知有適。淸閒皎白亦如鷗。</text>
<title>次晩守堂韵</title>,<text>數畦杞菊一床書。高士南州里上廬。屢世貽模基已密。一生養拙計非踈。春風花柳時携酒。朝雨桑麻或决渠。富貴如雲機事少。時時馴雀在階除。</text>
<title>次錦湖李兄鄕約韻</title>,<text>莒城條約砭塵聾。鎭日黌堂老少同。進退無違三讓際。賢愚盡入一䂓中。威儀秩秩今如此。德業孜孜庶有終。願與同歸堯舜域。安仁服義各修躳。</text>
<title>辛卯臘月。巡相李 𨯶永 設詩會于玉靈樓。達判李 憙翼，淸道倅申 㮋，比安倅金 商鉉，靈山倅申 觀朝，義興倅吳 榮錫，玄風倅尹 秉，㓒原倅李 承達 齊會。余亦參席。拈韻共賦。二首</title>,<text>玉節營前皁盖傾。淡然如水見交情。梅紅堪作陽春曲。月白還同不夜城。自愧微官猶字牧。仰觀魁閣是澄淸。宴酣之樂非絲竹。新語登詩放厥聲。</text>
<title>和許聖礪</title>,<text>交道無如久久欽。只看犀點照于心。村居每見吳洲月。夜話惟期巴雨岑。自有熊魚分義理。肯隨鳧鷺共浮沉。名家雅範垂眞的。粤自愚堂寔至今。</text>
<title>酬李響山</title>,<text>宣城有學士。義氣誠磊落。易東陞廡䟽。挺身自擔着。冀蒙日月鑑。不避風雨惡。事巨力惟綿。傾心共揣度。自愧鹵莾學。只得古人粕。一麾忝守土。知三舊洞壑。陶山仰彌高。萬古芙蓉削。遺集沈潛味。心悅勝口臄。旋訪丹邱路。驒驒駕我駱。玉筍綠猗猗。仙巖白。先生芬馥地。島潭流不涸。緬昔觀音詩。英華咀且嚼。主屹山漠漠。雲物今猶昔。寒水流决决。風恬月生魄。杖屨經過處。鳶戾魚牣躍。嘐然寓我慕。蕩蕩無涯廓。響山淸絶韵。流動架南閣。綣綣相勉意。字字示勤托。身微責任重。瞿然驚且愕。第當辭簪笏。隨機團束縛。藩籬大剖破。棟宇繼述作。菊畦與蘭畹。次第有經略。澗苔宜馴鹿。園林可飼鶴。莫愁厨薪貴。桂叢今可斫。莫歎行路險。荊棘今可拓。禮俗宜相交。鄕飮與鄕約。敬佩程朱訓。追尋孔顔樂。賴此一屋子。靈區不寂寞。扁額思君字。光彩倍爍爍。一念慕仰切。蹈刃可辭爵。學古遵繩墨。庶幾無愧怍。詩成屋未就。還發一大噱。幸賴頂一針。神效勝越鵲。他日盍簪席。茶烟繞鴨脚。</text>
<title>壬辰仲春。巡相又設詩筵。指日期會。達判與淸道，比安，義興。亦來會共賦。</title>,<text>劇務之中得暇閒。詞壇雅集數宵還。虛明月色三千界。澹靄風光百五間。知縣盃樽深似海。駐營節鉞鎭如山。遅遅莫唱驪駒曲。別意怊然一倍關。</text>
<title>張甪旅 心澤 輓</title>,<text>洛江出太白。千里不舍流。甪山跨仁界。一氣淸淑浮。江山毓精靈。詎無才德優。旅翁遺馥在。竹老舊氊留。詩禮古家中。賢兄又其尤。學溯濂洛閩。工在誠正修。異言喧豗日。大義讀春秋。蕙帳無㤪鶴。蘆渚有盟鷗。以子系孀嫂。和悅釋其憂。兄之齊家法。有誰可能侔。命子從師友。泛彼學海舟。兄之裕後謨。於斯可知由。有此簞瓢樂。無復聞達求。頃年策短驪。訪我雲林幽。論道該費隱。語性證剛柔。本然與氣質。剖析運心籌。我欲質疑處。兄言不盾矛。兄或叩問時。釋然我心休。挑燈促膝坐。不覺夜悠悠。聞喜相阻久。無路更拭眸。實音胡爲至。其或夢寐不。幾年論膠漆。一朝付沫漚。痛哭寫哀誄。迢遞玉京樓。</text>
<title>李校理 臣榮 輓</title>,<text>梅社有學士。特立鷄羣鶴。曲江歌鹿鳴。龍門點魚躍。玉署霜臺上。歷敭淸顯爵。繼述名家閥。閭里光爍爍。於我爲益友。偲偲交契托。俱以靑年客。泮橋欣逢着。我事公悉燭。公心我忖度。一往一來聞。盃酒聊相樂。自公還鄕後。音信久落落。適來守是邦。驒驒駕彼駱。珍重瓊凾到。的歷話疇昔。重襲芝蘭臭。更證梅月約。爲佇花外車。時捲郡樓箔。慇懃來顧日。簷端報喜鵲。吾且訪高居。疋馬渡林壑。字牧圖報地。娓娓設方略。以若鹵莾質。賴公解糟粕。念公平生事。俯仰宜無怍。事親殫誠孝。甘旨供肥臄。敎子勤課業。英華任咀嚼。賙貧恤竆義。幾多救轍涸。鹿舍鄕契議。鳳巖書棟縛。臨事存大軆。勉勉詢謀博。如何康健身。九原遽難作。漠漠江雲暮。心懷不禁惡。牙琴流水曲。從此付束閣。往事渾如夢。一哭還一噱。薤歌風凄切。兆卜山戌削。嗚乎寫哀誄。乾坤正寥廓。</text>
<title>許聖礪輓 八絶○幷小序</title>,<text>守東徐兄，三然許兄。俱與余心同契合之友。而三然兄先逝矣。乙未冬。余從聞喜歸。徐兄以七絶八首示余曰三然兄今已矣。吾將以此追挽。余曰此兄旣逝。悲痛之懷。兄與我一般。因次韻而挽焉。靑春素契托金蘭。眞實之心是信端。洛下幾年花柳節。聯翩筇屐訪林巒。硏經世世不窺園。昆季雙蓮耀聖恩。愚堂厚蔭垂于後。是祖誠宜有是孫。玉溫金粹禀乎天。鄒魯芳隣好結緣。勉進後生勤學業。盈科混混有如泉。早歲璜聲遠且長。巴山淑氣倍蒼蒼。立言行己遵繩墨。能使令名滿耳香。櫂歌九曲善賡音。秋月寒溪萬古心。欲識洋洋流動理。幽篁舘裏抱牙琴。雙蘭四彧有前期。積善家中慶自隨。荀龍馬鵠罔專美。詩禮䂓模世共知。昨春相對兩衰翁。白鹿講䂓積用工。已矣今來只一哭。璀瓊山寂水雲空。生死人間有定期。參差或速或爲遅。餘生不幸逢時險。先逝如公豈足悲。</text>
<title>贈李雲坡 直運○幷小序</title>,<text>雲坡李兄卜築於禮溪上。不求聞達。以吟弄自娛。眞聖代之逸民也。溪之錫名。未知創自何時。而夫禮者天理之節文。人事之儀則也。溪之得此名。固不偶然。而苟非忠信好禮之士居於其間。則安得與溪之名孚其實哉。旣賀卜築之得其地。而兼賀玆溪之得賢主人。靈區有主物華新。松友竹君日與親。活水源頭堪察理。白雲嶺上可怡神。佳篇時動鏗鏘韻。僻巷今非寂寞濱。爲卜一遊留後約。九秋楓菊正良辰。</text>
<title>壬辰解紱後。自故庄作聞慶之行。道中拈杜韻述懷。十首</title>,<text>我居爰卜上仁里。世業相傳數百年。德峀崔㟴琵瑟北。福坪開濶洛江邊。願從莘野先民覺。借得雲窓靜夜眠。名敎之中惟樂地。休言迂恠古齊燕。禮樂東方數千里。吾生遽爾白頭年。程朱大訓冊丌上。退栗遺書燭照邊。路遠力微時忘食。心長髮禿夜無眠。最憐箕子仁賢後。底事見欺衛滿燕。右兩首扶正。吾道綱常亘萬里。詭言喧聒幾千年。墨楊有甚申韓害。蘇陸終歸佛老邊。燄燄東西皆異學。駸駸上下混酣眠。權謀無實非長策。却笑儀秦說趙燕。此去中州幾萬里。孟韓以後亦多年。古人誣惑猶稀尠。今日滋蔓自遠邊。爲斥異端扶正學。誰能先覺喚羣眠。雜于覇術惟賢佐。管仲於齊樂毅燕。右兩首斥邪。勉汝兒孫擇美里。成人之道在英年。忠良姱節交修內。詩禮淳風不餙邊。百行源頭惟則孝。十年燈下莫成眠。背公死黨非吾道。愼勿追隨慷慨燕。戒兒篤敬行州里。忠孝相全少壯年。絶口不言長短事。謹身莫近是非邊。意先誠處心歸宿。食不浮時鼻息眠。但願吾君惟善寶。如今復見祭門燕。右兩首。戒子孫。字牧元來宰百里。君恩許住四三年。蒲鞭信受斯爲本。鉤鉅神明反主邊。治若鮮烹誠有理。夜無狗吠各安眠。如何近日爭權利。擧世便同燕伐燕。此心放處謬千里。遊騎遠行積有年。盈海歸帆凉浦外。苞山翫屐玉筍邊。秋風架屋楓同醉。春日宣城柳共眠。今幸歸田收拾得。百徵不往築臺燕。右兩首。解官歸田園。聞喜北望數百里。自吾不見已三年。田園漠漠來心上。童穉森森在眼邊。盡日竹筇巖逕踏。中宵葛簟酒家眠。困行思騎情惟切。良馬宜求買骨燕。倦步日行七十里。那能捷健似靑年。巧逢喝道休巖畔。爲避荷擔傍柳邊。店飯趁朝飢易食。鄕懷入夜苦難眠。如斯進進無停息。非但之京可適燕。右兩首。訪葛坪舊寓。</text>
<title>次全進士 奎炳 逸愚臺韵</title>,<text>逸愚谷口逸愚臺。石字斑斑繡碧苔。秋月精神巖下水。陽春消息檻前梅。竹溪六逸同聲應。柳子八愚尙友來。詩禮家風傳世世。名亭盡日講帷開。</text>
<title>和張士極 錫五</title>,<text>苦海茫茫處世難。心宜轉小不宜寬。樓前萬樹隨風偃。庭畔孤松冒雪寒。跬步安詳寧或忽。冥行擿塡許多般。與君共陟西山上。知己相逢是一歡。</text>
<title>次朴承旨 海哲 鼻巖韻 三絶</title>,<text>鼻巖勝日擅風流。人在蒼葭白露洲。我欲溯從末由已。惝然回首動幽愁。巖下狂瀾汩㶁流。東西分裂激寒洲。誰能障此東之海。一望滔滔使我愁。主屹山高絶俗流。仙區靜閴似瀛洲。招招隱伴同携手。聊以樂飢澹忘愁。</text>
<title>和朴致明 海祐</title>,<text>昔從聞喜卜隣俱。未幾分張千里區。我欲踐言歸與𤃡。君應談笑卧猶蘇。霞亭歷路雖欣握。架鎭優遊尙未圖。珍重藜筇虗枉後。相思月色滿西湖。</text>
<title>用武夷棹歌韻。賦雲林九曲。</title>,<text>天護雲林儘異靈。山明曲曲水澄淸。扁舟欲覓滄洲路。賡和棹歌九曲聲。右緫論一曲龍巖繫葉舟。梢工副手溯長川。問津往事憑無處。惟見朝霞與暮烟。右龍山朝霞二曲移船繞碧峰。魚臺花木燁春容。江流浪息微雲捲。帆外山光翠萬重。右魚臺春水三曲松風滿載船。蒼髯赤甲幾經年。超然特立荊榛裏。寒後貞姿正自隣。右松亭晩風四曲孤桐傍石巖。風枝露葉碧𣰦𣯶。瑤琴古操誰能解。流水洋洋月滿潭。右梧谷霽月五曲行舟入洞深。巍然石楫出踈林。此間儘有瑰奇士。爵祿平生不入心。右江亭石楫六曲釣磯在碧灣。世間榮辱不相關。臨淵像想扁齋意。綠水悠悠白日閒。右淵齋釣磯七曲沿回又一灘。雲中鶴舞正堪看。箇中倘有仙人否。笑指巖間白屋寒。右鶴舞春雲八曲巖高妙境開。羣峰羅列衆波洄。滿山佳氣禽先得。翼翼朝陽鳳下來。右鳳巖朝陽九曲書林藹藹然。春來花柳滿前川。岡翁潭老遺芬地。一理昭昭靜裏天。右泗陽書堂</text>
<title>謹用退陶郡齋移竹韻。爲雲林排律。</title>,<text>峻嶺兼脩竹。名區也不俗。羣流幷拱包。衆嶂咸匍匐。溫雅尙儒風。寬偉裁野服。崎嶇訪峽徑。蕭灑通巖曲。川勢吸長鯨。文䂓摹白鹿。花巖鎭大基。印石叢高隩。俊彩動星辰。精光衣草木。茅亭想舊芬。蔀屋多新築。野沃土如金。谷空人似玉。境深愛閴幽。局大包庸碌。苾香共師生。桂榮同侄叔。苟能飭爾躳。何患枵其腹。土美李君盤。民興文化蜀。披雲問藥師。灌水來花僕。龍峀詠而歸。魚臺遊亦續。松風拂滿衣。梧月明生屋。楫石影崔嵬。磯花光熠煜。漁歌起野舟。葱笛歸村牧。詩榭浪吟餘。書樓閒坐獨。暮雲鶴舞雙。朝旭鳳鳴六。松嶺急濤生。麥阡甘雨宿。縕袍自有華。晩食猶當肉。藉草席因成。盥薇書每讀。賦歸作逸民。我愛淵明菊。</text>
<title>五印石</title>,<text>菁川世閥不曾寒。五印同來石榻團。此日證看苔髮碧。當年署着篆書丹。名區擅勝斯多助。野老傳言不一端。從後幾人能拕紱。玄玄天理實諶難。</text>
<title>乙未除夜。守歲于盖陰蝸屋之中。穉孫時讀三國史。歷論昭烈三顧之恩。孔明六出之事。娓娓不覺夜半矣。因拈古人除夕韻。祖孫各賦一絶。</title>,<text>守歲穉孫能不眠。談今論古便天然。冉冉光陰雖可惜。爲渠成就喜添年。</text>
<title>丁酉除夕</title>,<text>一理循環貞復元。除舊生新在此夕。天道如斯當獻發。人事從玆平朔易。家家釀得屠蘇酒。歡欣對處浮大白。村村競出爆竹聲。吉祥會處除咎厄。習俗如此同樂衆。明朝正是攝提格。冉冉歲暮蛇赴壑。蘧蘧物換駒過隙。我思悠悠守歲夜。除字工夫細紬繹。除去塵垢能㓗身。振衣彈冠無汚迹。淘滓便見淸泉出。磨鏡方知舊染革。除去怠惰能養心。誠正遺謨布在冊。閒邪戒懼若臨淵。持敬洞屬如拱壁。除去躁妄能愼樞。一語一嘿須可擇。金緘其口方是謹。圭玷斯言眞可惜。除去嗜慾能循理。聲色當戒臭味亦。放逸胡爲尙雕琢。偸閒豈宜賭博奕。除去荊榛能入道。義爲正路仁安宅。竭力勉勉陰惜寸。跬步孜孜竿進尺。聊將舊日纏繞習。付與臘尾歸疇昔。驕奢幷歸臘雪消。悔吝俱入春冰釋。懲忿窒慾觀損象。此義分明證羲畫。正己而後咸與正。責人之心宜自責。費吟除夕多感懷。強把春醪酬且酢。</text>
<title>花樹會吟</title>,<text>花樹春風會族親。稱兄呼叔叙天倫。上仁村裏梅心暖。大德山陽麥氣新。百世不忘修舊誼。一樽相對樂佳辰。六旬以下難參入。四座無非大耋人。</text>
<title>寒泉途中 三絶○幷小序</title>,<text>十五歲孫夏容勝冠。作再邀之行。余亦爲見孫婦。與之偕行。而見其在轎往往有睡意。余曰汝之睡。只緣心不能主一。而昏惰不得惺惺故也。若拈得一韻敲椎若月下之門。則睡魔何能來侵乎。遂使賦絶句。余亦因其韵而述懷焉。濯纓當日紫溪淸。三世相傳謹獨行。此日蒹葭依玉樹。舊情歡洽又新情。寒泉來飮石流淸。爲護孫兒作此行。試看源源長不息。何如乃祖愛孫情。綠樹陰陰挾路淸。孫枝祖蔭鬱成行。人家繼述亦如此。觀物何能無感情。</text>
<title>次李士郁 根永 壽韻</title>,<text>高門積善久連綿。鳧藻龜蓮兩得全。弧席追懷應倍痛。琴床舊誼想牽憐。翩翩舞彩趍庭下。眷眷含飴在膝邊。宗族賓朋齊攢祝。如今歡樂願年年。</text>
<title>次朴雲岡 時默 萬和亭韻</title>,<text>雲老亭楣揭萬和。羣和皆應一心和。溪山千古開靈境。花柳三春釀太和。處族居家何最樂。止慈供孝自冲和。孜孜懋學立於禮。以節其和方是和。</text>
<title>洛江船遊分韻得三字</title>,<text>芳洲有約歲經三。是日登舟興轉酣。明月遅遅舷上待。澄波渺渺鏡中涵。瑟希曾點誰同浴。琴遇鍾期我不慚。學海眞源從此覓。孤棹泛彼大江南。</text>
<title>和孫聖誾 廷誾</title>,<text>泰山有明復。琴書問幾年。幽蘭貞自保。叢桂興復牽。有時放杖嘯。水涯山之巓。操心有旨訣。洞洞如冰淵。飭躳有準的。嘐嘐古聖賢。至理探賾處。上下察魚鳶。朋友以輔仁。人倫方備專。鹵姿猥托契。鄕禮共周旋。江雲與渭樹。幾登相思篇。霎奉雲林社。悵別鹿洞川。一嶺嵯峩隔。頻握奈無緣。此會曾有約。泛彼洛江船。兄行遅一日。佇望九曲阡。華旆光臨路。翩翩鶴報傳。顚倒欣相迓。團圓開四筵。愛吟同堯夫。談經似鄭玄。適有婚姻故。我行中路還。離情似燕鴻。來去何推遷。珍重瓊韻至。莊誦心爽然。淸風澄光句。如登太乙舷。那剪西窓燭。話雨共留連。無遐金玉音。捲箔爲佇延。吾且訪梅溪。一棹可溯沿。</text>
<title>次洛東精舍韻 癸卯</title>,<text>精舍䂓模始創初。英賢髦譽所宜居。東榮西序須行禮。棐几晴窓可讀書。野色茫茫沙岸遠。江光隱隱樹林踈。從此吾儕同志士。精工刻苦做三餘。</text>
<title>次酉湖精舍韻</title>,<text>酉田一闢是良田。種德培仁積幾年。有志未成雲谷屋。無端久鎖傅巖烟。僉謀章甫西河會。拋擧脩樑東洛漣。多賀渼江賢且孝。彬彬繼述舊凾筵。</text>
<title>次李戴堯 億祥 日新亭韻</title>,<text>西坪有主卜新居。宏遠䂓模創立初。德可爲基安且吉。善能集慶綽猶餘。琴湖水活開心鏡。望日山明對性書。繞膝雙蓮來餙喜。高軒白髮坐怡如。</text>
<title>登喚惺亭</title>,<text>喚惺亭挹錦江平。仁李派分也自明。恭度家中遺舊蔭。苔巖門下仰高名。國庠鄕解承前榜。春禮冬詩啓後程。此日山行初入處。高居疑是近三淸。</text>
<title>次尹文七 殷普 回甲韵</title>,<text>六十康疆際盛時。壽仁天理乃今知。捐金西部賙竆戶。舞彩南陔戱小兒。老宿光明和滿室。瑤桃香熟酒盈巵。令孫令婦承賢範。吉慶緜綿卜後期。</text>
<title>登盛才堂</title>,<text>盛才堂外八公巒。蘊藉如入手拱端。樓得幽深暑猶爽。境多奇勝窄如寬。靑年榴夏曾臨水。白首楓辰更倚欄。伊昔先生兩傳義。摩挲石面屢回看。</text>
<title>登親睦堂</title>,<text>敦睦親親呂氏堂。年年花樹駐春光。仁培義植惟深厚。子葉孫枝正鬱蒼。風雨對床湛旣翕。雲林隔世利深藏。如今遊伴來相會。說禮談詩午夜長。</text>
<title>次鶴山齋板上韻</title>,<text>前眺平郊後背山。一樓蕭灑翠微間。海棠砌列蒼苔畔。細柳門深白石灣。戒子有方須學范。讀書爲樂每尋顔。大峰家裏紹修業。花樹春風瑞色還。</text>
<title>次德陽齋韻</title>,<text>數間茅舍德山陽。剩得文風一格長。繞屋峰巒成筆勢。隔墻林木帶書香。若能敦尙程朱學。庶幾同歸鄒魯鄕。九九佳辰章甫會。強將盃酒勿相忘。</text>
<title>贈崔君弼 鉉述</title>,<text>惟君賢孝喜從師。刮目相看意有怡。啼鳥斗山踈雨夜。歸雲隱寺聽鍾時。老何惜寸書勤讀。自愧戒三酒又巵。談柳評花因不寐。待僧巖下月遅遅。</text>
<title>題瞻栢堂</title>,<text>瞻栢堂高功告成。風軒蕭灑月窓明。松踈檜老仙靈境。露怵霜悽孝子誠。日闢講帷多士會。時行飮禮衆賓迎。門欄從此宜昌大。勉使兒孫繼舊聲。</text>
<title>次勿川齋韻 幷小序</title>,<text>勿川坊名也。坊之以勿得名。未知其始於何時。而蔡君定汝來寓於此。築書塾于川上。扁之曰勿川。非直因坊名。竊取顔子非禮四勿之義。大矣哉。勿之時義也。己所不欲則勿施於人。勿以善小而不爲。勿以惡小而爲之。凡鄙吝之萌非辟之干。一切以勿字旗麾之。使吾胷次灑然無一點塵累然後。乃可以學顔淵之所學。惟定汝勉乎哉。坊名從古擅甘勿。川上玆扁揭以勿。主人於此學顔學。視聽言動非禮勿。</text>
<title>勿川齋講會席。贈蔡定汝 憲植。</title>,<text>筇屐聯翩後且先。新齋蕭灑共留連。斷金雅契俱隆老。鍊玉精工揔妙年。講樹塵晴前夜雨。緇林風捲一空烟。多君課試良䂓在。誘掖羣蒙得萬全。</text>
<title>遊武陵齋</title>,<text>行到桃源便是仙。雲林寂寂洞中天。大峰舊蹟山千疊。溪叟遺芬地百年。九老會成何似昔。三長筆健莫之先。主人投轄慇懃意。夕爨巖厨起翠烟。</text>
<title>次新安齋韻</title>,<text>杜村始卜此山陽。仁宅新安福祿長。三世豆籩傳緖業。百年絃誦育才良。柳如靖節先生里。峰似晦菴夫子鄕。棟宇累遷芬馥地。雲仍相繼景行行。</text>
<title>龜巖齋講會</title>,<text>勝日龜齋午影遅。羣賢衿珮共相隨。治心若鏡重磨垢。爲學如農勿失時。有分必須安汝止。其要猶在致吾知。循循勉勉遵繩墨。希聖希賢自此期。</text>
<title>次洗心亭韻</title>,<text>洛水逶迤繞亭深。澄淸可見主人心。秋宵皎皎迎新月。春雨霏霏潤萬林。浩蕩無涯皆壯觀。峩洋有孰可知音。如今幸遂登臨願。花柳佳辰擬再尋。</text>
<title>東溪書堂重修韻</title>,<text>東溪堂在碧山陽。先哲遺芬久益長。杖屨登臨追溯迹。襟紳揖讓更生光。烟雲水石皆呈賀。禮樂詩書可守藏。此日重修開講席。文風何似鄭公鄕。</text>
<title>贈李都事 種杞○庚子</title>,<text>洛江遙遙馳。從古毓淸淑。逶迤到星界。排結爲上谷。德基仁爲宅。主人勤卜築。世業守靑氊。學䂓遵白鹿。證古評今世。何許大眼目。膏肓由泉石。精光及草木。樂道竆益堅。一心辭爵祿。義理悅芻豢。縕袍勝綺縠。浴沂風雩際。童七冠五六。仁聲及令譽。滿耳香馥馥。隔江相望地。弊居有蔀屋。洞僻尙撫松。園深猶種竹。客夏金玉音。惠我垂華牘。字字箴䂓誨。言言敬佩服。一帶水何濶。阻我頻往復。竊幸門屛下。紹介有吾族。以若傾慕心。率爾裁片幅。書能亞於面。犀燭猶可卜。時事那忍說。駸駸歸禽犢。各隱江左右。大義春秋讀。或歌西山薇。或採東籬菊。庶幾無愧怍。何論塞倚伏。如令一盍簪。歡欣情可掬。文史共咀英。花柳同醉麴。此計也不易。如何做淸福。西望江浦上。春容畫林麓。高居入指點。歷歷東歸舶。第待春三月。擬問前路僕。前言猶未踐。於我心蹙蹙。</text>
<title>登李善烱永慕亭</title>,<text>剗斸搆亭慳秘餘。石稜瓦翼架空虗。香林舊有胡僧社。楸壠今爲孝子廬。弘遠䂓模丌上帙。幽閒志趣澗邊漁。多君努力能成業。百事綢繆創設初。</text>
<title>用朱夫子拜張魏公墓二十四韻。輓族從愼默齋。啓東○辛丑</title>,<text>大德上仁間。山嵬水湯湯。猗我護軍公。兩世肯搆堂。公繼靑氊緖。隨事補巾裳。敎子有義方。展也父爲綱。負笈從師返。藝林鬱蒼蒼。達邱儒風振。羣彦幷成行。有子旣如此。雙鴈叫瀟湘。頃日膝下慽。不必拖張皇。謹身有常則。䂓圓矩自方。論事不出口。意馬必彷徨。七十五年間。林屋利深藏。敎子兼課農。田園不就荒。宗中香火資。竭力使滋長。族內浮浪少。峻辭必擯攘。及到易簀時。言笑不失常。朝飯整巾櫛。端坐入僊鄕。一生蘊藉福。到此尤益彰。行路咸咨嗟。宗族俱失望。憶昔巾履隨。涉險兼越岡。雲擁鳥嶺樹。風翻鷺湖梁。暮年失良伴。此懷尤倍傷。世事何足喩。跋胡嗟如狼。遠月薤露曲。熹微噵晨光。先兆卜協吉。神佑俾無疆。</text>
<title>輯要成有感</title>,<text>噫我平生願。廓然秉大公。立身四色外。着意五經中。十一先生在。三千弟子同。輯要時盥讀。庶幾發愚蒙。</text>
<title>贈朴致明</title>,<text>卄載悠悠歲月遅。依然若夢昔追隨。葛坪靈谷盤旋地。妙巷雲林往返時。顧此衰慵誰可警。惟君康健我曾知。花臺訪落應無遠。一語慇懃有後期。</text>
<title>姜士綱▣▣輓</title>,<text>雲林有高士。氣邁儀整肅。昆鄕傳舊閥。莒城擅華族。接人主忠信。處家兼耕讀。抱器未得售。如玉蘊在櫝。積善古家中。穰穰有景祿。一弟登桂籍。天香春馥馥。二子聯金榜。華表立簇簇。鳧藻一家肥。仁天恩雨沐。杜簟奕碁看。陶葛春酒漉。君家千里駒。昂昂在彼谷。皓首含飴弄。鍾愛如舐犢。泰然貧且安。麥飯兼豆粥。便身不願繡。晩食猶當肉。萬事無求外。世間一淸福。顧余晩托契。自謂知己獨。暇日架南樓。握手喜可掬。三歲芳隣接。巾屐相追逐。山深攀棲鶴。峰秀聽呦鹿。協力偕種藪。危巖擎矗矗。分張今幾載。漠然阻書牘。一朝訃書至。驚愕宜匍匐。周燧忽爲改。羲御何太速。終祥知不遠。尙遅殯筵哭。以若同庚誼。辜負心自忸。嗚乎揮淚寫。薤露盈一幅。</text>
<title>哀崔君仲武 相鎬</title>,<text>崔君誠雅士。世居河之陽。其性淡如水。其質美如璋。泉石臨翁宅。十四妙年郞。臨翁勤提耳。輔翼而直匡。自是志于學。習與智俱長。不近奢華物。不屑榮利塲。時然後乃可。語默各得當。嗜書如茶飯。慕賢寓羹墻。男姨同硏誼。知己惟徐庠。謹愼圭無玷。溫恭玉含章。如斯成就去。崔門豈不昌。胡然嗇其壽。不得免夭殤。此理雖太玄。難諶詰穹蒼。其奈西河淚。漣漣在高堂。其奈伯道寃。悠悠纏閨房。有志終未就。宇宙何洪荒。</text>
<title>次尹玄風 羲淳 壽韵</title>,<text>苞山太守政聲淸。有志年來事竟成。六十生朝開壽宴。九旬慈母養專城。班衣趨舞蘭香襲。瑤瑟調和極彩明。永夕團欒歌酒席。賓朋親戚共歡情。</text>
