<title>順陵齋室偶吟</title>,<text>已負平生計。誰爲此日謀。沉吟猶未决。難去亦難留。</text>
<title>過全義峽村</title>,<text>水面桃花點點浮。忽看籬落傍溪頭。朝畦壠麥嬌黃眩。春渚新蒲嫰綠抽。洞府深藏閑世界。山家亦有好風流。禿衿小袖憑欄曲。門外垂楊繫紫騮。</text>
<title>偶吟 以下五律。宰河八時漫詠。</title>,<text>兩眼昏花兩耳聾。邇來仍作白頭翁。不聞不見塵喧絶。無是無非俗慮空。往日最爲朝士困。行年今與暮途窮。歸期莫待九秋後。澤國天寒多北風。</text>
<title>詠懷</title>,<text>南州作吏愧循良。白首鮎竿病見妨。短景漸隨人事促。寒更偏爲客愁長。故園茅屋三重捲。今歲湖田一半荒。飯豆芋魁猶可辦。黃花時節定還鄕。</text>
<title>次東里李尙書長卿 殷相 成歡滌愁樓韻</title>,<text>登臨暫賭片時歡。長路覊愁到此寬。十里芳郊三月暮。五更荷雨一燈殘。客留淸製題華板。燕賀新成舞畫欄。回首北宸看漸近。玉樓高處想平安。東里題此投示。求次甚迫。辭不獲已走酬。原韻歡城路轉又成歡。歡不能成強自寬。千里旅遊雙鬂白。一春消息百花殘。池荷過雨抽新蔕。堤柳迎風拂曲欄。默筭驛程知不遠。也應明日入長安。</text>
<title>雨後途中卽事</title>,<text>羣鴉閃閃向南飛。霽後湖天欲暮時。殘日漏雲紅萬縷。晩風梳柳碧千絲。高低壠麥經朝雨。遠近村烟報夕炊。收拾眼前無限興。呼兒覔紙寫新詩。</text>
<title>次張鎭川文通 善淹 韻</title>,<text>小雨簾纖濕帽紗。晩來淸景媚韶華。鳥誇軟綠啼芳樹。蝶惜殘紅抱落花。栗里有田誰作主。錦城雖樂不如家。覊懷耿耿身將老。坐撫流年謾自嗟。</text>
<title>登石門峯</title>,<text>山上奇巖巖上楓。一絲猿路細盤空。登臨落日孤雲外。起舞長天大地中。俯視八垓多感慨。緬懷千古幾英雄。欲呼燕趙悲歌士。寄和滄溟萬里風。</text>
<title>贈趙水伯公擧</title>,<text>元戎小隊出城東。𨇾蹀官騶搖綠騣。黃馬歲當南至日。黑貂寒透北來風。威行嶺海三持節。任重關防一委公。餘事文章橫槊賦。倘仍歸使寄郵筒。</text>
<title>客有勸余求名。吟此示意。</title>,<text>看吾鬂髮白如絲。默筭前程已自知。未死身餘蓬藋掩。平生痛結蓼莪詩。恒飢不恨腰圍减。每食徒令臉淚垂。奉檄安陽難再得。世間回首復奚爲。</text>
<title>贈尹方伯子由 以道</title>,<text>自從衰病久離羣。白首端居西海濆。萬事如今皆喪我。一年於此再逢君。天藏日萼弸陰氣。雪淬風刀剪朔雲。手挽使華三夜飮。不妨樽酒細論文。</text>
<title>題忠烈錄金將軍倚柳射胡圖</title>,<text>想像將軍運氣機。大弓長劒奮神威。獰龍劈海驚濤立。怒虎爬山碎石飛。萬古聲名懸日月。三韓天地揭光輝。分明毅魄重泉下。應與張廵許遠歸。</text>
<title>贈丹丘翁</title>,<text>不遇於時蓬累行。永辭簪笏一身輕。歡悰漸覺年年謝。華髮偏驚日日生。林下此翁無外事。世間何處有前程。今人所棄吾能取。雲白山靑霽月明。</text>
<title>復贈丹丘</title>,<text>揮翰飛揚綺繡紋。騷壇君是大將軍。丹丘古壁雙松合。綠野晴沙二水分。在昔品題前輩咏。至今傳誦後人聞。多公有意追先志。朋酒高亭會以文。此翁之先世。曾築丹丘臺。又欲築堤於其下而未果。今始築堤作塘。故第七句云。倚市何如刺繡紋。數奇無奈李將軍。西巖舊壑吾將隱。東壁餘光孰肎分。林下栖遅差可樂。世間飜覆莫須聞。題詩爲謝雲川老。欲和陽春媿不文。呼僧折竹掃苔紋。列坐詞塲白戰軍。黃紙紅旗雙印幷。靑蛾皓齒兩行分。斯丘只合山公醉。此樂休令俗士聞。聞道訥翁今欲返。請君先製北山文。</text>
<title>復疊</title>,<text>晴波漾綠動靴紋。詩社相邀戰藝軍。歎我十年漳水疾。要君一半華山分。雲蹤自古無人識。世道如今不願聞。却笑渭川多事老。獨何垂白待周文。郊原錯似繡回紋。列嶽奔如赴敵軍。此境久知爲子有。斯丘何惜與吾分。身輕物外雲無跡。耳重人間事不聞。箇裏一般淸意味。更兼賓主各能文。波涵山影醮成紋。魚出芳洲聚作軍。松下樽前半日會。舟中石上兩曹分。郞當舞影水底倒。淸切歌聲雲外聞。勝事風流堪可記。請君援筆叙爲文。吳紗蜀錦一般紋。楚劒燕弓兩隊軍。色有淺深俱可翫。勢無強弱孰能分。詩家習氣君猶健。藝苑高名我亦聞。退讓且須相贊美。鑽心寧效沈休文。</text>
<title>復疊</title>,<text>微茫水織萬頃紋。擺列松排百隊軍。晩樹新凉生夕籟。晴天佳月屬秋分。丹丘勝會從今始。赤壁淸遊在昔聞。前後一般人意思。蘇仙爲賦我爲文。錦繡膓裁五色紋。詩城復整鸛鵝軍。雄雌不必終無別。勝負如何久未分。俚語莫敎平子見。大音要使遠人聞。鄧林一葉秋先隕。誰是王充所着文。玉露凋成楓葉紋。夜來秋令似行軍。官醪不待王弘饋。社肉何須孺子分。趁此佳辰誰後至。約爲期日我先聞。生憎素慢花山老。謾把空言只尙文。丹葉黃花斐亹紋。龍山曾惱孟參軍。其人已去今誰繼。此景長留與我分。歌咏壺觴斯亦足。管絃絲竹不須聞。詩成寄贈同心子。莫笑山林草野文。附次天末纖雲巧作紋。野中烟樹若屯軍。蘭舟唱晩月初上。玉篴吹殘宵向分。漁火灘邊千點燦。林鐘風外數聲聞。此間景物要模寫。須倩明公不朽文。世事紛紛木蘯紋。風波抵處各張軍。是非自有雌黃別。論議都忘白黑分。阿好世情言亦醜。黨同風習欲無聞。實關時運何誅汝。靑史千秋有鉞文。</text>
<title>示沇兒</title>,<text>舊事微茫夢一塲。依然六十六年光。休論詩絶兼癡絶。自笑醒狂過醉狂。交道卽今無管鮑。世情從古有炎凉。吾身不做何須恨。榮慶他時佇二郞。</text>
<title>贈再任湖西伯尹子由</title>,<text>西湖形勝說公州。綠水江城拱北樓。靑眼故人重握手。黑頭方伯再分憂。亨衢子遇風雲會。暮境吾傷歲月流。詩賣明時終未售。幸逢知已倘相酬。</text>
<title>贈前川翁</title>,<text>往事眞如夢一塲。追思百感在中膓。君爲昔日靑郵客。我是先朝白髮郞。共向西疇尋舊業。耻從東壁借餘光。相携莫出人間路。烟月江湖舍則藏。</text>
<title>詠懷</title>,<text>結髮曾遊翰墨塲。晩將盃水直文章。終孤筆下三千字。虗送人間六十霜。紅勒此年無永叔。紫薇他日覔君房。若將勞逸分優劣。吾得其閑彼得忙。</text>
<title>除夕</title>,<text>兩眼昏花齒亦搖。曾經六十七正朝。傷心急節靑春近。回首長安白日遙。來歲不爲無此夕。舊年其奈只今宵。須臾毋死猶云幸。含哺康衢願戴堯。</text>
<title>春曉</title>,<text>曉起開窓望眼烘。一年春色亂靑紅。桃花暗綻微微雨。楊柳輕搖淡淡風。草樹盡籠吟詠裏。溪山宛在畫圖中。誰能更倩龍眠手。添寫其間白髮翁。</text>
<title>曲水堂</title>,<text>艮岑東麓小溪傍。架壑初成背郭堂。鋪地盤巖宜列坐。循除曲水可流觴。初從吾祖傳三世。留與兒孫守一庄。澗草山花當護惜。莫敎樵牧近林塘。</text>
<title>西巖閑詠</title>,<text>丘園晦迹十三載。掩耳人間事不聞。曲水新齋來作主。西山老釋與爲羣。淸心靜對垂巖瀑。矯首遐觀出峀雲。高枕北窓無一念。等閑時日自朝曛。</text>
<title>寓懷</title>,<text>禍福無非自己求。阨窮何可向人尤。棲遑莫恨時難遇。榮悴須知命不猶。萬馬騰驤凌老驥。千帆飄拂過沉舟。傍看苦海風波急。寄語長年爲汝愁。</text>
<title>弧辰口占</title>,<text>人間花甲劇飛梭。六十九齡看又過。末契逢迎靑眼少。舊遊磨㓕白楊多。年年此日雖無盡。忽忽吾生奈有涯。兄弟子孫同一席。老鱞行樂尙堪誇。</text>
<title>輓李尙州大而 恢</title>,<text>謝眺靑山弘景雲。桃花流水武陵源。天寒袖薄深藏手。日暮林喧早閉門。淸福忽慳龜鶴壽。至情遙隔鶺鴒原。四松亭下泠泠水。猶作琴聲繞石根。</text>
<title>臨鏡堂</title>,<text>追成先志效平泉。善繼無如此子賢。梅返床頭三世後。李題堂額十年前。荷香暗襲盃中月。欄影斜臨水底天。登眺不堪存沒感。鳳坡西日涕潸然。故友金白峯廷叟之胤子盛益。繼其先志。新構臨鏡堂。得其先祖時盆梅。且其先人曾托李沔川山賚。寫臨鏡堂三字而藏之。金生年幼不及知。今始偶得於舊篋中。請以此添入詩中。故頭聯及之。</text>
<title>西巖夜吟</title>,<text>雲白山靑積雨收。洞天如水亂螢流。客來松逕苔黏屐。僧汲巖泉月滿甌。荷露暗傾珠眩轉。竹風微動玉颼飀。衿靈爽豁塵緣斷。何羡人間萬戶侯。</text>
<title>次東溪韻</title>,<text>世路羊膓九曲如。藏身宜密不宜踈。吾知南陌難孤往。子謂西巖可隱居。日未陰寒先閉戶。天方風雪晩歸廬。俱成老洫皆無用。堪笑當年十上書。原韻寂寥誰問病相如。苔巷無人塵事踈。西嶽君今開靜社。東溪我亦卜幽居。烟霞地僻俱忘世。風雪天寒且掩廬。斗覺箇中增意味。有時吟就覔牋書。</text>
<title>次金靑松用九 鼎夏 求新蓂韻</title>,<text>往事奚須仔細陳。我曹曾是大明民。人心自古皆思漢。鶉首如今已錫秦。每歲忍看新統曆。元朝非復舊王春。興亡百變無窮恨。北望神州淚濕巾。</text>
<title>次東溪韻</title>,<text>艮岑東麓小溪隈。我與淸風明月來。開槖每拈描景筆。岸巾時把侑詩盃。窓前瘦玉千竿竹。雪裏寒瓊一樹梅。對此自然忘俗累。昔年形役捴堪咍。原韻卜築東溪溪水隈。閉門苔巷斷人來。官街不着澹㙜迹。里席惟酣社酒盃。霜後落英憐晩菊。雪中踈影愛新梅。優游隨處皆佳致。世事如今付一咍。</text>
<title>詠春</title>,<text>春服初成單袷衣。晩携藜杖出柴扉。鸎追黃蝶穿花去。燕獲靑虫掠草歸。醞釀山河和暖氣。發揚天地艶陽輝。化工神筆丹靑妙。晴碧烟中畫翠微。</text>
<title>金仲玉 瑋 以高靈守。就吏三朔而歸。詩以叙懷。</title>,<text>握手相看雪滿巓。此生那得更長延。我從今日無多日。君在當年最少年。情外是非喧白地。世間榮辱任蒼天。且將緘口終餘歲。莫向塵歧復着鞭。</text>
<title>寡鶴</title>,<text>籠來玄鶴到茅茨。聞道前年喪一雌。巖洞碧雲陰畔睡。海天凉月夢中思。不爲華表仙人去。長與孤山處士隨。白首老鱞吾似汝。此間相對可無詩。</text>
<title>次東溪韻</title>,<text>讙呼皷舞滿前途。悒悒何須獨向隅。物外江山余樂也。閑中水月客知夫。殆同張叟趍傭役。不效毛公隱博徒。稍喜一區栖息地。白梅玄鶴又西湖。原韻久覺亨衢是畏途。楊朱何用泣歧隅。寧從物外爲閑者。誰數人間此丈夫。種柳本非追逸士。負薪惟合混樵徒。悠悠浪迹元無定。半在山門半在湖。</text>
<title>聞壺谷南台屛居江上。方患茂陵渴。擬送一壺未果。</title>,<text>少時吾與相公懽。未悟前程企及難。忽見飛黃騰踏去。自憐虗白布衣寒。當時偶識雲卿面。晩歲羞彈貢禹冠。聞道雀羅門久閉。一壺聊慰舊天官。</text>
<title>次金靑松韻</title>,<text>世路何須問險夷。不才無用聖明時。中年我已塵冠掛。上壽君今福履綏。病眼依俙猶辨字。柴聲斷續亦吟詩。天敎兩老相酬唱。白首俱存此亦奇。</text>
<title>寒宵凍吟</title>,<text>疾風如矢射窓紗。獨坐凌兢手屢呵。月塢寒聲松淅瀝。雪林踈影竹婆娑。塼壚夜半頻添炭。氷粉空中孰打羅。耿耿通宵魂骨冷。強伸長句費吟哦。</text>
<title>次沇兒詠西巖韻</title>,<text>年來衰病謝塵緣。傍此烟霞喜自專。衆醉人皆頭蹋地。獨醒吾不口流涎。溪聲撼枕凉生夢。松影流巖月在天。彈罷猗蘭操一曲。莫敎荷蕢過山前。</text>
<title>漫成</title>,<text>萬事于今貴括囊。不容於世亦何傷。殊珍在璞誰知玉。衆草埋蘭莫辨香。已見單張俱滅性。更聞臧穀各亡羊。爭如無是無非我。高枕松間背郭堂。</text>
<title>贈尙州牧伯東溪翁</title>,<text>尙之爲邑嶺之隈。杜曲詩人製錦才。一枕夜間安范睡。千門月下見曾開。弟兄岑子留名地。大小馮君繼踵來。聞說此州公賦稅。比年元不用民財。</text>
<title>白華山登眺</title>,<text>挑取山雲荷滿肩。飄然獨立白華巓。平看西海三竿日。遙望齊州九點烟。有信去來朝夕水。無聲回斡古今天。雲霞極目蒼茫裏。一片靑丘小似錢。</text>
<title>偶吟</title>,<text>開闢之初品物生。孰居無事按摩成。鰲頭壯力三山戴。媧手神功一柱擎。日月晦明包裏影。風雷歘吸槖中聲。卽今天地腥塵暗。千古黃河幾歲淸。</text>
<title>次東溪韻</title>,<text>艮嶽東邊我弊廬。斫來松籜揷籬踈。人間俯仰心無媿。林下棲遅興有餘。時把長鑱行覔藥。日憑高枕卧看書。榮枯哀樂悠悠事。付與浮雲過太虗。</text>
<title>寄東溪</title>,<text>天地爲囊包萬類。其間亦有一人吾。平生大眼今雖暗。將死剛膓尙未渝。翰苑當年欽李白。路歧他日泣楊朱。知音賴遇東溪老。歌詠相酬興不孤。附次虗拋書劍歲空徂。拓落窮途熟數吾。志在桑楡嗟已晩。盟深鷗鷺莫相渝。生憎俗眼偏多白。坐歎衰顔便失朱。惟有西巖居士在。時時贈語慰畸孤。</text>
<title>次東溪韻</title>,<text>髮未星星官已休。樂夫天命復奚求。君今閉戶深藏手。我豈當筵大拍頭。湖上有廬堪寄傲。世間無地可埋愁。題詩寄與同心子。明月元非以暗投。</text>
<title>再疊</title>,<text>性癖耽詩死未休。似君須向古人求。寧從博士誇三體。要使歐公放一頭。惡歲誰云無好興。淸詩本自出窮愁。騷壇勝負何須决。我欲分功子大投。</text>
<title>輓李參判仲習 慣</title>,<text>扶顚從此永蕭條。公去誰爲故國喬。作吏幾携車下鹿。捴戎曾揷侍中貂。一家勳業傳三世。七袠光陰歷四朝。有是佳兒承節操。積仁餘慶未全消。</text>
<title>聞鴈</title>,<text>行行接翼戛然鳴。㢠與殘星數點橫。故國霜前今夜聽。新秋月下去年聲。征人淚落黃龍塞。思婦砧催白帝城。最是老鱞遅暮感。獨吟詩句坐寒更。</text>
<title>寄東溪</title>,<text>浮榮已與歲俱徂。憶昨初從下大夫。去去前蛇兼後虎。行行西抹又東塗。吹沙孰辨虗爲實。抱玉吾甞有若無。一卧漳濱常閉戶。長安不見使人吁。</text>
<title>開元寺六老會唱酬 幷序</title>,<text>余昔宰河八時。親在高堂。欲設壽酌。供具已訖。遽遭季父喪。服闋。又遭叔母喪。繼有國哀。仍以前後六年之間。朞功洊疊。竟未遂意。此余平生遺恨。乃今家督。忝爲此路兵馬使。將爲余大辦壽席。而余惟所未甞獻之於吾親者。有不忍受之於吾兒。峻辭呵禁矣。適於此際。家有疑疾。余卽出避於開元寺。前川李叔固，東溪李士常，德川李德優，栗里任儀叔，龜村李得秋皆來訪。家兒輩固請略設小酌。諸老皆以爲可。余不敢強止。於是乎六老便服袒跣。或坐或卧。屛去絲竹。代以筆硯。單床精饌。遆進新味。一觴一詠。晝夜懽謔者。五日而罷。是會也。德川李德優以八十一歲。首其席。東溪李士常以七十二歲。爲最少。厖眉鮐背。莞爾相對。飮不泥醉。喫不過飽。從容諧笑。樂而忘歸。咸以爲此不可無識。遂爲六老會契帖。施以繪素。盖亦浮生百年間。難再得之勝事也。家兒沇首記其事。而請于前川，東溪尾而識之。余亦爲之略記其槩。而且錄伊日酬唱之詩于左焉。歲己卯陽月下浣。實維其時云爾。</text>
<title>贈東溪</title>,<text>靑猪秋八月初旬。此寺曾遊迹已陳。一夢悲歡身外事。百年存沒眼中人。憐君晩歲詩無敵。歎我平生志不伸。欲向壁間尋舊墨。更敎紅袖拂輕塵。乙亥秋。余與東溪及其胤子持平來會此寺。今持平已亡。不覺悲疚故云。附次筭老俱臻七八旬。論交况復似雷陳。半醒半醉遊三日。同志同聲我六人。剪燭便敎淸話穩。揮毫不覺雅懷伸。誰知履道諸英會。却許龍鍾忝後塵。</text>
<title>次東溪韻</title>,<text>蹐跼何須引領望。世間名利已相忘。黃金誰是持粱蔡。白首吾非執戟楊。栗里田蕪松菊在。平陵門掩草萊荒。升沉榮悴無關念。鳧鶴從他脛短長。原韻顯揚當世已無望。遺訓龍門俾可忘。任此畸形同槁木。居然左肘見垂楊。光陰易邁身如寄。書劒何成業自荒。獨立蒼茫迷處所。暮天飛雪郢歌長。</text>
<title>聯句</title>,<text>最少年爲七十二。開元寺裏六人來。西巖。 相看衰髮渾成雪。更覺初心已作灰。東溪。 遇興遣懷長短詠。傾情倒意淺深盃。西巖。 他時此會知難再。椽燭高花任爾摧。東溪。</text>
<title>次尹台子由韻</title>,<text>周南留滯卧江湖。轉覺親朋一字無。少日畸孤貧賤共。暮年窮達號名殊。雲泥已隔平生友。老病唯餘未死吾。忽有驪珠驚入眼。夜來光燭艮岑隅。</text>
<title>再疊</title>,<text>或畊於野釣於湖。年老身閑外事無。物態看他朝夕變。人情任汝愛憎殊。遐心久已全忘世。浩氣終能善養吾。却悔從前形役苦。謾從蠻部詠娵隅。原韻謝公詩與賀公湖。平地神仙也不無。筋力未應今日减。風流肎與少年殊。誰憐白髮猶居世。惟有靑山不負吾。遙想霜前秋鴈至。尺書頻寄石村隅。</text>
<title>雨後春景</title>,<text>雨歇風微花欲綻。隔林晴晝鳥𠴨𠴨。門前已碧陶潛柳。屋後初靑謝眺山。天地噓來暄暖氣。園林粧出艶陽顔。西巖野老還多事。日役吟魂不暫閑。</text>
<title>次東溪韻</title>,<text>獨夜愀然坐正襟。羣鴉何事噪空林。君從昨日方知足。我自中年已洗心。涉世才踈仍命薄。與人交淺敢言深。天寒歲暮門常掩。閑擁塼壚對雪岑。元韻窮途何處共論襟。歸老于今守舊林。山月入簾如有意。孤雲出峀自無心。東溪晩築寧嫌僻。西嶽幽栖不猒深。藜杖葛巾來又去。却看斜日掛烏岑。</text>
<title>寄尹台子由</title>,<text>長安花柳昔同遊。白首相知有子由。北闕承宣新雨露。東山携妓舊風流。衰年馳驟君猶健。晩景淸閑我亦優。欲識相思相望處。一輪孤月在吳州。</text>
<title>寄東溪</title>,<text>西湖物色獨專久。今與東溪野老分。明月此中猶伴我。白雲何處不隨君。寧將美璞徒勞獻。肎使芳蘭謾自焚。爲把郢人漫鼻堊。試敎匠石運風斤。附次放浪溪翁與巖叟。華山一半許相分。窮途拓落誰憐我。晩景追隨獨有君。殘燭小齋留客話。名香禪榻對僧焚。優游自覺塵機息。樗櫟何曾怕斧斤。</text>
<title>逢秋歎老</title>,<text>七十遐齡又九齡。此身非復舊儀形。禿頭無髮何憂白。病眼難開不見靑。向日葵忱猶自保。望秋蒲質已先零。孤懷悄悄淸宵永。風滿踈簾月滿庭。</text>
<title>寄東溪</title>,<text>終年所得幾篇詩。漫興渾非用意爲。或在鳥啼花落日。每當人靜月明時。舂容古調誰知者。俗眼今人見陋之。獨有東溪風格老。唱來酬去不爲疲。附次杜翁堪笑謾耽詩。閉戶孤吟謝百爲。衰鬂虗消多日月。壯心非復少年時。盤桓有地宜休矣。倚伏由天但任之。賴與西巖居士好。嘯歌相和便忘疲。</text>
<title>次東溪韻</title>,<text>憶昨從遊伯仲間。動經旬日不知還。吾今老作窮途阮。君亦貧如陋巷顔。一世朋交皆指盡。百年湖海獨偸閑。幽居寂寞無人問。雪滿虗簷月滿山。原韻臨溪瀟洒屋三間。落日愁看倦鳥還。久覺窮途多白眼。終嗟薄相已蒼顔。向來哀樂無非妄。老去優游好是閑。料得箇中何所事。捲簾朝暮對靑山。</text>
<title>淸風明月</title>,<text>淸風明月須閑者。風自淸凉月自明。我不與人人豈奪。人無求我我何爭。松間隱映黃金色。竹裏鏗鏘碧玉聲。到底相隨長入手。取爲詩料過平生。</text>
<title>次宗姪和淸牧韻</title>,<text>淸是湖西名勝州。今之太守古諸侯。何人獨下陳蕃榻。有客同登庾亮樓。遅暮宦情身外薄。江山詩料眼前優。中和樂職君應作。須待歐公放一頭。</text>
<title>東溪長逝後。無與唱酬。遂廢吟哦。秋夜獨坐。感念詠懷。</title>,<text>休將詞翰復升堂。從此騷壇舊業荒。惠已先歸莊舌寢。元今長逝白詩亡。凉飈一陣生庭樹。落月三更滿屋樑。泉路九重消息斷。獨吟遺句立蒼茫。</text>
<title>壬午元日。枕上口占。</title>,<text>八十年加又一年。却從平地作神仙。已將榮辱投身外。只有兒孫滿眼前。無盡藏中風與月。不空樽裏聖兼賢。還嫌俗眼來窺我。故遣山雲鎖洞天。</text>
<title>歎老</title>,<text>閉戶常如入定僧。等閑時月自環絙。耳無所樂淸商發。眼有何悲冷淚凝。開卷試看看不辨。對人相語語難譍。昔年豪氣今消盡。終日昏昏枕曲肱。</text>
<title>秋夜聞鴈。憶亡友東溪。</title>,<text>東溪吾友絶音塵。白首悲吟淚滿巾。一陣鴈來秋有月。百年人去夜無晨。同遊寺憶燈前話。相和詩藏篋裏珍。撫枕不眠開戶視。冷雲凉雨倍傷神。</text>
<title>次任監司文仲雙溪亭韻 二首</title>,<text>龍潭一面少喧哤。絶景湖中孰敢雙。南澗暗隨西澗合。前山欲向後山降。新添子美垂綸檻。閑倚淵明寄傲窓。不就耒陽淹驥足。主翁全勝鳳雛龎。境僻稀聞俗語哤。潭深恰受小溪雙。宜爲綠野名園敵。肎向平泉別墅降。日晩波光紋畫壁。月明雲影鏤虗窓。幽居終歲無相訪。床下何人拜老龎。拜老。作獨拜。原韻一區淸境絶塵哤。湖右求之定不雙。二水合流如有約。千山競秀莫相降。龍藏古壑雲生石。人倚危欄月滿窓。顯晦待時能卜築。隱淪奚啻鹿門龎。</text>
<title>奉贈藥泉南相國</title>,<text>枌鄕却喜鶴歸遼。故國誰云木有喬。公議是非俟百歲。宦途夷險歷三朝。事惟王事寧回避。心自吾心不動搖。聞道德容猶似舊。只應遐福未全消。附次自笑身名豕在遼。那能學業鳥遷喬。才踈任重羞高位。罪大誅輕感聖朝。更被鴻恩多借貸。許歸蝸屋免漂搖。西隣舊友休相慰。殘喘枯骸渾欲消。</text>
<title>與藥泉相國。會于逸樂窩。仍同賞峽洞。</title>,<text>白首重來病獨存。更陪蟬冕入桃源。溪花似笑吾人老。山鳥何知宰相尊。坐久却疑柯已爛。興闌惟恐日將昏。淹留且莫催歸去。帶月要須夜到門。附次疇昔親知一老存。今行不但爲尋源。華堂新占神仙窟。峻秩還兼齒德尊。相對碧溪心失疾。同遊玉洞眼開昏。歸時更囑山雲道。他日重來莫鎖門。</text>
<title>次龍淵酬唱</title>,<text>一爲淵水一爲溪。各有新詩遇興題。屛處丘園寧戚戚。古來賢哲亦棲棲。九雲夢入胷中闊。五老峯隨眼下低。雙鳥同鳴喧宇宙。隔隣酬唱日相携。</text>
<title>影</title>,<text>推之不去步無跡。對面何甞共笑談。晝避樹陰行乍止。夜隈燈火坐相參。湖邊散作東坡百。月下分爲李白三。恰似世間徵逐地。各隨時景走西南。</text>
<title>烏竹</title>,<text>琉璃枝節玉肌膚。裊裊猗猗色是烏。泣露新梢松外聳。舞風踈影檻前鋪。垂爲渭叟三千釣。立作坡翁十萬夫。盡日吟哦看不厭。此間何可此君無。</text>
<title>秋月</title>,<text>皎皎娟娟缺又盈。一輪偏向艮岑明。銀河淨洗千秋色。玉斧新修七寶精。兔翳廣寒微有影。桂飄靈隱落無聲。滿天風露三更夜。惟恐纖雲穢太淸。</text>
<title>戀舊詠懷。贈李尙州叔謙 益著。</title>,<text>撫枕咿唔達五更。不眠何又泣無聲。排愁酒借三盃醉。搆拙詩難一字成。默數舊交餘後死。追思往事似前生。溪翁已逝阿咸在。遙寄新篇道此情。附次江城一別歲遷更。驚喜新詩寄遠聲。世事不須論得失。昭琴終亦有虧成。舊遊何處尋遺迹。晩契無端托後生。先執秪今公已老。可堪春日此離情。</text>
<title>復疊李叔謙次送韻</title>,<text>秉燭中宵僕屢更。讀來牙頰起風聲。殘蟬自媿秋猶噪。良驥方知老始成。今世獨君追舊誼。舊游唯我至今生。尙餘白首吟哦癖。傾瀉當年不盡情。附次獨保幽貞志不更。暮年江國動詩聲。已知霧豹文初變。莫恨溟鯤羽未成。倦鳥閑雲同出處。素琴玄鶴共平生。顧慚蕪拙蒙推奬。床下何時謝此情。</text>
<title>池蓮</title>,<text>皎如靜女靘晨粧。簇立亭亭滿小塘。瓊作脩莖金作蘂。靑爲高盖粉爲房。波中露瀉團團玉。月下風傳冉冉香。堂上老人看不厭。白頭終日坐胡床。</text>
<title>漫吟</title>,<text>天運循環若轉輪。遞傳先後去來人。名爲身外無情物。灾是門前不速賓。蠻觸有勝還有敗。獜驢誰假復誰眞。北窓高卧吾何事。猶惜殘年護谷神。</text>
<title>秋夜</title>,<text>一夜嚴霜撒似塩。滿庭黃葉撲踈簾。蒼蒼松月燈虗室。白白山雲帳矮簷。多取騷壇成卒富。獨專詩料不傷廉。秪緣多病身全老。椽筆如今亦懶拈。</text>
<title>戒示兒輩 幷小序</title>,<text>功名富貴。自是無主公物。何可弋而取之耶。要當坐待其來。來則受之而已。至於科塲得失。尤當盡吾人事。謹避嫌疑也。向來名家子弟。皆罹科獄之禍。此誠端人正士終身監戒處也。玆賦一律。以遺兒輩云爾。窮通只在彼蒼天。萬事要須任自然。富貴有時難獨擅。功名無主遞相傳。終當遠到宜徐步。初若先登恐疾顚。九陌黃塵前去路。且隨人後莫加鞭。</text>
<title>春日幽居</title>,<text>朝來月額雨新晴。綠樹啼鸎遠近聲。芳草園林三逕暮。桃花籬落一村明。山河醞釀陽和氣。天地氤氳發育情。高枕北窓春睡足。等閑詩句夢中成。</text>
<title>閑居漫吟</title>,<text>蕭然暴露在山阿。巖老貧家所有何。竹塢此中明月滿。草堂其上白雲多。詩書舊業休時習。翰黑新工廢日哦。掃盡世間無限事。仰天聊復一長歌。</text>
<title>朝夕垂盡之日。不廢吟哦。</title>,<text>八十三齡老病叟。頭童齒豁語猶遅。心官縱已全忘事。口業終難永廢詩。一炷寒燈欹枕夜。五更霜月滿窓時。自然啽囈仍成句。贏得傍人大笑之。</text>
<title>中夜吟</title>,<text>此生於世復何求。富貴難容智力謀。去歲眼昏頭已白。今年牙缺舌爲柔。魂離舊宅生無益。癖在新詩死不休。中夜撫膺常有淚。每思王室自然流。</text>
<title>自嘲</title>,<text>八十年加又四年。非人非鬼亦非仙。脚無筋力行常蹶。眼乏精神坐輒眠。思慮語言皆妄耳。悲哀懽樂捴茫然。猶將一縷綿綿氣。時閱黃庭內景篇。</text>
<title>悼亡弟</title>,<text>宛爾相逢昨夜夢。暫時歡會卽成空。筇音怳惚來門外。顔色依俙在眼中。膓已火銷情不盡。淚如泉湧泣無窮。更憐苫塊攀號處。頭白螟兒亦老翁。</text>
<title>病革 屬纊前一日。口呼。</title>,<text>大歸胡乃姑徐徐。萬事如今捴是虗。吳下未揩三日目。窓前浪讀十年書。依微明滅風中燭。搖漾浮沉水上苴。妙劑神方皆妄耳。氣宜無吸亦無噓。</text>
<title>霽後夜吟。回文詩。</title>,<text>斑苔碧草亂鳴蛙。客斷門前村路斜。山雨過來風動竹。澤魚跳濺水翻荷。閑吟朗月松窓滿。淡抹靑烟柳巷遮。鱞老一宵淸景飽。顔朱換却鬂皤皤。</text>
<title>傍隨窩。回文詩。</title>,<text>三槐古樹綠依依。永日消惟閑局碁。嵐翠織紗粧遠峀。水湍流玉瀉淸池。南窓小柳靑絲嫰。北塢新梅白雪肌。談又詠而隨又傍。探搜苦鍊百篇詩。</text>
