<title>長白山</title>,<text>春盡雪猶在。不秋添新白。凌凌蔽天多。邊城日易夕。</text>
<title>邀叔平觀鷹郊外</title>,<text>羣姸物色媚新姿。耿介驕禽時正肥。玉卵烹來艾再好。金膏燒處酒俱宜。良辰易逝三春暮。世事多艱一笑稀。明日何辭原上會。况君將有故園歸。異域春光已半無。倥偬文簿興難啚。不將壺酒遊靑墅。長向奩銅理白鬚。檻外含羞花莫吐。簷頭催發鳥空呼。煩君莫惜良辰醉。暖日尋芳鷹可俱。</text>
<title>南人有遺我乾柿者。分送杏軒。</title>,<text>南鄕珍果北無多。千里驚看意若何。嫩白飄時香作霧。深紅剝處蜜成窠。酸梨漫水曾奴肄。火棗偏乾是土沙。至味未應吾所獨。臨盤分取送堪誇。</text>
<title>秩滿將還寄大用</title>,<text>三載光陰疾若流。初來靑髮已霜頭。百年離合親朋少。千里遲回去路悠。狂興幾因羣醉發。別懷長向兩心求。人生自是無南北。相送天涯未足愁。</text>
<title>富寧會。次士遂韻。</title>,<text>宴罷高軒興未闌。更從西舍覔餘歡。丹心怳似長沙賈。豪氣誰如吏部韓。萬里孤臣愁裡老。一天明月醉中看。人生聚散眞如夢。此夜奇談意足寬。</text>
<title>倒屛</title>,<text>靑天爲地地爲天。白日還驚落土邊。舟覆未看篙子沒。屋翻偏訝怒風顚。瀑流勢若虹衝斗。城闍形如月缺弦。物倒屛前成獨坐。從來順逆本同然。</text>
<title>次士遇贈</title>,<text>鵬翼鷯枝路不同。無端雲樹隔秦中。三千極界空多夢。四十初年已作翁。邂逅情杯深不厭。從容前事語難窮。人生喜聚還成別。落葉滿山天更風。</text>
<title>制勝亭重陽會</title>,<text>霜濃天地菊秋香。勝日開罇興更長。花揷花頭相照好。心知心友一般狂。殊方此會無多得。故國他時不可忘。聚散由來眞夢耳。明年何處又重陽。</text>
<title>贈慰李措大謫㞐枰山</title>,<text>天涯流落我三年。君亦胡爲此海頭。暗淚多時悲故國。枯骸窮處托殘郵。鄕音不到誰生死。人事無端空去留。渺渺覊懷昏似醉。烟波萬里一孤舟。</text>
<title>同林正郞士遂遊浮碧。次板上韻。</title>,<text>故國繁華逐水流。江山千古客登樓。英雄事去城空在。天地情多月獨留。聒耳笙歌猶舊曲。無心沙鳥自蘋洲。人生底處爲眞所。浮碧今知亦夢遊。</text>
<title>次盧廣文韻</title>,<text>驛路春晴絶懸埃。水流東去客西來。羊歸野逕林間入。人宿樓窓月下開。荷葉靜時鳧睡渚。柳絲深處石封苔。斯須剩得江湖趣。收拾慚無困物才。</text>
<title>次澹澹亭韻</title>,<text>仙區寧合坐班荊。近斗高亭取次成。野逕人稀山月白。桑林春暖暮烟平。三盃醉處人逾濶。一鳥飛時沙更明。暫此浮休心澹澹。簷間留號不虗名。</text>
<title>敗荷</title>,<text>落盡紅房已歇香。無邊靑葢立空長。凄風戛玉秋聲緊。白露翻珠月色凉。屈子愁多成小睡。昭君情苦坐殘粧。榮枯萬物須臾事。莊叟高談不是狂。</text>
<title>諸客愁登東陽峰</title>,<text>長庚門北密臺東。松檜陰多澗壑空。尋勝久知秋助興。陟高偏覺杖爲功。當流足自塵泥洗。擧酒情應肺腑通。自笑吾身拘係甚。良辰行樂未君同。</text>
<title>歸思</title>,<text>淅米矛頭知幾日。人間生理更多危。十年西北丹心苦。千里行藏白髮垂。天地有客巢殼狹。江山無主蕨魚肥。東園種竹今應長。歸及秋竿折一枝。</text>
<title>送僧</title>,<text>千里書傳識面曾。重來依舊去年僧。六窓靜裡心猿睡。五濁離邊法象乘。持鍊衛城今乞米。牧牛潙舍昔傳燈。周流耆域吾何繫。暫待斜陽語鏤膺。</text>
<title>盧廣文設酒。以詩見招。因次其韻而𧬄之。</title>,<text>心昏塵務口生埃。苦裡披書喜命來。談笑眞儒師範在。衣冠高會盛筵開。將身每欲龜藏殼。廢事何妨印餙苔。少待西山斜日暮。飮君要試淺深才。</text>
<title>泛舟大同江餞客</title>,<text>晩把淸罇上小舟。兩三人作暮江遊。烟沉樹與波光合。雲盡沙同月色浮。千里風萍皆是客。一盃談笑若爲秋。天涯送別年年事。不覺吾生已白頭。</text>
<title>別崔仁老</title>,<text>寒官三載客烏山。告別還驚浿水間。力懶候迎吾已老。鞕催歸去子應閑。繁階綠樹濃陰亂。散地風花錦字班。料得故園光景好。踈籬何處是荊關。</text>
<title>送任子仁還洛</title>,<text>萬事多懷不自身。天涯趍走力全貧。將歸未决春先去。欲起還眠酒獨眞。滿目溪山花落盡。一心家國涕垂頻。無窮別恨江波濶。挾路長枝懶係人。</text>
<title>紅窓㤪</title>,<text>深鎖高亭坐不眠。殘燈消盡夜如年。空庭人絶窓含雪。虗幌風多月在天。㤪淚千行愁送集。長情一脉夢相連。茫茫咫尺三山隔。靑鳥難憑一字傳。</text>
<title>無名院</title>,<text>束玉羣峰影蘸波。傍江茅店兩三家。風傳遠笛來踈雨。春送飛花落晩沙。亭到練光高孰勝。水於浮碧濶居多。西州好地看看有。其奈荊榛不問何。</text>
<title>宿望日菴。禱雨。</title>,<text>客路風霜兩鬢秋。他鄕何日大刀頭。長江暮色乾坤濶。夜寺鍾聲人世悠。食邑多慙民惠少。回天那得雨膏流。禪房一夜煩懷滅。夢馭鸞凰遍九州。</text>
<title>送人還洛</title>,<text>至寶天成不琢磨。棚中誠彩照人多。身無羽翼難鵬擧。鼎有塩梅可手和。郞署君爲馮子老。長沙吾亦賈生嗟。茫茫一別關河隔。千里空看片月斜。</text>
<title>成仲容等。遊綾羅島。</title>,<text>一船歌妓兩書生。泛向綾羅島上行。瓜甲有香新菜採。鼎心浮玉小魚烹。山花得雨紅情滑。澗柳翻風綠意輕。已被韶光能物。更敎人作斷膓聲。</text>
<title>聽民堂</title>,<text>奔趨三載力難支。強意登堂聽民時。萬紙呈多書襞積。千頭聲亂語侏離。專城素食誰知愧。半世虗名謾自欺。料得故園梅事早。先春楊柳未開枝。傾耳民聲百不聦。小堂那得遠情通。空隨案簿飜朱墨。懶向庭爭說異同。萬里歸心催栗里。一軒淸嘯坐弘農。無端昨夜江湖夢。未委何時馬首東。</text>
<title>次樓船韻</title>,<text>江魚遊罷鴨收拳。落日晴波穩負船。謀醉不妨催大酌。聽流何惜費長牽。興亡故國千餘禩。飄泊殘生百半年。人世浮沉眞細事。忘形誰似臥秋天。</text>
<title>次雨中賞蓮韻。別尹士推。退溪門人。</title>,<text>打玉聲來醉後聞。紅房靑盖雨紛紜。華筵錦濕香傳夢。羅綺粧成影拂雲。陳跡已爲前歲事。他鄕難得舊僚君。重重欲瀉離懷苦。其奈朱儒我不文。</text>
<title>飮席。贈朴同年卓爾。卓爾時爲宣川敎官。</title>,<text>紅顔十載未全凋。髣髴當時坐石橋。愁裡易成黌舍老。客中難得故舊招。窮通已識天心定。放曠何妨物議嘲。萬事無如加一酌。今宵不飮奈明何。</text>
<title>送光山李牧使壯元</title>,<text>小民勞悴大官煩。要選慈詳撫字勤。所貴荒年仁政滑。未須人獄片言分。弘農乕去誰劉子。合浦珠還是孟君。可待光山成偉績。老夫傾耳頌聲聞。</text>
<title>送金子任令公赴京</title>,<text>四海梯航作一家。皇恩溥博我東多。驅馳𧬄事人誰可。簡選朝揚命不他。冰到槖藏慚比㓗。春於詞藻借生華。名邦見重由名士。從此吾王寵錫加。</text>
<title>到蓮城</title>,<text>三面靑山一面川。咸關歸路鐵關邊。寒烟日暮兩三屋。老樹霜多千百年。簾鎖軒前禽鳥樂。客來門外主人眠。殘城剩得閑中趣。臥治惟慚汲子賢。</text>
<title>來蓮城旣月。崔仲洪，安期仲來訪。詩以𧬄之。</title>,<text>少日天駒萬里心。升沉時事未料今。星霜五十枯形在。雲水三千壯氣沉。末路交因趨向薄。故人情到遠來深。愁中一笑逢君日。况與崔兄幷來尋。</text>
<title>偶題。奉呈金廣文。廣文以長短引投我。後數日。以此答之。</title>,<text>大筆馳風入手來。簿朱叢裡眼方開。長虹射日心猶壯。健翼冲天氣不灰。幾夜月明悲故國。一春花落惜離盃。秋鴻社燕相違久。人事無端未足懷。</text>
<title>次黃山谷雨絲雲鶴韻</title>,<text>亂緖垂垂密復稀。誰從仙杼散霏微。初疑手引蠒盆出。更訝風吹蛛網飛。織得天章光萬象。裁成雲物彩玄機。流鸚亦解金梭助。不向穿絲㤪濕衣。不學華亭中夜唳。任從羊角九天齊。留紅落日粧頭巧。借碧晴虹引吭低。海鶻正堪爭運翼。天鷄羞與作同棲。誰言一去三千歲。朝夕遼陽路不迷。</text>
<title>次金敎官韻送別</title>,<text>垂空寒槖欲無衣。幾日思歸詠式微。半歲功名成一笑。百年心事更多違。爲詩筆有蘇州健。見黜人無柳下譏。可羡江湖君獨往。病夫猶未賦言歸。漫浪天地我何人。尺水龍潛子一身。萬里行藏同失所。百年肝肺已成親。韶光正値春風早。世事還驚別恨新。自笑淮陽老太守。遅回元是爲家貧。</text>
<title>次極浦孝叔韻</title>,<text>憐君虗幌費長吟。不比春囱鎖病心。成懶有時來惡語。到窮無處見知音。遲回自笑謀何拙。泠談還誇意則深。待得小軒山月入。對罇要破未開襟。</text>
<title>金剛山</title>,<text>造物鑪鎚用力煩。爲山是處壯乾坤。風烟絶俗千塵滅。林壑粧奇萬像存。樹色高低天向曉。鍾聲南北寺初昏。無邊勝致供人目。未許回鏕出洞門。</text>
<title>送人楓岳</title>,<text>送人楓岳幾番歸。自惜吾生病在斯。雲盡洞天來鶴近。春歸林壑見花稀。慣聞溪石心先玉。長對仙岑夢亦奇。自笑名韁身鎖久。定知何日副心期。</text>
<title>見釣者有感</title>,<text>物之爲味餌之甘。口腹人魚一般貪。利害爭來機孰察。風波多處禍同含。優游未識珠潛樂。飢飽終歸虎視耽。萬事妙觀無彼此。皎然鉤戒靜中探。</text>
<title>次昌道驛</title>,<text>人悲人喜我同之。虗內何曾點寸思。小管難窺天地速。眞知方見蟪蛄遲。甘辛合處謀爲巧。榮辱分來意向歧。可笑世情翻覆甚。絶絃無復見鍾期。</text>
<title>題新安驛</title>,<text>緣何名驛揭新安。依舊流民未見還。山擁踈籬鷄犬少。門臨長道馬牛殘。慚無惠澤留人愛。喜有吟鞭向故關。此去重來應白髮。可能郵吏解吾顔。</text>
<title>送孝叔還洛</title>,<text>抱病三春嶺海邊。見君那免喜跫然。仙遊未作同携杖。歸計還慙獨後鞭。一曲陽關千里日。半生人世二毛年。從今可𧬄塵間事。却望雲山何處天。</text>
<title>在廣津望南山</title>,<text>終南回望與天齊。秀色蒼蒼正在西。龍躍漢濱能屈曲。鳳騰華岳與高低。千年景物山容壯。十里雲烟眼力迷。縹緲都城行漸遠。放臣那得不懷悽。</text>
<title>次默齋李子發星山唱酬錄韻</title>,<text>[本文缺]附默齋元韻 默齋名文楗觸機生禍語難諧。一跲無何事盡乖。物自橫時容便好。辱從來處忍還佳。眸昏不用姸媸別。性懶休論得喪懷。城底數椽安分卧。箇中淸懷噤如齋。迂踈活計未曾謀。束手無爲到白頭。古趣欲從閒裡得。淸歡宜向靜中求。一身但逸三誰省。萬事都捐百不憂。拙叟生涯斯亦足。聖恩寬處占長休。</text>
<title>又有退溪，南冥，栗谷唱和詩。</title>,<text>古樂崩亡自不諧。未須提律㤪離乖。行無昵跡留何恨。語不關時默亦佳。春事易空眞換世。秋毫能去可平懷。生涯正賴茶料理。萬物觀形只卧齋。詭禽成獲我無謀。正坐踈愚白盡頭。燕頷封侯寧有相。蛾眉傾國本無求。天心不向人偏倚。名市多煩世喜憂。郭外有田今數項。冷身何日得歸休。</text>
<title>又次休叟韻</title>,<text>凋盡紅顔白髮添。憐君流落客荒炎。瀉心有物存琴友。知己無人斵鼻尖。可向罇盈誇得意。不因甑破費回瞻。城南竹路連亭榭。來往風流管雪髯。興日消亡病日添。一官能換十凉炎。湖山未作機頭臥。文簿長揮筆舌尖。錦地風光紅罷雨。羃軒烟柳綠供瞻。東君已去吾猶在。藏退無謀愧婦髯。</text>
<title>偶題三律。忘我木苽。望子瓊琚。呈休叟。</title>,<text>踈翁與物無爭久。獨向碁邊趣味多。有勝負時忘勝負。用干戈處息干戈。靜中觀物誰知最。裡潛心每廢衙。得返桑村何日在。一枰天地足生涯。朱墨十年身白髮。寶坊長憶暫時閒。誰知隱吏塵間在。不禁雲蘿夢裡攀。君得歸時吾獨後。山多奇處水宜觀。錦囊一一藏形勝。願置床頭洗眼看。天親相賊且何心。在死求生理亦深。開閉由人門可貨。逃奔依草跡難尋。失刑未試除三害。購捕徒煩募百金。尸素老官癡更絶。浪吟純古獨非今。時有失囚之事焉。</text>
<title>書示都會儒生 律</title>,<text>大東文化軼虞唐。漸被曾無隔遠方。絃誦已看成美俗。裁培尙慮有𨽎章。鳩才會校衣冠盛。選學充師敎養臧。分廩久知蕃寵錫。供燈偏覺荷恩光。開昏日月昭昭在。瑞世鸞凰寂寂亡。飯皷常鳴儀獨古。講堂旣設意空長。投形自幸逃勞役。做力頗勤針毁裳。承訓土墻終不達。假名蘭麝百無香。情隨物欲馳形外。腰折候迎困路傍。自賤何辭人賤我。心無不免行無常。禽生獸死同灰草。火走 缺 顚類病狂。人在萬形靈最首。禀論初賦性皆良。探深何地無泉湧。戕酷玆山是木傷。千聖元非天上遠。一心惟貴我中藏。學要精博能成就。道在尋常豈渺茫。忠孝由來吾職分。文章還是德糟糠。誠推彼此人無㤪。敬一行莊物不妨。言語每因羣醉失。謹嚴宜向獨居詳。利名多處驕先敗。困辱來時忍可當。明本臨疑關黑白。智於措事統柔剛。用心霜雪圭何點。高卧山林草自芳。男子行身元有律。儒儕不學已全忘。休將末句誇詩妙。須入眞源覔道綱。已矣吾衰何所識。長嗟承負不歸鄕。顔曾事業靑年志。馮老功名白首郞。沿滴慚無民受惠。踈迂長見世來謗。斯文久賴儒風厚。素食多經歲月忙。自笑此身無一可。反䂓諸子有微痒。雖然未履言猶得。畢竟無忘味或嘗。悠久他時如有獲。方知瞽說不爲荒。</text>
<title>笑矣行。贈尹弼卿。</title>,<text>笑矣乎笑矣乎。老尹白首來西土。倥偬文簿積案高。舌爭百頭紛庭聚。晨趍腰膝自無閒。不覺墻頭花滿樹。忽忽心事說向誰。九十春光悲已暮。笑矣乎笑矣乎。抱琴何處知音遇。學苦屠龍更何爲。蹄涔不復啚南羽。伶仃無地托身孤。半夜一笑中庭步。茫茫天地自古今。俯仰人間誰久駐。笑矣乎笑矣乎。篋裡悲吟千萬句。紛紛榮悴死莫知。賢愚一般歸壠畒。蓬瀛不見路冥冥。無人可與銀橋渡。醯鷄蠻觸是大觀。東海桑田在一顧。笑矣乎笑矣乎。有田可粟而可布。無心江海不繫舟。止亦不厭行不惡。分明歸思不禁多。遲回十年其何故。淵明昨非我亦知。夢幻無事今已悟。笑矣乎笑矣乎。自笑又笑君來寓。飛騰九霄足羽翼。時乖奈此無雲雨。負箱關河跋涉勞。欲與蝦蛭爭其路。儒冠只欲快脫麻。不識韁鎖多辛苦。歸歟歸歟孰我共。林逋湖山久無主。</text>
<title>哭德川尹使君</title>,<text>所貴君子心。不害爲弓馬。直道易見忤。所以人不可。人不可不須恨。此間眞理誰知者。長風萬里心。未試先登手。山郡寂如鎖。愁多易白首。易白首可奈何。門前九尺紅塵走。天心不愛賢。久忍荒城棄。蹭蹬旣足悲。早奪其何意。其何意問何意。千古茫茫人一指。君子樹德多。不必吾身見。搆堂乃有人。地下應喜面。應喜面誰得知。滿目秋山歸路變。</text>
<title>寄姻侄李葵</title>,<text>昨夜夢見汝。書來夢不虗。平安是吾喜。學業又何如。汝年不甚少。晩得莫效予。去秋讀馬榜。紙盡汝不書。良驥有時蹶。豈云汝才踈。汝翼大垂天。汝終不池居。老我在荒郵。抱病三載餘。長思綠蘿月。猶未賦歸歟。黃金酒熟後。杜鵑花發初。良辰樂誰與。遙羡汝輩行連裾。嗚呼我獨胡奴墟。</text>
<title>思鄕歌。奉呈仁仲求正。</title>,<text>飛空千里在一擧。鳥有兩翼吾不如。游通江海任所之。我滯一隅何及魚。悲懷空寄屈平詞。夜夜夢魂墜吾廬。人生四十已半過。紛紛榮利都是虗。生平骨肉只弟兄。天南卽季地北余。稚兒膝下不暫離。失我啼呼尋舊居。至情相悲不相見。到此萬念無由鋤。踈慵聽民有何爲。每慙蠧衙消居諸。長懷鄕國欲春暮。山花可煎川可漁。丘登野步樂所如。我須我友行連裾。傾壺取醉語多時。日暮擬跨襄陽驢。安閑元是福之兆。蔬糲不曾來毁譽。知之不爲是無勇。可笑欲往還趑趄。嗟君情抱倍我懷。白髮慈親長倚閭。殘燈風幌滅復明。鴈度靑天音問踈。兒心亦可想親心。忍淚不覺增歔欷。雖然親喜是兒安。積愁招𧏮非孝歟。寬平且莫更疚懷。馳馹歸期只月餘。</text>
<title>書懷贈廷彦幕佐</title>,<text>踈愚薄質合耕穛。絲髮何曾補聖朝。燕石虗名能眩玉。瑞鸞精揀錯收鷯。憑時漫取馳要秩。無用空貽笑大瓢。覆器每看由物溢。行危那免致身搖。人生聚散同蚊蚋。世事升沉是汐潮。海北銅章名位極。江南家國夢魂遙。儒冠未諳軍機治。野性何知斗斛料。敎薄難回風尙惡。聽昏偏劫訟言囂。煩形酷似衣加木。素履何殊虫食苗。知愧未還應有意。竢時將發定何朝。懷鄕噎欝覊心苦。照鏡分明絲鬢凋。大酌談胷誰我伴。奇音彈古得君調。爭機射物弓歡洽。齊轡尋芳野興饒。對博亭中觀世變。植床波際擬仙軺。當罇浮蟻隨宜酌。納席淸陰不用邀。拂面微凉松韻㢠。嚲鞭芳草馬鳴驕。前灘牛過數聲篴。落日人行何處橋。行樂正如鄕國會。臨筵難得故人招。悲懷欲發酒能制。噫氣常塡琹易消。已識榮枯同幻影。休言天地異荊遼。千年貴骨人誰辨。三尺荒塋火已燒。造物無心時變化。浮生多事議喧嘵。海濱存沒非關世。日下恩榮未答堯。到地人臣修職分。年來墨客礪弓刀。頤神是處爲吾宅。念遠何須理返撓。馬失已知猶是福。鵩來誰識亦是祅。低顔可待乾人唾。食米何傷屈此腰。騖外羣形雖擾擾。植中眞見自昭昭。淸懷若脫人間累。仙御還能物外超。可笑區區趍利子。功名只欲到曹蕭。</text>
<title>送士遂歸覲京師</title>,<text>天上星精海鶴姿。軒然風彩好男兒。傳家忠孝一心在。動世文章餘事爲。龍榜早登公選合。鸞坡高步物情宜。邇來邊圉民多困。異日機關事或危。文武才誰堪作範。薦揚君獨遠臨夷。身違北闕葵心切。名振遐方乕跡奇。革面貪官新善集。象儀淸野舊風移。齊民已喜添膏洽。醜類還嗟見面遲。神化邊城歌德日。慈親鄕國倚閭時。恩榮彼此官拘勢。眠食朝昏念在玆。傳賀偶然乘故事。假公聊復副吾私。行㫌已指南山下。歸意難回北海陲。把酒無窮留別恨。歌詩要作送人辭。人間聚散元無定。塞外交遊更是誰。狂興幾多南北路。眞心不惜淺深知。溪山好處杯偏大。侯皷鳴時箭益馳。豪氣每嘆君更少。灰心長恨我全衰。鄕園夢裡靑山疊。文簿叢邊白髮垂。知愧未休惟歲換。竢時將發可秋期。茫茫此別傾雙淚。默默何時展兩眉。萬里歸來時已晩。三春光景樂誰依。淸明黃鳥回車日。綠葉陰濃花已稀。</text>
<title>江心鏡</title>,<text>稽前牒而鑑古。徵异物而砭恠。異火齊於周室。訝照心於秦帝。天子鏡兮水心。又貴耳於仙李。藏變化於一面。異世間之靑銅。原斯鏡之創制。俶降祉於眞龍。孕維陽之淑氣。採秋金之剛精。來老仙於上淸。留素書而效珍。命玄冥而𠊩工。醮祝融而致虔。移神爐於大江。月端陽而曰午。淬淸波而百鍊。紛金膏而呈巧。範非常於分野。儀厥象於曜靈。背五采之龍盤。鑑萬物而淸瑩。儘天下之至寶。世莫並乎妙絶。賫焦僥之遠物。呈一片於九闕。重耀於顧眄。八彩掀於黃色。于以懸於座右。奚但照乎姸媸。辟衆邪而通靈。紛百變而衒奇。雲霞吐於儵忽。風雨生於頃刻。噫世人之好恠。播異談於牙頰。倘彼鏡之誠神。亂豈生於天寶。當玉環之入宮。鏡無補於辟妖。逮錦䙀之養兒。鏡未明於燭禍。眩藻鑑於用人。進腹釰於台閣。晦瑤鏡於臨事。致金甌之瓦裂。旣帝心之昏蝕。彼江心兮焉用。况千秋之金鑑。有當日之䂓諷。不寶此而寶彼。何取舍之不審。昔乃祖之明明。曰以人而爲鑑。</text>
<title>柯亭笛</title>,<text>妙玄機之潛運。紛氣數之靡常。苟所遇之不時。曷效跡而能彰。叩微端而驗物。知玆笛之有會。屈良材而代椽。托柯亭而自晦。尙天眼之未遇。誰覩外而悟內。當孤立於巖罅。雖風韻之高越。旣神遇之無人。浩踈影之舞月。入斧斤於不朝。用反歸於無用。縱扶棟於一隅。哀厥任之不當。悶烟火之日爍。孰求音於尺枯。幸見知於蔡子。登律譜而就沽。美奇音之寥逈。和旣至而莊俱。豈徒人之耳醒。將鳳凰之來儀。噫瞻前而顧後。知通塞之有時。擧物遇而傷心。顧吾身而永嘆。雖善鳴之無材。庶歌誦之不難。嗟知音之阻遇。托古笛而叙悲。重曰。茫茫天地會有期兮。笛不自笛在夫人兮。人不自達在泰辰兮。如時不來宜自珍兮。</text>
<title>大聖無作</title>,<text>廓中天而妙觀。求神跡於玄機。理混淪而靡罅。孰聲臭之能窺。忽叩端於聖心。悟大本之同然。缺 無作而驗緖。猗潛德之若天。會元精於方寸。悟浩浩之眞性。澹鏡凈而無累。豈存省而後定。混萬善而自足。曾不加乎毫末。襲自然而安行。貫動靜而俱合。道從容而無爲。元不勉而自中。引心運而推物。代神造於天工。合萬民而陶甄。無所作而有作。幻眞化之順施。若風動而雨濕。斯浸潛而皷灰。怳端倪之叵測。紛神入而鬼出。迹若無而若有。陽纔開而陰闔。顧迷方於先後。蕩大化之難名。物愈多而愈閑。雲往來於大虗。草衰榮於靑山。聖何意於有爲。物自成於無心。洞四海而同春。感天澤之方深。時民物之各化。若衆星之向依。帝高居而恭默。但衣裳之下垂。撫天地之交泰。無一事之或違。歌熏風而聲和。徒南面而何爲。肆天聖之合德。冠萬古而超邁。嗟人亡而道喪。世擧小而遺大。昧進爲之大本。謾巧詐而制治。紛號令之如毛。法才立而弊至。作千般而啚安。悶多事之害事。雖衡書而無益。亦傳餐其何補。旣失綱而力瑣。將何往而不喪。觀世變而抗憤。慕前聖之益長。源心機而運化。物無勞而自成。侔天地而幷功。永蕩蕩而難名。徂千載而遐想。宛氣像之可形。仰彌高而鑽堅。有所立之卓爾。雖竭才而求至。何斯位之可企。然前哲之有訓。惟賢愚其無別。縱生學之異知。及成功而若一。苟力求而不畫。庶聖域之在邇。矧堂室之尙存。豈時作之無地。嗟世降而治下。志奮起者伊誰。安下流而自棄。謂高遠而難期。旣善治之不作。致吾道之大隳。已矣萬古之昏閉。甘與禽而同歸。余章句之賤士。旣聾道又瞽文。當進學其昧向。何上聖之敢言。徒憤世而強題。起有志於來世。重曰。陰陽化化天無爲兮。敎育元元聖無作兮。默運神機心則一兮。玆心之端兮在吾曹兮。</text>
