<title>南郊罷酌 五言絶句。十三歲作</title>,<text>平郊千里闊。乾坤入酒杯。篴聲嫋嫋起。使我暫徘徊。</text>
<title>敬次四佳送趙善山韻。送李而遠 尙毅 赴成川。</title>,<text>峽中寒盡坼黃梅。綠漲春江淑氣催。玉節曾年樓上住。彩雲淸曉夢中來。武成祠下旌旗擁。紇骨城邊紫翠堆。昔日淸遊今尙記。憑欄回首意悠哉。許子風流老不衰。危亭新構落江湄。白檀樹下千尋壁。紇骨城中萬古祠。彩檻逶迤橫碧落。紅粧縹緲步瑤墀。若無仙分難爲倅。月斧重修已可知。</text>
<title>次朱天使 之蕃 漢江紀遊韻</title>,<text>彩鷁浮江作勝遊。山花如錦滿山頭。金杯灔灔醒還醉。綺語翩翩唱又酬。生歲偶然同甲子。晩年何幸識荊州。星軺一返雲泥隔。莫怪當筵更挽留。第一江山曾品過。詩仙留詠又鋪張。瓊詞爭誦傳東國。勝境應誇入帝鄕。忝上龍門憑玉樹。却驚鮫室近星光。沙禽叫斷波涵月。認得遙岑是樂浪。都門旭日動香車。正是晴和夏月初。彩艦浮空驚渚鳥。漁舟促櫓獻江魚。蠶頭遠見雲間峀。鮫室幽看水底居。蟾影漸高仙馭返。丁東禁漏二更餘。</text>
<title>敬次朱天使韻</title>,<text>江山牽興爲停行。却把無情做有情。綉幕雲開臨斷岸。錦帆風起漾虛泓。忘形取醉歡難洽。摻手言懷感易生。此後重來遊賞處。那堪遙憶鳳凰城。</text>
<title>尹兵使說挽</title>,<text>相隨少壯每齊肩。況是偕生戊午年。日月後吾君讓弟。才能拔萃衆推賢。東南劇郡三爲倅。山海雄藩兩鎭邊。未半百齡嬰二竪。茫茫禍福問蒼天。</text>
<title>宣祖大王挽章</title>,<text>巍乎功業煥乎文。聖德將多六七君。排斥老莊歸一統。表章經傳到三墳。持盈恒切淵氷戒。臨難尤勤義利分。淨掃妖氛新廟闕。千秋厭世痛乘雲。又龍潛代邸應橫庚。玉質金章望皆傾。招迎儒老勤三接。摠攬王綱盡九經。事大以誠終獲報。建儲推德寔由明。勛華心事家傳意。至德如天孰得名。又讒人罔極敢欺天。列聖含寃二百年。志繼先王功有大。典頒東國事堪傳。炎劉得姓知堯後。夏禹承虞是舜禪。雪盡深羞倫紀正。鴻勳貽厥又光前。</text>
<title>次熊天使渡遼河韻</title>,<text>渡頭風靜漾朝暉。十里湖山翠藹微。北極回瞻天共遠。東藩入望水同歸。天驕稽首曾輸款。都尉揮鞭正射飛。屈指旋車纔數月。艤船相待幸無違。</text>
<title>有釋來訪偶吟</title>,<text>繁花落盡燕呢喃。倐忽靑春已謝三。剩有幽禽鳴屋角。臾無閒客到城南。懸車何待二宜去。處世明知七不堪。和尙適來持贈菜。與之終日話瞿曇。</text>
<title>己酉暮春。庭畔杏樹始花。</title>,<text>護養慇懃近十年。長條纔得過簷邊。天敎直幹當軒聳。地近陰崖被雪偏。此日姸花開六七。何時甘果薦團圓。香燈殘夢三更月。只欠前山叫杜鵑。</text>
<title>挽人</title>,<text>昔年奇禍不堪言。未死相依只弟昆。聖主雪寃還錫爵。官封紀德合稱恩。儒家襟韻詩題壁。公子風流酒灔樽。晩歲敎成忠與孝。應傳餘慶及諸孫。</text>
<title>次皮日休訪寂上人韻</title>,<text>夜久春山衆籟沈。子規哀苦叫叢林。天中月到參禪定。閣上鍾鳴發省深。靈性已忘天竺偈。淸談誰效洛生吟。從今落髮除煩惱。禮佛燃香永洗心。</text>
<title>偶和權德輿送張御史使回鶻韻</title>,<text>遐方銜命得儒官。宣暢恩威可結懽。靑塚雁飛秋思苦。黃河風緊早行難。龍庭禮罷皇風暖。羔酒酣來劍氣寒。回鶻於唐功最大。開心莫厭駐金鞍。</text>
<title>金左相 命元 挽</title>,<text>天賦堂堂將相才。平心行世物無猜。身經玉帳兵初戢。名覆金甌業已恢。綠野未諧歸老計。白鷄俄報止車哀。城南最晩登門客。此後從誰把酒杯。</text>
<title>酬鄭景任 經世</title>,<text>江水悠悠與海通。海連千里有無中。孤鴻望斷滄溟北。雙鯉來從洛浦東。瓊尺裁雲隨素札。屋樑邀月輾遙空。看看却憶平生友。閑對羲經獨自窮。</text>
<title>奉贐奏請正使太學士月沙令兄</title>,<text>大學士兼大宗伯。年年底事動征輪。承祧業重須傳聖。專對才難必得人。十九封章應白髮。四千里路屬靑春。從今屈指君歸日。皇勅頒時雁正賓。</text>
<title>送朴參判應邵充進箋使赴燕</title>,<text>萬國歸心二十年。承祧今日又家傳。詔頒日域恩無外。星拱宸居賀敢延。皇極殿前同拜手。少陽門下獨陳箋。先生眼大奚囊富。詩史應看賦百篇。</text>
<title>文川館和都事韻</title>,<text>條風惻惻尙餘寒。虛館殘陽又向闌。攬㘘幾多羞范子。鞭蒲時復效劉寬。賓筵乍倒黃金酒。鯨海初昇白玉盤。却憶北邊方報警。有何長策可能安。</text>
<title>再和都事洪樂夫 命元 韻</title>,<text>城枕崇岡海又連。往來行樂敞華筵。醉看絶色誰爭麗。笑折濃葩欲鬪姸。舊態逢場豪氣發。新詩滿紙墨花鮮。幕中仙客饒佳句。愧我蕪詞不直錢。</text>
<title>送申季收出按海西</title>,<text>密勿銀臺尺五天。仙班忝與弟兄聯。頻年扈駕隨香案。暇日升堂奉壽筵。共保心肝期永久。莫將涼燠易推遷。雙旌今向曾遊處。立馬秋郊意黯然。</text>
<title>制使酒席次板上韻</title>,<text>三千里外海東頭。玉節重來作勝遊。射士彎弓如月偃。舞娥垂手似荑柔。邊城讌集多詩老。綺席淸歡亂酒籌。香雪滿庭紅日昃。不妨相挽目交酬。雕鞍未掛月氏頭。白羽行邊亦壯遊。馬革裹尸歸朔漠。鴟夷無意老溫柔。初心濩落空看釰。奇計蹉跎愧借籌。豪氣消磨猶未盡。銀花叢裏獻兼酬。</text>
<title>翌日又次呈半刺先生</title>,<text>行行尙未大刀頭。原隰殘春已倦遊。屋角梨花隨日。風前芳草弄春柔。三旬客裏聞啼鳥。雙陸誰將對點籌。勳業未成吾老矣。生平壯心竟何酬。</text>
<title>送朴仲吉赴三陟</title>,<text>大手爭推五鳳樓。竚看平步上瀛洲。文章自古忌同進。明月如今悲暗投。玉署遊談輕視草。金門抗議貴持籌。槐廳寂寂空棲雀。任遣詞臣老海頭。</text>
<title>次車敎授雲輅韻</title>,<text>不文何異問龍雩。長愧前驅夾道呼。偶向淸流脩稧事。更看佳客賦娵偶。山花灼灼迷孤塔。野草茸茸遍九衢。歸路火城如白晝。夜行誰復怕金吾。</text>
<title>恭祀齊陵因書齋壁</title>,<text>妊姒成周德比坤。千秋壼極母儀尊。佳城夙號興王地。舊刹今看傍寢園。紫闕歡呼聲未徹。繐帷香燭火猶溫。當年協贊基鴻業。餘慶綿綿燕翼孫。</text>
<title>送人朝京</title>,<text>聞道吾皇允執中。士夫論議尙非公。江湖師席爭眞假。臺閣彈文伐異同。洛蜀黨成金虜至。儒禪敎▣玉津空。杞人謾抱天傾恤。擬待君還慰大東。</text>
<title>權監役克寬挽</title>,<text>昆仲珠聯秩正卿。堂堂門戶世推榮。無心簪紱非求隱。散跡江湖豈避名。琴酒自娛師叔夜。支離爲德慕莊生。虛舟容與從來往。泉下相逢笑廣成。</text>
<title>失題</title>,<text>嘉陵古郡接蠻鄕。秋日登臨客意涼。漢水却隨新雁去。羈愁遙共暮雲長。銅章辜負鷄豚社。白露潛凋菡萏香。惆悵獨望當落照。碧江金柱漾虹光。</text>
<title>朱天使謁文廟時次韻</title>,<text>肅謁先師爲道尊。光臨泮水采蘋蘩。日邊人近躬宣化。天上恩洪手轉坤。駐節初看新構美。升堂終慘舊基存。慇懃勸戒留詩句。應喜諸生可與言。</text>
<title>奉和金景仁</title>,<text>春半餘寒似盛冬。獨來村舍坐高舂。眼穿殘日空相憶。絃斷瑤琴恨未逢。白髮紛紛心擾擾。靑山疊疊水重重。各保餘生牢閉口。金人自昔戒三封。申譴南來閱五冬。海濤聲裏雜村舂。羽儀征雁天邊去。薜服幽人月下逢。迎送居諸看幾度。依微雲樹隔千重。似聞邸吏傳朝報。新策勳臣萬戶封。</text>
<title>奉酬趙庶尹 誠立</title>,<text>霜着蘆花落雁秋。眼穿殘照剩牢愁。閑隨水鳥乘流去。却對仙翁載酒遊。醉倒謾酬漁父問。天傾那解杞人憂。猩紅林壑招魂返。被髮僛僛不自羞。</text>
<title>沈舍人 光世 挽</title>,<text>同投嶺海十年餘。奇禍偏歸子餘余。痛結終天萱背冷。夢徵炊臼旅帷虛。悲歡種種如隨跡。諭議堂堂實起予。才學方期經世業。壽纔知命職中書。</text>
<title>水月亭示朴生</title>,<text>雲際殘陽晩漏光。輕風吹送白蘋香。僮尋酒店煙橋遠。牛向蘆村夕影忙。江榭主人今駙馬。藜床佳客漢賢良。白鷗飛處孤帆去。便欲因之泛大洋。</text>
<title>奉賀晉興姜 絪 台閤</title>,<text>千佛名經第一仙。門前列戟是靑氈。官聯議政先公府。壽亞從心耆老筵。老去風流猶樂聖。時來功業早任天。遙知初度題詩賀。三十年如今歲然。</text>
<title>古之遊宦于外者。雖賴事育之資。而未嘗不以離親故去鄕里爲恨也。老夫之出守松都也。歲未閱而得與二妙同僚。是猶居于家而與親友相從也。方以爲幸矣。經歷李屹僚兄先以短律見惠。道其所欲道者。敢以詞拙爲辭。而以孤盛意歟。依韻奉酬。而別有所獻。伏希斤敎。</title>,<text>繁華舊說三門外。臺閣要官此會同。軒蓋晝喧趨上宰。絃歌夜咽樂元功。兵餘凋謝幾年後。隣好聯翩一府中。勝事且須傳繪事。鋪張五老合推公。大慶之年逢大有。昇平行樂四方同。毬場閱武修戎事。詞掖摛文頌聖功。候月天驕遁塞外。搏桑客使繼洋中。縣官無擾村家樂。樽酒何妨躋彼公。吾兄詞賦擅吾東。天與之才命不同。窮鬼未曾辭太學。醉鄕將擬續無功。摘髭科第曾三捷。樂聖襟懷幾一中。聞說翠華臨魯泮。孰敎臣克頌僖公。漢水西流洛水東。一邦風氣苦難同。學殊儒墨知堯聖。派別江河竝禹功。箕演九疇稱建極。舜增三說繼惟中。相將修己竢天定。范子曾師司馬公。</text>
<title>次竹西樓壁上韻</title>,<text>大嶺之東八九官。竹西形勝最淸閑。川廻斷岸縈紆處。棟壓層巖縹緲間。半夜灘聲琴奏曲。三冬雪色玉爲巒。佳人不識詩人意。却笑吟肩聳似山。又江面危橋橫一水。人去人來行也獨。山連北塞勢巍巍。水注東溟流曲曲。神仙風馭遊怳惚。猿鶴幽棲在岑鬱。蓬壼遙望海漫漫。巨鰲頭高長不沒。</text>
<title>和韻奉呈府伯金先生</title>,<text>使君豪氣足風流。出守猶分第一樓。密席戲令紅袖狎。放歌還使綵雲留。眞心好着樽中蟻。浪說何論海上鷗。老子狂懷應伯仲。一場歡謔播東州。</text>
<title>又贈短律潮</title>,<text>玉堂金學士。江外謝宣城。好客同文擧。論兵慕孔明。重逢靑眼豁。話別白髭生。此後相思處。孤燈夢不成。</text>
<title>舊西江觀</title>,<text>坤靈噫氣簸潮生。來往朝昏却有程。平野漸看靑草沒。遠沙還見白鷗爭。盧郞作賦人傳誦。伍子浮江恨未平。浦口落帆何處客。主人迎笑似多情。</text>
<title>和獠奴韻</title>,<text>峽裏山高日易曛。緣崖尋澗路難分。村村剖竹流泉遠。滴滴承壺傍枕聞。病肺此時思冽井。回頭底處豁浮雲。今知瓢飮猶關命。望斷歸鄕鹿與群。</text>
<title>鄭參判協和伯 協 挽 五言排律</title>,<text>憶在冠童歲。同門挾冊遊。麒麟呈具眼。頭角標凡流。藝苑頻魁捷。雲衢發有遒。趨庭從列戟。入幄對垂旒。禍禍元無妄。萋菲知有由。蓼莪懷至痛。雷雨荷洪休。忠孝兼全日。聲名始大秋。棲遲猶郡邑。卓絶駕瀛洲。淸獻隨琴鶴。莊生任馬牛。龍韜參制幕。鳳藻掌皇猷。聖主恩榮重。諸公譽望優。文衡曾被薦。德量更誰儔。敭歷三司長。風▣一紀周。相門看出相。憂國轉成憂。引疾歸郊墅。虛心逐海鷗。求詩來白足。論古豁靑眸。好客時開酒。傳觴幾點籌。流光同石火。塵世等浮漚。昨歲還朝晩。邦家拜慶稠。佳期須桂滿。良覿與朋謀。豈意幽明隔。難將日月留。問天須漠漠。茹恨獨悠悠。關塞曾歡會。談論恣遠搜。梨花靑海館。錦席大同舟。健筆森橫戟。高吟逐轉喉。奇才誰可繼。陳迹已難收。半百齡何促。千方病未瘳。望雲方陟屺。流汗遽旋郵。叵忍隨丹旐。胡然尙白頭。春宵沙峴路。松露月如彄。</text>
<title>畿伯洪樂夫挽</title>,<text>關北曾爲使。公除幕佐來。聲名聞已久。懷抱喜初開。風度連城玉。詞華八斗才。忘年深托契。接席共傳杯。父子交俱密。歡娛興不裁。寶亭荷萬蓋。端館錦千堆。酬唱聯成卷。風吟響作雷。相離雲雨散。苦憶歲時催。榮悴投湖海。音書幾往回。修門召謫客。禹甸按分臺。難幷燕鴻影。要期山水隈。斯言猶未踐。樑木遽先摧。朝野同悲矣。親朋儘痛哉。追思官濟濟。到處刃恢恢。玉署追元白。梁園倒鄒枚。爲親求大府。奉壽詠南陵。敷政誰焚火。諭刑陋棄灰。人推兼五福。輿議望三台。已備人間事。應將造物猜。老夫終底託。揮淚不堪哀。</text>
<title>平海郡逢舊樂師許弄 五言古詩</title>,<text>箕城古名郡。獨全兵火餘。危亭抗館北。璇題輝碧虛。碧梧傍簷角。翠竹森階除。嘉名揭鳳樓。登睡空欷歔。我來自仙槎。時當孟春初。戎務苦遑遑。旅懷無由攄。主人童丱舊。杯酒常相於。紫割碧海螯。銀縷氷江魚。錦席燃紅燭。厭厭夜何如。童奚跪我前。欲言還趦趄。老叟千里來。其年可懸車。鶴髮而懸鶉。懷刺久蹰躇。自說舊樂師。要謁春官徐。呼來賜之坐。問爾何坊居。再拜謝厚意。將言淚霑裾。吾兄名億鳳。以笛隨乘輿。十年爲典樂。進退隨鴻臚。少小習耳目。樂其可知歟。十二仍學箏。鯤絃飾璖。哀音唳孤鶴。流聲咽宮渠。藝成頗解律。梨園播名譽。班行亞師兄。先輩借吹噓。吹竹與彈絲。相須類駏驉。是時太平久。天衢和日舒。公卿事遊宴。三日已爲疏。凝香掩槐柳。南池折芙蕖。每逐中舍宴。不覺流居諸。時從執拍位。擅場不爲沮。太廟協龍飛。內殿歌關雎。歡聲起五雲。才人與婕妤。君臣通宴日。女樂紛粧梳。四更開閶闔。千官響璜琚。軒懸羅八音。曲折看麾旟。宗宰上壽罷。觚稜影蟾蜍。明良相際會。荒樂絶畋漁。士女競光陰。黎庶安菑畬。自謂長如此。一生同華胥。泰極否還來。壽域生瘡疽。南山烽火斷。北闕聞建儲。西門半夜雨。六飛困泥淤。內人啼紅袖。廟器棄璠璵。萬姓各鳥竄。避死投崎嶇。未效雷海靑。漂泊同棲苴。嶺海風沙地。營生費拮据。恨不學農夫。春畦把犂鋤。忍同穿窬子。囊探又篋胠。愁來劇欲死。有時陟彼砠。江南李龜年。心事何如余。襄陽李使君。風流似相如。賓朋北海孔。詩酒歐陽滁。佳人笑垂手。留客摻袖祛。招我主敎坊。芳筵烹肥猪。奉壽大夫人。籩豆擠有且。釣鰲切作膾。採蕙淹爲菹。翠翹簪孔雀。紅裳染茹蘆。敎呈蓮花臺。喜道汝起予。從玆有追呼。破帽隨蹇驢。堪嗟筋力衰。俯仰同蘧蒢。有似中書君。老矣不中書。或向鄕人彈。鍾鼓似鶢鶋。我聞一惆悵。況若夢蘧蘧。往事不須說。宮廟化爲墟。孤臣尙未死。不才同櫟樗。臨民愧無誠。三四誘群狙。方今屬中興。賢士茅連茹。誓將賦歸來。綵衣寬倚閭。東路多故人。留連到化鴽。携爾去江陵。設酌陳魚蔬。鏡湖似彭蠡。七百里爲瀦。鳴箏會群仙。金杯浮玉蛆。</text>
<title>次五十川韻</title>,<text>川自牛山來。沙明苔蘚碧。縈紆何盤盤。四十七回曲。深厲淺則揭。石齒嚙我足。時見浣紗女。白晳顔如玉。家住水東西。柴扇掩幽谷。我欲從之遊。微辭屢往復。佳期在桃月。一諾終不宿。沿流惆悵歸。疏風響修竹。</text>
<title>失題</title>,<text>策馬投名郡。春寒日將暮。衙罷登高樓。爽氣侵六腑。穿林見海山。依俙䯻鬟露。要上最高頂。遠望蓬壺路。蓬壺在何處。蒼蒼但煙霧。想像羨門輩。婆娑蔭琪樹。學仙嗟苦晩。姑酌金樽酤。</text>
<title>崔領相 興源 挽</title>,<text>昔在世宗朝。濟濟多群英。是時寧城君。文章早登瀛。策勳紀太常。弘化秉元衡。毓慶裕後裔。奕世聯簪纓。相門又出相。遭逢際聖明。溫溫如圭璋。德器自幼成。筮仕入金吾。出倅佐南城。登第強仕年。九萬開鵬程。揚歷部院僚。華聞播公卿。萊府館▣使。海道理頑氓。東西兩劇任。考績誰能爭。司徒曁司馬。掌國財與兵。自古難其人。朝廷選最精。公爲二曹長。練達綽有聲。蒼黃壬辰夏。鑾駕向西行。宣麻陟台階。手額協群情。承命扈東宮。艱關費經營。天地俄旋轉。劬勞疢疾嬰。居閑八九載。勿藥當自平。意將起耆舊。黃扉復調羹。如何木有稼。凶夢奠兩楹。廟堂失元老。九重傷且驚。賻葬稽古典。恩禮光丹旌。考命備五福。終始保令名。屈指人間世。幾箇免嘲評。羞爲近名善。厭作絶俗貞。抱才如金石。不扣亦不鳴。功名竝無迹。景慕及聾盲。安得大手筆。豎碑三尺塋。我之高祖姑。寧城實親迎。四佳從受學。恩義如弟兄。終焉代主文。士林傳爲榮。潘楊睦有自。許我通家生。騎省忝爲吏。諄諄誨以誠。至今服在膺。懼墜如奉盈。受賜無所報。雙淚空縱橫。</text>
<title>和唐詩</title>,<text>秋盡寒惻惻。凄風自來北。代者何其遲。欲歸歸不得。水落江色淸。蟲鳴夜勸織。中宵獨長歎。懷抱誰人識。</text>
<title>次熊天使蔥秀山韻</title>,<text>夫子至是邦。澹然無所求。素性足仁智。酷愛山水幽。遇境卽有酒。何須與婦謀。蔥秀最蕭灑。澗壑異滄洲。雲門若耶溪。絶勝眞可儔。停車坐盤石。四顧揩雙眸。林翠濃欲滴。層崖回磴脩。潺湲峽中水。匯爲百丈湫。山橋似漁磯。釣竿時亦投。奇觀在右左。不必勞冥搜。川容帶影媚。嵐氣向晩收。景趣罨畫裏。飛鳴黃栗留。復有玉溜泉。穿巖成洑流。從來怪詭地。未聞在道周。富媪亦好事。雕鎪俯澄瀏。故使仙客軺。於焉來往休。興闌歸意動。蒼鷹瞥下鞲。喜獵非儒事。聊以消客憂。飜思拙老生。尙未營菟裘。素志在引年。黽勉猶沈浮。誓卜某水上。平生說陪遊。</text>
<title>次金郊趙察訪 國賓 韻</title>,<text>緬懷蘭亭會。一觴而一詠。絶筆遍宇內。千年似非夐。後來流觴飮。誰似羲之盛。松都山水佳。到處淸且淨。芳辰轉三三。士女光陰競。安和古寺下。洞邃泉如鏡。老守邀賢僚。同携不辭病。詞客駐軒蓋。馳人折簡請。雲幕敞盤石。紅花近相映。山鳥怪儒衣。渚蒲巧生逬。中筵奏絲竹。潭底遊魚泳。座上盡才俊。白戰誰最勁。廣文騁雄健。先生儘雅正。揮翰不能止。騷壇堪主柄。知縣氣又豪。觥飮稱酒聖。忘形共歡謔。一席四美竝。況復邊圉靜。朝廷屢有慶。年豐農價平。分司少刑政。不妨駕言遊。詩酒適情性。遠追山陰讌。菗寫記名姓。</text>
<title>延興府院君遷葬挽</title>,<text>西京外戚家。十九鍾奇禍。幷因權勢赫。膴仕嬰瑣瑣。延興世儒宗。淸白名不墮。銓郞廷望重。會推專由我。嫓德歸積慶。詢訪無不可。超陞領府尊。踧踖行不妥。撝謙敦禮讓。迎客頻虛左。眷惠及故舊。孜孜終不惰。祥夢徵熊虺。剭殃緣此坐。當時玉几命。分義平不頗。鼎湖龍去遠。坦途成坎坷。群凶竟媒孼。甚於燎原火。往事不忍言。長秋樼且鎖。天地氣已閉。草木無婀娜。國步將臲。吾徒眞么麽。昏墊星一周。宗社有負荷。一戎定內難。朝淸頌猗那。誅兇就葅醢。錄賢逮窪橢。冤魂蒙褒贈。髽婦今垂鬌。二郞贅寒門。剝盡餘碩果。頃承慈殿召。修容入靑瑣。欲說痛塡胸。淚眼頻袖裹。佳城卜東原。祖載催歸舵。來哭江之滸。庶羞雜肴果。一喜復一悲。暮靄堤柳嚲。老夫起江海。視履借眇跛。細氈忝講讀。泮宮誨蛉臝。班行儘濟濟。于飛翼猶朶。苦思引年去。那堪侮裎裸。來往靑坡路。忍過黃公埵。</text>
<title>和呈金景仁 七言排律</title>,<text>西海雄藩有二州。觀風行樂勝諸侯。芙蓉閣上香生幕。羅綺筵中酒屢籌。閤裏嬌閑皆蒨袖。鈴前奔走有蒼頭。月亭潮晩搖金柱。廣石春晴擁碧油。舊日豪華時入夢。如今人事謾生愁。輪蹄擾擾紛如織。歲月悠悠轉似毬。安得偸閑携我友。一聲長笛共憑樓。</text>
<title>次淸河板上騎牛子李行，慵齋成世昌韻。七言古詩</title>,<text>少年軒輕杯視溟。自負奇算嗟沈冥。中年叨選入蘭臺。學詩謾作秋蟲聲。如今頭顱已可知。尙欲入海斬長鯨。</text>
<title>次張籍採蓮曲</title>,<text>芙蓉初發香氣多。女郞搖櫓相應歌。蓮葉如蓋芒如刺。欲採蓮莖時起波。纖纖玉筯動蓮藕。戲抽香絲勞素手。怕添珠露衣頻捲。恐逐中流掉江淺。斜陽下山微風來。待月還思歸路遠。金波乍看雲際上。笑語琅琅催桂槳。</text>
<title>笑矣行書于滿浦之受降亭</title>,<text>名花與傾國。誰得帶笑看。世間那有楊州鶴。二者固知兼之難。東山謝太傅。携妓縱所歡。鐵腸宋廣平。尙爲賦梅花。兩公勳業揭宇宙。結習猶未全消磨。藥峯先生眞可憐。謂牛謂馬從人名。前年持節出關路。來守繁華舊西京。浿江之外素稱佳麗地。按廉人喚探花使。天生有花能解語。縱是黃門還有意。友生戒我或勸我。兩向唯唯聊爾耳。先生儒名佛老行。於色於花無所喜。年來衰謝作老翁。形同枯木心似灰。四十稱不動。況復加三哉。偶然病躃者。疾足追高才。踸踔䠥躃顚且仆。傍人大笑供千場。先生亦捧腹。自道吾非狂。</text>
<title>次朱梁兩天使漢江泛舟觀漁韻</title>,<text>驂鸞鞭鳳日邊客。春早辭朝離九陌。前驅萬馬散霜蹄。探勝或上蒼苔壁。漢陽山水擅海國。地近不須勞升陟。駕言出遊風日和。競隨玉節瞻熊軾。蒼崖㞳斷大江流。芳草芊綿白鷗洲。江上高樓已槌碎。堤下淸潭維畫舟。賤子何愁不我與。揖登華筵袖屢擧。殘紅未落嬾綠陰。影倒中流粲若組。漁人下網艙頭立。得雋喧喧收正急。柳穿琴鯉三尺長。怒頰豕呴欲對臆。烹鮮炰鰲調梅鹽。饔官豈解分洪纖。仁心不忍盡物取。爲放巨魚波中潛。午熱氷盤薦細膾。自笑無心思淨界。鳲槳泝洄問善謔。儘是東南良覿會。笙歌寥亮響短篷。遠浦漠漠山重重。怳然乘月入火城。瑤臺一夢還成空。</text>
<title>權善承挽</title>,<text>五十之年又過二。歡娛漸稀憂患多。況復親朋日零落。吾且將然無奈何。與子同生戊午歲。月日後我常稱哥。少時志氣各豪壯。提壺朝暮相經過。同遊喚作飮中仙。引滿取醉無切磋。文字紅裙都掉棄。枕麯籍糟狂呼歌。惟君酒量座上最。快掉觥船顔始酡。往往爭雄被苛勸。雌聲乞降收干戈。自謂一日三百杯。任送烏兔如飛梭。高陽行樂未十載。繁華散盡同頹波。羈宦東西苦棲遑。落落相望阻山河。曾按關西君作守。來參府下具袍靴。重尋舊好會者五。錦筵高張耀綺羅。紅顔綠髮俱未衰。子獨牙豁吾鬢皤。相將指笑恣善謔。聲價頓減於嬌娥。孺文故交無按事。戲遣佳人細馬䭾。生綃寫出圖不朽。更爲脩禊期無他。樽酒重逢且一紀。悠悠世事還蹉跎。我同士師頻三黜。君亦時遭醉尉訶。晩節相携樂淸時。擬謝冠佩閑婆娑。高軒依舊對南山。弊廬小池生碧荷。一場歡會知有數。好事屢約常多魔。春去秋來等閑度。荏苒流光似壑蛇。百年纔半吿訃遽。夢耶眞耶君無痾。胡爲康彊乃早世。意者過飮傷天和。哀哀萱堂有鶴髮。哭聲已乾淚滂沱。又聞胤子選賓薦。恨不生見登儒科。母失子兮子失父。福善天道胡差訛。塋原協吉駕輀車。丹旐引向靑門坡。松楸風咽白露零。道峯之山高峨峨。他時歸拜草未宿。忍見馬鬛生靑莎。榮名終欠墓道題。天乎命乎理則那。君雖不做郞必做。冥應昭昭徵釋迦。</text>
<title>次熊天使大同江醉韻</title>,<text>日出扶桑景初遲。四海同樂昇平時。玉節遙遙下箕邦。晩泛蘭舟奉玉卮。從前仙客來幾度。何況如今値春暮。長堤細草綠如茵。碧雲彤霞惹江樹。城南畫閣映垂楊。怳若山壓鰲頭昂。殘紅點點撲危檣。薰風拂面猶芬芳。綾羅島前鷺洲分。前水後水流相續。石上麒麟時出遊。淺渚䲶鴦靜對浴。沙中津吏一麾呼。黃帽櫂夫左右趨。齊牽錦纜泝流光。俯視澄波纖滓無。高樓搥碎餘煙霧。至今江神尙鬱怒。移船永明蕭寺前。舞佾垂手輕蹁躚。禮樂漸染自朝鮮。倚欄遐想心悽然。徘徊弔古却午餐。更催簫鼓期窮歡。漁人擧網喧得雋。雙鯉撥剌玻瓈盤。殘陽潮起沒莎岸。金柱橫波影凌亂。風來水面蹙成纈。千尺萬尺連又斷。望裏層峯遠嶙峋。不肯趨走如高人。却說江西樓觀多。滕王岳陽交蹄輸。颿風當日神借與。絶唱千年推少女。大同樓下大同江。賦詠佳篇難悉擧。文章鉅公今又過。江山期待當如何。綺思涌泉筆如椽。比昔王杜知誰多。鯫生已老成白首。此會懸知難再有。若得長繩繫白日。願將江流變春酒。</text>
<title>和經歷</title>,<text>三月三日稱元巳。稧飮東流傳自古。中都地勝簿書稀。太常芳樽灔淸酤。紫霞洞口水落巖。泉石淸奇擅一府。高張帟幕俯溪流。春日遲遲正和煦。林花照耀紅勝錦。眼纈心狂迷仰俯。漁人收網得細鱗。撥剌旋看鱠銀縷。輕先染指不用筯。何羨駝峯出翠釜。座中賓佐皆詞客。白戰談鋒謝鉞斧。擊鉢催詩酒令嚴。浮白還依金谷數。哀絲急管和松籟。長袖落日僛僛舞。蘭亭屑屑辨彭殤。樂遊繁華吾不取。酣來浩歌天地窄。未知席上誰賓主。</text>
<title>和牧隱送張萬戶詩韻。錄呈諸公求和。</title>,<text>鏡城雄藩控嶺外。巨海茫洋山嵂兀。營中赳赳健兒多。跨馬腰弓氣超越。年來忽賊敢跳梁。鐵騎長驅屢衝突。陶穴空餘赤島墟。古跡難訪先春碣。北門鎖鑰伏全才。何料疏慵忝授鉞。列郡文武儘英俊。準擬同盟掃胡羯。兵民鍊養倚諸賢。機務惟須老觀察。飜思昨歲事征討。至今黃沙委戰骨。孤人之予寡人妻。怨入江流終不竭。何當一擧豼貅師。三捷奇功做一月。長杠揮就竸病韻。凱歌歡聲連北闕。</text>
<title>次華封院韻</title>,<text>渡漢而來五百里。過了草岾嶺南境。主屹山高龍湫深。古縣蕭條號聞慶。院名華封傍山溪。松檜蒼蒼相掩映。我昔乘馹三度來。盛衰相仍竝有詠。風景依舊人民非。賦役煩重哀百姓。行旅願出民謳野。致治只在母不敬。往來世事如郵傳。聞說行程嗟老病。窮海拘囹杳難尋。孑孑相弔惟形影。壽富多男祝底處。悄悄叵堪夏日永。</text>
<title>祭徐四佳先生墓文</title>,<text>嶠南地靈。海東文宗。肇闡吾門。人中之龍。繄公流澤。世擢儒科。矯矯聲華。兪遠不磨。佳城蕪沒。香火迨絶。裔孫忝祖。位崇才劣。謬擁雙旌。來奠一酌。嗚呼哀哉。九原難作。</text>
