<title>丁未八月。夷山邑人來送于終浦驛。口號贈別。</title>,<text>邑子隨我來。送之終浦驛。臨分不忍分。相對淚雙滴。</text>
<title>詠鷰</title>,<text>曾隨鴈北歸。今看向南飛。一一追羣盡。行行接翅稀。避地誠違害。知時貴見幾。風霜吾獨滯。自悼淚沾衣。</text>
<title>贈同謫客</title>,<text>故國幾千里。他鄕已四年。看雲易得淚。對月難成眠。同病吟南操。相逢在北邊。非關足無力。安得致君前。</text>
<title>丙午冬至</title>,<text>六載夷山謫。頻看歲序更。陰從七日去。愁逐一陽生。豆粥同民俗。麥醪慰客情。遙知閶闔曉。獻賀抃臣氓。</text>
<title>余於夷山覊旅之中。得逢趙嶷望 世煥 之來宰此州。頻頻相會。適得寒疾。數日不相見。病得暫差。思會話。而是日乃曾祖忌辰也。吟懷替面。丁未正月</title>,<text>涔涔卧數日。連服葛根茶。虛汗流如水。鄕愁亂如麻。夜吟頭乍重。晨起病新差。先忌今辰是。明朝路豈遮。</text>
<title>嶷望有惠牟粟幷五石。因有要功之示。詩以謝之。兼呈戱語。以資一噱。書中有五斗猶爲贓。五斛復如何之言。</title>,<text>五斛便蕃至。穰穰載滿車。里閭驚潤屋。妻子喜盈家。不羡金藏槖。還羞玉有瑕。深恩吾自感。德色哂君誇。附次韻半菽元非貴。數甔豈滿車。自慙投薄物。非謂補貧家。戱語休嫌妄。包容且掩瑕。生平有些戒。不欲向人誇。</text>
<title>丁未二月朔日。聞明日釋菜。方坐齋室。遂寄嶷望。</title>,<text>天涯愁去國。咫尺又離羣。白雪餘三丈。靑春减一分。學宮將舍菜。齋室不茹葷。南望孤臣淚。蒼梧有暮雲。今日卽宣祖大王諱辰。故末句及之。</text>
<title>居山督郵金侯 潤璋 來李中丞仲羽 䎘 寓所。時謫夷山。 盛傳谷口驛眺日軒之勝。兼誦金文谷 壽恒 題詠五言律。要仲羽次韻。余與嶷望共和。</title>,<text>北海連東海。寅賓出日時。華軒曾擅勝。詞伯已留詩。暘谷雲生檻。扶桑影拂池。登臨違宿約。魂夢亦遲遲。萬古郵亭上。詩仙翫賞時。都將無限景。輸入有聲詩。大嶺元成障。滄溟自作池。名區有宿契。休恨勝遊遲。</text>
<title>仲羽得蒙恩赦。發向京洛。別時贈贐。</title>,<text>北塞送君去。西山落照斜。此生長作客。無處不思家。淚入江流𤄃。愁隨關路賖。聖朝均雨露。何獨老天涯。</text>
<title>仲羽放還。與嶷望。同至呼麟院。同宿作別。</title>,<text>一樽孤舘雨。分手不成歡。涕淚流何盡。情懷寫亦難。相逢曾未料。此別太無端。征馬侵晨發。空堂燭影殘。</text>
<title>余量移平海。嶷望送余于呼麟院留宿。又次與仲羽相別韻送之。步和留贈。</title>,<text>相別呼麟院。傳杯強作歡。共祈無疾病。何更話艱難。北樹關河外。東雲嶺海端。旅程逢令節。虛負菊花殘。</text>
<title>與平海守李喜寅。同遊月松亭。酒席醉吟。</title>,<text>月松開勝宴。左右衆賓羅。野濶烟光薄。雲深雨氣多。醉言霏作屑。詩興湧如波。座上思歸客。含情詠短歌。</text>
<title>贈襄陽使君權悅卿 說</title>,<text>末路知音少。無人卞是非。自憐終廢棄。何望更騰飛。歎我長吟客。聞君遽賦歸。襟期元不隔。音信豈終稀。</text>
<title>題白巖寺。會晶上人詩軸。</title>,<text>水勢亘東走。山形向北盤。人行隨木末。僧語隱雲端。樹色罷輕霧。泉聲瀉急湍。滿庭明月夜。風露五更寒。</text>
<title>郵舘書懷</title>,<text>月黑燈光遠。風高鴈影斜。雲邊山不盡。天外海無涯。病久詩還廢。官閑酒剩賖。關心多少事。寂寞對黃花。</text>
<title>設東堂試所於觀城。前掌令李汝老 壽㬅 爲京試官。余與靑海通判李子章 國華。同考試。與汝老呼韻酬唱。乙卯九月十三日也。</title>,<text>乘𩣭辭日下。衣繡住天涯。粉署曾簪筆。彤墀幾草麻。名區淸不俗。試院靜無譁。對榻連宵話。還愁後會遮。蹉跎遲暮境。牢落此生涯。郵舘連咸定。鄕關近積麻。棲心甘淡泊。多病厭紛譁。何處長安是。浮雲白日遮。秋風開試院。多士滿庭除。杞梓工何棄。麒麟網不踈。須遷幽谷鳥。宜化北溟魚。還笑天荒地。生平懶讀書。長風思破浪。豪氣未全除。饑歲生涯拙。衰年學業踈。騎曹不記馬。傳舍且無魚。萬卷終何補。平生浪讀書。</text>
<title>語及鶴浦之形勝。仍與汝老共吟。</title>,<text>萬古仇地勝。浮來別作區。海棠經雨發。島竹受風敷。鷗鷺堪爲伴。魚塩合養軀。黃塵能眯眼。携手與君俱。關東關北隅。天作一仙區。湖海風烟𤄃。菑畬黍稷敷。卜居甘養拙。避世擬全軀。福地何蕭爽。桃源此可俱。</text>
<title>院罷後。至居山。道中與汝老呼韻。</title>,<text>戀闕丹心破。思鄕白首擡。江山元自隔。鷗鷺不相猜。峻嶺重關阻。名區特地開。半天斜日暮。吟罷獨徘徊。</text>
<title>咸興舘。與汝老共賦。</title>,<text>觀察周方伯。咸關漢沛豐。長橋萬歲壯。佳氣五陵䓗。城郭連雲屹。閭閻撲地雄。眼看皆物色。詩到此難工。</text>
<title>先到草原舘。明日汝老將來宿。獨坐悵吟。</title>,<text>關日依山盡。邊風捲野吹。言歸千里客。已暮九秋時。獨酌燈前酒。孤吟馬上詩。郵亭今夜月。知有故人期。</text>
<title>次鄭東溟集韻</title>,<text>文入馬班室。詩升李杜堂。夜臺今寂寞。藝苑益凄凉。字已千金重。名應萬古長。詩文豈獨貴。其人古庚桑。</text>
<title>贈玄佑上人</title>,<text>藥餌常扶病。蓬蒿獨掩門。靜居生白室。遙想結孤園。落日松陰暮。秋天瀑水喧。此時逢惠遠。幽趣正堪論。</text>
<title>次楊正郞 震行 遺稿韻</title>,<text>客鬢吟邊雪。人情笑裏刀。金懷知四夜。玉泣刖三朝。積謗沉舟羽。危蹤獨木橋。愁憑詩欲遣。詩就轉難消。</text>
<title>送謝恩副使李參判文瑞 奎齡 令公赴燕</title>,<text>齊歸何黨矣。梁得晏然乎。珠玉不可免。金繒反自愚。古今俱涕淚。天地一嗚呼。威武焉能屈。君看舌在無。漸離狗屠者。荊軻酒人乎。徒死雖傷勇。輕生亦豈愚。泉㙜不可作。精魄倘能呼。燕市幸相問。此流今有無。諸夏亡君也。今公奚使乎。觀風事雖異。奉璧計非愚。去日蟬初嘒。來時鴈正呼。平生慷慨意。臨別不能無。</text>
<title>次沈梧灘仲美 攸 見寄</title>,<text>夜來甘雨霈。仁愛見天心。庶潤物枯槁。無論水淺深。已聞責六事。何必縱諸陰。野老豈知力。徒爲擊壤吟。占得江山勝。了無榮利心。蓬蒿三逕合。埃𡏖一庭深。高枕憑書卷。移床逐樹陰。胷中萌鄙吝。愁寂費孤吟。一卷分南北。郊居共竹扉。世誰知解嘲。鳥亦識忘機。漸覺年光滿。還嗟宿計違。賞春佳句在。接手願同歸。</text>
<title>送李可成 商翼 之任延豊</title>,<text>白首同庚友。棲遲困一麾。傷生宜戒酒。遣興輒哦詩。路出琴臺逈。山連鳥道危。時時寄書札。倘可慰相思。</text>
<title>送再從弟無庵叔九 錫範 出宰黃澗</title>,<text>再以專城養。君其孝矣夫。邑休論大小。俸足繼朝晡。毛檄欣仍奉。潘輿樂更扶。及人推老老。能體聖仁無。</text>
<title>送李景畧 懏 之任白川</title>,<text>去矣白川守。哀哉黃海民。財窮迎北使。力竭待王人。賦役仍偏重。饑荒復荐臻。憂虞方旰食。要體聖君仁。</text>
<title>龍腹寺。次杜工部秦州雜詩韻。</title>,<text>重疊千山裏。忽得梵王宮。貝葉蓮花凈。金龕玉相空。燈明仍得月。松韻不須風。趺坐蒲團凹。俄看日出東。</text>
<title>權奉事 暠 初度日賀詩 權公奉侍大夫人。年今九十有餘。</title>,<text>瑤池王母宴。兒子捴仙眞。南極輝星斗。西方證果因。樽中千日酒。塵外百年人。孤露偏多感。乾坤獨此身。</text>
<title>送洪淸叔 受湸 之任昌平</title>,<text>閶闔秋風起。時當大火流。郞潛自水部。吏隱卽滄洲。行李琴隨鶴。官居竹映樓。蒼蒼雲樹暮。南望路悠悠。</text>
<title>送平海黃生命河</title>,<text>朔風吹積雪。吾子去胡爲。地入蟾江合。天垂竹嶺危。定知分散日。重憶別離時。把酒還相勉。停杯問後期。</text>
<title>送趙中丞嶷望之任鐵城</title>,<text>嶺外七十郡。炎蒸最鐵城。火雲寒不去。毒霧晝常橫。地接溟珍縣。天長統制營。送君作之宰。知舊若爲情。</text>
<title>送沈汝器 枰 出宰瑞山</title>,<text>凉風起昨夜。秋意卽今朝。滿野黃雲熟。登盤紫蟹饒。朋知休惜別。民吏已騰謠。東閣詩應就。時來寄舊要。山色無今古。潮聲自暮朝。官閒詞訟少。民樂歲年饒。蟋蟀牽離恨。驪駒唱別謠。治行應第一。不日璽書要。</text>
<title>宗叔 弼周氏 之任咸陽。寄詩要別語。次其韻。奉贈。</title>,<text>使君駈五馬。紫綬綰銅章。勝地連方丈。輶車發洛陽。浮沉元有數。離合一何忙。東閣春應好。官梅惹筆香。緬憶吾先祖。詩文煥有章。當時共畢老。幾載客咸陽。地下風流遠。人間日月忙。君今作宰去。芳躅襲餘香。八代祖文良公。嘗僑居咸陽椹灘時。佔畢齋金公。爲郡守。相與酬唱。詩在集中。故云。附元韻我有南爲日。君何靳別章。須稱山智異。莫說郡咸陽。縱得烟霞勝。應因簿牒忙。那時斷俗寺。再拜嗅梅香。</text>
<title>李君實 世華 將赴羅州也。與崔校理汝和 錫鼎，趙溫陽晉叔 世彙，李天安維翰 宣岳。俱會于城南姜上舍禹卿 錫夏 第。夜飮聯句。</title>,<text>此夜城南別。晉叔。 秋風酒一盃。禹寶。 人情元易感。維翰。 世路苦多猜。汝和。 白露三更盡。禹寶。 寒聲八月來。維翰。 明朝分手處。禹卿。 雲樹意悠哉。晉叔。</text>
<title>又各次前韻</title>,<text>爲送二千石。相傾三百杯。情隨路共遠。心與月無猜。窓外蛩聲近。簾前鴈影來。銷䰟當此夜。秋氣倍悲哉。</text>
<title>贈別李奉事子夏 萬亨 謫固城</title>,<text>慟哭燕臣㤪。離騷楚客悲。霜飛應有感。雷霽豈無期。莫灑傷今淚。須看勝昔髭。天能知別苦。雨欲發行遲。</text>
<title>洪正郞獻可 璡 挽</title>,<text>一氣有伸屈。羣生適去來。悲君竟長逝。使我抱深哀。壽到六旬未。官躋五品纔。此身殊寂寞。無復故人盃。</text>
<title>李長水大來 以泰 輓</title>,<text>傾盖元同調。論交卽故人。喬山敦匠日。窮巷叩門辰。塵世浮雲變。邱原宿草新。傷心滿樽酒。誰與往來頻。</text>
<title>崔敎官春甫 洤 內室輓</title>,<text>曾從夫子友。婦德我知之。每剪留賓髻。恒齊擧案眉。城崩幾年哭。劒合此日期。他時烈女傳。不愧史臣詞。</text>
<title>仁敬王后挽章 兩大妃殿下敎中。有賢明二字。故末篇。有慈敎賢明歎之句也。</title>,<text>淑行姜任盛。名家馬鄧尊。內治昭儉德。外戚絶私恩。繭舘春先老。星軒晝奄昏。游龍遺戒在。後世永難諼。白日懷中入。蒼天夢裏捫。奈花祈不老。椒實頌長蕃。並曜翻虧月。資生奄坼坤。玄紞誰復織。遺範至今存。載物均天覆。坤元德至哉。史方彤管記。花已玉欄開。慈敎賢明歎。輿情遏密哀。聖君他日望。御苑起層㙜。</text>
<title>丙寅八月。上庭試文武臣于春塘臺。余穫忝第三名。特蒙虎皮之賜。權右尹悅卿 說。 詩以詠其事。要余求和。遂奉次以呈。</title>,<text>禁樹楓如錦。宮池柳拂塵。晩雲移雉尾。晴日繞龍鱗。幸際修文會。叨參授簡臣。𦤎比恩奬重。亦足詑家人。筆飛神泣句。弓滿苑騰塵。較藝爭驤首。乘時共躍鱗。自慙呈薄技。何意廁詞臣。居五留餘地。要爲第一人。附元韻禁苑秋光滿。瑤臺雨洗塵。風來迎彩仗。魚喜躍金麟。濡翰招詞客。調弓命武臣。君詩居第五。誰是奪袍人。</text>
<title>悅卿復次前韻以寄。又和。</title>,<text>騷壇老宗匠。詩格脫風塵。溟化垂天翼。杯容橫海麟。講遙經術士。法府老成臣。落魄偏憐我。吹噓邁古人。附元韻也知安素履。不是避紅塵。可惜摧飛翮。誰能救涸麟。王庭要得士。經術豈無臣。早晩渭川獵。應尋垂釣人。</text>
<title>己巳立春。效元微之體。仍用其韻。</title>,<text>何處生春早。春生老叟中。兒能光祖業。孫不忝家風。喜氣排門入。和光溢戶融。優閑娛晩福。杖屨醉花叢。何處生春早。春生長子中。名騰蓮榜日。香挹桂宮風。女健沉疴祛。兒聦學業融。門闌多喜氣。人艶賁談叢。何處生春早。春生仲子中。難兄難弟樂。乃祖乃翁風。擢第家聲振。醮男婦道融。圖南是先兆。出谷待花叢。何處生春早。春生季子中。穪家周璋慶。揮筆郢斤風。蓮桂名聲早。棠荊湛樂融。靑雲初發軔。第一少年叢。何處生春早。春生客座中。談今噤世事。論古揖醇風。陋巷同顔子。淸樽似孔融。笑他夸奪輩。徒以禍爲叢。</text>
<title>大殿春帖子</title>,<text>斗杓初轉北。遲日欲生東。白柝宮梅雪。黃浮御柳風。烟花雙闕裏。魚水一堂中。聖德知無外。元孚造化工。</text>
<title>西谷見寄。步韻却寄。西谷。柳萬春別號。</title>,<text>伏枕悠悠日。書空咄咄時。恠禽鳴屋角。飢鼠闘梁楣。落月三更黑。輕舟一葉危。眼前多少事。嘿嘿祗心知。沉疴久未痊。佳節擲愁邊。何處尋春客。誰家勸酒筵。衰遲那忍道。淹滯祗堪憐。惟有東隣友。論襟和幾篇。</text>
<title>臘後二日。次西谷寄示韻。</title>,<text>臘日常年凍。今年臘亦溫。山深無雪積。江折見瀾翻。不怕氷生壁。何須煖酌樽。箕疇恒燠戒。誰復獻昌言。</text>
<title>叔九。寄示步韻。答贈。</title>,<text>天地亦蘧廬。神遊有物初。隨身惟杖屨。適意祗琴書。露菊花將放。風柯葉欲踈。無錢可解渴。誰問病相如。郊居頗僻遠。幽事日相關。咽壁蛬妨靜。窺檐鳥妬閑。鉏林要得月。捲箔爲看山。警惰惟君在。詩筒數往還。</text>
<title>叔九。復用前韻。二律寄示。答之。</title>,<text>吾亦愛吾廬。嘐嘐不忘初。有誰識此老。尙友讀其書。刪述志空在。經綸計已踈。故山秋色晩。濡滯欲何如。榻懸客不到。門設晝常關。露重花神困。風輕樹影閒。猶甘在陋巷。何必入深山。城市多塵閙。終年斷往還。</text>
<title>木川尹姑之行。叔九送別江頭。見示一律。次寄。</title>,<text>脉脉江頭別。遲遲湖外行。一門分散苦。兩地去留情。日月歲將晏。乾坤寒欲生。胡爲獨不去。吾亦拂塵纓。</text>
<title>泰安宰李粹夫 璾 寄詩次呈</title>,<text>聞說泰安郡。閒如隱者廬。烟花武陵曲。風俗邃皇初。地僻少來客。官淸無簿書。猶能備甘毳。投紱且姑徐。物色驚秋盡。年光動別懷。揚揚彼誰子。落落乃吾儕。獨鴈賓寒渚。孤蛬響晩堦。魂消不成夢。目極海天涯。</text>
<title>叔九過朴士元 泰輔 墓下。瞻哭有作。次其韻。</title>,<text>草宿荒原上。蓬科四尺墳。自從夫子死。誰復直言聞。當昔在廷日。稱今折檻雲。英靈不可作。嘿嘿祗傷䰟。</text>
<title>送沈仲默 思沉 之任珍山</title>,<text>君得珍山去。知君是席珍。曾非求眩鬻。要試不緇磷。照乘堪嗤魏。連城豈易秦。終須待高價。三刖戒荊人。</text>
<title>柳令萬春來訪。仍示所作。却步其韻。</title>,<text>貪詩元不廉。嗜酒亦何嫌。把鏡顔憎醜。銷金舌怕憸。竹風看瘦影。松雪對踈髯。步韻吾安敢。多君律法巖。</text>
<title>次尹直長靜源 泓 韻</title>,<text>悄悄憑虛檻。寥寥掩短扉。身閒知有味。心靜覺無機。節序驚春晩。行藏與世違。滄浪漁子在。聊欲爾同歸。早有歸田計。何須慰此行。馬嘶如惜別。鳥喚亦多情。落日低平楚。春雲覆禁城。殷勤一樽酒。握手爲君傾。</text>
<title>李上舍樂而 涑 次私淑齋集中申參議歸來亭韻十首中。六首以寄示。並次其十首韻寄贈。</title>,<text>歸去來何日。春來樹木淸。林深閑養鹿。葉密巧藏鶯。採藥扶筇遠。尋花御裌輊。故園長入望。塵世不須名。歸去來何日。澄江憶舊遊。雨簑晴郤暑。風袂爽如秋。富已輕千駟。榮誰羡五侯。故園長入望。婚畢便應休。歸去來何日。南山豆已荒。心丹謾憂國。髮白兀傾觴。赤葉爲誰好。黃花徒自香。故園長入望。蘿月㤪玄裳。歸去來何日。江山雪景奇。堆塩庭虎出。削玉峀龍危。霽壑枯筇滑。氷灘急棹移。故園長入望。無使舊盟違。歸去來何日。烟花錦繡山。風恬一江面。月破半峰顔。眺遠低巾黑。登危柱杖斑。故園長入望。魂夢未應閒。歸去來何日。村村穡事忙。晴宜治舊圃。雨足種新秧。牛健犂翻草。蚕眠葉剩桑。故園長入望。杖屨倘相羊。歸去來何日。山齋偃卧高。閑眠開北牖。舒嘯上東臯。蓴晩羹靑線。蟹肥醢紫螯。故園長入望。秋興已陶陶。歸去來何日。玄陰届沍凝。晩樵肩擔雪。晨汲髻垂氷。逐兎觀朝獵。叉魚點夜燈。故園長入望。報道秫田登。歸去來何日。雲林隔市朝。江聲走海遠。山色入雲遙。笭箵收魚密。菑畬種粟饒。故園長入望。帶緩瘦添腰。歸去來何日。江鄕物色饒。石田燒宿莾。溪岸長新蕭。撥剌游儵樂。離褷乳雉驕。故園長入望。塵心漸自消。</text>
<title>和西谷韻。兼示無菴。</title>,<text>歲暮荒村僻。城西第一峰。月簾踈映竹。風籟殷聽松。瘦覺詩銷骨。淸憐酒洗胷。微君愛我至。誰復慰孤蹤。稻穫空四野。葉落露千峰。月吊烏捿樹。風猜鵲踏松。眯嫌塵汙眼。壯惜氣蟠胷。幾日携君去。漁樵穩着蹤。白雪無人和。遺音自郢中。全牛更何有。凡馬儘皆空。欲讀嗟難曉。將酬愧未工。應知高紙價。秀勾滿天東。迹倦風塵裏。身閑寂寞中。栗林收葉盡。葡架捲枝空。傾奪看時輩。窮通任化工。知音何處在。回首郭南東。</text>
<title>次叔九見寄韻 下並同</title>,<text>積雪三更夜。孤燈一老人。自憐拋甲子。無意守庚申。硯凍頻呵筆。床寒懶拂塵。終年甘守拙。何事謾勞神。</text>
<title>次盆梅韻</title>,<text>一樹春傳信。千山雪漲岐。已應驚客眼。渾欲奪天時。屛護嫌風妬。簾踈怕月欺。花神偏有意。鄒律不煩吹。</text>
<title>次冷落韻</title>,<text>莫嗟長冷落。惟恨苦遲留。鴈影隨春盡。鵑聲入夜愁。天低山似黛。江折水如油。已覺歸來晩。終慙巢與由。</text>
<title>次閑扉韻</title>,<text>逢春興正闌。對月影非單。草意方抽暖。花心尙怯寒。囊空杯把罕。衣脫帶圍寬。踈懶甘長卧。頭蓬已忘冠。</text>
<title>次春夕詠懷韻</title>,<text>世無知孔叟。吾不夢周公。玩象觀羲易。鈔詩繼國風。聖愚雖自別。行止畧相同。得失那須道。惟聽造化翁。社稷如旈綴。黎黔若倒懸。明時逢聖主。何日見豐年。志豈求溫飽。生嗟不後先。祗應終悔禍。默契在皇天。窮達皆由命。榮枯莫問天。老衰固已久。疾病又相纏。世業憑兒托。詩名借爾傳。噓噫不足道。生死盡浮雲。</text>
<title>次雪晴韻</title>,<text>春雪滿江城。朝看霽景明。山陰催棹興。驢背詠詩情。逕滑人行澁。庭寒鳥啅營。晩來盈耳聽。簷溜敲玉聲。</text>
<title>人日陰晦雨雪。慨然有感。贈萬春叔九。</title>,<text>今日是人日。雲陰雪亂飛。風塵迷鴻洞。天地慘光輝。方朔占書驗。少陵詩意微。憂時增感慨。無策獻彤闈。</text>
<title>送高城郡守尹叔平 枰</title>,<text>嶽爲三島㝡。海是百川宗。日出窓前樹。雲生檻外峰。羡君官勝地。歎我滯塵容。倘遂尋眞計。秋來會一逢。</text>
<title>壬申春。歸農于漣川先壠之下。復次私淑齋先祖歸來亭詩韻十首。兼效首尾體。仍以寄示洛中諸親友求和。</title>,<text>歸去來何事。微蹤汙聖朝。靜宜投峽早。喧已避人遙。雨浸田牟嫩。春歸柳渚饒。委心聊自樂。肯羡帶金腰。歸去來何事。山庄舊業荒。蕨芽供夕饌。松釀引春觴。藉草衫侵露。吟花筆染香。委心聊自樂。客至懶衣裳。歸去來何事。幽居境轉淸。庭閒馴野鹿。樹密聽林鶯。火燒雲峰兀。風微麥浪輕。委心聊自樂。身外捴浮名。歸去來何事。農功日日忙。饑憐挼麥穗。旱怕損禾秧。澆水培新芋。鉏荒護穉桑。委心聊自樂。萬事盡亡羊。歸去來何事。金風一夕高。嚴霜下荻岸。疎雨洗松𦤎。鱗細槎頭膾。臍團左手螯。委心聊自樂。枕麯醉陶陶。歸去來何事。閒中興轉饒。露花開的的。霜葉下蕭蕭。獨鴈呼雲逈。豪鷹獵野驕。委心聊自樂。贏得俗塵消。歸去來何事。乾坤朔氣凝。撫松筇觸雪。攀磴屐生氷。旨蓄何須肉。松明可替燈。委心聊自樂。不羡羽仙登。歸去來何事。虛窓對雪山。日看詩過目。時把酒開顔。傍瀨叉魚躍。依林射雉斑。委心聊自樂。長得百年閑。歸去來何事。名途迹太奇。世應譏宦拙。聖已戒言危。身事年將老。天時歲屢移。委心聊自樂。回首意多違。歸去來何事。浮蹤倦薄遊。蛙應難語海。蟪固不知秋。風月誰爲主。江山不換侯。委心聊自樂。高枕擬長休。</text>
<title>偶閱私淑齋集。有和徐四佳次東坡歸去來辭集字十韻。不揆僭猥。吟病步韻。</title>,<text>無心可出世。有慾乃非夫。雲寄熹微峀。人迷來去途。杖扶尋絶壑。耘倦翳荒蕪。已覺交遊樂。胡爲告盡壺。入壑時時憇。尋春日日歡。風松扶策撫。雲峀倚窓觀。菊酒知顔悅。衡門覺膝安。歸來非傲世。聊得自盤桓。歸來景將翳。幼子候門前。復引淸樽酒。還尋遠壑泉。行違猶任命。易曰。樂則行之。憂則違之。 富貴亦關天。生事將焉寄。春時始問田。世路行將老。松關自可尋。泉流無去日。鳥倦有歸心。矯首常携酒。怡顔或引琴。出門時命駕。邱壑幾春臨。去去倦行役。往春始告休。詩情寄松菊。酒趣涉園邱。已感人來問。還悲物化流。不關時世樂。吾自得天遊。形役日將倦。良辰胡不留。逕迷知木老。壑遠引泉流。杖策欣孤往。乘舟感獨遊。故鄕歸去樂。富貴復何求。經邱復尋壑。歸去及春期。有命將何以。無心任所之。觀時非傲世。感物獨成詩。還往交遊絶。孤懷問鳥知。世事追雲往。流光與壑奔。春歸耘菊逕。日入倚松門。獨往奚扶杖。孤歡不設樽。何心求富貴。命矣有天存。昨者迷來去。今而悟是非。風輕疑引棹。雲憇欲成衣。酒酌樽將盡。耘荒路易微。鳥猶知我獨。輊颺入窓飛。邱園吾自樂。富貴不爲榮。農就田夫問。春歸𥠧子迎。行猶扶策易。涉幾引舟輕。日以詩成趣。時携酒寓情。</text>
<title>謹和私淑齋次東坡歸去來辭集字詩十首。而猶有未盡押之韻。故繼成十首。</title>,<text>鄕園尋窈窕。人世覺嶇崎。峀引雲來遠。松迎鳥入疑。交遊追故事。琴酒樂春時。始悟歸田趣。昨非猶可追。景物詩情得。壺樽酒趣成。涉流舟載去。經壑杖扶行。命僕時耘菊。觀農獨倚衡。無人與還往。歸寄任吾生。富貴何關我。田園實樂余。峀雲將日去。庭木得春舒。觀化聊安命。絶交已有書。安行復流憇。不恨出無車。荒逕人歸盡。衡門我自怡。庭迷知日入。巾颺任風吹。時事復奚問。世情良可悲。孤懷易感物。不樂亦胡爲。琴酒日成趣。春還樂不孤。將歸𥠧子候。已老僕僮扶。親戚人情有。田園世事無。安之乃命矣。知者是天乎。春來尋景物。扶杖任東西。樂事存親戚。農情問僕奚。書懷詩幾賦。得趣酒常携。矯首瞻歸鳥。松雲逕欲迷。往事成追感。荒邱木自春。旣違人世遠。常引老農親。獨酌時扶策。孤歡亦不巾。淸晨有鳥話。疑欲告良辰。雲壑流泉遠。風柯翳日搖。物情知有盡。生事覺無聊。趣或求詩得。憂常倚酒消。春庭何所感。飛鳥自飄飄。涉世非吾樂。歸田是故鄕。流光將老倦。行樂及辰良。交絶門無設。人迷逕欲荒。天乎不可問。夫子亦遑遑。歸來問征路。童子候門衡。有酒樽常引。無人逕不成。雲物時觀化。風光日向淸。前期知已審。聊自任吾生。</text>
<title>奉呈地主吳侯德裕 斗宬。前日。吳侯以頑民爲戱。故云耳。</title>,<text>右手全麻痺。官門斷往還。主仁宜已恕。民病實非頑。厚責誠難逭。孤懷不自刪。但將詩替謝。寂寞掩松關。</text>
<title>次叔九寄示</title>,<text>地濕苔侵砌。溪喧水嚙堤。斫榛防虺逕。樹柵護雞棲。酒熟陶巾漉。詩成杜葉題。閒中無箇事。詩卷自提携。</text>
<title>晩春。與諸從登屋後北麓。橫山諸人。携酒來會。</title>,<text>淡烟斜日外。佳節暮春中。細草侵衣綠。殘花妬面紅。天垂平野𤄃。山到大江窮。已自甘耕釣。何須歎轉蓬。</text>
<title>圓寂寺寺在絶險之地。世稱亂時圖生無如此云。</title>,<text>寂照無生地。圓輪不住天。㙜虛臨絶壑。泉瀉走平川。馬怯頻逢石。僮嗔懶返鞭。時危堪避世。回首一猶然。猶然笑也。</text>
<title>次無庵叔九見寄韻 下並同</title>,<text>屛處郭西邊。行藏休問天。心遊詩卷裏。興入酒盃前。吾已忘機久。君應勿藥痊。相看兩無事。唯和寂寥篇。樹密能藏屋。草深不辨街。菜稀工部摘。肉貴太常齋。有弟哀貧苦。無人慰病懷。長安消息斷。悵望若天涯。久矣吾衰甚。形枯色不敷。光陰百年短。宇宙一身孤。寂寞閒雖好。蕭條病轉紆。緣詩知太瘦。應是酒非辜。</text>
<title>次秋夜韻。換題作春夕。</title>,<text>峽裏愁誰語。出門無所如。命兒齊案卷。課僕理園蔬。脚脆嫌筇弱。頭童喜櫛疎。坐看歸鳥亂。斜日在村墟。</text>
<title>次暮秋韻。換題作孟夏。</title>,<text>山圍大野濶。溪抱小村廻。菜蘂蜂將去。芹泥燕啄來。俗人難語也。幽興孰知哉。喚妾催松釀。呼兒洗癭杯。</text>
<title>次思鄕韻。換題作謾吟。</title>,<text>晝永琴書靜。山深水石幽。已曾三見黜。奚但二宜休。蝸屋堪容膝。鵷行久掉頭。昨非今始覺。時命與仇謀。</text>
<title>次夜雨病卧韻。換題作苦雨。</title>,<text>積雨連旬苦。街泥沒膝深。蛙跳窺牖隙。魚戱躍庭心。腐麥堆荒畒。枯槎掛逈林。何時見白日。披豁引高吟。</text>
<title>次贈西谷韻。換題作悼西谷。</title>,<text>西谷奄長逝。哀詞爲一哦。新阡應已啓。舊宅忍重過。末路知音少。淸詩散帙多。團圞文酒會。此計永歸訛。</text>
<title>次思舍弟韻。換題作晝夢。</title>,<text>淸風北窓下。高卧黑甜長。華岳牢眠久。莊園蝶意狂。神遊迷所適。魂蕩向何方。雖復朝龍闕。無心入鵷行。</text>
<title>次雪夜韻。換題作追悔。</title>,<text>默筭平生事。偏傷暮境心。荊山三日泣。楚澤十年吟。遯世知何晩。入山恨不深。閉關仍習懶。書卷任塵侵。</text>
<title>次謾吟韻。換題作田園樂。</title>,<text>世俗無貴賤。營營皆有求。惟吾守恬靜。所處愛深幽。披褐爲文繡。飯蔬代美羞。寄言夸奪予。榮枯一轉眸。</text>
<title>次夜吟韻。換題作閑居。</title>,<text>風鳶嘯屋角。雨鹿卧庭心。浦樹供晴望。村烟入晩吟。敢言詩律細。惟喜酒杯深。但苦年光促。駸駸病日侵。</text>
<title>次夜坐韻。換題作夕坐。</title>,<text>終年卧茅屋。竟日閉松關。落照虹邊樹。踈烟雨外山。空樑飢鼠闘。平野倦鴉還。把鏡休看髮。惟宜照醉顔。</text>
