<title>題畫</title>,<text>寒鴉啼日夕。風浪急前灘。漁舟將早泊。何處賣魚還。</text>
<title>泛遊伴鷗亭</title>,<text>江涵春色漾蘭船。擊楫中流遡杳然。巖枕波心龍欲走。花開山面錦初燃。玉屛縹緲雲生石。活畫徘徊鏡耀天。勝日尋芳嘉客會。何須赤壁羡蘇仙。</text>
<title>寄蒼石茶山</title>,<text>欲見騷仙駐遠㫌。一春嘉雨掩柴荊。宿雲遙曳千峯晦。霽日初騰萬象明。草染平原生意足。花燃江岸暗香淸。芳辰贏得村醪熟。迭奏瑤琴慰客情。</text>
<title>次認齋韻</title>,<text>蕩漾仙舟艤鶴汀。嶠南分野聚奎星。三峯壁立千層碧。二水環流萬頃靑。座上春浮霞滿酌。巖間花綻錦成屛。爭模造化揮鴻筆。中夜吾知泣大靈。</text>
<title>登靖海亭</title>,<text>雨後登臨靖海亭。梅花落盡有餘馨。黃龍鉅艦千檣接。碧玉澄波萬里渟。仙島遠浮分地勢。神鰲高戴近天庭。長鯨掉尾何由制。袖裏空摩古劒靑。</text>
<title>訪李汝固 植</title>,<text>上下層巒爲遠尋。澤堂相對爽塵襟。松濤入座浮秋氣。月影穿林映客心。獨立自知天宇大。幽居潛遡道源深。溪流衮衮淸宜聽。何事悲虫動苦吟。</text>
<title>入乾鳳寺 公先人楊浦先生有乾鳳寺題詠。故落句及之。</title>,<text>東海之西乾鳳山。衆峯環擁一區寬。昔年學道魚千里。今日尋眞鶴再還。雲碓自舂飛雪亂。巖松猶欝老龍盤。顧憐先迹無由問。淚灑溪邊種柳間。</text>
<title>登樂民樓</title>,<text>晩陟危樓敞綺筵。身超塵世似登仙。北臨長白千峯雪。東壓滄溟萬里天。鶴返蓬壺餘舊郭。龍飛大陸駕奔川。停盃惆悵頻西望。一片丹心在日邊。</text>
<title>壬戌秋七月旣望。與月沙先生泛舟於巫山石壁下。次先生韻。</title>,<text>文章節義冠名流。壬戌重臨巫峽秋。橫笛放舟天上坐。把盃邀月鏡中遊。吟如鳴鳳珍篇富。氣似長虹世慮休。此日恩榮侈赤壁。笙歌迭奏岳陽樓。附元韻坡翁千古擅風流。赤壁詞傳壬戌秋。此地偶成今日會。吾儕將擬昔人遊。未應物色分留少。自是文章老病休。不識當時雪堂下。繁華亦有降仙樓。</text>
<title>拜先塋 公六代祖副學公諱萬理。墓在陽城。</title>,<text>吾祖集賢副提學。風雲際會世宗時。昌辭直道閹人讋。邃學宏猷聖主知。澤被繩繩今不絶。家傳棘棘自無私。幸緣王事恭伸奠。淚灑秋風詎盡悲。</text>
<title>拜上東岳先生行史 東岳卽李公安訥號也。</title>,<text>天西奎聚燦祥光。儐相如今得儁良。兵氣滿空千里靜。仙槎浮海六鰲驤。百年文采傳箕業。三月烟花賁錦囊。莫道賦詩難却敵。孤雲一檄自流芳。</text>
<title>效康節首尾吟</title>,<text>先生非是愛吟詩。默想天機動靜時。闔闢兩儀元有道。生成萬物自無私。閑中日月循環妙。心上經綸運用奇。此間浩然眞樂在。先生非是愛吟詩。</text>
<title>紫蟹肥時晩稻香</title>,<text>萬樹殷紅一夜霜。忽驚秋氣滿江鄕。盈盤紫蟹金膏溢。遍野黃雲玉粒香。竹葉盃心霞㶑色。松風琴韻月流光。靜中得意無人會。笑對寒花獨擅芳。</text>
<title>次空同集冬菊韻</title>,<text>陰雲接地玄威烈。蕭索何由見百花。霜落萬林凋物色。菊開千點殿芳華。寒香飛動風鳴葉。冷影參差月滿沙。曉吸明珠膓已潤。松醪何必典隣家。</text>
<title>汝固，天章，道章，直夫約來待之。</title>,<text>松逕人稀凈碧苔。吟詩觀漲興相催。天低遠峀歸雲暝。簾捲淸江細雨來。靑雀泛時先典酒。綠陰深處獨登㙜。擡頭不見金閨彦。唯有棠花挹露開。</text>
<title>次晴川寄示韻 二首○晴川卽華人吳大斌</title>,<text>黯然揮淚海之濱。白雪離歌泣鬼神。隔歲愁懷千里信。同天明月兩鄕人。珍篇落手才無敵。高義傾心德有隣。西望靑雲飛動處。擬看仙鶴出風塵。星槎曾遡玉河濱。傾盖多君筆有神。蓬島雪天憂世客。鏡湖花月戀歸人。一年懷恨看深海。萬里傳心較比隣。爲報此身猶未退。殊恩難報滯紅塵。</text>
<title>寄張燾 卽華人</title>,<text>詩書才略孰爭雄。獨立師壇萬馬空。忠膽恢張星月皎。天機密運鬼神通。一身弘濟千人命。半夜奇成百世功。爲國忘憂偏起舞。鐃歌志喜付歸鴻。</text>
<title>閒居有感</title>,<text>三逕苔生絶點塵。菊香松籟養精神。任他門外波聲聒。愛此庭前月色新。林栗滿懷携小子。山雲入座對嘉賓。閒居取適還多事。日出漁磯理釣綸。</text>
<title>訪盧別坐</title>,<text>寥落江天雪月明。山陰還訪故人情。玉峯縹緲千層立。銀界微茫萬里平。春色㶑尊愁裏興。梅魂入句畫中聲。欲知歸去垂綸處。一抹寒烟隔水生。</text>
<title>憶雙溪 卽白軒初號</title>,<text>溪兄才學古人儔。忠養雙親至行優。紫誥晩封元老貴。靑雲早襲綵衣浮。血誠神效千金藥。天地重添百歲籌。榮福並隆徵善念。自憐孤露淚交流。夢遇雙溪喚酒仙。松濤驚榻覺依然。詩情俊逸春雲藹。風采端凝水月鮮。半世心肝良玉在。一年離恨臘梅傳。何時飛動山陰興。對笑豪吟雪滿天。</text>
<title>次南九萬溟羽韻</title>,<text>欲濯冠纓泛碧流。風催帆影逗西州。暝雲乍卷看漁店。踈雨初晴上小樓。幽夢欲醒鳴海鶴。塵機永息對沙鷗。松醪再酌佳期在。更約騷仙作勝遊。</text>
<title>讀備忘有感</title>,<text>天書夜下紫螭頭。星聚銀河赤氣遒。赫赫雷霆山岳動。森森斧鉞鬼神愁。金酋北遁腥塵凈。玉輦西臨瑞日浮。飛劒决雲非大勇。義聲昭布滿中州。</text>
<title>穆陵遷葬挽</title>,<text>五百年中大聖生。龍飛代邸泰階平。一心誠孝乾坤感。萬世綱常日月明。時雨均霑恩澤洽。妖氛迅掃海濤淸。鼎湖弓劒移玄宅。淚灑風雲不盡情。</text>
<title>銀㙜次韻</title>,<text>散迹初疑北斗傍。銀㙜高逈夏生凉。花迎霽月明浮色。荷動輕風細有香。愛主狂言誰瀝血。憂時衰鬢獨添霜。天威應掃兵塵暗。願綴麟書補舜裳。</text>
<title>秋夕憶先塋</title>,<text>每年秋夕上先塋。淚灑松林不盡情。迹滯塞門孺慕切。時廻佳節客心驚。三更霽月千山色。萬里長風一笛聲。極目南天雲隔路。獨憑虗閣夢難成。</text>
<title>聽松</title>,<text>謫客藏蹤洞壑深。草廬寥寂少相尋。閑雲入座還無迹。幽鳥窺簾若有心。月色照顔欣得友。松聲盈耳當鳴琴。蕭然靜坐塵機息。暗室嚴如上帝臨。</text>
<title>次月沙相公凉字韻</title>,<text>石路嵯峨斷客行。層氷初泮急灘鳴。春光艶艶濃烟樹。雪色凌凌壓古城。滿架遺書心有托。入窓殘月夢還驚。十年榮祿初何補。顚倒行藏誤半生。</text>
<title>謝李日華來訪 名曄</title>,<text>茅屋荒凉土谷邊。鏡中雲影蕩晴川。危峯凈洗春初雨。古栢高參雪後天。靜處忘機欣咏月。田居憂國願登年。從遊始結棲霞約。相對無言意已傳。</text>
<title>主倅設酌盤巖。強赴得近體。</title>,<text>岹嶢鰲背更同臨。雪盡前溪水鏡深。把酒自憐懷土意。看花還切惜春心。良辰倐忽催寒食。山靄朦朧變夕陰。瞻望北辰歸路阻。却將肝膽託愁吟。</text>
<title>花鳥吟</title>,<text>盤廻洞壑好藏修。一帶淸川日夜流。草木生成沾雨露。乾坤變化轉春秋。花間對語禽相樂。月下鳴琴我少憂。衣草茹芝心更泰。幽居計活邁封侯。</text>
<title>月夜欲往荷堂。得近體錄似。</title>,<text>靑山如畫白雲生。遠樹依依雨氣晴。庭竹引風炎似爽。池荷得月夜還明。一年湖海浮萍客。千里鄕園戀闕情。獨抱琴書愁不歇。耳邊爭聒亂蛙鳴。</text>
<title>寄淸陰</title>,<text>天生大器用無時。潦霽行藏自適宜。玉鑑虗明人照膽。瓊葩璀燦世爭奇。鳳鳴喬岳祥雲會。龍卧深潭惠雨遅。變化風雷何日是。願敷膏澤洽公私。華采剛方孰並遒。古人心迹卷中求。盛唐詩律金聲亮。初漢文源灝氣流。灑落寒氷淸萬壑。分明凉月照千秋。金丹已鍊蟠龍虎。願得刀圭上界遊。</text>
<title>次宋畫盆梅詩韻</title>,<text>絶艶恥隨桃李姸。歲寒踈節對淇園。風搖冷影根難拔。月照淸光夜不昏。霜後貞心標玉骨。雪中春色返氷魂。金盆移種非無意。靜愛幽香㶑酒尊。</text>
<title>次李子方詠懷韻</title>,<text>中夜何勞叩角歌。人間榮祿付南柯。踈踈爽氣風生竹。冉冉新香月壓荷。川派幾看宗大海。兵塵唯待洗天河。綵絲誰補堯裳闕。鏡裏徒驚短髮皤。</text>
<title>寄成友 夏吉</title>,<text>妙年携手樂芳辰。拱北樓成禮逸民。竹葉傳盃荷露夕。蘭舟分袂杏花春。馬山客恨江雲暝。鷄岳詩情雪月新。未掃腥塵空灑淚。漁樵何處託同隣。</text>
<title>辭書院送酒</title>,<text>雙懸日月照千春。桂影那知暗塞塵。鶴表催寒驚旅夢。龍樓問寢隔蕭晨。洗兵河漢難逢會。泣血田園未死臣。忍把流霞成一醉。秋光明麗轉傷神。</text>
<title>贈完尹吳汝擴</title>,<text>五馬軒車邂逅逢。湖山如畫凈秋容。淸君琴韻鳴踈竹。助我詩聲聽碧松。戀闕愁懷雲萬里。思鄕歸夢月千峯。傷時感舊衣先濕。露菊叢邊咽夕蛩。</text>
<title>又寄林川韓亨甫</title>,<text>戀君忠憤老何窮。榮悴休將較異同。濃淡山容雲影裏。淺深花色雨聲中。香凝玉爵愁難醉。望極瑤㙜路漸通。陰霽有期時向泰。乾坤從此扇和風。</text>
<title>哭張持國 二首</title>,<text>才學聲華軼古人。守虗藏用養精神。溫和文氣春雲藹。皎潔心源雪月新。忠捧日輪明國紀。禮辭台座正彜倫。幾傾大廈樑先折。被髮誰能濟此民。少傾肝膽老相依。千古高談樂不違。禮辨異同心豈怍。意超榮悴道還肥。窮玄直透天人際。謀事昭看否泰機。一灑公私無限淚。文星從此蝕祥輝。</text>
<title>送趙日章 絅 之興海</title>,<text>言異經權體道同。隔年分袂肺肝通。恢張名義雷驚世。扶植彜倫日轉穹。玉署傷心東吐月。鯨波揮淚北回風。此君樓逈悲吟處。千里離懷替竹筒。</text>
<title>過北靑。懷白沙先生有感。</title>,<text>金石文章本六經。身當危世濟生靈。陰雲慘慘昏天地。大節昭昭見日星。千古精神秋月白。一時遺迹暮山靑。瑤琴絃絶誰將續。夢裏依俙侍寢屛。</text>
<title>次吉州板上韻</title>,<text>講幄迂儒守鎭雄。自憐雙鬢早成翁。陰雲氣色千山暮。明月光輝萬里通。鵬運壯心輕碧海。龍飛佳氣滿蒼空。何時快覩妖氛靖。笑對烟花雨後紅。</text>
<title>送龍安盧使君 弘器</title>,<text>與子從遊問幾年。落花香雪滿樽前。龍鱗未化三層浪。鵬翼應摶萬里天。望北詩情雲出塞。思南琴韻月留弦。何時弓掛天山早。同老烟霞作醉仙。</text>
<title>端午憶玉堂宣醞</title>,<text>去歲端陽直玉堂。中官宣命整衣忙。玳盤仙果珠星燦。金榼淸醪寶露香。氣吐靑霞排暑熱。面添紅暈浹恩光。今居絶塞頻回望。日下歸雲五色祥。</text>
<title>忌日寫懷</title>,<text>我生何罪早離親。天地茫茫獨立身。一朔齋居情豈盡。百年追慕痛逾新。恩榮紫綬違忠養。堂舞斑衣憶古人。祗薦蘋蘩垂血淚。焄蒿悽愴感精神。</text>
<title>月沙相公挽</title>,<text>奎星揚彩挺人豪。衮繡天東冠譽髦。萬里江河文氣壯。千秋禮樂道機高。危時苦節光龍德。淸世祥輝煥鳳毛。忍說蒼生無恨痛。洪匀何處更甄陶。</text>
<title>致祭後登船</title>,<text>祭罷高壇後。天心似感通。祥星明彩動。滄海鏡光空。把酒三更月。張帆萬里風。終南何處是。迢遆五雲中。</text>
<title>雷雨後。寄洛下親友。</title>,<text>病卧篷窓下。蕭蕭聽海風。雷聲雨歇後。鴈影月明中。許國一身小。信天萬慮空。相期梅暎雪。笑對酒壚紅。</text>
<title>過皮島有感</title>,<text>仗劒歸來血滿襟。旌旗還拂海山岑。千重駭浪廻朝暮。萬疊浮雲異古今。兵氣漫空飛鳥過。妖氛卷地老龍沉。男兒許國須忠信。白日昭昭照此心。</text>
<title>擧帆</title>,<text>爲國何愁海路危。臨機每憶報恩時。浩然天地心無愧。始覺神明自有知。</text>
<title>夢侍講筵</title>,<text>夢入楓宸侍講筵。執經陳奏却依然。臣心茅塞難明理。聖學淵深妙契玄。鳳閣風微香滿袖。龍顔日繞玉生烟。覺來倚槳滄溟上。殘月流光半夜天。</text>
<title>過黃骨島</title>,<text>滄海茫茫落日斜。黃金蕩㨾似恩波。遼山漸近終南遠。却羡閑鷗下白沙。</text>
<title>夜行洋中</title>,<text>天地微茫大海平。雲消四極斗星明。祥飊習習歸帆疾。鵬翼翩然九萬程。</text>
<title>因風順向石城島</title>,<text>石島巉巖點大洋。望如圖畫更蒼茫。波心日落陰雲黑。天畔秋晴積氣黃。鉅艦疾馳千里近。雄風直射兩帆張。忠誠自有神明助。星斗昭昭動耿光。</text>
<title>夜泊舟。朝有大風雪。</title>,<text>半夜停舟石島汀。盲風朝起晝冥冥。聲如萬馬穿戎陣。勢似羣龍闘走霆。雨雪交雱翻鷁羽。水天相接偃鵬翎。宸心軫念神冥佑。更祝皇穹報億齡。</text>
<title>島中有市有兵</title>,<text>皇聖威靈被日東。生民奠枕大洋中。文華競市珍奇貨。雄武爭彎霹靂弓。風定波濤飛彩鷁。月明笙笛對仙翁。三山此去應非遠。駕鶴超然上碧空。</text>
<title>遼儒興於詩。來見求詩。</title>,<text>早硏經史冠儒冠。半歲優游劒戟間。一夕風塵神化阻。百年城郭血痕斑。生涯已付草頭露。性命還全海上山。相對言心因掩淚。愧無奇策靖人寰。</text>
<title>關王廟</title>,<text>氣盖山河玉雪精。堂堂風采萬夫英。百年義魄雲雷壯。千古綱常日月明。我信孤忠凌駭浪。天敎神鑑燭微誠。焚香展禮心無媿。肅肅餘威似有情。</text>
<title>雪後</title>,<text>雪後寒聲緊。憂中忽送秋。天晴日還暖。風定海安流。東望金閨恨。西瞻玉壘愁。祥飈如有助。誠意自通幽。</text>
<title>行中人試放砲</title>,<text>風殘滄海錦紋回。繫纜沙洲爲試才。神穴靜持紫焰遠。紙旌遙建白雲開。波頭火閃飛驚電。石上烟生響急雷。却使華人爭歎服。何時勵氣踏龍堆。</text>
<title>泊長山島</title>,<text>縈回島嶼地形佳。潮汐波舂勢似巴。山屈龍腰蟠大陸。石撑鰲背露平沙。白鷗飛盡雲連海。靑雀交橫浪吐花。若木日沉歸思遠。倚檣東望浩無涯。</text>
<title>向廣鹿島</title>,<text>朝發長山泛順流。掛帆將向鹿門游。夢驚笙鶴三山近。眼豁乾坤萬里浮。日月淸光明上界。風雲寒色過深秋。雄觀斗覺胷襟壯。歸去都忘千古愁。</text>
<title>泊廣鹿島</title>,<text>陰剝陽生已涉冬。壯游今日滌愁胷。天光入鏡波聲靜。水氣成霞曉色濃。石露汀洲蹲似虎。山連霄漢偃如龍。歸帆倘借長風便。蒼翠分明見岱宗。</text>
<title>行祭後發船</title>,<text>平朝齋肅設明筵。却有靈威自颯然。日耀龍鱗翻九萬。天垂鵬翼擊三千。雲收北塞山形壯。浪息東溟錦纜牽。忽得風聲馳霹靂。倚檣回道似登仙。</text>
<title>三山島</title>,<text>三山縹緲海天東。千里歸舟一夕風。爲問瑤㙜何處在。數聲笙鶴月明中。</text>
<title>旅順口阻風</title>,<text>風自無形動有形。雲成凍雨亂飄零。土囊噫氣掀三島。雪浪連空振四溟。萬戟翻霜爭破敵。千厓飛石促奔霆。藏舟自得山圍地。前夕揚帆賴鉅靈。</text>
<title>旅順口形勢 二首</title>,<text>收帆昨夜艤沙汀。風雨今朝更晦冥。一水中通開玉鏡。四山環抱列金屛。虹橋宛轉應鞭石。雉堞崢嶸幾闘霆。殺氣漸消煕景運。仙槎行處海波寧。三面山圍一面通。百家烟火石洲中。寒凝北塞千峯雪。浪湧東溟萬里風。天下義聲昭白簡。孤臣心事信蒼穹。片帆行止非人力。病卧篷窓世慮空。</text>
<title>擬贈袁督師</title>,<text>詩書餘業六鞱奇。文武高名宇宙垂。許國純忠星斗大。擎天威令火雷馳。身勞玉塞神猷壯。血喋金山鬼哭悲。成敗玄機難逆覩。更將雄劒捍西陲。</text>
<title>泊猪島</title>,<text>孤島無人草露微。渴求幽井下苔磯。千層怒浪粘天湧。萬峀陰雲接塞飛。采艾石田供夕餉。負暄巖竇晒朝衣。轅門北望連兵氣。傳命何時却賦歸。敬次 卞獻衰草寒烟一逕微。下尋洲渚得漁磯。沙鷗輕逐風潮起。水豹橫吹雪浪飛。古廟有基迷藥蔓。廢垣無主點苔衣。徘徊此地憂能老。悵望神州幾日歸。</text>
<title>登高望寧遠</title>,<text>登高指點轅門近。五彩雲烟隔水涵。積氣浮空天轉北。長風吹浪海通南。龍盤城壯人寧一。鰲戴山形玉立三。縹緲揚帆何日是。却愁王命半途淹。</text>
<title>有雙島過冬之議</title>,<text>憑槎㘅命近天衢。慮遠誰知戒不虞。臨渚釣鰲三島近。對陽捫蝨一身孤。驚濤湧激雷霆闘。列峀微茫水墨圖。欲察玄機完國事。春風何日啓長途。</text>
<title>因北風回泊雙島</title>,<text>時當急景陽初復。遠客無眠坐待朝。凍雨乍晴雲陣卷。仙槎難泊日邊遙。五更風緊驚濤湧。萬里天寒列宿搖。王事未完頭欲皓。何時歸老樂漁樵。</text>
<title>望鄕 二首</title>,<text>風蕩乾坤震。雲開日月明。登高東望處。孤客未歸情。歲月千莖髮。乾坤一葉舟。孤忠照白日。咫尺阻神州。</text>
<title>凍雨</title>,<text>客邊愁思夢難成。窓外騷騷聽雨聲。雲黑長空星斗晦。風驅遠樹海濤驚。山形隱隱林初濕。村落寥寥火獨明。天爲吾行冬欲暖。群陰纔剝一陽生。</text>
<title>客夜</title>,<text>悄然欹枕戀歸程。長夜漫漫已五更。露結星河看曉色。波舂石渚聽風聲。身登鰲背仙山近。夢侍龍顔瑞日明。報國倘成耕釣志。百花開處一樽傾。</text>
<title>曉望</title>,<text>客裡蓂三變。愁中憶聖君。鷄聲旅店曉。寒色遠山雲。望海天形接。瞻星世界分。悄然空佇立。衰髮白繽紛。</text>
<title>[次八溪卞公韻]</title>,<text>雙島漫吟錄呈 卞獻一身今與故山違。淅瀝胡霜灑客衣。西望登萊猶淼淼。東歸魂夢更依依。時蒙緖論愁仍破。每誦淸詞興欲飛。顧我樗材無所用。白頭名位苦卑微。五言古體 卞獻行行重行行。行到雙島中。二日大作雨。三日大作風。舟楫不敢動。客去烟波裡。年衰疾病纏。腹內雷鳴起。誰人憐我病。扶我西南征。惛惛卧篷底。戚促傷我情。次八溪卞公韻獨當王事願無違。何恨滄洲未拂衣。歲月悠悠時已換。乾坤納納海相依。一塲寒夢愁中覺。千里歸雲日下飛。同去豈無同樂處。梅花踈雨暗香微。又次五言古體乘槎二月餘。往返十洲中。藏舟避駭浪。掛席飽順風。百神若有助。大義明心裡。寒雨洗妖氛。陰消一陽起。旋艫入蓬萊。跨鶴向西征。萬里壯遊處。方知男子情。</text>
<title>入皇城島</title>,<text>岧嶢孤島畫堂危。冉冉香烟禮佛時。上界笙簫仙鶴舞。孤臣忠信蟄龍知。一年陽動天寒緊。五彩雲深日上遅。憂國未成耕釣志。遠遊贏得鬢垂絲。</text>
<title>[次卞八溪韻]</title>,<text>贈海潮寺住持寶上人 卞獻寺在皇城島。停舟試一過。入門禮僧寶。設榻點香茶。說法龍參席。翻經天雨花。吾今亦忘我。願托梵王家。次卞八溪韻飄泊滄溟岸。禪窓雪夜過。蓮燈參古佛。石鼎煮新茶。月照黃金榜。天開白玉花。誰知戀主意。東望不思家。</text>
<title>贈海潮寺寶上人</title>,<text>竹杖尋僧石路遙。蓮經綺語度寒宵。神淸東岳千層雪。盃渡南溟萬里濤。鉢吐片雲龍聽法。錫懸明月鶴盤霄。慈悲神力應弘濟。願靖妖氛補聖朝。敬次 卞獻攀援石磴入雲遙。上透玄關幾度宵。鷲嶺飛來臨海岸。龍宮出沒隱風濤。燈明日月流金偈。玉帝天妃降紫霄。摧伏波旬神力在。三千世界屬皇朝。</text>
<title>皇城廟堂</title>,<text>颯颯終風積雪飄。倚舟憔悴一身遙。丹靑廟宇開眞境。天地威靈鎭大朝。三島東臨看浴日。百川南注會歸潮。心淸如在瓊瑤窟。笙鶴依俙下九霄。敬次 卞獻瑞獸噴香黯黯飄。璇階綺閣出雲遙。玉皇大帝高臨座。水伯波臣俯入朝。金榜長懸滄海日。粉墻低壓白鷗潮。誰知槎上東來客。參謁祥光倚碧霄。</text>
<title>初泊登州 二首</title>,<text>東槎誤入蓬萊境。禮樂文風識聖君。鑿海成池藏戰艦。因山爲郭敞譙門。樓㙜隱暎滄波月。興廢空餘岱岳雲。太史明朝應有奏。客星今夜上河源。一片孤帆夷夏分。鏡中衰髮白紛紛。魚龍寂寞催寒節。日月高明憶聖君。前路茫茫愁積雪。歸期杳杳望春雲。匣中雄劒將何用。擬獻轅門靖虜氛。</text>
<title>入城</title>,<text>齊東雄鎭海門分。一帶層城上出雲。萬店繁華誇末俗。千家扁額尙浮文。高冠大袖猶遵古。游手豪民不籍軍。晏子餘風誰更識。經綸無路贊天君。</text>
<title>聞邊警</title>,<text>馳陸旋槎尙未分。篷窓愁夢徒繽紛。蓬山漸曉鶴鳴月。海色欲陰龍吐雲。遙望雄關阻虐雪。忽聞天府驚妖氛。何由直斬羯胡頸。拂劒凱歌朝聖君。</text>
<title>[次]</title>,<text>登蓬閣 朝鮮吏曹判書金尙憲登州樓觀跨虗空。勢壓滄溟萬里窮。橋石已從秦帝斷。星槎惟許漢臣通。乾坤蕩漾洪波裏。日月分開積氣中。半世遠遊今白髮。百年奇絶此難同。次岧嶢畫閣入層空。徙倚還驚眼力窮。地接華夷山不斷。天低南北海相通。仙居遠隔微茫外。日轂飛騰指點中。萬里壯遊襟抱豁。飄飄身世羽人同。</text>
<title>[次]</title>,<text>次晴川廟島停舟韻 金尙憲澹雲輕雨小姑祠。佳菊衰蘭八月時。機石近依牛女渚。桂花低暎廣寒枝。夢回孤枕驚濤撼。風散遙空鴈列差。無限旅愁銷不得。喜君詩句慰覊離。次廟島東瞻有小祠。明靈玄化贊天時。星槎人載支機石。庭樹香飄得月枝。日轂上波金宛轉。雪山撑地玉參差。仙區相對傾肝膽。笛裡還愁遠別離。</text>
<title>[次]</title>,<text>夜坐聞柝 金尙憲擊柝復擊柝。夜長不得息。何人寒無衣。何卒饑不食。萬家各安室。獨向城上宿。豈是親與愛。亦非相知識。自然同胞義。使我心肝惻。次海濱夜擊柝。波聲共不息。孰非衣君衣。孰非食君食。千家枕綺紈。獨伴寒月宿。腰間玉劒長。紫氣誰能識。寄語大司馬。聞之心惻惻。</text>
<title>[次贈吳晴川]</title>,<text>贈吳晴川 金尙憲會稽山水秀而淸。淸淑之氣鍾豪英。中有玉立晴川翁。長身白眉仍靑瞳。意氣崢嶸隘區宇。才華俊逸凌徐庾。漢代相如差可伍。燕家郭隗何須數。金㙜已墟梁苑空。萬里飄飄客遼東。遼東城入犬羊天。避地東牟又三年。他鄕爲客風俗別。故國思歸音信絶。篋裡詩篇富恒溢。牀頭酒錢貧屢缺。世間不乏有心人。一朝契合如有神。三韓使節蓬萊島。傾盖論交一傾倒。把君之袂執君手。爲君沽酒向君壽。君不見東京名士梁伯鸞。棲棲廡下飢且寒。君不見四海文章李謫仙。白首長歌行路難。當時富貴誰記某。獨有斯人名不朽。請君盡醉掃苛禮。人生落地皆兄弟。明朝別後燕山道。黃葉白雲愁欲老。次贈吳晴川皇澤霶流四溟淸。壁立人寰森衆英。禮羅踈目孰羅翁。胷蟠星斗昭紺瞳。魁梧儀範秀芝宇。富艶絶藝恢宏庾。潛心竹素古人伍。俠骨雄鳴何較數。疇看劒氣蜿蒼空。躡屩縱觀山海東。濡翰豪吟絶徼天。跡配令威垂幾年。金城一圮戰血溢。砥節全歸槖垂缺。蓬壺誰瞷鍊丹人。陽暉吐納怡精神。靑雲動興壓三島。彩霞凝樽玉山倒。一絲釣鰲執左手。再摘蟠桃得遐壽。棹頭風埃駕彩鸞。擲杖梯空游廣寒。㘅綸我遂北學志。仗義不懾驚濤難。萍逢執贄問姓某。圭璧落手知難朽。依窩嬰竪闕遵禮。刳肝輸悰托義弟。矢掃妖氛玉關道。鶴髮雄心還不老。</text>
<title>[次]</title>,<text>初到登州 金尙憲南商北客簇沙頭。畫鷁靑簾幾處舟。齊唱竹枝聯袂過。滿城明月似楊州。次層城屹立海波頭。表裡交橫萬里舟。永夜思鄕歌一曲。雪天明月滿東州。</text>
<title>[次]</title>,<text>永禪寺感懷 金尙憲秋色蕭蕭海上來。寺門斜日凈莓苔。孤舟萬里三韓客。回首西風白髮摧。次烟樹依依暝色來。雪飄幽徑掩荒苔。禪門景物添蕭洒。蘭草香生百草摧。</text>
<title>吳晴川來訪送酒因謝 二首</title>,<text>誰識東來博望槎。堂堂大義爲重華。蓬山雪霽花飛樹。滄海雲收月滿沙。萬里微茫天外路。一年離別夢中家。孤臣獨洒千行淚。慘見西關殺氣斜。蓬萊地與海東隣。數月風帆寄此身。黃鶴有期應自返。白鷗無意更相親。氛迷天路愁驚夢。機密兵謀懶見人。悄悄覊懷誰問訊。騷仙時送玉壺春。次 皇明山陰人。號晴川吳大斌。萬里風濤送客槎。外藩何幸抵中華。土爲野室雲爲障。雪滿關山月滿沙。烽火連宵驚旅夢。簡書何日達王家。覊愁最是傷情處。海濶天高鴈影斜。海曲逢君若比隣。鹿蕉俱是客中身。襟懷風月同遊樂。氣味金蘭便覺親。箕服戴天勞遠使。虞淵取日屬伊人。莫嗟歲晩離氷雪。轉眼梅花報早春。</text>
<title>次張元戎蓬閣韻 二首</title>,<text>星槎蕩漾入蓬壺。東國覊臣伴月孤。遠塞風烟看變化。列仙蹤迹落虗無。層城積雪橫雲玉。畫閣懸燈照夜珠。手摘旄頭何日是。龍泉將拭血糢糊。城上遙臨北斗平。葱葱佳氣滿瑤京。風聲倒海波濤壯。月色穿雲宇宙明。華表腥塵愁鶴唳。蓬萊勝日動鸞笙。微臣戀主思歸處。天外時看列峀橫。</text>
<title>次吳晴川遼海遺踪 八首</title>,<text>秦皇虎視毒天民。血洒長城萬古新。依舊望夫山上石。愁雲還似玉顔嚬。右望夫石繁華遺迹問無何。澹澹長空一鳥過。花落石壇明月轉。靑山依舊白雲多。右遼王行宮點點靑山驛路傍。晴雲舒卷古城墻。數家烟火如新畫。風俗何須問漢唐。右十三山古迹荒凉落日斜。誰知石臼鍊丹砂。白雲黃鶴何時返。唯有碧桃千樹花。右伴仙山華表何年白鶴飛。今人誰識舊令威。千秋城郭腥塵暗。時有玄裳月下歸。右華表觀一就和書萬事違。自亡宗社孰知非。黃龍痛飮終無日。千古英雄淚滿衣。右黃龍府梅花曲裏故鄕情。碧落雲收月轉明。誰識騷人無限意。獨將雄劒倚孤城。右月夜聞笛金門日暖萬旗飄。天遣黿鼉自作橋。一夕雷霆摧殺氣。皇恩成雨洗全遼。右遼陽出師</text>
