<title>知行</title>,<text>聖門傳授訣。昭在簡編中。兩致知行力。方爲造道功。</text>
<title>五月二十日密庵先師忌辰。寓感。</title>,<text>世傳家學有淵源。東魯千秋擅法門。谷鳥幸遷喬木日。零金偏被大爐恩。重關啓鑰雖虛負。景仰終身不敢諼。可耐年年逢忌日。西林回首暮烟痕。</text>
<title>述懷</title>,<text>白髮人間萬事休。閉門高卧足淸幽。百年苦海餘殘喘。千里雲山夢舊遊。波蕩人情朝暮變。麽靑峀色今古浮。滿腔心事從誰話。靜坐燒香獨自由。</text>
<title>永感吟</title>,<text>此生無路見吾親。風樹悲懷老益新。先執逢來增發歎。年時換處倍傷神。箕裘緖業誰能繼。香火春秋祭莫伸。惟是全歸應屬我。淵氷至訓佩終身。</text>
<title>安氏追遠齋。次安而貫韻。</title>,<text>蕭灑墳庵傍小丘。舊甍新葺倍淸幽。松楸已庇千年塚。香火要傳百代秋。朝暮軒窓絃誦習。團圓花樹睦敦修。南州世族誰能此。追遠誠心衮衮悠。</text>
<title>離羣獨居。任自放慢。惕然覺悟。令人懔懼。賦此自警。</title>,<text>傍無强輔易同流。放意放言任自由。幾向迷途忘失脚。始因點檢却回頭。暫時悔悟終難恃。後日因循亦可憂。安得同襟三益友。金箆把作刮昏眸。</text>
<title>七月二十七日。乃不肖降生辰。感吟。</title>,<text>默誦蓼莪撫此身。殘年忽遇降生辰。追思育我劬勞日。可耐終天感慕新。顧復三年恩未報。音容九地奉無因。貧寒到骨誠尤薄。不肖何顔立廟門。</text>
<title>次李屹峰韻 六首</title>,<text>綠髮朱顔一夢過。消除未盡只詩魔。悠悠每恨工夫漏。碌碌還慚悔吝多。契密金蘭同臭味。功資麗澤互磋磨。應知靜裏饒閒趣。壑月溪風近若何。人情大抵九疑同。末路惟君氣味融。藹藹幽蘭香谷裏。斑斑霧豹隱山中。有源水可千年在。滿樹花應一夕空。半世今爲無事客。名區隨處去路通。一言一動摠天機。道在平常識者稀。悔悟雖知今日是。因循易襲㫰時非。鬂毛蕭颯前程短。志業頹荒素計違。塵累何當渾脫落。佳山佳水浪吟歸。趣味相孚有故人。從遊半世和陽春。祗今華夏誰爲帝。怪底瑤皇久醉秦。篚幣輸時增發歎。下泉吟處獨傷神。書生白首心猶壯。志欲呑胡撫釰頻。絶灑佳區一草堂。新開竹牖向朝陽。多君晩節專三養。愧我初年志四方。華旆臨門偏荷眷。明珠落案倍生光。停雲日日擡雙眼。烟外高岑聳彼匡。滿案靑編散不收。蕭蕭白髮坐悲秋。竆經半世思希聖。知命平生不願侯。佳節幾回詩逸興。閒窓時遣酒消愁。莫言寒士生涯薄。明月淸風分外優。</text>
<title>次立山安大猷</title>,<text>兼旬潦倒滿床塵。猶恐時人向我嗔。天地生爲男子貴。蓬蒿虛老聖明辰。身經三夏添癃悴。病挾千愁倍叫呻。賴有相憐知己友。萬金書到寂寥濱。</text>
<title>吟贈李文仲</title>,<text>祥鳳曾棲枳棘林。寒門偏荷記存深。揭楣華額留傳世。藏篋明珠貴享金。憂樂百年思正苦。山河千里旆遙臨。典刑今日依然對。喜極還悲未定心。李侯作聲川遯窩記。又次溪亭韻。故詩四言之。</text>
<title>宿趙述甫草堂</title>,<text>衰翁相對到骨殘。往事提來轉少歡。半壁孤燈心內照。一溪淸響夜深寒。慇懃鷄黍偏輸欵。夙昔交情此可觀。世路崎嶇無着脚。尋常迎眼列瓊巒。</text>
<title>除夜吟</title>,<text>坐筭行年六十二。自憐霜髮亂秋蓬。謬懷志願平生裏。蹉過光陰瞥眼中。寂寞虛齋殘燭冷。蕭條白屋一瓢空。此心耿耿猶無已。欲向塵編着晩工。</text>
<title>幽居雜咏</title>,<text>平生求道了無功。茅屋蕭條伯岳東。春鳥嚶鳴山色裏。巖花開落水聲中。人情閱去頭全白。世態看來耳欲聾。半壑松風門獨掩。淡然心事不憂窮。</text>
<title>次趙三彦韻</title>,<text>故人珍重訪幽居。急喚家僮掃弊廬。飛鳥穿林爭引客。細泉鳴玉和唫書。離懷幾欝相思際。靑眼今開久別餘。俄看驪珠携滿袖。木瓜酬處愧何如。</text>
<title>杜陵吟。贈安汝伯 應璐。</title>,<text>杜陵來訪故人居。幾歲重登舊草廬。蘭玉一庭承世業。牙籤萬軸揷前書。頤閒靜裏塵無染。爲善家中樂有餘。踈雨梅窓連日話。溫溫風味襲芳如。</text>
<title>次金君泓追感其先祖應麗丙子義蹟韻</title>,<text>遺恨殘營未解圍。秋蓮怒吼尙餘輝。一椎初欲旄頭碎。隻手終歸素計違。祖逖誓江雖未效。仲連蹈海可同歸。遺風激我平生慨。吟罷下泉淚濕衣。</text>
<title>薇庵。與李和叔 協 酬唱。</title>,<text>平生不作庇身謀。性癖惟耽勝地遊。處約常思安義分。飭身將欲小愆尤。衰年未减狂吟興。歉歲偏深計活憂。一笑相逢天所借。白頭團會菊花秋。</text>
<title>鄕校。與李孟和 陽著 唱酬。</title>,<text>宮墻數仞闢仁門。吾輩依歸這裏存。入夜精神霜月色。滿階斑爛雨苔痕。一燈樽酒情膽露。萬卷詩書老眼昏。唱和佳篇仍永夕。驪珠錯落暎幽軒。</text>
<title>立春吟</title>,<text>斗杓東轉歲華新。何物人間不共春。臈雪融消菱漸坼。泰陽滋長化將均。年光迭換人皆老。竆鬼相隨我獨貧。惟願時和兼歲稔。元元一倂解吟呻。</text>
<title>次李氏別祠韻。李氏諸宗。爲其先祖仁原君立別廟。吟韻求和。</title>,<text>立廟祧遷積歲營。自持繩墨盡衷情。刱成今日由孫裔。䂓畫當時賴父兄。衛社忠勳千古炳。裕昆榮慶一層生。傍人莫作尋常視。李氏家聲伯岳爭。</text>
<title>鄕校改建後忝祭官。次齋儒韻 二首。</title>,<text>廟額千秋揭大成。祗今斯道日星明。通衢大路平如砥。駟馬安車不礙行。欲識吾人存性法。宜如今日事神誠。爲儒不習爲儒術。雖有儒名是假名。有膴玆原廟貌新。恭修香火屬殷春。巴峰高萃疑尼峀。琴水深泓怳泗濱。薦祼將奔齋宿士。焄蒿如在降臨神。何時打破兌离字。復使咸州文物彬。</text>
<title>驚聞李病窩封若病篤 宗臣</title>,<text>誰傳封若病臻危。不覺驚心淚欲垂。同臥漳濱今幾歲。相思雲樹已經時。君多庭玉靑氊托。吾乏膝珠素計隳。一度死生惟早晩。重逢遙指九原期。</text>
<title>書懷</title>,<text>遲日草堂睡正濃。悠悠天地一踈慵。家中自有書千卷。分外寧求祿萬鍾。滋味惟啖春早韮。衿期已托歲寒松。平生緬仰柴桑老。若遇當時我往從。</text>
<title>深源寺。與趙舜天唱酬。</title>,<text>窮廬局促度流年。來上高樓意豁然。間適宜追香社老。放狂寧慕竹林贒。登山臨水心期遠。獵勝搜奇興趣全。莫把詩編論巧拙。只思言志不要傳。</text>
<title>出山。次李吉彦韻。</title>,<text>來訪西南最盡頭。朱欄迢遞俯溪流。爐烟細細香生殿。山影重重翠入樓。雲破朝陰窓暎日。樹遮午熱夏疑秋。旋筇不耐餘情在。更立前橋故少留。</text>
<title>留池洞安慶稷草堂 三首</title>,<text>高天萬里雨初晴。谷鳥林蟬共和鳴。一榻團欒今日勝。滿盤鷄黍故人情。翠嵐籠壑翻成畵。深院納凉頓覺淸。洗盡窮愁消永日。這中眞趣藹然生。只緣排悶勸人棋。慚愧悠悠度日時。千聖眞詮如揭日。百年衰鬂已成絲。非關靈運耽搜勝。餘事堯夫受詠詩。看爾醇姿能做業。莫將斯道暫時離。九秋佳景最今時。赤葉黃花正兩宜。吟興悠悠詩槖富。交情淡淡歲寒期。名區此日欣相逐。書榻何時更見隨。漫浪溪山無限樂。奔波塵世少人知。</text>
<title>吟示安生慶邦</title>,<text>幽庭綠草夜來新。十里長郊細雨辰。葉裏黃鶯啼向客。簷端紫鷰語留人。悠悠倚仗千回轉。役役功名一聚塵。糲飯蔬羹應我分。百年心事不憂貧。</text>
<title>次仲弟士直咏菊韻</title>,<text>百卉摧殘一夜霜。此時黃菊正芬芳。肯隨李桃爭春暖。惟與松筠作等行。香蘂剩呈金色嫰。貞叢不恒北風凉。歲寒有爾同心事。惟恐蕭艾匝砌荒。</text>
<title>與仲弟拈韻</title>,<text>摧殘筋力正難支。藜杖藥囊動輒隨。匹馬秋風漫乘興。白雲流水摠爲詩。竆途寡與元無怪。末路同襟更有誰。半壁孤燈懸夜雨。百年心事爾惟知。</text>
<title>戱吟竹枝</title>,<text>髫垂當日騎常走。頭白如今仗以行。每涉欹橋頗得力。逮登危棧亦扶傾。老翁已結平生契。衰脚猶思遠近程。別是撫摩相約意。百年賴爾步還輕。</text>
<title>靑蓮菴。同柳元一，河龍見。</title>,<text>狂吟詩句答淸秋。應被傍人笑白頭。天外寒聲孤鴈過。峰邊活畵彩雲浮。庭前晩菊排金色。巖下飛泉噴玉流。絶勝丘山元有素。功名分外更何求。</text>
<title>次浩然亭重修韻二首。江陽周汝兼仁甲重修其先祖二樂堂所築浩然亭。賦絶句吟長律求和。</title>,<text>肯搆遺亭燕賀成。斯文百載運重亨。壇邊紅杏春回色。檻外蒼波夜自聲。飛羽躍鱗餘素賞。桂風梧月帶新晴。追思二樂無竆意。千載能令起後生。重拓遺墟棟宇成。百年文運賴還亨。天開勝界寧無意。地得高人永有聲。濟濟儒紳春夏誦。依依雲物古今晴。升堂未受親薰益。謾使踈慵恨晩生。</text>
<title>感歎張氏以百忍字九世同居。賦此自警。</title>,<text>同居九世在乎忍。張氏家聲孰不宗。藹藹和風花樹下。溫溫春色戶庭中。元無較計乖張斷。各自含容睦愛隆。功效只應由百字。吾今作箴警昏衷。</text>
<title>感懷</title>,<text>都將貧富付蒼天。林下棲遲送暮年。漳臥常吟公幹病。瓢空未學子淵賢。巖邊寂歷三間屋。石隙荒凉數畝田。儕友不知排悶意。錯言無事咏詩篇。</text>
<title>次安汝章焚黃韻 安丈聖興氏以忠孝蒙追贈持平</title>,<text>忠孝人生世德門。竹溪衮衮有深源。諸軍慕義爭鐫石。多士欽芳迭倡論。懿蹟永垂留地誌。紫泥新沐煥天恩。揄揚盛事歸歌誦。籍甚家聲一代尊。</text>
<title>次西山書院採薇亭重修韻</title>,<text>檻外崢嶸伯叔峰。凜然秀色聳芙蓉。人生今古貞忠幷。天爲綱常烈氣鍾。也識重陽懷舊咏。正如西岳採薇蹤。莫將亭扁尋常視。留與千秋激懦胷。</text>
<title>德巖院齋淸夜。次李屹峰韻。</title>,<text>一廟三賢一㨾忠。羹墻追慕百年中。英風凜凜扶人紀。烈氣堂堂匪此躬。精爽依如臨左右。塵襟還覺頓消融。靑燈玉漏宵將半。風露滿天月上東。</text>
<title>卧龍齋。同諸益唱酬。</title>,<text>一杖踰山訪柳村。深深林壑卽桃源。那堪人代滄桑變。多感仙翁厚誼存。快閣淸風消白日。彩毫佳句永黃昏。碧窓爽氣侵人骨。入夜輕寒滿小軒。</text>
<title>吟示武陵諸益</title>,<text>奉際雖稀氣味幷。淸和佳節共班荊。天邊螺峀唐虞色。窓外風泉日夜聲。雲樹幾年頻悵望。萍蓬此日欵逢迎。堪憐白髮無前定。始覺身閒是泰平。</text>
<title>謹次裴上舍仲厚柰內江亭韻</title>,<text>蕭灑湖亭絶俗塵。幾年嘉遯靜頤身。天開勝境爲閒物。地得明流作主人。隔代無因陪丈席。挹芬疑是襲團春。江山千古留芳躅。依舊風光尙不貧。</text>
<title>藏巖水石甚奇。用衰上舍韻賦詩。</title>,<text>天開絶勝逈無塵。端合幽居遯一身。可惜名區無主管。未知造物待何人。旋筇不忍登前路。留約將期趁後春。倘遂他時捿息願。白雲高臥樂淸貧。</text>
<title>宿釜峰安英伯草堂</title>,<text>六十光陰過隙駒。平生踽踽影全孤。明時未免籬邊物。詩社空吟筆下珠。東魯山川三尺杖。大明天地一愚夫。晴窓勤業吾儒事。何恨蘇秦負郭無。</text>
<title>四月晦日。霽山金先生諱辰。感悵賦詩。</title>,<text>斯文陽九抱深寃。天日何時照覆盆。盛業一函遺稿在。芳名千載泰山尊。沙中有蜮猶張射。門下無人倡擧幡。不耐年年逢忌日。誰知枕上淚留痕。</text>
<title>雙溪洞口。與趙龜世，南光彦感吟。</title>,<text>方丈嵯峨大海東。超遊今日腋生風。天王岳勢層層碧。玉府秋光面面紅。天限東西波遠隔。地分戎狄俗難同。大明殘日頭邊照。何處皇朝道路通。</text>
<title>聲川齋唱酬</title>,<text>公道人間但白髮。壯心已倦四方遊。閒中欲着三餘業。巖畔新開一小樓。朝海急流如走馬。納凉幽檻似高秋。是中兼得同袍子。忘却悠悠萬種愁。</text>
<title>次金君泓先祖默菴公玉南孝行韻</title>,<text>彜秉雖同解愛親。聞公懿行感愈新。誠同陸績懷香橘。孝似王祥躍水鱗。六載居廬能謹制。一生拜廟克修身。遺風百世吹無歇。蹟炳州乘德照隣。</text>
<title>道院焚香後吟</title>,<text>洞壑深深隔世塵。猥參首席愧吾身。經營設院由先輩。肯式尊賢在後人。携友團圓酬令節。熱香瞻謁趁淸晨。吾生晩耳偏多恨。薰炙門屛未及親。</text>
<title>謹次冥棲庵韻。庵在寧海。存齋李先生棲息所。門人蒼雪權先生重修。出元韻。</title>,<text>雷澤 二首水成潭處響淸雷。天爲高人勝界開。鏡面徘徊光影動。架頭橫揷典墳堆。陳蕪幾歎埋芳躅。修葺重看煥舊臺。景仰于今生晩恨。春風亭上未叨陪。一鑑澄潭澈底淸。茅茨曾築石厓平。遠追風咏三春興。剩得棹歌九曲情。函席異時絃誦奏。遺墟今日草菜生。重修獨賴登門士。百世流傳永有聲。玉川玉漾澄波日夜流。先生杖屨此曾遊。高尖峀色疑森戟。寒瀉泉聲怳戛球。上下鳶魚觀物理。窈深林壑管淸幽。碩人一去仍無主。誰復磯頭伴白鷗。葛川川護名區一帶環。淸流曲曲幾成灣。好携璞玉磨兼琢。時伴沙鷗往又還。晩歲襟期松桂裏。冥棲趣味水雲間。千秋後學瞻依地。屹立門墻萬仞山。</text>
<title>到晉州新豊。吟示老少族人。</title>,<text>强鞭羸馬到新豐。多感諸宗欵我衷。慣閱風霜頭盡白。纔傾盃酒面生紅。濟人世有層雲誼。垂沫誰憐涸轍窮。親睦宜將敦百代。諸君莫以路人同。</text>
<title>次新豐族人黃壽耉判尹慶宴韻 其弟壽澄慶宴時</title>,<text>恭承華誥謝恩時。仁壽今因此老知。古貌淸癯天爵至。丰姿疆健地仙儀。三蘭舞彩爭歡爾。四座瞻光亦賀之。孤露如今觀盛蹟。不堪風樹淚橫垂。</text>
<title>贈辛與則</title>,<text>迂駕寵臨已感銘。至今坐榻尙留馨。百年浮世頭俱白。一笑何時眼更靑。地隔江雲愁濶別。調高郢雪願頻聽。歲寒心事相期意。好守淸芬送暮齡。</text>
<title>次隅谷鄭先生遺墟亭韻</title>,<text>凜然松栢冒霜威。罔僕初心竟莫違。直節堂堂兼日炳。遺風衮衮與山巍。自甘盲廢辭榮祿。不讓悲歌採蕨薇。截彼金烏雲外立。芳名千載可同歸。</text>
<title>贈立山安德文 二首</title>,<text>一身主宰曰維心。方寸丹田萬像森。妙用元從那裏得。眞源正自這中尋。靈臺無主歸荒廢。寶鏡非磨被垢侵。求放由來無別法。隨時隨處着欽欽。學淺終難道脉尋。百年心事寄雲林。乾坤山有唐虞色。衰季人無太古心。蠟燭金樽成勝會。瑤琴白雪和高吟。浮生此樂元非易。古事流傳必說今。</text>
<title>贈趙淸羲堂完甫 永輝○三首</title>,<text>崎嶇行路恐迷津。有戶牢關寂寞濱。交契風塵靑眼少。光陰天地白頭新。百年擾擾何事業。半世區區只此身。知己如君千里隔。歲寒心事話無因。自少家庭服義方。平生無夢到名塲。身閒事簡貧還樂。志損謗多富實妨。知命何須憂失馬。冥行難免歎亡羊。架頭賴有書千卷。披閱晴窓豢味長。風暖郊原草色新。此身猶與物同春。髮無餘黑方知老。衣不時裁始覺貧。牢閉荊扉疑小隱。渾忘塵事似淸眞。南飛鴻鴈何時到。欲著詩編寄故人。</text>
<title>先妣趙氏忌日感吟。子婦解娩。以不㓗祭於仲弟家。故吟示士直，孝直，季直三弟。</title>,<text>養我恩深生我恩。昊天其德口難言。抱懷負背眞鍾愛。添絮縫衣每欲溫。自坐平生昏謬甚。元無毫髮孝誠存。直緣有故違參祭。坐聽晨鷄淚有痕。</text>
<title>槐里。與趙增現，趙增奕，趙增伋唱酬 二首。</title>,<text>纖雲萬里捲層霄。諸友聯筇度石橋。大野平蕪軒外濶。四山輕翠眼前遙。乾坤納納無今古。歲月悤悤自暮朝。佳節淸遊君莫負。無邊勝景望中饒。幾度支筇到勝區。悠悠天地一迂儒。浮沉䆠海紅塵客。漫浪溪山短褐吾。眼閱千編年已老。心探萬理識猶粗。祗今尙有烟霞。自詑淸遊是丈夫。</text>
<title>同靈山李汝康基慶。宿夢嵒村裴友草堂。</title>,<text>靑眼相逢已閱旬。夢魂飛越幾多辰。錦囊何用時篇富。白屋難堪桂玉貧。五夜靑燈情共照。千莖華髮歎徒頻。請君莫惜同遊衍。一代相隨跡半陳。</text>
<title>贈芝谷李春若</title>,<text>離索窮廬臥一旬。幸從諸友答佳辰。瓊岑處處看無厭。靑眼家家饌不貧。白雪調高肝膽露。淸樽味熟醉歡頻。衰遲已覺詩鋒澁。棘句吟成摠腐陳。</text>
<title>贈安慶一 三首</title>,<text>茅廬荒寂亦淸安。可抵三千世界寬。上策莫如扃戶坐。晴窓正好取書看。浮生歲月身全老。宿債烟霞夢未寒。萬事祗今何所做。生爲男子太無端。此身無事臥吾廬。時向晴窓讀古書。閒久漸知貧賤樂。病多還覺故人踈。園蔬柔軟猶當肉。藜杖相隨可代驢。寒士生涯須莫笑。想應奔走變心初。佳君詩律發陽春。囊裏千篇正不貧。霜着山顔紅錦爛。雨添水面綠紋新。竆尋澗壑酬仙債。領得烟霞作主人。世上紛紛看可恒。欲從猿鶴好相親。</text>
<title>吟示趙文奎 季彬</title>,<text>無端蚌鷸苦相持。徒付悠悠枕半欹。除却是非宜作啞。冶陶情性可吟詩。百年浪過眞堪愧。半世奇窮不足悲。所恨邇來離索久。塵緣俗事敗佳思。</text>
<title>送族孫鎭之定山配所</title>,<text>一路迢迢釰外橫。多山多水儘難行。他鄕到處皆新面。旅店投時孰喜迎。聽雨剩添爲客恨。看雲偏惹戀親情。皇天必有憐無罪。非久深寃得自明。</text>
<title>別李春若。同朴君瑞，李君範，李福兼向鎭海。</title>,<text>勝地淸遊信樂哉。如何分手此溪隈。珍禽有意嚶嚶喚。粉壁多情面面開。佳節欲窮仁智樂。枯筇還向海山催。千般奇景吟無盡。留待他時更到來。</text>
<title>宿趙再盛家滯雨</title>,<text>東南遊屐復西迴。前有瓊岑入望嵬。水活瑤溪金石奏。烟籠綺樹畵圖開。三間白屋依山冷。萬卷靑編溢架堆。貧厨應乏留賓饋。待晴前路首頻擡。</text>
<title>趙汝實有約不來。遣詩求和。卽次。</title>,<text>龍齋遊償趁淸和。美盡東南興趣多。一釰平生肝共照。百年浮世鬂同皤。萍逢叙抱眞堪樂。夜話愆期豈免訶。雖奉明珠違面對。夕陽歸路恨如何。</text>
<title>挽先師密庵李先生</title>,<text>摳衣昔在錦溪前。敎育深恩若昊天。持敬存心提耳命。致知進學撮要宣。曾書或問勉歸讀。小註繁文戒勿先。誘掖切偲皆旨訣。發端開誨摠眞詮。淵深德器吾何測。宣著光輝自斐然。凝定政由充積厚。兢持尤見脊梁堅。微言早自家庭得。正脉元從晦退連。刊補遺編開後學。發揮諸說邁前贒。蓬門原憲貧何慽。瓢飮顔淵樂自全。晴晝薰罏儼對越。明窓淨几勤竆硏。學由伊洛探洙泗。業把經綸附簡篇。千載聞風猶感發。一堂親炙豈徒焉。從前朴鄙雖難變。師法平生庶補愆。事勢中間那更說。劇歎身世自拘攣。然知盛德恕無罪。竊擬他時侍敎筵。每祝師門能永歲。那知道體遽登仙。琅然警咳終成訣。宛爾儀形已隔泉。千里承音痛若割。一聲號泣淚如川。生三恩義嗟無報。沒世羹墻誓不遷。平日丁寧敎誨語。庶玆奉信以周旋。摩挲手澤身常惕。瞻望門屛心每懸。痛矣山梁今壞折。已焉吾道極迍邅。凄凉丈席誦聲撤。山浦哀思寂寞邊。奔晩未伸臨穴願。入門痛哭恨彌纏。</text>
<title>輓先師霽山金先生</title>,<text>溪流滚滚源無窮。錦水前川一派通。河洛春風滿座上。濂溪霽月照胷中。聲名一代南金重。道學千秋北斗崇。梁折山頹無限痡。十年湖塞返㫌紅。</text>
<title>挽谷川處士金公 尙鼎</title>,<text>退陶正脉誰傳緖。錦水派流入谷川。良玉精金天質美。力行眞積道心堅。靑年立脚關閩路。白首遊神性理編。供掃門屛嗟失願。攀輀不覺目生泉。</text>
<title>挽金汝玉 潤</title>,<text>南州佳士我知公。尊信師規早飭躬。箚定脚跟由實見。闡揚潛德發深衷。初蒙契許情相照。俄失磋磨恨不窮。回首谷川絃誦地。百年遺迹摠成空。</text>
<title>挽李處士 彙直</title>,<text>良玉精金稟氣純。着工心學日惟新。家傳孝友名聲藉。身絶疵瑕德義醇。知命豈曾趍世路。樂天終自任家貧。如今遽失儒宗匠。多士南州淚滿巾。</text>
<title>挽李茅齋 斗望</title>,<text>摧折人間玉樹柯。鄕鄰相吊淚傾河。襟懷玉潔無瑕點。孝友天生不琢磨。早襲家庭詩禮敎。獨超塵世利名窠。交資麗澤平生計。那意今朝聽薤歌。</text>
<title>挽安持平 聖民</title>,<text>哭公之子又於公。去歲今年淚滿瞳。世道百遷全素朴。俗情萬變守淳風。謙恭家法人稱口。友愛良能帝降衷。二子諸孫皆克肖。德門餘慶也無竆。</text>
<title>挽黃恒齋百源 孝昌</title>,<text>一望知爲君子儒。能令鄙吝不萌于。從師講道賢人事。律己省身學者模。半世茹竆何足恨。百年齎志未終敷。谷川前日同垂淚。踽踽如今獨歎吁。</text>
<title>挽李病窩封若 三首</title>,<text>淸儀空對屋樑月。白首人間制淚難。處世非無親密契。於君獨以弟兄看。停雲幾歎經年別。同病終違數日歡。碧海桑田俄忽變。此生誰與倒心肝。玉淸仙馭去茫然。一幅哀詞萬涕漣。詩社舊遊渾似夢。人間此別永終天。滿腔幽抱論何處。拔俗高標接莫緣。惆悵情朋今冷落。白頭孤寄最堪憐。人間未了同襟樂。雲外還驚駕鶴催。雅韻卽今猶可想。舊遊何處不堪哀。曾同立雪蟾湖上。又共盟鷗洛水隈。千古延陵懸釰淚。更沾寒雨濕塋苔。</text>
<title>挽裴仁叔 任休</title>,<text>末世如公未甞見。心惟赤子絶他膓。若言福善由天理。應有爲公降吉祥。一胤終無天曷故。雙明晩失理全茫。騶虞之後騶虞繼。可卜將來積慶長。</text>
<title>挽朴士垕</title>,<text>昔我叨陪先丈日。君垂黃髮座前嬉。鍾情不啻蚌珠視。嗇壽如何寶樹萎。累世淸芬從又歇。一篇遺訓更傳誰。非惟痛惜吾君死。竊爲尊公極歎咨。</text>
<title>挽柳君徵和 死於八鎭客舘。運柩丹丘時。</title>,<text>得公雖晩識公深。豈面而朋却以心。宏器未爲今世用。淸芬應有後人欽。可憐客櫬尋前路。不見捿禽返舊林。哭送街頭無盡恨。白鬚孤寄失知音。</text>
<title>挽辛枳庵大見 慶龍</title>,<text>滔滔濁滓橫流世。藹藹淸芬不染塵。九級龍門魚未躍。數間蝸屋蠖難伸。道窮半世心猶泰。瓢飮平生意自眞。身後休言終寂寞。螟蛉能繼舊氊新。</text>
<title>挽朴公</title>,<text>腔衷能全赤子心。不求名利臥雲林。工夫半世書千卷。友愛平生寢一衾。空谷久知蘭馥在。南天誰報壽星沉。自公一去人無巷。衰世淳風底處尋。</text>
<title>挽李丈 垕瑞</title>,<text>碌碌平生未拜床。淸眞高趣耳聞詳。生涯淡淡安貧憲。友愛融融共被姜。谷裏幽蘭誰復識。櫝中良玉好深藏。人間不見獅孫慶。地下分明慨恨長。</text>
<title>挽郭質夫 弼周</title>,<text>巴陵於子是幷鄕。蘭室從遊卄載強。世德戴尼山共嶷。家聲東洛水俱長。事親藹藹怡愉色。敎子申申禮義方。未闋齊衰春又老。嗟君何忍去茫茫。</text>
<title>挽趙丈 乘</title>,<text>落木空山暮雨悲。堂封萬古閟淸儀。疾添再度荊凋日。膓斷單兒婦喪時。滿壑松風餘素賞。一軒梧月想襟期。百年世誼從誰講。寂寞幽棲鎖石扉。</text>
<title>挽趙堯一</title>,<text>三十光陰隙駟同。如何仁壽理冥蒙。軒銘忍默編韋絶。壺貯淸氷濁滓空。賓舘幾多偏欵遇。院齋叨荷互磨礱。羊鞭那更由西路。方丈悽悽淚眼中。</text>
<title>挽辛丈茅潭 性中</title>,<text>澤翁遺馥播南藩。典則依然在後孫。素性豈隨衰世變。高風能使薄夫惇。韜光林壑名逾重。遯跡江湖德益尊。誰謂少微今晦彩。不堪他日過衡門。</text>
<title>挽安處士 處善</title>,<text>公是襄陽舊處士。秣岡還如鹿門同。淸修夢斷芬華界。高臥心安寂寞中。久仰儀形如白璧。忽驚仙駕上蒼穹。殘星落月仁山路。謾向悲風淚滿瞳。</text>
<title>挽宗侄鉦</title>,<text>秋風飛涕寫哀牋。節節傷心語未宣。人世生來知幾日。夜臺歸去便千年。庭前誰賞新叢菊。案上空餘舊讀編。萬事從今嗟已矣。蟪蛄啼盡白楊邊。</text>
<title>挽安丈 國臣</title>,<text>自公賢嗣學吾門。戚誼彌惇等至親。久仰淸標超俗累。偏欽雅態出天眞。嗟呼寂寞歸千古。痡矣幽明隔一晨。孤鳳將雛長痛哭。暮天踈雨亦悲辛。</text>
<title>挽李而久</title>,<text>荒岡凄雨我心悲。可惜今埋雪月姿。地下雖陪長逝父。人間誰護北堂慈。詩書舊架藏千軸。蘭蕙遺庭茁兩枝。淳朴容儀何處接。溪齋文會憶前時。</text>
<title>挽盧楚寶</title>,<text>善士南州忽報㐫。儒林悽絶泣相逢。閒中事業書千卷。靜裏襟期樹萬松。故土歸心如水逝。他山何處起堂封。獐巖鹿洞俱冥漠。獨立蒼茫愴我悰。</text>
<title>挽趙聖基 德輝</title>,<text>秋山曉入白書旗。埋却亭亭玉樹姿。誠孝已殫親在日。淳風不變俗頹時。坦懷半世畦畛絶。弘度平生遠大期。萬事人間今已矣。孤飛一鳳正堪悲。</text>
<title>輓趙公 弘燁</title>,<text>經營半世爲名祖。誰識贒孫獨苦心。廟宇淸高松水岸。亭臺蕭灑洛江潯。百年草稿擎函去。千里花山秉筆尋。歸報先靈無愧色。冞誠應有後人欽。</text>
<title>次道谷趙公 益道。贈精忠錄焚黃時韻。四首</title>,<text>捿霞之嶺與巴巓。人代中間閱幾千。扶社古今誠共切。報君天地義相連。寵頒忠錄光來世。特贈崇資賁九泉。豈但高門稀絶慶。吾鄕從此氣增然。絶世人蒙絶世恩。榮光衣被某丘原。鴈行幷節爲賢弟。漁祖趾休有是孫。世德是邦誰右列。家聲南嶠名門。吾王有意頒遺錄。今古丹忠兩不諼。天挺人豪厄亂離。一身邦國佩安危。盟山誓海回雙馭。矯詔班師偃義旗。英烈至今猶颯爽。綱常萬古賴扶支。特頒遺錄寧無意。前後精忠亦感悲。臨危喪節衆皆然。輕重山毛孰辦焉。奮義忘身公有是。精忠無愧古人賢。</text>
<title>龍齋。與黃聾𥌒堂 壆 相和。</title>,<text>數郡親知一席逢。半世還從物外容。臨門何用題凡鳥。玩額惟看揭臥龍。詩酒今宵同短燭。矢弦他日隔重峰。瑤琴彈罷峨洋曲。風滿高軒月滿松。</text>
<title>輓詞[趙希愚]</title>,<text>人間吾未死。泉路子全歸。百世同門誼。西林淚更揮。</text>
<title>輓詞[李贇望]</title>,<text>夷溪之子是夷峰。幸作道園麻下蓬。同病相憐相阻迹。從今但願夜臺逢。瓢翁嶺外我曾追。葛隱江齋菊露垂。消息九原無問處。知應相對兩家兒。</text>
