<title>詠史 十一歲作</title>,<text>楚王好賓客。宮中置香醴。如何隆準公。溲冠太無禮。</text>
<title>峒氓獻鶴一雙。作鶴詠二章。辛丑</title>,<text>亭亭獨立古松前。松籟泠然警夜眠。直待踈枝成偃盖。也應同老度千年。右松鶴。寒巢明月照裵徊。萬竹靑靑護鶴胎。一種琅玕深結子。野田黃雀不曾來。右竹鶴。</text>
<title>次王右丞六言</title>,<text>卷箔千山明月。閉門獨樹寒烟。詩成還復朗詠。酒盡聊爲醉眠。</text>
<title>樓院途中宿蓬壚。口占卽事。說與主翁。</title>,<text>野店柴扉白髮翁。松燈延客小壚中。蓬編斷續煤還遍。土墁高低煖自同。鷄架懸簷寒帶雪。牛衣掛壁夜翻風。窮居欲問生涯樂。看取春來麥有豊。</text>
<title>酬李夢與 英輔 見寄韻</title>,<text>梅花初發憶楊州。酒興詩情兩未休。白雪騎驢孟夫子。靑雲結駟魏其侯。林泉借我巢居地。廊廟從他肉食謀。看取深山多壽木。閉門方是得天遊。</text>
<title>贈尹治子精</title>,<text>人言尹子似頭陀。春樹深深帶草窩。江氣本淸居自近。天機因默悟還多。花生釣嶼千回往。柳暎行舟一曲歌。飢食寒衣渾撥置。任敎貧婦笑詩魔。</text>
<title>僑居塔谷書事</title>,<text>春溝楊柳綠烟齊。板屋柴門石塔西。紫鷰矯風花裊裊。白鵝啄地草萋萋。</text>
<title>悼友人</title>,<text>孤松生大道。宿昔正茂然。雨露漸其長。霜雪彌其堅。敷陰欲滿地。直氣已干天。嚴風忽蓬勃。根拔委荒阡。生成固天意。摧折誰使然。樵牧公相喜。匠石私見憐。昔以棟樑期今爲丘壑捐。深山有病樗。彼固終天年。</text>
<title>拜朱文公臨漳書院 壬寅</title>,<text>俎豆開書院。絃歌奉考亭。雲疑漳水白。山似建州靑。漣川號漳州。而山名武夷故云。 浩氣歸天地。眞容仰日星。悠悠君子澤。萬國尙橫經。</text>
<title>拜道峯書院</title>,<text>祠庭肅肅古壇淸。楊柳陰陰午講聲。灝氣猶瞻萬丈壁。春風如侍二先生。煕豊朋黨難平怨。堯舜君民不盡誠。吾道艱危終若此。東歸惟有故山耕。</text>
<title>偶題</title>,<text>病起蓬門春復生。閑看天地幾陰晴。年光九轉丹砂晩。世事千磨鐵硯平。引白讀書眞得意。付黃削籍好藏名。時余以道峯院任。被罰付黃。 畊田也合吾人手。歸趁山家布糓鳴。</text>
<title>春日宜叔書堂。賦風字。</title>,<text>秀木聞春雀。柴門細雨中。時危除慷慨。身健任窮通。萬事浮雲亂。孤懷止水空。躬耕吾與爾。歸去問淸風。時余與宜叔。有上游之計。</text>
<title>次韻任可遠 近 杜陵草堂</title>,<text>草閣柴扉星散居。浣花流水杜陵廬。人間地已聞名好。世外君應與俗踈。竹石幽期來鸛鶴。林泉樂意到禽魚。風塵自笑身謀拙。夢想春畦雨滿鋤。</text>
<title>踏靑日。步尋企老㙜。主人與客凡五人。各呼一字。賦成四韻。</title>,<text>朱鳳啣詩去不回。世傳企齋夢朱鳳入懷而詩益進。後又夢鳳自懷中飛去。於是公老不能詩。未幾而逝云。 野花啼鳥有空臺。泠泠山水收琴曲。欝欝乾坤進酒杯。往事至今都濩落。主人留我更徘佪。百年聞健惟行樂。芳樹陰成可再來。</text>
<title>將遊洞陰。德哉，文遠，宗之 庶堂叔漢宗 聯騎而行。道中得開字各賦。</title>,<text>城柳澹方綠。山花應已開。行裝一驢在。遊侶數人來。句漏丹砂洞。蓬萊白鶴㙜。披襟從此始。詩興被春催。</text>
<title>蓮花巖。次農巖仙遊洞韻。</title>,<text>牛潭石皆蒼。獨此有白石。離披五花蓮。一一自佳色。昔聞楊士彦。高卧此爲適。旁臨小姑山。左眺浮雲壁。長江百轉淸。下與人烟隔。磊磊石上書。歲遠猶的歷。古琴已云亡。虛籟上冥寂。芳洲攬杜若。似見高人跡。重雲隔蓬萊。悵望不可覔。紛吾志遐遯。會來鍊丹液。</text>
<title>次石刻楊蓬萊韻</title>,<text>無絃琴。太古心。山水有遺音。撫琴還獨吟。蓬萊一萬二千岑。楊子不來雲海深。</text>
<title>蒼玉屛。侍家大人燕飮。席上賦詩。屬主人鄭尙伯 國賓。</title>,<text>春㙜列藉俯淸瀾。野酌山盤禮數寬。細草蒙茸承杖屨。高花欹側覆衣冠。窪樽石古江空綠。書院松深歲幾寒。浮世卽今無樂地。羡君取適一漁竿。</text>
<title>鷹巖</title>,<text>蒼峯秀色上雲烟。積石孤松老百年。高處世人那得到。也應來坐自三淵。</text>
<title>道上誦葛稚川洞陰風珮爲韻。賦成古詩四章。</title>,<text>山村寂若空。亭午烟稍動。藹藹花連岸。泠泠水橫洞。巖林上峭蒨。秀色方異衆。仙源却未到。神志已淸竦。稚川古有言。植杖一成誦。右水洞。溪回綠潭平。花木靜陰陰。龍巖中宛轉。燕坐解巾簪。嘉魚躍淸波。好鳥鳴高林。山晴恣遠眺。境愜忘前尋。逍遙豈不適。歗詠亮自今。右卧龍巖。山谿度寂歷。出谷來遠風。淸川棄復得。石瀨下玲瓏。峩峩七松樹。憩舍自金公。巖亭曠已墟。幽徑翳荒蓬。倚杖一歎息。心期與誰同。右淸泠瀨。林壑轉彌淸。蘿徑掩猶晦。仙潭舊聞勝。旣至大稱快。過雨動漣漪。來雲映霮䨴。笙鶴無遺響。花石有餘愛。泠風度虛明。動我衣中珮。右仙遊潭。</text>
<title>內院寺</title>,<text>藤蘿古道尋僧遠。鍾磬禪房禮佛初。水月雲霞高隱暎。林巒丘壑大鋪舒。惠雲長老今談偈。子益先生舊讀書。一到靈區塵事歇。會將叢桂作衣裾。</text>
<title>谷雲籠水亭。次尤菴先生韻。</title>,<text>孤亭寂寂對蒼巒。雲去雲來今古間。流水桃花春渺渺。思君不見下遙山。</text>
<title>卧龍潭有知堂。舊奉諸葛武侯，金淸寒子畫眞。尤菴諸公次朱文公卧龍菴，醉石二詩以表章之。堂今廢矣。然山僧野老尙皆傳誦故事。謹步其韻。畧叙曠感之懷。</title>,<text>諸葛昔遯世。起身自耕鑿。孤忠始盡瘁。大計終濩落。沈沈卧龍潭。有祠臨脩壑。遺像儼淸穆。餘烈炳如昨。感念晦父意。沈詠尤翁作。寒流采靑藻。再拜奉泂酌。宗周尙丘墟。東魯餘禮樂。誰哉識此義。千載哀冥漠。右卧龍菴韻。淸晨至華嶽。下馬荒祠前。借問此何祠。東峰古遺賢。沈痛阮途哭。放達莊園眠。空山有薇蕨。古谷餘雲烟。淸風日緬邈。眞像對寒泉。居民誦五歲。志士懷百年。佯狂復何爲。曠望涕潺湲。滄浪濯余髮。高歌遠遊篇。右醉石韻。</text>
<title>洞口四十里。皆高峰疊石。淸泉茂林。峭蒨䓗欝。無不可意者。次晦翁古詩三韻四章。</title>,<text>亭亭絶壁松。欝欝幽磵藤。交蔭俯漠漠。積翠仰層層。遙來彼白衲。問是華陰僧。右垂澗藤韻。披衣朅芳草。散策度喬木。澗中石皆白。雨餘潭逾綠。高人昔過此。苔蘚留遺躅。右臨流石韻。高高望月巖。秀色澄春曉。懸泉下崩奔。雲木動悄悄。觀流識源深。欲往路冥杳。右懸崖水韻。深林似無路。百轉竟不斷。行聞鳥聲緩。坐就花陰亂。曠然脫煩跼。偶此成淸玩。右穿林徑韻。</text>
<title>靑鶴洞。次鄭尙伯韻。</title>,<text>石逕蹇驢懶不鞭。淡雲晴日麗春天。荒臺松樹今無鶴。流水桃花古有仙。吾黨李生能快飮。主人鄭子且淸篇。百年勝地還佳興。好事宜留藝苑傳。</text>
<title>縣齋。次蘇州園林晏起韻。</title>,<text>靑山曠已曙。中谷澹人烟。深齋聞鳥雀。頹然復慵眠。軒箔一褰望。白雲生遠天。春賞浩未已。洞陰方泠然。憶余曹溪上。把酒同數賢。山花近淸詠。華什屢盈前。歸來縣齋閑。餘興復南川。須知靜者性。得於幽處全。</text>
<title>德哉，宗之先歸。送至白鷺洲。</title>,<text>楊柳靑靑喚別愁。行人臨發故遅留。生憎白鷺洲前水。一道中分二處流。</text>
<title>近與文遠相守於縣齋。寂寞之濱。看讀之倦。頗事蒲博之戱。輒次晦翁雙陸譜韻。一戱一警。</title>,<text>呼盧不得更呼盧。跣足蓬頭似醉徒。失馬非灾聊玩世。牧猪同戱可稱奴。</text>
<title>四月二日作</title>,<text>白日容魑魅。靑天看螮蝀。春來無好雨。夏至有凄風。草野猶孤憤。詩書秪固窮。高雲也不俗。與爾老山中。</text>
<title>家大人解官將歸。次香山韻。對使寫呈。</title>,<text>昔白香山罷郡歸山。賦自喜詩。詩意盖與今日偶合。然履道田園之勝。足以棲息而忘憂。則視諸今日。又可羡而不可得矣。玆錄本作。以備省覽。敢又依韻效體。申其餘意。或蒙俯賜和敎。庶作歸田後一佳事矣。自喜風塵漸息緣。故園此去意翩翩。家貧也有還鄕馬。水濶方謀上峽船。世事紛然一棊局。功名輕似五銖錢。山田兩麥離離熟。好作黃醅醉儉年。</text>
<title>借宅</title>,<text>山野江湖百計慵。秪今借宅任西東。丈夫世亂詩書在。老稚家貧飯粥同。鷰子忽來風嫋嫋。棠花欲動雨濛濛。靜尋物理無窮處。偶得天機燕坐中。</text>
<title>夏日閑居書事</title>,<text>長日炎蒸坐卧同。晩來被褐受槐風。南山薄暮雲初下。西屋猶明月未中。道拙判知妨世俗。身閑剩有課兒童。麤狂漸與工夫遠。不讀朱書讀放翁。</text>
<title>次韻李宜叔歐陽卜居 歐陽。驪州地名。</title>,<text>水岸緣楓荻。收詩更老蒼。求田非穎尾。得地是歐陽。短褐浮名晩。扁舟去意長。秋來魚稻美。此事已難忘。</text>
<title>芝山翁 庶從祖聖重 種菊階庭。長枝過墻。花開要余飮酒。</title>,<text>柴門牢落板墻斜。秋滿城南老將家。半世功名生白髮。百年心事付黃花。徵詩尙欲存軍令。對酒聊堪領物華。不恠此翁貧賤久。每於閑處作生涯。</text>
<title>又次壁上詠菊韻</title>,<text>投筆空成老。栽花不救貧。直須看晩節。聊用作佳辰。轉影書床近。浮香酒盞頻。淵明眞的意。還欲問吾人。</text>
<title>戱吟更寄</title>,<text>戎衣不脫坐東籬。病謝操弓把酒巵。來日營門諸將會。問誰能賦菊花詩。</text>
<title>聘君宅。同宜叔登舍南高臯。賦秋字。</title>,<text>壯懷不適上高丘。人世行塵熱未休。落日亭亭西苑夕。長雲衮衮北城秋。時淸草野猶孤憤。歲晏蓬門且百憂。問舍求田無了事。起來還作市門遊。</text>
<title>得歌字</title>,<text>欝欝不得意。嗚嗚空自歌。功名吾已倦。言語世方吪。老木初寒近。浮雲薄暮多。一樽聊復爾。萬事欲如何。</text>
<title>同士受，宜叔賦生字。</title>,<text>落木蕭森鴻鴈鳴。上淸宮漏已寒更。歸風自度遙空靜。缺月猶懸深夜明。湖海百年今日意。乾坤一氣少陰生。詩書亦自存吾道。蔬糲惟知頌太平。</text>
<title>賦天字。屬二君。</title>,<text>城市爲家子自賢。每來巾幘一翛然。秋聲蟋蟀猶懸壁。晩色烏鴉已滿天。桑葉落時還酒事。菊花殘後更詩篇。陽春敢許能高唱。浮世須知是淨緣。</text>
<title>士受書堂。賦深字。</title>,<text>畫壁滄洲生遠心。爲君岸幘且長吟。風塵閉戶雙眸淨。霜雪披帷一坐深。竹葉微鳴寒悄悄。燈花頻落夜沉沉。麤狂屢被時人笑。歗謔聲高未易禁。</text>
<title>苦寒</title>,<text>北風漠漠氷闌干。天下蒼生正苦寒。白雪閉門吾豈俗。黃塵喝道彼何官。一心湖海猶孤往。萬事乾坤且縱觀。不使袁安更憂國。只應短褐有歡顔。</text>
<title>書癸卯曆</title>,<text>寥落知時莢。蕭條告朔羊。有書行夏正。無史記春王。去日皇風遠。流年虜運長。天元吾未見。忼慨涕沾裳。</text>
<title>寒食。出郊記興。癸卯</title>,<text>楊柳濛濛度遠臯。谷風習習攬征袍。山溪水動魚䰄長。野土春升雀翼高。寒食踏靑三月好。老農垂白百年勞。閑忙憂樂終無極。且喜田家有濁醪。</text>
<title>僦居東林。病思無憀。偶賦長句。寄李尙絅 文輔。</title>,<text>踈懶年來罷百憂。睡回遅日在簾鉤。柴門地僻山禽囀。花塢天晴野馬遊。文字意深堪寂寂。功名事遠更優優。何當與子同携手。料理西江一釣舟。</text>
<title>尙絅次韻來。更步却寄。</title>,<text>花落花開了不憂。月輪圓盡又如鉤。風塵他自公侯夢。天地吾將造物遊。酒態步兵踈禮法。文章曼倩近俳優。滄洲有道終非遠。努力須撑上瀨舟。</text>
<title>夢與堂春集</title>,<text>春日觀棊李子堂。葛冠欹側未停觴。朱砂點綴唐詩好。白蠟分排宋韻強。堦草有花蜂掠去。水芹和土鷰啣將。幅巾復有南隣至。柳外遙看君馬黃。</text>
<title>回文</title>,<text>寒雨夜鳴溪。薄雲春轉壑。歡來共酒樽。坐燕明華燭。</text>
<title>德哉將赴湖中。就余東林寓舍爲別。次歐陽公韻。書其扇。扇中盖畫山水騎驢子。</title>,<text>水墨松柟色。騎驢山路幽。君行當畫意。此事正風流。細雨花村暖。淸江蘭棹柔。相思在何處。孤月禁城頭。</text>
<title>再疊前韻。酬德哉。時竹里兪台丈 命弘 休官居湖中。上六句。盖屬意兪公云。</title>,<text>夫子竹溪上。柴門琴瑟幽。雲林供老境。風浪就安流。晩釣池光靜。春畊土脉柔。君歸眞適意。此別漫回頭。</text>
<title>次劒南韻</title>,<text>芳草靑靑里巷深。葛巾瀟灑擁書林。棋閑不計高低手。詩健聊知少壯心。茆屋閉門渾謝客。柳陰滿地自鳴禽。長貧未損淸狂事。酒債空時且獨吟。</text>
<title>齋居。次劒南龜堂自詠。</title>,<text>倦枕猶橫卷。齋居每整冠。黃塵無奈熱。白酒未妨寒。貧賤多高士。安危幾達官。殘棋收戰伐。一笑我心寬。</text>
<title>敬次家大人追憶白雲山。次歐陽公罷官後述懷之作。</title>,<text>昔我游曹溪。三宿勝公廬。林泉佳窈窕。儔侶歡邀呼。芒鞵極便捷。徑步舍肩輿。長歌懷隱士。短衣雜樵夫。流連百壺飮。淸興特紆餘。西歸困風塵。市井無曠墟。經年常謝客。庭草不知鋤。花時只養懶。蓬戶聊藏愚。禪居復何如。有懷空作書。白雲望更遠。何日賦歸歟。</text>
<title>次德哉竹里酬唱韻。因使却寄。</title>,<text>竹里深深舊卜居。主人無事理琴書。溪巖獨往題詩遍。鄰曲相尋步屧徐。幽圃帶山來遠鹿。大江通海食長魚。知君正自西歸懶。桂樹陰濃暎素裾。</text>
<title>稽山宰李夢與被劾家居。次余前日所賦劒南韻。辱贈求和。漫復酬謝。</title>,<text>薄宦三年謗議深。蕭然襆被就園林。閑看天地陰晴色。遙識雲霞隱顯心。漠漠柳風無定燕。濛濛花雨有棲禽。狂塵不擾高人事。且具匏樽一醉吟。</text>
<title>夢與家池荷盛開。走詩邀余。次韻却寄。</title>,<text>塘水發芙蓉。淸芬眞可揖。但恐淤泥深。泥深蛙閤閤。</text>
<title>與舍弟步屧過夢與。夢與又有二絶句。輒次一首。</title>,<text>主人每有客。相逢無拜揖。披衣坐不歸。荷氣生池閤。</text>
<title>戱奉夢與</title>,<text>稽山太守昔繁華。鏡水乘流采芰荷。一種風流還淡泊。半池香藕雨聲多。</text>
<title>次劒南幽棲韻</title>,<text>地僻且安棲。柴門流水西。雨雲炎易盛。烟月暝還低。傲兀書林卧。淋漓酒榼携。寒龜眞用靜。未害尙蟠泥。</text>
<title>寄題扶湖翁聾瞽窩</title>,<text>扶湖翁新成小堂。名之曰聾瞽。夫聾瞽者。廢疾之謂。翁吾知無是疾。而乃以此稱焉何故。盖其意至微且廣。有未易言者。家弟德哉旣爲之記。予故畧爲四韻詩。以發其旨。亦自附於落成之頌云。堂名聾瞽意頗奇。請說翁非聲瞽時。天籟有聞聊隱几。風塵不見且彈棊。爲貧爲賤終何病。無是無非却似癡。自古聦明妨大道。莊生曾亦托支離。</text>
<title>西湖泛舟</title>,<text>秋色江聲滿遠天。中流歌歗不停船。洲空白鷺娟娟下。岸轉靑林冉冉前。野照滅明猶雨墮。渚陰重疊有雲懸。藏身城市眞聊爾。濯足滄浪更浩然。</text>
<title>九日。送李子由 箕重 歸湖中別業。</title>,<text>西齋掌議事堪欸。北闕上書心自哀。千里大歸惟短褐。百年輕別且深盃。風霜淅淅鴻初去。江海悠悠鶴未迴。九日寒山正搖落。閉門秋雨菊花開。</text>
<title>陪家大人。遊淸潭。高陽使君 李公廷燁 與其弟季和 廷爕 及洛下諸公來會。醉次席上韻。</title>,<text>長林繫馬落丹楓。古石寒藤左右同。山雨泠泠風滿袂。醉來仍坐水聲中。其二華嶽峯尖秋色來。丹楓潭水照行盃。東林欲去聊停馬。落日題詩滿古㙜。其三連峯秋色水亭前。霜落千林老菊懸。白石蒼松便醉卧。滿天風雨更翛然。</text>
<title>讀書雲水庵。有行凈上人來自安邊之雪峯。通經有道氣。與語可喜。聊書長句贈之。</title>,<text>袈裟掛錫卓亭亭。禪誦中林鶴對聽。雲水遠來迦葉鉢。雪山深處法華經。松壇片月齋心白。蓮炷孤烟合掌靑。吾道世間塵妄混。緣渠還欲問惺惺。</text>
<title>余與妻孥就煖于廣陵之水村。會家大人將向金嶺庄舍。歷臨于此。喜次劒南韻。</title>,<text>牢落蓬門歲暮心。滿天氷雪尙玄陰。風塵避世靑山淺。烟火依林白屋深。書卷正緣無事讀。詩篇還作不平吟。吾廬只在梅坪曲。明日騎牛且去尋。</text>
<title>敬次家大人韻</title>,<text>踈木川原逈。人烟八九家。天寒頻落雪。山靜自舒霞。籬月晨鳴杵。鄰燈夜績麻。溪南春已動。且去賞梅花。</text>
<title>疊深字。以申叨侍之樂。時聘君亦自洛來會。</title>,<text>琴几淸言樂此心。曉窓孤月欲流陰。樽前酒氣春還早。簾外山光雪擁深。詩禮慚承夫子問。篇章忝續丈人吟。仙庄自去吾鄕近。他日歸來杖策尋。</text>
<title>敬次家大人韻。寄舍弟竹溪寓居。</title>,<text>歲暮離懷聽鴈聲。意中書札當逢迎。寒梅一樹垂垂發。知子江南此夜情。</text>
<title>南谷庄舍。敬次家大人韻。寄舍弟。</title>,<text>夜夢逢君語。朝書對使封。停雲明遠水。落雪厲深冬。湖樹傷離別。山梅笑病慵。何時南谷社。朋酒且從容。</text>
<title>陪家大人。自南谷還水村。夜沽酒羹艾。探次劒南韻。</title>,<text>松藤漠漠覆長溪。中谷雲陰夕已迷。寒雨遠村歸野犢。淡烟高樹宿山鷄。踈狂歌歗心猶壯。貧賤詩書道不低。一破世間煩惱事。梅花自發蓽門西。其二風塵世事不勝悲。鄕里爲鄰尙有期。烟樹水村賖酒夜。雪簑金嶺訪梅時。高懷彭澤歸田賦。晩計伊川擊壤詩。自古山林存大道。秪應徑去莫須疑。</text>
<title>次聘君韻。奉樂溪李公 秉鼎。</title>,<text>川氷蕭瑟雪娟娟。小幌深罏意自便。窮巷偶吟三日病。樂溪虛負一宵眠。書來嶺月初升後。期在山梅未落前。須識騎牛眞有趣。會將歸去兩翛然。李公頃嘗來訪。會無馬未果就謝。李公要余騎牛來訪。故篇中及之。</text>
<title>騎牛訪樂溪</title>,<text>山木風高不整巾。野田孤下翻翻。牛行牛止聊忘路。日暮歸來烟起村。</text>
<title>樂溪。與李公及其㣧 弘重 夜飮。得泉字。</title>,<text>樂意雲歸野。生涯鹿飮泉。田家留客好。山月向人圓。縱酒通寒夜。高歌見遠天。盈盈謝庭樹。芳袂得相聯。</text>
<title>雪屋悄悄。頗思前夜之會。復次歸字。奉樂溪。</title>,<text>松下氷潭白石磯。磯頭朝別主人歸。川淸或駐吾牛飮。歲暮頻逢旅鴈飛。雪屋懸燈寒悄悄。烟林升月靜微微。山窓卧憶前宵飮。醉墨餘香尙濕衣。</text>
<title>次舍弟竹溪酬唱詩軸韻</title>,<text>雪擁西湖白竹扃。西湖處士梅滿庭。蘇家少弟留作賦。廬嶽上人來聽經。高車駟馬有何好。行酒鼓琴忘我形。風塵萬事生老病。自古雲山靑復靑。右述主人公之賢。能有湖山琴酒之樂。賓主文字之美。以爲頌。再上江南白月峯。纖塵不復滯心胷。人情數醉新豊酒。旅食頻鳴古寺踵。鴻鴈飛飛空自去。梅花眷眷獨相逢。故園今夜同歸夢。風雪柴門澹井舂。右述吾弟德哉覊旅而得賢主人。以能有觀游自遣之興。鄕里生涯尙拙謀。今年借宅水村幽。僧猶可學聊安夏。士不能耕敢怨秋。旅鴈盡離山北口。寒梅多在瀼西頭。商量久已拋吾道。浩蕩江湖自白鷗。右僕家貧計拙。不能有主人公之樂。而有吾弟覊旅之憂。故以自述。</text>
<title>寄舍弟竹溪寓居 幷序</title>,<text>自吾弟客湖中。吾又棲遅鄕曲。聞問堇月一至。而起居飮食不相接。歷秋而窮冬矣。然觀其所爲書與詩。知吾弟游居文字之興。與吾同者皆是也。盖吾弟携室家旅食兪大夫之鄕。而吾就煖于外舅田舍。妻子從焉。其居處同也。吾前月遊雲水菴。遇雪峯山僧行凈。僧通經識高妙。以爲難得。因與談文章。久之忘去。吾弟於安谷寺。得性賢長老。作詩稱與。至比之遠公，晦堂之流。其所與游又同也。吾讀韓子書。而吾弟又讀韓子。吾弟從兪大夫詠歌相和。烟雲雪月朝暮之變態。無不賦也。吾又爲詩以屬外舅。外舅爲詩。又使余賡之。此其文字之興。又與同也。吾兄弟各處數百里之遠。而其所事爲。無一不同。有若相視而慕效者。斯不已奇乎。雖然吾在此。甞奉家大人杖屨。問酒水村之西。訪梅金嶺之北。紙窓人靜。夜聞棋聲。朝出而獵。左鸇右鷂。歇驕重環。鶉飛我前。牛歸緩緩。夕陽在野。草屋松扉。氓夫煕煕。載斟其酒。載言載笑。載其夷愉。歌以詠之。于斯時也。吾又甚樂。而吾弟不能同也。由前之同者而言之。則雖千里之隔而其樂自如也。由後之不同者而觀之。則雖一日之近。殆不可相捨也。方春向和。吾將與吾弟。奉父母東歸。躬耕漁以爲養。兄弟姊妹。並屋以居。源源相樂也。當此之時。雖欲其不同。難矣。遂書此以爲序。繫之以詩。任城送弟客駒城。兩地生涯一㨾情。天下好書觀海渾。老蘇云韓子之文。如長江大海渾浩流轉。 雪中佳句對氷淸。儒禪交契惟茶酒。妻子歸來共菜羹。秪是庭闈吾更近。常隨杖屨到梅坪。</text>
<title>幽居無聊。溪南鄭叔範 纘楷 寄詩來。依韻酬謝。</title>,<text>里巷柴門隔小溪。文殊山入廣陵迷。村翁地僻多乘犢。野女家貧秪養鷄。晩碓無人烟遠近。寒林有路雪高低。黃昏買取東隣酒。欲訪梅花過水西。其二山齋牢落對寒天。山外風塵日漠然。遠客欲歸梅已發。高人不至榻常懸。林泉今古孤明月。門巷東西一翠烟。終是幽居吾逆旅。愛君丘壑也能專。其三巷南巷北雪離離。着屐相尋又一奇。解道梅窓春色早。逢君却憶圃翁詩。鄭養梅來詩。有賞花賦詩之語。</text>
<title>偶過南村</title>,<text>平烟漠漠蓽門開。偶過村南散策廻。寒野癡雲和雪下。淸灘悍水裂氷來。田間細綠多逢麥。籬隙踈明或見梅。來日嘉平新酒熟。四隣相勞有深杯。</text>
<title>敬次家大人和聘君詩韻</title>,<text>柴門琴瑟世人踈。雪滿幽蹊也不除。蕉鹿本知隍下夢。銅龍偶侍席前書。官休况敢談溫室。道廢終當隱弊廬。鄕國靑山待杖屨。落梅烟月夜窓虛。家大人纔拜桂坊官。一侍講离筵而遆。聘君詩。盖屬意於此。故篇中云。</text>
<title>昨年洞陰谷雲之游。余與諸君。盖甚樂之。至今離居幽寂。而益念當時事。意未甞不在七松籠水之間矣。輒依來韻。聊寄文遠。文遠見此。想亦逌然而作矣。甲辰</title>,<text>仙縣春遊各少年。向來豪縱尙依然。曹溪濯髮淸流逈。華嶽題名白石圓。舍弟高吟隔花聽。山僧先醉倚松眠。于今活計還踈澹。卧對寒梅雪滿前。</text>
<title>敬次家大人水村精舍韻</title>,<text>琴几歌詩數奉君。洞天春思滿寒雲。眠鳧水靜惟將子。巢鶴山深似絶羣。棋爲不言終日對。酒緣無事與人分。家有新醪。以一壺送溪南鄭生。 文殊南畔林泉好。吾欲移家謝世紛。</text>
<title>敬次家大人韻。奉別艮菴李公 喜朝 移謫鐵山之行。</title>,<text>風雪吹征馬。心悲未敢言。今朝漢水渡。何日鐵山村。玉塞踈音信。瓊樓有夢魂。艱難深學力。談笑且淸樽。其二鰲老曾遷謫。沙翁有贈言。歸雲鐵嶺路。斜日穆陵村。往事堪流涕。今行又斷魂。風霜無限意。都只寄深樽。</text>
<title>疊前韻。寄聘君別業。</title>,<text>松竹參家計。桑麻聽野言。寒山惟對戶。流水不知村。靜養春霞氣。淸餐曉日魂。吾行應早晩。請更置琴樽。</text>
<title>奉和舅氏韻</title>,<text>少小功名意。先生鬢已皤。文章三禮賦。心事五噫歌。貧賤成眞逸。澆漓葆太和。南山參燕坐。勝似俗人過。</text>
<title>題武人草堂</title>,<text>當年戎馬氣堂堂。身領中軍敎戰塲。歸卧柴門春晝寂。兵書一部在繩床。</text>
<title>淸明日。從歸菴李丈 光朝 遊鳴巖。</title>,<text>春潭遅日照徘徊。春樹離離野鳥來。流水聲中行緩酌。高松影下倚層㙜。山含遠翠晴初合。花勒餘寒晩未開。何幸此身隨杖屨。醉中歌歗不須回。其二風塵城市苦低佪。是處相期載酒來。古峽春生棲鸛樹。淸谿水滿釣魚㙜。遙林冉冉雲猶起。稚柳濛濛雨始開。惆悵鳴巖仙去遠。野花無數鳥空回。鳴巖。卽李公海朝故居。</text>
<title>次歸菴八詠韻 爲李丈作</title>,<text>高高望海嶽。俯見往來潮。鯨波中浩蕩。鵬路上逍遙。右海嶽望潮。的的通瑤海。亭亭到鉢峯。山河秋色遠。桂樹欲陰濃。右鉢峯翫月。潑潑天機熟。觀魚莫打魚。魚游余亦樂。余樂孰知余。右猪浦打魚。雪野飛鷹疾。乾坤一縱觀。斜陽當馬首。扶醉上雕鞍。右鶴峴觀獵。莽濶滄溟裏。浮來一面山。歸帆何處宿。薄暮下烟灣。右浮山暮帆。冥濛侵澗樹。蒼潤入山楹。日出餘霏散。依然見武城。右武城朝靄。縹緲海雲寺。鐘聲只隔林。高僧寬酒戒。聊與爾相尋。右雲菴尋僧。野店柳花亂。壚頭春酒沽。竹林添四子。爛醉卽吾徒。公與里中耆老十一人。爲詩酒稧。右石村沽酒。</text>
<title>奉聘君遊鳴巖。李利川 潗 丈來會。煑花賦詩。</title>,<text>有此鳴巖好。能令游子娛。風微低鷰翅。水暖長魚鬚。白石淸堪坐。香醪醉更沽。閑來每獨往。花鳥亦知吾。其二繫馬平巖側。期人坐不歸。林光延遠翠。石溜散餘霏。興劇頻行酌。神淸爲振衣。逍遙鄕里樂。浮世也應稀。</text>
<title>文溪精舍。同士受次劉屛山韻。</title>,<text>靡靡風槐鳥雀驚。春天落雨尙寒聲。身隨野水娟娟息。意領山雲漫漫行。棋局靜觀浮世理。酒杯深識故人情。哦詩未覺沈思久。留取靑燈徹夜明。</text>
<title>西湖汎舟</title>,<text>春風倚棹土亭村。三月江城糓雨昏。楊柳欲深聞野鳥。桃花未老食河豚。樽前綠浪平相暎。篷底靑山轉若奔。直到海門方快意。汀沙日落已潮痕。</text>
<title>吳伯玉 瑗 與李汝剛 秉健，李章五 命德 會于鍾巖別墅。折簡邀余。余卽赴飮。賞荷淸池。濯足流泉。留連一宿而歸。得詩各數篇。</title>,<text>石徑行彌靜。山亭到更遅。百年浮世意。十里故人期。流水彈碁聽。高霞拂袂知。荷花正撩亂。留我賦新詩。其二水閣虛多響。棋樽對醉吟。泠泠雲出洞。翳翳日橫岑。側岸槐杉靜。方池菡萏深。逍遙少似我。歸路坐藤陰。其三懶散都妨俗。風流獨見君。川明數騎暎。林靜一蟬聞。野酌無淸酒。山家有白雲。玆游已澹泊。吾意更慇懃。</text>
