<title>自嘲 丙午</title>,<text>文章眞富貴。經學大功名。誰信茅茨裏。剩留不世榮。</text>
<title>次李使君韻。留題披香亭。</title>,<text>明時自愧忝淸班。湖左名亭幸一攀。三載頻經千里役。百年難得一身閑。依依岸外遠川樹。點點天涯何郡山。樓下寒塘秋已晩。敗荷零落似衰顔。</text>
<title>戲贈長城琴妓秋聲介</title>,<text>蘆嶺雖高大路平。片時馳過古長城。紅纓玉勒郵驂出。翠帶羅衫郡妓迎。峽雨未能留遠客。瑤琴只自怨秋聲。離歌纔了怱怱發。似是無情却有情。</text>
<title>文谷座上。論西湖峴山形勝。口占一律。</title>,<text>西湖月出擅形勝。風景依然卽嶺東。靈石巧將天吼似。名藍偶與洛伽同。峰巒矗矗靑天外。島嶼茫茫碧海中。馹路歸時探歷遍。遠遊前後聖恩洪。</text>
<title>聞弼卿到京寄一律。兼呈靑田。</title>,<text>嶺雪初消關路平。臨瀛太守到秦京。長公病起饒閑興。令弟歡深奉壽觥。當日同遊大堤客。經春獨臥廣陵城。遠寄新詩當迎送。可堪烟柳繞歸程。</text>
<title>分望</title>,<text>分望從來有定限。敢將身世怨天公。所營分寸神猶惜。自笑崎嶇命本窮。榮閙豪華心久絶。公侯將相望全空。廣陵春水扁舟興。此事唯應付病翁。</text>
<title>早春口號 戊午</title>,<text>偶出騎驢過御街。忽驚春色萬人家。回頭搖蕩千絲柳。照眼分明獨樹花。老去漸能知酒趣。愁來那得禁詩魔。東風浩浩吹衰鬢。酩酊狂吟日已斜。</text>
<title>次黃佐雪後早朝韻 以下六首課製</title>,<text>霏霏曉雪似瓊塵。霽後金門景物新。影射火城光炫目。色和葱佩冷侵人。馬蹄凍蹋銀杯路。鶯語寒喑玉樹春。紫陌須臾朝日暖。消融亦是任陶鈞。</text>
<title>次吳溥玉堂齋宿韻</title>,<text>虛名來逼受全欺。玉署還驚歲律移。自是危蹤憂忝竊。非關名路歎棲遲。閑愁凌轢皆心恙。好事差池奈數奇。唯有拂衣江海去。逍遙庶可展襟期。</text>
<title>次吳國倫除夕韻</title>,<text>家家椒酒喜迎新。永夜沉吟獨損神。風雨一塲碁換世。江湖千里夢催人。愁經玉署驚心地。厭看玄都滿眼春。欲作明年漁釣計。那堪一念繫楓宸。</text>
<title>次黃姬水落梅韻</title>,<text>漢女墜環瓊屑重。楊妃洗面粉痕空。芳魂寂寞西湖上。香信蕭條灞水東。初似殘星隨落月。更疑飛雪舞回風。莫言墮地成灰土。猶作新粧錦障中。</text>
<title>次楊愼古塞下曲</title>,<text>胡天漠漠但黃沙。校尉年年此建牙。寒早陰山先見雪。春回古磧尙無花。佳人夢灑閨中淚。壯士魂消月下笳。虜騎憑陵漢兵少。功成何日得歸家。</text>
<title>次李攀龍冬日登樓韻</title>,<text>風卷寒氛天氣淸。危樓落日四望平。騷翁自抱千端恨。飮客誰留萬古名。凍雪鏤銀山送色。氷江鋪練水沉聲。傍人謾說登臨興。不識龍鍾歲暮情。</text>
<title>聞崔汝和入玉堂寄一律。兼示貫之。</title>,<text>每恨浮名坐受欺。誰知君與我同之。差强人意唯君健。不厭羣情歎我衰。玉署直來多苦况。綾衾携處少歡時。廣津春水扁舟計。庶不全然負素期。</text>
<title>更次前韻。呈汝和，貫之。</title>,<text>弱拒甘爲猛挐欺。悔將羸卒妄挑之。君才衮衮師方壯。我氣厭厭鼓欲衰。盤馬已成摩壘勢。牽羊將見竪幡時。玉堂無事終南靜。正合詞壇請戰期。次韻 明谷詩壘眞遭老將欺。先驅示弱後張之。未應執弭爭雄長。不待交鋒已竭衰。毒手厭拳非浪語。陰符刺股怕同時。春來岳麓饒佳趣。更卜偏師白戰期。</text>
<title>村居漫興</title>,<text>時聽林鳩隔屋啼。雨餘庭草日萋萋。滄江日月身無絆。魏闕風雲夢亦迷。病用俗方詢野老。釀傳新法報山妻。明朝擬赴前村社。菜餠燖雞也自携。</text>
<title>廣津江村卽事</title>,<text>廣津之東有吾廬。廣津之道膏吾車。靑山數點黛色淺。春鳥一聲花意舒。久矣絶交山吏部。超然勇退白中書。江村耕釣亦多事。日暮歸來仍荷鋤。</text>
<title>聞自玉堂移除憲職書懷 二首</title>,<text>少時矜厲慕雲林。中歲蹉跎遂至今。雖免深源書恠事。敢期安石展疎襟。浮榮久覺爲閑物。除目何嘗損道心。寥落江居夜分後。詩成抱膝獨長吟。自笑羸疲一病身。誰能驅策耐風塵。甘從拙宦嘲粘核。敢向淸時歎積薪。眞洞烟霞尋舊屋。滄江漁釣趁新春。春來作社饒村興。漉酒烹雞豈顧貧。</text>
<title>次貫之韻</title>,<text>小屋新開迷浦潯。落花流水掩門深。閑來漁艇仍頻掉。病後村醪尙淺斟。與世無營眞避世。從心所好是安心。煩君他日容相訪。共岸華陽看碧岑。</text>
<title>病中雪夜書事 二首○丁巳</title>,<text>靜聽松風送響。閑看雪月揚輝。病裏雖停飮酒。愁邊那廢吟詩。四面千峰白雪。一輪萬戶明月。今宵欲訪閑人。何處相逢好客。</text>
<title>春帖 癸巳</title>,<text>春來作春帖。了無事可祝。朝飯啖一升。詎可望食肉。晡酒斟數杯。不必羡浮白。以此送生涯。富貴是何物。年來好靜觀。益覺神理熟。只擇善與惡。不問凶與吉。禍福何與我。付天以爲得。燒香點茶外。萬事都不屑。</text>
<title>余如槁木死灰者久矣。世間羅綺之想。絶於夢寐。昨夜栩然就寢。如貴公子者挾名妹。貞操豔貌。殆世所未有也。事頗恠秘。可悲可悅。而宛轉了了。不類夢中事。覺而異之。遂著于辭。丁酉</title>,<text>金釭射彩窔。澹澹色靑熒。錦帶醉公子。睡起芙蓉屛。佳人嫩未髢。翠髮巧相縈。天然古仙人。揚蛾撥金箏。座中縵胡纓。惡少氣頗獰。銀波頻曼眄。鼎坐片膽傾。腥血逬秋濤。匕首光如霜。向余前致辭。皓首不相忘。宛轉情未了。蝶隨春風驚。曲沼菡萏波。凄凄如酒醒。豈减人間樂。空餘夢裏香。宋玉太剛腸。錯笑楚襄王。</text>
<title>戊戌九月。夜夢在東郭。與周卿，子淵，愼甫，壽卿，知卿。徘徊東嶺。崔監牧亦與焉。時向薄暮。仍陟東山。松陰葱蔚。共誦淵明歸去來辭。約誦罷則休。冉冉而前數里許。老松數十。盤錯塞路。相與蒲伏其下。余失屨跣足。周卿亦跣足。前有一壑。幽靜窈窕。忻然散步。眺望移時。又有美酒。柳椷盛八梢及鰒魚。味甚珍。環坐擘而啖之。使婢酌酒酣暢。岳母似爲余辦者也。壽卿怕冷催歸。周卿厭其爲。余亦笑其俗氣未除。須臾酒盡。岳母又遣婢欲送秋露一壺。衆皆顰眉。余亦怐愗。顧謂婢酒後不宜以燒酒繼。更誡以淸酒或白酒。周卿從傍揶揄而戲。笑余辛勤經理。余不以爲恠者。盖周卿平日喜則輒笑故也。仍惺然而寤。其樂不可把玩。黯黯久之。豈往日楸江之遊。遺恨未散而發於此夢耶。可異也。詩以志之。以寄周卿諸友求和。戊戌</title>,<text>秋風吹我夢。翩然上東山。從我五六人。巾屨淸而閑。松雲襲人裾。路出蒼翠間。共誦歸來篇。放屐相後先。闌珊偃盖下。遂得壺中天。山深近黃昏。洞古鎖靑烟。幽趣政可挹。登眺皆忻然。雖無謝公妓。幸有淵明醅。畢螯方自持。莊蝶還相催。蘧然在枕席。坐失碧山色。爽氣久不散。悽悽有餘惜。我輩雖嚄唶。閱世頗先覺。奈何落塵臼。苦受俗累縛。向非一夢淸。此患誰能藥。有時神往處。天公不敢閣。何時買田去。占斷黔山角。抗手攬歸雲。擧瓢吸江月。誓遂徜徉計。不羨夢中樂。</text>
<title>挽李萬英大夫人</title>,<text>恭惟大夫人。先子之岳母。在余殊瓜葛。於兄實哺鷇。吾雖非自出。視同血肉受。起居阻湖海。尙喜康而壽。今秋忽承凶。驚怛心如剖。本家長安中。屈指稱富厚。金帛結姻媾。尊酒奉姑舅。後堂累錦茵。前楹揖紫綬。侍兒拂朱絃。歌謳哄左右。豪華詎幾時。零落一翻手。奇禍忽稠疊。所天厄陽九。零丁六親孤。流離喪亂後。就食江之南。田畒以糊口。抱孫日已久。拮据看漸阜。積粟有餘庾。烹魚恒滿釜。抗榭壓錦水。波濤盪戶牖。祀嘗供魚菽。歲時剩瀡滫。鹽井兼射利。丹穴擅世守。崩城等杞妻。築臺埒蜀婦。誰謂巾幗中。賢智素所負。心如丈夫雄。髯婦看已醜。衰老聽子孫。含飴到壽耉。奈何禍未除。晩節慘嘑叩。慈孫又先逝。天道果何有。悲疚纏末疾。奄忽辭塵臼。吾兄久淹留。春夏侍砭炙。慘慘對孤寡。血淚灑南斗。歲暮霜雪逼。悲風吹瀏瀏。欲往道路脩。天末空回首。窆不親相紼。奠不躬椒酒。慟哭眺東南。此恨終永久。</text>
<title>挽卞參奉摶 壬寅</title>,<text>先子昔屛居。晩節厭朋徒。惟君先侍郞。情義終不渝。所以兩家子。相視同葭莩。當時百不憂。我丱君未鬚。參差肩以隨。聯翩喜招呼。洎君叩盆後。作余少姨夫。世誼兼同贅。交情比舊踰。緬君遊泮日。白晳美如瓠。容姿旣擧擧。頗爲流輩趍。少年隨父官。歌舞遊名都。飮噉得所便。裘馬頗馳驅。自從侍郞沒。家事漸凋刳。喪患又因仍。觸事鮮歡娛。赴擧竟蹉跎。筮仕亦崎嶇。摧頹顔遂低。萬事失所圖。回看舊游輩。朱紫半已紆。屈指四旬餘。忽忽好事無。爲農廣陵上。衆口恒難餬。瑣尾田舍間。貧窶困逋租。營營念窮計。洫洫憂妻孥。拮据忍辛苦。奔走頻征途。嗚呼遘厲疾。神理不可訏。窮村病已革。藥物亦難須。慘慘那忍說。今古成須臾。毒厲忽熾蔓。賵吊皆踟躕。踰年未克塴。此事亦堪吁。念君賦命奇。欲說如含荼。官堇寢郞休。科纔蓮榜輸。龍鐘已可恨。籌筭胡未敷。少姨髮如漆。悲啼血滿襦。稚孤未婚嫁。呼爺哭嗚嗚。扁舟返故鄕。秋日丹旌孤。我居近馬溪。與君隣社楡。借貸傾有無。情味浹肌膚。看花同古寺。釣魚共前湖。此樂竟蕭條。晩計誰與俱。我從君逝後。危痾亦纏軀。冬春濱九死。經歲尙未蘇。榮衛日削弱。服藥漸槁枯。送不親奉引。奠不躬提壺。孤負平生誼。愧尤終難逋。緘詞謳相紼。血淚空沾濡。</text>
<title>挽崔進士錫齡 戊申</title>,<text>病夫閱人多。億中頗自伐。較量毫釐間。其法盖不一。受氣或不純。雖才未必達。賦形或不全。雖賢未必福。嘗求純且全。畜眼惟君獨。形而無不完。氣而無不實。其賢宜其福。其才宜其達。他日卿與公。舍公指誰屈。每見輒稱道。津津不容說。胡爲遽不淑。使我驚咄咄。思之不能得。茫然無可詰。徐思理之變。跖壽顔夭折。予奪太乖戾。所以於君失。從古或有此。亦非吾眼瞎。嗟我與君家。通家如骨肉。托契伯仲間。不啻膠與漆。尊叔卽我兄。尊從卽我姪。我稍一日長。撫君童丱日。往年居比舍。還往情愈密。君時服持重。斬斬在衰絰。往往叩君業。瓊琚獲寓目。下筆法山陰。綴賦泝湘蜀。意謂七日駒。終作薾雲足。科名果題鴈。妙妓如中鵠。華聞日駸駸。流輩不敢敵。庶期副吾言。自詑藻鑑的。奈何纏一疾。沉綿竟不藥。謝庭慘摧蘭。靑山忍埋玉。慈母失夜筇。寡妻悲晝燭。兩箇男與女。孑孑終焉托。豈獨親知泣。尙使行路慽。頃我臥沉痾。骨枯肉盡脫。君來見我驚。握手淚欲啜。孰謂未一年。乃反使我哭。健圽而病全。死生理難測。我病尙未除。戶庭僅匍匐。不能躬相紼。題詩愧冥漠。</text>
<title>布穀催春種 課製○丙辰</title>,<text>渚艾已䔩䔩。陌桑又箘箘。不待布穀啼。已識西疇春。雖使汝催種。奈此儂家貧。昨探葫蘆中。已充糝粥仁。無種可奈何。聽汝徒傷神。</text>
<title>奉送藥泉相公南公九萬燕行 丙寅</title>,<text>誰謂鴨水濶。相公舟再枻。誰謂燕山遠。相公車已熟。舟車往復間。愾愾賢勞獨。所以奉使意。爲公約略說。昔有種蠡輩。主辱期復雪。不憚賂句吳。一一中其欲。我願相公心。種蠡以爲的。不耻屈拜耻。不辱贖鍰辱。忍此耻與辱。能不亂大策。此非鄙人言。邦人所喁祝。贈貫之別語。發明此篇之義。下索覽之如何。</text>
<title>贈吳貫之燕行</title>,<text>吾弟啓燕行。衝暑苦炎熱。答云吾所苦。有甚於苦熱。車載二萬金。無辭貢于㺚。皆言此罰金。我王罪以贖。玆說甚痛憤。若將市朝撻。有便卽呈文。主辱期一雪。彼又不我聽。埋骨燕山側。余曰殊不然。子其聽我說。文王事昆夷。太王事獯鬻。犬馬珠玉外。爲辱不二一。仁祖法兩聖。畏天身則屈。當其丙丁間。彼言不敢越。內修而外供。三世如一日。隱然復雪意。未嘗頃刻奪。奈何罰金事。子獨以爲辱。容有加於此。尙且忍而活。常時所行事。事事踰金罰。君獨指罰金。此吾所以惑。區區伸小忿。緦小功之察。况彼卽犬豕。犬豕又何辱。善言不足喜。惡言不足怛。贖鍰因厥慍。徵貨奈素習。分別是與非。呈文反爲辱。看彼種蠡輩。蠻夷極微屑。觀其飫夫差。一一中所欲。及夫沼吳後。事業光簡牘。惟此耻罰金。拘攣妨大策。君如或聽瑩。厥旨未昭灼。胡不持此義。質之南相國。</text>
<title>挽李佐郞台揆 丁卯</title>,<text>憶昔在東郭。少小相戲狎。惟我及周卿。曁君三同甲。弄瓦巧取雋。戰碁恣相确。擲柶樂歲時。乞利效厖㹱。獵酒遍郊坰。遇景得騁目。俱爲少年樂。老境嗟無及。世誼兼故舊。交情比鶼𪆙。雅量推周卿。峻潔唯君獨。以余無所似。自慙蒹倚玉。世事足堪歎。我病君蠖屈。出沒風塵中。一第終見厄。蹭蹬從蔭仕。遺愛在二邑。僕簌刑部郞。才命不同的。晩計在郭外。生理極蕭索。與余居止近。公餘必見歷。握手必話舊。杯酌必爲設。君猶尙平康。飮酒不餘瀝。我鬚白如雪。君髭黑似漆。我齒餘三箇。君恒嚼大肉。我衰而君健。健羨方自切。奈何過余飮。未滿日五六。承凶在俄頃。痛哭淚相續。君以相家子。文行罕與匹。摧頹困管庫。殆非意所度。揆以乘除理。固宜享艾耋。問天胡不然。天道不可詰。我自周卿沒。端如夔獨足。伊况君又喪。冥然瞽失策。孰謂病者存。而使健者圽。賴有二佳兒。文學自贍博。俱能繼家聲。餘慶日陸續。我又添暑病。適當辭諫職。不得哭送郊。惻惻愧冥漠。</text>
<title>少年行。贈內兄李生咸。戊子</title>,<text>李生才調脫尋常。少年意氣何堂堂。又是姿容美丈夫。周郞錦瑟荀令香。大鵬一擧九萬里。他日功名不可當。昔逐城東游冶兒。西郊南陌恣顚狂。濟州猪笠漆映日。杭州綠綾裁爲襠。淸歌愛唱江南曲。小舞學得邯鄲娼。宮傍女兒腰如束。一笑令人堪斷腸。於義洞中黃昏月。相逢轉眸解明璫。滿城桃李次第開。春風楊柳垂宮墻。斜陽走馬烏城宅。半夜飛丸白峴坊。俠名不肯數金稱。電椎何曾饒鄭郞。千金重軀一朝輕。積謗薰天嗟可傷。比來折節獨閉門。馬史漢書盈舊箱。日本寶刀藏玉匣。大靜生駒馽絲繮。自古失身貴自新。向來薄倖何用妨。况公家世生公侯。願君立志須自强。天生君才豈無用。不靜邊塵卽登廊。他時富貴生光寵。應悔曾游游俠塲。</text>
<title>夢與晉叔族翁論詩。因飮薄酒。戲效東坡薄薄酒詞。有請君愼莫愛良田。請君愼莫愛良馬之句。盖取鐵木太祖美色名馬。人皆悅之。一有繫累。卽能壞名敗德之言之義也。餘句都不記。覺後仍吟成篇。己丑</title>,<text>請君愼莫愛良田。薄田力作同良田。請君愼莫愛名馬。駑馬着鞭等名馬。名馬良田愛者誰。近來枉死金成之。良田萬頃馬千駟。他人耕種他人騎。鐵象馬悲曲都統。城南田殺竇魏其。箭野新菑春尙綠。竹洞追風曉無迹。願騎駑馬耕薄田。優游可以終殘年。次韻 晉叔請君愼莫愛良田。爭民起奪惟良田。請君愼莫愛名馬。折脰播腦惟名馬。駑馬安薄田便好者誰。良田畏名馬憂孰知之。享萬鍾有千駟。藜藿羹欵段騎。二者之分憂樂異。分外之求將曷其。中都豪貴林廉宅。曲欄朱閑摠陳迹。無將薄田羨良田。駑馬可以終吾年。</text>
<title>白雪行。同諸君賦。</title>,<text>白雪壓山山鬼泣。朔氣閣天天關折。從他謝女闘飛絮。坐使潘姬失顔色。瓊瑤眩眼滿天地。郭外靑山靑不得。高堂暖酒不覺寒。坐上人人梁苑客。請君拋却歲晏心。聽我一曲陽春吟。</text>
<title>採地黃歌 庚寅</title>,<text>莫云叔夜被殺戮。且見淮南上空碧。兵解其如司馬氏。丹成無奈秋風客。華岳春騎二茅龍。瑤池書借三淸鶴。千歲霜淸上黨松。一朝雲飛偓佺栢。顧我平生蘇門嘯。汗漫靑天海上訣。少年伐壽近黃泉。晩歲何功拋白髮。願作靑門地黃仙。日暖丹田生紫烟。</text>
<title>奉送任萬休丈赴寧海任所 癸巳</title>,<text>先生昔隱太白下。幾年烟霞夢太白。三年泣變松楸色。一麾行看竹嶺雪。故山不妨尋花竹。仙島何曾費時節。老鼉吟風窟宅尊。巨鰌跋浪滄溟窄。由嶺東南一千里。方丈蓬萊左右揖。歸來倘叩錦囊底。不盡千秋海嶠色。</text>
<title>釣魚行。奉送任萬休丈赴江陵任所。丙申</title>,<text>上世嘗有龍伯人。一釣六鰲三山掀。又有會稽任公子。大釣釣魚滄海翻。壯志濩落少適用。但令異事留乾坤。先生氣壓二子者。文章炳炳德業尊。仁義以爲竿。道德以爲綸。欲釣淵魚於潑潑之泉源。假與此輩生並世。有如斥鷃之於鵬鯤。莘野磻溪丈人行。下視隆中富春如兒孫。垂竿昔隱東海上。佩竹今承北闕恩。六鰲骨爲千古霜。五馬嘶向三山雲。海上烟霞自明滅。群仙遊戲共綽謔。且與永郞可伯仲。若遇盧生便僮僕。口吸雲氣隨飛龍。翩然上下于碧落。有時廣張六百釣。更費香餌五十犗。釣得鮦魚碧海底。膾炙飢民徧鼓腹。不然釣魴棄陽鱎。笑寄廣陵江上客。</text>
<title>挽洪善長九成 丁酉</title>,<text>倐忽彈指古與今。幾駕神馬乘尻輪。卽論往來弄丸間。殤子籛鏗俱一廵。沈郞淸瘦滓穢去。王弼道富年運貧。七尺已付千遍呪。兩兒猶作雙麒麟。靑陽未滿三十秋。玄宮長鎖一萬春。乾坤牢落我獨存。吊影堪悲滯風塵。自從辱居姻婭後。期君魏舒以上人。屋後烟花傍古苑。尊酒詩篇春爛熳。十年人事笛纔橫。千古徽音絃已斷。跰𨇤君同子桑戶。編曲吾慚孟子反。凄涼古宅泮橋側。寂寞新塋湘水畔。秋山眼冷蘿花白。渺渺游魂更何適。輀前一聲薤歌裏。淸淚涔涔灑空碧。</text>
<title>奉寄任鍾城有後丈 己亥</title>,<text>先生之道可以澤斯人。先生之文可以牖凡民。君門汲引多少年。漢庭不識任安賢。白首今爲邊塞吏。奮髯抵几任軒輊。廣陵春樹夢中碧。一曲胡笳敗人意。關雲霮䨴接地黑。磧雪晧旰漫天白。北走靺鞨萬里餘。大海盪洶歸尾閭。落日彎弓石作虎。暮年佩符金爲魚。末路誰憐素計違。平生自與靑雲疎。賤子受知也不淺。邇來屢枉空中書。去年再拭淸灞淚。每愧長者虛延譽。江城歲暮驛使稀。欲寄新詩春草生。西山依舊靑刺天。回首時時惹人情。行人臨發尺素短。好音幸付南來鴈。</text>
<title>憶昔行。贈趙光甫。庚子</title>,<text>憶昔靑門如昨日。與君兄弟同膠漆。靑春酒賦恣驩謔。左以善長右平叔。君爲齠齕少弱弟。驊騮未馽鷹未翮。回首悲歡僅十載。眼中光陰駒過隙。人間賴有季方存。泉下空悲子安歿。喜君頭角已嶄然。愛君文詞更淸絶。孔融豈少禰正平。魯肅還驚吳下蒙。交道何妨付季孟。嗣宗自是憐阿戎。看君落筆眞勁敵。使我捲甲如畏蜀。昨者曾同澤宮射。老師宿儒皆辟易。肉眼終迷日五色。惜哉未消孫山厄。龍門暫蹶千里蹄。羊角終摶九萬翼。病夫嚄唶少成事。鑄錯空消六州鐵。少時文章學西京。半世居然成濩落。虛名藉藉凌雲賦。未逢狗監空自惜。平生一當單于心。今日那知困三黜。顧慚虛辱侍郞知。延譽頻蒙拂拭情。劉惔片言孝廉重。季布一顧曹丘榮。非關調護故人子。自有骨肉通家誼。當年任昉盛交遊。唯有孝標憐孤稚。含恩敢向長者說。感激每覺肝膽立。茅齋溫祚古城外。歲暮歸家但一鋏。君門射策不得意。江上爲農歲衰惡。江雲拍拍天欲雪。北風吹衣黔山黑。閉門饑臥動悲吟。却笑壯志還蕭索。吟成寄與同心子。政欲博得崑山玉。</text>
<title>自嘲 丁未</title>,<text>艮齋先生何許人。半世落魄飽奇窮。齒落耳聾兩脚蹇。年未四十成老翁。詩同孟郊欠一第。文似相如病百倍。十年藥石孰可忍。一疾膏肓終未差。身上無非受苦惱。胸中未嘗萌怨懟。賦性狂褊俗不恕。行身癡拙世所背。自許經綸衆輒笑。每談世務人愈駭。早歲文章嗟枉費。晩學一事眞有味。問君此學安所受。又問君師在何地。不受明師函丈間。只在靈臺方寸中。日日點檢無他事。唯知不負主人翁。不帶革帶不幅巾。不能長跪與低言。不持淸議罔世利。不解交遊釣美官。往往被髮似嵇阮。歌呼酒賦窮吾歡。賢者趍名愚者利。終日擾擾不能止。余獨無爲於其間。俯仰只有天與地。末俗誰知有心人。擧世爭笑無腸客。時行時止縱不敢。不知不慍庶自力。家人不識甚魏舒。里閈昧名同列子。譽謂騷墨毁謂癡。毁譽不過如斯耳。呼牛呼馬口便喏。誰聖誰狂心自識。安知此翁之心事。雖畸於人侔於天。有時超然神往處。明月滿襟風無邊。</text>
<title>挽朴其昌</title>,<text>女有紅顔命必薄。士有高才祿必折。五福皆歸塵垢囊。才子何言空掩抑。誰能梯天問司命。此理茫茫不可度。吁嗟昌乎亦此流。豐者其才嗇者福。胸中磊碨惠五車。筆下睥睨唐四傑。擧擧淸標玉爲樹。亹亹玄言瓊吐屑。蓮榜題名亦早歲。澤宮屢雋人誰敵。每惜文彩合玉堂。只恨生地如端木。豈料無嗣又無年。欲說令人增愴惻。箕裘一第更蹉跎。江鮑傳家竟誰托。劉塚誰憐桂無花。謝庭終悲蘭未茁。我有一言慰冥漠。君若有靈肯我說。吾聞畸人合於天。得於此者於彼失。人間受用太埋沒。地下修文定輝爀。况是乾坤一瞬間。殤短彭長亦同轍。區區得喪奚足論。細故芥滯非賢達。嗟我兩世先分厚。情義通家如骨肉。復兼葱竹近居止。少時同師長同業。張軍子欲嚴韅靷。專塲我亦持矛戟。猥蒙推我似晉楚。豈敢視子如滕薛。羡君寸管能測候。愧我大瓠空濩落。若論大篇舂容處。或可吾差長一日。每到程式騈儷語。精妙使我甘屈膝。期將此樂了此生。豈意如今便陳迹。細雨淸尊廣陵夜。一榻論文那更得。鍾期旣死牙絃斷。郢質已亡風斤輟。我患跰𨇤阻相紼。欲題哀詞淚相續。嗚呼送君長已矣。去去好入寥天一。</text>
<title>送李仲車積赴新溪任所</title>,<text>昨別子淵宰奉化。今送仲車令新溪。二子醇眞俱可人。胸中坦蕩無町畦。我性褊滯寡所合。獨於兩友成莫逆。往歲與君居比舍。益得心事情愈篤。霏霏細雨城南夜。幾度論心動春酌。回頭已作數年事。我病經年臥東郭。君方供劇在水衡。適値邦家築世室。董役山阿積閥閱。受賞勞勩超資級。君今得縣調山峽。豈嫌民殘與邑僻。官門牢鎖絶過客。訟庭無人少簿牒。舊書穩讀春晝靜。新詩欲就山花落。解渴政可咽酸梨。佐酒時復持雉脚。嗟君宦味也不薄。始知福人耐淸福。我從年來益蹇連。萬事自斷休問天。况復跰𨇤心地閑。雞肋早捨名利間。每送故人作太守。獨守書帷飽寒酸。空將別恨供苦吟。濺淚驚心花鳥闌。</text>
