<title>題畫簇</title>,<text>遠岫日沈霧。寒江風起波。小溪穿柳去。隔岸有人家。</text>
<title>林公眞 檜 丈書送近來所作。要余和送。竝次其韻。兼示金去非同和。林公謫居梁山。</title>,<text>海畔荒墟卜弊居。此生端合返耕漁。孤臣自古寧投水。慈母如今幾倚閭。身作羈囚傷老大。志懷經濟墮空虛。離愁錯莫終難遣。魚雁來時數寄書。其二一身憔悴瘴溪頭。念及平生涕自流。有主河山窺碧眼。無人野渡閣孤舟。凌凌雪色侵衰鬢。蔌蔌風威襲弊裘。居限洛江分左右。夢中神契是從遊。其三草喚愁生日蔓滋。魂招不返夢遲遲。交尋舊路羊曇哭。賦就新騷宋玉悲。當日場圍爭韅引。暮年江海共襟期。傳筒錯莫珠璣滿。揮筆何曾費締思。其四七年山鬼慣從遊。幾羨周南任滯留。望恨空勞千里眼。古鬼名 歸心已折大刀頭。杯中有物今須盡。道外無名不用求。同病如君憐更甚。新篇聊復寄冥搜。其五十月天南號北風。雨來連日氣冥濛。詩魔有約尋三上。酒聖無何復一中。高義如山眞可仰。雅言觀海孰能窮。殊方幸得新良友。幾度昏愚去蔽蒙。其六天涯節序更殘年。草草浮生意悵然。迹似鴻飛眞一瞥。身如蠶老已三眠。新詩詠歎心還爽。故國瞻望眼幾穿。自是聖朝無棄物。長沙肯使賈生捐。其七逍遙得意是眞遊。一枕黃粱任去留。忽忽窮愁山似積。悠悠往事水同流。美人天末傷遲暮。凶歲民間似未秋。桃李成蹊楊柳艶。凌冬松柏有知不。</text>
<title>次前日所送林丈韻。錄奉金去非。</title>,<text>相思一夕劇愁來。懷抱何緣得好開。萬事浮生添白髮。十年陳跡散黃埃。風霜消鑠身猶健。鄕國懷思首屢回。日暮人間途更遠。子山詞賦有餘哀。其二獨秀靑靑度歲寒。斬餘松柏未摧殘。詩鋒精猛強難敵。酒德薰香鄙自寬。義烈眞堪傳百代。英名奚但擅三韓。莫言末世人才眇。行事如君古所難。其三詩律傳來眼忽明。病身吟了氣還生。劇知宋調兼唐調。誰信文星帶酒星。三疊有時歌出塞。五言無賴作長城。濡毫欲和嗟才退。終日撚鬚斷幾莖。</text>
<title>再疊林丈寄來韻。示金去非。</title>,<text>當年着意賦閒居。陟巘燒畬入水漁。五柳自垂陶令宅。七松人認鄭公閭。升沈似夢差先覺。得失隨緣摠是虛。賴有莊生同此意。夜窓寒月誦遺書。其二平生長物是尖頭。萬卷經書泝九流。不啻千金珍弊帚。何妨一葉泛虛舟。靑蛇久已藏神袖。黃犬誰知補寶裘。怊悵暮年奚事業。暫於文藝且優遊。其三雨餘煙樹遠含滋。月替殘暉暝色遲。爽氣入簾槐露滴。寒聲咽座砌蟲悲。親知零落今何在。疾病支離若有期。客夜懷君眠不得。撚髭空復費吟思。其四病骨稜稜不可風。衰年視物眼濛濛。悲歡往事狂吟裏。今古閒愁痛飮中。當昔穿楊誇藝妙。從茲結草送文窮。騷壇老手終難敵。此外餘人等撥蒙。其五謫裏光陰今七年。故鄕消息杳無傳。太行雲物懷天末。長樂鍾聲夢日邊。君鬢如蓬嗟老矣。我身似葉任飄然。悠悠世事寧無覺。急雨狂風曉莫顚。</text>
<title>三疊</title>,<text>嶺海多年困謫居。此生那免見侵漁。楚囚相對悲中座。秦戍連調發左閭。大抵軍機須務實。先防虜計或乘虛。區區過慮終難勝。邊塞何時絶羽書。其二愁聞戍角古城頭。壯志蹉跎歲月流。少日曾提題柱筆。當年自擬濟川舟。龍埋此夕空衝斗。狗盜何人爲竊裘。牝棄未能忘世念。恢恢霜刃幾時遊。其三昔從權趙定交遊。嬴得詩名世上留。怊悵餘生身已老。思量住事涕空流。悼亡詩在今長夜。傷別書來又一秋。存沒同悲心更苦。欲爲忘却竟能不。僕少與汝章，怡叔往來。多有酬唱。汝章先死。爲賦長律哭之。故篇中及之。</text>
<title>敬次牛溪先生軸上韻 幷序</title>,<text>余在鐵城。怡叔自謫所蒙恩北還。爲來相訪。偶與討論文字。怡叔爲余誦次先生軸上詩曰。自西移配。道過坡山。仲深丈要使攀和。故追作寄去云。其中兩聯云云。余惟贊詠大賢之作。一句一語不可不三思。何可輕易乎。大抵世之咎先生者。壬辰不爲扈駕而已。甲午。又爲主和而已。和事尤爲孟浪。不須多辨。責不扈從者。愚竊以爲過矣。何者。其時先生當國秉匀。處廊廟參籌畫。則責之宜矣。若先生不容於時。斂跡山林。國事蒼黃。鑾輿播越。雖輦下臣僚。有未及知而追到者。先生居僻而病。其不迎謁而跟往者。勢所然也。何足疑乎。當時扈駕至義州者十七人而止耳。公卿大夫士食祿在位。遺棄君父。投竄山藪者何限。世之人不此之尤。而明目張膽。責後君於林下之人。此義何居。蓋先生之得罪先王。以其與鄭政丞澈相切。而鄭相之得罪。又有所以。其在辛卯也。獻讒者曰。鄭某與其黨。謀殺嬖寵。擬立今上兄弟。奉當宁爲上王云。天意震怒。一揮斥去。而至加賊字。先生固難免乎疑似之間矣。及其爲義將也。有一狂生上疏曰。天命人心已離。殿下願速禪位于東宮。而末乃有臣與成某同事。擧義討賊云云等語。先王想必疑此論之出於先生。而實曩日讒者之說矣。世之惡先生。亦以切於鄭相。而己丑之獄。疑與同參。欲加之罪。無辭藉口。以構殺崔司畜爲言。求其跡而卒莫能得。故借以遺君負國爲名。此豈近於先生哉。至於起義之事。乃是先生從衆處跡。與其時宰相。無端落後。不得已而爲之者。相似雖微。此擧豈少有嫌於先生之臣節哉。西路疏箚。格論至計多矣。上不見施。空言無補。先生之道成德立。豈藉此爲士林之輝哉。大槩論先生本末。則養德山樊。無心軒冕。蔚然爲一時儒宗。而人爵自至。卓乎人所瞻仰而不可企者。乃爲高致略而不及。怡叔無乃所見偶未到此而然耶。愚之所恨。以先生之世傳道學。若終始高臥。則末俗雖有媢疾之人。何敢輕以一言加於先生哉。唯其暫時官祿。匪榮以累。遂爲雌黃之奇貨。尙今呶呶。爲先生而一慨。故敬次軸上詩韻。竝及愚見。觀者恕之。去存人獸異幾希。樂道邱園不啓扉。齊士退耕寧負絏。宋臣行計竟乘機。倘來軒冕金爲注。終古坡山玉蘊輝。賴有高名垂宇宙。是非留待百年知。</text>
<title>次林丈見寄韻</title>,<text>詩來字字道相思。老去翩翩語益奇。嶺海久爲同病客。江關今動暮年詞。窮愁的的空凋鬢。瘦骨稜稜只有皮。自是男兒齊得失。莫將榮辱作歡悲。其二萬死拘囚判此生。百年悽斷有餘情。新蒭酒熟樽前醉。古劍塵埋匣裏鳴。心折幾回驚歲換。眼昏那復見時淸。寄言漁父休相問。須向滄浪早濯纓。</text>
<title>次田西亭見寄</title>,<text>休言白首滯周南。垂老投荒恨不堪。同病心懷今絶似。異鄕風俗久方諳。天涯受玦流光八。月下含杯對影三。惟有丹衷縣魏闕。夢中時或趁朝參。其二碧山相對碧巉巖。洞壑淸幽絶俗凡。日暮層矼勞着屐。天晴遠海見征帆。座中雲氣生巾舃。臺下嵐光擁檜杉。俯仰翩翩飛逸興。晩風容與颺輕衫。碧方山名</text>
<title>再疊參韻</title>,<text>當日才名擅斗南。十年淪落子何堪。災雖出眚誠無奈。毀有求全實未諳。賈誼上書流涕二。陶潛開徑就荒三。盈盈一水成分隔。酒席何時得共參。</text>
<title>九日。次金去非韻。</title>,<text>殊方八見九秋來。身世蹉跎老病催。萬里江山正搖落。一聲鴻雁獨飛回。親知凋謝嗟何在。懷抱凄迷悵莫開。縱把茱萸酬節物。魂飄無意更登臺。</text>
<title>挽盧座首 克升</title>,<text>奕世簪纓譜牒存。卽今爲庶尙淸門。才優盤錯終家食。臥穩江湖絶俗喧。伯仲之間曾託契。幽明相別更傷魂。後來餘慶將何見。蘭茁傳芳有子孫。</text>
<title>次觀海贈別韻。奉送李名隱之行。李敏求號</title>,<text>憂患年來老病侵。今朝握手此情深。殊方同作孤囚客。往事偏傷萬死心。自是遭逢多五鬼。願言將息保千金。天應我輩先空乏。親舊皆爲澤畔吟。</text>
<title>名隱，雪竹各次吟字韻來。再疊。</title>,<text>自從恩譴二毛侵。臥病蠻江歲月深。萬死過逢還地角。一陽來復見天心。瓊瑤豈合酬投李。瓦礫無緣點變金。惟有耽佳餘性癖。撚鬚強復效蛩吟。其二愁城牢閉孰能侵。詩律雖嚴厭刻深。世更何人存古貌。天敎使我鑿方心。長腰歲歲常如玉。衆口時時或鑠金。怊悵百年懷土思。病中時復發莊吟。</text>
<title>二兄復次前韻各六首來。輒復效嚬。</title>,<text>少也無幾老遽侵。此生窮病與年深。明時得罪誠無妄。晩節全名夙有心。擅譽子曾齊北斗。許身吾媿比南金。黃精雪盛長鑱臥。四壁男呻復女吟。其二窮愁忽忽病中侵。隱几支頤到夜深。自少性情無適俗。從來世事不如心。十年磨劍猶藏匣。六月披裘豈拾金。賴有傳筒頻起我。紛紛虛費短長吟。其三腰衰便怯暮年侵。愁劇難忘酒德深。物外每懷長往計。世間難保未來心。雷陳相竝膠投漆。華管同鋤石視金。萬慮掃除觀物化。時時獨和打乖吟。其四垂老蠻荒衆所侵。壯懷零落恨空深。菜根咬得無難事。鐵杵磨來不易心。止棘此時能點璧。築臺何處更懸金。君詩字字瓊琚好。擊節淸晨每朗吟。其五無媒徑路草茅侵。山鬼從遊地亦深。過訪自然稀面目。接譍更不擾神心。飯匙脂滑炊雲白。酒甕香浮熟鬱金。隨處生涯聊可樂。憑君莫和四愁吟。其六獨坐空庭夜已侵。月光如水照杯深。幽憂撥去頻搔首。險韻賡來幾劌心。顧我棄材同散櫟。知君美質似精金。狂詩投贈須相恕。太半休翁醉後吟。</text>
<title>復疊</title>,<text>一點塵煩不許侵。世緣雖淺道機深。光風灑灑長吹面。止水暉暉更洗心。莫謂珷玞齊璞玉。難將輿羽較鉤金。箇中意味人知少。淸夜詩成獨自吟。其二憶昔初來値大侵。至今生活主恩深。後凋晩節孤松意。難報春暉寸草心。翠袖天寒空倚竹。枯梧月白可徽金。蠻江憔悴成何事。賦就離騷學楚吟。其三世故多端更迭侵。習忘終日閉門深。早知萬事皆由命。堪笑長年枉費心。待價何人藏櫝玉。傳經有子勝籝金。新篇次第將成軸。囚縶窮愁摠在吟。其四年來黎庶困漁侵。何處雲山世外深。獨樂久緘司馬口。先憂空抱范公心。路窮鰈海隣三島。詩到鷄林價十金。莫詑當時干氣象。白頭憔悴苦行吟。其五覆盆無路日光侵。地極南溟深復深。櫪驥謾懷千里志。絛鷹空縶九霄心。要荒歲月凋雙鬢。京洛音書抵萬金。食芋賦詩猶不輟。獠蠻草木入謳吟。</text>
<title>竹陰次吟字韻。前後投寄三十首。復次。</title>,<text>羈愁旅恨每交侵。危喘雖延契闊深。明鏡易皤臨老鬢。弊裘空攬未歸心。千秋海底鳴雙鳥。萬里春生待一金。獨臥小齋眠不得。夜窓寒月動哀吟。其二遲暮餘生困被侵。離群索莫少村深。二三子亦同罹禍。四十吾能不動心。楚屈忠誠寧赴水。漢遷羞辱在嬰金。年年芳草思歸恨。盡入參差谷鳥吟。其三百感千愁次第侵。衰年小築畏人深。巖墻不立差知命。斧鉞雖加豈變心。隣婦解辭無乞火。舍郞疑意有亡金。詩能言志終何益。漫浪新篇不必吟。其四神全差免客邪侵。病久何辭治法深。半世行裝違宿計。百年經濟負初心。明珠投處猶逢劍。弊帚珍來倘直金。多荷故人能不棄。折梅頻寄隴頭吟。其五宴坐多年絶外侵。小軒寥落暮山深。已醒栩栩浮生夢。誰識如如不住心。貝葉玄經頭點石。蓮花淨界色成金。悠然自得閒中趣。何處春禽磔磔吟。其六胸中義利兩爭侵。戰勝年來樂自深。孰似維摩能見性。吾師老氏欲虛心。披開宿霧天如水。趕散殘星日捧金。此是上頭奇絶處。籠羅萬象入微吟。其七圍棋不必較分侵。生死奇權此亦深。肘後舊方論養性。病中新法得移心。蛾眉見妬三千女。馬骨誰捐五百金。窮巷悄然人迹斷。晩風時送亂松吟。其八早梅紅入小桃侵。南國春光造次深。匣吐蓮花騰劍氣。香浮竹葉溢杯心。枯桐獨戛聲聲玉。嫩柳輕搖樹樹金。物色自然增感慨。夢驚長樂曉鍾吟。</text>
<title>箕城偶成。錄示延慰使玄洲令公。</title>,<text>危樓突兀控城堧。歷歷山川在眼前。麗代雄強誇戰伐。箕封禮讓誦仁賢。嬋娟霽色千林雪。鬱第祥光萬井煙。自是陪遊形勝最。登臨端合賦新篇。其二前壓長江俯遠郊。登臨宇宙幾英豪。雄城控阨周遭壯。傑閣凌空結搆牢。領略山川輸望眼。籠羅物色在揮毫。老來將洩長纓憤。羞着團花錦戰袍。其三昔在靑春擁使軺。披榛曾上白雲橋。逝波依舊聲幽咽。飛棟如今影動搖。萬古江山元壯麗。千年事迹比沈消。白頭把酒重遊地。蔓草寒煙鎖寂寥。癸卯奉使時。只見遺墟。故篇中及之。</text>
<title>玄洲於百祥樓。作近體一首。又次沿江諸作。次韻復之。</title>,<text>宦遊茲地幾經秋。頭白重來更倚樓。落日半含紅瀲瀲。狂煙四合翠浮浮。危欄入漢星辰近。戰格連雲堞壘周。形勝不殊人事變。望鄕空復起邊愁。其二關外風霜已送秋。望辰聊復上危樓。涼飆振野聲初緊。落月窺簾影忽浮。世路茫茫窮哭阮。人生栩栩夢嬉周。同來萬里長爲客。此夜離筵不禁愁。其三傑搆連延雄且深。重簷複檻肅陰陰。千山景物輸平挹。萬井人煙入俯臨。直北關城塵漠漠。征西幕府戟森森。登樓落日時回首。歲暮風鳴松樹林。其四水石淸幽洞壑奇。舊遊陳迹事相隨。風光醉眼非緣酒。岐路關心不賦詩。暗竇洩泉瀧玉溜。老松依壁嚲霜髭。中興大業今將頌。來歲應磨萬丈厓。</text>
<title>過嘉山有感</title>,<text>昔在壬辰避亂離。渾家百口寄移時。非徒父母皆無恙。況復姻親盡在斯。往迹已陳何處問。浮生如夢不勝悲。還同華表令威鶴。城郭雖存斷舊知。</text>
<title>宿凌漢城 在郭山</title>,<text>凌漢山高半入雲。置城元爲護西藩。殘兵點閱無多數。倦客來巡自不群。巖竇早寒留積雪。海門淸曉射初暾。干戈滿目江鄕遠。此日登臨更斷魂。</text>
<title>題統軍亭</title>,<text>高城控壓鴨江頭。東國之西地盡陬。昔在龍蛇俱避地。曾揮綺繡共登樓。流光逝水今三紀。俊態奇才各九幽。老我重來懷往事。一吟遺什淚雙流。</text>
<title>昌城客館。次北渚韻。</title>,<text>一騎翩翩遍塞隅。書生何榮可平胡。自憐鬢髮隨時變。誰信雄豪絶代無。宇宙茫茫斯世幻。乾坤納納此身孤。長纓定繫單于頸。莫道奇功不出儒。</text>
<title>道上偶吟</title>,<text>十月長江半合氷。危途催趲馬凌兢。非緣與國同休戚。自是憂時忘寢興。萬里來遊雲共遠。九霄瞻望日方昇。安邊後作歸田計。此事如今我或能。</text>
<title>大小坡兒道中</title>,<text>邊雪飄飄點客衣。旌旗獵獵掣風飛。臨江古戍寒吹角。隔岸荒邨晝掩扉。異俗誅求今正急。朝家政令昔相違。平生耿耿憂民意。幾日還朝達紫闈。</text>
<title>同孟僉使 孝男 登阿耳城樓</title>,<text>窮冬積雪喜新晴。天外胡山玉削成。且倚高樓看霽色。莫吹殘角送寒聲。兵塵滿地迷千里。客路連天隔幾程。怊悵登臨無限意。五雲何處是神京。</text>
<title>宿理山館</title>,<text>來從國內向泥城。列戍緣江送我行。危阪帶氷征馬澁。荒城背嶺曉笳鳴。窮冬絶塞嚴風吼。獨夜長空片月明。萬事行藏違宿計。百年勳業誤書生。</text>
<title>客館。次北渚韻。</title>,<text>役役驅馳道路間。深衷祇欲濟時艱。邊烽屢警知無奈。朝野多虞敢自安。萬事已拚雙鬢換。百年難覓一時閒。天如祚國成吾志。不用今朝更苦顏。</text>
<title>受降亭。次北渚韻。在滿浦。</title>,<text>朔雲初捲月舒波。邊雪飄飄整復斜。絶塞登臨心錯莫。胡山繚繞眼森羅。兵塵滿地書生老。憤氣衝天壯士歌。一着征鞭巡閱遍。鑾坡視草較誰多。其二危檻光凝碧玉流。城頭旌旆迥添愁。十年謫後參戎幕。萬國兵前倚敵樓。王粲昔曾傷遠適。馬卿今復作奇遊。艱危受命收賢俊。巖穴奇才未易求。僕受探訪人才之命。故篇中及之。</text>
<title>又次板上諸賢韻</title>,<text>高亭雄峙控西藩。遠客登臨欲斷魂。劍作雙龍時怒吼。風如萬馬自騰奔。關雲杳杳迷征路。塞日茫茫照豎幡。王事驅馳誠不厭。此身恐未答君恩。</text>
<title>北渚作拗體。效嚬繼作。</title>,<text>受降亭下江自波。受降亭上日西斜。乾坤萬里入俯仰。物色四時歸籠羅。強胡何日請纓繫。烈士暮年彈劍歌。客子登臨慘不樂。茫茫古戍黃雲多。其二馬訾之水空自流。舍土洞口雲煙愁。滄波不洗萬古恨。苦月獨照三更樓。至今學士血猶碧。依舊胡兒魂尙遊。願比死者期一洒。此外邊功非所求。舍土洞。乃沈思遜被害處。</text>
<title>上土鎭。次北渚韻。</title>,<text>壯心無賴請長纓。自有胸中數萬兵。餘孼敢爲干聖化。大功將復出儒生。風傳朔氣今朝甚。雪作邊塵此日輕。欲識殘年憂國意。鏡中霜髮漸分明。其二馬首胡山送我行。邊頭朔雪滿嚴程。風霜惱客衣裘薄。歲月欺人鬢髮明。塞路寒雲迷遠望。江城薄酒慰羈情。男兒誓志淸沙漠。豈爲區區世上名。</text>
<title>江界客館。次北渚韻。</title>,<text>支離南北傍風塵。爲感君恩役此身。落日天涯愁望客。殘年塞外倦遊人。能無韜略平胡虜。謾有詩篇泣鬼神。自負如今差不淺。其如雙鬢漸成銀。</text>
<title>仁風樓。次北渚韻。</title>,<text>荒城元是舊扶餘。往事如今一夢虛。畫棟凌霄臨列雉。雕欄壓水數游魚。仁聲遠播人心聳。武略重恢士氣舒。從此邊民應奠枕。賢侯長保好樓居。鴨江內外。本扶餘國王金蛙地。其後高句麗滅之。</text>
<title>至日</title>,<text>去歲茲辰在嶺南。一身憔悴老湘潭。脩門生入眞如夢。絶塞巡遊敢自厭。鴨綠江波水正合。狄踰煙樹日初含。窮愁到底深如海。今日翻隨繡線添。其二昔年曾忝侍臣班。五夜追趨廁百官。日耀龍文浮御氣。雲開雉尾奉天顏。一陽生處天心復。萬甲屯前歲序闌。夢繞紫微身絶塞。辦香東望祝南山。</text>
<title>海伯次前寄過字韻遠投。復次寄之。</title>,<text>關河迢遞客中過。塞邑蕭條不數家。地盡胡山看漸近。天連漢水望還賖。三叉江上愁雲合。孤竹城邊苦月斜。兩處茫茫音信闊。幾曾回首發咨嗟。三叉。在義州。孤竹。在海州。</text>
<title>又作一首</title>,<text>浮生元似隙駒過。何事殘年久別家。白雪關山愁裏遠。靑雲衢路夢中賖。心腸非石誰能轉。鬢髮如絲不禁斜。賴有故人知此意。一封書寄再三嗟。</text>
<title>檣石 在長洞路邊大川中。高數十丈。</title>,<text>亭亭屹立出層霄。控扼雄關作漢標。形似帆檣臨水面。勢同劍戟割雲腰。行人指點遙知路。倦客經過爲駐軺。怊悵前賢皆見忽。風磨雨洗幾昏朝。</text>
<title>煕川。又疊前過字韻。</title>,<text>崎嶇峽裏僅能過。盡日溪行不見家。歸路已從山路遠。別時還與歲時賖。殊方日落孤城閉。虛館風輕一篴斜。隨處含杯雖自遣。側身東望倍興嗟。</text>
<title>次煕川客館北渚韻</title>,<text>香爐峯對小軒東。縹緲高撑積氣中。身作遠遊今望見。計存長往幾成空。眞仙窟宅塵凡隔。活畫山川造化工。靈境經過難再得。暫時留賞莫悤悤。</text>
<title>次月沙相公蟾江圖韻。贈鄭防禦。 可行。幷序。</title>,<text>蟾江。在湖嶺間。頭流，白雲兩山束起。大江由中行數百里。而放于海。山林原野。江湖田園之勝。兼而有之。求諸天下。恐無其甲矣。余少有物外志。往在甲辰。爲運使。巡兩湖。遍尋名山水。爲卜居終焉之計。見此地而樂之。有先世薄莊在光陽桃源村。築舍移僕。爲依歸之所。每以此意。誇詡朋輩間。瓜還作宰楞伽。擬遂宿心。北渚贈以詩曰。終老頭流他日計。古來林壑幾人歸。相與一笑而罷。厥後。罹癸丑之椐。求配此邑。而怨家之曾聞此言者忌而駁之。遂徙瘴海。將近一紀。中間。鄭防禦可行先占此區。余聞而羨之。自恨纍臣不得致身其間。求分一半。只自憧憧于心上。以爲物各有主者久矣。今歲賜環。遠赴幕府。行過安北。可行擁衆兵據守大府。語次出示一簇。乃蟾江圖也。月沙相公有敍有詩題其上。竹籬茅屋。雖非舊見。江山風物。依俙指點。亦認其曾遊處焉。悵然起長往之意。而奈此未能訣何。榮枯雖殊。其不爲蟾江主人則同矣。況可行效力明時。爲國干城。若非裹身馬革。則圖形麟閣。亦安能瀟灑送江海之日月乎。從此蟾江復無主矣。北渚之言。不我欺焉。覽斯圖而爲之一慨。可行求余言。略述其梗槩。兼敍所感如右云。天翻地覆人間世。何處雲林不可居。早有此心惟我爾。能成好事是君歟。獨專邱壑誰爭所。長占煙波迥自如。今日對圖重寄意。幾時投紱各歸廬。</text>
<title>元日</title>,<text>天南爲逐客。寂寞又逢春。斗屋蠻鄕裏。孤城瘴海濱。殊音今漸解。異俗日相親。杳杳秦京道。棲棲楚澤身。懷沙意悽惻。賦鵩事酸辛。落日丹衷苦。流年白髮新。嗟乎元有命。已矣莫重陳。罪戾知多積。生全荷至仁。甘心淪絶徼。沒齒作編民。陟屺頻回首。登樓更愴神。形骸變已盡。骨肉會無因。患難行乎素。吾將學古人。</text>
<title>題忠愍祠 李舜臣廟○二十韻</title>,<text>東土曾橫潰。障瀾賴巨防。大功成造次。威望倏開張。細柳營初闢。扶桑海不揚。六年臨鰐窟。萬舳擁龍驤。將易當誰咎。人謀實不臧。輿尸終衂辱。荐食恣猖狂。再用知雖晩。餘威尙自強。使船眞似馬。拒轍詎容螳。一戰能殱敵。三軍遽晦光。山河收壯氣。廈屋去脩梁。運去事無奈。身亡名益彰。酬功惟帶礪。記績但旗常。部曲今猶慕。忠勳久不忘。軒楹煥廟貌。扁額揭金章。殿宇殊寥落。英靈颯在亡。居人供灑掃。野老薦丹黃。鳥雀虛簷宿。鼬鼯古壁藏。階苔空委絶。庭草自荒涼。碑墮雙行淚。爐焚一瓣香。齋心煩一酹。感古意何長。</text>
<title>與趙怡叔，金去非。呼二十韻。</title>,<text>明時吟鵩賦。白首把漁竿。紫極長穿眼。靑冥久鎩翰。寧紆長者轍。莫考碩人槃。壯志空彈鋏。流光劇走丸。芝蘭憐馥郁。松柏撫盤桓。往者蒙洪造。微誠或上干。長沙千里遠。元祐幾人完。暮雨捐仙佩。秋風擲素紈。生涯甘潦倒。世味飽酸塞。寡鶴風前響。疏篁雪後看。眞同焚玉石。豈暇節和鑾。涸轍相吹沫。奔流孰障瀾。猖狂悲阮籍。明哲愧申蟠。交道期蘭室。文場接杏壇。永懷雙鬢白。空抱寸心丹。飯芋容常泰。誅茅膝易安。羈魂常嶺外。鄕夢每宵殘。柳子名愚谷。蘇公泣恐灘。死生今契闊。金石舊腸肝。悵望還相送。遺蹤詎忍刓。</text>
<title>再疊錄奉金去非及權克中。兼寄竹陰。</title>,<text>蟻封憂馬駕。鼇釣詑虹竿。世味嘗鷄肋。儒名陋鷙翰。行裝惟蠟屐。長物只藤槃。病惑樽中弩。文推板上丸。安能居鬱鬱。不是恃桓桓。匣有埋豐劍。旄無在浚干。隋珠從夜抵。趙璧幸今完。操尙存氷蘗。紛華脫綺紈。鳳池新寵極。鷗渚舊盟寒。士托知音在。人逢刮目看。一朝辭玉陛。三夜夢金鑾。篋棄涼秋扇。風恬古井瀾。途傷南阮哭。泥漲老龐蟠。錯愕聞傳箭。蒼茫憶築壇。愛君心抱赤。憂國面凋丹。黎庶方惶急。朝廷自宴安。幾回經世變。空復度年殘。客路三千里。蠻江十八灘。懷鄕長望眼。戀闕更摧肝。努力思經濟。終期朴反刓。</text>
<title>三疊</title>,<text>事業窺投筆。生涯抵揭竿。百年身折翼。萬事涕沾翰。順性知桮棬。無生悟涅槃。靈臺開水鑑。寶籙鎭泥丸。志陋三歸管。心羞五伯桓。終知乖世用。本擬老江干。德立誠難望。名虧不可完。自能安短褐。非是厭輕紈。世路行常澁。榮華夢亦寒。北風千里起。南雪七回看。脈脈思瓊樹。啾啾想玉鑾。團圓欣命駕。款洽倒情瀾。道路多脩阻。關山幾鬱蟠。同悲回白首。永媿隱玄壇。竄月麏驚黑。藏霄鳳慕丹。此生眞抹摋。相憶願平安。老去知音隔。年來壯志殘。郊扉臨鰈海。客路泝蟾灘。故國頻回首。新詩數鉥肝。死生膠漆地。銘刻莫令刓。</text>
