<title>冬月 七歲作</title>,<text>一片團團月。高懸萬國燈。風力雖云壯。淸光滅不能。</text>
<title>送成謹元 世頊 之任新寧</title>,<text>世人皆言太守好。太守好果何狀。妻爲室內子衙童。身是古之諸侯㨾。案前通引。階上衙前。堂下使令與百姓。出有平橋子。坐有花紋席。况於五更殘燭眠罷後。畵角一聲東方白。世人皆言太守苦。太守苦果何若。米綿錢魚朱墨叢。關心百事難揮却。觀兵巡相。撿灾都事。閱兵兵帥與營將。重則拿鄕任。輕則刑記官。矧爾滿堂親朋滿案書。大抵都將私意干。吾友謹元爲太守。其好其苦當如何。請說謹元心裏事。與人還殊科。大爺今年八十有六歲。大夫人又八十一于玆。去年初躋頂玉班。去年重逢夢氷期。前去百年有幾何。仰看西日亭亭下。此時謹元能得五鼎食。聖主洪恩眞堪詑。三旌八座也不換。玉堂金馬何須問。南極有星名老人。謹元今行故故近。收將光彩貯之樽。恭向高堂雙手擎。高堂顔色日以華。政與南極老人星。光爭金章墨綬。輝暎五色斑爛衣。豈比尋常太守者。我東方三百六十郡。郡郡有太守。太守好如謹元者盖寡。謹元所好在此不在彼。世人所苦又非謹元所敢穪。若論謹元所苦處。只在人間難得繫暉繩。太守好。太守好。好歸去。莫回頭。回頭在朝時。謹元做何官。瑣瑣一郞官。欲展素蘊知無由。謹元平生讀聖贒書。題紅紙上何官不可做。乃爲一縣監。縣監官雖卑。社稷人民百責咸。今日謹元酬私恩答鴻造萬分一。惟有太守好三字耳。太守好歌一闋。送君之歸兮。嗚呼謹元勉之矣。</text>
<title>癸卯除夜。同柳正郞允卿 升鉉 呼韻各賦。</title>,<text>繼晷奇功付一燈。論襟仍喜有心朋。客愁自至推無𧗱。歲色將歸挽孰能。漏近三更催點點。天將六候斡層層。如今不恨寒宵永。只怕金鴉曉忽騰。</text>
<title>除夜聯句</title>,<text>此夜足可惜。此會須盡歡。休伯。 歲色忽已遒。滔滔如急湍。允卿。 人生能幾何。覊旅更辛酸。休伯。 獰風夕透衣。飛雪曉撲鞍。允卿。 簿書自有期。袍笏苦無完。休伯。 敢言我賢勞。還慚任素餐。允卿。 丈髮日以白。斗血徒自丹。休伯。 獻芹豈無計。行路誠云難。允卿。 有時自公退。忽忽坐長歎。休伯。 鑿枘故不合。竽瑟安所干。允卿。 功名等雞肋。造物聽鼠肝。休伯。 平生匣裏釰。中夜起自彈。允卿。 回頭望故園。嶺路齊雲端。休伯。 謾拄參軍笏。欲飛無羽翰。允卿。 鄕村重歲時。親戚應團欒。休伯。 共守杜位宅。爭頌椒花盤。允卿。 佳辰每倍思。兩地懷一般。休伯。 強把屠蘓杯。細酌聊自寬。允卿。 開襟賴莫逆。半酣笑相看。休伯。 竆通各有命。隨處分固安。允卿。 優遊聖主世。最好做微官。休伯。 輸贏較碁局。工拙爭騷壇。允卿。 文章入細論。唇頰生微瀾。休伯。 通宵喜不寐。更皷不覺闌。允卿。 不惑訓堪媿。無聞戒非謾。光陰此侵尋。志氣易低殘。休伯。 所以大丈夫。萬事期蓋棺。持此勖故人。努力各書鞶。允卿。</text>
<title>苦雨聯句 沒侵韻</title>,<text>長安經月雨。無日不霪霪。休伯。 雷皷增威勢。曦輪失照臨。允卿。 玄旗張簇簇。鐵馬走駸駸。休伯。 布檄星官急。承符水吏欽。允卿。 神鱗方得意。驕魃已成擒。休伯。 未息天瓢倒。空愁地軸沈。允卿。 陰官開鎖鑰。元氣泄漓淋。夜月恒離畢。晨躔每蔽參。休伯。 滂沱朝至夕。淅瀝昨連今。羃峀雲頑黑。流天電矞淫。允卿。 地平誰辨凸。波溢不知潯。休伯。 肥菌生牆遍。飢烏入樹深。允卿。 車馳時陷轂。蛙躍或登鬵。休伯。 勻綠眉濃柳。垂黃頰膩檎。允卿。 撲芽斜更茁。撞葉弱難任。休伯。 鳴垤空歎鸛。勸耕謾聽鵀。允卿。 衝泥龜樂曳。封穴蟻憂滲。脚是銀河拖。絲應織女紝。休伯。 囱楹窺鳥雀。街巷泳𩼝鱘。允卿。 近郭堪通楫。登原可設罧。休伯。 添煙看漠漠。和皷聽愔愔。鷺下呀沈渚。鹿呦㤪沒芩。允卿。 觸沙舂訝杵。臨石擣疑砧。虎窟將移宅。龍宮欲跨岑。嬴松功覆蓋。姬葬禮停廞。休伯。 五嶽疑浮海。三巴定八灊。允卿。 楚臺神解佩。梁殿瑞呈琳。休伯。 衡客祈開豁。湘臣賦曀霠。箕師寧造訟。屛翳合膏椹。允卿。 尫暴嗤疏魯。巫言笑降郴。休伯。 邊烽迷北候。藩貢阻南賝。捩食嫌頻餲。曬衣憫久霃。野滋戕稼。架橫蠧書蟫。允卿。 園韭抽還剪。庖鮮爛未燖。米船爭售玉。薪市自堆金。訴帝嗟無路。祈神奈不歆。休伯。 虛拋脩月斧。難試㓸雲鐔。念到田家事。憂關聖主心。允卿。 始聞秋有望。俄報歲將侵。傷麥渾生甲。宜耕豈値壬。休伯。 補畦勞畚鍤。障决赭楠梫。允卿。 水勢奔如怒。農歌噤若瘖。一無徵範極。重解筮焦林。休伯。 或者關時運。恭惟渙德音。堯灾今不免。天意固難諶。允卿。 急務宜拯溺。贒臣孰作霖。休伯。 頹波仍擊射。世道轉崎崯。庶應非由昊。雙眉可察黔。允卿。 無緣弭咎沴。安得順陽陰。野曝難投御。郞氊正坐針。休伯。 時虞方溢目。覊思更纏襟。允卿。飯無人問。披蓑有客尋。愁要將雨洗。盃欲引江斟。休伯。 不漏論油瓦。多沾惜貝綅。輕身無薏苡。制濕有苓蔘。允卿。 莫說淫霖苦。還憐爽氣森。冷成醫暍藥。鈴當警眠箴。解挽分張袂。能聯信宿衾。休伯。 苔封投轄井。簷睡喚晴禽。照白羞看鏡。開靑幸盍簪。允卿。 濡毫資潤硯。流水入鳴琴。休伯。 杜豈孤崔約。韓仍共籍吟。允卿。 渾忘居鬱鬱。稍慰病涔涔。雅趣人誰識。幽懷自不禁。休伯。 百年身晼晩。千丈髮嵯㠁。珍重論文意。相將書帶衿。允卿。</text>
<title>聯句送孫古阜 景錫 之任</title>,<text>時維甲辰秋。送君之古阜。休伯。 挽君勸君飮。古阜無此酒。允卿。 憶昔山南時。淸洛限左右。休伯。 雲巖但聞勝。月扉未曾扣。允卿。 何幸洛城裏。薄宦媒良友。休伯 相逢一相笑。甲子忘先後。蚷蛩不暫捨。到處輒携手。允卿。 飛筇玉洞瀑。繫馬靑門柳。三更細雨簷。五月淸風牖。休伯。 形骸付爾汝。賓主失誰某。飜嫌弊袍笏。縛束似械杻。允卿。 未能免俗狀。聊復事奔走。休伯。 趨班每促迫。留約頻孤負。允卿。 一日不相見。睠焉尙回首。休伯。 那堪渭城雨。遠送湖南守。允卿。 中膓一百端。不特離恨糾。休伯。 昔君頤始鬚。靑雲如拾取。允卿。 遙遙萬里道。逸𨂜期遠蹂。俄逢謠諑女。仍作棄置婦。休伯。 恥上光範書。甘學商顔叟。居然二十年。耕於田畝。允卿。 邇來得一官。白髮郞禮部。休伯。 斗升祗爲貧。關柝亦非苟。允卿。 蕭蕭丈夫計。腰下尺許綬。自有上林枝。胡爲枳棘藪。休伯。 世事不如意。在十常八九。分劑固有定。隨遇當順受。免敎室懸磬。寧嫌城似斗。允卿。 已云通判無。而兼鰲蠏有。園丁日進苽。汀戶夜課罶。休伯。 淮陽也不薄。亦覺天恩厚。允卿。 私堪供㓗蘋。公可恤竆蔀。休伯。 淸操見癯鶴。惠政在氂狗。恢恢刃游節。喣喣鳥哺鷇。允卿。 心開照奸鏡。手揮掃弊帚。休伯。 佇聞百里路。碑頌騰萬口。治民子其責。贈言吾非偶。允卿。 吾儕不爲此。何以報聖后。休伯。 猶勝廣文寒。三年費鹽韭。允卿。</text>
<title>雨後同允卿賦強韻。投權秋曹用卿。</title>,<text>海若何曾問井凹。小蛙堪笑任跳跑。覊形湫巷同龜縮。睡味凉軒勝鳳炮。已想愁端絲亂緖。更誇棊勢刃恢庖。土牆且莫甘當面。茅塞心田易确磽。</text>
<title>七月旣望夜。同允卿以秋，光字分韻。各賦各次。二首</title>,<text>天柱何煩翫月遊。小雲今夜勝中秋。寒樓政罷姮娥睡。銀漢堪通博望舟。燈暗却敎羞玳瑁。雲陰還怕驗蜉蝣。祗憐孤影隨渠影。共向君門盡意流。宇宙長留赤壁章。桂輪千古與爭光。今宵佳景還無讓。當日淸遊奈莫方。造物非私堪共適。美人雖近但相望。休言宦海緣猶在。也泛虛舟不用檣。</text>
<title>謾成</title>,<text>鳩巢難卜一枝安。三倩人家揔不寬。始覺蓽圭元我分。莫彈長鋏學馮驩。</text>
<title>贈鄭注書來仲 來周○三首</title>,<text>丈夫交契㓒膠牢。南國壇盟亦太勞。幷世古今凡幾箇。百年天地有吾曹。朱絃牙遇鍾期幸。靑史韓聯老子叨。况復僑居容近卜。從玆日日醉醇醪。淸篇三復紙生毛。認得吾君意匠勞。半夜明珠輝甓社。一枚奇寶擅豪曹。吟瓢欲泛方知苦。話席頻聯轉覺叨。會趁雪宵乘興去。細論重對滿尊醪。鳥獸知時已氄毛。天寒蝸屋客吟勞。魚游尙恥隨凡隊。烏集還嫌效俗曹。宅接芳鄰交誼忝。官膺槐院聖恩叨。逢塲爲說閑中業。床有古書尊有醪。</text>
<title>臘月日。同李就而，鄭來仲夜話。拈朙詩集中韻。各占二首。</title>,<text>黃昏騎馬叩仙關。白雪歌高不可攀。古釰欲彈思越冶。良珠難採望崑山。屑從話裏霏霏落。春自杯心冉冉還。世事紛棼君莫說。好看梅月在牕間。詩壘蕭條久閉關。正聲千古幾人攀。流波渺渺東頭海。本色蒼蒼太古山。始覺文章高又下。方知氣數往仍還。偶逢良友躬探討。半夜孤燈在壁間。</text>
<title>上元夜。李進士井休 仲暉 踏月敲門。遂分敲門字。與來仲，井休。同賦二首。</title>,<text>近聞新事洛陽巢。霞鶴聯光許與敲。淸響動時聞玉笛。華牋撚處見丸匏。仙衫不許塵衫襯。梅影偏隨月影交。好遣襟靈遊曠漠。人間何苦約爲膠。羣仙騎月共騰騫。霽色侵橋轉透褌。細酌一尊浮蟻白。明開雙眼撥花昏。錦囊試擲金聲動。彩襆仍披斧影飜。自笑淸緣何太薄。不聞吟策響柴門。</text>
<title>再疊前韻</title>,<text>學得鳩謀借小巢。閑來事業較推敲。一身天地浮孤梗。片夢江湖倚短匏。落日搔頭愁末路。春風抵掌樂新交。箇中非子瓊琚句。誰喚塵襟滌擾膠。身如籠鳥未高騫。㑋卧寒齋擁短褌。豈識淸吟橋外動。謾敎殘睡枕邊昏。一聲奴鴿侵晨至。幾丈文瀾滿紙飜。却把繩樞聯五鳳。此生深喜托龍門。</text>
<title>自慰</title>,<text>不說男兒宿計非。竆途心事未全違。他家久假飜成有。鄕夢頻馳恰當歸。樵牧論文由客罕。虀鹽可口賴膓飢。愁中深樂猶堪慰。肯向人間浪發唏。</text>
<title>雨中見巢鵲拮据</title>,<text>空林陰雨細濛濛。枝上綢繆未奏功。瘏口妨啣身已病。濕翎嫌展技應竆。還憐借地鳩謀拙。却羡依簷鳥計工。事到後時誰復㤪。由來顚沛捴由躬。</text>
<title>湧泉庵朋酒</title>,<text>靑山高處小庵懸。法界迢迢第幾天。半壑雲霞徠脚底。滿空星斗襯頭邊。窮陰轉作三陽候。良會偸成一日仙。回笑世間名利子。豈知方外有斯筵。</text>
<title>病起書懷</title>,<text>悠悠萬事與心違。衣帶年來日减圍。前後呻吟饒鬼責。中間顚沛劇人非。靑萍吼匣宵推枕。白雪堆階晝掩扉。京輦鄕園俱在目。夢魂西去復南歸。</text>
<title>池上</title>,<text>水戴寒氷隱隱鳴。冬威那禁活流聲。斜穿短隴隨科滿。直注方塘盡意淸。中濶可容魚鱉樂。外堅誰遣網羅嬰。餘波更潤東郊土。待看來年穡事登。</text>
<title>除夕</title>,<text>萍蓬幾處任飄然。郊甸于今又二年。客夣每歸生長地。人情偏感歲時天。香醪獨把難爲樂。燭淚孤啼更可憐。來日莫將明鏡照。一宵紺髮幻華顚。</text>
<title>元朝</title>,<text>晨雞喔喔試春聲。頃刻年光判送迎。何處銅龍催漏箭。幾人珂馬動天棖。休官元日猶無客。罷睡殘燈獨有情。新歲只祈風雨順。野氓耕醫樂昇平。</text>
<title>立春</title>,<text>雪殘層壁露岹嶢。政屬今春兩序交。一貫氣機無暫息。四端仁德有兼包。羣陰山地才藏果。半夜句尖已動苞。不是東君私惠澤。世人新祝謾呶呶。</text>
<title>新月</title>,<text>如期新月信於潮。十二圓中第一宵。不作世情來陋巷。却將詩興上華綃。靑燈片夢孤臣枕。紫陌三更幾處橋。瑞色幸敎農望叶。舊時賡曲此衢謠。</text>
<title>寒食雨</title>,<text>別去王都四閱春。歸來還作旅中人。無端寒食橋頭雨。柳色鄕愁一㨾新。</text>
<title>朋酒</title>,<text>病客孤吟伐木章。朋來何幸値辰良。天將閏月添春候。花得陰崖侈曉粧。十里溪山皆几案。一區烟景可壺觴。浮生開口眞難遇。終夕竆歡也不妨。</text>
<title>花餠</title>,<text>殘花容易逐狂風。故遣厨人手摘忙。幽壑未藏眞宰迹。小盤初貯暮春光。歸膓政助詞華艶。近斝能令酒氣香。愛爾丹心終不滅。一時糜粉亦何傷。</text>
<title>剪板</title>,<text>本來孤直復縱橫。正己方知正物能。痛斥百邪干不得。堅持一德屈何曾。忠言似矢差堪擬。世道如鉤不足穪。我欲置君廊廟上。坐敎宵小怵風稜。</text>
<title>粉板</title>,<text>分朙黑白遆相傳。洗濯由來日日新。鏡面塵除明自在。天邊雲斂迹還淪。陶泓毛穎堪爲友。湘竹溪藤不足倫。事業惟知詩句覔。閑中更覺與君親。</text>
<title>呼韻</title>,<text>盈尊暖酒漾微波。一壑春光當綺羅。今日莫辭花下酌。明朝無奈落來何。</text>
<title>臨溪憶巢父</title>,<text>厭向山間聽怒濤。擊巖舂石日滔滔。巢公避聒還趍聒。洗耳何如塞耳高。</text>
<title>夜坐吟 二首</title>,<text>半壁寒燈傍案朙。倚牕遊目欲三更。空山葉舞風搖影。虛澗波鳴月瀉聲。天地無埃生夜氣。琴書有趣動眞情。明朝恐被私心奪。凂却今宵水鏡淸。綠油消欲盡。燈暗字難分。露淚看垂玉。蟲聲聽織紋。穉兒寒擁被。小婦細裁裙。夜久收人籟。抽毫更屬文。</text>
<title>自外還。成輩迎入。有吟。成輩卽大成。外孫兒名。</title>,<text>乃家阿母卽吾兒。一夢依然弄瓦時。渠子三人能跨竹。此翁雙鬂已成絲。候來門巷尋荒逕。引入堂廬進凹巵。醉卧南牕山日夕。爲看嬉戱枕頻欹。</text>
<title>丹葉</title>,<text>牕外楓林葉。秋來侈客居。夕陽風靜後。朝旭露乾初。山鳥絲光密。征人織影踈。爲憐山似畵。遊目步徐徐。</text>
<title>相思曲</title>,<text>玉勒金鞭底處游。斜陽無語倚瓊樓。携琴彈罷相思曲。半嚲烏雲不肯收。</text>
<title>相逢行</title>,<text>相逢成一笑。落日靑樓前。愛看金勒影。半濕緣楊煙。</text>
<title>江南曲二疊</title>,<text>采蓮復采蓮。江南月初白。停舟却悵然。回首衡雲隔。年年湖中月。長傍采蓮舟。芳洲元央宿。夜深看未休。</text>
<title>商客詞二疊</title>,<text>五月下淸淮。風吹波浪怒。待看五兩靜。半日停歸櫓。吳舟去如飛。暮入西江雨。忽然逢急灘。停楫問漁父。</text>
<title>田家詞四疊</title>,<text>田家夜磨鎌。朝刈平田黍。黍熟黃雲堆。田翁笑相語。日暮靑山紫。秋烟隔林飛。田翁謀夜食。背負䆉稏歸。山村落照紅。山坂牛羊下。少婦對竈炊。燃以南山檟。檟在南山時。枝濕前宵雨。噓之不起煙。灰飛簪上聚。小兒啼。牽衣聲不歇。却羡鄰家娘。閑坐理綠髮。鳥還鷄欲棲。田家日暮時。田翁帶鎌歸。田家析薪炊。牧笛穿遠林。知是騎牛者。黃昏鄰有酒。招集茅簷下。皷缶歌復歌。煕煕醉顔酡。</text>
<title>兒病</title>,<text>兒病寧身病。呻吟欲代渠。夜來雙鬂雪。朝日不勝梳。</text>
<title>題壁二疊</title>,<text>孤臣如衆星。坐必向辰極。所以雲林間。築室虛其北。設牕賭淸風。淵朙計何拙。吾廬北全虛。淸風自滿室。</text>
<title>晝眠二疊</title>,<text>睡魔愛蠧魚。常恐人來覔。所以乍對書。輒敎閉人目。樂哉華胥國。而無季世人。如逢黃帝氏。欲問鑄鼎辰。</text>
<title>卽事四疊</title>,<text>田婦荷鋤出。穉兒頓足呼。兒呼亦可念。奈此田疇蕪。閃霍長郊雨。去來未可期。田翁頻起立。四望復躕踟。匏葉飜飜動。南風午度籬。幽人眠罷後。欹枕看山霏。九峯峯上雨。朝過國祠堂。試望山門外。高低一色蒼。</text>
<title>雜詞十四疊</title>,<text>籬下鄰犬來。籬上鄰鷄出。但借鳴吠聲。鄰家無所失。爲乞鄰家蔬。朝朝送女僕。一乞與一束。再乞與半束。乞來半束蔬。半黃半帶綠。和塩滚作湯。一喫亦云足。與婦筭餘粟。大甕猶果腹。賣之欲買肉。婦言春無食。今日日寒甚。奴言不可柴。無柴卽無炊。勸汝上陽崖。童奴取薪來。一炊無餘柯。今夕幸能炊。明朝奈炊何。氷薪遇火濕。無焰但有煙。薪尾尙未乾。薪頭已成烟。朝食一盂食。暮食一盂食。食訖枕書眠。眠罷披書讀。昨日不出門。今日不出門。牕暗知夜黑。牕明知曉暾。夕卧仍至曉。朝卧或至夕。默默復默默。此心遊八極。明日無所食。房中夜鋪粟。鋪時且從薄。積處易帶濕。糟糠作牛粥。牛飮盡一盆。一盆日一飮。閒卧籬南原。一盆日三飮。終日服柴轅。服柴轅四蹄脫。不如不受三盆恩。養牛烹豆箕。箕熟堗又溫。牛不飢人不寒。一擧兩利存。寄語冬天行路人。勿投無牛村。得之肉滿盤。不得蔬亦無。蔬亦無君莫歎。白飰尙一盂。昨聞湧泉村老人。饑卧吏立呼。</text>
<title>丙午二日。朙日卽立春。</title>,<text>良宵佳會偶然成。一笑眞堪慰旅情。歲去尙看添二日。春回但覺限三更。油如懶婦明棊局。酒作強兵破愁城。且可殺雞供客饌。莫令催唱報晨聲。</text>
<title>人日</title>,<text>忽忽浮生齒又添。有繩無計絆烏蟾。十年爲客勞鄕夢。七日成人翫歲占。老去顔華非舊渥。春來盤菜已新尖。東鄰解辦除愁策。多謝牆頭送酒塩。</text>
<title>東郊道中</title>,<text>靑驄嘶出國門東。官路如砥一望通。雨歇江山仍霽景。凉生天地屬秋風。郊原川澤縈紆處。黍稷桑麻掩翳中。至化方知由近始。王畿是歲最云豊。</text>
<title>奉安舘</title>,<text>南宮添應列星躔。奉使仍當八月天。頭尾商船頭尾接。水雲郵閣水雲連。遄違勝地嫌飛馹。漸遠塵躔學蛻蟬。遊宦十年今日始。此行應復作眞仙。</text>
<title>原州 是年春。關東蓮幕。七日而遆。故首句云。</title>,<text>蓮幕風流七日纔。一塲猶記夢中槐。今行果有前緣否。此地如尋宿約來。雉岳秋顔寒勝玉。月灘淸影碧於苔。名區戀戀難爲別。北路歸驂且莫催。</text>
<title>三路先祖曾任關東伯。不肖孫偶到玆地。感愴而題。</title>,<text>睿簡曾推我祖贒。關河千里任承宣。盤飧每候東來日。水道仍開北去船。撿木行裝還此地。憇棠仁化問何年。傷心雉岳靑無改。立馬斜陽感涕漣。</text>
<title>用原州板上韻。示李 鎭華 章瑞。</title>,<text>依微官燭淚痕殘。虛閣蕭然不禁寒。霜重樹梢秋欲老。月窺簷角夜將闌。良朋樽酒傾心酌。大手篇章刮目看。莫說朙朝離別苦。客中懷緖制尤難。</text>
<title>次箭溪四達亭軸中韻</title>,<text>霜蹄秋踏小溪流。路入名臺境轉幽。松檜淸陰仍灑落。江山淑氣此停留。極知詩酒仙區會。絶勝琴歌客舘遊。官味淡然心不繫。自疑身世泛虛舟。</text>
<title>橫城館吟示鄭友 運煕</title>,<text>懶放詩眸倚曲欄。使星豪興未全闌。伽倻古樂千年響。谷口新朋一席懽。春與官醪濃上頰。秋將園果淡登盤。紛華却犯平生戒。此日方知制志難。</text>
<title>蒼峯道中</title>,<text>夢罷花田畵角鳴。使星行色趁平朙。蒼峯碧樹晴來色。白石淸溪雨後聲。馬上興闌仍睡味。眼前秋老卽詩情。居然林下休官意。却向三麻峽裏萌。</text>
<title>洪川泛水堂次板上韻</title>,<text>天如畵自秋陰。水閣寒光滿客襟。楓暎波紋疑織錦。石噴灘語學鳴琴。登來可覘游魚面。閑處仍知宿鷺心。風景肎嫌收拾去。用之無竭取無禁。</text>
<title>麟蹄道中</title>,<text>東來無處不名區。奉使仍成汗漫遊。官况千章山上木。閒情九月中秋。看看翠靄流如水。步步藍輿穩勝舟。自愧病餘才力退。江山凈債若爲酬。</text>
<title>合江亭</title>,<text>源從東北本來雙。到此居然作一江。鷺喜汀洲秋漸濶。石愁波浪日相撞。夾流翠麓均爲岸。壓地寒亭四設牕。過客暫偸登睡暇。不禁淸氣透詩腔。</text>
<title>上山</title>,<text>秋空雲盡覺淸新。快睹廬山面目眞。峯似擁爐名獨古。巖傳問鼎事仍神。穿嵐細逕千般曲。噴雪飛泉萬丈伸。此地倘敎無一句。吾行那免嶽靈嗔。</text>
<title>鳳頂</title>,<text>縹緲中天鳳頂深。淸寒遺躅邈難尋。回頭宇宙空山水。滿目雲煙自古今。僧倚夕簷看鳥返。客登晴石聽龍吟。還憐居士新精舍。隱映南崖桂樹陰。</text>
<title>深原寺</title>,<text>步過彌臺漸覺平。臨溪梵殿肇經營。撑天古木誰知歲。拔地奇巖未錫名。自喜入山無俗物。那堪出洞又官程。去來但領秋光好。雪嶽休煩問重輕。</text>
<title>鶴巖遇洪翰林 啓迪 口占</title>,<text>相逢一笑話名都。滿眼楓楠自畵圖。却喜洞天元窈窕。肯嫌山逕此崎嶇。龍遷古鳴寒水。鶴去危崖老碧梧。不識五臺秋色裏。巖泉亦似箇邊無。</text>
<title>暮歸麟蹄</title>,<text>踏遍仙區景色新。出山今日轉頭頻。秋容肅似迎尊客。我意愁如別故人。篋裏收寒詩淅瀝。眼中留翠夢嶙峋。淸緣倐忽還難再。依舊關東撿木官。</text>
<title>沙里串道中</title>,<text>靑驄倦向峽天驅。入眼奇巒面面殊。碧樹秋寒鳴獨鳥。蒼崖晝靜走羣鼯。流邊葉下溪情亂。低處雲生石勢扶。壑轉村回蘿逕窄。任敎山鬼答傳呼。</text>
<title>洪翰林書至。走筆寄回。</title>,<text>關外奇觀域內高。秋風遊屐屬吾曹。靑山太史毫端色。滄海男兒眼下濤。靈界躋攀殊覺快。陲筒來去不嫌勞。回頭官路還南北。離別人情一倍忉。</text>
<title>大䧺道中</title>,<text>征旆迢迢度遠岑。肩輿盡日踏秋陰。危攀老石磷磷角。淸照寒江浻浻心。眠犢夢酣踈荻晩。吠厖聲漏白雲深。箇中定有神仙宅。倘許幽人一逕尋。</text>
<title>思家</title>,<text>負郭曾無數頃畦。還隨薄宦此棲棲。東關節序秋將老。南國山川夢亦迷。石路磎雲驄步倦。霜天月鴈聲凄。停輿且聽林間鳥。何事催歸向客啼。</text>
<title>大霧</title>,<text>羲和今日懶寅賓。洞壑陰陰不見晨。壓水老巖無半面。懸崖古木失全身。迷如五色森邊𥌒。昏似千盃醉後人。安得長風一埽盪。坐敎天地卽淸新。</text>
<title>影池</title>,<text>奇峯簇簇擁西東。寺外方塘地最中。一鑑澄明看至理。千年開憶神功。回眸亂影初疑有。弄手淸波轉覺空。天物本無私照意。歸來宇宙爾惟公。</text>
<title>自仙槎向榮川親庭</title>,<text>使星征邁有期程。踰嶺如何作此行。以孝爲治元聖化。思親願覲卽人情。半年原隰朝衣弊。來日鄕山晝錦榮。觀過知仁吾豈敢。祗應寬法恕微誠。</text>
<title>自親庭旋向仙槎</title>,<text>門前驄馬聽嘶寒。鄕井依依曉色殘。人子至情祈萬祿。老親深愛勖加餐。來時固料歸還易。去日方知別最難。休道顯揚爲孝大。此身猶悔繫微官。</text>
<title>仙槎封山。摘奸後有吟。</title>,<text>點撿封山百里餘。雪中行色倚藍輿。濃煙漲後菑畬闢。匠斧膏徠洞壑虛。客使威稜元太薄。朝家禁網亦全踈。還憐臃腫巖間木。亘卧千年只自如。</text>
<title>次朱生 鋈 韻</title>,<text>驅馳原隰半年間。鞍馬何曾片刻閑。偶入仙鄕停倦脚。却逢詞客破愁顔。醉看蟻影頻浮斝。話到蟾光欲隱山。莫道明朝離別苦。一筇他日會重還。</text>
<title>次朱上舍 煥璧 壁上韻 二首</title>,<text>結屋槎城北。頹然與世辭。十年湖海興。惟有白鷗知。瀉玉郊邊澗。摛珠壁上辭。閑中塵夢齗。風月是朋知。</text>
<title>望洋亭</title>,<text>靑山齗處畵樓虛。此日登臨氣暫攄。仙去三千年以後。時回十一月之初。幾重雲霧藏孤嶼。萬里波濤戱巨魚。賴有使君遙送酒。夕陽扶醉下階徐。</text>
<title>望洋亭 變軆</title>,<text>縹緲危亭涵碧虛。蚌珠虬卵景光攄。欲知天地皆無盡。且向鴻濛見太初。可笑自多東海鱉。幾時能化北溟魚。三島烟霞俱在眼。求仙行色豈虛徐。</text>
<title>觀海</title>,<text>國似彈丸志每憐。此身何處可翩蹮。高飛欲出乾坤外。萬里鯨濤又眼前。</text>
<title>月松亭</title>,<text>千樹寒松翠影均。孤亭縹緲壓城闉。汀沙渾作滄溟限。漁舶長爲白鳥鄰。試看江山眞面目。方知造化最精神。風光應接還無暇。勝賞如今也不貧。</text>
<title>箕城東閣夜吟 變軆</title>,<text>箕城太守好風流。秉燭華筵錯酒籌。爲問今宵東閣會。何如當日曲江遊。指下淸音生妓席。盤中新味自漁舟。卽知禮豈爲吾設。醉未如泥定不休。</text>
<title>淸香閣設白試文武</title>,<text>月亭餘興未全收。移席淸香閣上頭。地近南淮冬日暖。天連東海夕雲浮。溪山遶檻看逾好。文武分塲較孰優。莫道玆遊元漫浪。使君杯酒酌民憂。</text>
<title>眞珠道中。聞亞使鄭來仲到臨瀛。有懷而吟。</title>,<text>遠客孤吟滄海頭。思君不見在瀛洲。寒江石老雙茶椀。鏡浦波朙一桂舟。官旆偶分南北路。仙區仍作後先遊。靑山夕照遙相望。何處征鴻喚別愁。附次韻東來滄海地竆頭。不謂鸞笙住此州。大嶺千重同使節。名川五十引仙舟。囊開寶玉驚佳句。筇帶煙霞驗壯遊。朙發我南君更北。美人歌曲亦離愁。</text>
<title>凝碧樓待鄭來仲</title>,<text>凝碧樓中獨倚檻。海天寒日看亭亭。臨瀛羽客遲遟下。沉鳳歸驂故故停。白鳥飛來沙似雪。蒼江環去水如萍。無端絶境孤吟倦。坐待罇前兩眼靑。</text>
<title>重用頭字韻</title>,<text>五十澄潭灧灧頭。歸驂重住古眞州。西樓乍喚淸都夢。北客初回鏡浦舟。千里偶然同勝賞。百年安得此奇遊。無端待鳳巖邊笛。吹起行人分外愁。</text>
<title>重用亭字韻</title>,<text>使節聯翩此一亭。半天微月又踈欞。題詩彩筆頻相屬。到手深盃且莫停。絶響千年聞白雪。寒燈半夜看靑萍。心期說盡仍開笑。古松篁歲暮靑。</text>
<title>凝碧軒來仲試校儒。余張妓樂。卽吟以戱。</title>,<text>蓬島迢迢弄玉簫。一時同駐兩星軺。緇帷揭處紅袍倦。綺席開邊粉黛嬌。霜威不及春光好。冷話何如醉興饒。關外繁華吾獨擅。笑君風味太寥寥。</text>
<title>舟中吟眎來仲</title>,<text>醉下丹崖步步輕。蘭舟日夕擊空明。西樓風景千年勝。東里文章一代名。海島雲迷靑鶴駕。江天煙弄紫鸞笙。仙區若使無今日。關外寧云有此行。</text>
<title>舟中次來仲韻</title>,<text>暇日靈區共問仙。鸞笙隱隱大羅天。春回律外花爲席。興在波間桂作船。幾處滄溟登畵閣。今來悉直管名川。殊方樽酒寧辭醉。此會還應有宿緣。</text>
