<title>錦江舟中 與公牧宋興周，都事高仁紀。同泛錦江。</title>,<text>醉裏玄黃亂。人間是非多。吾將散髮去。寧逐范蠡舸。</text>
<title>贈營將 曺繼明</title>,<text>流言止於智。讒說豈能行。丈夫心要大。那同兒女情。我有一尊酒。與君期共傾。中虛得㬥下。未及輸寸誠。脉脉朢歸雲。幽懷聊獨鳴。寄語同心子。須令愁恨平。</text>
<title>挽趙司諫 廷虎 室內</title>,<text>吾嘗看女史。婦德最難全。內則貞爲貴。閨門孝是先。誰能如大家。可以次靑編。夫子霜臺柏。阿兒玉署仙。旣贒榮又慶。此福世無肩。陰隧玄泉邃。華堂夜月懸。潘郞喪耦日。韋氏結腸秊。吊死存生淚。霜天謾自涓。</text>
<title>挽詞[張維]</title>,<text>聽說潛翁逝。驚呼淚逬長。斯人不復見。世道只堪傷。玉雪廉頑操。風霜嫉惡腸。居然已千古。萬事一亡羊。其二契濶分湖嶺。音容別後踈。脩門余復入。漳浦子離居。爲寄潛窩記。俄傳永訣書。深情負存沒。長愧巨卿車。谿谷張維</text>
<title>挽詞[李楘]</title>,<text>同志同庚友。淸襟邁等夷。城南朝夕會。江外死生離。未卽憑棺慟。都緣出禁遲。數行書有贈。期不負孤兒。松郊李楘</text>
<title>挽詞[姜碩期]</title>,<text>公非吾友乃吾師。出處行藏衆所推。凜凜危言朝野竦。堂堂直節聖明知。殊恩纔荷淸要地。宿疾終悲殄瘁詩。身後哀榮褒美極。千秊箱篋照心期。月塘姜碩期</text>
<title>挽詞[金尙容]</title>,<text>兩世論交契分深。白頭猶不變初心。十秊瘴海還經幄。一疏忠言聳士林。天上記樓催返駕。人間臨老失知音。生蒭欲奠江山阻。悵望丹旌淚滿襟。仙源金尙容</text>
<title>挽詞[金尙憲]</title>,<text>故人病時寄我書。使我作記篔簹谷。含思未抒君不起。孤負幽明永相隔。顧言丁寧托諸友。遺札披來不忍讀。生前未聞飯人。死後誰爲動輪客。君生不愧范巨卿。我死羞見張元伯。君有淸操如玉雪。君有心肝如鐵石。君有章疏動明主。擢長薇垣奬忠直。恩波猶及九原中。死若有知增感激。日月滔滔將葬矣。丹旐翩翩引素帛。江頭咫尺阻攀輀。東望楊山一聲哭。淸陰金尙憲</text>
<title>挽詞[李顯英]</title>,<text>形如瘦鶴味筍蔬。契托峨洋結髮初。冰雪襟懷尤皎潔。風塵蹤跡覺恢踈。生平節槩敦衰俗。世上榮枯付太虛。楚澤羇棲曾 二字缺。薇垣寵擢竟何舒。膏肓莫救終歸化。針砭誰能更起余。聖主留神忠告筆。親朋流涕托孤書。餘生悲感三宵夢。世事凄凉一草廬。數畝荒田吾欲老。白頭誰與共樵漁。蒼谷李顯英</text>
<title>挽詞[宋淵]</title>,<text>昔我初識君。摳衣侍凾丈。讀書坡山下。溪堂秋日亮。疏食共一盤。咬菜隨几杖。君秊過弱冠。逸氣何精爽。每聞義理說。垢穢似𠛄磢。已忝許與分。幾歲蒙矯枉。獻策屈千人。玉立靑雲上。常懷報君志。致理指諸掌。天運屬昏亂。未免罹禍網。嗟嗟嶺海隅。白首困炎瘴。結窩號蟹甲。欲避風沙漲。馳書求我題。拙句安敢當。洒涕讀三過。情懷倍悒怏。寒極必陽生。復見天日朗。君乘使者傳。冠豸立天仗。淸峻出流輩。擧手人咸仰。聖主愛謹㓗。羣公服高亢。領郡撫惸嫠。宣風破豪黨。抗章斥宮閫。聞者膽欲喪。凜凜振衰俗。皆驚作何狀。俄然諫議命。實是褒贒賞。太平期可兆。天意固難諒。曾聞聖人言。仁者壽宜享。胡爲志未展。遽爾歸黃壤。朝廷失國器。閭巷罷杵相。危行與直言。已矣誰復望。恩典出異數。聖衷猶惻愴。承家玉胤在。以禮從喪葬。伊余髮垂素。愧獨卧草莽。能得幾多時。死生如還𨓏。靈車儼已裝。杳杳楊江槳。倚杖立洲渚。淚逬聲輒放。芚菴宋淵</text>
<title>挽詞[金宗一]</title>,<text>寒冰至淸。白玉㝡潔。雖玉潔而冰淸。亦冰消而玉缺。先生之志烈寒冰心貞白玉兮。終不可消而可缺。誰復爲先生悲兮。死生貧富先生兮視之如一。門人金宗一</text>
<title>挽詞[趙克善]</title>,<text>嘐嘐皆曰古之人。夷考終然石似珉。善惡一生誠好惡。吾夫子是任天眞。門人趙克善擬挽</text>
