<title>得失</title>,<text>得失皆前定。悲欣都是空。誰能知此理。塞上有閒翁。</text>
<title>端居漫興</title>,<text>碧城東麓古巖邊。精舍蕭然竹作椽。暫借山僧同計活。偶逢詩伴卽留連。林踈不碍淸宵月。野曠平鋪薄暮烟。蒲席藤床與烏几。此生身世亦安便。</text>
<title>春雨</title>,<text>昨夜霏霏春雨來。地中羣蟄一時開。已看弱柳依依綿。且想嬌桃艶艶腮。物性自然皆得意。人生何事獨含哀。遙憐萬里樓般卒。妻子相將哭送廻。</text>
<title>詠雪</title>,<text>寒氣先從病骨生。淸光仍作小窓明。連天瑤海無蟾影。接地銀山欠鳥聲。樵客却愁歸路絶。漁人錯認亂濤平。老夫乘興欣相對。只是妻孥赤足行。琪花點點自天生。瓊蘂紛紛滿地明。窓外灑時微有響。庭前落處却無聲。野路遙連山路沒。小橋還與大橋平。莫敎童子柴門掃。留作村翁玉界行。</text>
<title>遊西湖。次李參奉 大淳 韻。</title>,<text>載酒西湖湖上頭。却敎人見認仙舟。𩿨邊近店看疑動。鶴背遙峯望若浮。江膾縱然乖始願。村醪猶爾過初求。纖歌寶瑟兼長笛。亦是平生一勝遊。</text>
<title>與金愼齋 集 述懷</title>,<text>摳衣凾丈卄餘年。樑折如今欲問天。往事依然眞似夢。此懷牢落向誰宣。傷心每憶春風面。失路空憐玉樹贒。到老吾儕無所仰。獨留遺宅夕陽邊。</text>
<title>次俛仰亭 宋純 韻</title>,<text>當時選勝此山臯。幾費燔𥚉輦壤勞。陳跡只今渾似夢。繁華疇昔孰爭高。暮年塵土身空病。春日登臨意更豪。遺曲千秋傳樂府。知公詞賦合風騷。</text>
<title>次聽潮軒韻</title>,<text>縹緲高軒勢若騰。箇中風景摠堪矜。潮生海岸爭收網。夜入村郊亂點燈。留得此時無盡債。欲期他日更來凭。荒詩不合題丹壁。興到今宵自不勝。</text>
<title>倡義擬赴南漢口呼</title>,<text>東土從來雖小藩。民能戰闘古無倫。三千里大桑麻地。十萬衆強熊虎軍。誰道力微難雪恥。直緣誠薄坐因循。君看昔日張孺子。只是形如一婦人。</text>
<title>行到淸州聞講和</title>,<text>萬恨千愁集此辰。山河回首漲胡塵。生涯已作迷邦客。身世還慙入海人。西去衣冠猶未返。北來消息苦難眞。何當斬取樓蘭首。中夜挑燈看釰頻。</text>
<title>淸州歸路感慨呼韻</title>,<text>修文講武摠非關。萬古傷心一漢山。春盡塞垣悲鶴夢。月明長樂慘龍顔。論侵社稷膓如裂。語及生靈鼻亦酸。從此便尋東海水。葬埋魚腹卽心安。</text>
<title>次鄭畸翁 弘溟 寄方伯韵</title>,<text>三年褨路隔神州。萬古傷心鴨水流。自此威儀難覩漢。向來文物欲從周。沙中有鐵誰張膽。江左無人未解憂。不識廟堂多少筭。也應知道屈原謀。小少狂心狹九州。晩來衰落卽凡流。長求藥餌身還病。每說艱難力未周。宇宙此間空涕淚。乾坤何處散愁憂。直須釀得千鍾酒。大醉無醒是上謀。</text>
<title>亂後有感</title>,<text>士民魚肉不須論。今日傷心獨至尊。瑤塞雪飛消息斷。玉關雲鎖夢魂頻。才難孰買涓人骨。力弱惟思句賤薪。回首中原時北望。佇聞天子朔方巡。擧目如何淚自傾。從今直欲死東溟。關西道路連胡塞。拱北衣冠阻漢庭。范氏一人難更作。郭公千載未還生。可憐雪恥終誰賴。孤負先朝向日誠。</text>
<title>聞洪公 翼漢 死節</title>,<text>蔽日兇鋒殺氣麁。堂堂不覺此身孤。生前豈解眞君子。死後方知大丈夫。忠烈當時誰並比。綱常異日賴持扶。休言地下無相問。蘓武千年與作徒。</text>
<title>感懷次吳公 達濟 韻</title>,<text>萬事飄零跡似萍。早知忠信可蠻行。天邊路盡惟胡地。日下魂歸是漢庭。眼逐白雲長灑淚。夢尋靑草更傷情。扶持節義孤臣在。王道何時屬太寧。烏臺抗義豈謀身。大節終歸敢諫臣。蘇子卿前無此匹。文天祥後有斯人。貞心空照殊方月。魂氣應隨故國春。莫道當年昧時勢。由來嫁禍是和親。</text>
<title>讀金淸陰疏</title>,<text>墨色淋漓眞滓悲。邦衡肝膽魯連辭。孤忠只願尊周室。直氣應知却虜師。白日重明箕子國。淸飇遠動玉皇墀。朝廷莫更煩彈射。扶植綱常竟在誰。聖朝新發五千軍。海上樓船列似雲。籌策方將陳紫闥。封章誰送入金門。危言動主風霜起。直氣掀天霹靂奔。志士莫愁倫紀絶。此翁終始負斯文。文明盡入犬羊塵。忠義堂堂獨此人。平昔已期持漢節。卽今那忍作秦民。片言不啻千匀重。隻字能扶萬古倫。洗手焚香仍靜坐。回披讀一沾巾。</text>
<title>讀兪公疏</title>,<text>從來直諫出斯人。疏上班班血涕痕。老相杜門猶養病。少卿留獄尙全身。關中未慰兵民㤪。塞外誰招士女魂。自古忠言難見用。後車何不鑑前輪。</text>
<title>讀張巡傳後叙</title>,<text>死守孤城誓始終。美人肌肉激軍衷。從知靈武中興業。賴得江淮保障功。賦性本無前後異。事君宜有古今同。如何南漢和成日。預竪降幡只望風。</text>
<title>寄宋主簿示志</title>,<text>頭白如今値不辰。世間無地避胡塵。浮沉只合同流俗。蹤跡何妨混衆人。分外求名知是幻。靜中觀理認爲眞。芳洲三月春光好。隨柳尋花獨往頻。不向乾坤㤪此辰。古來贒聖亦風塵。自知窮達非關世。豈把行藏敢儗人。有跡便能招物議。無名只是保吾眞。丁寧說與桃源客。幽處相尋莫厭頻。</text>
<title>寄觀察使元子建</title>,<text>三持一節駐湖濆。望溢南州聖顧勤。刑德並流唐孔戣。華夷皆識宋希文。山扉忽見來初雪。江閣還愁隔暮雲。聞說邊頭轉多事。知君夜夜獨消魂。邦家保障在湖南。故仗全才按節三。千里山河曾眼熟。百年風俗尙心諳。報君只是餘丹血。憂國如今已白髯。想得中宵無夢寐。每挑燈火看霜鐔。</text>
<title>聞調發舟師</title>,<text>二月東風西海涯。樓船千艘欝嵯峨。雲檣影落鮫人窟。彩鷁光連若木波。帳裏盃樽兼虜酒。舟中鼙皷共胡笳。篙師且莫催征棹。不是朝天上漢褨。</text>
<title>次崔直見寄</title>,<text>廟對明沙松自老。堂臨白石水空流。十年凾丈顔如昨。千古眞源路更幽。皓首自憐吾已老。靑春終愧子同遊。不妨從此收殘緖。精舍將開海上頭。附原韻師傅淸襟如水鏡。廣文文藻若江流。曾從先子初聞道。晩學沙溪更賾幽。坐見兒童成項領。居然老大任優遊。天心應許山林主。須結茅茨碧海頭。</text>
<title>贈李參判文伯 楘</title>,<text>歲月如梭疾若飛。暮年心事每多違。自甘遯世棲荒野。且喜誅茅近翠微。人在病中無意緖。山因雨後有光輝。邇來更覺知音少。非子吾今孰與歸。十年奔走逐蓬飛。萬事人間計每違。簾捲暮山雲靄靄。窓開平野雨微微。瑤琴入匣非無響。龍釰藏鞘尙有輝。正是此心孤逈處。不堪斜日送君歸。</text>
<title>次李成俊韻</title>,<text>止水虗明不起波。中涵萬理浩無涯。求仁在內非關外。爲學由吾豈問他。空向絶潢愁海遠。謾尋荒徑泣岐多。白頭儂亦迷歸處。眞是從前坐媕婀。</text>
<title>題宋氏林亭</title>,<text>白石靑山第一頭。主人居處占淸幽。荷枯池面紅衣謝。松老牎前翠盖浮。翁性本能勤接引。客情無不欲淹留。黃花滿泛盃中酒。免得蕭條負九秋。愁多忽忽獨搔頭。病卧窮簷若縶幽。萬事如今皆夢幻。百年於世任沉浮。干戈滿地將奚往。歲月欺人不少留。何處可能成一醉。宋家亭子菊花秋。</text>
<title>田家歎</title>,<text>吏來朝暮叫門前。獰色風生氣勃然。民產飄零同幕燕。官刑狼藉異蒲鞭。往年喪敗何須說。此日艱難轉可憐。莫道田家猶有樂。如今心似墮深淵。公門推恕古來小。何况當今世更衰。賦出似雲那得辦。令催如電正難支。民生自此皆流散。天道從前幾變移。欲訪桃源迷去路。人間無處可棲遲。</text>
<title>題朴丈幽居</title>,<text>小洞淸幽絶俗塵。心灰百事任家貧。茶因雨過枝初長。蘭被風僛葉正新。草積苔庭無到客。鳥馴花塢不驚人。却將餘與輸何處。只向鄰家問酒頻。淸晨起坐每梳頭。骨相元來是道流。萬事任他渾不管。百年安分更無求。柴門寂寞人誰過。花塢蕭條獨自遊。賴有平生詩興在。苦吟終日遣閒愁。莫歎蹉跎志未成。亂時蹤跡貴無名。已忘物我天機合。且廢營爲野意淸。郭裏烟霞元是分。籬邊松竹有誰爭。年垂九十風神在。稟得眞仙太乙精。</text>
<title>謾筆</title>,<text>平原雨後起村烟。芳草萋萋綠滿天。唫竟不禁思遠寺。望中安得着漁船。日斜前路行人度。霞映遙山過鳥懸。一面雲林乾凈地。此間端合送流年。</text>
<title>挽詞[金集]</title>,<text>卄載邇來吾道窮。舊交回首水流東。石川偲切人何在。芚岳從遊夢已空。塵世幾經存沒痛。暮年長隔別離容。如今執紼嗟無及。他日重泉會得逢。愼獨齋金集</text>
<title>挽詞[趙龜錫]</title>,<text>儒林標望早超倫。嗜古平生氣味醇。達識久知名是幻。靈襟惟認道爲眞。淸修志謝芬華境。遲暮神頤寂寞濱。太史他秊高士傳。芳聲應不讓前人。藏六堂趙龜錫</text>
<title>挽詞[趙涑]</title>,<text>淑氣湖南地。吾贒乃特超。士林推道德。經幄被徵招。遽此摧樑棟。更何訪範標。追隨平日誼。題挽祇魂銷。滄江趙涑</text>
<title>挽詞[李惟泰]</title>,<text>憶曾溪上語。吾黨有伊人。踐履皆由正。淵源果得眞。幽音悲此日。淸誨拜何辰。休道泉臺邈。芳聲不泐淪。草廬李惟泰</text>
<title>挽詞[具瑩]</title>,<text>後學將安竹。先贒孰可追。悠悠葬日促。慘慘路人悲。道以詩書大。貧惟爵祿辭。焉知雞忝約。竟作九原期。竹牖具瑩</text>
<title>挽詞[權克中]</title>,<text>白賁邱園士。姿質是天成。師事沙溪子。學討自明誠。圖書數間室。一生有餘淸。水月讓光彩。松竹媿堅貞。生官號諮議。死後贈持平。天道冥冥不可知。高贒終未壽期頤。沉埋雪月氷壺彩。摧折貞松苦竹姿。無復詩書凾丈誨。有遺典則後生垂。郡侯應表康成里。千古觀瞻在立祠。靑霞權克中</text>
<title>挽詞[尹拯]</title>,<text>波潭一脉到文元。夫子平生早得門。醇行在躬心慥慥。敎思容物德溫溫。先人契在淵源共。市老文傳侑享尊。病蟄末由觀緬禮。敬將蕭挽向秋原。明齋尹拯</text>
