<title>僧伽寺別贈待可學長 乙亥</title>,<text>故人信宿歸。落日千峯夕。悵望立空門。烟雲勞遠目。</text>
<title>戱賦金尙州 道源</title>,<text>生憎此物苦隨身。欲脫樊籠未有因。莫恠從君煩一解。故園同是未歸人。別筵戱解其佩符。追送道上。</text>
<title>贈金昌遠</title>,<text>憶昨亭邊芍藥叢。一樽江上晩來風。逢君不憚重酩酊。感舊情懷自不窮。</text>
<title>送金昌遠宰江陵府</title>,<text>鄕射堂中惜別時。淹留一醉本無期。歸來梅閣愁多少。斗覺寒鐘報曉遲。</text>
<title>次金允明長歌客韻</title>,<text>哀之欲哭樂之歌。我欲痛哭君何歌。君歌甚於我之哭。不須痛哭宜長歌。原韻長歌長歌復長歌。終日終宵歌且歌。問汝長歌何所思。不無所思又長歌。</text>
<title>永嘉蓮亭。次席上韻送兒還縣。</title>,<text>日暮他鄕歲已深。不堪今日送行心。浿江渡後魂應斷。關路雲飛鴈影沉。</text>
<title>贈弟</title>,<text>高堂歡樂醉頻頻。惟恨樽前少一人。此席團圓天所借。無邊喜氣動新春。</text>
<title>憶鄕寄兒歸</title>,<text>松楸東畔是菟裘。歸思滔滔日夜流。溪柳池蕖宜早植。汝歸須與遠公謀。遠公卽齋宮僧志軒也</text>
<title>送韓生䂓遠 二首</title>,<text>逢君感舊意如何。此別蒼茫路又賖。他日相思何處是。月明池邊動新荷。離懷悄悄酒微醺。二子行㫌入嶺雲。莫向㺚川分客袂。水聲嗚咽不堪聞。</text>
<title>挽金正郞 盖國</title>,<text>當時蓮榜舊同年。三十年來半作仙。嶺外逢君君又逝。不禁哀淚徹重泉。</text>
<title>謝豊德姜使君惠魚</title>,<text>今朝寒俎便生光。細切松鱸玉縷香。只恨使君褦襶甚。不兼秋露瀉瓊漿。</text>
<title>題凈土僧詩軸</title>,<text>扣門聲裏破閑眠。甁錫飄然下白蓮。忽憶匡山舊遊處。不堪頭白詠凉天。</text>
<title>贈大興寺僧</title>,<text>霜菊墻根爛熳開。翠微臺逈獨徘徊。此間別有風流地。衣白人携綠酒來。</text>
<title>甲辰閏九月</title>,<text>中酒今朝更擧觴。一年難得兩重陽。茱萸影裏人還少。太苦黃花空自香。</text>
<title>武學堂。次辛伯道韻。</title>,<text>一會溪橋午景移。忘機魚鳥似相知。主人久抱文園病。莫恠當筵把酒遲。</text>
<title>挽柳相國西厓 成龍 而見</title>,<text>大廈寧容一木支。故園松菊去遲遲。起樓無地甁無粟。惟有桐鄕舊倅知。</text>
<title>慶壽宴後。寄詩同隣。</title>,<text>晉興堂上稱觴日。八十靈椿未老時。兩家一慶思一獻。同是西城比屋兒。</text>
<title>逢秋</title>,<text>老暑侵人何太苦。淫霖過後覺新凉。此間更着中秋月。方信天公無盡藏。</text>
<title>次郭評使 天豪挺夫 韻 評事卽芝溪公同榜字挺夫。丁未廣州牧使時。</title>,<text>一年佳節屬重陽。萬壽堂中萬壽觴。大醉不辭寒夜永。西原老守興偏狂。</text>
<title>次韓督郵孝仲韻 卽芝溪公同榜字景張。淸州牧使時。</title>,<text>鶴髮高堂喜溢顔。兒孫獻祝海兼山。箇中堪笑萊衣子。忘却衰遲髩已斑。</text>
<title>朱文公八大字 丁未</title>,<text>紫陽夫子意何勤。寫出明言八字文。珍重諸生宜佩服。希賢希聖得其門。</text>
<title>紫霞洞口占</title>,<text>淸川白石亂嵳峩。仙洞深深是紫霞。五百年來擅名地。英豪詞客幾經過。</text>
<title>送李淸叔之忠州庄所</title>,<text>漢水西風一篴聲。片帆千里送君情。中年懷抱傷離別。莫向深宵對月明。</text>
<title>花潭謁廟有感</title>,<text>平生夢想始來參。山似圍屛水似藍。欲識當年眞樂地。一天明月照空潭。</text>
<title>菘陽書院謁廟有感</title>,<text>善竹橋邊秋草深。秪今行客淚盈襟。綱常萬古懸明月。誰識先生一片心。</text>
<title>病中有感</title>,<text>庭請隨參只畏死。責人何以不能爲。賢才布列淸要地。扶植彜倫可笑辭。</text>
<title>巳浦江亭春帖 卽高陽地名</title>,<text>一卧江干任病身。天門遙憶獻祥辰。孤臣老矣無餘願。但祝年豊樂萬民。</text>
<title>次功彦碑峯韻</title>,<text>雲外高峯望轉危。一筇歸客久躕踟。山林勝迹吾堪賞。浮世名途衆所馳。古樹欲生新歲葉。荒苔自老舊時碑。斜陽不覺歸來晩。吟到黃昏未就詩。</text>
<title>次功彦憶中興洞示諸益韻</title>,<text>寒流咽咽響前溪。芳草烟花思正迷。抱病松關吟更苦。結懷梨峴首空低。佳期寂寞春將盡。幽興蕭條日欲西。早晩武陵溪畔路。一壺山釀倘相携。</text>
<title>次劉希慶呈席上韻</title>,<text>迢迢鱗羽阻南溟。雲外相逢眠忽明。十載悲歡驚轉眄。一時離合笑浮萍。頑雲漠漠迷邊塞。花樹冥冥滿禁城。此會人間誠一幸。明朝何必戒君行。</text>
<title>碑峯卽事</title>,<text>春半離懷欝未開。一筇扶我上崔嵬。雲收雨脚天邊去。風送歸帆海口來。極浦烟光迷遠近。禁城春色聳樓臺。淸樽莫負他時約。十日韶光不可迴。</text>
<title>僧迦舊遊。倐然已經二十有四歲。其登覽之勝。從遊之盛。未甞不往來於心目。其時有諸公吟咏手蹟一帙。名之曰僧伽酬唱集。近日經變之後。未知散落於何處。常爲慨然。今忽得之意外。披翫再三。宛然如眼中事。噫兵燹之餘。秘書寶藏。無不散失。獨有此篇完璧而得傳。是豈非造物者好事有所撝訶守護。而抑有數存乎其間歟。同遊六人。而石李二君已不在世。餘存者亦多星離而雲散。會合無期。今吾與子得會於此。得閱此編。是亦非偶然。亦未知繼此而能團會數君。以續舊事歟。或未知萍逢浪迹。別多聚少。而竟歸於落莫歟。是未可知也。而亦非人力所及。念之及此。不得不深感而興喟焉。謹呈效拙近體一首。因冀和敎。許李二君聞之。應不惜辱和。</title>,<text>匡山盛集閱殘編。回首如今二十年。却憶風流如昨日。不堪人事足悲憐。蒼松怪石臺邊路。細草幽花洞裏天。安得與君尋舊躅。碧峯棲息伴羣仙。</text>
<title>諫院契軸 己卯</title>,<text>薇垣淸選最今時。自愧菲才久竊吹。密席偶成談笑穩。臨歧因作去留悲。月明漢北歸鴻斷。秋盡遼西倦馬遲。一幅新圖如有意。披來聊復慰相思。</text>
<title>挽栗谷李 珥 叔獻 甲申</title>,<text>斯文宗匠國蓍龜。海內聲名走卒知。洛下正逢司馬日。蜀中新喪孔明時。靑衿共切摧樑痛。丹扆重深失鑑悲。挺生何意何意奪。蒼天漠漠問憑誰。</text>
<title>萬曆丁亥暮春。呈近體二首陳謝使裵大司成行軒。二首</title>,<text>日邊槎影指長安。悵望雲泥不可攀。衣帶御香金殿曉。路經遼海暮春寒。觀周始愜男兒願。惜別休驚壯士顔。賸愧臨分無贈語。應須努力更加餐。陳謝之行揀最精。斗南淸譽動時英。臯比上座新師範。綠墅開堂舊典刑。金水新衙仙丈肅。玉河秋樹旅魂驚。靑綾猥伴同時直。堪笑如今尙竊榮。</text>
<title>次銅仙韻</title>,<text>衰遲長是昔年華。鬢雪那堪日日加。鞍馬忩忩倦行役。山川歷歷舊經過。靑連野外烟和草。紅减枝頭綠打花。戱劇天公還滯客。浿江西畔故人多。</text>
<title>懿仁王后挽詞 庚子</title>,<text>沙麓休禎三十春。東民無祿喪周嫄。仁宜得壽天何奪。聖祝多男理亦昏。百歲難忘去豳辱。千秋長憶賜囊恩。暮烟衰草秋郊路。白髮孤臣哭彩轓。</text>
<title>挽吳大年 億齡 晩翠先君 二首</title>,<text>賢郞是我平生友。一獲承顔慶席中。最喜聖恩優許覲。不堪人事遽傳凶。恩榮有赫盈門慶。孝思無涯振樹風。多愧古人匍匐義。海雲迢遞信難通。五福人間備者誰。欲收哀涕賀靈幃。春萱八十猶華髮。寶樹塤箎捴白眉。社鼓村醪娛老日。銅章玉節耀庭闈。門闌餘慶知何限。種德雲孫未艾時。</text>
<title>島潭次李丹陽叔平 埈 蒼石韻</title>,<text>三島風烟望裏開。早知靈境接蓬萊。新春桃浪今猶記。前席劉郞又獨來。歸夢每尋丹壁路。何時共把紫霞杯。月明潭上酬前約。醉挾飛仙去不回。</text>
<title>次奉化客舍韻</title>,<text>余季奉親山水縣。我來頻把壽杯斟。他鄕喜得同堂樂。白首猶存戀闕心。春意欲添梅柳色。客懷空費短長吟。孤燈半壁三更雨。覺窓前冷透衾。</text>
<title>次義州通判淵軒韻 三首</title>,<text>劉郞重到七經年。邑里荒殘更幾椽。獨有舊亭臨海岸。分留物色滿庭邊。衰顔作客長吟病。勝友如雲屢忝筵。邂逅莫辭終日醉。風流可繼習池賢。小亭新卜亂離年。隨分經營架數椽。千里雲山來眼底。一江風月餉欄邊。登臨正好籌長策。尊酒非關敝別筵。門戶祗今民安堵。須知終始借仁賢。吟病他鄕日抵年。不堪矮屋打頭椽。忽聞給事朝天去。因想春曹向日邊。塞草暖烟迷客路。江梅小雨濕離筵。一麾未借春暉暮。知我平生仗友賢。</text>
<title>挽李錦山 大遂</title>,<text>新春寄我音書至。湖嶺長懸兩地思。豈意陶園尋徑日。遽聞遼鶴化仙飛。靑山無限君埋少。白首何歸老淚垂。獨夜鈴齋懷玉樹。不堪寒雨冷侵幃。○第一聯。一作陶逕欲荒飛鳥倦。遼城依舊主人非。</text>
<title>壽席題贈尹通判</title>,<text>七旬添五最稀齡。二老同堂又一庚。共指南山祝萬壽。還斟北斗獻千觥。佳辰偶値重陽近。彩袖交揮衆樂轟。只願年年長此日。世間何事更求嬴。</text>
<title>次正使朱翰林 之蕃 明倫堂韻</title>,<text>樽俎雍容縟禮繁。鯫生何幸托龍門。欣瞻寶墨輝新搆。更挹春溫吐緖論。翰閣詞華風格老。考亭家學典刑存。洋洋聖代同文化。莫道東韓是外藩。</text>
<title>次副使梁給事 有年 謁文廟示諸生韻</title>,<text>墻高數仞蔽堂隅。階級分明見道儒。經學反求眞寶地。行原深造聖工夫。坦途尋處知由近。大寐醒時不待呼。看取鳶魚自飛躍。吾師只願一言無。</text>
<title>次正使遊漢江韻 二首</title>,<text>江山幾閱古今遊。題詠曾聞第一頭。勝景久從神媼秘。良辰應爲美人酬。金陵佳麗懷鄕國。漢水風光異帝州。嬴得珠璣携滿袖。他時物色可分留。澄江如練人如玉。渺渺仙舟勝宴張。文采乍看鸞鳳表。風流偏愛水雲鄕。樽前笑語陽春藹。筆下波瀾壁月光。好事天公解留客。半輪蟾影浴滄浪。</text>
<title>次歸來亭徐萬竹 益 君受韻</title>,<text>回看終南是我家。倦遊千里未歸何。經春病樹開花少。過雨寒江起浪多。暮鳥知還尋樹杪。輕鷗隨意下汀沙。潘輿爭道笙歌閙。隨處恩波豈有涯。</text>
<title>挽柳僉知 時行</title>,<text>淸氷出壑玉無磷。愛醉非關酒未醇。燕闕朝迴身尙健。閟宮齋羅夢還眞。堂高鶴髮看啼血。沙晩鴒原影失隣。一理昭昭餘慶大。謝家瓊樹作儀賓。</text>
<title>次李提督 汝松 西澗韻</title>,<text>晩向江樓開壽席。風烟漠漠欲殘春。飛花細逐紅桃浪。楚舞輕回錦繡茵。千里暮雲何處路。一年芳草未歸人。最恨歌兒多異態。回頭長學柳眉嚬。</text>
<title>挽李同知 蘧 仲尙大夫人 百二歲蔡氏</title>,<text>年前高會九夫人。首座萱花百二春。共說東韓遐筭獨。遽聞南極壽星淪。䟽封崇秩恩光大。累享全城孝道純。哀挽題詩還欲賀。諸孫七十送靈輴。</text>
<title>入西原境 丁未</title>,<text>一麾迢遆入西原。籬落蕭條問幾存。村路日遲禽語亂。河橋氷冸水流渾。華堂欄檻凌霄逈。綺席笙歌向夕喧。嬴得慈顔歡意足。此生隨處感君恩。</text>
<title>次洪羣玉 千璟 獻壽席韻 號盤桓</title>,<text>春萱八十一堂中。鼓笛喧喧沸晩空。歌詠還慚謝康樂。親朋幸遇郭林宗。只緣惠好過臨遠。更覺衰遲臭味同。莫恠當筵狂態足。肎將今日換三公。</text>
<title>次沈仲悟韻</title>,<text>交道由來不押肩。暮年心事轉依然。相逢鈴閣深秋後。共對匡床數日連。大谷雲沈藏老月。塔山霜落響寒泉。不妨聯袂窮幽賞。觸目林巒捴可憐。</text>
<title>壽席次宋佐郞 仁及 擇之韻 二首</title>,<text>昨夕傳聞國慶新。太醫不用議甘陳。孤臣但切無從涕。諸客皆爲獻賀人。聖壽共祁龜鶴筭。萱花難老八千春。今辰喜氣君看取。萊▣堂前雪滿巾。洛下年年今夕會。此來追憶已成陳。金貂滿座升堂客。玉樹盈庭舞𥚖人。海筭添籌逾萬歲。仙桃結子又千春。西原樂事還如舊。忘却尊前醉倒巾。</text>
<title>丁未重陽。敬次亞使成歡丹邱韻。卽席口占。</title>,<text>世事悠悠百不關。置身端合惠夷間。半生形役空搔首。五馬榮光亦汗顔。幸値佳辰逢好客。羞將白髮對靑山。諸公應解無窮意。萬壽樽邊舞袖斑。</text>
<title>次熊天使 化 漢江韻</title>,<text>紫鳳新從天上迴。金門乍掇侍臣枚。同舟幸作登龍客。揮翰偏驚倚馬才。小艇爭收漁網集。長風時送遠帆來。怱怱歸騎斜陽路。可惜襟懷不盡開。</text>
<title>又次蚕頭韻</title>,<text>翠壁千尋俯碧流。仙舟移棹鏡中遊。江山有待因人勝。鷗鷺多情近客浮。芳草暖烟迷栗島。晩風驚浪起蘋洲。他時嘉樹應長憶。繪事須歸顧虎頭。</text>
<title>挽完陽府院君李驪叟 忠元 元夫</title>,<text>妙齡才藝出天性。銀榜傳呼第一名。栢府威風凜霜雪。桐鄕遺愛頌神明。淸貧舊業甁無粟。扈聖殊勳鼎有銘。同閈少年今白髮。此生那得更薰香。</text>
<title>癸丑九日。訪車萬里別業。錄奉近軆一律索和。</title>,<text>蕭然茅屋近靑山。烏几藜床晝掩關。籬畔黃花香艶艶。窓前流水響潺潺。佳辰正値重陽節。來客都忘五馬還。堪笑王公不解事。白衣何似共斟歡。</text>
<title>松都同僚四壯元契會宴。得花谷尋芳題。甲寅爲留守。號西湖。公乃己卯式年狀元。</title>,<text>松都形勝五冠南。翠壁粧紅倒玉潭。數子恩榮俱第一。老人僥倖亦同參。僚筵邂逅眞奇遇。好事流傳作美談。最是賢祠遺躅在。滿庭芳草綠毶毶。右春滿月懷古 雲麓李時禎衛中。庚子別試壯元經歷。一片荒㙜古道傍。薄雲秋色帶斜陽。麗朝往事今何問。幕府來參亦不量。龍首山爲龍首會。壯元公對狀元郞。寮筵且盡奇逢樂。不用登臨更斷腸。右秋知足聞鐘 晩村尹英賢彦聖。戊子生員壯元都事。回魁僚席會蛇龍。盛事如今幸到儂。暇日風流酬暮景。有時雲卧聽晨鐘。須將吾道留深省。且向禪家起放慵。一夜玄威增氣像。朝來海上玉千峯。右冬朴淵瀑布 滄洲車雲輅萬里。癸未謁聖壯元敎授。懸流千尺倒空靑。上下龍宮隱石屛。雲錦機頭濯氷雪。玉河津畔闘雷霆。從知夏瀑兼春瀑。誰遣魁星對酒星。四箇官僚皆第一。奇逢吾欲問山靈。右夏</text>
<title>許知事 功彦 挽</title>,<text>陽川家學世爭推。詩禮庭前有此兒。幸托龍門成邂逅。幷登雲路任委蛇。晨趍校局疑爭訟。夜對金床捧賜巵。末路交情翻覆手。歲寒心事後凋姿。盈車積謗君何病。懸鑑恢公我自知。夙抱沈疴應是命。新登勳籍奈長辭。封章懇懇今亡矣。天意茫茫欲問之。絃斷匣琴塵寂寞。霜殘花塢菊離披。寒宵有淚空盈頰。淸漢無由哭送輀。欲向花潭尋舊躅。歸魂倘許夢相隨。</text>
<title>僧伽寺。次見吉有懷四詠韻。乙亥</title>,<text>踈夢初迴古殿邃。獨抱寒衾倦不起。西峯落月正微茫。遙憶故人雲山裏。窓間啼鳥亦何情。聲聲喚出愁人思。右曉春花亂發春山裏。此時憶君情何似。天邊征鴈無迴翮。欲寄音信更誰倚。還憑小枕成午夢。片時歸魂空萬里。右晝古寺鐘殘生夕霧。落日晻晻山色暮。相思美人在何處。萬水千山不可度。黃昏獨立無人見。歸雲漠漠山前路。右夕懸燈古塔僧初散。斜倚寒窓到夜半。多情新月上雲衢。分照兩地相思恨。佳期迢遞心如結。謾敎離腸九迴斷。右夜</text>
<title>送友贈詩</title>,<text>憶昨終南汝會宅。與君此時初相識。把臂休論舊義篤。啣杯且有新知樂。春來一會亦難得。况乃蠻鄕地之角。聚散無常安可測。中路相違未始度。素書時因北來客。莫道山河千里隔。</text>
<title>滿月懷古[李時楨]</title>,<text>一片荒臺古道傍。薄雲秋色帶斜陽。麗朝往事今何問。幕府來參亦不量。龍首山爲龍首會。壯元公對壯元郞。寮筵且盡奇逢樂。莫用登臨更斷膓。																	右雲麓李時楨衛中經歷</text>
<title>知足聞鐘[尹英賢]</title>,<text>四魁僚席會蛇龍。盛事如今幸到儂。暇日風流酬暮景。有時雲卧聽晨鐘。須將吾道留深省。且向禪家起放慵。一夜玄威增氣象。朝來海上玉千峯。											右晩村尹英賢彦聖都事</text>
<title>朴淵觀瀑[車雲輅]</title>,<text>懸流千尺倒空靑。上下龍宮隱石屛。雲錦機頭濯氷雪。玉河津畔闘雷霆。從知夏瀑兼春瀑。誰見魁星對酒星。四箇官僚皆第一。奇逢吾欲問山靈。																	右滄洲車雲輅萬里敎授</text>
<title>花谷尋芳[洪履祥]</title>,<text>松都形勝五冠南。翠壁紅粧倒玉潭。數子恩榮俱第一。老夫僥倖亦同參。僚筵邂逅眞奇遇。好事流傳作美談。最是賢祠遺躅在。滿庭芳草綠毶毶。											右西湖洪履祥元禮留守</text>
<title>慶壽宴席上。次沈一松韻。二首 [韓浚謙]</title>,<text>書云五福孟三尊。有一猶難况幷存。自是高門多積慶。更看雙璧荷殊恩。華筵迭暎黃金帶。壽席初開白玉樽。太史明朝應報異。夜來南極老星繁。					大夫行裏八旬尊。終古人間幾箇存。盛世重年新進秩。名家宿德最承恩。榮深黃髮輝卿月。樂極朱輪擁壽樽。他日龍眠猶勝迹。季郞身上彩衣繁。					柳川韓浚謙</text>
<title>挽章[李恒福]</title>,<text>衰年纔過六旬強。舊友如今半在亡。我偶得差慰意。君先去世益摧腸。東西分占江湖興。風月俱爲嘯傲郞。此事人間難傡美。天憎雙鳥對翺翔。					領議政鰲城府院君李恒福</text>
<title>挽章[李廷龜]</title>,<text>模範高名自布衣。壯元聲價動宸闈。早知雅量同夷險。方信危道免是非。兩代遭逢留國乘。暮年心事掩郊扉。人生百歲誰無死。深羡吾君得所歸。					經術詞華早致身。雍容風裁暎簪紳。當時進退閑淸議。他日論思憶舊臣。畿輔謾留三載化。江湖纔卜一年春。晨坐宿草交遊盡。雪裏孤齋淚滿巾。											大提學李廷龜</text>
<title>挽章[沈喜壽]</title>,<text>詞章經術鹿鳴賓。黃冠魁星玉殿春。何處得來端雅士。同朝甚喜善良人。久登㙜舘謀猷正。晩躡方州政化仁。荀氏八龍纔减二。哀榮前後冠簪紳。					遭際明時學士宗。講筵敷奏氣雍容。先朝眷注天顔悅。當代褒嘉御墨濃。暫醉奉常知味酒。還聞長樂隔城鐘。恩深歸賵全終始。新隴高陽議政封。					杏村當日幾門生。性敏難兼好學誠。博約功深無躐等。聖賢階峻有前程。尙平婚嫁年來畢。仲統園林病後成。月犯少微朝野痛。滿城蘭玉振家聲。											左議政沈喜壽</text>
<title>貞敬夫人安東金氏挽[沈喜壽]</title>,<text>憶曾頻忝壽親筵。隆養皆稱主饋賢。照座鳳凰愉色溢。滿庭蘭玉舞衣鮮。人間福德千家頌。地上神仙萬口傳。豈料如今遆降割。偏敎諸子叫蒼天。					左議政沈喜壽</text>
