<title>九歲作此。偶續成之。自註。上句兒時作。</title>,<text>白日落西海。化月歸東海。陰陽自循環。造化無定態。</text>
<title>三桓</title>,<text>㐫肆無忌憚。莫如魯三桓。有己不有國。陳恒卽一般。</text>
<title>戒</title>,<text>幾微難可失。明哲福自興。履霜堅氷至。何校滅耳㐫。又不忍亂大謀。泥近害於遠。莫學百里奚。頓忘舊時眷。</text>
<title>過露梁津雪景</title>,<text>春陽猶未盛。雪意尙淡淸。浩蕩壺中界。洗出白玉京。</text>
<title>立春</title>,<text>三陽盈地面。天氣日新新。惟願修心鏡。莫留一點塵。</text>
<title>贈白雲處士許是去非</title>,<text>幽境少人到。靑山深復回。朝暮閒中興。白雲自去來。</text>
<title>次從兄韻</title>,<text>受天明命五爲常。易贊存存勉自當。攬得夏繩維趕馬。飽來周道飫飢腸。常伸萬物方稱大。中立千秋莫此強。曲罷風窓琴自語。靜依書几夢虞唐。</text>
<title>豫讓妻</title>,<text>貪金還道不貪金。鮑叔能知管仲心。其友識之妻不識。古來賢哲貴知音。</text>
<title>與白鵝兄並轡遊山。天氣熱。憇樹陰。</title>,<text>三月天氣熱。淸陰解留人。春風生笑語。座上自氳氤。</text>
<title>續戒豫讓妻</title>,<text>萬事如絲過亦深。莫歎斯世少知音。區區擬斷人間念。造化還催物外心。</text>
<title>戒不明厲家中</title>,<text>自愧無誠又不明。半生昧却衆人情。於汝予乎方改是。從今愼不是非輕。</text>
<title>戒人之求備於衆人</title>,<text>世之看人法。執迹不探心。倘無鐘子耳。誰識伯牙琴。</text>
<title>自勉</title>,<text>自歎己無實。何憂人不知。命乎何所悶。隨遇自安之。</text>
<title>次前畫竹韻</title>,<text>體圓中自虛。莫以其形窄。都來天地理。歷歷在斯竹。</text>
<title>別白雲山先塋 自註。生父母墓在於白雲山下。小地名黔吾山無愁幕。</title>,<text>別來先墓下山前。雙眼漣漣淚作泉。回山處處倍悽愴。頻顧白雲心黯然。</text>
<title>有感</title>,<text>天地無窮父母恩。難將寸草報三春。揚名萬一光先業。只在脩仁立此身。</text>
<title>秋夜</title>,<text>秋空歷歷衆星辰。靜夜虛堂月色新。讀罷心經方寸淡。焚香默坐儼凝神。</text>
<title>到鳩嶺下</title>,<text>匹馬周觀雉岳形。行行七日又行行。堪愁石路千峯轉。却喜深山萬象明。霜葉紅爲披錦狀。草蟬啼作引絲聲。離心忽繞原城地。風露凄凄百感生。</text>
<title>別覺悟論岳父墓</title>,<text>士爲知己可忘身。况復情如骨肉親。厚恩空負岳先丈。回首覺山傷我神。</text>
<title>感岳母</title>,<text>厚德難忘岳母仁。溫良莊敬出天眞。休言半子非全子。慈愛無差父母恩。</text>
<title>省掃生父墓所</title>,<text>墳前再拜跪。感淚千行落。生時有此辰。定必欣欣色。</text>
<title>拜岳父母墓</title>,<text>秋風來再拜。感淚澈幽泉。生前逢此日。心樂必欣然。</text>
<title>省祖父墓</title>,<text>無本從何生。昊天德罔極。秋風來省掃。斜日感懷集。又靑山隱隱瀑流閒。霜染楓林萬壑丹。斜陽登墓感懷極。秋色凄凄風露寒。</text>
<title>哀哀 自註。生父氏五十五棄世。生母氏四十棄世。</title>,<text>悠悠者彼彼蒼天。回首昔年雙涕漣。春色倘留椿樹上。百年猶未過稀年。又 自註。余六歲遭艱。今年三十四。哀我幼遭本母喪。只緣多罪有天殃。若延天運廻中道。七十人間駐歲光。</text>
<title>詠小桃</title>,<text>烟光裊裊雨遅遅。紫陌東風柳拖絲。萬卉爭添新雨露。春心徧上小桃枝。</text>
<title>丙子端午。於安山路上。見日下有淡碧物如日。掩日相盪。感而有作。</title>,<text>斜日啣西嶺。自收無限光。恠來何限物。搖盪作妖祥。</text>
<title>見斜日光照江底。赤若長虹。煌煌萬丈。</title>,<text>斜照亘江底。煌煌萬丈紅。何如淸新際。旭旭上東峯。</text>
<title>詠鳶</title>,<text>鳶盤遠勢自無爲。上下四方隨所之。安閒盡是隨時意。一息無違造化機。</text>
<title>挽李奉朝賀 觀徵</title>,<text>昔有䟽二傅。近有八溪君。邇後百餘年。寂然無所聞。吾愛吾夫子。近世寡其倫。淸儉且愼謙。恬靜任天眞。飽聞先輩言。咸稱長者人。溫厚自樂易。語笑生氳氤。一接如餐玉。再接如飮醇。處家尙敦睦。其道在親親。事君無大過。信是賢良臣。居官不苛虐。美譽在下民。生平無恩怨。詎上囂囂唇。槐陰一大夢。強絆百年身。虛舟任波濤。偶一入要津。浮雲厭於心。世味多酸辛。神光啓塵襟。脫然謝簪紳。淸風一千里。灑然吹俗塵。聞者自起立。世道從此新。身名俱完全。所持未爲貧。靑簡百載下。赫赫更彬彬。春秋七十八。猶可徵其仁。芝蘭滿謝庭。一樹獨藏春。星分在太微。卿月近北辰。福氣甲一世。榮光庇四隣。以辭欲贊揚。辯舌無儀秦。在公何所憾。遺哀在親賓。空將無限淚。灑向交河濱。</text>
<title>悼楊根處士李丈保晩甫</title>,<text>今世難其人。今世難其人。有槩知者鮮。命乎何其屯。素性本公直。坦然任天眞。持身尙淸㓗。處事皆朴淳。謙卑不自是。雖少必咨詢。待人出於誠。辭氣常素純。胷襟自舒泰。不輕生怒嗔。脫略風塵事。逍遙江湖濱。甘貧樂自在。志高輕搢紳。風光常在眼。黨言不搖唇。常歌考槃曲。自謂羲皇民。琴閑月明夜。一室淡無塵。有時出遠郊。走馬快心神。日暮罷獵歸。豪氣高嶙峋。神形勝少年。謂言長靑春。春寒不可恃。萬事歸酸辛。昔我獨閉戶。琴書慰淸貧。修身缺存省。濟世無經綸。丘壑是本分。何必煩問津。知罪甘守拙。不喜隨隊群。側聞古人風。願一承諄諄。情願未及遂。先屈長者身。一見肝膽露。片言情卽親。皎潔如對玉。醺酣如飮醇。忘年許知己。感公克寬仁。談笑自樂易。座上生氤氳。彈琴歌一曲。樂意無涯垠。誰知郢中曲。絶世無等倫。知音愧鍾期。投轄慕陳遵。邇來十餘年。心好日以新。楊江去年夏。源源經數旬。朝霞與夕月。追逐喜得隣。時登子陵臺。共採張翰蓴。菜得商山芝。鱠有松江鱗。里仁聖所美。心中常欣欣。好事本多魔。雲星各離分。悠悠百里間。離思空繽紛。羡彼東飛鷺。一擧凌霄旻。我馬有四足。我車有雙輪。駕焉出遠郊。旋車則遄臻。龍津阻我路。臨歧虛逡巡。㐫兆忽感神。樑月入夢頻。朱絃閉塵匣。誰與論桐君。形影若在眼。欲語竟無聞。世故絆此身。此情無由伸。虛爲馬融笛。悵望空沾巾。情深漢江水。恨結龍門雲。</text>
<title>題烟江疊嶂圖</title>,<text>山從天畔起。樹入晩烟深。湛蕩壺中界。蒼然萬里心。</text>
<title>題烟樹釣漁圖</title>,<text>𡬾抄烟中出。江流萬里長。漁翁多少意。寒雨晩蒼茫。</text>
<title>題山檻怡神圖</title>,<text>春日正遅遅。山水有餘樂。怡然心自閒。時送萬里目。</text>
<title>題海仙放葫蘆氣圖</title>,<text>壺裡藏陰陽。浩然一氣長。滄海極無際。精神入杳茫。</text>
<title>述懷次尹孝彦新卜竹島韻 自註。島前有溪。</title>,<text>小溪衝海激成湍。天借仙區許獨看。乘興欲窮滄海目。月明閒倚竹欄干。又滄海無風常作湍。深沉萬丈黑難看。最是前溪明月夜。碧天星斗正闌干。</text>
<title>又次前韻</title>,<text>琉璃萬頃月爲湍。灝氣凝空爽我看。淨盡胸中氷作鏡。了於斯世一無干。又影動琉璃日是湍。黃金萬頃眩人看。乘桴欲渡東溟去。從此三神不世干。</text>
<title>再次尹孝彦韻述懷</title>,<text>黑風吹海大生湍。波撼天樞眩我看。懷似前溪多屈曲。化爲虹氣斗牛干。又嵐開風靜海無湍。彷彿三神畫上看。春水莫通漁子路。桃源於世本無干。又月空無限水銀湍。碧海靑天夜夜看。澄光照我心如鏡。不許塵埃一點干。</text>
<title>又次韻述懷</title>,<text>心如滄海渺無端。神入無涯怳有看。機靜自饒溪上樂。浮雲於我有何干。又神乘奇夢入無端。域外華胥彷彿看。淡彼海鷗與海客。忘機終日兩無干。</text>
<title>又次湍字</title>,<text>鯨海回風撼黑湍。蓬萊方丈杳難看。一溪明月餘生足。世事紛紛不可干。又日斜滄海混金湍。天外扶桑若可看。夜半月明銀鏡滑。琉璃光射絳河干。又洋洋浩浩極天湍。日月升沉日日看。氛祲忽侵天北極。夜來風雨撼溪干。</text>
<title>次仲舒韻 自註。在忠原作。</title>,<text>向陽開戶一閒望。萬象居然入揣量。千里江山俱興趣。數篇經傳是行裝。虛無違道君羞白。鄙吝存心我慕黃。習習谷風吹滿室。幽蘭何處送幽香。</text>
<title>遊四郡山水</title>,<text>平湖面面鏡光新。隨處風烟解適人。時見朝陽魚自躍。嫰波生處見春仁。又山下澄江靜不流。平湖波滑拖舟優。盡日沿洄幽興足。泝瀾期盡大源頭。</text>
<title>淸風次興叔老兄韻</title>,<text>深處成潭淺處灘。隔林飛閣九霄干。天垂西北回長野。山鎭東南簇石巒。神爽已憐明且麗。眼開還喜窄中寬。雄奇縱亞丹丘勝。引興登臨亦壯觀。</text>
<title>玉笋峯</title>,<text>冲霄削立玉芙蓉。怳是廬山五老峯。安得飛身登此上。直御泠泠萬里風。</text>
<title>龜潭</title>,<text>天設山河壯且䧺。芙蓉千疊散雲空。何限勢藏何限勝。化翁當日幾多工。</text>
<title>惶恐灘</title>,<text>輕舟泝急瀨。白浪打船舷。其將惶恐志。莫以險艱偏。又無雲能起雨。無雨亦成雷。經艱方達易。中道莫輕廻。</text>
<title>島潭次仲舒韻</title>,<text>丹丘形勝亞衝南。列島澄潭秀氣涵。若識箇中眞趣味。許君親去聖門探。</text>
<title>四郡揔詠</title>,<text>四郡江山歷歷遊。一江風月儘悠悠。浮天彩壁明如畫。涵島澄潭靜不流。</text>
<title>還到玉笋</title>,<text>別來歸島思茫然。玉笋峯前故繫船。遊豫莫淫山水癖。怠荒終恐喪吾天。</text>
<title>離四郡到驪興壁寺前江。詠卽景。</title>,<text>行盡眞源得意還。順流西下杳茫間。澄湖十里明如鏡。欸乃聲中暮寺閒。</text>
<title>離忠州向京</title>,<text>東西奔走兩家庭。一念在忠一念京。安得輕身乘羽翰。朝朝暮暮遂斯誠。</text>
<title>龍津朝霧</title>,<text>東嶺日初出。江心白雲生。白雲擁舟去。疑在空中行。</text>
<title>出斗迷津。望三角道峯。</title>,<text>一出迷津眼豁然。道峯三角揷靑天。我家何在終南下。指點雲間眼欲穿。</text>
<title>次興叔老兄韻</title>,<text>托交情不泛。知子素多能。跼䠞違斯世。栖遅困一丞。丹山花正好。春日興堪乘。欲識無窮意。須憑第一層。</text>
<title>春江</title>,<text>循江三日駕東風。無限風光領畧中。乹坤萬里朝來雨。花發千山一色紅。</text>
<title>贈崇文再從姪</title>,<text>生長一洞中。相期不相別。浮萍忽飄散。雲峀空相憶。何幸一夜話。庶可慰阻絶。好事不可久。臨風但惻惻。</text>
<title>次仲舒韻</title>,<text>冲融一元氣。浩浩彌九州。造化自推移。生意長時流。順命自有樂。此外更何求。荒寧聖所戒。戒不爲閒遊。江山正暮春。遠來有好儔。丹丘忽入興。沛然不可休。朝觀玉笋峯。晩泊龜潭洲。三山落鏡面。怳在空中浮。淸光動眉際。濁氣胷中收。我願長此樂。永忘人間憂。</text>
<title>義林池</title>,<text>烟村明滅綠林陰。花滿淸潭山影沉。虛舟盡日閒來往。時有遊魚躍水心。</text>
<title>春興</title>,<text>日午風微岸柳邊。庭前靑草細如烟。鳥啼谷口聲聲滑。雨下溪心點點圓。密樹交枝籠遠峀。淡雲流脚掃晴天。花堤土潤淤泥足。乳燕經巢好得便。</text>
<title>出京將寓美陰江上。舟中作。</title>,<text>超然行色出塵鞿。不復關心禍福機。醉裡乹坤閒日月。任他寒暑自推移。</text>
<title>松陰聽風琴 自註。適持琴向美湖。立琴于松風。</title>,<text>松間晝寂寞。靜聽風琴聲。泠泠空外響。何處鳳和鳴。</text>
<title>避暑松陰。望美陰寓居。</title>,<text>妙嶺迢遙帶晩光。白雲深處是吾鄕。泥途無計披炎熱。繫馬松陰候夕陽。</text>
<title>述懷</title>,<text>天下蒼生水火中。濟安深責在誰躬。所以宣尼常惻隱。幾年虛費輟環功。又鳳鳥不來河不圖。孰回斯世致唐虞。怊悵夕陽何限意。不逢吳道定難摸。</text>
<title>詠閔子</title>,<text>人言屈者爲其伸。胡不甘心季氏臣。磨涅自非吾輩事。恐將徒辱凂吾身。</text>
<title>上白鵝堂先生</title>,<text>平生志意在經綸。願軆生生一視仁。余非得已余無奈。不是頓忘斯世人。</text>
<title>詠顔子</title>,<text>德高能救世。胡不眷斯民。宣尼若不在。未應頓忘人。又常抱謙恭志。當仁不讓師。孜孜常不怠。終無一點私。又不遷不貳過。謙虛更寬容。簞瓢常自樂。春風四時同。又知進不知退。終始博約中。存心都在敬。止水玉鑑空。又望道未之見。一心常孜孜。治身如不及。何暇作人師。又一段驕與吝。生平不着心。明似千磨鏡。精如百鍊金。又藹藹三春輝。乹坤雨露中。光風漾綠水。霽月掛靑空。</text>
<title>詠曾子</title>,<text>重厚如山嶽。慈良軆春意。篤實而適中。善學吾夫子。</text>
<title>詠子思</title>,<text>廣大兼渾厚。無忝乃夫子。中庸一部書。深得精一意。</text>
<title>詠孟子</title>,<text>滿腔浩然氣。塞乎天地間。森嚴敎人訓。千載起愚頑。</text>
<title>詠夫子</title>,<text>天地不可量。春秋自推移。造化無定態。隨時屈伸之。</text>
<title>詠伯程子</title>,<text>春風花柳美。秋月霽景新。倘非顔夫子。千載無其倫。</text>
<title>詠叔程子</title>,<text>忠厚如曾氏。嚴正似孟子。篤實防虛文。鮮能識其義。</text>
<title>詠朱子</title>,<text>秋夜登高望。霜天霽月明。折衷群賢語。千載起後生。</text>
<title>詠周子</title>,<text>光風吹入戶。霽月浩無邊。倘非先覺者。誰能闡眞源。</text>
<title>詠康節</title>,<text>妙論超千古。豪氣盖九州。一部皇極說。能闡造化幽。</text>
<title>詠橫渠</title>,<text>棄邪能歸正。精思覺深義。東西數篇銘。解闡無窮理。</text>
<title>詠南軒</title>,<text>溫厚兼忠實。周詳更寬容。丁寧訓人語。千古大有功。</text>
<title>詠退溪</title>,<text>日和風不動。潭靜穩無波。尋源窮學海。一棹濟東華。</text>
<title>戒學者</title>,<text>天地腥羶久。吾道只在東。倘非忠實者。誰續古人功。</text>
<title>美陰</title>,<text>山家犬吠白雲鄕。一點輕𩿨下夕陽。秋江日暮波紋滑。風送菱花滿地香。</text>
<title>詠江</title>,<text>千里長江鏡面平。日波流處萬珠明。一元生意無時息。時觸風端浪自生。</text>
<title>自警</title>,<text>物欲初萌處。宜加猛省功。譬如一點雪。消釋紅爐中。又心爲外物繫。事事皆苟且。千般飾其非。徒自重其過。又止水澄如玉鑑空。明懸秋月太虛中。存仁倘軆顔夫子。常保自強不息功。又交戰多年如醉夢。悟來一點靈源新。從此能伸萬物上。脫然永作空中人。又俗心絆我迷如醉。三四年來戚戚人。今來始得淸明界。依舊當年本軆新。又誤尋邪路路還迷。萬壑千巖極險危。今來始越大關嶺。到得平原覺坦夷。又無端濁穢着心根。交戰年來醒醉頻。若使一貞爲心主。陰邪何得亂天君。又多年物誘亂心神。悟後猶如宿醉人。吾將敬以爲心主。蕩滌陳邪更致新。又遠色無如柳下惠。孔明雲長翟梁公。欠伸起敬趙夫子。近有鄭公亦可宗。自註。趙夫子靜菴。鄭公卽鄭洙閔。又鳳鳥翺翔千仞峯。朝陽時下碧梧桐。我願洗心淸靜界。超然蟬蛻濁塵中。又物誘無端亂我神。何緣除得俗心空。洛下之言如在耳。吾將謝世入山中。又淸晨靜坐默傷神。點檢身心悔思新。今來大悟平生夢。脫得人間十丈塵。又從情思自便。容易怠荒生。欲深多苟念。交戰自不平。又敬勝怠則吉。怠勝敬則危。上帝昭臨汝。貞貞一爾思。又神明之格思。不可以度思。不可以度思。矧可以厭思。又誠敬常主宰。無意必固我。至德凝於心。可以無大過。</text>
<title>自戒</title>,<text>有才無學必驕泰。子陽徒自妄尊大。我非賢聖與英豪。天下豈無如我者。又愚則不明多妄志。有才無學使強氣。堪羞馬趙行違言。嘲笑徒爲萬古戱。</text>
<title>丙子秋。見餓殍。</title>,<text>堯舜之君稷契臣。和風長作萬邦春。如何聖世多飢歲。未有含哺皷腹人。又 自註。上諸公。八珍羅列錦衣香。花樹陰中醉百觴。如何獨享無窮樂。坐見窮民死道傍。</text>
<title>斷産十八年。幸而生子。曉覆衾。喜題。</title>,<text>寒燈耿耿曉光生。靜聽丁丁殘漏聲。持衾蘊覆兒身上。以此深知父母情。</text>
<title>美湖趙學士儀徵來訪</title>,<text>壺中藏得武陵春。醉裡乹坤日月新。疇上有人耕不輟。岸邊誰子問前津。又保得生生濟物仁。胸中長有四時春。無將外物關心上。克己方稱養性人。又虛舟終日泛閒津。何似閒閒亭上人。秋空淡掃琉璃色。月瀉江心萬頃新。又靜倚高樓默運神。秋心如海極無垠。興來更注天西目。萬里滄波一色新。又獨上高亭望八垠。霜天萬里霽光新。淸風浩蕩吹江面。波洗苔磯不上塵。</text>
<title>至月</title>,<text>中星今始復初躔。毫分無差洽渾然。開闔春秋成變化。往來烏兔自推遷。盈虗合數生奇月。大小相承約一年。推步若能無錯筭。許君親受帝堯傳。又一氣如流彼逝川。大環旋轉一周圓。离精始離南來北。震氣初從地上天。春煦漸隨宮線長。靑心先自柳絲傳。乹坤從此氤氳化。三月烟花正靄然。</text>
<title>入京暮還</title>,<text>鑑湖流水靜無波。秋染郊山點點花。空外重重千嶂逈。夕陽烟樹萬人家。</text>
<title>挽金處士碩堅丈</title>,<text>慟哭復慟哭。此音從何傳。呑聲不成言。泣涕空漣漣。含悲想往昔。歷歷在眼前。資禀異於例。誠孝出於天。早遊觀眉門。晩好文公篇。心識自該博。言態少塵烟。沉重不輕浮。謹愼免大愆。容人克下問。虛受務周便。疾非或嚴正。語頭生秋蓮。超然謝世路。泛泛張翰船。貧辱苦惱人。此志愈保堅。多乎晩來節。尙乎能完全。無罪背天理。有辭陳祖先。悠悠一世上。鮮與公推賢。才命一何違。謂公年可延。天胡惜公速。使我堪嗟憐。原我與吾公。年輩不相肩。聞問適稀踈。所居緣山川。聲華縱慣熟。情誼無由宣。浮萍偶相聚。共住迷湖邊。志氣自相合。交結相忘年。心好日以密。禮數猶截然。無猜且無惑。淡如秋月圓。期同百年樂。永追商山仙。中間各不幸。患𥚁來相纏。東西分散後。雲岫空眇綿。魂夢落滄波。與公同洄沿。覺來思黯然。欲往嗟無緣。擬乘秋風涼。特來脩誠虔。惟嫌日期遠。不疑人事遷。知音自此少。出門將焉旋。將此未遂誠。一哭陳几筵。魂兮若有感。庶降今夜眠。又才德如公未享年。有疑無路質於天。乾坤從此知音少。獨立斜陽思黯然。</text>
<title>秋懷</title>,<text>雲雨盡兮霜露降。煖氣退兮凉氣生。風蕭蕭兮寥寥。草木搖落兮鴈南征。夜寂寂兮水無波。月蒼蒼兮玉宇淸。天地變兮倐悽切。萬物悲凉兮將欲蟄。隱余憂兮悄獨立。心耿耿兮若有愁。鬼無形兮暗中行。虹無根兮空外流。命余艱兮行余貧。敢怨天兮敢怨人。願下學兮上達。天有知兮庶寬恕。予固多辜乎難宥。哀彼民困兮誰復慮。惟冀夫春氣廻兮惠風和。百虫舒暢兮天地泰。</text>
<title>偶懷</title>,<text>山常靜兮水常活。雲無心兮風無颺。獨立兮思悠悠。野茫茫兮天一方。鳶自戾天兮魚自躍。天浩浩兮波潑潑。虛舟兮泛泛。任風波兮自在。柴門無事兮晝常關。風動葉兮犬疑吠。山㘅日兮鳥歸栖。月東出兮天光發。庭無塵兮夜寥寥。曠四方兮無纖末。鴈無情兮自淸嘶。人無意兮自獨樂。</text>
<title>偶出見虹有作</title>,<text>劒光冲射半天長。誰擲神弓掛夕陽。無根萬丈虛空路。昨夜天門駕玉皇。</text>
<title>夢登高山。山獨高于天地間。四海浩蕩。予作詩二句以寫意。忘其上三句。只記末獨高四海中之句。追作續之。</title>,<text>一氣通上下。南北與西東。自有五岳勢。獨高四海中。</text>
<title>登尹孝彦客樓。尹不在。遇風雨獨憇。</title>,<text>靜倚高軒百念灰。居然萬象集靈臺。山因霧色承天起。雨趁風聲捲地來。黑漲乹坤迷似夜。赤飜江海隱如雷。何緣廻得光明氣。觸破幽陰廓一開。</text>
<title>見霧中木覔烽火。仍看月掛西嶺。</title>,<text>一氣周流往復還。九衢常見轉雙環。天垂暮色千峯起。風斂寒聲萬樹閒。宿鳥去投暝黑際。邊烽來照翠微間。蒼茫缺月御西嶺。猶放餘輝下遠山。</text>
<title>春雨見簷鈴齊響。泡鈴散庭。俄然日出。萬物各得樂意。喜而作。</title>,<text>玄雲漠漠雨冥冥。含雨萬林春意靑。垂霤有聲齊玉珮。滿庭無數散銀鈴。新承泰運爭舒氣。共合元和各保形。霽日昭昭天浩蕩。萬街花樹鳥嚶嚶。</text>
<title>寫意</title>,<text>月明風靜悄無人。鷄唱數廵鍾報晨。秋後天容自肅靜。夜來人氣亦淸新。風琴怳奏空中韻。霧樹渾如夢裡春。翫易年來窮變化。果能明哲保斯身。</text>
<title>題圍碁賭墅 自註。代人戱作。</title>,<text>默運神機事戰爭。分軍進退勢縱橫。設奇已布風雲勢。破敵何愁百萬兵。始使樂生圍卽墨。終敎白起掃長平。倘非屐齒中門折。鎭物誰知出矯情。</text>
<title>詩得江山助</title>,<text>聖恩優許一身閒。解悶逍遙雲水間。泉石坐來皆絶境。風烟隨處捴新顔。東西南北千千狀。春夏秋冬萬萬般。天換吾腸充別氣。半爲江海半靑山。</text>
<title>掛劒</title>,<text>脉脉深情已揣知。區區何必費言辭。今朝不解非無意。他日相酬自有時。只道歸來遂心諾。未疑生死負交期。含悲爲掛墳前樹。尙有英靈知不知。又人之有意我能知。三尺腰間繫綠龜。只爲周防惟此爾。吾何愛惜不與之。將期歸日強伸願。未謂浮生乃至斯。怊悵夕陽意何限。神風蕭瑟白楊枝。</text>
<title>代姻叔題挽</title>,<text>對子之兒想子容。斑斑雙袖淚龍鐘。早將情曲時相啓。老作隣閭日與從。鶴去一千年不返。劒離三十歲重逢。幽明自此音儀隔。泉路沉沉閑幾重。</text>
<title>代姻叔別人</title>,<text>春早汀洲芳草寒。送君南浦意漫漫。落生天地同庚甲。托契金蘭共肺肝。垂老追遊眞樂在。隔年南北此離難。傍人莫唱陽關曲。酒畏牢愁不上顔。</text>
<title>次李參判鳳徵山亭韻</title>,<text>星辰司氣轉天腰。光景四時昏復朝。已信園林多興趣。任他城市自喧囂。千峯得月淸如洗。萬樹無風靜不搖。消盡世心方快濶。乃翁何處不爲饒。</text>
<title>題金剛山圖</title>,<text>金剛萬二千芙蓉。眞宰何時運此中。萬瀑洞宏諸洞母。毗峯大衆峯翁。常流瀦作西南海。特立撑支箕尾宮。好是正陽明月夜。淸光萬里洗瑤空。</text>
<title>閒興</title>,<text>千園花翻紫錦輝。九陌柳拖黃金絲。春光淡蕩千萬里。能令閒人興無涯。</text>
<title>贈別仲舒之嶺南之尙州</title>,<text>茫茫學海浩無邊。一棹誰憑仁義船。孔道在吾毋改樂。顔貧由命可安天。洊雷恐處身愈飭。麗澤以之志益堅。知子此行應有得。先賢遺敎百餘年。又憐君無食去鄕閭。歎我離羣久索居。別來欲替相思面。春鴈歸時數寄書。</text>
<title>三角山</title>,<text>混沌初判正氣融。屹峍犖立天地。風雨不能磨其堅。壽今五萬四千歲。巍乎其尊不可越。卓乎其磪不可拔。望之儼然不可犯。卽之溫然不可厭。自註。厭斁同。 悠久恒配昊天德。千千萬萬無窮極。</text>
<title>夜</title>,<text>心閒翫羲易。怳見卷中人。夜靜虫聲切。秋澄月色新。更遅知近曉。庭濕不生塵。緩步觀天象。衆星拱北辰。</text>
<title>憶洞庭之景。恨不得見。因古人詩意而推之。畧述其槩。</title>,<text>衆流𣿬爲澤。汪汪注無疆。浩蕩乹坤勢。淸明日月光。澄虗涵萬象。呼吸納諸洋。神送東南極。怳然御六陽。又水浸千峯黯。風通萬里長。瀟湘何處是。歸鴈下蒼蒼。又始覺乹坤大。神遊浩蕩中。怳如騎龍背。飛御太虗宮。又水涵吳楚界。樓倚翼軫傍。地盡東南勢。天垂日夜光。淸通雲夢澤。虗接沃焦洋。天下猶嫌少。神遊上帝鄕。又淡掃琉璃色。芙蓉落鏡中。日照渾成錦。溶溶萬頃紅。又靜坐高樓夜。湖心月白時。澄光浩無際。天地一琉璃。</text>
<title>尹孝彦遭同氣之慟。將作海南鯉庭之行。贈別。</title>,<text>萬事皆宜正。遭窮莫怨天。此別難爲贐。臨風但愴然。</text>
<title>漢宮詞 自註。用簫聲咽調與韻。</title>,<text>蛩聲咽。秋空淡淡空潭月。空潭月。年年暮色。漢宮傷別。玉階秋草萋萋節。深院竟夜人聲絶。人聲絶。丁丁殘漏。五更霜闕。</text>
<title>次人吊田橫五百壯士</title>,<text>天地有寃氣。嗚呼爾田橫。無罪儘無罪。余實憐其情。哀爾命運惡。不辰乃生丁。咸陽鹿馬走。四海多戰爭。英䧺角智力。弱爲強之幷。劉項八年間。七十爭其衡。存亡在四傑。蕭張與韓彭。信也智能士。孰不慴威聲。長驅東下齊。聞風皆膽驚。千鈞壓卵勢。朝暮難保城。誤聽狂生言。輕掇歷下兵。誰知袴下子。貪利無眞誠。逃身囚海島。壯心欝不平。平生丈夫志。自許眞豪英。寧追碌碌輩。區區安小成。一朝被漢召。示以威與榮。寧欲死於此。誓莫登漢程。恤彼海上徒。屈意爲此行。將身恥受辱。視死鴻毛輕。精誠有所感。神鬼爲悲鳴。况乃重恩義。深與結死盟。哀彼五百士。壹日同捐生。堂堂烈俠氣。山與高崢嶸。平生許君心。到此乃分明。千秋欝結魂。上爲星辰精。昭昭揭靑簡。萬古留芳名。雖非聖賢徒。猶可表以㫌。不比富貴子。重利無忠貞。秋風酹一酌。遙灑英䧺塋。</text>
<title>過豊陽</title>,<text>風入松林夕露零。葉間蕭瑟小蟬聲。陽經三伏紅光淡。秋鎭千山素氣橫。深藪多魚波盡濁。舊喬無葉蔭難淸。遙知鴈帶霜風起。一夜寒空衆和鳴。</text>
<title>禾稔早稻先熟 自註。三年大無。今年稍登。農人喜悅。喜而作。在抱川淸凉野庄。</title>,<text>團團秋露白如霜。七月淸凉早稻香。五麯 自註。五麯酒名。 酒缸初泛綠。三農眉睫盡浮黃。雲間鶴勢千山遠。牛背樵歌一曲長。忽見溪心魚自樂。洋洋時躍水中央。</text>
<title>閒興</title>,<text>霽天如洗極淸凉。淑氣澄虛泳四方。螺䯻千重靑隱隱。琉璃萬里碧茫茫。薄雲乍掃檳榔色。自註。是時雲光如檳榔色。故象之也。 落照斜含琥珀光。溪路詠歸餘興足。一竿閒掛釣絲長。又七月淸郊白露寒。滿畦珠玉凈團團。白雲何處無心起。萬里晴空去去閒。</text>
<title>過道峯三角有詠 自註。道峯三角者。乃兩山名。漢京鎭山。</title>,<text>削出衆芙蓉。揷入靑霄中。異表自拔萃。秀氣與天通。壁立萬丈 自註。萬丈峯名。 勢。獨高白雲峯。巖巖氣勢尊。撑拄箕尾宮。白頭乃其祖。白雲乃其翁。透迤數千里。䧺峙鎭吾東。包括三韓勢。優爲兩都䧺。呼吸西南洋。其量大無窮。怳如列文武。劒珮下雲空。恰如塗山會。萬國大會同。又如孟津役。八百爭來從。亦如洛邑周。天下共朝宗。默想判闢初。壯哉神明功。神彩自光明。氣像亦雍容。孕眞興寶藏。吐氣成雲風。威哉風從虎。神哉雲從龍。精靈所鍾聚。釀出賢聖聦。生靈賴以安。家國賴以鞏。聚散有形迹。否泰無始終。我願吾王福。於千萬年洪。於千萬年洪。世世長仁公。</text>
