<title>春帖 甲午</title>,<text>羲經著復卦。曾傳說湯銘。莫使今如舊。工夫在喚惺。</text>
<title>用前韻賦諸景</title>,<text>玉洞春來俗物稀。逋屳一朵在墻圍。森如丞相祠前柏。豔奪嫦娥雪裏衣。天下詞人難傑作。樓中羌笛易吹飛。牕間讀易看花事。十日歸來太半非。右庭梅霜落秋江木葉稀。此君勁節對松圍。春䨓動地龍抽角。夜月當牕鶴舞衣。靑簡思將勳業寫。高枝時復鳳凰飛。淸齋十日頗醫俗。坡老詩言果不非。右園竹九里蒼髯天下稀。玉峯高處綠成圍。長驅巨海風濤響。列坐神屳鶴羽衣。大材堪爲廊廟用。嚴冬特立雪霜飛。吾知楚楚成連抱。寄語鄰人莫是非。右嶺松風外遊絲密復稀。蒼蒼如對薊門圍。幾人怊悵陽關曲。何處蹁躚金縷衣。好是梧桐明月上。不關桃李暗香飛。自家亦同堯夫歎。身世居然少壯非。右岸柳來自天台野外稀。中山一面作紅圍。棠魂招得空山雨。宮娣裁成遠嫁衣。七七豈誇屳術幻。三三已見亂紅飛。杜鵑且莫思歸苦。今日中巴事已非。右山花春回玉洞雪花稀。野火原頭綠四圍。暝色野邨垂柳幕。斑痕江路上苔衣。年年南浦新愁喚。夜夜池塘別夢飛。回首靑山啼鳥處。至今遺恨六朝非。右澗草亭亭物外斧斤稀。一百年來大幾圍。爲是先生曾手植。可憐苔蘚作垣衣。物爲左紐興王瑞。人欲昇屳跨鶴飛。當日槐陰零落盡。北谿谿上主人非。右沙潭檜○金沙潭曾居此地。手種檜。故後人因名之。末路歸來正學稀。靑雲捷逕走荊圍。此邦絃誦多良士。黌舍周旋總褎衣。君子做工如着力。丈夫何處不雄飛。方塘活水逢新月。一善萌時勝百非。右白華塾百尺龍門上者稀。誰將文墨弄摩圍。曇雲覺樹勞歸夢。洗鉢焚香幾衲衣。行到沙潭千丈碧。遙看銀瀑九天飛。坡翁枉信華嚴說。未洗人間萬事非。右龍門寺</text>
<title>次山澤齋重修韻。贈主人洪稺龍 虎吉。</title>,<text>木老藏修地。雲孫肯構楹。詩書皆古道。堂宇亦新成。大易重觀象。名家蔚有聲。斯干仍舊址。愛敬古今情。</text>
<title>咸寧使君韓 夢弼。邀余遊天臺。</title>,<text>前期遙指洛江流。白雨蕭蕭滯勝遊。我有新詩君有酒。名區何處不消愁。</text>
<title>贈咸寧使君</title>,<text>蒼蒼落日子山西。五馬歸程草色萋。秋蟬亦解淸官德。有意林間嘒嘒啼。</text>
<title>道院享禮後。與曺希文 景稷，李思仲分一貫堂三字。各賦六言。</title>,<text>意中膠桼惟三。嶺下江山第一。秋宿黌齋晤言。復有牕間明月。道自龜山南來。學傳曾氏一貫。八賢氣像千秋。霽月光風夜半。滔滔千古伊洛。肅肅八賢祠堂。要識是心傳授。須看大字煇煌。</text>
<title>送柳國潤 聖霖 聯句 六言</title>,<text>歸思秋風嫋嫋。離愁落葉蕭蕭。儂。 何時更接淸晤。悵望渭川南橋。思仲。</text>
<title>道院識感 幷序</title>,<text>甲子九月。淸臺權公爲道院洞主。與李丈天源，白華齋，黃令再叟，李龍麓聖瑞，黃上舍長彥，金上舍翊章，從兄及鄕人老少合二十餘人。至詠歸亭。翫月彈琴。各賦七言絶句。翌日上靜虛樓。各賦五言四韻。余詩末句云欲識先生意。江心霽月籠。權公見其詩。納于袖中。有蹙然色曰。先生二字不敢當。恐人見之。噫。令公身兼三達尊。而撝謙至此。豈非盛德事乎。今年七月。令公捐舘。季秋。余與鄕人適會院中。物色依舊。而當時作詩者十二人。又已零落。惟余在耳。感成三絶。一片江心月。依然去歲秋。樑摧無限恨。獨上靜虛樓。緬憶春風座。叨陪嶽麓秋。至今君子面。新月滿江樓。屈指雩壇會。居然十六秋。羣賢零落盡。多病獨登樓。</text>
<title>栗里書堂。次李士兼 萬達。</title>,<text>踏雪登登疊疊山。欣然一笑萬松間。鳳將雛曲爲君唱。桂樹秋光欲滿顔。</text>
<title>次李童子韻 士兼之子</title>,<text>一段淸冰貯玉壺。明珠百里照深湖。男兒立志何須問。後世揚名似獨孤。烈士高吟擊玉壺。商聲一夜滿江湖。遙知別後相思夢。一半平分海月孤。</text>
<title>贈竹邨主人河澤善</title>,<text>杖藜徐步訪丹谿。地僻邨深聽午雞。花下忽逢樵客問。君家云在竹林西。</text>
<title>次竹邨韻</title>,<text>七七花間步步登。碧山斜日彩霞蒸。茶携鷹觜呼兒煎。几進烏皮勸客憑。白髮自憐飄海徼。靑雲誰道有親朋。惟君十載論交誼。握手逢迎夜雨燈。</text>
<title>贈松塢主人河汝進</title>,<text>簷花亂落滿淸谿。話到前邨喔喔雞。山下白雲深閉戶。不知歧路有東西。</text>
<title>次松塢韻</title>,<text>知君風骨少年時。已有蒼松聳壑姿。蔬糲登盤寒士饌。雲煙滿袖隱淪詩。落花流水今春暮。白髮靑山此會奇。如意打壺歌激昂。傍人錯道彼翁癡。</text>
<title>玉樓春。寄竹邨。</title>,<text>樓上春風花欲燃。樓下春江波接天。夕陽佳色何時盡。九曲離腸半已穿。</text>
<title>長相思寄松塢</title>,<text>長相思遠離別。岸柳參差條可折。少時伴新春節。陣陣芭蕉雨。團團十五月。可惜落來花。如君鬢邊雪。</text>
<title>如夢令題梅邨山庄</title>,<text>道是桃源不是。道是橘洲不是。綠水與靑山。別是壺中天地。知否知否。身在太平無事。</text>
<title>贈尹濟叔 經邦</title>,<text>白頭傾蓋聽谿家。濩落平生柰爾何。踪跡湖山僧有髮。心期天地玉無瑕。秋風忽起庭前樹。古調高吟郢中歌。歸卧商顔明月下。洋洋盈耳枕邊波。</text>
<title>謝權而瑞 必禎 來訪</title>,<text>海山風雪爾何來。十載相逢一笑開。尙有淸狂前日態。可憐詞賦古人才。筇頭遐矚龍江碧。帆外閒蹤佛日嵬。咫尺聞君談萬里。衰齡吾欲上蓬萊。</text>
<title>南長寺。贈海州宗人 命純。</title>,<text>玉屑簷花夜。金堂竹葉春。百年生幷世。千里會同人。珍重棠車至。丹靑譜閣新。聯翩敦睦誼。多謝碧城親。寺有吾宗譜閣。宗人曮。以道伯來會。</text>
<title>永陽東閣。次主倅宗人 載得 韻。</title>,<text>家聲一代斗山高。枳棘林中瑞世毛。淸致金天生爽氣。交情春日飮醇醪。靑銅畫閣詩長詠。紫草屳山夢幾勞。箭箭紅心眞絶藝。才兼文武是雄豪。</text>
<title>朝陽閣 有圃隱先生板上韻</title>,<text>天下朝陽閣。人間圃隱詩。江山千萬古。我亦一男兒。</text>
<title>題李子由雙盆梅</title>,<text>百花頭上點先春。冰玉其膚雪月神。疑是蘂宮雙姊妹。化爲姑射兩屳人。玉蘂新含雪裏春。也知花妙在精神。滿牕明月成三影。把作江湖莫逆人。</text>
<title>玉成書院享禮後。謹次蒼石先生序齒錄韻。</title>,<text>方塘一鑑五賢心。千載眞源次第尋。蘋藻二丁鄕有禮。絃歌三日士如林。淸光快得峯頭月。麗景低垂岸上金。炳燭工夫猶可力。莫言身世已幽沉。</text>
<title>又次錄中韻</title>,<text>一犂時雨後。春色滿江湖。氣像思堯舜。煙花對畫圖。試拈霜兔筆。猶有老驪珠。向晩前川去。風雩興不孤。</text>
<title>與丹邱諸老會話甘巖</title>,<text>緩步行尋石逕微。山花瀾漫小春時。凌霜虬卵邨邨晩。出水梭花箇箇肥。特地團圝萍聚散。諸天談笑夢參差。望鄕臺上登臨興。九九佳辰有後期。</text>
<title>寄李子大</title>,<text>須君谿上竹扉開。日暮山中悵望回。江月一圓還一缺。雲鴻閒去又閒來。他鄕况値黃花節。昨夕高登九日臺。底事故人消息斷。殘年離思十分催。</text>
<title>鳳城鄕射堂。次朴士仲 壽義 韻。</title>,<text>如何玉洞卧雲身。去作南樓詠月人。客到江亭秋雨急。十年離思未能陳。</text>
<title>山陰換鵝亭。酬宗人使君 城鎭。</title>,<text>稽山山下鏡湖邊。江左風流幾箇賢。看竹㝡宜晴雪夜。流觴正好暮春天。閒情臺沼歸狂客。逸興煙波醉謫屳。底事亭名鵝獨取。筆鋒高出墨池前。</text>
<title>謝姜子華餽菊花煎</title>,<text>羇懷寥慄懶登臺。坐見重陽晩菊開。萬葉秋聲孤夢罷。一牕明月好人來。况携片片黃金餠。全勝浮浮白玉盃。老馬爲駒工部句。爲君高詠意悠哉。</text>
<title>次河亨甫 浩 訪我窩韻 幷序</title>,<text>丹邱河亨甫作小窩。扁以訪我。蓋文以會友。友以輔仁之意。甚可嘉也。孔子曰。學而時習之。不亦悅乎。繼而曰有朋自遠方來。不亦樂乎。我之學旣修。則朋友自有來從者。何必以訪我爲題。以招不擇交而妄相與之譏乎。亨甫勖哉。未見良朋意惄如。爲開沼上一間廬。逕花可踏春深處。谿竹宜看雪壓餘。若得意中三益友。何須燈下十年書。主人淸夢今回否。落照江皋剝啄余。使爾香名美酒如。豈無深巷訪幽廬。等閒追逐耽無益。分寸工夫得有餘。靑眼逢迎當世士。明牕討論古人書。丁丁伐木南山下。忽憶淸詩更起余。</text>
<title>謁河浩亭 崙 墓</title>,<text>時當聖祖仗周旄。公與厖村命世豪。萬古雲霄一毛羽。千年香火幾譽髦。樓臺木落參差出。碑碣苔荒次第高。山河氣量無徵處。再拜階前感慨挑。</text>
<title>鎭海舘。逢諸友取四人姓字。比之古人。各擧其事行戲題。主倅宗人。名漢紀。○柳養汝有事而來。武夷李友承源先到。嚴仲仰亦至。</title>,<text>晨星落落雪垂垂。滄海東南此會奇。長句南昌齊李杜。自道以詩自任。 神方苦縣等軒岐。承源治醫術。而老子之姓。 羊裘男子常加腹。仲仰鱞居。以一妓爲房直。子陵之姓。 桂嶺騷人自作師。子厚謫桂嶺。衡湘以南。皆以宗元爲師。柳友寓居。邨童多來學。 㝡是平原高意氣。囊中貯得二雙錐。四人爲食客。而主倅平原君之姓。</text>
<title>追次安持平焚黃時韻 幷序</title>,<text>安持平名聖興。居咸安。戊申之亂。咸兵將赴居昌。安公傾財備牛酒以餉之。北向四拜曰。書生老矣。不能赴亂。泣下滂滂。一軍感動。及還。鄕人刻石以識。方伯啓達。贈持平。焚黃時。其孫應理作詩。和者數百人。今冬余至牛山。遇應球字汝伯。持平公姪子也。能世修文行。安生請詩甚勤。遂次以贈。派流滚滚竹谿門。千古相傳百行源。道脉文成先倡起。家聲牧隱自幷論。軍門饋餉勤王義。身後褒揚聖主恩。巴水巴山生長地。遺碑三尺姓名尊。李牧隱爲安氏先狀云三韓以來。十代文科。惟吾家與安氏。○巴山。咸安別號。</text>
<title>題安汝伯杜陵茅屋</title>,<text>花以名谿草作堂。曾聞西蜀復東方。巴陵物色皆詩料。今古騷人逸興長。</text>
<title>次朴紫皋堂 尙節 庭梅韻</title>,<text>榴花明處葉離披。柳色靑時短短枝。試看破荒開玉蘂。人間無樹可爭奇。</text>
<title>臨江屳贈別河聖休</title>,<text>花影參差鸎語碎。玉船風動纖鱗。碧天穩送白銀輪。小樓東角。三疊和陽春。門掩黃昏君不住。林外惟見行塵。隔花啼鳥喚歸人。後期何處。雙鬢白如銀。</text>
<title>憶秦娥答聖休</title>,<text>春寂寂。丹邱有箇人如玉。人如玉。半牕梅影。一牀周易。別來三日香生席。彈琴爲奏相思曲。相思曲。一聲吹徹。山靑水綠。</text>
<title>靑杏兒寄聖休</title>,<text>獨坐按孤桐。一絃商。一絃宮。故人不見三更晩。蕭蕭落葉。湛湛零露。征鴈雝雝。徙倚小樓東。從我者明月淸風。阿誰解說愁似海。功名草芥。死生泡沫。富貴苓通。</text>
<title>傷田家</title>,<text>喧喧雪鵲豆麻邨。霜髮鶉衣集里門。爭道飢兒官捉去。淸晨泣送到黃昏。</text>
<title>山陰嶺上聞吹笛</title>,<text>千峯競秀萬川流。鳩杖徐行路轉幽。長笛一聲何處至。白頭詞客興悠悠。</text>
<title>成仲文 爾演 來訪贈詩。次韻修好。</title>,<text>臘尾春頭織路還。魚鱗 簟名 龜甲 屛名 笑談閒。茶詩袖致古人事。燥濕 山水 絃鳴今世間。我自高吟三秀草。渠誰浪起九疑山。興來緩步前川去。花意猶慵草色斑。</text>
<title>送春</title>,<text>陌頭嫋嫋靑靑柳。門外重重疊疊山。山不能遮柳不繫。東皇歸路杳難看。岸花飛送故顚狂。簷燕語留更頡頏。我欲臨風詩以餞。無聲無臭去堂堂。羊角無情飄絮去。蛛絲有意羃花留。緗簾十二屛山六。癡倚佳人八字愁。</text>
<title>奉贐侍郞宗丈 曮 通使日南 三十韻</title>,<text>國有乾坤大。龍飛四十秋。文明天下慕。迎送遠人柔。皮幣桑溟外。帆檣鴨使浮。側聞唐帝詔。精選趙咨儔。大國無雙士。吾宗第一流。丹墀承玉語。絳節下星郵。夷險平生志。安危昔哲謀。屳槎秋八月。鷁路古瀛洲。忠義公能仗。風波我不憂。連城年八百。中葉世公侯。台斗樞機重。鶴塘德望優。明庭聞革履。玉案置金甌。餘慶徵三樹。諸郞擁八騶。調元方咫尺。處世別薰蕕。四牡驅馳路。甘棠七十州。壺漿來嶺下。竹馬候街頭。韓境無需索。梁驩必踐修。家康似雪恥。秀吉終虔劉。靈藥何須取。全書是可求。春秋扶社稷。小雅偏諮諏。鼎呂三韓國。康莊一葉舟。善鄰將固國。修好豈忘讎。北塞韓公去。唐朝李勉羞。水神勞愷悌。殊俗服居由。利涉長鯨浪。欣瞻五鳳樓。聖朝恩眷眷。燕席鹿呦呦。百代親親義。三年處處遊。同人何暇說。使節未能留。衡嶽陰雲霽。華山積雨收。臨分一斗膽。含笑贈吳鉤。</text>
<title>宗丈 允重 八十壽爵宴詩 幷序</title>,<text>王弇州壽姜翁八十序曰。苴弧北。有一大星。時平則見。今見於女牛分。以故江東多壽考。又曰。星見則天子壽。今天子年號萬曆。萬曆者。永永無際也。噫。粤萬曆後一百四十餘年。昭陽協洽。卽我聖上臨御之四十年。而誕降之七十歲。合二慶試大小科。士民之年八九十者。皆賜爵三品。嘉與四方同之。意者苴弧之星。又見於箕尾之分耶。弇州所謂君臣朝野之盛。一何相符也。公亦以耄年頂玉而腰金。此宗族之慶也。祝嘏之辭。烏可已諸。夫耳不能別聲。目不能辨色。委體於牀褥而壽者。所謂造化之愚者也。朝而虞夕餔。秋而無冬纊。勞心於居養而壽者。所謂造化之役者也。身不安而心不寧。剛之過而柔之甚。犯六極而壽者。造化之畸者也。若是者。雖至百歲。何足爲貴耶。惟公不然。神明之用不衰。興居之節尙康。生無喫著之憂。晩有優遊之樂。身心俱泰。剛柔兼德。有子有孫。爰及曾玄。公所謂造化之私者也。未知公行何德而嚮此福耶。餙喜之日。不佞亦隨花樹之會。以伸敬老之儀。又以詩歌之。南星瑞彩照東天。朝野嵩呼萬萬年。桃顔鶴髮宗中老。頂玉腰金地上屳。已看綺里靈芝採。更望雲巢大社遷。默數古今家國事。人間稀慶政同然。</text>
<title>靑龍寺。留別金兼叔 萬鎰。</title>,<text>三春一會尙堪憐。况復僑居白髮年。滿地江湖孤棹泛。諸天花雨一燈圓。人情閱處看交態。老病侵時省己愆。知爾神方多種德。蒼蒼報應自昭然。</text>
<title>贈松塢</title>,<text>當年奇氣碧霄磨。落拓人間楚調哦。歲月滔滔東海水。親朋累累北邙阿。燈前細雨論懷久。筆下新詩得意多。斜日靑山分手處。離愁忽復亂如麻。</text>
<title>贈梅隱</title>,<text>東林月出鏡新磨。詩令催人八叩哦。霜髮渾疑新面目。幷鄕把作故山阿。子孫遺託言猶在。冰玉同稱愧亦多。勖爾一身忠孝外。男修文墨女絲麻。</text>
<title>乙酉四月。地主李侯 敏輔 設白場。兼爲觀燈。</title>,<text>文翁儒化盛吾州。白戰靑襟滿郡樓。佛日煙花河朔飮。薰風時節廣陵遊。星連遠樹天邊迥。月掛高枝檻外浮。樂事良宵能與衆。古人詩句頌賢侯。</text>
<title>孤峯塾敬老宴。次族姪文遠 錫朋 韻。</title>,<text>孝悌家風爾庶幾。早聞先訓自無違。伊昔少年當此座。搖搖風樹不堪悲。</text>
<title>次堂中別韻</title>,<text>琴中山水綠千尋。一座蒼顔萬古心。洛社風流商嶺趣。地名人事古猶今。</text>
<title>次權夔如 相龍 歎眼昏</title>,<text>更兼師曠瞽。非但杜微聾。衆竅秋風外。晴花曉霧中。丹靑如夢寐。毁譽付苓通。獨有虛靈者。神明舍裏翁。</text>
<title>次申汝重 重泰 遁齋韻</title>,<text>男兒何幸作書生。看子新詩覺有情。白首雞牕心有得。靑山茅屋遁爲名。人同南海金虀膾。公是東坡玉糝羹。師曠已言如炳燭。夏侯休說且歸耕。</text>
<title>次晉州鎭將金 就行 韻 淸州人○六言</title>,<text>據鞍人道矍鑠。緩帶自稱疎慵。胷裏風雲八陣。牀頭性理中庸。</text>
<title>又次五律</title>,<text>遠客相逢處。元戎解榻初。壇花晴馥馥。營柳晩疎疎。半日仍披霧。十年謾讀書。驪珠似明月。光彩生吾廬。</text>
<title>鄭上舍季貞 智模 爲道院洞主。寄二詩。追次以謝。</title>,<text>名區物色尙分留。携酒登臨快掃愁。萬首新詩君作窖。千莖華髮我先秋。人從閥閱求良士。天設江山供勝遊。伊洛源頭春水闊。同尋直筏泛中流。江山安得挽人留。猿鶴何須夜夜愁。竹笥將呈三十字。楓宸仰祝八千秋。詩書禮樂沉潛讀。南北東西汗漫遊。交契自是無老少。汙渠堪愧接淸流。</text>
<title>不換亭。次木齋先生韻。亭卽縣監黃公所卜築</title>,<text>芝歌唱罷興陶陶。屳鶴深深在九皋。華嶽雲開携蠟屐。平川春到理漁篙。箇中仁智師先輩。分外功名戒爾曹。若使靈臺無一累。山光水色共淸高。</text>
<title>孤峯塾。行敬老禮。追次會中韻。</title>,<text>龍樓設宴自春宮。及老深恩遍海東。多謝吾鄕風俗厚。年年此席慰衰翁。</text>
<title>道院秋享。示諸儒。</title>,<text>上丁罇俎報先賢。竹月松風滿肆筵。一貫堂遵夫子訓。正心丹得晦翁篇。風光九九黃花節。襟佩人人白髮年。咫尺雩壇臨洛水。小春斜日共周旋。</text>
<title>梅隱軒。贈李衡叔 權普。</title>,<text>梅牕十五月。雪髮二三人。世事成桑海。年光似水輪。兩宵聯枕席。千里隔參辰。可惜他鄕會。殘年更幾巡。</text>
<title>丹邱觀。贈宗人使君 漢鎭。</title>,<text>雪竹雲松擁畫堂。江城物色總屳鄕。芙蓉苑靜迎新月。蝴蝶樓空伴夕陽。赤壁騷人無內翰。丹邱羽客有南昌。夜深東閣徘徊久。何處簫聲叫鳳長。</text>
<title>次放翁七十三吟 幷序</title>,<text>放翁年至七十三。輒有所吟。意者有感於聖人之壽耶。噫。夫子大聖。轍環天下。放翁高士。客居劒南。自古有年壽者。遇太平之世。亦難矣。今余以空空鄙夫。幸逢聖世。昨年賀吾王七十三春秋。今年犬馬之齒。亦至放翁吟詩之年。揆分過望。猥甚於幸。遂用其韻。以寓微忱。爭將龜鶴賀迎新。我幸生爲壽域民。尼父棲遑逢世亂。放翁流落値家貧。不圖蒲柳衰殘質。自在菁莪化育春。壽考康寧皆帝力。三言祝聖效封人。</text>
<title>生朝。用前韻。</title>,<text>七十三年百感新。生爲聖世一遺民。懸弧倍切春萱慕。當食追傷菽水貧。若使諸兒明五典。猶爲寸草報三春。吾生此世無餘日。敬取蕭脂望後人。</text>
<title>題德川書院敬義堂</title>,<text>籜龍爲摯拜冥翁。道脉相傳敬義工。持得一心冰履處。裁來萬事刃遊中。羹墻慕切惺惺子。經始功存翼翼宮。吾黨何年重結構。徘徊盡日想遺風。崔守愚堂拜南冥時。以國喪執竹笋爲摯。先生嘉之。</text>
<title>長相思。留別德川諸友。</title>,<text>山之陽水之陽。百世淸風數仞墻。羣屳列畫堂。余髮黃爾髮黃。離合天涯夢一場。相思永徜徉。</text>
<title>臨江屳。題四幸堂。姜文擧堂名。</title>,<text>古有鼓琴三樂者。今君四幸何如。洪匀播物㝡靈余。一幸 聰明男子事。講習聖賢書。二幸 一箇身生兒四箇。堪傳經訓菑畬。三幸 百年溫飽好家居。四幸 風軒高枕卧。春夢到華胥。</text>
<title>次參議姜公 深 閒居韻</title>,<text>梅邊流水水邊邨。中有幽人獨閉門。春到碧山無一事。長吟花鳥送晨昏。</text>
<title>洛江舟行雜詠 幷序</title>,<text>丁亥四月。與一鄕老友。泛舟靜虛樓下。至鼎谷齋室。六十以上十三人。以下九人。上數與洛社耆英同。下數與香山諸老同。紅綠滿山。酒肴盈船。眞浮世勝事也。遂呼韻賦之。曺上舍希文。時爲道院洞主。姜必孝，李增述，柳後元，金兌興，姜㭠，姜杭，金璣，李重穆，申漢台，全始亨，鄭泰健，趙濟經，全始復，柳聖霖，柳聖穆，金甲彬，河世游，孫昌顯，姜世岳，姜世師。春醪半醉靜虛樓。風帆飄颻洛水流。兩岸靑山花瀾漫。依然三月下楊州。右發入德門春水船如百尺樓。此行疑入絳河流。身處江湖游汗漫。詩勝封侯酒勝州。右過飛鸞津謝眺洲邊趙嘏樓。銀蟾飛處玉虹流。餘生幾歲逢寒食。瞻望松楸愧柳州。右過廣灘亭 楸下蟾蜍影裏仰瓊樓。李郭舟中接勝流。復有落霞孤景。渾疑滕閣古洪州。右過孤亭詩興如山聳玉樓。觥船催泛紫霞流。登高尙有雄豪氣。車轍何因遍九州。右過紫霞洞詩屳歸去玉京樓。白白沙禽滚滚流。洛社坐深文彥博。淮船醉倒韋蘇州。右過伴鷗亭草堂高迥勝危樓。花港沿洄濯錦流。多謝主人情味厚。盤中白雪映靑州。右過竹巖亭欲如先志起高樓。指點淸江抱壁流。如許名區荒穢久。空敎春色滿南州。右過牛巖亭 黔澗先祖。欲作亭於此。何年此地築書樓。惟有桃花泛泛流。物外煙霞幽興足。不將罇酒換凉州。右過武陵洞 或云外先祖蒼石先生居此。高如西域七重樓。光染衣巾翠欲流。天際澄江擡醉眼。蒼蒼遠樹似刀州。右過千仞臺世上浮榮等蜃樓。何如江海弄淸流。長風掛帆超然去。逸氣崢嶸蓋九州。右過退致巖 姜氏先世。退休於此。詩賦佳如五鳳樓。坡屳怳惚在中流。名區勝賞追前輩。自古商顔山水州。右過合江亭十里江山處處樓。百年興廢水東流。扁舟盡日奇遊遍。始信登臨擅一州。右過甫陽邨先生曾上仲宣樓。鄕思應添渭水流。絶勝江山棲息地。小河回作一幷州。右過佳士里 柳修巖寓居於此岸柳維舟入梵樓。蒲團安卧聽谿流。重來筇屐今巴老。萬壑風煙古峽州。右宿鼎谷菴</text>
<title>題鼎谷齋舍</title>,<text>赤壁蘇屳洛社英。暮收風帆入雲屛。荷盤雪淨吟詩白。蓮榻香生載酒靑。萬壑煙霞遊客興。百年松檟主人情。名區勝事誰能辦。知有阿咸代步兵。有孫氏先楸。</text>
<title>次新巖書堂會中韻 堂在咸昌</title>,<text>一陣黃梅雨。夜隨舶趠過。長江玉虹繞。遠峀螺鬟丫。詩惹懷人淚。春留惜別花。殘年多得意。琴酒日邀遮。</text>
<title>淸巖祠松亭。次洪伯旭 日溥 韻。</title>,<text>游魚潑潑躍條風。蘆葉穿來箇箇同。長嘯彈琴松下座。神屳高會畫圖中。</text>
<title>江上卽景</title>,<text>蒼崖千疊抱淸流。槐柳陰中隱映樓。盡日松壇琴語細。渾疑羽客降蓬邱。</text>
<title>次南維能 必恒 草堂韻</title>,<text>知子幽居事事幽。松篁深處水悠悠。邨名爲美道宜講。峯面多奇德可修。園裏靑蔬佳客饌。牀頭黃卷後孫謀。身無榮辱心安樂。軒冕山林較孰優。邨名道邨。峯號德峯。</text>
<title>次權汝炯 重機 伴棊軒韻</title>,<text>陶公門外白公渠。二頃生涯自有餘。且可雲山能蠖屈。何須塵世作龍攄。早起開牕迎曉日。晩來携杖課春鋤。玉子聲中柯欲爛。渾疑虛室是方諸。</text>
<title>晩思樓。與諸友拈東坡韻各賦。</title>,<text>十載歸來接寵光。晩樓初日政滄凉。垂垂華髮千莖雪。句句淸詩萬口香。竆鬼隨人長矯亢。愁魔得酒自奔忙。憐君物外幽棲地。絶勝王維白墅岡。鼎坐書樓展麥光。谿風山雨滿襟凉。鍾王體格龍蛇走。班馬文章錦繡香。北海平原孰優劣。舍人司諫判閒忙。也知月出東林處。獨自振衣千仞岡。麥光紙名右次金而敬高樓今夕復淸光。池上靑蓮碧玉凉。遲暮交情如水淡。逢迎喜氣若醲香。牕間爾卧煙霞穩。天下人趨道路忙。濟濟夔龍登舜殿。夫君何事守東岡。方塘活水接天光。髣髴鑑湖五月凉。可惜此翁頭有雪。誰憐高士席生香。山童刈麥登登去。谿女移秧點點忙。吾輩卽今何所事。不如歸卧紫芝岡。右次權汝光 正玉江閣招邀坐水光。新詩酬唱碧筒凉。松壇月上拋棊局。蓮嶼風來憶酒香。邂逅何辭三日話。悲歡便覺百年忙。欣看雪翮靑田鶴。棲在芙蓉第一岡。一幅巴牋染翰光。江風颯颯動新凉。雲松聳壑飛蒼翠。霜菊凌寒送晩香。宜有和詩猶未和。本無忙事便成忙。屳區物色秋如畫。七七花間更陟岡。右次權汝炯</text>
<title>用前韻。贈權文見 聖鳳。</title>,<text>門闌坦腹動輝光。老我平生愧德凉。玉潤冰淸聞古語。蔥湯麥飯見新香。方塘活水來無盡。大道輕車去勿忙。願爾才如黃太史。時時酬唱大雲岡。</text>
<title>道院齋會。追憶權淸臺講會事。謹次退陶先生韻以述懷。</title>,<text>洛水滔滔接弄淸。江心霽月十分明。春風丈席今安在。野渡虛舟只自橫。日値文明叨獻幣。音懷金玉更傷情。齋筵爲唱先師句。今世無人續正聲。</text>
<title>五月之望。州東老少會于洛江時。族姪湖西亞使錫龍，女壻新恩洪天休俱泛舟觀水樓下。泝流至道院。余以洞主出迎。遂次舟中韻。三首</title>,<text>新亭名勝會。上洛月沙邊。雅望瑚璉器。高風李郭船。雲連山帶屹。水接海環圓。携手歸江院。陶然作醉屳。江山自絶勝。風月亦無邊。野店逢詩伴。斜陽泛酒船。韶光容易歇。缺界極難圓。欲向蓬萊頂。招邀駕鶴屳。世人遊賞興。不在吾身邊。梵磬雲千嶂。漁歌月一船。山川看動靜。天地學方圓。倘得心中趣。何須物外屳。</text>
<title>長川別廟行香禮。因設白場。聊成拙句。以識盛事。</title>,<text>先廟來參拜。檀香起篆煙。同堂花樹會。滿座地行屳。白戰酣詩壘。紅潮漲玉船。玆遊天借便。三五月姸姸。右詠齋會我如天祿老。吹起杖頭煙。箇箇連城璧。人人識字屳。堪爲廊廟器。合上孝廉船。嫫母嗤西子。誰能別醜姸。右贈諸少馹騎還鄕路。郊墟日暮煙。蓬蒿傷老大。臺閣豔神屳。罇俎蓮花幕。笙歌錦水船。咨嗟定山桂。颯颯自嬋姸。右贈錫龍 時爲湖西亞使天關上下處。安得爇薪煙。爾用廣文飯。人稱大理屳。同參八座席。可戒一偏船。淸標知誰似。先生玉貌姸。右贈錫穆 時爲銓郞主人留客夕。一縷煎茶煙。勸酒頗知老。圍棊豈羨屳。林深羊仲逕。雪滿子猷船。㝡是吾齋舍。秋高月正姸。右贈諸客</text>
<title>途中吟 辛巳</title>,<text>中秋爲客上元還。自是生涯到處閒。明月淸風吟弄外。都無一事去來間。</text>
<title>次成仲文寄贈韻</title>,<text>少小靑雲志。歸來白髮人。相看發一笑。醉倚黃花新。</text>
<title>山花子寄仲文</title>,<text>九日登臨紫翠間。黃花應笑鬢毛殘。非是閒愁生暮色。憶中山鴻鴈不傳。雲外信茱萸誰與。醉來看處處屳。岑秋似畫想驂鸞。</text>
<title>咸聚亭。次金南岳韻。渚谷權氏先亭。南岳詩揭壁上。</title>,<text>名區物色小春天。山是芙蓉水醴泉。花樹一堂咸集處。風流髣髴永和年。</text>
<title>曲江亭舊址。謹次圃隱先生韻。李上舍宅仲先亭。</title>,<text>圃老詩中興國寺。申城浦上古靑山。昔賢遺躅無尋處。洛水秋風悵望還。</text>
