<title>暮春漫興</title>,<text>夜雨朝來歇。山村照日初。不知春已盡。芳草滿庭除。</text>
<title>輓鄭洞長 沃</title>,<text>歲在壬申與戊申。憐君父子揔成塵。英才每想文辭壯。重厚今亡笑語眞。十五年來九原會。三千劫盡兩阡新。朋知此日寬懷處。風味溫溫更有人。</text>
<title>輓鞠道源 濂</title>,<text>道源鬚髮未蒼浪。凶問云胡告一鄕。七子女如黃口少。五兄弟失白眉良。盈罇綠蟻餘香在。照鏡孤鸞別恨長。栗谷風烟空鎖宅。丹㫌催入故山岡。</text>
<title>還鄕途中</title>,<text>行裝初自洛城還。遙望家鄕雪滿山。肥馬不如瘦馬逸。籠禽那及野禽閑。靑雲每歎知音少。白首飜傷世路艱。十畒可成終老約。柴門無客亦常關。</text>
<title>輓蘇參奉 貞震</title>,<text>妙年馳譽擅騷壇。晩節忘懷酒量寬。無子一生還有子。除官九品却辭官。軒窓慘慘書千卷。村巷依依竹萬竿。回首三蘇山上土。玉魚蒙塟亦多艱。</text>
<title>輓鍊溪林訓導 瓘</title>,<text>身世曾同老鄭虔。讀書千卷只攀蓮。三椽茅屋槐亭畔。十畒瓜田鍊水邊。金馬書堂餘古迹。玉樞仙術落新阡。寡妻孑孑於菟弱。鍊溪長男德輝。小字乕。故用於菟字。 空使親朋淚逬泉。</text>
<title>輓林生 桂鸞</title>,<text>親朋齊哭路人哀。僊桂連枝一樹摧。微疾定隨蛇氣盡。遠公虛渡乕溪來。死猶不死終多子。生苦勞生晩有財。川上立談成永訣。同鄕契分落泉㙜。</text>
<title>松灣次鞠巨源韻</title>,<text>聞道秋高十二鬟。獨騎瘦馬訪松灣。靑春荏苒風塵際。白首遊遨水石間。日暖漸看楓葉赤。霜遅未見菊花斑。倘能十月杯重把。赤壁淸遊興一般。</text>
<title>輓沈生 沆</title>,<text>君家叔姪互肩隨。自少交情膽可披。甲子年中曾一哭。戊寅春末又含悲。淪亡賢哲俱無命。高大門閭並有兒。衰病獨存空灑涕。竹林佳會更難追。</text>
<title>次韻呈長浦李石城 汝惕</title>,<text>遼海沙塵靑海暗。幾人淪喪幾人生。曾逢胤子驚風彩。今見瓊琚感舊情。長浦秋風供漫興。短船斜日任閑行。餘生碌碌還覊絆。未免孤衾卧洛城。</text>
<title>再次前韻</title>,<text>亂世衣冠多武士。酸寒誰似老書生。活人瓦署分詩興。倦鳥歸雲惱客情。漢北光陰愁裡度。湖南山水夢中行。誓將投刺如長浦。不道官銜舊石城。長浦老而放達。投刺于名公家。以交河座首李某書之。故云。</text>
<title>聞徐掌令 祥履 左遷鏡城判官</title>,<text>北風西日共依依。未到離筵淚濕衣。憲府乘騘言是罪。邊城受玦計還非。丹陽故郡孤雲遠。白雪關山鳥獨飛。莫作楚辭傷至骨。聖君朝暮霽嚴威。</text>
<title>次李生文淸韻</title>,<text>梨花如雪正霏霏。三月將終更夕暉。漢北淹留頭盡白。江南迢遞夢猶稀。蜂喧蝶駐詩家興。燕語鶯啼造化機。舊隱山中今尙爾。空令妻子㤪芳菲。</text>
<title>縣齋憶圭山</title>,<text>白首南來苦別離。靑春倍憶李僉知。懷仁縣裡花如霰。崇禮門前柳若絲。日夕相從成舊迹。天涯獨立詠新詩。此生倘作雌䧺劒。風雨他年合有時。</text>
<title>輓李奉事 志淵 慈堂</title>,<text>憶曾東洛接芳隣。見說萱堂有老親。暫爲立揚離四載。欲將勤苦報三春。幽閑令德傳閨範。喜懼遐齡過八旬。歸省豈料仍負土。故林霜月一阡新。</text>
<title>縣齋淸和</title>,<text>峽裡人稀公事少。門前吏退未斜陽。古槐陰薄黃鶯露。小閣簷低紫燕忙。薇蕨療飢常滿案。文書引睡日頹床。此身正似山林客。始信微官是寔藏。</text>
<title>次心上人韻</title>,<text>石似羣羊卧寂寥。山如天馬出蒲梢。三花香露窓前滴。雙磵盤雲檻外拋。遊子短筇時遇興。高僧一鉢卽安巢。從今欲入參同契。只恐塵心又塞茅。</text>
<title>聊德寺。次鞠喚醒韻。贈黃時彦。</title>,<text>常高鞠老千篇裡。不見黃生十載間。會合乍疑前夜夢。吟哦還破故人肝。芳醪只解催佳作。白髮猶能識舊顔。後日視今如視昔。幸同禪榻話悲歡。</text>
<title>次任退之 進 韻。贈別子晦赴朝。</title>,<text>乍見飜疑夢裡逢。彩纓朱笠正頭容。春風出沒街邊柳。秋夕攀號隴上松。笑我愚頑堪引分。知君英俊合登庸。馬磨衣食餘年事。此去靑雲不可從。</text>
<title>雲梯玉露亭。醉贈主人諸公。</title>,<text>玉露高㙜絶世紛。適然乘興不離羣。川涵錦繡今秋葉。村別東西古縣雲。野鴨無機還泛泛。田翁有酒任醺醺。明沙白石神仙界。笑請山翁一半分。</text>
<title>洗心亭。次席上韻。</title>,<text>撥去人間七不堪。行吟水北與山南。肯將眞率供塵世。欲挽羲皇入草庵。步出洗心亭上月。平臨安秀嶺頭嵐。少年蹤跡今猶在。白首端宜各盡酣。</text>
<title>輓金君實 彧</title>,<text>衰年親愛半佳城。君實君今有此行。一子三孫餘慶重。舞衫歌扇舊緣輕。交遊義氣同苽葛。老少歡情若弟兄。斷送先歸悲白首。不如神血本無生。</text>
<title>次心上人立秋詩韻</title>,<text>眞僧雅論若懷霜。隱在雲門倚石床。錫杖暫搖鈴下索。衲衣猶帶佛前香。炎天乍喜三秋近。特地偏驚六月凉。看取禪家成半偈。怳然晴碧起連岡。</text>
<title>輓黃時彦</title>,<text>萬曆年中歲壬子。共登蓮榜許知音。如何四紀爲兄弟。便隔重泉變古今。坐覺峩洋世無耳。空敎鄙吝復存心。哭君遐壽還如夢。猶喜諸郞冠士林。</text>
<title>輓李生期甫 挺生</title>,<text>人如嘉穀病如蝗。方未能神藥未良。年過五旬纔免夭。寓居南土死還鄕。丹旌影過珍同路。黃菊花殘九日香。白首送君含淚眼。忍看靈幄酒盈觴。</text>
<title>輓徐生 雲驩</title>,<text>幾多於世劒頭炊。着處神明足護持。數畒狐莊終老地。一塲鷄夢覺來時。魂遊碧落三山暮。㤪入靑霞萬竹悲。休恨仁人還不壽。應將餘慶屬之兒。</text>
<title>輓宋進士 時雨</title>,<text>於君七十六年前。一曲峨洋思渺然。人世謂逢開口笑。玉郞要作送終篇。名流蓮榜浮榮薄。兒大詩書緖業傳。莫道音容成永訣。卽知衰境近重泉。</text>
<title>輓宋子潔 錫圭</title>,<text>幾多湖嶺隔塤箎。家姪來時問所思。甲乙年高俱老病。幽明路絶更傷悲。殊方托體隣山鬼。蓮榜留名只古詩。遙望吳山阻一哭。神交復待九原期。其二嶺南消息杳難知。不意斯人遽至斯。二十年間爲客地。稀三歲後盖棺時。未將事業供今世。空遣書生誦古詩。早晩夜㙜期會合。却疑魂魄去來遅。</text>
<title>輓金交河 翊震</title>,<text>三十年前哭乃翁。喜君猶有故人風。家聲不逐存亡異。世分還兼出處同。劒吐寃氛干北斗。粉書殘秩返南中。可憐父子先歸盡。獨立人間萬事空。</text>
<title>輓金參奉 東達</title>,<text>鶴駕歸飛上玉京。鳳棲花萼夢魂驚。空將世業傳猶子。謾讀經書誨後生。司馬幾年成白首。齋郞今日寫丹旌。八旬除二還非少。遺恨人間有老兄。</text>
<title>輓鳳谷金殿中而振 東準</title>,<text>讀聖賢書道不行。微官只好寫銘旌。同朝義重忘愚智。並世情深若弟兄。舊約難尋鳳棲谷。遺蹤空憶漢陽城。此生如夢音容隔。異日相從在九京。</text>
<title>悼亡</title>,<text>三生緣重俱頭白。一病難醫獨悼亡。想像糟糠閑歲月。彷徨庭宇飽風霜。野蔬山菜誰烹餁。暑服寒衣孰主張。送塟先塋期後日。地中相見恐荒唐。</text>
<title>輓兪參奉爾屛</title>,<text>幾處論文幾處遊。名山寺寺共登樓。巷連南北俱靑眼。杖出鄕閭兩白頭。二竪嬰時先我逝。百憂叢裡哭君休。室空無主隣無伴。獨立蒼茫涕自流。</text>
<title>哭叔父</title>,<text>天遣猉獜地上行。世間榮辱八回庚。三霜齋室賢勞獨。二縣銅魚政敎淸。宗族契成花樹會。汝南風化月朝評。積而能散留餘慶。老不求名絶所營。散地就閑逾食祿。尊年加秩勝哀榮。兒孫滿眼多男女。胤子成行有弟兄。泉感姜詩鯉輒出。竹因號泣笋還生。杯中豈意驚蛇氣。夢裡誰知奠兩楹。一脉玄風變太古。千年白日照佳城。哀哀孤姪無依倚。再拜靈筵哭失聲。</text>
<title>輓詩[李景奭]</title>,<text>幾年鱗羽阻相通。八十遐齡舊殿中。二子號天求輓語。素秋霑灑白頭翁。大匡輔國崇祿大夫領中樞府事李景奭 拜輓</text>
<title>輓詩[宋時烈]</title>,<text>七十猶稀况八旬。誰言天道不扶仁。高山東望新阡遠。永負閑齋一飮醇。恩津宋時烈 ▣挽</text>
<title>輓詩[宋浚吉]</title>,<text>胤子曾來訪。憑聞體氣康。暮年饒大福。早世謝塵韁。八袠還如夢。三生捴可傷。盈庭有玉樹。垂淚寄哀章。恩津宋浚吉 再拜</text>
<title>輓詩[李時聃]</title>,<text>月日雖先後。行年與我同。八旬非下壽。諸子有前風。高義聞湖外。微官止殿中。蘭亭已陳迹。回首恨何窮。嘉善大夫同知中樞府事李時聃 哭挽</text>
<title>輓詩[蘇東道]</title>,<text>從遊師友早。門下被提撕。疾惡燒書日。尊賢建議時。儒林還不祿。吾黨更依誰。湖外添蕭索。呑聲豈我私。又小少肩隨忝。行年八歲加。故人唯我在。高義孰君多。守靜耽書史。休官卧薜蘿。雙珠仍八袠。淸福亦堪誇。又昔在耽羅月。書傳海鴈飛。敀來期一會。衰病奈相違。夢裡逢猶乍。人間事忽非。遙憐林下宅。寥落掩柴扉。折衝將軍前行龍驤衛副護軍蘇東道 哭挽</text>
<title>輓詩[李惟泰]</title>,<text>湖南長老數三公。相繼云亡一道空。千載高山雲寂寞。誰知此日意無窮。月城後學李惟泰 哭挽</text>
<title>輓詩[李慶徽]</title>,<text>豈弟人無斁。優閑樂有餘。暫爲彭澤吏。終愛玉川廬。白髮身猶健。靑山迹已虗。順寧知不憾。臨輓自沾裾。又每憶床前拜。桐鄕結綬辰。十年塵土別。千里素書頻。世事俄成幻。凶音忽愴神。無由奠鷄絮。身上愧簪紳。通政大夫吏曹參議知製敎李慶徽 再拜哭挽</text>
<title>輓詩[李慶億]</title>,<text>憶曾南國旅遊辰。野寺山村杖屨親。五馬風塵辭郡紱。百年丘壑養閑身。紅梅翠竹襟期在。華髮淸尊咲語眞。怊悵高人難再見。寄哀千里倍傷神。折衝將軍行龍驤衛副護軍李慶億 再拜哭挽</text>
<title>輓詩[尹宣擧]</title>,<text>昔日安心寺。淸霜錦樹秋。家兄爲太守。上客卽君侯。三十二年事。存亡一夢遊。今題蕭挽字。感淚自難收。坡平尹宣擧 拜挽</text>
<title>輓詩[尹元擧]</title>,<text>彭澤歸來南畒田。逍遙丘壑度殘年。藝麻種秫無多地。弄月吟風自在天。八袠登仙餘白室。二男努力守靑氊。西湖舊會今如夢。回首高山落景懸。坡平尹元擧 再拜哭挽</text>
<title>輓詩[任進]</title>,<text>我愛吾君道眞實。一生於世玉無瑕。深恩暫洽懷仁縣。餘慶猶存積善家。二子孝心由素性。諸孫詩態吐天葩。人間八十雖云壽。葱友悲情豈有涯。故人任進 哭挽</text>
<title>輓詩[蘇東鳴]</title>,<text>每憑敀便致丁寧。何遽哀音入我聆。地撤西州高士榻。天昏南極老人星。訃傳胄子靑衿席。痛結賢郞玉樹庭。官止殿中才豈展。義終知己涕交零。故人前察訪蘇東鳴 哭挽</text>
<title>輓詩[權謐]</title>,<text>自解懷仁綬。敀來獨養眞。端居無俗客。閑坐遠囂塵。淸白傳餘業。詩書屬後人。悠然乘化盡。丹旐故山垠。花山後人權謐 再拜哭挽</text>
<title>輓詩[宋錫命]</title>,<text>五月瓊琚是永訣。忍看南極壽星淪。平生雅操傾前輩。百世淸風起後人。鴈塔詩名懸白日。竹窓書几掩黃塵。休言栢府官資薄。應有哀榮爵秩新。忝親宋錫命 再拜哭挽</text>
<title>輓詩[朴承健]</title>,<text>先子當年托契深。共將身世任浮沉。情親不是緣聯榜。老去方知利斷金。遺愛至今留下邑。餘齡仍復着園林。平生出處相終始。倐忽光陰變古今。百代佇看綿後慶。九原應有舊知音。餘生從此將安仰。往迹追思淚滿襟。通訓大夫前宗簿寺正朴承健 再拜哭挽</text>
<title>輓詩[尹抃]</title>,<text>八十康強舊殿中。閑情遐福古人風。趍庭昔日曾經地。挾冊當年獨拜公。此世每思重奉誨。今朝那意遽承凶。餘生孤露多傷感。蕭挽吟成淚滿瞳。通訓大夫前行司憲府掌令尹抃 再拜哭挽</text>
<title>輓詩[李憕]</title>,<text>濁世誰全節。湖南得一人。聲名從此大。風彩至今新。位下非無德。年高信有仁。修文終不返。題挽益沾巾。通訓大夫行長城府使李憕 哭挽</text>
<title>輓詩[柳頲]</title>,<text>公是先人最所親。兩家襟抱絶畦畛。後生仍作依歸地。末路頻隨杖屨塵。休道神明扶愷悌。那堪長老又凋淪。重泉想有吾翁問。爲說猶存未死身。通訓大夫行安岳郡守柳頲 再拜哭挽</text>
<title>輓詩[蘇斗山]</title>,<text>聞道遊鄒魯。名聲擅兩湖。沉綿罹一疾。堂構付雙珠。達德宜遐壽。高才止佩符。追思陪杖屨。題輓獨悲呼。侍生通訓大夫行舒川郡守蘇斗山 拜挽</text>
<title>輓詩[趙億]</title>,<text>吾君有志學沙翁。晩歲林泉德業崇。壽到八旬仁果驗。官終百里道尤窮。四期詩酒長心戀。半夜閑情一夢空。回首高山違執紼。無從涕淚灑巴東。通訓大夫行工曹佐郞趙億 再拜哭挽</text>
<title>輓詩[尹弼殷]</title>,<text>聞公鷄夢罷。哀淚自漣洏。有德官何小。爲仁壽至期。子能修世業。孫是稱家兒。役役身難奠。緘辭寓一悲。通訓大夫行海南縣監尹弼殷 再拜</text>
<title>輓詩[宋有佺]</title>,<text>南天半夜壽星微。地下偏忙長老歸。先世昔年交契厚。後生今日涕洟揮。八旬享歲方仁少。百里居官比德卑。餘慶從知裕裔嗣。玉芝謝樹茁庭闈。通訓大夫行淸安縣監宋有佺 再拜哭輓</text>
<title>輓詩[李元龜]</title>,<text>名達元非志。休官養性情。田園存晩計。詩禮裕家聲。大袠超千古。雙珠價十城。湖西舊莅邑。追慕泣殘氓。又尙憶趍庭日。公來下榻忙。人間幾歲月。世事足悲傷。孤露蒙深眷。存亡隔遠方。空餘不盡淚。揮灑寫哀章。完山李元龜 哭挽</text>
<title>輓詩[李惟孚]</title>,<text>妙年聲價擅湖右。先輩論人有我公。半世功名知宦拙。八旬燕引見天通。忽聞泉夜收精爽。共惜儒林失耆鴻。子擬雙珠能用譽。從敎後報定無窮。月城李惟孚 哭挽</text>
<title>輓詩[李惟謙]</title>,<text>聞公長逝日。衰涕自沾腮。談笑春風好。胷襟秋月開。承歡先故重。托契後哥偲。病負漬綿計。虞謳寄一哀。月城李惟謙 哭挽</text>
<title>輓詩[李大載]</title>,<text>暮春春服旣成後。偶向溪堂問起居。晩節尙勤凾丈誨。靜中猶對滿床書。那知一別爲長訣。無復平生意有餘。鳳谷人亡公又繼。南方從此更蕭踈。侍生桂陽後人李大載 再拜哭挽</text>
<title>輓詩[沈沅]</title>,<text>高標耿耿脫風塵。敀卧雲山自養眞。名顯儒林求識面。行尊斯世願同鄰。淸明實是金無礦。貞固端如玉不磷。幸與二難承敎誨。九泉將隔更傷神。靑松後人沈沅 再拜哭挽</text>
<title>輓詩[李起漢]</title>,<text>山下幽居逼畫圖。去年秋暮許趍隅。飄然始見人間鶴。仰止偏憐屋上烏。從古達尊公獨有。卽今儒雅世全無。誰知一瞥成陳迹。回首新阡淚滿鬚。侍生進士李起漢 哭挽</text>
<title>輓詩[宋奎祥]</title>,<text>托迹龍門久。姻親荷德深。雅望驚朝著。文聲擅士林。八袠超人福。雙鸞瑞世禽。此日題哀挽。臨風淚滿襟。生員宋奎祥 再拜哭挽</text>
<title>輓詩[宋有景]</title>,<text>先君交契盡零落。此日那堪又哭尊。栢嶺無因承下誨。竹軒何處拜嘉言。澤深單父民猶頌。業繼河汾我豈諼。况忝姻親情最厚。題詞不覺淚成痕。常山宋有景 再拜哭挽</text>
<title>輓詩[宋昌]</title>,<text>前冬一拜轉依然。誰料如今訃忽傳。言念曩時唯涕淚。可堪人事已推遷。官終小邑才雖屈。仁享遐齡福又全。况復庭蘭誠孝足。克家應保舊靑氊。通訓大夫前行司憲府持平宋昌 再拜哭挽</text>
<title>輓詩[金守堅]</title>,<text>淸淑山河氣。鍾精歲甲申。自童心正直。及長志君民。學就詩書習。禮行俎豆陳。名聲優地望。誠孝出天眞。淸白傳家久。莊嚴敎子頻。抑邪明大義。憂世擴深仁。祿薄忠尤切。官微政益新。武城儒化遍。單父俗風淳。才大世難用。年催鬂易銀。人心多反覆。世味備酸辛。丘壑思藏迹。林園决退身。歸田淸有興。掃榻淨無塵。茅屋依山麓。松窓傍水濱。閑情人所羡。詩語自生神。手裡扶藜杖。頭邊岸角巾。逍遙探勝景。談笑引嘉賓。世亂心何亂。家貧道不貧。前賢因繼緖。後輩賴成人。况與吾先厚。深情世莫倫。非惟相托契。更許共連姻。祖子孫三世。交親義一均。風標相引領。訓誡已書紳。曾擬陪淸夜。寧知哭此辰。儒林失長老。鄕里絶芳鄰。基業垂雙子。春秋享八旬。芷蘭猶馥郁。珠玉豈沉淪。素紼穿雲道。丹旌拂曉旻。淒凉舊林宅。寂寞鎖松筠。承誨嗟無日。趍隅似隔晨。平生一掬淚。揮洒暮山垠。侍生咸昌後人金守堅 再拜哭挽</text>
<title>輓詩[宋有拭]</title>,<text>憶曾去年秋。承顔頗怡怡。髭髮勝於昔。遐壽猶可期。那知數月間。凶音遽至茲。痛哭豈爲人。潛惻亦以私。自我先君沒。朋知果是誰。惟公最相憐。嚮慕何日衰。追念曩時事。欲言先自噫。先君少交遊。非賢莫肎隨。於公許知己。幾年相偲偲。洛邑從仕日。江都扈駕時。志趣旣無逆。勤苦莫相離。自此契益密。亹亹期不移。小子時雖幼。亦因先君知。伊來卄餘年。世事嗟已非。此身少也孤。風樹空自悲。慨然無所依。向公情更冞。如今公又逝。慼慼將何追。誄行雖近妄。詎敢無一辭。孝友天所賦。廉介人共師。蠖屈旣多年。鵬擊會有爲。一官不稱德。世道誠可嗤。在公亦何傷。從古皆如斯。泉石自有樂。名利肎爲覊。西山薇可採。東溪魚有箄。頤養此而足。出處亦可宜。肅容雖已遠。令名尙菲菲。福祿猶未艾。靑氊有所垂。二子能繼述。諸孫亦俊奇。仁者必有後。古人豈我欺。卜築近先壠。精魄亦有依。生死竟無憾。可爲鄕人儀。惟我適遠征。歸期恐遅遅。臨風題一輓。不覺涕交頤。常山後人宋有拭 再拜哭輓</text>
<title>輓詩[具廈]</title>,<text>皇天至粹㓗。公能禀其靈。端莊和易色。耿介金玉形。矯矯松栢秀。薰薰茝蘭馨。伶仃能自立。聲名動瞻聆。淸論氷生水。高才鶴振翎。初椉栢府騘。更聽琴閣鈴。歸來舊田園。閑閑老巖扃。愜適三經趣。頤養一心惺。冠童爭負笈。析縷每傳經。形神益老大。詩律愈淸熒。天錫實所扶。百歲期永寧。那知龜鶴筭。而至八十齡。門闌嗟寡祿。鄕黨誰儀刑。月冷前溪水。風悲舊松亭。顧念平生事。庶幾垂汗靑。微官竟不滿。難恃彼蒼冥。嗟余最承愛。戀德心腑銘。江湖隔雲山。久缺趍門屛。啓手未永訣。此恨終難停。佳城遠日促。丹旐出西埛。從此阻承顔。含哀哭寒廳。語盡情難盡。不禁涕交零。從孫廈 百拜哭挽</text>
<title>輓詩[宋之琦]</title>,<text>大德之人位不尊。爵名終止一懷仁。文章餘事嗟何說。儒道元來自有眞。承訃永違隨杖屨。題詞難禁濕衣巾。應知二孝攀號處。龍劒平津會更親。侍生宋之琦 再拜哭挽</text>
