<title>除夜</title>,<text>國步危如線。竆陰逼歲除。孤臣渾不寐。倚壁聽晨雞。</text>
<title>偶詠八首贈人</title>,<text>萬里吾鄕蘇子詩。投荒行色似當時。地形南盡滄溟闊。山勢北來孤堞危。前輩風流今寂寞。覊臣得失太支離。蓬萊咫尺堪乘興。身世飄零亦一奇。其二陶謝風流江鮑詩。高才不合負明時。黃粱正熟三緣足。白髮齊生兩鬢危。已向沙鷗成契活。空敎舊侶惜分離。湘潭肯恨萍蹤苦。垂老相逢便是奇。其三二老風流千首詩。遺民往往說前時。眞知絶學天顔喜。勇退高風駭浪危。當日人間聲藉藉。只今原上草離離。由來往復尋常事。九轉丹成未必奇。此一首。有懷眉巖石川作。其四空階浥露對新詩。積雨孤村倦睡時。流落肯敎心愧怍。衰遲贏得鬢凋危。連天芳草愴人國。和雨哀歌遠別離。自是竆通元有命。狂言非爲欲求奇。其五却愧虛投落韻詩。狂言只辦負當時。衰年世味三緣凈。平地人情九折危。貧是士常聊自遣。道非眞得有時離。行藏好箇吾家法。石老猶疑跡太奇。其六酬唱非關愛詠詩。愛君氷玉映當時。人情似水千帆過。世事如棊一着危。已辦單瓢貧亦樂。生憎雲雨合而離。平生一夢誰先覺。飛將虛勞歎數奇。其七林臥誰題破悶詩。柴門却掃已多時。世間萬事都消遣。天外孤帆底處危。今日無兒憐伯道。他年有塚近要離。平生袖手聊觀化。便是男兒十分奇。其八聞君對酒便吟詩。閉戶丘園閱四時。佳句已成椽筆擲。新醅初醱鐵冠危。薄官偶爾仍長往。我道當然不可離。珍重華牋衝雨過。郵筒欲捲轉雄奇。</text>
<title>醉席和金華俊</title>,<text>風流未减聚星賓。小友精神更絶倫。雪興仍成終日醉。衰顔聊借片時春。只今潦倒誰相念。疇昔心期百不伸。濁酒挽人逃勝地。欲將懷抱向君陳。</text>
<title>過陽智縣</title>,<text>縣名陽智臨長道。籬落蕭條白屋貧。數輩持戈爲大閱。一丁牽馬送尊賓。東軒半壁仍軍器。通引千呼卽陪人。自是無良可撫字。才如召杜誰與親。</text>
<title>翠寒亭韻</title>,<text>湘潭歲暮雲城外。歸路頻煩問杜常。階菊傾溪無俗態。坌花迎月有餘香。人行遠店投朝雪。馬渡橫橋怯夜霜。天寒此日低迴晩。臨別何嫌十擧觴。</text>
<title>六月初九。盡五月節。</title>,<text>六月留殘仲夏令。初驚小雨洗騰陽。春秋剡剡來登事。隴麥油油去滌塲。民事卽知無小稔。歲功猶幸免拋荒。小臣謾有豐年願。志喜聊憑酒一觴。</text>
<title>聞言官以海民舊瘼上達</title>,<text>傷心赤子癢誰搔。安上危言九陛高。齊市卽聞收隴望。秦科行見去牛毛。車驢倘許衝泥路。頂葛猶能醑濁醪。爲賀吾君憂白屋。能回玉燭照亡逃。</text>
<title>次姜寒沙赴京韻</title>,<text>悄悄荒原走短蓬。玉人歸思太悤悤。偏憐愛子隔東魯。肯惜征衫戰北風。雙鬢光輝催暮齒。一秋羸病坐消中。未應小別堪垂淚。悵望關河恨不竆。</text>
<title>遊大芚寺</title>,<text>十轉回巒九渡溪。白雲堆裏路高低。淸飈淅瀝鍾聲便。琪樹葱瓏日色迷。輪岳未論超世累。駕虛先喜對樓題。蓬萊可到非吾願。浮世彭殤政可齊。</text>
<title>題駕虛樓</title>,<text>危樓跨水敞雕楹。六月登臨客夢淸。碧樹連天供爽氣。淸流瀉玉愧塵纓。夕陽粧綴靑山色。松籟揄揚萬壑聲。欲向空門尋晩社。試將枯筆暢幽情。</text>
<title>偶吟</title>,<text>閒驅款段一童隨。蒼翠微茫竆海垂。僧帶夕陽歸寺晩。馬穿幽逕渡溪遲。禪床過雨雲猶濕。水閣觀魚樂自知。惆悵十年塵土裏。白蓮回首幾顰眉。其二明時萬死未稱寃。此地投荒末减論。安邑有時煩口腹。故人非但問凉暄。飢寒不並風霜苦。流落方知天地恩。分外無營爲長物。誰將學力擬前言。</text>
<title>次尙古見寄韻</title>,<text>東林尋社喜追隨。歸路翻愁日脚垂。竹箑無功人意倦。彤雲如燒馬行遲。徒聞瘴海偏多暑。纔到炎方已得知。欲踏層巖迷去路。客情終夕在雙眉。其二行藏半世昧䨓隨。萬事投荒素領垂。暫向眞源尋去遠。每逢佳處坐來遲。殊方自是無家返。鄕路空憐有夢知。今日欲歸歸亦客。且從雲衲展愁眉。其三長廊行粥木魚隨。閒看歸雲滿地垂。淸曉鍾聲來隱隱。倦遊行色去遲遲。甘酸世味吾差熟。流落萍蹤僧不知。浮世由來無好况。對君詩句一揚眉。其四凈界閒登雲衲隨。琪花落盡子垂垂。薄遊已倦禪心靜。微雨初開雲意遲。鬢髮凋危猶自信。心期歷落有誰知。淸宵不寐同僧話。嬴得浮生笑展眉。其五渭陽投分鎭相隨。避地高蹤卽海垂。老去肯爲淸世計。病來仍負故人遲。詩郵慣踏靑苔色。交義何慙白首知。日色下山凉欲動。不妨淸坐對芝眉。</text>
<title>又用前韻自述</title>,<text>十年塵土強委隨。玉署鑾坡聖渥垂。往事渾如春夢覺。狂言已辦渙䨓遲。支離暮齒慙明鏡。流落竆途仗舊知。此地逢君實有數。相看不覺喜浮眉。</text>
<title>石川眉巖舊宅。感懷有作。眉巖柳希春字仁仲。光州人。</title>,<text>先輩風流跡未賖。荒墟喬木有啼鴉。江山不辦留豪傑。今古同悲度歲華。老去壯心輕落魄。秋來孤夢謾歸家。人生得意惟盃酒。浮世休勞費歎嗟。</text>
<title>次潭陽倅黃公 瀡 寄詩並扇粒</title>,<text>孤臣流落瘴江邊。蠻雨昏嵐接海天。禦魅已爲淸世棄。贈言惟有故人憐。素紈搖月拋炎氣。玉粒抄雲供暮年。暗數長程非泛愛。千金不許當新篇。</text>
<title>寄尙古</title>,<text>玉人零落海雲邊。環堵蕭然不㤪天。大策縱橫如有助。高才拋擲最堪憐。休言耳順無多日。此去鷹揚又幾年。肯使靑氊委蔓草。老夫揩眼寫新篇。其二 尙古以詩酒自娛。廢科業。故作此以勉之。昏冥身世瘴江邊。誰把行藏欲問天。羅隱未消科第恨。浪仙空遣古今憐。題名接武俱中歲。傾蓋輸心卽暮年。強起東山良有以。不辭招隱再成篇。其三西隣一日阻承顔。悄悄孤吟百慮關。千里歸心溪上宅。一年春色雨中山。病來身世惟宜懶。老去光陰好是閒。昨夜兒孫來入夢。覺來猶記語潺湲。</text>
<title>次李子時詠橘亭韻</title>,<text>霜前百草了無分。獨愛幽蘭未沫芬。不敢便題懲咎賦。肯敎虛草送竆文。百年交道偏憐我。數日柴門不見君。欲向頭流豁眼目。試令風伯破重雲。</text>
<title>贈人</title>,<text>橘柚甘酸不早分。天涯愁緖漫如焚。秪應慙負歸田賦。未肯眞成乞巧文。危鬢已凋安用我。高才虛老始憐君。筭來顯晦渾閒事。何處仙源鎖白雲。其二誰將臭味巧相分。名利場中膏火焚。淺學空持三字訣。狂言不直一錢文。朅來世事眞如夢。老去心知喜得君。瀛海晴峯無限好。肯敎慚愧華山雲。其三短髮羞臨曉鏡搔。沅湘搖落楚天高。名樓百慮葵傾日。淸世孤蹤鵠去毛。揩眼愁看燈下字。思君時過屋頭醪。王陽自是無心緖。歲暮山林未必逃。其四歸心一夜首空搔。旅夢迢迢海月高。世事早知蕉底鹿。邊愁謾入鬢前毛。閒披書帙分魚魯。病把茶甌當酒醪。自怪憂端高岣嶁。羨君長向醉鄕逃。</text>
<title>次尙古示春帖。仍謝邀意。</title>,<text>寂歷空庭集晩鴉。臥聽飛雪打窓紗。寒梅得意迎春色。遠客驚心餞歲華。今夜五更猶可惜。南村百步未爲賖。山城薄酒還堪醉。坐到殘鍾報曉撾。其二十年賢路抗塵顔。枉把狂言去叩關。韋曲繁華千里夢。蘇鄕物色萬重山。飢寒不怕聊成趣。憂樂都忘剩得閒。幽興挽人仍散步。小泉流水更潺湲。</text>
<title>又次前人韻</title>,<text>十年蹤跡萬人叢。末路相知未數公。老去心期如夢寐。夜來風雨舞魚龍。雲埋極表天如醉。路絶樵蘇地欲童。賴有詩人傳尺素。聊將好語慰吾竆。</text>
<title>獨坐書懷</title>,<text>湘潭春色惱愁顔。悄悄輕寒晝掩關。誰賦大招憐逐客。聊同小隱對靑山。梅䆫有夢歸魂苦。竹院無人語鳥閒。半世風塵成底事。愧君高臥聽潺湲。</text>
<title>積雨乍開贈尙古</title>,<text>悵望西隣君子儒。柴門聊復立斯須。衰年愧我心爲役。此地逢君氣欲蘇。肯向金張輸末契。最憐蹤跡阻通衢。春城雨足花如海。淸興稽山倘不孤。其二少日心期陋漢儒。晩來農圃愧樊須。涓埃不辦酬明主。流落居然學大蘇。靜裏光陰聊勝地。夢中虛幻卽亨衢。一句缺</text>
<title>病臥得句示尙古</title>,<text>簾外楊花撩亂飛。惹烟芳草更依依。靑春欲謝濃陰轉。白髮如期素志違。數日病來仍斷酒。三湘鴈盡却思歸。慵眠絶勝愁相伴。孤夢無端墮釣磯。</text>
<title>送金生兄弟赴解 華伯，華俊</title>,<text>外氏門闌有大儒。後來翹楚亦時須。丹墀獨對聯雙璧。靑簡重書得二蘇。老我全生投海嶠。看君平步上雲衢。西湖柳色今依舊。千里相思興不孤。</text>
<title>庚辰七月。謝太學士。</title>,<text>衰遲世事了乘除。隨分低佪任卷舒。似是馬曹空拄笏。眞成傲吏謾簽書。重尋玉笛心猶在。一陟金剛計亦踈。朗詠新篇聊發興。不如歸去臥吾廬。</text>
<title>題孤山精舍</title>,<text>昔年同占此江山。暇日登臨剩得閒。君健已成新契活。吾衰無復舊容顔。梅梢雨細濃陰合。浦口雲迷短棹還。簪合東西非偶爾。不知何處更追攀。其二新構茅齋枕碧山。世間何者似君閒。靑衫一出眞無策。白首重來愧滿顔。微雨過江桃浪闊。遠林生暝夕禽還。孤舟欲向仙源去。鐵鎖高垂不可攀。</text>
<title>雨後贈權士中</title>,<text>長堤雨歇綠迢迢。植杖悠然過短橋。桃浪平沉沙岸尾。晴霞繞出碧山腰。家家簾幕春愁閙。處處園林花意嬌。可惜韶光渾欲暮。小車淸興未全消。</text>
<title>次士中踏靑韻</title>,<text>衰遲惆悵餞殘春。更喜芳郊軟綠新。看鏡已驚今日鬢。賞花非復舊時人。少年狂態心猶在。是處淸遊跡已陳。浮世只餘君我在。可憐詩句尙精神。</text>
<title>惜春。奉呈水淸棐几求斤。</title>,<text>少日逢春氣欲爭。自從衰颯秪堪驚。今年又較前年老。三日全無一日晴。零落殘紅眞可惜。參差新綠更多情。閉門悄坐誰相問。愁絶黃鸎一兩聲。</text>
<title>送秋吟呈士中</title>,<text>浮生六十爲中壽。君我差池只數年。半世榮枯眞夢幻。晩途詩酒好因緣。飛霜剝塢黃花老。急景催人素髮鮮。昨夜送秋心轉苦。不妨飛斝小池邊。</text>
<title>立春日。對雪寄士中。</title>,<text>邇來三月在漳濱。忽復驚心丙子春。陰沴已消今日雪。形骸猶作去年人。韶光荏䒣浮靑靄。鴈陣參差散綠蘋。竹裏寒梅消息斷。不知能得幾枝新。</text>
<title>雙溪寺雨後作</title>,<text>生愛頭流第一峯。偶從休暇躡飛筇。羣溪雨足䨓爲響。萬壑秋深錦似濃。跡在殘碑詩老筆。淸傳孤夢上房鍾。明朝豁眼靑丘小。一盪書生憾慨悰。</text>
<title>天王峯</title>,<text>快陟頭流千萬仞。吾儕壯觀信雄奇。雲歸洞壑氛埃凈。眼盡東南指點疑。湖嶺襟交天設險。滄溟氣接地竆維。平生謾有乘桴興。誰信蓬萊已在斯。</text>
<title>次陜川倅金 孝建 善述韻</title>,<text>江渭星霜費夢思。一麾聊復有佳期。春來邂逅非無意。老去筋骸正可悲。膜外未論浮世事。尊前漸覺故人稀。淸秋不負東遊債。倘趁鈴齋吏退時。</text>
<title>嘖言又至。鴞音未懲。廟堂無策。京師荷擔。醉後狂言。忠憤所激。聊博一粲。</title>,<text>風擺簾櫳曙色分。空齋坐對鷓鴣焚。短長未駐揮戈日。愚智相懸幼婦文。數寄詩篇聊起我。不言貧字正慙君。平生得酒須成醉。半世何人是子雲。其二塵埃蹤跡有誰分。王事如今急救焚。圯下八難扶赤帝。馮生三窟業田文。江山有意留長策。天地無私恃聖君。醉裏狂言能信否。直須揮篲掃蒼雲。</text>
<title>謝遠問</title>,<text>林臥頹然養性靈。男兒到此便豪英。小池荷老堆殘蓋。僻塢篁疎戛玉鳴。老子精神如瘦鶴。孤臣蹤跡似奔鯨。忽驚千里相思字。舊日奴星亦有情。</text>
<title>在結城縣作 甲子以兵曹佐郞。行到結城。</title>,<text>湖嶺交襟水石鄕。客程無復故人觴。夕陽西下鳥飛倦。微雨北來僧錫忙。老去行裝如泛梗。秋來物色攬愁腸。非無溝壑平生志。聖主恩私未可忘。</text>
<title>喜邑儒合簪夏課。仍以勉金尹兩上舍。</title>,<text>先輩遺風未掃除。向來翹楚喜聯裾。新凉䒣䒣稍排暑。秋卷翩翩式起予。喘月自憐經百戰。濟河誰辦惜三餘。休將孤注輸閒擲。秉燭前言定不虛。</text>
<title>挽毓慶園遷葬 修撰時</title>,<text>恭惟宣祖本支繁。好學河間孝友敦。靈武艱危扶社稷。漢庭朝謁荷便蕃。英姿逈出諸王子。大業終歸有道孫。玉璽可徵神眷在。金甌無缺聖功存。迎相莫建開元事。議濮仍崇大院尊。曩日天心先有屬。當時人事不堪言。殷憂暗結燃箕泣。靈筭兼催血瓜寃。僾僾羹墻聞欬啑。遑遑旅次閉精魂。防崩軫念宣尼喟。水囓驚心季歷原。五載經營勞玉食。百年窀穸採輿論。路穿東郭民如市。殯在南宮禮不煩。彩鷁迎潮羣仗戒。廞車衝曉萬人喧。攀輀孝思摧天痛。送往臣工效駿奔。詞掖小臣叨奉引。露梁江上望新園。</text>
<title>挽寒岡先生 庚申四月</title>,<text>先儒是學繼朱程。性理東懸日月明。少日摳衣親授受。晩來提耳並生成。保全天地恩如海。歸去衡茅道益亨。聞說禮書無絶筆。斯文遺恨在諸生。</text>
<title>挽吳思湖 長</title>,<text>吾東文獻蔚儒賢。先正嘉言太史編。自古斯文多不世。只今吾友獨能傳。已將才調驚三絶。更把封章動九天。惆悵長沙吟鵩賦。孤墳蕪絶水雲邊。元兄少日共論文。稺弟交遊更絶羣。三十年來肝膽照。一千里外死生分。亦知浮世同爲客。何意中年便哭君。兩代詩書今已矣。鏡湖波咽不堪聞。</text>
<title>挽朴龍湖 文楧</title>,<text>百年交誼再嗚呼。且記溪邊送老夫。別意令人生楚愴。罇前爲我說江湖。朝廷有道君將起。天地無情道亦癯。泉路倘能從石友。爲言浮世一身孤。</text>
<title>挽李石潭 潤雨</title>,<text>少日相從洛水堧。當時人事已茫然。名場得失同遲暮。世路崎嶇有後先。得所依歸寧改樂。逃之麯櫱亦通筌。死生有命難容力。剝復相承信在天。分外徵書重邂逅。禁中前席又聯翩。鑾坡夕直三聯被。薇院朝驂再並鞭。直道未容分町畽。危機聊復與周旋。鐵腸不作謀身計。公議惟應信史傳。湖外遨頭非薄宦。天涯回首歎遺賢。寧知異日罇前會。又屬孤臣海外遷。來暮謳歌喧四境。去時衫袂失重牽。及瓜遠寄郵筒字。投紱歸耕谷口田。夢裏頻疑樑月色。雪中誰辦剡溪船。水衡環佩驚衰鬂。廟議紛紜費泝沿。適我三危憂瘴癘。歸來心想在君邊。蝦蟆蝕月行來晩。木稼成冰痛忽纏。疇昔音容如昨日。卽今文采閉重泉。參雲杞榟扶樑棟。藉藻球琳謝琢鐫。廊廟誰爲持造化。登庸無乃失陶甄。斯人已逝空陳迹。今世無能與比肩。僾僾精靈應不眛。依依形影只堪憐。知音已矣將安訪。寥落江天哭病權。</text>
<title>挽全沙西 湜</title>,<text>柱屹山高洛水淸。商顔淑氣鍾羣英。蘓翁文采先持幟。愚老功程繼主盟。並世地靈傾洛社。似公天分冠鄕評。天球未琢猶溫粹。古鏡新磨見性情。濁世翩翩誰並駕。危邦望望便歸耕。時淸次第風雲會。歲暮參差劒珮鳴。玉署含香纔豹直。薇垣專席又廷爭。葳蕤鳳彩光朝右。啓沃鴻猷裨世程。愧我不才聯步武。負山無力似蚊蝱。十年東洛同憂樂。千里長沙隔死生。魚腹有書通問訊。夢中迷路阻逢迎。兵間邂逅心如碎。轂下追陪歲又更。國有老成朝野喜。章封引退搢紳驚。淸秋喜色憑孤鴈。竆臘㐫音奠兩楹。他日易名誰摭實。知公如我只呑聲。重泉不分攀仙袂。題挽那堪老淚傾。</text>
<title>挽李日新堂 天慶</title>,<text>處士歸眞宅。薤歌若爲謳。臨當寫我思。先欲闡公幽。孝悌天能厚。堅貞我所修。夙興仍夜寐。危坐整襟裯。抵死猶未懈。平生得所由。斯爲民日用。乃作聖初頭。七十年于此。百千人罕儔。以能貧亦樂。遂得淡無求。倘使䂓模濶。端宜等輩優。全歸無愧怍。此別直浮休。今歲何多事。儒林未易瘳。誰爲守靜者。更有如公不。此議如無泯。諸人或可羞。吾言憂世道。不是爲公謀。</text>
<title>挽李復齋 道孜</title>,<text>寒岡門下號多賢。美質如公更可傳。已向丘園安素履。却將詩禮付靑氊。妙齡邂逅仍傾蓋。暮境噓唏郞漬綿。浮世幾回傷此別。老夫無語寫哀篇。</text>
<title>挽朴參判 明榑</title>,<text>當時仙宦羨臨瀛。老我思量更有情。不惜衰遲爲此別。獨憂精力已堪驚。百年交誼朱絃斷。千里覊心素月明。官冗驅人如急遞。哀辭未暇說平生。</text>
<title>挽李竹閣 光友○己未十月</title>,<text>往者儒林幸。吾鄕有是人。休休君子器。仡仡丈夫身。愛惡無畦畛。行藏任屈伸。臨河或滿量。飮瓢更安貧。鄕井尋常地。優遊九十春。丈人傾意氣。賤子仰淳眞。竹下通塢僻。花前酌酒醇。誰爲金石壽。不見夜臺晨。萬事渾無賴。餘生愧見親。新阡已入眼。執紼淚盈巾。</text>
<title>挽呂鑑湖 大老</title>,<text>吾友曾陪杖屨還。謂公眞意逈難攀。自從人事浮雲改。歸去柴扉白日關。二子聲名方藉藉。諸孫文采已班班。明時莫惜知音少。留取槐陰在世間。</text>
<title>挽李蘆坡 屹</title>,<text>淸白傳家遠。溫醇稟氣良。百年丘壑志。少日翰墨場。沿泝功程在。提撕興緖長。追陪成宿昔。離濶動星霜。偶督江泥租。仍題薤露章。驅馳阻執紼。客路九曲腸。</text>
<title>挽曺承旨 應仁</title>,<text>八代平章文采存。林居素履更堪論。向來不辦吾心愧。老去寧嫌衆口喧。二子乘龍誇謝樹。諸孫窺豹大于門。一生所學爲無負。到處荒碑看淚痕。天球未琢自無疵。賤子從之當友師。投契肯論前後輩。輸心不改盛衰時。孤舟悵望龍驤塚。古篋空留人日詩。垂老那堪爲此別。欲題哀挽淚先滋。</text>
<title>挽李參奉 瑴</title>,<text>乙亥仍同癸未月。情爲骨肉義潘楊。衰年薄宦千薪下。少日虛名百戰場。三世風流今寂寞。百年基業轉荒凉。溪橋酹我平生酒。未識精靈倘一嘗。</text>
<title>挽鄭內翰 杺</title>,<text>家學淵源泝洛濱。妙年文采動楓宸。同時父子來修史。當日朝廷喜得人。朝上玉墀仍接武。夕歸靑鎖乍分茵。祗今盛事渾如夢。哀挽題回淚滿巾。</text>
<title>挽李雪壑 大期草溪人。以文景虎言事。竄白翎島。</title>,<text>白首竆囚海。扶倫大義存。朝廷榮五馬。鄕黨敬三尊。玉樹埋塵壤。靑氊付甥孫。他年江上路。不忍過西門。</text>
<title>挽金虛舟 槃</title>,<text>趨庭詩禮幾洄沿。美器天成又琢鐫。薄俗可敦誰毁譽。持衡無必任推遷。峽猿情苦腸仍斷。醫緩功遲病不痊。兩世三喪江上路。使人心絶暮歸船。</text>
<title>挽朴萬樹堂 寅亮</title>,<text>早抱遺經費講求。晩途時命與仇謀。行乎州里惟靑眼。牧以卑謙到白頭。五福人間一曰壽。諸孫膝下百無憂。定知豈弟爲神勞。聊向哀章警末流。</text>
<title>挽吳景虛 汝橃</title>,<text>風塵東洛昔逢迎。四十年間一夢驚。縱靶長途纔弱冠。沉痾半世阻班荊。鵬摶未試烹鮮手。鷄割空留飮糱聲。暮景侵尋諳世味。竆途蕭颯見交情。關河夢斷傷離闊。湖海書傳問死生。更向竆簷傾皁蓋。正當佳節屆朱櫻。罇前共說江湖樂。身外方知寵辱輕。爲愛芳塵猶在席。無端凶問已兼程。艱危倘欲收樑棟。經濟誰堪仗老成。惆悵文昌秋色裏。莫敎隣笛月邊橫。</text>
<title>挽朴无憫堂 絪</title>,<text>憶向龍門歲律竆。當時共喜未成翁。閒驅快馬衝殘雪。穩把深盃戰朔風。愧我徒能一日長。愛君優有數年功。正當雙里壞綸紀。那免寒暄立異同。十載龜藏人事改。頻年鶚薦世緣通。明時軒冕非吾願。白首工夫飭爾躳。師友蒿成思一講。江沱臥病遽長終。孤山把臂情何極。旅櫬關心淚滿瞳。歷數相知誰在世。竟孤臨穴坐消中。哀詞不用腸先斷。老去人間萬事空。</text>
<title>挽李興海 宜活</title>,<text>當時適我抱鋤犂。北去南還未摻裾。可惜頭顱仍製錦。尙憐消息有烹魚。一年好注陽城考。千里驚傳東野書。惆悵前人詩禮在。不堪牢落愴荒墟。</text>
<title>挽都病隱 敬孝</title>,<text>斯人今已矣。鄕井益凄然。奇氣家風在。淸詩後輩傳。數年投素契。一別間黃泉。風紼那堪執。新阡草樹連。</text>
<title>挽權參判 泰一</title>,<text>茂葉今零替。憐公早着鞭。鳴琴記下榻。聽履慶登筵。蹈險心猶壯。沉憂病不痊。孤宗再惘悵。衰颯轉茫然。</text>
<title>挽李評事 濯</title>,<text>意氣相傾在妙年。當時世事日紛然。雪庭提耳貧猶樂。塞驛投章老可憐。聖主已能羅俊傑。英才不合臥林泉。那堪嶺外傳凶訃。暮境親知歎逝川。</text>
<title>挽姜判官 世淖</title>,<text>晉陽三姓姜爲昌。又到公家福履將。令子聲名靑鎖彥。諸孫文采白眉良。松楸久隔歸魂苦。窀穸重開祖席張。兩世交遊非淺分。病羸無路奉帷裳。</text>
<title>挽孫判官 敬宗</title>,<text>五百同題四十春。身長八尺亦精神。當時負氣輕前輩。他日登壇付別人。苔臥綠沉光欲澁。書藏金櫃匣生塵。可憐壯士麤豪歇。誰許要離塚作隣。</text>
<title>挽李三老</title>,<text>庚申幷我白眉良。少日追隨丈人行。老去交遊如啖蔗。年來人事劇亡羊。同時父子俱臨穴。是處親朋欲斷腸。怊悵汪巖留舊舫。共誰重把菊花觴。</text>
<title>挽姜錫璜</title>,<text>向來凶訃夢猶疑。忍見丹㫌閉素帷。十五年前虛左席。一千里外劇相思。當時錯過先王禮。是處重看孝子碑。未死精神應不眛。老夫懷抱倘能知。父在母喪。啜粥致毁。故有是語。</text>
<title>挽尹奉事 景洛</title>,<text>童稺情親五十年。浮生此別意茫然。六旬雖短猶稱壽。七子皆成間有賢。瞙外名場眞一夢。人間華祝喜雙全。獨憐淺土親喪在。泉路長懷欲問天。</text>
<title>挽許察訪 洪材</title>,<text>少年徵逐義斯存。美質憐君孝友惇。世事向來何足道。交情老去更堪論。一尋湖海虛前約。重到鄕山已斷魂。爲送家喪阻執紼。淚沾哀挽望秋原。</text>
<title>挽文景升</title>,<text>孝友生知君子儒。早從私淑盡規模。剛金百鍊精神在。寶鏡初開査滓無。不向傍人同臭味。遂令平地生崎嶇。至今萬事渾如夢。惆悵新墳數尺孤。</text>
<title>挽河公極</title>,<text>兩家姻睦似潘楊。少日交情老更長。得喪未論浮世事。逢迎憶把菊花觴。春江約在前期闊。來履基存舊業荒。遲暮幾回爲此別。念君無命最堪傷。</text>
<title>挽金太守 德一</title>,<text>驄馬分南竹。民瞻太守尊。獨能紆皁蓋。仍許掃齊門。朞月方遊刃。親朋已斷魂。誰爲蒿里餞。惆悵病文園。</text>
<title>挽李節度 眞卿</title>,<text>先輩風流興緖多。傳家冰櫱激頹波。三持虎節都無宅。十佩銅章巷有歌。共說稺圭榮晝錦。寧知安石困沉痾。時危又失干城將。老淚傾河意若何。</text>
<title>挽金鶴圃 奉祖</title>,<text>早年調韻若壎篪。末路交情更有誰。三字缺 來心膽碎。危機閱盡鬂毛衰。春開紫府彈冠日。霜肅烏臺奏簡時。一夜荒凉成古迹。九原何處更相期。</text>
<title>挽李梅月堂 賀生</title>,<text>純孝終身慕父母。齋居竟月致哀虔。八旬荏苒猶非懈。小學功程卽自然。曩日從遊非泛愛。晩途投分更堪傳。平生故舊皆零落。又向新阡哭小連。</text>
<title>挽李紫圃 瑛</title>,<text>三葉聲名掩一鄕。日新規範更輝光。家庭有訓風流遠。房從雖踈契分長。共說百年同臭味。那堪半世見存亡。坐來默數平生事。欲寫哀章語忽忘。</text>
<title>挽朴錦州</title>,<text>淸朝環珮慣相隨。交誼何論白首知。千里音書意正苦。百年存歿事堪悲。秋原未灑平生酒。舊篋空留人日詩。聞道丹㫌過漢口。獨來江上立多時。</text>
<title>挽申密陽 楫</title>,<text>弱齡毛翮已凌霄。郞署遲回兩鬢凋。緩轡長楸伸尺蠖。紆情短日夢三刀。霜鴻夕叫書初寄。薤幅朝傳膽欲消。鶴髮倚門魂正苦。九原迢遞若爲招。</text>
<title>挽李水使 義立</title>,<text>八尺長身眞丈夫。弱齡才格見桑弧。低回佐幕誰知己。遲暮登壇負壯圖。岐下三千酬善馬。中山一篋謗明珠。平生最是干城將。良史猶能記蹟無。</text>
<title>挽河瓚</title>,<text>晉陽三姓河爲大。先子文章又一家。契分已能投暮晩。門闌更喜托莩葭。不堪兄弟歸泉裏。何意膏肓閱歲華。直念孤孀無處寄。病中題挽淚橫斜。</text>
<title>挽朴匡西 震英</title>,<text>少壯羣遊鄕社中。獨推精悍似司空。往時符竹分西塞。是日鯨鯢鬪朔風。共說條侯能臥壁。誰知李廣未論功。病聾不辨傷廉吏。矍鑠猶堪用是翁。疇昔包羞方仰睹。只今分閫誰爲䧺。空令老將思鳴鏑。可惜時賢眛豁蒙。百里相望良覿斷。終年又阻尺書通。衰遲忍作重泉別。痛哭非私卽爲公。</text>
<title>挽河進士 仁尙</title>,<text>曩時風浪獨收身。今我揚眉說項頻。老去豈無重邂逅。病來非復舊精神。卽今牢落悲前事。疇昔懽娛付別人。一月三爲泉裏慟。連敎血淚在衣巾。</text>
<title>挽柳桃隱 載春</title>,<text>二字缺 凾丈士爭趨。此老儒衣最早摳。孝弟出天光里井。安詳爲質絶睢盱。倘敎朋友能推挽。未必聲名不滿隅。六十八年閒自在。羨他奔走世途無。</text>
<title>挽李德明</title>,<text>己亥玄冬蓋始傾。剪燈呼酒晉陽城。別離更阻三年面。消息時傳一日程。適我漳濱憂疾作。煩君肘後用功精。扶持自是刀圭力。調劑元因診候明。中歲聊成新契闊。小庄仍得近柴荊。春晴桃浪漁舟穩。秋晩楓橋步屧輕。繞屋霜篁開戶牖。壓溪風榭費經營。濁醪未厭牆頭過。淸趣眞同谷口耕。誰遣風塵成白首。却慙泉石謝浮榮。一麾湖海支離病。千里關河跋涉情。雲際孤帆成宿昔。屋樑殘月幾虧盈。蘓卿又作三霜別。鴈札初驚二竪嬰。羅網在身無羽翼。夢魂迷路愧平生。歸程始喜靑雙眼。病裏還添白數莖。瞑眩無功心楚愴。沉綿不覺歲崢嶸。精神尙在猶堪望。肌骨全消祗可驚。聞道危機思作別。正緣薪疾不成行。隔離未得伸情義。生死無因補刖黥。浮世幾人堪托契。當時二友又同庚。癡兒未解重泉意。臨穴難禁淚滿纓。</text>
<title>挽人</title>,<text>二百人中始識君。俄驚世事劇紛紜。重瞻天日欣同席。共沐恩波愧獻芹。末路難爲先後計。衰年便有死生分。九原有恨堪銷骨。鶴髮呼寃不忍聞。嶺外曾淹留。西征又一春。聊爲將母計。仍作遠遊人。素業拋郊外。丹㫌出漢濱。江南有驛使。何以報雙親。</text>
