<title>種竹</title>,<text>手種窓前竹。春來長玉竿。相將期歲暮。天地北風寒。</text>
<title>哭梁廣文 會源</title>,<text>臥病驚聞君永歸。起扶藜杖出門哭。向來書到語丁寧。今後吾看生面目。山下柴扉誰復尋。庭邊秋草唯留躅。魂應長與石溪遊。爲報塵寰形影獨。此下缺</text>
<title>哭高正郞 道常</title>,<text>年同己巳降人間。接面欣如舊面看。不耐分離多歲月。時憑書札道心肝。未成一會幽明隔。難禁雙眸涕淚汎。白璧黃泉那掩昧。晶光騰射碧空寒。</text>
<title>送金淸陰赴龍灣</title>,<text>朔雲沉陰晝如夜。朔風咆哮簸邱山。河氷川凍商旅稀。狂揄張喙聲兇頑。此時淸陰金相公。出門何之西上灣。爲問此行誰使然。復見天生秦檜姦。丙子孤城至尊辱。臣子一天容何顔。乾坤倒易一字和。微子擧世皆夷蠻。匹馬南歸古福州。山下斗屋柴扉關。舳艫西帆大義乖。罪名天下流誰刪。血疏天閽憂國忠。白日昭昭明雨閒。奸人畏忌欲殺之。掩藏鋒刃隨朝班。逞臆思得假胡手。簧舌翻鋩寧少慳。豺狼生怒促行急。子行那辭道路艱。時事如妾事驕夫。低頭只有娟雲鬟。盈庭無一少男子。慨然送子行轅攀。停驂須聽一言贐。松栢本是殊榛管。高高冬嶺凜獨秀。黛色參雲橫宇寰。嚴霜虐雪任侵凌。鐵幹虬枝猶自間。况子平生仗忠信。可行蠻貊夫何癏。凶奴從古亦有心。漢家子卿全生還。我亦心期古之人。自慟今作庸夫孱。高歌分袂一回首。紛紛蟪蛄鳴𠴨𠴨。</text>
<title>李粲仲 緯 挽</title>,<text>心淳質素古之人。業得家先世積仁。守拙蓬門捐外慕。安貧顔巷養中眞。咏懷詩律因天得。好義談論不俗循。蓄累源深流有待。鰲山遺緖看重新。</text>
<title>許縣監 博 挽</title>,<text>腰懸黑綬辭丹闕。來拜庭幃告遠行。白髮雙親含別恨。靑年諸弟抱離情。南瞻幾願六期速。北望常嗟伍馬榮。旅櫬今歸曾不意。死生遺痛億千齡。</text>
<title>高參奉 達夫 挽</title>,<text>一世朋儕零落盡。唯餘雙老病吟呻。裁書幾恨無憑使。會面常嗟未有因。自信古來仁必壽。那知今日理還堙。此生亦近長歸日。不死前懷泉下陳。</text>
<title>有慨 丁丑○見丙子倡義錄</title>,<text>二百年來事大明。大明天子亦嘉誠。輸忠每被絲綸奬。盡節常褒禮義名。萬曆皇恩邦再造。三韓藜庶死還生。臣胡縱爲宗祊計。應哭洋洋列祖靈。</text>
<title>慨然</title>,<text>誰起元孫襁褓裏。遠投豺虎窟中行。廟堂憂國安民策。只爲讎胡壑腹盈。七字逸 國無根本易搖傾。九重寂寂宸衷苦。誰念中宵玉淚橫。</text>
<title>次安牛山詩</title>,<text>手把魚竿學釣魚。腹藏無用五車書。烟波鷗鷺心相慣。堯舜君民計已疎。風亂溪山秦帝後。月明天地史皇初。却將今古驅形外。臥看浮雲過太虛。</text>
<title>淸陰金文正公 尙憲 挽詞</title>,<text>志節堅貞孰似君。衿懷疎宕亦超羣。生涯流水何曾着。世事浮雲不欲聞。涕病每嗟山海阻。臨衰那忍死生分。魯連未遂逃秦志。反向靑山羡起墳。</text>
<title>愼獨齋金文敬公 集 挽詞 二首</title>,<text>思公不見遽歸眞。暮境悲懷一倍新。直道不容曾幾黜。曲肱爲樂晩安貧。平生慕義卽今時。豈意年光夢裏悲。惆悵一盃躬未奠。謾將流淚寄哀詞。</text>
<title>同春宋文正公 浚吉 挽詞</title>,<text>瞻彼山矣。有松有栢。松栢之生。于彼高岡。雪霜之侵。萬仞之長。木落天空。獨秀蒼蒼。金精玉潔。謂贒謂德。掩藏而輝。由來之積。君子之道。如金如玉。君子有友。以贒以德。如何不見。使我心惻。</text>
<title>隱峯安文康公 邦俊 挽詞</title>,<text>有美趙衡仲。忠孝世所奇。與君傾盖日。是我許心時。薄宦何須道。八旬竟至斯。可憐身後事。寂寞有誰知。</text>
<title>畸菴鄭文貞公 弘溟 挽詞</title>,<text>氣槩軒昂辯决河。林泉僻處好婆娑。如何末疾終難起。淸曉驚聞薤露歌。</text>
<title>灘叟元忠翼公 斗杓 挽詞</title>,<text>慷慨眞君子。言論出世埃。風期人所仰。高義世皆推。堂堂丈夫志。寂寞閉寒灰。</text>
<title>天默齋李公 尙馨 挽詞</title>,<text>世路知音少。逢場獨有君。舊遊雲樹阻。凶報亂離聞。衰疾身如寄。幽明路欲分。秋風憂國淚。兼灑向孤墳。</text>
<title>砭齋崔公 蘊 挽詞</title>,<text>人傑豈徒爾。必爲時所須。荊山誰採玉。滄海竟遺珠。寂寞空山裏。凄凉古郭隅。應知四尺墓。過者軾前途。</text>
<title>白石柳公 楫 挽詞</title>,<text>學有淵源逈出倫。炯然心上起經綸。揚淸激濁當年志。獨行危言此日堙。月滿前江眞面目。雲開後嶽舊精神。緇帷已綴鱣堂裏。愚魯難承都誨諄。</text>
<title>西歸李公 起浡 挽詞</title>,<text>大人能事不須論。小子啣哀莫敢言。叨蒙世有通家義。何况身兼問字恩。元是德山先墓在。可堪頻入此荒村。</text>
<title>靑坡辛公 二剛 挽詞</title>,<text>一自摳衣歲屢徂。敎如時雨化苗蘇。根頑雖未茁然長。澤洽終無遽爾枯。身病跡稀門外雪。奎沉人昧眼中途。休言典則遺編在。爭似親承指所趍。</text>
<title>判官黃公 廷稷 挽詞</title>,<text>趙丈襟期好。相知升載強。居貧無長物。嫉惡有剛膓。雪壓松逾翠。霜高菊轉芳。秋天失鶚鳥。掩淚獨彷徨。</text>
<title>參奉李公 榮先 挽詞</title>,<text>先生學業自淵源。沙石餘波得渙渾。惡惡如讎秋日烈。贒贒若渴春陽溫。招來新進諭循序。務去陳言襯入門。雲壑祗今空講帳。哀吾小子幾時諼。</text>
<title>進士姜公 嶷 挽詞</title>,<text>耆老今誰在。先生亦至斯。世留門下士。吾以故人兒。薄俗輕前輩。高情見異時。末句逸</text>
<title>楸翁李公 興錄 挽詞</title>,<text>我視公若祖。公視我猶孫。一代論人地。先生望獨存。</text>
<title>察訪金公 堪 挽詞</title>,<text>曾聞正論除疑綱。每讀高詞折慢幢。一邦後學如山仰。仰看贒祠起德谾。</text>
<title>薇谷金公 東達 挽詞</title>,<text>於我先生事。始知天不仁。行高官未稱。德鉅室全貧。</text>
<title>參奉楊公 雲擧 挽詞</title>,<text>乙未之年上巳日。偶然相逢亂離時。初從學習疑難曉。更擬硏精道在斯。誰意平治天不欲。堪嗟誘掖世無師。</text>
<title>諸贒吟詠與往復</title>,<text>次雲壑先生韵 柳白石 楫高義容疎懶。叨陪密席傍。正逢花雨節。團會竹林鄕。酒滿琉璃盞。詩生錦繡膓。端宜續往躅。釀熟有何郞。用前韻。奉別雲壑先生之京。白石杳杳秦川路。春風錦水傍。歸應拜北闕。去卽憶南鄕。惜別重回首。聞歌倍斷腸。聖君方側席。未許久爲郞。㵎松堂請漁溪先生碣銘書其略曰景閔以乞索先祖碣文事。發向尊所。千里跋涉。不憚勞苦。誠悃可嘉。伏望發揮潛德。俾免湮沒。則不惟在世諸孫銘骨啣恩。先祖地下之靈。亦感泣於冥冥。更乞母泛。先祖之沒。幾乎二百年。言行風旨。邈焉無徵。只將成滄浪所著傳文及拙製二跋而去。若據此推演敷揚。庶可做得一篇文字。如何如何。</text>
