<title>廣陵口占 乙卯春。送鄭花山澤雷謫南海。而來廣陵別業。</title>,<text>十里秋山裏。深深有酒杯。衣巾藏古篋。恐或襲塵埃。</text>
<title>東溪草堂。有興。諸公次韻。未能盡錄。秪謄溪谷，白洲兩公和詩。</title>,<text>三椽草屋萬山中。十里長川一釣翁。心事靑天兼白日。生涯明月與淸風。冠因枕石朋眠落。顔爲臨流獨酌紅。休道吾廬卑且隘。這間幽興自無窮。附[張維]半生流浪是非中。翻羡田頭叱犢翁。容我就分南漢月。共君閒占北窓風。村依大麓長林黑。徑轉寒溪苦蓼紅。尋得遂初良已晩。筭來吾道只應窮。谿谷附[李明漢]同社秋山一壑中。百年身世灌園翁。花前對酒沾衣露。墻角吟詩滿袖風。雨洗漁梁春草綠。月沉碁戶夜燈紅。林泉剩得優遊樂。謾說人間此路窮。白洲</text>
<title>過風詠亭。次板上韻。</title>,<text>密雨飜江風未休。高樓春日客添愁。濃烟亂羃千村樹。大野橫分十里洲。便欲撤家仍住着。不妨携酒且淹留。憑欄細憶生平事。一曲商音兩鬢秋。</text>
<title>奉待嚴大夫</title>,<text>[本文缺]</text>
<title>江上。觀造竹橋。卽日而成。</title>,<text>不日橋成衆力同。一江南北路還通。千株碧玉荒虗上。十月晴虹翠浪中。題柱可憐吾有志。濟輿堪笑爾無功。脩程萬里連三輔。從此驅車出峽東。</text>
<title>酬玄洲</title>,<text>論交休說白頭新。懷抱憑君幸一申。甚矣吾衰長閉戶。俄然相對遽盈旬。窮途已作傷弓鳥。末路多逢按劒人。賴有瓊琚來蒲篋。旅遊囊槖不全貧。</text>
<title>次前韻。酬尹令君玉。</title>,<text>舊德傳家命又新。男兒志氣早年申。五城樓閣辭同列。一室圖書卧累旬。淸節卽今驚末俗。高名當代屬何人。莫惜桂玉經殘臘。吾道元來貴速貧。衰年爲客百憂新。少日狂圖欝未申。京口閉門奄一歲。官曹呈病浹三旬。舊遊摠是靑雲士。渾世無非白眼人。早晩歸田吾有計。向來家業本淸貧。無端歸思暮年新。乾沒微官自戊申。半夜故山偏入夢。一天寒雪苦連旬。窮途痛飮眞吾事。末路情親有幾人。酬唱宜從今日始。老夫詩料未應貧。</text>
<title>邀崔殿中 殿中。時寓忠原新塘。</title>,<text>村路如繩雪後通。無人來問載寧公。年饑苦覺謀生拙。世亂還嫌料事工。病裏形神看兀兀。客邊光景去怱怱。誰知此夕相思夢。正在新塘東復東。</text>
<title>寄白洲</title>,<text>窮途隨處事多違。日日長關江上扉。病客懽悰春後少。暮年知己峽中稀。寒梅照雪爲誰發。獨鶴叫雲終夜飢。佳節未應孤一醉。呼兒催典架頭衣。</text>
<title>步韻。酬盤桓子。洪千璟。</title>,<text>洪侯詩律李侯書。生幸同時德不孤。溪舍興來披玩處。楚天魂返朗吟初。泉壤何年埋逸少。路歧今日泣楊朱。秋山亦是窮途客。綴罷荒詞愁殺余。</text>
<title>嘲忠牧李令 斗瞻。閽禁書札。甲寅。鄭疏中人。</title>,<text>窮鄕驚喜故人來。一札悤悤忙手裁。誰料朱門深似海。坐令和氣冷如灰。休論曩昔交情密。還爲當今世道衰。定識 諱字 非乞客。莫敎閽卒苦相猜。</text>
<title>挽李判書白洲</title>,<text>父子先亡繼少公。闔門奇禍一旬中。慘看白璧埋窮壤。泣向蒼天問化工。仙路冥冥收紫氣。書窓耿耿貫晴虹。丰曇忍過西州路。歌舞當年醉席同。</text>
<title>大風十二韻 癸亥五月。在廣陵作。</title>,<text>一氣從誰怒。陰陽盖未交。喧轟驅壯雪。澎湃皷寒霄。竟夜聲逾急。掀空勢益驕。雲間失鴻鵠。蓬下竄鷦鷯。季子貂裘薄。將軍大樹飄。荒郊號老鬼。幽壑蟄窮蛟。巨細同淪喪。飛潛各遁逃。未遑開暗戶。何暇望層霄。却怕溟波渴。翻愁地軸搖。呼童催汲水。比屋戒延燒。天宇看初豁。氛埃漸欲消。時乎迄可定。開霽自今朝。</text>
<title>次水色洛山寺韻</title>,<text>靈峯連雪嶽。凈域接寒溪。昔過探幽境。今來訪舊蹊。門臨滄海濶。樓逈碧天低。雪浪長風捲。霜空斷鴈啼。陽候方皷舞。素女正含睇。盈視停金策。凝神類木雞。地明猶自識。僧老更相携。喜再登龍頂。愁還逐馬蹄。遅回出林麓。汩沒入塗泥。畢竟歸棲隱。何能事突梯。</text>
<title>送鄭花山謫南海 乙卯二月</title>,<text>朝家多難日。海外送君行。宇宙彜倫正。男兒志業成。全生聖主德。去國逐臣情。夢得親猶在。寬饒罪不明。嚴程看已迫。別意寫難傾。水落汀蘭死。天寒旅鴈鳴。屯陰沉極浦。斜日下孤城。匹馬行裝薄。扁舟性命輕。徒令鄒浩去。忍作魏其生。半世論交地。相看涕泗橫。</text>
<title>玉女盆</title>,<text>仙娥昔降世。曾住此山頭。夢斷三千界。身歸十二樓。鳳簫聲寂寂。飊馭影悠悠。如玉人何去。洗頭盆獨留。陶甄元氣竭。呵禁鬼神愁。特地危臺逈。中天積翠浮。上淸消息絶。陳迹歲年遒。石老雲千載。山空月一鉤。仙凡元自隔。邂逅奈無由。會待丹成日。相期汗漫遊。</text>
<title>次玉川精舍蘇齋相國韻。贈玉川主人。白善鳴</title>,<text>名區月山外。別業玉川潯。繞屋羣峰匝。緣溪一逕深。傳家今數葉。種樹已千尋。花竹小村靜。煙霞幽洞陰。哀湍鳴絶壑。蕭寺送寒砧。永憶先夫子。曾懷棲遁心。林泉自成癖。和鵲亦難鍼。政使來調鼎。何難起作霖。家貧兒好學。衣弊婦能絍。屛幛寄遺墨。江山留苦吟。靑氊宋玉宅。素節庾婁衾。兵火曾灰燼。荊榛此蔚岑。肯堂憐有後。餘業不墜今。門掩封蛛網。庭空噪野禽。非無驢背策。好失匣中琴。底事長爲客。淸酤歸滿斟。</text>
<title>暮春江上。送馬大卿赴闕。癸丑秋。</title>,<text>宇宙風塵吾老矣。關河鞍馬子何之。高才豈合投閒散。大道還應試涅緇。碣石干戈行便定。雲臺圖畫莫須疑。一生肝膽元無隔。半世才華謬見推。不是遷陵曾異業。自憐機嶽幸同時。天涯幾日均甘苦。劒外今朝獨別離。萬里孤舟穿月峽。十年衰疾阻龍墀。雪消嶓冢梅驚夢。春晩瞿塘草入詩。節序偏傷流景促。去留無奈寸心悲。近來南極通冠冕。勿使中巴消息遅。</text>
<title>次歸去來辭韻 戊辰</title>,<text>歸去來兮。丹田蕪穢胡不歸。慨吾行之倀倀。撫疇曩而興悲。今然後兮可復。夫孰云旣往之難追。較前修則差早。吾今四十七年而知非。天降余兮偏邦。一窮鄕之布衣。夫何夙有此奇志。而自處之卑微。舍正路而不由。夫惟捷逕而橫奔。紛奇正與縱橫。曾出入之多門。豈其有他故兮。莫此心之恒存。予生世之不辰。俗已逖於汚樽。遭中年之多故。獨慷慨而摧顔。昧出處之有道。冀一試乎治安。紛吾汲汲兮功利。費幾許之機關。諒余識之淺短。違達人之大觀。猶憑河而無悔。汩余往而不還。亦狼狽其誰咎。羌中途而盤桓。歸去來兮。請從此而改遊。余之宅兮孔安。余舍此而何求。廻余轡兮返余駕。吾以憂兮吾憂。攷動靜於羲經。探休咎於箕疇。縶奔騰之意馬。維不定之虗舟。溯正派兮濂洛。尋絶緖兮尼丘。歲忽忽其不淹。奚久留此下流。遑遑兮疾驅。復余路兮行勿休。已矣乎浮游。汗漫兮亦多時。余之歸兮可樂。誰或使之兮。誰或泥之。覽一陽之初動。悟消長之有期。山溪久而茅塞。盍及時而耘耔。余所思兮無邪。一言蔽兮周詩。歸歟歸歟兮歸未晩。道一而已兮。吾又奚疑。</text>
<title>秋夜詞</title>,<text>秋風淅淅兮凄以凉。秋雨蕭蕭兮聲淋琅。攬衣推枕兮坐中堂。懷憂索處兮夜何長。欝欝覊窮兮意不揚。少壯幾何兮鬢已蒼。登山無車兮涉水無航。日暮道遠兮愁彷徨。鴻鵠翩翩兮欲何翔。風霜索莫兮毛羽傷。鷹鸇擧翮兮橫入荒。長空萬里兮凌蒼茫。物理難曉兮事多方。吾獨胡爲兮增愴恨。尋究聖訓兮且含章。樂天安兮分固吾常。</text>
