<title>龍頭夕望</title>,<text>磯影危沙際。波痕露石洲。夕陽無限景。漁笛一聲幽。</text>
<title>平原驛舍。次李茂伯韻。三首。○名枝茂。文丞旨。</title>,<text>握手天涯裏。鄕園幾短亭。尊前頭盡白。塞外眼俱靑。客恨消還集。離愁醉不醒。夜深無夢寐。憑檻獨看星。嶺外俱爲客。相逢處處亭。銀輪不改白。芳草又回靑。憂世懷孤憤。謀身笑獨醒。還嫌今夜會。應說聚文星。他鄕又送子。惜別更登亭。嶺雪參天白。江雲接海靑。關心詩語拙。賴酒客愁醒。千里勞行邁。征途莫戴星。</text>
<title>歸路。歷拜淸陰。用聞韶館韻。記淸爺說話。石室。卽淸爺山居村名。卽問余曰。聞韶館依舊否。又問曰。君絶塞經歲乎。</title>,<text>寂寞深山裏。荒村獨木橋。從容陪石室。多意說聞韶。絶塞經冬苦。空齋閉閤寥。丁寧更承誨。不覺去途遙。</text>
<title>次兪學士武仲前登鐵嶺韻</title>,<text>平生自信道。今日不須勞。閱盡塵寰險。爭如鐵嶺高。迎人魑魅喜。滿樹鼠鼯嘷。逆旅過逢地。相憐淚濕袍。</text>
<title>偶吟</title>,<text>細雨園林靜。筇枝倚晩晴。殘春有三日。終夕愧平生。芳草無心暮。流鶯盡意鳴。強將詩遣興。吟罷轉傷情。</text>
<title>次張汝休 復吉。贈朴世栻韻。四首</title>,<text>身外非吾有。不關成不成。文章是餘事。勳業亦何名。開卷多眞味。吟詩任氣平。先賢豈欺我。所樂竟難更。早晩皆由命。君才必有成。爲人非爲己。求義莫求名。理外無他物。胷中得自平。工夫須恁地。心病在紛更。無聞到五十。役役竟何成。志願非懷祿。經營不在名。分安貧亦樂。心定氣常平。悔恨從前事。思量到五更。着力眞吾分。何論壞與成。浮雲看富貴。當日愧功名。欲做一邊去。須行大道平。自然那裏在。明月照寒更。</text>
<title>偶題</title>,<text>寂寞空山裏。孤菴向水開。老僧眠石榻。童子講瑤臺。鳥語穿林送。漁歌帶月廻。仙山何處是。却訝在蓬萊。</text>
<title>題落霞亭</title>,<text>春暮沙汀暖。江村幽事多。雨收山有態。風動水生波。細膾供朝饌。香醪嬾晩霞。養眞吾道足。何必走喧譁。</text>
<title>夜宿秣馬洞</title>,<text>日暮投孤店。茅簷雪月明。凍雲巖底宿。寒澗夜深鳴。峽俗猜人至。村兒見客驚。桃源知不遠。决意共柴荊。</text>
<title>九月。南庄有感。</title>,<text>海國登高處。楓林帶日明。九秋爲客恨。三月未歸情。擧目山河異。傷時鬂髮生。何當淨邊土。萬姓與昇平。</text>
<title>次沈方伯剛泉韻</title>,<text>靈區古稱絶。巖壑孰爭䧺。入洞初忘倦。緣崖似鑿空。峯危月易失。峽束鳥飛竆。最耐禪窓夜。踈鍾鶴背風。</text>
<title>和趙上舍禹瑞 龜錫。號藏六齋。文監司。</title>,<text>秋風方丈約。奈被化兒憎。桂樹淸如怨。楓巖仄欲崩。會心神亦爽。寓目興全增。昨夜雙溪月。分明夢見僧。</text>
<title>遣悶</title>,<text>命道多崎險。誰憐失路人。揮鞭向南國。懷玉泣西秦。楊柳靑坡路。梅花漢水春。男兒棄繻志。何必竟沉淪。</text>
<title>奉別李雲山 浚</title>,<text>別後無因慰索居。樽前此日恨何如。蒲鞭有政民懷德。鈴閣無人自讀書。鴨水波寒華表右。驛梅香動塞春初。慇懃倘記江南客。莫使關河鴈信踈。</text>
<title>代挽尹察訪</title>,<text>琴歌閱曲少塵緣。湖海風流子獨專。白首微官非素意。黃梁一夢卽新阡。人間雨泣多親友。渡口烟沉舊釣船。無盡江山無主處。不堪斜日駐征鞭。</text>
<title>途中。次子美韻。</title>,<text>倦遊千里望鄕心。百尺危欄試一臨。眼底江山渾似古。世間人事捴非今。帆歸南浦斜陽盡。簾捲西江夜氣侵。誰遣雙蛾銷客况。一樓光景費哦吟。</text>
<title>書懷。贈尹汝玉。</title>,<text>與君分在巷南北。寸步相違別恨纏。世事關心身已老。窮愁到骨學難專。誰憐白髮臨歧路。自笑黃楊厄閏年。富貴由來知有命。欲將吾道問高天。</text>
<title>病中寫懷</title>,<text>江南多少未歸情。歲暮文園臥馬卿。衾擁病愁聞雪落。燭銷離恨到天明。寒梅已喜初陽動。佳約還驚閏月生。可笑此身常作別。鬂邊衰髮幾添莖。</text>
<title>代人送友</title>,<text>立馬沙頭到夕霏。送君南浦倍依依。憂多頓覺歌聲苦。愁勁方知酒力微。去國十年心破碎。還鄕千里夢依俙。空將一掬平生淚。此日樽前沾我衣。</text>
<title>贈別申汝章</title>,<text>塵世相逢恨未早。今朝告別太紛忙。靑雲有路鞭先着。泉石無私興更長。初月引彎蟾桂老。新秋入野稻稉香。摳衣他日隨君後。絳帳從容學禮章。</text>
<title>有懷</title>,<text>天涯歲月劇怱怱。最是相思恨不竆。窓報早春梅吐白。枕驚殘夢燭銷紅。瑤琴舊曲江南鶴。錦字新愁塞北鴻。千里兩鄕人共老。一年虛過別離中。</text>
<title>南陌農歌</title>,<text>水肥南浦起層波。郊外晴光一倍多。野老爭誇呈瑞麥。農人相賀得嘉禾。西疇唱雜東臯嘯。南畒聲和北陌歌。皷腹兒童亦何事。暮吹橫笛下荒坡。</text>
<title>別南伯圖 以信參判</title>,<text>世間榮辱總悠悠。祇有離懷欲白頭。路隔蛟龍山北去。水分烏鵲渡西流。殘秋驛樹蟬聲小。落照平蕪野色浮。何處更堪相別後。廣寒新月惹人愁。</text>
<title>中殿端午帖</title>,<text>閶闔天中節載廻。絲陰黃鳥護樓臺。風微桂掖琴徽協。晝永蘭宮扇影開。絺綌功成百草殿。菖蒲香動九霞盃。小臣敢和螽斯什。佇見周家福祿來。</text>
<title>還家日。途中作。</title>,<text>千里經年滯泮宮。蕭條行色復秋風。寒衣已弊手中線。衰髮空添頭上蓬。妻不下機蘇子困。士無知己馬遷窮。歸來計較平生事。悔作當時解字翁。</text>
<title>聞胡變 丙子。留家率于咸陽栢田。赴義時作。</title>,<text>虜騎無端遍八垠。孤城一片已經旬。謀生念切兼憂國。戀主誠深爲愛親。厚祿諸臣誰效節。聖朝當日誤知人。三南十萬成何事。聞道將軍解惜身。</text>
<title>次金宗于韻</title>,<text>君我生同乙巳年。却憐身世共蕭然。正平不獨悲鸚鵡。子美由來㥘杜鵑。處世豈須論富貴。謀生秖在免危顚。且逢樂地堪終老。好待秋風病欲痊。</text>
<title>疊前韻。寄汝玉士固昆季。</title>,<text>於君兄弟各忘年。三世交情尙宛然。喪亂向來分斷鴈。飄零幾處感啼鵑。相逢此日還如夢。自笑飛霜已滿顚。挑盡一燈多少話。開襟斗覺病還痊。</text>
<title>寄贈朗州太守李靜伯 弘淵</title>,<text>見說吾兄出海城。却歎人世足嘲評。君親孰敢分忠孝。取舍須當較重輕。末路是非何有我。瘴鄕山水亦殊榮。溪堂握手還如夢。兩地知心片月明。</text>
<title>次金校理 鑑 韻</title>,<text>笠澤江山分外奇。幾年魚鳥共襟期。秖緣憂喜難忘國。未信行藏亦有時。渭水終南從此遠。丹心白髮與誰知。漁村舊伴忻相迓。歸及秋風拂釣絲。</text>
<title>龍頭亭秋望 五首</title>,<text>霜落荊門蘆荻秋。紫菱紅葉映空洲。山分舊壘千年迹。天入長江萬古流。極浦炊烟迷遠樹。晩林漁笛起眠𩿨。村郊向暮猶堪賞。收拾風光更少留。搖落湖山九月秋。渡頭無浪露亭洲。茫茫野色連空濶。遠遠江聲入浦流。遼塞風霜千載鶴。杜陵天地一沙鷗。回瞻斗北干戈滿。休恨周南太史留。赤葉黃花水國秋。沙頭石出見長洲。蛟龍城峙雲連樹。烏鵲橋低月蘸流。霜落斷林聞早鴈。風驅寒浦起輕鷗。時危多少關心事。徙倚殘陽此更留。極目山河萬里秋。暮來風浪起汀洲。三年異域君臣老。一夜征兒涕泗流。誰盡赤心思汗馬。自憐黃髮任隨鷗。悠悠時事空回首。強向高亭晩興留。林亭千仞俯長洲。別浦寒霜葉盡流。山似孟嘉吹帽地。節回王子賦詩秋。荒城落日鍾聲遠。古寺千年塔影留。宇內風塵身已老。欲將心契托沙鷗。此首韻。效進退格。</text>
<title>奉別星灣相公赴洛 白軒李相公景奭。謫南原星灣。故云。</title>,<text>聖主憂時訪老臣。相公何日動征輪。處休益見丹心苦。報國偏知白髮新。官路夕陽斜映樹。驛亭衰草遠連津。回頭關塞兵戈暗。會看塵淸賀玉宸。</text>
<title>挽房德駟</title>,<text>湖山魚鳥自成羣。七十餘年謝世紛。計活可憐身似客。浮生到此跡如雲。荒阡草色經殘雨。斷隴松聲帶夕曛。每向人家營葬事。幾人今日看埋君。</text>
<title>詠秋</title>,<text>小園光景畵圖中。造化方知着意工。寒露菊殘如病客。暮秋山瘦似詩翁。竹移微影簷流月。葉動踈聲樹引風。爲遣閑愁催煖酒。夜深童子拾霜楓。</text>
<title>題崔以楫 允濟 江居</title>,<text>赤葉長林十里堤。夕陽衰草細通蹊。牕聞漁笛秋江近。檻滴晴嵐暮嶽低。野菊自開官舍廢。渚禽猶傍妓淵啼。羡君白首幽居趣。分蓽從今共隱棲。</text>
<title>傷秋</title>,<text>秋來多病廢樵漁。竹杖初扶細雨餘。霜早野田知歲乏。日高隣舍見烟踈。居人半爲催租散。村落曾因避虜虛。憂國孰能追鄭俠。如非妙手畵難如。</text>
<title>次晩悟韻 二首</title>,<text>坐便忘起去忘還。浮世一身長任閑。眼底却嫌寰宇窄。胷中自有道心寬。嚴陵舊日終辭漢。寗戚當年會遇桓。出處由來俱適意。肯隨形役役人間。盡日雲林衆鳥還。石扉無客坐長閑。山當小屋殘嵐滴。天入方塘半畒寬。牕掩竹風聲淅瀝。榻移松月影盤桓。卽逢世亂空回首。更覺桃源在此間。</text>
<title>次尹秀才韻 二首</title>,<text>石門衰草晩含凄。到老身名更覺踈。暮色入簾生野意。山光近戶似幽居。還羞司馬秋多病。自歎虞卿日著書。霜葉滿庭窓獨閉。一寒無異舊時余。洞門深閉囂塵絶。葉盡林塘樹影踈。官序凄凉潘岳拙。生涯寥寂子雲居。菊殘欹塢憐無酒。燈暗寒牀懶看書。解道在家貧亦好。古人千載起衰余。</text>
<title>錦江山城</title>,<text>畫樓朱閣枕城腰。江上三峯聳碧霄。形勝百年天險固。山河千古霸圖銷。郵亭直拱漢陽路。錦水遙通白馬潮。倚棹靜聽津吏語。北軍飛渡不曾料。</text>
<title>弓院贈李日華 曄</title>,<text>洛城相別幾經年。逆旅相逢益愴然。存沒已傷征戰後。交遊却憶亂離前。眼靑孤館俱爲客。頭白他鄕各自憐。靜對寒燈多少話。念來時事淚雙懸。</text>
<title>聞虜兵直擣山海關。有歎。</title>,<text>傳聞胡騎勢長驅。萬里金城失壯圖。大宋豈終劉豫我。尊周秖愧管夷吾。地流江漢朝東海。天繞寰區仰北樞。整頓乾坤何日是。小臣無力泣霜鬚。</text>
<title>直南官。有懷趙重卿。</title>,<text>潭潭深府近朱城。永夜稀聞報漏聲。客夢自能尋去路。宦遊方是閱人情。心如病葉丹猶在。詩似寒僧瘦更淸。却憶虞卿門掩處。著書閑伴小燈明。</text>
<title>至月七日 是日。卽大殿誕辰。余自南宮移拜正言。未及署出。不得參陳賀之例。</title>,<text>報曉鍾聲夢裏傳。彤闈早闢五雲邊。金宮瑞色排殘雪。玉座淸香裊細烟。慶壽天盃和露酌。仙官劒珮藹星聯。微臣坐限瑤池步。默祝吾王萬萬年。</text>
<title>重被白簡。浩然南歸。途中有作。</title>,<text>世路人情益巇險。危機觸處是羊腸。但將直道于明主。豈識尊賢抵大殃。膽落未追溫御史。詩成還愧冷朝陽。湖田數畒吾終老。夫子當年舍則藏。</text>
<title>遣懷</title>,<text>天涯歲暮閉深園。世事浮雲不足論。投璧豈辭逢按釰。被鋤知爲誤當門。尊賢志切還成毁。報主誠深獨抱寃。白粥靑蔬眞味在。早將窮達任乾坤。</text>
<title>春祝</title>,<text>平生性癖懶題詩。事事今春可有詞。小屋近溪梅早發。西隣有酒杖頻携。兒能課學猶忘倦。飯或兼時足救飢。風日向暄還少暇。幾時垂釣更彈碁。</text>
<title>卽事 二首</title>,<text>頭流西畔蓼溪東。靜處偏宜着此翁。浮世榮枯春夢裏。百花開落雨聲中。詩因成癖能添卷。酒爲消愁覺有功。藜杖隱囊幽趣足。一生閑臥是英䧺。年來無夢到功名。閑掩茅堂庭草生。萬樹開花春欲暮。一園垂柳雨新晴。簷頭語鷰爭營壘。葉底啼鶯始學箏。光景不饒詩客老。謾將幽句慰深情。</text>
<title>送房休翁 元井 遊太學</title>,<text>人間離別本多種。男子此行何足悲。聖主憂時方急士。書生得意豈無期。殘春漢水鶯聲早。新月秦城客夢遲。君到杏壇東渭路。試看題壁一相思。</text>
<title>遣懷作</title>,<text>年來此老飽酸辛。世事紛紛又過春。季子有田寧佩印。淮陰無策可資身。信知在命休論富。更覺安心未是貧。閑倚竹窓吟永晝。落花多意撩詩人。</text>
<title>聞鄭學士 雷卿 被害。有歎。以東宮僚屬。入瀋陽。欲殺龍，馬兩賊。謀泄被害云。</title>,<text>悠悠天理信難測。逆順由來不可推。丹心秖在能完璧。白面誰敎枉擊椎。楚囚四座悲何及。燕獄三年夢亦遲。死葬蠻夷眞細事。却憐初志付誰知。</text>
<title>偶成。贈尹汝玉。二首</title>,<text>事難如意今猶古。是以詞人所共悲。待月采菱行已矣。刈晴畊雨孰兼之。子來春盡落花後。我病家貧無酒時。可笑夢中多好事。一騎能復踏胡兒。雲雨人間善翻覆。本來榮悴不須悲。古之孔孟吾師也。今也行藏我得之。山近小園簾捲夕。風傳孤榻酒醒時。此間賴有知音在。戱障還愁造物兒。</text>
<title>次辛德就韻</title>,<text>誰敎一夢覺楊州。從古移人物有尤。巫峽雨雲迷處所。銀河牛女隔年愁。春花到老香猶在。蠟燭方殘淚更流。十二曲欄簾不動。孤懷一日度三秋。</text>
<title>寄德就山堂</title>,<text>一投山寺歲將闌。想子幽棲似眼看。雪後踈篁簷外亂。月中寒磬夜深殘。耽聞僧語挑燈盡。閱罷羣書得意寬。回首暮雲城北路。自憐身世飽辛酸。</text>
<title>次鄭聞遠 𦶩 德洞書堂韻</title>,<text>一冬爲客促歸驢。聽話雲林是子廬。殘月亂山成遠別。曲塘踈竹有遺居。秋來碧落多鴻鴈。水潤滄江足鯉魚。莫惜頻將書寄此。故人南國最憐余。</text>
<title>立春集杜詩句</title>,<text>天時人事日相催。漸老逢春能幾回。但使殘年飽喫飯。願吹野水添金盃。高車駟馬帶傾覆。黃帽靑鞋歸去來。傳語風光共流轉。亦知窮愁安在哉。</text>
<title>次杜審言大酺韻</title>,<text>梯航玉帛八荒通。瑞日中天一視同。卽見驚塵長在北。任看流水自朝東。羣僚總愧商霖雨。聖主空歌漢大風。頭白小臣心尙赤。斬鯨無計願年豐。</text>
<title>秋懷</title>,<text>寒霄白露滴梧桐。愁聽踈簾叫夕虫。秋色染山山欲老。月光投水水如空。留南太史傷時恨。望北詞人戀闕衷。報國平生餘一釰。獨憑危檻看邊鴻。</text>
<title>聞淸陰入瀋陽</title>,<text>事之珠玉旣堪歎。邊策終須一老安。韓愈使藩唐不薄。胡銓過嶺宋猶寬。裂書已决平生志。取義何辭一死難。千載文山知己在。倘論今日骨應酸。</text>
<title>次同福凝翠樓韻。寄贈太守李汝近。</title>,<text>竆達由來已各分。茂陵才調舊凌雲。自將白髮難供世。只笑丹心苦愛君。小海㫌旗天外隔。禁城鍾漏夢中聞。可憐廟策終安出。謬筭紛紛不足云。</text>
<title>贈汝近求農器</title>,<text>自從閑廢事鋤犂。數歲經營計不齊。帶月歸時寧有荷。披簑耘處更無携。南山豆畒空蕪穢。東陌瓜田但草萋。白首爲農謀亦拙。長飢索飯任兒啼。</text>
<title>寄別李汝近</title>,<text>福川西畔舊題石。此地相逢本不期。赤璧奇游還似夢。白頭離恨強裁詩。三秋宇宙身空老。萬事干戈涕自垂。靑眼一樽難計日。亂蟬凉雨更堪悲。</text>
<title>挽金校理 鑑</title>,<text>一第辛勤皓首年。誰知窮達竟關天。湖山有分宜安命。世路多岐只自憐。秋過凌波人寂寂。江寒笠澤月娟娟。追陪杖屨無由再。南望題詩涕泗連。</text>
<title>完山</title>,<text>匹馬悠悠萬馬洞。斜陽欲盡遠峯孤。甄萱城廢卽雄府。萬景臺空仍勝區。今古興亡多感慨。風塵天地自榛蕪。書生愧乏平胡策。梁父吟成但一吁。</text>
<title>次房晦卿韻 三首</title>,<text>推枕中宵獨未眠。一身千恨意茫然。聲沉萬籟空庭月。人靜孤村滿樹烟。司馬園林徒四壁。杜陵消渴已三年。細推半世人間事。爭似江湖辦釣船。我如蚕老已三眠。豪氣由來久索然。讒謗雖云生偃月。夢魂元不到凌烟。且傾盃酒休論世。但課交情莫問年。回首乾坤何所往。千秋無恙五湖船。傷時咄咄坐書空。成壞由來古亦同。歲暮魚龍藏遠窟。天寒鳥雀噪深叢。早知廊廟無餘策。自笑愚庸激寸衷。頭白草玄門獨閉。學奇誰更問揚䧺。</text>
<title>偶吟。呈尹汝玉。兼示子觀，汝直。四首</title>,<text>可笑從前浪讀書。卽今爭似樂畊漁。劒因埋獄常衝斗。蘭誤當門豈避鋤。富貴旣非吾輩得。襟期元與俗人踈。始知貧賤情逾篤。到老追隨興有餘。上下松篁左右書。此翁生事付樵漁。前溪小艇衝烟棹。後圃荒畦待雨鋤。簷豁夕陽蒼檜立。枕凉晴月碧林踈。柴扉剝啄驚眠起。來報南隣舊釀餘。時閱床頭種樹書。前山朝採後溪漁。平生謾獻長楊賦。投老空携栗里鋤。北塢新叢篁筍密。南田久雨豆苗踈。槐陰入戶凉生簟。起我閑眠一枕餘。短短踈籬水北南。數峯如畫擁茅菴。門前柳翫陶潛五。月下盃傾太白三。獨把淸貧寧改樂。欲將天理極幽探。堪嗟戀闕心猶在。粉署雞香猥一銜。</text>
<title>次長吉韻</title>,<text>邂逅他鄕卽一涯。明朝相別路還賖。平生學道身逾困。投老臨歧恨更多。人世彭殤何足較。乾坤今古幾成嗟。悠悠不盡心中意。上馬回頭晩照斜。</text>
<title>挽韓貺</title>,<text>丹旐凄凉繞斷原。冷烟衰草鎖泉門。常憐李廣終無命。却歎巫咸不問寃。晩歲閑情貧亦足。一生心事恨猶存。滿庭黃葉蒼山裏。誰記他年處士村。</text>
<title>泛舟霽湖。走草贈李沛然。</title>,<text>雪水初生江面肥。寒梅欲發柳舒眉。竆途此日知何夕。塵世良辰未易期。爲勸深盃須盡醉。還思後會却成悲。蒼山向暮歸程遠。回首茫然獨詠詩。</text>
<title>贈洪元九 錫箕○二首</title>,<text>三十年前謾讀書。未知塵世與身踈。玉非在璞寧遭刖。蘭偶當門豈避鋤。松月弊廬歸孟浩。茂陵消渴臥相如。多君不向窮途改。積雪深村肯駐車。槐市交遊已十年。別來那得不華顚。高才蜀錦三千丈。雅韻瑤琴五六絃。衰朽自能甘蚓縮。扶搖秖幸看鵬鶱。閉門京口經殘臘。故國梅開蓼水邊。</text>
<title>挽李校理 尙馨</title>,<text>鵠立淸朝第一流。十年經席渥恩優。論思共惜逢時晩。江漢終悲卧病秋。留與雲仍餘慶在。是知儒雅古人求。陪遊京口還如夢。獨向蒼山哭白頭。</text>
<title>安邊客館</title>,<text>驅馬泥塗暫不停。渡溪踰嶺恠貪程。山田荒廢猶催稅。邑里蕭條更被兵。風捲大江歸海急。客驚殘夢到天明。悠悠此去那堪苦。千里一年遊子情。</text>
<title>城津朝日軒 吉州</title>,<text>造物方知用意勞。將軍奇策設周遭。茫茫大海連天濶。矗矗層巖作鎭高。六合淸新騰日馭。萬車轟輵湧風濤。登臨直欲呑胡羯。自笑書生老氣豪。</text>
<title>登望德城樓</title>,<text>蒼茫落日照城頭。絶塞風烟萬里秋。海外未知何世界。天邊更有此高樓。赤池腥血龍猶闘。黑水寒雲鴈亦愁。極目不堪無限思。聖人何意欲乘桴。</text>
<title>磨雲嶺</title>,<text>五嶺皆高此最高。高高直上切雲霄。平臨長白如歸掌。遙壓先春若在腰。萬里桑溟看咫尺。九天鵬翼决扶搖。從玆欲向淸都去。桂殿羣仙手可招。</text>
<title>高原客館有感 崔孤竹慶昌謫穩城。有亂磧寒雲涷不飛之句。車五山天輅謫明川。有天外怒聲聞渤海。雪中愁色見陰山之句。李東岳安訥除評事。有孤城缺月懸愁外。故國閒花落夢中之句。皆一時警策。世謂之三傑也。金壽益之濟州。吳䎙之江界。南重晦之鏡城。李枝茂之高山。及吾之都事。相繼除出於數日之間。朝中有五人一時出之語。故詩及之。</title>,<text>驅馳數月歲將竆。兩鬂霜莖亂似蓬。詩律未超三傑上。聲名最下五人中。城頭畫角吹殘夢。雲外孤鴻響遠空。吟到夜分猶不寐。蠟燈多意照衰翁。</text>
<title>巡相出示芝川相公贈慕齋門人詩。敬次其韻。兼寓門衰之歎。二首</title>,<text>慕齋芝翁兩老師。百年先後若分歧。風流儒雅人間隔。道德文章海內知。當日經綸俱有望。暮齡憂患似相期。空留遺墨傳遐外。悼古傷今意轉悲。晩生猶未託宗師。路遠江湖幾泣歧。門緖凄凉終至此。詩篇零落豈曾知。幸逢宅相仍持節。忝佐旋麾若有期。回首雄城荊棘地。朔雲邊雪只今悲。</text>
<title>次兪武仲復登鐵嶺韻</title>,<text>何代金牛此路開。亂藤危棧繞林隈。不才無用吾堪棄。直道難行子亦來。豈有雷霆終日怒。俄看霈澤自天廻。當今衮職誰爭補。前席傾聞半夜催。</text>
<title>鏡城別通判南公著 重晦</title>,<text>同寅同里又同學。童稚交情四十年。關塞過逢非偶爾。客中相別更茫然。明時無用吾堪棄。聖主求才子亦遷。試把官醪談舊事。蠟燈如夢夜深懸。</text>
<title>疊用前韻。寄兪武仲。</title>,<text>聖主求言路廓開。芻蕘皆達五雲隈。一年再謫天何意。千里三危子又來。雪外孤城衰草沒。隴頭荒戍大江廻。君歸政及寒梅動。赦逐新陽日夜催。</text>
<title>挽畸菴鄭先生</title>,<text>京口驚聞遽喪斯。白頭痛哭暮臨歧。學傳栗谷沙溪學。詩得昌黎杜甫詩。前席細氊專啓沃。故山脩竹舊襟期。老芭此日無窮恨。不是區區獨爲私。</text>
<title>撥懷</title>,<text>從前薄宦只堪嗟。此老平生足一誇。待糶官租催釀酒。喜逢時雨急裁花。已將榮落看流水。却把閑忙任自家。聞道今年農事早。欲招隣叟問桑麻。</text>
<title>秋日。登龍頭亭感懷。三首</title>,<text>竆秋咄咄坐書空。末路誰回上世風。道在古今天地裏。士生前後是非中。祇憐遠外丹心苦。不㤪人間白髮公。江岸飛鳴來又去。鷗兮吾與爾歸同。四海當時眼已空。破來高浪擬長風。三年未見毛錐末。十載空遊羿彀中。排悶秖憑詩有力。逃名敢怨世無公。平生落托知誰藉。幸遇吾君臭味同。霜鶻飛飛上碧空。何時逸翮縱天風。拾遺忠憤塡胷裏。參政彈文在袖中。誰使淮陽留長孺。終敎獨樂卧溫公。昭昭千載誠難掩。今古奸邪一轍同。</text>
<title>擬贈金昌原伯珍</title>,<text>未曾相料此逢迎。秉燭依然各愴情。嶺路萬重歸海盡。瘴雲千疊近城橫。不辭蠻郡聊休病。暫輟仙班爲救甿。世事悠悠吾已矣。蓼溪風味較浮榮。</text>
<title>挽金上舍 沇</title>,<text>林臯逈僻謝囂塵。數十餘年好養眞。天報善人家有慶。坐排蘭草席生春。詩書几杖渾依舊。談笑盃樽不復親。夏月過逢還似夢。白頭東望倍沾巾。</text>
<title>挽金上舍 淵</title>,<text>別來㐫問不多時。夢也非眞却自疑。孝友似君猶至此。善人從古卽如斯。尊前忍看忘憂物。紙上空留見贈詩。無復開襟偕笑語。鴿原白首最堪悲。</text>
<title>挽崔左尹 葕</title>,<text>居閑益白憂時鬂。謝世逾丹戀闕衷。盛德共忻薰晉鄙。小生偏幸托帲幪。高年厚福公何憾。鼎路台躔望已空。不復春風陪杖屨。可堪飛旐向江楓。</text>
<title>赴竹谷諸友煮蕨之約。馬上口占。四首</title>,<text>強起沉痾一出門。小溪風日可吾人。空山草碧新經雨。古墓花開別有春。攬取韶光香滿筆。步來松下露生巾。鳴巖自是幽棲地。竹谷村名好更眞。不識鳴巖是鹿門。誰知峽裏有閑人。牕聞松籟家家雨。山擁茅簷面面春。莫訝村童嫌俗客。只應林鳥恠塵巾。白頭從此要相訪。隨處心期自任眞。謝世從來杜蓽門。自憐貧病竟隨人。丹心晩歲長懸日。白首今年又送春。華表幾時通漢節。桃源無處變塵巾。遙聞赤縣官軍近。天道難容僞亂眞。不向風塵學掃門。秖期終老百年人。尊前後會知何日。鬂上霜毛已失春。休㥘林昏迷野路。何妨山雨濕衣巾。烹蔬煮蕨翻多事。衰謝如今懶是眞。</text>
<title>用前韻。寄陳秀才昆季。克緖克純</title>,<text>行酒慈明叔夜門。二難俱是斗南人。長閑不暮山間日。相對偏增座上春。會看雲霄聯鳳翼。莫敎江海老漁巾。修身誠意方治國。大學書中道有眞。</text>
<title>次張汝休韻 三首</title>,<text>萬事悠悠自任眞。舍藏垂訓已書紳。始知富貴皆由命。從古詩書不救貧。交態祇看隨世變。鬂毛何更逐年新。竆途幸有文昌在。晩節心期願結隣。性理書中意味眞。焚香朝暮整冠紳。衰遲笑我常多病。力學看君已不貧。持志莫爲千駟動。虛心便覺一源新。更加論討方精熟。何幸從今接孟隣。閑臥空齋此味眞。靜聽簷溜擲天紳。衰年多病仍成懶。盡日無營好是貧。近戶仙山三面舊。照琴晴月十分新。箇中深趣誰能會。恨不移居作比隣。</text>
<title>挽李上舍 相柱</title>,<text>大賢宜有後。藉甚稱家兒。眉宇眞天態。才華不世奇。挺生初有意。速奪詎如斯。漠漠誠難信。蒼蒼竟未知。一名蓮早擢。千里驥方馳。先輩交嗟惜。朋知盡涕垂。閨中顔似玉。堂上髮如絲。一度人皆死。三喪子最悲。天心那忍此。吾意欲尤誰。復魄瑕邱遠。歸魂錦水湄。凄風捲素幔。深峽度靈輀。自是中郞恨。相逢王粲遲。平生李長吉。此地若爲期。握手天涯裏。傷心日暮時。如何邂逅處。不見鳳凰姿。數夜連床話。重泉隔世思。他時遺腹子。倘記舊容儀。哀挽無窮意。憐才不爲私。</text>
<title>挽金察訪 聲振</title>,<text>氏系雞林遠。門闌奕世榮。詞華誰與敵。聲價早傾城。風雅推前輩。騫騰取列卿。九霄鵬翮遠。千里駿蹄輕。牢落時仍亂。沉埋道未亨。禮闈纔破的。郵吏豈求名。世泰身還老。途竆志益貞。微官寧我累。餘慶此全並。滿室輝珠玉。盈庭列茝蘅。白頭名譽最。丹穴鳳凰生。彩服兼衣繡。專城具割牲。北堂歡意足。南斗壽星明。福祿由來罕。尊榮孰敢爭。崇資疏寵贈。粉字煥銘㫌。松柏含新渥。蓬科卽舊塋。陪筵如昨夕。執紼負生平。忍向伊村路。難堪此日情。春風雙眼淚。灑盡暮雲橫。</text>
<title>高山館除夜。與督郵李茂伯叙懷聯句。</title>,<text>守歲高山舘。寒燈不自眠。茂伯。 親庭各千里。客路是三邊。主人。 杯酒仍相屬。詩篇謾作聯。茂伯。 同心期莫逆。失迹更誰憐。主人。 佐幕留何遜。登樓老仲宣。茂伯。 歸懷兼別恨。壯志惜衰年。主人。 灰琯明朝改。椒盤半夜傳。茂伯。 天涯分骨肉。嶺外此圓團。主人。 荊樹歌應苦。萱堂念每懸。茂伯。 君親俱未報。忠孝恐難全。主人。 愛日慚先訓。捐軀愧昔賢。茂伯。 堪嗟瀋岳拙。正似賈生遷。主人。 萍水逢非偶。塤箎和有緣。茂伯。 他時今夕會。倘記鐵關前。主人。</text>
