<title>陳田吟 己亥</title>,<text>可惜十年陳。一牛誠難起。吾心亦甚焉。幾沒淸明地。</text>
<title>偶吟 二首</title>,<text>萬事須知所以然。由來窮達係乎天。爲人未盡爲人理。多恨無聞五十年。時存時放莫知然。須把端莊對越天。一點若從明處得。乾乾夕惕擬竆年。</text>
<title>題金行初 宗孝 樂村草堂</title>,<text>樂村村裏樂何事。樂得英材敎育之。欲識主人眞樂在。樂天知命復奚疑。</text>
<title>次張正甫松菊竹三盆韻</title>,<text>節友分移尺許盆。培根直養幾多捫。剩看托契風霜日。不數羣芳滿畒煩。</text>
<title>書堂塵穢。晨起鋤箒。吟示諸學者。三首</title>,<text>灑掃庭堂誰執役。少之事長職宜供。如何小子不修職。積累塵埃慨沒胷。沒胷塵穢誰除去。老我淸晨箒且鋤。掃却庭堂與學舍。蕭然一室白生虛。虛室白生知用力。掃除堂室是其工。千金不願酬吾箒。誰識金輕弊箒功。</text>
<title>學貴無間斷</title>,<text>爲學須要有始終。曾聞不息是宗功。雖然間斷爲吾病。念念無忘造次中。</text>
<title>聞徐行甫折梅寄巡相韻。戲次以贈。丁未</title>,<text>聞道山人不出山。山人事業在山間。如何折寄江南路。减却林塘疎影看。奉和以謝 樂齋松桂同盟大小山。偶然玉貌抗塵間。有誰傳浼高人聽。勤致寒瓊拭眼看。</text>
<title>撲滅山火。感而有吟。</title>,<text>野火連山入夜焚。借携鄰老救先墳。誰知餘焰藏灰燼。一點因風竟燎原。</text>
<title>向符仁寺路中作 時徐行甫，宋學懋，郭益甫。三十餘人會話。</title>,<text>沿江泥路到山陽。羸馬微行十步僵。童僕不知詩意在。催鞭謾道雪滂滂。</text>
<title>次聞灘齋十景韻</title>,<text>天嶺連天勢莫强。宿雲初起動山光。尋眞有路今埋沒。誰識前頭有吉祥。右天嶺朝雲揷地長屛繪事新。嵐光入暮惱閒人。餘痕一抹隨風散。露却烟鬟面目眞。右屛巖暮嵐伊山偃蹇戴蒼天。新月崢嶸掛半邊。欲識箇中淸意味。留看三五滿䂓圓。右伊山新月新開茅塞渡溪流。人去人來幾日休。看盡世間忙手脚。何曾洗耳蹔時留。右峽口渡影烟和細草綠初肥。三百維羣作隊隨。眠犢叱來疎雨歇。隔林歸去落梅吹。右靑莎牧童喜看今日地更平。蔽野曾經百萬兵。滿眼菑畬民有樂。依然記得舊時聲。右沃野農歌溪上靑山山下家。架巖如寄數無多。太平形象依然在。羃羃烟痕帶日和。右巴村炊烟誰道巉巖歷女媧。自天成柱截橫波。凝然不動無如汝。堪笑春花逐浪多。右柳淵立石巨谷深深枕路邊。倦雲將雨濕溪烟。矇矓山色林花老。渾作元章手墨牋。右省谷長林爲愛新居與世離。峯如彩筆畫新詩。夕陽如掛天光近。又得山牎一段奇。右筆峯落照</text>
<title>寄題曺仲獻 瓊 宜樂堂八詠</title>,<text>可笑紅塵沒馬頭。愁生愁死幾時休。如何旭日高峯畔。看取無心百不憂。右鶴峯朝雲祥雲瑞霧幾縱橫。秋葉春花百態生。最是新晴微雨後。靜看殘照轉分明。右公山落照綠蘿秋柳舞東風。不必春光栗里中。誰識鶯花多少勝。無非造化自然工。右溪柳春光長屛揷地倚雲斜。秋色堪誇二月花。每揖小軒呈異態。人間知有一仙家。右屛巖秋色玉作寒冰寒氣深。勢連霜月透簾心。灘聲璆戛難諧律。未慣仙娥瑤瑟音。右冰下灘聲虛明霽月可中庭。簟上容光照碧欞。蕭灑絶塵無夢想。方知呼寐使之醒。右簟上明月誅茅檻外一望開。魚躍于淵鳥倦來。獨坐深林渠識面。杖黎隨處共徘徊。右檻外魚鳥爲愛淸香入戶侵。還憐碧色接雲林。牎前長物添生活。每到吟詩有挾心。右牎前梅竹</text>
<title>牎前千葉梅。性不繁華。今開十英。愛而識之。</title>,<text>我愛牎前千葉樹。寒英十點着枯枝。却嫌桃李繁華態。苦淡生涯獨自知。</text>
<title>寒岡先生修先塋于大谷。來審石品于關巖山。余與徐行甫邈邀入硏院。翌日天雨仍留。朝講心經。不勝感幸。吟呈座下。己酉</title>,<text>武夷潭上黃昏後。爭挽藍輿度遠岑。山雨溪風留返駕。終朝申戒道心欽。</text>
<title>己酉端午日。吟得傷字。謝府伯安彦優送酒。時柳聖兪遭內喪。寺門外四百步處。以官禁不得葬。且日旱甚。故末句及之。</title>,<text>菖蒲令節嘗官醑。韻格差勝顧建康。只恨連年東海旱。不知何處匹夫傷。</text>
<title>吟巖上松一絶贈希魯 辛亥</title>,<text>亭亭獨立戴蒼蒼。根托高危勢不長。誰識年來堅苦節。月明巖畔傲寒霜。</text>
<title>張伯順 孝元 草堂。次張德晦韻。伯順有晩悟之志云。</title>,<text>已識朝聞而夕死。休將往事謾追悲。翻嗟出入心無嚮。難進工夫易失時。</text>
<title>粉壁 遊雲門時</title>,<text>粉壁千尋壓地維。參天黛色勢如飛。何人偃蹇玆山竝。三足高風可作師。</text>
<title>卧巖</title>,<text>武夷知在上流頭。擬買新村一葉舟。卓午卧巖吟少憇。山回水匝一仙區。</text>
<title>宿買田驛</title>,<text>隨處行吟隨處宿。夕陽村裏架巖家。靑芻白飯兼醇酒。童僕堪誇行李奢。</text>
<title>買田驛。與希魯次察訪叔季進遊字韻。</title>,<text>終夕行吟水上遊。洞雲深處亂山幽。今朝暖日天應借。莫恨身寒一弊裘。原韻 聞灘十月雲門作遠遊。溪山隨處更淸幽。投宿古郵名已好。買田何日定菟裘。敬次 五梅亭笑他求隱買山遊。求隱元非擇地幽。歸去田園隨處好。何須買後定菟裘。</text>
<title>登逍遙堂 堂主朴公慶胤。時適主人生日。</title>,<text>江閣風恬燈不滅。壽觴飛處笛聲橫。憑軒更占今宵勝。星斗闌干水底明。</text>
<title>翌朝向道淵亭。回望逍遙堂。堂主金參奉致三</title>,<text>暖旭初入江頭閣。淡烟橫生鏡面波。十步九回看不厭。行吟那覺去程賖。</text>
<title>臺淵 落花淵中有巖。名曰臺淵。</title>,<text>鏡裏蒼巖揷天層。巖巖氣象凜風稜。却嫌俗客塵蹤累。屹立波心不許登。</text>
<title>雲門寺</title>,<text>崒嵂峯巒森畫筆。參差雲樹擁仙區。當年倘齒曾孫宴。贏得驂鸞物外遊。</text>
<title>雲門山</title>,<text>白水靑山隨處好。難將奇絶話他人。波淸水落祥烟瘦。喜見雲門面目眞。</text>
<title>次聞灘叔頭字韻</title>,<text>領略滄浪一帶流。雲門第一此巖頭。屛山蹄穴留仙跡。第一雲門此一區。</text>
<title>春正月念日。將赴湧泉寺族會之期。希魯及李士綏。從聞灘叔自省峴先待于寺初入洞。吟示。</title>,<text>料峭東風作遠遊。峽中殘雪未全消。燧巖斜日臨溪話。身世飄然物外超。</text>
<title>翌日設會酌。朴景華 陽春，孫欽中 諟命號肯搆，孫而敏 諟訥 咸集焉。只恨二十年前此會時人。只有吾兄弟。追思感愴。吟呈座上。</title>,<text>二十年前作此會。我陪先考弟俱來。今來只有吾兄弟。感淚盈盈落酒杯。</text>
<title>翌日天雨留話。醉中吟呈。</title>,<text>山雨濛濛古寺春。一塲觴詠序親親。笙歌爛熳醒還醉。休笑斜陽亂舞人。</text>
<title>翌日又雨留話。約以三九之會。</title>,<text>重期花樹韋家會。更約桃紅李白園。人世百年稀樂事。何妨再倒話情樽。</text>
<title>池鴨</title>,<text>水滿春塘沒舊痕。浮沉任意自成羣。年來我亦身無事。時坐時行樂我員。</text>
<title>春日査齋。訪蔡靜應 夢硯號投巖 不遇。</title>,<text>聞君筇屐住仙査。走馬來朝訪爛柯。只挽庭梅當一面。玉人馨德此中多。</text>
<title>春日拜先生。歸路訪徐行甫。</title>,<text>風雨林塘卓午時。一樽來話客來稀。前頭更有過從約。蘆谷無愆七日期。</text>
<title>敬題圃隱先生文集後</title>,<text>浩浩文章照海東。令人一讀想高凮。霜嚴壁立英豪氣。都在吟哦一卷中。</text>
<title>拜圃隱先生遺像</title>,<text>儼然遺像薄夫敦。想見儀刑動至尊。我今再拜如親炙。稍慰當年未及門。</text>
<title>謝成卓爾印寄圃隱集</title>,<text>故人印寄先生集。實獲平生景慕忱。觀像讀詩頑亦立。卷舒終日起欽欽。</text>
<title>有感吟</title>,<text>擇地而蹈徐孺子。直諒而行孫慕堂。如今筋力大衰謝。傍人莫笑一老狂。</text>
<title>次小有亭韻</title>,<text>嗣續先人小有子。重營江畔架巖家。我來正値梅花節。桃李春風約再過。</text>
<title>輔仁齋</title>,<text>寄語齋中君子人。要知朋友係人倫。多聞直諒宜恭敬。朝夕偲偲輔我仁。</text>
<title>信馬吟</title>,<text>童子如何鞭我馬。山陽水北興微茫。便將着處尋幽勝。肯學入間手脚忙。</text>
<title>次彌樂齋盆梅韻</title>,<text>移得西湖第一䕺。先春孤笑雪霜中。生涯莫恨甁盆小。寒士從來一畒宮。</text>
<title>枯梅歎。贈樂兄。</title>,<text>移得同心意轉勤。孤根擬結尺餘盆。那知苦節搖風雪。三嗅枝頭覓返魂。</text>
<title>雨中梅</title>,<text>囱前獨立數枝梅。待得知時好雨開。更洗深衣明似雪。素心終古厭塵埃。</text>
<title>次金景潤 大澤號萍堂 展拜亡室墓韻 亡室外弟</title>,<text>光陰隨水無回日。屈指當年有幾人。可憐宿草頹塋畔。蝶夢時時面目眞。</text>
<title>陪金府伯而靜遊山。歸路泛舟琴湖吟呈。</title>,<text>三日遊山又登舟。秋水秋山揔勝遊。留待月明羣動息。一杯相屬共夷猶。</text>
<title>書斥邪扶正通文草後 時江右人。稱以通文中有犯上辱賢之語。會于三嘉鄕校。方議疏擧。擬加大律之計云。</title>,<text>斥邪扶正數行文。顯晦隨時大義存。魂到九泉無曲處。堂堂毅氣塞乾坤。次贈慕翁 聞灘天心未必喪斯文。扶斥書中大義存。受箭昔人同此意。直將綱紀植乾坤。</text>
<title>偶吟</title>,<text>山川自有無形險。折軸須臾更覆舟。若將此身逃此患。藏蹤百歲一無求。</text>
<title>北風寒</title>,<text>竆陰凍地歲華殘。六出交風宇內寒。賴得南囱明愛日。點朱周易閉門看。</text>
<title>喜秋晴</title>,<text>纖雲洗盡晩風淸。卻喜橋頭宿雨晴。待取中秋圓夜月。剩看蟾影滿規明。</text>
<title>歲暮</title>,<text>鼎鼎光陰逐水流。蕭蕭華髮已渾頭。知非蘧瑗行年過。七十無聞是我憂。</text>
<title>謝趙黔澗安仲 靖 自鰲山解綬過訪 丁巳</title>,<text>休官行色野僧如。來訪竆山病友居。爲謝慇懃觴詠別。梅花已謝杏花初。次主翁韻題永慕堂 黔澗不見同人意惄如。强迴歸旆問幽居。一堂揭號終身慕。孝友眞天賀有初。</text>
<title>喜聞灘叔與希魯見訪</title>,<text>庭梅春盡草靑靑。輪鞅如今久絶聲。忽聞兩驢鳴谷口。剩看黃色起天庭。</text>
<title>謝蔡汝榦雪中載梅來訪</title>,<text>江外詩人戴雪來。一牛幷載一盆梅。此間眞意知誰識。看取風霜歲暮開。</text>
<title>醉石</title>,<text>不是楚山猿化石。自然形體當胡床。三杯纔罷頹然卧。一片中間一醉鄕。</text>
<title>方塘一鑑開</title>,<text>方塘一鑑自天成。爲愛源流澈底淸。留照三光與萬象。肎敎査滓混虛明。</text>
<title>靑山有約長當戶</title>,<text>平生性癖樂仁山。靜對儀刑不閉關。三十年來堅素約。朝朝暮暮共幽閒。</text>
<title>新綠還可人</title>,<text>已謝東風九十春。扶疎繞屋雨餘新。芳蝶影稀花信斷。還將滴翠付幽人。</text>
<title>賞李可和梅</title>,<text>聞道君家十五梅。南枝已晩北枝開。憑軒坐到斜陽暮。風動微香入酒盃。</text>
<title>二月移種四季花。淸和晦間始開。喜而吟。</title>,<text>移種孤䕺已吐英。豈徒生意運無停。應憐老子年華暮。造化爐中律外成。</text>
<title>孝有不及</title>,<text>百歲之中事不齊。之脩之短喜多乖。人須及此親庭在。就養無方莫使差。</text>
<title>謝柳衛仲持酒來見</title>,<text>雪窻寒日呻吟苦。剝啄何人江外來。秋露一杯情不少。三杯斟後又三杯。</text>
<title>守歲有感</title>,<text>烏飛兎走去來忙。誰謂東西萬里長。舊歲欲留留不得。空梳白髮只悲傷。</text>
<title>人心險於山川 庚申</title>,<text>山幾嵩嵩水幾深。山高千仞水千尋。問君險惡誰尤甚。折軸沉舟在寸心。</text>
<title>山中春</title>,<text>山中宿雨報新晴。楊柳和風拂面淸。始知物物皆生意。君子難堪怵惕情。</text>
<title>輓鄭景緝 惟煕</title>,<text>禍福曾聞未可評。直夫先逝又先生。更輓如今吾景緝。連歌三世倍傷情。</text>
<title>海棠盡落翠葉中。只有一點紅蘂喜吟。</title>,<text>顚狂昨夜多風雨。翠葉中藏一點紅。却訝瑤池宴罷後。老仙孤倚碧紗籠。</text>
<title>秋氣與雲橫</title>,<text>洗罷炎蒸積雨晴。一年秋氣覺新淸。凉飈惹起浮雲色。天末東南片片橫。</text>
<title>鴈</title>,<text>秋風萬里鴈聲寒。入塞穿雲度玉關。幾處戍樓殘月夜。思家遠客淚潸潸。</text>
<title>悲秋聲</title>,<text>新秋淸韻與新凉。意思泠然洗俗腸。何事當年宋玉輩。謾將淸韻助悲傷。</text>
<title>盆菊</title>,<text>霜菊雙盆老晩秋。相看揩目意悠悠。不待白衣山外至。松醪時酌遣閒愁。</text>
<title>立春帖 三首</title>,<text>升降無端運八綋。無聲無臭健天行。今朝報得東君信。又見庭梅粲玉英。咬菜今朝又一春。東皇消息報山人。和風惹出吹噓氣。物物皆含天地仁。竹牖開來暗室明。坐占元氣與時行。天地解屯時又泰。三階從此自和平。</text>
<title>海棠花下弄兒孫</title>,<text>七十田翁五畝家。太平身世擊壤歌。孩提抱弄知孩笑。共戲東風一架花。</text>
<title>贈朴景老 壽春號菊潭</title>,<text>神道碑文信美事。求疵晦退極縱橫。石工不忍鐫元祐。矧子生平負義名。鄭仁弘作申松溪碑文。極疵兩先生。時景老以碑文有司。理石不刻。風裁可尙。敬次耿耿中宵猶未寐。半天星月己西橫。林園空老隨麋鹿。可惜人間愧姓名。</text>
<title>臨別贈朴景老</title>,<text>簪盍淹留勝事優。一堂賓客儘風流。臨分更飮三杯酒。白髮前頭難再遊。</text>
<title>奉寄聞灘叔 時宰丹丘</title>,<text>東閣官梅動詩興。遙知公暇訪丹丘。故園花柳經年別。應向臨川憶舊遊。</text>
<title>聞趙大而留在胤子上舍家。寄贈。</title>,<text>聞君留盖上庠家。翹首東風戀慕多。病臥三旬門久閉。何望長者往來車。</text>
<title>獨居</title>,<text>山空林靜絶纖塵。梅上春風鳥語新。誰識獨居非寡與。無形太極是吾鄰。</text>
<title>贈徐精甫 約遊賢聖山。精甫遭雨未來。先送壺榼。故詩以謝之。</title>,<text>山雨霏霏鎖洞府。何人携酒此烟霞。難逢咫尺今知命。也識山靈逋客遮。</text>
<title>遊愁棄巖。與崔康侯，徐精甫同賦。</title>,<text>何人到此起閒愁。洗却淸波萬古愁。可笑世間憂老子。每逢佳處輒生愁。</text>
<title>臨別贈康侯</title>,<text>罇酒相逢共一塲。世間憂樂兩相忘。臨分更酌南溪酒。芳草歸程別意長。</text>
<title>仲秋十五夜。不見月。心甚無聊。希魯及李士綏，柳泳持酒來慰。感成一絶。</title>,<text>浮雲縱蔽今宵月。弟姪携壺捴聖賢。只恨丹丘仙不至。令人不覺意茫然。聞灘時宰丹丘</text>
<title>贈楊姪道源 景泗</title>,<text>月白天淸夜色遲。村鷄啼盡報晨曦。孤吟獨坐無餘事。芝下蒼流有所思。</text>
<title>童蒙貴養正</title>,<text>無知休道是童蒙。易彖申言作聖工。灑掃庭堂應對外。諄諄遜悌是宗功。</text>
<title>畫松</title>,<text>意匠偏工畫古松。交枝偃蹇走蛟龍。蒼髯黛色迷眞假。恨乏鳴琴午夜風。</text>
<title>汩一生</title>,<text>天地中間我最靈。秀于萬物禀眞精。如何反受衆形役。禽獸同歸汩一生。</text>
<title>身體不可毁傷</title>,<text>傷吾膚體是傷親。身是親身非我身。所以慇懃戒終始。全而歸後是全人。</text>
<title>昭昭冥冥吟</title>,<text>誰能制行昭昭際。民鮮冥冥不惰情。所以尤勤屋漏下。欲將心地一幽明。</text>
<title>扣冰躍魚</title>,<text>事孰爲大事親誠。扣冰魚躍鬼神驚。誰識天人感應理。有如桴鼓自然成。</text>
<title>牧羊邊地苦</title>,<text>陰山山外白龍邊。漢節蒙戎十九年。誰識牧羊心事苦。染霜華髮未秋先。</text>
<title>不量力</title>,<text>夸父競暉徒死谷。寃禽含石未堙河。可嗟世上浮虛子。力量徒忘誕妄多。</text>
<title>蜀魄</title>,<text>如何爾獨不平鳴。苦向山窻病客驚。啼盡五更聲不歇。始知長恨未歸情。</text>
<title>喜見都來甫 慶兪</title>,<text>待子春醪酌滿巵。丹靑信義兩相知。况當新綠鸎圓囀。端合揮觴話昔時。</text>
<title>讀古詩偶吟</title>,<text>蕭條門巷少人過。坐掩荊茅至日斜。讀罷古詩還獨詠。一生心事自無邪。</text>
<title>病裏春歸</title>,<text>梅今結子戶開遲。人道東君九十歸。病裏不知時節換。滿園新綠已多時。</text>
<title>初夏</title>,<text>扶疎繞屋草樹芳。喚友流鸎去來忙。如今始識幽居味。深巷無人白日長。</text>
<title>輓三從弟而敏 諟復</title>,<text>宗姓伶仃似曉星。餘存况復各如萍。今君又作瑤臺客。誰與芳園話弟兄。</text>
<title>輓張正甫內相</title>,<text>屈指吾家內外黨。十年兵後揔幽冥。渠更去室歸眞宅。不孝孱孫恨獨生。</text>
<title>次贈上舍趙咸英</title>,<text>山外情人載酒來。重陽日近菊花開。琪花影裏呼眠石。誰謂三山隔八垓。</text>
<title>待蔡靜應不至 靜應時在巴寺</title>,<text>昨夜瓊林山雨晴。琳宮高處月崢嶸。飽賞仙區如有戀。虎溪留別不勝情。</text>
<title>過二水大昌溪。憶曺芝山士友有感。</title>,<text>層巖矗立列爲屛。下有長溪一帶淸。芝老已仙遊賞絶。空敎過客暗傷情。溪上流芝山居焉</text>
<title>希魯來自丹城。飽賞丹丘山水之趣。吟贈一絶。</title>,<text>古稱丹丘上界區。靑山綠水畫圖猶。應知太守風流客。先賞蘇仙赤壁秋。五月賞丹溪故云</text>
<title>甲戌立春</title>,<text>今逢八十二年春。始識洪勻賦不貧。强剛雖殺心猶在。新德新知與歲新。</text>
<title>立春帖</title>,<text>東皇用事又回春。天地仁心許見親。戶戶門門開次第。生生化化自氤氳。梅窓日暖知時泰。柳岸風輕氣解屯。善長之元君子以。須充惻怛驗吾身。</text>
<title>冬至</title>,<text>臥看南窻添一線。化生機軸此中開。地䨓有復初爻得。天道無終七日來。息旅閉關存靜養。吹風噓氣始胚胎。此身知有乾坤否。須擴微陽達八垓。</text>
<title>奉呈溪東先生 原韻逸</title>,<text>次寄孫秀才案下 丁丑文章體格貴平夷。然後方論國士知。命意必先尋脉絡。措辭須主立根基。學求妙奧深如海。語到精微細入絲。老子狂言深望幸。莫將驚世騁奇詞。世之學者。多趍於務外之歧。故作此欲與同志者相勉。葢爲學須爲己。請去闘靡之習。願做要約之工。</text>
<title>春夜旅窻聞杜宇</title>,<text>望帝遺魂化杜宇。哀哀聲切到天明。歸心轉苦春三月。怨血偏凝夜五更。流落孤臣勤再拜。蕭騷旅客最傷情。龍鍾也是無憂者。底事聞來夢不成。</text>
<title>錦江亭。與金莘叟。民覺號漁溪 別鄭上舍希善 大咸 還故。晉州人。流寓花縣。</title>,<text>托契三霜心事同。那知送別錦江東。新羅勝跡千年後。前代風流一夢中。數曲驪駒殘照晩。三杯桑落暮道竆。荒墟處處行人少。音聞何由屢屢通。敬次 莘叟萍蓬半世國憂同。幸滌南氛廓我東。萬死身逢征戰後。百年心酌酒罇中。前朝勝跡江依舊。聖代吟筑樂不竆。莫恨荒墟人迹少。達星從此道途通。</text>
<title>漢陰李體相 德馨 留詩彌樂齋。追步其韻。兼謝鐫誨。辛丑</title>,<text>更闢伊川慕古門。淸明氣像洛眞源。齋名彌樂平生志。學際天人造化論。花逕幾吟佳節句。松關時過相公軒。頻承鐫誨無多語。舜禹相傳十六言。</text>
<title>次樂翁寄題永慕堂韻</title>,<text>肯學淳風禍福說。命龜胥宇捨基遷。簷連封域勤瞻掃。影入羹牆對祖先。宿草幾傷霜露節。古詩偏誦蓼莪篇。多君一律增哀痛。勉我孺懷更着鞭。寄題永慕堂 樂齋五十何人能繼舜。子妻君艾揔因遷。感風悲樹吾長痛。揭號成堂子克先。永慕松楸開小牖。講明終始對陳篇。何緣縮地承佳誨。百行源頭許執鞭。</text>
<title>亂後重刱硏經書院。次樂兄韻。壬寅</title>,<text>戒纜伊川掛小帆。先登如畫舊遊巖。重開基址知其止。更闢門庭喜載芟。抱經就道皆行願。入室升堂獨出凡。只恨老夫昏且醉。還珠終日撫空函。</text>
<title>樂兄持貽日乾夕惕夙𤕻晨興八字小額。詩以謝之。</title>,<text>誘掖年來冀踐形。終貽八字喚惺惺。日乾夕惕旡邪敬。夙寤晨興不息誠。盤屈龍蛇諧點畫。丁寧鐫誨質神明。從今作我心符則。常目存存撿七情。</text>
<title>陪李方伯養久，曺通判克遠 弘立 遊畫巖。癸卯</title>,<text>天相斯文此重監。堂開路闢棘專芟。前時勝迹餘盤石。舊面相知有畫巖。秋氣與雲橫遠峀。霽光隨日上寒杉。暫迎冠盖論經術。範我馳驅設我銜。</text>
<title>追步碧梧李方伯養久賞蓮韻</title>,<text>太華遊仙趁晩凉。商風吹送一池香。淸光耀遠明山外。直影涵虛倒水央。獨愛高標宜靜翫。誰知馨德合眞王。追吟記得濂溪說。字字行行久愈芳。</text>
<title>次謝朴誠夫 和誡</title>,<text>掩卷時時愧坐馳。自憐昏憒淺天機。心無煞進何新得。身有恫癏只舊非。年迫桑楡微學力。功慙鍛鍊疾言辭。兼金三字能醫病。爲掛窻間作一師。兼金字誠夫。詩有之。再步師字仰呈 誠夫流光隙裏白駒馳。一瞥飛梭任擲機。舊歲忽歸新歲是。今朝纔至昨朝非。汝南謾費更題品。端木空勞善說辭。筋力未衰時未晏。求之忠信有餘師。</text>
<title>秋日過巴溪。憶全和瑞。</title>,<text>繁霜秋氣與時濃。過客停驂對晩風。野菊叢叢香吐白。巖蘿葉葉醉堪紅。長溪嗚咽人亡後。深巷蕭條世變中。程畔夕陽多少恨。哭雲心事最無竆。</text>
<title>端月上弦日。白首會于枝巖上。樂兄袖貽半幅書曰贈吾希魯。開閱則乃五梅亭首題也。兄詩不可不酬唱。弟亭不可無一語。強綴拙句狗續可愧。甲辰</title>,<text>園花庭草縱多名。苦竹寒梅孰弟兄。最愛孤芳律外發。偏憐淸趣暗中生。林翁托契同心種。屈子遺騷不備經。德必有鄰亭得五。滿階疎影蘸流馨。</text>
<title>感舊吟贈金晦仲 時爲馬官自營來訪</title>,<text>高人驛舘固非宜。天馬何妨略受鞿。傳世孝勤家法在。輸心孚信友人知。梅亭春早宜君話。蝸室朋來合我詩。多少此時感舊意。一觴三歎不勝悲。</text>
<title>甲辰四月向伽川。將拜先生。路中記懷。</title>,<text>松亭同宿旅軒子。洛水相期崔上庠。認齋季昇 月內村墟哀季直。沙陶谷口憶東岡。倻山望裏迷三樹。狐峴登來近五蒼。只恨旋違陪杖屨。是日先生有忌齋。只通名而退。 淸輝還訪李君堂。</text>
<title>翌日登五蒼亭。仰呈先生座下。五蒼。蒼天蒼川蒼崖蒼松蒼顔。</title>,<text>小亭蕭灑脫紅塵。林下如今喜見人。逝水盈科終達海。老松當谷每留春。巖排千仞翔凰鳳。天極三階拱斗辰。想得先生高臥處。徘徊俯仰一閒身。</text>
<title>甲辰孟秋。松雲師惟靜以使行歷訪。爲贈一言。用代古人贐行之義。</title>,<text>鯨海揚帆擅一時。懸知此擧汗靑垂。當年已試談捫蝨。此日寧論隱擇枝。雪恥壯猷誰長子。交鄰大義只禪師。要成若問吾虛實。城以人和信以池。</text>
<title>次韓判事 彦忱 韻。又贈松雲師。</title>,<text>詩人何必願無生。似子桓桓萬里城。當日出山扶大義。如今入海縮邪情。傾罇談笑杯爲信。仗節吟哦筆作兵。何處白頭垂釣客。鷹揚鞱略愧屯行。</text>
<title>奉別李方伯養久還朝</title>,<text>張翰乘秋動歸情。江東波闊片帆輕。隨身行李琴書共。入望江山雲水盟。脫去樊籠多快適。追思遺愛泣閭氓。徒將酌水勤餘祝。須喚惺惺反求經。</text>
<title>郭益甫諸君別後。與徐行甫流下洗心亭。</title>,<text>諸賢別後我獨留。湖上淸光屬仲秋。天盡東南雲靄靄。雨疎蘆荻水悠悠。風琴寥亮來仙樂。詩韻淸泠助勝遊。欲識舫齋多少興。釣魚心事付滄洲。</text>
<title>登全毅甫 僴 洗心亭</title>,<text>巖上秋光霽景繁。一江寒水去年痕。天空雲盡高明見。風靜波恬本體存。濯舊工夫人共仰。修身事業已先敦。願將一服先儒藥。更洗生生萬化原。</text>
<title>奉寄樂兄 頃日被行甫携酒別於鄭平甫早梅下。時臘月旬日也。</title>,<text>曾向頹垣古院梅。雙鳧連璧破封苔。先春有意開三萼。惜別多情又一杯。壓雪高標頻夢想。思人孤抱獨徘徊。如今爛熳瓊瑤下。帶月尋芳日幾回。</text>
<title>得徐行甫書。聞先生將入境喜吟。乙巳</title>,<text>人物奚論北斗南。考亭千載有眞男。幾年林下明元化。此日東遊擬遠探。樂老已治持國室。後生趨迓武夷潭。只慚徒識伊川面。肯許先生一丈函。</text>
<title>自浮江亭。陪先生泝流向伊川。徐行甫以舟中吟屬余。俾表榮感之誠。余乃得頭字。仰呈先生行史。</title>,<text>烟江春日作淸遊。麗景尤宜洛水頭。波沒舊痕帆影杳。雨懸高岸櫓聲柔。傍人擬買新村艇。高義曾輕張翰秋。已得鳶飛魚躍妙。自餘榮辱等雲浮。</text>
<title>翌日壽席。又得思字。</title>,<text>先生一作遠遊思。麗日春晴物物開。有象乾坤明本體。無邊風月絶纖埃。主人休壽黃金楪。佳節宜添白玉杯。只願好期須再得。不知何日約重來。</text>
<title>孤山書院。被諸賢懇邀。希魯及李可和幷至。李君顯 彦英號浣石亭 偶來同話。</title>,<text>山河擧目雖無異。徙倚臺墟感慨多。一任江風依舊好。剩看庭草至今多。歌傳古意知音少。盤侈時羞勸酒多。扶醉不知歸去晩。夕陽橋外野烟多。</text>
<title>徐行甫初度日。與宋學懋 遠器號啞軒 諸君同話。</title>,<text>百歲光陰能幾許。年年此席愛君開。主人追感劬勞夕。親友爭斟慰壽杯。芭展舊枝枝錯亂。塘涵雲影影徘徊。如何醉裏倻山老。忙了頻頻去又來。</text>
<title>講會日。謹用朱文公次白鹿洞卜丈韻。奉呈樂兄及諸賢。丙午</title>,<text>白鹿風流隔幾年。至今明月照寒泉。諸賢講賾多新得。老子含胡昧舊篇。只幸樂 指行甫 餘時喚寐。粗知道外更無傳。慇懃片片醒心說。肯向他人慕颺騫。</text>
<title>除夕有感。吟示書堂學者。</title>,<text>今夕如何意不佳。重添霜鬢幾筋骸。要除舊習隨時義。擬得新知與歲偕。已往追惟多有悔。方來思索願無差。煩君更話醒心法。日喚惺惺日打乖。</text>
<title>題李汝彬 尙文 新築</title>,<text>霽景初宜綠野邊。東皇此日失花權。塘開半畒涵雲影。屋築三間作地仙。庭畔海棠經好雨。架頭松鶻望靑天。主人閒臥江湖裏。看取長郊朝暮烟。</text>
<title>奉呈府伯鄭愚伏景任 經世</title>,<text>五十無聞今已矣。朝聞夕死是餘情。幸蒙言偃興絃誦。多荷文翁擅敎聲。識面縱慚王信伯。聽言還擬李初平。從今願沐三年化。成已功推物亦成。</text>
