<title>淸明呼韻</title>,<text>一雨淸明過。三山物色新。偶從江上路。尋得洞中春。</text>
<title>無題</title>,<text>一別都門路杳茫。誰憐病骨滯遼陽。玉音在耳靑天近。王事關心白髮長。萬里孤臣瞻北極。七章何日照東方。精魂不道山川隔。夢裡分明侍御床。</text>
<title>昨聞書狀訪古華表柱。不遇令威。悵然而返。生亦歎其無蹤可尋。遂謂仙不可學。道不可聞也。仄聞芝峯疇昔之夜。忽化爲鶴。翔于寥廓。到今猶不自知爲何物。依俙有㓒園蝴蝶之想。於是乎乃知丁仙善變化。初非無去處耳。有感而賦。錄奉芝峯仙案。兼示書狀以求和敎。</title>,<text>平生江夏令才子。華表秋風萬古情。莫道如今無白鶴。化爲芝老向瑤京。</text>
<title>次芝峯韻</title>,<text>燕草蕭蕭塞月明。孤吟萬里此身輕。無端爽氣來侵笏。爲有仙詞字字淸。元韻白鶴城邊月正明。碧空無際夜雲輕。誰知旅枕愁眠裡。化作仙禽戱太淸。</text>
<title>次芝峯韻</title>,<text>卽見惠詩。有曰夢爲白鶴。鬚眉漸皤。似若歸咎於鶴而自脫其衰。固是逆旅中一奇話。余從而和之。一以洒白鶴之恥。一以博修眞之謔。白鶴雖白不全白。玄縞衣裳文彩多。何不學玄髮如㓒。偏憐素質鬂先皤。元韻遼陽今日客三過。華表荒城月色多。夢裡偶然成白鶴。向來鬚鬂漸皤皤。</text>
<title>又次</title>,<text>令公之新語。猶河漢而無極。愈出愈奇。增一快活。顧胎禽非從老得衰之物。况可謂從衰得白耶。若令公可謂好訟者也。鶴之寃。有不得不雪。復此攀和。五色生成隨五氣。乾坤賦與本來多。仙禽莫道從衰得。胎化初年已自皤。元韻相鶴經。云胎禽千歲後。化爲白鶴云。令公詩所謂玄縞衣裳。恐非仙鶴也。玆不得不卞。謹此仰呈。鶴子千年方變白。須知靈祀積來多。仙禽亦自從衰得。賤質何嫌鬂易皤。又疊前韻 芝峯今見來詩。不能無疑於五色生成之說。昔黃山谷夢作白鷗。以此推之。含生幻化。固有之矣。况色貌之在外者乎。人有四變。物亦宜然。再用其韻。以申前意。非敢好辯。亦爲鶴訟寃也。異事曾聞黃變白。有生形化古猶多。若言五色元天賦。綠髮何曾更得皤。</text>
<title>濡滯逆旅。不自聊賴。又就騷壇爭訟之話。以畢其說。願聞新語。破此愁寂。</title>,<text>誰將色相爲堅白。同異由來辨說多。仙鶴有知應自笑。吾衣何與爾鬚皤。</text>
<title>又次前韻</title>,<text>令詩。有王母髮白之語。此有不然者。令早學黃庭。終歸誤讀。久食烟火於下界。其坐是耶。假東方朔以戱。知坐黃庭誤讀過。謫來人代歲時多。偸兒漏泄仙間事。王母何曾鬂亦皤。芝峯詩。有早學黃庭等語。故云耳。元韻 芝峯眼見蓬萊水淸淺。世間千載苦無多。人生莫恨頭如雪。王母于今鬢亦皤。</text>
<title>次芝峯前韻 幷小序</title>,<text>丁仙曾托芝翁之夢。以爲斷案。故許多黃白之卞。寂若無矣。今見此翁。更有餘音。語益佳絶。雖欲無言。得乎。西王母來接吾夢。有若訴寃。親見其肌膚若氷雪。綽約如處子。年可十四五。向所謂目覩髮白者。無乃誤耶。阿母所言。錄奉求敎。西王夜過留仙語。語不從容慍色多。欲知上界光陰晩。看取烏頭雪似皤。眞仙自與浮生異。含得乾坤秀氣多。若道金精今已老。瑤池靑鳥亦應皤。仙家自有壺中界。異類猶能閱歲多。黃鶴只今元不變。紫獜終古未聞皤。芝仙詩比謫仙過。錦樣新詞不厭多。弄假成眞還可笑。牛庄一夜各皤皤。元韻 芝峯諸公辨說殆窮矣。而丁仙又托夢而告之如此。益信仙鶴爲有靈矣。敢錄其語。以作斷案。我夢丁仙來笑我。强分同異說何多。從來色相皆非實。不必爭論黑與皤。</text>
<title>發懷遠坡。秣馬沙河驛。</title>,<text>今朝始別遼陽舘。西出城門寒更多。一望平原三十里。孤烟生處是沙河。</text>
<title>土河舖</title>,<text>莽蒼秋色中。淺山烟𡬾暮。斜暉粉堞明。知是土河舖。</text>
<title>途中因譯官。聞千山勝槩。恨不得往遊。有感而賦。</title>,<text>解道千山勝。初聞喜欲誇。世人尋去少。隱士住來多。修偈惟芝老。題名獨月沙。驅馳王事急。回首一長嗟。</text>
<title>沙嶺道中。用芝峯韻。</title>,<text>牛家庄外短長亭。歷歷山川眼更靑。堤上墜驢今不忘。滿天風雪酒初醒。</text>
<title>宿牛家庄</title>,<text>夢裡逢迎鄕國舊。團圓骨肉一樽前。覺來身是牛庄客。寒雨蕭蕭落枕邊。</text>
<title>贈別宋員外賫奏之行東還</title>,<text>異域相逢地。荒城薄暮時。邊風吹塞急。病客過關遲。別恨三盃酒。秋懷五字詩。山川萬里濶。何日是佳期。</text>
<title>長牆</title>,<text>誰築長牆路。遙遙指海陬。卧龍橫大陸。渴驥飮洪流。壤奠便朝貢。天驕識壯猷。應須歲增繕。無使遠人愁。</text>
<title>道中</title>,<text>悠悠客路何時盡。曲曲長墻去却回。天借好風吹海霧。喜看初日照烟臺。</text>
<title>聞虜入瀋陽之境。楊御史領兵赴援。次芝峯韻。</title>,<text>虜火連雲殺氣多。三叉東北是䓗河。橫行紫塞無亭障。放牧靑山有槖駞。充國莫疑胯下信。畢諴元是禁中頗。蚩尤祭罷㫌旗動。萬甲威聲振大羅。</text>
<title>似芝峯</title>,<text>燕地行吟倦策驢。途間物色捴愁余。靑丘野逈迷蝴夢。紫塞春歸斷鴈書。芳草一年人去後。碧雲千里雨晴初。今宵又作盤山客。烟𡬾依微古驛虗。次韻 芝峯自憐小技窘黔驢。佳句連篇每起余。吟處頓忘千里路。語時還勝十年書。胸開聖水薰風裡。眼豁醫山爽氣初。東去卽看華表近。興隨孤鶴躡空虗。</text>
<title>曹庄途中</title>,<text>馬首風沙撥不開。幨帷晝下鼾如雷。却疑黃鶴樓中卧。聽盡三江夜雨來。</text>
<title>少凌河</title>,<text>冬至使行今夏至。少凌河畔去年情。黃花照塞秋全暮。碧草連雲月欲生。劒向㓒園談處動。詩從摩詰畫中成。十三山色明朝是。不用燈前數去程。</text>
<title>少凌河途中</title>,<text>節迫天朝賀。行經大小河。邊風吹不斷。野日澹仍斜。事急人忘倦。途長馬賴撾。杏山今夜宿。敲月定誰家。</text>
<title>望見十三山</title>,<text>千山過後山應盡。三日途中不見顔。忽有脩眉靑客眼。行人說是十三山。</text>
<title>松山舖</title>,<text>淺山殘照孤烟起。粉堞山阿慰客顔。錯認杏山今已到。傍人却說是松山。</text>
<title>杏山途中 二首</title>,<text>浮生浪跡逐征鞍。奉勑今年又出關。白髮光陰來去裡。靑山消息有無間。孤雲晩向遙空起。倦翼時乘返照還。應笑此身衰病甚。尙勞行役未求閑。人間萬事儘悠悠。驢背長程任去留。悟後功名眞一夢。閑來天地揔虗舟。白雲朝出靑山靜。滄海春涵積氣浮。入眼風光隨處好。消憂何必復登樓。</text>
<title>聖水 在毉巫山。不氷不涸。</title>,<text>神山舊識碧城寬。聖水初聞紫塞寒。地裂三冬猶自活。天懸九日豈曾乾。眞源不與斯文逝。灝氣常含太一完。若借餘波澆舌本。剩敎寥廓腋生翰。</text>
<title>廣寧用進退體</title>,<text>醫巫山脉自天山。面勢飛騰到此蟠。忽有高城雄作鎭。仍煩老將屹臨關。天連鶴野浮雲變。地接龍沙殺氣寒。聞道官軍近乘勝。莫敎狂虜隻輪還。</text>
<title>濡滯廣寧。懷抱不佳。作去來詩以自解。</title>,<text>何來天外廣寧城。此去日邊遼海程。鳥去鳥來山共遠。雲來雲去客同行。人從來去形容老。天向去來時序成。一去一來無可奈。來來去去若爲情。</text>
<title>復就去來二字。換韻爲劇。</title>,<text>春風無限去年情。每一吟來一律成。明月去邊孤鶴過。白雲來處蹇驢行。來悲落葉辭江𡬾。去愛殘花媚驛程。安得伯陽來並駕。片時飛去漢陽城。</text>
<title>高平途中</title>,<text>馳道橫空自廣寧。蜿蜿隱隱卧龍形。王喬鶴上雲俱白。公遠橋邊杖一靑。共說吾行遊汗漫。自疑身是御淸冷。依微槎影銀河畔。誰識蓬瀛老客星。</text>
<title>撫寧途中得和字</title>,<text>蘆峯峽裡有人家。碧𡬾陰中一徑斜。花爲東君餘富貴。風從南極動淸和。誰將物色分留少。自識天恩到處多。上界此行眞一幸。槿鄕他日向人誇。</text>
<title>憇中右所</title>,<text>沙塵如雨打衣裳。千里雄風拂面凉。忽喜好山橫地出。何妨去路與天長。依依浦𡬾經春色。歷歷烟臺欲夕陽。暮倚孤城成小睡。僕夫呼起進黃粱。</text>
<title>留海州衛。用副使韻。</title>,<text>病客淹留海衛城。天邊歸鴈喚愁生。陰風夕起開原外。吹到南關有殺聲。</text>
<title>早發途中</title>,<text>霏霏宿霧自冥濛。濃淡川原四望同。曉着簑衣驢背坐。却疑身在畫圖中。</text>
<title>途中記芝峯三淸閣詞。淸婉可愛。諷詠良久。敢此續貂。</title>,<text>玲瓏閣縹緲樓。黃鶴去白雲秋。倚闌干十二曲。玉京遙使人愁。縹緲樓玲瓏閣。山有情水無跡。挾仙兒淸夜遊。紫蕭弄昇平樂。</text>
<title>次夜雨韻</title>,<text>斜侵窓外看逾細。冷入詩中聽未堪。滴碎愁人心萬里。夢魂那得到城南。每懷靡及皇華意。跋涉衝泥馬不堪。咫尺遼河猶未過。歸心日夜在終南。</text>
<title>途中遇聖節使</title>,<text>風霜催歲暮。鼓角動邊聲。白髮三韓客。荒山萬里程。燕鴻差節序。萍水偶逢迎。落日低寒塞。臨歧不盡情。</text>
<title>過閭陽</title>,<text>野日荒荒下塞垣。征車薄薄過閭村。遙岑入望如迎客。雲母屛風瑞色分。</text>
<title>連山途中。用進退體。</title>,<text>四月東州客未歸。天涯芳草路逶遲。崢嶸節序霜添鬂。淅瀝塵沙風滿衣。花氣襲人春尙在。霞光絢日晩逾奇。無端化作莊周蝶。飛入西湖舊釣磯。</text>
<title>壯鎭舖有感</title>,<text>壯鎭舖名何壯。未到能令吾激昂。朅來瞰其中。人烟蕭瑟氣凋喪。城高于肩舖如舟。虜馬南牧誰得抗。壯鎭舖徒爾爲。此名之設近兒戱。盛名下其實難副。古往今來豈獨爾。隋珠魚目混眞僞。乕皮者皆是虗名。驚世足薰天。千載寧無具眼之君子。師直爲壯兵家書。聲聞過情古人恥。噫嗟嗟無實而盜名。人與物何異。壯鎭舖愁欲老。獨立乾坤一長喟。</text>
<title>望見山阿。羣羊散牧。到則石也。感而賦。</title>,<text>指點毛羣傍翠巓。却看頑物卧雲邊。初平一去無人管。風雨千秋自在眠。雲根元自在山巓。萬古無言落日邊。忽化驪珠憑宋鵲。一聲驚起客窓眠。</text>
<title>紅羅山</title>,<text>順帝何年罷舞魔。自將身世入紅羅。天亡胡運開眞主。凈洗山河作一家。</text>
<title>山東望海</title>,<text>憑高望不極。落日自生愁。海岱天俱遠。靑徐地共浮。偃王碑尙在。師父跡應留。安得扁舟去。相親萬里鷗。</text>
<title>朝天一路。與豺乕窟穴接境。得無事抵關。無非聖天子之特軫東顧。設險守要。嚴扃鐍以待暴爾。過是路者。雖欲不知帝力。得乎。望海亭固是天下形勝地。而昔年赴京時。適値兵戈之際。未獲登覽。遂爲平生之恨。今當過關。欲一觀以暢襟懷。詩中及之。</title>,<text>十月山東客。何時覲北京。風塵雙白鬂。滄海一浮萍。獵火知胡近。關防荷聖情。須將萬里眼。晴日快登臨。</text>
<title>路逢鸚鵡</title>,<text>日下歸心幾寸餘。天朝賀節一陽初。知吾已是忘家久。爲報閨人莫寄書。</text>
<title>望海亭口號</title>,<text>雲霧冥冥鎖不開。海濤聲裡乍徘徊。天公爲洗靑銅出。風伯微吹白雪來。直對秦皇求藥島。平臨姜女望夫臺。憑危萬里還疑夢。千古閑愁一快哉。</text>
<title>望海亭</title>,<text>山海關中勝。登臨碣石偏。天機開久秘。地脉鏁重泉。媧補何勞鍊。秦橋不待鞭。乾坤東北盡。日月古今懸。雪浪鯨鯢外。風烟鶻鶴邊。都輸歸一柱。直欲訪羣仙。王母瑤池近。安期紫海連。童男去不返。眞訣儘難傳。誰畫關防計。端宜控扼便。神功垂不朽。偉烈自無前。憶昨經過日。正當丁戊年。兵塵迷六合。關路越三千。自恨奇觀阻。空勞夢想牽。今來償宿願。嘉會亦寅緣。江夏新𩣭馬。靑州舊聖賢。吾儕眞不俗。造物也應憐。忽掃陰雲捲。新開霽景鮮。衡山老韓咏。登海長蘇篇。宇宙神交在。烟雲勝槩全。夕陽催返駕。回首意茫然。次韻 芝峯今代天官長。英聲夙歲偏。三塲推藝苑。一賦献甘泉。紫闕先鳴珮。靑雲穩着鞭。東方文史足。南斗姓名懸。聽履丹墀上。承綸白日邊。無雙銀署客。第一玉堂仙。鳳沼身同沐。龍樓袂幾連。羽儀羣士仰。風采萬人傳。葭倚慙形穢。瓜投喜得便。庸才甘噲伍。盛譽合盧前。附驥還今日。乘槎又暮年。秦關過百二。周樂覩三千。但覺襟期密。都忘俗事牽。愁中開笑口。苦處遇良緣。筆自羲之妙。詩今白也賢。並遊誠竊幸。同病荷相憐。形共秋山瘦。心將皓月鮮。旅愁霜兩鬂。佳句錦千篇。跡隱身難隱。神全道亦全。靈山他日約。鞋杖共超然。</text>
<title>山海關途中</title>,<text>關門紫氣認靑牛。去歲行人猶未休。地作山河橫北塞。天敎冠盖走中州。三千驛路煙花晩。四十王春禮樂優。萬戶笙歌人盡醉。側身東望亂鄕愁。</text>
<title>塞下曲</title>,<text>大漠春陰擁北門。漢家飛將夜調軍。單于莫近楡關外。老石猶含飮羽痕。又一戰威風動塞門。虜中猶說李將軍。護羗充國還多計。鵲血新磨劒上痕。</text>
<title>似芝峯詞伯</title>,<text>四海詩名動帝鄕。當關虎豹避文章。乾坤半入雙靑眼。風景都輸一錦囊。瀚海春流無急浪。崆峒晩色靜年芳。中原大雅今寥落。誰似芝峯得盛唐。</text>
<title>用進退體</title>,<text>忽忽芳華夢裡過。薊門初落小桃花。殊方客久黃金盡。故國春殘白髮多。眼力幾穿滄海日。毫端欲動赤城霞。燕山薄暮邊風起。膓斷荊卿易水歌。又任是長風擁碧旜。翻疑兩腋忽生翰。天邊活畫雲中𡬾。馬上新詩雨後山。鷄肋功名元自薄。羊膓世路已知難。來遊上界寬閑地。却笑浮生一夢間。又長城雪色起臨洮。天作重關氣象豪。繡斧威稜山動彩。揔戎䧺略海無濤。戍樓橫笛梅花落。公舘投壺桂魄高。誰識東韓今夜客。匣中時吼七星刀。</text>
<title>無題</title>,<text>危途未决檀公策。眞爲明時不易逢。湖海十年違宿願。乾坤何處着孤蹤。莊生夢裡閑爲蝶。老子書中道是龍。萬事不如歸去早。碧山蘿月對寒松。又微茫烟樹雨晴餘。關外山川更起余。萬里詩囊隨日富。半生愁鬂逐年踈。故園應長當歸草。客箸新甞石首魚。東望玉京雲渺渺。滿天凉月獨躊躇。</text>
<title>次芝峯咏枯竹韻</title>,<text>獨立風霜後。亭亭猶自淸。眞成死諸葛。堪走仲達生。又孤竹君之子。萬古聞其風。世人誰得似。還與此君同。又吾愛歲寒枝。錯道先春死。靈根長兒孫。早晩栖鳳至。又自信氷玉姿。恥爲桃李顔。寧隨黃竹曲。一入瑤池間。又得月輕陰落。因風冷葉吟。衆芳俱寂寞。芝老是知心。又我有好因緣。得與爾隣界。爾如有遐心。我愁誰可解。又始謂千年碧。如何一夕枯。東君扶正直。生意也非無。又至化元無迹。吾欲詰其端。天高呼不聞。風露滿枝寒。元韻少陵公得盆竹一箇以爲翫。經冬色不變。至春忽枯損。故詩以傷之。可憐孤竹子。風骨本來淸。勁直由天性。何曾異死生。又靑靑臘月中。寂寞向春風。尙保氷霜操。恥與桃李同。又吾聞古臞仙。骨蛻心不死。會作葛陂龍。直愁雷雨至。又此君耐歲寒。胡乃失容顔。但使性根在。誰求色相間。又靈均放逐日。楚澤獨行吟。形貌雖枯槁。猶存一片心。又佛子得三昧。能超無色界。竹固不凡材。安知亦尸解。又世有鮑焦者。河邊獨立枯。枯來節愈固。得似此君無。又雪裡琅玕色。移將彩筆端。掛之素壁上。炎暑爲君寒。</text>
<title>又次</title>,<text>玉舘春猶淺。氷魂一倍淸。夜寒知不怕。霜雪慣平生。又有約三冬雪。無聲五夜風。還疑竹醉日。歸與謫仙同。又愛之欲其生。伯仁由我死。廵簷獨彷徨。爽氣颯然至。又一日無此君。何以慰我顔。所幸堅貞在。不變死生間。又芙蓉抱香死。古人稱善吟。何似風霜裡。猶存未死心。又玉階盈尺地。此君眞境界。與奪一何忙。天心吾未解。又此君幽獨意。元不在榮枯。試問龍眠手。還能寫得無。又竹乃松之友。衰謝太無端。莫敎徂徠丈。堂堂獨歲寒。元韻 芝峯高人自愛竹。相對一般淸。形枯節不變。凜烈尙如生。又君爲竹溪逸。君有竹林風。非六亦非七。襟期獨與同。又曾聞伯陽子。再起徐申死。蕭蕭枝葉間。已覺淸風至。又無竹令人戚。有竹解人顔。今朝庭雪響。不到客窓間。又獨憐風雨夜。長作小龍吟。外直同君節。中虗似我心。又竹亦天所愛。移之歸上界。物化本無窮。此理誰強解。又萬木皆春意。亭亭爾獨枯。周家全盛日。知有伯夷無。又盆中一竿竹。氣已凌雲端。遽失平安報。誰將共歲寒。</text>
<title>又次</title>,<text>渭川老居士。天與聖之淸。忽然成換骨。烏有一先生。又南山不揉直。自是乃家風。奈何忝厥祖。憔悴與人同。又不共百草生。寧同百草死。無心借陽春。有待霜風至。又此君舍我去。我能無厚顔。願言留晩翠。置我七賢間。又昔聞王子猷。雅契有淸吟。誰識蓬山客。同盟歲暮心。又我有竹枝歌。響徹三淸界。玉皇許歸來。靈氛爲君解。又詩家沈約瘦。湘岸楚臣枯。淸癯亦何病。相對一言無。又苦節飽經霜。天時屬履端。空留歲晩色。照得靑春寒。元韻 芝峯氷霜能獨潔。風月與雙淸。似學詩人苦。如何太瘦生。又冷葉冬猶碧。踈枝夜自風。此間如共醉。應與竹林同。又二月春光裡。竹君抱節死。彷彿尙聞風。伯夷淸獨至。又靑靑能傲寒。今日慘無顔。榮悴須臾事。何殊人世間。又有酒相伴飮。有詩相對吟。今朝忽惆悵。誰與共此心。又盆中劣容芥。豈是寬閑界。所以不屑居。超然得懸解。又誰將鄒子律。回暖爲噓枯。倘使宮成竹。貞魂返得無。又梅兄將竹弟。取友一何端。今入有聲畫。繞窓風雨寒。公以梅竹二盆幷置坐傍故云</text>
<title>又次</title>,<text>我於百卉中。愛此一竿淸。今朝失顔色。愧我太俗生。又昔有凌雲意。今胡遽殺風。烈士不惜死。將無氣槩同。又六逸今何在。孤根猶不死。還有靑蓮期。何煩伯陽至。又假使宮成竹。應不近龍顔。生憎桃李態。肎入百花間。又何所無芳草。倚竹獨悲吟。靑松亦苦節。無復見虗心。又公詩如太玄。能談死生界。此君心本虗。不待楊䧺解。又可恃惟孤直。何嫌外貌枯。誰言亦尸解。却恐近虗無。又淸聖今其萎。何以整憂端。高風凜如昨。瀟洒客窓寒。元韻 芝峯龍蛇時動影。霜雪獨含淸。莫謂梔黃貌。堅貞自一生。又籜龍纔滿尺。已有丈夫風。紅紫媚春日。肯將兒女同。又爾本雪中靑。今胡雨前死。枝柯日已枯。未覺條風至。又無暑亦無寒。喜君氷玉顔。最憐孤直節。不變死生間。又裁成黃帝管。擬作鳳凰吟。古調無人識。伶倫得我心。又竹若有來生。受生應凈界。吾與爾結緣。相纏恐不解。又初謂爾成醉。那知爾竟枯。須傾竹葉酒。洗盡此愁無。又精神留雪後。顔色入毫端。凜凜猶生氣。坐令牙頰寒。</text>
<title>又次</title>,<text>此君事乃了。千古謚爲淸。宇宙留孤直。非虗過一生。又竹爲人愛惜。猗猗咏國風。佇看鸞鵠峙。還與鮑焦同。又何處見交情。一生而一死。長嘯倚枯枝。悲風一夕至。又殺伐奚爲季。春生不是顔。若把夷齊比。知君伯仲間。又江楠委榛棘。草堂無處吟。忽失碧琅玕。何况少陵心。又梅兄與竹弟。無此疆彼界。榮悴不相能。嘲爾難爲解。又萬物同歸盡。石爛海亦枯。惟有此君節。壯烈無時無。又爾節一何苦。爾形亦云端。不要富貴相。家世本淸寒。元韻 芝峯植物中君子。天姿禀直淸。亭亭看玉立。遽作可憐生。又子陵昔垂釣。扶漢有高風。我欲作竿去。古人心事同。又天笁釋迦子。無生亦無死。今看玉板師。寂滅何方至。又羞把雪霜貌。強隨桃李顔。從來特立操。難處衆芳間。又愁來何處嘯。興來何處吟。春窓對搖落。寂寞歲寒心。又天地發生仁。陽和布世界。七日應來復。雷雨方作解。又東風振羣蟄。品暈亦蘇枯。君有中和氣。還能起死無。又爾生異凡卉。爾死豈無端。應伴月中桂。潛移向廣寒。</text>
<title>又次</title>,<text>竹固吾益友。友其德也淸。吾將期晩節。春至却捐生。又吾愛竹似賢。遺響寄悲風。世有後凋者。還應較異同。又我觀物之理。有生還有死。朝菌與大春。脩短如期至。又日及莫傷心。櫟壽莫歡顔。世上枯榮事。悠悠朝暮間。又我有陽春曲。遙借太容吟。會須風雨夜。喚起蟄龍心。又盆是托根地。以天爲眼界。相忘一死生。外膠知已解。又百草憂春雨。一歲一榮枯。竹不爲此態。春心寂若無。又今朝忽不樂。客愁千萬端。只爲窓間竹。前盟一夜寒。元韻 芝峯中藏君子節。氣得聖人淸。故學西山餓。堂堂不苟生。又凈友是芙蓉。蒼髯居下風。龍鐘多苦節。眞與我相同。又蕭蕭竹聲乾。黯黯竹色死。往往谷風吹。尙疑鳴鳳至。又華山綠毛仙。千載尙童顔。變作黃面老。藏身枝節間。又故園窓下竹。風雨夜常吟。歸去一把翫。庶慰今日心。又此君慕蟬蛻。寧能久塵界。柯葉漸離披。恰似麋角解。又櫟樗能得壽。爾獨背春枯。生死不易守。人中有此無。又竹如孤特士。正色立朝端。死者倘可作。奸諛心骨寒。</text>
<title>又次</title>,<text>竹君逝矣。往復詩中。多有悼亡之意。仍就前日移廣寒許歸來之語。演成新話。以附昌黎子收悲以歡欣之故事云。帝遣臞仙下。一洗乾坤淸。銀潢枝上濕。靈籟葉間生。又適從廣寒來。猶含桂殿風。松檜亦凡材。不敢與爾同。又玉兔與靈藥。換骨非眞死。綠雲繞瓊枝。淋漓元氣至。又却將黃面老。化爲蒼玉顔。眞成一蕉鹿。還是夢魂間。又威鳳擇地栖。神龍抱葉吟。中興孤竹國。憐汝不易心。又黃竹是何祥。厭處烟火界。不祥也亦宜。吾聞獲獜解。又萬物枯必榮。却知榮是枯。此理相倚伏。世人看到無。又對竹竹不言。風雷起筆端。忽憶家山暮。荒庭碧玉寒。元韻 芝峯竹吾甚愛之。愛之以其淸。今看骨已換。夷叔是前生。又竹有凌霜操。中含太古風。欲作柯亭笛。知音誰得同。又爾非日及花。朝生卽暮死。如何便成枯。不待芳春至。又雨氣難生色。年光不借顔。端疑古帝子。獨泣綠雲間。又我無諧俗韻。時和此君吟。今忽舍我去。何人是賞心。又問竹今何之。應知出三界。如生貌不靑。始信形已解。又物理諒難詰。紛紛榮又枯。竹非眞我有。有本出於無。又挺挺不改節。持身此大端。君子故愛竹。獨貫四時寒。</text>
<title>又次</title>,<text>奉讀來章。哀而不傷。有三百篇之遺音。僕傷於虎者。悽感益切。輒復攀和。詩雖爲八。意實相承。竊附棠棣八章之意。觀者詳之。客中猝富貴。分外有雙淸。氷襟映玉色。塵土不敢生。又秀色燕山雪。孤芳易水風。如何兩勁草。憔悴一時同。又氣類自相求。願同生與死。榮悴不宜異。結義天倫至。又竹弟忽焉沒。梅兄亦何顔。所以斂春色。泣露塵埃間。又去歲哭吾弟。他鄕愁獨吟。草木尙有情。偏傷老我心。又此地亦淸切。玉京非下界。爲他徑別離。春愁苦未解。又上帝布陽和。風雨爲蘇枯。竹若回靑眼。梅應一笑無。又爲報丈人行。天理藹一端。二難永相好。風霜期歲寒。元韻 芝峯今從梧村所。取盆梅翫之。花色頓謝。只餘數片而瘦損太甚。極可嗟惜。仍念梅兄與竹弟同在一舘。而竹君遽爾先逝。使梅有知。能不愁慘乎。戱用前韻以解之。氣味二難幷。風標一種淸。今朝忽相失。那忍獨爲生。又燕山今夜雪。灞岸舊春風。弱植仍孤立。氷姿故不同。又與竹本同氣。相期共生死。自從竹弟亡。悵望黃昏至。又如何艶陽日。憔悴舊時顔。爲是靈根殞。情深伯仲間。又不言還不笑。終日伴愁吟。見爾偏多感。春來病客心。又露濕玉容在。猶如淚痕界。誰道不相能。有嘲吾欲解。又問梅何不樂。一體異榮枯。我鼓陽春曲。君能少慰無。又我欲梅兄笑。思之試萬端。詩狂最可哂。梅亦齒應寒。</text>
<title>枯竹</title>,<text>此君一日無何可。盆裡移將雪底春。誤道氷魂今寂寞。月中踈影更淸眞。又形疑杵臼心存趙。氣奪相如璧碎秦。無復精神凌朔雪。且留顔色殿餘春。</text>
<title>黃遯庵第聞喜筵聯句。附遯庵小序。</title>,<text>萬曆丙午冬。豚犬有中僥倖文科。李學士西山先生。吾先妣姓親切近也。聞吾家有慶。先遣其胤中書公賀。越翌日。先生按轡門外。呼新來。四隣莫不聚觀。盖遣其胤。喜之也。呼新來。榮之也。迎入中堂。把盞而進之曰。此豈非吾先祖敬憲公之餘慶。而吾二人世受國恩至於此。當如何報之。遂相與取醉。醉中戱作聯句歌謠云。頭上花天上月。月下影婆娑。遯庵。 醉中豪仙中人。人間樂事多。西山。世世荷龍光。聖恩汪汪海波。遯庵。 欲報之德。昊天罔極。但將忠孝傳家。西山。</text>
<title>奉寄李少陵朝燕之行[李德馨]</title>,<text>月出東山欲二更。翠林凉散草虫聲。舊遊謾說人何在。秀句時吟夢亦驚。遠役定懷霜露感。別筵均惱死生情。關河旅店三千里。幾處挑燈筭去程。昔年對伯氏老兄。亟稱承宣公幼時二更白月東山出。一斗丹心北極懸之句。感念存沒。情見于詞。承宣公。指公之長子斗峰云。又憶昔朝天夢一塲。午門辭退路微茫。九霄宮闕凌雲起。萬里城池控海長。季札舊稱聞舜樂。濯纓纔得見程郞。閩中冠盖連京邸。倘訪齋居二十章。</text>
<title>奉送少陵李判書冬至使之行[尹根壽]</title>,<text>吏部淸班彦。芝凾上价行。紅雲望帝里。紫氣過關城。道路曾前度。衰遲空別情。相思緲燕市。去旆共心㫌。又長路人如玉。淸秋雨作霖。浮槎遼海濶。稅駕潞河深。此去啣綸日。從來報國心。空憐月汀老。離索罷瑤琴。</text>
<title>奉呈正使令公[李睟光]</title>,<text>平生少陵老。文彩擅今時。灑落陽氷筆。淸新太白詩。追隨眞自幸。宿昔荷相知。最是秋窓夜。停杯話舊思。</text>
<title>奏請上使少陵台軒[李廷龜]</title>,<text>天庭奏對屬名卿。妙簡全才荷寵榮。王事敢言行役苦。秋風叵耐別離情。壯遊萬里心俱往。世味經年夢亦驚。惆悵臨歧願歸速。秪今虗席望台衡。又憶昔乘槎入帝鄕。三淸宮裏廁朝行。上林玉露團仙掌。華盖祥雲繞御床。萬國衣冠班影動。九天燈燭佩聲長。舊遊蹤跡參差夢。羸卧秋窓養鬂霜。</text>
