<title>答太白山僧 少時携季氏進士公。讀書太白山中。有僧呈一絶曰世上雙才子。山中一老吾。誰知儒與釋。今日反吾徒云云。</title>,<text>虛無寂滅汝。明德新民吾。今日雖同席。吾徒豈汝徒。</text>
<title>效演雅體</title>,<text>病鶴悲垂翅。孤鴻困踏淤。縮頭看鼈殼。上竹笑鮎魚。猿哭應驚夜。鷗鳴更喚余。蠻煙恒漠漠。蝶夢但蘧蘧。誰記雙鳧去。難憑一鴈書。蛙喧當兩部。螢亂憶三餘。得馬誰知禍。亡羊事反虛。蒼蠅天地足。空羡灞陵驢。</text>
<title>述懷</title>,<text>書夢無虛壁。懷愁打屋烏。峽猿啼曉急。邊鴈叫雲孤。隱几頹南郭。忘言兀老蘇。無端朝嚔數。誰記澤邊枯。</text>
<title>效八音體</title>,<text>金風昨夜動碧虛。白石哀歌秋夜永。絲毫無補聖明朝。佩竹天南愁短綆。匏苽一繫瀛海茫。戀土思君心耿耿。馬革裹尸古有人。木鴈何論幸不幸。</text>
<title>效建除軆</title>,<text>建號耽羅後。于今歲幾周。除殘知上洛。伐叛憶崔侯。滿野驊騮色。懸林橘柚秋。平沙翔鳥集。神嶽彩雲浮。定是仙翁宅。應非俗客留。執迷臣罪大。寬死聖恩稠。破却塵寰械。超然物外遊。危途從此遠。人世更何求。成瑨弘農嘯。鍾儀晉國愁。收心味聖訓。面壁學禪流。開眼滄溟濶。鉤簾北極悠。閉門終夕坐。㱕思繫孤舟。</text>
<title>遣懷</title>,<text>憂患縱橫滿世間。十年簪笏鬢毛班。天恩幸許神僊宅。瑤草瓊花可駐顔。</text>
<title>夜坐偶吟</title>,<text>萬里他鄕遠。孤燈半壁微。羈懷秋轉苦。㱕夢覺還非。不惜身名晩。堪嗟心事違。誰憐庭下菊。歲晏自芳菲。</text>
<title>漫題</title>,<text>積雨纔收瘴海濱。楚天寥濶鴈來賓。千竿翠竹娟娟凈。三寸黃柑冉冉新。神武未留弘景服。江東偏憶季鷹蓴。此生那免窮途哭。萬里滄溟一葉身。</text>
<title>偶吟</title>,<text>不改南山色。其如事事新。衣冠非昔日。文物卽今辰。王室袁安淚。中原庾亮塵。滄江驚歲晩。蘭佩自紛繽。</text>
<title>讀心經有感</title>,<text>五蠧除時邪賊退。一旗揮處主翁閒。須持高壘深溝計。無使秦兵再出關。</text>
<title>書懷</title>,<text>一卧蠻荒歲月流。思親無日不回頭。家貧菽水傷難繼。誠薄筒魚愧未浮。戱彩晨昏違養志。倚閭朝暮反貽憂。人生到此膓堪斷。仁覆旻天庶燭幽。</text>
<title>寄孫公州敵萬 時孫公以无妄之厄。被彈在家。</title>,<text>世事何須說。浮生迄可休。公州還栗里。㫌義卧瀛洲。湖海難靑眼。飄零易白頭。分明前夜夢。寄送濟南舟。</text>
<title>遣懷</title>,<text>人誰悲正則。世已棄君平。碧海渾無際。靑山若有情。酒因多病廢。詩或遣懷成。萬慮都消盡。方知止水淸。</text>
<title>遣閟</title>,<text>悠悠世事揔浮雲。一甕乾坤一蚋蚊。南北東西惟所往。吉㐫榮辱不須云。淸風皓月宜樽酒。凈几明窓可典墳。到此男兒休歇大。百年何事苦紛紛。</text>
<title>謾題</title>,<text>一病經旬卧小庵。旅懷鄕思兩難堪。夢中每似㱕田里。醉裏還忘到濟南。韓子幾搖潮海扇。蘇翁新釀惠州柑。腥風瘴霧魂將斷。關外靑牛愧老耼。</text>
<title>用陶彭澤富貴非吾願帝鄕不可期爲韻</title>,<text>北客久南烹。頭邊歲月走。吟痾須藥物。遣悶惟醇酎。橘柚擁前後。喬松來左右。誰云太守貧。可傲朱公富。險道苦難盡。含椒知世味。塤箎少伯仲。箕錦多讒誹。末俗旣如斯。人心不可謂。小山䕺桂幽。五鼎何須貴。報國身將老。酬親計亦違。心丹懸象魏。雲白隔庭闈。世道看看變。羈心夜夜飛。醉鄕眞樂地。無是亦無非。翳翳山將暮。悠悠意轉孤。還飛知倦鳥。亂噪見飢烏。仙嶽當門戶。安期可招呼。塵寰應有事。頻對執金吾。彼蒼臨下土。瞢瞢玄且遠。豐釰未消冤。荊玉空三獻。鍾子楚音悲。鄒陽齊獄怨。曠哉南山皓。軒冕非所願。世兒誇疾足。今古幾顚蹶。東市歎黃犬。華亭悲鶴唳。榮枯何足道。倚伏自相繫。永謝人間事。驂螭朝玉帝。悲秋今宋玉。撫鬢舊馮唐。夢懶知家遠。愁多覺夜長。潮聲底意急。虫語爲誰忙。天日昭昭在。吾將好返鄕。吾生多抹摋。動輒爲人咈。憂世謾區區。懷君空欝欝。長沙賦鵩賈。楚澤紉蘭屈。非不制鄕淚。逢秋不得不。世路狹如船。針氊無穩坐。不願金魚袋。何須紫綬嚲。蚍蜉撼大樹。鴻毛試猛火。物苦不知量。取困其亦可。吾行緣底事。揄袂舊愆追。酒薄邯鄲急。猿亡野木悲。曉砧驚客夢。殘月入虛帷。海國秋將半。言歸已負期。</text>
<title>用杜工部落日心猶壯秋風病未蘇爲韻</title>,<text>身如不繫舟。飄蕩何所泊。鋌鹿難擇險。窮鱗甘處涸。寧嫌噲等伍。但與湛輩樂。吾生一魏瓠。堪笑太濩落。家山隔萬重。音書抵千鎰。未負仲由米。難懷陸郞橘。天涯歲晼晩。海國秋蕭瑟。帳望摧肝肺。監臨惟皎日。萬里靑衫客。三秋碧海潯。嘶風悲北馬。棲木見南禽。物理渾如許。人情自不禁。結趺書咄咄。誰識此時心。窓外三竿日。天邊一葉秋。頻看工部鏡。獨倚仲宣樓。政値觀濤節。難堪去國愁。五雲迷北望。心折此夷猶。碧落纖雲盡。中秋月旣朢。千尋銀闕湧。萬頃金波漾。霽景今宵最。淸光往歲樣。一輪天下共。自詑吾觀壯。蠻方饒瘴癘。絶域寡朋儔。一枕還鄕夢。孤雲戀闕愁。年光磨上蟻。人事邑中牛。畫角催遲暮。寥寥又一秋。地盡天窮處。茫茫絶海中。忘親已失孝。負國又非忠。樹背萱無力。盈樽酒不功。歸舟難解纜。誰阻一帆風。君子貴安分。達人能知命。升沉在彼蒼。貴賤非趙孟。案上雜經史。罇中對賢聖。次公本來狂。原憲終非病。旣不愼桑龜。焉能知忌諱。寸筳試洪鍾。天涯困罿罻。江淮足短狐。南山看薈蔚。遙想故園秋。松菊猶存未。初謂秋風病未蘇以未爲韻。後考本集。乃欲字。故復用其韻。𪆽白非緣浴。鳧短不願續。天賦旣如此。好惡難隨俗。仙區饒景物。浮世忘榮辱。嘗聞安樂法。惟在除五欲。客久仍多病。形容澤畔枯。投書悲賈傅。著論憶潛夫。閉眼談玄牝。開襟散白烏。人生戒識字。千載折肱蘇。</text>
<title>送濟州牧 崔寬 入拜京畿水使</title>,<text>萬里同辛苦。今朝異去留。孤帆歸北洛。隻影卧南陬。寂歷荒城雨。蕭條瘴海秋。舊遊如有問。憔悴雪渾頭。</text>
<title>新月</title>,<text>遠客三秋夜。滄溟萬里天。娟娟一片月。應照北堂前。</text>
<title>夜坐偶吟</title>,<text>寂寂門長掩。無人問馬卿。時携木上座。閒訪麴先生。世事浮雲改。孤忱海月明。是非何處定。寒枕對殘檠。</text>
<title>感懷</title>,<text>忽忽年光晩。天邊事寂寥。百年雙鬢換。萬里一身遙。軒挹蓬壺氣。窓臨浙越潮。平生飛動意。今日此蕭條。</text>
<title>送濟州判官 姜聖佐 入拜訓鍊院正</title>,<text>牧伯超陞向帝畿。判官移拜赴彤闈。不知㫌義何如者。長送人歸獨未歸。</text>
<title>次杜陵傷秋韻</title>,<text>蕭瑟秋將晏。蒼茫對翠微。孤雲歸暮壑。幽鳥入寒扉。睡小盃添酌。愁多帶减圍。何當揚彩服。吾已製荷衣。故國音書斷。他鄕笑語稀。遙憐數叢菊。應待主人歸。</text>
<title>待鄕使</title>,<text>萬里黃花節。三盃竹葉春。風光隨處異。民俗自相親。回鴈何時到。孤雲入望頻。心膓非鐵石。那得不沾巾。</text>
<title>雨夜獨坐</title>,<text>荒城秋雨夜蕭蕭。半壁殘燈萬里潮。魂夢亦知嚴譴意。借眠難得做還朝。</text>
<title>詠懷 二首</title>,<text>秋盡南荒客未廻。菊花時節鴈流哀。光陰滾滾家千里。天地悠悠酒一杯。霜落漢岑楓葉晩。月臨瀛海暮潮催。蠻歌起處愁膓斷。夜夜鄕心未易裁。十年叨竊愧無能。萬事投荒分所應。客裏逢秋臨大敵。愁中對酒見良朋。魂驚落葉三更雨。波撼孤城半壁燈。書一架邊香一炷。使君身世淡於僧。</text>
<title>立春</title>,<text>天地三陽節。蠻荒一病身。固知臣罪大。難冀聖恩新。戀闕魂將斷。思親鬢欲銀。傍人不解意。惟勸洞庭春。</text>
<title>桃符詩</title>,<text>今朝煖律到天涯。處處陽春德意加。動植飛潛俱自得。定應枯木亦生花。</text>
<title>次鄭桐溪贈別成濟州 安義 韻</title>,<text>鶴怨猿驚想弊廬。一身萍掛島中居。天涯魂夢迷㱕路。客裏光陰逼歲除。山接蓬壺仙府近。潮通江浙海門虛。思親戀主空多感。心折如今幾寸餘。</text>
<title>咏懷 辛酉</title>,<text>漠漠春陰久不開。客窓塊坐思難裁。君親兩地關心切。一夜危魂十往來。</text>
<title>戱吟</title>,<text>天君久在愁城裏。坐使靈臺照夕烽。賴有奇兵歡伯將。靑州時奏建瓴功。</text>
<title>卽事</title>,<text>忽忽春將盡。悠悠歲月深。蕭條萬里客。牢落百年心。返照依殘堞。歸雲擁漢岑。支頤終夕坐。愁絶杵歌音。</text>
<title>送遞任馬有感</title>,<text>三載勤監牧。今朝送帝城。嘶風宜戀主。蹴地若含情。爾得承天寵。吾猶滯絶瀛。蠻鄕分去住。人物異枯榮。</text>
<title>無聊中忽憶前年春。與李繡衣成大唱酬事。不覺悵黯。仍次其韻。</title>,<text>坐羡雲端倦鳥還。朝來拄笏對孱顔。塵寰轉覺乾坤窄。物外偏知歲月閒。添雨澗聲來㶁㶁。弄晴禽語聽關關。三盃竹葉陶然醉。寵辱榮枯一夢間。</text>
<title>送春</title>,<text>鏡裏流光兩鬢殘。一春虛送病吟間。故園花落歸期負。遊子何時得賜環。</text>
<title>遣懷</title>,<text>豐獄冤氛射斗牛。濟南千里一孤囚。家山渺渺音書斷。天地悠悠歲月流。世事都輸烏有子。浮名剩得醉鄕侯。跕鳶毒霧愁方寸。深愧當年馬少游。</text>
<title>偶吟</title>,<text>三載虛稱太守名。顚連無救愧民生。淸風一榻閒眠穩。時有流鸎喚晩晴。</text>
<title>天久不雨。麥苗焦枯。望霓之餘。得膏澤可喜。</title>,<text>玄機旋斡在須臾。潤物功深萬品蘇。天地由來均雨露。此身猶作澤邊枯。</text>
<title>雨中書懷</title>,<text>三年海國病相嬰。節物催人鬢欲明。魂逐暮雲天外去。愁隨芳草雨中生。傳書萬里無邊鴈。喚夢千般有晩鶯。獨倚寒窓恨難寫。颶風時送怒潮聲。</text>
<title>送鄭敎授還京 二首</title>,<text>休怪南來易白頭。祇緣頻動別離愁。幾年海曲同辛苦。此日殊方異去留。世事已隨流水逝。孤雲長向故山浮。憑君添寄橆窮恨。三老應嗔滿載舟。思鄕人送返鄕人。把酒臨歧欲損神。蜒雨瘴煙窮海日。落花芳草故園春。浮生聚散渾如夢。塵世悲歡豈是眞。京國舊遊應有問。爲言牢落鬢絲新。</text>
<title>又疊前韻以贈</title>,<text>芳草萋萋古渡頭。送君兼起望鄕愁。三杯殘酒難重酌。伍兩輕飈不暫留。湖海莫言相別恨。乾坤眞覺此生浮。秋風我亦休官去。夢裏煙霞一釣舟。膏火由來煎迫人。不如高卧谷吾神。爲緣圓嶠三生約。虛負終南萬里春。隨分自能安性命。息機堪可葆淸眞。頻驚歲月堂堂去。又見天中節物新。</text>
<title>卽事 回文體</title>,<text>晴晩喚鶯藏岸柳。雨斜飛燕語階苔。淸風午睡閒窓靜。綠篆封來煖酒盃。</text>
<title>戱題</title>,<text>客思悠悠不可刪。賞心惟有六鰲山。却嫌仙分吾偏厚。相對三年未許還。</text>
<title>雨中夜坐。用崔孤雲窓外三更雨燈前萬里心爲韻。</title>,<text>白日門長掩。無由聽喜跫。蕭條危鬢換。寂寞壯心降。得酒甁難卧。題詩筆不杠。何時解佩玦。寄傲對南窓。明時肆妄言。速辜宜顚沛。西瞻山漠漠。北望雲靄靄。已經九折肱。可蓄三年艾。人生貴適意。軒冕浮雲外。莫道人間事。蘧蘧一夢酣。功名滿腹鼴。身世聽雷蠶。只合孫登嘯。何須景略談。無人捫我舌。可復白圭三。遠客南天夜。孤臣北望情。狂踈迷出處。書劒負平生。後嶽多雲氣。前林送雨聲。愁人元少睡。獨坐數殘更。庭前有高樹。夜夜啼杜宇。亦知不如歸。兩腋難生羽。官居雜蛙鼈。羈懷向誰吐。絶域惟高枕。蕭蕭聽海雨。暄寒不並北。况乃病侵凌。入室衣巾濕。開窓霧靄蒸。初非謝世士。今似在家僧。默數平生事。靑熒半夜燈。挐岑高揷翠。靈境古今傳。漢帝求仙日。秦童採藥年。樓船東海濶。秋草茂陵芊。三載遊觀富。吾何讓在前。世多鸚鵡言。俗尙麒麟楦。枘鑿苦不合。好惡亦相遠。人間行路難。林下宜肥遯。浮生能幾何。百年日三萬。可恃蘭作艾。渡淮橘爲枳。植物豈獨然。人心亦如是。誰保歲寒姿。競尙桃與李。世情似波瀾。無何眞我里。靑山長引興。白雪少知音。有趣徐公酒。無絃陶令琴。簷花來馤氣。槐樹落輕陰。漂泊兼衰疾。茫茫遲暮心。</text>
<title>偶吟</title>,<text>海曲暄寒苦不齊。一番蒸熱一番凄。重裘搖扇須臾變。欲叩天閽恨未梯。</text>
<title>老杜詩云四更山吐月。殘夜水明樓。此殆古今絶唱。東坡因其句作五首。仍以殘夜水明樓爲韻。戱效之。</title>,<text>一更山吐月。遠客獨憑欄。萬里今宵色。三年絶海看。桂花秋不落。玉兎夜應寒。欲做三人會。其如隻影殘。二更山吐月。客窻寒影射。徘徊巧相覓。似欲羈愁瀉。我愁深如海。欲瀉無物假。淸光秋更多。歸對故園夜。三更山吐月。天際浮雲起。白衣變蒼狗。蔽此輝輝美。月色本自如。雲氣徒爲爾。何以洗眸子。明河千斛水。四更山吐月。梅影上簾㫌。渺渺驚鴉亂。嗷嗷旅鴈鳴。故園當北斗。孤客卧南瀛。十載滄浪鬢。應添此夜明。五更山吐月。殘角動邊愁。爲悶寰區窄。仍成汗漫遊。仲連思蹈海。魯叟欲乘桴。從古固如此。何須獨倚樓。</text>
<title>戱題</title>,<text>雨兼昏霧霧兼風。如在鴻濛混沌中。須臾開豁分高下。我是三皇以上翁。</text>
<title>卽事有感 五月十三日。見西歸所助防將高山厚所告。有荒唐船一隻浮留於草島禿島之間。卽報于大將。自此所告連續馳至。而輒報于大將。達夜不得交睫。</title>,<text>一葉漂船掛海臯。將軍氣勢凜秋濤。平生謾讀書千卷。不向兵家學六鞱。</text>
<title>西歸所。次壁上韻。以荒唐船事。率軍至西歸所。自五月至六月而罷。</title>,<text>南北兼山海。東西挾兩淵。城荒餘古堞。溝隱引長川。城中有隱溝。入自東城。出注南城內。 世事愁眉外。羈懷醉眼邊。悠悠日將夕。蜒戶起炊煙。</text>
<title>又次壁上韻 二首</title>,<text>萬里南溟捲晩霞。此身重覺在天涯。夜來穩做還家夢。正値秋風理釣絲。獨倚欄干俯紫溟。海天空濶客心澄。白猿啼罷三山色。知在岑頭第幾層。</text>
<title>謾吟</title>,<text>心灰如道侶。面壁似禪參。柳子三逢黜。嵆生七不堪。丘山臣罪大。河海聖恩涵。未效涓埃報。孤忱只祝男。昨日迎冊封中殿赦。故末句及之。</text>
<title>食新瓜戱題</title>,<text>寥落天涯一繫瓜。今年重見濟南瓜。秋風會待瓜期滿。急向靑門學種瓜。</text>
<title>庭前百日紅始開</title>,<text>憔悴三年客。嬋娟百日紅。吾顔隨日改。花色逐年同。晩蝶尋寒蘂。殘蟬咽暮空。悠悠歲將晏。歸思轉匆匆。</text>
<title>七夕</title>,<text>天上靈槎一水通。良宵離合轉匆匆。年年乞巧吾猶拙。睆彼明星亦不公。</text>
<title>次牧使金忠烈韻</title>,<text>瀛洲形勝接蓬丘。征鴈初賓海氣收。物外烟霞知舊債。客邊時序又新秋。百年憂世杯添酌。萬里思親雪滿頭。北闕南州音信斷。一心忠孝兩難酬。</text>
<title>戱次蘇東坡次王荊公韻 六言○二首</title>,<text>叫雲征鴈聲苦。滿榻秋風夢酣。白髮丹心魏闕。靑山綠水江南。雙鬢崢嶸歲月。百年漂泊東西。思歸蹔假蝴蝶。碧海天長路迷。</text>
<title>次李鳴瑞韻</title>,<text>牢落襟懷底處開。客窓聊獨把深盃。殊方節序欺人去。故國烟霞入夢來。風動橘園香揜苒。月移梅砌影徘徊。此時悵望愁多少。况奈秋空一鴈廻。</text>
<title>玩月</title>,<text>一陣金風掃碧空。氷輪高湧橘林東。分明此夜娟娟月。北闕南州兩處同。</text>
<title>得家書。漢望 汝鈵兒諱 始受史略。而頗解文義云。喜不可言。</title>,<text>驥子三年隔。丰容滿眼森。今聞學字敏。且道解文深。義理惟當討。功名不必心。朢乎須着力。可怕馬牛襟。</text>
<title>無聊中偶題</title>,<text>一病三秋白髮鬙。危魂日夜任飛昇。韻無適俗陶元亮。語必驚人杜少陵。北極天高瞻紫氣。南方地熱足蒼蠅。蓴鱸政似江東興。緣底吾身不季鷹。</text>
<title>卽事</title>,<text>天欲今朝雨。山㱕昨夜雲。騷人無一事。塊坐篆香焚。</text>
<title>八月十八日。乃顯宗大王諱辰。三逢是日於絶海。不勝感淚。</title>,<text>鼎湖龍馭遠。梧野暮雲凝。八月今辰又。三年絶海仍。深仁民髓浹。大化泰階升。沒世難忘痛。西風獨撫膺。</text>
<title>初度日 八月二十日</title>,<text>瘴雨蠻煙滿海城。小齋寥落思難平。應知此日門閭望。語及天涯倍愴情。</text>
<title>咏懷</title>,<text>明時叨竊愧多顔。旣有絲麻可棄菅。紫氣想應丹鳳闕。白雲長見太行山。羈魂旅夢迷千里。瘴雨腥風暗百蠻。心折大刀勞北望。任他衰鬢鏡中斑。</text>
<title>戱效俳諧體</title>,<text>觸事搔頭不蹔閒。旣多覯悶且多訕。着枷上使朝朝令。星火施行暮暮關。牧子來呼屯馬斃。鮑人泣訴鰒魚艱。淹留五斗繁霜鬢。却憶陶潛放白鷼。</text>
<title>次濟州觀德亭韵 亭在城中。屋制最宏敞。凡有軍旅宴享。皆設于此亭。後有臺。㙜上有老槐數株。垂陰連𤱈。有矢道粉革對樹。卽州之射塲也。左右列植槐柳。</title>,<text>曾聞耀德不觀兵。且道安民在結情。昭代百年覃惠化。妖氛千里見澄淸。冲庵遺蹟秋山色。上洛餘威大海聲。除却名區遊覽富。客中愁緖若爲平。</text>
<title>毛興穴次金淸陰韵</title>,<text>樹老苔荒帶晩煙。欲尋遺跡已千年。悲凉城郭遼陽鶴。縹緲雲霞碧海仙。臺列七星餘業在。石留三射舊痕傳。一區耕鑿豐平久。民物依然太古前。</text>
<title>聞衙中菊花盛開。送人折來。時繕修衙舍。移寓客舍。</title>,<text>冷蘂踈枝照眼明。折來偏動故園情。賦歸元亮尋荒徑。去國靈均餐落英。脆質不渝霜後節。貞心能守歲寒盟。摩挲三嗅勤相對。爲掇金錢泛酒觥。南菊三逢客未歸。傲霜寒蘂正菲菲。天涯歲晏無人賞。獨挹淸芬倚落暉。</text>
<title>夜聞雷聲 十月初一日</title>,<text>曾聞十月雷爲變。驗得年來信不虛。半夜無端聲隱隱。濟南孤客意茫如。</text>
<title>雨中書懷 六首</title>,<text>霏霏凍雨不成泥。公舘蕭然旅夢迷。欲寫羇懷無可晤。橘林深處午雞啼。愁來無賴醉如泥。極目滄溟去路迷。欲換雙龜人不到。孤懷謾唱鷓鴣啼。此島守令例兼監牧。故佩兩龜。時新倅金應運辭陛已久云而尙未見到。功名富貴等鴻泥。擧世昏昏此醉迷。已向浮榮塵慮息。趨庭何日小兒啼。曾聞蜀道有靑泥。世路艱難去去迷。顚躓十年經歷盡。楊朱何獨遇歧啼。明珠何恨在沙泥。肉眼從來取舍迷。懷寶不須求衒價。笑他當日卞和啼。已將軒冕付塗泥。回首紅塵夢亦迷。南畝把鋤吾計晩。豐年那免細君啼。</text>
<title>夜坐 二首</title>,<text>殊方何事此遲留。雙鬂難禁滿鏡秋。耿耿孤燈寒夜永。一聲殘角動邊愁。絶域何人挽我留。飄零行色已三秋。一帆歸去無多日。强把深盃莫浪愁。</text>
<title>登戀北亭 十月十五日。發行到十里地。與新倅交龜。在朝天舘侯風。</title>,<text>昨別瀛洲舘。今登戀北亭。三年投絶域。萬里俯滄溟。驚盪魚龍闘。微茫島嶼靑。飄飄歸興逸。兩腋欲生翎。</text>
<title>書悶 在朝天舘</title>,<text>涉月淹留古渚宮。天翁何愛一帆風。遙知朝暮門閭望。多少行人指點中。</text>
<title>夜坐</title>,<text>古館孤燈坐寂寥。撼城波浪徹寒宵。天翁若解吾心事。應遣黿鼉作海橋。</text>
<title>次林白湖海濤撼城韻 十一月初三日。北風大作。上城頭北望。則驚浪大起。海天若接。千疊厚雪。飛洒相湯。滿眼皆成銀界。尤不堪客懷。</title>,<text>黑風驅海若。厚雪灑孤城。攪枕魂先悸。掀天夢亦驚。中宵來萬念。塊坐到三更。何日田園去。潺湲聽水聲。</text>
<title>贈別三童子 幷小序</title>,<text>余自投荒以來。魑魅之與處。魚鰕之與儷。悁悒幽鬱。無可晤語。一日邑子金羽京，金興緝，吳廷臣三童子。執束脩之禮。請學於余。目其貌。醇雅而靜。叩其中。聦穎而好學。講文義則雖不盡解。能通大義。亦荒裔之傑然者也。朝夕與處。提撕敎導。不無進益之效。足以破却窮愁而消遣世慮。亦謫居之一好事。夫閩越瓊州。乃是偏荒絶海之地。有大賢者出。變爲禮義文明之邦。則天之降才。不以內外遠近而爾殊也。今此三童子。皆年富力強。因此不懈。日邁月征。則安知異日不成就其德。蔚爲世用。使海外遐裔之地。化爲禮樂文物之鄕乎。諸君其勖哉。若夫安於小成。不求進就。終止於今日而已。則甚非所望於諸君。然諸君豈爲是哉。解歸之日。遠來爲別。遂書二絶以贈之。虛設緇帷愧滿顔。相傳句讀二年間。曾聞不息工夫大。一簣終成九仞山。男兒志業在伊顔。千里行從一足間。莫道耽羅爲絶域。瓊州曾亦有瓊山。</text>
<title>在禾北浦題壁</title>,<text>潮生禾北浦。雲擁漢拏山。萬里思㱕客。蕭然獨揜關。</text>
<title>朝天舘。次金斗巖韻。</title>,<text>金雞飛下海天涯。千里家山入望賖。歸程正値嚴凝節。不見當年驛路花。</text>
<title>輓李懷德 鼎基</title>,<text>淸江門下有斯人。文彩風流尙未湮。葉縣飛鳧由異蹟。湘潭愁鵩泣孤臣。庭多寶樹方知慶。壽過稀齡可驗仁。乖拜前春今又訣。此生何處更追塵。</text>
<title>題雉岳山人宗學軸 甲申</title>,<text>門掩蒼苔晝不開。小軒便腹睡初廻。蒔花澆草無餘事。時有山僧乞句來。</text>
<title>輓李參判鳴瑞 乙酉</title>,<text>范馬爲兄弟。其惟姓不同。芝焚那忍慟。白首泣西風。</text>
<title>寄贈湖南伯洪天叙 重夏○丙戌</title>,<text>一別東華隔幾年。舊遊回首祗依然。君今仗節湖南去。我亦頤神嶺外眠。浮世是非何日了。暮途離濶更堪憐。雕輿行李人爭艶。報答其如聖渥偏。</text>
<title>挽姜鍾城 汝㦿○二首</title>,<text>襟懷蕭灑絶纖塵。人道吾南第一人。粉署薇垣優聖渥。虎符龍節映殘春。官終頂玉猶多憾。廉到辭金亦罕倫。耆洞風流今寂寞。西門他日更沾巾。憶曾東洛識荊州。世事悠悠二十秋。塞北風霜公剩飽。濟南波浪我偏愁。自歎隔歲違靑眼。誰道今朝哭白頭。泉下想應逢酷似。匣琴流水舊聲收。</text>
<title>送李使君之任耽津</title>,<text>春盡東華客未歸。送君南浦倚斜暉。聽潮樓上應相憶。一札遙憑北鴈飛。</text>
<title>葛庵李公 玄逸 挽</title>,<text>粹氣鍾河嶽。惟公禀賦全。高文追大雅。邃學繼前賢。巖壑探眞趣。瑤琴理絶絃。風雲千載會。雨露一時偏。淸廟華鍾韻。明庭瑞鳳躚。日三筵上接。歲五太中遷。啓沃資皇道。論思荷聖憐。少微環北極。卿月耀東銓。進退關時命。滄桑互遞傳。丹忱憂漢室。白首吊湘川。天地流新渥。田園送暮年。靑襟紛考問。黃卷幾磨硏。跡屈心逾泰。道窮操益堅。斯文嗟蹇厄。吾道覺迍邅。木稼災還慘。儒林痛忽纏。踈蹤曾忝御。末眷賴推牽。笑語春生座。襟懷月照淵。秖今知已矣。追憶倍潸然。惆悵眠牛卜。悽凉飛旐翩。夜臺長寂寞。泉路若因緣。衰老兼嬰疾。單杯阻漬綿。公私無限淚。遙灑錦江邊。</text>
<title>輓趙持平 德純</title>,<text>龍庭再進再居魁。名動京城吐鳳才。驥足方看千里展。蘭芳那意一朝摧。春萱幾日門閭望。琴瑟雙旬生死哀。孤櫬獨歸偕去路。鴒原酸痛若爲裁。</text>
<title>輓張進士仲文 璇</title>,<text>蓮榜聯名托弟兄。襲薰深結歲寒盟。相逢幾得團圝好。蹔別猶嫌鄙吝萌。豊賦嗇年天不必。有才無命理難明。盈庭停峙皆鸞鵠。少慰朋知痛哭情。</text>
<title>輓李大憲 元祿</title>,<text>堂堂超俗士。蹇蹇匪躬臣。美玉無瑕累。良金絶點塵。高名懸斗極。重望動朝紳。按轡澄淸日。持綱振肅辰。層霞展逸翮。大壑縱脩鱗。鴈序維邦翰。鸞停又席珍。于門容駟馬。楊室盛軺輪。方賀餘休遠。俄驚巨禍臻。芝焚咸歎惜。玉碎共悲辛。剝復元相敓。陰陽自互因。洪恩施霈澤。深枉快開伸。將雪窮天痛。還爲入地人。阿咸應列侍。棣萼定同茵。爲報塵寰事。難堪血涕頻。重壚今忽閉。厚夜幾時晨。夙昔尋軒屛。踈慵荷眷親。十年猶恨別。萬事遽成陳。殄瘁云亡痛。呑聲淚滿巾。</text>
<title>挽金大諫 邦杰</title>,<text>漆室憂時事。靑山送故人。吾宗嗟不祿。孤抱向誰陳。存歿惟雙涕。乾坤尙此身。一歸終不免。泉下更相親。</text>
<title>柳百拙庵 稷 挽</title>,<text>白玉樓成四十春。忽聞脩墓更傷神。鳳凰芝草皆知瑞。薰臭蘭芳舊愈新。百歲庶幾斯道正。一封非爲此身陳。追惟先友今誰在。孤露人間鬢已銀。</text>
<title>挽柳▣▣ 世輝</title>,<text>追憶班荊已八年。繼尋先好倍驩然。猶嫌隔歲違顔範。那意今朝失士賢。浮世五旬仁不驗。眼前雙玉慶宜緜。平生分義吾偏厚。一字題來一涕橫。</text>
<title>挽柳諮議 後章</title>,<text>在木楩枏在玉琳。相公遺澤未銷沉。春坊淸顯人爭艶。秋月襟懷我獨欽。溪院昔年歡共枕。夜臺今日哭知音。南州冠冕蕭條甚。一慟公私爲士林。</text>
<title>輓金文瑞 漢奎</title>,<text>伯仲塤箎迭唱酬。平生何處不同遊。靑燈溪院硏磨夕。白酒枌鄕稧飮秋。一別前冬兼醉夢。九原今日隔明幽。知音四海終誰在。雙袖龍鐘淚未收。</text>
<title>寄贈金懋哉 懋○二首</title>,<text>旱餘靈雨灑林坰。慰滿田家喜氣形。恨隔南山豹隱老。悠然終日倚窓欞。淸秋霽景滿郊坰。雲捲南山始露形。安得墻頭數斗酒。共君終日對風欞。</text>
<title>輓琴司藝 聖奎</title>,<text>少年歡最甚。白首意偏深。孝友由天賦。寬仁起衆欽。人言才且藝。我愛貌如心。流水瑤絃絶。從今廢匣琴。</text>
<title>輓金護軍 煃</title>,<text>吾宗從古固多賢。世德惟公屬望專。穆穆家庭遺訓在。彬彬詩禮舊聲傳。三尊天下誰兼有。五福人間獨嚮全。前輩風流今寂寞。鶴山新月更悽然。</text>
