<title>書釼柄</title>,<text>离宮抽太白。霜拍廣寒流。牛斗恢恢地。神游刃不游。</text>
<title>原泉賦</title>,<text>惟地中之有水。由天一之生北。本於天者無窮。是以行之不息。徵一泉之觱沸。異杯水之坳覆。縱初原之涓涓。委天地而亦足。非有本則不然。類人身之運血。或一暫之止息。天地亦有時而潰裂。同不死於谷神。實氣母之沆瀣。故祀典之崇本。必先河而後海。思亟稱於宣尼。信子輿之心迪。推洊水於習坎。宜德行之素積。究人事之下行。根天理之上達。萬理具於性本。混潑潑而活活。隨取用而有餘。猶窟宅之生出。合川流而敦化。皆大本之充實。配悠久於博厚。歸萬殊於一極。是誠者之自然。河漢浩而莫測濬不喩於天淵。但魚躍之洋洋。發大原於崑崙。彌六合其無方。巨浸稽天而漫汗。曾不撓以使濁。火輪燋土而爀烈。庸詎殺其一勺。而君子之致曲。尤有大於立本。學不積則不厚。等聚溲而海問。苟靈根之不渴。沃九土其難涸。見寒泉之勿幕。人百槹其猶若。戒曰。心以應事。百感搖挑。學以爲本。感罔能擾。可汨則無本。可擾則用熄。敬以涵源。本乎天則。</text>
<title>民巖賦</title>,<text>六月之交。灎澦如馬。不可上也。不可下也。吁嘻哉。險莫過焉。舟以是行。亦以是覆。民猶水也。古有說也。民則戴君。民則覆國。吾固知可見者水也。險在外者難狎。所不可見者心也。險在內者易褻。履莫夷於平地。跣不視而傷足。處莫安於袵席。尖不畏而觸目。禍實由於所忽。巖不作於谿谷。怨毒在中。一念甚銳。匹婦呼天。一人甚細。然昭格之無他。天視聽之在此。民所欲而必從。寔父母之於子。始雖微於一念。一婦終責報於皇皇上帝。其誰敢敵我上帝。實天險之難濟。亘萬古而設險。幾帝王之泄泄。桀紂非亡於湯武。乃不得於丘民。漢劉季爲小民。秦二世爲大君。以匹夫而易萬乘。是大權之何在。只在乎吾民之手兮。不可畏者甚可畏也。嘻噓哉。蜀山之險。安得以僨君覆國也哉。究厥巖之所自。亶不外乎一人。由一人之不良。危於是而甲仍。宮室廣大。巖之輿也。女謁盛行。巖之階也。稅斂無藝。巖之積也。奢侈無度。巖之立也。掊克在位。巖之道也。刑戮恣行。巖之固也。縱厥巖之在民。何莫由於君德。水莫險於河海。非大風則妥帖。險莫危於民心。非暴君則同胞。以同胞爲敵讎。庸誰使而然乎。南山節節。唯石巖巖。泰山巖巖。魯邦所詹。其巖一也。安危則異。自我安之。自我危爾。莫曰民巖。民不巖矣。</text>
<title>軍法行酒賦</title>,<text>酒猶兵也。不戢將自伐矣。矧乎樂勝則亂。固宜折衝樽俎之列。獨何人兮劉氏子。堂堂氣聳之如山。毅然制非常之法。以處夫非常之艱。是直拔亂反正之器。夫豈小丈夫然哉。曾乃祖之好武。慢禮義而不先。酗拔劍而擊柱。夫孰賓交之秩秩。顧家老之旣亡。紛衆孽之翐翐。母嚚子庸臣慠。邦之危兮杌隉。彼諸呂之睥睨。謂吾家之閫闑。與之奪之自我。又濟之以殺戮。焚如突如死如。一室之內。盡是敵國。當是時也。欲以糠粃之禮而制之。比拔山其猶難。循循然俯首而聽命。又非朱虛之所安。視盤筵之叫呶。等操戈而入室。奚至於相猶而已。蔓難圖矣非日。差差白刃之在腰。奮一擊而欲襲。矧軍令之所尙。乃漢氏之家法。是呂氏之所安。亦不忤而見許。俄一人之干令。遽首足之異處。四座相顧而失色。非但股慄而膽亦掉。亦皆曰失酒而可斬。苟犯義者何保。劉氏章者最可畏。吾等謹避而已。昔也狼戾而虎嘷。今焉稽首而就屍。終呂氏而莫敢誰何。實由於今日之酒。使之屹然鎭一代金湯之險。視綿蕝其何似。是知人不可無義氣。無義氣男子可烹。獨惜夫漢家之無法。以軍法而爲侀。王庭非流血之地。刀鉅異鍾鼓之聲。曷若制之以禮。君君臣臣。分如天淵。袵席之猶不可亂。而况於穆穆天子之前。體天險者。無如禮矣。人孰勝夫天哉。一介孤孫。得之則劉。失之則呂。蓋亦匹夫之行矣。重嘆夫無禮則國亡。劉不呂者幸矣。</text>
<title>贈成東洲[成悌元號]</title>,<text>斗縣無公事。時時入醉鄕。目牛無全刃。焉用割雞傷。</text>
<title>謝僧送圓扇</title>,<text>曾將飛錫訪。太謝太顚勤。更寄團團面。分來一桂根。</text>
<title>無題</title>,<text>霜入楚王宮。潮通夔子國。不是納亡人。君心先自惑。</text>
<title>無題</title>,<text>服藥求長年。不如孤竹子。一食西山薇。萬古猶不死。</text>
<title>贈金烈</title>,<text>堯舜生知聖。其他學後賢。君今齒尙潔。庶可以光前。</text>
<title>書張判官衣</title>,<text>高山何太高。決眦送秋毫。海天應萬里。明日夢相勞。</text>
<title>贈吳學錄</title>,<text>篕簪山北寺。箇箇比龍鱗。豆子看來熟。蘭叢對有隣。卽懷風振木。曾噎義寃人。無以佳賓餉。棌之南澗濱。</text>
<title>無題</title>,<text>題柱初年志。機應不在營。身心迷道路。歲月自崢嶸。謗逐靑衫集。愁從白髮生。夢中休說夢。何事不關情。</text>
<title>挽朴虞侯</title>,<text>鰲角三峯底。於君高大門。辰韓瓜瓞遠。曺氏渭陽分。油幕都侯掩。殷川石季倫。隣舂不相杵。零落半山雲。</text>
<title>挽裵生</title>,<text>老星南海夜偏長。家有龍媒未見驤。無復猩林猩首會。彈絃餓鴞呌斜陽。</text>
<title>無題</title>,<text>平野遙靑貫岳山。祖江漫汗海西間。楊花吹盡芳洲岸。睡到漁隈燕語竿。</text>
<title>川上吟</title>,<text>西去還同鷓鴣南。無生蛾子不如蚕。高歌佛浦當時事。兀坐荒溪似久瘖</text>
<title>司馬所宴</title>,<text>遼鶴依依愴客情。故邦深鎖野烟平。看露龜峯城北古。徐生馬海日南淸。高堂按去梁州晩。美酒寒來軟霧生。今年莫作前年恨。冬至明朝又一蓂。</text>
<title>無題</title>,<text>一絲無補聖明朝。兩鬢徒看長二毛。自識淮陰非國士。由來康節是人豪。時方多難容安枕。事已無能欲善刀。越水東頭尋舊隱。白雲茅屋數峯高。</text>
<title>與退溪書</title>,<text>百年神交。直今違面。從今住世。應無幾矣。竟作神道交耶。人間無限不好事。不足介懷。獨此第一含恨事也。每念先生。一向宜春。猶有解蘊之日。尙今未焉。斯亦幷付之命物者處分矣。近見學者。手不知洒掃之節。而口談天理。計欲盗名。而用以欺人。反爲人所中傷。害及他人。豈先生長老無有以呵止之故耶。如僕則所存荒廢。罕有來見者。若先生則身到上面。固多瞻仰。十分抑䂓之如何。伏惟量察。不宣。甲子季秋十八日甲末。楗仲。</text>
<title>與柳海龍書</title>,<text>曾逢枉訪。續之以玉音。良謝。君之爲文。豈類徘優也。伹文理不續。語不成辭。人且吹余謂聾者之咸韶。且君之爲人。政類耽羅山馬駒。不加羈的。何以成德驥也。江表有柳君明仲者。爲人謹孝。請君往從之何如。毋使老夫作爲羊公之見。而使君爲羊公之鶴也。</text>
<title>答慶安令書</title>,<text>年前。植亦幸聞旆到南鄕。未獲承顔。今者。忽蒙玉音委及窮巷。因審行候萬康。慰謝無量。曾栖僻陋。時有山僧到門。猶復倒履迎門。况王孫見枉耶。植邇來。眩證甚劇。燕坐一室。閔然仆席者日再。已作繭蠶。無出頭之日。因與人絶。明公何以知悉耶。况時議更重。朝夕剝膚。省愆深伏。萬不欲與人開口。高賢宜所量照。垂死之日。坐見玉問。谻阻手顔。懷恨如丘。伏惟尊照。謹拜謝。</text>
<title>答人書贈</title>,<text>雪丈。書重物何。書可物否。留可還否。附答書 成大谷千里之遠。再見故人手字。情懇語苦。泫然不知涕之零也。得禪僧口報。書所未及者又多。吾喜其自公所來。言公事頗詳。與之語。竟夕不知倦。僕獲罪於天。去歲季春。仲慮兄女以疫死。吾哀其失爺。取養于家。相依爲命。今忽焉損背。顧我嬴老。其將曷歸。余不知天之忍也。摧傷之餘。衰病增加。骨肉枯盡。已成怪物。又得氣證。往往而劇。呻痛之中。每念諸兄殞喪。朋友盡歸丘山。獨吾與君數人。僅屬如絲之命。又各在地隅。非徒會面無日。書亦斷絶。山齋獨坐。見月遙思於天南者。不知凡幾夜哉。公雖云有疾。神明所祐。必有眉壽。孽兒亦吾之分體。呼爺孃稠集膝下。亦足以資一笑。今又得頭流。枕雲大臥。聽泉看石。養性自適。非天之所借。曷能享有此樂。比僕之冷淡生活。萬萬有加。多羨多羨。未見書。以得見書爲喜。旣見書。以不得見面爲恨。情之無窮也如此。書不盡意。百不一宣。</text>
<title>涵虛亭記</title>,<text>嘉靖丁未春。金令公秀文增斯亭。其廢也小如莒。其復也大如楚。靜而默會。雲八夢九。都在一鏡中也。萬物無實於太虛。虛則涵之而白。內方而制外。抑見見者扁之。聞聞者構之耶。嘗聞觀室者觀其隅。乾坤之與六位。幷列於八方而爲隅。方於隅者。庸非虛中出者耶。捨東楹辭燕樓。必於淵淵地會神者。殆於謀野之意乎。金令公拔自弓劍。討文如儒。斵輪意匠。不以指稽。此爲政之緖餘。未足觀其人之大方也。惜乎。其人去而其政亦去之。獨心跡之所留者。猶在是也。後之入室者。當不以室視之。其人視之。可也。</text>
<title>書景賢錄後</title>,<text>○先生相與執友同棲。鷄初鳴。共坐數息。他人纔過一炊皆失。獨先生歷歷枚校。向明不失。此事親聞於李相長坤。○先生爲部參奉時。鬼服百戱。一依上官所指。後生以其苟從合汚爲嫌。先生當時。自知名重。不欲自別於庸人。非大賢以上。固不及此矣。○先生始號爲簑翁曰。雖逢大雨。外濕而內不濡。旣而改之曰。爲名以露。非渾然處世之道也。觀此兩事。則先生德器謹厚。出於天性。人禍所不及者。而終不免者。天也。○先生爲佐郞時。馳見辛進士永禧氏曰。今日吾當絶君。觀今士氣。且類東漢之末。朝夕禍起。如我則禍已迫矣。進退無及矣。請君遠遯鄕曲。不者。吾卽相絶。肯聽我言否。辛公忽引去斜山下。號安亭。安亭嘗與南孝溫，洪裕孫軰。結爲竹林羽士。文章行義。爲一時領袖。搢紳東南行過者。無不禮於其門。觀此則先生非不知時事幾微。豈是不能見幾於未形者也。○先生之貳於佔畢齋。亦不得無議於他日。此實先生不得不貳之地也。○先生於秋江病革之時。往問之。拒不相見。先生與一友生。排戶直入。秋江面壁而卧。終無一語與訣。秋江曾與先生相絶故也。秋江相絶。未知爲何事也。獨計先生何嘗有失於名敎者乎。恐秋江見高。已知士禍熾發。曾欲絶交息遊者耶。先生欲絶安亭。秋江已絶先生。時事艱危。有非哲人所不能免者耶。○李長吉。非有別人也。一時名類。殆未易敵。此當時稱子賀，希剛。共生一家。俱是間氣所會。子賀文章。三倍甲科。當時有一好事者觀之曰。兩君皆爲當國之器。子賀宜出而爲將。希剛當入而爲相。子賀喜曰。諾。因决武擧。及後狼戾無狀。人爭唾罵。秋江論寒暄門人茂才篤行如其師者。有李長吉云。</text>
<title>通訓大夫光州牧使辛公墓銘 幷序</title>,<text>辛氏系出靈山。爲東國右宗。猶尹詰於周也。公諱崙。字景立。玄祖諱斯藏。仕高麗。爲典工判書。高祖諱劑。爲郡事。娶宗簿寺正鄭仁慈之女。生節度使俶晴。是公之曾王父也。郡事當麗季。賊肫慕其名。欲托以同宗。怵以禍福。竟不屈。祖諱秀武。爲黃州判官。考諱弼周。爲參議。娶昌原黃氏。生公。參議公中弘治丙辰進士。燕山政亂。遂廢擧子業。至正德丁卯。中中廟文科。有文武長才。顯揚中外者四十餘年。公少好文。甫十五歲。中進士鄕選。嘉靖丙午。登第。辛氏世樹家聲。藍田生美玉。固也。始調授成均館學正，博士。陞典籍。遷刑曹佐郞。伸寃撥伏。曹吏逮事參議公之爲正郞者。稱之爲淑同如正郞。庚戌。授慶尙道都事。兼春秋館記注官。是年十月。丁外憂。哀毁踰禮。躬執奠饌。定省慈闈。不入燕室。壬子年。除咸鏡道都事。以母夫人之遠。不就。遷禮工刑曹正郞。爲養親乞醴泉郡。又乞爲寧海府使。癸亥秋。又乞爲光州牧使。母夫人以年老不任登道。遂棄官歸養。躬自滫瀡。己丑五月。以疾終于家。享年六十二。娶宣務郞南廷召之女。廷召娶竹溪節婦府使安璋之女。生夫人。是生二子。曰汝謹，汝誠。女嫁司成陳瓘子裕慶。汝謹娶生員郭之元女。生一男曰膂。女幼。汝誠娶經歷張世沈女。生一男曰胤。公狀貌嵬峨。質性醇厖。事親孝。理民和。應事接物。以實以誠。言不美華。行無虛僞。鄕里稱其孝。位不稱器。爲人所惜。夫人端雅有婦規。先公十年卒。汝謹以某有分於先公。且以爲不諛。來乞銘。銘曰。馬浦之北。靈鷲有神。周楨之降。其辛維申。簪纓爪瓞。非㪍其起。仁者之壽。於參議。仁者之不壽。唯牧使。賢勞之獨。三已其位。敬色之勤。累朱其轓。惟鄕國有臣。惟玄考有昆。而曾參莫養。而黃媼抱孫。皐皐景立。不瞑爾目。何以樹之。雙白之其。君之淵兮子之山。傒我侯兮天送之。後千香絶。石乎在玆。隆慶元年丁卯十二月十七日。友人南冥曺某。撰。</text>
<title>護喪所吊狀[成大谷]</title>,<text>自千里之遠。發使告哀。此豈今人事。得人傳語聞訃。逾三日得見下狀。果與前所聞者不謬。南向大哭。呼天而天不語。罔極奈何。斯人吾不敢與之爲友。仰之若喬嶽。敬之如嚴師。樑摧奄及。吾將安倣。雖所居絶遠。若人鬼之不相見。時有以書問相及。擬代顏色。且喜各保性命。頗自慰解。今也見背。獨生何樂。吾欲速化。相尋於泉壤。然死者之有知無知未可知。則此亦何可必也。官家方興大役。家僕止有數箇。盡在縣庭執事。玆未亟發遣健力。奔問子妾之侍在几筵者。此恨如何。借來使之力。賻布二端。祭果棗三斗送上。家貧。力不從心。尤尤恨恨。壬申二月日。成運得氣證。朝夕爲鬼。</text>
<title>德山書院重修奉安告文[鄭仁弘]</title>,<text>震來之厲。當躋于陵。棟撓奈何。七日斯得。舊址再構。廟位重新。于妥于寧。瞻依有所。幸我來學。白賁斯文。從配有人。永保不孤。</text>
<title>香川書院重修奉安告文[鄭仁弘]</title>,<text>晦山頹燬。群子靡依。天作一區。載卜載築。神人齊力。工告訖功。妥靈位成。涓吉從事。茀喪七日。得自有時。儀刑在玆。宜用享祀。虔共一獻。庶其右之。百世無艱。佑我後學。</text>
<title>春秋享祀祝文[鄭仁弘]</title>,<text>學成敬義。道合中庸。以遯而亨。百世不惑。</text>
<title>挽章[林葛川 名薰]</title>,<text>挽回世道吾君事。不是山林謾索居。若把古人論次第。伊川千載問何如。</text>
<title>挽章[朴啓賢]</title>,<text>道義方知樂。風塵不拜官。危言動聖主。寒膽死權奸。兩部成書在。千秋具眼看。飄零天地紀。衰淚重汎瀾。</text>
<title>挽章[朴啓賢]</title>,<text>天上星光滅。人間樑木摧。存心經世務。屬望濟時才。舊日蒲輪客。今悲絮酒抔。一爲多士痛。不敢哭吾哀。</text>
<title>挽章[金彦麟]</title>,<text>夫子居山海。英聲徹九霄。芥輕千駟馬。樂任一顔瓢。闔闢乾坤在。經綸歲月遙。其南道已喪。何處挽仙軺。</text>
<title>挽章[許曄]</title>,<text>君子存於世。人情若倚山。先生奄忽逝。後學更誰攀。落落風聲地。明明警覺開。秪今嗟已矣。烏得不潛潛。</text>
<title>挽章[許篈]</title>,<text>曾抱陶山慟。徵君又我違。丹衷憂國意。白首製荷衣。人望推喬嶽。天星落小微。傷心羊季淚。復向嶺南揮。</text>
<title>挽章[許筬]</title>,<text>一夜妖星犯小微。忽傳南國玉沈輝。山林每有傷時歎。事業長爲杜德機。不復瑤琴參妙訣。空餘寒月照柴扉。生蒭辜負思賢意。淸淚無端更滿衣。</text>
<title>挽章[尹根壽]</title>,<text>殄悴驚連歲。天心莽未窮。山頹人孰仰。學絶道誰東。汾水餘寒月。雙溪響晩風。摳衣平昔願。今日竟成空。</text>
<title>挽章[李忠綽]</title>,<text>龍夔交薦怪騫辭。扶鼎誰知在一絲。顔巷未能忘瓢飮。虞庭何泌賀衣垂。封章累切匡時略。卽木虛廻問疾醫。連歲斗南驚萎哲。泫然非是爲吾私。</text>
<title>識[文景虎]</title>,<text>向在壬寅年間。我來庵先生與一二同志。慮先師遺響無傳。收拾詩文若干篇。入榟于伽倻之海印寺。印布未廣。藏閣遽灰。吁。不幸甚矣。後數年。更起刊役。許生從善。寫出刊本。柳巡察永洵。亦助工役。功一歲而告訖。於是乎賫紙求印者。動以百數。此亦幸之大者也。第此書非得於先生手本。後軰捜輯。皆出於兵燹之後。傳誦之餘。故文字之間。不免有舛謬者。詩文之中。亦頗有脫遺者。更加蒐聚。隨得隨錄。亦總數十板。自上年十月。始追刊。續補卷末。而舊本之訛字闕字。亦更考校而改正之。雖得粗完。然亦安保其盡得精當。而不失其本眞也。噫。斯文之興喪。天也。秦火之餘。六籍猶存。先生詩文。亦不隨火遂沒者。以不沒者存故也。庸非天乎。景虎生也後。常以未及灑掃於先生之門爲恨。伏讀先生之文。尤不任高山景行之思。略記刊本顚末。以備考閱云。歲己酉春正月。後學烏山文景虎。謹識。</text>
