<title>次景淳韻 尹㵓</title>,<text>石巒秋霜厚。紅葉爲誰粧。有約人來晩。前郊已夕陽。</text>
<title>贈定牧</title>,<text>二載西遊在定州。有時談笑與消憂。蒼顔白髮眞相似。客意朋情可久留。老矣已難供世用。歸歟端合爲身謀。南還應在烟花日。驛路思君幾上樓。又腰間金印領雄州。朝擧唯良代聖憂。幾變星霜成隔𤄃。偶逢萍水得淹留。交游意味全吾事。平定艱危仰廟謀。昨夜河郊春意動。傍城楊柳待登樓。</text>
<title>用思字遣寂</title>,<text>賸願高吟乏意思。倚城南望屢移時。勳名事業何能致。泉石膏肓竟未醫。庭院月臨松有籟。江湖春至鴈先知。客窓岑寂難憑伏。無限鄕愁幾首詩。</text>
<title>踏靑日獨坐</title>,<text>雨意和烟不肯明。故敎芳草夜添生。侵凌冰壑還遮道。粧餙河橋且入城。物引風光供令節。人猶覊旅欠懽情。幽懷難制眞難畫。憑伏新詩畧寫成。</text>
<title>夢思</title>,<text>倦客思鄕病日侵。強携藜杖陟東岑。村烟散出天篩玉。野火遙奔地湧金。直海波光迷遠近。遶城山勢自高深。黃昏觸目添愁緖。飛鳥依依返故林。</text>
<title>漫成一律。奉寄退憂令案。</title>,<text>白髮紅塵苦見侵。便辭城郭返江陰。蕭條草逕連禾隴。寥寂茅齋傍栗林。莫說便身存晩計。每因憂世起長吟。今朝喜値葵花雨。自笑栽培似有心。</text>
<title>題龍灣小亭</title>,<text>小亭瀟洒創何年。只用茅茨與細椽。簷月入窓分野外。遼山當戶落河邊。萍蓬蹤迹同千里。詩酒情懽在一筵。萬事向來渾莫問。習池誰是竹林賢。</text>
<title>次永嘯堂板上韻</title>,<text>此生何事失良儔。萬里關河有薄遊。鐘鼎勳名終莫致。林泉途道亦難修。思鄕對酒挑衰興。杖鉞臨邊乏壯猷。月滿碧油幢下靜。夜深來倚庾公樓。</text>
<title>癸卯踏靑日漫成</title>,<text>玉塞黃雲晩始開。起驚佳節已重回。風匀遠水晴光轉。日照垂楊淑氣催。身中沉痾成瘦骨。酒因孤興厭深盃。遙知江國茅茨宅。庭院無人長綠苔。又笛裡梅花欲半開。二年遊客不能回。沿南歸路長長遠。向北來鴻去去催。世事關心頻撫劒。鄕愁如海任傾盃。病中不覺春光晩。寥落空階已上苔。</text>
<title>制勝堂。次壁上韻示幕僚。尹長卿</title>,<text>幽懷難瀉自搔頭。謝去軍容蹔出遊。酒話憂時空骯髒。妓歌傳譜劇和柔。眼前逸樂須多取。身後榮名詎可籌。矍鑠據鞍傷暮景。聖恩無限不能酬。</text>
<title>次雉城題詠</title>,<text>丘壑長辭寂寞濱。宦遊多病鬂霜新。耳重聽鴈聲難續。眼暈看書字不均。鄕路每勞千里夢。驛程空染二年塵。覊心自是懷歸苦。非爲天涯去國人。</text>
<title>咏北靑蓮亭</title>,<text>誰開城畔種紅蓮。幽僻依然有地仙。魚制萍根微吐沫。柳藏潭水不生漣。今朝語笑逢愁裡。是處繁華憶亂前。對酒披香歸意懶。客心偏戀主人賢。</text>
<title>送韓歙谷 濩</title>,<text>王城八月秋光好。剛羨仙區有此行。挾路菊枝黃暈嫰。滿山楓葉赤霞明。𩿨歸海嶼珠裳竝。馬入沙汀玉佩鳴。岣嶁丹砂須乞與。共君離世去長生。</text>
<title>贈山人</title>,<text>霜雪千層積鬂端。一生無術住朱顔。功名已矣違鐘鼎。魂夢何爲在海山。空羨高僧棲物外。自憐衰骨滯塵間。偶然邂逅仁王下。對榻焚香意蹔閑。</text>
<title>送曺楊口 胤祉</title>,<text>今君出守爲楊口。地位淸高事事幽。風引長川喧席次。月從滄海到簾鉤。山圍古舍如僧舍。人絶名流只道流。老境便身無過此。比之何啻古諸侯。</text>
<title>二樂亭。次呈主人案右。</title>,<text>謝紛能得早歸山。仍置林亭水石間。樵逕遠臨烟野𤄃。漁舟分占渚𩿨閑。淸空自有高人素。幽僻曾爲富媼慳。我亦將尋江上宅。借君波浪照衰顔。</text>
<title>朝天路中吟</title>,<text>觀周行色滯遼城。瘴海秋霖苦未晴。窓外新愁添雨脚。故鄕歸夢伴蛩聲。山河不厭梯航路。環珮將趨玉帛庭。完事來時身益老。海西荒野永歸耕。</text>
<title>送人之任狼川</title>,<text>笙鶴茫茫失藥壺。只因君去憶仙區。亭松夜寂沙𩿨定。鏡水秋晴海月孤。物外烟霞歸夢想。人間霜雪滿頭鬚。平生岣嶁今綿邈。能取丹砂遠寄無。</text>
<title>次皇華集。三月二十四日奉命出京。</title>,<text>行裝三尺劒龍泉。壯志唯思踏四埏。玉節初分仙仗日。錦袍猶惹御爐烟。雍容禮度觀瞻肅。彪炳聲名道路傳。中國有人今已信。美談長在海東邊。</text>
<title>出山海關 正使金湜，副使張珹。</title>,<text>野𤄃風多海有聲。出關初豁遠遊情。秦山直北頑雲卷。薊樹迤東旭日生。村店墻花臨路落。野橋潭水照天淸。陽和一路風塵靜。萬物從今享太平。</text>
<title>過八渡河</title>,<text>沙平岸𤄃石盤陀。駐馬呼舟渡古河。濠水蘋花沿路亂。驛村人語隔墻多。吟詩意逸眉長結。戀闕愁深鬂欲皤。行役迢迢歸日遠。夕陽聊復聽漁歌。</text>
<title>過鴨綠江</title>,<text>海風微起水增波。徐進蘭槳傍岸過。塞野天低岑黛少。驛程烟斷柳行多。前駈盈路翻朱旆。供帳連雲殷畫螺。千里關河歸歷覽。一方形勝問如何。</text>
<title>寓義順館</title>,<text>客窓朝起日初生。千里東遊數驛程。鶴野北連關樹簇。鴨河西下塞垣平。天敷時雨流深澤。人迓皇恩戴至榮。雲幕排空迎玉節。江花江草亦歡情。</text>
<title>宿龍川館</title>,<text>古野溪流響玦環。走穿沙石繞殘山。煙霞滿眼悠揚外。花柳經心縹緲間。驛路詩愁思漢闕。旅窓鄕夢入秦關。無窮原隰風謠什。輸向奚囊取次還。</text>
<title>車輦館午飯</title>,<text>日華亭午凈林皐。行爲吟詩首屢搔。接物尋常寬氣岸。論交元不有皮毛。天仙邂逅眞難得。使事駈馳豈憚勞。却借朱軒成小憇。倚欄傾耳聽松濤。</text>
<title>至西門嶺。登嘉平館。</title>,<text>東來迢遆客程賖。應向燕雲屢憶家。古館庭深濃岸草。異鄕春盡殿林花。川腰回轉鳴流水。山髻崢嶸翳落霞。高會不須辭酩酊。畢逋猶未定棲鴉。</text>
<title>途中述懷</title>,<text>海外相逢眼却靑。情親何用詠丁丁。風流醞藉眞如玉。詩律淸新妙有靈。雖隔方言難接語。每憑尊酒便忘形。今宵一枕思歸夢。應向堯階入杳冥。</text>
<title>自博川至淸川江</title>,<text>晴旭酣紅漾晩川。爲停車騎蹔留連。隨風綠荇縈蘭棹。殷石淸波散野田。瑞彩高懸山北日。景雲偏爛海東天。却將四海昇平樂。翻入笙簫動畫船。</text>
<title>適同太僕金先生。登萬景樓。</title>,<text>回首遼山碍遠林。客程歸思自難禁。方言未暢頻看面。酒禮唯勤各盡心。鳧渚鶴汀供醉眺。漁歌樵唱助詩吟。緗簾四面圍銀燭。西日何嫌下遠岑。</text>
<title>登黃州廣遠樓</title>,<text>鄕夢初回起整衣。曉光銀燭共熹微。一村煙火居民密。千里關河信使稀。螺峀竝穿雲外出。石溪遙向野邊圍。行行原隰陽和晩。柳絮迎人撲馬飛。</text>
<title>憇金巖館</title>,<text>此生何幸遇知音。頻把新詩擊節吟。尊酒禮容雙白璧。風流聲價萬黃金。山花野柳供吟眼。燕語鸎歌慰客心。王事有程行役急。驛樓相對惜光陰。</text>
<title>義興驛樓</title>,<text>晩渡長川倚小樓。店烟溪靄坐來收。前村賈客方休馬。曠野樵童穩跨牛。幽澗風傳流水急。遠山雲盡亂峯稠。炎塵欲起郵程遠。楊柳迎人爽似秋。</text>
<title>金郊驛樓 已上十五首。次皇華集。</title>,<text>蕭洒風標莫可攀。玉人文彩動人間。每憑詩意知相許。縱隔方言不足關。鶴野微茫雲自翳。鴨江迢遞鴈空還。龍門他日瞻依處。長屬堯庭玉筍班。</text>
<title>和贈上人</title>,<text>獸爐餘燼爇芙蓉。靜坐依然水石中。滄海月明分古刹。亂崖泉潤浸殘楓。塵愁衮衮終難决。霜髮蕭蕭已半空。逢着山僧先自愧。碧桃瑤草負春風。</text>
<title>和柳監司韻 夢寅</title>,<text>新詩如酒得相溫。吟罷忘憂政似萱。於俗跡踈長却步。與人交薄自無言。門前山作氤氳氣。庭畔梅招冷淡魂。節序已回生意好。不須愁絶怨黃昏。</text>
<title>咏連山風味 太守宋惟諄</title>,<text>雞龍山洞鷹塲好。白馬江村網具盈。野寺多僧茶亦産。竹工連店笠能成。秋園柿實酣紅早。霜岸松茸吐白平。擧手施人雖有物。炎凉恐使變交情。</text>
<title>送朴判書按關西 東亮</title>,<text>徘佪城市已悲秋。懶折黃花揷白頭。親愛自添離別意。廟堂方軫股肱憂。江通漢水沿南遠。山擁關雲向北稠。鴻鴈漸稀人不見。夕陽無伴倚西樓。又關西原隰戒新秋。按節名卿尙黑頭。任重雖從羣議擧。內輕還有物情憂。志存經畧威聲遠。民荷仁慈喜色稠。淸興時時應不淺。月明頻上庾公樓。</text>
<title>申俔挽詞</title>,<text>平日交遊共里閭。亂離萍梗跡相踈。京城蹔到緣微宦。湖海催歸欲定居。眞率可徵形色裡。溫和常在笑談餘。幽明遽隔堪長憶。從此人來不見書。</text>
<title>遂安郡守別章 李尙俊</title>,<text>此身歸路亦茫然。城市山林兩不便。衆裡衰頹難處世。囊中空乏未求田。浮沉自保雖良策。容悅非情畏少年。最羨遂安爲郡日。訟庭岑寂鶴蹁躚。又神明太守脫塵緣。人道今爲地上仙。山轉遼雲經萬劫。鶴啼華表幾千年。村閭稠密民風厚。賓客稀踈郡勢便。好去倘能相憶否。雉獐滋味口流涎。</text>
<title>挽黃判書 璡</title>,<text>當官敏給膺時望。遇變忠勤在上知。自是恩榮人不及。如何消瘦病難醫。精靈便化龍津劒。門戶長留桂樹枝。溫雅儀形歸夢想。屋樑殘月見君疑。</text>
<title>挽李府使 廷馨</title>,<text>淸貧宿德世皆知。別墅松山過者悲。位歷卿監推事業。政留州府頌仁慈。處心恬靜寧循俗。惟義行休便背時。餘慶看他諸驥鳳。此生何處更相隨。</text>
<title>送李書狀朝京。以爲贐。</title>,<text>望郞詩禮出朝紳。揀選觀周是得人。遼海炎塵方漲夏。薊門烟樹已經春。城留孤竹淸風在。石號將軍舊跡陳。行入玉河欹旅枕。幾回歸夢到楓宸。</text>
<title>奉贐李書狀</title>,<text>淡然行李只秋蓮。路接皇州近四千。遼海瘴雲低古塞。燕山佳氣滿長天。樹圍榛店村連驛。雨入叉河渡有船。戀闕不堪鄕念起。客窓流月耿無眠。</text>
<title>大行大王挽詞</title>,<text>當宁憂勤四十年。海東風化自陶甄。德全誠敬膺皇眷。性禀英明捴政權。早使謳歌歸聖哲。默回神武掃腥膻。宮門晏駕賓雲遠。白首遺臣淚徹泉。又名忝當時近密班。得承宣召侍天顔。從容顧問邊陲事。惻怛深憂國步艱。南服分符諧舊俗。北方專制領雄關。追思恩幸無毫報。今日龍髯痛莫攀。</text>
<title>題李瓮津詩帖。用元韻。李乃關東人。故末句及之。</title>,<text>寥寂居常獨佩壺。自憐衰謝故人無。傷時成病空彈鋏。隨俗非情輒向隅。今日相逢眞不分。他年重會豈能圖。愛君談笑移山水。襟韻離塵是我徒。</text>
<title>奉別襄陽權使君 縉</title>,<text>印章恩命領▦谿。行處銅鍉拍手齊。峴首立碑傳後世。金鞍喚妾有留題。蒲萄漢水靑初潑。雲雨陽㙜冷欲低。倒着接䍦窮勝賞。一春花柳醉全迷。</text>
<title>楊御史畫像</title>,<text>天生才傑此其人。東顧憂勤贊聖神。鴨塞旌旗驅虎豹。浿江雷電掃烟塵。名留祠宇長專美。功在山河久益新。畫手亦知瞻慕切。鮫綃風采宛傳眞。</text>
<title>次權相國舊宅韻</title>,<text>一區山腹護林園。喬木蒼蒼舊相門。餘烈在人思乃祖。遺風傳世有其孫。壑藏雲氣朝常暝。岩戴松濤夜自喧。客至焚香庭院靜。古書盈案酒盈尊。</text>
<title>謁尹侍中廟 幷序</title>,<text>我先祖侍中謚文肅公。在麗朝經邦事業。輝暎後代。故先正李退溪文集有文肅麗朝拓北荒。將相出入如汾陽之語焉。時屬恬嬉。武畧不競。關北之嶺以東。論棄爲胡虜之地。公杖節而來。開拓一方。盡置城鎭而增壯內守。募居藩部而阻遏外侮。彼此樂業。區域奠枕。至今㙜名地名所在遺迹。無非留愛永慕之所寓。而元功偉績。海岳攸久。我皇明紀元萬曆之癸未歲。都廵察使鄭彦信建廟於鏡城府。以春秋欲祀之。適會軍興。不遑及焉。是日不肖以書記。佐元戎在兵營。憫其事之未克成。逮至乙未夏。受符再入塞。則廟貌稍完。修守有方。所嘆被倭賊驚汚。幾乎廢圮。未久而再擧之重修之。使英靈終始有託。實由諸邦人之好古也。斯亦盛矣。瞻拜遐想。風流如昨。洋洋焉如在于上。顧此身遭値亂世。碌碌無成事。南北遊宦。自足於心。不知有先烈焉。他日地下承顔。將何辭以告之也。噫敬用收拾荒亡。仍成排律二十韻。略叙其槩。詩曰。天扶麗運挺時賢。文武英姿實兩全。地望崢嶸聯戚畹。神精明秀動星躔。謀猷施設經綸業。瞻聽推尊內外權。每惜恬嬉忘戰伐。豈容關隴久腥膻。論兵不待僉詢集。推轂皆歡寵命宣。機務総裁堂印下。彊塲開拓將壇邊。鎭羅長白山中地。界畫先春嶺上天。裨校未甞勞汗馬。虜酋無敢引鳴弦。仁威遠筭河山奠。出入孤忠柱石堅。重譯侏𠌯皆貢鹿。隔江藩帳不爭田。九城形勢豺狼遁。一域桑麻士卒眠。讒謗不能干密勿。功言所及卽陶甄。名鐫琬琰宜居一。國賴蓍龜得半千。元帥高㙜經幾世。哲人遺像杳重泉。燕山紀石終難見。漢水沉碑亦未傳。聲與海濤喧宇宙。鶴歸松岳怨風烟。美談不朽留荒服。華揭新成卜小阡。先代風流斯宛若。孱孫基址已荒然。空傷時事方危甚。未見人才間出焉。此地專城猶過分。禮神携劒惜流年。</text>
<title>倚松愁</title>,<text>孱顔雲媚雨後容。小溪石齒飛流淙。穿岩猿路一線脩。契成幽味催吟筇。眞壇煙宿鶴未歸。福庭愁倚蒼髯龍。陽丘勢轉偃盖高。碧窓影射靑雲重。仙山何處採芝遅。洞天深鎖桃花濃。松關犬吠鹿馴除。滿澗瑤草抽新茸。金泥寶篆玉案空。石龕秘籙香煙封。灰寒丹竈小齋深。竹陰已午誰鳴鍾。三生業障火食多。象外又未交談鋒。松花遇雨濕羽衣。麝香踏岸驚塵蹤。壺天返照促歸心。一抹靑靄分踈松。</text>
<title>臨江賦詩</title>,<text>醮西多數射獵兒。好兵早着奸雄姿。榮名已過墓道題。指顧天下風雷隨。巡哨初罷赤壁宵。活畫盡得胷中思。吟眸觸境自不平。直敎豪氣潛生悲。當年九鼎漢火寒。幅圓萬里干戈馳。交鋒龍虎帝王多。割據南北山河虧。欺孤假售不正謀。朶頤羊鼎窺天時。威稜一疊略已平。振旅東下爭安危。兵聲已走豫州軍。獵書又震江東師。臨江雷吼接舳艫。半空雲結迷㫌旗。油幢卷碧鉄衣明。畫鷁浮白樓船遅。風流憑仗入幕賓。一夜尊酒同襟期。良時物色助逸懷。撫了長劍開吟眉。殘星讓月淡隱河。宿烏警露飛無枝。沙長籟寂衆山高。水落石出寒煙垂。無心薄相變蕭條。伯圖應使蛟龍知。汀洲向晩語黃頭。不覺江上東風吹。降幡未受戟沉沙。至今唯有西陵詩。</text>
<title>淸談空解識胡兒</title>,<text>秦川久軫郭郞憂。洛陽城上邊風吹。翻霜掩月禍有階。一聲長嘯潛窺時。寧馨還倚耳聦人。聽斷能識非常姿。㐫圖弄出氣像中。網漏無賴心空疑。論時昔日去拂衣。叔子具眼徵先知。風流不惜至寶身。坐驅天下空談奇。誰知樂地在名敎。駕虗竟致餘波移。高名盛位誤蒼生。失尙不覺金華衰。經綸無賴旣靡然。羯奴有釁將乘之。神精最是炳亂材。領略暗起憂時思。衣冠華夏自在居。孰敎異類虧藩籬。東城煙樹紫陌塵。碧眼雄顧謀乘危。豺聲化作蹙口音。異狀撼耳催驚追。亡胡運已過百年。代馬無跡終何爲。龍灣風雨殺氣凝。帝里荊棘銅駞悲。高談曾不畏禍胎。末路何事猜鮮卑。憑君休說宦情微。破毁寰宇知爲誰。區區劣識竟底功。勸進又自干胡兒。</text>
<title>江南逢李龜年</title>,<text>靑衫徒步最困人。一劍流落江南天。兵塵半世絶舊知。客愁千里期殘年。傷心今日眼俱靑。逆旅携手悲霜顚。風波勢失作涸魚。戀主幾惱看雲眠。蓬飄休說亂離愁。蜀棧寒日低蠻煙。芙蓉陳迹費夢思。北辰空戴干戈邊。輕輕等是白𩿨飛。異鄕滯寓囊無錢。旋天轉地瑣力微。泣血再拜山中鵑。逢春濺淚楚戶花。散悶載酒支江船。天敎邂逅得兩逢。菀爾翻訝肝膓煎。蒼顔白髮萬死餘。豈意重見吾生前。丹心衰骨一介臣。雨露曾是鑾坡仙。梨園弟子舊譜聲。手法按了空潛憐。相看憶着昔年恩。極天劍閣愁山川。何時洗甲費天河。蝕日共看重回圓。</text>
<title>燕市吊文天祥</title>,<text>滄溟波渴怒鯢號。宋室孤臣催北徙。啼鵑擬帶血淚歸。義魄直成山岳起。傷心何處可招魂。故市無人咽溪水。君亡國破㤪未消。一曲荒城今古似。勤王昔日走淮船。一片中原揮淚視。三年戎馬戰爭中。五國衣冠霜雪裡。江南千里儘龜玆。此日誰非宋臣子。尋盟何事竟自愚。歃血年年愧牛耳。鴻恩重到白麻宣。自分丹心死後已。虗勞荷負獨全生。伯顔軍前被留止。崖山風雨失南船。萬計無成異終始。黃袍一塊趙家肉。天地茫茫今已矣。南天未柱日未擎。到此微軀祈早死。胡天迢遆作孤囚。回首腥塵悲帝里。愁雲寒日滿空街。劍化英靈何處是。燕中山水寄耿光。魂作箕精名在此。千秋遺恨結雨悲。一夜幽寃射空紫。英雄成敗不足言。留取丹心照靑史。</text>
<title>浙江聞少海唱</title>,<text>空江風急波聲高。楚客移舟泊烟渚。新霜凝素暗長洲。缺月流光照孤嶼。吳兒何處更多情。唱斷悲歌擾心緖。夫差之事不可言。最恨伊人何負汝。卧薪初罷越膽甞。會稽餘兵尙一旅。石田難耕腹心疾。太宰行成禍亂杼。讒言終與間金多。屬鏤光寒天日阻。鴟夷一去檟成陰。英烈還爲魚腹貯。地下應逢瞑目人。聞說姑蘇盡禾黍。吳江之水流復流。怨逐長江竟何許。傷心唯有舊時詞。一曲空傳蒨裾女。嗚嗚如怨不成腔。入耳聲聲多古語。孤篷歸客惱無眠。半夜征鴻驚失侶。漁歌互答盡竹枝。故廟荒凉幾年所。汀洲朝暮怒濤生。白馬時時來又去。蘭槳碧棹訪英靈。水𤄃山長不知處。</text>
<title>四座楚囚悲</title>,<text>中州近歲雨雪多。陌上銅駞怨禾黍。南飛烏鵲未安棲。徒步衣冠悲逆旅。新亭風景泣伯仁。滿座相看愁不語。懷鄕竟下楚囚淚。故國鸞輿催北去。風塵憶昔永嘉年。外侮憑陵終未禦。平沉萬里虜馬嘶。黎庶漂淪俱失序。原陵無主宿松楸。社稷成墟棄鍾簴。凄凉一角帝王州。五馬逃來定何許。靑衣誰護雪霜中。天塹長江南北阻。吳山日暮畫角哀。瑣尾頻年倍悽楚。消憂休上仲宣樓。暇日聊登專勝處。天涯鄕國杳烟埃。客裡容顔對尊俎。山圍龍虎水作襟。淚眼擡時擾心緖。江東司馬在座間。慷慨私情愧兒女。偸生非是久遠圖。戮力相須謀後擧。神州回首血滿天。克復勳勞在吾侶。靑衫一二入幕賓。休用區區空自沮。君看典午混合初。伯祖平吳唯一炬。</text>
<title>玄武樓成花萼廢</title>,<text>蕭郞奏事入寢安。仗馬無聲人自愛。宸情漸入宴安中。歲末開元金鑑晦。穠華一廢舊樓空。別起危甍雲半背。長衾久卷苑竹踈。逸欲終敎恩義悖。從兪上意水未波。友愛良心超近代。天親天顯念大倫。藥火焚髯思自貸。樓輝花萼帳五王。宅近離宮長引對。昇平太久受衆攻。髮繚初封呈艶態。歡娛浸浸斁至情。自此金輿來不再。靑山屛繞粉墻空。舞殿歌臺隨所在。新開金碧競煒煌。昔構窓櫳奄荒廢。延秋昨夜白鴉啼。力士行軍不收隊。風流雲冷不可回。骨肉星分永相背。當時行樂漢宮樓。此日行裝蜀山黛。繁華樂極竟自哀。鶺鴒原頭更誰悔。連昌歲久鎖春風。落月凄凉照南內。</text>
<title>鬻駱</title>,<text>丘山性癖靜緣成。半世人間無住着。靑銅無處避霜顚。物外宜尋終老約。傷心已鬻櫪下材。任使從他少年樂。方瞳戀主主無心。物反多情人反薄。從前形役費多年。玉帶朝衣登紫閣。隨衙曙月響障泥。駄醉宮坡鳴玉索。參同昨日寄書來。鶴怨玄壇雲滿壑。歸山終自卜眞居。閣裡楊花春半落。塵緣未盡最怜渠。棄舊還從何處托。儂歸淨界契白雲。爾苦金絲馳紫陌。相忘除却十年情。夢入香山雲一脚。</text>
<title>湖州吊濟王</title>,<text>荒城日暮客鞭催。故國山河悶興替。鴻驚春渚雪泥多。鶴吊銅駞荊棘閉。居人休問濟王事。說到當時可垂涕。危情未恕骨肉間。挾撼誰敎恩義戾。前星早預擇賢中。後計親承大行帝。傷時直抱疾惡心。不覺談鋒嫌太銳。鯨波錯指海南圖。喚作新恩言斗泄。兇人媒孽日百歧。易樹奸謀又交締。宮門日夕愴賓雲。燭畔新皇已宣制。湖州來守禹甸封。主事權高禍將逮。貪功何物樂禍徒。逼却黃袍倉卒際。危疑空作藉口資。七尺孤軀竟何詣。深衷未售病未醫。地下茫茫天日曀。同根終致斁大倫。誰信相容保兄弟。奸臣賊理帝賊倫。斗粟難舂死難貰。凄凉塊土掩精靈。零落窮山帶睥睨。江空野𤄃自風雨。事去人亡幾年歲。長搔秋鬂慰寃魂。遠樹愁雲滿淸霽。</text>
