<title>春景 庚辰○十六歲時</title>,<text>春風散驟雨。城外百花樹。松窻一回首。煙捲斜陽暮。</text>
<title>辛丑五月。與鄭弘緖克承，朴文楧君秀，金延祖孝錫。同栖智谷寺數月。次克承三十二韻。奉示同栖諸友。因道山中景致節序遊覽戲謔懷抱時事。以爲後日披覽相思之資。</title>,<text>簪盍山如古。蓂飄月已盈。披雲聊寓目。掃石更題名。橋斷門前壑。扉關竹外荊。天紳拖色淨。巖泐細聲生。炎午風多信。黃昏月有情。煙霞皆舊伴。龍象卽同庚。秋氣先梧響。年光入夢淸。苔階鳴促織。綵葉寂啼鸎。歎逝搔班鬢。懷人望玉京。許多天下士。幾箇此時英。松翠低深澗。駑鞭就遠程。天時那更問。人事蓋難平。賴有匡山友。羞爲稷下盟。負蚷君似孟。得雋我慚丁。鄭重呼詩弟 克承。金蘭託社兄 孝錫。風飜瓠葉嫰。新羅風俗。指瓠爲朴。 斧斫桂花傾 吳剛事。揮麈聆談屑。披緗倦舌耕。蔭松爲暑蓋。烹茗當秋觥。壘壓騷壇將 呼韻。風靡筆陣兵 寫字。䧺篇驚灝灝。零響歎硜硜。杜律新功澁。蘇詩老眼明。韻開眞得字 貼韻戲。棋失請行成。放浪形骸外。消磨鄙吝萌。山中人四美。海外鳥雙鳴。樹色嵐生頂。荷香雨滿莖。雲橫千頃浪。霜碧萬干旌。境與時俱會。愁將事更迎。長陵無草木。倭亂燒掘陵寢。 戰骨積崢嶸。含垢恩光厚。通信使 張弧殺氣橫。無緣愚計獻。不耐壯心驚。長嘯虹成焰。悲吟唾作瓊。那沽千日酒。大酌破愁城。</text>
<title>謝鄭克承歷訪</title>,<text>居非百里遠。別度一年寒。暗暗朝還暮。悠悠悲復懽。鴈呈淸語響。月作舊顔看。短景撚髭送。長宵剪燭殘。命車今所罕。縮地古應難。門剝驚人至。懷開喜語團。新容嘉有做。諸况問皆安。肝膽傾相照。峨洋聽更嘆。泉頭看淨水。石下嗅芳蘭。酒酌靑春色。魚騰碧海竿。吟哦當夜永。天地入杯寬。雪壓松栖鶴。風梢竹舞鸞。惜分留井轄。題句覔新紈。明別却回顧。依俙夢一般。</text>
<title>見松寄興 庚辰</title>,<text>孤松路傍立。無人識其節。自是高山好。如何在城郭。霜風吹不已。斤斧加不絶。孤孤數榦餘。凜凜志不折。</text>
<title>秋懷</title>,<text>蒼蒼原上樹。鬱鬱庭前草。含光媚陽春。濃活方猗好。西天送凉飊。默默成摧老。無端氣先感。使我心情惱。奇功坐延遷。日月苦不早。空堂盡日悲。非爲爾枯槁。又皇天分四時。獨秋可悲傷。山空葉蕭蕭。水落天蒼蒼。萬物盡索漠。吾懷安得忘。云誰招我友。酌我靑春香。又竟日岸巾坐。無語對書冊。門關蛛引絲。院深客無迹。寒蟬鳴羃羃。冷鷰飛隻隻。戛然有孤懷。蔚結神不釋。遠思故人懷。千載若先獲。俯見塵世情。區區何狹窄。吾才竟何爲。歲暮空自惜。又昔我有遠志。規模定恢弘。文看楊馬䧺。學擬程朱興。冥搜千萬象。宇宙思憑凌。精竆聖賢心。夙夜乘淵冰。奇謀未能成。時歲疾相承。西風冷瀟瀟。一氣將冥凝。群芳委消歇。虫鼠鳴相矜。云何使我歎。半夜霜欄憑。又伯牙奏流水。鍾期能聽之。相如賦凌雲。得意薦不疑。遭逢理宜難。昔人已深悲。况今千載下。晦昧道益衰。群沙渾明珠。衆草凌芳芝。咄咄此長歎。秋懷增我思。又鴻鴈飛于天。鳥雀翔于巢。寒風號于晝。蟋蟀鳴于宵。寂然觀物化。我懷自難撩。大運旣周旋。庶類宜先搖。龍虎亦難逃。爾曹如蓬飄。焉能擧大手。天地陶同胞。又今宵抱短琴。久久坐高堂。雲消天吐月。煙捲園生霜。初爲白雲曲。悲音振淸商。再鼓猗蘭操。壯羽鳴金鎗。欲喚友生聽。萬里山川長。欲喚古人聽。九原魂茫茫。靑燈暎半壁。古史滿寒牀。遲遲不成拍。亹亹空悲傷。</text>
<title>挽河覺齋</title>,<text>哀哉吾夫子。沒世不可忘。溫良自所性。懇惻由肺腸。嘉言劇嗜炙。凶德愈排湯。淸修味淡泊。獨趍名利場。隱居行其義。闇然而日章。我閱世間人。云誰夫子方。右德義哀哉吾夫子。生也何其晩。猗猗蘭出谷。鬱鬱松在澗。凄風又頓撼。衆卉俱蕭散。大運自爾然。達者宜莫歎。胡爲獨枯槁。到死猶款款。刳肝數百字。千載人必恨。右遭遇丹漆不同宮。芝蘭不殊壠。氣臭之所同。未際心先動。哀哉吾夫子。愛我殊珍重。引我道義門。德音貽種種。心腸近變化。手足長奮勇。白骨未成灰。洋洋隱震悚。右情義凄凄日欲暝。瞹瞹雲未晴。徐徐山下車。翩翩原上旌。哀哉吾夫子。此日之佳城。天涯阻臨穴。血淚徒盈睛。暫修一紙辭。以寓千古情。幽明魂夢在。白首長相迎。右送別</text>
<title>夏夜讀書</title>,<text>夏夜何苦短。食頃已晨雞。寥寥舒縹秩。肅肅坐心齊。豈不懷假寐。念我前途遠。慇懃明月至。慰我心繾綣。</text>
<title>捨身巖</title>,<text>屹然千萬丈。有名自今古。誰將萬金軀。投此賚豺虎。我來訪其人。泯然莫聞覩。寒松老無皮。鳥雀飛亦絶。攀緣試一俯。眩恍魄已奪。安得巨靈手。劈破千古惑。</text>
<title>晨望卧龍山有感。書此以示同栖。</title>,<text>淸晨啓窻櫳。望彼卧龍山。溟海似盤盂。日輪如玉環。蜿蜒在其間。牙角何奇奇。千載莫飛騰。神靈難可知。惟玆七年枯。沛澤不自天。風䨓苟相遇。變化誰能先。</text>
<title>呈韓仲容</title>,<text>喫飯不從肚。雖多身則飢。求遠不由近。雖勞功則虧。嗟哉吾仲容。獨能知所之。手記日所行。一卷字如絲。卑謙近實用。夸比無奇辭。隆寒襯狐腋。盛熱加纖絺。要余視顚末。謂是同所治。披看未竟紙。愧恧流汗隨。窺豹十餘年。未得一班姿。舂粮千里道。尙此行遲遲。精粗固難辨。頌禱惟所宜。尾閭苟不禁。滄海或難支。寸金苟不戒。參天終必萎。栽培固急急。防塞尤時時。勉旃此一言。聽瑩君莫疑。</text>
<title>栗寺贈鄭謇謇之留別</title>,<text>杞梓大合抱。始可斥斲之。纖縞白如雪。始可繪畫爲。苟無忠信質。文章安所施。君心自純厚。君禀自平夷。杞梓與纖縞。其美則在玆。斥斲及畫繪。急急君勿辭。愛君將別君。持此爲贈詩。</text>
<title>贈文順甫佐幕金松庵</title>,<text>飄飄原上葉。索索城中木。借問行役人。于何定歸宿。腥風暗海岱。白骨生溝瀆。天地相戰殺。羲和失車軸。栖栖巖下客。俯仰獨悲哭。又吾友文順甫。一身都是膽。謙先衆人屈。勇出百夫敢。手杖三尺劒。擬救䧺藩陷。成敗非計較。死生寧頓憾。昭昭此一心。皎如秋日鑒。歲暮霜雪交。乾坤更愁慘。朱光鎖竆泉。蛟龍下幽坎。懷君念時節。使我增感感。又今晨登北嶺。遙望天東角。區域似魚鱗。州城尙碁錯。千里近一尺。萬物不盈握。精神妄流動。氣象奈悽索。搖搖竟不放。空在腹。仰慙天日白。俯羡霜鴻翮。又淫霖注八荒。密雲經掩襲。嚴霜下百草。白露先滴瀝。氣候固有漸。幾先安可忽。層冰緣水積。大阜從塵集。悠悠我心憂。獨語不敢說。牽盧嗾狡兔。畢竟或反嚙。龍蛇將起陸。生民會魚肉。巨海渺無涯。蒼天曷有極。</text>
<title>無題</title>,<text>偶然到高亭。露脚憇寂寞。上有千丈巖。樹木蔭落日。下有一帶水。潺湲流不歇。平沙十里闊。碧天見南北。中有一老翁。垂釣坐盤石。徘徊相與語。閒逸意自適。</text>
<title>偶題</title>,<text>水合雙亭外。山回錦繡域。我思古聖人。吟詩愁不抑。羲農沒已遠。世道嗟已跖。遺言在簡編。讀罷淚沾臆。</text>
<title>秋夜</title>,<text>九月天氣凉。倐忽歲已晏。江頭蘆雪飄。雲外一行鴈。霜來菊方香。木落寒鴉散。凉風起日夕。淡月來又晩。遲遲獨倚欞。淸影天地滿。田翁偶而來。農談相與伴。徘徊生夜凉。子𨾚啼江畔。</text>
<title>遊獐項洞</title>,<text>時維八月之十八。友人攜手隨鸞鳳。溪漱谷隘石峭矗。兩足摩針如墮凍。中間始得大漭混。方壺天地陶甌瓮。山回水周襟袍闊。萬疊靑山橫遠控。松蒼楓紫眩眼怳。錦繡仙障身疑夢。顚童訝恐火食人。屛迹深巖煙霧霿。穿林披竹得盤石。碧空半架馮夷棟。周溪環坐酌靑春。一觴泛泛玻瓈送。當流曲鐵納水底。王梭曳上金綸弄。山陰漸染暮色紫。樹雲丹丹溪石閧。嗟哉吾黨今日遊。如何誤入蓬萊洞。</text>
<title>菖蒲歌</title>,<text>山陰道士性奇特。廣愛異物搜華嵩。千層崖罅澗水生。有草盤屈苔封叢。杖飛身聳拔老根。鬼神呵叱不得終。攜來下界衆人驚。奉示南郭厖身翁。云是昌陽草中仙。此物靈異不可竆。銀盆安節佇玄水。會稽白石充崇崇。春迴一氣蘇萬物。風柔雨解薰蒼穹。微微白芽出水面。波搖石動氣冲融。在傍諸草不敢高。凜凜孤秀凌靑空。火至赤日肆炎虐。草木焦燒宇宙紅。挺然爽氣襲賓堂。有似冰雪盈金銅。煙生幽洞葉半垂。雨濕靑天露微濃。西皇嚴殺腓群卉。掃地蘭蕙鳴梧桐。憑淸御肅擅瀟洒。視凌松柏耻與同。寒通九天銀漢霜。氣出碧海瀛洲風。玄冥用事鎖元陽。天冰地沍陰隆隆。排寒森列小不撓。笑殺衆物無全功。四序相代物變易。此草獨能抗天公。有時寒月來相尋。影擺綠蔕光玲瓏。三株樹出海氣空。金莖掌寒雲朦朧。奇奇高意太古餘。卓卓貞姿霜雪中。夭夭自在淡無欲。耿耿有情言難通。前人有傳明詔我。服餌可得昇仙宮。玉笥高峯梅子眞。充腸兩翮飛海東。九疑絶頂垂耳翁。果腹一手騰長虹。我將持此問眞訣。驂虬駕鶴入崆峒。血肉纏身天不許。奈此塵念紛相訌。編詞聊欲寫奇趣。戛戛終日不得工。</text>
<title>梅</title>,<text>一樹在窻前。春寒不能開。三月始吐華。衆木不相猜。冰成姑射骨。雪點西施腮。南園忽變顔。瓊玉暎千堆。昭昭日色照恍蕩。皓皓月光來徘徊。惜余無酒無友生。對此竟日懷難裁。風掀雨擺不得留。一春香信顚蒼苔。籬邊亦有桃李花。穠艶相矜不可媒。</text>
<title>鹿島</title>,<text>鹿島城中里閭空。鹿島城外風顚覆。山川索漠物色愁。指點事迹空慘目。聖朝廿年久太平。偃旗彌戈寧海瀆。蠻雛噭徒敢跳梁。百萬兵騎連艦舳。將軍半夜駕樓船。士卒忘生共相勠。身爲國臣爲國氓。一死輕輕如草木。蒼黃負甲擬角力。鐵翦交飛勢忽蹙。回看四隅絶援兵。大將旌旗已在陸。兵摧力竭無可奈。海闊天高遭殺戮。鹿島軍士只數百。數百盡塡東海谷。爺孃妻子塞道路。哭向天涯陳饘粥。猶望生還待孤舟。一身不來魂獨哭。天昏地黑不忍去。奠醑燃香海上宿。我來細聞敗軍由。便怨首將到心腹。平時略不撫疲癃。割剝肌膚似魚肉。况當我軍被圍時。若使出戰可追逐。胡爲捲兵來海上。咫尺忍看兵我族。皇天在上呼不聞。白日何曾照我屋。聞來五內如剪割。揮涕徘徊溟海澳。驚波山起殺氣高。一髮孤嶼餘翠竹。爲歌此詩弔群冤。梟首將軍魂必恧。</text>
<title>月生滄海圖。和李靑蓮後白韻。</title>,<text>瀛洲仙子凌浩瀚。手弄新月滄溟東。飛來却掃水鮫綃。造化入筆驅長風。須臾霽色生一幅。泂澈淸光搖半空。虞淵落日餞薄輝。天黝地黑愁濛濛。圓圓有物湧滄海。睒點倐霍翻沖瀜。山河容色半依俙。漠雲關樹微朦朧。玄黃初判氣尙磨。象儀欲分方泰鴻。輕淸重濁形未形。文理脈絡通未通。俄然一角半粘天。宇宙四方明靑銅。凉風掠淨九衢塵。白露滌破天腰虹。琉璃上下碧汩滑。冰光凝淨寒朣曨。水精盤掛珊瑚鉤。白蓮花出龍王宮。崑崙巖壑瑩圭窾。蓬萊殿閣昭窻櫳。仙娥糚出笑盈盈。桂花影落香濃濃。風掀氣鼓忽踴躍。滉瀁萬斛舂穹窿。銀河水接六鰲頭。廣寒宮落溟波中。靑鯨出天半鼓磨。金蟾浴水光玲瓏。尤奇咫尺開杳冥。側島欹嶼攢巃嵸。婆娑白痕間靑松。散射金彩穿丹楓。霜天爽肅海氣涵。髣髴枝葉垂叢叢。森羅萬像曲無餘。鬼神却愧無全功。當年留置白玉京。訶護囑付無何翁。金鸞殿上老學士。風雨掃處驅神童。偸來八月采石江。擧杯幾許誇豪䧺。翻身捉影誤百年。謾將眞畫輸天公。靑蓮居士後謫仙。炯炯鶴髮雙綠瞳。披看呵口吐珠璣。點檢毫髮皆牢籠。流傳要我繼洪聲。欲使蕩驚群盲聾。雲窻終日坐撫摩。邈然天海心神融。千奇萬怪催我和。染翰俯書笑盧仝。</text>
<title>遊智谷寺</title>,<text>時維十一月初吉。披竹穿林來古寺。黃昏布席坐空堂。澗古松盤煙暗水。山僧來拜拿兩手。玉飯藜蔬甘作旨。蒼苔滿庭白雲掃。月色冏冏瑠璃地。夜深又上佛迦堂。玉燈攀踏千層齒。碧圖丹室窈怳惚。金銀眩宇空中峙。開門塑像儼空卓。玉磬香窕聲生觜。天明歸去出沙門。鼓聲隨人委洞裏。回看禪刹杳已違。杉戶松欞空碧紫。</text>
<title>題淨水寺</title>,<text>戊子仲冬嘗一來。今再經過已三年。蒼崖丹壑尙無恙。白雪靑松眞宛然。菖蒲石槽冷冷瀉巖溜。鍾磬空堂冏冏生白月。明朝藜杖又度千萬峯。回首此日如昔日。</text>
<title>九月九日。與友飮酒溪堂。</title>,<text>攜手與君來。呼酒與君樂。百年三萬六千日。一歲光陰空倐忽。况今時方九月九。水落山空良可悅。浩浩明月入淸空。萬里江山浮白玉。時見白煙閒出嶽。攜手歌浩浩。天地入高窄。觀君今夕醉如泥。莫使優遊費歲月。君不見淸渭東流不能復。</text>
<title>有感</title>,<text>獨步雙亭落木秋。蘆花如雪滿汀洲。江山超忽成今古。松柏脩疎歲又遒。賢愚貴賤同是盡。明月淸風但空留。山城日暮行人少。獨抱遺經問何由。</text>
<title>朴君秀來訪山中書贈</title>,<text>亂離數月別。頭流一夕靑生眼。悠悠說盡世間事。風塵歲已晏。龍蛇起陸鯨螘相與角。東溟萬里氛霧何時斷。三光晦冥天地昏。六飛又海岸。腰間三尺劒光寒。徒能牛斗貫。古來具眼希。沉埋安足歎。何時發出露鐔鋏。上决浮雲下掃妖氛。八千世界光燦爛。坐令長蛇封豕盡刌脯。區區蚊蝱蟣虱不足剗。周道如砥石。山河宇宙之平坦。却騎玄鶴帶紫霓。瀛洲歲月共酌流霞酒無筭。</text>
<title>夏秋亭。次盧敏甫韻。</title>,<text>送君夏秋亭。亭下游魚在。游魚更何意。只自游成隊。作吏來山縣。看魚眞可愧。愧而不知止。何時能自改。玉溪春水碧於藍。明年與君把釣期相對。</text>
<title>送姜克修</title>,<text>不見盧志夫。見君如元賓。空齋數日縶征驢。酌得靑春兼討文。我來山縣已冬秋。簿領纏縛如囚人。君爲閒散可往矣。志夫亦是無事身。君歸以此語志夫。遊屐可以尋勾漏。志夫軒下有梅花。邇來爲問開花否。</text>
<title>題淵明歸去來圖</title>,<text>一幅圖中千載人。故人令我盥手開。開來不須問姓名。借問淵明何日迴。田園歸興繞殘秋。老腰不可官道隈。孤舟掉出宦海波。晩風颺落征衫埃。夜色凝霜光欲曙。村蹊受葉黃作堆。衡茅隱暎掩疎柳。醉石依微封綠苔。慣面童僕笑相迎。牽衣稺子來斟杯。蒼松偃蹇寒欲老。黃菊蕭疎霜未摧。半掩蓬蓽幾時開。熟醉羲皇長日頹。晩峀孤雲靜杳冥。暮林歸鳥閒徘徊。森羅趣色滿一圖。却訝精神更胚胎。耳邊怳聽歸來辭。座上不覺高人陪。畫中淵明尙如此。當時面目何如哉。淸風千古更無人。對此茫然懷不裁。紛紛道上說休官。白首靑衫誠可哀。乃知畫工畫此有深意。爲勸今人歸去來。</text>
<title>送君秀還鄕 朴君秀文楧鄕友也。變亂相失五年。己亥春。朴友自星州訪余於鎭安縣。留敍十餘日還。遂以詩贈別。</title>,<text>自余別君今幾許。乙未丙申過丁戊。一日三秋尙云久。五年情思那須究。南州渺渺箭滿眼。一紙萬金無由副。帝錫歸來面似電。丁酉春。都元帥權慄發湖南戍軍。築山城晉州西面馬谷帝錫山。余承差領數邑之軍。往董其役。還路弔朴君秀廬所。 甑山風雨但一宿。丁酉八月。倭賊充斥湖南。余自茂朱到知禮縣。遇朴君慈堂之行。賊鋒逼邇。朴適訪鄕未還。勢甚難。余遂同挈。冐夜投星州甑山里。留一日朴亦尋至。翌日余聞湖南賊勢小减。遂別老母。先歸任所。甑山里卽外家村庄也。 此逢不似未逢時。別後凄凄懷轉疚。風塵晩契揔毛皮。憶君千里空搔首。去夜梅花樹滿開。影入半窻倒書右。余夢尙有美人來。擲我环珓得其繇。朝來門外有剝啄。聞聲已得吾君秀。握手驚喜未敢言。悲懽存問先故舊。干戈八年盡零落。故鄕消息言忍復。大瑕 金景謹而信號也。居丹城。倜儻有義氣。好善業文。爲賊所害。不屈死。 年前死於兵。妻孥孑孑無所就。盧子 盧士尙志夫也。居咸陽。勤幹有行義。遭母喪。避亂中一從禮文。啜粥過哀。遂死於益山。皆余深友也。 逾哀又不幸。他鄕權厝母子柩。天球夷玉盡入地。天意冥冥徒蓋覆。德門宗族二三十。如今只餘一二幼。余家在德村故云云。 君家百中雖一幸。亦困飢漂朝暮叩。朴君家皆保全 東荒殺氣苦未收。白骨嵯峨愁宇宙。酌酒痛飮強寬懷。不限酒量惟醉仆。野剝蔬芽水儵魚。山城薄物聊可侑。詩評按新恣壓倒。酒令徵前雜喧鬪。連延一旬不能別。此樂此事昏又晝。春風採蘭起幽興。白雲在望難摻袖。君歸故鄕余未歸。此後何時能邂逅。一行濡滯愧古人。顧戀非關腰下綬。慈母劬勞白髮新。此日平生正難又。會當投紱歸故坡。杜門冥潛守愚陋。洗心丹經尋妙訣。千古相傳明受授。子今識路志方銳。比我又復年最富。五車書籍儘貫閱。靈室要先殲鬼冦。余歸之日子能來。刮目倘得看松茂。</text>
<title>朗吟飛下祝融峯</title>,<text>宇宙間三十六名山。峻極誰與衡山岑。孔聖後一千五百年。獨有晦翁傳其心。斯人斯地兩相遇。天下之小同古今。飄然騰踔下危峯。高吟天半開胷襟。紫氣吐燄元氣會。泰山喬嶽宗儒林。先登于岸繼前武。無邊風月龍門琴。長途恨逢大行路。踽踽衰季誰知音。却將彌綸宇宙懷。於山寓高於水深。虹橋歌罷秋氣深。回望人間碧玉簪。長風萬里駕我先。三杯豪氣生長吟。怳若羽翮生兩腋。回日高標竆討尋。於仁於智樂有全。不是冷然難自禁。弛張於道固亦爾。分外盪滌除煩沉。足跛願效魯男子。庶將絶頂余登臨。</text>
<title>題漁父辭後</title>,<text>江潭日落郢路遠。蕙纕香斷行虛徐。漁翁只知漁者樂。未信楚國愁三閭。相逢一語勤屬話。絮音暫此山雨餘。孤臣本自不解飮。翁雖勸醉難回初。丁寧不獨老父言。亦有嬋媛申詈余。塵埃豈容浩浩義。此身可矣彭咸居。高辭纔就棹歌發。雲外䬃䬃飄霞裾。聞言當日恨不早。若未大夫知何如。淸湘千古恨不盡。舟無漁父江有魚。忠臣懷抱古猶今。臨風三復增唏噓。</text>
<title>春迴四章。寄茅溪文順甫。</title>,<text>鬱鬱春迴。遲遲寒梅。我有遠懷。不可以裁。春迴者。思友人也。時春也。故命名以春迴。鬱鬱春晏。遲遲梅綻。謂可以見。使我增戀。梅之飄飄。鳥之咷咷。之子之遠。而道之遙。道之悠悠。思君爲憂。勿亟勿遲。勖哉莫休。</text>
<title>寄鄭上舍舟臣</title>,<text>言念君子。宛在溪流。垂垂楊柳。泛泛鳧鷗。效陶靖節先生體。以起懷友之興也。有香斯盤。有濁斯壺。酌言相屬。聊以于于。瓊彼寒梅。濃此春光。時哉時哉。胡然我心傷。遲遲其行。緩緩其止。憂之樂之。聊以卒事。</text>
<title>心爲嚴師</title>,<text>有外求子。志于學未知要。徒馳逐師于先覺。嘐嘐古人。遵孔孟之遺跡。揖程朱之餘塵。師名無實。忽乎縱弛。師于今世。贏粮遠追。涉千山與萬水。行束脩於函丈。若七十子之服孔子。仰景行而想像。捨我徇彼。謇不可求益。雖趍隅而翼然。退而不得慄慄。師于方冊。先正格言。三墳五典。左右斯存。披而相對。凜乎起敬。若嚴師之在座。如親受乎面命。遺珠買櫝。亦無所得。凡此師師。棄本逐末。如網之無綱。若繩之無墨。頹乎其不起。放乎其難操。竟未及乎依歸。歲月倐以如毛。三十四十五十而無聞。悵竆途之孤陋。忽反顧而惕念。歎百年之易暮。詠范氏之嘉言。尋晦翁之遺旨。思有聞於至敎。乃就正於養心子。先生曰。嗟吾子過矣。天之生物。各自有法。性分所有。自無不足。伐柯不遠。理之實也。反身近取。學之的也。詩不云乎。有物有則。孟不言乎。求有餘師。苟子之切問近思。亦何求於外爲。吾爲子言。子其聽之。丹田之側。玉淵之湄。爰有嚴師。是曰天君。肇受命於上帝。禀中和之氤氳。備萬理之坱圠。具百行之本根。其爲體也甚虛。可以涵太極無極之淵源。其爲用也甚靈。可以酬千變萬化之鼓舞。左而準繩。右而䂓矩。能建人紀之標準。亦贊天地之化育。子其往事。無小怠忽。父母天地。所事同方。勿欲速成。勿至昏忘。勿左而見黜。勿拘而見誚。不顯亦臨。無斁亦保。終子身以聽命。永以爲摳衣之地也。蓋嘗論之。師于古雖曰尙矣。迹也不足以振起。師于今雖曰易矣。外也不足以警發。師于陳言。雖曰多矣。雜也不足以反約。惟此師道。盡善盡美。不遠伊邇。在腔子裏。亦其孔嚴。儼然在此。義莫與精。理莫與京。一毫不可損。一物不可幷。天壤之間。豈復有如是之嚴師乎。感老叟之善諭。隱余心以憤悱。忽歸來兮蓬廬。閉余關而靜居。皎余佩兮誠余身。整余冠兮斂余裾。羌潛慮而靜齊。果嚴師之在此。遵禮門而遠邁。喜宮牆之曳履。入敬戶而益傴。奄升堂而拜余。儼仰視乎方寸。凜神光之明虛。悚余身而肅然。倐容氣之專一。恔前願之始遂。事之如不及。師以善導。我以疑質。恒臨汝而有赫。常對越而無貳。信可以見而知之。蓋亦無隱乎爾也。其爲師也。道爲質理爲容。泂若寒月之照水。皓如白日之照空。視於無形。聽於無聲。明無不照。知無不精。隨吾所爲。晝夜朝夕。一動一靜。一語一默。曁于手足。惟口耳目。莫不管攝。使之檢束。獨枕之惡。師以擊之。屋漏之愧。師以慄之。衆座失言。師使顔赧也。稠中遺行。師使背汗也。惻隱之端。敎我仁之方也。羞惡之端。指我義之所也。卽席而辭遜。以禮約之也。卽物而是非。以智擴之也。發而激之。脫桎梏之道也。沮而怍之。亦不屑之敎也。其問答之間。則予欲無言。其授受之際。則引而不發。統百體而施令。遏其私而絶其欲。凜然一毫之難欺。聦明睿智。皆由此出。極變化陶鑄之神功。浩淵天義理之昭晣。孰知吾九竅之內。有自然神明之師。倘不遇養心之老子。幾不免一生之蚩蚩。是知師于外者名也。師于內者實也。名在人善。實在吾德。在人者彼此之或異。在我者天人之相合。而况師于外者。有形之師也。師于內者。無形之師也。有形之師者。或用力於見聞。無形之師者。必盡心於危微。惟吾一心。乃吾表率。不師而師尊。不嚴而嚴極。師因天錫。嚴由直出。師于心者。非徒師吾心而師其天。師其天者。蓋欲全其天而快吾心。言未旣。遂歎曰嗟嗟我師。道合陽陰。無極降眞。二五凝精。天縱之德。不可擬名。妙萬物而不竆。裁百變而皆平。忽瞻前而擬覩。如在後而難攀。師其嚴乎。十目所看。師其靈乎。如見肺肝。人誰無師。豈善誘之如此。人誰無師。豈可畏之若是。提撕警策。不容一物。啓我後人。以正罔缺。允我嚴師。天理之極。歎未旣。又警之曰貪尋陳跡徒繁雜。尙論前修或易差。寄語奔走求外者。早於方寸訪嚴師。</text>
<title>敬勝百邪</title>,<text>惟吾人之最靈。蓋知覺之囿形。情由觸而易動。物因隙而交刑。苟直內之無本。曷侵外之可敵。由積養之旣篤。致己私之能克。學惟始於不欺。功必終於無欲。覺是本之不欺。驗終始之有涵。志已立於坤二。勤亦至於乾三。束百體之昏放。聽一心之休命。潛對越而戰兢。嘗顧諟而涵泳。求夜氣之有養。驚晝爲之或戕。旣造次之無間。焉瞬息之有忘。始下學之勉而。竟天理之浩然。臨上帝之赫赫。靜止水之淵淵。鬼難測於未萌。天不違於旣先。寂未感而自靜。妙旣應而皆虛。惟物欲之來干。必因隙而紛如。足不踐於非禮。豈投閒之我邀。口不道兮不正。豈窺釁之我交。姦不留乎聦聽。亂不雜乎明視。妖何焉而自進。孼無由而有市。况求安之衣魔。與同嗜之味賊。雖勤伺之百端。慨難接於一息。彼由外之侮余。儘摧沮而逃披。豈制外之可能。信無釁之所致。此無心於折衝。彼不暇乎戢伏。雲盡消而開捲。日高張而昭白。灑一點之消融。極萬像之透徹。斯爲敬之極功。乃勝邪之有以。仰斯言之有訓。歎今古之一揆。堯欽若而舜一。禹祇承而不貳。湯日躋而莫差。文緝煕而不已。周有訓於作所。孔垂敎於修己。咸內操之無適。値外禦之有裕。豈訓謨之欺我。曾聖狂之同賦。惟勝之與不勝。在能敬與不敬。防意城之妄幾。闡靈臺之明淨。肅天君之作主。杜客氣之來乘。庶一簣之莫愧。冀百邪之能勝。</text>
<title>誠者天之道</title>,<text>惟天道之至大。可一言而盡。言旣眞實而無妄。亦於穆而常存。沕太極之冲融。含未形之兆孼。用不息而無貳。體虛靜而純一。體寓氣而至隱。用因物而始立。旣無始而無終。焉有本而有末。天以之而穹窿。地以之而磅礴。日舒曜於中天。月揚輝於半夜。彼蠢蠢之毛羽。曁葺葺之榮謝。莫不賴以生育。盡保合其一天。鳶自飛而戾天。魚自躍而在淵。任群情之得所。運萬化之自然。斯至誠之無爲。乃天道之流行。數胚胎於父母。我實嫡於弟兄。何不能乎繼善。致不肖之實多。彼聖人之無僞。固與天而同科。歎吾人之自欺。實氣禀之所累。故先師之至仁。惻然哀此同類。明天道與人道。垂後人之明典。盍做功於思誠。勤學問與思辨。常百倍其功用。指夕死而誓我。由致曲而漸進。庶有冀其變化。若壤蜩之脫蛻。如鳥雛之變鷇。忽本源之通透。喜皇天之如舊。彼悠久之大道。始爲吾之實用。天自我而始立。物由身而有統。觀天道而聳躬。期用力於無竆。</text>
