<title>與權皆玉 瑎 講心經。曉起書贈。</title>,<text>歲暮終南下。端居晝揜門。欲將冲靜趣。相對共忘言。</text>
<title>成均生員野庵金公言行錄</title>,<text>公諱㶵字受而姓金氏。自號野庵。金之系出義城。高麗時有諱龍庇公。位太子詹事。是鼻祖也。生諱宜尙書左僕射。僕射生內盈少尹諱瑞之。少尹生文叡府左司尹諱台權。三世皆在麗乘。司尹之子曰居斗入我朝爲工曹典書。典書之曾孫。乃副知承文院事諱漢啓也。有聞望。魯山朝爲集賢殿學士。已而謝病歸。遂不仕。知事之後。三世而至公之高祖。成均生員贈吏曹判書諱璡。擧五男子。折桂搴蓮。文行冠世。其仲子諱守一。薦拜自如道察訪。是爲公曾祖。祖諱涌通政大夫兵曹參議。以壬辰宣武原從勳。後贈嘉善大夫吏曹參判。號雲川。飛英玉堂。歷敭臺閣。淸風直節。震耀當時。臨終以竆不失義。達不離道八字。勸勉其子孫焉。祖妣贈貞夫人眞城李氏。退溪先生孫女也。考諱是柱。以己酉生員壯元。登癸丑文科。由承政院註書。陞兵曹佐郞。未幾而病卒。妣淑人永嘉權氏。太師幸之後。正郞暐之女。公之在娠。淑人得異夢。以萬曆甲辰閏九月二十四日辛丑。生公于臨河川前里第。生而英爽異凡兒。甫三歲。以參判公命出後于仲父處士公。處士公諱是楗。聘于竹溪安氏護軍霮之女。纔閱歲而卒早夭。安氏取公於襁褓之中。出養于府東佳丘村。以故公至五六歲而猶未知爲權氏出也。一日嬉游溪邊。有人過而語之曰。異哉。此兒乃某家兒也。公卽入告于安氏曰有客謂我爲某家兒。是何言耶。安氏欲試其意。應之曰若然則汝非吾兒。盍去諸。公卽泣謝之。嘗從參判公學字。參判公指庭前梨花而使公作句。公卽應口對曰梨花依依白。參判公大驚曰依依白三字。能畫出暮時景。此兒他日必以詩鳴矣。自此藻思逸發。語輒驚人。十二歲。又從外翁正郞公學詩傳。誦讀如流。正郞公每言曰昔我受學於鶴峯先生。而質魯不能誦一行書。常切憤悱。今爾聰敏如此。何患乎不成才也。時公之從兄烋長於公八歲。而才學超等。參判公嘗稱孫行之有才。則必曰某與某云。一日命題賦詩。公卽從傍製進。句格淸越。參判公益奇之。仍親書所製我所思十二歌與之。公受言寶之。常自佩紳。又慮其壞汚。乃染色褙紙而藏之。丁巳丁佐郞公憂。時年十四。與伯氏能執喪以禮。庚申遭參判公喪。癸亥哭貞夫人。祭奠之暇。劬書刻苦。精探經史。旁通百家。種學績文。日大以肆。一時文人才士。莫不斂袵推先。而又於士林論議之間。毅然獨立。棘棘不阿。人皆敬憚之。乙亥陞上庠。長途逸駕。發軔伊始。而逮至丙子。時事一變。公不欲應擧。晦迹竆巷。託興江湖者殆將五六年矣。辛巳始以親命強遊泮中。數月而還。自是雖隨例赴擧。而亦不爲必得之計。凡五中於發解。而輒屈於殿試。嗚呼豈非數耶。癸未在黌堂。與鶴沙金公應祖有往復論議之事。鶴沙以書賀之曰見識文藻。超出儕輩。儻進一步於百尺竿頭。則實嶺南之幸也。其期許如此。丙戌在泮宮。吏部郞南老星與公有素。求見甚切。公辭以寒士不肯往。南使公親切者。又致密語。公終不應。戊子丁權氏憂。旣葬廬于墓側。晨昏展謁。風雨不廢。庚寅終制。辛卯赴解于京。時安氏在堂。拜辭之際。不覺涕零。及到城中。思親之念。不能自抑。或感於夢寐。或發於吟詠。人多異之。還至路中。則安氏訃至矣。公千里奔哭。幾不勝喪。以未得終孝爲痛。遂謝絶人事。一以訓誨子弟爲業。遠近學子。聞風負笈。執經史問難於前者。日常二十餘。公嚴立課條。晝夜不懈。人或言其勞苦。則答曰我自樂此。不爲疲也。又或勸之應擧。則蹙然稱罪人。晩年築室于所居川前里雨谷之畔。顔之曰野庵。鑿池種樹。爲臨老藏修之所。而自作名說。其說若曰吾平生所爲。務去浮華。惟鄙野是尙。庵是野人之居。而人是斯庵之主也。其末又曰素者繪之質也。野者文之本也。須有其本。乃可以施其文。則吾雖野。豈足以爲文之病哉云云。嗚呼。觀此足以知公之志矣。丙午冬。偶感寒疾。日漸彌留。子弟請進藥。則公拒之曰死生命也。豈有服藥而延齡者乎。遂作自輓一章。其詞曰行不逮人。德無及物。送老江湖。蕭灑日月。生無益於世。死無聞於後。聊乘化而歸盡。甘與草木同腐。因命諸子曰乃父平生。盡在此中。不必更求於人。以取虛誇也。又曰若執友親戚有輓之者。則亦不可不用也。數月後。自至差復。精神氣力。益覺穌健。一日與外客及一家子弟。賦詩說懷。終日亹亹。翌朝猝得危惡之症。越三日丁未。竟至不淑。寔丁未四月初三日也。享年六十四。乃雲川公捐舘之期也。嗚呼。公容皃端正。性質剛方。溫溫如玉潤。栗栗如山起。而加以才格淸高。穎悟絶人。蚤服參判公敎訓。與伯氏及堂兄篤志爲學。日邁月征。玉樹盈庭。蘭馥襲人。人皆欽豔。朝夕且陞。而不幸時與事悖。命與仇謀。二三十年之間。淪落殆盡。而公亦崎嶇顚躓。已迫衰暮矣。凌雲之榦。虛老於空谷。追風之足。未展於通衢。識者恨之。而公略無一毫怨尤之色。奉親家居。左右順適。溫凊滫瀡。靡極不用。安氏嘗曰能以我心爲心矣。同氣之間。友愛彌篤。嘗侍疾於伯氏。躳親湯藥。不脫衣襟。日夜在側。經月不懈。傍人歎服。以爲雖孝子之於父母。蔑以加矣。與叔弟同居牛鳴之地。而常棣之樂。至老不衰。弟嘗抱病。屢歲沈綿。公殫心救藥。一如伯氏之時。至於今年春。則纔經疾病。筋力衰替。而猶且不避風雨。罔間明晦。杖屨來往。殆無虛日。路中嘗有詩曰四人兄弟三人在。一日不瞻十日如。其懇到誠切如此。撫孤姪如己子。敎育成就。咸使得所。而又慮其貧乏。至於脫驂而與之。分異之際。則厚於昆弟而薄於自取。奉先之時。則一於精潔而不事苟簡。當官債督徵之日。則拒家人買田之請。而推其餘以與族人之貧不能償者。聞私穀取息之言。則責守奴督捧之擧。而焚其券以濟鄰里之竆不能酬者。此雖在公爲細行。而亦足爲鳳凰之一毛也。少時言論風采。頗有過於峭峻處。中歲以來。用力矯揉。多方點撿。至於晩年。則鋒穎潛藏。和氣油然。而恂恂焉無復凌厲之氣像矣。處心行己。一以謙虛爲主。待人誠實而不務爲崖異之行。遇事剛果而不肯爲阿好之態。常以治心寡過。固竆勤學等語。懇懇爲子姪言之。而至於作詩以自勉。其詩曰庶幾寡過過無寡。秖欲安心心靡安。又曰顔瓢到處生涯足。管榻穿來世慮空。此其平生苦心喫力處也。自辛卯以後。一切無意於進取。而埋光鏟彩。足跡不入城府者十有餘年矣。所居山水絶勝。雖不嗜酒。而每當佳辰令節風和景媚之時。則必招鄰里集冠童。濁醪山蔬。相與爲眞率之會。白髮童顔。婆娑物外。嘗曰此亦人間一勝事云。於書無不涉獵。而尤精於四子之書。至於庸學則乃其平生所常誦者也。爲文不事險棘。惟務精切。而詩亦淸爽飄逸。無塵俗韻味。淸風子鄭公常稱曰某之詩。得於謫仙者最多云。而我舅氏開谷李公亦歷擧一時同儕之能文者。而及公曰某之才。非吾輩所及云。公先娶淸州鄭氏。高麗大將軍諱顗之後。祖諱琢議政府左議政西原府院君謚貞簡公號藥圃。考諱允偉通訓大夫司宰監主簿。不事擧業。著力儒書。宜人生長法家。志行貞明。二十歸于公。事姑得婦道。配君子無違德。生于壬寅十二月二十六日。歿于壬申十一月一日。享年三十一。用翌年十月二日辛酉。葬于府治之西林皮洞先塋之傍丙向之原。後娶信川康氏。咸陽郡守諱以淸之孫秀胤之女。男女凡八人。曰泰基，履基，益基，鼎基。鄭氏出也。履基生員。曰有基，觀基及二女。康氏出也。泰基娶光州金光遂之女。生一男曰世欽。履基娶坡平尹湯聘之女。生三男一女。男長昌文次昌錫。餘幼。益基娶咸陽朴希文之女。生二男二女。男長世鋌次世鎬。女幼。鼎基娶大護軍權山重之女。生五男一女。男長世鍊次世鎭。餘幼。有基娶生員李惟橿之女。生一男二女幼。觀基娶進士琴養靈之女。生一女幼。諸孫男女嫁娶皆未及。女長適豐山金胄元。生一男幼。次未笄。孼男一曰汝基。公嘗曰我死當與鄭氏同壠。旣歿諸孤遵奉遺志。卜日開塋。一日謂學培曰先君葬有日矣。而誌竁之文。未有所屬。孤等將欲記其一二。以請於大人君子。而不肖無狀。荒迷昏塞。無以發明其先德。從先君遊者多矣。而其深者莫如子。子其幸圖之。學培瞿然曰先叔父志行。固不可泯沒。然撰德大事也。不可以託諸匪人。且欲述家狀。則諸孤當自爲之。况有仲叔氏在。如學培之後生瞢識者。何敢措一辭於其間乎。諸孤泫然曰先君身居畎畞。名不顯於當世。仲父疾病沈綿。又不記其端倪。若不蒙幸於君。則終亦無所望幸焉耳矣。視其面。慘慘焉若不自容者。學培竊惟公之平生言行。在人耳目。若使誌公之墓者。出於平日知公之手。則必不待愚蒙之一言。而特欲略記梗槩。以爲請銘之階主。則爲若無可以固辭者。况吾先君與公。族爲三從而情則一身。平生意氣。傾倒無餘。而不穀獲戾于天。先君子下世今已十四年矣。所仰望而依歸者。惟在於公。而公又至此。恤恤乎無所憑依。今於此役。尤不可以蕪拙辭。仍與諸孤相對泣血。而謹摭其大者如右。以備採擇。微言細行皆不載。上之八年丁未夏五月。族姪金學培謹錄。</text>
<title>崇禎處士瓢隱金先生言行錄</title>,<text>於戲。我先祖成均生員贈吏曹判書府君諱璡。卽公曾祖。毓慶種德。垂裕後昆。長子司成公諱克一。以文章名于世。次子察訪公諱守一。器局峻整。先輩敬重之。察訪有二子。季諱澈成均進士。以判書公命。爲司成公後。寔公考。妣善山金氏。察訪宗武之女。大司諫就文之孫。觀察使柳公仲郢其外祖也。公諱是榲字以承。自號瓢隱。又號陶淵。我金之氏於雞林者。肇自太輔閼智公。在羅而王者曰敬順王傅。在麗而君者曰錫封義城。故子孫仍籍焉。其後有諱龍庇。官太子詹事。以功德祠于縣。詹事生左僕射諱宜。僕射生少尹諱瑞之。少尹生左司尹諱台權。三世俱在麗乘。司尹生諱居斗。入我朝爲工曹典書。典書生諱洊進禮島都節制使。節制生諱永命新寧縣監。是生集賢殿修撰諱漢啓。事我文宗魯山。出入經幄。與河緯地齊名。於公爲六代祖。是生贈左通禮諱萬謹。通禮生贈左承旨諱禮範。承旨之後三世而至進士。以碩德長才。不爵于朝。公之將降。有大虎入庭。蹲坐移時。俄而公降。虎始去。寔萬曆戊戌二月十一日子時也。公生而瑩秀。如明珠出水。爲兒嬉戲。嶄然見頭角。甫齓遇昭敬大王喪。隨里中父老。會哭如儀。識者異之。稍長受學于家庭。耳濡目染。不學而能。日開月益。卓然蚤成。諸老先生交口稱之。伯父參判公涌於學子少許可。每見公製述。必贊賞曰門戶之託在此。丙辰進士公病卒于淸道客舘。公隨往侍側。返櫬葬祭。式禮罔愆。戊午服闋。見世道昏亂。慨然有謝世之志。爲文章劌目鉥心。務去陳言。鉤章棘句。掐擢胃腎。雖與世抹摋而不恤也。參判公嘗擧鄒傳中竆不失義達不離道八字而語之曰。如此然後方可謂之士矣。公服膺不失。以爲立身標準。自是朋遊益附。華聞彌大。一時長老。皆折行遇之。癸亥爲校任。有孼臣爲本府伯。許以素善僧人。遊觀於大成殿。公適自外至。卽令綁縛倒懸。府伯通判交致人傳語。而門閉不得入。乃令登城大呼請釋者十數。公不爲聞。治罪益嚴。聞者韙之。屢占鄕選。皆居前列。而輒不利于省試。乃歎曰大丈夫事業。豈在科擧上乎。雖嘗爲親。隨衆不廢擧業。而所重不在焉。丙子冬。車駕入南漢。公憂憤不成寐。時鄕邦謀擧義旅。推公爲副將。公至則主將獨坐軍廳。紀律不嚴。而戲事之徒。又胥動浮言。公卽摘發繫獄。行軍之日。拿致軍前。擬以行刑。軍中肅然。本府通判。與公有素。公因公事至其室。通判欲設酒。公正色曰孤城在圍。君父蒙塵。此豈臣子含杯時耶。卽起出。通判有慚色。自此西報日急。公决意赴難。而母夫人年高無他子。屢書止行。公義不得絶裾。而慷慨憂國之誠。不能自抑。語及山城。涕淚緣睫。寢不設席。食不安坐者月餘。及聞大駕出城。益痛泣不自勝。時母夫人避在峽庄。公卽具由告先祠。且爲書達慈闈。辭極悲惋。有蹈東海之志。母夫人亦執書以泣。公仍稟曰兒不肖。不得蚤顯揚。今國事如此。安忍更爲應擧覓官計。請從此謝世。以守匹夫志焉。母夫人許之。公遂屛去科業泊如也。惟杜門下帷。沈潛經傳。上自濂洛關閩之書。下逮諸子百家之言。無不反覆尋繹。其獨得之見。超詣之識。已非世儒所及。而專於爲己。恥於求聞。嘗以鞱晦爲務。故人鮮克知之。庚辰丁憂。情文備至。禮俗相稱。一語不及家事。一步不出洞門。服闋移居于臥龍山下陶淵上流。結茅爲廬。種松爲臺。峭壁成障。深潭作池。明沙白石。別一世界。仍號所居齋曰臥龍草堂。又曰大瓢精舍。皆仍其山名也。獨處其中。悠然自得。靜坐觀書。深沈玩味。或㗳默終日。或倚枕達夜。雖家人子弟。莫窺其所爲也。暇日則竹杖芒鞋。徜徉於水石之間。或扣禪牕。或倚松壇。子弟門生。進見請業。則只提挈大義。以俟自得而已。未嘗屑屑於章句訓誥之末。少事吟詠。至是遂絶口不作曰。多言害道。至於知舊書尺輓幅之類。亦或廢閣。若不得已則間或隱其名字。以爲收心晦迹之地。蓋其微意。不但爲避世一節而已也。雖斂退如此。而聲聞旁達。林府伯墰過公山居。見樹陰中籬落隱暎。歎曰眞隱君子也。及還朝。力薦不已。辛卯始除光陵參奉。公聞之不樂。有友人從仕在京。出送資牒。則公愀然曰眞所謂君不知故人者此也。自丙子以後。足迹不入城府。前後國恤。俱就縣學會哭。成服後始還家。猶居外寢而齋如也。寧海之靑杞縣。乃公先業之所託也。晩年挈家移住。築室溪傍。扁以敦艮。蒔花種竹。鑿池養魚。其冲澹之趣。涵養之力。比諸前時。益深且密矣。老有腳患。不便騎馬。嘗乘紙轎。往來于大瓢臨河之間。鶴髮童顔。輝暎山林。路旁之人。皆望之若神仙焉。己酉夏。精舍前峭壁無故崩坼。聲震洞壑。人皆異之。七月初。夢登東海觀魚臺。乃作詩曰老仙超大海。兩腋挾方壺。日月前呑吐。乾坤外有無。鰲潛何必釣。鯨動此堪誅。長嘯倚空碧。雄風生四隅。蓋記夢也。一夕與親舊會于鳳凰山下。笑語終日。神采益淸。夜久就寢。氣息如常。翌日蚤朝倐然而逝。乃十三日甲辰也。享年七十二。訃出遠近皆齎咨涕洟曰。山阿寂矣。士林空矣。節義何託。後學疇依。奔走來哭者百餘人。越四日丁未。奉柩歸殯于家。用其年九月十六日丙午。葬之縣東松石山午向之原。與前端人金氏異壙而同塋。上卽公之藏也。將葬。學培泣且言於諸孤曰。昔者學培從先君側。竊聽先生敎。乃曰我死之後。題于墓道曰。崇禎處士之墓足矣。此實老先生一生苦心處也。以此四字。書之銘旌。納諸壙中。以卒先生之志何如。皆曰然。遂用之。公嘗曰身體髮膚。受之父母。若臨死病瘠。失其形皃。則雖無毁傷。豈曰全歸。又曰死生人道之大節。不可絶於婦人之手。至是而其言俱驗云。嗚呼。公精神秀朗。氣宇嚴正。燦燦如崐山之玉。灝灝如峯頭之月。天分甚高。豪邁絶人。自少激昂。志趣不凡。長而愈騫。涵而揉之。內外完好。可畏而親。平居衣冠必整。瞻視必尊。房室必淨掃。几案必整齊。獨坐儼然。終日竟夕。其所造之淺深。有非末學所可窺測。而用功地頭則多自延平旨訣中來也。故其言曰學者工夫。惟在涵養。若於此不得力。天質雖美。畢竟有粗厲氣像。又曰今世學者。少有所見。輒懷著書之念。此於身心。有何干涉。嘗取中庸。熟復玩味。乃曰聖人心法。都在此中。仍作短歌一闋。以明大本達道之意。而未嘗語及於人。謙虛斂退。又不以師道自居。故雖及門之士。亦不能知其知之者。平生深於禮學。古今禮書。諸家註疏。無不反覆參考。極其歸趣。晩年裒稡編類。節次就緖。而又嫌於著述。書未成而還輟焉。素性淸高。世間榮悴得失。無足以嬰其懷者。於財利尤淡泊。進士公與參判公友愛篤至。終身不分異。參判公歿後。夫人病且殆。欲以未分臧獲。分與諸子。而難於發言。公知其意。仍執筆成文。盡斥己有。讓與諸從。至於進士公婢妾子女。亦書於諸從之下。而終不一言以他僕贖之。先世救活奴婢居籬下者幾百餘指。五十年後。有人自稱其主而來。公一語盡許之。或有密言於公者曰虛實不可知。何輕許若是。公答曰彼之情僞。雖不詳知。吾之本心則已知其非吾物也。何可不許。聞者歎服。有從兄嫂蚤寡無依。公迎奉一舍。同爨而居者三十餘年。恩義兼至。終始無間言。門戶闊大。宗族衆盛。而周竆恤匱。如恐不及。吉凶疾病之際。尤致軫念。雖車馬不靳。又設同宗會。以盡親親之義。歲以爲常。尤篤於奉先。修撰公代盡當埋。公告宗族曰先祖新寧公神主尙在。安忍先埋此主。遂就舊址。別立新祠。仍聚族姓。歲一祭之。外家遠代先塋。歲久陵夷。公倡率諸孫。仍舊封植。又立石以表之。子弟有過。未嘗峻責。常以攝容儀謹言行。辨義利審取舍。不墜家聲等語。諄諄敎詔。嘗曰士君子大節。只在出處。出處不明。餘無足觀矣。平居接人。和氣藹然。而及其義利公私之辨。是非得失之分。則英氣發越。截然難犯。以故人皆愛而敬之。莫敢以非義干之。平生色不遽言不疾。雖在憂患之中。常有坦蕩之氣。喪必致其哀。祭必盡其誠。周旋進退之間。威儀可則。杯酒談笑之際。氣像可觀。迨夫年益高德益卲。睟盎之容。渾厚之姿。聞風者起敬。覿德者心醉。此則俱在人耳目。奚可以言語形容哉。本道方伯。嘗採輿論。以學行文章儀表一道等語。啓聞于朝。而朝無深知者。擬齋郞者五。敎官馬官者二。禁府都事者一。末年又以齒德俱尊。超叙六品特啓。而卒不陞。公初娶豐山金氏。高麗三司左尹安鼎之後。入國朝代有聞人。參判諱楊震。以淸白名于世。修撰諱義貞。有文章直節。三世而至持平公諱奉祖。兄弟八人。登第者五。初持平公爲端人擇對。一見公奇之曰眞大人器局也。許歸之。端人志行貞一。孝友出天。六歲遭同氣喪。哀慼如成人。及歸公。事姑盡誠禮。平明必上堂問起居。仍留執事。承順顔色。未嘗斯須離側。敎子嚴重。義方嶄然。奉祭謹飭。壼範甚修。事君子二十年。終始無違德。生萬曆癸巳四月二十一日。歿崇禎癸酉十一月十九日。享年四十一。擧六男四女。男邦烈，邦衡，炁，邦杰，邦贊，邦照。烈生員。炁蚤卒。杰文科縣監。四女皆嫁爲士妻。權克中，金輝世，權克正，鄭自固。後娶英陽南氏。處士振維之女。擧二男三女。男邦顯，邦謙。女長適金宗汲。次適李兪吾。季未笄。邦烈有三男呂重，弘重，泰重。八女鄭碩胄，金海容。餘幼。邦衡有五男三重，台重，龜重，千重，萬重。三女權霈，李㙾。一未笄。炁無男。以台重後。有二女南明夏，金壽聃。邦杰有五男世重，載重，持重，遠重，聖重。一女幼。邦贊有二男恒重，履重。三女幼。邦照有一女未笄。邦顯有二男南重，華重。一女幼。邦謙未娶。權克中有二男二女。男曄，昈。女適李述意。一未笄。金輝世有三男碩昌，厚昌，遠昌。權克正有六男一女。男昕，暻，暾，暄，昉，晛。女幼。鄭自固無子女。金宗汲有三男二女皆幼。李兪吾有二女幼。內曾孫若干。之鐸，呂重出也。餘幼。外曾孫若干。始公以單身。夙遭愍凶。及其末年。蘭玉盈庭。內外曾孫。幾百餘人。人皆稱積善之報云。噫。公稟金精玉潤之資。天之所以篤生者。實非偶然。而婆娑丘壑。肥遯卒世。道德則光亨矣。志願則未伸也。是豈皇天篤生之意哉。雖然優游閒靜之境。恬養本原之地。蓄之愈深厚。發之愈明白。而終使潯陽三逕。獨保物外乾坤。百世之下。其必有心融神會而感公之心事者矣。彼區區一時之得失。奚足以爲公之榮辱哉。公素不喜著書。雖有寓興所製。而旋作旋毁。多不收錄。今有掇拾詩文若干卷藏于家。學培於公。已在袒免之屬。而自在童幼。出入門屛。恩猶父子。義重師生。雖愚魯不肖。三十年如一日。而平日竊覷公一動一靜之間。固有悅之。而學而未能之歎矣。諸孤族叔。以我爲親炙日久。不擇其人與文。而強委之撰次。學培義不敢固辭。而力有所難當。鄭重而不敢發者。幾一年矣。竊念音容日遠。墓草已宿。而竁誌阡表。尙無所屬。不可無一言以告于秉筆者。遂相對泣血。略記見聞。烏足謂之善觀而能言其德行哉。門人通德郞。前行承文院博士金學培謹錄。</text>
<title>輓詞[木齋洪汝河]</title>,<text>羲文奧義闢門途。卓識玄譚伏老儒。白首抱經無訂處。可堪斯道日榛蕪。茅齋昔日獨留君。夜榻披襟細討文。回首江頭相別處。至今猶有不飛雲。忍聞吾友歸眞宅。揭德誰能更振華。淺土三喪堪惻愴。何人知恤孟生家。</text>
<title>輓詞[鳩齋金啓光]</title>,<text>希賢好學有斯人。何處重來作席珍。嶺海死人今更驗。茫茫天意問無因。身命平生大略同。惟遲一死是輸公。父兄師友今歸盡。泉下應知樂更融。</text>
<title>輓詞[葛庵李玄逸]</title>,<text>冥行半世路遙遙。日暮津頭我友招。吾陋猥當山石用。公仁便欲土牆雕。法門天道終無賴。淸節人間不少憀。往歲先兄交莫逆。九原何處更相邀。末路交情有所須。惟君不世獨憐愚。千差歧路要相討。百載襟期誓莫渝。準擬眞成錦里好。那知虛負落淵呼。傷心底處重承晤。遲死他年儻撫孤。</text>
<title>輓詞[禮曹佐郞李馥]</title>,<text>天殺天生欲問天。黑頭吾友已黃泉。三更梁月顔疑見。千里蘭書訃忽傳。飛不盡翰人共惜。道難容世我偏憐。中宵獨立看星斗。氣像分明萬古懸。以文而會輔其仁。韓孟之交甫砅親。蓮籍齊名單閼歲。芹宮聯袂大荒春。自矜海外來雙鳥。誰料人間失半身。斂卻大惠終一縣。古來才命夢非眞。</text>
<title>輓詞[鏡城判官朴信圭]</title>,<text>知己由來少。斯人又至斯。吾身胡忍割。天道故堪疑。泮璧曾磨戛。淸襟照等夷。劇談寧畛域。礪操謝磷緇。法自儒家有。行從義府推。槐堂擅博雅。梅閣頌恩慈。潦倒猶安遇。飛騰共惜遲。沈沈膏上竪。忽忽夢中悲。漠北縻朱紱。嶠南揜素帷。儀刑從此隔。哀輓欲傳誰。蘭玉仍多藝。箕裘定不虧。萱闈長夜哭。秖使淚交頤。</text>
<title>輓詞[鳳城琴聖徽]</title>,<text>入學知名蚤。登朝屬望勞。亨衢滯騏步。下邑試牛刀。半夜奎精晦。重泉玉彩韜。淫烖誰所致。大叫彼蒼高。器宇存風雅。琳琅識介珪。吾南方倚重。世道奈長迷。鶴去餘城郭。鴻飛但雲泥。平生談笑地。江海日悽悽。</text>
<title>輓詞[豐山柳世鳴]</title>,<text>嶺表推名重。朝端屬望優。長途追往軌。精鑑照淸秋。世事今誰恃。儒林悵失儔。當年孕秀地。山水自淸幽。彭澤賦歸日。鴒原分痛時。凶音俱一歲。餘範有三兒。失學疑誰訪。竆途迹益畸。忍聞臨絶語。不盡孝思悲。</text>
<title>輓詞[族弟門人金台重]</title>,<text>王考儀刑遠。公存道在玆。平生仰函丈。今日送靈輀。可但斯文痛。難堪小子私。不知浮世裏。能得幾時悲。骨肉凋零盡。生存理亦傷。那知數月內。相繼一家喪。忍說高堂老。誰憐十口忙。淒涼錦里宅。垂淚對三郞。</text>
<title>輓詞[世子侍講院弼善李夏鎭]</title>,<text>落月空梁罷夢思。眞傳消息秖成悲。草心未效春暉報。閭望猶深暮出疑。縣棘霜凋棲鳳葉。院槐風折舞龍枝。謝庭幸看芝蘭在。詩禮家聲儻未隳。</text>
