<title>春吟</title>,<text>春來百鳥鳴。曉窓聲相至。幽人夢江南。未盡三湘水。</text>
<title>送南狼川復始</title>,<text>莫道牲川薄。猶堪作隱居。峒氓輸碧實。溪戶稅氷魚。嘯罷親琴鶴。山深少簡書。仙區足靈藥。能復寄圭餘。</text>
<title>李寬甫兄弟以親老挈眷南歸。是余同鄕人也。屬余病不克相送。上東門外。瞻望行舟。有不同歸之嘆。潦草燈前。聊申別緖。</title>,<text>親老思歸切。扁舟百口微。機雲元絶世。廣受不須衰。北闕君恩重。南州夕照飛。此情難去就。停棹欲行遲。</text>
<title>梧木院。謝姜使君仁卿來餞。以遠接使赴義州時</title>,<text>萋萋梧木院。不見鳳凰來。六載六經過。百年將百回。高歌不成興。別意且停杯。陡覺年華晩。相看鬢雪催。</text>
<title>謝重興僧雪中來訪</title>,<text>寒覺敲門澁。初聞認是僧。呼來果入選。朝出自重興。肩聳知衝雪。衣殘爲決藤。多師勤訪意。一夜共書燈。</text>
<title>崔領府事興源挽 三首</title>,<text>季葉忠仍斵。機關智益明。我公惟悃愊。吾輩識精誠。世去風流遠。人亡鼎軸輕。郊門今日淚。不獨死生情。西幸蒼黃日。公來謁寶山。筋骸疲道路。誠意藹朝班。分義惟當死。存亡不動顏。凌煙畫無及。蕭瑟曉旌還。臥閤仍多歲。時猶倚老成。鯫生每當謁。喉語尙開誠。豈少公明學。還欽范蜀名。從今竹前路。一過一傷情。</text>
<title>題重興寺僧軸</title>,<text>昔過重興洞。蒼茫三十年。寒泉生夜雨。落葉沒秋甎。有客今霜鬢。玆山尙翠巓。向來看動靜。三笑了前緣。</text>
<title>題紙帳</title>,<text>紙帳明如雪。書閨施處深。要看成墨色。何用尙銷金。積雪空堆戶。嚴風自滿林。中間擁爐火。宴坐足澄心。</text>
<title>送尹都事調元佐嶺南幕</title>,<text>病客逢秋雨。居常有遠思。如何蓮幕別。又値菊花期。欲去心仍折。長吟鬢便絲。山陰明歲會。吾不後羲之。</text>
<title>館裏感懷。次杜少陵舍弟觀歸藍田迎新婦第二詩韻。</title>,<text>斬項功成後。茅封漫博留。風塵逢帝日。江漢報韓秋。濟北黃公石。湖東范蠡舟。心期通宇宙。蕭瑟暮憑樓。</text>
<title>前宵之會。不覺鷄鳴。朝來但省醟痛在身。不知曾拚勝集。如夢中事。必有多少狂興。逢人絶倒。錄呈諸老先生要砭。遠接使時作。下二首同。</title>,<text>昨日東城飮。荒鷄報曉忙。可憐寒食月。應照李君房。自笑尊前舞。人嘲醉後狂。山公眞率爾。白髮愧能長。</text>
<title>菡萏亭聯句 二首</title>,<text>四月肅寧館。微風落野棠。五峯 靑山繞雕檻。綠水滿廻塘。石洲 笛奏梅花引。杯傾竹葉香。東嶽 會須終永夕。持燭賞紅粧。蛟山此地不常得。人生能幾何。不須促歸騎。且復聽離歌。東嶽 霜鬢花前亞。鶯聲柳外多。五峯 今朝分散後。明日更誰過。石洲</text>
<title>山人可言持月沙詩索和。次韻。</title>,<text>昔過雪菴宿。不及訪龍門。尙喜上方磬。相隨出壑雲。夢遊長在此。消息爾來言。晦迹 寺名 如親履。蒲團聽到曛。</text>
<title>題嚴兒司馬別給文卷 時遷厝花谷纔閱月</title>,<text>積患經年歲。榮名意不遑。誰知餘慶在。能使爾曹揚。舊業徵猶在。新阡展禾荒。長鬚聊志喜。非謂一經亡。</text>
<title>題兔院 二首</title>,<text>官道加楊會。勞勞渡渚樓。炎程曾眺望。寒雨更淹留。煙泛村墟晚。花饛木麥秋。斜陽呼老候。駐馬問川流。李白曾經此。題詩水北樓。回頭廿年盡。轉眄數行留。雁度村聲暮。溪涵山影秋。子雲如再過。千載想風流。</text>
<title>湖堂送朴海運 箎</title>,<text>送子湖西去。湖西我所經。春風貢稅串。晴日掛弓亭。斷岸迷春草。歸心帶曉星。思親雙白鬢。還與野棠零。</text>
<title>處仁縣焚黃後。喜天長老來訪。</title>,<text>昔在蓬萊院。僧來自赤城。伊時長短句。相贈淺深情。歲月干戈隔。山林夢寐驚。重逢各垂淚。不敢問平生。</text>
<title>丁未四月五日。睡窩午睡瞢騰。忽見遼山丁使君士優書。今年春寒。城中花事始濃。坐想鶴樓春遊。不覺神飛。回示短律一篇。</title>,<text>念子遼山去。春深化鶴樓。歸時不相見。別日一何悠。世事琴鳴裏。羈愁水盡頭。遙知習池醉。幾處上簾鉤。</text>
<title>送宣川郡守李愖 二首</title>,<text>暫輟絲綸手。關西把一麾。避賢須異路。便養却低眉。湖泛鷗聲暖。池遊柳影遲。吾衰空夢想。猶記舊題詩。一罷宣城夢。居然六載過。誰知灞陵客。曾到水仙家。柳爲傷離盡。花應手植多。君歸倍怊悵。鬚鬢已全華。右次板韻</text>
<title>送安三嘉 克家</title>,<text>每値南歸客。相携苦說心。還同泉水女。長作越人吟。歲月空芳草。氷霜又太陰。明春何日至。爲我候梅林。</text>
<title>東嶽李子敏自東郊以詩抵余及月沙。報酒熟月明。僕時奉祠太廟。了得腹病。次韻却寄。</title>,<text>齋罷河魚痛。詩來眼便明。已聞山釀熟。重喜桂輪晴。以若停雲想。其無命駕情。行期不負約。杜宇第留聲。</text>
<title>九龍淵船上。贈洪通判 有義。</title>,<text>吾愛唐城子。風流八尺身。草玄傷白首。投筆駕朱輪。玉篴聞韶館。蘭舟鴨水春。重逢成故舊。樽酒荷相親。</text>
<title>題尙玄軸</title>,<text>峿叟曾知白。山人又尙玄。勤來陋巷宅。倘結淨因緣。伎倆元無限。眞空豈有邊。睡餘成一笑。何地不方便。</text>
<title>題元明軸</title>,<text>淨土重營小。僧來必自玆。惟應去城近。不作出山遲。深樹鶯聲鬧。新臺暮景移。少年登覽熟。幽賞只心知。</text>
<title>謝妙煕惠櫻</title>,<text>節物今年晚。端陽不見櫻。山林曾採熟。城巿始看驚。撥箬參差瀉。登盤轉側明。睡餘喉正渴。多謝老僧情。</text>
<title>山人天緝以刻字手來。刊四書五經于漢城之邸舍。一日。袖紅牋乞詩。題一律以謝。</title>,<text>兵戈殘六籍。師隱捨身施。姑置楞嚴字。來刊孔壁遺。歸斯吾則受。文不在於玆。以爾崇經意。知非忍黨碑。</text>
<title>題廣法山人靈應卷</title>,<text>來往關西熟。難登廣法山。山應依舊在。吾老竟何攀。僧到求詩苦。吟成欲寫慳。重行倘有日。待爾席溪間。</text>
<title>題三慧軸</title>,<text>愛釋惟閑故。求詩奈爾忙。非緣好文字。何得近屛墻。翟罷門羅雀。吾衰僧滿堂。免敎譏佞佛。佛豈睡爲鄕。</text>
<title>題戒安軸</title>,<text>危每從安起。師知所戒夫。及危猶不覺。雖智亦同愚。以此求而得。方能免矣吾。相持過橋念。無語坐團蒲。</text>
<title>題信俊軸</title>,<text>蕉葉冷冷雨。筠牕靡靡風。蘧然午夢罷。忽漫墅僧逢。塵外雲移席。茶邊水響空。詩成送師去。怳聽暮山鍾。</text>
<title>窓前有一桃樹障眼。命斫之。以詩酻之。</title>,<text>窓外夭桃樹。陰看夏日披。爲遮南岳翠。故斫滿庭枝。粉堞增千雉。遙岑露數眉。東垣有梅樹。莫賦戀花詩。</text>
<title>寄韓山守成以敏</title>,<text>水部起何遜。韓山求牧翁。尋詩宜有地。得助豈無功。入饌江魚白。迎霜柹臉紅。靑龍奇興發。能遞小郵筒。</text>
<title>贈冬至使姜僉知 正卿○二首</title>,<text>老去常多病。殘年足別離。別尤難故舊。病又劇秋颸。江漢懷歸久。燕遼奉使遲。蟲聲偏鬧夜。魂夢倘相期。吾輩年相次。霜髭衆見悲。猶言早衰朽。不害到期頤。此語知聊爾。曾看亦有之。惟宜節飮食。風露善將持。</text>
<title>贈冬至副使李參議</title>,<text>昨日承英眄。今朝出餞遲。可憐秋後病。曾負里中期。行役丁年好。離愁老境知。待歸容得健。壺酒鎭相持。</text>
<title>題申純甫西湖亭</title>,<text>昨過西湖飮。西湖黃菊秋。楓凋隨水葉。月送上簾鉤。遠渚鴉飜樹。斜陽客下樓。明朝有啓事。白首愧沙鷗。</text>
<title>題權甥遊金剛錄後</title>,<text>歲丁未秋。吾甥權晵赴遊金剛還。以逐日所紀遊一帙示余。余前後見此錄者多矣。其歷歲已遠者。則意其勝槪或有昔存而今亡者。今玆所錄者。則皆一一所新見。而不徒見其錄。又從而聽其說。則尤足以慰余願遊之心也。噫。余生二十二歲而汝生。汝今年三十有四。而已了余五十五年所未試之壯遊。而其探討之窮。亦非他遊者所及。九淵神龍之遇。則又千萬人之所未曾也。顧非奇耶。凡觀山水者。不但爲資瓌觀而備譚論也。必將以廓宇量而廣德智也。則汝之所長進於此行者。其可量也。而又見純陽至德之物。其有異慶事無疑矣。但余有一說焉。凡紀勝者。宜寫其眞。如目見者然。不使毫塵贏縮遺漏。使覽者自認其爲壯麗爲奇偉爲剛勁爲挺秀可矣。若欲以文字鋪張比方。則吾見文字必不逮於造化也。汝可諒之。遂書一律歸之。作計吾誠錯。觀山可待年。卽衰筋力退。今雨谷陵遷。濟勝嗟無具。偸閑亦少緣。白頭人世事。何限後生先。</text>
<title>送平山府使朴燁</title>,<text>來往關西熟。東陽似赴家。如今蹲井鼈。不復看郵花。蔥秀山含溜。猪灘水漲沙。君歸討勝蹟。蒼壁舊題衺。</text>
<title>送人朝天</title>,<text>萬里隨征旆。孤忠鬢髮疏。寒沙夜敲火。殘月曉登車。燕巿逢奇士。幽都有異書。樗材無所用。秋草閉門居。</text>
<title>閔僉知繼中挽</title>,<text>丁未春前別。今來不見君。那堪故園淚。重洒德山原。舊宅花猶在。新阡雨欲昏。嚴程難得便。脈脈過柴門。</text>
<title>午憩靑龍寺。題行正軸。</title>,<text>客到瑞雲山。禪居老樹端。春陰欲微雨。古壑生輕寒。鞍馬苦相促。蒲團成小安。題詩非好事。只爲再遊難。</text>
<title>寄江陵伯金希玉</title>,<text>白首先朝舊。三年哭廟時。進言聊自靖。沽直本非期。恩許江山勝。神扶道路夷。天高大關嶺。何處望京師。</text>
<title>寄關東申按廉湜 二首○時金大憲玏爲江陵</title>,<text>按節連湖嶺。居然白髮翁。從知爲客樂。不及在家窮。蠟屐非靈運。尋丹異葛洪。空敎三逕菊。顚倒亞霜風。咫尺西門路。經過意未䦨。可憐垂老別。還覺入秋難。世道猶行險。交情未蓋棺。臨瀛見龜鶴。珍重說平安。</text>
<title>柳川服闋。承關北之命。臨岐忉怛。贈垂老別三疊。</title>,<text>人言垂老別。白首倍沾襟。況此班侯節。還當子夏琴。潘輿親導路。衛幕獨歸心。南北同風樹。慈烏日夜音。吾老疲筋力。惟知臥始安。君能少幾歲。雖健亦相班。涕淚三年血。關山萬里鞍。加餐愼風土。邊地自寒頑。老少均當世。悲歡柰異腸。看花亦垂淚。臨別保無傷。疇昔前途遠。如今落照忙。惟憐君子道。千里亦同方。</text>
<title>奉贐鄭景任出牧羅州 二首</title>,<text>朝議非私錦。商山豈獨專。方天始生俊。何地不求躔。勝事東南盡。瓌觀陸海全。向來愁綺皓。棋局阻三年。懇懇危治志。茫茫去國辰。擅公眞拙策。賈傅是純臣。倉卒江湖遠。猶然雨露新。吾衰還可笑。長睡亦京塵。</text>
<title>庚戌四月三日。齋宿書雲。早起眺望有懷。漢陰相公亦入齋備扃。咫尺不得拜。以一律呈覽請敎。</title>,<text>齋宿書雲觀。終南春意濃。風光非不好。愁緖奈相從。一物無關念。千端自滿胸。可能呼酒去。同醉看䨥松。漢陰又號䨥松附漢陰次韻官舍禽爭乳。園林綠已濃。年華費愁病。世路斷過從。不是吾同調。何緣共吐胸。心期在歲暮。雙澗撫孤松。</text>
<title>送忠淸監司洪慶臣 二首</title>,<text>京口看雲日。湖中建節行。人稱仕宦盛。天爲弟兄情。棠茇三春暮。荆花再度榮。逢迎如夢寐。樂事始相驚。時洪之伯寧原君退老牙山德。公爲寧原乞出。向得寧原信。春來寢食和。淸羸是通患。高蹈在君多。種竹應盈丈。蒔花有幾窠。遙知相慶處。林館廳鶯歌。</text>
<title>蔡應敎慶先挽</title>,<text>沈約吟詩瘦。陳三徹骨淸。一生懷玉色。重壤阻金聲。鸑鷟常稀出。醍醐苦易傾。茫茫問天道。皓首不勝情。</text>
<title>愚伏鄭景任將赴羅州。僕以兩短律贈之。其一聯云。方天始生俊。何地不求躔。及愚伏赴羅纔八日。有本道觀察之命。愚伏以詩讖咎之。其赴道也。又要贈言。別固不可堪。而詩亦不勝辦矣。爲愚伏友者。其亦苦矣。愚伏旣貽苦於吾儕。其可以勝覽等佳帙以慰之否歟。二首○時湖南方刊輿地勝覽等書</title>,<text>士別言相贈。於君亦不堪。經旬來索句。匪久會盈龕。芳草連三月。梅花動二南。明朝湖嶺路。江水自湛湛。湖人不相得。君重豈羅專。始爲藩維剩。聊從劇地先。天心元有屬。物議服無偏。箕範存柔克。須憑察俗賢。</text>
<title>送延安安明府 昶</title>,<text>又見新春至。吾衰未拂衣。風光動阡陌。時節近芳菲。離別看看數。親知故故稀。鹽州亦吾土。從此浣溪歸。</text>
<title>漢江十貂亭。送康靑松明之。</title>,<text>江湖秋水至。涼雨送君遊。世事䨥蓬鬢。人生一釣舟。看看綿病歷。故故動離愁。何處聞新雁。靑山獨上樓。</text>
<title>尹領樞承勳挽 二首</title>,<text>柏府聯床日。關西扈聖年。艱危臨鴨水。悲憤撫龍泉。樗櫟仍成散。塩梅喜得賢。黃扉竟寥落。生死又茫然。哭盡匡時相。惟餘土木翁。猶憐情有緖。空作淚無窮。乙密看花地。龍山落帽風。幽明不同賞。秋雨暗丹楓。</text>
<title>寄李子敏</title>,<text>憶昨東槎使。居然經十秋。看君少者壯。宜我老而休。假復遵前道。誰能辦舊遊。奇歡如隔世。不語且垂頭。</text>
<title>凌虛亭宴席。錄奉座上。</title>,<text>斜日上高樓。蒼茫動遠愁。殘生知有幾。佳節又窮秋。歷歷鴻飛去。沈沈江水流。明年雖再會。座客不常留。</text>
<title>趙正應文挽</title>,<text>家學傳論語。詩聲屬倚樓。百篇有餘裕。三歎不曾休。位致諸卿列。名成九牧流。東門風雪裏。何處送君遊。</text>
<title>姜大憲籖挽</title>,<text>經營四方志。廉簡質神明。登進差殊隊。衷襟槪一誠。硏經 山名 話燈火。秋月 亭名 賦生平。詩在人先去。千秋不昧情。</text>
<title>送木川宋使君</title>,<text>同榜爲兄弟。婚姻亦孔云。餘三十年內。吾一二人存。芳草生江路。梅花動別魂。行裾留不得。落日更移樽。</text>
<title>李僉知基卨遷葬考妣挽 一在果川。一在通津。</title>,<text>冠岳松楸地。非惟水齧移。延津雙劍阻。孝子一心悲。隱隱佳城出。融融大隧遲。千秋安體魄。固護永無期。因亂開津兆。居然寓葬遲。重城眞宅祕。冠岳暮雲疑。春水雙旌泛。江風一棹吹。千秋諧至願。福祿鎭相隨。</text>
<title>感懷</title>,<text>東序天球寶。名山太史書。逢人任物色。顧我莫分疏。寂寞周南病。蒼茫碣石墟。長歌意寥落。吾道復何如。</text>
<title>雙翼軸中。次西崖相國韻。</title>,<text>處世渾無興。霜髭撲撲塵。羞將閑物色。埋却好精神。得計唯須去。佳期不待春。江山先送子。瞻望側陽巾。</text>
<title>題通禮院契軸</title>,<text>邦國屬多事。儀仍凶吉賓。諸君謹執禮。大典賴成倫。綿絶何煩習。臚傳似有神。畫圖脩契好。古俗不妨因。</text>
<title>贈鄭景任</title>,<text>昨夜逢君面。燈前認老翁。餘生斷無策。吾道會何窮。夢裏千山月。愁邊萬木風。幾時淸洛畔。相對說恩同。</text>
<title>靑鳧康使君明之創一室于丹崖碧水之間。扁曰生白。要余詩之。余旣喜康君辦得勝事。又喜名堂之義有得於虛明應物之妙。於是乎同金亨吉老兄賦之。</title>,<text>應物虛爲妙。唯虛白乃生。旣敎身有世。那得事無情。澹澹心常寂。循循理自行。名堂聊寓警。非室使人明。</text>
<title>金參判時獻挽 二首</title>,<text>玉署封章日。天曹扈聖年。蒼黃風雨裏。規儆雪霜前。世道今如此。人生足可憐。君亡且休哭。交好在重泉。昨哭南坊宅。衡茅四壁涼。丹旌夐幽室。碧草蔓空房。業靡詩書託。名留簡冊香。驪江今夜雨。何處是君鄕。</text>
<title>甥姪女韓昌君夫人挽 二首</title>,<text>戚戚傷天理。遐㱓未必仁。蘭摧以婀那。玉缺爲精純。悃愊知情素。慈祥見性眞。存亡今已矣。芳草樂生春。其先塋在樂生驛近處故云天只臨堂日。諸孫共一家。參差分長幼。歡樂等孃爺。老舅今華髮。阿甥已落花。可憐脩短數。芳蕙獨無芽。</text>
<title>東郊。贈鄭景任之江陵。</title>,<text>不創中年惡。臨岐又送歸。野橋芳草遍。官路遠山疑。垂老身長倦。傷時涕亦危。停杯有餘意。不敢話君遲。</text>
<title>題姜弘定茅墅 二首</title>,<text>夙有林園志。風塵尙未歸。今看新築勝。重覺舊心違。赤葉黃茅棟。靑谿白板扉。三冬借君宿。燈火賞天機。斜日平蕪下。漁歌兩兩歸。入門靑箬解。登盌紫鱗肥。野鶴分霜稻。遙岑沒夕霏。郊窓須早閉。風露濕人衣。</text>
<title>送全羅都事鄭樟</title>,<text>苦憶寒岡老。江南送典刑。懸知碧骨水。不達洛濱亭。薄宦乖心志。高年遜野坰。臘前應赴省。遙望少微星。</text>
<title>次寄松都洪留後君瑞</title>,<text>屛迹今經歲。看詩得自強。人生本如此。世事亦堪傷。野鶴鳴天曙。庭蘭殞曉霜。親知能有幾。獨坐戀淸揚。</text>
<title>新春。喜贊長老來訪。以詩謝之。</title>,<text>不到懸燈社。于今四載強。淘泉聞滿碓。種檜已過墻。雨露新春至。芳華舊樹香。吾行趁寒食。同宿贊公房。</text>
<title>所串道中短述。錄示洪別駕求和。二首</title>,<text>王事敦如此。嚴程春又回。吾衰尙筋力。道遠敢徘徊。野馬林稍動。郵亭柳外開。津人頻見我。相說老官來。所串殘殘館。河津澹澹橋。天高行李小。壄曠鳥飛遙。道路菁華盡。驅馳髀肉銷。春寒何惻惻。客興太蕭條。</text>
<title>壬辰夏。在浿江圍城中。題僑壁三律。</title>,<text>慘惔君臣契。間關社稷名。官軍思奮氣。壯士欲捐生。漢水風濤散。神京壁壘淸。長歌何日入。父老望干旌。擧目山河在。蕭蕭風景殊。江湖欲滿地。霜雪已生鬚。古意摩金狄。長歌缺玉壺。男兒身不死。策馬問前途。冷落新亭會。蕭蕭揚子津。諸公莫涕淚。我意不逡巡。擊楫中流日。橫戈報主辰。神京如在目。鍾簴夢嶙峋。</text>
<title>安三嘉克家挽</title>,<text>病臥驚秋至。全君有訃書。常懷三徑賞。已到九原墟。後死知無日。冥交會有餘。猶將眼前痛。千里一沾裾。全察訪兩傳訃音故云</text>
<title>萬曆乙卯五月。僕與金享吉，郭夢得，李剛仲，朴恕仲，姜仁卿，朴順仲會于剛仲城西之新堂。皆僕故舊也。感舊興懷。以短律一首。屬座上和之。</title>,<text>歷友平生士。無如結髮知。相逢有何意。久別只心思。偶遂新堂會。宜尋舊較詩。揮毫覺易倦。把酒惜吾衰。</text>
<title>西湖舟中。次李子敏送別韻。</title>,<text>喪亂何時已。孤臣有遠情。微誠元北拱。隻影又西征。野色荒荒散。波光故故明。主危身未死。肯避獨賢名。</text>
<title>新安。次韻贈鑑上人。</title>,<text>不作歸田賦。寧爲結夏禪。吾言眞率爾。此計亦徒然。客路關霜重。鄕心塞月圓。今行了王事。方到渭南天。</text>
<title>僑窓酒席。錄奉三君子請敎。</title>,<text>城外馬蕭蕭。春光入柳條。草生江路遠。雲散楚天遙。淚爲傷時洒。魂因去國銷。明朝相送罷。匹馬上河橋。</text>
<title>懷遠館。寄許府尹。</title>,<text>憶昨江頭別。君來挽客衫。人生非鹿豕。世路自西南。遠水歸鴻早。寒山落日含。衰年當此境。懷抱我何堪。</text>
<title>發海州衛途中</title>,<text>郭外河流遠。風高水響隄。沙明欲無路。矼短不過溪。驀地煙光泛。浮天樹色齊。吾邦無此野。一望眩東西。</text>
<title>遊北鎭廟</title>,<text>古廟西岡近。松圍祕殿開。精靈應陟降。蒼翠爲彎回。塵壁猶看畫。欹階自剝苔。攔街人盡醉。知是賽神來。</text>
<title>東關途中</title>,<text>塞日荒荒薄。邊春悄悄寒。客行二月半。花意十分慳。幽夢尋梅墅。閑愁過杏山。逢人多苦語。行役易凋顏。</text>
<title>楊忠壯墓 楊摠兵照。癸亥八月。征虜中流夭死。年四十。忠壯其諡也。墓在前屯衛城西。有神道碑。余編修有丁撰。徐閣老階書。碑序云。忠壯之生。母候氏夢見大鵬飛騰海岸。遂生公。公胸刺盡忠報國四字。遂以是比之岳武穆。有其生同其志同其忠同其死同之說。</title>,<text>遺墓行人拜。將軍倘有靈。虛簷松籟語。古壁土花生。岳鄂眞無忝。林宗不愧銘。遼人輕冷節。剛鬣祭淸明。</text>
<title>宿野店</title>,<text>倦客投孤店。昏鷄已上塒。遙遙海潮響。習習谷風吹。世事垂頭處。鄕愁倚柱時。棲鴉知節候。銜木趁春孶。</text>
<title>杭州西湖圖</title>,<text>邐迤西湖路。瓊樓出柳梢。樓中有仙客。樓下俯虹橋。半夜騎丹鳳。凌虛弄玉簫。天風颯然過。桂子月中飄。</text>
<title>潞河驛樓。次忘軒韻。</title>,<text>客過河樓宿。天風響紫霄。依微春曉夢。淅瀝早江潮。碧水元通楚。靑山不見遼。湘潭芳草綠。惆悵玉人遙。附元韻通州天下勝。樓觀出雲霄。巿積金陵貨。江通揚子潮。孤雲秋落渚。獨鳥暮歸遼。鞍馬身千里。登臨故國遙。</text>
<title>通州 二首</title>,<text>禹鑿開長塹。仙源不可窮。龍舟太液近。御氣夾城通。翠泛宮粧晚。花流禁苑風。有時芳晝聽。天樂下靑空。通州大都會。形勝若天成。舴艋渾無水。垂楊不見城。鶯來建康樹。潮帶浙江聲。商客何多楚。梅花入笛淸。</text>
<title>杏園</title>,<text>賣藥韓康伯。開園董晉卿。平生活人志。瀟洒脫塵情。守價非沽貴。收錢不願贏。天機未盡晦。處世太妨名。</text>
<title>石假山</title>,<text>石築仇池穴。中藏小洞門。大都積文甃。隨處列雲根。逐折陰通逕。從巓豁起軒。冬靑滿院樹。花雨鎖芳園。</text>
<title>价川細雨亭。別舍弟孝思。</title>,<text>世亂難爲别。年衰覺易傷。每當梅雨節。羈夢草生塘。江店孤煙白。原田小麥黃。相看各華髮。垂淚問行藏。</text>
<title>雲岩兩律 一次西崖韻。一創新韻。時崖亡已二歲矣。錄奉宋使君塇仲懷。</title>,<text>亭在儒仙去。朱陳尙有隣。溪山無盡跡。風月後來人。買宅聊相寓。求田不是眞。雲林際天闊。何處接淸塵。不信桃源記。如今始驗眞。石遷高下路。茅屋兩三人。樹老苔縈髮。江淸鱖數鮮。時逢耦耕叟。無語亦無嗔。</text>
<title>到龜鶴亭吟</title>,<text>度嶺尋巖老。相逢龜鶴亭。玄經尙無恙。白髮不須驚。古木臨溪水。芳舟近野扃。看君享淸福。漂泊愧吾生。</text>
<title>奉使達城。還到赤城。謝天長老來訪。長老昔居靑龍寺。今移田興小奄云。</title>,<text>昨過靑龍寺。先尋老宿名。聞今移錫去。還見泛杯迎。茁茁霜髭密。翩翩雪衲輕。從前林下約。相對愧平生。</text>
<title>紀夢送江原監司洪輝世</title>,<text>前數日。僕夢遊金剛甚歷歷。起而自解曰。宣尼以不見周公爲衰。吾猶見此山。豈有勝債未盡耶。旣解已。鶴谷洪君輝世以關東按廉來辭。僕莞爾笑曰。向之夢。其爲是耶。僕見人遊山錄多矣。或誕或誇或晦而紊。見之有迷於端倪者。今鶴谷遊必錄。錄必的。倘蒙示眞面目。使僕得其要領。如晦翁了了於江北地理。則向之夢。豈專爲鶴谷地耶。聊敍此送之。仍藏其留箋。以備他日相謝之用云爾。屬夢金剛勝。開書驗底徵。非緣爲吾地。方覺送君登。檀柏初無路。峯巒迥帶氷。郵筒如見遞。蝴蝶豈閑騰。</text>
<title>送金陜川 昌一 赴任 二首</title>,<text>病覺歡悰減。衰知別緖酸。身羸人事絶。日暮後期難。芳草晴迷遠。桃花雨送寒。應經梅鶴墅。歸夢逐君鞍。行色非官吏。扁舟百口微。誰知淸洛計。不爲陜川麾。暮雨山迎棹。春風柳拂衣。臨分却寄意。珍重渭陽期。</text>
<title>謝都承旨李 潤卿 來訪。因次其韻。二首</title>,<text>時僕判金吾。遇有試場。金吾郞見差禁亂官。政院使令。就場作挐。因與起鬧。政院，金吾。交章相辨。潤卿措辭過緊。語侵老身。仍來相謝故云。昨荷高軒過。茅簷俯小池。閑忙難得便。戲劇或成宜。一笑心無逆。三杯飮莫疑。紛紛看伎倆。交道貴相知。老去憐言耄。中心不自疑。機關人易惑。駟舌悔何追。也倚金蘭契。休煩天地知。向來成大笑。尊酒莫相欺。</text>
<title>夜至。呈示牧伯。以觀象監提調。奉審時作。</title>,<text>夜到星山館。依微不見花。溪流度淸淺。梅影想橫斜。但識村人火。難分處士家。明朝是寒食。晨起賞年華。</text>
<title>題伏龜亭 二首</title>,<text>曝背忘歸水。誰來結構忙。雖能脫祀骨。不免替支床。莫羨遊荷葉。猶便吸月光。已看腸化石。榮苦兩亡羊。倦客臨淸水。衰容始得知。連年在長路。何日是閑期。不復山鷄愛。空添墨子悲。中心有幽計。得失願鑚龜。</text>
<title>夜坐有感。錄奉許御史，尹學士吟契。</title>,<text>永夜燈花落。羈心歲暮驚。亂風鳴古木。飛雪撲虛欞。獨坐成三嘆。孤吟惜半生。曉來方小睡。歸夢度長亭。</text>
<title>龍灣。候陳察院不至。</title>,<text>岷麓陳夫子。堂堂四海名。披肝獻長策。驅馬去皇城。繡斧觀戎志。金笳出塞聲。東人加額久。何日折腰迎。</text>
<title>伏聞大駕隨天兵前駐原堤。錄奉許從事。想憂慮同之。幸賜和敎。</title>,<text>臈月天師下。層氷塞兩河。君王在帳殿。玉候近如何。絶塞孤臣在。中宵獨起哦。侵晨問東信。行路語多訛。</text>
<title>送白沙相公遠謫 二首</title>,<text>同列顔何厚。危言只屬君。童遊見天分。歲暮叶人聞。送踏蕭關雪。隨征嶺海雲。都門經過處。有淚落繽紛。少小同爲學。平生謂可期。長途從闊步。餘事謝狐疑。滿腹惟忠信。當前尋路岐。相分今日意。不愧鬼神知。</text>
<title>次寄李子敏</title>,<text>海內文章子。平生灣上遊。蘭舟九龍水。花月百祥樓。歌謔雲無跡。存亡淚不收。依然今夕會。相慰且相愁。</text>
<title>白沙相公挽 四首</title>,<text>邦國多艱日。樑摧社稷臣。興亡看何事。謫歿屬斯人。正氣乾坤盡。高名宇宙因。山河五鐵卷。勳業在麒麟。道德元虛位。忠邪不定名。空敎白山重。何益北溟淸。世事寧須怪。神明只可驚。都人加額望。風雨暗丹旌。范老辭朝日。令威去國時。荒城從自在。逐客不曾歸。春草初生別。榴花未落悲。獨來相送處。垂淚想征衣。少日推三李。吾年最在先。深慙糠秕壽。忝列鼎台前。德業歸公輩。癃羸獨我偏。凄涼餘後死。萬事問蒼天。</text>
<title>津寬僧行淳以淸虛，四溟詩來示。書以送之。</title>,<text>海內桑門友。淸虛與四溟。祗今俱示寂。殘墨有餘聲。哀壑空秋色。層城澹曉星。孤懷送行脚。天外片雲征。</text>
<title>送冬至尹使義立</title>,<text>君命難辭處。親年可懼時。心腸無彼此。物議有公私。人見驅車亟。誰知愛日悲。平生多苦意。珍重語君遲。</text>
<title>晚翠吳判書挽</title>,<text>雪裏聞君訃。倉皇哭寢門。淸名滿世上。破宅倚林根。遷柩朝京闕。移家向北原。南郊同待罪。先去是承恩。憶昨烏蠻館。相携淚血沱。孤臣猶有死。物議保無他。功罪秋看月。奔還夜渡河。存亡君已矣。萬事復如何。</text>
<title>淘井</title>,<text>荆楚淸明俗。能令野井新。巖泉纔逬砌。石縫已無塵。堤柳涵靑嫩。厓松動碧粼。村童來汲罷。星月夜交因。</text>
