<title>栢川醉吟</title>,<text>逢場卽盡懽。豈必傷遲暮。岸柳與汀花。蹁躚共我舞。</text>
<title>挽詞[領議政吳允謙]</title>,<text>故舊凋零甚。邦家殄瘁仍。低徊淹暮歲。奄忽哭良朋。文武資全幹。巖廊待並登。安邊曾上策。滅賊際中興。末疾方需養。前籌庶有憑。丹靑虗俊表。部曲失風稜。自係龍蛇厄。焉知箕尾乘。揄揚在史筆。此誄寫悲膺。</text>
<title>挽詞[左議政金瑬]</title>,<text>嶽降無雙士。人推不世姿。受知由聖祖。盡節在明時。文武才隨用。巖廊望屬誰。捴戎須上策。推轂復西陲。憶昨風塵際。蒼黃廟社危。金戈掃兇孽。玉輅返京師。姓字華夷誦。勳勞竹帛垂。雄圖猶未展。末疾遽難醫。間氣從全息。吾生亦已衰。龍驤新兆宅。麟閣舊容儀。參佐塡門哭。親朋執紼隨。扶顚誰與共。獨立淚如絲。</text>
<title>挽詞[右議政李廷龜]</title>,<text>西郊推轂蔚風雲。盛禮殊恩古未聞。勳業爭推大元帥。褊裨皆列上將軍。半生夷險身俱老。一病幽明路忽分。世事艱危猶溢目。廟堂何日不思君。</text>
<title>挽詞[延平府院君李貴]</title>,<text>執友皆淪喪。姻親半在亡。今君又冥漠。老我益凄凉。孝友思張仲。謀猷憶子房。旌旄臨閫臬。紳笏坐巖廊。運智誅狂逆。殫忠答寵光。功名爛竹帛。事業溢旂常。鎖鑰威聲壯。山河帶礪長。暮年淹疾病。昭代信行藏。牢落曾開府。蒼茫舊戰塲。時危失良將。哀淚倍沾裳。</text>
<title>挽詞[兼刑曹判書金尙容]</title>,<text>平生氣槩好男兒。文武全才世共推。千乘餞行紆寵眷。十年專閫佩安危。凌煙勳業丹靑煥。司馬聲名走卒知。胡虜未平天奪速。爲公無憾爲時悲。西庠初見卽開心。五十年來契分深。世態翻雲看屢變。交情若水久彌欽。龍亡大澤嗟何及。絃斷峩洋淚不禁。臨訣一言猶在耳。冥班他日倘重尋。</text>
<title>挽詞[錦陽尉朴瀰]</title>,<text>德以明良遇。人膺夢寐求。忠誠推魏國。帷幄契留侯。往者災猶降。西關祲未收。先王遺簡拔。當宁仗才猷。曠世看郊餞。殫心擬死休。如何吠主犬。敢試射天謀。螭虎方將噉。豹狼漫自投。初揮白羽扇。不爲紫貂裘。整頓收京邑。糢糊築髑髏。能回故廟貌。一豁聖君愁。禮樂中興日。勳庸五等秋。安危郭中令。指畫杜荊州。盡瘁惟丹悃。沉痾已白頭。星芒隕漢壘。舂杵輟秦謳。宸極纏深痛。廞儀備九幽。凄凉餘部曲。寂寞舊朋游。少也蒙憐甚。怡然致敬優。艶稱萊子戱。長憶小連憂。種種腸如結。茫茫淚暗流。人間口碑在。留與播靑丘。</text>
<title>挽詞[海嵩尉尹新之]</title>,<text>尙憶行宮露布飛。三橋迎駕庶人衣。勳名百代相終始。齒舌當年漫是非。河上扁舟違宿計。郭西斜日掩重扉。乾坤擧目英豪盡。大樹蕭蕭涕自揮。</text>
<title>挽詞[益寧君洪瑞鳳]</title>,<text>頗牧元來在禁中。山西未必限山東。少年豪氣幷州馬。一代儒生采石功。鍾簴不移天豈偶。林園窮勝夢先空。卽今樞宥仍多事。耕織無從問老公。</text>
<title>挽詞[吏曹判書鄭經世]</title>,<text>今代麒麟說老臣。幾年鵷鷺忝同寅。紛囂百變心無位。喜怒都忘德更眞。經席乞骸憐苦意。公於夏間入侍時。乞退甚懇不得請。以今思之。豈自知不能久耶。 廟堂論事憶風神。悲凉欲斷盤松路。可耐羊曇醉後春。</text>
<title>挽詞[行副司直金尙憲]</title>,<text>男子生斯世。身名不寂寥。才高元拔地。翰盡欲摩霄。氛祲昏王室。驅馳許聖朝。功勳編閥閱。部曲仗忠驍。誓指山河重。恩霑雨露饒。心肝期盡瘁。髀肉敢言消。末疾終無喜。英魂去莫招。戎機誰更捴。邊事正難料。北虜豺牙厲。東夷虺首搖。重泉不可作。大樹日蕭蕭。</text>
<title>挽詞[戶曹判書金起宗]</title>,<text>邦運昔中否。扶持在我公。指揮成妙筭。談笑立奇功。宗社艱危甚。君臣際會隆。文儒推碩輔。武望屬元戎。鎖鑰防邊壯。旂常紀績豐。行藏關世道。存沒軫宸衷。耆老今垂盡。勳名誰與同。傷心舊部曲。何處覓英雄。忍見三軍泣。空留大樹風。千秋鞍嶺色。蒼翠上摩空。</text>
<title>挽詞[吏曹參議李明漢]</title>,<text>歷數先朝將相才。玉城勳業最雄哉。咸稱方叔謀猷壯。早識婁公度量恢。領略山河歸約束。走趨金紫視輿儓。千年幸際中興運。白首重登上將臺。位近三階班自絶。禮隆雙闕轂親推。時當逆竪干天紀。義激王師指日摧。淮蔡已驚丞相至。吐蕃爭拜令公來。園陵一掃妖氛淨。渭水初迎法駕廻。戰士黃金分爛漫。元戎麟閣起崔嵬。功如大樹人誰撼。謗似中山事可咍。晩節優游偏雨露。餘威燀爀尙風雷。江湖范蠡扁舟在。花石文饒別墅開。畵省香爐曾末照。南樓淸夜幾追陪。窮途汲引看高義。大府周旋愧散材。病裏憂時聞欵曲。語間開抱絶嫌猜。山丘零落風流盡。部曲凄凉雨泣哀。死葬衡山封馬鬣。身騎箕尾壓河魁。平生劒舃陳如舊。哭向床前奠一杯。</text>
<title>挽詞[僉知李植]</title>,<text>間世英豪山嶽重。中興功烈鼎鍾鑱。帷中决勝妙黃石。淮上督師追紫巖。利鈍險夷臣節壹。哀榮終始聖恩涵。門生故吏感知己。最濕靑油從事衫。壺歌乍輟御醫臨。靈座旋開舊閤深。太史紀功書上謚。儀曹護葬副宸心。阿奴目下傳家業。逸少床東效國琛。無奈悲風吹大樹。龍泉往往匣中吟。</text>
<title>挽詞[大司諫鄭百昌]</title>,<text>不有滔天逆。誰知蓋世豪。元戎奮忠烈。巨猾就鏖糟。爵列公孤貴。勳歸李郭高。宅西當鞍嶺。氣勢鎭相牢。落落風雲志。堂堂虎豹姿。班資兼將相。勳業係安危。爽氣回河岳。鴻名勒鼎彝。匈奴猶未滅。部曲有餘悲。幕府收賢俊。羣龍競著鞭。小子蒙汲引。大度荷陶甄。忽失帲幪速。空悲殄瘁偏。豐碑載偉績。誰定筆如椽。</text>
<title>挽詞[副提學李敬輿]</title>,<text>功蓋三韓日。名高四海聞。圮書資妙略。彝鼎記殊勳。匡復天生李。分封地啓汾。指揮成遠筭。談笑掃妖氛。閫寄都元帥。台階府院君。暫歸諸路節。將老九江濆。北伐猶陳表。東封豈草文。星沉五丈壘。哀動六州軍。玄甲祈連塚。靑烏穎水墳。恩榮超古昔。典冊答忠勤。羽扇凋塵匣。荒原傍斷雲。靑衫趨幕府。白首忝僚員。公瑾醇醪醉。河陽麴糵醺。那知湖海別。遂作死生分。古壁留雄劒。虗帷照夕曛。西城三尺雪。和淚落紛紛。</text>
<title>挽詞[行楊州牧使李景奭]</title>,<text>落落英豪氣。堂堂將相姿。天衢開萬里。地理略三陲。異數從宣祖。中興更寵私。何曾辭險阻。早已許驅馳。推轂千軍聳。除兇一劒隨。功能冠煙閣。位亦亞台司。盡瘁身添病。論兵衆所推。風霆下令日。帷幄運籌時。往事嗟何說。追思淚自垂。胡塵駭倉卒。軍勢奈孤危。防海南師滿。踰關北騎遲。元戎難進退。廷議易瑕疵。和定評逾峻。遷居數且奇。丹忠神可質。環召爵仍縻。錫賚偏宸眷。刀圭荷太醫。其如大限迫。最軫聖情悲。部曲空相弔。韜鈐復仗誰。儒冠慚我拙。幕府受公知。世亂同生死。時淸失羽儀。千年鞍嶺在。不用峴山碑。</text>
<title>挽詞[前舍人鄭弘溟]</title>,<text>文武稱張仲。堂堂八尺軀。飛騰笑雌伏。容易展鵬圖。宦自先朝達。才堪一代須。聲名隨出入。心力效馳驅。異數親推轂。中權儼握符。西門專鎖鑰。左顧伏狼貙。奮袂追狂賊。迎鑾返舊都。殊勳爛竹帛。餘暇樂笙竽。游刃恢餘地。披襟激懦夫。蹐門慚下榻。分宅慰窮途。意氣蒙推奬。存亡屢歎吁。公私相弔罷。時事尙艱虞。</text>
<title>挽詞[應敎李昭漢]</title>,<text>國啓中興日。公登上將壇。潢池値小梗。宗社賴重安。異數光推轂。元功在據鞍。褊裨心共附。寇賊膽先寒。峻秩台衡逼。沉痾歲月闌。長城忽頹壓。大樹日摧殘。爲撤瓊厨膳。冞增鉅鹿嘆。艱虞誰復恃。朝野淚相看。</text>
<title>挽詞[典籍朴漪]</title>,<text>世謂無良將。吾猶見洛翁。胸寬能得士。猷壯又閑弓。夙昔金閨上。艱虞玉帳中。四邊瞻棨戟。十載擅元戎。郊餞膺優禮。帷籌邁古風。妖星守南斗。烽火接彤宮。半夜烏頭白。長安殺氣紅。登舟溫嶠泣。傳檄魏公忠。據北隨揮扇。追奔若捲蓬。兇氛一鼓掃。露布九門通。天討知無敵。儒臣竟有功。畵圖留百代。名數冠羣工。廊廟推長策。江湖泛短篷。三軍如望歲。二竪遽纏恫。冥漠收精爽。哀榮貫始終。扶顚計已失。遺老理尤夢。部曲歸依絶。師垣節度空。久違床下拜。憶作座隅童。不是連墻義。誰憐涸轍窮。非唯爲時淚。私慟輟帲幪。</text>
<title>挽詞[行都承旨趙翼]</title>,<text>海內名聲走卒知。身邊能繫國安危。爵尊一代心猶小。功蓋三韓迹太奇。聖主不禁辰日哭。賢人從古已年悲。公私幾處存遺愛。行路傷嗟峴首碑。</text>
<title>上年夏初。都元帥之出征也。上親幸西郊。送之。元帥要余贈言久矣。今於成大功之後。錄奉玉城府院君幕府。[柳根]</title>,<text>寵渥隆推轂。軍行啓詰朝。西郊帳殿闢。北極御香飄。拜跪擎宣醞。恩榮錫佩刀。惟玆膺簡寄。奚啻受弓弨。幕下才如馬。行間技射鵰。繆綢備外患。亂賊出同僚。倉卒滔天禍。幺麽啄母梟。豕從關外突。魚聚鼎中跳。曉諭先移檄。逃還半在宵。游魂穿間道。逆氣直干霄。殲滅由臣力。煙塵不日銷。肅淸追李晟。將領類嫖姚。伐蔡三年遠。成功一代超。欽哉須再往。痛矣失全遼。征繕誠難忽。兵糧務速調。長城增國勢。上策禦天驕。掎角隨時雨。攻心若疾飈。阽危能樹立。臨事戒輕搖。繪像登煙閣。聲名近斗杓。荒詞經歲就。多愧續諸貂。甲子夏西坰柳根</text>
<title>我上之反正後。擢置將相。相曰家君。將曰公。及夫壇于郊而推轂也。乘輿曉出。大角鉤陳列于迎恩門下。中軍建鼓。萬衛無譁。元帥具介冑。以待門外。時家君控辭新命。不克送公行。余小子扈駕。拜公於路左。致家君之辭。瞻仰公表。不數語。宣召入矣。禮闋。分羽衛而西。虎士騰風。轔轔有車馬聲。塵埃漲而不見沙峴矣。傾都士庶。共觀而舚舌焉。出師之盛。古未有也。顧余何幸獲際昌辰。身覩盛典。而嚴不敢以一言送公之行。心不歉者屢日矣。公至鎭之一月。走書於余曰。聖主出餞之擧。出於曠世之典。不可使盛事湮沒。盍賜之言以侈之。余旣拜受書。心語口曰。余豈知言者哉。揄揚盛禮。固非駑下所敢承當。直以故人稚子情禮。有不敢以不文爲解。唯是竊託大賢。附名於不朽。則抑余之私幸云爾。[尹新之]</title>,<text>元戎十乘戒車徒。法駕推輪禮絶殊。盡道周王太師載。何如漢祖小兒呼。三軍拭目瞻龍衮。七尺持兵奉聖謨。不使至尊憂社稷。會看垂拱一愁無。仗鉞轅門帶舊痾。時危無計卧江沱。淮西功待裴丞相。銅柱聲馳馬伏波。玉塞秋霜明組練。金城雲陣擁矛戈。遼陽今日須中夏。好向燕京奏凱歌。天啓癸亥仲秋。海平後人尹新之。</text>
<title>爲洛西張開府出師。駕幸郊壇。推轂禮成。紀以詠之云爾。[申翊聖]</title>,<text>凶奴讐大邦。其意不在小。界又迫於我。一水衣帶繚。氷梁色皛皛。邊郡虞朝暮。十年如一日。有食焉得哺。作極天所祚。施措固自異。得人拜大將。廼擧國以畀。肅師按六轡。推轂儀無替。桓桓張元帥。閫外得專制。此事卽曠世。爲臣亦已泰。恩澤及介士。鼓舞無內外。戰陣氣爲最。天下羞可洒。元帥受寶劒。帶之拜而稽。可謂使以禮。不知將奚報。丈夫敢愛軀。風塵期迅掃。天啓五年重陽。東陽申翊聖。</text>
<title>萬年歡一闋。奉別都元帥洛西相國出鎭海西。幷後序。 [曺友仁]</title>,<text>皮裏詩書。並忠肝義膽。偉器英略。曾被眞龍預識。應時才局。剩蓄經綸大策。屬强虜憑凌沙漠。勤天討歲歲年年。相持勢似掎角。宸衷已卜干城。便捨此誰堪閫寄。親自推轂。暮草離亭。蔽日高張雲幕。肅穆威顔咫尺。玉觴滿金樽霞液。恩如許粉骨何酬。尙方新賜蓮鍔。我皇明天啓紀元之三年春。我殿下剗革昏亂。新陞寶位。憤皇朝被兵遼廣失守。而尙稽興師赴援爲耻。廼簡自宸衷。特拜前大司馬張公。爲都元帥。領八道兵出鎭海西。以待皇師節制。爲合勢勦滅計。蓋公有文武全才。自龍潛時。已知非公則莫能當是任也。公素秉忠勤。勞悴生病。方謀乞退而聞有命。卽日力疾趨謝。繼陳血疏。累累數十百言。懇惻切至。無非中興先務之急。而首以勤聖學立大本爲言。上皆虗心聽納。聞者爲之聳動。擇吉將行。以雕弓白羽銀鎧。辭朝。上引見便殿。商確機務。凡所建白規畫。一一稱上意旨。上益賜嘉奬。又思古昔推轂遣將之意。臨行。率文武百官。躬御戎軒。盛陳兵威。錫宴于郊外。而餞其行。所以奬其忠勵其勇。而慰師行之勞且久也。是日天宇澄朗。景象開霽。羽衛森列。戈鋌閃鑠。排熊拉豹之士。躍馬橫槊。各呈其能。凜然有摧鋒陷敵之氣。奬勵所至。士心之激昂百倍。上皆親臨觀之。遂宣醞賞賚有差。至夕。金鼓戒行。戎車載脂。特解所御尙方劒以賜之。示專制也。公亦感泣拜受以行。都人士女。塡溢街巷。咸以獲覩盛事爲賀者。殆未可以數計。吁其韙歟。自昔兵家勝敗。患在誠意之不相孚。今者上心之推誠。旣如彼。我公之竭忠。又如此。天地神祗監臨。昭布于上下。安知默佑陰隲於冥冥之中。兵不血刃而彼假氣游魂之衆。望風鳥竄於三衛數千里之外哉。佇見全師旋凱。異數重疊。八校金花之榮。不獨專美於麗朝之名將矣。友仁以衰謝腐儒。忝在扈駕之後。拭目咨嗟。未覺發之爲歌詠。敢擬萬年歡一闋。歌于達道。而幷叙事之顚末。于以奉贐焉。是歲五月之望。夏山後學梅湖曺友仁。</text>
<title>張元帥出師歌 十九首。幷序。 [李聖求]</title>,<text>天啓三年。上卽位之初。將大攘奴賊。命玉城張公。以八道兵馬都元帥。出師西征。於是。上親幸郊外設壇塲。具禮以遣之。蓋近古所未有也。朝紳咸賦其事。以詠歌之。匈奴桀黠叛皇朝。帝命東藩復舊遼。自是桓文制夷狄。終然衛霍斬天驕。新築西郊上將壇。君王推轂萬人看。赤松帷幄猶依舊。今日登壇不是韓。國門西望陣如雲。細柳營開虎隊分。五百褊裨齊甲冑。跪迎車駕勞將軍。劒佩紜紜擁大旂。前驅攘攘出郊畿。天威肅殺無冬夏。四月師征雨雪飛。慕華舘前金鼓催。雲幕中間武帳開。侍臣宣語將軍跪。聖主親傳送餞杯。騂弓白羽集褊裨。妙藝穿楊盡楚奇。催賜內閑千匹馬。一時牽出御前騎。尙方新製劒星文。寶匣纔開氣吐雲。御手提携親賜與。卽分西閫付將軍。西邊民士舊知名。今日懽聲動四營。共道國朝多拜將。不聞親幸餞師行。千年際會中興初。薄伐奴夷護帝居。不有當時霍驃騎。誰能直擣漠南墟。一自深河戰沒來。西征將士久徘徊。如今斥絶和戎議。佇見前軍奏凱回。軍中鼓樂御前奏。千歲呼聲萬騎傳。壯士提刀啗酒肉。中官當陛散金錢。漢帝虗行勞亞夫。不曾征戰繫單于。他年若問今時事。須見雲臺第一圖。文星夜並將星高。投筆登壇試六韜。直指燕然重勒石。好看勳業壓蕭曹。日照紅雲繡戰袍。穩披金甲帶弓刀。前軍擊鼓旌麾動。上馬揮鞭意氣豪。出塞輕車遠逐奔。掃淸遼薊靖中原。西行直報聖天子。然後東歸謝主恩。壯士銜恩可雪羞。男兒食肉但封侯。身兼八道都元帥。肯數新城老賊酋。山海關頭百萬師。十年東討度遼遲。吾王一怒安天下。政是諸君戮力時。千里長江出白頭。自成天塹衛靑丘。如今更得長城壯。破膽游魂不足憂。千金買劒百金裝。馬上彎弓五石强。少小輕身爭赴敵。願隨名將報君王。完山後人李聖求</text>
<title>今上甫踐阼。以逆奴未滅。西鄙宿師。謀置元戎。乃用張公爲八道都元帥。出師之日。上率羣臣。親送于郊。禮數頗采推轂授鉞故事。都中士女。傾城縱觀。父老至有泣下者。以爲百年來無此擧也。旣張公遍請朝中文士。各爲歌詩。以侈恩數。維亦成長歌一首。會有狗馬之疾。伏枕經歲。未暇錄呈。居久之。張公復申前請。謹繕寫。端拜以獻。[張維]</title>,<text>前行後行鐵裲襠。赤羽白羽光煌煌。鹵簿前頭咽鼓吹。君王親送都元帥。借問元帥身姓誰。漢代留侯本多智。胸中金版玉帳經。要與海內除欃槍。向者遼塞有胡塵。楡關以北無堅城。三韓健兒豈不多。隴西都尉先投戈。督府西廵臨鴨水。威聲直壓單于壘。主昏政亂萬事非。王翦謝病頻陽歸。吾王英武奮大義。太祖宗祀重光輝。逆胡游魂待天誅。吾王赫怒張威弧。銅虎兵符下武臺。水犀十萬隨風雷。吉甫文武衆所推。分閫救世非公誰。伏波據鞍氣猶壯。充國論兵謀更奇。壇塲禮數久不行。九重有命羣臣驚。法駕平朝出西郊。鉤陳壁壘何縱橫。黃金瑣甲八尺身。路左長揖眞將軍。千牛萬罋犒饗遍。密授勝筭人不聞。尙方寶刀秋水寒。玉具鹿盧龍雀鐶。君王親下盤龍榻。付與將軍雙手接。三軍鼓舞聲動地。父老縱觀多感泣。千載恩榮此最厚。百年胡運那能久。有戈必喋可汗血。有旗必懸名王首。遼河碣石漢乾坤。紫塞無復狼煙昏。功成奏凱歸金闕。然後方酬聖主恩。天啓五年。歲在乙丑孟秋。新豐君張維。</text>
<title>都元帥玉城張相國出師之日。聖上親餞于西郊。此實曠世之盛典也。不可無一語以張大之。忘其蕪拙。敢以四韻詩。奉獻于相國案下。[金壽賢]</title>,<text>大旆央央出鳳城。鑾輿親餞捴戎行。金杯賜酒江河潤。玉帳分麾組練明。澤被三軍薰骨髓。事光千古盛恩榮。歸來佇見名王繫。笳鼓爭聞凱歌聲。花山後學金壽賢</text>
<title>奉送張都元帥西征[權韐]</title>,<text>大漢無中策。王師故有征。推賢恩命重。戮力武功成。玉帳臨風轉。雲旓向日明。吾王親出餞。擧世識忠誠。鎭靜胡山遠。秋高塞雨晴。勳庸期衛霍。籌畫過良平。四海聞高義。千秋挹壯聲。腐儒空老去。身上愧簪纓。老友權韐</text>
<title>親餞都元帥詩 幷序 [鄭斗源]</title>,<text>天啓三年癸亥夏四月。上曰。幸天假手于寡人。創大業而致中興。倫已明而紀已立。惟是西土强虜之所窺。毛帥之所駐。師旅之所聚。蒭糧之所輓。誠吾東之所急。抑天下之所重。必愼簡文武之才。授以元帥之權。往莅其任。使功威大振華夷。疇能是職。以壯予戎。若相臣若左右臣。皆曰。惟張某克肖。顧廷臣。無出其右。上曰。可。於是。命張某爲都元帥。開鎭黃州。八道兵皆屬焉。上曰。予將推轂而送之。是日。上戎服將百官三軍。出餞于西郊。以節鉞尙方劒授張某曰。賞罰副帥以下。諸將之用命不用命者。曰兵務精。曰器械務完。曰部曲務得死心。曰便宜從事。無失其法。曰之屛于西土。之翰于西土。共濟艱難。曰吏部元帥佐幕之才。無憚學士。曰兵部元帥麾下之將。無憚禁衛。皆許以送曰酒正。賜以巵酒。慰元帥西出。某拜稽首曰。臣唯知一死報殿下。上乃親推其轂。元帥歸鎭。感泣竭忠。鍊兵峙糓。而西土猶晏然。士民愛之。明年。李适以副元帥叛鐵甕。銳卒數萬。間道犯京。變急漁陽。元帥或遏其鋒。或躡其後。以計攻之。散其卒萬餘。賊遂困。竟於鞍嶺。一戰以踣之。函賊适頭以獻凱。枝黨給帖貸死。咸歸其鄕。遂使宗社復安。黎民再生。其誰之功乎。幕佐亦得畵像凌煙閣。名輝千古。嗚呼。靡上之知人而以禮用之。公安得盡其才。靡部曲之盡死心。公安所成大功乎。寔知部曲之心。公使之盡也。公之才。聖上使之盡也。聖上之德。天實假之然也。斗源亦其時幕屬。元帥求詩壽後。辭以謭陋不獲。遂略序而揄揚。千載一時之際會也。盛禮也。功業也。系以詩五章。以助管絃金石之聲也。逖矣西土。狡虜連疆。于昌于義。乃城乃隍。以防以戍。十年于兵。第一章維師張某。簡在聖心。授以元戎。西土是臨。錫盾雕戈。熊旂犀甲。威命是荷。錫以鈇鉞。西郊洋洋。瑞彩輝煌。王出餞之。鑾輅瑲瑲。百壺淸酒。盞斝是崇。炰鼈筍蒲。籩豆是豐。衆樂驚作。太音冲融。某拜稽首。廼蹈廼舞。旣醉旣飽。莫我敢怖。第二章丕顯元帥。文武是憲。時維鷹揚。制專西閫。戎政孔修。兵精馬健。在師中吉。允副我願。第三章賊臣射天。大駕南遷。元帥一呼。三軍肅然。大蹂鞍嶺。捷音星傳。第四章有閣麒麟。丹靑照耀。九尺儀形。鬚眉孔肖。黃河如帶。泰山若礪。元帥之功。與之世世。第五章天啓五年。歲乙丑秋八月。行護軍鄭斗源。</text>
<title>送都元帥張玉城西征[李埈]</title>,<text>天啓紀元三。我王卽阼歲。狼鬣吐妖芒。風塵動遼薊。我王赫一怒。志期淸四裔。西郊設將壇。玉趾勞躬詣。推轂遣帥臣。授鉞申約誓。曰我海東域。爲上國屛蔽。苟不敵所愾。何以報聖帝。將帥貴自斷。兵家忌遙制。禀命任不重。專謀功乃濟。事變紛轇轕。呼吸異形勢。臨機宜决策。懸筭實非計。是以擧西事。委汝統巨細。君命有不受。予言須勿替。帥臣拜稽首。感激揮雙涕。惟期盡職分。何敢言勞勩。吾榜得人盛。乖崖生間世。紫巖北伐日。忠義彌奮勵。旁穿魚腹陣。兼習豹韜藝。三尺劒有知。一寸心暗契。據鞍誇矍鑠。號令雷俱厲。一帶綠江濱。十丈紅旗揭。角聲淸似水。吹徹陰氛霽。壯士直擣虗。驕奴已挫銳。剨如震枯枿。虜頸行可係。殺氣收虺毒。威聲助鶴唳。百年保無事。西塞絶睥睨。煙閣煥圖畵。鐵券盟帶礪。蒼石龜縮翁。白首龍驤衛。橫槊欲頌功。自慚才不逮。凱歌歸未遲。何煩摻征袂。癸亥四月上浣。蒼石李埈。</text>
<title>奉呈洛西相公案下[沈諿]</title>,<text>君王出餞張元帥。此事如今始有之。眷爾東方生聖日。爲吾中國報恩時。初聞輦路懽聲溢。只見將軍感淚垂。背負龍光親授劒。何須朝士送行詩。天啓癸亥夏靑松沈諿</text>
<title>大元帥張公之出師也。上親送之西郊。授以尙方劒。爲推轂禮。甚盛典也。公卽樹勘亂。朝中士大夫追爲歌詩。以侈其事。公以植晩叨體幕命。續貂其後。[李植]</title>,<text>千乘萬騎傾都出。爭覩君王推轂儀。崢嶸北極風雲氣。整肅三軍熊豹姿。錦幕高張天欲低。旌旗矗地披紅霓。鉤陳玄武擁後先。玉鉞翠葆分東西。當前靺𩋾跗注光。燕頷虎頭鬚眉蒼。高平合在車右驂。子房已受圯下方。早知禁中出頗牧。豈憂塞上空金湯。昨者漢運始反正。何等胡雛尙干命。張公拜跪至尊起。一閫之外將軍令。煌煌內府周宋鐔。此日君王親授柄。翻鋩立變斗牛精。攬環高懸日月明。羣工在列色爲動。副將以下心無生。招搖直指攙搶落。列缺先驅氛祲淸。社脤廟醮古禮耳。斯道於今久已矣。但聞弄印呼小兒。誰許開營揖天子。神明百代中興主。文武當朝第一人。無論此劒且三尺。指揮已無胡羯塵。賊臣惡子腰領盡。外扞內戢期彌綸。榮光殊錫合典則。後豈無繼前無倫。酸儒愧忝油幢客。安得一詩能却賊。未容揚雄麟閣頌。直期班掾燕山勒。千秋盛業歌君臣。留與史家光簡冊。天啓六年春。下官德水李植。</text>
<title>西征長句謹呈玉城相公閤下[金蓍國]</title>,<text>皇天佑下聖人作。再覩日月明吾東。蠢玆孽胡猶未定。遼陽殺氣愁蒼穹。漢兵向者却走多。縮手不敢挽强弓。深河往事豈忍說。將來史冊何矇朧。我王咨嗟旰玉食。中國之憂一家同。文武全才不易得。疇捴我師咸曰公。公乃登壇受鈇鉞。轅門大旗書元戎。萬騎跑空寂無譁。日光照耀盤陀銅。命將出師古有禮。推轂西郊恩寵隆。軍前親賜尙方劒。神光吐匣如長虹。昔時驕悍誰敢後。玉帳欻然生威風。羽林健兒氣自倍。竪毛咆𠷺猶豼熊。眼底已無新城窟。壯心直欲起崆峒。曉達兵家八十二。區畫已辦談笑中。坐鎭西京扼要衝。邊隅久絶烽煙紅。從容裘帶樽俎間。彼虜詎敢挑樊籠。誓掃氛祲報天子。聲援遂與三河通。去歲延州起叛賊。陣下脅從多狂童。當時禍難太蒼黃。稽誅已極神人恫。公自草檄沿途揭。賊駭太半歸始終。約束諸將據鞍峴。迫之城下穴蟻空。遂令逆徒磔逆魁。手提髑髏獻行宮。天生人傑爲社稷。卽日掃除豹狼叢。終南漢水開愁容。朝野喜見春光融。肅淸宮禁迎大駕。我公獨任中興功。麟閣圖形居上頭。太史特書褒其忠。嗚呼我王及我公。際會千載謨猷鴻。世間安得齊天石。鐫之大字垂無窮。天啓丙寅暮春旣望。金蓍國。</text>
<title>出師歌上帥府戎軒[李敏求]</title>,<text>君不見征西元帥初出師。頗似鑿門推轂時。登壇本自推漢將。出牧還聞詠周詩。已令五戎設屯衛。更勞千乘臨郊歧。晩排僊仗匝徼道。帳殿不動雲陰移。列校五旅靜無譁。川渟岳鎭風雨隨。鶡冠羽從俱淋漓。天顧穆然光軒墀。勑召元帥近黼座。金甲貝帶何陸離。水衡宿饌光祿陳。宮壺法酒傾鴟夷。帳前部曲萬貔貅。恩波下濟皆淪肌。匣中寶劒倚天揚。斬斷陰虹整乾維。手提賜公公拜受。臣老且病慚鴻私。師律增威九伐成。介冑吐氣千夫馳。傾都縱觀黃塵合。排蕩日宇韜炎曦。百年遺老但垂淚。此事昔聞今見之。向微我公能撥亂。盛禮豈肯虗相施。我公天與英雄表。揮霍列缺淸三陲。秘略曾耽圯下書。邊機獨付山陰碁。腰懸金斗將軍印。前擁赤羽招搖旗。楚材晉良啓戎行。綴以鶴列承魚麗。長驅雷轂轥幽都。師門北落光下垂。靺鞨之東關以西。軍事節度唯便宜。已報先聲讋天驕。應將長組繫月支。全收麟閣丹靑業。早答君王鼙鼓思。幕裏從事不記馬。謬奉鞭弭陪戎麾。草檄空磨盾鼻墨。處世欲脫囊中錐。待公功成飮至日。爲公重勒燕然碑。天啓三年癸亥秋日。從事官完山李敏求。</text>
<title>奉呈帥相閤下[金起宗]</title>,<text>聖明膺曆數。至德馭臣工。莅政憂勤切。掄才拔擢公。鼓鼙思宿將。文武捴元戎。推轂遵前軌。登壇邁古風。旌旗連紫塞。鈇鉞下靑空。玉劒蛟龍躍。瓊杯雨露通。威顔瞻咫尺。誠意動昭融。一代遭逢盛。三軍拜舞同。韜鈴忝佐幕。籌畫媿無功。待得浯溪頌。揄揚大業隆。天啓紀元之三年杪秋。從事官金起宗。</text>
<title>奉呈帥相閤下[李明漢]</title>,<text>元帥西征日。春郊帳殿開。千官鳴劒佩。十里霽氛埃。軍服升壇拜。溫綸近榻來。小心臣老矣。專命汝欽哉。故事親推轂。殊恩手勸杯。榮光湛雨露。肅氣迅風雷。感激臣隣動。超騰士馬催。雄名聞四海。峻秩接三台。新律軍容整。先聲虜膽摧。靑油舊從事。搦筆愧凡才。延安李明漢</text>
