<title>咸安大寺洞口</title>,<text>石路雲深處。苔留宿雨痕。靑驢慵不去。山色已黃昏。</text>
<title>宿默房菴。詠落葉。</title>,<text>亂岑紅樹閉禪扉。靜夜蕭蕭落葉飛。窓外若無明月色。眠僧誰道雨聲非。</text>
<title>過洛東江</title>,<text>腰間唯有一瓢子。手裏兼將躑躅枝。江湖如此長來往。人世昇沉果不知。</text>
<title>宿義相臺。贈性每上人。三首。</title>,<text>獨携雲衲宿仙壇。月滿松簷掩石門。同是悠悠忘世物。一燈相對雨無言。夜坐松風壁月寒。晝眠紅樹白雲間。不吟不賦專無事。未必神仙勝我閑。居士行裝等楚狂。百年何事獨捿遑。悲吟宇宙無窮意。朝海江波萬古長。</text>
<title>過魯陵</title>,<text>孤墳一點魯陵云。草樹荒凉鎖暮雲。半夜旅窓人有淚。哭花鵑血不堪聞。</text>
<title>燈下偶吟</title>,<text>獨掩柴扉山夜時。北風蕭索動庭枝。燈前抱膝仍流涕。大丈夫心誰得知。</text>
<title>贈狂隱河會一 錫徵</title>,<text>憐君襟袍絶無塵。座上淸談十倍新。誰謂箕山長寂寞。海東今日有斯人。</text>
<title>憶大明</title>,<text>天下今無帝胄眞。百年非是舊王春。可憐白首烟霞客。痛結山河涕滿巾。</text>
<title>再上天王峰</title>,<text>高撑星漢立雲中。天地精神到此窮。玉兎金烏飛不遠。坐看西落又生東。</text>
<title>題名大源盤石</title>,<text>淸泉白石合仙眞。故欲留名閱萬春。莫道三千瑤海遠。碧桃花月返風輪。</text>
<title>有懷</title>,<text>滄海東頭一布衣。如何無語淚空揮。西山萬古靑依舊。薇蕨非徒爲伯夷。</text>
<title>幽居</title>,<text>淵明不取淸風去。巢許猶餘𤃡水留。獨卧頭流千萬疊。此翁生契可言優。</text>
<title>有感</title>,<text>痛哭皇明消息絶。聖氓空有白頭吾。人間日暮無歸處。天地彷徨一丈夫。</text>
<title>題壬辰曆</title>,<text>是歲鯨波漲海東。旆㫌飄拂萬帆風。堯彊渾入魚喁裏。營鎭皆空蟻附中。一騎西關天步窘。萬師南嶺將謀窮。可憐赤子殲亡盡。依舊山河夕照紅。</text>
<title>讀中庸</title>,<text>如非居敬又非誠。學貫天人恐未成。做到無聲無臭地。配於悠久配高明。</text>
<title>偶吟</title>,<text>爲愛仙眞搆一亭。此間宜我送餘齡。巖門鎖洞知天秘。瑤草遍山覺地靈。淸榻有人松影亂。小庭無客桂花零。藏修靜業從玆穩。顔四曾三又作銘。</text>
<title>黃處士翼哉 道翼。新搆江舍。詩以贈之。</title>,<text>聞君東洛築幽居。想像孤亭點碧虛。竹檻天晴千嶂露。蘆洲雨過暮帆踈。壠頭莘野耕雲在。磯上桐江釣月餘。老物亦捿方丈麓。石門流水較何如。</text>
<title>卜居洛東</title>,<text>明庵居士愛名區。楓嶽看來雪滿頭。又向洛東江上去。頭流千疊夢中愁。</text>
<title>東萊釜山讀明將戰捷碑</title>,<text>一掃蠻酋碧海隅。將軍功烈古今無。千秋壯跡豊碑立。天地方知有丈夫。</text>
<title>沒雲臺</title>,<text>沒雲㙜上坐。滄海盡含天。忽欲凌風去。鶴來生紫烟。</text>
<title>贈別黃侯 懰</title>,<text>勇退狂瀾術似踈。滄浪孺子不歌歟。孤舟倘趁秋風去。千載蓴鱸尙有餘。</text>
<title>卧龍菴漫題</title>,<text>曾聞一士與天爭。天盖高高亦感誠。莫以明翁看一介。明翁不死不亡明。</text>
<title>過麻田碑</title>,<text>朝宗萬古長江上。誰立胡酋數丈碑。履戴龜龍寧不愧。可憐天地石無知。</text>
<title>新塘書院水月軒韻</title>,<text>玆樓不合俗人㞐。何事登臨忽起予。鏡面波平風定後。天心雲盡月生初。有形可見靈機活。無物方知本軆虛。妙理分明由靜得。莫將光景浪躊躇。</text>
<title>謹賡肅廟輿地圖韻 御製詩曰。一幅生絹掛壁隅。大明天地此中輸。便敎志士傷心閱。更覺良工有意模。州縣不曾三代異。英䧺何獨一人無。忍看穢德臨中土。欲挽黃河洗古都。</title>,<text>衣冠纔保海東隅。聖帝乾坤底處輸。玉帛忍爲千乘畏。山河愁對畵工模。君臣大義今安在。天地綱常到此無。萬古明陵寃憤鬱。何年神怒掃燕都。</text>
<title>有感</title>,<text>明月淸風無限好。百年何事淚沾裾。世人不識新亭歎。只說雲山處士㞐。</text>
<title>見中國地圖</title>,<text>大地山河一幅連。星羅碁列揔昭然。三江五岳居專勝。易水長城得萬全。豪傑英䧺人幾箇。利兵堅甲敵無前。如何將此吾皇土。輸盡區區北虜邊。</text>
<title>題從孫龍臣草堂</title>,<text>草屋依山作。柴門向水開。淸風無限到。明月不期來。架濶容千軸。窓虛隔一埃。此間何事業。學孔慕顔回。</text>
<title>盆城懷古</title>,<text>客杖鳴秋弊笠低。露王雙塚問城西。凄凉覇業千年事。七點山靑野鳥啼。</text>
<title>道興</title>,<text>天寒雪凈欲三更。隔岸村燈一點明。眠罷竹窓山月上。曉風吹送滿江聲。</text>
<title>過鵲坪</title>,<text>匹馬烟郊路。何來牧笛聲。江風吹白雨。殘照一邊明。</text>
<title>鱸魚臺。偶吟。</title>,<text>簞瓢身世與人違。只喜門庭絶是非。頭白生涯何所有。一竿明月一簑衣。</text>
<title>贈許德稱</title>,<text>旅舘寥寥官柳斜。柴扉獨掩近鷗沙。吟魂欲斷燈前雨。感淚重沾嶺外花。地待高人宜水石。天敎方丈屬烟霞。老夫幸得江湖伴。明月城南問酒家。</text>
<title>道興江亭</title>,<text>千尺磯高百尺淵。爲臨層壁架三椽。𩿨眠月嶨能全性。魚戱烟波任得天。花落武陵春水上。雲晴華嶽暮帆前。一竿生計何緣有。欲學飛仙竟不還。</text>
<title>遊白雲洞</title>,<text>蒼巖爲席石爲門。十里淸泉出白雲。亂瀑爭流雷戰壑。隔花僧語不能聞。</text>
<title>石榴</title>,<text>漢臯瓊佩失仙羣。偸着天孫錦繡裙。假使携來投暗處。夜光明月孰能分。</text>
<title>送相文入白雲洞</title>,<text>爾得頭流第一巒。幾年仙境秘人間。烟霞旣富桃花洞。日月長閒桂樹山。猿鶴守林天所與。雲梯懸壁世難攀。讀書巖上書宜讀。實地存心學孔顔。</text>
<title>夜坐有感</title>,<text>碣石迢迢瀚海深。吾皇消息杳于今。靑山夜月鵑啼血。似識明翁痛哭心。</text>
<title>假夢</title>,<text>夢與關張諸葛友。長驅鐵馬橫金戈。西戎北狄無遺殺。洗釰黃河萬丈波。</text>
<title>有懷 三首</title>,<text>白首狂歌宇宙間。欲超鴨綠蹴天山。如何掃盡腥塵穢。牢鎖長城第一關。不有神宗皇帝德。壬辰安得保東藩。都緣賣國奸臣在。全負千秋萬世恩。何事身爲一腐儒。悲歌慷慨更長吁。堂堂宇宙中華國。恢復英䧺掃地無。</text>
<title>寄外孫田龍雨龍</title>,<text>別爾臨歧有所思。還山弄月已多時。年來老倦江湖事。看護鱸㙜付二兒。</text>
<title>示相協相文相華諸兒 四首</title>,<text>孔孟雖云遠。書存道不亡。苟居眞樂處。房內有仙鄕。道可求之得。求之見未甞。寄言豪傑士。何必待文王。明月夜光璧。人非不寶藏。惜哉千載下。遺棄在康莊。一指伸難屈。心誠必問醫。全身失性理。笑矣不求治。</text>
<title>臯蘭寺</title>,<text>白馬長江上。臯蘭隱碧峯。歸僧回首立。風落暮雲鍾。</text>
<title>落花巖</title>,<text>花落千年後。雙巖屹碧洲。空聞楓葉語。愁殺滿江秋。</text>
<title>白馬江</title>,<text>白馬江流碧。扶蘇日欲斜。千年興廢事。花落又開花。</text>
<title>白馬江。次處能上人韻。</title>,<text>蕭條王氣十分愁。故國興亡白馬流。野老猶傳千古事。山河空帶至今羞。鍾聲依舊扶蘓夕。草色荒凉半月秋。風雨兵塵渾寂寞。暮江惟有往來舟。</text>
<title>德川書院。奉和河上舍 世應。</title>,<text>萬古巖開穴。行尋路轉幽。碧峀當雲立。淸潭和月流。仙區宜可取。玄圃更何求。不盡探眞興。還成分外愁。</text>
<title>躑躅杖。贈李汝盎 德粹。</title>,<text>托根巖隙勢孤危。閱幾風霜雨雪時。採得一莖呈野老。子䂓山月哭何枝。</text>
<title>夜坐</title>,<text>白髮蕭蕭氣味淸。雲窓寂寂小燈明。羲文讀了空山靜。月下松枝鶴子鳴。</text>
<title>題卧龍庵</title>,<text>晦老何年隱武夷。更將餘淚感天時。傍人不識山人意。只說光風霽月奇。終霄無寐淚凝眸。不是經營富貴憂。第有男兒天地慟。百年驕子坐中州。</text>
<title>曉吟</title>,<text>茅屋如蝸九曲濆。衣裳長濕武夷雲。三更夢罷依孤枕。山雨溪聲兩不分。</text>
<title>武夷精舍偶賦</title>,<text>少婦何愁已罄甁。鼎中烹粥作松聲。靜觀太極天人合。細讀朱書義理明。流水洗心窓外去。白雲多意案頭生。都將得失千秋事。坐聽枝間一鳥鳴。</text>
<title>癸亥六月七日。胡主到瀋陽時。右相趙顯命。爲遠接使。得金鞭駿馬。加金紫爵。得得而來。持平趙重晦上䟽斥之。辭甚直截。此與胡澹庵斥和䟽。可以並烈千古。可謂國有人矣。余聞而壯之。賦一絶。</title>,<text>相國精忠動夏夷。大官金馬自穪奇。雖然得意東還日。鴨綠江神獨恥之。</text>
<title>題武夷精舍壁上</title>,<text>顔四曾三作佩銘。鶉衣瓢飮是平生。殷天日月薇歌咽。晉室柴桑露史明。一句缺 百年何似鳥無情。孤燈昨夜丁寧事。夢落金剛萬瀑鳴。</text>
<title>漫賦卧龍庵</title>,<text>胡運將窮百二秋。眞人何晩掃神州。武夷九曲孤庵上。獨泣皇明一白頭。</text>
<title>石鶴</title>,<text>鶴自無心立。我亦無心坐。相對兩無心。山空桂花墮。</text>
<title>讀陶靖節詩。其寫出隱者幽趣。可謂超越千古。漫取其尤會於心者幾句。每拈一句。輒足成末句以詠歎之。何以免續貂添蛇之譏乎。</title>,<text>東方有一士。被服常不完。物色古猶今。摸寫一毫端。侵晨理荒穢。帶月荷鋤歸。自有無限意。來者孰依俙。採菊東籬下。悠然見南山。幽趣認自極。吟得一層閑。辛苦無此比。常有好容顔。富貴何足動。至樂在這間。俛仰終宇宙。不樂復何如。自得斯可想。千載更起余。</text>
<title>贈李郞封若 圭</title>,<text>雪嶽金剛翫已窮。老來身作武夷翁。翁今不可專諸勝。分汝烟霞洛水東。</text>
<title>甲子四月雨。至七月不止。</title>,<text>雨脚如麻近十旬。雲雷隱隱電光頻。玉皇要鑄新天地。洗盡山河萬古塵。</text>
<title>家中所有。雙石鶴，三恠石，一朶桂花而已。終歲無盜竊之患。是可幸也。枕上賦之。</title>,<text>鶴自閒眠石自幽。一庭多得桂花秋。頹垣破壁三更月。高枕全無患失憂。</text>
<title>謂諸子。汝曹旣誦易詩書矣。晨夜又當誦習庸學。以知爲學綱領次第。又以餘力誦念逍遙，齊物，秋水，范蔡，原道等篇。以觀作家機軸可也。因賦一律示之。</title>,<text>我以衷言說復重。賢愚在此可聽從。勤工旣誦詩書易。大道當尋學與庸。司馬文章丸弄掌。南華仙筆海吟龍。波瀾又法韓公手。欲使䧺詞富爾胷。</text>
<title>宗侄𥠧圭 相琦 輓</title>,<text>吾門惟汝獨穪賢。君子斯人孰不憐。接物柔和循厥性。居家孝悌得於天。心輕爵祿藏修早。樂在貧寒德業全。空憶雙溪探勝日。玉簫松月夢依然。</text>
<title>自開闢後至崇禎甲申。六萬九千一百四十年。甲申後至今乙丑。一百二年。而一元都數則十二萬九千六百年。</title>,<text>開闢來六萬九千。二百四十有餘年。一元都數今過半。連代興亡揔倐然。自堯以至于今年。不過四千四十二。中間歷代之興亡。都做黃粱一夢裏。</text>
<title>簡贈封若</title>,<text>一笑逢迎不復謀。此翁悲緖轉悠悠。江湖有約頻歸夢。日月無情嘆白頭。九曲雲泉空勝景。武夷楓葉又殘秋。寒棲若對西山面。剪盡靑燈話別愁。</text>
<title>漫吟</title>,<text>希贒希聖又希天。所業惟存孔氏篇。始悔仙方曾不學。忽敎霜雪滿吾顚。</text>
<title>憶楓嶽</title>,<text>重遊楓嶽轉蹉跎。回首關雲感意多。歇醒樓前丹桂樹。夢中寒葉月婆娑。</text>
<title>靑鶴洞重遊</title>,<text>琪花松子落庭苔。慧霧神雲鎖不開。瀑布聲中靑鶴老。滿壇明月客重來。</text>
<title>謝李命大 漢培 送酒</title>,<text>獨卧城南老病身。一年空負杏花春。情醪遠自東湖至。倒作羲皇以上人。</text>
<title>己亥十月七日暮。夢弼過余武夷精舍。是夜風露凄凉。微月在西。因朗誦武夷棹歌一篇。拈石洲集韻。共賦。</title>,<text>靑眼逢迎意若何。擊壺時或一狂歌。誰知觀海難爲水。還悔窮經不用戈。世事無端膏煎火。光陰渾與露傾荷。開懷偶得今宵樂。窓外三更月更多。</text>
<title>蝴蝶軒</title>,<text>軒名蝴蝶意惟存。請爲諸公一二言。今古恒河沙上路。幾回莊叟夢中魂。陶朱富貴雲無迹。金谷繁華月有痕。更看北邙山上土。只憐秋葉墮黃昏。</text>
<title>贈曺台老</title>,<text>盆城遺跡翫遊曾。往事凄凉說未能。七點山浮餘覇業。三叉江碧護雙陵。南橋雨過孤僧去。古堞鴉鳴片月昇。物色無非興感事。暮潮來往咽層層。</text>
<title>題卧龍菴</title>,<text>九曲嵒門世外遙。卧龍遺踪未專消。香爐屹立如相揖。恰似巢由讓帝堯。</text>
<title>次贈孫虞侯壽大</title>,<text>雲深九曲武夷亭。自在中間喜獨醒。水月難言淸凈妙。烟霞何限捲舒形。無名恠鳥林林語。不老靈芝岸岸靑。別有山家奇玩處。桂花開落襲微香。</text>
<title>無題</title>,<text>百年山水任徜徉。富貴功名都兩忘。盡日竹窓高枕卧。不關人世有炎凉。</text>
<title>寒捿舘偶吟</title>,<text>讀罷羲文看鶴出。微吟偶坐桂花楂。白雲政我知心友。籠盡靑山不露家。</text>
<title>無題</title>,<text>垂老關心何物是。漢挐方丈金剛山。春花秋葉隨時去。人道閒人自去來。</text>
<title>聞鴈</title>,<text>霜鴈叫聲過枕頭。江城木落月橫洲。飛飛一片雲間影。點盡寒空萬里秋。</text>
<title>坐薩川石上</title>,<text>山無心立水無心。人亦無心坐石吟。宛見羲皇前物色。喜聞開闢自然音。</text>
<title>漫賦</title>,<text>家在武夷九曲濱。杜門三十有餘春。山深尙可藏愚拙。客絶惟宜養性眞。鶴愛松雲同壑久。鳥憐花竹入簷頻。掩書時學溪童事。手索靑蘿作釣綸。</text>
<title>石鶴</title>,<text>依然雙鶴立花壇。玉趾玄裳兩頂丹。影點三更松月白。眠拳一足桂風寒。飛窮瓊海烟雲濕。掠盡遼天雪羽殘。添得武夷奇絶勝。小庭晴日笑盤桓。琢鶴蒼頑勢欲飛。一眠一立雪依俙。放翁可謂無良策。枉設雲羅得皓衣。陸放翁甞養鶴後放之。有詩曰。筭貧先放鶴。嫌閑並踈僧。今余琢石爲鶴。家雖至貧。而無養放之勞矣。</text>
<title>乙丑四月二十七日。微雨終日。獨與相寅。坐讀朱子語類。時桂花爛熳。海棠始開。其間對立。雙石鶴而已。心甚可聊。賦此一絶。</title>,<text>勝蹟武夷九曲東。家資石鶴桂花紅。其餘富貴功名事。於我浮雲過太虛。</text>
<title>偶吟</title>,<text>破屋數間而已矣。玉川身世果如之。笑乎所得平生物。九曲淸泉一武夷。</text>
<title>案上披梅月堂集。山風吹雨沾卷。賦之。</title>,<text>山窓高壓小溪虗。薄靄輕烟畵不如。孤坐半簷茅更短。夕風吹雨濕床書。</text>
<title>贈封若</title>,<text>幽㞐聞築洛江干。可想囂囂自在安。籠野烟霞朝暮色。滿淵秋月古今寒。傳心事業書千軸。隨分生涯竹一竿。九曲巖門翁獨閉。水雲沙鳥夢中看。</text>
<title>遊武夷洞</title>,<text>武夷山下水如苔。偶爾來遊偶爾回。身世百年猶自得。莫誇麟閣與雲臺。</text>
<title>關東八景</title>,<text>永郞曾伴述郞遊。依舊烟霞幾百秋。玉竈霞丹眞怳惚。仙槎何處可淹留。海棠花發鳴沙路。越客松靑立鷺洲。石島崢嶸多異跡。長橋斜日更停輈。右平海越松亭危巖百丈聳庭前。碧海東頭太白巓。雲檻夜分三島月。風簾朝納十洲烟。潮光萬棹聲邊立。天勢千帆影外圓。取洗乾坤如可得。不憂夷夏混紛然。右蔚珍望洋亭萬景樓頭眼不竆。接天鯨浪怒鮫宮。升沉日月籠中入。浩蕩乾坤檻外空。浮海欝陵應似夢。沒雲歸帆任欹風。非徒擧此論形勝。雪岳崢嶸氣勢䧺。右扞城淸澗亭高壓東瀛畫閣新。洛迦峰影倒汀濱。撼天黑浪鵬摶翼。盪海紅潮日湧輪。楓岳白雲尋瀑客。梨花明月滿庭春。名區第一誰評品。畫入皇明動聖神。右襄陽洛山寺登臨不覺有淸緣。閑坐層巖百丈邊。石老江空雲萬古。杉垂松倒月千年。長橋落日孤僧去。細雨鳴沙立鷺眠。默數頭陀山下水。流爲五十涉來川。右三陟竹西樓桑溟無限大樓東。十里澄湖一鏡空。竹島鳴沙山影外。棠花眠鷺雨聲中。海含九万長天遠。波照三千出日紅。楣上碧桃花下句。仰瞻宸翰掛玲瓏。右江陵鏡浦㙜山納滄溟勢若封。依然西子淡粧濃。波心小島天慳勝。壁面丹書鬼護蹤。玉立萬二千皆骨。影含三十六芙蓉。四仙已去亭空在。坐弄琪花喚赤松。右高城三日浦誰將萬石束爲叢。見此方知鬼斧工。無乃媧皇橫鍊石。分明銀漢倒長虹。風驅雪浪來天上。鶴老雲巢叫月中。時有玉簫聲怳惚。永郞應返十洲東。右通川叢石㙜</text>
<title>濂滄津</title>,<text>待舟沙上睡。夢與白𩿨閑。忽聽漁歌起。殘陽隱碧灣。</text>
<title>宜春鼎巖</title>,<text>禹鼎當年厭向秦。海東漂沒幾千春。精金竟化江中石。屹立滄波不汚塵。</text>
<title>武夷山別李季甫 光浩</title>,<text>落日臨溪相送君。謾將勤學說慇懃。此間離合何曾恠。人事元同聚散雲。</text>
<title>韓柳塢東賚 箕錫 輓</title>,<text>從遊無復摻君裾。故舊人間痛漸踈。博學洞談千古事。聦明能誦五經書。風流湖海曾誰敵。心事氷壺亦不如。怊悵江南花柳好。暮年詩酒費吹噓。</text>
<title>戊申除夕。與汝三守歲于防禦山白雲庵。</title>,<text>吟筇到此十分安。山下狂塵一笑看。曉起隨僧無語坐。佛燈明滅白雲端。</text>
<title>雙溪石門</title>,<text>雙川漏出白雲深。學士荒坮倚碧岑。千載石門山不鎖。落花流水客重尋。</text>
<title>贈李翼天 鵬壽</title>,<text>花鳥春風一醉歸。離愁無限掩山扉。不宜久誤江湖事。分付烟霞護釣磯。</text>
<title>上書地主具侯 宅揆。請遞訓長。繼之以一絶。</title>,<text>東海歸來門獨閉。万千皆骨夢中新。招之欲問人間事。昨夜靑山月似嚬。</text>
<title>讀張良傳</title>,<text>恩深五世可忘耶。國破宜君不顧家。大槩男兒大地恨。秦車未碎博浪沙。</text>
<title>讀張儀傳</title>,<text>六里當年尙不欺。吾知信士是張儀。千尋楚水無情去。萬古靑山有九疑。</text>
<title>次洪學士畵會稽山韻 丙子之亂。世子大君。俱質于瀋陽。洪學士翼漢。以斥和被執時。遇越人孟永光。亦以楚囚來。而是善畫者也。學士因求畫會稽山。有贈詩曰。因君求畫會稽山。執玉遺蹤遠莫攀。曾是越王捿息處。欲令長在掌中看。盖有托意於吳越事也。千載之下。足以釀志士之涕。遂次其韻。又賦二絶。以志其事云爾。</title>,<text>畵出稽山山外山。當年應恨未能攀。分明翠黛渾依舊。千載愁容豈忍看。畫工只識會稽勝。移得會稽粉墨間。大槩會稽山有事。會稽山不會稽山。咫尺稽山碧萬重。越中深掛又形容。巖頭何用浮雲出。峯上無端月桂松。</text>
<title>和會稽蘓處士一渾 凝天 見寄韻 二首</title>,<text>昔歲空聞第一人。會稽雲月樂仙眞。餘生亦有分華計。欲得淵源滌世塵。能傳千載不傳心。宿昔風塵已賞音。玉韻投來雲水外。百年新契一般深。</text>
<title>智異山</title>,<text>千巖競秀白雲中。萬疊盤回氣勢䧺。流水疑從銀漢落。碧峯應與玉京通。山名大槩聞天下。仙景非徒最海東。不死靈芝靑滿岸。昔年何處住秦童。</text>
<title>宿中山村</title>,<text>寄宿名山夢寐淸。小窓秋夜欲三更。一輪明月千峰裏。靜聽風泉萬壑鳴。夜宿天王洞水邊。水聲擾亂易驚眠。綠蘿孤月微明處。山雨無時過天。</text>
<title>佛藏菴。次法領上人韻。</title>,<text>丈室談經日。靑春最少年。烟霞留衲上。松月曜毫前。喜遇名山裏。笑期瀑布邊。對床無外事。示我遠遊篇。</text>
<title>曺護軍 夏鼎 壽職慶宴韻</title>,<text>方丈山深淑氣留。百年挺出赤松儔。瑞呈南極星輝榻。慶洽君恩玉點頭。四座竆歡驕舞袖。三男獻壽錯觥籌。碧桃花下瑤池月。勝事何如此日遊。</text>
<title>寄贈曺上舍 夏長</title>,<text>問君何事出巖程。却恐襟懷惱世情。萬壑白雲深鎖處。洗心波月至今明。</text>
<title>贈別朴侯 泰三</title>,<text>欲送湖山百里春。一盃來餞別愁新。平生不識人間事。只爲斯民惜去輪。</text>
<title>見𩿨偶作</title>,<text>歲歲營營日日求。百年如此惚懷憂。世間獨有無心物。人是明翁鳥是𩿨。</text>
<title>題名搜勝㙜</title>,<text>一層靈境勝蓬萊。萬古仙㙜鶴幾迴。白石未消開闢雪。蒼嵒猶帶混沌苔。溪花亂落無風雨。洞水奔狂不電雷。黃葉昔年經過客。暮春今日又尋來。</text>
<title>尋眞洞</title>,<text>未識靈源若此深。淸遊半世莫如今。奇巖磨玉宜停杖。亂瀑鳴雷却洗心。岸上多生初見草。林間時有不知禽。携僧穩借禪房宿。松籟蕭蕭月掛岑。</text>
<title>次黃翼哉舟中韻</title>,<text>十里蒼屛石。分明粉墨圖。吾儕能有此。何必訪淸都。</text>
<title>寄默房寺。就軒和尙。辛亥五月。與田鼎漢。刻名于天皇洞石面。</title>,<text>名字天皇洞裏留。別來松月鎖仙區。靑山似識明翁恨。故遣淸川咽不流。</text>
<title>述懷</title>,<text>平生有願願如何。手倒黃河萬丈波。洗盡中原山與水。歸來方丈白雲家。</text>
<title>記夢</title>,<text>長城萬堞勢嵯峨。一夢分明渡鴨波。白髮將軍心慷慨。滿關殘月咽悲歌。萬堞蜿蜿枕海頭。朔雲燕路夢悠悠。皇明老將當關立。向月高歌㤪不休。</text>
<title>地主尹侯 基慶 輓</title>,<text>如傷如保浹仁恩。何忍操毫作誄文。靈鳳本非捿枳棘。賡歌終未和南薰。淸名万古留生犢。往事千秋有白雲。嶺路迢迢丹旐去。曉天薤露不堪聞。</text>
<title>無題</title>,<text>藏蹤不是出無輿。何事窮年守弊廬。世上啾喧誠可笑。莫如林下靜看書。</text>
<title>伽倻山</title>,<text>伽倻山水凈無埃。削玉崢嶸碧欲堆。風瀨飛湍鳴隱隱。巖門有路細回回。紅流滿壑當春暮。白石連溪勝雪來。千載仙蹤探可盡。與僧明日上雲臺。</text>
<title>紅流洞</title>,<text>伽倻高碧海東頭。千載崔仙宛舊遊。天地旣慳山水秘。烟霞深鎖石門幽。客探春景來三月。僧說紅流勝九秋。莫歎尋眞笙鶴去。當時物色喜分留。烟霞方丈幾吟呻。蠟屐倻山更採眞。疊石潭邊長噴玉。紅流洞裏本無塵。坮荒學士昇仙後。樹老珠師誦偈辰。隨處落花流水遍。宛然身在武陵春。</text>
<title>霽月潭</title>,<text>伽倻靈境隔人寰。一杖揮來破鬼慳。滿壑紅流花倒。揷天靑色雨經巒。神遊歷盡千秋勝。世外應無此日閑。塵土百年多少事。忽然忘却月潭灣。</text>
<title>入武陵橋</title>,<text>知是靈源在不遙。此身今入武陵橋。人間謾有荒唐說。應被羣仙拍手嘲。爲訪伽倻蠟屐催。問僧何處是仙㙜。白雲不盡藏眞境。露出虹橋引客來。</text>
<title>學士㙜</title>,<text>登臨何處意悽悽。學士臺荒曲水西。怊悵仙翁千古事。彩毫斜日謾吟題。</text>
<title>光風瀨</title>,<text>孤釰行裝慕壯遊。一筇今日入仙區。雙溪不盡人間累。更洗伽倻萬壑流。</text>
<title>上伽倻第一峯</title>,<text>直上亭亭萬仞擎。世人何足患天傾。石立巖奇竆造化。始知元氣大流形。</text>
<title>出落花潭</title>,<text>吟筇何事出遅遲。万景紛如觸目奇。無限落花巖畔恨。白雲流水杳前期。</text>
<title>噴玉瀑</title>,<text>無源一派忽飛空。十丈蒼巖掛白虹。天上銀潢如不漏。明珠碎落水晶宮。</text>
<title>上蘓利庵</title>,<text>雙泉擁石可言奇。聖賜金鍾尙在玆。玉洞朝雲猶未散。今宵無乃宿安期。</text>
<title>吹笛峰</title>,<text>仙驂不返洞雲冥。萬古空餘一髮靑。明月滿天松影亂。臨風如有玉簫聲。</text>
<title>露梁忠愍祠</title>,<text>忠武祠堂壓海汀。豊功萬古石崢嶸。潮聲尙帶英䧺怒。蠻臭猶餘戰血腥。氣射南天雲散合。寃深北極日陰晴。男兒宇宙誰無膽。別有今朝景慕情。</text>
<title>昌善津</title>,<text>看盡秋風錦岳回。仙巖幾處踏穿苔。昌津萬里無邊海。又棹孤舟泛泛來。</text>
<title>月出山</title>,<text>立立千峯聳海濆。登探靈迹愜曾聞。壯觀日月生層浪。奇遇神仙下白雲。石狀巖形飛欲去。水光天色杳難分。有僧指點東瀛外。鰲背蓬山隱暎云。</text>
<title>龍巖庵</title>,<text>嶽勢䧺盤大海湄。截然橫揷九霄危。蜿蜿萬峀雲耶未。立立千巖釰却疑。窟養金猪傷往迹。山開玉井想靈師。休言方丈三韓勝。能與金剛次第奇。</text>
<title>松廣寺</title>,<text>寺在漕溪萬疊深。國師遣跡有觀音。千年枯木無生滅。一箇靈珠翫古今。寶界留經香水凈。高禪傳法聽龍潛。沙門暫住探眞杖。怳惚烟霞惱客心。</text>
<title>九精菴</title>,<text>石榻雲㙜架絶巓。藤床巖戶宛居仙。靈泉貯在無源水。蒼壁縈回有別天。黃葉路深琪樹落。白頭僧坐佛燈懸。今從物外情緣盡。非學禪心共默然。</text>
<title>宿白雲山</title>,<text>百年皮幤愧無顔。大義專忘宇宙間。人世逃塵孤釰遠。仙區有事一筇閑。心隨逝水東朝海。身逐浮雲暮入山。到處逢僧多熟面。此生蹤跡幸相班。</text>
<title>開興寺。贈玉蘭上人。</title>,<text>每向晨昏禮磬撞。慈尊開化尙淳厖。靑眸爲進王孫飯。卓上香燈耀玉釭。</text>
<title>幽居雜咏</title>,<text>一炷爐香萬慮刪。洞天終日閉松關。靑山有意遮塵界。流水何心出世間。踪跡已隨林鳥秘。幽情分與嶺雲閑。淸風箕𤃡雖難及。回也簞瓠若是班。</text>
<title>過李遠漸 廣運 草堂</title>,<text>微風習習響園條。掩卷晴窓逸興饒。天外雷聲時隱隱。應知滄海急回潮。</text>
<title>漫詠</title>,<text>早着蘿衣不染塵。白頭閒作卧雲人。世間莫羡獜坮客。俱是曾經万死身。</text>
<title>憶關東舊遊</title>,<text>萬千峯色雪嵯峨。遊翫當年一屐過。桂月蘿風雲水勝。果無吾少赤松多。</text>
<title>敬次曾祖考龍岡先生韻</title>,<text>曾祖進士府君。嘗居楊州魚龍山。自號龍岡居士。一時文章。與仲氏農圃先生。有難兄難弟之穪。遭光海政亂。遂憂憤廢擧。無意世事。惟放情山水。吟咏自娛。嘗題一絶曰。辟糓子房遺世日。登山孤竹採薇辰。扶綱萬古憂長夜。憔悴元非楚逐臣。有詩稿幾卷。盡失於丙子兵燹。實爲子孫無窮之恨。僅有得於誦傳者若干篇。爲之追次其韻。因並書之。以存遺蹟云爾。先祖貞忠感鬼神。至今追憶痛生辰。男兒大節能如此。愧彼當年助桀臣。</text>
