<title>讀書 乙丑</title>,<text>月是太古月。書是太古書。太古明月下。人讀太古書。</text>
<title>夜觀漁。又次五絶。</title>,<text>待舟人立。穿柳鳥驚棲。水落江天黑。漁燈盡向西。</text>
<title>又次主人韻</title>,<text>春事居然晩。高樓占得佳。錯紋分地理。如水逈天街。舟子風謠別。山禽樂意皆。靑門知不遠。從此暢幽懷。</text>
<title>次贈李亶佃</title>,<text>年來閉戶度殘春。偶爾相逢靑眼新。世上曾無知我者。城中還有似君人。詩惟遣興吟酬懶。意在不言默視頻。勝賞江樓仍累日。忘形痛飮始超塵。</text>
<title>次贈主人</title>,<text>水檻濛濛宿白雲。風吹漁篴數聲聞。幽居不讓華山勝。肯許老夫一半分。</text>
<title>有感次人韻</title>,<text>潮滿千帆上。潮落千帆退。有巖獨不然。是以爲吾愛。												又						出郭人無事。臨江樹作門。從他朝暮市。可是寂寥村。琴惜絃今絶。棊看局屢翻。誰能知此意。欲辨已忘言。</text>
<title>又次李亶佃韻</title>,<text>固是常情侮賤貧。超然獨也爾何人。靈心炯似照犀水。外物輕如棲草塵。磈磊謾成詩酒傑。嬉遊時夢葛羲民。不須後世子雲識。席上分明自有珍。</text>
<title>又次贈趙生</title>,<text>洪句賦予未爲貧。今世還看乃爾人。且可隨時安命分。不妨到處混埃塵。杯樽浩浩春風社。謠詠煕煕聖世民。滄海遺珠何足歎。古來難識石中珍。</text>
<title>又次贈吳進士 慶元</title>,<text>似病非愁憲也貧。軒車紺素彼何人。交情貴在存誠信。世事須知幻劫塵。淸詠響凝漁艇篴。深杯夢入醉鄕民。可憐三刖徒爲爾。燕石緹巾自謂珍。</text>
<title>贈李亶佃</title>,<text>一盞一篇意氣高。長吟猛拍不勝豪。醉看乾坤無一物。世人輕汝九牛毛。</text>
<title>拈韻與諸人同賦</title>,<text>林亭多景物。春服共童冠。山遠兼雲去。江虛帶樹看。靈心金鏡映。良會玉盤團。一笑仍相視。悠然倚碧巒。</text>
<title>夜泛鷺湖。呼韻共賦。</title>,<text>月夜放船好。淸江逈不波。沙圓涵影遠。樹缺漏光多。棲鳥有時起。亂山無數過。詩成壺亦倒。餘興欲如何。</text>
<title>偶咏蝴蝶</title>,<text>蝴蝶紛紛滿菜花。爲誰忙急爲誰誇。靜觀萬物皆如此。一笑呼兒濁酒賖。</text>
<title>木假山歌</title>,<text>君不見南曹假山子美賦。堂下築成一簣土。又不見晉公假山退之惜。澗側匄來數拳石。誰家除夕火峯熾。何處至日綵峀峙。無限千古小兒戱。各自一時閑排置。後來蘇老差可意。以木爲山文爲記。岌然三峯能近譬。高致殊與俗人異。未若吾家木假山。虬枝宛似眞螺鬟。嶙峋自露天然顔。剜劃肎容人力艱。憶昔誅茅卜此地。已喜洞天幽且邃。後麓擘開奔巨靈。左右環抱圍蒼屛。夜坐忽然驚拍案。奇哉有山聳南。中峯厚重仁者象。傍峀縹緲奇士㨾。蒼茫帶月映淸潭。突兀凌空凝碧嵐。時看巉絶搴鵬噣。更疑拱揖矯人首。淺深氣色層層連。窈窕巖洞勢隱然。試問隣翁山名何。隣翁大笑謂我譌。此是老柏枝葉互。其形崷崒異他樹。况且亭亭秀高阜。下有林木擁左右。蔽空補缺備奇怪。盤據磅礴上漸殺。四時不改蒼翠容。望之如對崔嵬峯。我聞此語大異之。假山勝似眞山奇。坐待天明更熟視。怳惚猶難分眞僞。晴時戍削偏出羣。幽處依微欲生雲。城塵咫尺渾已忘。野趣尋常自相向。不遠不近百步間。高高仰止難可攀。故知天意巧幻成。供我朝莫寄幽情。哂他世人刻斲繁。強學山勢對階軒。巖峀謾勞機巧加。騈羅爭詑佳致多。幸我不假雕琢苦。靑山偃蹇長當戶。移來歲寒後凋姿。宛見千仞壁立儀。雨驟疑坐懸瀑聲。鳥亂如聽深峽鳴。眞境實愜幽人操。此意難向俗子道。更欲描出半幅裏。今世誰是龍眠技。</text>
