<title>偶題</title>,<text>門對南山矗。軒臨洛水流。百年仁智樂。黃卷一牀頭。</text>
<title>孝懿王后輓 代作</title>,<text>大東期一治。正考業重煕。道脈紹神聖。邦庥慶本支。乾坤須配德。任姒毓貞姿。冠冕淸源宅。閨門淑女儀。祥凝三揀禮。頌播六宮詩。懿行資勤儉。徽音繼孝慈。令姿金玉粹。和氣殿宮怡。昕夕珥簪戒。宗邦茀籙基。陰功欽主壼。餘慶頌含飴。翼翼重華聖。年年萬壽巵。舟梁回舊申。元日捧新詞。曠世儀文縟。覃休福祿滋。山呼纔獻祝。仙馭倏靡追。理合仁增壽。天胡喜錯悲。八方哀普切。微物涕先洏。恩庇均慈母。報酬蔑寸絲。病違彤陛賀。恨結白雲輀。宸孝羹牆慕。喬山劒舃移。吉岡園寢邇。同兆節文宜。新舊無涯痛。哀哀血字辭。</text>
<title>玉淵卽事</title>,<text>山與禪齋靜。春涵錦壁紅。呼船人不應。天地屬漁翁。</text>
<title>輓李掌令而拱 二首</title>,<text>同年廿八得公多。道契文朋孰有加。聖代魁元還寂寞。湖山風月足吟哦。						泮旅前塵夢想悠。悤悤一別去年秋。盈樽美酒誰同酌。花發重陽秖自愁。</text>
<title>自述</title>,<text>此身無可做。疎懶送流年。藝畝恒違節。看書輒就眠。休心方有得。安分最爲先。不問塵寰事。澄江在眼前。</text>
<title>次權南谷遺蹟韻</title>,<text>江漢滔滔淚未收。東藩誰倡帝秦謀。庠宮蚤講底麟史。函匭嚴誅拜犬羞。萬劫黃塵山一髮。片心紅日海千秋。扁齋近裏知眞諦。無愧襃崇聖渥流。</text>
<title>孝明世子輓 十首</title>,<text>天休宗國發長祥。聖祖神孫應運昌。華渚流虹呈異瑞。四重歌曲奏洋洋。						英明日表藹然衷。仁聞仁聲孝敬中。問寢三時憂乃喜。文王世子武王同。						貳極門開蚤諭年。承華樓設講書筵。五經手選傳心訣。時敏眞工對聖賢。													丁元渙發十行綸。飭勵橫經輔弼臣。養德深宮省察地。孜孜工誦器銘陳。						重离克協繼明休。聽政分勞故事諏。四勿九經勤儉訓。懇辭隆批煥天球。						三讓祇承聽德聰。深淵峻谷代天工。堯治舜攝重華世。民物顒然頌泰通。						玉瓚黃流九爵斟。四旬長樂祝岡忱。文孫岐嶷筵前侍。錫類邦家曠古今。						震邸休祥歲叶寅。先朝縟禮再今辰。儀章擬擧重陽節。盤泰謳吟帀域春。													竆山斜日實音傳。巷哭䨓聲徹九天。鼎盛春秋无妄疾。如何仙鶴去翩然。						陵園密邇占新阡。松柏蒼然熟路沿。喬木遺陰恩遇感。哀詞一幅淚如泉。</text>
<title>壬辰重陽節。金方伯 陽淳，金明府 鼎均 同舟臨賞玉淵。明府次贈鄭林塘河回圖韻。敬次以呈。</title>,<text>沈吟一病掩荊扉。歲月湖山滾到稀。盛會棠梅聯綵舫。天時霜露捲煙霏。瓊琚韻續幽居畫。歌管風飄晩釣磯。白酒山家無宿釀。官廚仙液醉言歸。</text>
<title>純宗大王輓</title>,<text>大東千一會。庚戌聖人生。岐嶷天姿挺。肫淵睿度貞。冲齡嗣曆服。景運屬元亨。繼述寧王志。闡揮大義精。敬天祇夙夜。典學有科程。藹藹通神孝。雝雝在廟誠。養心澄水鏡。制事炳權衡。靜攝猶勤惕。幾微合重輕。奉三如覆載。先四恤孤惸。駐蹕諮廛瘼。頒綸課野耕。南饑移北粟。東作秩西成。洋譯誅干紀。潢池薙弄兵。消虹遂揭日。膺狄是懲荊。犬德風行草。深仁露潤萌。於乎純不已。展也蕩無名。陰谷陽春發。竆山化日晴。天休膺震鬯。睿德照离明。運協三宗繼。慶綏百祿呈。金泥輝玉牒。華祝進花觥。舜攝堯非倦。武烝文有聲。龍樓煥黼黻。夔樂奏咸韺。長藥纔成賀。前星遽晦晶。寬恢情益燬。機務釋還縈。歲月逾三燧。岡陵頌八紘。體乾成久大。定性無將迎。致極中和妙。奠麗率普氓。萬年宜壽考。二豎忽沈嬰。玉仗移靑瑣。仙鄕返翠旍。疲癃慟考喪。髫白淚河傾。球璧遺憑几。寰區撤覆帲。文孫傳大寶。太母御東榮。夏啓仁聲邁。女堯慈化幷。廟宮尊世室。功德耀宗祊。聖孝敉繩武。儀刑僾見羹。居諸太迅忽。宅兆奄經營。忍說廞轝戒。哀號帀域驚。飛花紫鳳闕。風馬白雲城。明寢前秋幸。喬山是日征。小臣姿櫟樸。殊渥秩蔥珩。效蔑涓埃報。蔭荷帶礪盟。攀髥違寸愊。抆血訴哀情。兩聖遺神翰。餘生拜以擎。</text>
<title>敬次先祖拙齋先生九首詩韻 幷小識</title>,<text>花樹河南宅。歌於聚族於。三親倫莫厚。同祖視無疎。貴賤賢愚一。弟兄父子如。至哉和敬訓。首揭上仁廬。													右敦睦												士稱安素守。稍動便相違。義勝心無惑。欲多理恐微。田廬十世舊。淸白一家肥。敦厚終於止。誰能歌是非。													右自守												從非則失是。用晦方爲明。險路誠難盡。浮論且莫驚。謙恭恥辱遠。含默怨尤平。惴惴如臨谷。毁譽觀我生。																				右涉世												水廻山百帀。淸福此間多。萃族家連巷。考槃人在阿。煙霞鷗夢穩。軒冕鳥音過。生老桃源裏。閒聽擊壤歌。													右山居												愧我齒兼爵。立心何鹵莽。未聞存養法。操持乏一主。午睡昏慵疾。春蔬知力苦。君親恩蔑報。稀壽竟何補。													右自責												自古希聖賢。始終資學力。先須立志固。便會察文密。靜存動亦敬。晝爲宵有得。孰無仁義性。㬥棄眞堪惜。													右勸學																			大學全篇敬。中庸一字誠。羣書雖浩穰。本領可推明。誦說方有驗。涵濡益致精。還珠秖買櫝。糟粕用何成。													右讀書												流水崦嵫景。秋風老大悲。一斑窺未得。三秀欲何爲。少壯日猶富。汝曹來可追。屛障詩九首。家學有餘師。													右自省 且示兒輩												我祖治心訣。我家傳世學。性情論理氣。象數演蓍策。忠孝拙誠訓。奉持行必力。公私在毫釐。最先分主客。													右再示 更致丁寧												我六代祖考拙齋先生。作九首詩以示子孫。從先祖。悔堂公手書鏤板。作爲屛障。寓軒公又跋其後。百世之下。可以見家學之眞訣。勉戒之至意也。遺稿印頒之餘。繼印詩跋十帖。續作一屛。敬次詩韻書其末。以示後輩。凡我子孫雲仍。其必深知此翁今日苦心。而仰體先祖詩訓遺意。隨其篇目。服膺以勉勵之幸甚。</text>
<title>南溪院齋。奉呈李季哲，洪炳汝求和。二首</title>,<text>流水南溪曲曲淸。百年先躅護仙靈。寒齋獨與巖雲宿。坐待東窻瑞旭明。						山樓佳氣曉朝淸。炷罷心香藹性靈。多意高人聯袂到。蒼然顔髮眼中明。</text>
<title>贈喚月師</title>,<text>燕坐柴門掩。欣逢老釋尋。細叩巖居意。紅樹白雲深。</text>
<title>題金陵禦牧堂</title>,<text>對馬東頭積水濱。舊都謠俗儉而淳。書生不合中營將。邑瘼偏多下戶民。撫劒宵瞻星斗氣。祈年秋賽祝融神。扁楣二字心常愧。蘆竹蕭疎白髮新。</text>
<title>敬次仙夢臺韻</title>,<text>水激層巖聳翠虛。晴欄高掛畫中如。遙知一枕遊仙夜。碧海長天月影疎。</text>
<title>鳴鳳寺應潭山人宗秀。新構小菴。名以鳳棲。作詩求和。聊次一律。</title>,<text>白雲深鎖洞門幽。鳳去千年眞境留。貝葉檀香恢覺路。梧庭藥圃繞禪樓。仙筇有意塵埃訪。衰髮無緣汗漫遊。世事紛紛何足道。山人休請一言酬。</text>
<title>謹次谷口族兄 樂祚 玉淵亭韻</title>,<text>朝出江亭暮便還。時時猶似未曾看。煙霞左右千尋壁。錦繡東南百帀山。晩櫂攜歸漁釣伴。仙鄕秖在水雲間。緬懷玉潔淵澄處。開落梅花細雨灣。</text>
<title>次族姪彝好 懿睦 南厓新築韻</title>,<text>修道東西兩石巖。此間惜置豈塵凡。屛圍列峀林居樂。月印淸江性氣諳。數畝農功宜黍稌。百年家計蔚松杉。從今暇日閒來往。討盡丘墳萬軸龕。</text>
<title>輓李野隱 憲錫</title>,<text>東京淑氣玉山崇。豈弟風流誦我公。少日升庠翹重望。一生持敬驗眞工。除書未到天胡嗇。寶樹重萎理莫竆。乘化八旬猶有憾。吾南耆德曉星同。</text>
<title>輓許上舍 </title>,<text>芹沼靑春面。槐亭白首心。尋師聞道早。閉戶著工深。晦彩知良玉。無絃認雅琴。居然成死別。何日更論襟。</text>
<title>輓安丈 性道</title>,<text>龍岡夥士類。先數竹溪門。澗翠貞松晩。山輝美玉溫。傳家敦孝弟。慣客喜兒孫。齒德今安仰。鄕鄰涕泗紛。</text>
<title>輓李子安 岳祥</title>,<text>年甲相符氣味同。故家文獻藹餘風。奔趨世界持身潔。同異中間主見隆。白首誠心敦化席。斯文大業闡幽功。堪嗟泮水橋頭月。顔色然疑一夢空。</text>
<title>輓權持平 睦</title>,<text>晩契朝端拭眼靑。璞中良玉寶光熒。旅居矻矻看書癖。薄宦休休脫俗情。吾輩疎蹤歸散櫟。此生團會杳浮萍。可憐湖海文章手。何遽升仙強仕齡。</text>
<title>孤山亭。敬次退陶先生獨遊孤山韻。</title>,<text>水㶁山明石不頑。小亭蕭灑玉流灣。溪翁寫得幽人趣。孤絶淸標世莫攀。</text>
<title>文殊菴。謹次尋眞錄中諸先輩韻。</title>,<text>夕抱蓮臺月。朝臨鶴駕天。岧嶢山絶俗。恍惚客登仙。錦葉今秋色。孤雲太古年。衰翁猶氣力。平步祝融顚。						魔照千千佛。形浮六六天。穹林懸古塔。奇石立眞仙。蕭寺攜朋夕。廬山識面年。充然還自愧。吾髮已華顚。</text>
<title>哭表兄李正言 鋗</title>,<text>浣石名家擢桂蓮。詞華器局合騰騫。蒐英有詔非無聖。得壽逾稀豈嗇年。晩割牛刀才未試。謝歸烏府病仍纏。相違十載成千古。依仰餘誠涕淚漣。</text>
<title>草澗亭。奉翫大東韻玉。吟成二絶。幷小序</title>,<text>余與庚友權濯之。曾有草澗精舍遊賞之約。且聞大東韻玉藏在巾衍。未及繡梓。積費經營。濯之居然作泉下人。余今老白首。始到亭中。奉翫古藏。不勝愴然。濯之草澗先生之祀孫。而韻玉又先生所撰云。						深樹聽黃鸝。蒼蒼山日暮。亭中不見人。悵望緣谿路。																				右草澗精舍												韻玉一家書。吾東曾未有。餘生眼且花。祇自摩挲久。													右大東韻玉</text>
<title>贈別李周賢 源祚 二絶</title>,<text>蓬門今夕爲君開。留客淸秋細雨來。世事悠悠何足說。秖憐拋棄講官才。						承華令聞舜堯姿。更獻槐堂奏藁辭。進步竿頭須努力。少年儒學際淸時。</text>
<title>癸未至臘。兩度設酌。感成一絶。幷序</title>,<text>上之二十三年癸未。吾從兄弟懸弧之甲也。從兄晬辰卽二月廿一。而有事設酌于至月之望。臘月初四。乃余之晬日。又設小酌。嘗聞河南夫子有曰生朝當倍悲慟。更安忍置酒以爲樂。吾輩禍釁俱抱風樹之哀。未報劬勞之恩。是日之樂。得無戾於賢訓乎。雖然吾從兄弟生同一歲。學同家庭。擢第於三日之內。聯武於六仙之班。韶顔白髮。壽考且寧。凡吾親戚故舊鄰里鄕黨。皆范文正所謂見吾之幼學壯仕而爲我助喜者也。今於此日。肆筵授几。酒醴交歡。是亦體先人惇敍和樂之盛意。况無絲竹管絃以張大之乎。酒數行。台佐起拜而獻曰爾殽旣嘉。爾酒旣有。豈伊異人。兄弟朋友。維德其將。毋酌孔取。又系曰南山有松。北山有柏。喬陰滿庭。前人之澤。式齊其壽。葆晩翠之鬱鬱。仍成短句一絶。以求座上瓊報。						花甲重回夕。蒼顔共一堂。君親恩未報。多愧酒盈觴。</text>
<title>哭三從弟仲玉 璧祚○二首</title>,<text>問君何處去。一去更無還。兩老桑楡夕。諸孤冠角間。餘生惟隻手。相顧盡蒼顔。薤露靈辰恨。重重山外山。						蓮桂髭如摘。鵬程萬里賖。疎襟舒氣皃。餘事炳文華。士屬奎瀛望。人推福祿家。一郵歸化促。洄泬理堪嗟。</text>
<title>瑞雪 戊子冬。春宮應製。</title>,<text>近臘玄英節。凝祥白雪花。尺深蝗入地。函活穀生芽。多黍明年祝。稱觥帀域家。重民孚上瑞。休慶湊承華。</text>
<title>安正叔上舍 潤蓍 戊子元孫初度應製擢第。翌年秋唱臚。設聞喜宴。仍修禊事于豐嶽。奉邀其大人翁。謹次喜席四韻以識之。</title>,<text>賢良蒐擧遠方人。慶會离筵屬誕辰。木假中峯升瑞日。蘂宮淡墨映新春。飭身修行家餘福。敎子登朝國有賓。聞喜酒醒仍禊事。暮年酣戲總君恩。</text>
<title>謹述五言長篇。送從兄豐安君以冬至正使赴燕。己丑十月</title>,<text>念我兄及弟。一癸爭十朔。同受伯考恩。始自髧髫學。先訓與世德。前言曁故寔。忠孝是基本。拙誠是準的。奧而性命說。近而彝倫則。諄諄敎提耳。懇懇容在目。日邁月斯征。庶幾似式穀。弟昏甘自棄。兄魯稍有得。吾家本淸素。生理每窘束。子雲無甔石。相如徒四壁。親廚菽水空。冄冄山日迫。忍飢煤帷下。屈首事種績。嵯峨鳥嶺關。雨雪徒步客。其竆不可送。其貧不可逐。兄雖較弟寬。相距幾寸尺。否極終有泰。先蔭幸發積。一昔神告異。金鱗化喬木。紅日出東方。萬里天宇廓。休徵驗吉夢。運値攝提格。奏賦明光殿。間日金榜擢。王曰乃祖孫。特地紆寵渥。恩袍耀騎省。簪花映銀燭。秬卣侑召祖。鹽梅想傅築。龍光被荒嶠。陽春生陰谷。助喜三千客。拜稽南山祝。菲姿愧墜業。舊德嘉曰篤。際會龍御天。節次鴻漸陸。弟被奎華選。兄圈瀛洲錄。兄擢右副令。弟叨左史直。弟佐關北幕。兄剖海西竹。兄躋卿月班。弟跨葉縣舃。弟擎亞尹誥。兄巍八座閾。官銜迭相侈。春冰如履薄。居留儘重望。勳堂亦厚祿。金貂幷一堂。俸錢仁九族。翻思破屋初。何安錦城樂。淸朝俊乂多。構廈具杗桷。處遠體恬靜。有味賢訓讀。湖適鳧鴈性。河滿鼴鼠腹。桃源在人世。畫圖江山宅。東西繞玉流。左右蔭翠柏。漁浦理歸艇。巖崖轟鐵笛。四時樂無央。佳景擅十六。細雨桑麻長。晴波鷗鷺浴。花樹韋氏家。義庄姑蘇郭。暇日村秀會。尋行更數墨。此樂皆君賜。河海恩莫測。三筵祝聖學。九如頌遐福。靈芝遒白露。紅蕉保弱植。忽此同衰暮。兄獨燕山役。上价稀吾嶺。百年誦愚伏。兄質本虛脆。兄病又痰癖。榮感縱無地。僨誤須可惕。臣心非飾讓。主眷靳遞斥。一身不自有。夷險敢或擇。秋風振我衣。擬憑西征軾。鄕鄰競顚倒。永日開餞席。喜我學而仕。矧伊諸伯叔。田翁濁醪送。牧童山果摘。肆筵洛皋堂。授几玉淵閣。慇懃別離情。交酬淺深酌。嗟我老且病。送至浯川曲。分袂却回首。佇立移晷刻。暮歸鶴棲寮。達曙危坐獨。萬事入思惟。原隰遙細度。四千餘道里。二十七象譯。山川極悠遠。言語未慣熟。投名賭射利。此輩當撿勑。荒店多獷盜。干掫不可息。幸聞副使賢。兼藉行臺力。好伴旣先後。賢季且勤恪。皇華責任重。護身卽念國。宿恙鬱爲祟。疏鬱可勿藥。若論對症投。不須問岐伯。重宸拜命退。雲屯八方驛。慕華設祖帳。簪紳錯車轂。臨津艤彩舫。舊面峙松嶽。風謠頌遺愛。士女紛加額。箕都媚練光。靑琉懸浮碧。緬昔文忠祖。袖圖進提督。妖氛埽淸浿。萬事光日域。西登統軍亭。俯臨鴨水綠。義順今何處。江流猶萬曆。渡此無與語。秖可訪舊蹟。大德虞舜後。倘有胡公屬。東征諸將士。雲仍幾牙纛。詢問大明人。書帖共酬酢。何鄕是洙泗。何縣是閩洛。玄譚開麗日。餘韻宜尋覓。淸皇壯宮闕。萬國齊玉帛。夙昔桑蓬志。風物收歷歷。朗吟壯遊篇。快湔葷血膈。文詞氣助發。花牋應滿軸。玉節仗威靈。何憂風雪惡。愼旃復愼旃。好趁新春約。所嗟人異鴈。蹩空堂側。</text>
<title>謹次晦庵遠遊篇韻。擬送許敬翁之燕。</title>,<text>嘗讀晦翁詩。首篇賦遠遊。乾坤入半璧。賢躅滯南州。吾今語子遊。華夏萬里畺。張旃渡鴨水。馹騎幷騰驤。山川遼薊會。人物靑冀方。金臺與碣石。劒伴多慨慷。悲歌擊玉壺。白日無輝光。依舊朝天路。停蓋空徊徨。獰風連塞漠。愁雲繞關梁。皇皇歌原隰。此事政悲傷。逢人皆羶裘。無處不羊腸。吾東保文物。燦然具冠裳。皮幣二百年。柔道能濟剛。含忍有古道。禮義以相當。交貨最可愼。平地起太行。間有閩浙產。開懷同八荒。無路問吳京。長愧守空堂。</text>
<title>次金箕仲 星說 龍巖亭韻 二首</title>,<text>顔髮依稀問起居。龍巖措置定何如。百年林壑棲身地。一夢騷壇謝事初。䕺桂交陰宜瘦鶴。小塘涵影翫游魚。遙知榧几明窻下。怡悅閒雲自卷舒。						荀氏高陽聚德星。叔慈賢行又慈明。竆年剩占幽居好。眞樂先從外累輕。肯構風流傳勿替。巖棲衿佩喜相迎。吾廬晩築扁和敬。俗耳那聞韶濩聲。</text>
<title>輓李參判 龜雲</title>,<text>左海陶山宅。南鄕宰相尊。純心宜福祿。晩計付田園。花樹一家政。塤篪百行源。八旬歸大化。遺業典刑存。</text>
<title>輓李後溪 頤淳</title>,<text>眞詮家學晦翁書。筆翰詞章喫緊餘。蚤沐鳶魚陞泮舍。晩攜琴鶴臥江廬。仙眞遊帖遐觀裏。喬嶽風儀坐鎭初。講會未成天爵缺。同朝嗟惜士增歔。</text>
<title>輓金晩悟箕仲</title>,<text>悟老歸眞宅。東南閟德輝。抱經竆白首。無命點朱衣。庭樹羅羣玉。溪堂掩晝扉。未聞韶濩美。重恨簉門違。</text>
<title>輓孫正言昌叔</title>,<text>爭誦文華豔。先推性度溫。玄天知孝子。黃甲耀高門。養拙心無競。安貧樂自存。荒原一灑淚。淸望在薇垣。</text>
<title>輓鄭道紀 光漢</title>,<text>名家鍾厚德。交誼自靑春。翰墨推先進。鄕鄰誦逸民。音疏衰病歎。哀聞慟懷新。寶玉賢孫在。西原福祿申。</text>
<title>輓李馨初 根一</title>,<text>詩禮芋園宅。眞淳士望尊。譚經推徧博。論事砭迷昏。帀月花川席。淸秋薤露原。殘年愁獨立。幽桂悴芳根。</text>
<title>輓金▣▣ 宗文</title>,<text>淵源先契重。麗澤友情深。妙歲騷壇譽。衰年古鏡心。沖襟矯薄俗。正論在儒林。灑淚靑山別。秋天窅夕陰。</text>
<title>秀峯霜楓。河隈十六景之一。重光亶安菊月下澣。門長老村秀才幾十人。挈壺臨賞。竟夕而歸。爲賦五言一絶。以識勝事。</title>,<text>楓菊淸秋晩。江山老眼明。無巡斟野酌。紅樹翠煙生。</text>
<title>哭谷口族兄</title>,<text>高潔天資謹厚風。過庭詩禮進修中。奇功了卻千書卷。眞樂棲遲半畝宮。每祝康寧宜壽考。云胡宗黨失帲幪。叨承警誨嗟無日。孤燭昏衢路且竆。</text>
<title>輓金葛川公穆 二首</title>,<text>太白山前深水村。開翁家裏令名孫。風雲際會奎瀛選。琴鶴行裝關海旛。坦路朱軒宜上壽。煤帷素學驗眞源。如今遽作幽明別。僚誼交情一夢翻。						叔明仁未壽。吾輩老而衰。歸夢江湖晩。沈痾歲月遲。三朝恩莫報。萬事涕空洏。澒洞憂端在。孤懷秖自知。</text>
<title>輓鄭參奉明應 必奎</title>,<text>從遊妙歲壽同稀。况復聯承念闡揮。文出性情溫粹地。行全冰玉瀅淸輝。芹宮宿譽纔霑祿。棐几薰香靜掩扉。澒洞吾南公又逝。故家儒望更誰歸。</text>
<title>懶拙齋李先生遷葬輓</title>,<text>降嶽乘箕二百年。隔晨楷範緬依然。功深主敬侔和靖。樂在安貧學子淵。冰玉淸芬尸祝在。風雲晩契畫圖傳。新阡再卜丹邱宅。宦旅多慙數郡賢。</text>
<title>輓高君 彥弼</title>,<text>邂逅天燈會。心知名祖孫。端詳資稟好。該洽見聞尊。玉蘊千金寶。蘭萎半畝園。斯人胡不幸。天道兩兒存。</text>
<title>次李東厓 浹 林泉韻</title>,<text>一帶淸湖百帀山。碩人薖軸畫圖間。堂前玉樹垂佳實。簾外風嵐灑醉顔。靜坐工夫看蟻大。優遊身世伴鷗閒。星移物換亭依舊。怡悅孤雲自往還。</text>
<title>次趙水月丁丑講和後感憤述懷韻</title>,<text>泉冽風飄敻好音。何人首議左吾襟。於戲帝德天高大。痛矣彝倫日晦沈。尺紙嚴霜澹老筆。千秋明月魯連心。當年倘許平胡檄。義鼓聲中一戰擒。</text>
<title>輓金上舍聖爲 改葬時</title>,<text>公歿恰二紀。復啓秋原宅。謦欬似或承。儀標如可覿。靈辰更不留。旋向玄厓側。疑眞忽疑夢。起視樑月色。多少公私慟。拙語擧其略。公家二玉胤。典刑嶄頭角。良駒宜展步。嘉禾必有穫。如何芳馨姿。未秋霜雪撲。公家諸從氏。彬鬱蓮桂籍。汝南士多賢。高陽星聚德。云胡衰剝運。次第俱零落。環顧一縣中。道契懷歷歷。篤實君翊丈。謹厚幼磐戚。明建性高潔。馨初行修飭。鄕鄰舊名勝。嗚呼皆窀穸。汝仰與翼夫。昏衢惟孤燭。汎濫洪流勢。難抗一葦力。我生丁不辰。中夜謾繞壁。尊靈聞此報。也應同怵惕。重陽歲且暮。晩香花滿酌。滄洲露爲霜。遠浦風落木。悵望人不見。秋天更遼廓。况聞新卜兆。埋冤共一局。敦事競效忱。總是曾敎育。牀笫望八翁。計違臨穴哭。孤孫岐且嶷。山地果有碩。俾爾昌以大。重泉恨稍釋。</text>
<title>輓李德元</title>,<text>棣萼靑春耀桂蓮。詞章道藝兩彬然。長公胡嗇亨衢步。玉季旋違上壽年。肯構有人家積慶。薦名無路野遺賢。論文講誼知何日。南浦斜陽灑涕漣。</text>
<title>輓姜參奉稺仁 長欽</title>,<text>名園寶樹擢瓊柯。百行源頭有孰加。甘旨誠供藜藿美。帲幪仁覆室堂和。微官未遂專城養。上壽旋違二豎痾。白首交情泉下別。斜陽獨立意如何。</text>
<title>輓姜司諫公敍 世揆</title>,<text>百鍊精華老繭絲。諫垣風采合施爲。好將製錦烹魚手。虛負齎金市駿時。妙歲交情垂暮道。斯文編譜藉良師。凶音忽報重泉隔。齒德凋零後死悲。</text>
<title>輓李參判彝執 鼎秉</title>,<text>毅然操執坦如襟。疎處須看好處深。經幄箴規傳世訓。琴軒淸德愛人心。晩膺睿翰天襃重。忽報台躔夕耀沈。契誼交情那忍說。秖應餘日夢中尋。</text>
<title>輓李持平 覲吾</title>,<text>小少從遊翰墨場。居然華髮隔參商。盤湖宿約迷秋夢。玉院前遊幻海桑。臺閣雖淸驥步跼。稀齡纔度鶴歸。遙知書帶薰香處。數郡英材雪涕滂。</text>
<title>輓李讓之 謙淳</title>,<text>士類同嗟惜。陶山失此人。盡仁推黨塾。敦誼庇朱陳。夫子家山裏。書寮郞偉辰。病違臨穴哭。揮涕露葭漘。</text>
<title>哭族叔江皋公 尋春</title>,<text>玉潤金精近道姿。我家心訣聞而知。靜存藹藹慈良性。力念孜孜敬義持。九曲纓潭流下處。三朝桂署退歸時。儒林遽抱樑摧慟。長夜昏衢秉燭誰。</text>
<title>輓李新野公宅 仁行○二首</title>,<text>昔聞山野伉。當世見而知。大義叫閽日。孤忠舍肉時。飮瓢甘在巷。過澦驗勝髭。華袞誠明策。竆經實用推。						吾林道久喪。萬事涕空流。星斗今安仰。桑楡歲忽遒。有懷神可質。無伴獨相求。訣語心朋字。歸傳敬應儔。</text>
<title>輓李遜庵 祥發</title>,<text>亭巖古宅峙金城。星斗文章德義名。翹楚庠宮樊相歎。倒花綺語海翁驚。幽懷宋玉悲秋賦。晩計滄洲付道情。九十康強乘大化。布衣不換到公卿。</text>
<title>輓鄭弼善 僑</title>,<text>良玉溫而栗。貞松秀亦孤。養心書在案。無粟吏催租。䨓肆懸淸望。江湖臥病軀。西河餘禍洊。嗚咽彼蒼呼。</text>
<title>輓李俗隱彝叙 龜星○二首</title>,<text>丹砂篆壁葛仙名。一水縈廻九曲淸。雲影天光渾舊物。巖花澗鳥總閒情。歸園晩趣逍遙樂。涵海全書筆翰明。新構講堂虛丈席。士林安仰涕縱橫。													兄弟肩隨五十年。巖棲節友每夤緣。蚤從翰墨初門路。晩托葭莩累牘牋。冰蘗淸標人所豔。麥舟高義世爭傳。賢咸玉胤家聲在。砥柱東南付障川。</text>
<title>輓金大建 洪柱</title>,<text>大建歸眞宅。雄詞嶺下空。門闌星聚德。身計鬼咷竆。老客商山遠。久違豐社同。靈根彙寶樹。餘慶否應通。</text>
<title>輓朴文用 基淳</title>,<text>接物治家一副仁。純心孝友藹天眞。芝翁舊宅賢孫子。矗石名樓好主人。政賀慈闈聯舞綵。那知上界遽催輪。情緘忽斷南江路。白首斜陽淚滿巾。</text>
<title>輓金士瞻 道宗</title>,<text>遯貞祠下克家孫。眞樂淸閒九曲園。竹馬交情垂短髮。麥舟高義飽前村。新楹靜几香薰室。旨酒嘉肴客到門。一夕遼陽催鶴返。牀玆危喘倍銷魂。</text>
<title>輓鄭西思 來成</title>,<text>芝梅故宅峙靈光。百歲仙官亞尹堂。緋玉恩添天與爵。帲幪仁覆壽爲鄕。方塘止水塵無累。白髮韶顔養有方。大化乘歸餘慶在。典刑依舊白眉良。</text>
<title>立春詞 二首</title>,<text>鶴羡淸癯鷺羨閒。衡門正在水雲間。醫爲疾平新埽跡。客知睡美罕敲門。此生何以報君恩。						廜㢝味熟新春酒。布穀聲催百畝禾。遲日江山媚淑景。東風花柳擅繁華。萬壽君王祝聖歌。</text>
<title>朴上舍稺承 箕寧 赤城山舘十六詠 幷序</title>,<text>赤城。古酒泉郡北峽也。介鳥竹兩嶺間。其山則層巒疊巘。奇巖怪石。其水則竆竅絶壑。奔流激湍。居民鮮少。風煙蕭瑟。朴上舍稺承搬寓於是。日以書來。備言古今沿革奇絶之狀。而拈出山舘十六景以寄意。余覽之未半。怳然有施施漫漫入深林竆廻磎。披草傾壺底意。杜工部詩曰萬事已黃髮。殘生隨白鷗。此詩上一隻吾所自占。下一隻君與吾皆不免此箇境界。一觴一詠之遊賞。豈非暮年樂事耶。吾將膏車秣馬。從子于山舘之中。先以拙句寄呈。稺承其一粲焉。						天柱峯						蟠結翠雲根。屹然天一柱。誰知隻手擎。遠在竆山隖。						落淵瀑						掛流飛似電。赴壑急成湍。試翫羣魚躑。由來向上難。						麻姑城						羅麗傳古堞。幾見海桑田。願問丹砂術。重宸獻萬年。													靑鶴臺						仙鶴杳華表。荒臺問主人。窈窕山面目。松檜畫圖新。						石門山						斧鑿龍門石。山通馬軌行。如今磨滅久。興廢歎無常。						玉女峯						黛眉山一脈。臨水揷花容。倘是無瑕玉。配吾節友松。						臥龍巖						蜚泉湊匯澤。神物蟄存身。會待雲行雨。終須見大人。						䨓淵瀑						河漢落雲天。蛟龍行霹靂。然疑古石鐘。風水來相激。													漁磯						鷗鷺淸閒夢。溪山一片磯。得魚兼取適。斜日澹忘歸。						長橋						細棧依山前。行人步水上。問渠何所之。此地多閒曠。						遠村						隱隱柴扉迥。迢迢石徑斜。桑麻煙雨裏。遙望列仙家。						前郊						大路旁通峽。豐謠早熟禾。夕陽牛背笛。好是牧童過。						山市						官稅兒牽犢。山蔬翁買魚。莫嫌茶肆近。多聚峽人居。													盤松						崎嶇丹峽路。盤鬱翠虬身。樹木留先躅。穹林雨露新。						孤菴						眼豁三韓國。名懸北斗樞。菴居老釋子。禪誦白雲孤。						赤城						結廬古城前。遯世山中樂。春來一杖藜。遠與詩翁約。</text>
